gadesja	(handv.) [da.,en.]
grótborur	(tøkni)slagborur, høggborur[da.borestang, slagbor,en.hammer drill]
grótbræðing	(jarðfr.)gløðandi, flótandi grót sum floymir úr eldgosi(og rennur oman eftir fjallasíðunum),lava,grótbræðingar úr eldgosum verða gosgrýti, tá ið tær storkna[da.lava, stensmelte,en.lava]
grótflógv	(jarðfr.)flógv við gróti, grótlind,kolalindin liggur ímillum grótfláirnar
grótídnaður	ídnaður ið framleiðir úr gróti
grótjótrari	(byggiv.)útbúnaður til at knúsa grót við, grótknúsari
grótknúsari	(byggiv.)grótjótrari
grótlind	(jarðfr.)grótflógv,millum grótlindirnar eru summstaðni lindir av royðugróti
grótmeitil	kílaskapað amboð við egg at arbeiða grót við
grótmorl	(jarðfr.) [da.debris]
grótslag	(jarðfr.)slag av gróti,grótslag er samansett av fleiri steinsløgum[da.bjergart,en.rock]
grund	1(jarðfr.)føst hella undir jørðildi2(húsasm.)niðasti partur á húsum, húsagrund,grava sær grundgrava fyri húsagrund;fara av grund(um hús o.a.)fara av vindi;brenna í grundbrenna so einki er eftir;húsini brunnu í grund[da.grund,en.site, plot]
grundeind	(alisfr.)eind í altjóða eindarskipanini SI,metur, kilogrammo.s.fr.eru grundeindir
grundevni	(evnafr.)frumevni (1)[da.grundstof,en.element]
grundmongd	(støddfr.)mongd ið arbeitt verður innanfyri,fyllimongdin hjá A í grundmongdini G eru teir lutir í G, sum eru ikki í A[da.grundmængde]
grundslúsa	(tøkni) [da.??]
grundstødd	(alisfr.)stødd ásett óheft av øðrum støddum
grundtilfar	(jarðfr.)smákornut tilfar sum fyllir rúmið millum grovaru kornini í einum grótslag[da.grundmasse]
grunnhav	(jarðfr.)havið innan fyri hellingina (2)[da.epikontinentalhav]
grunnísur	(jarðfr.) [da.shelis]
grýti	(sj.,gl.,jarðfr.)grót, grótslag,grýtið í Hetlandi er annað slag enn í Føroyum
grýtingur	(jarðfr.)reint (5) grót[da.bjergartsmasse]
grýtisflógv	(jarðfr.
grýtisfrøði	(jarðfr.)lýsing og skipan av grótsløgum[da.petrografi]
grønjørð	(jarðfr.)grønligt steinslag(m.a. nýtt til litevni),grønsteinur, jarðgrøni[da.seladonit,en.Celadonite]
grønsteinur	(jarðfr.)grønjørð[da.seladonit,en.Celadonite]
gulborð	(tøkni)(á skipiel.báti)borðið (5) sum vindurin liggur inn á, vindvart,móts.læborð,í gulborð
gull	(evnafr.)reyðgult, dýrt og sjáldsamt metalt.d.nýtt til prýðislutir(frumevni, teknAu, t.e.aurum)[da.guld,en.gold]
gullsmiður	(handv.)ein ið evnar til, selur og umvælir lutir úr gulli, silvurio.ø.dýrum metali[da.guldsmed,en.goldsmith, jeweller]
gullsmíð	(handv.)tað at evna (lutir) til úr gulli[da.guldarbejde]
gummidoyvari	(tøkni)doyvari av gummi at verja fyri stoyti[da.gummidæmper,en.rubber dampener]
gummigeit	(tøkni)slag av traktori P|el.| gravimaskinu[da.gummiged,en.loader tractor, wheel loader]
gummimembran	(tøkni)membran úr gummi[da.gummimembran,en.rubber membrane]
gummipakningur	(rørsm.)pakningur úr gummi[da.gummipakning,en.rubber gasket]
gumpa	(húsasm.)sneiða tak av fyri endarnar tá ið gumpatak verður gjørt, gera gumpatak (á hús)
gumpahús	(húsasm.)hús við gumpataki
gumpareising	(húsasm.)reising (1) sneidd við endarnar;sbr.gumpatak
gumpatak	(húsasm.)tak við gumpareising[da.valmtag]
guva	(alisfr.)vatnel.annað evni í luftlíki, dampur[da.damp,en.steam]
guvari	(tøkni)tól ið fær e-t evni at gerast flótandi[da.fordamper]
guvuketil	(tøkni)stórur ketil har ið vatn verður upphitað og gjørt um til guvu, dampketil[da.dampkedel,en.(steam) boiler]
guvumaskina	(tøkni)maskina drivin við orku frá vatnguvu, dampmaskina[da.dampmaskine,en.steam engine]
guvureinsing	(tøkni)tað at reinsa (e-t) við guvu[da.damprensning,en.steam cleaning]
guvureinsingarventilur	(tøkni)ventilur til guvureinsing[da.damprensningsventil,en.steam out supply valve]
guvurør	(tøkni)rør ið guva sleppur út ígjøgnum[da.damprør,en.steam pipe]
guvutrýst	(alisfr.)trýst av guvu[da.damptryk,en.vapour pressure]
guvutyril	(tøkni)luftpumpa ið blæsur guvu út[da.dampturbine]
guvutættari	(alisfr.)tangi har ið guva P|t.d.| frá eini guvumaskinu P|el.| turbinu verður samantrýst við køling[da.kondensator,en.condenser, capacitor]
gyrði	(tøkni,ným.)tað at vera gyrðin,tað er gott gyrði í viðinum[da.elasticitet,en.elasticity]
gyrðin	sum kann víðkastel.tambast og síðan fáa sín vanliga form aftur, sum gevur seg, lastiskur, fjaðrandi, toyggiligur(uppr. um við),húðin skal vera rúm og gyrðin[da.elastisk,en.elastic]
gyrokumpass	(alisfr.)serstøk kumpass[da.kursgyro]
