sagarbjálki	(handv.)langa stykkið á bogasag
skrúvugangsskeri	(handv.,rørsm.)skrúvubakki[da.gevindskærer, klup,en.pipe threader]
skrúvugangsstál	(handv.,rørsm.) [da.gevindstål]
skrúvugangur	(handv.)snyrilsvundnar foyrur á skrúvu, møtrikio.tíl., vinding, snúgving[da.skruegang, gevind,en.(screw) thread, threaded rod]
skrúvuhøvd	(handv.)ovasti partur á skrúvu 1(1)[da.skruehoved,en.screw head]
skrúvukatoda	(tøkni,ravm.) [da.skruekatode,en.threaded cathode]
skrúvuklombur	(handv.)amboð av jarni at spenna e-t saman við(t.d. tveir lutir ið skulu límast),tvinga 1[da.skruetvinge,en.cramp, clamp]
skrúvukompressari	(byggiv.,tøkni)?kompressari nýttur til at skrúva við[da.skruekompressor,en.screw compressor]
skrúvulykil	(handv.)skrúvilykil[da.skruenøgle,en.spanner, wrench]
skrúvupumpa	(tøkni) [da.skruepumpe,en.screw pump]
skrúvurógv	(handv.)møtrikur, holskrúva[da.møtrik,en.nut]
skrúvusikkring	(tøkni) [da.skruesikring,en.diazed fuse]
skrúvuskorin	(handv.,rørsm.)við skrúvugangi skornum í[da.gevindskåret, skrueskåret]
skrúvustikka	(tøkni)tól til at halda lutum fastspentum í[da.skruestik,en.vise]
skugganot	(húsasm.
skupla	1(byggiv.)heldur breiður og kúputur spaki(t.d. til sand, ís o.tíl.)2(tøkni)(á gummigeit),stór og breið skuffa at grava við[da.læsseskovl,en.bucket]
skurðbrennari	(handv.)amboð við gassloga at skera jarnel.stál við[da.skærebrænder,en.cutting torch]
skurðbrenning	(tøkni)tað at skera í jarn við skurðbrennara[da.skærebrænding,en.torch cutting]
skurðlogi	gasslogi(á t.d. skurðbrennara)at skera við[da.skæreflamme]
skurðtól	) [da.skæreapparat]
skurðtøppur	(tøkni)amboð til at skera skrúvugang við, skeritappur[da.snittap]
skúmbjálving	(húsasm.)skúmkent tilfar til at bjálva við[da.skumisolation,en.foam insulation]
skúmdoyvari	(tøkni)útbúnaður ið doyvir við skúmi(P|t.d.| eld)[da.skumdæmper,en.foam breaker]
skúmgeri	(tøkni)tól sum ger skúm[da.skumgenerator,en.foam generator]
skúmkanón	(tøkni) [da.skumkanon,en.foam monitor]
skúmpumpa	(tøkni)pumpa ið pumpar skúm[da.skumpumpe,en.foam pump]
skúmpúta	(tøkni) [da.skumpude,en.foam pad]
skúmskipan	(tøkni) [da.skumsystem,en.foam system]
skvatlipláta	(oljuv.)(á oljugoymslutanga)[da.skvalpeplade,en.splash plate]
skvølpur	(handv.)holijarn[da.huljern,en.fluteroni]
skyggingarevni	(evnafr.)evni til at skyggja (2) við
skyggingarskiva	(handv.) [da.polérskive]
skyndil	(tøkni)ferðgevi, spitari(t.d.á bili, báti)[da.speeder,en.accelerator]
skyni	(alisfr.)varnari[da.detektor,en.detector]
skýgerð	tað hvussu skýggj er vorðiðel.skapað
skýling	(húsasm.)tað at skýla fyri P|t.d.| ov bjørtum ljósi, vindi P|o.tíl.|[da.afskærmning]
slagbonkur	(tøkni)bonkur ið kann sláast út og nýtast sum song[da.slagbænk,en.settle]
slagborimaskina	(tøkni)grótborimaskina[da.slagboremskine]
slagborur	(tøkni)borur ið er herdur til at kunna bora ígjøgnum hart tilfar P|t.d.| betong(verður nýttur í slagborimaskinu),høggborur, grótborur[da.slagbor, borestang,en.hammer drill]
slagkopling	(tøkni) [da.slagkobling,en.hammer union]
slagrúmd	(tøkni)rúmd av øllum sylindarum í motori roknað við lutfalli ímillum diametur á sylindara og longd á rørsluni hjá stempli(máld í litrum P|el.| rúmsentimetrum)[da.slagvolumen,en.stroke volume]
slagustig	(alisfr.)stig av slagi 2 í luftini[da.fugtighedsgrad]
slagverk	(tøkni)parturin av klokku ið fær hana at sláa[da.slagværk,en.striking train]
sláimaskina	(tøkni)maskina at sláa gras við, motorlíggi[da.plæneklipper]
sleggja1	(handv.)stórur hamari, mokari[da.mukkert,en.maul]
sleggja2	(handv.)hamra við sleggju,(flutt m.)ravnarnir fóru sleggjandi fram við berginum
sleggjari	(handv.)maður ið sleggjar hjá smiði
sleipari	(skip.)1bátur nýttur til at sleipa (2) við, sleipibátur2tog til sleiping
sleipibátur	(tøkni)sleipari (1)[da.slæbebåd,en.tug]
sleipikrókur	(tøkni)(á bili)krókur til at festa vogn við aftaní
sleipiringur	(tøkni)stálringur P|t.d.| á akfari til at binda í tá ið sleipað verður[da.slæbering,en.slip ring]
sleipistøð	(tøkni)dráttur (við vogni á skinnarum) har skip og bátar verða tikin upp til umvælingar;sbr.beding (1)[da.bedding,en.slip, slipway]
sleipiveirur	(tøkni,skipasm.)veirur nýttur tá ið sleipað verður[da.slæbewire,en.towing wire]
sleppa	(jarðfr.)riva, loysa 1(t.d. í kolanámi)
slifka	(húsasm.,stb.)slá 1(5), andrifti (2)
slitil	(ravm.)kontakt[da.afbryder, kontakt,en.switch]
slitpláta	(tøkni) [da.slitageplade,en.wear plate]
slípiamboð	(tøkni)amboð til at slípa við[da.slæbeværktøj,en.dressing tool]
slípievni	(tøkni)?evni P|el.| eginleiki at slípa[da.slibemiddel,en.grinding compound]
slípiflati	(handv.) [da.slibeflade]
slípimaskina	(tøkni)brýnimaskina[da.slibemaskine,en.grinding machine, grinder]
slíping	(tøkni)tað at slípa[da.slibning,en.grinding]
slípiskiva	(tøkni)skiva til at slípa P|t.d.| knívar á[da.slibeskive,en.grinding wheel]
slúsulemmur	(tøkni) [da.stigbord,en.sluice gate]
slúsuportur	(tøkni)portur í slúsukamari[da.sluseport,en.gate, pig outlet]
slúsuventilur	(tøkni)(á skipi),?ventilur í slúsu[da.sluseventil,en.gate valve]
slættari	(tøkni)tunn stálpláta at slætta flatuna á høvli við, skavari[da.siklinge]
slætthølva	(handv.)hølva við slætthøvli[da.glathøvle,en.plane (smooth)]
slætthøvil	(handv.)høvil til at slættael.fínka við, fínhøvil,móts.skrubbhøvil[da.glathøvl, slethøvl]
slættimaskina	(tøkni)maskina til at slætta við[da.kalanderpresse]
slætting	(handv.)eftirviðgerð[da.afretning,en.adjusting]
sløðr	(tøkni)róðursløðr[da.slør,en.backlash]
sløkkipumpa	(tøkni)pumpa at nýta til at sløkkja eld við[da.brandpumpe]
smákornutur	(jarðfr.)við smáum kornum,smákornut grót
smákrystallutur	(jarðfr.)við smáum krystallum[da.småkrystallisk]
smegl	(handv.,stb.)skón sum legst uttan á jarn gløtt í eldi
smeltitráður	(ravm.), bræðitráður[da.smeltetråd]
smeltiverja	(ravm.), bræðiverja[da.smeltesikring,en.fuse]
smergul	(jarðfr.)óreint kornut avbrigdi av ávísum gimsteini(nýttur til hvessingar)(corund)
smiðja	(handv.)verkstaður har ið smiður arbeiðir,serst.jarnsmiðja;sms. t.d.bil-,blikk-,prent-,skipa-,skó-,stein-,verk-[da.smedje,en.smithy]
smiðjubjølgur	(handv.)bjølgur (2) til at blása luft at eldstaðiel.smiðjueldi, físibjølgur (1)
smiðjueldur	(handv.)eldur á alva 3 í smiðju
smiðjulæra	(handv.)læra 1(3) til jarnsmið,hann hevur staðið í smiðjulæru[da.smedelære]
smiðjumaður	(stb.,handv.)jarnsmiður[da.jernsmed]
smiðjustiði	(stb.,handv.)(í smiðju)amboltur, stiði[da.ambolt,en.anvil]
smíð	(handv.)1e-t ið smíðað er, handverk (2), handaverk (1)2tað at smíða (e-t)
smíða	el.(stb.)1(handv.)gera 1(1), evna til, seta saman(t.d.úr viði, jarniel.tíl.),smíða jarn;smíða tuflur;smíða bát;smíða hús;smíða lóg(orða, skriva);smíða orðgera (nýggj) orð;(kvæð.)hann læt sær snekkju smíða;(kvæð.)stevið er ikki smíðaðniðurlagið er ikki yrkt enn2(handv.,tlm.)sláa seym (í e-t), negla, soyma,smíða við hamara
smíðareiðskapur	(handv.)reiðskapur til at smíða við, amboð, tól[da.?smederedskab]
smíðastova	(gl.,handv.)verkstaður(til træsmíð)[da.værksted,en.workshop (?)]
smíðatól	(handv.)tól at nýta við smíð, smíðareiðskapur, amboð[da.?smederedskab]
smíðing	(handv.)tað at smíða[da.smedning (?),en.forging (?)]
smíðistova	(sj.,handv.)smíðstova[da.værksted,en.workshop (?)]
smíðstova	(handv.,skúl.)stova til smíð (3)
smíðtól	(handv.)smíðatól[da.?smederedskab]
smyrjari	(tøkni,sjóm.)hjálparmaður hjá maskinmanni[da.smører (?),en.oiler (?)]
smyrjievni	(tøkni)feittevni nýtt til at smyrja glíðandi flatar við[da.smøremiddel,en.lubricant]
smyrjifeitt	(tøkni)feitt nýtt til at smyrja motorar og aðrar maskinlutir við[da.smørefedt,en.grease]
smyrjikanna	(tøkni)kanna 1(1) við smyrjiolju
smyrjikoppur	(tøkni)koppur P|el.| skál til smyrjievni í motori P|el.| maskinu[da.smørekop,en.grease cup]
smyrjing	(tøkni)tað at smyrja[da.smøring,en.lubrication]
smyrjiolja	(tøkni)olja til at smyrja (2) motoraro.tíl.við[da.smøreolie,en.lubricating oil, lube oil]
smyrjioljufiltur	(tøkni)filtur til at halda smyrjiolju reina[da.smøreoliefilter,en.lube oil filter]
smyrjioljuhitari	(tøkni)hitari til smyrjiolju[da.smøreolievarmer,en.lube oil heater, LO heater]
smyrjioljukølari	(tøkni)kølari til smyrjiolju[da.smøreoliekøler,en.lube oil cooler]
smyrjioljupumpa	(tøkni)pumpa ið pumpar smyrjiolju runt um í motori[da.smøreoliepumpe,en.lube oil pump, LO pump]
smyrjioljuskipan	(tøkni)ringrás sum smyrjiolja ferðast ígjøgnum í P|t.d.| motori[da.smøreoliesystem,en.lube oil system]
smyrjioljustillari	(tøkni)tól ið stillar smyrjiolju m.a. viðv. nøgd[da.smøreolieregulator,en.constant level oiler]
smyrjioljutangi	(tøkni)tangi við P|el.| til smyrjiolju[da.smøreolietank,en.lube oil reservoir]
smyrjioljutrýst	(tøkni)trýst á smyrjiolju í P|t.d.| motori[da.smøreolietryk,en.lube oil pressure]
smyrjipistól	(tøkni)pistól við smyrjiolju P|el.| -feitti[da.smørepistol,en.grease gun]
smyrjipumpa	(tøkni)pumpa til at pumpa smyrjievni P|el.| -feitt við[da.smørepumpe,en.lubrication pump]
smyrjiringur	(tøkni) [da.smørering,en.ring oiler]
smyrjiskipan	(tøkni)?smyrjioljuskipan[da.smøresystem,en.lubrication system]
smørsýra	(evnafr.)lívrunnin sýra sum gerst í smøri(glycerid)(eis.í skarni og sveitta)
snar	(tøkni)snúningsdepil[da.omdrejningspunkt]
snara	(handv.)dreya, renna[da.dreje]
snarljósleiðari	(tøkni)útbúnaður á P|t.d.| tekjum P|el.| skorsteinum ið skal forða fyri at toran slær niður[da.lynafleder,en.lightning conductor]
sneiðbretti	(húsasm.)ráplógt bretti ið er sneitt á báðum kantum[da.profilbræt]
snekkjustýring	(tøkni
snibbaskjøldur	(húsasm.)skjøldur (2), snibbi(ovasti tríhyrningur, vanl. av viði)
snið	(teld.)tað hvussu dátur eru skipaðar(t.d.á diskliel.á telduskíggja)[da.format,en.format]
sniða	(teld.)geva diskiel.diskli snið til at kunna goyma dátur, forsniða,sniða ein diskil;sbr.snið (6)[da.formatere,en.format]
sniðan	(teld.)tað at sniða[da.formatering,en.formatting]
sniðband	(húsasm.)1skrátt band (3) í stavlagi[da.skråbjælke]2træ felt á skák niður í sperrur(tvey í tali hvørjumegin)[da.skråstiver]
sniðbygging	(húsasm.)bygging av húsum har ið einstøku partarnir (P|t.d.| veggir og vindeygu) verða latnir lidnir frá verksmiðju og savnaðir á byggiplássinum[da.elementbyggeri]
sniðgerð	formgáva[da.design]
sniðhús	(húsasm.)(set)hús smíðað mong í sama sniði og stødd[da.typehus, elementhus]
sniðkantur	(byggil.)vinkul ímillum samanstoytandi flatar ið ikki er beinur[da.smig,en.bevel]
snikkaraarbeiði	(handv.)handverksarbeiði hjá snikkara[da.snedkerarbejde,en.cabinetmaking, joinery]
snikkarabonkur	(handv.)bonkur (2) hjá snikkara, plógbonkur[da.arbejdsbænk, høvlebænk,en.carpenter's bench, workbench]
snikkaraverkstaður	(handv.)verkstaður hjá snikkara, snikkaravirki[da.snedkerværksted,en.cabinetmaker's (work)shop, joiner's (work)shop]
snikkaravirki	(handv.)snikkaraverkstaður[da.snedkerværksted,en.cabinetmaker's (work)shop, joiner's (work)shop]
snikkari	(handv.)træsmiður ið smíðar húsgøgno.tíl.,træsmiðirnir seta okkum húsini upp, snikkararnir gera smærri træsmíð;sbr.bygningssnikkari,húsasnikkari[da.snedker,en.carpenter, joiner]
snúðurtrappa	(húsasm.,oljuv.)trappa sum gongur í snúður, snyrilstrappa(t.d.á oljugoymslutanga),snyrilstrappa,ganga upp einar snúðurtrappur[da.vindeltrappe,en.spiral staircase]
snúgving	(handv.)skrúvugangur, vinding,snúgvingin á einum tvara[da.skruegang, gevind,en.(screw) thread, threaded rod]
snúningsdepil	(tøkni)depil sum e-t snýst um, snar[da.omdrejningspunkt]
snúningsliður	(tøkni)(á gummigeit),liður har ið ásarnir sum møtast kunnu snarast aftur og fram[da.drejeled,en.bucket hinge pin]
snúningsmáttur	(tøkni)(í mekanikki),úrslitið av malandi orku og ørmum hennara[da.vridningsmoment]
snúningsreiðlag	(tøkni) [da.takorelæ,en.tacho relay]
snúningstal	(alisfr.)tal á snúningum pr. tíðareind av einum malandi parti í einum motori[da.omdrejningstal,en.number of revolutions]
snúningsteljari	(tøkni)tól ið telur snúningar í P|t.d.| motori[da.omdrejningstæller, takometer,en.tachometer]
snúningstøppur	(tøkni)spinnil, nokki[da.svingtap]
snúningsventilur	(tøkni), umferðarventilur[da.omløbsventil, takoventil,en.by-pass valve, tacho valve]
snyril	1linja í vaksandi vindingum út frá depli (2)el.í jøvnum vindingum um ás[da.spiral,en.spiral, coil]2vinding á bori,ansa eftir, at snyrilin ikki fyllist3(plfr.)hálvskúvur
snyrilsborur	(tøkni) [da.sneglebor, spiralbor,en.twist drill, auger bit]
snyrilsfjøður	(tøkni)snyrilsdánað fjøður[da.spiralfjeder,en.coil spring]
snyrilsgir	(tøkni) [da.spiralgear,en.spiral gear]
snyrilstrappa	(húsasm.,oljuv.)snúðurtrappa(t.d.á oljugoymslutanga)[da.vindeltrappe,en.spiral staircase]
snyrilsvektrør	(tøkni) [da.spiralvægtrør,en.spiral drill collar]
snælda	kløn stongel.sprita millum hjarta og gjørð á hjóli(t.d.á rokki, rossavogni, súkkluo.tíl.);sbr.rokkasnælda[da.ege(r)]
soda	(evnafr.)kolsúrt natron(nýtt í reingerð),um ikki land varð nýtt, varð roðið vaskað í sodu(teknNa2CO3t.e.natriumkarbonat)
soðsteinur	(jarðfr.)slag av klárariel.hvítari tinnu[da.zeolit]
sogventilur	(tøkni)ventilur ið sogið verður inn ígjøgnum[da.sugeventil,en.inlet valve]
sokkul	(húsasm.)niðasta undirstøði undirt.d.húsum[da.sokkel,en.footing, lamp cap]
sokkulbjálki	(húsasm.) [da.sokkelbjælke,en.end joist]
sólargeisli	(alisfr.)ljósgeisli frá sólini, sólgeisli, sólstrála[da.solstråle,en.solar radiation]
sólgeisli	(alisfr.)sólargeisli[da.solstråle,en.solar radiation]
sólhiti	(tøkni)hiti frá sólstrálum sum umvegis sóltakara verður førdur í hitaverkið[da.solvarme]
sólkykna	(alisfr.)fotokykna ið ger sólljós um til ravmagn(nýtt m.a. í sólfangarum og lummaroknarum)[da.solcelle,en.solar cell]
sólorka	(alisfr.)orka (t.e.ljós og hiti) frá sólini[da.solenergi,en.solar energy]
sólskermur	(tøkni)(í bili)skermur yvir forrúti til at verja fyri sólarljósi[da.solskærm,en.sun visor]
sólstrála	(alisfr.)strála frá sólini, sólargeisli[da.solstråle,en.solar radiation]
sólstøðukringur	(landafr.)vendikringur[da.vendekreds,en.tropic]
sóltakari	(alisfr.)útbúnaður ið savnar orku frá sólini[da.solfanger,en.solar collector]
sóltøkil	(alisfr.)sólkykna[da.solcelle,en.solar cell]
sóttreinsanarevni	(evnafr.)evni ið kann gera smittuevni óskaðilig[da.desinfektionsmiddel,en.disinfectant]
spaði	1(Suð.)spaki2(evnafr.)amboð við fløtum blað og longum skafti(nýttt.d.í evnafrøðiligum rannsóknum)[da.spatel]
spaki	(byggiv.)amboð til at grava, skumpael.tíl.við((stál)blað við áfløtum kanti í erva at stíga á og fest í skaft við handfangi á endanum);sbr.skupla 1[da.spade,en.spade];sms. t.d.hand-,spæl-
spanniskeið	(handv.)slag av múrskeið[da.,en.]
spartla	(handv.)seta kitt P|el.| spartillit á e-t við spartli[da.spartle,en.fill, stop, putty]
spartling	(handv.)tað at spartla[da.?spartling]
spegl	(handv.)pláta (1) ið fyllir rammu í hurð, fylling[da.fyld(n)ing]
spennbetong	(byggiv.)betonglutir framleiddir frammanundan við uppspentari styrking(annaðhvørt gjørt sum streingjabetongel.kaðalbetong)[da.spændbeton,en.prestressed concrete]
spennbroytil	(ravm.)tól sum ger um vendistreym frá einum spenningi til annan[da.transformator,en.transformer]
spennbroytilsboks	(tøkni)boks P|el.| skáp til spennbroytil[da.transformatorboks,en.transformer box]
spennbroytilsrúm	(tøkni)rúm til spennbroytil[da.transformatorrum,en.transformer room]
spennbroytilsyvirvaking	(tøkni) [da.transformatorovervågning,en.transformer monitoring]
spennbroytilsøki	(tøkni) [da.transformatorområde,en.transformer area]
spenni	(ravm.)spenningur (3)[da.spænding,en.tension, voltage]
spenniboltur	(tøkni)?boltur til at spenna[da.strammebolt,en.tightening bolt]
spenning	(ravm.)spenningur (3),spenningin kann vera ov lág[da.spænding,en.tension, voltage]
spenningsavleiðari	(tøkni) [da.spændingsafleder,en.surge absorber]
spenningsbrek	(ravm.)brek í ravmagnsspenningi[da.spændingssvigt,en.voltage failure]
spenningsdeilari	(ravm.)tól sum býtir sundur fall í ravmagnsspenningi[da.spændingsdeler]
spenningseind	(alisfr.) [da.spændingsenhed]
spenningsfall	(ravm.)tað at ravmagnsspenningur fellur í leidningi[da.spændingsfald,en.voltage drop]
spenningsfølari	(tøkni) [da.spændingsføler,en.voltage detector]
spenningsinnstillari	(ravm.)tól ið stillar inn spenning[da.spændingsindstiller,en.voltage adjuster]
spenningsinnstøkk	(alisfr.,ravm.) [da.spændingsimpuls]
spenningsmálari	(ravm.)tól til at máta (ravmagns)spenning við[da.spændingstester,en.test-lamp]
spenningsmáling	(tøkni)tað at mála spenning[da.spændingsmåling,en.voltage metering, voltage measuring]
spenningsmunur	(ravm.)munur í spenningi (3) millum tvey punkt (1) í leidningi, orkumunur ímillum tvey punkt í ravmagnsringrás sum fær elektrónurnar at røra seg sum ravmagnsstreym(máldur í voltum)[da.spændingsforskel]
spenningsreiðlag	(tøkni,ravm.)?reiðlag til (ravmagns)spenning[da.spændingsrelæ,en.voltage relay]
spenningsstig	1(ravm.)(t.d.í máttarøki)[da.potential,en.potential (?)]2(tøkni) [da.spændingsniveau,en.voltage level]
spenningsstillari	(tøkni) [da.spændingsregulator,en.voltage regulator]
spenningsstilling	(tøkni) [da.spændingsregulering,en.voltage regulation]
spenningsstyrkjari	(tøkni) [da.spændingsforstærker,en.voltage amplifier]
spenningsumbroytil	(tøkni,ravm.)?umbroytil til spenning[da.spændingstransformator,en.voltage transformer]
spenningsveitari	(alisfr.) [da.spændingskilde]
spenningsvirði	(tøkni,ravm.)virði á (ravmagns)spenningi[da.spændingsværdi,en.voltage value]
spenningsyvirvaking	(tøkni) [da.spændingsovervågning,en.voltage monitoring]
spenningsøki	(alisfr.)øki við ravmagnsspenningi[da.spændingsfelt,en.voltage range]
spenningur	(ravm.)ravmagnsspenningur(máldur í voltum)[da.spænding,en.tension, voltage]
spenniskiva	(tøkni)rund skiva sett undir ein møtrik P|el.| heys á skrúvu(at tey ikki trýsta beinleiðis á tað ið verður spent fast)[da.spændskive, underlagsskive,en.flat washer, conical spring washer]
spenniskrúva	(handv.)?skrúva til at spenna[da.strammeskrue,en.tightening screw]
spennitong	) [da.fladtang]
spennivídd	(tøkni)frástøða ímillum tvey útmørk[da.spændvidde,en.span]
spennkápil	(tøkni,ravm.)?kápil til ravmagnsspenning[da.spændkabel,en.prestressing cable, tendon]
spennramma	(tøkni) [da.spændramme,en.clamping frame]
sperra	(húsasm.)bjálki á skák millum mønu og langsyll í húsi[da.spær, tagbjælke,en.rafter]
sperrufótur	(gl.,húsasm.)niðari endi á sperru(við tappi settum niður í yvirsyll)
sperrupar	(húsasm.)einar sperrur,tekjan hevur verið tvíbogað innan, tað vísir eitt sperrupar, sum enn er goymt frá teirri tíðini[da.spærfag]
spillgass	(tøkni,oljuv.)gass ið ikki verður gagnnýtt(og fer til spillis)[da.spildgas,en.spill gas, waste gas]
spillhiti	(tøkni)hiti ið ikki verður gagnnýttur(og fer til spillis)[da.spildvarme,en.waste heat]
spillolja	(tøkni)1olja sum dryppar frá maskinu í arbeiði2nýtt olja[da.spildolie,en.reclaimed oil, spill oil]
spilloljupumpa	(tøkni,oljuv.)pumpa til spillolju[da.spildoliepumpe,en.reclaimed oil sump pump]
spilloljutangi	(tøkni,oljuv.)tangi til spillolju[da.spildolietank,en.reclaimed oil sump tank]
spillvæta	(tøkni)væta við ótørvi frá húsarhaldi og ídnaði[da.spildvæske,en.waste fluid]
spinnil	(tøkni)nokki[da.pinol, spindel, svingtap,en.spindle, stem]
spinnilslega	(tøkni)lega sum spinnil liggur í[da.tapleje]
spinnilsleingjari	(tøkni) [da.spindelsforlænger,en.spindle extension]
spinnuboltur	(tøkni
spitari	(tøkni)(á motorakfari)ferðgevi, skyndil[da.speeder,en.accelerator pedal]
spírstøði	(byggil.)kúputurel.árundaður húsalutur sum stendur framúr og bindur yvirtrom og hválv saman[da.trompe]
spískbogi	(byggil.)oddbogi[da.spidsbue,en.pointed arch, Gothic arch, ogive]
spískbrennari	(tøkni) [da.spidsbrænder,en.pencil point tip]
spísktong	(ravm.)?spísk tong (til at taka smáar lutir við?)[da.spidstang,en.needle-nose pliers]
spíssur	1e-t spískt, oddur 1, broddur (1), spískur,rókin gongur heilt út í spíss2(á motori)brennievnisventilur,rusk í spíssinum
spjaðari	(tøkni)skivudánaður innblásingarventilur ið spjaðir innblásta nýggja luft[da.spreder, diffusor,en.diffusor, spray unit]
spjaðdýsa	(tøkni)dýsa sum spjaðir[da.sprededyse,en.spray nozzle]
spjaðingarmótstøða	(tøkni)heiti fyri tey evni ávíst tilfar hevur at steðga loftslagi at sleppa ígjøgnum[da.diffusionsmodstand]
spjaðkúpa	(alisfr.)kúpa (2) ið spjaðir ljósgeislar(til nærskygd eygu),móts.savnkúpa
spjellventilur	(tøkni) [da.spjældventil,en.butterfly valve]
splittboltur	(tøkni) [da.splitbolt]
spolatvørmát	(ravm.)tvørmát í spola[da.spolediameter,en.coil diameter]
spoli	(tøkni)rulla sum tráður, leidningurel.tíl.er vundið upp áel.vavt uttan um(t.d.í seymimaskinu, bandspælarao.tíl.),hvítur/svartur spoli(við hvítum/svørtum tráð)[da.spole,en.coil]
sporføri	háttur at finna aftur til upprunan at e-m(P|t.d.| smittu)[da.sporbarhed,en.traceability]
sporing	(tøkni)tað at spora P|t.d.| akfar[da.sporing (?)]
spónleggja	(byggiv.)leggja við spónviði[da.finere,en.veneer]
spónpláta	(byggiv.)pláta av samanlímaðum spónviði[da.finer, finerplade, spånplade,en.veneer, chip board]
spóntak	(húsasm.)tak 1 av smáum træplátum
spónviðarskeri	(handv.)?tól til at skera til spónvið[da.finerskærer]
spónviður	(byggiv.)tunn pláta av fínum viði til at líma á annan við;sbr.spónpláta[da.finer,en.veneer]
spreingiarbeiði	(byggiv.)arbeiði við spreinging[da.sprængningsarbejde]
spreingievni	(tøkni)sprongkvæmt evni, evni sum veldur spreinging[da.sprængstof,en.explosive]
spreingigos	(jarðfr.)eldgos við bráðari spreinging
spreingiløðing	(tøkni)(nøgd av) spreingievni í P|t.d.| eini bumbu P|el.| granat[da.sprængladning,en.blasting charge]
spreingimotorur	(tøkni,gl.)brennimotorur[da.eksplosionsmotor,en.internal-combustion engine]
spreinging	tað at e-t spreingist, skot (2),spreinging í grótbroti[da.sprængning]
spreingitryggur	(oljuv.)tryggur fyri spreinging[da.eksplosionssikker,en.flameproof]
spreingiveggur	(oljuv.)veggur sum verja fyri spreinging[da.eksplosionsvæg,en.blast wall]
spritt	(evnafr.)etanol blandað saman við øðrum evnum;sms. t.d.lampu-,reka-,træ-,vín-
sprossi	(húsasm.)listi í vindeygarammu(millum rútarnar)[da.sprosse,en.muntin]
sproytimála	(handv.)mála (hús, bilaro.tíl.) við sproytu[da.sprøjtemale (?),en.spray paint]
sproytubetong	(byggiv.)betong ið verður sproytað inn[da.sprøjtebeton,en.shotcrete]
sproytudýsa	(tøkni,oljuv.)sproytustrútur[da.sprøjtedyse,en.spray nozzle]
sproytustrútur	(tøkni,oljuv.) [da.sprøjtedyse,en.spray nozzle]
spruttlappi	(tøkni)lappi úr hørðum plastiel.tíl.at verja fyri skitti undan hjólunum(t.d. á bili, súkklu o.tíl.)[da.stænklap,en.mud flap]
spruttverja	(tøkni)skermur at verja fyri skitti undan hjólunum(t.d. á bili, súkklu o.tíl.)[da.stænkskærm,en.splashboard, splash guard]
spæl	(skipasm.)útbúnaður til at vindael.hiva e-t uppel.inn, vinda 1(1)
spølur	(húsasm.)stong (1), lekt[da.strø]
stabbagrót	(jarðfr.)basalt storknað í sekshyrntar stabbar, stuðlaberg[da.søjlebasalt]
stabbamynd	(støddfr.)strikumynd við loddrøttum stabbum(umboðandi tøl)[da.histogram,en.bar graph]
stabbasokkul	(tøkni) [da.søjlesokkel,en.plinth]
stabbatól	(tøkni) [da.søjleinstrument,en.bar graph indicator]
stabbi	(jarðfr.)heiti á kolalind í Suðuroy,sbr.rann 2
staðfesting	) [da.validering,en.validation]
staktal	(støddfr.)heiltal sum tvey ikki gongur upp í, staktel.ómakað tal,3 og 7 eru staktøl
stakur	(støddfr.)stakt talstaktal;sbr.makaður
stansur	(tøkni)[da.stanse]
startari	(tøkni)útbúnaður ið fær motor P|el.| maskinu í gongd[da.starter,en.starter]
startbrek	(tøkni)brek í starting á P|t.d.| motori[da.startsvigt,en.starting failure]
startbrekávaring	(tøkni)ávaring um startbrek[da.startsvigtalarm,en.starting failure alarm]
starteftirlit	(tøkni)eftirlit við starti[da.startkontrol,en.start control]
startiventilur	(tøkni)ventilur í startara[da.starteventil,en.starting valve]
startluft	(tøkni)?luft til at starta við[da.startluft,en.start air]
startluftfløska	(tøkni)?fløska við startluft[da.startluftflaske,en.starting air bottle]
startluftkompressari	(tøkni)?kompressari til startluft[da.startluftkompressor,en.starting air compressor]
startluftmillumkølari	(tøkni) [da.startluftmellemkøler,en.black start intercooler]
startluftskipan	(tøkni) [da.startluftsystem,en.air starting system]
startlufttrýst	(tøkni) [da.startlufttryk,en.starting air pressure]
startmotorur	(tøkni)motorur til at starta e-t við[da.startmotor,en.start engine]
startstillingarventilur	(tøkni) [da.startreguleringsventil,en.start control valve]
starttrýstknøttur	(tøkni)knøttur til at seta e-t í gongd[da.starttrykknap,en.start push button]
startúrkopling	(tøkni) [da.startudkobling,en.start inhibit]
starvsháttur	(teld.) [da.funktion]
starvsskipan	røð av reglum fyri hvussu e-t skal gerast[da.procedure,en.procedure]
statorkjarni	(tøkni)kjarni í statori[da.statorkerne,en.stator core]
statorkølari	(tøkni)útbúnaður ið kølir niður stator[da.statorkøler,en.stator cooler]
statorur	(tøkni)parturin í ravmagnsmaskinu ið situr fastur(og ikki melur)[da.stator,en.stator]
stavlag	(húsasm.)stórviður í húsum, grindarlag, undirtrom,takið fór av, men stavlagið stóð eftir[da.stolpeværk]
stavsnið	(teld.)útsjónd á prentaðum tekni (t.e.bókstavi, talio.tíl.),eitt stavsnið er skákskrift[da.font,en.font]
