o1	(málfr.)sjálvljóðsstavur (nevndur[o:])
omanskalvur	skalvur sum hongur í egg í erva(losnar og loypur)
omanskrið	omanlop (1), skriða 1(1), skriðulop, grótlop,eg minnist fleiri ferðir til omanskrið av bæði kava og gróti
omansleipin	1(um lendi)hálur og bratturel.hallur(og geingi tí er ringt),tú skalt ikki fara har, tí tað plássið er so omansleipið;har er hált og omansleipið og tí ringt at draga nót;(flutt m.)tú sært mær heldur omansleipin út(ringur eftir teg, hundasjúkur)2hallur, skráur,set teg ikki í handa stólin, tí hann er so omansleipin(ringur at sita í)
omansnákutur	við slættkembdum hári, snákutur(um høvdið),tú ert so omansnákutur í morgun
omansneyt	(Gj.)omantúnsneyt
omantil	í ovara parti, í erva,móts.niðantil,opið omantil á tunnuni
omanturt	við skáael.ælasliti,tað var jarðrok, men omanturt;tað er omanturt(regnar ikki)
omantúnsneyt	(Gj.)neyt ið verða rikin niðan eftir, omansneyt
omanum	1niður og tvørturum,ein ójavni, har vatnið skolar moldklumpar omanum2tvørturum í erva,flábygdur bátur, ið liggur so nógv út omanum
omanundir	niðureftir og innundir
omanvatn	(stb.)regn
omanvegur	vegur oman, omanleið,á omanvegnum
omanvert	hjí osb.omanvert við (e-t)eitt sindur oman fyri (e-t)
omanvæta	omanávatn,omanvætan og væta í undirgrundini er til miklan bága
omma1	1móðir at faðirel.móður, faðirmóðirel.móðurmóðir2gomul kona,ein gomul omma3(stb.)eplamamma;sms. t.d.gaml-,lang-,oldur-
omma2	(Nóls.,skemt.)brúdleypsdrekka,einar átta dagar framman undan brúdleypinum varð farið til Havnar eftir ommu;sbr.amma
ommba	(barn.)ommubeiggi
ommubarn	barn ið ein er omma at;sbr.abbabarn
ommubeiggi	bróðir ommu
ommudidd	(barn.)ommudidda
ommudidda	(barn.)ommusystir
ommudóttir	genta ið ein er omma at,hon er ommudóttir hennara
ommuligur	gamalsligur(t.d. um konufólkaklæði),alt er nýmótans, sjálvt hitt ommuligasta
ommupikk	h9e:ommupikkiðbindingarmynstur(HMD Bindm.39)
ommusonur	drongur ið ein er omma at,ommusonur mín
ommusystir	systir ommu
ommutur	ommuligur,ein ommutur kjóli
ompil	(fugl.)ungi hjá súlu til hann hevur kastað dúnið,ompil eitur ungin til út í august-september mánað, tá verður hann nevndur grásúla;sbr.grásúla
ond	1andi (1),dragael.missa ondina;vera tungur fyri ondinihava ilt við at anda;skifta ondinael.ondinianda inn,hann hevði so sterkt bróst, at hann kundi kvøða báði niðurlag og ørindi uttan at skifta ondina;ondin blakast í honumhann liggur í andaleypi;við ongari ond1uttan at fáa andað, tivandi,hon stóð rættiliga við ongari ond, sum hon hevði runnið;hann helt av húsinum við ongari ond(í stórum skundi)2í skellilátri,tey sótu við ongari ond yvir brævinum2andi (6),stórur í ondinihástórur, stoltur3fleyr (1), kyling (1), ættargul(við hitael.kulda),kyld,ondin er køld;tað er kalt í ondini;hann stóð á landnyrðingi við eini frískari ond4(stb.)blástur 1(2),døglingur hevur høga ond5(sjónavn)hvalur6(flutt m.)vera sum ein ondvera upp í loft, vera eldhugaður,hann var sum ein ond beinanvegin;sms. t.d.arbeiðs-
ong	(kvæð.,skaldsk.,stn.)graslendi(til slótturel.beiti),vøllur,gras av eingjum;eg smáttu veit á grønu ong;(kvæð.)hann leiðir sín hest í ong;(stn.)Oyrareingir;sms. t.d.eplis-,káls-
ongan	síeingin
ongantíð	á ongum sinni, aldri,ongantíð beturhevði tað verið so væl, gævi satt;ongantíð nakrantíðaldri yvirhøvur,hatta tólið hevur ongantíð verið gott nakrantíð
ongastaðna	(Suð.)ongastaðni
ongastaðni	á ongum stað, ongar staðir
ongila	(sj.)ongilia
ongilia	fremsta stykkið niðantil á kalva
ongiliubein	uggabein á kalva(clavicula)
ongiliugeisli	fremsti ryggjargeisli á kalva(Sv)
ongilja	ongilia
ongiljubein	ongiliubein
ongiljubeita	beita 1(2) skorin av ongiliu
ongiljugeisli	ongiliugeisli
ongilsbeita	(stb.)ongiljubeita
ongin	eingin
onglalag	(gl.)1amboð til at rætta uppaftur bognaðan húkel.ongul2amboð til at smíða húkar við,húkurin varð tikin úr eldinum og stungin í onglalag og bukaður;sbr.naglalag,tindalag
Ongland	land sunnast í Bretlandi
onglendingur	fólk íel.úr Onglandi
ongspretta	(dj.)grashoppa,ongsprettur eta tíðum alla grøðina av
ongul	krókur(oftast úr jarni og við agnhaldi)á snøriel.línu við agni á at fiska við, húkur,ongul í reyvið einki hevur fiskað, krøktur;ikki loysa ongulineinki veiða(av fiski);sms. t.d.fót-,kalva-,kenningar-,kúlu-,murt-,seiða-,sóknar-,stór-
ongulfastur	(um fisk)fastur á ongliel.húki,bregður væl við, so hann ongulfastur er
ongulfesta	rykkja í snørið(at fiskurin skal festast á húkinum),bregða við, festa á ongul
ongulsál	(stb.)stunga (1)
onk	(stb.)eymk,vit hoyrdu onkini frá honum
onka	(stb.)eymka,onka seg
onka-	ið ein hevur serligan tokka til, yndis-
onkabarn	barn ið er serliga kært og elskað, einkabarn, yndisbarn, eygnasteinur (3),hann var onkabarnið umborð;(flutt m.)bókmentafelagið var í mong ár onkabarn hansara
onkabróðir	(kvæð.)kærur og elskaður bróðir
onkadóttir	1dóttir ið er e-m serliga kær og góð, einkadóttir,(kvæð.)kongurin læt eina gullbreyt gera til onkadóttur sína2(sj.)einasta dóttir,onkadóttir hansara lá fyri deyðanum
onkar-	onka-
onkasonur	1sonur ið er e-m serliga kærur og góður, einkasonur,(bíbl.)tú sýtti mær ikki onkason tín;onkasonur Guðs2(sj.)einasti sonur
onkavinur	serliga góður vinur, einkavinur, trúnaðarvinur
onkrantíð	(sj.)onkuntíð,onkrantíð tegi tú
onkrastaðni	(stb.)onkustaðni
onkun	(gl.)síonkur
onkuntíð	1eina ferð (í fortíðel.framtíð),onkuntíð var eg fitt á fótum(fyrr);var tað sum onkuntíð, hevði hetta ikki pøst meg(sum fyrr)2bara hendingaferð, sera sjáldan, av og á, stundum, við hvørt,tað var ikki meira enn onkuntíð, at ...
onkunvegin	(sj.)onkursvegna
onkur1	k(gl.)í osb. sume-m tykir onk í e-m(synd)
onkur2	einel.eitt ið ikki er nærri tilskilað, eittel.annað (ávíst) men tilvildarliga valt, einhvør, nakar,onkun daginein av fyrstu døgunum;onkun dag uppímillumein dag (av og á);onkra frægari gentu mátti hann funnið;onkur annar;væl er hon ikki so andlitsfríð sum onkur onnur;okkurt var at geraeitthvørt mátti gerast;okkurt sigur tú;okkurt sovorðið;okkurt um(stytto.u.)um leið;(kvæð.)Haraldur liggur í síni song onkun morgun snimma(einhvønn)
onkursvegna	á onkunel.onkran hátt, á ein hátt, einhvørsvegna,tað man fara at laga seg onkursvegna
onkustaðna	(stb.)onkustaðni
onkustaðni	á onkrum stað, einastaðni,onkustaðni stendur skrivað
onnur	síannar
ont	(fugl.)antarfuglur, villdunna;sbr.dunna;sms. t.d.brim-,kol-,krik(k)-,snældu-,spegils-,spón-,stikk-,stokk-,sutl-,súg-,tann-,teym-,topp-,trøll-
op	tað ið opið er, hol (1), gat 1(1), munni (1),einastaðni var op á inn í landið;sms. t.d.blað-,sjón-
opa1	(sj.)op, hol (1),bandið, sum eg skuldi gloppa opurnar í luftbjølginum við, slitnaði;bert úti í fjarðarmunnanum er ein opa
opa2	1gera opið e-t ið tipt er, opna 32(í fletting)gera op á kroppin, kryvja,henda kundi, at menn fingu upp í glasið, tá ið opað varð og fitin komin til sjóndar3lata upp, opna,opa øðurnar
opalur	(jarðfr.)prýðissteinur(úr vatnríkari kisilsýru)
-opari	sípípu-
opera	1(tónl.)slag av dramatiskum sangleiki har ið leiklutirnir verða sungnir(meðan spælt verður undir)2hús har ið opera (1) verður framførd,operan í Wien
opilsi	op,øll opilsi í plantunum fyllast við luft
opin	1ikki afturlatinel.lokaður, ikki stongdur, ólæstur,opið stóð út í tún(víðopið);setael.blaka opið eftir særikki lata hurðina aftur eftir sær;dyrnar standa opnar1á víðan vegg2ólæstar,opin innantómur innan, innanopin;nøtin er opin innan:opin ferðaseðil(ikki dagfestur);hava opið høvdminnast væl til, vera skilagóður;(málfr.)opin ljóð;opið sjálvljóð(gjørt við stórum munnopi),opið bræv(kunngjørt alment);(úti) á opnum haviá víðum havi;í osb. sumhar er opið innundir(t.d. klett, áarbakkao.tíl.);í osb. sumsigla opnan fjørðinsigla eftir firði til munni sæst fyri havi2óvardur, verjuleysur, berur (1),liggja opin(á bakinum);opið beinbrot(beinstubbi fer út ígjøgnum húðina)3ið ikki dugir at tiga um e-tel.krógva e-t, opinskáraður, søgutur, søgvísur4ið mjólkar (eitt sindur),kúgvin er opin(er ikki slept);einans kúgv er opin;eingin kona er opin(mylkin);sms. t.d.aftur-,hálv-,innan-,víð-
opinbera	geva til sjóndar, lata koma í ljós, kunngera, lýsa 2(5), boða (2), sýna, avdúka,hann opinberaði dýrd sína;Harrin opinberaði seg fyri Ábrahami
opinbering	1tað at opinberael.verða opinberaður2e-t ið verður opinberað3(átr.)sjónel.fyriboðan ið ein menniskja fær umel.frá hægri veruel.Guði,fáa eina opinbering frá Guði;Jóhannesar opinbering
opinberingarbók	(átr.)bók ið sigur frá evstu tíðum og heimsins undirgangi,(í bundnum formi serst. um)Jóhannesar opinbering,í brøvunum og í opinberingarbókini(apokalypsis)
opinberligur	opinberur, almennur, týðiligur, skilligur,kenslan av einsemi og fremmandaleika er heilt opinberlig;opinberligur sannleiki;hj-liga,gera e-n opinberliga til skammar;atfinningarnar komu fram opinberliga
opinberur	eyðsýndur, eyðsæddur, bersýndur, greiður, opinberligur,danska stjórnin stóð í opinberari mótstøðu við tjóðskaparrørsluna í Føroyum;betri er opinber atfinning enn kærleiki, sum heldur seg fjaldan
opinekra	1(burturløgd) velta ið ikki er aftursvarðað(hevur áður borið epli, røturel.korn),liggja í opinekru(tá ið ikki varð sett niður í aftur um várið),fyrst er tað velta, so opinekra og síðan nýlendi2velta ið velt er í nógv ár, moldvelta,seta niður í opinekru
opinekruarvi	(plfr.)slag av arva 1(Stellaria media)
opinepli	(stb.)eftirepli
opinleiki	tað at vera opin (3) og óhulin,størri opinleiki[russ.glasnost]
opinlyndi	opið lyndi, opinleiki,yrki teirra - runnið av opinlyndi og víðfevnandi hugsjónum
opinlýst	frítt, ótarnað, opið, ódult,Jesus kundi ikki longur koma opinlýst inn í nakra bygd
opinlýsur	opin, óduldur, opinberur
opinoygdur	við stórum og opnum eygum, við útrendum eygum
opinreyv	opnareyv
opinskára	avdúka, boða frá, siga frá, leka (3), smetta,teir fáa einki burtur úr tí uttan at opinskára seg sum falsarar;lærarin var ikki tann maður, at hann opinskáraði nakað;tað verður skjótt opinskárað, at vit eru her
opinskáraður	1ið sigur e-t bart út, ið sigur sum er, bersøgin, ærligur,tað var honum so líkt at vera opinskáraður við slíkum, ið skuldi verið væl umhugsað og varisliga sagt;hon hevði altíð verið opinskárað og aldri dult nakað fyri honum2ið illa dugir at tiga(um e-t loyniligt),opin (3)
opinskáraføri	tað at vera opinskáraður, bersøgni,í opinskáraførifyri almennings eygum, alment;eg tordi ikki at drekka í opinskáraføri;koma í opinskáraføri(um innibyrgdar kenslur)koma fram, koma til sjóndar, opinberast
opisligur	opin, tómur, innanopin, innantómur,altíð so mikið opisligt millum rimarnar í neystinum;har var ógvuliga opisligt innan;tað ljóðaði opisligt at ganga eftir brúnni
opium	(lækn.)rúsevni vunnið úr dreymsólju(nýtt til at doyva pínu)
opna1	(dj.)vaksin kvennkópur, úldrynja;sbr.brimil
opna2	1tvær síður ið síggjast samtíðis í opnari bókel.opnum blað,úr hvørjari opnu vellir kærleikin til ættina2innsíðanel.tað opna á krovi,opnan á krovinum skuldi altíð venda frá fólki(sum komu inn í hjallin)
opna3	lata upp, gera opnan, opa,hann fekk næstan ikki í lag at opna brøvini;opnastlata seg upp, gerast opin,best at koma sær tætt at landi, áðrenn bygdin opnast;himmalin opnaðist fyri honum
opnahjallur	hjallur við laðaðum skjøldrum og taki men opin á síðunum, stabbahjallur við ongum rimum(serst. at heingja fisk í),gjóstur sum í einum opnahjalli;(tilt.)hanga sum kráka í opnahjalli(um onkun ið krøkist, klintrast og lesir seg);(tilt.)sum fressur í opnahjalligrammur (eftir e-m);sum ein opnahjallur(um e-n ið ikki dugir at tiga við e-m)
opnakeil	eitt sum ikki kann tiga við loyndarmálio.tíl., eitt sum einki legst undir
opnareyv	1ein ið setur opið eftir sær2opnakeil
opnari	1amboð at lata e-t upp við(t.d. fløsku, dóso.tíl.)2(gl.)borur(Sv);sms. t.d.dósa-,fløsku-
opnatroyggja	troyggja opin fyri framman,eg fari at binda eina opnatroyggju
opning	tað at opna(Sv)
opningur	(lækn.)1tað at fáa av sær, tað at hjálpa sær sjálvum,rugmjøl ymisliga tilgjørt varð fyrr nýtt, tá ið illa gekst at fáa opning2tað ið ein fær av sær, skarn, (manna)trekkur,harðurel.linur opningur;hava harðan opning
opra	s30(stb.)í osb.opra undanhopa undan
opsin	óhyggin og opinskáraður, forsin og bersøgin,hann var altíð opsin
opsni	tað at vera opsin, opinskáraføri,flestøll læðu eitt sindur at forvitni hansara og opsni
optikari	ein ið er útbúgvin at evna til og selja brillur og atkúpur
optiskur	(alisfr.)viðv. ljósiel.sjón,til lívsins uppihald slípaði hann optisk gløs, og tað eru nakrar av hesum linsum, sum eru vorðnar mín ogn
orangutang	(dj.)stór mannapa(við longum ørmum og síðari reyðbrúnari ull)(Pongo pygmaeus)
ordan	(tlm.)í osb. sumgera í ordangera í stand, hampa, umvæla;vera í ordanvera í lagi
ordans	(tlm.)rættur, rættiligur, óførur (4),hatta er ein ordans gloypubiti
ordans-	(tlm.)dugna-, megnar-,ein ordanskona/ordansmaður
ordiligur	rættur, rættiligur, veruligur,hann sær, at tað er ikki ordiligt fólk;ein ordiligur lubbi;ver ordiligur!(skikkiligur, hampiligur (1));hj-liga
ordri	1boð, orðsending,geva ordrargeva boð (um e-t)2bílegging, umbiðing
orð	1(málfr.)minsta merkingarberandi eind ið kann standa einsamøll sum útsøgn (1)2tað ið sagt verður,(bíbl.)í fyrstuni var orðið;fariseararnir gingu saman í ráð, hvussu teir skuldu fáa sett Jesus fastan í orðum;vita orð fyriduga at orða,teir høvdu á sær hesa undrandi kenslu, sum teir ikki vistu orð fyri;ikki leita eftir orðunumtala raðið og beinrakið;hann átti eingi orð fyri gleði síni;taka orð úr munninum á e-msiga júst tað, ein annar ætlar at siga;vera við tí góðael.ringa orðinumsíggja tað góðael.ringa íel.við e-m, rósael.lasta,hann er altíð við tí góða orðinum;tað var ikki orð á, sum hann varð róstur(tað sigst ikki frá, ikki eiti á);í orð og tal kundi hon mangan vera ov greflig;orð ókst av orði,síeykast 1;gloym ikki títtel.tíni orð!(sigur ein høviskliga við annan, tá hann vil skjóta e-t inn í tosið, sum honum kemur í huga í løtuni);øvut orð;taka orðið av;havael.taka seg aftur í orðinirætta tað ið er sagt skeivt;(tilt.)eitt var orðið, annað høggið(stutt millum tað ið sagt og gjørt verður);skaðin var størri á orði enn á borði(í orðum enn í royndum);(orðt.)mangur er á orði, ið ikki er á borðimong eru samd men svíkja tá ið fremjast skal í verki;(orðt.)tað er ikki hvørt orð, tú skalt svara til, og ikki hvørt gildi, tú skalt fara til,sbr.snildi3tað at tala, framsøgn,orðum kønur;ikki fáa orðið uppel.frameinki fáa sagt;taka til orða(nna)(fara at) tala,(kvæð.)keisarin tekur til orða svá4tað at tala saman, tað at koma á tal við, samrøða,skifta orð (við e-n um e-t);eiga orð saman;hava orðum saman1tala saman2keglast, deilast,koma til orða við e-n(á tal við e-n);vera til orðahittast;fáa orð á (e-n)fáa (e-n) í tal;bera orð á (e-n)tala áel.til (e-n);teir komu til orða inni í kolinum(at deilast);bera orð av dreingi/gentuvera settur í samband við drong/gentu,Dávur hevði ikki borið orð av gentu síðan;tey bæði høvdu borið orð av hvørjum øðrum nøkur kvøld;bóru tvey orð av hvørjum øðrum, so var altíð nógv at siga um tey5tað at umtala, umrøða,hava á orði1umtala2rósa e-m, (lov)prísa e-m,(orðt.)fátt er betri enn á orði havtsjáldan er nakað betri enn tað er sagt at vera;hava (e-t) við orði(umtala, nevna),eg havi ofta havt tað við orði, hvussu góður fiskurin er;øll hava teir við orðitala (rósandi) um teir;hava á orði við e-n (um e-t)tala við e-n (um e-t), hava (e-t) á munni við e-n, umrøða e-t (við e-n);hava orðið umnevna,har veksur hin reyði tarin, tygum høvdu orðið um6tað ið frættistel.hoyrist, leysatíðindi,komael.førast út í orð;loypa út í orð;hesari ferð hansara gekk mikið orð av;orð gekk av, so gott prógv hon hevði fingið;orð hevur gingið um kærleikan teirra millum;uttan orð og/ella boðuttan ávaring, beinan vegin,hann gjørdi tað uttan orð og boð;hoyra hvørki orð ella eiðals einki frætta (frá e-m);áðrenn nakar visti orðið av tí(nakað um tað yvirhøvur)7ámæli (2), ummæli (4),hava gott/ringt orð á sær;orð gongur avtað sigst;hann ber orð fyri at vera sterkur(verður sagdur at vera sterkur);bera e-m gott orð(alt gott);koma (e-m) í ringt orð;slíkt er óhóskandi, óverdugt fyri fólk, ið vil hava orð fyri at vera mentað fólk;sýslumaðurin hevði einki orð á sær(var illa umtóktur);leggja góð orð fyri e-n;mátti hava vissu fyri, at maðurin var, so sum orðið gekk av honum(sum hann segðist vera)8orð(a)tak,eitt gamalt orð9lyfti, tilsøgn, heiti (4),halda orð;bróta sítt orð;geva (e-m) orð og eiti fyri, at...;fútin vildi ikki bróta orð og eiti sítt10tað at leggja afturatel.skoyta uppí, tað at taka e-t uppaftur,taka í aftur orðið;"ein kann ikki bara arbeiða", tók Gunnar í aftur orðið;eg taki nú aftur í orðið;hann tók so aftur í orðið11tað at leggja uppímillum(í samrøðuel.orðaskifti),hava orð uppií;onkur kona hevði eitt orð uppií;eg skoytti ikki um at geva orð til(svara)12(átr.)orðiðGuds orð, gleðiboðskapurin, skriftin, Bíblian13(fólktr.)hava orðið á e-mrósa so at ilt verður úr,hav ikki orðið á honum(t.d. at siga um ein sjúkan at hann er í betring);teir hildu orðið á honum(høvdu);lat meg ikki hava orðið á (tí, tæro.s.fr.)lat meg siga tað meðan væl er vorðið, Gud lati meg góðan tíð tala;sbr.spírstunga 1;hann hevði hetta brýnið á orði, hvussu gott tað var - og tað brotnaði;hon hevði eina hvassa tungu og nógv av tí, hon spáddi og hevði orðið á, skuldi ganga út;sms. t.d.arv-,boð-,festar-,for-,frøði-,ganda-,háðar-,heit-,hjá-,lygnar-,lýsingar-,minningar-,óvanda-,rím-,sagn-,skrift-,spei-,tal-,trúar-,tøku-,vinar-,yrkis-
orða	nevna, bera upp á mál, bera fram (í orðum), seta saman (í orðum),orða e-t við e-n;orða burturfáa (e-t) at hvørva;tað gekk so væl - nú orðaði tú tað burtur!;orða ein burturhava orðið á e-m(so at hann doyr),hann orðaði seyðin burtur(hevði orðið á honum);orða fisk avhava orðið á fiski(so at hann fer av),nú orðaði tú hann av;orða ímótimælael.muta ímóti;orðastkomael.førast út í orð;sms. t.d.um-
orðabanki	(teld.)teldutøkt orðasavn
orðabending	(málfr.)tað at benda (3) orð, bending (2)
orðabók	bók við orðatilfari í ávísum máli í stavraðaðari uppseting og við skilmarkingum á samael.øðrum máli(vanl. við upplýsingum um framburð, bending, nýtslu, orðasøguo.tíl.),føroysk-donsk orðabók
orðabókar-	sms. t.d.-forrit,-gerð,-handrit,-ritstjóri
orðabókargrein	(í orðabók)leitorð viðt.d.skilmarking, samheitum, dømum og ymsum málsligum upplýsingum
orðabrask	stórlátin og reypandi orð, gabb (1)
orðadráttur	orðgonga, kjak, kegl (1), træta,verael.liggja í orðadrátti við e-ndeilastel.keglast við e-n
-orðaður	sí t.d.blíð-,fagur-,fals-,fá-,góð-,harð-,hittin-,hvass-,ill-,ljót-,mjúk-,ógv-,stór-,stutt-,søt-,títt-
orðafall	orðalag, málbrúk,eg havi sjáldan hoyrt so vakurt orðafall
orðafar	málbrúk, málbering, orðalag,hann er altíð so bøllutur í orðafari
orðafáur	1ið sigur lítið, fáligur (1), fáorðaður, fámæltur, orðalítil,hví mundu tey vera so orðafá og innisæl2ið nýtirel.hevur fá orð,málið er orðafátt
orðafelli	1(orða)tiltak, máliska,føroysk orðafelli og orðtøk2málbrúk, málnýtsla, orðafar,av teimum gomlu lærdi eg gott føroyskt orðafelli
orðaflokkur	(málfr.)hvør av teimum flokkum sum orðatilfarið í málinum verður býtt í eftir merking, formi og støðu í setningi(t.d. navnorð, lýsingarorð, talorð)(pars orationis)
orðafloymur	floymur av orðum, orðaflóð,eg var eitt sindur illa við av hesum orðafloymi
orðaflóð	orðafloymur
orðafrágreiðing	orðalýsing
orðagangur	orðabrask, deilan, møsn, tvass,láturligur orðagangur hoyrdist úr krambúðini
orðageip	geip við orðum, gabb, skrøgg, møsn
orðagerð	(málfr.)tað at gera nýggj orð(t.d. við avleiðsluel.samanseting),orðasmíð,orðagerð á heimligari grund
orðagjálv	geip, reyp, skrøgg
orðakappi	(bíbl.)ein ið stendur í orðastríði,hvar er orðakappi í hesum heimi?
orðakringur	orðkringur
orðalag	tann háttur orð eru lagað og skipað í setning, máti at orða e-t, málbrúk, orðafall, orðing,hann kundi stundum tykjast bonskur í orðalag;tað er eitt (ræðuligt) orðalag, hann hevur(ljótur í orðum);tað fyndiga, máttmikla orðalagið;greitt, beinrakið og mergjað var orðalag teirra;gott og greiniligt orðalag;hava gottel.ringt orðalag til e-nhava e-t gottel.ringt at bera e-mel.siga um e-n;hann hava tey einki orðalag til(rósa honum ikki)
orðalagsheild	(málfr.)heild av orðum samansett eftir reglunum í orðalagslæruni[da.syntagme]
orðalagslæra	(málfr.)grein í málfrøði um setningsgerð og samband millum setningar, læra við reglum um (málsliga rætta) samanseting av orðum í setningar, setningafrøði(syntaxis)
orðaleikur	1tað at nýta einsljóðandi orðel.fleirtýddar máliskur til at fáa fram t.d. e-t láturvert, leikur við orðum2tómorð, tungusnild, røðusnild,alt hetta við talum, skrúðgongum og strætan um geilarnar var tað bera ról og orðaleikur;alt endaði í berum orðaleiki
orðaleyst	uttan mótmæliel.ábreiðslu, uttan at muta ímóti,gert tú hatta, verður tað ikki orðaleyst(so verður tú deildur fyri tað);tað skal ikki vera orðaleyst;tað gjørdi hann orðaleyst(uttan at muta ímóti);einhvør hevur gjørt hesa góðgerð orðaleyst(tigandi, stillisliga, uttan hóvasták)
orðalisti	stavraðaður listi við orðum, orðaskrá
orðalítil	orðafáur, fáorðaður, fámæltur,álvarsom og orðalítil;hon var orðalítil og læt aldri nakað leka út, sum hon visti;hesi fólkini vóru so orðalítil(søgdu ikki nógv)
orðaljóð	orðing, orðalag,brævið varð lisið upp í fullum orðaljóði
orðalýsing	lýsing av orði, orðafrágreiðing, skilmarking
orðalæra	(málfr.)læra um orð(t.d. innihald, nýtslu, bendingo.s.fr.)
orðamikil	stórorðaður, gabbutur, reypsamur,tú plagar ikki at vera so orðamikil
orðamunur	munur í orðing, frábrigdi (1), avbrigdi,orðamunur úr øðrum handriti stendur við hvørt undir tekstinum
orðanøgd	nøgd av orðum, orðafloymur,orðanøgdin var ógvulig, men skilið var lítið
orðarað	(málfr.)raðfylgi av orðumel.liðum í setningi, rað av orðum,setningur við beinum orðarað;øvut orðarað(t.d. tá ið sagnorð kemur undan navnorði)
orðaraðið	orðarætt, raðið,frásøgan er prentað at kalla orðaraðið;ikki er orðaraðið avskrivað
orðareiggj	(gl.)orðadráttur, deiling 1,teir áttu eina harða orðareiggj saman
orðaríkur	ið nýtirel.kennir nøgd av (sjáldsomum) orðum,hann var tiltikin fyri at vera orðaríkur;ikki bert orðaríkur, men dáðríkur eisini
orðarætt	beint sum sagtel.skrivað er, orðaraðið,endurgeva orðarætt;fleiri brot eru tikin at kalla orðarætt
orðarættur	sagdurel.skrivaður orð fyri orð(í beinari endurgávu),orðrættur,orðarøtt frágreiðing;hjorðarætt,barnið segði søguna orðarætt, sum tað hevði hoyrt hana
orðasamband	samband av orðum, orð ið standa saman(oftast fastel.hevdbundið),fast orðasamband;í vissum orðasambondum
orðasavn	(stórt) skipað savn av orðum(t.d. á seðlum, í telduo.s.fr.)
orðaskifti	tað at skifta orð (um e-t), orðadráttur, kjak, umrøða,teir høvdu sitið í orðaskifti um okkurt mál;orðaskifti um fíggjarlóg
orðaskiljing	(sj.)orðalýsing
orðaskolan	skról, goff, skvaldur
orðaskrá	stavraðað skrá við orðum, orðalisti, orðasavn
orðaskvaldur	skról, goff, møsn, roks, orðagjálv
orðasmiður	ein ið ger (nýggj) orð,kringur orðasmiður
orðasmíð	(málfr.)tað at smíða (nýggj) orð, orðagerð(t.d. úr samansetingarliðum, stovni (5), forfesti, eftirfestio.s.fr.)
orðastríð	stríð í orðum, orðadráttur, orðgonga, kegl, træta,tey vóru ógvuliga ofta í hvøssum orðastríð;hann var fúsur til orðastríð
orðatak	orðtak
orðatilfar	1nøgd av orðum í einum máli, málføriel.sermáli, orðfeingi2nøgd av orðum ið ein nýtirel.kennir,virkið og óvirkið orðatilfar
orðatiltak	tiltak (5), máliska (1)
orðatrot	tað at trótael.vanta orð,hann er ikki í orðatroti
orðaval	tey orð ein velur sær at nýta, val av orðum,hann er óstortsligur í orðavali(í orðum)
orðavargur	ein ið er stórorðaður, skræðugákur, gabbari, reypari, skrólari,hann var ein sovorðin orðavargur, hann tók so ógvusliga til orðanna;hann hevur ikki verið tiltikin fyri at vera nakar orðavargur
orðavas	orðaskvaldur
orðavavstur	vavstur av orðum, ógreið og høpisleys tala, orðaskvaldur
orðbera	siga frá (í orðum), orða,orðbera segmálbera seg, orðføra seg;tað er torført at orðbera seg á rættan hátt
orðblindi	tað at vera orðblindur
orðblindingur	ein ið er orðblindur
orðblindur	ið vantar evni at lesa og skriva rætt;sbr.talblindur
orðbragd	orðalag, orðafar,longu í 15. øld síggjast donsk orðbrøgd at vera komin inn í norskt og føroyskt skriftmál
orðbrosin	(gl.)munnkátur, ógvorðaður
orðbýta	(málfr.)býta orð sundur millum reglur
orðbýting	(málfr.)tað at býta orð sundur millum reglur
orðfáur	fáorðaður, fámæltur, orðalítil, orðafáur (1),stillførur og orðfáur maður;við hesi orðfáu lýsing er nógv sagt
orðfeingi	(málfr.)orðatilfar
orðfella	(um málburð)fáa at sita, siga, orða,hann tosar reint suðuroyarmál og dugir væl at orðfella tað;kvæðið er ikki so væl orðfelt(fylgir ikki so væl lagnum)
orðfelli	orðafelli
orðfelling	tað at orðfella (seg)(í kvøðing)
orðfesta	staðfesta í orðum, skriftfesta, kunngera
orðfimi	tað at vera orðfimur,hon segði frá tí við einføldum orðfimi
orðfimur	fimur í orðum, ið dugir væl at taka til orðanna, orðkringur, lagorðaður, munnfimur
orðfittur	orðfimur, munnfittur,vera orðfittursiga e-t beinrakið
orðformur	(málfr.)orð í serstøkum (bendingar)formi, orðsnið
orðfúsur	ið dámar (ov) væl at tala, íðin at siga e-t,tú ert so orðfúsur;hann angraði, at hann hevði verið so orðfúsur og høgt so niður á hana
orðføra	s1:orðføra segorðbera seg, málbera seg,hann dugir væl at orðføra seg
orðføring	orðalag, málburður
orðførur	munnkátur, mælskur, ógvorðaður, prátríkur, prátutur, orðbrosin,hann kundi vera í so orðførur(taka ov rívan til, gera ov nógv av)
orðgonga	orðadráttur, kjak
orðgýtast	brúka seg, skræða seg, mýkja geilatíkina,hann er so raskur at orðgýtast
orðhagur	1orðkringur, lagorðaður,(kvæð.)Tormaður er so orðhagur, hann yrkir ráina saman2(sj.)orðhavin
orðhaldin	ið heldur orð, álítandi, trúgvur,orðhaldin maður
orðhavin	ið talar við ongum fyriliti, gáloysin í orð og tal, munnlættur,hann var so spotskur og orðhavin
orðhildin	orðhaldin
orðing	1tað at orða, háttur at orða, orðalag2tað ið er orðað
