L	rómv. taltekn fyri 50
latína	geva latínskt snið,latínað navn
latínari	ein ið er kønur í latíni
latínskur	ið viðvíkir latíniel.hoyrir til latín, viðv. gomlum rómanskum viðurskiftum,latínska málið
latínskúli	(søg.)hægri skúli við latíni sum høvuðslærugrein(í Føroyum til 1794)
latur	sum einki tímir, sum ongan hug hevur til at gera nakað, dovin (1),(orðt.)ilt er at skilja latan drong úr heitari song;sms. t.d.blóð-
laur-	lavr-
lava1	(jarðfr.)grótbræðing, runi 2
lava2	hanga og dingla, hanga linur niður,høgra oyra hekk leyst og lavaði;lava við oyrunumel.lava oyruni (niður)vera hámur, illa við, skammfuktaður;lava við veingjunum(t.d. um sjúkan fugl);lava við høvdinum;hann lavdi, allur sum hann var;lava viðvera lavleysur (í),hælurin á orvinum lavar við
lavakslaður	slútakslaður, herðasneiddur,móts.krappakslaður
lavaligur	(stb.)illa gjørdur, lókutur
lavhallur	ið hongur niður øðrumegin, skeivur, lagghallur
lavlamin	(sj.)púra lamin
lavleysur	heilt leysur
lavlorkutur	(stb.)ógvuliga lorkutur
lavrasmessa	10. august
lavrassi	larrassi
lavrber	(plfr.)lavrberjatræ
lavrberjablað	(plfr.)bløð av lavrberjatræ nýtt til krydd
lavrberjakransur	kransur flættaður av lavrberjagreinum(latin e-m sum tekin um sigurel.gott avrik)
lavrberjapílur	(plfr.)slag av pílatræ(Salix pentandra)
lavrberjatræ	(plfr.)slag av træi ið er grønt alt árið(við bløðum nýttt.d.til krydd)(Laurus nobilis)
lavrviður	lavrberjatræ
lavskeivur	(stb.)ógvuliga skeivur(t.d. um bát, leyp, hús)
lavveikur	ógvuliga veikur, blóðveikur, snoraveikur,hann er so lavveikur, hann lyftir tí ikki
lá1	(stb.)lógv 1
lá2	síliggja
láar	sílógv
láarbrot	aldubrot á lógv 2
láaregg	egg hjá lógv 1
láarreiður	reiður hjá lógv 1
láartrælur	(fugl.,sj.)lógv 1 sum sæst í Føroyum um veturin
láarungi	(fugl.)ungi hjá lógv 1
lág	1lægd (1),í lágni[lɔn:i]2(sjóm.)á lágni(umborð á slupp)plássið frá mesanvantinum og frameftir(har ið skipið er lægst á vatninum),afturi á lágni, har sum prentus stóð
lágafylgi	seyðafylgi sum liggur niðarlaga í haganum
lágárstíð	tíð við lítlum virksemi í ávísari vinnugrein(helstí ferðavinnu)leigutúrar eru eitt íkast til raksturin í lágárstíð
lágbeintur	við stuttum beinum, lágføttur, stuttbeintur, stuttleggjaður
lágblað	h6(plfr.)lágbløðbløð ið sita niðast á plantu
lágborðaður	1grunnur 2(1),menn meintu, at bátur var fiskiligari, tá ið hann var lágborðaður2sum flýtur lágt í sjónum av farmi, laðin3(flutt m.)(um húso.tíl.)við lágum veggjumel.síðum,húsini hjá honum sóu so lágborðað út
lágborin	av vánaligum fólki, lítið tignarligur,móts.háborin
lágbyrjaður	(stb.)lágbeintur,neytini eru lágbyrjað
lágd	(sj.)lægd
lágfloygdur	við lítlum hugflogi, hugmyndaleysur,móts.háfloygdur,ein lágfloygd tilgitan
lágfloyttur	(um bát)ið flýtur lágt
lágføttur	við stuttum beinum, lágbeintur, stuttbeintur, stuttleggjaður,móts.hábeintur
lághagafylgi	seyðafylgi ið liggur lágt á haga
lághagi	lágur (2)el.lágligur hagi
lághella	hella 1(2) niðri við sjógv,báturin kundi ikki standa á lághelluni, um brim skuldi koma
lághválv	niðasti partur av lofthavinum(7-15 km hædd)[da.troposfære]
lághyrntur	(um seyð)við hornum niður aftureftir
lági	lág, lægd
láginntøka	inntøka undir miðal, lágel.lítil inntøka
lágleiki	(bíbl.)tað at halda lítið um seg sjálvan, lítillæti,hin lágt setti bróðirin rósi sær av hálæti sínum, men hin ríki av lágleika sínum
láglendi	lágt, lágligt lendi
láglendur	(um lendi)ið liggur lágtel.niðarlaga,láglendur hagilághagi
lágliga	1heldur lágt,fuglurin flýgur so lágliga2við veikari rødd, ljódliga,talar lágliga við synir sínar;so lágliga man hann tala
lágligur	1heldur lágur2(um vind)lágur (3),hann er lágligur í ættini
lágloysin	(teld.)við lágloysni
lágloysni	(teld.)serstakliga grovt loysni
láglønarland	land har ið lønarlagið er lutfalsliga lágt,arbeiðspláss verða flutt til láglønarlond;føroyska fiskivinnan kappast móti láglønarlondum, har lønin og korini hjá arbeiðaranum eru sera vánalig
lágløntur	við lágari løn,móts.háløntur
lágmark	lægstael.minsta loyvda markið (fyri e-m),lágmarkið fyri skatting
lágmarksprísur	lægst loyvdi prísur, minstiprísur
lágmýlskur	(evnafr.)samansettur av smáum mýlum
lágmæltur	ið tosar við veikari røddel.ljódliga, spakuliga (2), spakmæltur
lágorka	(tøkni)lítil orka(ið e-t krevur)
lágorkuhús	(tøkni)hús ið krevur lítla orku til ljós, hitao.tíl.
lágorkupera	(ravm.)ljóspera ið krevur lítla orku(og tí bílig í brúki),sparipera,lágorkuperur eru umhvørvisvinarligar, tí at ikki so nógv orka verður nýtt
lágprísur	(búsk.)(lutfalsliga) lágur prísur;sbr.lættkeyp
lágreistur	(um bát)við lágari reising (2),lágreistur bátur
lágrentaður	við lágari rentu,lágrentað lán
lágriv	partur av neytakroppi(símynd)
lágskoti	skoti ið býr á láglendinum
lágskotskur	íel.úr skotska láglendinum,lágskotsktlágskotska málið
lágskógur	(plfr.)undirskógur
lágskýggjað	við lágum skýggjum
lágspenningur	(alisfr.)ravmagnsspenningur lægri enn 250 volt
lágspentur	(ravm.)við lágum spenningi,móts.háspentur,lágspentur streymur
lágstílur	(málfr.)lágur stílur (1)
lágtrýst	(veðurfr.)lágt lufttrýst(ofta við ruskveðri),lægd (3),móts.hátrýst
lágtýskur	norðurtýskur,lágtýsktmálið í Norðurtýsklandi;hátýskt og lágtýskt
lágur	1sum ikki røkkur langt upp, lítil til hæddar, ikki høgur,móts.høgur,lágt træ, húso.tíl.;lágur maður(lítil á vøkstri, lágvaksin);lágur í gøtuni,sígøta;lágur í sætilágur á vøkstri tá ið hann situr2sum er langt niðri,báturin var lágur á sjónum;liggja lágt1liggja niðarlaga á haga,seyðurin liggur lágt2vera sjúkur,hann liggur lágt3(sj.)liggja lík3(veðurfr.)við lágætt,hann er lágur (í ættini);lágur landsynningurætt millum landsynning og landsynning sunnan;lágur útsynningurætt millum útsynning og útsynning sunnan;hann er komin lágt(við lágætt);hann andar (mennir) lágt;hann hevði staðið lágt í nakrar dagar4sum er lítil í tali og virði, vánaligur,lágur prísur5við veikari rødd, málveikur,lágt mál6(tónl.)ið liggur niðarlaga á tónastiganum,lágur tóni7lítið framkomin, við lítlari menning,í lægru flokkunum8lítilsverdur í tign, lítið tignarligur,bæði høgur og lágurøll;sms. t.d.ennis-
lágvaksin	lágur á vøkstri,lágvaksin maður
lágætt	ætt ímillum útsynning og landsynning,lágættirnar eru góðar her;sbr.lágur 4
lágættar-	sms. t.d.-dagur,-lot,-regn,-stormur,-tømingur,-veður,-vindur
lágættargrús	stjørnugrús á luftini fyri lágætt
lágættarstykki	(stb.)hárógva
láir	sílógv
lálla	1(dj.)framlimur á kópi2stór hond,tað vóru einar lállur á honum3lállurslag av vøttum við opnum fingrum;sbr.kubbi (5)4(fisk.)slag av flatfiski(Glyptocephalus cynoglossus)
lállligur	l3í osb.lállligar hendurstórar og tjúkkar hendur
láma	1(um kettu)sláael.kráma til sín við labbanum,kettan lámar2(um vinstrhent fólk)gera e-tt.d.vaska, rudda(við vinstru hond),tað er skjótt, at tú lámar hjallin nú upp undir skurðin;lámast(um vánaligt handalag)
lámhentur	(stb.)vinstrhentur, kjallhentur
lámsutur	(stb.)lánkutur
lámur	1lálla á kópi2labbi á kettu,kettan sleikir sær lám og legg3vinstra hond, kjalllámur (1),eg brúki lámin4vinstrhent fólk, kjalllámur (2),hon er lámur(Fróðskr. 360)5(sj.)(stór) hond,hann var tiltikin fyri at hava stórar lámar
lán	1e-t ið er lænt,takk fyri lán(ið)(tá ið ein ber lán aftur),(orðt.);lán(ið) skal koma læandi aftur,sílæa 12lænt peningaupphædd(skal gjaldast aftur við rentum),fáa lán;taka lán3(í ymsum osb.)leggja á lánvanrøkja, misrøkja;teir máttu vinna aftur alt tað, ið teir høvdu lagt á lán í tvey ár(høvdu latið bíða);liggja á lánivera eftir at gera, vera enn ógjørdur;tað fer einki av láni fyri tað, at eg fari burtur í bygd í dag(verður einki misrøkt fyri tað);sms. t.d.banka-,byggi-,lestrar-,náms-,studnings-,útgerðar-,út-
lána	(stb.)læna
lánarakort	kort ið gevur e-m rætt til at læna bøkur á bókasavni
lánari	ein ið lænir e-t frá øðrum
lánbræv	lánsbræv
lánføri	(búsk.)meting (hjá lánveitara) um fíggjarliga førleikan fyri at veita lántakara lán
lánførur	(búsk.)sum er nóg væl fyri fíggjarliga til at kunna taka lán (el.veita lán)
lángáva	tað at geva lán
lángevari	fólkel.stovnur (3) ið veitir lán, lángevi
lángevi	lángevari
lánistovnur	peningastovnur ið veitir lán
lánka	(Suð.)1vera dølskur, vera lítið hugaður2geva út av snøri tá ið ein er fastur í kalva, draga lagaliga(geva út við hvørt og draga við hvørt)
lánkaligur	(stb.)lánkasligur
lánkasligur	kaldligur, lítið áhugaður;hj-liga,hann svaraði lánkasliga
lánkutur	lorkutur(Sv)
lánorð	(málfr.)orð komið inn í málið úr fremmandum máli(sum tó ikki longur merkist sum fremmant í málinum),tøkuorð,móts.arvorð,orð sum t.d. "telefon" og "bilur" eru lánorð í føroyskum;sbr.fremmandaorð
lánsbræv	(búsk.)prógv um at útgevarin skyldar navnvirðið á virðisbrævi,í lánsbrævinum er lántakarin nevndur, men ikki eigarin;eitt lánsbræv kann seljast og keypast[da.obligation]
lánsdoktari	(sj.)doktari (t.e.lækni) ið fyribils røkir embæti fyri ein annan
lánsfelag	peningastovnur ið veitir lán móti veðrætti í fastari ogn
lánsfæ	peningur fingin við láni
lánslækni	lánsdoktari
lánslærari	(skúl.)vikarur
lánsmaður	maður ið fyribils røkir embæti fyri annan
lánsmarknaður	(búsk.)marknaður (2) fyri lántøku og -veiting
lánsmóðir	(lívfr.)kona sum ber og føðir barn fyri aðra, burðarmóðir
lánspeningur	lænt peningaupphædd
lánsprestur	prestur ið fyribils røkir embæti fyri annan prest
lánsrenta	(búsk.)renta 1 ið gjaldast skal fyri læntan pening
lánsveiting	(búsk.)tað at veita lán, lánveiting
lántakari	(búsk.)ein ið hevur lán(t.d.frá peningastovni)
lántøka	tað at taka lán
lánveitari	(búsk.)ein ið veitir lán
lánveiting	(búsk.)tað at veita lán, lánsveiting
lár	(Svín.)lógv 1
lára	(Fugl.)lógv 1
lás	1útbúnaðurel.amboð til at lokael.læsa við, læsing (2),skifta lásið á súkkluni2(stb.)handtak á hurð,eg tók í lásið, men tað var stongt3tað at verða læstur,lata hurðina í lás4avlæst nót,við sandin í Skálafirði stóð sild í einum lási;sms. t.d.byrsu-,fjaður-,heingi-,hurðar-,hvølpa-,karða-,kistu-,knarva-,vatn-
lásadylla	(stb.)lokadylla
lásaleysur	við ongum lási,lásaleys kista;lásaleys byrsa
lásasmiður	(jarn)smiður ið smíðar láso.a.fínligar lutir
lásbogi	(gl.)brókarbogi
lásbora	(gl.)hol á hurð sum klinkubandið gekk út ígjøgnum(læstu hurðina við at draga klinkubandið inn og koyra lokuna í sporið)
lásbori	lásbora
lásnál	læsinál
lásur	(gl.)lás
lát	ljóð(frá e-m ið letur (2)el.ið gevur ljóð frá sær)hegrin letur sítt rustkenda lát;látini frá tveimum sjúkrabilum hoyrdust;sms. t.d.and-,at-,í-,lív-,út-
láta	1bera seg at(á ávísan hátt),tú letur, sum tú ert ræddur(letst at vera ræddur);liva og láta sum ein (sjálvur) vilhaga særel.gera sum ein sjálvur vil;láta vælsýna nøgdsemi, vera nøgdur, láta væl at;láta illa1geva til kennar misnøgd, gremja seg,hon græt og illa læt(græt og gramdi seg)2vera ófriðarligur,láta illa í svøvni2geva ljóðel.tóna frá sær,fuglarnir láta;tað livdi og læt allastaðni(um nógv fólk sum lá í trunki og svav);láta uppi yvir (e-m)hjúkla fyri,hann sat og læt uppi yvir henni3siga (varliga, spakuliga),tá læt í honum(kom fram úr honum);tað læt ikki í honum(segði ikki eitt orð, kleyv ikki í tvey);teir hava altíð okkurt at láta(sum sagt verður aftur og aftur, havt til uppikippingar)4gera varligar rørslur, sletta, drifta, dalda (3),hundurin letur við halanum;kúgvin letur við oyrunum;fiskurin letur við uggafjaðrunum;tá læt hvør fingur, so glaður var hann;hatta er ikki at láta við vørrini um(ikki vert at tala um)5láta lívdoyggjaviðfs/hjláta at1halda fyri, siga,hon hevði so nógv at binda, læt hon at;láta væl/illa at (e-m)vera nøgdur/misnøgdur við;teir lótu væl at fiskiskapinum;teir lótu illa at terranum;hann læt einki at livimátanum(illa)2(á fjalli)siga til, geva atlátel.tekin um,tá ið hvør maður var komin í ódn, varð atlátið;láta íleika í, vera ófriðarligur,lát ikki so í!;tað rak í ættina, so tað læt ordiliga í(var óslætt);láta særlátast,eg læt mær at gera tað;hann læt sær at hyggja burtur;látast1lata sýnast, fáa at tykjast sum,hann lætst ikki at síggja meg;hon skuldi látast so vinarlig;eingin letst at vita;(kvæð.)hin lætst alvæl innahin segði at hann gjørdi tað fegin;hann lætst at vilja gera tað;hann lætst ikki um vón(læt ikki á sær finna)2doyggja, lata lív;sbr.sjólátast;látast viðtykjast,eingin letst við at sakna
-látaður	sífá-,leys-,lítil-,ód-,ó-,stór-
-látin	síblíð-,eftir-,fagur-,fín-,káva-,lítil-,ó-,stór-,tung-
látipípa	floyta 1serst.av hálmstráum, grasstráumel.sóljukoppum(hjá børnum at spæla við)
látorð	1(málfr.)orð íkomið av tílíkum sum smábørn liggja og láta[tý.Lallwort]2(sj.)leiðarorð, slagorð,eitt látorð kom tá upp millum manna: "Breyð ella luft"
látrakyrra	so góð kyrra at farandi er til látra(at sláa kóp),láturkyrra, kópakyrra,ikki var tað á hvørjum ári, teir sluppu á látur, tí kyrran noktaði - látrakyrra er tiltikin;tríggjar vóru kyrrurnar: látrakyrra, sum var kyrrast, so flidnakyrra og síðan seiðabergskyrra
látralína	(Dal.)lína nýtt á látri
látraljós	(gl.)stórt ljósel.stórur kyndil nýttur tá ið menn fóru til látra(at sláa kóp),láturljós,netjuna á pundsseyðinum høvdu teir til látraljós fyrr
látrast	(um kóp)makast
látratíð	tíðin tá ið menn fóru til látra(at sláa kóp),tá fall ókyrra frá veturnáttum til allahalganna alla látratíðina
látufuglur	(stb.)fuglur ið maður situr og veittrar við til at lokka annan fugl (havhest, ritu) til fleygamannin;sbr.láturita
látupípa	látipípa
-látur	sí t.d.dramb-,fagur-,lítil-
látur1	tað at læa, ljóð ið ein gevur frá sær tá ið e-t stuttligt er á vási, flenn, grin,e-m býður í láturein fer at læa;honum var ikki látur í hugahann var tungur í huga;skera í láturbresta útúr at læa;tá var látur á honum;sita kaldur í látri(í skellilátri);(orðt.)aftan á látur kemur gráturkúrur kemur eftir kæti;alt sat í látri;um at skrædna í látri;hava til látur(s)halda fyri spott;sms. t.d.skára-,skelli-,svøvn-
látur2	hola í bergi niðri við sjóvarmálan har ið kópar leggja hvølpar sínar, kópalátur,fara til látrafara á látur at sláa kóp(vanl. um veturnætur);vera til látra;vit sleppa ikki á látur, tað eru kavlátur;(flutt m.)skolaður út av látrifyri ongum, sum eingin dugur longur er í;ganga sum á látri(ógvuliga stillisliga);har er sum á látrinum(ógvuliga ófriðarligtt.d.av børnum)
láturbjóðandi	láturelvandi, láturligur
láturelvandi	ið elvir til látur
láturfressur	eitt sum altíð flennir, flennibítur, (eitt) flenn
láturgass	(lækn.)slag av doyvingarevni at anda inn(í smáum nøgdum)
láturgjógv	gjógv har ið látur 2 er
láturita	rita ið maður situr og veittrar við til at lokka annan fugl til fleygamannin(Sv Indb.54);sbr.látufuglur
láturkendur	ið ljóðar sum látur 2,láturkend skvatlan
láturkjaftur	munni, kjaftur (4) á kópalátri, láturmunni
láturkobbi	(dj.)láturkópur
láturkódnaður	sum lær hjartaliga, ið er um at kódna í látri
láturkópur	(dj.)stórt kópaslag í Norðuratlantshavi(upp til 3 m og kann viga 300 kg),láturkobbi(Halichoerus grypus)
láturkyrra	látrakyrra
láturligur	láturverdur,tað er heilt láturligt;tað er bæði láturligt og grátuligt,sígrátuligur
láturljós	látraljós
láturmildur	sum hevur lætt við at læa
láturmunni	láturkjaftur
látursvidningur	(dj.)lítil nósi, svidningur
láturverdur	til at læa at, sum vekir látur, láturligur, løgin, margháttligur,tað er láturvert, at hann skal koma sær
láturverja	1brimil ið verjir látrið og nósarnar2(flutt m.)ein ið verjir e-t, verji,hin gamli skúlin var mest av øllum láturverja fyri inngróna vanahugsan;í osb. sumstanda (sita) sum láturverjastanda fyri og ikki flyta seg, vera til fortreð,nú standi eg sum ein láturverja
láturverji	láturverja
-leðraður	síharð-
leðran	1í osb. sumgeva e-m eina leðran1deila e-n illa2geva e-m ein leðrara,tað var ein leðran, hann fekk2(flutt m.)ódnarveður við stormi og avfalli
leðrari	hart, dygt slag,hann gav honum nakrar leðrarar á kjálkan við nevanum
leðring	hart, dygt slag (undir vangan), avsmyrjing(sum revsing fyri e-t)
leðringur	leðring,geva e-m ein leðring
leður-	sms. t.d.-belti,-húsi,-jakki,-pungur,-slíðri,-sóli,-stivli,-stunga,-taska,-vøra
leður1	garvað húðel.skinn av stórdýri(nýttt.d.til skógvar, taskur, klæðio.tíl.),tuflurnar eru traðkaðar upp í leðrið(nógv slitnar);sms. t.d.kjálka-,munn-,sóla-,tuflu-,viski-,yvir-
leður2	sílaða
leðurbløka	flogmús
leðurfløska	(bíbl.)ílat úr leðri til vatnel.vín
leðurjakki	jakki úr leðri
leðurklingra	(á fiskisnøri)klingra (5),uppi á teininum, hvørjumegin loddið, var ein lítil, rund leðurklingra
leðurreim	reim úr leðri
leðurrógv	(sj.)leðurklingra;sbr.rógv 2
leðursekkur	(bíbl.)sekkur úr leðri
leðurstivli	stivli úr leðri
leðurtroyggja	troyggja úr leðri,leðurtroyggja við dragulási niður eftir bringuni
leðurvakshattur	(plfr.)slag av vakshatti(Hygrocybe russocoriacea)
leðurvestur	vestur 1 úr leðri
lefs-	sílevs-
lega	1tað at liggja,leggja seg á leguleggja seg niður,eg kom fram at eini góðari keldu og legði meg á legu at drekka(fram eftir rommum, fram á grúgvudrekk);koma í leguleggjast á seingina;Jóannes fekk langa legu(lá leingi sjúkur);falla í legu(um long strá)ikki kunna halda sær upprættum men svigna og leggjast niður;tey ovurlongu stráini falla í legu;sbr.legusveipur;(flutt m.)fáa í fasta legufáa í rætt lagel.fasta skipan;koma í fasta legu;neytini lógu á legu(lógu og jótraðu)2tað at høna liggur á eggjum,legan er farin av hønuni(vil ikki longur liggja á)3pláss har ið einel.e-t erel.liggur, song, ból,gera upp legu(reiða upp);hann hevði sína legu í roykstovuni;áin rann í legu sínari;seyðurin hevur sína legu høgt(liggur høgt, ovarlaga í haganum)4øki við húsiel.tjøldum, smáttumo.tíl.sum fyribils tilhaldsstað,vera á legu;fangalega;skótalega5skipalega, akkerspláss,teir leggja nú skipini í legu6(á klinku)spor til lokuna(tá ið hurðin er aftur),hondin bar við klinkuna, so lokan giddaði í síni legu7(tøkni)útbúnaður ið heldur malandi maskinluti føstum(t.d.aksli),kúlulega;sms. t.d.egg-,eystur-,fræ-,í-,middags-,prís-,sam-,sjúku-,songar-,summar-,vestur-,vetrar-
legd	1(í akurskurði)ein hond av nýskornum korni(hálmi og øksum),tað skorna kornið verður fyrst lagt í legdir og síðan bundið í bundir2rukka, felling, brigda 1(í klæði),turriklæðið hevði legdir eftir at hava ligið3lag í fiski (3), løga 1(3),longurnar vóru so stórar, at mansverður var í legdini4(stb.)slóð,legdin stendur eftir e-m(sum kemur vátur inn);sbr.løgd;sms.út-
legg	1lítil túrur, rend,hann var vanur at gera eitt legg runt í bygdini2tað at halda avstað (at gera e-t), atløga (2), roynd,fyrsta leggið fingu vit tríggjar av kjøli(í fyrstu atløgu);fyrsta leggið fingu vit 80 lírar(fyrstu ferð gingið varð);sms. t.d.í-,út-
leggald	1hosael.sokkur við ongari il, hosuleggald, sokkaleggald,eini leggøld;á lendunum høvdu neytakonurnar eitt leggald fylt við hoyggj ella ull og sum lá undir niðastu dylluni og var bundið um miðjuna2(ítr.)ullint lívdarplagg at hava um legg og knæ(serst. hjá fimleikarum)3(niðr.)(um fólk)ónytta (3), kloddi (3), tvøga (2),teir gera seg sjálvar til leggøld(rukkur 1(2));sms. t.d.embætis-,konga-,neyta-,nytru-,skelja-,stokka-,stubbu-
leggblað	(plfr.)blað á leggi,leggbløðini eru finnut
leggbragð	(sj.)í osb.liggja í leggbragði(um teym á fiskisnøri)verða vavdur um húkin,tað hevur ligið í leggbragði, so eg kann einki hava fingið
-leggin	sítil-
legging	tað at leggjat.d.bakkareip,ein pottur av brennivíni varð roknaður til leggingina;sms. t.d.á-,bí-,inn-,myrka-,uppí-
leggingaregg	egg at leggja undir hønu(til at klekja)
leggingarhøna	(stb.)leguhøna,læna leggingarhønu;ein brúnsprøklut høna, sum mamma altíð hevði til leggingarhønu
leggingartíð	songartíð, niðurfaringartíð
