ø	(málfr.)sjálvljóðsstavur (nevndur[ø:])
øsingarmaður	maður ið loypir øsing í fólk,hann er eingin øsingarmaður
øsingartíð	tíð við (nógvari) øsing,í eini politiskari øsingartíð
øsishvítur	(seyðal.)øshvítur
øsisligur	(stb.)gjørdur í skundi,hetta var ein øsisligur døgurði í dag(gjørdur og etin í skundi)
øska	(fonkendar) fínar leivdir av brendum,brenna til øsku;hvørt einasta sprek var í øsku(uppkolað);øsku dámdi teimum ikki at bera á sjógvin, tá ið bátar vóru á útróðri;(tilt.)fara (út) at vaska øskuna av særfara til útróðrar(tá ið uppiløgan hevði verið long);(skaldsk.)hann, ið alist við øsku inni, lítið í leikum dugir;(tilt.)ikki stingst fingurin í øskuna (el.øsku) fyri honumel.hasumein kann einki gera uttan at hann frættir tað (og sleygar um tað);tað stingst ikki fingur í øskuna, uttan at tað frættist um alla bygdinaein fær ikki vent sær uttan at tað frættist;(bíbl.)venda um í sekk og øsku(við miklari iðran);sms. t.d.pott-,roytingar-,torv-,tubbaks-
øskra	s30:tað øskrar megeg ønskrist;øskrast viðønskrast við
øskubakki	øskutrygil
øskubikar	øskutrygil
øskubrandur	k7/6(kvæð.)í osb.heima í øskubrondumheima við grúgvuna
øskubumba	(stb.)øskuílat
øskubytta	bytta til øsku (av eldstaðnum),arbeiðskonan hevði verið úti á køstinum við øskubyttuni
øskubøkil	bøkil (1) av øsku
øskudagur	1mikudagur eftir føstuinngang,øskudag fingu tey sær fjørumat(tá er høg fjøra)2vánaligur dagur til veður, illveðursdagur, burturgangingardagur(tá var bara at sita inni við eldstaðin),ein rættiligur øskudagur(ikki útfarandi);hetta gjørdist ein rættiligur øskudagur, nú hava allir fingið dassaka3vánaligur dagur (tá ið einki kemur burturúr)
øskudólgur	1ein ið situr inni við eldstaðin (og rakar í øskuni), letingi, ónytta,hatta er tann øskudólgurin, ið er;(kvæð.)man hetta vera tann øskudólgur, inni hevur ligið leingi2(gl.,stb.)(heima)seyður rýddur í øsku fyri lýs
øskudrongur	(kvæð.)øskudólgur
øskudrýlur	(stb.)drýlur bakaður í eiminum
øskudungi	dungi av øsku, køstur (til øsku)
øskufísa	genta ið situr inni við eldstaðin,ævintýrið um øskufísuna
øskufísur	1øskudólgur(Sv)2(gl.)trøll ið býr í øskuni (á grúgvuni)(at ræða børn við so tey ikki skuldu raka í øskuni),øskufísurin kemur eftir tær!
øskufjøður	stertur av kalva,tá ið kalvi bleiv etin, varð hann býttur, so at sterturin var í tveimum pørtum, dreingjafjøður til dreingir og øskufjøður til gentur at súgva
øskufoysa	(stb.)óvandaligt konufólk, skitfoysa
øskufressur	(stb.)ein ið altíð situr inni, heimakráka
øskuhirðil	øskudólgur(Sv)
øskuhurð	niðara hurð á komfýri;sbr.eldhurð
øskuílat	ílat til øsku, øskuspann
øskukalt	(um brenni)brunnið til øsku og kólnað (í komfýri, eldstaðio.tíl.), útkalt,øskukalt var um morgunin(eldsløkkingur, svart (9));har lá øskukalt, tá ið teir komu;koma aftur til øskukalt hús(til kaldar steinar)
øskukrás	(kvæð.)krás bakaðel.stokt í øskuniel.eiminum
øskulaki	blandingur av øsku og salti til at goyma lomvigaregg í
øskulittur	1við øskuliti,grasstráini vóru øskulitt2(seyðal.)morskúmutur
øskulitur	bleikgráur litur
øskumysing	(stb.)mysing um øskudag,øskumysingin var tiltikin
øskuónsdagur	(Suð.)øskudagur
øskurák	(stb.)rák aftur at landi,kom nú og rógv, tí nú er øskurákið komið
øskurok	rok av øsku (ið fýkur),ofta sprungu drýlarnir so illa í eiminum, at øskurokið stóð høgt upp;um náttina kom øskurok úr Íslandi
øskusáta	(lítil) rúgva av øsku,á grúgvuni stóð ein øskusáta
øskuskeið	stór skeið at taka øsku úr eldstaðiel.komfýri við,fyrr nýttu teir kjálkabein (av grindahvali) til øskuskeiðir
øskuskuffa	skuffa í komfýriel.ovni til øsku
øskustreymur	(stb.)harðasti streymur
øskutrygil	skál til tubbaksøsku
øskutøð	(torv)øska nýtt til tøð
øslakingur	(stb.)eldsløkkingur
øsn	hóvasták, roks,við øsn og gang;tá ið tað fyrsta øsnið av gleði var tagnað
øsna1	(bíbl.)asni av kvennkyni
øsna2	gera hóvasták, stáka, roksa, møsna,hann sýntist at øsna so ógvuliga við sítt spæl;hvat øsnast tú við?;statt ikki og øsnast uppi yvir hasum
øsnufoli	(bíbl.)asnafoli av kvennkyni
øsnutur	sum tosar nógv, møsnutur,nakað øsnutur er hann við hvørt
øsp	1(plfr.)leyvtræ í slektiniPopulus, esp2viður av øsp(veikur viður),húsini góvu seg illa, sum vóru tey av øsp;hesin gamli er ikki av øsp(er ikki fyri ongum)
øspabuttur	(stb.)træsprek ið lítil dugur er í
øt	(plfr.)urtir nýttar at sorta klæði (garn, ull) við (serst.sortugras og mjaðarurt);sbr.atatorva
øtan	tað at øtast, ræðsla, ótti,við bivan og øtan
øtandi	øgiligur, ótespiligur, ræðandi;hj(sj.)øtandi ørurvindandi ørur, spinnandi ørur
øtast	gerast skelkaður, ógvast, ønskrast,øtast við (e-t):teir svørja og banna so miriliga, at hvør maður, ið hoyrir illbønirnar, øtast við
øtiligur	1ið fær e-n at øtast, ræðuligur,undan toruslátti, tá ið himmalin er bikasvartur og øtiligur;(kvæð.)fram kom riddarin Jústin jall, øtiligur at síggja2ómetaligur,ein øtiligur fuglaskari;øtiligur munur;hj-liga,øtiliga stórur
øtla	(um veður, illveður)vaksa í styrki, harðna, versna, øva,hann øtlar veðrið;veðrið øtlar;hann øtlaði sjógvin;sjógvurin øtlaði knappliga;hann fór at øtla vindin móti kvøldi(vaksa);enn var landkyrra, men øtlaði hann nú inná, var brimið skjótt á baki
øtuligur	øtiligur
øva1	vaksa í styrki, harðna, versna(um t.d. illveður, streym, pínu o.tíl.),hann øvir upp afturvindurin veksur, øtlar;alt øvdi hann vindin meira og meira;(um streym)nú er hann farin aftur at øva(at harðna);øva uppáherðast,tað øvdi uppápínan versnaði;øva sær (upp) ímóti (e-m)seta seg upp ímóti, treiskast ímóti,maðurin øvaði sær ímóti;henda tyttan øvaði sær ímóti, tá ið eg høgdi klørnar í hana;tey, ið tæntu á gørðunum, bóru nú á brá at øva sær ímóti húsbóndafólkunum;sms.and-
øva2	(tlm.)venja, íðka (2)
øvigur	øvutur (2),(skaldsk.)øvigur mátti jallurin leypa aftur á Jarnbarð breiða;(kvæð.)øvigan bardi hann risan tá av høgum borgum út;(kvæð.)øvigur hann á grønum vølli upp í saðilin sprakk
øvrigheit	kv2(gl.,tlm.)øvrigheitinyvirvaldið, teir ráðandi,teir góvu hann upp fyri øvrigheitini í Havn;Hargarbóndin meldaði stuldurin til øvrigheitina
øvugur	1øvigur, øvutur (2),(kvæð.)øvugan førdi hon Eirik unga á hallargólvið fram2øvutur (3),eg hoyrdi ongantíð øvugt orð av hansara munni;tað varð ikki øvugt orð talað í húsinum
øvund	tað at øvunda e-m (e-t), øvundsjúka, svartsjúka, eljusjúka, hugbit, hundska 1(2), illnati;sms. t.d.ást(ar)-
øvunda	1ikki unna e-m (e-t gott), vera øvundsjúkur inn á (e-n), hámunda,øvunda e-nel.øvunda e-m (e-t),hinir útróðrarmenninir í bygdini øvundaðu hann;stjúkmóðirin øvundaði altíð hina eldru gentuna, tí at hon var so fríð sum hin fagrasta summarsól;vit øvunda ikki terran hjá tykkum;ikki tí, at hann øvundaði nøkrum gleðina;mangur øvundaði honum ta vøkru stovuna;klandrast og øvundast;eingin kundi meta seg við hann, og vóru tað tí summir, ið øvundaðust;(tilt.)eingin øvundar olmussumannin;(tilt.)betri er at vera øvundaður enn harmaður2(fólktr.)vilja hava e-t ið annar eigur og royna at venda eydnuni við at rósa tí, gíggja 2(2),tá ið ein heldur, at granni hansara øvundar kúgv hans, skal hann fara og royta ein sopp úr tvæveturjørðini hjá tí, ið hann trýr hevur spírstungu, og geva kúnni;sbr.øvundsdropar
øvundarkona	(gl.)kona ið øvundar e-n
øvundarmaður	maður ið øvundar e-n, illvildarmaður, fíggindi,(tilt.)Guð náði hann, ið ongan hevur øvundarmannin(so er hann lítið verdur)
øvundarorð	orð søgd av øvund,hava øvundarorð móti e-m
øvundarverdur	verdur at øvunda,úrslitið er so gott, at tað er øvundarvert
øvundismaður	(gl.)øvundarmaður
øvundsdropar	reyðir dropar í mjólk,(fólktr.)vóru reyðir dropar í mjólk, hevði okkurt øvundsjúkt fólk øvundað kúnni - hetta vóru øvundsdropar
øvundsjúka	øvund, avundsjúka
øvundsjúkur	við øvundsjúku, avundsjúkur,vera øvundsjúkur (inn) á e-n;hon var øvundsjúk á systur sína
øvundsmaður	(stb.)øvundarmaður
øvutikjaftur	(fisk.)glaskvoysa
øvutumegin	skeivumegin,altíð lá teymurin øvutumegin
øvutur	1rangvørgur, rangur (3), óður (4), mótsettur,fara øvutan veg(í hina ættina);troyggjan vendir øvut(aftur og fram);at skjóta á er at føra árina øvutan veg;mala kvørnini tríggjar ferðir øvutan veg(gandagerð);øvut tímótsett tí2(sum fer) við bakinum fyri, afturøvutur,hann fór øvutur út;detta øvutur(víðopin, afturøvutur);hann sprakk øvutur út av garðinum3øvut orðilt orð, ósemja,tað var ikki øvut orð teirra millum;tá ið tú vart burtur, varð ikki talað øvut orð her í húsinum;sms. t.d.aftur-
