H	rómv. taltekn fyri 200
handkriki	(sj.)handarkriki
handla	1hava á hondum, handfara, handska, hamsa (1),handla seyðhandfara og lyfta seyð(at vita hvussu góður hann er),seyðurin handlast væl/illa(roynist væl/illa, er góður/vánaligur);handla hønuvita um høna hevur egg2reka handil, keypa og selja
handleggur	handliður
handleysur	sum einki hegni hevur til hendurnar, óhegnigur, óhandaligur,hann er so handleysur;ver ikki so handleysur!
handliður	liður (1) við hondina;sbr.skøvningur
handligur	1verkligur,handlig atgerð;handlig menning2evnisligur, tilfarsligur,handligar mentir;hj-liga
handling	tað at handla (seyð), hamsing,øll hendan hamsing og handling var seyðinum til ótolandi pínu
handlummur	(á ár)lummur, handfang
handlættur	(sj.)1handdragin2bráður at sláa
handmálaður	málaður við hond
handpeningur	gjald latið sum trygd(í t.d. handli el. viðv. láni)
handrað	lítið rúm í kistuel.skríni,okkurt oyra man liggja eftir í handraðnum
handrit	1handskrivað verk2hand-el.maskinskrivaður tekstur (ætlaður til prentingar),bókin er í handriti;sms. t.d.kvæða-
handsápa	síhondsápa
handseymaður	seymaður við hond(ikki við maskinu)
handska	nema ov nógv við, handfara, handla (1), hamsa (1),hann situr og handskar glasið;móðir hevur noktað okkum at fanga firvaldar, teir eru so veikir og tola ikki at handskast;tit mugu ikki handska pisuna
handskarn	(stb.)handaskarn
handskarúm	(í bili)lítið goymslurúm framman høgrumegin
handski	handarbúni við fingrum (2)(vanl. úr skinni),fingravøttur,(kvæð.)glógvi,(spæl)draga handskalaða hendur(tvey el. trý leggja hendurnar hvørja oman á aðra, tann niðasta verður drigin undan og løgd ovasto.s.fr.);sms. t.d.loð-,sigur-,skinn-
handskrift1	skrift 1(3), hond (4),hava vakra handskrift;hatta er mín handskrift
handskrift2	(gl.)handrit
handskrivaður	skrivaður við hond
handsmíð	smíð gjørt við hond
handsnælda	snælda at spinna á við hond,handsnælda varð nýtt at spinna grovt við, t.d. skipstroyggjutógv og høft;sbr.bandasnælda,tráðsnælda
handspaki	(skip.)stutt jarnstong til at snara spæli viðo.tíl.
handspreingja	(herm.)lítil spreingja at kasta
handspæl	spæl 2 at vinda við hond
handstívur	l1(sj.)halda (e-t) handstívthalda við stívum hondumel.ørmum;halt ikki sleggjuna ov handstíva, tá ið tú slært
handstund	(lítil) løta, bil, handarbragd,tað er bert ein handstund at gera hatta;tað stóð í kjaftseilini, so tað var bert ein handstund at krøkja av
handtak	1handfang, sveingil(á t.d. hurð el. tóli)2(sj.)lógvatak
handtaka	taka og seta í varðhald, taka fastan,teir royndu at handtaka hann
handtaska	síhondtaska
handtøka	tað at handtaka
handvápn	(herm.)vápn at halda á
handveð	(løgfr.)veð latið í varðveitslu hjá veðhava,móts.undirveð
handvegur	k13(sj.)um handvegirnarum armin uppi við øksl
handveikur	veikur í hondunum
handverk	1(sum yrki)arbeiði gjørt við hondumel.handamboðum(t.d. træsmíð, jarnsmíð o.tíl.)2lutur gjørdur við hond(t.d. smíð),handaverk (1),hatta er gott handverk
handverkari	ein ið hevur handverk (1) sum yrki, handverksmaður
handverkslærlingur	unglingi ið lærir handverk (1)(hjá handverksmanni)
handverksmaður	handverkari
handverksmeistari	handverkari ið arbeiðir sjálvstøðugt
handviðføri	viðføri at hava í hondini(at hava hjá sær í t.d. flogfari)
handæðraður	l6(plfr.)handæðrað blaðblað við trimum høvuðsæðrum ið allar ganga úr blaðgrundini
-hang	sífor-,sam-,saman-
hanga	hava festi í erva, lava (niður),krovið hongur á ásinum;maðurin hongur í línuni;hanga á hondunum;(flutt m.)hanga í rokkinumstanda (javnan) og spinna,eg havi hingið í rokkinum;sita og hangasita linur og lúta við høvdinum;nú datt kúgvin niður í morgun, hon hevur leingi hingið(kálvaði, henni hevur leingi líktst til);hanga væl/illa(um kjøt),krovið hongur illael.hongur ikki væl í árkjøtið er ringt í ár, hilnast illa;hanga á:alt hongur á honumalt veldst um hann, alt hvílir á honum;alt húsið hekk á dóttrini(einsamøll um at halda húsinum uppi);tað hongur einki á mæreg eri leysur, havi einki átrokandi at gera;eg eri vorðin gamal og orki einki at hava hangandi á mær longur;(tilt.)hann fær ikki tað træ, hann kann hanga á(støðast ikki);hanga aftan í:hanga aftan í e-mhanga uppií e-m, elta e-n;hanga ívaldast,alt hongur í hesum, hvussu skiparin dugir fyri sær(alt veldst um);øll vælferðin hekk í havsins lúnum;hanga niður:himmalin hongur niður á jørð, og regnið sílar niður(luftin er tjúkk og tung);hanga niður yvirboða frá ringum, hótta,henda vanlagna, sum altíð hekk niður yvir húsini;tað man vera tað ringa, ið nú hongur niðuryvir, sum fær okkum at tala;hanga oman yvir:hanga oman yvir e-mtyngja, ampa e-n;eg fati ikki, hvat ið hevur hingið oman yvir mær øll hesi árini;hanga uppihangat.d.á bróstiel.undir bitao.tíl.,lampan hongur uppi;hanga uppi í1vera uppi í,hann kann hanga uppií millum menn(er so dánt førur fyri at gera nyttu)2fjeppast uppi í, hópast um,fólkið hekk uppi í honum fyri at lýða á hann;hakk (el.hang) ikki so uppi í mær!(t.d. við barn ein ikki sleppur um tvøran fót fyri);hanga uppi við1halda seg aftur at,teir reiðurføstu ungarnir hanga nógv uppi við foreldrini2loða uppi við,ein angi av reinum klæðum og heitum sápuvatni hekk altíð uppi við hana;har hongur annað uppivið, roykur, sum nasasøtur er;alt tað ið hongur uppi við jólini;hanga uppiyvir(um pott)hanga(í skerðingi el. eldkróki)yvir eldinum;hanga út(um t.d. innvølir)vera komin út ígjøgnum (sár),(kvæð.)indrini hingu út;hanga við1vera lyndiseyðkenni, eyðkenna,tað er eitt slíkt treiski, ið hongur við hatta barn;ikki hekk tað við hann at vera stúrin2loða uppi við,(tilt.)lukkan hongur við hann, sum kráka við opnahjall;hangandi:so fínt sum hangandi hár(um sera fínt spunnið tógv)
hangar	hangarur
hangarur	(á flogvølli)stórur bygningur til flogfør
-hangin	sívið-
hani	1kallfuglur hjá høsnafuglum(serst. hjá tomum hønum),hani og høna;(tilt.)tað var ikki ein hani, ið góleingin lætst um vón2(á byrsu)lutur í byrsulási sum (slær á perluna og) loysir skotið av, hamari 1(4), byrsuhani,spenna upp hanan;sms. t.d.byrsu-,knurr-,óðins-,reyð-,veður-
hanka	(óregl.)->handka
hankadráttur	k28/12í osb. sumhatta man fara at vera ein hankadráttur (hjá tær)tað verður okkurt at togast um;tað skal vera ein hankadráttur, áðrenn tú fært hatta(hart stríð);alt hatta ønið gongur í hankadráttri(t.d. tá ið kúgv er til tarvs og allar kýrnar ganga og mala uttanum)
hankar	síhonk 1
hankarkrúss	krúss við honk
hann	1(í staðin fyri kallkynsnavnorð í 3. pers. eint)eg sá hann;hatta er hann;hvar er hann?;hann er farin;eg gav honum tað;hann, ið hevði verið har!tað hevði verið hugaligt at verið har;til hansara;nú hoyrist einki til hansara longur;hansara vegna;teir eru komnir;eg hjálpti teimum;teirra vegna;ein teirra;tað mundi verið handfast millum teirra;hann, ið øllum ræðurGud;hann eigi tykkum, verið nú so røsk(gott í tykkum);ólukka hann slái, sum eg var kløkkur(dekan fari);hann sjálvur1(í tiltalu)tann ið stendur har(við e-n ið ein ikki kennir navnið á)2vinurin!,nú, hann sjálvur3maður (2),hann sjálvur er ikki heima;hann sjálvur hjá mær(drongurin)4(gl.)prestur5(skemt.)kynslimur, javnaldri (2)2(framman fyri fólkanøvn og einstøk navnorð til áherðslu)har kemur hann Jógvan mín;vit hava verið inni hjá honum Jógvani;á ein pappírslepa hevur hann Árni skrivað;so segði hann maðurin;(kvæð.)so ríður hann Álvur kongur3(stb.)(í staðin fyritúel.tygum)hvar hevur hann verið í dag?;hvat sigur hann?(t.d. í handli)4(í staðin fyriein,túel.vit)nú ið hann hevur hentleikar til alt, nær eingin nakað;hann kann ikki altíð rokna við góðum veðri;tað var úti á barajól, sum hann sigur5(í smb. við veður(líkindi))hann rekur av eystriskýggini reka vestureftir;hann kom gravandi av landnyrðingi(kom við ódnarveðri);hann lá við óveðri;hann brast áel.fall á við rokiel.hann sló í roktað fór at kava av grimd;hann kavar;hann frystir;hann køvdi av í mjørka;hann legst við náttarfrosti;hann tók sólina burtursólin fór aftur undir skýggj;hann gjørdi knappliga vind;hann linaði vindin(makaði);hann tømir,sítøma 2;hann brimaði sjógvinbrim kom í sjógvin;nú er væl tikið úr honumsjógvurin er slætnaður;nú kennist úr honumnú regnar eitt sindur, dropar;tað mylur (niður) úr honumel.hann mylur kavan niður(er fínt kavarok)
hanna	siga ha!, haia,eg siti bara og hanni
hanndjór	kalldjór
hanndýr	(dj.)kalldýr
hannfiskur	1(fisk.)siljafiskur, kallfiskur2(sj.)hannhvalur
hannhvalur	(dj.)hvalur av kallkyni
hannkópur	(dj.)kópur av kallkyni,vaksin hannkópur verður nevndur brimil
hannslag	kallkyn (1)
hannur	(dj.)dýr, fuglur og fiskur av kallkyni
hans	síhann
hansalótir	(sj.)tað at fjasast óneyðugt við e-t, tað at gera e-t ónyttugt,hvat er hatta fyri hansalótir tú hevst at?;sbr.ansalótir
hansamaður	maður í hansastaði
hansara1	síhann
hansara2	1(viðv. tí ið hoyrir 3. pers. eint k til)hansara hús;tað er hansara frakki;hon var hugtikin av styrki hansara;søgur hansara hugfangaðu meg2(viðv. skyldskapi)dóttir hansara;kona hansara;abbasystir hansara3(í atfinningarsamari tiltalu)hann støðast ikki inni, útistrok hansara4(í staðin fyri navnorð)eg fari niðan til hansara
hansastaður	(søg.)keypstaður í norðurtýskum handilsringi í miðøld(eis. í Norðurlondum)
hansi	(gl.)1tað ið maður mátti geva tá ið hann fyrstu ferð fór til Havnar(t.d. ein fløska av brennivíni)2tað ið maður mátti geva tá ið hann var sekur (2)(t.d. misti knívin á útróðri)
hanungi	høsnarungi av kallkyni,hatta er so errið sum ein hanungi(um smádrong);teir ruku saman sum hanungar(at berjast)
Hanus	sern(tilt.)hvør Hanus og Janusein og hvør, hvørt sum helst;ætlanin er ikki, at hvør Hanus og Janus skal út at sigla
hapartýggi	1ein ið ikki dugir fólkasið, vittuggi, týggidýr, býttlingur(Sv)2stór rúgva(Sv)
happ	1hepni, eydna,happ í óhappi;vit kunnu hugsa og ætla, men vit ráða so lítið fyri happi;(orðt.)har var hond happi hollarihar var lukkan betri enn skilið;(tilt.)eftir happum og hátíðumsum á ber, av og á(Sv)2skaði, ónáðir,hann er tann, ið happið lýturtað er hann, ið fær toyggið;(tilt.)ofta lýtst happ av hundi;vera fyri happi(num)vera óheppin;hann er altíð fyri happinum, stakkalin(verður skeldaður, argaðuro.tíl.);koma undir happiðverða happaður;hann lá altíð fyri happinum(varð altíð happaður, argaður);sms. t.d.ó-
happa	arga, spotta (e-n) miðvíst gjøgnum langa tíð,hann varð bæði háðaður og happaður;hann verður altíð happaður(hildin fyri spott, hildin í ónáðum)
happabarn	barn sum altíð verður happað
happadráttarseðil	lutaseðil til happadrátt
happadráttur	eydnuspæl(vanl. um pening)avgjørt við lutakastio.tíl.
happadrúgvur	(kvæð.)eydnusælur, lukkuligur,far nú heilur og happadrúgvur!(heilsan til ein ið fer avstað);happadrúgt nýggjár
happafuglur	ein sum altíð verður happaður,eg havi altíð verið ein happafuglur
happavending	handarbragd, handstund,hann hevur í eini happavending sagt nakað annað
happing	tað at ein regluliga í longri tíðarskeið verður illa viðfarinel.hildin uttan fyri ein felagsskap,happing millum skúlanæmingar kann fáa álvarsligar avleiðingar
hapurtýggi	(gl.)hapartýggi
har	1á tí stað,móts.her,har á staðnum;hvør er har?;tað er veðurhart har;hann liggur har sum sviðin kattur,síkattur;har innum tordi eingin2(við viknaðari merking)har mátti mangt tungt takið takast;har runnu ástir saman;har kom vindur og bylgja blá;(kvæð.)har kom maður av bergi oman3(afturbeinandi)har (ið, sum):vestan fyri eiðið, har sum markaskjalið var ímillum bygdirnar;allarbestir eru teir, sum verða sleptir í feitilendi, har fuglur er4(saman við hj)har afturi,móts.har frammi;har beintsíharbeint;har frammi:Giljabóndin bað Snopprikk ansa sær eftir uppgávukonuni har frammi;har eysturi:vísmenninir sóu stjørnuna har eysturi;har norðuri:hvussu liva tit har norðuri?;har suðuri:vit hittast har suðuri;har vesturi:har vesturi á oynni;har heima:har heima er alt so friðarligt;har inni:ikki har inni, her inni!;har niðri:hon býr har niðri(í Danmørk);har úti:hvussu gongst har úti á trøðni?;har uppi:ert tú har uppi?;sms. t.d.-afturat,-afturímóti,-av,-eftir,-frá,-fyri,-í,-næst,-til,-um,-uppí,-úti,-við
hara	(dj.)gnagari av haruætt(heldur til í haganum)(Lepus);sms. t.d.bú-,grá-,hvít-,snjó-
harafturat	har afturat, aftur at tí, harumframt, eisini,húsini vóru gomul og illa farin, og harafturat vóru tey full av fýri
harafturímóti	har aftur ímóti, aftur ímóti tí
Haraldssund	(stn.)bygd í Kunoynni,í/úr Haraldssundi,til Haraldssunds
haraldssundsmaður	maður íel.úr Haraldssundi
harav	har av, av tí,og harav kom illstøða millum brøðurnar;Snopprikssonur hevði fingið krakk, men Jógvan hevði fingið ja, og harav stóðst hatur
hará	(mest. kvæð.)á tíel.tað,Ragnar stóð og sá hará(hugdi at)
harbeint	har,hann hevði sovið harbeint eina ferð
harbeintnar	(tlm.)harbeint, har,øll sum vóru harbeintnar
harðan	harðliga, hart,nú rópar ein ung rødd so harðan úr myrkrinum;(kvæð.)tá brast hurðin so harðan upp
harðast	hj hást:sum harðastav tí mesta, av grimd,meðan teir leitaðu eftir honum sum harðast;tá doyði alt livandi innan fyri Grynnuna, kræklingar sum harðast;meðan bardagin stendur sum harðast
harðbalaður	harður, strangur, gróðrarlítil,tað er harðbalað(veðurhart)(Sv)
harðbalaveður	harðveður(Sv)
harðbalin	sum tolir nógv, harður av sær, harðbóligur, harðbólin,eitt harðbalið fólk;teir munnu hava verið harðbalnir menn, eins og mangir vóru á teirra døgum;hjálpirótin er harðbalin(harðfør)
harðbalni	tað at vera harðbalin
harðbeiðin	sera kravmikil
harðbeinaður	(um seyð)við hørðum beini (1),seyður, ið liggur høgt til fjals, er vanliga harðbeinaður;seyður er meiri harðbeinaður av skørpum haga enn av bleytum haga;sbr.beinbleytur
harðbeittur	(um bø og haga)grýtutur, eyrutur(t.d. har sum nývelt er upp úr haga),móts.mjúkbeittur,líggin óhvessist skjótt, har sum harðbeitt er
harðbotnaður	við hørðum (havs)botni,har er harðbotnað
harðbotnur	harður (havs)botnur(grót og hella),tað, sum vit kalla reipatara, veksur á harðbotni;kalvi liggur gjarna á harðbotni;mest harðbotnur, har sum hart rekur, sandbotnur, har sum rákið er linari;sbr.bleytbotnur,mórubotnur,sandbotnur
harðbóligur	harðbalin, harður av sær,annar av hesum, ið hevði fingið banasár, var so harðbóligur, at hann gekk langan veg kortini
harðbólin	(Suð.,Sa.)harðbalin, harðbóligur
harðbreyð	tunt hart bakað breyð, brakbreyð
harðbøli	1ábært stað, vindhol(Sv)2(Suð.)harðligt fólk,hatta er eitt harðbøli
harðdiskur	(teld.)fastur diskur í teldu;sbr.diskil
harðdømdur	harður í dómi, dømandi, ikki tollyndur
harðfrystur	frystur harður, stirdur,tað var sein gonga á tí harðfrysta kavanum
harðførur	1(um veður)tað er harðførttað er nógvur vindur;á vestri er harðført í vindi;tey gomlu søgdu, at var tað ikki harðført fyri jól, varð tað ikki harðført aftan á jól2(um urt)sum tolir nógvan vind, harðbalin
harðgómi	(lívfr.)harði parturin av góma
harðhentur	harðligur, harðtøkin, strangur;harðhentvið harðari hond
harðhjartaður	við hørðum hjartalag, kensluleysur,tá var hann so harðhjartaður, at hann drap kobban
harðhugaður	harðlyntur
harðkla	(gl.)1brent hoyggj og garnatálg samaneltel.ein blandingur av mykju og øsku(fyrr havt til at klína og tetta við)2serst.fltskorpnaður skittur, runael.mykja(t.d.í skjúrta-el.frakkafaldiel.í ullini á kríatúrum ið dálka seg á básinum),kláða, herkla,nú meini eg, tú hevur fingið harðklur á stásið
harðkóka	kóka so at harðnar(um egg),harðkókað egg
harðleðraður	viðel.úr hørðum leðri,harðleðraðir skógvar;rakaroð var nógv harðleðraðari enn roturoð;harðleðrað er húð, ið er hørð og føst
harðleiki	tað at vera harður, herða 1,harðleiki í jarðarskorpuni
harðleikin	harðligur í sinnalag, ógvisligur, harðrendur, stívrendur,hann var heldur harðleikin og sera sterkur, og tí høvdu hinir ótta fyri honum;teir fremmindu menninir vóru so harðleiknir og larmutir;tú ert so harðleikin, tú dugir ikki at spæla(sagt við barn)
harðlendi	(Suð.)lendi har ið harðført er,uppi á Eggini er sovorðið harðlendi, ábært á høgættini, seyðurin, sum livdi av har, var so góður
harðlendur	(um bø og haga)harður og grýtutur, harðvallaður,hann var sum hin stinni seyðurin, ið ikki víkur frá sínum snøgga harðlenda haga
harðligur	ógvisligur, harðrendur, ódligur, øðimikil,harðligur maður;harðligur á málinum;harðligur av sinnalag;harðligt hevur verið við hvørt(um veðurlagið);hj-liga,hann hevði harðliga at teimum;hann svaraði harðliga aftur;landnyrðingurin fór harðliga fram;tað er harðliga fyri neyðini(stórliga)
harðlívaður	sum hevur hart lív (10), harðan maga
harðlyndi	tað at vera harðlyntur
harðlyndur	harðlyntur,heldur harðbalin var hann og harðlyndur
harðlyntur	harður í sinnalag, harðsintur, harðrendur, stívrendur, harðlyndur,hann var sterkur maður og harðlyntur
harðmæltur	sum tosar við harðari rødd, málamikil, reystmæltur, málreystur,móts.spakmæltur,eingin rópti og eingin var harðmæltur
harðmøraður	stríður, treiskur, stívrendur,tá er hann bæði sprækin og fótfimur og hartil harðmøraður(um seyð)
harðna	gerast harðurel.harðari, herðast1gerast strangari (2),veturin harðnar2(um ljóð)presturin harðnaði á málinum;rotini harðna í hvørjum3(um streym)reka við meiri ferð,so harðnar tað(vestfallið)4(um sinni)mørurin er harðnaður í honum;símørur
harðning	tað at harðna,streymurin var í harðning
harðorðaður	harður í orðum
harðrendur	1sum hevur lyndi til at renna hart og treystliga(serst. um seyð í rakstri),fylgið er so harðrent(tekur ferð á seg tá ið rikið verður);harðrendir, sum teir(hvessingar)eru, loypa teir ofta støkk í grindina2illa sintur, harðsintur3harðbalin, harðbóligur
harðræði	tað at ráða við harðskapi, harðstýri, kúgan,mong sakleys og meinaleys hava latið lív undir harðræði teirra;tey vildu ikki ganga undir harðræði hans
harðsettur	(um seyð)sum setur 3(6) hart,harðsettur seyður er ringur at fáast við
harðsinni	tað at vera harðsintur, ringt sinni, harðlyndi
harðsintur	illa sintur, harðlyndur, harðlyntur,prúð og sterk og harðsint - eitt rætt konubrot
harðskaddur	1harðlendur2við lítlari lívd, berligur
harðskapur	harðligur atburður, yvirgangur, valdsgerð,við harðskapi kundi eg ikki útinna nakað;hann setti seg upp ímóti við harðskapi;uppreisturin dundi á sum fyrr, og harðskapur var nýttur frá báðum síðum
harðskøddur	(um haga)harður og turrur,harðskøddur hagi;seyður á harðskøddum haga hevði gjarna ikki so góða ull sum seyður á bleytlendi ella vatnlendi
harðskøltur	1(um bø)við lítlari mold, grunnur, harðlendur, gaddutur,tað er so harðskølt(har sum stutt er niður á hart leir, grót el. hellu)2(um haga)opin(so at seyðurin ikki finnur lívd),kjøtið er betri á harðskøltum haga;ullin verður ikki góð á harðskøltum haga
harðslitin	sum slítur illa (klæði og skógvar),hon er so harðslitin, tranturin á skónum er úti beinanvegin
harðstjóri	ein ið stýrir við harðskapi, valdsharri, margbøðil
harðstýri	harðræði
harðtøkin	sum er harður í hondum, harðhentur, bonskur
harður	1(um tilfar)stinnur, fastur,móts.bleytur,hart bein, grót, horn, stál;harður hagiharðskøddur hagi,tað verður gjarna góður seyður á hørðum haga;harður botnurhavsbotnur sum er grót og hella, harðbotnur,brosma heldur seg á hørðum botni;(orðt.)tveir harðir steinar mala ikki væltveir sterkir viljar semjast illa;(tilt.)harður í horn at taka,síhorn;(tilt.)sum knívur á hørðum horni,síhorn;hava hart lívvera harðlívaður, hava ilt við at fáa av sær;verða harður í kroppinumfáa hart lív;harður knútur(fastur);(tilt.)tað er hart hoyggj at draga,síhoyggj;kúgvin er hørð ennhon líkist ikki til (at kálva)2(um ljóð)sum hoyrist væl, hvøllur;hart róp3(um fólk og dýr)harðbalin, harðlyntur, strangur, treystur, seigur, stívur,(vera) harður av sær(eingin bloyta);hon var ein hørð matmóðir;ein harður heysur;veiðimaður vil ofta hava harðan(glúpskan)hund, seyðamaðurin vil heldur hava hann temiligan og klókan;tá ið onkur tøkuhundur var ov harður, plagdu seyðamenn at klípa endan av tøkutonnunum við klípitong4(kvæð.)grummur, grimur,harður í skapi;grimur og harður til víga(r)5harðligur, ógvisligur, strangur,móts.lagaligur,harður bardagi;hart stríð;ein harður dómur(ómildur);harðir (handa)leikir;(kvæð.)nú gerast leikir harðir1nú harðnar stríðið2nú stendur á;við harðari hond(strangliga);seta hart móti hørðumhalda harðliga ímóti;hvussu hart, ið á stendurhvussu nógv leikar á;upp á tað harðastatá ið mest er at gera, tá ið nógv leikar á,meðan tað stóð upp á tað harðasta at búgva skipini til;hava hart yvir e-mvera strangur við e-n;við hørðum tøkum,sítak;taka e-n við hørðumfara harðligael.strangliga við e-m6tungur, strævin, stríggin,harður róður;hørð gonga;av harða hendi:gera e-t av harða hendiarbeiða hart, kýta seg,tú arbeiðir av harða hendi(díkir á)7pínufullur, svárur,(kvæð.)hann skal harðan deyða tolael.fáa;hørð pína;harður vandi8(um hosta)hvøllur og turrur9(um veður)ringur, strangur, ómildur,harður vetur;harður skerpingur;hørð hvirla;kyndilsmessan harða(1602)10(um streym)sum rekur við nógvari ferð,móts.góður,harður streymur;hart rák;streymurin var í harðastu mysing11(um bismara)sum vigar stívtt.e.í meira lagi,móts.lakurhjhart1við nógvari megi, harðliga,arbeiða hart;sláa hart;rógva hart;hann var hart ímóti tí;(kvæð.)teir ryktust bæði hart og leingi2við nógvari ferð, skjótt,renna hart;koyra hart3meint, dygt,eg var ógvuliga hart tikin av sjúkuni;ganga hart á,síganga4so at tað hoyrist væl,tosa hart;neytini belja hart;blása hart í horn(í skjaldri);toran gongur hart5so at hoyrist,móts.innantanna,biðja hart;lesa hart;sms. t.d.bál-,bein-,brodd-,grót-,kol-,meitil-,storm-,vás-,veður-,vind-
harðvallaður	við harðari valling
harðvalling	hørð valling
harðveður	hart veður við nógvum vindi, stormur,eitt vetrarkvøld í niðu og harðveðri av vestri;harðveðrið er í linking
harðveðursbrestur	stutt harðveður,tað man ein harðveðursbrestur fara at koma aftan á henda lúrin
harðveðursdagur	dagur við harðveðri
harðveðursætt	ring ætt í harðveðri
harðvetur	harður vetur, vetur við harðveðri,teir gomlu søgdu, at tað komu ongantíð tveir harðvetrar á rað;hetta verður ein harðvetur(um nógv av hvítum blettum var í miltinum á neyti)
harðvirkin	ið virkar harðliga,harðvirkin lívrunnin loysingarevni
harðvorðið	(av veðri)ófýsið, illfýsið,har varð sera harðvorðið at liggja
harðvorðinskapur	forherðing, tvørlyndi
harðvunnin	1ringur at fáa bilbugt við, tvørligur, stívrendur,tað má vera ein harðvunnin giktarsjúka;tað mátti verið harðvunnið hjá fransmanninum at brotið garðin hjá týskinum2harðbalin,vera harðvunnin av sær(ikki erkvisin);tess fyrr eitt gimburlamb er lembt, tess harðvunnari verður tað sum ær, siga seyðamenn
harðvøllur	harður vøllur
hareftir	eftir hinum(sum frammanundan nevnt er),somuleiðis, í sama mun,látraljós skuldu vera so tjúkk og stór og rakið hareftir;betri skipi skuldi leitast leingi eftir, og manningin er eisini hareftir
harfrá	(kvæð.)(burtur) haðan
harfyri	1av tí, tess vegna,honum dámdi ikki at eg fór út, men harfyri kundi eg ikki leggjast inni2(kvæð.)kortini, hóast,hann var ikki við váknum vigin, harfyri mátti hann lúta
harí	(kvæð.)í hasum, í hatta
hark	1einstakt átak av harkan2(kvæð.)gangur, rómur, óljóð,av so miklum harki
harka	loysa slím frá bróstinum (við at smáhosta), ræma barka,harka stáshark;hann harkaði rákan upp frá bróstinum;motorurin hostaði og harkaði(gekk ójavnt)
harkalapakk	óvandaslag, pakk, sáð 2(4), rann 1(3)(Sv)
harkalið	írahópur, flokkur av illmennum,tá var alt harkaliðið farið avstað
harkan	tað at harka,tað var ein snorkan, harkan og froysan av øllum
harklalopin	fullur í harklum, skitin
harklar	(stb.)harklur,síharkla (2),sum buksurnar eru skitnar, tað eru rættiligir harklar í brókunum
harklareyv	óvandaligt konufólk, skitfoys(a)
harklaskjúrt	skjúrt við harklum(t.d. skjúrt hjá sópingarkonu)
harklaskotin	við harklum, ógvuliga skitin
harklutur	við harklum, við skorpnaður skitti
harma	vera harmur um, syrgja, gremja seg um,tað harmar meg;harma seg til deyða;harma meg ikki!;eg ætli mær ikki út á vegirnar at harma meg;teir læa at honum og harma hann ikki(hava ikki samkenslu við honum);(gl.)fáur harmar fútadeyða,sífútadeyði;tað er ikki at harmast um(einki at vera harmur um)
harmabundin	forharmaður, stúrin, sorgtungur, harmfullur,eingin var so harmabundin, at hann mátti ikki læa(at e-m ið segði frá onkrum sera stuttligum)
harmafullur	(gl.)harmabundin(FFÆ417)
harmagrátur	(bíbl.)harmljóð,(gl.)HarmagráturinHarmljóðini
harmalæti	kæra, gremjing,Orfeusar ljómfagra harmalæti
harmamaður	(bíbl.)píndur og plágaður maður(Jes.53,3)
harmaorð	harmandi orð,tey fylgdu honum við harmaorðum til dyrnar
harmaróp	róp av harmiel.gremjing
harmarødd	gremjandi rødd, gráturødd
harmasøga	syrgilig søga, gremjing,hatta er ein harmasøga, ið prósturin ber fram
harmatungur	harmfullur, sorgarbundin
harmfullur	fullur í harmi, harmabundin, sorgarbundin
harmiligur	syndarligur, grøtiligur,tað var harmiligt at hoyra
harmingarverdur	verdur at harmast um, syndarligur
harmiska	sorg, gremjing, harmur 1
harmleikur	(bókm.)sorgarleikur[da.tragedie]
harmljóð	(bíbl.)sorgarljóð, harmagrátur,Harmljóðini(bók í Gamla testamenti)
harmonika	(tónl.)ljóðføri við knappaborði og bjølgi(sum aðruhvørja ferð verður drigin sundur og kroystur saman),draguspæl, bjølgspæl
harmtungur	(skaldsk.)harmatungur
harmur1	(kvæð.)tað at harmast, sorg, stúran, harmiska,ein tungur harmur;hon doyði av harmi og sorg;Brynhild sprakk av harmi
harmur2	forharmaður, stúrin,vera harmur um e-t;hann var vreiður og harmur
harniðri	niðri á tí staðnum(sum umrøtt verðurel.peikað verður á)
harnæst	har næst, tínæst, síðan, so,nú skal hann harnæst fáa trøðna dyrkaða upp
harpa	(tónl.)slag av streingjaljóðføri, hørpa
harpeis	seigt kleimið evni sum myndast í summum trøum og plantum, harpiks
harpiks	harpeis
harpuskjarmur	(kvæð.)ramma á harpu(ivasamt),teir tóku hennara ljósa arm, gjørdu sær til harpuskjarm
harpusláttur	sláttur á harpu, harpuspæl, hørpusláttur
harpuspæl	spæl á harpu
harpustrongur	strongur (1) á harpu
harra	1(gl.)virðingartittul, serst. á presti,harra Klæmint;(kvæð.)harra Pætur2(um Gud)harra Gud;sum harra Gud veitheldur vánaligur, við lítlum skili,viðurskiftini munnu vera sum harra Gud veit;lønin var sum harra Gud veit3(t.d. uttan á brævi, stytthr.),harra Jógvan Ólason,sí eis.harri;sms.Vár-
harrablað	(kortsp.)málablað, litað blað
harraboð	boð frá harra (1), boð úr høgum stað,nú ætlaðu føroyingar ikki longur at taka ímóti donskum harraboðum;(tilt.)høg eru harraboð, hægri eru Guds boðel.høgt er harraboð, men hægri er Guds boð
harraborg	(gl.)harrasetur, riddaraborg,byggja harraborgir í tonkunumel.í huganumætla størri enn evni standa til, sveima høgt (í huganum)
harradagur	(søg.)stórmannating(serst. í Danaveldi fyri 1660)
harradeyði	tað at stórmaður doyr,eystan jólamorgun boðaði frá harradeyða(JCP Hests.145)
harradómur	tittul á høgum manni,hansara harradómur
harradømi	ræði, vald,hava harradømi á e-m
