S	rómv. taltekn fyri 70
sandoddi	sandoyri við odda út í sjógv
sandormur	(dj.)sandmaðkur (2)
Sandoy	(stn.)oyggj sunnan fyri Streymoynna,í/úr Sandoynni,til Sandoyar[sandijar]
sandoyardansur	dansispæl(dansað verður í ringi meðan ørindið verður kvøðið, tvey og tvey dansa saman einsæris meðan niðurlagið verður kvøðið)
sandoyða	sandoyðimørk
sandoyðimørk	oyðimørk við sandi
sandoyingur	1fólk íel.úr Sandoynni2(stb.)heimasandsmaður;sbr.sandingur
sandoyri	oyri av sandi
sandpappír	sterkt pappír við álímaðum sandkornum(at pussael.slípa við);sbr.hávaskinn
sandra	1sanda,gólvið er nýsandrað2stroya,hann fór at sandra silvurpengarnar útum;eitt gos av liti og ljósi, ið sandraðist vestur yvir oyggjarnar
sandriv	riv 1(3) av sandi, sandgrynna
sandrok	rok av fúkandi sandi
sandrók	rók við bergsandi á
sandryggur	ryggur (2) av samanfoknum sandi,fram við lónni gongur ein høgur sandryggur avvaksin við grasi, sum roksandurin festist í
sandsekkur	sekkur við sandi(serst. til verju fyri skotálopum)
sandsev	(plfr.)slag av sevi(Juncus balticus)
sandskorn	(skaldsk.)sandkorn,ótøld sum sandskorn smá
sandskruv	skruv av sandi, sandut skruv,sandskruv og mold;á Slætnabrúnni er sandskruv
sandskúraður	skúraður við sandi,angi av sandskúraðum viði
sandskøta	(fisk.)skøtuslag(Raja circularis)
sandslúkur	(skip.)sandsúgvari
sandsmaður	heimasandsmaður
sandsmarhálmur	(plfr.)slag av marhálmi(40-70 cm høgt grovt gras ið bindur foksand)(Ammophila arenaria)
sandsprek	(fisk.,Vágar)spragga
sandsprøka	(fisk.)skrubba(Limanda limanda)
sandsteinur	sandgrýti
sandstroya	stroya sand á, sanda, sandra,sandstroya roykstovugólvið
sandstubbi	(fisk.)slag av stubba (5)(Pomatoschistus minutus)
sandsúgvari	(skip.)far ið sýgur upp sand av botni, sandslúkur
sandtangi	tangi 1(1) av sandi
sandtari	tari við sandi á,ærin doyði av sandtara(sandurin legðist í vinstrina)
sandtorv	torv við sandi í, sandut torv
sandtøka	tað at taka sand(t.d. til stoypingar),Mølheyggjarnir á Sandi eru illa farnir av sandtøku
Sandur	(stn.)bygd í Sandoynni,(heima) á Sandi/(heiman) av Sandi;heim á Sand/til Sands
sandur	1tilfar av smáum hørðum kornum máaðum burtur av gróti,hann soraði alt sundur í sand(í sandasorl)2sandøki, sandoyðaserst.strond við sandi;sms. t.d.berg-,epla-,fjøru-,fok-,loppu-,sjó-,skel-
sandutur	1blandaður við sandi,sandut mójørð2sanddálkaður, dálkaður av sandi
Sandvík	(stn.)bygd í Suðuroy,í/úr Sandvík;til Sandvíkar
sandvíkingur	fólk íel.úr Sandvík
sang	sísyngja
sang-	song-
sangari	ein ið dugir væl at syngja, ein ið hevur til starv at syngja,operusangari,poppsangari,vísusangari
sangarinna	songkona
sangbiti	(stb.)jótur (3) á seyði, syngja 1,átst tú sangbitan, fekst tú gott mál at syngja við
sangbók	songbók
sangkór	songkór
sangleikur	(tónl.,sjónl.)sjónleikurel.filmur við løttum sangi, tónleiki og dansi[en.musical]
sangtonn	(stb.)máltonn
sangur	songur
sank	1tað ið er sankað saman av óruddi og ruski2sankutøð,tøðini vóru øska og sank
sanka	savna saman (lutir, tilfaro.tíl.)
sankta	heilagur(framman fyri nøvn á halgimennum),sankta Mortan;hjálpi mær Gud og sankta Ólavur kongur!
sanktøð	sankutøð
sankutøð	gólvsóp, øska, torvmold, lando.a.sum koyrt verður í køst,sankutøð eru ikki mykjutøð[da.kompost]
sann	í osb. summín sann, upp á mín sannsanniliga, tað veit Gud!,ja, mín sann hevur hann aftur brotið ein rút
sanna	1royna at e-t er satt,sjálvur mundi hann tað sanna;sanna míni orð!lít á míni orð;her sannast, at lítið batar at renna undan deyðanum2ásanna, viðganga, viðurkenna,hon mátti sanna, at yndisligari sjón hevði hon ikki sæð;mína synd eg sanni;sms. t.d.av-,á-
sannan	tað at sanna, ásannan, staðfesting, váttan,fáa sannan fyri e-t
sanndroymdur	sum droymir slíkt ið seinni gongur út
sanndroymin	sanndroymdur
sannferðigur	(gl.)sannorðaður,Jógvan beiggi er ein sannferðigur maður
sannferðiliga	(gl.)satt, í sannleika,teirra lív er sannferðiliga lýst
sannføra	fáa (e-n) til at skiljael.fata e-t sum sattel.rætt(serst. meiningarnar hjá einum sjálvum),vera sannførdur um e-tvera ivaleysur í e-m;sannførandiið vekur álit;sannførdurivaleysur í hugsanel.meining síni
sannføri	tað at vera sannførur
sannføring	tað at sannførael.vera sannførdur(um e-t)
sannførur	sum sigur satt, sannur,tann, ið sannførur er, mælir tað, ið rætt er
sanngildi	tað hvørt ávís framsøgn er sonnel.ósonn,sanngildið í frágreiðingini
sannheit	sannleiki,tað er sannheit(satt)
sannhjartaður	reinlyndur
sanni	í osb. sumav (eis.á) sannisanniliga, av sonnum,tað var mær av sanni sagt
sanniliga	av sonnum, við vissu, vissuliga,sanniliga, sanniliga sigi eg tykkum;mðlvtað er vist og satt
sanniligur	(kvæð.)sannur
sannindi	sannleiki,móts.ósannindi(r)
sannkenna	fáa fatan av (e-m), skilja, fata til lítar[da.erkende]
sannkenning	tað at sannkenna,nýggjar sannkenningar gera vart við seg í huga mínum[da.erkendelse]
sannkristin	av sonnum kristin, rætttrúgvandi kristin
sannleikaorð	sonn orð, sannleiki,siga e-m sannleikaorð
sannleiki	tað sum satt og rætt er, sannindi,móts.lygn
sannleiks-	sms. t.d.-gildi,-kelda,-orð,-vegur,-vitni
sannleikur	(sj.)sannleiki
sannlíkindarokning	(støddfr.)líkindarokning
sannlíkindi(r)	1tað at vera sannlíkur, tað at e-t er sannlíkt, útlit, vánir, líkindi2(støddfr.)stødd (2) fyri møguleika, líkindi (3),sannlíkindi(r) fyri at fáa tvey í terningakasti er 1/6
sannlíkur	sum væntast kann at vera sannurel.sum væntast kann at henda, trúligur(eftir umstøðunum),rímiligur, væntandi,tað er ikki sannlíkt, at so verður(ikki líkt til);sannlíkast er, at einki hendir
sannorðaður	sum sigur satt, sannsagdur
sannprógv	(satt) prógv, váttan
sannprógva	vátta, prógva,hann hevur sannprógvað, at tað ber til
sannroyna	royna til lítar,einki beri eg fram, sum ikki er sannroynt
sannroynd	e-t sum er, royndur lutur, (óreingiligur) veruleiki,ein náttúrufrøðilig sannroynd;hetta er meira ein sannroynd enn ein søgn
sannroyndur	sum í royndum er til, veruligur, sannur,sannroyndar søguligar upplýsingar
sannroyning	roynd (3)
sannsagdur	sannorðaður
sannsakaður	(stb.)(um seyð)ikki lívførur (1)(av elli el. raki serst. um heystið),ærin er sannsakað
sannsaki	(stb.)(serst. um veðragjóling)undanstøkkingur (1)
sannsigandi	sannorðaður
sannspáddur	sum spáar satt, sum veit at siga hvat fer at henda,vera sannspáddur
sannspurdur	l7í osb. sumtað er sannspurt(sonn, eftirfarandi tíðindi, e-t sum øll vita)
sannspyrja	frætta tað sanna,teir vilja fáa sannspurt, áðrenn teir trúgva
sannsøga	sonn søga
sannsøgn	sonn søgn
sannsøguligur	søguliga sannur,sannsøgulig evni
sannur	1í samsvari við veruleikan, sum ikki lýgur, ófalskur,ein søga, ið er sonn;tað er so satt, sum tað er sagt;av sonnumveruliga,so varð mær av sonnum sagt;tað er vist og satt!(óreingiligt);Føroyar eru lítið land, satt er tað, men ...(gaman í, men ...)2ektaður, rættiligur,sannur kærleiki;ein sannur Gud;ein sonn frøi;hann er ein sannur sjómaður(sum ein sjómaður eigur at vera, sum sømir seg einum sjómanni)3í osb.tað er upp á ta sonnu tíð(í síðstu løtu um e-t skal náast til ásetta tíð);hjsatt,siga sattsiga sannleikan;so sattsanniliga,men so satt støðgaði hon;(kvæð.)sig mær av tí sattsig mær sannleikan;(Gud) gæviel.gávi satthevði tað verið so væl;gævi satt, hann fann heim aftur
sannveruligur	sannur, veruligur, rættiligur,ein rættilig og sannverulig troyst
sannvísa	ávísa
sansa1	1(lívfr.)varnast við sansunum2gerast varugur við, geva gætur, hugsa um, varnast,eg sansaði tað ikki fyrr enn aftaná;eg sansaði ikki at spyrja meira;eg sansaði ikki um tað(gáaði ikki um tað);sansa seg umhugsa seg um;hann verður eitt sindur rísin, men sansar sær(sinnar seg og loypur ikki framav)
sansa2	s30:sansa attátta, rubba (t.d.knút)(draga hart og knappliga at),hann sansaði knútarnar at;tá ið táttað verður í annan partin, sansar lykkjan at;(flutt m.)nú sansar atnú sígur samanum, treingist;nú er farið at sansa at fíggjarliga
sansaárin	árinel.ávirkan á sansirnar,barnið lærir gjøgnum viðgerð og venjing at skilja ímillum tey mongu sansaárin, sum tað fær
sansabærur	sum kann sansast, sum er sansandi,sansabær eyðkenni
sansagagn	(lívfr.)gagn (2) ið sansur virkar ígjøgnum
sansagarður	stovnur (3)serst.fyri eldri og brekað fólk har ið dentur verður lagdur á at stimbra sansirnar
sansaheimur	sansaligi, evnisbundni heimurin
sansahvørving	tað at sansirnir tykjast fata e-t sum í royndum ikki er til,andar segði hann bara vera sansahvørvingar;sbr.hvørvisjón
sansakykna	(lívfr.)kykna í sansingargagni
sansaleysur	frá sær sjálvum(av øði), vitleysur, ovursintur, svakur (2)
sansaligur	sum kann merkjast við sonsunum
sansaloysi	1tað at vera sansaleysur2(gl.)gáloysni, ósketni,hetta kann vera komið í lag av sansaloysi ella av óvart
sansanerv	(lívfr.)nerv frá sansingargagni til høvuðsnervalagið
sansing	tað at sansa 1
sansingargagn	(lívfr.)yrkisgagn við sansakyknum
sanskrit	(málfr.)fornindiskt mál
sansur	1evni til at sansa 1(1)(t.e. síggja, hoyra, kenna, lukta, smakka),teir fimm sansirnir: sjón, hoyrn, kensla, luktur, smakkur;hon kom ongantíð til sansirnar aftur(til vitið)2áhugi, ansur (1),søguligur sansur
santa	sankta
sardin	(fisk.)lítil fiskur av sildaætt(Sardina pilchardus)
sarpa	(stb.)stinkandi evjael.runa;sbr.sørpa
sarprenna	(stb.)renna 1(3) við stinkandi evjuel.runu
sarpur	(stb.)1skitligt, óreinligt fólk, skitsarpur2(stn.)vátlendi,í Sørpum
sat	sísita
satsur	1(prent.)samfastir stavirel.teknt.d.á regluel.síðu(til at prenta eftir; áður úr blýggi)2(tónl.)táttur í tónaverki
satt	sísannur
Saturn	(stjfr.)sætta og næststørsta gongustjørna í sólkervinum
saval	(dj.)feldur av sibiriskum mørði(Zobel)
-savi	sísjó-
savn	1e-t sum savnað er saman,savn av bókum2stovnur (3) har ið savngripir verða goymdir;sms. t.d.bóka-,fornbræva-,fornminnis-,skjala-
savna	1dragael.føra saman, samla,savna frímerki;savnastkoma saman2reka seyð saman á savning (1),savna seyðin (saman);gongan verður savnað;savna (einum) seyðafylgi;sbr.drivsavna;sms. t.d.hug-,kring-,mið-
savnaður	(bíbl.)samkoma (2)
savnan	hj(Suð.)í osb.javnan og savnanjavnt og samt
savnari	ein ið savnar;sms. t.d.frímerkja-
savnfløga	fløga 1(3) við teimum bestu løgunumel.songunum hjá sangara, orkestri, tónleikabólkio.tíl.
savngoyma	goyma og skipa í skjalasavni[da.arkivere]
savngripur	gripur í savniserst.forngripur
savnhús	hús har ið savngripir verða goymdir
savnindi	skjøl, brøv, korto.tíl.varðveitt á skjalasavni(archivalia)
savning	1(Sa.)pláss í haganum at reka seyð saman á(áðrenn rikið verður í rætt),hvørt fylgi hevur sína savning2(Sa.)tað at savna seyð,teir hava fingið savning á seyðin3samkoma
savningarmerki	merkiel.ímynd av e-m iðt.d.ein tjóð savnast umeinki er ein sjálvfylgja, heldur ikki viðurkenningin av einum savningarmerki, sum flagg okkara, Merkið, má sigast at vera
savnkúpa	(alisfr.)kúpa (2) ið savnar ljósgeislar(til fráskygd eygu),móts.spjaðkúpa
savnrit	(bókm.)rit við blandaðum innihaldi
savnsleiðari	savnsvørður (1)
savnsmynd	(gomul) mynd úr savni(t.d.í bløðumel.sjónvarpi)
savnsvørður	1fyristøðumaður á savni2ein ið umvælir gripir, stappar út fuglar, dýro.tíl.
savnverk	(bókm.)savnrit
sá1	(kvæð.)tann, hin (1),sá hin hugdjarvi;sá hin fánytihin versti, fjandin;føgur var sú dúgvan
sá2	sísíggja
sáa	1stroya sáðkornel.fræ,himmiríkið er líkt einum manni, ið sáaði gott sáð í veltu sína2stroya, sand(r)a, breiða 2(1),sáa bøinbreiða handilstøð á bøin;hann sáddi sukrið eftir gólvinum
sádómur	(Sand.,niðr.)óvætti, ótýggi,tykkara sádómar(sagt við óflýggjaligar óvitar)
sáð1	sáðir,sálda sáðirnar burturúr
sáð2	1frækorn at sáa (1),tey løgdu sáð burturav, tá ið tað var avlatið(sáðkorn)2(plfr.)teir fínu bitlarnir í sáðberunum á blómu, dust (3), flogsáð, flog (6)(pollen)3(lívfr.)væta við sáðkyknum úr teimum mannligu kynskertlunum, spina(sperma)4(niðr.)óvandaslag, pakk, írasáð;sms. t.d.hunda-,flog-,íra-
sáða	skal av korni, klíggj (1), sáð 1,tað grova tað kallaðu vit fyri sáður, tað bleiv eftir, tá ið mann tók tað fína frá tí grova(eftir at kornið varð malið)
sáðbanki	stovnur ið goymir sáð 2(3) frá sáðgevum(ætlað barnleysumserst.tá ið maðurin er lívsørur)
sáðberi	(plfr.)blað (fleiri í tali) innan fyri krúnubløðini ið bera kalsligu kynsgøgnini hjá plantum, sáðblað
sáðblað	(plfr.)sáðberi
sáðfang	(plfr.)ovasti partur á sáðgongini
sáðgerð	(lívfr.)tað at sáð 2(3) gerst,girnd og sáðgerð halda fram alt lívið
sáðgevi	ein ið letur sáð 2(3) í sáðbanka(at hjálpa barnleysum)
sáðgong	(plfr.)kvennliga kynsevnið hjá plantum(pistillum)
sáðjørð	(bún.)jørð at sáa korn í, sáðlendi
sáðknappur	(plfr.)ovari partur á sáðberunum har ið kalsliga kynsevnið hjá plantum verður goymt
sáðkorn	(bún.)korn at sáa, korn ið sátt verður
sáðkykna	(lívfr.)kynskykna av kallkyni(spermatozo)
sáðlát	(lívfr.)tað at sáðið 2(3) fer ótilætlað(helstí svøvni),avgonga (2)
sáðlendi	(bún.)sáðjørð
sáðmaður	(bíbl.)maður ið sáar korn
sáðrás	(lívfr.)ræsi sum sáð 2(3) fer ígjøgnum
sáðtíð	(bún.)tíð tá ið sátt verður,summarmáli er hægsta sáðtíð
sáðtráður	(plfr.)niðasti mjái parturin á sáðbera
sáðubreyð	breyð við sáðum,(kvæð.)rotið vatn og sáðubreyð
sáðudrýlur	drýlur við sáðum
sáðugreytur	greytur við sáðum
sáðutur	fullur av sáðum
sáing	tað at sáa
sáingarmaður	sáðmaður
sáingartíð	sáðtíð,hægsta sáingartíð fyri korn á summarmála
sál	1andligi máttur menniskjans, hugur, sinni, lyndi, lund,móts.likam,í himmiríki spæli sálin(góðynski fyri e-m ið deyður er);sálin er í honum ennhann er ikki andaður enn;vera sjúkur til likams og sálar;tað gongur honum inn at sálini(tá ið ein hevur mótburð el. trega av e-m);(skaldsk.)al tær bestu kenslur upp í míni sál;tæn tú Gudi av hjarta og sál;at vera óður eftir pengum (jørðo.tíl.) sum hin versti eftir sálini2fólk, menniskja,har var ikki ein livandi sál at síggja;(tilt.)teir eru sum lív og ein sál(góðir, samdir);(blíðm.)góða sálin!lukka, vælsignaður;sms. t.d.eld-,manna-;sbr.sjel
sála	drepa,sálastdoyggja, andast,eg var um at sála av henni, sum hon roksaði;sálaður1deyður, andaður2drukkin, fullur (3)(Sv)
sáladagur	(stb.)sáludagur (2. november)
sálarangist	nívandi angist, ótti, ræðsla
sálarbotnur	tað innasta í menniskjanum, sálardýpi,dregur grugg upp úr sálarbotninum
sálarbót	bjargingel.hjálp í sálarneyð, frelsa,hatta var sálarbóttað var væl, tað var gleðiligt
sálarbótargerð	sálarbótsgerð
sálarbótsgerð	vælgerð, góðgerð,nú mást tú gera mær sálarbótsgerð(hjálpa mær)
sálarbótsstjørna	(stb.)stakkalastjørna
sálardýpi	tað innasta í menniskjanum
sálareyga	sálarligur sansur, andligt gløggskygnio.tíl.
sálarferðing	(átr.)hugsan um at sálin eftir deyða fer í annað likam;sbr.endurholding[da.reinkarnation]
sálarfløkja	(sálfr.)duld
sálarfriður	tað at friður er í sálini,hann kendi seg nú at hava fingið fyrigeving, sálarfrið
sálarfrøði	(sálfr.)frøðigrein um sálarligar eginleikar og atferð hjá fólki(psychologia)
sálarfrøðiligur	(sálfr.)viðv. sálarfrøði
sálarfrøðingur	(sálfr.)ein ið lærdur er í sálarfrøði
sálarglaður	innarliga glaður, hjartaglaður
sálargóðska	sálarlig góðska, kærleiki, tokki
sálargrand	(kvæð.)tað ið kann verða sálini at meini, sálarligt grand, sálugrand,at bøta synd og sálargrand
sálargreina	(sálfr.)fremja (við) sálargreining
sálargreining	(sálfr.)serstakur sálarligur kanningarháttur ið leggur dent á hitt ótilvitaða(eis. nýttur til at grøða sálarlig brek)(psychoanalysis)
sálarhirði	(átr.)ein ið veitir fólki hjálp og leiðbeining í trúarspurningumserst.prestur
sálarhjálp	1(átr.)tað at sálin verður frelst frá glatan, frelsa2(sálfr.)sálarlig hjálp
sálarhjálpari	(átr.)1frelsari2ein ið veitir hjálp í trúarmálum
sálarkvøl	kvøl í sinni, sálarlig kvøl, sálarneyð, sálarstríð
sálarleysur	l2:hin sálarleysibismari,tá ið teir mettu fitina á seyði, kundi bóndin taka so til: spyr tú hin sálarleysa!
sálarligur	viðv. sáliniel.sálarlívinum, andligur, sinnisligur,sálarligar sjúkur;hj-liga
sálarlív	samheild av tonkum, kenslum, viljao.tíl., andligt lív, kenslulív
sálarlækni	(lækn.)serlækni í sálarsjúkum, sinnislækni, sinnissjúkralækni
sálarmegi	sálarligel.andlig megi
sálarmessa	(katólsk) messa fyri einum deyðum
sálarneyð	sálarligel.andlig neyð, sálarkvøl
sálarrøkt	(átr.)hjálp iðserst.presturel.sálarhirði veitir fólki í sálarneyð
sálarsjúka	(lækn.,sálfr.)sálarlig sjúka, sinnissjúka, nervasjúka
sálarsjúkur	(lækn.,sálfr.)sum líður av sálarsjúku, sálarliga sjúkur, nervasjúkur (2), nervaveikur, sinnissjúkur
sálarsterkur	við sterkari sál, sálarligael.andliga sterkur
sálarstríð	sálarligtel.andligt stríð, sálarneyð, sálarkvøl
sálarstyrki	sálarligel.andlig styrki,sálarstyrki í neyðini
sálartregi	sálarligurel.andligur tregi, sálarkvøl, sálarneyð
sálarveikur	sálarligael.sinnisliga veikur
sálast	sísála
sáld	amboð (ílat, kassio.tíl.) við holutum botni av skinniel.við botni av gataðum roði at reinsa korn, mjølo.tíl.við,vera gjøgnumgataður sum eitt sáld;leka sum sáldiðleka illa;sms. t.d.leka-,roð-
sálda	reinsa(t.d.mjøl)við at lata fara gjøgnum sáld, sælda;(flutt m.)sálda fráskilja burturúr
sáldan	sældan, gjálv,sáldan í sjónum
sálding	tað at sálda
sáldroð	roð at hava undir tá ið sáldað verður,hon breiðir sáldroðið á gólvið, leggur seg á knø, tekur sáldið og sáldar
sálfrøði	(sj.)sálarfrøði
sálfrøðingur	(sj.)sálarfrøðingur
sálfullur	andríkur, kensluríkur
sáli	sum deyðurel.andaður er,abbi mín sáli;omma sála
sáligheit	(gl.)sæla,mín sjel og sáligheit(eiður)
sáligur	1sælur (3), sálur,Torvaldur sáligi2drukkin, fullur (3)(Sv)
sálleysur	andliga fátækur
sálmabók	bók við sálmum
sálmalag	tónalag sum sálmur verður sungin við
sálmameistari	(bíbl.)sálmaskald,sálmameistarin Dávid
sálmaskald	ein ið yrkir sálmar
sálmasongur	tað at syngja sálm(ar)
sálmavers	sálmaørindi
sálmaørindi	ørindi (2) í sálmi
sálmur	1andlig yrking(ætlað at syngja til gudstænastuo.tíl.)2hvør av teimum 150 yrkingunum sum mynda kapitlarnar í Sálmunum í Gamla testamenti;sms. t.d.altar-,grav(ar)-,jóla-,kvøld-,lík-,morgun-,sjó-
sálnadagur	k42:alla sálnadagursáludagur
sáludagur	(kirkj.)hátíðardagur til áminningar um tey deyðu, sáladagur, alla sálnadagur (2. november)
sálugrand	(kvæð.)sálargrand
sálugur	sáligur
sáluhjálp	(átr.)sálarhjálp (1),tú greiðir gøtur hansara og kunnger fólki hansara sáluhjálp við fyrigeving syndanna
sáluhjálpari	(átr.)ein ið veitir sáluhjálp, frelsari, bjargari
sálur	(sj.,stb.)sælur (3),hann var har syndur og sálur(var har altíð og stund)
sálva1	1salva 12háfloygd og søt orð[da.salvelse];sms.grøði-
sálva2	(sj.)salva 2
sálvumikil	eyðkendur av uppgjørdari tignel.lótum, søtorðaður, smikursøtur,presturin var sálvumikil;sbr.sálva 1(2)
sáma	(ópers.)hóska, høva, søma,e-m sámir e-t;e-m sámir, at ...;tað sámir honum ikki;teir sterku litirnir kunnu sáma seg aðrastaðni
sámi1	tað ið sámirel.sømir e-m, tað ið sømiligt er, sómi,blíður við fólk, sum hann helt vera sáma hjá sær at hýsa
sámi2	fólk íel.úr Sámalandi(norðast í Noregi, Svøríki og Finnlandi),lapplendingur
sámiligur	1sum sømir seg, høviligur, hóskandi, rímiligur,sámiligur prísur;hon var eitt sámiligt fólk(dámlig, vøkur);hann hevði notið sámiligan blíðskap2toluligur,støðan er sámilig(so nøkulunda);hj-liga
sámiskur	íel.úr Sámalandi
sápa1	milt (angandi) tváttarevniserst.til sjálvrøkt(í føstum, bleytum el. flótandi líki);sms. t.d.grøn-,hvít-
sápa2	smyrja sápu 1 á
sápubløðra	luftfylt bløðra av sápuvatni
sápuílat	ílat til sápu
sápulútur	sterkt sápuvatn
sápuskál	skál til sápu
sápuskúm	skúm íel.av sápuvatni
sápuspønir	smáar tunnar sápuflísar
sápustykki	stykki av (hand)sápu
sápuvatn	vatn við upploystari sápu
sápuvirki	virki ið ger sápu
sár	1meiðsl, løsturt.d.á húðini, ben 1(1),(flutt m.)staddur í sama sári(í somu (ringu) støðu (sum ein annar));tað kemur aftur í sama sárið(aftur í sama ólag sum var);hatta var mær sár um hógv(tá ið illa gekk í hond, gekk ikki sum tað átti)2ben 1(3),sár á træo.tíl.;sms. t.d.bana-,bekk-,ólívs-,legu-,lúsa-
sára1	(Suð.)særa,sáraðursærdur
sára2	1ógvuliga, inniliga, hjartaliga, sárliga,gráta sára;hon skar so sára við;(kvæð.)hevna ein so sára2(sj.)sera,sára gott;tað er sára lítið av lomviga
sáran	sára 2(1)
sárbruni	(lækn.,gl.)sárfepur
sáreggjaður	(t.d. um líggja)sárur (5),móts.mjúkeggjaður,ikki at hugsa um at raka sær við sáreggjaðum rakiknívi, hann bara roytir;líggin er sáreggjaður
sárfepur	(lækn.)fepur av sárum, sárbruni
sárføttur	sárur og eymur um føturnar(av gongu o.tíl.)
sárhentur	sárur og eymur í hondunum(av drátti (1), róðri o.tíl.)
sárhógvaður	(um dýr)sárur um hógvarnar
sárhyrningur	sárhyrntur hornaseyður,vanliga skórust sárhyrningar væl;sbr.sárningur,særningur
sárhyrntur	(um hornaseyð)við hornum ið vaksa so nær høvdinum at sár kemur á,sárhyrntur seyður;sbr.nærhyrntur
sárjaðari	(lækn.)jaðari av húð fram við sári
sárka	hava samkenslu við (e-m),eingin kann sárka hann, tí hann hevði skuldina sjálvur;sárkastgerast sárur (1)el.sárari;neyðardýrið, tú ert so sárkað um andlitið;(skaldsk.)alt sárkaðist ellistøðið;sárkast um (e-n)sárka
sárki	pína, sárseyki,hann kendi sær ein sárka fyri bringuni
sárkleyvaður	(um dýr)sárur og eymur um kleyvarnar
sárliga	sára 2(1),gráta sárliga;(kvæð.)Brúsi skar so sárliga við, tá ið hann fekk banasár
sárlingur	(stb.)skurvut epli,hetta er teir beru sárlingar
sárlyndi	sártel.viðkvæmt lyndi,eg havi altíð verið ov mikið sárur, og sum árini runnu, vaks hetta mítt sárlyndi
sárlyndur	smásárur, eymur (2)
sárlørift	(lækn.,gl.)tunnur løriftsskeyti at leggja í sár, sárskeki, línskav(charpi)
sárna	(stb.)valda trega, pína 2(1), plága 2,hatta skuldi tú ikki gjørt, tað sárnar meg illa
sárningur	sárhyrningur
sárorðaður	(sj.)speiskur, meinorðaður
sársaki	sárseyki
sárseyki	1pína (av sári), ilska2tregi, ekki,tað hevur verið størsti sárseykin á túrinum at vita konuna einsamalla eftir heima
sárskeki	(lækn.,gl.)sárlørift, línskav
sárur	1sum hevur iltel.kennir ilsku, eymur (3),sárur í fótunum, hondunum;hann er so sárur av fleingjuni2nívandi, pínandi, beiskur (3), tungur (2),sárur grátur;hava sára kenslu av e-m;sárur saknur3ið tolir lítið av, eymur (2), erkvisin,vera sárur um e-t;gentan var sera tykkin, sjúkliga sár;(flutt m.)stúrin, ræddur(t.d. um e-t ið ein er góður við),hon var so sár um nýggja kjóla sín4særdur,(kvæð.)átta fann hann berserkir sárar á síni leið5(um eggjarn)við ov harðari egg (ið ryður), sáreggjaður(smá skørð kunnu koma í eggina);hjsártsárliga, sára(n), eymliga, ønskriliga,tók so sárt at gráta;(orðt.)sárt bítur soltin lús,sísoltin;(orðt.)sárt bítur sekan,sbr.sekur at sær tekur;sms. t.d.bekk-,fjaður-,hár-,hold-,mein-,smá-
sáryrði	speiskt orð, meinyrði
sáta	rúgvael.stakkur av turrum hoyggj(rundur og uppmjáur),sátan var nú komin upp undir koll;fáa alt hoyggið, ið turt var, upp í sátur;sms. t.d.fjórðings-,hólga-
Sátan	illimaður, djevulin, fjandin, hin versti
sátanskur	djevulsligur
sátt	semja, sætt, semingur, sáttargerð,í sátt og semju;koma til sáttar og semjusemjast;sita (væl/illa) um sáttsemjast (væl/illa)
sáttarfundur	semingsfundur
sáttargerð	tað at gera semjuel.kom ásamt, sátt, semja, sáttmáli
sáttargjald	(bíbl.)gjaldel.bót (5) rindað til at fáa sátt (við e-n)
sáttarmaður	(stb.)frágerðarmaður (helst til styrki),hatta er eingin sáttarmaður
sáttarmál	(sj.)sáttmáli
sáttarnevnd	nevnd ið skal fáa í lag sátt(millum tveir el. fleiri partar),semingsnevnd
sáttarpláss	(stb.)frálíka gott pláss (til seyð, fuglo.s.fr.)
sáttarseyður	(stb.)góður seyður(sum roynist væl),hatta er eingin sáttarseyður
sáttligur	spakførur, spakur, hóvligur, sinniligur;hj-liga
sáttmálabók	(bíbl.)lógbók hjá gýðingum(2. Mós.24,7)
sáttmálabrot	brot móti samtyktum sáttmála
sáttmálabundin	bundin viðel.av sáttmála,sáttmálabundin løn
sáttmáladagur	(bíbl.)navn á jødiskum hátíðardegi(jom kippur),sáttmáladagurin mikli
sáttmálagerð	(bíbl.)tað at gera sáttmála,sáttmálagerðin við Sinai
sáttmálaloysi	tað at eingin sáttmáli (2) er
sáttmálaløn	(búsk.)løn sambært sáttmála millum arbeiðsgevara og yrkisfelag
sáttmálaløntur	við sáttmálaløn
sáttmálasettur	settur í starv sambært sáttmála
sáttmálaørk	(bíbl.)kista sum gýðingar goymdu steintalvurnar við teimum tíggju boðunum í
sáttmáli	1semja, sáttargerð2(løgfr.)(skrivlig) avtala ið tveirel.fleiri partar eru komnir á samt um[da.kontrakt];sms. t.d.friðar-,hjúna-,læru-
-sáttur	síó-,rúm-
sáttur1	(sj.)sátt
sáttur2	samhugaður, samlyntur, samdur,verða sáttur við (e-n);(kvæð.)vit eru ei um tað sáttir
sátubarn	(á bønum)(lítil) uppgjørd rúgva av hálvturrum hoyggj, kyllingur
sátubarnahoyggj	(stb.)kyllingahoyggj
sátubendil	hoybendil at leggja á sátu
sátubrot	brot (8) á sátu í gerð,gera út á (sátu)brotið
sátuførur	(um t.d. teig)nóg stórur til at hoyggj fæst av til eina sátu,einki stykki har í bønum var sátuført
sátugrót	(stb.)klíggjagrót (1)
sátuhoyggj	hoyggj ið er fullturt at verða gjørt til sátu
sátukollur	tað ovasta á sátu, kollur (3)
