M	rómv. taltekn fyri 1000
matarrør	(gl.)rør úr roykstovuel.køki upp ígjøgnum takiðel.upp á loftið(til matarroyk)
matarsalt	(grovt) salt;sbr.borðsalt
matarseyður	seyður tikin til matna í hoynael.fjallgongu, matarlamb;sbr.matseyðalamb
matarsild	matsild
matarskrá	(á matstovu)skrá um tann mat sum boðin verður, matkort, matseðil, matskrá
matarsteðgur	(stuttur) steðgur í arbeiði til at eta
matartrot	trot á mati, matneyð,hava matartrot
matartugga	tugga av mati, matarbiti,ikki var matartuggan eftir í húsinum
matarvatn	vatn nýtt til matgerðar, matvatn,taka matarvatn;sbr.matarløgur
matarvøkstur	(plfr.)planta til føðslu hjá fólkiel.kríatúrum
matarætt	(Pork.)matætt,útsynningur var besta ættin, tí tá kundi sigast av mølini og aftur á mølina, porkeningar kallaðu tí ættina fyri matarættin
matbiti	matarbiti
matborð	borð at eta við, borð við mati á, matarborð
matbráður	bráður eftir at fáa at eta, ótolin eftir mati,eg eri so matbráður
matbruður	brunnur við matarvatni;(orðt.)tað er ikki altíð, matbruður stendur opintað ræður um at nýta høvið meðan tað býðst
matbúgvin	(bíbl.)búgvin við mati,matbúgvið borðborð við nógvum (góðum) mati á, búgvið borð
matbygd	bygd har ið høgligt er at fáa (døgurða)mat av sjógv og landi, innløgubygd,H. er góð matbygd
matdagur	dagur tá ið nógv og gott er at eta(serst. um borð á skipi)
matdirvi	góður matarlystur(Sv);ikki hava matdirvi (sítt)ikki tora at eta meðan onnur síggja
matdrúgvur	(um mat)drúgvur,tey gomlu vildu heldur hava tey reyðu eplini, tí tey vóru matdrúgvari
mateitran	(lækn.)eitran av mati
matematikk	(støddfr.)støddfrøði
matepli	átepli, etingarepli;sbr.setepli
mateskja	(lítil) eskjael.dós til at hava mat í(at hava við til arbeiðisel.í skúla),matkassi
mateydna	eydna í at fáa mat til vegar,hann hevði so góða mateydnu(legði so nógv til húsið)
matfegin	nógv til matar, matligur, matfróur, matgóður, matin,hann er so matfegin
matfeingi	matvánir,matfeingið var lítið til
matfiskur	fiskur til matna (hjá fólki), átufiskur, gagnfiskur,føroyingar siga seg ikki at hava fingið matfisk fyri óveður;steinbítur er av bestu matfiskum;sbr.ídnaðarfiskur
matfriður	friður at eta, matnáðir,so at matfriður og hvíld kundu vera í húsinum um høgtíðina
matfróur	matfegin
matfuglur	fuglur til matna hjá menniskjum, gagnfuglur,lundi er góður matfuglur
matfýsni	sálarsjúka við ógvisligari trongd at eta og síðan at spýggja uppaftur(Bulimia nervosa)
matføða	føða, matskaffa
matgera	gera mat, kóka (2),matgera e-m
matgerð	tað at matgera, matgering
matgerðarbók	kókibók
matgerðarpottur	(sj.)matarpottur
matgering	(stb.)matgerð
matgirnd	(bíbl.)girndel.brell eftir mati
matgorr	ein sum altíð gorrar um mat(og sum dámar væl at eta),matvinur
matgoymsla	goymsla at hava mat í, búr (2), mathús, hjallur,hjallurin er matgoymslan
matgóður	1matfegin2kostgóður, føðsluríkur, dygdargóður
mathald	matarhald (2)
mathavri	(plfr.)slag av havra(Avena sativa)
mathol	(stb.)ein ið dámar væl mat, matfegið fólk,mathol hevur altíð verið(um átufrekan mann)
mathugur	matarlystur,ikki hava mathug
mathús	1(grót)hús at goyma mat í,avtoftað gróthús nýtt til mathús2matstova3(stb.)í osb. sumhar var ringt mathús(lítil innløga og eingin ogn)
mathvalur	(Suð.)matarhvalur
matigur	nógv til matar, matin, matfegin, átigur,at vera matigur er at vera nógv til matar, eta nógv
matin	(stb.)matigur
matídnaður	matvøruframleiðsla
matísur	ísur til at eta, rómaísur
matkassi	mateskja
matkendur	matarkendur
matkerald	(gl.)kerald at hava mat í,(orðt.)sýn (el.vís) mær mannin og ikki matkeraldið
matkorn	korn nýtt til matna,móts.frækorn,tað var frækorn og ikki matkorn
matkort	matarskrá, matseðil
matkovi	rúm at goyma mat í, spískamar, kovi,seta matin í matkovan
matkrav	tørvur á mati,matkrøv manna
matkynt	matarkent,einki mátti spillast burtur av tí, ið matkynt var
matla	sbr.mjatla
matlag	tað ið etið verður, matur, matfeingi,í Norðuroyggjum var matlagið meira fjølbroytt
matleivd	leivdel.avlop av mati
matleypur	(gl.)tættleypur við loki til at hava mat í á heiði
matleysur	sørur við mat,tað er matleyst í húsinum;far ikki matleysur av húsum(fastandi)
matligur	1nógv til matar, matfegin, matin,hann er so matligur2(um mat)sum smakkar væl, smakkgóður, átuligur,eg kendi matligan royk3matríkur,matligt pláss(har ið høgligt er at fáa mat t.d. av sjónum);hj-liga,her rýkur so matliga
matloysi	tað at vera matleysur, matneyð, mattrot,matloysi er í húsinum
matmaðkur	(dj.)ormvera hjá skinflugu, maðkur (1)
matmaður	ein sum etur nógv, átari
matmál	(sj.)mattíð
matmið	sbr.magamál
matmikil	sum nógvur matur er í, matríkur,kúfiskurin er matmikil og góður til agn
matmoli	matarmoli,ikki matmolin
matmóðir	(gl.)kona í húsinum, húsfrúgv, húskona
matna	í osb.til matnael.matnarætlaður at eta, til mat(ar);ein seyður, sum tikin var til matna hjá fjallmonnunum;hava nógv/lítið til matna;trongligt til matnar
matnáðir	friður at eta, matfriður,geva e-m matnáðir;fáa matnáðir
matneyð	trot á mati, mattrot,hava matneyð
matnýti	matur, vistir,skuldu vera burtur allan dagin og høvdu matnýti við
matolja	plantuolja til matgerðar
matpakki	viðskerabreyð pakkað inn í pappírel.tíl.(at hava við í skúla, til arbeiðiso.s.fr.),í skjáttuni lá ein matpakki við tveimum breyðflísum í
matposi	(Hvlb.)skjátta til at hava mat í (á kolinum)(úr segldúki, við trægalvum)
matrikkul	skrá um jørð og fastognir
matrikulera	(bún.)skráseta í matrikul
matrikulstova	stovnur (3) ið umsitur matrikul, útskiftingo.tíl.
matríkur	við nógvum mati, matmikil,matríkur kovi;tað matríka Atlantshavið
matroks	roksel.hóvasták av matiel.áti,arbeiðið mátti ikki tarnast fyri matroks
matroykur	matarroykur
matróshúgva	fløt rund strútaleys húgva við bandi um(sum matrósarel.børn nýta)
matrósklæði(r)	myrkabláur búni við stórum hvítríputum kraga(sum matrósarel.smádreingir nýta)
matrósur	(skip.)vanligur fulltikin sjómaður, maður (4), undirfólk (2)
matsalt	matarsalt
matsalur	matarhøll, borðstova
matseðil	matarskrá, matkort
matseyðalamb	(gl.)lamb sum fjallmaður fekk í staðin fyri nátturða(Sv)
matsiður	siður viðv. mati
matsild	sild nýtt til matna, matarsild,móts.ídnaðarsild
matskaffa	gevael.fáa (e-m) mat, føða (1), føðga,matskaffa e-m
matskáp	skáp at goyma mat í, spískamar
matskjátta	skjátta úr skinni, klæðio.tíl.at hava mat í,matskjáttan, sum menn høvdu á báti, var tilevnað úr ull, annaðhvørt vovin ella bundin
matskrá	matarskrá
matskrín	skrín at hava mat í, útróðrarskrín, sjóskrín, vaðskrín,hvør maður skundaði sær at taka sjóklæðir og matskrín
matsoppur	(plfr.)átusoppur
matspritur	tvær langar klænar spritur 1 av beiniel.viði at eta við(í Fjareystri)
matsták	sták í sambandi við matgerð,matsták sum nú á døgum fingust tey ikki við
matstikni	(lækn.)vantandi matarlystur (av sjúkligum ávum)(anorexia)
matstova	1(stór) matarhøll har ið fólk kann keypa sær mat, matsøla (2)2stova har ið etið verður, borðstova
matstrev	stríð fyri dagligum breyðiel.evnisognum,ikki tóktist honum dagligt matstrev nóg mikið, lesa mátti hann, skriva, mála;sbr.lívsstríð
matstundir	stundir at eta,ikki gevast góðar matstundir í slíkum ferðum
matsveinur	kokkur 1
matsøkin	íðin eftir at fáa sær (góðan) mat (niðurfyri),hann er so matsøkin
matsøla	1søla av mati og matvørum2staður har ið ein kann keypa sær mat (og eta hann), matstova
mattíð	tíð tá ið etið verður, mál 2(10), matmál,tá ið mattíð er
mattrot	matneyð
matulka	(stb.)átari
matuppskrift	leiðbeining til at gera mat eftir
matur	1(tilgjørd) føði at eta, føðsla;sbr.fóður;turrur matur,móts.kókingarmatur,vatndeyvur maturmatur ið einki salt er í;treystur (ótreystur) matur;vera nógv (lítið) til matareta nógv (lítið);(tilt.)tað etur ongan mattað hevur ongar útreiðslur við sær, er ómakaleyst;(tilt.)tað minkar sum matur á borðiskiel.borðitað gongur skjótt undan;(orðt.)maturin erel.liggur undir manningini,símanning;(tilt.)hetta er matur fyri Pæturhetta dámar honum;hann er deyðans matur(deyðanum nær, deyðkomin)2matarhald (2), kostur (2)3(um fræ)kjarni,matur í hvørjum aksi;sms. t.d.aftans-,bónda-,brúdleyps-,døgurða-,fasta-,fjøru-,gálga-,handils-,heljar-,innløgu-,koyrils-,kú-,mjólkar-,morgun-,posa-,snyk-,songar-,spóna-,tuggu-
maturt	etandi urt, grønmeti
matvandin	vandin í mati, kræsin
matvatn	(stb.)matarvatn
matvánir	vánirel.líkindi til at fáa mat, matfeingi
matvinur	ein ið dámar væl at eta, matfegin maður, átari,matvinur er
matvirði	føðsluvirði, holdagrøði,mjólk kann vera ójøvn í matvirði
matvín	borðvín
matvísur	fundvísur á mat(ið kemur inn tá ið etið verður),ikki eiti á, sum tú ert matvísur(kom inn tá ið blóðmørur var kókaður);(tilt.)muður (er) matvísur
matvøra	vøra nýtt til matna (hjá fólki), matur, føði,kjøt, fiskur, breyð og aðrar matvørur
matvørubúð	matvøruhandil
matvøruhandil	handil ið selur matvørur
matær	(stb.)ær tikin til matna í fjalltíð
matætt	(Sand.)góð ætt til útróður(tá var gott útróðrarveður og kyrt í sjónum),matarætt,landnyrðingur varð róptur fyri matættin
má	símega
máa1	1slíta(burtur av e-m sum frá líður),gnadda, marva, mata,brimið máar burtur av eiðinum(nøggar);áirnar hava máað sær eina foyru í jarðklettin2turka burtur, skava burtur, strúka (burtur)3oyða, týna, gera av við,(kvæð.)skjótt er einum av at máatað er skjótt uppi tá ið lítið er til
máa2	formáa,(tilt.)hann má lúta, ið minni már,sílúta
máan	(jarðfr.)tað att.d.vindur og vatn máa burtur av jørðini[da.erosion]
mágskapur	(bíbl.)svágarskapur,binda mágskap við e-n
mágur	versonur, dótturmaður, dótturbóndi
máhamur	1ein ið er ógvuliga rak, turkatræ (1), rakskrokkur,hann er sum ein máhamur2(um fólk)avmegingur (2), vesalingur, neyðardýr;sbr.skinnleingja
máhav	máhamur
mál1	1evni at tala,vera tungur fyri málinumel.(sj.)til málsfáa illa sagt tað ein ætlar at siga, vera tungmæltur,sbr.tunguband;lættur fyri málinum;fáa málið (aftur) fyri segfáa orðið upp;ikki fáa málið uppeinki fáa sagt2tungumál, tunga 1(2),føroyskt mál;fara av málinumikki longur duga móðurmál sítt (nóg væl);bundið/óbundið mál,síbinda/óbundin3bygdarmál, málføri,suðuroyarmál, norðoyamálmálførið í Suðuroy, Norðuroyggjum;á málinum vóru teir sumbingar(eftir tosingarlagnum)4rødd, reyst,reint mál;barn sum slevar nógv fær reint mál;missa máliðgerast hásmæltur, verða hásur (kyrktur) á málinum;skelva á málinum;fastur á málinumfastmæltur;tjúkkur á málinumtjúkkmæltur;tað er so langt síðan, eg havi hoyrt málið í tær(tosað við teg);eg helt meg hoyra málið á tær(hoyra teg tosa);tað er einki mál í tær;ilskur á málinumillmæltur;tá var mál í mannitá var hann málreystur(um e-n ið lítil dugur var í);missa bæði mál og megistanda sum kánus5rødd at kvøðael.syngja við, kvøðingarmál, songrødd,hon hevur gott mál;málið er sum í sandflundru(um e-n ið hevur ússaligt mál at syngja við)6(sam)tala, (sam)røða, tos, tal,bera e-t upp á mál (el.máli) við e-n um nakaðtosa við e-n um e-t;bjóðael.bera e-m upp á máltala á e-n, byrja samrøðu við e-n;hava á máliel.hava upp á málbera fram, siga, hava orð á lofti;tað verður ofta havt á máli(sagt);teim var ymist á máli um hetta(ósamdir);vera á einum máli um nakað(samdir, sammæltir);finnael.hitta e-n á máliel.til málsleita e-n upp fyri at koma til orða við hann;tú hevur so leingi, Brynhild, stundað á mítt mál(viljað talað við meg);hann er ikki at fáa til máls(ikki at fáa orð á);geva e-m málorða e-t, lata e-t í orð;koma til málskoma til orða, verða sagdur;taka til málstaka til orða;ikki mæla málvera tigandi, ikki fáa orðið upp;teimum longdist so heim, at teir mæltu ikki mál;stundum er hon tøgulig og mælir ikki mál;ikki fáa mál av e-mikki fáa orð av e-m7viðurskifti, søk, spurningur, málevni,trý mál vóru á dagsskránni;hava grein í sínum máli,sígrein 1(10);tað er (alt) annað mál(annar spurningur);hann frestaði málinum(bíðaði við málinum);gera eitt mál av(døma)8(løgfr.)søk, rættarmál 2;sms. t.d.bóka-,bygdar-,fíggjar-,forn-,heims-,kráku-,kunningar-,løgtings-,menta-,stríðs-,vanda-
mál2	1tað at mála 1el.máta, máting2máld stødd (á e-m), mát,taka mál av e-m;málini á kistuni vóru so tepur;(um fisk)longra mál18 tummar,16 rukku mál;fiskurin stóð ikki mál,sbr.málfiskur3rúmmál(t.d.pottur, litur),heimamál, krambúðarmál4gøgn(t.d.mátiband, mátistokkur, ílat)at mála vídd, rúmdel.mongd við, mát,fimtingsmál, fjórðingsmál, grindamál, rokamál, pottamál, skeppumál;við tí máli, tit mála, skal tykkum verða mált;trý mál av mjøli5mjólk undan kúgv hvørja ferð hon verður mjólkað,kúgv, sum mjólkaði eina kannu í málið, varð hildin at vera av teimum frægu;kúgvin mjólkar fimm pottar í málið;kálvurin skuldi ikki trívast, fekk hann ikki av fyrsta máli6tíð á degi tá ið kúgv verður mjólkað,morgunmál, miðmál, nónmál, kvøldmál;kúgvin varð sett til eins máls(at verða mjólkað bert eina ferð um dagin);fara eftir torvi millum mála(um neytakonur);Sunniva skuldi royta hundrað fuglar málanna millum7tíð,máls (á morgni)tíðliga;hann var máls á fótum8flt(kvæð.)borðhald,sita at málum;tá leyp av á brúðarbekki, ið alt var sett at málum9(stb.)máltíð (2), kók (2), verður 1,eitt mál av fiski;eitt mál av knettum;eitt mál av lomvigareggjum10mattíð,mál!døgurðaboð(rópt á børn ið spældu úti);millum mála(r)millum døgurða og nátturða(Sv),sbr.millummáli;sbr.døgurða-,morgun-11fara millum mála(r)fara úr arbeiði í ótíð(Sv)12(ítr.)1mark ið ræður um at koma fyrstur á(t.d. í kappróðri, -renning o.tíl.),koma á mál2(t.d. í fót- og hondbólti)grind (2) við neti aftan(sum mótparturin roynir at fáa bóltin í),bólturin fór í mál;skjótael.skora mál3stig (6) vunnið hvørja ferð bólturin fer inn um málstrikuna,fáa (gera, skjóta, skora) mál13merkiel.lutur ið skotið verður eftir,skjóta til máls14(sj.)skotmál,koma í mál15endamál, mið,mið og mál;sms. t.d.eyga-,flata-,korn-,litur-,um-
mála1	taka mál av, máta,mála korn;hon málir teimum mjólkina upp í spannirnar;hann máldi henni fepur;hann málir ikki lítið í eygað(hugsar seg ikki um áðrenn talað verður);bæði mált og skorið(neyvt mál);kommunan máldi stykki av til traðir(lutaði sundur);(gl.)mála burturúrel.mála sundurbýta brennivín og lata í fløskur(úr dunki el. kagga);mála uppmáta upp, marka sundur,teir mála nú stykkini upp báðir, seta mark
mála2	1smyrja við máling,mála eini hús;hann málaði vindeyguni blá;(kortsp.)málað blaðmálablað;(flutt m.)mála segsmyrja seg, sminka seg2gera mynd(við vatnlitum, oljulitum o.ø.),mála landslagsmyndir3lýsa, greiða frá
mála3	tosa, práta, róla
málablað	(kortsp.)kortablað við mynd á, málað blað,eg fekk ikki málablað
málaflutningsmaður	(gl.,løgfr.)sakførari, málførslumaður
málaførur	sum hevur fingið at kóka av fiski,ikki málaførir;vit eru líkliga málaførir
málagangur	(sj.)málageip
málageip	harðmælt tos, málan, røddan, málagangur, orðageip,hvølt málageip;hava nógv málageip fyri
málageipan	málageip
málagrein	kv6/2(kvæð.)kunna málagreinduga at orðføra seg;heilsa bæði vinum og frændum, kanst tú málagrein
málaháttur	(bókm.)fornt norrønt ørindislag, átta reglur við tveimum áherðingum ogvanl.fimm stavilsum í hvørjari(vanl. í eddukvæðum)
málamikil	harðmæltur, málreystur, reystmæltur, málmikil, hámæltur,hann var so málamikil
málamót	(málfr.)støða har ið málel.málføri koma í samband við hvørt annað(og ávirka hvørt annað)[en.language contact]
málan	nógv og lívligt tos, málageip, ról, mannageyl,málanin er sum í einum ritubergi;tað var ein málan
málaralist	málningalist
málarameistari	meistari (1) í málarayrki(við rættindum at hava sveinar og lærlingar)
málari1	1ein sum arbeiðir í málarayrki, húsamálari2listmálari
málari2	(tøkni)tól at mála e-t við(serst. ravmagn),mátari,lesa málaran av
málari3	millummáli,eta málara
málaskjaldur	(sj.)prát, tos, møsn,tær spilla tíðina burtur við málaskjaldur
málband	(lívfr.)annað av tveimum varraskapaðum bondum í barkakýlinum sum gera ljóð við titran(plicae vocales)
málbein	mussaskøði, múl(a)bein,málbeinið í hasum!(um e-n ið er fittur í munninum),sbr.leikindi
málbera	s54:málbera segsiga, orðbera seg, orðføra seg,hann málbar seg hvassliga
málbering	háttur at málbera seg, málburður, orðalag, orðafar,góð/ring málbering
málbinda	seta fastan í orðum, teppa,hann málbant teir,sbr.múl(a)binda
málbland	blandel.fløkja av ymiskum tungumálum,hitt bábelska málblandið
málblendingur	mál blandað við fremmandum orðum og málbygnaði, hálvbrotið mál,føroyskur-danskur málblendingur
málbólkur	bólkur (av fólki) sum gerðel.framleiðslael.tíl.ætlandi vendir sær til,málbólkurin vóru børn við serligum tørvi
málbroyting	tað at tungumál broytist
málbrúk	málnýtsla
málbundin	málleysur, máltikin, klumsin(t.d.av ovfarni, bilsni),teir sita málbundnir
málburður	málbering,góður/ringur málburður
málbúni	málsligur búni, málsnið,snøggur málbúni
málbúning	tað at mál mennistel.búnast,føroysk málbúning
málbygnaður	(málfr.)bygnaður í tungumáli(t.d.bending og orðalag),málbygnaðurin fell í órøkt
máldámur	(málfr.)framburðareyðkenni, málrómur, máltóni
máldráttur	ábreiðsla, brigsl, prik(Sv)
máldrúgvur	sum hilnast væl, sum stendur væl mál(betur enn væntað),máldrúgvur maður;máldrúgt ílát
málevni	mál 1(7), søk (2), málsevni,hann hevur ikki svikið málevni sítt
málfara	skifta orð um, orðskiftast um, røða um, kjakast,summarið verður málfarið
málfelag	felag ið fremur málslig áhugamál
málfimur	mælskur, tungufimur, orðfimur, lagorðaður,menninir eru ikki so málfimir longur
málfiskur	(fisk.)fiskur sum úr uggabeininum og aftur í klingruna málir 18 tummar, málsfiskur, málingur,hann hevði bógrúmið fult av góðum málfiski;sbr.gillumurtur,lurkur (2)
málformur	málsnið
málfrøði	(málfr.)frøðigrein um søgulig málvísindi(ið serliga fæst við tulking og viðgerð av eldri tekstum)(filologi),norrøn málfrøði,sms.samburðar-;sbr.málvísindi
málfrøðiligur	viðv. málfrøði, málvísindaligur,málfrøðiligar rannsóknir
málfrøðingur	ein ið er lærdur í málfrøði, málgranskari, málvísindamaður,Jákup Jakobsen doktari var nógv umvirdur málfrøðingur
málføri	1(málfr.)bygdarmál2málbering, málburður,í dagligum málføri
málførleiki	førleiki í máli (el.málum)
málførsla	málføri (2),eftir vanligari málførslu
málførslumaður	(løgfr.)málaflutningsmaður
málførur	(sj.)sum dugir væl at málbera seg, málmætur, orðkringur
málgagn	blaðel.rit ið ber ávís(t.d. politisk, átrúnaðarlig, samfelagslig)sjónarmið hjá e-m fram,blaðið er málgagn floksins
málgóður	(No.)(um seyð)góður og feitur
málgranskari	ein ið granskar mál, málfrøðingur
málhugaður	við áhuga fyri tungumáli
-máli	sí t.d.eystur-,fyri-,ljós-,millum-,morgun-,nátturða-,ó-,sátt-,sjóvar-,skot-,summar-,sævar-
máling	1flótandi litevni at mála 2(1) við,reyð máling2tað at mála 2(1),máling má bíða
málingar-	sms. t.d.-blikk,-handil,-pensil,-terri
málingshýsa	(sj.)hýsa ið er málfiskur
málingur	málfiskur
máliska	1orðasamband ið er flutt frá eginligari merking, orð(a)felli, (orða)tiltak,"tað stendur í botni" og "við sjógv á baki" eru máliskur2(málfr.)orðasamband ið er eyðkent fyri eitt mál[da.idiom]
málkast	(ítr.)(í hondbólti)kast úr málteiginum
málkensla	kensla fyri hvat ið er gott og/ella ringt mál, máloyra,hava sterka málkenslu
málkostnaður	(løgfr.)kostnaður í sambandi við sakarmál, (sakar)málskostnaður,hann varð dømdur bæði at gjalda bót og málkostnað
málkringur	málkønur, orðkringur
málkunnleiki	kunnleiki um tungumálel.í tungumáli,hava góðan málkunnleika
málkúgan	tað at eitt tungumál verður kúgað
málkyn	(málfr.)kyn (4)(genus),móts.lívkyn
málkynstur	tað at duga væl at málbera seg,hann menti føroyskt mál við málkynstri sínum
málkøni	tað at vera málkønur
málkønur	kønur í málum
málleysur1	1sum ikki fær orðið upp av ovfarni, bilsni, klumsin,málleysur av ræðslu2(lækn.)sum ikki fær talað, dumbur,deyv letur hann hoyra og málleys tala
málleysur2	(ítr.)uttan at nakað mál verður skorað í einum dysti,málleysur javnleikur
mállinja	(ítr.)linja millum málstengurnar(í bóltspæli),mál er, tá ið bólturin fer inn um mállinjuna
málljóð	(málfr.)ljóð í (tungu)máli
málloysi	tað at vera málleysur,málloysi var komið á hana
málloysingur	(lítið) barn sum dugir ikki at tala enn
mállæra	(málfr.)1læran um hvussu eitt mál er bygt upp(bending, setningsskipan, ljóðskipan)2lærubók í mállæru (1)
mállærdur	lærdur í máliel.málum
mállæruligur	viðv. mállæru
málmaður1	(ítr.)málverji
málmaður2	(málfr.)mállærdur maður, málfrøðingur
málmari	(kvæð.)brynjuklæddur hermaður
málmbland	(evnafr.)bland av tveimumel.fleiri metalum,bronsa er málmbland av kopari og tini[da.legering]
málmbressa	(dj.)slag av blómuflugu(Lejogaster metallina)
málmeistari	ein ið er alkønur í máli, avbærur stílmeistari
málmenning	tað at eitt mál 1(2) mennist, menning í máli,háskúlin hevur havt avgerandi týdning fyri føroyska málmenning
málmerki	(málfr.)málsligt eyðkenni
málmgrýti	(jarðfr.)grót sum metal vinst úr
málmikil	málamikil,glaðir og málmiklir sjómenn
málmissur	(lækn.)tað at missa málið(afasia)
málmkendur	sum málmur er í, sum líkist málmi
málmunur	(ítr.)munur í vunnum málum(millum tvey lið),stendur á jøvnum í stigum, er málmunurin avgerandi fyri raðfylgjuna
málmur	1(jarðfr.)evni í náttúruni ið metal vinst úr(t.d. jarn, gull, kopar)2(evnafr.)felagsheiti fyri metal og mineral3mura, (skap)lyndi, lyndisháttur,tað er ein málmur og mura, hasum er í;tað er ringur málmur í honum(ring mura, skarnsmálmur)
málmætur	sum dugir væl at málbera seg, málførur,hann var so málmætur maður
málmøguleiki	(ítr.)møguleiki at skjóta mál
málnevnd	(almenn) nevnd til at fylgja við málgongdini(og royna at beina hana ávísan veg),málnevndir eru í øllum Norðurlondum;Føroyska málnevndin varð stovnað í 1985
málningaframsýning	(almenn) framsýning av myndalist
málningalist	listin at mála 2,føroysk málningalist
málningur	málað mynd (eftir listmálara),á bróstinum hingu nógvir málningar,sms. t.d.kálk-,olju-
málnýtsla	tað at nýta mál, málbrúk, málføri (2), mál 1(2)
málnæmi	góðar gávur at læra (og skilja) mál,hava málnæmi
máloyra	(góður) ansur (1) fyri máli, málkensla,hava gott máloyra
málóður	(sj.)mismæltur
málpolitikkur	(ávís) málslig stevna,felagsins málpolitikkur var at royna at gera føroysk orð fyri tey fremmandu
málregla	(málfr.)regla 1(3)el.mynstur fyri bygnaðin í ávísum tungumáli(viðv.bending, setningsskipan, ljóðskipano.s.fr.),nøvn eiga at vera í samljóði við málreglurnar(eiga at kunna bendast, stavasto.s.fr.eins og onnur líknandi orð í málinum)
málreinsing	(málfr.)tað at (royna at) reinsa mál fyri fremmandaorð og fremmandar máliskur[da.purisme]
málrevur	(ítr.,slang)ein ið skjýtur nógv mál, málslúkur,beint fyri steðgin minkaði málrevurin um munin
málreysti	tað at vera málreystur,í málreysti kemur ritan fram um lomvigan
málreystur	harðmæltur, málamikil
málrómur	máldámur,við týskum málrómi
málrøkt	tað at røkta (og menna) mál(í skrift og talu)
málrørsla	rørsla (2) ið er við til at menna eitt tungumál,uttan hesar menn og kvinnur var eingin radikal tjóðskaparrørsla og málrørsla, einki Fróðskaparfelag og einki Fróðskaparsetur
máls	tíðliga, árla, snimma,máls á morgni
málsamfelag	(málfr.)samfelag har ið eitt ávíst tungumál verður talað,tað føroyska málsamfelagið er sera lítið og viðbrekið
málsevni	málevni
málsfiskur	málfiskur
málsgrein	1orðasamband ið ikki er heilur setningur2stakurel.javnskipaðir høvuðs-el.heilsetningar(frá punktumi til punktum)
málsjón	málsýni
málskeivt	(sj.)málsliga skeivt,hann yrkti málskeivt
málskjútti	málskorari
málskorari	(ítr.)ein ið skorar mál, málskjútti
málskostnaður	(løgfr.)málkostnaður
málskot	(ítr.)tað at skjóta mál 2(12)
málskur	(sj.,stb.)mælskur
málsligur	viðv. máli,málsligur studentur
málslingur	(skemt.)málsligur studenturel.studentaskúlanæmingur
málslúkur	(ítr.,slang)ein ið skjýtur nógv mál, málrevur
málsmaður	talsmaður,málsmaður fyri fólkið
málsnið	málsligur formur, stílur
málsnild	1máliska, orðalag,fáur dugdi so nógvar málsnildir sum hann;tað eru einar málsnildir, tit hava(t.d. við børn ið nýta óhóskandi el. ólíklig orð)2(góðar) talugávur, tungusnild
málspark	(ítr.)spark út frá málteiginum
málspilla	rangur málburður
málspurningur	spurningurel.viðurskifti viðv. máli,málspurningurin í Grønlandi
málsræði	(stjm.)tað at hava allan avgerðarrættin í einum máli,danska stjórnin hevur nú staðfest, at føroyskir myndugleikar hava málsræði á arvagranskingini
málsskjal	(løgfr.)skjal viðv. máli 1(7)
málsskot	(løgfr.)tað at skjóta mál inn fyri hægri rætt[da.appel]
málstarv	starv til frama fyri málið,vísindaligt føroyskt málstarv
málstong	(ítr.)loddrøtt stong á máli 2(12)(sum netið er fest í),skotið rakti málstongina;sbr.tvørstong
málstova	1Málstovanskrivstovan hjá Málráðnum2(skúl.)rúm har ið lurtað verður eftir ljóðbondum við undirvísingartilfari í fremmandamálum3(gl.)fundarstova
málstrev	royndir at fremja (móður)mál, málstríð,eljustríð hevur verið um føroyska málstrevið
málstrika	(ítr.)1linja millum málstengurnar sum bólturin skal innum fyri at fáa mál,málmaðurin bjargaði á málstrikuni2strika sum vísir at komið er á mál(ít.d.kapprenning, -róðri og -súkkling),teir vóru javnir um málstrikuna
málstríð	málstrev
málstøða	1støða viðv. máli, málslig støða2(stb.)staður har ið menn koma saman at práta tá ið einki gerst
málsviðgerð	tað at viðgera og avgreiða mál 1(7)(serst.á almennum stovnum)
málsviðgeri	ein ið fæst við málsviðgerð,hon arbeiðir sum málsviðgeri á Almannastovuni
málsvørn	(bíbl.)verja (fyri rættinum),í fyrstu málsvørn míni kom eingin mær til hjálpar
málsýni	áskoðan á mál, málsjón,málsýni íslendinga
málsøga	(málfr.)søgan um menningina hjá tungumáli
málsøguligur	(málfr.)viðv. málsøgu,málsøguligar keldur
málsøki	(stjm.)mál 1(7) ið landsstýrismaðurel.ráðharri situr fyri
málsøkin	(ítr.)íðin at royna at fáa mál,málsøkin álopsleikari
máltáttur	(útv.,sjv.)táttur 1(7) um mál 1(2)
málteigur1	teigur (4)(ít.d.dagblaði)sum viðger málsligar spurningar,málteigurin í Sosialinum
málteigur2	(ítr.)(í bóltspæli)økið framman fyri málið,sbr.brotsteigur
málteld	(málfr.)málvísindi við teldu sum hjálparamboði[en.computational linguistics]
máltikin	málbundin
máltíð	1(sj.)tíðin tá ið etið verður, mál 2(10),eydnismaður, í máltíð kemur(meðan etið verður)2verður 1, mál 2(9),sms. t.d.argja-,búr-,kvøld-,sorgar-
máltonn	framtonn, ljóðtonn, sangtonn,tað er ringt, tá ið ein missir máltenninar, tí so verður málið ikki so klárt
máltóni	máldámur,stirvin máltóni
máltráður	(skr.)telefon, (fjar)røðil
