n	(málfr.)hjáljóðsstavur (nevndur[ɛn:])
náttfirvaldur	(dj.)firvaldur (av fleiri sløgum) ið mest flýgur um náttina
náttfuglur	náttarfuglur,velhvíti er náttfuglur
náttgista	(stb.)liggja nátt,hon náttgisti
nátthúgva	húgva til at sova í
nátthús	lítið húsel.rúm til at hjálpa sær sjálvum í(fyrr við setri við holi í og spann undir)
nátthúspappír	vesipappír, skoynipappír
náttkappi	(gl.)kappi 2(3) á høvdinum at sova í
náttkjóli	kjóli til at sova í
náttkliptur	náttskorin,(fólktr.)náttkliptar negl og norðtvigið hár verður ófeigum manni at bana;sbr.náttskorin
náttklubbi	skemtistaður ið hevur opið langt út á náttina(við dansi, tónleiki o.ø.)
náttklæði(r)	klæði til at sova í
náttkrem	krem til andlitsrøkt um náttina
náttkvirrur	kvirrur um náttina
náttlagdur	ið ikki er liðugur við e-t arbeiði tá ið kvøldið kemur, ið kemur undir nátt við arbeiði,vit verða náttlagdir
náttlampa	lampa til at lata lýsa um náttina(el. til at lesa við í seingini)
náttleiga	náttarlega (3)
náttljós	ljós frá lampu(m), lampuljós,móts.dagslýsi,arbeiða í náttljósi;lesa við náttljós;eg síggi so illa at skriva reglubeint við náttljós
náttlýsi	(plfr.)planta í slektiniOenothera
náttmyrkur	náttarmyrkur
náttpottur	ílat (at hava í kamari) til at kasta sær av vatninum í(serst. um náttina)
náttravnur	náttarravnur
náttrómi	(mjólk.)rómi oman á náttstadnari mjólk, náttarrómi,ein tint av náttróma;nú komu grannar við stórum biðum við mjólk og dyllum við náttróma(FA407)
náttserkur	serkur (hjá konufólki) at sova í um náttina,(kvæð.)berføtt og í náttserki
náttsettur	ið situr út á náttina(hjá øðrum),nú mundi eg verið náttsett
náttsetur	stað har sum fuglur (t.d.stari og skarvur) situr og svevur um náttina, náttarsetur,stararnir hava náttsetur í skútum og skortum
náttskarvur	(stb.)svøvnskarvur (1),náttskarvur varð tikin um ólavsøkuna;sbr.náttarskarvur
náttskorin	(um negl)skorin um náttina,(fólktr.)náttskorin negl og norðtvigið hár verður ófeigum manni at bana;sbr.náttkliptur,høvdavatn
náttsól	mánin,tað verður ikki veiðisól hjá honum, ið nevnir mánan við røttum navni í staðin fyri náttsól
náttstaðin	1sum hevur staðið eina nátt,náttstaðin mjólk;knettini eru betri, tá ið tey eru náttstaðin2(um seyð)sum hevur staðið nátt áðrenn hann verður flettur,lambið var náttstaðið, annars hevði tað vigað meir3(sj.)(um fólk)sum hevur verið leingi uppi, úttúraður,tú sært mær út, sum tú ert náttstaðin
náttsvartur	svartur sum náttin, kolsvartur
nátttroyggja	troyggja at sova í um náttina(t.d. hjá børnum)
nátturðabein	tungubein á seyði, krákubein (2),hann, sum fekk tók við nátturðabeini, skuldi vera nátturðaleysur tað kvøldið(Os hyoideum)
nátturðabiti	(lítil) nátturði,fáa sær ein nátturðabita
nátturðaboð	boð um at koma at fáa sær nátturða
nátturðaborð	borð reitt við nátturða,tey sita uttan um nátturðaborðið;at koma til eitt sovorðið nátturðaborð!
nátturðaeldur	(gl.)eldur til at kóka nátturða útiá,nátturðaeldarnir vóru um at vera avroknir
nátturðaførur	ið hevur fingið nóg mikið av fiski til nátturða,ikki nátturðaførurikki kókingarførur;sbr.málaførur
nátturðaleysur	ið ongan nátturða hevur fingið,fara nátturðaleysur í song
nátturðalinur	linur (5) eftir at hava etið nátturða
nátturðaløgur	løgur til at kóka nátturða í, nátturðavatn,far mær út í ánna eftir nátturðaløgi
nátturðamatur	matur til nátturða,tá ið neytini høvdu kálvað, var ystingur ella dralvi nátturðamatur
nátturðamáli	nátturðatíð,út móti nátturðamála
nátturðapípa	pípa 1(2) roykt aftan á nátturða,hann hevði fest sær í nátturðapípuna
nátturðapottur	pottur (1) sum nátturði verður kókaður í, pottur (1) við nátturða,nátturðapotturin hekk útiyvir;hon stoytti løgin úr nátturðapottinum
nátturðasníkur	ein (serst.barn) ið mungar eftir nátturða úti hjá fólki,setið tykkum ikki nátturðasníkar(komið til hús fyri nátturðatíð)
nátturðasvangur	svangur eftir nátturða,teir vóru nátturðasvangir
nátturðatíð	tíð tá ið nátturði verður etin, nátturðamáli,eftir nátturðatíð
nátturðavatn	nátturðaløgur
nátturði	(høvuðs)máltíð etin um kvøldið,etael.fáa sær nátturða;á nátturðaum nátturðatíð
náttúra	1hin ítøkiligi umheimurin, umhvørvið við øllum livandi og lívleysum sum ikki er skapað av menniskjum(fjøll, dalar, skógir, áiro.tíl.),natúr (1), natúra,náttúran er vøkur har um vegir;úti í náttúruni;Føroya náttúra;nú frøist náttúran øll;landsins skap, náttúra og veðurlag2sjálvrunnin fyribrigdi í veruleikanum sæð sum sjálvvirkið kervi,náttúran hevur sína føstu gongd;tað er ímóti náttúruni at skilja barnið frá mammuni;náttúrulóg3upphavligirel.íbornir eginleikar, skaplyndi, natúr (3)
náttúruborin	sum ein hevur frá náttúrunnar hond, viðføddur,hennara náttúruborna medferð
náttúrubundin	stýrdurel.treytaður av náttúruni,náttúrubundin gongd
náttúrufriðing	tað at friða náttúruna(t.d. landaøki, fugla-el.djórasløg)so at hon ikki skemmist men verður varðveitt í sínum upprunaliga líki
náttúrufrøði	frøðigrein um náttúrufyribrigdi(alisfrøði, evnafrøði, djórafrøði, plantufrøði, steinafrøði o.s.fr.);sbr.náttúruvísindi
náttúrufrøðiligur	viðv. náttúrufrøði,náttúrufrøðiligar rannsóknir
náttúrufrøðingur	ein ið er lærdur í náttúrufrøði
náttúrufyribrigdi	e-t (forkunnugt) ið sæstel.hendir í náttúruni(bæði livandi og deytt)
náttúrugripasavn	1savn av náttúrugripum(t.d. plantum, urtum, steinum, útstappaðum fuglum, fiskum o.tíl.),Føroya Náttúrugripasavn2hús ið slíkt savn heldur til í
náttúrugripur	(virðismikil) luturel.lívvera úr náttúruni(í varðveitslu á savni)
náttúruheilivágur	heilivágur vunnin úr plantumo.ø.úr náttúruni
náttúruhúshald	húsarhaldel.búskaparlig skipan har ið ein sjálvurel.húskið í høvuðsheitum framleiðir tað ið neyðugt er til lívsins uppihald(býtir um vørur beinleiðis við onnur uttan at nýta pening),broytingin frá náttúruhúshaldi til peningahúshald
náttúrukensla	kensla fyri vakurleikanum í náttúruni(hjá t.d. yrkjara)
náttúrukreftir	máttmiklar kreftir í náttúruni, náttúrumáttur
náttúruligur	natúrligur
náttúrulóg	(alisfr.)lóg (2)el.almennur lærusetningur um reglubundin fyribrigdi í náttúruni
náttúrulýsing	lýsing av náttúruni
náttúrulækni	(lækn.)ein (helstikki yrkislærdur lækni) ið nýtirt.d.heilsukost, bað og ljós í viðgerð síni
náttúrulæra	(skúl.)læra um náttúruna, náttúrufrøði
náttúrumáttur	náttúrukreftir
náttúrumynd	náttúrulýsing(t.d. hjá yrkjara)
náttúruríkidømi	ríkidømi (2) ít.d.jørðini(t.d. olja, kol, málmur),tilfeingi
náttúruskipan	reglubundin skipan í náttúruni, náttúran sum skipan,tað er ímóti náttúruskipanini
náttúrusøga	(skúl.)náttúrufrøði(t.e. felagsheiti fyri dýralæru, plantulæru og jarðfrøði)
náttúruvakurleiki	vakurleiki í náttúruni,ansur fyri náttúruvakurleika
náttúruvanlukka	(stór) vanlukka elvd av náttúruávum(omanlopi, skalvalopi, ódn el.tíl.)
náttúruvernd	tað at verja og røkta náttúruna og náttúrutilfeingi fyri oyðilegging, dálkingo.tíl., umhvørvisvernd
náttúruvísindaligur	viðv. náttúruvísindum,náttúruvísindalig deild
náttúruvísindamaður	ein ið er lærdur í náttúruvísindum
náttúruvísindi	vísindagreinir um náttúru og náttúrulig fyribrigdi(t.d. alisfrøði, evnafrøði, jarðfrøði, plantufrøði og djórafrøði);sbr.náttúrufrøði
náttvakt	(sj.,sjóm.)morgunvakt
náttvørður	náttarvørður
nátungi	nátaungi
návist	(sj.)nánd, náminda 1,ikki í návistini
nebb	(sj.)nev;sms. t.d.stingu-
nebba	1lítil kalvi, spragga, spjaldur2(stb.)lítil drýlur
nebbafiskur	(dj.)slag av stórum barduhvali við horni (9)(Balaenoptera physalus),nebbafiskur hevur klænvaksnan og kimiligan kropp, heldur long bøksl og spískan tróna
nebbahvítur	(seyðal.,stb.)hvítur um nøs og munn,ein nebbahvít ær
nebbasild	(fisk.)lítil fiskur(líkur álli),lundasild(Ammodytes),lundin flýgur við nebbasild í nevinum
nebbaskoyti	1skoyti (2) á klænra enda (1) á tráðu, tráðuskoyti2nebbi (1)
nebbaskøta	(fisk.)slag av skøtu(brúngrá á bakinum og hvít undir búkinum, píkar á halanum, um eyguni og á nakkanum)(Raja fullonica)
nebbast	(sj.)smáklandrast
nebbatong	(lítil) tong við kjafti (6)(líkum nevi)
nebbi	1mjái endin á tráðu, múli (4)2endi á stangararmi3(niðr.)munnur,tað kom ikki orð av hansara nebbahann kleyv ikki í tvey, steintagdi;sms. t.d.nasa-,stingu-
neðangrísur	(stb.)niðagrísur,tú liggur har sum ein neðangrísur(við eitt sum liggur á gólvinum)
neðra	í osb.í neðraí niðarael.niðasta parti (á e-m), niðarlaga(í mun til e-t annað),niðriundir, niðanfyri, niðantil,tað er klárt í neðra, men mjørki á fjallatindunum;í neðra var tátt;búgva í neðra(í niðaruel.niðastu hædd);í neðraniðan belti;(sj.)hann er sjúkur upp í neðra(hevur kynssjúku)
neðrabreddi	breddi niðast(á blaðsíðu)
neðrafylgi	seyðafylgi sum gongur í neðra, bakkafylgi,móts.ervafylgi
neðralamb	lamb ið liggur lágt á haga
neðraseyður	seyður sum gongur í neðra,móts.ervaseyður
nefast	(Sa.)avlop av seyði og grind, tað leysa innan úr seyði, avnot
nefs	neps
nefsa	nepsa
negativur	1neiligur, neisøgin,negativt svar(noktandi)2(støddfr.)sum er minni enn null,negativ tøl3(alisfr.)við sama slagi av ravmagni sum elektron
neggilær	(stb.)flennibítur
neggj	gneggj
neggja1	genta ið situr og neggjar 2(2),hatta er ein neggja
neggja2	1gneggja (1),rossini neggja2læa snjalt, gneggja (2),hatta situr og neggjar3neggja omanavsláa illa(so at gras stendur eftir í støðum)
neggjan	tað at neggja, gneggj
negl1	tunn hornpláta ytst oman á fingrum og tóm, naglur,millum mongu undrini, sum hendu fyrstu tíðina eftir deyða Ólavs Heilaga, vóru, at hár og neglir hansara hildu á at vaksa;genturnar hugsa mest um at smyrja seg, mála neglinar og seta hárið;sum lús millum tvær negl,sílús;sms. t.d.and-,trølla-
negl2	sínaglur
negla	1sláa nagla í, festa við naglael.naglum, soyma,negla upp fyri vindeyguninegla (lúkur) upp fyri vindeyguni;(flutt m.)eg havi sitið negld her í einsemi til henda bonk;øll stóðu sum negld(t.d. av ræðslu, bilsni o.tíl.)2speireka, glósa, brigsla,negla e-n við e-m3vera (e-m) at meiniel.til ampa, valda (e-m) pínuel.trega,eg kann ikki eta hatta, tí tað neglir meg so illa(fái ilt fyri bringuni av matinum, toli ikki matin);maturin liggur og neglir;tað neglir so fyri bróstinumeg havi pínu fyri bróstinum;kragaknappurin neglir meg;tað neglir undir síðunieg havi eitt hald undir síðuni4(stb.)rógva hart ímóti vindi og streymi
negling	1tað at negla2pína 1(1), verkur, tregi,eg havi sovorðna negling fyri bringuni
nei1	1tað er ikki so(sagt tá ið ein noktar, ikki tekur av, setur seg ímóti e-m el.tíl.),móts.ja 1,korta neitvørt nei;á neiel.o nei;nei og aftur neikortanei;siga nei fyri e-mnokta;men nei, har var einki træ2(samtykkjandi svar til noktandi framseting)kemur tú ikki? nei, eg fái ikki3(til at sýna bilsni),nei, sum hatta var gott!;nei, sum kjólin er fínur
nei2	noktandi svar,móts.ja 2,hann mundi ikki fara at fáa meira enn nei;eitt reint nei svíkur ongan;hann fekk nei frá stjóranum
neig	síníga
neiggj	(gl.,sj.)nei
neikta	(gl.,stb.)nokta
neiligur	1sum vil vera í mótstøðu til onnur, sum er ímóti øllum, neisøgin, noktandi, ólagaligur, tvørur,móts.jaligur,ilt er at byrja nakað nýtt, tá ið øll eru so neilig;teir neiligu partarnir í manslyndinum2sum hevur óhepnar avleiðingar fyri e-nel.e-t,arbeiðsloysið hevur neiliga ávirkan á ungfólk;sbr.negativur
neilon	nailon
neip	(kvæð.)stólpi, súla 1(2),tær berið borg av neipum;neipir gingu sundur
neipa	(kvæð.)neip
neis	neisa,vinna e-m neisir
neisa1	tað at vera óreinur (2) móti e-m, tað at spottael.arga, herviligt skálkabragd, vanvirðing, neis,vinna e-m neisurgera e-m skálkabrøgd, spæla e-m eitt puss, arga
neisa2	nei sanniliga(tá ið ein gerst bilsin)(Sv)
neisagdur	neiligur, neisøgin
neista	1senda út neistar, geva neista(t.d. millum tveir pólar),neistra,tendriproppurin neistar ikki;hann bar tað neistandi jarnið á stiðjan2(flutt m.)glógva av øði, loga,eyguni neista
neistabressa	(dj.)slag av blómuflugu(Scaeva pyrastri)
neistafok	fok av neistum, neistarok, neistaregn,úr fjallinum kom ein steinur bóltandi, neistafokið stóð frá honum;fara sum eitt neistafok(sum hvirluvindur)(Sv)
neistaregn	neistafok
neistarok	neistafok,neistarokið stendur upp, og logarnir blaktra;sum eitt neistarok
neisti	1gløðandiel.brennandi bitil sum fýkur í luftini(úr eldi, við ravmagnsúrløðing o.tíl.),eldneisti, gneisti,(orðt.)lítil neisti kann birta stóran eldlítið er tað ið mun ger;styggur sum ein neisti(um seyð);sum ein neisti1kvikur, skjótur,hann var sum ein neisti avstað2bráðsintur,hatta er sum ein neisti so illsint2lítið vánaligt lamb, merlingur (2), nørtur;sms. t.d.gimburlambs-,lívs-
neistra	neista
neisøgin	(stb.)neiligur
neit1	sbr.agnaneit
neit2	síníta
neita1	illneita 1(Sv)
neita2	ilskast, grenja (2), knarra (2),neita inn á e-nkasta e-m ilt fyri(uttan at siga tað beinleiðis)
-neiti	síill-
-neitin	síill-
neitur	kv flt(sj.)í osb.hatta eru neitur(um sera gott torv)
-neitutur	síill-
nekari	fólk við svørtumel.dimmbrúnum húðarliti(helst í Afrika),blámaður, svertingur
nekk	(sj.)bráðkomin pína 1(1), flog (7),eg fekk eitt nekk fyri hjartað, tá ið eg frætti tað
nekkaeystfall	(stb.)tað seinasta av eystfallinum
nekkaskifti	(sj.)streymaskifti
nekkavestfall	(stb.)tað seinasta av vestfallinum
nekki	nekkur(Sv)
nekkur	1(stb.)tað at sjóvarfallið mennir seg aftur eina løtu eftir at tað er farið at linka, harðari rák eina løtu á fallandi sjóvarfalli,nekkurin á vestfallinum2(stb.)broddur (3)3tak 2(5),so er seinasti nekkurin, og tað er Borðtangi at koma um;síðsti nekkurin er eftir at rógva(síðsti tungi teinurin)4nos (2),ilt er at líta á veðurlagið í apríl, og summarmáli boðar ofta um harðasta nekkin;tað verður ein nekkur, tá ið vit koma út í havið;(flutt m.,skaldsk.)landfarsóttin gekk, og mangur ungur av henni nekkin fekk5samanbrestur, stríð, bardagi,tað verður eina ferð ein nekkur teirra millum
nekt	nakinleiki, nakni
nekta	gera naknan, gera beran, lata úr,nekta e-n úr øllum klæðunum;(kvæð.)nektar hann av honum brynjuna
neliksrót	(plfr.)slekt í rósuætt(Geum);sms.áar-
neliksætt	(plfr.)ætt av hulfræingum ið eru tvínælingar(Caryophyllaceae)
nelikur	1(plfr.)planta í slektiniDianthus2turkaður blómuknubbi av suðurlendskum træ(nýtt sum krydd),nelikar
nell	ein ið er sera lítil á vøkstri, lítið og visaligt fólk, vongur (6), nilk,eitt sovorðið nell;eitt pinkalítið nell
nema	1bera hondina við, taka í við hondini, nerta,barnið nemur so illa;hann ætlaði at nema ein seyð(taka, grípa);steinurin mátti ikki nemast(var íbygdur);nema við (e-t)1nerta,nem ikki við!;(flutt m.)hann er gamal, nemur við 90(tætt við, næstan)2viðgerael.umrøða (leysliga),tað, ið her verður nomið við frá teirri fyrstu tíðini;hann nam leysliga við evnið3hava ávirkan (á),hesi orðini numu við meg;óró hevði nomið við hana2leggja hendur á,skal eg nema teg?;(stb.)teir høvdu hug at nemast(berjast, takast)3nápa,hann skal altíð nema4leggja inn undir seg, taka til ognar,nema land;sbr.landnám5ogna sær (í minninum), læra,nema sær kunnleika;(orðt.)(tað, ið) ungur nemur, (hann) gamal fremur6varnast,hann kom inn í kamarið og nam ljóðið av mongum málum7í osb.tú nemur ikki at broyta eitt viðursvet(vágar tær ikki);sms. t.d.hug-
neman	(gl.)uttan 1(6),hann girnaðist ongan neman Gud
nemiligur	(sj.)eiggiligur,hon er nemilig
neming	1hóming (1), varhugi,fyri at næmingarnir skulu fáa eina neming av tí;hann mundi hava eina neming av tí2tað at bera viðel.koma ímóti,grindin fekk neming av boðanum3feril,hann mundi hava eina neming av skrubbi
nemus	(skemt.)barn ið nemur illa við, handdragið barn, (eitt) pilk
nenna1	s9í osb.nenna sær1fáa seg til,eg nenti mær ikki at vekja tann lítla2unna sær,hann nennir sær ikki at keypa tað;hann nennir sær einki(er pírin)
nenna2	(stb.)seta bundið kenniorð aftur at navni, lata navn vera bundið(t.d. Ólin),hann nennar
neon	(evnafr.)gasslagt.d.nýtt í summum ravmagnsljósum (ljósrørum)(teknNe)
neonrør	(evnafr.)ljósrør við neoni(ofta nýtt í ljóslýsingum)
neppa	(tlm.)neyvan
nepping	kv6(sj.)í osb. sumnú stendur um neppinginanú ræður um, nú stendur á(tá ið seinasta og tyngsta takið skal takast),tað stóð um neppingina(teir rullaðu stóran stein ið næstan vigaði á)
-neppingur	sílív-
neps	(harðlig) ábreiðsla, átala,hann fekk nepsið;fútin hevði væntað at fingið hjálp frá konginum, men í staðin fekk hann neps
nepsa	átala, harta, revsa, nevsa
nepsing	(sj.)átala 1, skortfleingja
Neptun	(stjfr.)næstytsta gongustjørna í sólkervinum
nerta	1nema (leysliga) við,nerta e-t;nerta við e-t;kaggin skal ikki verða nertur, fyrr enn fiskur er komin í bátin2hava samband (við e-t annað), koma saman,hasir báðir leidningarnir mugu ikki nerta samanel.nerta hvør við annan3umrøða, nema (2),nortið verður eitt sindur við skúlaviðurskiftini;her skal bert nertast við tann týdning, hann hevði fyri felagið;tað nerturel.nertir ikki afturat(tað er so langt frá, tað er als ikki rætt)
nertil	1(støddfr.)bein linja ið ber við boga, tangentur (2), viðberi (1)2(tónl.)tangentur (1)
nerting	tað at nerta (við), neming (2)
nerv	(lívfr.)tráður (el.bundi av træðrum) ið flytur boð millum heila (mønu) og kroppin annars(nervus),hava nervarvera fjáltraður, kenna fjáltur(t.d. fyri próvtøku);hann er fullur í nervum(fjáltraður);eg havi ikki nervar til at síggja hatta(toli tað illa fyri nervunum);hava góðar nervartora væl, vera djarvur;hava ringar nervar1vera nervaveikur2vera bangin (av sær), ikki vera djarvur
nerva1	(sj.)nerv
nerva2	1vera (e-m) at meini, hava óhepnael.ringa ávirkan á, plága 2, meinka, ampilára,tað nervar meg ikki;harðveður nervaði ikki seyðin;mannahjartað var nervað av sorg;henda veiða nervar ikki stovnin2(sj.)nerva atnæstan nerta við
nervabrek	(lækn.,sálfr.)nervasjúka (2)
nervagass	slag av eiturgassi ið kann lemja (1) miðnervalagið og andingargøgnini(serst. nýtt í kríggi)
nervaheilivágur	(lækn.)heilivágur (2) fyri ringar nervar
nervakríggj	(áhaldandi) royndir við hóttanumo.tíl.at bróta niður ta andligu javnvágina hjá mótstøðumanni, fíggindao.tíl.
nervakykna	(lívfr.)kykna í nerv(neuron),úr hvørjari nervakyknu ganga nógvar trevsur ella træðrir
nervalag	(lívfr.)kervi av nervum í kroppinum sum setur kroppin í samband við umhvørvið og sum skipar samarbeiðið við hini yrkisgøgnini;sms. t.d.mið-
nervalækni	(lækn.)lækni serkønur í nervasjúkum
nervasjúka	(lækn.)1sjúka í nervalagnum2(sálfr.)nervabrek, sálarsjúka
nervasjúkur	(lækn.)1sjúkur í nervalagnum2(sálfr.)nervaveikur, sálarsjúkur
nervastillur	(stb.)við góðum nervum, ófjáltraður, róligur
nervatablett	(lækn.)tablett fyri ringar nervar
nervaveikur	(lækn.,sálfr.)nervasjúkur (2)
Nes	1bygd í Eysturoynni,á/av Nesi,(inn/út) á Nes2bygd í Suðuroy,á/av Nesi,(út) á Nes3býlingur í Hvalba,í/úr Nesi,(út) í Nes
nes	heldur mjátt og langt landøki sum stingur út í sjógvel.vatn,millum nesja;sms. t.d.and-,út-
nesmaður	1maður áel.av Nesi í Eysturoy2maður áel.av Nesi í Suðuroy3(stb.)maður áel.av Trøllanesi
-nest	sítinga-
nesta	seyma skjótt og leysliga, seyma við leysum stingum,nesta ein knapp upp í vestin;eg skal nesta tær kotið saman
net	1kervi av samanknýttum træðrumel.bondum ið liggja á kross og mynda meskar(t.d. til at veiða við, á fleygastong, hava e-t í el. til at halda e-m saman);(ítr.)bólturin fór í netiðtað varð mál 2(12)2kervi av e-m ið er samanbundið í størri heild,telefonnet;teldunet;veganet3posi av neti til at bera hoyggj í,vit hava borið átta net í dag4taska til at bera í(t.d.vøru úr handli);sms. t.d.eyrriða-,fjar-,for-,hár-,lokka-,nær-,ullar-,undir-,yvir-
neta	(sj.)netja 2
netamaður	(sjóm.)maður ið røkir net(umborð á trolara)
netanál	nál (1) til at riða net við
netarulla	(skip.)rulla 1 sum trolið verður vundið uppá
netbanki	heimagreiðsla,hann slapp inn á telduna hjá einum øðrum og fekk har hendur á loyniorði til netbankan hjá viðkomandi í bankanum
netfesta	(stb.)netja 2,netfesta fugl
nethinna	(lívfr.)innasta hinnan í eyganum har sum sjónmyndin gerst(retina)
netja1	hinna av tálg í búkinum á fólki og dýri(omentum majus);sms. t.d.kálva-,kepp-,neyta-,tjó-,veðra-
netja2	(bjarg.)fáa fugl at festast í netinum á fleygastong við at snara stongini(so at hann ikki sleppur úr aftur),netfesta, neta,vit netja fuglin fastan;netja segel.netjastkoma (væl) fastur í netið(og ikki sleppa leysur aftur);fuglurin netjar seg vælel.netjast væl í hatta netið;lundin netjast ikki í hasum netinum(sleppur skjótt úr aftur netinum);sílið netjar seg væl
netjuskýggj	skýggj líkt netju(á seyði)
netsamband	(teld.)samband umvegis teldunet,hava netsamband;teldur við netsambandi
netsíða	heimasíða,samband er aftur millum partarnar, skrivar íslendska netsíðan Interseafood.com
netstað	stað á alnetinum ið inniheldur einael.fleiri vevsíður
nett	1júst, akkurát, effinett,nett sum hini;nett herbeint her;skógvurin passar so nett til fótin;tað var nett so sum eg segði2námt,fiskurin stóð nett á Grynnuni;longumið má leggjast so nett
netta	s30í osb. sumnetta sær ásikta væl(til at raka e-to.tíl.),netta tær væl á;hann nettaði sær væl á og læt steinin súsa avstað móti dreinginum
nettleiki	tað at vera nettur
nettligur	heldur nettur (1),nettligt arbeiði, t.d. træskurður;hj-liga
netto1	1stødd eftir frádrátt(t.d. fyri pakkitilfar, útreiðslur o.s.fr.)2(búsk.)upphædd sum útreiðslur eru drignar frá,brutto minus tara gevur netto
netto2	eftir frádrátt (fyri pakkitilfar, útreiðslur o.tíl.),móts.brutto 2,pakkin vigaði 2 kg netto
nettoløn	(búsk.)tøk løn(eftir at skatturo.a.er drigið frá)
nettoogn	ogn eftir at útreiðslur eru drignar frá
nettupp	1júst, akkurát(tá ið ein vil leggja dent á e-t serst. í mun til aðrar møguleikar),tað er nettupp tað(sagt tá ið ein er samdur við e-n);tað var nettupp tað, tú ikki skuldi gera2í teirri løtu(e-t hendir),beint,nettupp nú
nettur	1lítil, snøggur, fínligur, fittligur(um útsjónd, kropp, hendur, føtur o.tíl.),hon hevur so nettar hendur2sum hevurel.ætlar ov lítið til, vandin, akkurátur,loyvt var monnum, ið nettir vóru við hoyggj, at sláa hagagras;teir gomlu vóru nettir við seyðatali í haganum3námur (1), neyvur,nett miðnámmið4beinur,nett vektvekt ið vigar beint5ið rakar væl, beinrakin,hann var so nettur at steina6pírin, natin, kargur, neyvur (2),hann er so nettur í at lata aftur;Netta(hundanavn, tík)
netumsitari	(teld.)ein ið umsiturel.røkirserst.teldunet
netumsiting	(teld.)tað at umsitael.røkjaserst.teldunet
netvarp	útvarp ið kann hoyrast á alnetinum
netverk	samband millum fólk og stovnar í samstarvi(serst. millum lond)
nev	1munnurel.gap á fuglio.tíl.(spískt hornklætt ið stendur framúr),bresta fyri nevel.nevi,síbresta 1;bróta fyri nevel.nevi(um unga)bróta eggjaskalið við nevinum;nú er brotið fyri nevel.nevi;sum lundi sligin á nevið,sílundi;vera í nevi(um unga í eggi)(fingið nev);nevið reyðatjaldur;høga neviðlundi í vetrarbúna;(skemt.)fáa sær upp í neviðfáa sær upp í glasið, fáa sær ein lítlan;(tilt.)vilja hava nev fyri (sítt) nevvilja fáa gott býti;sbr.spógvabýti2(gl.)nøs(á fólki),gev mær upp í nevið(snús upp í nøsina)3(bát.)nøs (3)(á tolli),oman fyri gripið ella skakkið er nøsin ella nevið4(plfr.)mjáur útvøkstur á summum fræ5(flogm.)trónur á flogfari, nøs (4)6oddur á húki7(stn.)lítið nesel.tangi,Streymnev8(tilt.)vera millum nevs og nebbavera í ringari støðu, vera illa staddurel.gyrdur í brøkur;sms. t.d.kellingar-,kráku-,kross-,skarvs-,spós-,undir-,yvir-
neva	1sláa við nevanum,hann nevaði í borðið;hann nevaði meg í síðuna2hótta við knýttum neva,neva eftir e-m;hann nevaði ímóti hesum løgna skepilsinum;hann nevaði aftan á honum3nevastberjast við nevum, butast
nevaduk	tað at duka við nevanum, nevaslag
nevagrót	lítil steinur(sum nevi til støddar),hetta eru smáir steinar, nevagrót og niðureftir
nevaleikari	ein ið íðkar nevaleik, boksari
nevaleikur	(ítr.)dystur millum tveir leikarar við nevasløgum eftir serstøkum reglum(fer fram á ferhyrntum plássi ið er avmarkað við bondum),boksing
nevapústur	(kvæð.)slag við nevanum, nevasláttur,nevapúst og hárruskingar hvør mót øðrum sendi
nevaslag	slag við nevanum, knubb
nevasláttur	nevaslag
nevastikk	hí osb.ganga nevastikkroysnið at seta nevan í gólvið (í einum króki), mala sær runt undir arminum og koma á føtur uttan at detta, ganga undir nevan
nevastingur	k15í osb.draga nevastingseyma við tráðnum inni í nevanum(so at tráðurin glíður út gjøgnum nevan)
nevastórur	við stórum nevum
nevatak	(sj.)lógvatak
nevbinda	(stb.)(um gás)binda band gjøgnum nasagluggarnar og niður um undirnevið(serst. á gás ið gongur heim),nevbinda gás;sbr.knokkroyta (3)
nevdregil	(fisk.)lítil klænvaksin fiskur, sjónál(Nerophis ophidion)
nevdýr	(dj.)avstralskt frumkent súgdýr við breiðum fløtum nevi(ið líkist dunnunevi)(Ornithorhynchus)
nevhávur	(fisk.)slag av hávi(Deania calecus)
nevhjól	(flogm.)nasahjól
nevhvalur	(dj.)lítið hvalaslag við spískum bolla og longum, klønum tranti(Mesoplodon bidens),teir ungu nevhvalirnir eru blágráir omaná og bleikir í neðra
nevi	1krept hond,geva e-m nevansláa e-n við knýttum neva;fáa nevan;hann legði nevan til hansara(sló hann);taka upp í nevarnar av e-m(upp í lógvarnar);stinga e-m e-t í nevangeva e-m e-t loyniliga;síggja seg í nevanvera sera varin, himprast,vit síggja okkum í nevan fyri at leiga bil(tað er so dýrt);hann sær seg ikki í nevan fyri at geva(er gávumildur);ganga undir neviel.nevanganga nevastikk2tað ið rúmast í einum neva, geykn (3),ein nevi av salti;sms. t.d.kallmans-,loppu-
nevjaður	l6(sj.)í osb. sumilla nevjaðurilla fyrikomin, niðurundirkomin
nevjutur	(seyðal.)(um hvítan seyð)við dimmum liti á múlanum
