R	rómv. taltekn fyri 80
reinfann	(plfr.)slekt í kurvablómuætt(Tanacetum),vanlig reinfann(T. vulgare)
reinføri	tað at vera reinligur(til at varðveita góða heilsu og at verja fyri smittuel.sjúku),reinsemi, reinleiki,persónligt reinførisjálvrøkt;(flutt m.)hann sýndi í øllum lutum siðalagsligt reinføri(hógv og siðiligan atburð)
reinførisbind	(hjá konufólki)bind (4) nýtt við mánasjúku
reinførur	reinligur
reingerð	tað at gera reint, tað at vaska (t.d. upp og niður), vasking, reingering,upphæddin til reingerð er skerd
reingerðarevni	tváttevni at nýta í reingerð
reingerðarkona	kona ið arbeiðir við reingerð, vaskikona
reingering	tað at gera reint, reingerð
reingi	kynslimur á hvali(serst.hannhvali)og spik og tvøst uttanum, snoppa (3),gakk ikki ov nær reinginum, tí hatta er ikki fólkamatur(sagt tá ið skorið varð upp);hetta er so seigt sum reingi(um mat ið illa er tyggjandi)
-reingiligur	síó-
reinging	tað at reingja (2), avlagan, avskepling
reingja	1mæla ímóti (e-m), nokta fyri at e-t er rætt,reingja e-n1nokta fyri at e-t er rætt ið annar sigur,tú skalt ikki reingja meg2teppa e-n,hann rongdi hann2siga ósatt, avlaga, brongla (2), villa 2,reingja veruleikan;reingja sannleikan;tað reingist ikkitað vikast ikki, tað svitast ikki
reingresi	reinur grasvøkstur í bøel.dyrkaðum lendi(við ongum øðrum vøkstri uppií),móts.illgresi
reingresin	(um bø)reingresjaður,hetta stykkið er so reingresið
reingresjaður	(um bø)við reinum grasi(og ongum arva 1 uppií),reingresin,móts.illgresjaður,reingresjað stykki
reingrøsutur	(um bø)við reinum grasvøkstri, reingresjaður, reingresin,kornveltur bøur er reingrøsutari enn hin eplavelti
reinhald	tað at halda reinan(t.d. hús, gøturo.tíl.),reingerð
reinhalda	halda reinan(vaska, sópael.tíl.),barnið er illa reinhildið
reinhentur	við reinum hondum
reinhind	(dj.)reindýr av kvennkyni
reinholdaður	við reinum holdi (1), fríðholdaður
reinhugaður	við reinum huga, góðviljaður, vælmeintur
reinhvítur	(skaldsk.)fannhvítur, snjóhvítur,reinhvítur kavi
reinleiki	tað at vera reinur, sakloysi
reinligur	1ið heldur seg reinan, reinførur, nossligur2við óspiltum siðalag, heiðurligur;hj-liga
reinlitaður	reinlittur
reinlittur	við reinum óblandaðum litum,reinlitt tvíbundin skipstroyggja;reinlittir svartir seyðir eru ringari at kenna at enn reinlittir hvítir
reinlyndi	tað at vera reinlyndur, falsloysi,hann kom tvørt fyri vegna óbendiliga reinlyndi sítt
reinlyndur	falsleysur, ærligur, heiðurligur, hjartareinur
reinlyntur	reinlyndur
reinmeintur	sum vil væl, vælmeintur, góðviljaður, sannur, reinlyndur,reinmeint lyndi
reinmosi	(plfr.)hvít, greinut skón (4), hvítur, greinutur vøkstur(Cladonia rangiferina),reindýrið føðir seg av reinmosa
reinmæltur	við reinari og týðiligari rødd, klármæltur,hann er frálíkur sangari, reinmæltur og mjúkmæltur;ljóðið av reinmæltum barnarøddum
reinprent	1tað at reinprenta2reinprentaður tekstur
reinprenta	prenta (lýtaleyst) eftir at síðsti rættlestur er lisin
reinsa	1taka burtur e-t(t.d. skitt, rusk, órudd)við at vaska, pussael.tíl., gera reinan, reinska 2,fyri brúdleypi varð øll bygdin reinsað, sum siður var til slíkar hátíðir;reinsa vatn;reinsa sár;reinsa klæði;reinsa hvørja gørnspýggja illa2(flutt m.)sleppa (e-m) undan e-m(t.d. illgruna, vanæru, ljótum hugsanum, synd), gera reinan,reinsa seg við illgitingprógva seg ósekan;sms. t.d.deyð-,sótt-
reinsan	tað at reinsa, reinskan
reinsanareldur	1(átr.)(sbrt. katólskari trúgv)reinsan eftir deyða ið frelsir sálina frá synd og skuld, reinsingareldur2hørð roynsla, eldroynd
reinsarí	virki ið reinsar klæðio.tíl.
reinsemi	tað at vera reinligur, reinføri, reinleiki,reinsemi skygdi ikki av honum;reinsemi er gott, segði kellingin, hon vendi serkinum á nýggjári
reinsibrunnur	brunnur til at reinsa skarnvatn frá frárensli
reinsing	reinsan;sms. t.d.mál-
reinsingareldur	(átr.)reinsanareldur
reinsiverk	verk ið reinsar e-t(t.d. vatn, oljuo.tíl.);sms. t.d.olju-
reinska1	reinføri, reinsemi;sms. t.d.ó-
reinska2	1gera reinan, reinsa,hann reinskaði hvørja gørn(spýði illa)2beina burtur, rudda,drongurin er gingin eftir eini lomvigarók til at reinska øll nátaeggini útav3í osb.reinska e-n fyri e-ttaka e-t frá e-m
reinskan	reinsan,roynslan er júst tann reinskan, sum okkum tørvar
reinskera	skera beino.tíl.úr fiskaflaki
reinskerari	ein ið reinsker fiskaflak
reinskering	tað at reinskera
reinskolaður	skolaður reinur, reinvaskaður,reinskolað fjøra
reinskrift	1tað at reinskriva2e-t ið reinskrivað er
reinskriva	skriva (endaliga) reint(t.d. eftir kladdu við rættingum, broytingumo.tíl.)
reinskriving	tað at reinskriva
reinskúraður	skúraður reinur,gáttin er reinskúrað
reintarvur	(dj.)reindýr av kallkyni
reintonktur	sum hugsar væl um onnur, góðviljaður, vælmeintur
reintvigin	tvigin reinur, reinvaskaður
reinur	1klárur, skærur, skírur, ódálkaður,rein luft;hon mátti ansa eftir, at húsið var bæði reint og ruddað;(orðt.)lítið batar at breiða reint lak á skitna song,sísong2klárur, gjøgnumskygdur,eitt reint nei svíkur ongan(greitt)3klárur, týðiligur, uttan skurr,reint mál4(tónl.)uttan misljóð,reinur tóni5óblandaður, ektaður,(kvæð.)brynjan var gjørd av reinum stáli;av reyðargulli reina;drekka tann mjøðin reina;reint slag6óspiltur, lýtaleysur7sakleysur, meinaleysur, siðiligur,hann er reinur fyri tí(ósekur tí viðvíkjandi)8(um sjógv)við ongum flúrum, boðumo.tíl.,Leirvíksfjørður er reinur, har eru eingir boðar;í millum steinin og hólmin er reint og djúpt, og tí rógva summir har9avgjørdur, ivaleysur,reinur meiriluti;reinur og beiskur veruleiki(berur og blektaður)10(flutt m.,ítr.)halda málið reinteinki mál lata fara inn11gera reint1vaska, ruddao.tíl.2tína korn(í sornhúsi)3(á skipi)beina fyri(kryvja, vaskao.tíl.)og fáa til høldar veiðu,snørini vóru inndrigin, og menn skuldu fara at gera reint;hjreintheilt, fullkomiliga, púra(sta),teir høvdu mist hann reint burtur;kúgvin var vorðin reint trølsk;sms. t.d.blá-,gull-,himmal-,hjarta-,hug-,ó-,siða-,stíl-
reinvaskaður	vaskaður reinur
reion	slag av tólíki
reip	band, tog(áður serst. av rossafaksi),at spinna halafaks og leggja til reip;gera upp reip;slíta reipiðsigra, verða við yvirlutan,tveir dreingir vilja hava somu gentu, tann, ið fekk hana, sleit reipið;ikki vórðu tað vit bæði, Símun var hann, ið reipið sleit;sms. t.d.bakka-,faksa-,hala-,hampa-,hoybera-
reipa	1gera upp reip(Sv)2í osb.sum hatta reipar uttan um seg(floyggir henda og handa vegin, ger um seg);tað eru einar reipingar av hasum(ger um seg, heldur seg vera)
reipatari	(plfr.)slag av brúntara(Himanthalia lorea)
reipatveitan	(stb.)rok (4), deilan,har var ein øgilig reipatveitan
reiping	síreipa
reipsband	bandel.klænt reip(av rossafaksi)
reipsendi	endi á reipi,hon bant ein stein upp í reipsendan
reipslongd	longd á reipi(t.e. o.u. 8 favnar),tað er reipslongd millum húsini
reipsnælda	handsnælda til at spinna á til reip
reipstól	snøristól, snørisgøgn
reipstveitan	(stb.)reipatveitan
reis1	1(um tíð)ferð, sinni,eina reiseina ferð;(kvæð.)tríggjar reisir;níggju reisir;(nú oftast)tvær reisirtvær ferðir2(í vissum osb.)føðing, barnsburður,hon hevur so ringar reisirnar(ringar barnferðir, truplar barnburðir, ilt við at eiga);hitta reismissa ófullborið fostur, fara illa, fáa mistak, fara skeiv3(stb.)(serst. um kúgv, men eis. um fólk)liggja á reisumikki fáa reist seg uttan hjálp;kúgvin liggur á reisum(er ov ússalig at reisa seg sjálv)4í osb.liggja á reishava í hyggju, ætla(at gera e-t ið enn er ógjørt),eg havi ligið á reis at ringja um hatta
reis2	sírísa
reisa1	1reis 1(1),tvær reisurtvær reisir2(tlm.)ferð (1),ynskja e-m góða reisu;sms. t.d.um-
reisa2	tríggjar skránaðar torvur (1) uppsettar til turkingar, torvreisa,tey høvdu tríggjar torvur til hvørja reisu, eina undirtorvu og tvær yvirtorvur;sms. t.d.torv-,tví-
reisa3	1fáa at rísa, fáa upp at standael.á føtur, hevja (upp), lyfta (upp),reisa upp;reisa torvseta torv upp til turkingar;sbr.reisa 2;reisa sjógvfáa sjógv at rísna(t.d. av vindi),streymurin gekk nú í ættina og reisti sjógv;reisa seg (upp)fara á føtur;strongurin er um at reisa seg(bróta);reisa hárygginøsa seg, ýva seg;reisa høvurmótmæla,kirkjan reisti høvur móti kongi fyri tað ræði, ið hann vildi taka sær yvir henni;fjøllini reisa seg ímóti himli høgt;reisastfara á føtur;teir reistust ímóti teimum útlendsku valdsharrunum(gjørdu uppreistur)2gera 1 (t.d.smíða, laðao.tíl.),reisa bátleggja kjølin og reisa stevnini (við støvnum);hann reisti eikina, blaðaði hana og klinkaði saman;reisa búgvbúseta seg;summir settust í Føroyum og reistu búgv har;(húsasm.)reisa (hús)seta sperrur á hús3fara undir, byrja4(tlm.)ferðast,hann reisti uttanlands nógv ár
reisigildi	gildi hildið tá ið hús eru reist 3(2)(fyri handverkarar)
reisikúgv	kúgv ið ikki er ment at reisa seg sjálv, várveik kúgv;sbr.reis 1;(flutt m.)ein skal ikki hjálpa fólki ov nógv, tey verða sum reisikúgv(ósjálvbjargin)
reising	1(húsasm.)yvirtrom (2),húsini hava høga reising2(bát.)stevni(bugur úr kjøli í stavn),krøpp reising;lot reising;báturin hevði lágar reisingar;báturin er lotur í reisingini(er lítið reistur, lágur til endarnar);reisingin er trý stykki: stavnur, miðskoyti og undirlag3(ným.)veking, endurreising,hin tjóðskaparliga reisingin í Føroyum;sms. t.d.aftur-,bak-,endur-,fram-,gumpa-,kjøl-,kova-,koyggju-,ný-,pílla-,triðings-,upp-,útav-
-reisn	síendur-,upp-
reistla	(fisk.,Suð.)rostla, roðsla
reistur	menning, framburður (1),tjóðskaparligur reistur;sms. t.d.upp-
reita	1arga,reita (e-n) uppfáa ilt í;reitastgerast illur;ei undur í, at ein onkuntíð reitist upp(øsir seg)2(sj.)gera harman, grøta, særa (2)
reitingarsamur	ertingarsamur
reitingur	(stb.)tað at hann øtlar veðrið(eftir góðveður),reitingur í sjónumkjøkrel.øsing í sjónum
reiv1	1mjá ál av líniel.tíl.at reiva børn í, sveip,eftir gomlum siði skuldi barnið liggja átjan vikur í reivi, fyri at tað kundi gerast limasterkt, tá ið tað vaks til2(plfr.)blómureiv3(dj.)sveip um reivveru,3-4 vikur seinni krýpur firvaldurin út úr reivinum;sms. t.d.skjóls-
reiv2	síríva
reiva	sveipa barn í reiv 1,reiva barn;barnið varð vandaliga reivað
reivabarn	barn í reivi 1, reivlingur, pinkubarn,vera sum eitt reivabarnvera púra í barndømi, ikki hava dropan av viti
reivblað	(plfr.)háblað í blómureivi
reivlingur	reivabarn,tey hava ein reivling
reivvera	(dj.)dýr á menningarstigi millum ormveru og fullbúgvið skordýr
rek	(stb.)rák,á rekirekandi(á sjónum og luftini);(kvæð.)mann havi eg á reki funnið;sms. t.d.inn-,suður-
reka	1fáa at fara, senda (avstað),reka grind;reka seyðvera á fjalli;at reka seyð tað so stuttligt er;reka seyð í rætt;væl rakst, og teir komu í rætt(gekst væl við at reka seyð);reka smáumreka til spekingar,tá teir róku smáum ella í áseyðaroyting, vórðu lombini markað;reka av garðisenda (e-n) burtur, vísa (e-m) burtur;hann hevur rikið meg á dyr(koyrt meg út);reka (e-n) á gáttkoyra á dyr, geva durafjórðingin;(bíbl.)hann rak út andarnar við einum orði;reka úr starvi(seta frá)2verða borinel.førdur við streymiel.vindi,seiður er ikki vandin, tá hann er í tí góða lagnum, tekur hann alt, sum í kjaftin rekur;skøta etur alt, at kjafti rekur;reka í fiskkoma í fisk;tá roynt varð eftir kalva, søgdu teir gomlu altíð at reka eftir kalva;reka undan veðrinum;koma rikinkoma rekandi,annar báturin kom rikin í Sjeyndum;Heini Havreki kom rikin henda vegin;undir fyrra kríggj kom nógv rikið á Viðvík;minur komu riknar í báðum støðum;reka av kósdrívael.fara av kós(av vindi, streymio.tíl.),ikki kundi skipið vera rikið higar av illveðri;motorurin steðgaði, og vit lógu og róku í fleiri dagar;seta seg at rekaroyna eftir fiski meðan báturin fer við streyminum;vit kundu liggja og reka eina heila vakt og einki fáa;tá ið ein skái var, flotaðu menn bátar at reka eini kyrrindi ella at dyrgja;hann hevði fingið allar onglarnar út og settist at reka;(flutt m.)hann dugdi væl at skemta og taka skemt, visti altíð, hvussu rak(hvussu støðan var);(flutt m.)hon visti, hvussu rak, og hon var ørg(hvønn veg tað bar);ælið rak av útsynningi;hann (tað) rekur av norðriskýggini reka við norðanvindinum(um skýferðina)3(um streym)fara við heldur sterkari og javnari ferð(ávísa leið),har rekur nakað hart;tað rak við mígandi ferð(sera hart);tað rak sum í ánni(sera hart);tað rak í ættina, so tað læt rættiliga í;tað rekur ikki;tað rekur norð(ur)rákið er norðureftir4sláa, ripa (2),reka nevan á nasarnar á e-mgeva e-m frammaná5fáast við (e-t), dríva (1),reka handilhandla (2);bóndin var lagdur undir at reka loynihandil;felagið rekur ídnað;reka fiskiskap;teir stóru bátarnir fóru av lunni og róku havróður6fáa frá hondini, inna í verki, fremja (1), gera,reka politikk;reka valstríð;reka ørindi,fólk troyttaðust og sníktu seg reyð og sveittandi út at reka okkurt neyðsynjarørindi;(orðt.)hundar reka annars (el.annans) ørindi,síhundur7(ítr.)(í fótbólti)renna við bóltinum,hann rak frameftir í høgru síðu;hann rak móti málinum8vera um at kóka, fara so smátt upp á kók,tað rekur í pottinum;hann gjørdi mjølið útá, so skjótt tað var farið at reka í pottinum9reka spott á (e-n)el.reka (e-n) á spotthalda fyri gjøldur, speireka;øll reka meg á spott;hann skuldi ikki lagt í at reka spott á verjuleysar einkjur;systir hans rekur hann á spott10(gl.)prýða, leggja (8),nú skal taka tann dýra dúk, allan í gulli rekaviðfs/hjreka aftur1avsanna, nokta (fyri),stjórnin rak øll leysatíðindi um kvettroynd aftur2ikki vilja hava (e-t), kasta aftur, havna,áheitanin um eykajáttan varð afturrikin3(gl.)reka frá,hann varð afturrikin;reka avfara av kósini;reka burtur1beina fyri2styggja burtur, jagstra, beita 3(3)3fara av leið/kós,reka burtur av leið;reka framundir (el.uppundir):reka framundir (el.uppundir)rógva framundir, sipa til, benda á;reka framundir við e-n;reka frásýta (e-m) ferming(vegna ov lítlan kunnleika),ikki skulu tygum reka mær sonin frá(sagt við prest);hann varð frárikin(ikki fermdur);reka fyri:reka e-m e-t fyri;reka e-t fram fyri e-nháðandi kasta e-m e-t fyri;reka inn:reka naglael.seym inn(negla (1));reka ígjøgnumreka (seyð) til spekingar;sbr.várreka;reka niðurreka undan streyminum,báturin rekur niður á miðið, og teir fyrstu menninir fara at kenna;reka saman(um seyð)savna,tá saman var rikið, og gongan var komin at bakka, leyp eitt veðurlamb á hjá honum;reka undan(tilt.)tað rekur ikki undan okkumvit hava ongan skund;reka upp1koma upp á land,líkið rak upp;50 lík skulu vera upprikin undir Sandsbjørgum2pápi rak eitt longumið upp eina ferð(rak fram á)3varðhundar vórðu tí havdir til at akta við og reka upp seyð við(reka hægri í haga);reka uppundirsíreka framundir;reka út1koyra á dyr, vísa durafjórðingin,hann varð rikin út2jagstra burtur,reka rottur út við royki3reka til havsrekast1liggja til órudd, sløðast,órudd liggur og rekst allastaðni2ganga fyri vág og vind, sleingjast,børnini ganga úti og rekast;ódnarveður kom á, og teir rókust á havinum og vistu ikki, hvar teir vóru(t.d.um skip við maskinskaða);(kvæð.)rókust úti á miðjum havi;rekast um:eitt sovorðið biddaravætti, sum rakst um(rankaðist allastaðni);sms. t.d.nagl-,spei-,spott-,vár-
rekafiskur	(stb.)fiskur ið rekur upp á land í brimi
rekafjøra	fjøra (2) ið liggur væl fyri reka
rekafløska	rikin fløska,rekafløska við brævi(fløskupostur)
rekafuglur	(deyður) fuglur ið rekur á sjónum,sum teir liggja og reka, kemur ein rekafuglur aftur við borðinum
rekagóðs	reki,dragsa saman rekagóðs
rekagrót	grót ið rekst í bøiel.á torvheiðum(savnað saman (t.d.í veltingel.torvskurði) til at laða e-t (t.d.krógv) av),henta (upp) rekagrót;hvørja ferð hann fór eftir torvi, tók hann rekagrót upp í leypin;sbr.rekasteinur
rekagummi	óarbeitt gummi sum kom rikið í ballum,skógvar úr rekagummi
rekahvalur	(deyður) hvalur ið rekur á havinumel.upp á land
rekaísur	ísur sum rekur á sjónum, rákísur
rekalíkindi(r)	líkindi at leita eftir reka
rekamaður	maður ið er íðin at leita eftir reka
rekamina	mina ið rekur í sjónum
rekapláss	pláss har ið nógv rekur,gott rekapláss
rekapostur	fløskupostur
rekaspritt	spritt rikið upp av sjógv
rekasteinur	k6:rekasteinarleysir steinar sum liggja og sløðast, rekagrót
rekastokkur	stokkur (1) komin rekandi,brúgv løgd av tjúkkum rekastokkum
rekastøð	rekstøð,ganga í rekastøð
rekatari	tari ið rekur upp,móts.skurðartari,rekatari var eini lunnindi til jørðina;ríviligt av rekatara leggur upp
rekatræ	træ ið rekur í sjónumel.er rikið á land, reki
rekatunna	tunna rikin upp á land
rekaviður	viður komin rikin(fyri vindi og streymi),reki,móts.handilsviður,húsini eru gjørd av rekaviði;hann hevði bjargað sær væl av rekaviði
rekavætti	ein ið reikar um(og ongan fastan bústað hevur),landastrok, flakkari
rekaætt	ætt 2 ið ofta hevur (nógvan) reka við sær
rekaøða	øða rikin upp á land eftir brim,leita eftir rekaøðu
rekfiskur	(fisk.)slag av djúphavsfiski(Polyprion americanus)
rekfjøður	(tøkni)fjøður (5) sum heldur e-m í gongd(t.d. urverki),drivfjøður
reki	e-t ið rekur í sjónumel.upp á land(serst. viður, vrako.tíl.),rekaviður,leita eftir reka;finna reka;sms. t.d.geitu-,hav-,ørind-
rekil	1tógv lopið fram av snælduni og fløkt;sbr.snyril (3)2slúrur, slánur,hasin langi rekilin3(plfr.)long blómuskipan lík aksi men fellur av í heilum líki(t.d.hjá pílaætt)(amentum)
rekilsleggur	(plfr.)leggur á rekli (3)
rekja	1greiða 2(1),rekja upploysa(e-t ið bundið er);(flutt m.)tit ála meg sundur, dreingir, rekja upp hvørja nerv, í mær er;rekja línu;rekja snøri(gera upp);rekja vilgreiða vil úr flettum seyði, draga vil;so fóru menn at rekja nótina inn í bakskutin á bátinum2(handarb.)renna garn(til vev),rekja upp vev(Sv)3gera grein fyri, lýsa,menn hava roynt at rekja søgu Orknoya;rekja ætt sína(greina)
rekkja1	1(sj.)song,hon reiðir upp á einari rekkju í stovuni;taka (e-n) á rekkju(á bóli)2felli 2, hald (11),knívurin stendur í rekkju3krubba (1) við rimum framman(hjá seyði at eta úr),seyðarekkja;sms. t.d.eld-,hoy-,koyggju-,lok-,skeiða-
rekkja2	s13(bjarg.)í osb.rekkja súluel.rekkja hálsin á súlutoyggja hálsin á súlu(so at hon liggur betur í lassinum tá ið drigið verður upp úr berginum)
rekkjubundin	bundin at rekkju, noyddur at liggja í song(t.d. av sjúkuel.breki)
rekkjulagstur	lagstur í seingina(serst. av elli),hon er rekkjuløgst
rekkjuváð	ullint seingjarteppi, ullint lak,tey eru sum stúka og rekkjuváð(um tvey sum eru sera góð);sms. t.d.undir-,yvir-
rekkjuváðarveftur	veftur til rekkjuváð,rekkjuváðarveftur varð spunnin á handsnældu
rekkjuváðvomb	1stórur búkur(Sv)2(stb.)átuvomb, átari,handa rekkjuváðvombin etur so nógv
rekkur	(kvæð.)maður, kappi, hetja,rekkur í høll
rekkverk	rimaverkel.girðing (1)(fram við trappum, brúm, skipsdekkum, pøllum, svølumo.tíl.),til at styðja seg við, raðhald;sbr.jarnverk,træverk
rekmáttur	1(tøkni)máttur ið setur í gongd og heldur gangandi maskinu, drivmegi, drívmegi, rekmegi2(flutt m.)ein ið er álitið í e-m(t.d.arbeiði, tiltakio.tíl.),drívmegi (2)
rekmegi	(tøkni)rekmáttur (1), drivmegi,tað var einaferð sett at mala, og so mól tað við ongari rekmegi
rekningur	1ein sum einki tilhald hevur(rekst hús úr húsiel.bygd úr bygd),heimloysingur,hann gongur sum ein rekningur(er altíð á ferð);fara á rekningin;vera á rekningirekast um, flakka2lamb skotið av haga,ein rekningur kom fyri í rakstrinum
rekreim	(tøkni)drivreim
reksa1	tað at reksa, e-t ið verður reksað upp, (long) ramsa,hann las upp sína gomlu reksu
reksa2	s30:reksa uppbera fram røð av orðum við fábroyttari rødd, ramsa 2,hann lá og reksaði tøl upp
rekseymur	(bát.)jarnseymur í kjøli og stevni(til at festa kjalarborðið í kjølin og endarnar á borðunum í stevnið)
rekspónur	(húsasm.)borð (4) ið seinast verður sett í(t.d. í vegg, gólvel.loft),drivspónur,seta rekspónin íleggja síðstu hond á(tá ið hús verður smíðað)
rekstrarboð	(Suð.)rakstrarboð
rekstrarmaður	(Suð.)rakstrarmaður
rekstur	(Suð.)rakstur
rekstøð	støð 1 har reki (vanliga) rekur upp, rekastøð,farael.ganga í rekstøðleita eftir reka
rektari	(skúl.)stjóri 2 á hægri skúlael.lærdum háskúla,rektari á Fróðskaparsetri Føroya
remba	s1í osb.remba segel.særel.rembasttoyggja seg, toyggja og mýkja limirnar;aldan eins og rembdi seg og skúgvaði seg niðan í mølina;menninir rembdu seg, stívir í kroppinum, eftir at teir høvdu sitið so leingi og hokið á vøllinum;oyggin er brotnað, undirgrundin hevur rembt seg eitt sindur, so er brotnað;øll náttúran rembdist í uppvaknan;rembast,(flutt m.)tað rembdist nógv innan í honumtað breytst nógv innan í honum, tað gekk innan í honum
remban	1stórtak, ódnartak2tað at remba sær
rembi	e-t at breggjael.erpa sær av, hugmóð, dramblæti,hann gjørdi tað til eitt rembi(til at breggja sær av);tað er einki rembi í tí(einki at erpa sær av)
rembing	1tað at remba sær, remban (2)2ringur sjógvur, tung alda, driftingar,rembing í sjónum(stór alda);ongar rembingar vóru í streyminum, so illa sást munur millum streymasjógv og deyðavatn;ongar rembingar vóru í streyminum3eis.(flutt m.)ógvislig rørsla (1), harðlig broyting, røringur, órógv,aftur lá hon avvelt á gólvinum, hevði tær undarligastu rembingar á sær;stórar rembingar hava gingið um jarðarskorpuna;samfelagsligar rembingar;andaligar rembingar
rembingartíð	tíð við rembing, broytingartíð,ein rembingartíð, tá ið gamalt fer, áðrenn nýtt hevur fest rót
rembingur	stór og tung alda, rembing (2),rættir rembingarstórar aldur
remma1	1(bát.)smøl fjøl (1) sum bekkjarendarnir eru feldir niðurí2(stb.)belti (6) í hjalli
remma2	atsmakkur, nissur,tað er sovorðin remma við kópaspiki;tað gongur ein remma at tí(t.d. fiskinum, kjøtinum);ein rom remmaringur smakkur;sms. t.d.royk-,tjøru-
remmuborð	(bát.)næstovasta borð (4) sum remman(ið bekkirnir hvíla á)verður negld føst í
remsa1	ramsa 1
remsa2	ramsa 2
remsast	(stb.)ressast,eg fái hann ikki til at remsast
rena	(Suð.)renna 3(8),rena knívin í eittstinga;rena eygunikveita;rena garnrenna garn;likkurnar rena seg á høvdið(stoyta segel.sær eftir høvdinum);sildrekin renir seg við gapandi kjafti í torvuna
rend1	1ferð, gongd, rensl (1),gera rend á seg;taka eina rend á segtaka dik á seg, taka sær um reiggj;hann fekk eina rend yvir at borðinum(um ein ið er sløtrutur á beinunum);at fara oman í neyst, har báturin stóð, tað var rendin hjá honum um morgunin(fast at fara);fyrsta rendin var inn í Føroyingahavnina2stutt vitjan,hann hugsaði um at gera eina rend heim aftur til Føroya;gera eina rend inn á gólvið;sms. t.d.at-,út-
rend2	rend 1,tá ið eg frætti, at tú vart her, mátti eg gera eitt rend út higar(støkka inn á gólvið);fyrsta rendið hjá neytunum var at fara til eggjarnarneytini runnu beina leið til eggjarnar;gera (eitt) rend til Danmarkar(stutta ferð);flogfarið koyrir fram at taka rend á(dik);rend av fiskifiskur ið støðast stutt á einum miði;sbr.rensl;sms. t.d.til-
renda	s5(Mikld.)í osb.renda seg inn til einhyggja inn á gólvið
-rendur	sí t.d.á-,blá-,blóð-,for-,gull-,harð-,heil-,hund-,kvik-,mjúk-,niður-,ov-,seyð-,stív-,trá-,tví-,upp-,út-
rendur1	sírond
rendur2	(stb.)rend 1(1),í osb. sumhar kom rendur í(ferð á)
rendur3	ið farandi er til, fráel.ígjøgnum, gongdur (1),rókin er rend allan vegin;eingin flingra ella bøkkur, sum rent er í, liggur óbitin(sum seyður sleppur at);har er illa rent til hjá seyði og ikki rent frá;sbr.óføri (1);hetta økið er av ringastu støðum í kava, fonnin er stór, men gøtan er altíð rend(gongd)
rendur4	(kvæð.)borðalagdur,hann bar honum fram borðdúkin, allur í gulli rendur;uttan er tað við hvítasilvur, innan við reyðargull rent
renessansa	renessansanmentanarskeið í Evropa(byrjaði í Italia í 14. øld og breiddi seg haðani út um Evropa í 16. og 17. øld),renessansan hevði ávirkan á myndlist, byggilist, bókmentir og tónleik gjøgnum forngrikskar hugsjónir
rengur	sírong
renna1	1lítil veit í gøtu millum koyri- og gongubreyt(so at regno.tíl.kann seta frá)2afturlatin veit3stór veit4skráur útbúnaður til at lata e-t glíða eftirel.ígjøgnum(t.d. fisk, salt, ís);sms. t.d.blá-,bú-,fjós-,frá-,grót-,køsta-,línu-,loka-,súrgu-,tak-
