P	rómv. taltekn fyri 400
perla1	1lítil skyggjandi kúla av perlumóður vaksin í vissum skeljadýrum(serst. nýtt í skartgripum);(flutt m.)ein perla í føroyskum skaldskapi(e-t serstakliga gott, valaverk);Perla(tíkarnavn)2(lítið) hylki við tendring til spreingievni[en.detonator]3(sj.)vágpirra (í eyganum)4(stb.)eplaperla;sms. t.d.vár-
perla2	fallael.renna í dropum,sveittin perlaði av honum
perla3	(barn.)gera myndir við smáum perlum
perluband	band við perlum, perlur drignar upp á tráð(t.d. at hava um hálsin)
perlublóma	(plfr.)planta í slektiniMuscari
perluleykur	(plfr.)lítil rundur leykur(Allium ampeloprasum)
perlumóðir	(dj.)fagurt skyggjandi lag (1) innan í perluskel
perluportur	(bíbl.)portrið til paradís(Opb.21,21)
perlur	(kvæð.)perl,silki og so perlur varð eftir vegnum breitt
perluskel	(dj.)skel sum perlur gerast í
perma	stív fram-el.baksíða á bók;sms. t.d.bak-,fram-
permumynd	mynd á permu
pers	(stb.,sj.)persa 1,leggja undir pers;leggja rullupylsu undir pers(stein oman á fjøl)
persa1	(gl.)farg 1
persa2	trýsta, kroysta (saman), fergja
persari	persi
persi	fólk íel.úr Persia (nú Iran), persari
persienna	forhang fyri vindeyga av tunnum vatnrøttum stongum(ið kunnu snarast upp og niður soleiðis at meirel.minni ljós sleppur inn)
persilla	(plfr.)slag av kryddurt(Petroselinum crispum)
persónbilur	bilur til fólkaflutning(vanl. til fimm mans)
persóngerð	tað at geva ópersónligumel.óítøkiligum (lutiel.fyribrigdi) menniskjaligar eginleikar[da.personifikation]
persóngering	persóngerð
persónleiki	teir eginleikar (serst.andligir) ið eyðkenna einstakling
persónleysur	(málfr.)ópersónligur (3)
persónligur	ið eyðkennir ávísan persón, knýttur atel.bundin at ávísum persóni,persónlig meining;persónligt bræv;hj-liga,tosa við ein persónliga(andlit til andlits)
persónlýsing	(bókm.)1lýsing (4) av ávísum persóni2lýsing (4) hjá høvundi av persóni í skaldaverki(bæði sum beinleiðis frásøgn og gjøgnum atburð o.tíl.)
persónmenska	persónleiki
persónsfornavn	(málfr.)slag av fornavni (2) fyri persón(ar)(í 1. persóni eintali "eg", í 2. persóni "tú" og í 3. persóni "hann", "hon" og "tað")(pronomen personalium)
persónsmál	mál 1(7)el.ósemja ið snýr seg um einel.fleiri ávísar persónar(og sum tí skal viðgerast í trúnaði)hetta er eitt persónsmál, og tí hevur landsstýrismaðurin ongar ætlanir um at almannakunngera, hvat stendur í brævinum
persónssamband	(stjm.)samskipan av sjálvstøðugum ríkjum við sama kongi[da.personalunion]
persónsskattur	skattur sum persónur rindar(ásettur eftir inntøku);sbr.ognarskattur,partafelagsskattur
persónstal	persónligt tal ið hvørt fólk fær frá hinum almenna til eyðmerkingar(grundað á føðingarár og -dag, styttp-tal)
persónur	1einstakt fólk, einstaklingur2leikari í sjónleikiel.filmi3(málfr.)bólkur av orðum ið sýnir um tann talandi vísir til sín sjálvs (1. pers.), tann ið talað verður við (2. pers.)el.e-n annan (e-t annað) (3. pers.)(lýst við persónsfornøvnum el. sagnorðsendingum),fyrsti persónur er "eg/vit", annar "tú/tit" og triði "hann/teir", "hon/tær"el."tað/tey";sagnorð bendast eisini í persónum, t.d. "eg fari", "tú fert", "hann fer"
pert	í osb.mitt um pertum miðjuna, um miðjan;rossið varð skoðað aftan og framman og mitt um pert;vit skifta sundur mitt um pert, t.d. bóndatræ, hval, teigo.tíl.(helvtarbýti)
pertin	1(um plagg)heldur trongurel.lítil,troyggjan er so pertin;buksurnar eru so pertnar2(um kúgv)trongskinnað,kúgvin er so pertin;sbr.perkin
perutræ	(plfr.)slag av frukttræ(Pyrus communis)
pes	pesja
pesja	1(á seyði)gomul óroytt samanfløkt ull uttan á nýggjari ull,ær, sum ikki hevur verið í rætt, kann ganga við tveimum ella fleiri pesjum2(kvæð.)ullintur bjálvi,uttanyvir í pesju mína3hárpesja
pesjuskeki	skeki (3)el.kloddi av pesju,seyður, sum kom í rætt tvíullaður ella við pesjuskekum
pesjutur	(um seyð)við pesju,er ær í rætt í klipping, og hon skal út aftur, verður pesjan snøggað, um hon er pesjut
pesjær	ær við pesju
pest	(lækn.)ring smittandi sjúka,tað luktar sum pestin(illa);skýggja e-t sum pestina
pestaður	við ringum royki, ið luktar illa,pestaður roykur
pestfongdur	(lækn.)fongdur við pest
pestur	pest
petrolium	steinolja
petroliumslampa	oljulampa ið brennir petrolium
petroliumsovnur	ovnur sum brennir petrolium
petta	ríva, álael.skræða sundur í smátt,petta sundur
petti	1(lítið) stykkiel.partur av e-m, (lítið) øki, blettur (2),hon gekk tað pettið, ið eftir var oman til hús(teinin);eitt petti av jørð2petti brotið av e-m, brotpetti, moli,fara í petti(r)(í smildur);vera í pettum(í smildri);ikki petti(ð)ikki tað minsta sindrið;eg veit ikki petti(veit als ikkiel.einki);tað ger ikki petti(als einki);hann er ikki petti svangur3(slang)lúsakjálki,hann er eitt ónæriligt petti4(sj.,stb.)skøp á konufólki;sms. t.d.arga-,brot-,jarðar-,klandurs-,langa-,leika-,mið-,mungu-,træ-,tvør-
peyra	peika, peiggja(Sv)
pi1	1grikskur bókstavur2(støddfr.)tal ið vísir lutfallið millum ummál og tvørmál á kringi(= 3,14159... el. 22/7)
pi2	kenning (2),eitt lítið pi
pi3	(um mál hjá lomvigapisu)
piano	(tónl.)klaver, slagharpa
piða	eta uttan av beinum,piða bein;piðaðuravpiðaður, kaldarak;hann var piðaður allur, sum hann var, bara húð og bein;sum piðað ræ(berur);sum ein piðaður lundi(rak)
pietisma	protestantisk rørsla sum byrjaði síðst í 17. øld(kravdi inniligleika og kenslur í trúnni og avnoktanði alt verðsligt)
pikk	1tað at pikka2(spæl)tað at nerta við e-n við fingrunum,spæla pikk(ein roynir at fanga hini við at nerta við tey og siga "pikk"),onkur hevur pikkið og skal lata tað frá sær við at nerta við eitt annað og siga pikk;geva e-m síðsta pikkiðpikka e-n síðst;sbr.skallapikk3agg, illvild,fáa/hava pikk til e-n4hvørt nikk og pikkalt samalt5pikkinibindingarmynstur(HMD Bindm.39);sms. t.d.haldi-,høsna-,ommu-,siti-,skalla-,skáka-
pikka1	(barn.,stb.)lús
pikka2	1(um fugl)stingael.høgga við nevinum(t.d. um høsn),pikka korn;pikka maðkar;pikka í seg(pikka korn)2bankael.sláa (varliga) á e-t,pikka upp á dyrnar, barometriðo.tíl.;hann sat og pikkaði við fingrinum niður í borðið3(um klokku)dikka4(spæl)geva pikkið,pikka e-n;sbr.pikk (2)5tað pikkar smáttlítið ber til við áti, fiskiskapio.tíl.;smátt (smáum) pikkar átað gongur spakuliga framá(við e-m arbeiði t.d. binding);smátt pikkar íalt ger mun
pikkalítil	(tlm.)pinkulítil
pikkfall	(skip.)drag á afturenda á gafli (4)
pikkhamari	(handv.)lítil hamari 1(2) spískur í øðrum endanum
pikkspæl	tað at spæla pikk
pikkubarn	(sj.)pinkubarn
pikkulítil	pinkulítil
pikkumæ	(barn.)smálamb
piks	(óregl.)->pyks
piksur	(sjóm.)slag av krøkjara
pikti	(søg.)maður av tjóð í Norður- og Eysturskotlandi fram á 9. øld
piktiskur	viðv. piktum
pil	pill (1)(Sv);sms.grottu-,kuntu-,ulku-
pilk	1tað at pilka, putl2eitt ið pilkar illa við(serst. barn)
pilka	1loysa smápartar frá størri heild, skilja burturúr, taka sundur,pilka rækjur(taka skalo.tíl.uttanav, reinsa);pilka nøsreinsa nøsina við fingrinum;pilka burturúrvelja burturúr;pilka sundur;pilka viðnema við,ikki pilka við!;sita og pilka (við matin)gera lítið við átið(serst. um børn)2píska 1(1),fuglurin pilkar sær, og dúnið dettur niður í reiðrið3fanglast, putlast, skavast, fjasast (við e-t),pilka við e-t;pilkast við ymiskt4fiska við pilki
pilkaformur	formur at stoyta pilkar í
pilkandi	hjí osb.pilkandi rotinkavrotin
pilkur	1fiskiamboð viðt.d.trimum samføstum húkum undir loddi(skapaðum sum fiski)á dorg sum rykt verður í(í slupptíðinivanl.við einum húki undir)2veiðiamboð til fugl(stong við lykkju)(Varð. 41136)
pilkutur	1handdragin, handlættur, fingralangur (2)2langdrigin, roksutur, putlutur (2),hatta er so pilkut at fáast við;tú ert so pilkutur, tú verður ongantíð liðugur við hatta(arbeiðir seint)
pill	1(stb.)kynslimur á dreingiel.manni, murtur (2)2(stb.)kvennskøp
pillari	(lækn.)grøðievni sum lítil kúla
pillbýttur	(óvand.)steinbýttur
pilli	(stb.)pill (1)
pillsvakur	(óvand.)steinsvakur
pillur	(stb.)pill (1)
pillørur	(óvand.)steinørur
pilsi	(stb.)pelsi
pilsnari	ljóst undirgerað øl
pilsnarøl	pilsnari
piltalið	(ítr.)lið 4(2) av piltum(upp í 12 ára aldur),leikari á piltaliði skal ikki verða fyltur 12 ár fyri 1. januar í kappingarárinum;sbr.dreingjalið
piltateinur	(gl.)lítil snælda, piltur (2)
piltur	1smádrongur2lítil snælda (3), snældupiltur;sms. t.d.klokku-,snældu-
pimpa	drekka rúsdrekka í smáum(ofta loyniliga),smádrekka
pimpsteinur	(jarðfr.)viksteinur
pingvin	(fugl.)svartur og hvítur fuglur í Suðurhøvum(við veingjum líkum bøkslum og sum gongur upprættur)í deildiniSphenisciformes
pinja	(plfr.)slag av suðurlendskum furutræ(Pinus pinea)
pink1	lítið dýr, lítil lutur(Sv)
pink2	ljósareyðir blettir á saltfiski av bakterium í saltinum, pinkur 2(Pseudomonas salinaria og Sarcina littoralis)
pinka	1lítil genta2e-t lítið, lítil luturt.d.lítil drýlur, lítið síl,baka eina pinku(lítlan drýl)3(bát.,stb.)dyrgingartollur4(bát.,stb.)leysur bekkur framman fyri toftubekkel.aftan fyri lærbekk(á honum róði níggjundi maður við tveimum árum)
pinkalítil	pinkulítil
pinkubarn	nýføðingur, nýborið barn, vøggubarn
pinkulingur	evarska lítið fólk
pinkulítil	evarska lítil, ørlítil, pikkulítil,ein pinkulítil løta
pinkur1	pinkulingur
pinkur2	pink 2,pinkur man vera tann spillan í fiskinum, sum veldur størsta missin
pinkutjarnaks	(plfr.)slag av tjarnaksi(Potamogeton pusillus)
pinkutur	pinkulítil;sms.ela-
pinnabrenni	sneisar at brenna, brenniviður
pinnagrev	torvskeragrev við eggjaðum uppbendum horni øðrumegin
pinnamynd	(støddfr.)mynd við loddrøttum strikum(umboðandi tøl)[da.pindediagram]
pinnapakkaður	pinnpakkaður
pinnasegl	(bát.,stb.)spritsegl
pinnaskøta	(fisk.,stb.)tindaskøta
pinnaspæl	(spæl)1spæl har ið um ræður at taka pinnar av borðinum uttan at aðrir rørast2spæl har ið ein pinnur oman á tveimum steinum skal sláast burtur;sbr.pinnur
pinnastillur	fullkomuliga stillur, pinnstillur,sita pinnastillur
pinnastívur	stívur sum ein pinnur, fullkomuliga stívur, pinnstívur
pinnatráður	(Suð.)píkatráður
pinnaverk	(ov) veikt og illa gjørt smíð,hatta er sum pinnaverk
pinnpakkaður	á tremur, fullur (1),tað var pinnpakkað við fólk
pinnstillur	pinnastillur
pinnstívur	pinnastívur
pinnur	1lítil og kløn sprita,(tilt.)við pinn og skinnvið øllum;(spæl)spælael.sláa pinnspæla pinnaspæl (2);(tilt.)standa sum pinnur í lorti(sum bitið ross)2klokkupinnur,stóri pinnur;lítli pinnur3svávulpinnur;sms. t.d.blóðmørs-,eldføris-,eld-,fiti-,gali-,klinku-,klokku-,læsingar-,mýri-,nokka-,peiki-,pylsu-,smoyggi-,smoyggingar-,snældu-,stilli-,svávul-,tó-
pinsett	lítil kloviel.tong nýtt til at taka umel.hála í smáar lutir,so nippar hon í eygnabrýrnar við eini lítlari pinsett
pintera	(gl.,tlm.)bøta fyri, angra, kylja 1(3),hatta fert tú at pintera;tú pinterar, gongur tú so tunt ílatin í hesum kuldanum(setur til)
pinterandi	hj(stb.,tlm.)í osb.so pinterandi óðurrúkandi óður, í øðini
pipar	(sterkt) krydd frá piparplantu,ynskja e-n, har piparið grørynskja e-n langt burtur
piparargur	(sj.)rúkandi óður
pipardagur	(skemt.)dagur tá ið ein ógiftur maður fyllir 30 ár
piparfrukt	(plfr.)frukt av plantuniCapsicum annuum(reyð, gul el. grøn á liti)
piparkorn	(plfr.)einstakt turkað fræ av plantu í slektiniPiper
piparkvørn	lítil kvørn (2) at mala piparkorn við,(tilt.)muðurin gongur sum ein piparkvørn(um e-n ið ongantíð tegir)
piparkøka	brún og hørð smákøka(við kryddi í)
piparmoy	piparmoyggj
piparmoyggj	ógift kona um miðjan aldur, gomul genta
piparmylla	piparkvørn,(tilt.)sum ein piparmylla(um eitt sum ongantíð tegir)
piparmynt	1(plfr.)slag av kryddplantu(Mentha piperita)2góðgæti við smakkevni úr piparmynti (1)
piparnøt	rund smákøka lík nøt(serliga nýtt um jóltíðir)
piparrót	1(plfr.)slag av stórvaksnari kryddurt(Armoracia rusticana)2sterkt krydd av piparrót (1)
piparrørsoppur	(plfr.)slag av rørsoppi(Chalciporus piperatus)
piparsligur	sum piparmoyggjel.piparsveinur, turrisligur (3)
piparstertur	k6í osb. sumsita á piparstertisita sum á nálum;komin á piparstertinilla skølsettur
piparsveinur	ógiftur maður um miðjan aldur, gamal drongur
pipp	1(um fugl)tað at pippa2(tilt.)missa pippiðgerast hámur, verða fyri ongum;sms.unga-
pippa1	(barn.)1fuglaungi(t.d. høsnarungi, dunnuungi, gásarungi)2lús3(barn.)pippurtær (á børnum)
pippa2	1(um t.d. fuglaunga)geva ljóð frá sær, láta (2),tað pippar í egginum2rørast ósjálvrátt(tá ið onkur lítil vøddi fer at rørastt.d.í eyganum),tað pippar í eyganum;eygað pippar
pippari	kallingartól iðt.d.læknar bera uppi á sær
pippeyga	(stb.)eyga ið bragdar
pippur	(barn.)smáfuglur
pippus	(fugl.)vaktil
pipra1	biva, darra (1),hendurnar pipraðu;óttafullur og piprandi;eitt sindur piprandi á málinum;við piprandi hjarta;piprast av ræðslu
pipra2	stroya pipar á, krydda við pipari,pipra matin nógv
pipran	tað at pipra 1el.piprast, nøtran, bivan, skjálvti, piprilsi,ein pipran fór ígjøgnum kroppin
piprilsi	pipran,fáa piprilsi av e-m;piprilsi kom á hann
piprutur	við pipran, ið piprast, fjáltraður
pirikum	(plfr.)slekt í pirikumsætt(Hypericum),fýrstrent pirikum(H. maculatum),fagurlitt pirikumvíriksgras(við brandgulum blómum og prikkutum bløðum)(H. pulchrum)
pirikumsætt	(plfr.)ætt av hulfræingum ið eru tvínælingar(Hypericaceae)
pirk	1lítið meiðslel.prus á húðini2(stb.)lítil kenning (2), vóning, pirr,hava eitt lítið pirk
pirka1	(gl.,lækn.)kona sum pirkar
pirka2	(gl.,lækn.)skøva húðina við lítlum læknaknívi dyppaðum í tuberkulin(at kanna fyri tuberklar)
pirka3	grava varliga, putla, skava,hann gekk og pirkaði undir bløðkurnar við eini kvísl
pirking	(lækn.)tað at pirka 2
pirkja	s11(sj.)pirkja við eygunumkrympa eyguni saman(til at síggja betur)
pirkla	s30:pirkla viðpilka við(Sv)
pirr	lítil kenning (2), pirk (2), písk 1, prev, prik (2), vink,hann hevði eitt lítið pirr
pirra1	1(lækn.)lítil (reyð) blæma á húðini, koyna2maðkapirra,vit kallaðu hetta bleikju, maðkadrumb, pirru og nýgýtt, alt eftir støddini;sms. t.d.gjar-,illsinna-,stein-,sulla-,sveitta-,vág-
pirra2	(serst. um hundel.kettu)hava leyst lív (av døglingslýsiel.-spiki),hvør hundur pirraði av døglingsspikinum;um fressur hevði etið av døglingsspiki, fór hann at pirra(tað tætnaði ikki aftur og hann gjørdist ikki frískur aftur);sbr.pirrifressur
pirrifressur	(Suð.)fressur ið pirrar av at hava etið døglingsspik,lørini á hasum eru sum á pirrifressi(kløn);hann sær út sum ein pirrifressur(ússaligur, visaligur)
pirrikurri	(stb.)krypilsvaksin fiskur
pirruskotin	pirrutur
pirrutur	við pirrum(í andliti el. á kroppi),kjøkrutur (2)
pirtl	1lítil skøva, lítil skeina 1, prus,hann fekk eitt pirtl2lítil kenning (2), pirk (2)
pirur	havnargarður
pis	(Sa.)kvett, fongur,hetta er eitt gott pis
pisa	1(fugl.)ungi hjá summum sjófugli(álku, lunda, teista o.s.fr.)2alipisa,hava pisu3næmingur ið hevur nýlokið students-el.hf-prógv4lítil lummafløska(við brennivíni);sms. t.d.ali-,arga-,áar-,álku-,bleika-,drunn-,lomviga-,lunda-,lúnu-,ritu-,skura-,steiki-,teista-,válka-
pisasligur	(stb.)pisuligur
piska	(stb.,óvand.)kunta
piss	land 2
pissa	kasta sær av vatninum, míga,pissa undir seg (um náttina)floyta seingina;pissa í buks(urnar);hann hevur ikki pissað í sjógv(hevur ongantíð verið til skips)
pissari	(skemt.)1pissilingur2(á akfari)útbúnaður ið sproytar vatn upp á rútin
pisshús	húsel.rúm har ið menn kunnu kasta sær av vatninum, landhús, landkrókur
pissiboppa	(barn.)pissilingur
pissibót	(gl.)blæa til pinkubørn
pissigøltur	1drongur ið pissar illa í buksurnarel.pissar ofta2pissilingur
pissilingur	(barn.)skapningur (3), pissiboppa
pistól	skammbyrsa
pisuár	tað árið tá ið ein hevur lokið studentsprógv
pisubúr	búr til pisu(r)
pisuhús	lítið hús til pisu(r)
pisuhylur	hylur at lata pisu(r)(1) svimja í
pisukassi	kassi at hava pisu(r) í
pisuknívur	óvandaligur knívur at skera pisuni við
pisuligur	klænur, klantrasligur, nettligur,hon var kløn og pisulig
pisulundi	(fugl.)ungur lundi(sum hevur verið pisa árið fyri),vangagrái
pisumurtur	(fisk.)ternumurtur
pisurøða	røða hildin fyri pisum (3)(eftir lokið prógv)
pisutíð	tíðin eftir at pisurnar eru útkomnar,fyglingarstong varð ikki útborin fyrr enn í pisutíð
pisutur	(seyðal.)skurvutur (2);sms.grá-
pisuveitsla	veitsla fyri pisum (3)(eftir lokið prógv)
pitil	(sj.,stb.)sprita til at spenna bogasag við, tunga (3), spennitræ (2)
pitla	putla 1
pitsa	bakaður breyðbotnur við ymiskum omaná(t.d. kjøti, tomatum, osti)
pittur	(fríðk.)kynslimur á mannfólki
pí	(um ljóð hjá spógva)pí, pí
pík	píkur
píka1	(gl.)genta;sms. t.d.fríggjara-
píka2	seta píkar í dekk,hevur tú píkað hasi dekkini?;sbr.píkadekk
píka3	(fríðk.)píkarill, píkasjey
píkadekk	bildekk við píkum í(til koyring í hálku)
píkaretinar	píkasjey, píkarill
píkarill	píkasjey
píkarillinar	píkarill
píkarstavur	píkstavur
píkasjey	halgadoyð, halgasjey,píkasjey, sum tað var kalt
píkaskel	(stb.)rípuskel
píkatráður	jarntráður settur við (hvøssum) píkum(t.d. á stiki)
píkhælur	spískur høgur hælur á konufólkaskógvi
píkstavur	(fjall)stavur við píki í niðara enda,hann snarar veðrarnar á píkstavi sínum fastar í ullina
píkstong	stong (fleyga-el.fyglingarstong) við pík í niðara enda
píkur	klænur spískur jarnoddur(t.d. í niðara enda á stavi),pík;sbr.píkstavur
píl	pílur 2
píla1	(kvæð.)pílur 2
píla2	(sj.)renna 2(3) skjótt,fuglarnir pílaðu aftur og fram;kanst tú píla fyri meg?(renna ørindi);sbr.pílika,pílikur
pílagrímsferð	ferð hjá pílagrími, vallaraferð,gera pílagrímsferð til heilaga landið
pílagrímur	fólk ið fer vallaraferð til heilagan stað
pílahúsi	ørvahúsi
pílari	(gl.)súla 1(2), stólpi, stytta 1, stavur (2),(kvæð.)borgir á pílarum standa
pílarí	(stb.)pílar og skot
pílaspæl	spæl við pílum(at kasta eftir klingru (2)),spæla pílaspæl;sbr.dart
pílatræ	(plfr.)runnurel.træ í slektiniSalix, pílur 1
pílaætt	(plfr.)ætt av hulfræingum ið eru tvínælingar(Salicaceae)
pílgrímur	pílagrímur
pílhúgva	(gl.)píllhúgva
pílika	genta ið er kvik at renna ørindi, ørindagenta,tú ert pílika hjá mær
pílikur	drongur ið er kvikur at renna ørindi, ørindadrongur,hann er ein rættur pílikur
píllareising	(húsasm.)reising (1) frá øllum síðum upp í topp
píllhúgva	høg húgva ið gongur upp í topp, bundin topphúgva
pílltak	tak við píllareising
píllur	1e-t spískt, oddur 1,(tilt.)fara av píllinumfara á húsagang2sprænur av skræpu,píllurin stóð úr honum(av lívsýki)
píltatak	(Leirv.)píllareising
pílur1	1(plfr.)slekt í pílaætt(Salix),arktiskur pílur(S. arctica)2(plfr.)pílatræ;sms. t.d.loð-,pálma-,urta-
pílur2	ørv (til boga),hann fór sum ein pílur avstað(ógvuliga skjótt);(fríðk.)pílar og skotpíkasjey, halgadoyð;sms. t.d.álva-,sleingju-
pína1	1tað at hava ilt, ilska, verkur, líðing,hava pínu;tola pínu2(plfr.)langt klænvaksið taraslag, tussatongul, marbendil (2)(Chorda filum)3(kortsp.,stb.)pínurnarhjartar- og rútarníggju(r) í stýrivolti;sms. t.d.garna-,hungurs-,høvuð-,vødda-
pína2	1valda (e-m) pínuel.kvøl, plága 2, verkja, virkja 1,pína dýr;tað pínir meg(veldur mær trega)2tað pínir burtur úr(klæðum ið verða hongd til terra í frosti)tað tornar so hvørt sum frostið fer úr;sms.seig-
pína3	banna, svørja,hann pínaði upp á, at tað var satt
pína4	(fríðk.)pínadoyð,á pína!;pína, tað var stuttligt
pínadálinar	(stb.)pínadont
pínadont	(fríðk.)pínadoyð
pínadoyð	gudsdoyð
pínari	1ein ið pínir, bøðil(Sv)2ein ið er kargur, kargapisa(Sv)
pínegg	ógvuliga lítið egg, neyðaregg
píning	tað at pína, pínsla
píningarveður	(stb.)ivaveður til útróður,hesa vikuna hevur verið píningarveður
píningsveður	veður 4 við píningi (2)
píningur	1e-t lítiðel.smátt1lítið og neyðarsligt fólk, avmegingur (2),hann hevur altíð verið ein píningur2lítið vánaligt lamb, mistrivningur, avmegingur (1)3neyðaregg, pínegg4pinkulítið brennivínsglas,teir høvdu fingið ein píning(so lítið glas av brennivíni at teir fýltust á)2kaldur og turrur vindur, tømingur, píningsveður,har sprettur ikki strá í hesum píninginum;sms. t.d.eystan-,kulda-
pínsl	(sj.)pínsla
pínsla	tað at pínael.pínast, píning, líðing, plága,helvitis pínslur;ofta má lív hennara hava verið ein pínsla;hann grætur av pínslu og longsli eftir at eiga hana;sms. t.d.djóra-
pínslaður	(átr.)ið hevur liðið pínu, píndur,pínslaður undir Pontiusi Pilatusi
pínslarváttur	(átr.)ein ið líðurel.doyr fyri trúgv sína, blóðvitni
pínsling	pínsla
pínslustaður	pínustaður
pínslusøga	(bíbl.)søga um pínslu,pínslusøga Jesusar
pínudoyvandi	(lækn.)ið doyvir pínu, linnandi, pínustillandi
pínufullur	ið veldur nógva pínu, ið hevur pínu við sær, við nógvari pínu, pínumikil, pínusamur
pínugingin	(sj.)ið hevur nógva pínu, við nógvari pínu,eg eri so pínugingin
pínuleysur	ið onga pínu hevur, við ongari pínu, uttan pínu,tá ið ein kann vera pínuleysur á gamalsaldri, skal ein ikki klaga
pínuloysi	tað at vera pínuleysur
pínumikil	pínufullur
pínusamur	pínufullur
pínustaður	(bíbl.)staður har ið ein verður píndur, pínslustaður(um helheim)
pínustillandi	(lækn.)pínudoyvandi
pínutablett	(lækn.)tablett fyri pínu
pínuverkir	(lækn.)falskir verkir(sum ikki fáa fostrið fram),kreymaverkir(labores praesagientes)
pípa1	1opið rør(at leiða luft, vatno.tíl.ígjøgnum),lungnapípa2útbúnaður til tubbaksroyking(innanopin leggur við munnstykki á øðrum enda og heysi til tubbak á hinum),tubbakspípa,roykja pípu;festa í pípu;fáa sær upp í pípuna;stinga pípuna;hann kølir ikki pípunahann roykir illa(so pípan kólnar ikki ímillum)3byrsupípa4(tónl.)floyta 1(1)5pípur1høvd 2(8)2rukkur á pípukraga3smá bein í kalvarava6(plfr.)niðari samanvaksni parturin á heilari krúnu,á heilari krúnu nevnist hin niðari samanvaksni parturin pípan, hin ovari kragin;sms. t.d.byrsu-,geyra-,gler-,krit-,láti-,nísti-,sekkjar-,tongla-,urgu-
pípa2	geva frá sær snjalt ljóð, gnísta, nísta,pípa og nísta
pípa3	gera pípur 1(5)(í klæði),við eini pípaðari blondu framman
pípan	tað at pípa, nístan,pípan og nístan
pípari	(tónl.)ein ið leikar á pípu 1(4)(t.d.sekkjarpípu)
pípil	(evnafr.)lítið glasrør at taka løg upp í, lítil sogleggur[da.pipette]
pípla	(evnafr.)taka løg upp í pípil[da.pipettere]
pípubressa	(dj.)slag av blómuflugu(Syritta pipiens)
pípuglóð	glóð í tubbakspípu,tað er ikki pípuglóð(næstan útkalt í komfýrinum)
pípuhattur	(plfr.)slekt av soppi (2)(Suillus),broytiligur pípuhattur(S. variegatus),grovpoknutur pípuhattur(S. bovinus),gulbrúnur pípuhattur(S. luteus);sms. t.d.lerka-
pípuheysur	innanopin knøttur á endanum á pípuleggi til at lata tubbak í
pípuhólkur	hólkur um endan á pípuleggi
pípuhøvd	pípuheysur
pípukragi	kragi við pípum 1(5), rúðurkragi(serst. á prestakjóla);sbr.prestakragi
pípulangur	við langari pípu 1(3),ein pípulong rifla
pípuleggur	innanopin leggur á pípu 1(2),armarnir á honum, hatta eru eingir pípuleggir(teir eru bæði sterkir og kimiligir)
pípuleykur	(plfr.)kryddurt í slektiniAllium
pípulykil	lykil við holi upp ígjøgnum niðara enda á legginum
pípuopari	pípureinsari
pípuorgul	(tónl.)(kirkju)orgul við ljóðpípum
pípureinsari	klænur metaltráður klæddur við e-m línkendum til at reinsa tubbakspípu við
pípuroyking	tað at roykja (2) pípu 1(2)
pípuroykur	roykur úr pípu 1(2)
pípustokkur	hylkiel.húsi til at goyma pípu 1(2) í
pípustúgvur	(stb.)pípa 1(2) sum nakað av legginum er brotnað burturav, stúgvur (2), stúvur (2)
píputubbak	tubbak til at roykja í pípu 1(2)
pípuurga	(tónl.)pípuorgul
pípuvaksin	l26(plfr.)pípuvaksin krúnaheilkrýnd krúna við niðara parti samanvaksnum til eitt rør
píra1	pírið fólk, kargakoka(Sv)
píra2	vera pírin, spara meir enn sømir,har mundi verða pírt;hann pírir ikki(er oyðslutur);teir høvdu bert mat eftir til tveir dagar, men teir pírdu og spardu, so hann rakk til fimm dagar;píra útnenna sær illa at nýta pening(Sv)
pírin	kargur (1), natin
pírni	tað at vera pírin, natni
pírutur	pírin(Sv)
písk1	pirr,hann hevði eitt písk
písk2	mðlv(sagt til at lokka pisu at eta),písk, písk!
píska1	1(um fugl)hampa fjaðrarnar við nevinum,hønan pískar sær2argael.erta (við at klikkja 1),píska e-n (við e-m)3skarvael.nartla (burturav),píska burtur av e-m4nápa, stjala í smáum, smástjala,argur at píska5telgjael.klippa til einki er eftir,píska hatta ikki burtur í einki6(Suð.)spíska,snældan varð bara pískað eitt sindur
píska2	røra upp í skúm,píska róma
píska3	sláa við píski, húðfleingja, koyrilsfleingja
pískari	húshaldstól til at rørat.d.róma við
pískastykki	(stb.)mjóryggur,sum nýkókaður hevur mjóryggurin navnið pískastykkið(RJ Royvið80)
pískirómi	rómi til at píska 2
pískur1	koyril
pískur2	(Suð.)spískur,ein pískur steinur
pískutur	argur at píska 1
-pískutur	sísvøvn-
pístr	pístran
pístra	1blása, físa,pístra við eldinfáa eldin at loga við at blásael.blaktra við e-mel.leggja torvurnar betur til rættis2rinda møðina, hvíla,seta seg niður at pístra eitt sindur
pístran	tráur og kaldur vindur, pústran,tað er sovorðin pístran
pístrari	lítil físibjølgur til at blása í eldin við, pústrari(til at fáa at loga)
pístur	pístran,ein pístur av eystri
písturtonn	bísturtonn
pjaga	(stb.)pjága
pjak	1skav, skavan,sum hann liggur, hoyrir hann pjak2tað at vera pjakutur3ein ið ongantíð verður liðugur við nakað, pjakut og seinført fólk(sum lítið kemur burturúr hjá),hann er eitt pjak
