T	rómv. taltekn fyri 160
tósnælda	1snælda (1), handsnælda(Sv)2snælda (3)(tað spunna tógvið),summir tópinnar høvdu blað í endanum niður undan breiðara enda á tósnælduni
tótur	1(barn.)fótur (1), bein (2)2skitin fótur(Sv)
tóv	(sjóm.)tað at tóva, hál,teir høvdu eitt gott tóv(royndist væl, nógvur fiskur í)[en.tow]
tóva	(sjóm.)draga trol, toga (4), trola
tóvarabiti	(stb.)ein ið dugir væl at tøva
tóvarafjøl	fjøl at tøva á, tøvingarfjøl
tóvarakar	kar at tøva í
tóvaraklógv	ein ið er røsk at tøva
tóvarakona	kona ið tøvir
tóvaraluttur	luktur av landi 2 nýttum í tøving, tøvuluttur
tóvarapottur	pottur til at tøva í,buksuvaðmal ella kotavaðmal vórðu tøvd í balju, kari ella tóvarapotti
tóvarastampur	stampur til at tøva í,(flutt m.)vit verða verandi í sama tóvarastampinum(tøva í sama stað, ikki ganga fram)
tóvaratræ	stórt træ av klótu at hava tóvarapottin á meðan tøvt varð
tóvari	maður ið tøvir
tóvhattur	hattur av tógva (1)
tóvi	tógvi,undir ilina varð lagdur ein ullarlagdur, helst harður tóvi;(flutt m.)hann er ein tóvi at fáast við(treiskur);sms. t.d.saðil-,ull-
tóvin	tógvin
tóvirki	e-t virkað úr bummull, ull, líni, hampi (2) við spinning, veving, binding, seymingo.tíl.(serst. um bundiðel.vovið klæði)[da.tekstil]
traðalóg	(løgfr.)lóg um traðir,meginparturin av traðunum er lagdur inn eftir traðalógini frá 1894
traðargarður	garður (1) uttan um trøð
traðarleiga	leigugjald fyri trøð
traðarmaður	maður ið átti trøð og lutvíst livdi av tí ið hon gav, gerðismaður
traðarstykki	(lítil) trøð,ein fátækur maður knossaðist við at bróta grót til eitt vánaligt traðarstykki
traðarvegur	(uppdyrkingar)vegur út á trøð
traðir	sítrøð
traðk	1tað at traðka, nógv gongd,húsið er eitt sindur undir traðki hjá mær(nógv fólk);vit brúka hesa stovuna í neðra til fjallfólkið, annars liggur alt undir traðki2spark,hundurin fekk traðkið3staður har ið nógv (fólkel.kríatúr) traðka, upptraðkað øki4trærist innanvert við úthurð(til at seta tuflurnar á);sms. t.d.fóta-,rossa-
traðka	1stíga, trampa,traðka á;traðka skógvarnar á holslíta so at hol kemur á;traðka niðurlegsa;traðka upp í nakkaslíta upp, traðka á holel.uppum;skógvarnir vóru traðkaðir upp í nakka;traðka uppumslíta á hol;traðka skógvarel.hosur uppum;traðka útáslíta skógvar meir uttarumegin,vóru fólk hjólbeint, vórðu skógvarnir traðkaðir útá;traðka innáslíta skógvar meir innarumegin;traðka oman á e-m øðrumfara illa við e-m, vanvirðael.háða e-n;tú mást ikki lata nakran traðka oman á tær;fólk í bygdini hava traðkað á teg;traðka tiltrýsta saman og slætta við fótinum;ein góð løta skal til at traðka eitt moldgólv til;traðka veltu;nývelt velta varð altíð traðkað, áðrenn saksað varð;tá ið ov turt var, varð veltan traðkað, so hon betur kundi taka við tøðuni;tá fóru tey at traðka veltuna, og tað hjálpti, so hon fór at næla betur;(orðt.)hin ríki traðkarel.slítur skógvarnar á hol, men hin fátæki kagar teir á hol,síkaga2(gl.)stíga á pedal(á pumpuorgli),fyrr mátti onkur vera, sum mátti pumpa orglið í kirkjuni, hann traðkaði3sparka,hon traðkaði hundin inn á síðuna við tufluni;hann traðkar úthurðina upp
traðkari	(gl.)ein ið traðkar (2),hann hevði verið traðkari í 40 ár
traðkilag	útbúnaður til at stíga á til at fáa ferð á tól (t.d.hvørvistein)
traðkimaskina	seymimaskina ið gongur við traðkilag
traðkisúkkla	súkkla til at traðka
trakk(a)	(óregl.)->traðk(a)
trakt	viggvaksið amboð holað innan (stundum við sílu) og niðast við túti(til at leiða løg niður í íløt við trongum hálsi),trekt
trakta	s30:trakta kaffi (el.te)gera kaffi (el.te) við at lata kókandi vatn seyra ígjøgnum malið kaffi (el.tebløð);teið er traktað (í kannuni)(fullsterkt)
traktera	(gl.)lata fáa, bjóða (2), veita 2(2),hon bleiv trakterað við víni og køkum
traktorur	(bún.)motorakfar útgjørt serliga til at draga landbúnaðarmaskinur, vognaro.tíl.aftanúr(vanl. nýttur í bóndaarbeiði),dragi,til at pløga við hava teir traktorar
trakul	k21(stb.)trakulintramin,gevst, for trakulin!;hvat trakulin gert tú?(ólukkan)
trall	tað at tralla
tralla	murra og smásyngja(í góðum lag),hon sat og trallaði við barninum á knænum
-tramaður	síjavn-
tramansligur	illavorðin, bannsettur, forherðaður, óreinur (2), devulsligur
tramansskapur	devulssettur atburður, devulsskapur, fanansskapur
tramanstíð	(illb.)illanstíð,tramanstíð, at eg fari!
tramar	sítrom
trami	1djevulin, fanin, hin versti,hann ræddist hana verri enn traman;hann leikaði í sum ein trami2(illb.)hví tramin gjørdi tú hatta?;líka tramin leggi eg í, hvat ið tey siga
tramp	1tað at trampa2gongd, fótafet,tramp av tuflum;sms. t.d.stivla-
trampa	1stíga harðliga og við nógvan gang,gongur og trampar;(gáta)trampar í durunum sum óður maður útileki2(um bát)seta 3(11) harðliga, høgga (4)
trampan	tað at trampa, tramp,alt ov mong halda, at tað er trampan og rennan og skrálan, sum skapar dansin
trani	(fugl.)sera stórur hábeintur útl. fuglur við longum hálsi(Grus grus)
transistari	(ravm.)farkleiv
tranta	trilla, rulla,tranta egg(spæl)(Sv)
trant-a	(teld.)teknið@(nýtt í sambandi við teldupost)
trantaður	1múlatrútin(Sv);sbr.trantur (1)2í osb.trantaður til e-tførur fyri e-m,tú talar, sum tú ert trantaður til;tú ert ikki trantaður til at binda hasa byrðina
trantast	kyssast(Sv)
trantklukka	(dj.)klukka av bólkinumCurculionidae(við tranti fram úr høvdinum)
trantkongafiskur	(fisk.)slag av kongafiski(Sebastes mentella)
trantmús	(dj.)slag av súgdjóri við spískum tranti(líkt mús)(Sorex)
trantsveima	(dj.)slag av blómuflugu(Platycheirus manicatus)
trantur	1e-t ið stendur fram úrt.d.munnur, snúti, trýni, trónur,geva e-m um trantingeva e-m frammaná,eg skuldi givið tær um trantin;tað er ringur trantur á honumhann er í ringum lag;nú er trantur á honum(ringur hýrur);ein grúiligur tranturein sum er súrur;halt trantin saman á tærhalt munn;óreint í trantin á hasum(óreint í kjaftin)2sevil á fíli3fremsti spíski partur á e-m, trónur,spískur trantur(á skógvi),stivlatrantur4fremsti partur á karða,karða við trantinum;sms. t.d.múla-,skøtu-
trapets	(støddfr.)skákhyrningur
trappa	1útbúnaður við vangum (3) og tvørfjølum til at stíga á(at ganga upp og niður eftir),trappa er millum hæddirnar;vit møttust í trappuni2trappustig,tað eru 30 trappur upp til húsini3(stb.)stigi (1),teir komu altíð at læna trappurnar4trappurnarbindingarmynstur(HMD Bindm.31);sms. t.d.lofts-,músa-,renni-,rulli-,snúður-,snyrils-,stiga-,út-
trappuboltur	(húsasm.)boltur 1 sum heldur forvangum og høvuðsstykki saman
trappugøta	brøtt gongugøta við trappum í støðum
trappuhald	raðhald fram við trappum
trappupallur	pallur í (miðjum) trappum(har tær sneiða),á trappupallinum
trappuskjøldur	skjøldur (2) skapaður sum trappur,tað vóru eini lág, hvít hús við trappuskjøldrum
trappusteinur	durasteinur, durahella
trappustig	einstakt stig (2) í trappu,tey áttati grótlaðaðu trappustigini niðan á Gjógv
trappustigi	stigi (1) í tvíningum sum fær staðið leysur, stigatrappa
trask	tað at traska
traska	ganga tungliga, tvassa, tøssa, tvarra,fyri honum var tað eins og ein heil fjallskipan av huldumonnum hevði traskað í hølunum á honum
traskiskógvur	skógvur til nógva gongd, gonguskógvur (1)
trastaætt	(fugl.)ætt av smáfuglum, trøstar(Turdidae),kvørkveggja og óðinshani eru fuglar av trastaætt
trastur	(fugl.)trøstur
travald	(sj.)ónáð, bági,koma í travald av e-m(í kløtur);slitin upp í travaldslitin á hol, uppslitin,buksurnar eru slitnar upp í travald;(flutt m.)hann sleit seg upp í travald av hasi trøðni
travalja1	(gl.)long og stríggin ferð
travalja2	(tlm.)ganga og mala, darta 1(2),hann fór travaljandi(gangandi við ferð)
travna	rakna upp, flosna,klipp ikki ov lítið, tað kann travna;travna niðurtogna(um krov so tað ikki sær væl út)
travsa1	1trevsa, slintra, spjørr (1)2skitligt og illfjøskut konufólk,verri surku og travsu av einum konufólki enn dóttur mína kundi sonur tín aldri funnið3(stb.)trevsa 1(3)
travsa2	trevsa 2,travsast upp
travsa3	tvassa (1), tøssa,hygg, nú kemur hann travsandi líka inn ígjøgnum við allari móruni uppi á sær, meðan eg liggi og vaski;kýrnar travsa beljandi inn í kálgarðarnar
travsutur	við travsum, trevsutur,hennara hvíta, travsuta hár
trá	1tað at tráa, tráan, longsil,so kom slík trá á hann at fara til Noregs2langtan, stundan,aftur kom henda løgna tráin á hann eftir einumhvørjum, sum ikki var3girnd, hugur (2), lystur (1),tí at trá holdsins er deyði, men trá andans er lív og friður;holdlig trá4(kvæð.)stór sorg,bar so tunga trá;við trega og tunga trá;eg beri um teg trá;sms. t.d.ástar-,frælsis-,heim-,hevndar-,jarðar-,lík-,lívs-,út-,virkis-
tráa	1hava trá, fegin vilja (e-t), leingjast, stunda, brellast, girnast,tráa e-tel.tráa eftir e-mleingjast eftir, stunda á (e-t)el.eftir (e-m),hann tráar ikki eftir valdi;tá ið teir koma at tippinum, stendur gimburin har og tráar inn2í osb.tráa lívið av e-mplága e-n illa, ganga á e-n,hatta situr og tráar lívið av fólki
tráan1	tað at tráa, trá,hjartans hugsan og tráan teirra;sms. t.d.heiðurs-
tráan2	tráliga,tað, sum hesa løtu rørist so tráan í honum, er ræðsla av heilt øðrum slag;hon spurdi so tráan eftir pápanum
tráari	(sjóm.)1fiskur latin liggja eftir í bátinum(til at varðveita fiskieydnuna)2stundari
trábeita	s2:trábeita seyðjavnan beita 3(3) seyð av bønum (við hundi);fyri at fáa seyðin at leggjast burtur frá bønum, má hann styggjast við at verða trábeittur
trábeitin	ið uttan fyrilit og treiskur heldur fram egna áskoðan(og einki leggur í onnur sjónarmið),við trábeitnum og glógvandi eygum[da.fanatisk]
trábeitni	tað at vera trábeitin, fanatisma
tráberast	áhaldandi og júkandi standa við sítt, keglast, kutast, trætast,teir sótu og trábórust;sitið ikki har og tráberist;tey trábórust ofta, men tað endaði altíð við látri;teir trábórust um tað(stríddust)
trábiðja	biðja staðiligael.tráliga, bøna og biðja
tráblásin	l26í osb. sumtað er tráblásiðtað er nógvur (og javnur) vindur
tráða1	mjá (long) stong við dorg í endanum til at fiska við;sms. t.d.bambus-,murta-,síla-,sleingi-,sløkju-,træ-
tráða2	(stb.,sj.)(um vatn)renna eitt lítið sindur, lagra, dryppa,her er næstan einki eftir í kaffimaskinuni, tað bara tráðar úr henni
tráðbani	slag av serliga sterkum rennistrongi(til at flyta tungar lutir við),bátarnir vórðu tiknir upp á land vesturi í Gjógv og drignir inn undir henda tráðbanan og hivaðir upp undir hann og heim til neystini
tráðdraga	1draga tráð ígjøgnum har ið tað gryður á plaggi,tær nýtist ikki at stoppa hatta, tú kanst bara tráðdraga tað2gera langar stingir við nálini, draga langar træðrir tvørtur um hol(á plaggi),tá ið hol skal stoppast, verður tað fyrst tráðdrigið;tá ið stoppað verður, verður fyrst tráðdrigið og síðan stikað3(um seyð)draga tráð í oyrað(sum frámerki),tráðdrigin ær;har menn høvdu kenning, plagdi røktingarmaðurin at frámarka smálombini, so hvørt tey komu, við at draga tráð gjøgnum oyrað, at tráðdraga, sum eisini verður sagt;sbr.frámarka4tráðdraga náldraga tráð út í nál, træða nál
tráðendi	endi áel.av tráði
tráðleysur	sum gevur samband uttan leidningar,tráðleys telefon
tráðmjáur	(plfr.)mjáur sum tráður,tráðmjá bløð
tráðrulla	tráðtrilla
tráðsnælda	handsnælda til at spinna fínan tráð (t.d.tógv og togtráð) á, togsnælda
tráðspotti	tráðstubbi,skuldi endiliga ein tráðspotti verða spunnin, varð tað gjørt á hinum leysa strábeinkinum ella á handsnældu
tráðstubbi	stubbi av tráði, tráðspotti, endi (2), stubbi (2),hann greipaði nevini saman við einum tráðstubba gjøgnum nasagluggarnar
tráðtala	(gl.)tala í telefon, ringja 2(4),tit kunnu tráðtala til hansara og heilsa frá mær
tráðtari	(plfr.)slag av brúntara(Ectocarpus sp.)
tráðtrilla	trilla við tráðiel.til tráð, tráðrulla,vit plagdu at gera okkum floytur úr tómum tráðtrillum
tráðudýpi	dýpi sum tráðulongd,á grynnuni er tráðudýpi
tráðullaður	(um seyð)við fínum, smádiglutum broddi og snúðri í diglunum
tráðulongd	longd á tráðu,tráðulongdin var seks alin
tráðumaður	ein ið fiskar við tráðu(serst. síl og laks),sílafiskari,hann er framúr góður tráðumaður
tráður	1klænt band(av t.d. líni, ullel.metali),(skaldsk.)til Havnar vit fara við tráð og við nál;ganga á træðriganga á rað hvør aftan á annan;(flutt m.)sum ein tráðursera klænur;vera annar tráðurinvera partur í e-m(t.d.skálkabragdi);teir hanga allir á einum tráði(eru á einum máli, eru samdir);at látur var annar tráðurin, meðan hetta fór fram, er ikki at undrast á(læið varð alla tíðina);vera á øðrum træði (el.træðriel.tráð(i))1vera uppií har e-t fíntel.spennandi hendir(millum tey fínu),fjeppast uppi í teimum fínu,tú skalt vera á øðrum træði altíð;hann var altíð á øðrum tráði2skapa ófrið, gera ónáðir,hetta at hon sat einsamøll eftir, hevði bitið seg so fast í sinnið, at tað var altíð á øðrum træði;hann er altíð á øðrum tráði3vera afturvið,spik var altíð á øðrum træðri;(stb.)í ringum tráðií ringum lag, illa hýrdur;hann er í ringum tráði í dag;ganga sum eftir einum tráði(sum smurt, sum eftir ánni);teir eru sum tvinnaður tráður(samdir);draga upp á tráðhalda fyri gjøldur, lumpa;tey drógu meg upp á tráð2mjá streymál, lítið rák, kyrrindatráður,ein tráður er eftir av eystfallinum3klæði, plagg,hon spann hvønn tráð í húsinum;fara úr hvørjum tráð(i);ikki tráðurin turrur;sveittin rennur úr hvørjum tráð;tráður lívir trevli,sítrevil;sms. t.d.alnar-,biði-,greipingar-,hosna-,lín-,lívs-,mál-,píka-,seymi-,spuna-,stál-,stoppi-,tann-,ull-
tráðvaksin	l26(plfr.)tráðvaksið blaðlangt, runt, klænt og lint blað
tráfikin	grammur, altráur (2),tráfikin eftir e-m;neytini plaga at liggja so tráfikin uppi undir hasum kjálkanum
tráfikkin	tráfikin
tráfiskin	ið hevur gott tol at royna eftir fiski, tolin í fiskiskapi(Sv)
tráganga	1ganga hart, hálvrenna,(flutt m.)tráganga á e-nganga hart á e-n(t.d.til at fáa e-t)2(um ross)renna so at framfótur øðrumegin og afturfótur hinumegin eru leysir frá í senn,rossið trágekk gjøgnum líkt og ólíkt[da.trave]
trágingin	1í osb.trágingin eftir e-mið gongur í heilum á fólk eftir e-m2(umt.d.hosu)tráslitin,trágingnar hosur
trágongd	1tað at ganga hart2tað at tráganga (2)[da.trav]
trágongdur	ið er áhaldandi og treystur at ganga,trágongdur maður er treystur, men ikki bráðskjótur
trái	1tráur smakkurel.luktur,tráin kemur fyrst har, sum skurður er(avhøvdað sild heldur sær styttri í laka enn óavhøvdað)2egin herskin kensla í nøsini(stutt frá gráti),tað var ein so undarligur trái í nøsini, og tað bilgdist eitthvørt í hálsinum, sum vildi upp
tráin	(skaldsk.)ið tráarel.mungar eftir e-m, brellutur,men Eva, sum so tráin var, ta frukt til munnin at bera
trákka	s30(stb.)í osb.trákka eftirtrákkast eftir
trákkast	hava sterkan hug (at), tráa (eftir), stunda (1), leingjast,trákkast eftir e-m;hann trákkaðist eftir, at tað skuldi fara at lýsa;alt, sum hennara gentuhugur trákkaðist eftir
tráleita	leita væl og gjølla,hann tráleitaði í hvørjum króki
trálesa	lesa gjølla,trálesa ein tekst
tráleti	treiskni og leti,av berum og blektaðum gomlum vana og tráleti
tráliga	bønliga, inniliga, staðiliga, miriliga,spyrja tráliga eftir e-m;hvønn dag hugdu teir so tráliga norðureftir eftir tí mikla flutningi(langtandi)
tráligur	tróttugur, áhaldandi(Sv)
trályndur	stívrendur (1),fúsur maður, harðlyndur og trályndur
trámæla	standa fast upp á, halda upp á,tað er eitt koddaver, trámælti hon
trána	gerast tráur (4),smørið tránar;spikið er tránað
tráning	tað at trána
tránýta	nýta til fulnar, nýta til lítið og einki er eftir(stundum meir enn gott er),teir hava lyndi til at tránýta summar orðingar
trárendur	(um góðan seyðahund)treystur at renna langt,ein seyðahundur, sum kann sendast langt, er trárendur
trároyna	royna áhaldandi eftir fiski, troyta,fjúrtan teir fyrstu dagarnar trároyndu vit allastaðni, men hann varð ikki kendur(fingu ongan fisk);trolararnir trároyna grunnarnar(grunnsópa);her er trároynt(eingin fiskur eftir, uppfiskað);hann var góður miðamaður, men nakað trároyndur var hann og tí ofta seinur aftur av útróðri(helt leingi á, totaðist leingi)
trároynd	tað at trároyna,stovnurin tolir valla slíka trároynd
trásjúkur	ógvuliga grammurel.sjúkur (2) (eftir e-m)
tráska	(stb.)tráa, trákkast,tráska eftir e-m
tráskast	(stb.)trákkast,men nú slapp hon av við hann, tí hevði hon leingi tráskast eftir
tráskitin	sera skitin, skitin og tvitin, gravskitin,tráskitin klæði eru næstan ikki til at fáa rein aftur;túsund tráskitnar áir renna niður
tráslitin	slitin tunnur og næstan á hol, tunt slitin,buksurnar eru tráslitnar, so tað loysir seg hvørki at stoppa ella bøta
tráspurin	tráliga spurin, sera spurin
tráspyrja	spyrja nógv og nær, spyrja garnarnar úr (e-m), vera nærspurin,tráspyrja ein
trástara	stara fastliga og leingi (at e-m),hundarnir skulvu av spenningi og trástardu upp á hurðina
trásúgva	súgva grammliga,lambið trásýgur ærina
trátroyta	troyta til einki er eftir,eg trátroytti hesa hugsan
trátugdur	tugdur so at lítið og einki er eftir, upptugdur,ein trátugd skrá
tráur	1(um vind)áhaldandi, støðugur(av somu ætt),tráur vindur;hann liggur so tráur;hann legðist tráur við kavaroki2(um fólk)ið ikki gevst (við e-m), ótroyttiligur, altráur, ágangandi,tráur eftir e-m;hann mátti rýma undan huldukonu, sum gekk so trá eftir honum;tað er eitt, ið hann er tráur eftir, og tað er at vera stórur, ríkur og heiðraður3(lækn.)(um sjúku)varandi, áhaldandi[da.kronisk];sbr.bráður4(um fiti)við ringum smakki, herskin, tránaður,spikið er trátt;trátt spik5við langtan, langtandi;hjtrátttráliga,hon gekk so trátt á meg(bønaði og bað meg ofta);sms. t.d.al-,lík-
trávandin	sera vandin, íðin og ágrýtin
trávindaður	við nógvum og støðugum vindi, við tráum vindi,útnyrðingur er vindmikil og trávindaður
treða	troða,tú skalt óttaleysur treða míni spor
treður	sítroða 1
treffa	koma fram á, raka 1, hitta (2),hann vísir seg at hava troffið við uppi í sjónum(rakt við fisk);landnyrðingur traff á teir(kom á);treffasthittast, møtast
treffin	ringur at fara ígjøgnumel.vinna á, sum ger mótstøðu,brekkan er so treffin;havaldan gjørdist treffin;suðuraftur fingu teir ein trefnan róður;nýggj grev vóru so treffin at brúka(tung at fáa ígjøgnum moldina)
trega	(kvæð.)pína, níva,tungt man sorgin trega
tregamikil	við miklum trega, fullur av trega
tregatungur	tungur av trega, sorgtungur
tregi	1sorg, harmur,bera trega í sínum hjarta;hóast tregar og trongdir skal vónin ongantíð doyggja;(kvæð.)her sleit hann sína ævi út við trega og tunga sorg2forðan, treki (1),tað kom ein tregi í3(løtt) pína 1(1), ilska 1(5), treki (2),eg havi ein trega í hálsinum (fyri bróstinum);sms. t.d.sálar-
trein	sítrína
treinging	1tað at gerast trongri, trongi (1)(t.d.um op),hann hevði í longri tíð havt eina treinging í stóru lívæðrini2trongd (7),tá ið hann mennir brimið, hóast veðrið er gott av luft, verður sagt: tað er treinging í sjónum
treingja	1gera tronganel.trongri,treingja um e-t;fjørðurin er víður úti í munnanum, men treingist og grynnist, sum inn kemur;treingjastgerast trengri2trýsta, kroysta, pressa,tað eru so nógvir, sum treingja á at sleppa við skipinum;hann var so trongdur av einum láni, hann hevði í húsum sínum, at hann visti sær ikki nøkur livandi ráð;tað fór at treingja saman um hjá teimum(síga saman um);treingja seg fram, inno.s.fr.ota seg fram, inno.s.fr.3trýsta (harðliga) inn á,treingja e-n4treingja tilhava tørv á, hava fyri neyðini,tí øll treingja til Guðs hjálp;lógin treingir til ábøtur og dagføringar;treingjastnýtast, tarvast,tað treingist til(er fyri neyðini)
treiskast	verael.gerast treiskur, treyður vilja e-t,mong eru tey, ið ganga og treiskast og ikki vilja leggja seg í seingina, um tey liva illa;treiskast (ímóti) e-m;tað var, sum vildu tey treiskast fátækdóminum;teir hildu á at treiskast ímóti hinum hægsta
treiski	treiskni
treiskin	treiskur,eg havi ikki sæð treisknari mann enn teg;hann skrykti saman brýr og fekk eitt treiskið eygnalag;(orðt.)tolin trívst, og treiskin vinnur,sítolin
treiskleiki	tað at vera treiskur, treiskni, treiski, tvørskapur
treiskligur	heldur treiskur,treiskligur av lyndi
treisklyndur	treiskur av lyndi
treiskni	tað at vera treiskur
treiskur	tvørur (4), stríður (3), stívrendur (1), seigur (5),tað treiska lagið kemur upp í honum;títt treiska trog(við ólýðið barn)
treiv	sítríva
trekan	neyvan, treyðugt(Sv)
trekast	vera trekur (3)el.treyður, berael.siga seg undan(Sv)
treki	1forðan, meinbogi, bági,tað vóru so nógvir trekar, tá ið farast skuldi av oynni2tað at hava eitt sindur ilt, tregi (3),ein treki í hálsinum(sárur);í øðrum tumlinum føldi eg ein treka
trekin	treyður, ófúsur,Per bóndi gekk ørindi hennara, ofta trekin, men har var einki annað at gera hjá honum
trekkast	(óregl.)->trætkast
trekking	kv6eí osb.klokkan stendur fyri trekking(er steðgað og má trekkjast upp)
trekkja	1snara (e-m) við handfangi, vinda 2(5),nú trekti hon klokkuna;trekkja urið upp2súgva úr e-m(t.d.vág úr sári),legg plástur á, tí tað trekkir so væl3(tannl.)taka út,trekkja út eina tonn4gjósa,her trekkir
trekkur1	skarn (2), mannatrekkur
trekkur2	gjóstur(t.d.um vindeyga)
trekleiki	tað at vera trekur, treki (1), forðan
trekliga	ikki væl, trekt, treyðugt, stríggið,maskinan gongur trekliga;tað gongur trekliga(striltið)
treklyndur	tvørlyndur
trekt	(stb.)trakt;sms. t.d.lýsi-
trektsoppur	(plfr.)slekt av soppi (2)(Clitocybe),grábrúnur trektsoppur(C. vibecina)
trekur	1ringur at fáa í rørsluel.gongd, sum gongurel.virkar illa, treyður, seinvirkin,motorurin er trekur at fáa í gongd;fiskaprísurin er lágur, og sølan er trek2stirvin, stivaligur (1), seinførur (3),armarnir vóru trekir av at sita allan dagin við stongini3treyður, óvilligur,hann var trekur til og bar seg leingi undan;hann var trekur at fara;hon var eitt sindur trek at svara;hjtrekttrekliga,hjá summum gekk heldur trekt í fyrstuni;tað gongur trekt
tremur	sítrom
trengri	avtrongur
trengstur	avtrongur
trepi	1kantur, bakki,hann fekk træið upp í trepan á steininum;byrgja ánna heilt upp á trepan2gátt,í kvøld fer einki konufólk um trepan(út fyri dyr);ikki inn/út um trepan;sms. t.d.brúgvar-,dura-,eggjar-
trepin	(stb.,sj.)(um plagg)trongur, pertin,tað er trepið at fara í
treppa	(í landslag)pallur (2), hamarspallur, skúti (2)(havt sum ýti),tað skuldi ein treppa komið út í Grímsfjalli
treskikona	kona ið treskir korn
treskilag	(gl.)arbeiðslag tá ið treskt verður(so at ikki allar sláa í senn),tú mátti hava lag at treskja við trænum, tá ið ein fer niður, fer onnur upp o.s.fr.
treskitræ	amboð úr træ til at treskja korn við
treskiverk	útbúnaður til at treskja korn við
treskivøllur	(bíbl.)pláss har ið treskt varð
treskja1	1treskitræ2gólvel.lemmur (4) at treskja á, fjalatreskja3nøgd treskt í senn,so hvørt ein treskjan var liðug og sópað yvir í eitt hornið, varð tikið niður av aftur sorninum;sms. t.d.skurð-,sornkera-
treskja2	1berja við treskitræel.í treskiverki,treskja korn2noyða seg at eta, noyða mat niður í seg,sita og treskja
tretivti	raðtal av tretivu, nummar tretivu, tríatiundi
tretivu	tríati
trettan	talið 13, í rómv. tølum XIII, xiii
trettanda	trettandi dagur eftir jóladag, 6. januar(epiphania),trettandi 2,á trettandu;halda trettandu(hátíðarhalda);á gomlu trettandu18. januar(eftir gl. álmanakka)
trettandaaftan	dagurin fyri trettanda
trettandabygd	bygd har ið dansað varð á trettanda;sbr.jólabygd,kyndilsmessubygd,nýggjársbygd
trettandadagur	trettanda
trettandakvøld	trettandadags kvøld (6. januar)
trettandanátt	náttin fyri trettanda
trettandatrøll	plagg farið varð undir at binda fyri jól men ikki liðugt trettandadag(Varð. 12121);sbr.jólatrøll,nýggjárstrøll,tjúgundatrøll
trettandi1	raðtal av trettan, nummar trettan,trettandi dagur jólatrettandadagur
trettandi2	trettanda
trettandu-	trettanda-
trevið	(stb.,sj.)trekt, striltið,í fyrstuni gekk trevið
trevil	lítið vánaligt klædnaplagg, ál av klæði, spjørr (1),eftir gomlum siði svav hann uttan trevil á kroppinum;tað var ikki trevilel.trevilin turrur á kroppinum(klæðini rennvát);ikki hava trevilin at fjala seg við (el.upp á kroppin)einki eiga at lata seg í;(tilt.)tráður lívir trevli(um illa slitin klæði);sms. t.d.klædna-
trevja1	drevja 1
trevja2	drevja 2,trevja hvonn
trevjarót	(plfr.)rót við øllum rótgreinum at kalla javntjúkkum
trevjumikil	við nógvari trevju,trevjumikil kostur
trevsa1	1leysur tráður í flosnaðumel.travnaðum plaggi, frynsur2trevja 13armur (2) á høgguslokki;sms. t.d.hár-
trevsa2	fáa at flosna, tæga sundur,trevsa hvonn(trevja);hømiliurnar styttast meir og meir og trevsast upp fyri endan
trevsali	kloddafyl (3), flókatrøll (2)
trevsi	trevsa,trevsarnir, sum liggja uttast við, verða tiknir burtur
trevsusoppur	(plfr.)slekt av soppi (2)(Inocybe),legggrønur trevsusoppur(I. calamistrata),brúngulur trevsusoppur(I. praetervisa),ljósur trevsusoppur(I. soluta),ríputur trevsusoppur(I. grammata)
trevsutur	1við trevsum (1), flísutur, uppraktur2kloddutur
treyð	kví osb.við treyð og neyðvið neyð og deyð, so dánt
treyða	(Suð.)1trýsta, trygda, stappa,treyða niður í leypin2í osb.treyða niður í segnoyða, kroysta (3),hann treyðaði matin niður í seg, tó at hann hevði ilt fyri hjartanum
treyðalóg	(alisfr.)lóg treyða,sítreyði
treyðan	treyðugt
treyði	(alisfr.)eginleikin hjá lutum at vilja halda óbroytta rørsluel.stillstøðu uttan at onnur megi er uppií(inertia),lóg treyðalóg (2) um treyða(sbrt. Newton)
treyðmjólkað	treyðmjólkin,treyðmjólkað kúgv
treyðmjólkin	treyð at mjólka, seigmjólkin,móts.bleytmjólkin,kúgvin er so treyðmjólkin
treyðugt	1nóg illa, knappliga (2), neyvan 1, valla 4, fyrr enn ikki,treyðugt soum enn so var, tó so,treyðugt so, onkur regndagur er;tað kom, treyðugt so, altíð okkurt, sum var nevberandi oman eftir ánni(í hvussu er)2ikki við gleði, ógjarna,hann vildi treyðugt lata nakað frá sær
treyðum	1neyvan 1, valla 4,treyðum er tað so2í osb.treyðum sotreyðugt so,treyðum er tað so, at vit standa undir einum glasi
treyður	ið treyðugt vil e-t, trekur, óvilligur, ófúsur,eg geri tað treyður;teir vóru ikki treyðir at lána øðrum, tá ið á stóð;treyðir hava teir gomlu verið at latið gamlar siðir falla;skilur tú ikki, at eg eri treyður at rýma;(kvæð.)tó at hon verður tess treyð;(kvæð.)við kristni tøkum vær treyðir;hurðin er treyð(trek);lykilin gongur so treyður;hundbit er treytt at fáa frískt(grør seint aftur)
treylari	1lastbilur við (stórum) vogni festum afturúr2vognur við last(opinel.lokaður)til at festa í (last)bil, kerra (2)[en.trailer]
