u	(málfr.)sjálvljóðsstavur (nevndur[u:])
ummælisskjal	(stjm.)skjal við stuttum samandráttum av innkomnum ummælum saman við viðmerkingum hjá landsstýrismanninum(eftir at lógaruppskot hevur verið sent til hoyringar),tá ið nógv ummæli eru innkomin, er eitt ummælisskjal eitt hent amboð, sum gevur eitt greitt yvirlit yvir tey ummælini, sum eru komin inn
umnevndur	(áður) umrøddur
umorða	orða á annan hátt, broyta orðingina (á e-m)
umráð	1(veðurfr.)(byrjandi) skifti í veðrinum, ættarskifti, veðurskifti,umráð í veðrinum (ættini, vindinum);tað er umráð í luftini;sbr.umráðaveður;(flutt m.)broyting, umskifti;tað størsta umráð í lívi mínum;eitt umráð í bygdarmyndini2ráðagerð (1)3(sj.)umráðing
umráða	s:umráða seghugsa seg um,fáa umrátt seg
umráðadagur	(veðurfr.)(lognar)dagur tá ið umráð (1) er í veðrinum, tvørættardagur
umráðandi	sum hevur stóran týdning, týðandi, týdningarmikil,tað er umráðandi at sleppa av við fiskin, meðan hann er feskur
umráðatíð	rembingartíð, broytingartíð
umráðaveður	veður sum umráð (1) er íel.sum skjótt kann skifta, ivaveður,frálíkt veður, men umráðaveður
umráði	øki, umveldi
umráðing	1tað at umráða seg, umhugsan2umráð (1),tað er umráðing í veðrinum(ger seg til annað veðurlag)
umráðingartíð	tíð at umráða seg í
umreisa	(gl.)ferð hjá prestiel.sýslumanni um umdømi (1) sítt,fýra ella seks ferðir kom prestur umreisu til tær ymsu kirkjurnar í kallinum;fútin var á umreisu
umrenda	(stb.)umrinda (1),tey umrendaðu ikki deyðan;hann umrendar ikki skansan;eg umrendi ikki at fáa krím
umrinda	1sleppa undan,hann umrindar ikki at fara í skansan2svitast,tað umrindaði ikki, at hann fekk brennivín;tað umrindaðist ikki
umringa	kringseta 2(1)
umripiligur	ið ger nógv um seg, rokmikil
umripingarsamur	umripiligur
umrivin	(um saltfisk)síríva um
umríving	tað at ríva um
umrøða1	tað at røða um, umtala, orðaskifti, viðgerð(av e-m máli 1(6)),taka e-t til umrøðu;leggja seg út í umrøðuna
umrøða2	røða um, tala um, tosa um,tey umrøddu ætlanina
umrøðuevni	evni ið er til umrøðu, umtalsevni,umrøðuevnið var skaldskapur
umsagnarliður	(málfr.)setningsliður ið er knýttur at og lýsir umsøgnel.ávirki í setningi(samsvarsbending í kyni, tali og falli),umsagnarliður til grundlið er "stórur" í "maðurin er stórur";umsagnarliður til ávirki er "býttling" í "hann kallaði sonin býttling"[da.prædikativ]
umseta	týða 1,umsettar bøkur
umsetari	ein ið umsetur (bøkuro.tíl.), týðari
umseting	1tað at umseta, týðing (1)2e-t ið er umsett, umsett verk, týðing (2)
umseyma	(handarb.)seyma um
umsita	1fara um, halda (13), røkja,húsini vóru væl umsitin;synd var at siga, at jørðin var væl umsitin2sita fyri, hava í hondumel.um hendur,hesi embæti kunnu verða umsitin av føroyingum
umsitari	ein ið umsitur (2)
umsiting	1tað at hava um hendur, tað at umsita(t.d. hjá hinum almenna),fyrisiting, stýring, leiðsla,fyritøkan varð sett undir umsiting(misti ræðið í egnum fíggjarmálum);tekniska umsitingin2tað at umsita (1), røkt (1)
umsitingarligur	viðv. umsiting
umsíðir	at enda, endiliga (1), loksins
umsjón	tað at síggja um (e-t), eftirlit, eftiransan,hava umsjón við e-m;vera undir umsjón (av e-m);sms. t.d.bruna-,yvir-
umsjónarferð	1ferð hjá umsjónarmanni(at kanna tað ið hann hevur umsjón við),tá gjørdi amtmaðurin eina umsjónarferð til Føroya2umreisa,biskupur var á umsjónarferð
umsjónarmaður	1maður ið hevur umsjón við e-m(bygningi, stovni (3) o.tíl.)2(bíbl.)tilsjónarmaður3(átr.)hirði (2) í samkomu
umsjónarráð	ráð (2) ið hevur umsjón við e-m(at alt fer regluliga fram),umsjónarráð sparikassans
umskapa	geva annað skap, broyta, skapa um
umskapan	tað at skapa um, broyting, umgerð (2)
umskaping	umskapan
umskarast	(um fjalir, plátur o.tíl.)liggja kant yvir kant, skarast um(í staðin fyri kant í kant),jarnpláturnar umskaraðust so lítið, at tað lak um tær;umskaraður
umskaring	1tað at umskarast2stað har ið tvey umskarast
umskera	1skera burtur av forhúðini á,øll nýfødd dreingjabørn verða umskorin hjá rætttrúnum jødum2(um gentubørn)skera burtur av skøpunum,at umskera gentubørn er vanligt í summum londum í Afrika
umskering	tað at umskera
umskiftan	umskifti,ein knapplig umskiftan
umskifti	broyting, umgerð (2),umskifti frá ísfiskaveiðu til saltfiskaveiðu
umskiftiligur	ið (lættliga) broytist, broytiligur
umskifting	umskifti,(bíbl.)lívið við sínum dagligu umskiftingum
umskiftur	1latin í býti, umbýttur,Gerðið var seinni umskift við Kumlamørk2broyttur,maður hennara var, sum var hann umskiftur;nú var alt umskift(vorðið heilt øðrvísi)
umskipa	1broyta,nógv er umskipað(vorðið øðrvísi);hann vildi umskipa alt og hava tað øðrvísi2flyta vørurel.farm úr einum skipi í annaðel.í annað flutningsfar
umskipan	1broyting2tað at umskipa (2)
umskiping	umskipan
umskipla	gera øðrvísi, umskipa (1), broyta,viðurskiftini kunnu vit ikki umskipla nógv;sum alt var umskiplað!
umskipling	tað at umskiplast,samfelagsligar umskiplingar
umskotin	lh tát26(stb.)í osb.við umskotnum eygumvið uppvendum eygum;eyguni stóðu umskotin í høvdinum á honum
umskriva	1(um tekst)geva annað orðaljóðel.form, skriva í øðrum formi,umskriva alla søguna;umskriva eina skaldsøgu til sjónleik2(støddfr.)umskrivaður kringur um ein tríhyrningkringur 1 ið ber við spíssarnar í einum tríhyrningi
umskriving	tað at umskrivael.broyta orðaljóðið á (e-m)
umskurður	umskering
umskúla	útbúgva (e-n) til annað yrki(serst. arbeiðsleysan)
umslag	1(stívt) pappír at leggja um skjøl, bøkuro.tíl., perma2(lækn.)umvav,heitt umslag
umsorg	umsorgan
umsorgan	1tað at røkta og vera um tey(ið ein hevur uttan um seg),hava umsorgan fyri (e-m)røkja, ansa eftir, síggja til;stóra umsorgan hevur hon havt fyri okkum og børnum okkara;stóra umsorgan vístu tey honum2(sj.)forsorg,sosial umsorgan
umsorgarfullur	ið sýnir umsorgan (fyri øðrum), ið ger e-t væl og virðiliga, umhyggin,hesin umsorgarfulli seyðamaður
umsoymdur	(bát.)soymdur um aftur, nýsoymdur,báturin er umsoymdur,sísoyma
umsókn	1tað at søkja skrivliga um2skriv har ið søkt verður, bønarbræv,senda umsókn inn um okkurt;handskrivað umsókn
umsóknarblað	serligt blað (2) til at skriva umsókn á
umsóknarbræv	skrivlig umsókn
umsóknarmaður	(sj.)umsøkjari
umstakking	tað at stakka um(saltfisk)
umstilling	1tað at stilla um2útbúnaðurt.d.á telefonstøð ið fær samband millum telefonfelagar
umstýring	(bát.,tøkni)útbúnaður til at fáa far at bakkael.sigla fram
umstøður	(ytri) kor, (ávís) viðurskifti, kringumstøður(ið hava týdning í vissum sambandi),í góðum/ringum umstøðum;umstøðurnar at íðka ítrótt eru góðar;kanna umstøðurnar
umsøgn	(málfr.)setningsliður við sagnorðiel.sagnorðum(sigur frá tí ið gjørt verður el. hendir í setninginum),sagnliður,umsøgnin í setninginum "maðurin málar bátin" er "málar"
umsøkjari	ein ið søkir um e-t, umsóknarmaður,tveir umsøkjarar vóru til starvið
umtak	hugtak
umtal	umtala,vera til umtals
umtala1	tað at umtala, umrøða,filmurin fekk góða umtalu
umtala2	tala um, røða um, tosa um,umtala e-n við virðing
umtalsevni	evni (3) ið umtalað verður, tað ið umrøtt verður, umrøðuevni(t.d. á fundi el. millum fólk),umtalsevnið á fundinum var skúlaskapur
umtonktur	snarráðin
umtosa	(gl.)umrøða 2, umtala 2,oddamenninir skulu umtosast rósandi
umtóktur	avhildin, dámdur, umhildin (1),væl/illa umtóktur;hon var nógv umtókt
umvaksin	gjørdur størri,sívaksa
umval	nýtt val í staðin fyri ógilt val
umvarðandi	sera umráðandi, týðandi, týdningarmikil,tey mest umvarðandi amboðini;tað er sera umvarðandi
umvarp	stórt omanlop ið hevur broytt lendið nógv,har er eitt slíkt umvarp komið
umvav	(lækn.)umbinding (2)
umvavdur	ið vavt er um, umbundin,við umvavdum enni,sívevja
umvegis	ikki beinleiðis, ikki beint fram, óbeinleiðis,bæði beinleiðis og umvegis;tey fingu tað at vita umvegis
umvegur	vegur ið ikki liggur beina leið á mál,ganga umveg
umveldi	land-, sjó-el.loftøki sum ríki hevur fullan ræðisrætt á
umvenda	fáa (e-n) til at skifta trúgv, uppfatanel.hugsan,umvenda heidningar til kristindómin;umvenda segel.umvendastskifta trúgv, gerast trúgvandi;har umvendist hann;hann er vorðin umvendur(komin til trúgv)
umvending	tað at venda um til aðra trúgv, meiningo.tíl.,umvending heidninga til kristindómin
umvendingardópur	(bíbl.)dópur í sambandi við umvending,Jóhannes doyparin prædikaði umvendingardóp til fyrigevingar syndanna
umvera	(tlm.)vera fyri uttan
umverð	(sj.)umheimur
umvirdur	1ið hevur stórt virði, virðismikil, mikilsverdur,umvirdar vørur2viðurkendur, kendur, hámettur,umvirdur málfrøðingur
umvæla	væla um,umvæla bátar
umvælari	ein ið umvælir
umvæli	vandni, nærlagni, umhugsan(Sv)
umvæling	tað at umvæla, uppábót
umvøling	(sj.)umvæling
umyrking	fríel.leyslig týðing av eini yrking, enduryrking,tað eru meira umyrkingar enn umsetingar
undan	1(um rørsluel.flyting av staðnum har ið fyrisetinginundirvið hvnf merkir flyting til staðið og við hvmf dvøl á staðnum)skipini sigla heim undan Íslandi;hann kreyp fram undan borðinum;undan fótunum á e-m;sópa undan neytumreinsa flórin2frá undirsíðuni á (e-m),turka burtur undan skónum;fáa mjólk undan kúnni3(um samband, uppruna o.tíl.)undan eini kúgv, ryssu, ær(sum kúgv, ryssa, ær hevur kálvað/folað/lembt)4til sjóndar(frá støðu aftan fyri e-t)báturin kom undan nesinum;koma undan sýnini(fram um sýnina);koma undan kavi5somu leið sum, sama veg sum, við (3),móts.ímóti,undan vindinumí somu ætt sum vindurin blæsur;venda bátinum undan veðrinum;ganga undan veðrinumvið vindinum í bakið;undan ljósinum;undan sólini(burtur frá)6omaneftir,undan brekku(ni)7(um tíð, røð o.tíl. áðrenn e-t hendir el. er)frammanundan, fyri (12),undan jólum;ár undan áriár eftir ár;hann var undan mær;hvør undan øðrumein fyri og annar eftir(tá ið fleiri eru í røð hvør eftir annan)hj8í somu ætt sum ein sjálvur fer, við vindinum við sær, við,móts.ímóti,vindurin er undan;vit høvdu (el.fingu) undan allan vegin(undanvind);sbr.bera eftir9upp úrt.d.vatniel.sjógvi,móts.undir,skerið er undan á fjøru;høvdið var undan10(fs/hj saman við sagnorði)t.d.arbeiða undan;bera segel.(berast) undan;bregða sær undan;draga undan;fara undan (e-m);flýggja undan (e-m);ganga undan (e-m);hava (seg) undan;hóra undan;koma undan;leggja undan;renna undan (e-m);skáka sær undan;springa undan;sleppa undan;taka undan(sísagnorð)
undanbering	umbering, undanførsla,eg taki ikki við undanberingum longur
undanbersla	undanbering,viðganga synd sína uttan undanberslu og viðburðir
undanbrekka	brekka sum gingið verður oman ígjøgnum,móts.mótbrekka,tá ið komið var á skarðið, var alt undanbrekka(undan brekku)
undanburður	(sjóm.)1tað at streymurin ber uppundir, viðrák2(um før)tað at víkja fráel.reka av leið(av streymi, vindi o.tíl.)3skeivleiki á kumpass(t.d. av sigulmagnsávirkan í skipinum)4(stb.)tað at mæla frá,kona mín hevði undanburð í fyrstuni(var afturhaldandi)
undanbært	11í osb.tað er undanbærtvindurin liggur aftaná2(um hart rák)tað er undanbærtvindur og streymur bera sama vegel.tá ið streymur fer undan ættini,tað var undanbært, og snørini stóðu á glæ2undan brekku,gott er at ganga har, ið undanbært er3(um stað)í lívd,hetta stykkið er undanbært
undandrag	1tað at vera tann fyrriel.fremri,Brandur og Sjóvarmoyggin kappaðust, men tó hevði Brandur altíð gott undandrag;lat nú hin gamla fáa undandragið(sleppa eitt sindur framum)2tann bestiel.dúgligasti,hann er undandragið í slagnum
undandráttur	(sj.)1tað at draga undan (1)el.dragast undan2skái(áðrenn hann skiftir ætt)3(løgfr.)tað at ogna sær fæ ið ein hevur í hondum fyri annan, fíggjarsvik
undandøttur	1fyriboðan, fyridøttur, ávaring, fyriburður,eg kenni ein undandøtt av vamli;nú kirkjugarður var komin, varð hann hildin at vera sum ein undandøttur fyri kirkjuni2grót og annað sum raplar niður undan berglopi3brúkarhvølpur(eitt sindur ið leggur upp undan tarabrúkini),tað man ikki vera brúkin, tað man vera ein undandøttur
undanfari	fyriboðan(um tað ið koma skal),Dekameron verður hildin at vera undanfari fyri modernaða stuttsøgulist
undanfarin	1ið farin er aftur um bak, ið áður hevur verið,undanfarin ár;í undanfarnum árum2farin (framman)undan;sbr.fara undan
undanfírin	ið hevur lyndi at víkja, ið fer undan(um e-t er ímóti),undanførin, undanførligur
undanfírur	(sj.)ein ið ikki orkarel.torir at standa ímótiel.vinna á forðingum
undanførin	undanfírin,undanførin er hann, ið fer undan, bert okkurt er ímóti
undanførligur	undanfírin,hon var hvørvin og undanførlig;tað er einki smoykið við honum longur, einki undanførligt
undanførsla	1umbering fyri at sleppa frá e-m, (vánalig) umbering, undanbering, uttanumtos,øll eru full av umberingum ella undanførslum;koma við undanførslum;tað eru tær beru undanførslur2(gl.)reinsan fyri skuldseting, roynd at prógva at ein er ósekur3(gl.)tað at hopa undan mótburðiel.forðingum
undangangsmaður	(stb.,bjarg.)undangongumaður (2)
undangingin	ið einki er eftir avel.ið uppi er, ið er farin at tróta,síganga undan
undangjald	gjald goldið frammanundan
undangjørdur	fingin frá hondini, liðugur,váringin var undangjørd
undangonga	tað at sigla undan vindi, tað at hava undan í sigling,hava beina undangongu;báturin er góður í undangongu(er góður undan);(flutt m.)hann hevði onga undangongu í lívinum(hevði einans mótburð)
undangongubyrur	(góður) byrur
undangongufólk	fólk ið gongur á odda, slóðbrótari(t.d. í e-m arbeiði)
undangonguland	land ið er á odda í e-m,undangonguland í fiskiídnaði
undangongumaður	1maður ið gongur undan(t.d. í e-m arbeiði),oddamaður (1), fyrisprákari2(bjarg.)formaður í bjargagongu (1), undangangsmaður
undangonguseyður	(stb.)oddaseyður
undangonguvindur	undanvindur í sigling
undangoymdur	burturgoymdur, hálvfjaldur,við undangoymdum smíli
undangruni	gruni (frammanundan),hava ein undangruna um okkurt;hann fekk rætt í undangruna sínum
undanhald	tað at haldael.hopa undan
undankanning	fyribils kanning gjørd sum ein roynd undan aðrari (størri) kanning(til at savna royndir, royna nýggj háttaløgo.s.fr.)
undankapping	(ítr.)kapping sum gevur vinnara rætt til at vera við í framhaldskapping, forkapping,dystur í undankappingini til heimsmeistaraskap í fótbólti[da.kvalifikationsturnering]
undankoma	(sj.)bjarging,(bíbl.)eingin undankoma verður fyri oddamenn fylgisins;sbr.koma undan
undankomin	1komin til sjóndar,bløðkurnar eru undankomnar2risin,enn er sólin ikki undankomin3vorðin vaksin og sjálvbjargin, tilkomin,børnini vóru undankomin,síkoma(st) undan
undanlagstur	lh tát21:árin var undanløgst,síleggjast undan
undanleggiligur	undanleggin
undanleggin	(sj.)1ið skjótt missir mótið, mótfallin2eftirlátligur
undanmaður	fólk sum fyrr var ít.d.sama starviel.embæti sum annar nú hevur, fyrimaður,undanmaður hansara í stjórasessinum;sbr.eftirmaður
undannevndur	ið nevndur er frammanundan, fyrrnevndur, áðurnevndur
undanrenning	1tað at renna undan (e-m)2(Suð.)nógv ferð undan,vit fingu eina undanrenning niður av aldubarminum
undanrýming	tað at rýma undan, flótti
undansending	útvarps-el.sjónvarpssending sum byrjan til sendingina sum kemur beint eftir
undansetningur	(málfr.,gl.)eykasetningur undan høvuðssetningi
undanskurður	1tunt av tvøsti skorið upp í spik,teir royndu altíð at ansa væl eftir, at væl av undanskurði var uppi í spikinum2framhaldssøgael.-grein í blaði, kjallaragrein,søgan stendur sum undanskurður í Tingakrossi
undansleipin	1hálur og brattur,tað er so undansleipið á hellunum á Vágseiði;tey vóru bangin fyri skalvalopi, tí har var so undansleipið2við ráki undan ættini,tað verður so undansleipið, snørini fara upp á flot(bæði rák og vindur sama veg)
undansloppin	1komin um tað ringasta, sloppin,tá ið seglið var komið á, var undansloppið;tey (t.e.foreldrini) eru undansloppin(børnini eru tilkomin og klára seg sjálv)2sloppin til rýmingar,hin undanslopni revurin,sísleppa undan
undansnúður	snúður íkomin í spinning, fyrisnúður, spinningarsnúður,móts.eftirsnúður
undansólt	(stb.)sum sólin kemur ikki at,har sum sólin ikki kemur at, er undansólt
undanstaddur	l22(lækn.)undanstaddur fitilókurfitilókur ið er lagstur fyri lívmóðurmunnan(placenta praevia)
undanstandandi	ið stendur frammanfyri(í teksti)
undanstig	stig (4) framman undan øðrum stigi í tilgongdel.menning
undanstreymur	viðrák
undanstøkkingur	1lítið vánaligt lamb, mistrivningur, píningur, sannsaki2(sj.)veðurlamb sum hevur gjørt seg sjálvt upp3ein ið víkur undan(tá ið á stendur),ómenni4ein ið roynist verri enn hinir í ættini
undantak	frávik frá tí vanliga, avbrigdi frá reglu, e-t ið ikki verður roknað uppí,undantak frá reglunum;henda lóg ger undantak fyri føroyingar
undantaksføri	føri (1) uttan fyri tað vanliga, sjáldsamt føri, undantak,bert í undantaksføri kann hetta verða gjørt
undantaksloyvi	loyvi (1) giviðel.fingið sum undantak(frá galdandi reglu)
undantaksmaður	maður ið skarar framúr, úrmælingur
undantaksstandur	undantaksstøða
undantaksstøða	serstøk rættarstøða tá ið vanligar lógir verða settar úr gildi(t.d. í uppreistri),forsetin setti landið í undantaksstøðu
undantikin	ikki uppíroknaður, ikki viðtaldur, leysur við,vinningurin er undantikin inntøkuskatti
undantøka	(gl.)undantak
undanveltur	liðugt veltur,nú er undanvelt hjá honum(øll trøðin velt)
undanvindur	vindur aftaná(t.e. sama veg sum ein fer),byrur
undarligur	ið er øðrvísi, ikki natúrligurel.vanligur, løgin, merkiligur,Ábal varð hildin at vera undarligur;hetta tókti teimum undarligt;tað er ikki undarligt ítað er ikki løgið;hj-liga,verða undarliga viðverða illa við, gerast hámur
undir	1(um stað, lut o.tíl. ið er lægri enn el. niðanfyri e-t annað í loddrættari linju)kettan fór undir borðið;kettan liggur undir borðinum;syfta e-n undir seg;er nógv undir?(um veltu)er væl vaksið?;nógv er undirnógvur fiskur er at fáa;undir!(róp sum ávaring um at taka seg til vikst.d.um steinur fer á rull í haganumel.í lossing)2á undirsíðuni á,hava ilt undir ilini;hava runu undir skónum;báturin hevur jarn undir kjølinum3í vatn(i)el.sjógv(i), undir kav(i)el.fjaldur í vatni,hann koyrdi høvdið undir;hann fór undir allur sum hann var4nær niðara parti á e-m høgum,teir sigldu inn undir land;teir lógu undir landi;slíta upp undir land;skipið lá undir oynni;undir Íslandi;undir heygnum;undir fjallinum;(uppi) undir húsunum5tætt við, beint við síðuna av,sita undir liðini á e-m6aftur undiraftur um, aftan fyri,hann fór aftur undir ein stein;hann sat aftur undir heygnum7vardurel.fjaldur av,undir følskum navni8á lægri stigi (enn), lægri enn, minni enn(t.d. um virði),undir eina millión9í hondum á, sum hoyrir til,málið lá undir løgmálaráðnum;hava nógv fólk undir sær;undir norsku krúnuni;leggja undir seg;standa undir e-m10(um tíð)fram undirfram ímóti,fram undir jól11meðan e-t varir, samstundis við,undir krígnumhj12fjaldur niðri í (e-m)el.aftan fyri (e-t),móts.undan,kópurin er undir;sólin er farin undir;bøurin stendur undir í vatni13(fs/hj saman við sagnorði)t.d.búgva undir;díkja undir;ganga undir;geva seg undir;koma undir;liggja undir;rísa undir;røra undir;sita undir;skumpa undir;spæla undir;taka undir(sísagnorð);sms. t.d.aftur-,eystur-,fram-,inn(an)-,niðri-,niður-,oman-,upp(i)-,úti-
undirbit	tað at framtenn í undirmunni koma fram um framtenn í yvirmunni,móts.yvirbit,hava undirbit
undirbjóðing	tað at bjóða undir(t.d.vøru fyri lægri prís enn onnur)
undirborin	ovbyrjaður,lærarin úti á bygdunum var ofta undirborin við almenn størv
undirbólkur	bólkur undir størri bólki, undirdeild
undirbrotligheit	tað at vera undirbrotligur
undirbrotligur	ið heldur lítið um seg sjálvan, eyðmjúkur, lítillátin (1),so undirbrotligir vóru føroyingar, at amtmaðurin kundi gera tað, honum lysti;(sj.)vera undirbrotligur e-m
undirbrotni	(sj.)tað at vera undirbrotligur
undirbrøkur	undirbuksur
undirbuksur	buksur at hava innan undir yvirbuksum,føroyskar undirbuksur(ullintar langar)
undirbummur	bummur í neðra á vevi
undirbyrjaður	undirdíktur,ovnurin stóð undirbyrjaður av øsku og tómum pappírskistlum
undirdeild	deild undir størri deild
undirdíktur	oystur undir, undiroystur, undirgrýttur,undirdíktur í ókvæmisorðum,sídíkja undir
undirdjúp	(bíbl.)undirdýpi
undirdongdur	undirdíktur,sídeingja
undirdýna	(í song)dýna til at hava undir sær(undir lakinum),móts.yvirdýna
undirdýpi	(bíbl.)avdýpi, heljardýpi
undirfarin	farin afturundirel.úr eygsjón,sífara undir
undirfetil	(í reiðing)fetil ið liggur undir(fetlinum á hinum leypinum),undirfetil skal liggja um yvirklyvbera;sbr.yvirfetil
undirflái	flái (1) í sjónum(ið skráar út frá landi),millum flesina og ein undirfláa við landið
undirfløddur	farin undir á flóð,sandurin er undirfløddur,sífløða
undirfólk	1tænastufólk, tegnar2(skip.)matrósar, menn (4)
undirføddur	(lækn.,sj.)ið hevur fingið ov lítlanel.vánaligan mat, við megurð, rakføddur
undirgangur	tað at ganga til grundar, glatan,(bíbl.)breiður er vegurin, ið førir til undirgangs
undirger	(evnafr.)ølger ið legst á botn;sbr.yvirger
undirgeraður	(evnafr.)geraður við undirger
undirgeving	tað at geva seg treytaleyst undir e-n, tað at vera undirgivin,hennara stórlátna sinni bardist móti undirgeving
undirgingin	1farin úr eygsjónel.afturundir,nú eru húsini undirgingin2avvaksin, avtakin,leiðini vóru undirgingin í loki;jørðin lá undirgingin í jarðarsipu og mosa;sbr.mosagingin3(gl.)týndur, glataður
undirgivin	í valdi e-s, treytaleyst lýðin, undirbrotligur,kvinnan eigur at vera manninum undirgivin
undirgivni	tað at vera undirgivin, eyðmýkt, lítillæti,í allari undirgivni
undirgjørdur	útgjørdur, fyribúgvin, tilbúgvin,væl/illa undirgjørdurvæl/illa fyri,handilin var illa undirgjørdur(hevði lítið av vøru)
undirgonga	undirgangur
undirgongd	undirgangur
undirgrein	1viðmerking undir teksti niðast á síðu2undirbólkur, undirdeild
undirgrind	(húsasm.)undirsyllar og undirsløg;sbr.yvirgrind
undirgrivin	grivin undir heilt, undirkleksaður,undirgrivin í arbeiði;sbr.grava
undirgrógvin	avvaksin
undirgrund	1tað sum er undir jørð,olja verður vunnin úr undirgrundini2støði, undirstøði,undirgrundin undir skaldskapi hansara;undirgrundin undir einum lærdum skúla
undirgrundarbreyt	jarnbreyt sum (partvíst) er í tunlum undir jørð(serst. í stórbýum)
undirgrundarrørsla	ólóglig og loynilig (politisk) rørsla ið hevur til endamáls at arbeiða ímóti tí skipaða samfelagnum(kannt.d.virka fyri at fella lógliga valda stjórn)
undirgrýttur	undirdíktur,sígrýta 2
undirgrøv	1(í reinaveltu)grøv inni við bakkanel.reinina2botnurin á torvgrøv(eis. afturløgd torvgrøv)
undirhagi	niðari (slætti) parturin av haga(t.d. oman móti bøgørðunum),um summarið liggur seyðurin ovarlaga á haganum, men undan illveðri leitar hann sær oman á undirhagan;í kavaroki koma harurnar niður á undirhagan;sbr.ervahagi,yvirhagi
undirhald	skemtan
undirhalda	vera (øðrum) til teitis, skemta,hann undirhelt gestunum
undirhár	stutt hár í nakkanum (á fólki)
undirheimur	deyðaríki, helheimur
undirhella	1long flá hella 1(2) sum stingur út í sjógvin(innari partur yvir sjóvarmálanum),ein flá undirhella2hella 1(2) undir bergi(undan á fjøru),undirhellan undir Kollinum
undirhelling	(jarðfr.)meginlandsbotnur undir sjónum millum hellingina og djúphavsbotnin
undirhiti	hiti í neðra í bakarovni
undirhúð	(lívfr.)innasta jaður í húðini(undir holdroðnum);sbr.rova 1
undirhús	1(stjm.)niðara deild í bretska tinginum(fólkavald);sbr.yvirhús2(ným.)tilhald hjá (gomlum) monnum(til dagdvølju),undirhúsið í Vágsbotni
undirhøka	bjølgur av fiti undir høkuni, silpa (3)
undirkarði	niðari karðin,móts.yvirkarði
undirkassi	niðari kassi á mylnu, svín (3), mylnusvín
undirkast	e-t ið verður etið niður undir máltíð, niðurundirkast, niðurundirskot,nú fært tú tær undirkast fyri morgunmatin(át turt tvøst)
undirkavaður	undir í kava,seyðurin var undirkavaður
undirkjaftur	niðari partur á kjafti,móts.yvirkjaftur,tenninar í undirkjaftinum;húkurin stóð í undirkjaftinum(á fiskinum)
undirkjóli	tunnur kjóli at hava innan undir øðrum kjóla
undirklakaður	við nógvum klaka á, avklakaður,í myrkrinum komu teir aftur, undirklakaðir av kava
undirkleksaður	ovbyrjaður, ovklyvjaður, undirklektur,hann kom so undirkleksaður av Tvøroyri við einum kagga
undirklektur	undirkleksaður
undirklokka	(gl.)slag av (ullintum) undirkjólael.-skjúrti
undirklyvberi	tann parturin av klyvbera ið liggur inn undir hin(í umskaringini);sbr.yvirklyvberi
undirklæðavátur	vátur um undirklæðini
undirklæði(r)	klæði at hava næst kroppinum(innan undir øðrum klæðum)
undirkola	niðara skál á kolu,móts.yvirkola,undirkolan varð krøkt upp á yvirkoluna
undirkongur	(bíbl.)kongur undir øðrum kongi
undirkoyggja	(skip.)koyggja undir aðrari, niðarael.niðasta koyggja,móts.yvirkoyggja
undirkoyring	staður har ið koyrast kann undir e-tt.d.brúgv
undirkæti	stillført kæti
undirkøla	(alisfr.)(um løg)køla niður um frostmarkið uttan at frystir,undirkøla løg
undirlag	1e-t at leggja undir e-t annað,hon legði eitt undirlag á borðið at seta grýtuna á2(flutt m.)grundarlag,ritið er gjørt sum undirlag fyri nakrar røður3(bát.)stykkið á stevninum millum miðstykki og kjøl, draghálsur,barðholið er í undirlagnum
undirlagdur	1við undirløgu í,undirløgd mjólk;undirlagda mjólk kallaðu tey dralva2(um ross)sum týggj eru løgd á,rossið er ikki undirlagt enn3lagdur undir heilt, lokaður,nú er alt undirlagt(allar veitir lagdar undir heilt)
undirleikari	(tónl.)ein ið spælir undir(t.d.aftur við songi),fylgispælari
undirleikur	(tónl.)undirspæl
undirlendi	1fjørael.hella undir bergiel.bakka,tá hann datt úr skortinum, kom hann beint niður á gjónna, tí einki undirlendi var;lítið undirlendi var at koma upp á klettin;ikki meir undirlendi í fjøruni, enn at bátur kann havast um summarið2flatt láglendi, slættlendi(undir fjøllum el. øðrum brattlendi),móts.yvirlendi,fyrr var undirlendið í Kirkjubø rættiliga stórt3lendi iðt.d.hoyggjel.torv verður breitt út á(til turkingar),tað er so vátt undirlendi
undirliður	(málfr.)liðurel.orð ið lýsir annan lið í setninginum (yvirliðin),"sera" er undirliður í orðasambandinum "sera góður"
undirlippa	undirvørr,undirlippan læt á henni
undirlív	1(lívfr.)lívmóðir og kynsgøgn á kvinnu2(gl.)undirplagg at halda longum hosumel.sokkum uppi við, stroppalív, knappalív
undirljós	(á flakavirki)ljós undir skeriborði(til betur at síggja bein o.tíl. í flakinum),skeriborðini skulu hava undirljós
undirlutakensla	kensla av at ein sjálvur nyttarel.dugir minni enn onnur, undirvirðiskensla, minnimanskensla
undirluti	1tað at vera minni menturel.tann minni menti, tap,vera við undirlutan2niðasti partur á e-m
undirlutur	(gl.)undirluti (1),teir vóru við undirlutin
undirlýður	(stb.)ein ið ikki dugir at seta sín vilja ígjøgnum men letur sær alt eftirlíka
undirlýsa	(stb.)undirlýsi
undirlýsi	mjørki í erva og ljóst í neðra
undirløga	1evni (í vinstur) sum fær mjólk at ystast, kveikamagi (2)2(niðr.)ein ið lítið nyttar, ónytta, ómenni
