U,u1	1málljóð2bókstavur
udenretlig,udenretslig	uttanrættar, uttanrættarligur;(løgfr.) u. bødeuttanrættarbót;udenret(s)ligt forliguttanrættarsátt
udenretslig bøde	(løgfr.)uttanrættarbót
udenrigs	uttanríkis, uttanríkis-, uttanlands-;u. skibsfartuttanlandssigling
udenrigsanliggender	uttanríkismál
udenrigsfart	uttanlandssigling, útisiglingar, siglingar úti í londum
udenrigsgård	(flogm.) uttanríkisfarstøð
udenrigshandel	uttanlandshandil, uttanríkishandil, handil við umheimin (útlondel.onnur lond)
udenrigsk	uttanríkis-, uttanlands-
udenrigskorrespondent	uttanríkistíðindafólk
udenrigsminister	uttanríkis(mála)ráðharri
udenrigsministerium	uttanríkis(mála)ráðharrastova, ráðharrastova fyri uttanríkismál
udenrigspolitik	uttanríkispolitikkur
udenrigspolitisk	uttanríkispolitiskur
udenrigsråd	uttanríkisráð (tign hjá summum høgum donskum embætismonnum í uttanríkistænastuni)
udenrigstjeneste	uttanríkistænasta
udenrigsvæsen	uttanríkismál; uttanríkisverk
udenskærs	(sigl.)uttan skerja, uttan fyri skergarðin;sejlads u.sigling fyri uttan skerja
udensogns	uttansóknar-, uttanbíggjar-
udenværk	1(gl.)hús, ið standa uttan um høvuðsbygning2(herm, sø)(lítið) framvirki (verndarvirki, ið stendur framman fyri sjálvan meginskansan)3(fl.m.)umframtlesnaður, frammíhjálesnaður, eykalesnaður (sum ikki hevur so stóran týdning);interessere sig for studietsudenværkerhava áhuga fyri(el.á) útjaðaranum av lesnaðinum
udenøs	uttanoyggjar;de unge mænd må finde sig u.konerteir ungu menninir mugu fara av oynni at finna sær konu
udeoptagelse	(film) útiupptøka, uttanduraupptøka
uderum	garðstova, sólstova
udestående1	1træta, ósemja, illstøða;have et u. med énhava gamalt klandur, sum má javnast, við ein; hava eitt, ið ein vil gera upp við ein; hava eitt inni við ein2útistøða
udestående2	sum ein eigur á, sum er ógoldin, ógoldin (peningur), útistandandi;u. fordringerpeningur, ið er ógoldin(el.stendur)
udetillæg	útiviðbót, burturviðbót
udetøj	útiklæðir, uttanduraklæðir
udfald	1(herm.)útrás, álop, árás, áløga;gøre et u. fraden befæstede stillinggera útrás úr hervirki2(fl.m.) han kom med et u. mod regeringenhann legði eftir stjórnini3endaligt úrslit, endaúrslit, niðurstøða, niðurløga;(stfr.)úrslit;sagens u.úrslitið (burtur úr sakini);få uheldigt (, heldigt) u.hepnast(el.eydnast) væl, illa;få et uventet u.fáa aðra vend enn væntað
udfaldende	(sigl.) u. bov útliggjandi bógvur
udfaldsport	1(herm, sø)útrásarlið, útrásarportur2(fl.m.) Esbjerg er Danmarks u. mod vestEsbjerg er høvuðshavn Danmarkar vestureftir
udfaldsrum	(stfr.) úrslitamongd
udfaldsvej	útfararvegur, høvuðsvegur út úr (borgel.býi)
udfaldsvinkel	1sjónarhorn, haðan ein ger sær meting2(alisfr.)útskotsvinkul, útskotshorn
udfarende	framtakssamur, framtakshugaður;u. kraftatgerðamáttur;u. teaterleikbólkur, ið hevur sýningar í skúlum og á virkjum
udfase	steðga (taka aftur) stigvístel.so líðandi, lata hvørva so líðandi; minka so líðandi um
udfinde	finna, finna upp á, ætla;u. enraffineret hævnætla einum eina útspekuleraða hevnd
udflage	(sigl.) flagga út (flyta skip undir hentleikaflagg)
udfletning	vegaflætta
udfletningsanlæg	(við motorveg) vegaflættugerð, vegaflættukervi
udflette	gera vegaflættu
udflippet	(tlm.) útflippaður
udflod	síudflåd
udflugt	1útferð;skolen tog på u. til Stevnsskúlin fór útferð til Stevns2uttanumtos, undanførsla, undanbersla, umbering, undanbering, kávalæti, kávalótir, kákl, viðburður, hjáputur;komme med udflugterhjáputrast, hava sum undanførslu;ingenudflugter!ongar kávalótir!
udflugtssted	ferðamannastaður, útferðarstaður
udflydende	1sum rennur útel.burtur;u. olieolja, sum rennur(el.lekur) burtur2(t.d.um lit) kámur, óklárur, sorlutur(t.d.sorlut ljósmynd), sum ikki er snøgt avmarkaður3(fl.m.)gjánka(s)ligur, linur, óskilligur, ógreiður;en vag og u. forklaringgjánka(s)lig og ógreið frágreiðing, mjørkatos;han havde u.ansigtstrækhann hevði fínlig andlitsdrøg, hann hevði lítið eyðkend andlitsdrøg
udflytning	(sø.) niðursetur (tað at bóndi flytur úr bygdini og setur búgv á jarðarognini)
udflytter	1(sø.)niðursetumaður, búreisingur, nýbýlismaður2búreisingur (maður, ið flytur úr heimstaðnum til annan stað)
udflytterbygd	niðursetubygd
udflytterbørnehave	barnagarður í útryðjuni av býi (hagar børnini verða flutt dagliga)
udflyttergård	(sø.) niðursetugarður
udflåd	flot, útflot (úr sári, kertli), renslsótt;der var u. ibegge ørertað rann úr báðum oyrum
udfolde	1(serst.ífl.m.) udfolde energidríva á;udfolde nogetlýsa eitt út í æsir;udfolde en teorilýsa ástøði/teori nágreiniliga;udfolde sigikki halda seg aftur, vera ósmæðin, vera framligur;hun udfoldede sig i selskabet i gårhon spenti/spílaði seg út í veitsluni í gjárkvøldið, hon kýtti seg í veitsluni gjárkvøldið; hon var stak stuttligur í gjárkvøldið;lad ham få lov til at udfolde siglat(ið) hann sleppa at vísa, hvat dugur er í honum;han udfoldede sig rigtigt til sin søsters brylluphann smæddist ikki burtur í brúdleypinum hjá systrini;han udfoldede sig i al sin galskabhann uppførdi seg, sum um einki var óført; hann tíggjaði sær sum eitt ótt;i ægteskabet fik hun plads til at udfolde sighon fekk rúmar ræsur at menna seg í hjúnalagnum; í hjúnalagnum vóru ongar treytir settar henni; hon slapp at gera, sum hon vildi í hjúnalagnum; hon hevði langt boð í hjúnalagnum2breiða (eitt) út, spenna út;sommerfuglen udfoldede sine vingerfirvaldurin(el.summarfuglurin) spenti veingirnar út
udfoldelig	sum kann breiðast út
udfoldelse	kroningen foregik under udfoldelse af stor pragtkrýningin fór fram við miklum skreyti og skrúði(el.skrúði og skreyti)
udfordre	1bjóða av,(sø.)krevja út;u. en modstander tilkampkrevja mann út, bjóða mótstøðumanni av at berjast(søí hólmgonguel.einvíggi),(sø.)stevna fígginda á hólm;man skal ikke u.skæbnenein skal ikki bjóða lagnuni av, ein eigur ikki at leggja ov nógv fyri (seg)2[lh nútsuml]udfordrendeboysin, mastrigur; avbjóðandi; ótolandi, frekur;en dristigog udfordrende kjoleein vágin og eggjandi(el.avbjóðandi) kjóli
udfordrer	avbjóðari; fólk, ið bjóðar(el.býður) av
udfordring	avbjóðing; tað at krevja út;den tekniskeudvikling er en u. til vor civilisationtøkniliga menningin er ein avbjóðing fyri okkara siðmenning;at arbejde med handicappede eren u.tað at fáast við brekað fólk, er ein avbjóðing
udforme	evna til, skapa, mynda, búgva til, gera, geva skap, laga til, dána, smíða;u. en tanke i ordorða sína hugsan
udformning	tilevning, tillaging, tilbúgving, tilskapan
udforske	kanna, granska, rannsaka;u. det indre Afrikagera rannsóknir inni í Afrika
udforskning	gransking, kanning, rannsókn, rannsakan, granskan
udfri	loysa, loysa út, fría, bjarga (úrel.undan);dødenudfriede hamdeyðin loysti upp fyri honum;u. énaf fangenskabfría ein úr fangilsi
udfrielse	lætti; tað at vera loystur;døden kom som en u.for hamhann var glaður at sleppa burtur (hiðani)
udfritte	(fyri at fáa vitanelav forvitni) tráspyrja ein,(serst.av forvitni) spyrja ein út av nálini, spyrja lunguni burtur úr einum, spyrja garnarnar út(el.upp) úr einum, pumpa ein
udfuge	(handv.) fuka, fuga /fu·a/, fylla samankoming
udfylde	1fylla; leggja afturat, skoyta uppí, økja;u. vejens hullerfylla holini í vegnum2fylla út;u. en blanketfylla oyðiblað út;udfylde en selvangivelsefylla út sjálvuppgávu;ikke udfyldtóskrivaður, óútfyltur;u. et behovnøkta tørv3vera førur fyri, vera skikkaður, vera skúlaður, hava førleika;det bliver svært at u. hans pladsikki verður lætt at taka við eftir hann;han udfylder sin pladshansara partur liggur ikki eftir, hann ger lít fyri seg, hann roynist væl4[lh nútsuml]udfyldendefullgerðar-, fyllingar-, fyllandi, eyka-, viðbótar-, ískoytis-; (løgfr.)udfyldende fortolkningnøktandi tulking
udfyldning	fullgerð, fylling, ífylling, uppfylling, útfylling
udfyldningsblanket	útfyllingarblað, oyðublað
udfyldningsdiktat	(í skúla) útfyllingarfyrisøgn
udfyldningsplade	(tøkn.) útfyllingarpláta, millumlegg, undirlagspláta
udfyldningsstykke	(í skúla) útfyllingarstykki
udfælde	(evnafr.) skilja burturúr
udfældning	úrskiljing
udfærdige	seta saman, seta upp(serst.skrivliga), skriva, orða skrivliga, gera skrivliga;u. en betænkningskriva álit
udfærdigelse	gerð, samanseting, uppseting
udføre	1flyta út;Danmark udfører landbrugsvarerDanmørk flytur út landbúnaðarvørur2gera, greiða (úr hondum), latael.leggja úr hondum, útinna, fremja, røkja(t.d.ørindi);u. et arbejdegera eitt arbeiði;u. tungt arbejdetaka tøk;u. en ordregera eftir boðum;u. et arbejde godt, dårligtgera arbeiði vælel.illa; greiða eitt arbeiði vælel.illa úr hondum;dårligt udført(el.handlet)illa atborið;dårligt udført arbejde (tlm.)kloyn;u. noget betydningsfuldtgera okkurt týdningarmikið, gera hol í sjógvin;u. stordådgera(el.vinna) roysnisverk (roysnisgerðel.avreksverk);let at u.lítið(el.einki) fyri;vanskelig at u.ringt(el.torført) at gera, torgjørdur;statuen er udført i marmorstandmyndin er gjørd(el.høgd) úr marmori;ballet udført af kvinderballett, har sum dansararnir eru konufólk
udførelse	arbeiði, gerð, verk, avrikan, útinnan, útinning, fremjing, fremjan, tað at avrikael.gera eitt; virking, smíð, tilevning;bringe til u.fremja, seta í verk, fremja eitt, útinna eitt;disse planer vil snartkomme til u.hesar ætlanir fara skjótt at gerast veruleiki(el.verða skjótt settar í verk);under u.í gerð, í gongd
udførlig	1greiniligur, nágreiniligur, gjølligur, djúptøkin, sum er lýstur út í æsir, til fulnar, til lítarel.út í odd og egg;en u. redegørelsegreinilig frágreiðing2[sumhj] gjølla, gjølliga, væl og virðiliga, til lítar, út í æsir
udførsel	útflutningur
udførselsafgift	útflutningsgjald
udførselsattest	útflutningsváttan
udførselsforbud	útflutningsbann, útflutningsforboð
udførselsgang	(likam.) ræsi;u. fra urinblærenvatnræsi niður frá landbløðruni
udførselskontrol	útflutningseftirlit
udførselstilladelse	útflutningsloyvi
udg.	1(st.) udgave2(st.) udgiverel.udgivet
udgang	1útgongd, útdyr;huset har to udgangehúsini hava tvær útdyr2endi, útgangur;(bíbl.) Herren bevare din u. ogdin indgangtín útgang og inngang skal Harrin varða (Sl. 121, 8);ved årets u.um árslok3(loyvi)soldaterne havde u.hermenninir høvdu útfaringarloyvi4(í bridge) útgangur;have u.hava útgang5(prent.)regluútgongd
udgangsbillet	útgonguseðil;(skemt.) tage u.rýma, sleppa sær burtur, taka(el.sleppa sær) til rýmingar
udgangsbøn	útgangsbøn
udgangseffekt	(ravm.) úttak, útgongumáttur, útgonguvirkt, útgongueffektur
udgangsforbud	útgongubann, útfaringarbann, útfaringarforboð
udgangshastighed	(herm.) múlaferð (sum kúlan hevur, tá ið hon fer úr múlanum)
udgangslinie	(prent.) regluútgongd
udgangsposition	byrjanarstøða, (sterkel.veik) støða
udgangspunkt	1byrjanarstøði, byrjanardepil, fráfaringarstaður, upprunastøði, upphavsstøði, upphavsstaður, (við) støði (í);komme tilbage til sit u.koma aftur í sama stað, koma aftur hagar, ein fór;u. for eksaminationpróvhoyringarstøði2(fl.m.) taleren tog sit u. i et ordsprogrøðarin byrjaði taluna við einum orðataki
udgangsreplik	útgonguorð
udgangssalme	útgangssálmur
udgangssprog	upprunamál, frummál
udgangsstilling	byrjanarstøða, fráfaringarstøða
udgangstilladelse	(herm.) útfaringarloyvi
udgangstrappe	útgongutrappa, trappa út
udgangsuniform	(herm.) frítíðarbúni (eyðkennisbúni hjá hermanni við útfaringarloyvi)
udgav	bendingarsnið avudgive
udgave	útgáva;bogen er kommet i ny u.bókin er uppafturprentað í nýggjari útgávu
udgift	útreiðsla, útløga, kostnaður, útlegg;udgifterútløga;udgifterne må nødig overstige indtægterneútreiðslurnar skulu helst ikki vera hægri enn inntøkurnar; (løgfr.)direkte udgifterbeinar útreiðslur;løbende udgifter(handilsm.) leypandi útreiðslur/kostnaður;overslag over udgifterkostnaðarmeting;sætte én i u.geva einum útreiðslur;uforudsete udgifteróvæntaðar útreiðslur
udgiftsbilag	(handilsm.)kostnaðarskjal, útreiðsluskjal
udgiftsføre	(handilsm.) bóka sum útreiðslu
udgiftskonto	(handilsm.) kostnaðarkonta(el.-konto), útreiðslukonta(el.-konto)
udgiftsneutral	sum ikki hevur kostnað við sær
udgiftspost	(bú.) útreiðsla, útreiðslubóking, útreiðsluupphædd, útreiðslupostur
udgiftsside	(handilsm.)útreiðslumegin, útreiðslusíða
udgiftstung	kostnaðarmikil
udgik	bendingarsnið avudgå
udgive	1geva út;u. en bog, et bladgeva bók, blað út2látast at vera, láta at vera, siga seg (at) vera;han udgav sig for at være lægehann lætst at vera lækni, hann segði seg (at) vera lækni
udgivelse	tað at geva út, útgáva, tað at seta í umferð(t.d.pengar)
udgivelsessted	prentstaður, útgávustaður
udgivelsesår	útgávuár, prentár
udgiver	útgevari, útgevi, ritstjóri;udgiverne har forsynetbogen med en indledningritstjórarnir(el.útgevararnir) hava skrivað inngang í bókina
udgiverkorsbånd	blaðapakki
udgjorde	bendingarsnið avudgøre
udglatte	1javna, slætta2(fl.m.)slætta, skava útyvirel.afturyvir, slætta (sjógv);prøve at u. en misforståelseroyna at javna misskiljingar
udgranske	granska út í æsir, rannsaka, kanna gjølla;u. enmetodekanna háttalag gjølla
udgrave	grava út;u. en kæmpehøjgrava út dys;b lhsumludgravet materialeútgrivið tilfar;udgravetuppskorin(t.d.torvheiðar)
udgravning	grevstur, útgrevstur,(fornfr.)útgrevstur
udgrint	útflentur
udgrunde	hugsa upp, komast fram áel.til, finna við umhugsni;u. en løsningroyna at loysa(el.greiða) mál
udgyde	1hella út, oysa út, fella, stoyta;u. blodhella út blóð, úthella blóð,(kv)vekja blóð;u. tårerfella tár2(fl.m.) hun udgød sit hjerte for mighon legði hjartað opið fyri mær3gýta;når silden er udgydt i jan. og feb.tá ið sildin hevur gýtt í jan. og feb.
udgydelse	úthelling, skolan, orðaskolan, orðaskvaldur, orðaflóð, orðafloymur, tvass; langrøkjut frágreiðing
udgød	
udgøre	gera, vera, telja;u. en trussel forvera ein hóttan(el.vandi) fyri;u. i altverael.telja til samans;kvinderne udgør over halvdelen af Danmarksbefolkningkonufólk eru reiðiliga helmingurin(el.helvtin) av fólkinum í Danmark; góður helmingur av fólkinum í Danmark eru konufólk
udgå	1fara burtur úr einum, verða útihýstur; vera uppi, ganga undan, vera í uppisetri (við), vera uppráddur fyri, vera barur; detta burtur;(løgfr.)fara úr(t.d.gildi);spilleren udgik af turneringenleikarin(el.spælarin) fór(el.mátti fara) úr kappinginiden vare er ved at være udgåethanda vøran fer at vera uppi(el.fer at ganga undan);købmanden var udgået for saltkeypmaðurin var í uppisetri við(el.var uppráddur fyri) salt2fra torvet udgår tre gadertríggir vegir ganga frá torginum;demonstrationen udgår fra Rådhuspladsenkravgongan byrjar á Ráðhúsplássinum;en mand, der er udgået af folketmaður, ið er sprottin úr fólkinum; maður, ið hevur sín uppruna í fólkinum, vanligur maður;lade meddelelse u. om nogetsenda boð út um eitt;ordrer, der udgår fra ham, skal adlydesboð, ið hann gevur, skulu fylgjast; tit skulu gera, sum hann sigur;der udgik en meddelelse til alle kommunerneallar kommunurnar fingu boðskriv um;u. fra en skole, et universitethava sín lærdóm(el.hava prógv) frá skúla, lærdum háskúla(el.fróðskaparsetri)3[lh tátsuml] udgået; en udgået vare vøra, ið er uppi, uppseld vøra; et udgået træ følnað (el. deytt) træ; (løgfr.) udgået farin úr gildi
udgående	1(sigl.) skibet var for u.skipið fór, skipið var á útleið, skipið var á veg burtur2(bú.) u. postútgangandi postur3(jarðfr.) u. jordlagsvað (um jarðløg, ið stinga seg upp,t.d.hellusvað)4(um post) útfarandi
udhale	1(sigl.)dragael.hála út (skip), gerael.búgva út (skip)2(fl.m.) han var ordentlig udhalet i sit nye tøjtað var ikki eiti á, sum hann var fínur í nýggju klæðunum
udhaler	1(sigl.)úthálari (endi at draga tog út á ein rundholt viðel.endi at toga skip út til boyu við)2lapsur, mótaprinsur, pyntidukka, fínibeiggi
udhalerbom	(sigl.) úthálarabummur
udhalerring	(sigl.) úthálararingur
udhaling	útháling, tað at hála út; útgerð, tað at gera skip út
udhamre	tenja (við hamri); sláa úr, hamra burtur, beinka, rætta;bulen i sølvkanden blevudhamretbuklan í silvurkannuni varð hamrað burtur
udhamring	tað at beinka (við hamri)
udhavn	úthavn
udholde	torga, bera, tola, orka, vera mentur;jeg kan ikkeu. den tankeeg orki ikki at hugsa mær hatta(el.tað);det er ikke det, at jeg ikke kan u. pinentað er ikki tað, at eg toli ikki pínuna
udholdelig	tolandi;smerten er trods alt u.pínan er at tola kortini
udholdende	áhaldin, áhaldandi, raskur, treystur, stinnur, knáur, seigur, tógvin, knaskin, tróttugur, tiltoyggin, treiskur, tolin, dúgligur; (um hund) trárendur, (sum orkar væl at ganga) trágongdur;han er enudholdende løberhann er raskur rennari, hann orkar væl at renna;ikke udholdendeótreystur;være mere udholdendehalda betur á
udholdenhed	treyst, treysti, áhaldni, seiggi, seigil, seiggj, treystleiki;han viste stor u. i sit arbejdehann var óføra raskur at arbeiða, hann var so tróttugur
udholdenhedskonkurrence	treystleikakapping
udholdenhedsprøve	treystleikaroynd
udhugge	høgga, høgga út;u. en statue i marmorhøgga standmynd úr marmori(el.marmara);u. en skovhøgga burtur ímillum í skógi
udhule	1hola, hola innanúr, hjóla innan úr (onkrum)(t.d.við kníviel.sag);kålhovedet udhules og fyldesmed farsholað verður innan úr kálhøvdinum, og mørur(el.fars) verður koyrdur(el.latin) í2(fl.m.)skerja, gera minni, mógvael.máa undan, veikja, beina fyri;u. købekraftenskerja keyporkuna
udhulet	innanholaður;båd lavet af udhulet træstammebulbátur; bátur, gjørdur úr innanholaðum viðarbuli;med udhulede kinderinnanholaðar kjálkar, skrámutur (frammaní)
udhungret	hungraður, svøltaður, hungursbitin;enudhungret, mager hesthungrað, diddarak ross
udhus	úthús;staldene og de øvrige udhuse brændtefjósini og hini úthúsini brunnu í grund
udhvilet	hvíldur;han var udhvilet efter søvnenhann var hvíldur eftir at hava sovið;den unge bliver hurtigtudhvilethann, ið ungur er, hvílist skjótt
udhvælve	gera kúputan;med udhvælvede øjneopinoygdur;udhvælvetkúputur, bungutur, árundaður
udhælde	stoyta
udhæng	takskegg
udhængende	sum lútar útá, sum loft er undir;u. snedriveskalvur
udhængsark	(prent.) reinprentingarark (sum verður sent rithøvundi og øðrum at lesa)
udhængsskab	1(í handli) sýnisskáp2(fl.m., skemt.)bjølgur, bellur /-ll-/ (um búk)
udhængstag	tekja, ið stingur fram úr húsaveggi; hálvtak
udhæve	dragael.taka fram, leggja dentel.áherðslu á, strika undir;(prent.)tenja;udhævet skrifttand skrift
udhævelse	1áherðing, herðsla, dentur, trýst, tað at leggja dent á (eitt)2(prent.)skrifttenjan
udifferentieret	einfaldur, lítið margbroytturel.fjølbroyttur, einsháttaður, fábroyttur, eintáttaður
udiplomatisk	óstort(s)ligur, skumputur, ófantaligur, ódiplomatiskur
udisciplineret	óvandur, balstýrin, illa vandur, illa siðaður, agaleysur
udjage	jagstra burtur, reka útel.burtur, skúgva burtur, koyra útel.burtur
udjævne	javna, slætta; líkna út, leggja ímillum(t.d.tá ið munur stendst av, at ójavnt verður býtt);serst.ífl.m.forskellene udjævnesmunurin verður javnaður
udjævning	javning, javnan, javnaður;u. af forskellenmellem fattige og rigetað at javna munin millum fátæk og rík
udkald	1(flogm.)útkall;sidste u.síðsta útkall2(fl.m.)síðsti møguleiki
udkant	1útryðja, útjaðari; jarki (á fótiel.hond);i skovensu.í útryðjuni á skóginum2(fl.m.)det ligger i udkanten af det tilladeligehatta er á markinum fyri sømiligan atburð
udkantområde	útjaðaraøki
udkast	1uppskot, uppkast, roynd, leyslig tekning, kladda;(løgfr.)lógaruppkast;lave et u. til en nybygninggera uppkast til nýggj hús;afhandlingener blot et u.ritgerðin er bara eitt uppkast2(ítr.)málkast
udkaste	1tveita, blaka,el.kasta útel.niður;u. våben fraen flyvemaskineblaka vápn niður úr flogfari2skjóta upp, gera uppskot, gera ætlan um;u. enplangera uppskot til ætlan
udkastning	udkastning af gods for at lette skib(,fly) tað at tveita farm út(el.fyri borð) fyri at lætta um skipel.flogfar
udkerne	1taka kjarnan úr (frukt)2taka úthús og skúr niður, ið hoyra til gamlar húsaleingjur
udkig2	einkiflt (sigl.)kagmaður, varðhaldsfólk, eftirhyggingarfólk,(tlm.)útkikk /-kik/
udkigspost	varðstøð, kag, kagstøð
udkigssted	útsýnisstaður, kagstaður, eftirhyggingarstaður
udkigstønde	(sigl.) kagtunna,(tlm.)útkikstunna
udkigstårn,udkikstårn	kagtorn, sjónartorn, varðtorn, útsýnistorn
udkig,udkik1	eftirhygging, kag,(tlm.)útkikk /-kik/;holde u.hyggja eftir;man holdt u. efter skibetteir skimaðust í allar ættir eftir skipinum
udklasning	(ítr.) stórsigur, tað at vera nógv stinnari enn hinir, tað at vinnael.sigra so ruddiliga, tað at vinda burtur úr (einum)
udklasse	(ítr.) smyrja av, vera nógv stinnari, vinnael.sigra so ruddiliga, vinda burtur úr einum
udklip	klipp, úrklipp;et u. af en avisúrklipp úr blaði
udklippe	klippa úr
udklipsbog	úrklipsbók
udklæde	lata seg í sum (trøllosfr.); han var udklædt somsørøverhann var ílatin sum sjórænari, hann var í sjórænaraklæðum
udklædning	grýlubúni, grýluklæðir, dularbúni
udklække	1klekja;u. kyllingerklekja høsnarungar;fuldtudklækketútklaktur2(fl.m.) u. en planhugsa upp ætlan, spinna eina ætlan upp
udklækning	kleking
udklækningsanstalt	klekingarstøð
udklækningsapparat	klekitól
udklækningssted	1ternubøli, skarvabøli, lundaland, fuglaland; øki, har sum fuglur eigur2(fl.m.)bøli, reiður
udkoble	kopla frá, kopla úr,(tøkn.)taka frá, loysa jarnbreytarvogn úr toki
udkode	týða loyniskrift til vanligt mál
udkog	úrdráttur, soð;et u. af planterplantuúrdráttur
udkogt	avkókaður, kókaður upp í duggel.í lumbur, sundurkókaður
udkokset	deyðgivin, útlúgvaður, útteipaður, pøstur, útmøddur, úttikin,(tlm.)fokkaður
udkommandere	geva einum boð um eitt, sendael.beita ein (at gera okkurt);spejderne blev udkommanderet tilat holde nattevagtskótarnir fingu boð um at hava náttarvakt
udkommando	boð til heryvirmann um at tæna á øðrum stað enn vanligt, tað at verða útkallaður, útkall
udkommandotillæg	burturviðbót
udkomme1	1útkoma, innløga, innløgur(flt),úrtøka;detdaglige u.tað dagliga breyðið;bekymringer forudkommetstúring fyri útkomuni2(ísamb.við)der er intet u. med hamhann er hvørki at høgga ella stinga í
udkomme2	koma út;bogen udkommer til vinterbókin kemur út í vetur;en nylig udkommenel.udkommet bognýútkomin bók
udkomst	tað at koma út, útkoma;straks efter bogens u.beint tá ið bókin var útkomin
udkonkurrere	vinna í kapping, vera við yvirlutan, troka av;detstore firma udkonkurrerede det lille ved atsælge til lavere prisertann stóra fyritøkan vann í kappingini við ta lítlu við at selja vørurnar bíligari;japanske varer udkonkurrerer danskejapanskar vørur eru við yvirlutan í kappingini við danskar
udkrads	(úr pípu) útrak
udkradse	skava innan úr pípu; skava burtur
udkrage	(byggl.) stinga fram, skjóta fram;2. etage erudkraget til begge sider2. hædd er skotin fram(um) báðumegin
udkramme	leggja hjartað opið fyri einum
udkrystallisation	kristallering
udkrystallisere	1kristalla2(fl.m.)búnast, koma til sjóndar;underlæsningen udkrystalliserede en teori sig hoshammeðan hann las, búnaðist ein hugsan(el.ein teori) í honum;digterens livssynudkrysalliserede sig i romanenlívsáskoðanin hjá rithøvundinum kom til sjóndar í skaldsøguni
udkrængning	(lækn.) viðvending
udkræve	krevja, tørva;der udkræves stor beslutsomhed(stórur) fastleiki krevst, neyðugt er at standa stinnur
udkæmpe	berjast;u. en kampberjast, gangael.hava hólmgongu;u. brydekamptakast, berjast við tøkum, glímast
udkøre	1koyra út;u. brændselkoyra brenni(við) út2(lh nútsuml) (løgfr.)udkørende fogedforretningútfarafútamál
udkørsel	útkoyring;(løgfr.) udkørende fogedforretningútfarafútamál
udkørt	(bara ífl.m.)deyðgivin, útlúgvaður, pøstur, útteipaður, fyrilagstur, útsleipaður, forstríddur,(tlm.)fokkaður
udkåre	kjósa, velja (burturúr)
udkåren	úrvaldur, kosin;min udkårnegentael.drongur mín;mit hjertes udkårnegentanel.drongurin, eg valdi mær; gentanel.drongurin, ið eg eri góður/góð við
udlade	1skipa upp, lossa, landa;u. gods fra et skipskipa farm upp úr skipi2(ravm.)úrløða
udladning	1uppskiping, uppskipan2(ravm.)úrløðing;elektrisk u.ravmagnsúrløðing
udlagde	
udlagt	goldin, rindaður,(tlm.)betaltur;u. beløbgoldin upphædd
udland	útlond, útheimur, onnur lond;detsydlige u.suðurlond;rejse til udlandetfara av landinum;fra udlandetuttanífrá, úr útlondum;iudlandetúti, uttanlands, í útlondum
udlandsdansker	danskur útiseti, útidani; dani ið býr ikki í Danmørk
udlandsgæld	uttanlandsskuld
udlandslån	uttanlandslán, útlendskt lán
udlandsmission	heidningatrúboðan
udlandsrejse	uttanlandsferð
udlandssamtale	(telefon)samtala við útlond, uttanlandssamtala; samtala við felaga í øðrum landi
udle	flenna at;han blev udleet, da han praledehann varð útflentur, tá ið hann reypaði
udlede	1veita burtur2dragael.fáa burturúr, úrleiða, koma til niðurstøðuel.niðurløgu, gera úrskurð, rekja (rakti, rakt);u. en matematisk formeldraga støddfrøðireglu burtur úr einum;u. et ord frasanskritrekja orð úr sanskrit
udledning	1burturveiting;u. af spildevand i en fjordburturveiting av frárensluvatni í fjørð2(vistfr.)útlát
udledningstilladelse	burturveitingarloyvi
udleje	leiga útel.burtur;u. et værelseleiga rúm út
udlejer	ein, ið leigar út; útleigari, (løgfr.) burturleigari
udlejning	leiga, útleiga, burturleiga
udlejningsejendom	útleigingarhús
udlejningskontor	útleigingarstova
udleve	(sálfr.)liva út, útliva;udleve sine drømmeliva út gamlar dreymar
udlevere	1avhenda; lata út, flýggja út, lata frá sær, lata av hondini(el.av hondum); geva upp;tyvenmåtte u. de stjålne smykkertjóvurin mátti avhenda tær stolnu smúkkurnar;landet måtte u.flygtningenelandið mátti avhenda flóttafólkini;u.én til politietgeva ein upp til løgregluna2(fl.m.) u. sig selvavdúka seg sjálvan
udlevering	avhending, útflýggjan;u. af rejsegodsútflýggjan av ferðaviðføri
udleveringssøgsmål	(løgfr.) útflýggingarlógsókn
udleveringstraktat	útflýggjanarsáttmáli
udlevet	útslitin, karlagin, útlivaður, (um lut) lasaligur;(t.d.hundur, ær, ross, kúgv) avdeyða, avdeyða-;en u.gammel mandútslitin, gamal maður;u. får, hest,hund, koavdeyðaseyður, avdeyðaross, avdeyðahundur, avdeyðakúgv
udlicitere	bjóða út
udlicitering	útbjóðing
udligger	útliggjari (stong uttanborða, ið er fest í árabátel.seglbát, og sum ger, at báturin verður tryggari)
udligne	javna;u. en forskeljavna munin;u. nogetjavna aftur
udligning	afturjavning, javning
udligningsdynamo	(ravm.) javnari, javningardynamo, javningarmáttul
udligningsfond	javningargrunnur
udligningstold	afturjavningartollur
udlodde	luta sundurel.út(t.d.til arvingar, kravánarar, partaeigarar)
udlodning	(løgfr.) sundurluting, sundurlutan, lutning
udlogning	(teld) útritan, at rita út
udlosse	skipa upp, lossa, landa
udlove	lova, lata;u. en dusørlova finningarløn(el. t.d.bjargingarløn)
