J,j	1málljóð2bókstavur3(st) Jod4(st) Joule
jomfru	1(ógift konfólk) jomfrú(gv), moy, moyggj, ungmoy, ung genta;(serst. sk.) hun var enknibsk j.hon var so kvettin;gammel j.gomul genta, piparmoyggj2ónomið konufólk;(átr.) J. MariaMaria moy;denhellige J.Vár Frúa, heilaga jómfrúin3(plfr.) j. i det grønne (Nigella damascena)4um konufólk í ymskum størvum;kahytsjomfruskipsterna;smørrebrødsjomfrukrásakona5um amboð,t.d. brolæggerjomfrusteinsetarajarn
jomfru-	(skaldsk.) moyggjar-, jomfrú-, reinur, sakleys, ónomin, ónortin, óspiltur, lýtaleysur
jomfrubur	moyggjarsalur;(sk.)gentukamar
jomfrudom	moy(ggjar)dómur
jomfruelig	ónomin, ónortin, órørdur, rein, blúgv; moyggjar-, moyggjarligur, lýtaleysur
jomfruelighed	reinleiki, tað at vera ónortin(el.ónomin)
Jomfruen	(stjfr.) (stjørnumerki) Moyggin, Moymerkið
jomfrufødsel	1(lívfr.)moy(ggj)arburður (gitnaðarleys føðing); ts. s.partenogenese2(átr.)um Jesu føðing
jomfruhinde	(likam.) moy(ggjar)dómur
jomfruhummer	(dý.) hummari(Nephros norvegicus)
jomfruhår	(plfr.) trælamosi(Polytrichum)
jomfrukloster	jomfrúarkleystur (stovnur til ógift aðalborin konufólk)
jomfrukrans	moyggjarkrúna (kransur ella krúna, ungar gentur bera sum tekin um reinleika)
jomfrunalsk	1piparsligur (um konufólk)2kventisligur (maður)
jomfrurejse	jomfrúferð, bakkastokkaferð, fyrsta ferð hjá skipi
jomfrusild	(dý.) sild ið ikki er kynsbúgvin
jomfrustand	jomfrúdagar
jomfrutale	jomfrúrøða, fyrsta røðan(t.d.hjá tingmanni)
jomfrutrane	(dý.) lokkatrani(Anthropoides virgo)
jon1	fínibeiggi, mótaprinsur
jon2	ts. s.ion
jonathanæble	(plfr.) jónatansúrepli
joner	jóni (maður úr ávísum ættarbólki í gamla Grikkalandi)
jonglere	fimla;han jonglerede med 10 tallerkenerhann fimlaði við 10 borðiskum;j. med ordspæla við orð
jonglering	fimlan
jonglør	fimlari
Jonien	(sø.) Jónia (land í Miðgrikkalandi í fornøld)
jonisk	1(sø.)(byggl.) j. søjlejónisk súla2griksktmálføri í Miðgrikkalandi í fornøld
jord1	gongustjørnan jørðin síJorden
jord2	jørð, jarðarríki;her på jordenher á jørð;Gudsgrønne J.Guds grøna jørð;et jordens barnein verðslig menniskja;jordens møje og besværjarðarinnar stríð og strev;på hele den vide j.um alla foldina;gå al jordens gangfara alla foldar leið;moder j.foldarmóðir, móðurliga fold;han vartil glæde mens han var her på j.hann var til gleði meðan hann var á foldum
jord3	1ísamb.viðsdække med j.tyrva;gå underjordenfara undir jørðel.heilt, goyma seg(t.d.fyri loyniløgreglu);(serst. lækn.) falde til jordensvíma;begynde på bar j.byrja á berum;indviet j.vígd jørð;komme i jordenverða grivin;vittighedenfaldt til jordenskemtið misti flogið;de fik ikke etben til jorden (eis. fl.m.)vit smurdu teir av;forsvare hver tomme j.gera harða mótstøðu, verja hvønn jarðartumma;frosten var gået afjordenfrostið var farið úr jørðini;have fast j.under føddernehava fast undir føti, kenna seg tryggan;(fl.m.)have begge ben på jordenikki leypa framav;holde sig i en fast position iforhold til jordens overfladejarðfylgin, jarðstøðugur (um fylgisvein sum altíð stendur yvir sama staði á jarðarýtuni);jævne med jordensláa niður, bróta(el.ríva) niður, gera bart, slætta við jørðina;kaste j. påkasta jørð á(t.d.grøv);(fl.m.) være kastet til jordenliggja lágt, vera tveittur til jarðar;(fl.m.) komme ned påjorden igenkoma niður aftur á jørðina, umráða seg;(átr.) af j. er du kommen, til j. skal dublive, af j. skal du igen opståav mold ert tú komin, at mold skalt tú verða, úr mold skalt tú aftur rísa upp;kom ned på jorden!ger teg ikki upp!, øs teg ikki so!, hóreiggja tær ikki so!;(ravm.)lede ned iel.sætte i forbindelse med jordenjarðfesta, jarðbinda, jarðleiða;ligge under jordenliggja undir grønu torvu;lægge j. under plovenbróta upp úr nýggjum;mane i jordenmanael.mánael.reka niður í jørðina;opdyrke ny j.velta upp úr nýggjum;slå ham til jordensláa hann niður;slået til jordenpøstur, útlúgvaður; (liggjandi fram) eftir rommum(el.á grúgvu); hjálparleysur;strække til jordenjarðleggja, sláa niður, sláa til jarðar;synke i jorden af skamsmokka í jørðina av skomm;sætte himmel og j. ibevægelseseta himmal og jørð í røring, leggja allar árar í sjógv;udpine jordenpína jørðina2í øðrumsamb. løs j.leysamold;stykke j.jarðarteigur;uopdyrket j.óvelt jørð, ódyrkað jørð, ótøki;jordens atmosfærelufthválv jarðar
jord4	jørð, jarðarogn(ir), jarðargóðs, grund(øki),land, ættjørð;gårdens jorderjørðin á garðinum
jordagtig	1moldhavin, moldkendur2(jarðfr.) jarðkendur
jordakse	(alisfr.) jarðarásur (hugsaður ásur tvørtur ígjøgnum jørðina frá norðurpóli til suðurpóls, sum jørðin dagliga snarar um)
Jordan	(sern., landafr.)Jordan (ríki í Miðeystri)
jordaner	jordan(ar) i
jordansk	jordanskur
jordantenne	jarðarkampur
jordarbejde	moldarbeiði
jordarbejder	arbeiðsmaður, veltingarmaður
jordareal	lendi, (jarðar) vídd
jordbane	1jarðarás2vallað breyt; moldbreyt (til kappkoyring)
jordbesiddelse	jarðarogn
jordbesidder	jarðareigari
jordboer	(um fólk) jarðarbúgvi, jarðbúgvi
jordbrug	jarðarbrúk, landbúnaður
jordbruger	jarðarbrúkari, landbúnaðarmaður, búnaðarmaður, bóndi
jordbrugsvidenskabelig	búnaðarvísindaligur
jordbund	1grund, mold;kartoflerne kunne ikke gro i denfugtige j.eplini vuksu ikki í tí váta lendinum;berede jordbundenvelta2(fl.m.)jørðildi, gróðrarbotnur, líkindi, fortreytir;pågrund af fattigdommen var der god j. for enrevolutionfátæktin var góður gróðrarbotnur undir kollveltingini, av tí at fátækdómur var stórur vóru góðar fortreytir fyri einari kollvelting;berede jordbundenvelta,(fl.m.)slóða fyri
jordbunden	jarðbundin, jarðgrógvin, jarðligur; veruleikakendur; turrisligur; gerandisligur
jordbundsanalyse	jarðarkanning
jordbundslære	jørðildislæra, jarðlendisfrøði
jordbundsundersøgelse	jarðarkanning
jordbunke	moldrúgva
jordbælte	jarðarbelti (um teir 5 lutirnar, jørðin verður býtt í, tá ið linjur verða teknaðar javnfjart frá miðlinjuni)
jordbær1	(plfr.) jarðber (um plantuna)(Fragaria)
jordbær2	jarðber (um fruktina)
jordbærgrød	jarðberjagreytur
jordbærkage	jarðberjakaka, jarðberjakøka
jordbærsyltetøj	jarðberjasúltutoy
jordbærsæson	jarðberjatíð
jordbølge	jarðarbylgja
jorddrabant	fylgisveinur
jorddrot	jarðardrottur, landdrottur, stórur ognarmaður
jorddækning	áskot
jorde	1jarða, grava, jarðfesta;han blev jordet tæt vedsit fædrenehjemhann var jarðaðurel.grivin skamt frá fedraheimi sínum2(fl.m.) j. éngera kál á einum, jarðleggja ein; eyðmýkja, lítilsvirða, pilka niður; teppa ein;dejordede ham i diskussionerneteir pilkaðu hann niður í orðaskiftinum
jordebog	jarðarbók (skrá hjá stórgørðum yvir ognir, inntøkur og útreiðslur)
jordefærd	jarðarferð, gravarferð
jordegern	(dý.) jarðíkorni (ættinTamiAS,EutamiAS,Xerus)
jordegods	jørð, jarðir, óðal, ogn, eigindómur, jarðargóðs, jarðarognir
jordejende	ognar-, óðals-
jordejendom	jarðarognir, óðal
jordeklæder	líkverja
jordeliv	jarðarlív;hans korte j.hansara stutta jarðarlív, hansara stutta lív á foldum
jordemoder	ljósmóðir, ljósmamma, nærkona, jarðarmóðir;(sk.ífl.m.)han løber, som skulle han efter j.hann rennur sum eftir jarðarmóðir, hann rennur sum fyri lívinum
jordemoderkaffe	jarðarmóðurkaffi, ljósmóðurkaffi, krútsterkt kaffi
jordemodermand	ónytta, deyda, maður ið livir av inntøkunum hjá konuni
jordemodertaske	1jarðarmóðurtaska, ljósmóðurtaska2(fl.m.)lítil (ljót) taska
Jorden	jørðin, jarðarknøtturin;J. er en planetjørðin er gongustjørna;rejse J. rundtfara um jarðarknøttin
jorderig	einkiflt (skaldsk.)jarðarríki
jorderosion	(jarðfr.) jarðriv
jordet	moldut;jordede kartoflermoldut epli
jordfald	(jarðfr.) jarðarfall, jarðarlækking, jarðarlækki, lægd, lendi ið er sjúnkað
jordfaldshul	(jarðfr.) eyga, kassur
jordfast	fastur, jarðfastur;jordfaste fortidsminder jarðføst fornminni
jordflydning	(jarðfr.) jarðruni
jordfoldshul	(jarðfr.) sjúnki
jordforbinde	(ravm.) jarðfesta, -binda, -leiða, (streym)jarða
jordforbindelse	1(ravm.)jarðfesti, jarðarleiðing, jarðarsamband2(fl.m.)jarðfesti (samband við veruliga lívið)
jordfræser	saksimaskina, fresari
jordfæste	jarða; jarðfesta, jarðsyngja
jordfæstelse	jarðarferð, jarðfesting
jordhytte	flagsmátta
jordhøj	dys, gravheyggjur
jording	(fl.m.) jarðlegging, eyðmýking
jordisk	jarðligur, jarðar-, jarðbundin, verðsligur, veraldarligur; foldarligur, tímiligur;hans jordiske hylsterdeyðiliga likam hansara;hans jordiske levningerjarðisku leivdir hansara;jordisk godsverðsligt góðs, jarðargóðs
jordkappen	(jarðfr.) jarðarkápan
jordkernen	(jarðfr.) jarðarkjarnin
jordklode	jarðarknøttur, jørðin
jordklump	moldbøkkur, bøkkur; moldmoli, moldbøkil;kastejordklumper påblaka runublak eftir, blaka runu eftir
jordkrebs	(dý.) jarðvørpa (grashoppuslag;Gryllotalpinae)
jordkrybning	(jarðfr.) jarðkrop
jordkælder	1(gl.)kjallari undir jørð2 (matgoymsla) hol, gryvja, goymsla undir jørð
jordlag	(jarðfr.) jarðlag
jordledning	(ravm.) jarð(ar)leiðing, jarðarsamband
jordlod	jarðarstykki, trøð, gerði, viðurbyrgi, teigur, grundstykki
jordloppe	(dý.) jarðloppa (bólkur av jarðklukkum;Halticinae)
jordlov	(løgfr.) jarðarlóg
jordløs	ognarleysur, jarðarleysur
jordløsner	moldskravari
jordnær	1jarðbundin, veruleikakendur2(stjfr.) jordnæreí jarðarnánd; næstramark at jørðini (hjá mánafylgisveini)
jordnød	(plfr.) jarð(ar)nøt (fræið avArachis hypogaea,ið búnað er undir jørð)
jordnøddeolie	jarðnøtaolja
jordolie	ráolja, jarðolja
jordomdrejning	(jarðfr.) jarðarmeldur
jordomsejler	(sigl.) knattsiglari
jordomsejling	(sigl.) knattsigling;Vasco da Gama drog ud påen j.Vasco da Gama fór á ferð kring jørðina
jordoverflade	jørðildi, jarðarýta
jordperiode	(jarðfr.) jarðartíðarskeið (táttur í menningarsøgu jarðarinnar)
jordpersonale	(flogm.) starvsfólk á flogvølli
jordpersonel	(flogm.) starvsfólk á vølli
jordpåkastelse	tað at kasta jørð á, tað at jarðfesta;præstenforetog jordpåkastelsenprestur kastaði jørð á
jordradius	(landafr., jarðfr.) knattgeisli
jordreform	(løgfr.) jarðarlógarbroyting
jordrente	(bú.) jarðarrenta(inntøka av jørð eftir at arbeiðsmegi og realfæfeingi er goldið)
jordrystelse	(jarðfr.) jarðskjálvti
jordsigt	(flogm.) jarðsýni, sýni niður á jørðina;flyvningved hjælp af j.at flúgva við jarðsýni
jordskok	1greininHelianthus tuberosusav sólblómuætt2útvøkstur líkur jørðepli á hesi plantu
jordskorpe	(jarðfr.) jarðarskorpa;lag der rager op over jordskorpensvað
jordskorpebevægelser	(jarðfr.) jarðskorpurøringar
jordskorpevægt	jarðarskorpuvekt
jordskred	(jarðfr.) skriða, skriðulop, omanlop;mindre j.lítil skriða, lítið lop
jordskredssejr	(fl.m.) stórsigur (á vali)
jordskygge	(stjfr.) jarðarskuggi
jordskælv	1(jarðfr.)jarðskjálvti;vulkanske egne hærges ofte af j.jarðskjálvti er javnan har, ið gosfjøll eru;jordskælvs centrum(á jarðarflatuni) jarðskjálvtamiðdepil;jordskælvs fokusjarðskjálvtamiðdepil (undir jarðarskorpuni);vedrørende j.jarðskjálvta-2(fl.m.) barometret står på j.har var ikki blítt á brúnaskorum, hann er sum toran
jordskælvsmåler	(jarðfr.) skjálvtaritari; ts. s.seismograf
jordskælvsramt	jarðskjálvtaraktur
jordslået	(um klæði) jarðskotin; hýggiskotin; moðin; (um pappír) (fukt) blettað, blæmut, jarðsligið
jordsmon	jørðildi; mold, jørð;(jarðfr.)svarðlag;jordsmonnet var skørnet af frostenjørðin var frostbitin
jordspekulant	jarðarspekulantur
jordspekulation	jarðarspekulatión
jordstationeret	(flogm.) á jørð;landing ved hjælp af j. radarat seta seg eftir radara
jordstrimmel	geiri, jarðargeiri, smalur teigur, rani
jordstryger	(ítr.) (um bólt) vallstrok, lágur bóltur
jordstrøg	land, lendi, øki;de tropiske j.hitabeltið, hitabeltisøkið
jordstykke	teigur, snøkil
jordstængel	(plfr.) jarðleggur
jordsvin	(dý.) jarðsvín(Orycteropus afer)
jord-til-jord	(um rakett) jørð-til-jørð
jordtilliggende	jørð, viðurbyrgi;en gårds j.jørð ið liggur til ein garð
jord-til-luft	(um rakett) jørð-til-luft
jordtunge	(plfr.) nordisk jordtungenorðurjarðtunga(Geoglossum starbaeckii)
jordvej	uppdyrkingarvegur, runuvegur
jordvindende	sporadrúgvur(serst.um gongd hjá rossi);et j.travsporadrúgv gongd (tá ið skjótt líðir eftir)
jordvoks	(jarðfr.) jarðvaks, jarðvoks
jordvold	1vøllgarður, bakaður moldgarður, bak (á bóli)2(herm.) j. foran skyttegravbróstvirki, vøllgarður
jordånd	jarðandi, dvørgur (á varðhaldi yvir gulli)
jota	1jota (níggjundi stavurin í grikska stavraðnum)2(fl.m.)depil, prikkur, punkt;ikke et j.ikki petti, ikki tað sum eitur
joule	joule (orkueind, 0, 239 kaloriur);(st) J
jour	(herm.) have j. hava tænastu, vera á varðhaldi
jourhavende	sum er á varðhaldi, sum hevur vakt;den j. lægelæknin, ið hevur vakt
journal	1dagbók; (rættar-osfr.)gerðabók; fundarbók; loggbók, listi, skrá;føre j. over skibets positionskriva í dagbók hvar skipið er statt;føre j. overkøernes mælkeydelseskriva niðurel.skriva í gerðabók tað ið kýrnar mjólka2sygejournalsjúkradagbók3(teld.)gerðalisti; skrá4(sø.)kelda, heimild(arrit),skjal5tíðarrit, vikublað
journalarkiv	dagbókasavn
journalindsigt	málsinnlit, skjalainnlit
journalisere	skjalføra, dagbóka, føra í bók;sagen er blevetjournaliseretmálið er skjalført
journalist	tíðindafólk, blaðfólk, blaðmaður, tíðindamaður;free-lance j.blaðfólk (sjónvarpsfólk, útvarpsfólk) í fríari vinnu;politisk j.politiskur tíðindamaður; viðmerkjari
journalistik	tíðindaflutningur, blaðskriving, blaðstarv, blaðvinna, blaðheimurin; blaðútgáva;opsøgendej.rannsakandi tíðindavirksemi
journalistisk	tíðinda-, blað-, blaðmanna-;j. kuptíðindakvett;j.virksomhedtíðindastarv, blaðstarv
journalistspire	blaðmannasproti (ungur og óroyndur blaðmaður)
journalkort	dagbókarblað
journalnummer	skjalanummar;(st) jour.el.j. nr.
jovial	kátur, glaðlyntur, skemtingarsamur; fittur, vinaligur;et jovialt sindglaðlyndi;han smiledejovialthann brosaði blídliga
jovialitet	gleði, kæti, gleimur
joystick	(teld.)teldustýri, stýripinnur (ofta til telduspøl)
jr.	yngri
jubel	fagnaður, gleimur, gleði, frøi, kæti; ovfarakæti; fagnaðarróp;fodboldspillerne modtoges med j.fótbóltsleikararnir vórðu fagnaðir tá ið teir komu;hans påklædning vakte vild j.hann var soleiðis ílatin at fólk skóru í fagnaðarróp
jubelfest	fagnaðarveitsla, fagnaðarár
jubelolding	gamalmenni
jubelråb	fagnaðarróp
jubelår	1(hjá gýðingum) fagnaðarár, gleðiár, hátíðarár; frælsisár (49. hvørt ár) (3. Mós 25.11)2(kat.)heilagt ár, tá ið givið verður fult avlát í Róm (tók við ár 1300;uppr.við 100 ára millumbili, nú hvørt 25. ár)
jubi	óført!
jubilar	ein ið hátíðarheldurel.minningarheldur okkurt;en25 års j.ein ið hátíðarheldur 25 ár
jubilere	hava minningarhaldel.minningarhátíð
jubilæum	minningarhaldel.minningarhátíð, hátíðarhald,fagnaðarhátíð, fagnaðarveitsla;fejre 25 års j.hava 25 ára minningarhald; hava 25 ára hátíðarhald(el.fagnaðarhátíð, fagnaðarveitslu),hátíðarhalda 25 ár
jubilæumsmiddag	minningardøgurði, hátíðardøgurði
jubilæumsskrift	minningarrit, minnisrit
juble	1fegnast, skera í fagnaðarróp;j. af glædeskera í fagnaðarróp2; jublendefagnaðarmikil, fagnaðar-, fagnandi, ovurfegin;være jublende lykkeligrópa av gleði; fagna
judas	svíkjari(eftir apostlinum Judas Iskariot, ið sveik Jesus)
judaskys	(bíbl.) judasarkossur, svikakossur (Matt. 26)
judaspenge	1(bíbl.)blóðpengar2(plfr.)judaspengi(Lunaria annua)
judasøje	loyniligt kag- ella lurtingarhol (í brósti ella hurð)
judasøre	1(plfr.)judasoyra (átusoppur)(Auricularia)2(sigl.)judasoyruni (tveir plankar fram móti stevninum á seglskipi; stingunebbið liggur fram ímillum judasoyruni)
judiciel	(løgfr.) rættarligur, fyri rættinum;judicielle forholdsreglerrættaratgerðir
judicium	skyn, ætl, metingarevni;han har et sundt j.hann dugir væl á at skyna, hann dugir væl at meta um, hann er skilagóður
judo	(ítr.) judo
jugement	skyn, ætl, metingarevni;efter mit j.eftir mínum tykki, sum eg dugi á at skyna, sum eg skilji
jugendstil	jugendstílur (rák í miðevropeiskari byggilist og brúkslist fyrst í 20. øld)
jugere	skyna á, meta um, ætla um;her kan ingen reglergives, du må i hvert enkelt tilfælde jugere,hvad der skal gøresí hesum føri verða ongar reglur gjørdar, tú mást í hvørjum føri sær meta um, hvat gjørt skal verða
jugoslav	jugoslavari
Jugoslavien	Jugoslavia
jugoslavisk	jugoslavskur
juhu	hei!; hó!
juice	sevja, saft, djús
juk	(sigl.) róðurarmur
jukeboks	jukeboks
jukline	(sigl.) róðurlína
juks	óvandaverk, eitt ið einki nyttar; rusk, órusl, skrambul;noget billig j.bíligt skrambul;det må dugøre om, det er noget j.hatta er óvandaverk, hatta mást tú gera umaftur
jul	jól;i julená jólum;til j.til jóla;han kommer til j.hann kemur á jólum;mellem j. oghelligtrekongermillum jólanna;mellem j. ognytårmillum jóla og nýggjárs;fejre j.halda jól;bære julen udbera jólini út, fara út aftur við jólunum á bakinum;glædelig j.gleðilig jól;ønskeén glædelig j.biðja einum gleðilig jól;julen varerlige til påskejólini vara til páskar,jeg fik en bog tilj.eg fekk eina bók til jóla;drikke j.drekka jól;holde j. og gode dagehava jól og góðar dagar;hvid j.kavajól
jule-	jóla-
jule	stákast til jóla; halda jól
juleaften	jólaaftan, jólaaftans kvøld;lille j.tollaksmessudagur
juleaftensdag	jólaaftansdagur
julebuk	jólabukkur (bukkur úr hálmi, brúktur sum jólaprýði)
juledag	jóladagur;juledagsaftenjólakvøld;j. i år falder påen tirsdagí ár er jóladagur týsdag
juleevangelium	jólaevangelium, jólagleðiboðskapur
juleferie	jólafrí, jólatíð
juleflue	(dý.) køstafluga (ið hevur livað veturin av)
julefrokost	jólaborðhald
julegave	jólagáva
juleglæde	(átr.) jólagleðin, gleðin um Jesu føðing
julehilsen	jólaheilsan
julekaktus	(plfr.) jólakaktus(Schlumbergeratruncata)
julekalender	jólakalendari, jóladagatal
julekort	jólakort
julekrybbe	jólakrubba (skrúðgongael.ímyndingar, ið lýsa Jesu føðing o. a.)
juleleg	jólaleikur
julelys	jólaljós
julemand	jólamaður
julemorgen	jólamorgun
julemusikanter	jólatónleikarar, jólasangarar
julemærke	jólamerki;sætte julemærker på julepostenseta jólamerki á jólapostin
julemærkehjem	jólamerkjaheim (barnaheim rikið við peningi frá jólamerkjasølu)
julemåned	jólamánaður
julenat	jólanátt (náttin til jóladag)
juleneg	kornbundi (sett út til fuglarnar á jólum)
julenisse	jólavættur, jólaveittur
julepynt	jólaprýði, jólapynt
juleri	jólastákan
julerose	(plfr.) jólarósa(Helleborus)
julesalme	jólasálmur
julesang	jólasongur
julesangere	jólasangarar; jólatónleikarar
julestads	jóla(træs)prýði;(eis.)jólastás, jólaklæði, klæði til jóla
julestjerne1	(bíbl.) jólastjørna (Matt. 2)
julestjerne2	1jólastjørna (úr t. d. pappíri sum jólaprýði; sum jólatræstoppur)2(plfr.)jólastjørna(Euphorbia pulcherrima)
julestue	1jóladeild í stórhandli2jólahugni (vinasamkoma)
juletid	jóltíðir; jólini frá jólaaftanskvøldi til trettanda;ved j.á jólum
juletræ	1jólatræ;danse om j.dansa um jólatræið2jóla(træs)veitsla;håndværkerforeningenafholder j.jóla(træs)veitsla verður í handverkarafelagnum
juletræspynt	pynt til jólatræ
juleøl	jólaøl (slag avhvidtøl)
juleønsker	jólaheilsanir
juli	juli
juliansk	júliskur;efter den julianske kalendereftir júlisku tíðarrokningini (sum Julius Cæsar setti í verk í árinum 46 fyri okkara tíðarrokning;smbgregoriansk kalender)
juliennesuppe	juliennusuppa (slag av grønmetissuppu)
jumbe	rossavognur (lítil tvíhjólaður vognur við einum rossi fyri)
jumbo-	risa-, risavaksin, trøllvaksin
jumbo	1(leika) fílur2drumbur
jumbojet	(flogm.) jumbojett
jumpe	bumsa, d(j)umsa;vognen jumpede hen advejenvognurin fór d(j)umsandi eftir vegnum
jumper	heil (konufólka) troyggja
jumpsuit	buksudrakt
jun.	yngri
junge	(mjólkar) biði
jungle	1frumskógur, villskógur2(fl.m.)fløkja, hurlivasi, vavgreytur, órudd
jungleagtig	frumskógar-; frumskógarkendur
junglefeber	(lækn., jungle fever) junglahitasjúka (eysturindisk malaria ið ger illkynjað blóðtrot)
junglekrig	frumskógarkríggj
junglelov	lógloysi, rættur teirra sterkastu, frumskógarlóg
jungletelegraf	(fl.m.) leysatíðindi, slatrisøga
jungmand	(sigl.) ts. s.ungmand;ungur sjómaður (ikki alfarin)
juni	juni;den ellevte j.tann ellivti juni (terminsdagur; ofta nevndurfandens fødselsdageins og 11. des.)
junior1	unglingur (ítróttafólk yngri enn 18 ár)
junior2	(um son) yngri, yngsti;Hansen j.Hansen yngri;(st) jr.el.jun.
juniorchef	yngsti stjóri
juniorhold	(ítr.) unglingalið
juniorleder	unglingaleiðari, unglingaoddafólk
juniortøj	unglingaklæði
junk	drøgg, rúsevni
junke1	nýta rúsevni
junke2	(kinesiskt far) junka
junker1	1smáir karvingar2(sø.)(ungur) prusslendskur góðseigari3(fl.m.)erpnavætti, junkari;han kan vel pudsesine sko selv, den j.hann kann sjálvur busta sínar skógvar, hasin junkarin
junker2	rúsevnismisnýtari
junkfood	fras (hópgjørdurel.tilvirkaður matur við lítlum føðsluvirði);Ssvans
junkie	síjunker3.
junonisk	(um konufólk) prúð (av navninum Juno, ovastu rómversku gudinnuni, systur og konu Jupiter, gudinnuni fyri hjúnalagi)
junta	hermannaráð (ofta í sambandi við stjórnir sum hava hernaðarfólk sum limirel.um bólk av hernaðarfólki sum hevur tikið ræðið í landi); sambólkur
juntastyre	hermannastýri
Jupiter	1(gudal.)Jupiter, navn á hægsta gudi í forntíðar Róm2(stjfr.)Jupiter (størsta gongustjørnan)
jur.	(ísamb.) stud. jur., cand. jur., dr.jur.
jura-	(jarðfr.) jura-
jura	løgfrøði, rættarvísindi;studere j.lesa løgfrøði
Jurabjergene	(sern.) Jurafjøll
juratid	(jarðfr.) juraøld, juratíð (fyri 190 til 135 milliónum árum síðan)
jure	(løgfr.) de j. sambærtel.eftir lógini
juridisk	(løgfr.) løgfrøðiligur, løgfrøði-, løgligur, rættarligur, rættar-;j. gyldighedløggildi;juridiske spidsfindighederløgfrøðilig hártogan;en gift kvindes juridiske stillingløgfrøðiliga støðan hjá giftari konu;j. konsulentløgfrøðiligur ráðgevi;j. personløgfrøðiligur persónur;j. studentløgfrøðilesandi, studentur ið lesur løgfrøði;som vedrører juridiske finessersum viðvíkur løgfrøðiligum snildum
jurisdiktion	(løgfr.) lógsøgn; rættardømi, løgdømi; lógøki har rættarviðgerð er;som ikke er underkastet opholdsstatens j.sum ikki er undir løgsøgn tilhaldsríkisins;det hører ikke under min j.hatta havi eg ikki heimild at avgera
jurisdiktionsregler	(løgfr.) lógsagnarreglur
jurisprudens	(løgfr.) løgspeki, løgvísindi, rættarheimspeki, almenn løgfrøði
jurist	(løgfr.) løgfrøðingur, sakførari
juristeri	(niðr.) løgfrøðiligar hárroytingar
jury	1(løgfr.)nevningating, nevningadómur, nevningar (bara í útlondum, ikki í danska ríkinum)2(løgfr.)dómsnevnd, metingarnevnd
jus	ísamb.rættur;j. practicandirætturin at útinna eitt starv,t.d.læknabræv, tannlæknabræv (rætturin at verael.starvast sum (tann)lækni)
just	júst, akkurát, beint, nett;det er j., hvad jegmenertað er júst tað, eg meini;ikke j.ikki beinleiðis; ikki júst;han er ikke j. kønhann er ikki júst vakur, synd at siga at hann er vakur
justerbar	sum kann verða stillaður
justere	1(tøkn.)stilla, rætta, beinka; løgmeta;j. etkompasrætta kumpass;j. bremsernestilla bremsurnar2(prent.)reglufylla3(teld.)staðrætta
justering	1stilling, rætting, beinking, javning2(prent.)reglubreidd
justervæsen	(løgfr.) lóggildingarstova (stovnur ið stillar øll mátingartól)
justifikationssag	(løgfr.) staðfestingarmál (eftir lóghald ella lógbann)
justits	1(løgfr.)lóg, rættur, regla, rættarskil; rættvísi2skil, agi;holde j.halda skil á;der var streng j.på sovesalentað var strangt eftirlit í sovisalinum
justitskrænkelse	(løgfr.) løgmálaskemming
justitsminister	løgmálaráðharri
justitsministerium	løgmálaráð
justitsmord	(løgfr.) dómsmorð (tað at døma ósekan), avrætting óseka
justitssekretær	rættarskrivari
justitsvildfarelse	(løgfr.) løgmálsvilla
jute	(plfr.) júta(Corchorus)
juvel	1(jarðfr.)gimsteinur; prýði, prýðislutur;kostbar j.virðismikil prýðislutur2(fl.m.)frægd, eitt ið skarar framúr
juvelér	skartgripaseljari, gullsmiður
juvelskrin	skrín(el.kistil) til skartgripir
juvenil	ungligur, unglinga-, barnsligur, barna-, ung-
jyde	1júti;stædig som en j. (uml.)treiskur sum eitt ross;han er en hel j. til at handlehann er ein brandur at selja;vi er alle jyder for vorherrefyri Várharra eru vit øll ófullkomin2(dýrel.lutir úr Jútlandi);ølvognen kørte medjyderølvognurin koyrdi við jútskum rossum fyri;tørre jyderturrar (saltaðar) skrubbur;destærke jydersterku jútarnir (um limir í átrúnaðarligari vekingarrørslu, sum tók seg upp fyrst í 19. øld á leiðini millum Horsens og Vejle)
jydepotte	svartur, óglæraður leirpottur
Jylland	Jútland
jysk1	(í bundnum sniði)-en,einkifltjútskt mál;sigenoget på j.siga eitthvørt á jútskum;tale et bredt j.tala rámligael.drynjandi jútskt
jysk2	jútskur;j. sindelagsinniligur;(bókm.) den jyskebevægelsejútska rørslan(jútskur heimbýlisskaldskapurumlár 1900)
jyskhed	jútskur máldámurel.málbúni;der er mangejyskheder i hans sprognógv jútskt sløðist uppi í hjá honum, tað eru nógvar jútskar máliskur í hansara málburði
jæger	1veiðimaður, byrsumaður;han var en ivrig j.hann var íðin veiðimaður2(hermíflt)servandir hermenn3(fl.m.ísmst); (t.d.) lykkejæger, pengejæger,sensationsjæger, skørtejæger
jægerjakke	frítíðarjakki
jægerkommando	(herm.) servant hermannalið
jægerkorps	(herm.) servant hermannalið
jægerløgn	1veiðimannabreggj2(fl.m.)skrøgg, hól, avgerð
jægt	(sigl.) jekta (norskur fiskibátur)
jærpe	(dý.) jarpi, skóghøna (serligaTetrostes bonasia)
