V,v1	1málljóð2bókstavur
vareudstilling1	vørusýning
vareudstilling2	vørusýning, vøruframsýning
vareudveksling	vørubýti
vareudvikling	vørumenning
varevogn	vøruvognur, vørubilur
varia	ymist(el.ymisk) blandað rit
variabel1	brigdil, variabul
variabel2	1broytandi, broytiligur, brigdiligur, skiftandi, variabul;v. modstandbroytilig mótstøða2(bú.) variable enhedsomkostningerbroytiligur eindarkostnaður;variable omkostningerbroytiligur kostnaður
variabilitet	broytileiki
variant	1frábrigdi, frávik, avvikden blomst er kun en v. af den almindelige smørblomsthetta blomstrið er bara eitt frábrigdi av vanligari svínasólju2orðamunur, lesimunur, variantur3(lívfr.)úrbregði
variantapparat	útgáva við tekstum, sum fleiri vísindamenn, hvør sær, hava tulkað
variation	1fjølbroytni, fráber, broyti, skifti, frávik, ymiskleiki, margfeldi, variatión;det er en tiltrængtv. i kosten at få kød efter mange dage medfisktað er sum eitt fráber at fáa kjøt aftan á nakrar dagar við fiski(el.fiskadagar);det er envelgørende v. i dagligdageneitt hugaligt(el. tlm.vælgerandi) broyti í gerandisdegnum2(tónl.)frábrigdi, variatión3sívariabilitet
variationsbredde	(í hagfrøði) breidd, spenni
variere	1skifta, broyta, broytast, bera frá, vera ymiskur frá;temperaturen varierer medårstidernehitin broytist(el.skiftir) við árstíðunum;priserne varierer med noglehundrede kronertað eru nakrar hundrað krónur á muni á prísunum;v. et musikalsk temavariera eitt tónleikatema2[lh nútsuml]varierendeójavnur, misjavnur, skiftandi3[lh tátsuml]et varieret programfjølbroytt skrá;lidet varieretfátáttaður, fábroyttur, einfaldur
variete	
varietet	(lívfr., plfr.) frábrigdi, undirflokkur;rosenforekommer i fire varieteterrósan finst (fæstel.er) í fýra (ymsum) frábrigdum
varieté	kabarettsýning; teitishús, teitisskáli
varietéforestilling	(sjónl. osfr.) kabarettsýning, teitissýning, varietésýning
varietékunstner	kabarettleikari, teitisleikari, varieteleikari
varietésanger	kabarettsangari, teitissangari, varietesangari
varig	varandi, haldgóður, støðugur;et varigt mindeeitt varandi minni;en v. stillinglívsstarv;varigtliggende vejrstøðuveður;varige forbrugsvarerhaldgóðar(el.varandi) nýtsluvørur;varigeforbrugsgodervarandi góðar;værk af v.betydningverk av varandi týdningi(el.ið hevur varandi týdning);v. tandvaksnamannatonn
varighed	(um tíð) longd, gildistíð, viðstøða
variometer	(flogm.) stig- og fallmálari
varlig	(gl.) varligur, ansin, varin
varm	1heitur, lýggjur, fjálgur;blive v.hitna, orna;blivev. om hjertetflóna um hjartað;blevet v. igenafturornaður, vorðin heitur aftur, fingið hitan aftur;gloende v.glóðheitur;en v. dagheitur dagur;det er varmt i vejret i dagtað er lýtt í dag;en v. frakkefrakki, ið lívir væl, heitur(el.góður) frakki;holde maden v.hylja mat;motoren løberv.motorurin gongur heitur;varmt og koldt vandheitt og kalt vatn;spise en v.reteta heitan mat;v. drikheitur drekkamuður, drekkamunnur, ketilsdrekka(t.d.te, kaffi)2(fl.m.) så er der lukket for det varme vandnú er uppi(el.liðugt), nú fáa tit ikki meira;han harikke opfundet det varme vandhann hevur ikki uppfunnið krútið;v. jomfrukona, ið ger heitan mat á matstovu;det går som varmt brødøll spyrja eftir tí, ein øgiligur gravgangur(el.rovgangur) er eftir tí, stórur eftirspurningur er eftir tí;gå uden omnoget, som katten om den varme grødmala uttanum, sum hundur um heitan greyt;få en v.endefáa sigarettstubba at festa sær í við;smedemedens jernet er varmtnýta høvið, nýta løgini;env. farve, stemmeheitur(el.fjálgur) litur, heit(el.hjartalig) rødd;et varmt smileitt fløvandi(el.hjartaligt) bros;en v. kartoffelvið kvæmt(el.viðbrekið) mál;hendes varme omsorg forbørnenehon var góð við børn ini;mine varmesteønsker følger digeg ynski tær alt tað besta;en v.beundrer af nogethámeta eitt;hans interesse forsagen må ikke kølnes, du må holde ham v.hann má ikki missa áhugan fyri(el.á) málinum, tað mást tú síggja til;tale sig v.tala seg heitan (um eitt/fyri einum);jeg er ikke rigtig v. på detforetagendemær dámar ikki hetta nóg væl, mær dámar hatta einki;være v. på en pigevera skotin í gentu, hava gott eyga á gentu, hava góðan hug á gentu;v. linjeheit linja(t.d.heita linjan millum Washington og Moskva)3[sumhj] heitt, heitliga;han kyssede hendevarmthann kysti hana heitliga(el.so søtan)
varmblodet	1(dý.)blóðheitur, við heitum blóði;varmblodede dyrdýr við heitum blóði(isothermi)(sbr.koldblodet)2fýrin, fýrisligur, eldhugaður, ivrigur, sprækin, við heitum blóði;en v. italienerfýrigur italiumaður
varmblodig	sívarmblodet2
varme1	1(í upprunamerking) hiti, varmi, ylur;lidt v.flógvi, flóni, fløvi, lunki, lýni;give lidt v.verma, hita, fløva;kan du få varmenornar tú (nú);kan duholde varmen?ert tú heitur (enn);indlægge v. iet husleggja hita inn í hús;metaller ledervarmenmetal leiða varma;stønne af v.suffa(el.stuna) av hita;der er ikke meget v. i den dynehanda dýnan nyttar (svarta) einki;have v. ikakkelovnenhava fløva í ovninum;jeg har detmed v.eg fái hitabylgjur;har I ikke v. på(radiatoren) i dag?hava tit ikki skrúvað radiatorin frá í dag?;kom indenfor i varmen!kom inn í hitan;sejle på varmensigla úti í teim heitu londunum(el.í hitalondunum);huslejen er 5000kr. uden v.húsaleigan er 5000 kr., tá er hiti ikki íroknaður2(fl.m.) være fuld af v. for en saghava eitt sum hjartamál;tale med begejstringens v.tosa eldhugaður fyri einum(el.um eitt)
varme2	verma, hita, heita, (um klæðir) líva;v. lidtlýna;v.jævnt, mildtylja;v. en kop kaffeheita(el.hita) ein kaffimunn;ovnen varmer godtovnurin vermur væl;v. vand til kaffekóka vatn til kaffi;v. sig vedovnenverma seg við ovnin;en snaps til at v. sigpåein lítlan fyri at fáa hita í kroppin (aftur);v. enmotor ophita motorin upp;v. en villa ophita hús upp;v. bænkeikki fáa dans;v. ens ørergeva einum ein undir vangan,(el..)geva einum eina skortfleingju;taleren varme forsamlingen oprøðarin fekk áhoyrararnar at lurta (eftir sær);dinvenlighed har varmet mig (om hjertet)tað fløvaði, at tú vart so blíður
varmeafsnit	(alisfr.) varmadeild
varmeaktiv	(alisfr.) hitavirkin
varmeamperemeter	varmaamperemetur
varmeanlæg	hitaverk
varmeapparat	hitatól, hitari, ovnur
varmebehandle	viðgera við hita, doya;varmebehandlet mælkhitaviðgjørd mjólk
varmebehandling	(lækn.) hitaviðgerð
varmebestandig	varmadyggur, sum heldur hitanum
varmebord	hitaborð (nýtt á matstovum at halda mat heitan)
varmebækken	glóðker, seingjarvarmari
varmebølge	hitabylgja
varmedannelse	(alisfr.) varmagerð
varmedis	hitatám
varmedunk	varmadunkur, varmafløska
varmedynamik	(alisfr.) varmaelvi
varmedød	(alisfr.) varmadeyði;universets v.varmadeyði alheimsins
varmeenergi	varmaorka
varmeenhed	(alisfr.) varmaeind, hitaeind
varmeevne	(alisfr.) varmagáva
varmefast1	hitadyggur, sum tolir hita
varmefast2	sívarmebestandig
varmefrembringelse	hitaelving
varmefylde	(alisfr.) evnisvarmi
varmegrad	hitastig
varmeisolator	varmabjálvari
varmeisolere	hitabjálva
varmekasse	varmakistil, kuvøsa
varmekilde	varmakelda, orkukelda;solen er vor vigtigste v.sólin er týdningarmesta orkukelda(el.varmakelda) okkara
varmekælder	fýrrúm
varmeleder	(alisfr.) hitaleiðari
varmeledning	varmaleiðing
varmelegeme	(alisfr.) hitari, hitatráður, varmatráður(t.d.í elektriskum strúkijarni)
varmelære	varmalæra
varmemester	hitavørður
varmemur	(flogm.) hitamúrur
varmemængde	(alisfr.) varmanøgd, varmamongd
varmemåler	hitamálari
varmemåling	hitamáling, varmamáling
varmeomkostninger	upphitingarkostnaður
varmeovn	elektriskur ovnur
varmeplade	kókiplata (á komfýri)
varmepude	varmapúta, varmakoddi
varmepumpe	varmapumpa, hitapumpa
varmepåvirkning	hitaárin
varmeregning	hitarokning
varmeregulering	hitajavning
varmerum	hitarúm
varmerør	hitarør, varmarør
varmeskab	varmaskáp
varmeskjold	(á rúmdarfari) varmaskjøldur
varmespiral	varmasnyril, varmaspiralur
varmestrømning	varmarák
varmestråle	varmageisli;(alisfr.) lyse varmestrålerljósir(el.lýsandi) varmageislar;mørke varmestrålermyrkir (dimmirel.døkkir) varmageislar
varmestråling	varmageisling
varmestue	varmastova, hitastova
varmetab	hitamissur, hitatap
varmeteori	(alisfr.) varmaástøði
varmetråd	hitatráður
varmeudtag	varmaúrtak (stað á varmaleiðing, haðani hiti verður tikin til rúm)
varmeudvidelse	hitavíðking
varmeudvidelseskoefficient	(alisfr.) hitavíðkingartal
varmeudviklende	hitaelvandi
varmeudvikling	hitagerð
varmeveksler	varmaskiftil, varmavekslari
varmevirkning	(alisfr.) varmavirknaður, hitavirknaður;denelektriske strøms v.varmavirknaður ravmagnsstreymsins
varmevirksom	hitavirkin
varmeværdi	varmavirði
varmeværk	hitaverk
varmfront	(veðurfr.) hitabrúgv
varmhjertet	hjartagóður, hjartaligur
varmluft	heit luft, lýggjel.flógv luft;bygningen opvarmesmed v.húsini verða upphitað við heitari (flógvari) luft
varmluftkomfur	komfýrur við heitluftsovni
varmluftopvarmning	heitluftsupphiting, upphiting við heitari luft
varmluftsballon	heitluftsballón
varmtfølende	hjartagóður, hjartaligur;en v. og højsindetkvindehjartagóð og hásinnað kona
varmtfølt	hjartaligur, inniligur;en v. takein hjartalig tøkk
varmtvandsbeholder	heitvatnstangi
varmtvandshane	krani til heita vatnið, heitvatnskrani
varp	(sigl.) varp, tog, endi
varpanker	(sigl.) varp, varpakker, lítið akker
varpe	1blive varpet udverða útblakaður, verða úttveittur2(sigl.)flyta (draga) skip við varpi
varptrosse	(sigl.) varptog, ílatog
varsel	1fyriboðan, ávaring, varningur, fyrivarningur, undandøttur, fyridøttur, fyriburður, varing, boð, tekin;give en v. (ítr.)geva ávaring;give en v. om nogetgeva fráboðan um;høre, se v. om ulykkehoyra, síggja fyri ófrættum;rejse fra sin stilling uden v.fara úr starvi uttan at boða frá frammanundan;skyde uden v.skjóta við ongari ávaring;være godt v.boða frá góðum;sirenerne gav v. to gange den natávaringarlúðrarnir ýldu tvær ferðir(el.reisir) ta náttina;arbejderne har givet første v.arbeiðsmenninir hava givið fyrstu fráboðan(el.ávaring);tage v. af stjernernes stillingfáa fyrivarning við at kanna stjørnurnar;jeg tager det som et v. om, at han snart vil trække sig tilbageeg haldi, at tað bendir á(el.boðar frá), at hann skjótt fer at siga seg úr starvinum(el.siga upp);v. om dødfeigdarboð;med halvt års v.við seks mánaða freist (frestel.ávaring);med kort v.við stuttari freist(el.frest), við stuttum skotbrái2(løgfr.)kald og varselákall og varningur
varselråb,varselsråb	ávaringarróp
varselskrig,varselsskrig	sívarselsråb
varselskud,varselsskud	ávaringarskot
varsko1	ávaring;begivenhederne er et v. om aturoligheder kan venteshendingarnar eru tekin um, at ófriður kann væntast;råbe v.rópa varskógv;forlade sin plads uden v.fara úr starvi uttan orð ella boð (siga uppel.uttan at siga frá);give én v.vara ein, varskógva ein
varsko2	siga frá, ávara, vara, varskógva;v. én om atvara ein við;vil du v. mig, når han kommer?vilt tú siga mær frá, tá ið hann kemur?
varsko3	varskó;af banen for kælken, v.!farið av vegnum, vit koma nú (á sletu), (børn,skemt.)vekk av vejen, kongen skreier
varskoråb	varskóróp
varsle	boða, boða frá, boða fyri (góðum, illum); gera (einum) boð, spáa;det varsler godt for hansfremtidhatta kundi bent á, at framtíð hansara verður bjørt;adskillige ting varsler om, at vi fåren hård vintermangt bendir á, at veturin verður harður;v. strejkeboða frá verkfalli;sirenernevarslerávaringarlúðrarnir ýla;v. en ulykkeboða frá illum, boða frá vanlukku;v. én om nogetgeva einum boð av einum, gera einum boð um eitt
varsling	ávaring
varsom	1varin, varligur, varisligur, hóvligur, umhyggin;vær v. medæggenever varin við eggjunum, ansa eftir eggjunum;v. kørsel!koyrið varliga!;han fortaltehende varsomt den sørgelige nyhedhann bar henni varliga(el.varisliga) tey syndarligu tíðindini;være yderst v.síggja seg í nevan(t.d.hann sær seg ikki í nevan fyri at geva)2[sumhj] varliga, varisliga, umhyggiliga, eiriliga
varsomhed	varsemi, hóvseimi
varte	bera (inn) á borðið, stákast, ganga til handa, ganga fyri borðum,(tlm.)varta upp;tjenerenvartede gæsterne optænarin gekk gestunum til handa;han skal evig og altid vartes ophann vil hava, at vit skulu bera honum alt upp í hendurnar; hann vil hava, at vit altíð skulu bera hann (uppi) á lógvunum; hann vil hava, at vit altíð skulu lyfta og lætta honum;v. op medkaffe og kagerseta kaffi og køkur á borðið, bjóða einum kaffi og køkur;v. op med detsædvanlige sludderkoma við tí vanliga møsninum
vartegn	eyðkenni, kennimerki, frámerki, staðarmerki, býarmerki;Gåsetårnet er Vordingborgs v.Gásatornið er eyðkennismerkið(el.býarmerkið) hjá Vordingborg
varulv	(pátrúgv) varúlvur
vasal	1(sø.)lensmaður (maður, ið hevur len í hondum afturfyri at hava svorið lensharra sínum trúskap)2sívasalstat
vasalforhold	(sø.) lensskylda, eiðbundin skylda;stå i v. tilhava svorið lensharra trygdareið
vasalstat	tegnland, fylgiland, varðland
vase	vasi /vaase/
vasektomi	(lækn.) tað at gera mann lívsøran við at kvetta av vas deferens (sáðstrongin)
vaseline	vasilin /va-/, vassilin
vask	1vasking, vask, tváttur;tandbørstning og v.tager et kvarterat busta tenn og vaska sær tekur eitt korter;holde én med v.vaska klæðini hjá einum;overfladisk v.labbaskav,(staðb)sneiðuvask;tøjet er krøbet i v.plaggið tódnaði, tá ið tað varð vaskað;pletten gik af i v.bletturin(el.pletturin) fór burtur, tá ið plaggið varð vaskað;sende tøj til v.senda klæðir til vaskingar;hendes v. er altid skinnende hvidtað, ið hon vaskar, er altíð gullreint2vask;stille servicet i vaskenseta uppvaskið (frá sær) í vaskið3(fl.m.) gå i vaskenverða av ongum, detta(el.gleppa) niðurfyri, einki spyrst burtur úr einum, doyggja í egginum; fara fyri einki(el.skeyti[ð])
vaskbar	vaskandi, tvágandi, sum tolir at verða vaskaður (tvigin, tváddurel.tváaður)
vaske	vaska, tváa,(tlm.)skimma;v. (sit) ansigtvaska sær um eyguni(el.um andlitið);v. (sine)hænder, føddervaska sær um hendurnar, føturnar;v. gulvvaska gólv, vaska eftir gólvinum, turka burturav (gólvinum);v.håretvaska sær í høvdinum;v. noget overfladisk afstrúka burtur av einum, káva burtu av einum;v.tøjklædnavask, vaska klæðir;hun vasker tøj forhamhon vaskar klæðini hjá honum;v. i håndenvaska millum hendur;v. en plet af kjolenvaska blett burtur úr kjólanum;v. servicet afvaska upp;v. panelerne afvaska upp og niður;v. opvaska upp; (á posthúsi)v. breve opleggja brøvini soleiðis, at øll frímerkini venda sama veg;v.gulvet overturka eftir(el.burtur av) gólvinum;v.et sår udreinsa sár;v. guldskola(el.vaska) gull;katten vasker sigkettan snákar(el.vaskar) sær;v. korteneblanda kortini;bølgerne vaskede modskibetsjógvurin breyt móti skipssíðuni;en mandblev vasket over bordmaður sló út, maður tók út (av sjógvi);halvdelen af kystvejen blev vasketbort af bølgernebrimið tók(el.skolaði) ein stóran part av strandarvegnum burtur, brimið fór við einum stórum parti av strandarvegnum;v.ens ørergeva einum ein undir vangan;v. sig renfor en beskyldningreinsa seg fyri ákæru;(eis.ífl.m.) v. sine hændervaska sær um hendurnar, onga ábyrgd taka av einum (Matt 27, 24);den enehånd vasker den andenendurgerð og viðurgerð eru longstir vinir (um sínámillum hjálp);en løgn,der har vasket sigrótfest lygn
vaskebalje	vaskibalja, vaskikar
vaskebjørn	(dý.) tváttarbjørn(Procyon lotor)
vaskebræt	tváttarfjøl, vaskifjøl, vaskibretti
vaskefad	vaskifat
vaskeguld	skoligull
vaskehus	vaskihús
vaskekjole	kjóli, ið tolir at verða vaskaður
vaskeklud	eygnalappi, lappi; tvøga
vaskekone	vaskikona, tváttarkona
vaskekumme	vask, vaskikumma
vaskekurv	(gl.)(stór kurv at goyma el. flyta klæðir, ið skulu vaskast) vaskikurv; sí eis.snavsetøjskurv
vaskekælder	vaskikjallari
vaskemaskine	vaskimaskina, tváttarmaskina
vaskemiddel	vaskievni, tváttarevni, vaskipulvur
vaskepande	sáld (sum gullgravari skolar sand í)
vaskeprogram	vaskiskrá,(tlm.)vaskiprogramm (á vaskimaskinu)
vaskepulver	vaskipulvur
vaskeri	vaskarí, vaskihús, tvátt(ar)hús;sende tøj til v.senda klæðir á vaskarí
vaskeriejer	vaskihúseigari
vaskerum	vaskirúm
vaskeseddel	vaskiseðil (sum vaskihúsið gevur viðskiftafólki)
vaskeskind	vaskiskinn
vaskestof	plaggel.tilfar, ið tolir at verða vaskað
vaskesuger	(vask)súgvari
vasketur	(í íbúðahúsum) vaskitørn (vaskiraðfylgja hjá familjunum)
vasketøj	klæðir at vaska, skitin klæði, skitnatoy
vaskevand	vaskivatn
vaskeægte	1vaskandi, sum tolir at verða vaskaður;er stoffetv.?tolir klæðið at verða vaskað?2(fl.m.)reinur, ektaður, ramur;en v. indianerein reinur(el.ektaður) indiáni;en v. materialistramur (gjørdurel.reinur) materialistur; fólk, ið er ótt eftir verðini
vasomotorisk	(likam.) sum stýrir æðravíddini;devasomotoriske nervernervar, ið stýra æðravíddini
vat	1vatt;rense et sår med v.reinsa sár við vatti2(fl.m.) de pakker datteren ind i v.tey ansa alt ov væl eftir dóttrini, tey liggja og bøla oman á dóttrini
vater	vera vatnrættur /vann-/
vaterbord	(sigl.) deksplanki út ímóti skipssíðu
vaterline	(sigl.) endi, sum hongur aftur við skipssíðu (sum menn á báti kunnu halda í)
vaterpas	loddbretti, vatnbretti, vaturpass
vatikanerconcil	(kat.) kirkjufundur (um teir báðar kirkjufundirnar, sum hildnir vórðu í 1869-1870 og 1962-1965)
Vatikanet	(sern., landafr.)Vatikanríki, Vatikanið (pávaríki, bústaður pávans)
vatikansk	Vatikanríki viðvíkjandi, vatikanskur
Vatikanstaten	Vatikanríki
vatnisse	kloddi, tvøga, hosa, vøttur, bløka
vatpik	(óvand.) sívatnisse
vatpind	vattpinnur
vatre	geva aldumynstur (pressa plagg millum mynstraðar valsar, soleiðis at tað fær aldumynstur)
vattere	fóðra við vatti, vattfóðra;et vatteret tæppevattfóðrað teppi
vattering	vattfóður;vatteringen er ved af falde ud afjakkens ene skulder(vatt)fóðrið er um at detta úr aðrari økslini
vattersot1	(lækn.) vatnsótt
vattersot2	vatnsjúkur, vatnsóttarligur
vattet	(um fólk) linur, eftirlátligur; (um ljóð) doyvt
vattot	vatttógvi
vattæppe	vattteppi
vaudeville	lættur skemtisongleikur, vaudevilla
vb.	(st.) verbum
V-bombe	V-bumba (týsk rakettbumgerin ba, ið varð nýtt ímóti endanum av seinna heimsbardaga; á týskum:Vergeltung= afturløning)
VCR	(st.)VideoCasetteRecorder sjónbandsupptøkutól
V-dag	V-dagur, sigursdagur (á enskum:Victory= sigur)
v-dal	v-dalur
ve1	verkir, barnsverkir, barnsótt (ísamb.við barnburð);veerne begyndtehon fekk verkir, hon fekk ilt (við barni);anfald af veerríðel.ríðir
ve2	harmur, sorg, óeydna;han tænker på andres v.og velhann hugsar um onnur(el.um hvussu øðrum veit við)
ve3	vei;v. mig!vei mær!, eya meg!;v. os ulykkelige!vei okkum óeydnisfólkum;v. dig, hvis du rørermine sagerGud(el.Hann) náði teg, um tú nertur míni ting;hvad hjælper det at råbe ak ogv.einki nyttar at gremja seg
ved1	1viður;piletræets v. er sejt og bøjeligtviðurin í pílatrænum er seigur og gyrðin2(fl.m.) bære v. til brændebirta uppundir, hæsa undir(t.d.klandur), gera ilt verri, vera illibirtil
ved2	bendingarsnið avvide
ved3	við, undir, á, um, hjá1[sumfs](um staðið)huset ligger v. banegårdenhúsini standa við jarnbreytarstøðina;stolen står v. siden af kakkelovnenstólurin stendur tætt við ovnin;der lå gård v. gård på den frugtbare egngarðarnir vóru tættir í tí fruktagóða landslagnum;han ledede den blinde v. håndenhann leiddi tann blinda;v. gavlenundir skjøldrinum;v. håndentøkur;v. siden af énundir liðini á einum;sidde v. ens sidesita hjá einum;v. et tilfældeav tilvild;han ligger inde v. ingeniørtroppernehann er í verkfrøðideild hersins;hen v. 5000 mandúti við 5000 mans; (um tíð); á, um;vi er v. at gåvit fara nú;v. dagá degi;v. nattetidá náttartíð, á nátt;v. sekstidenum sekstíðina;v. denne tidum hetta mundið (leitiðel.hesa tíðina); (um amboð, hátt);ernære sig v. fiskerivera fiskimaður;nævne én v. navnnevna ein at(el.á) navni;v. at cykle kommer man hurtigere frem end v. at gåskjótari er at súkkla enn at ganga;teksterne er udgivet v. NNNN hevur útgivið tekstirnar, NN hevur latið tekstirnar prentað;han er god v. børnhann er barngóður /bann-/, hann er góður við børn;han var nær v. at grædehann mundi farið at grátið;være v. godt modhava gott mót, hava gott treyst, vera hugagóður, hava vón, vera vónríkur;det er det morsomme v. dettað er tað stuttliga við tí;alt er v. det gamlealt er sum vant; alt er, sum tað plagar at vera; alt gongur sína vanligu gongd;der er ikke meget v. den historiehanda søgan hevur lítið upp á seg;han ville ikke være v., at han havde gjort dethann vildi ikki vera við(el.viðganga) tað, at hann hevði gjørt tað2[sumhj]her ligger huset og stationen ligger tæt v.her standa(el.eru) húsini, og støðin er tætt við(el.hjá);blive v.halda fram(el.á);hænge vedminnast aftur, (í telefon)hæng v.!bíða mær eitt sindur;hun hænger v. sit hjemhon ov heimkær; hon fær ikki slept barnaheiminum; (um royk)lugten hænger v.(el.i)roykurin gongur at hasum(el.hongur upp í hasum);vare v.halda á, halda við, standa við
veda	(átr.) veda (fornindiskar trúarskriftir)
vedbend	(plfr.) viðbendil, viðbenda(Hedera)
vedbendklædt	viðbendlavaksin
vedblive	halda fram (áel.við), hava við, havast við, standa við;han vedblev (med) at spisehann legði ikki frá sær; hann helt á at eta;han vedbliver at være medlem af bestyrelsenhann heldur fram sum stjórnarlimur(el.stýrislimur);uvejret vedblev at raseillveðrið helt við(el.linnaði ikki);han vedbliver at se godt udhann ber seg framvegis væl; aldur sæst ikki á honum; hann hevst væl við (hóast hann er gamal), har sæst ikki høgg á føti;han vedblev at bede hendehann helt so við at bøna hana
vederfares	henda, vera fyri;han var rørt over, at den ære skulle v. hamhann var rørdur, at slíkur heiður skuldi vera honum fyri(el.falla honum í lut);(skemt.) lade vinen v. retfærdighednjóta og drekka vínið til fulnar
vederheftig	fíggjarliga tryggur (hollurel.dyggur), álítandi
vederkvæge	(skaldsk.) leska, kveikja, styrkja;v. én med nogetkveikja ein við einum
vederkvægelse	tað at verða kveiktur, kveik
vederlag	viðurgjald, samsýning, gjald,(bíbl.)viðurlag (Mark. 8, 37);give én v.samsýna einum eitt;særligt v.framíhjáløn;uden v.fyri einki
vederlagsforudsætning	(løgfr.) viðurgjaldsfyritreyt
vederlagsfri	ókeypis, kostnaðarleysur
vederlægge	geva afturfyri, rinda, gjalda, løna aftur, muna aftur, endurgjalda
vederstyggelig	andstyggiligur, viðurstyggiligur, andstyggur, ótespiligur, avskræmiligur, vamlisligur
vederstyggelighed	andstygd, viðurstygd;det er ham en v.tað býður honum ímóti, tað dámar honum ógvuliga illa
vedet	(avelt,herm.)hestvørður, varðmaður á hestbakiel.rossabaki, útvørður
vedetbåd	(gl, herm.)lítil varðbátur (nýttur til eftirlits- og njósnarferðir)
vedføje	leggja afturat, skoyta uppí, eyka til;vedføjet følger min dåbsattestdópsseðilin er lagdur hjá
vedføjelse	uppískoyti
vedgå	1játta, ganga við, ásanna, við(ur)ganga, íganga;han vedgik at have taget af kassenhann játtaði(el.viðgekk), at hann hevði tikið úr kassanum;v. sin syndjátta syndir sínar;ikke vedgåetikki viðgingin2det vedgår ikke digtað kemur ikki tær við
vedgåelse	játtan, ásannan
vedgåelsesbo	(løgfr.) viðtøkubúgv
vedhefte	sívedhæfte
vedholdende	1áhaldandi, varandi, støðugur, tógvin, tráur, sum heldur á, sum stendur við, samfeldur, sam-;hans flid er stor og v.hann er (ógvuliga) ágrýtin;v. blæsthæsingur, tømingur;v. regnsamregn, tað regnar samfast;v. snevejrsamkavi, samrok, ikki helmar í(t.d.kavarokið);v. vejrsamveður, samviðri;med stor og v. flidvið miklum og áhaldandi ídni2[sumhj] støðuliga, í heilum, tráliga;spørge v.spyrja tráliga
vedhæfte	1festa við/í, skoyta uppí, leggja hjá/við, leggja afturat2lh.vedhæftet;gemme filer, der er vedhæftetgoyma fílur, ið eru viðfestar;kortet var vedhæftet bukettenkortið var fest í blómutyssið
vedhæng	darl, dirl, heingiprýði(t.d.á oyraringi);en ørenring med et lille v. af guldoyraringur við einum lítlum gullheingiprýði(el.h. av gulli);(likam.) blindtarmens v.ágørn
vedhænge	et Danmarkskort med vedhængende navneregisterdanmarkarkort við navnaskrá;hans seje vedhængen ved det gamlehann vil hava, at alt skal vera sum vant(el.við tað gamla)
vedhængning	(alisfr.) áfesti
vedhængningskraft	(alisfr.) áfesti
vedk	(st.)vedkommende
vedkende	kennast við (eitt), standa við (eitt), ganga við, viðganga, íganga, játta, vátta,(kv)ganga einum við, ganga við nøkrumel.nakað;han ville ikke v. sig det anonyme digthann vildi ikki kennast við navnleysu yrkingina;jeg vedkender mig, hvad jeg har sagteg standi við tað, ið eg havi sagt;ikke ville v. sig nogetsiga seg ikki hava gjørt eitt, ikki vilja bera kannuna av einum
vedkomme	koma (einum) við,(óvand.)raka (ein);det vedkommer ikke digtað kemur ikki tær við,(óvand.)hatta rakar ikki teg;det vedkommer ikke sagenhatta kemur ikki málinum við;de mennesker vedkommer ikke migteimum(el.hasum) fólkunum varði eg ikki av;stikke næsen i ting, der ikke vedkommer énsneyta í øllum, ein einki hevur við at gera; koma sær so óvaskaður uppí
vedkommende1	(bara ísamb.við)for mit (hans etc.) v.mær(el.honum) viðvíkjandi, hvat mær (honum) viðvíkir, fyri mín (hansara) part;for deres v.teimum viðvíkjandi;for mit v. mener jegeg svari fyri meg
vedkommende2	avvarðandi, sum talan er um,(tlm.)viðkomandi;de enkelte sager indbringes for v. myndighedertey einstøku málini verða løgd fyri avvarðandi myndugleika(el.vald);sagen er blevet ham alt for v.hann gongur alt ov nógv upp í málið;v. firmavirkið, sum talan er um; virkið, tað snýr seg um;andragendet er tilstillet rette v.umsóknin er løgd fyri avvarðandi myndugleika(el.vald);når en befalingsmand giver en menig en ordre, må v. straks rette sig efter dentá ið yvirmaður gevur hermanni boð, skal hesin straks gera eftir teimum
vedl.	(st.)vedlægge
vedlagde	bendingarsnið avvedlægge
vedligehold	sívedligeholdelse
vedligeholde	halda, røkja, sita um, umsita,(tlm.)halda við líka;huset er pænt vedligeholdthúsini eru (hampiliga) væl hildin;de vedligeholdt en pæn omgangstoneorðalagið hjá teimum var altíð siðiligt, teir vóru altíð siðiligir í orð og tal;v. en forbindelsehalda samband(ið) við ein
vedligeholdelse	hald, umsiting, røkt
vedligeholdelsesomkostninger	umsitingarkostnaður
vedligeholdelsespligt	(løgfr.) umsitingarskylda
vedligeholdelsesudgift	umsitingarútreiðsla
vedlægge	leggja hjá, leggja inní(t.d.í brævbjálva);De bedes v. fotografigerið so væl at leggja mynd hjá;vedlagt følger 7 bilag7 fylgiskjøl eru hjáløgd;vedlagt filviðfesti
vedmasse	(skógfr.) viðarnøgd (rúmmálið av tí viðarkenda partinum av trænum oman á jørð; vanliga verða greinar og stabbin ikki roknað uppí)
vedplante	viðarplanta
vedplanter	(plfr.)viðarvøkstur
vedr.	(st.)vedrørende
vedrøre	viðvíkja, koma einum við, nema, snúgva seg um;det vedrører kun mighatta kemur bara mær við;det er noget, der ikke vedrører migeg varði ikki av hasum, hatta kemur mær ikki við;jeg har intet at bemærke vedrørende denne sageg havi einki at skoyta uppí(el.leggja afturat) hesum máli viðvíkjandi
vedstå	sívedkendesig; jeg vedstår min tidligere udtalelseeg standi við tað, (ið) eg havi sagt
