h. a.	el.hujus annií hesum ári
hellenist	serkønur í grikskari mentan
hellenistisk	hellenistiskur
hellensk	grikskur, hellenskur;den hellenske oldtidhellenska forntíðin/fornøldin
heller	(í noktandisetn.) heldur;det kan du h. ikketað kanst tú heldur ikki;ej h.ei heldur, og heldur ikki;h. ikkeheldur ikki;og jeg glemte h. ikke digog teg gloymdi eg heldur ikki;så slemt var det nuh. ikkeso galið var tað nú heldur ikki
hellere	feginelgjarna, heldur, helst;(hást) helstsítað;pas nu h. lidt på!leyp nú ikki framav!;vi må h.lade det være, som det ervit mugu heldur lata hetta vera, sum tað er;du må nok h.tú átti heldur;h. endheldur enn, framum;jeg vil h. lademig hængefyrr skal eg liggja eftirá;tag det h.med det godetak tað heldur við góðum
helleristning	(fornfr.) helluristingar (tekn og myndir, rist á slættar hellur)
hellig	1(átr.)heilagur, halgur, dýrur;den helligeJomfruVár Frúa; heilaga jómfrúin;de hellige trekongerteir tríggir vísmenninir;den helligenadverheilaga kvøldmáltíðin;den hellige skrifthalgabók;den hellige familiehitt halga húskið (Jesusbarnið, Maria og Jósef);den hellige natheilaga náttin, jólanátt;det hellige landheilaga landið (Ísrael);den hellige stadheilagi staðurin (Jerúsalem);den hellige gralheilagi kalikurin (ið Kristus nýtti seinastu kvøldmáltíðina, og sum seinastu blóðsdropar hansara runnu í);denhellige almindelige kirkeheilaga almenna kirkjan;holde dagen h.halda dagin heilagan;DeSidste Dages Helligesíðstu daga halgu (mormonar);h. rædselærufrykt2(niðr.)gudiligur;`h.'frelstur;de helligetey heilagu (um heimamissiónina)3(kat.) den hellige oliesíðsta oljan;den helligestolpávastólurin; stólurin halgi;den hellige faderhalgi faðirin (pávin)- B.(fl.m.) stille sig helligtanlátast sakleysur;det tør jeg sværge højt oghelligt påtí tori at svørja fyri; tað tori eg at svørja dýrt;intet er ham helligteinki er honum heilagt;tro den hellige grav vel forvarethalda væl standa til, halda grindina vera í pottinum;anlæggeen h. minesíggja frómur út- C.(plfr.) det helligefigentrævísdómstræ(Ficus religiosa); (stjmfr.)h. krigheilagt kríggj;(sø.)det helligetysk-romerske rigehalga týsk-rómverska ríkið (800-1806)
helligaften	(átr., skm.)halgiaftan, atfangadagur (kvøldiðel.dagurin fyri halgidag)
helligbrøde	1(átr.)halgibrot, vanhalgan2(núserst. fl.m.) det var en h. mod stilen ikunstværkettað var halgibrot ímóti stílinum í listaverkinum
helligdag	1(átr.)halgidagur, heiligdagur, halga;ihelligdageneum halguna;påsken har 4helligdagepáskirnar hava 4 halgidagar;skævehelligdagehalgidagar, ið ikki fella á sunnudag;togplan for søn- og helligdagetokferðaætlan sunnu- og halgidagar2(sk.)heiligdagur (ómálaður blettur)
helligdagsklæder	sunnudagsklæði, halgidagsklæði, altarsklæði
helligdagslovgivning	(løgfr.) halgidagslóg, halgidagslóggáva
helligdom	1(átr., skm)halgidómur, halgistaður;byens h.halgidómur býarins2(fl.m.) gemmeel.vogte noget som en h.ansa einum sum dýrgripi, goyma okkurt sum sín eygnastein
hellige	1halda heilagt, halga;(átr.) helliget vorde ditnavnheilagt veri navn títt2halga, víga;h. sig en saghalga seg einum máli, ganga upp í eitt mál við lív og sál;helligethalgaður, ognaður, vígdur;koncerten er helligetBeethovenkonsertin er ognað Beethoven3(fl.m.) hensigten helliger midletmálið halgar mátanhelligelse-en,einkiflt (gl)halgan
helliggøre	(átr.) halga, lýsa heilagt, víga
helliggørelse	(átr.) halgan, vígsla
hellighed	(átr.)heilagskapur, heilagleiki; reinleiki í lívsførslu;(kat.) Hans H.Hansara heilagleiki (um pávan)
helligholde	halda heilagan
helligholdelse	halgihald, hátíðarhald
helligtrekonger	síhelligtrekongersdag
helligtrekongersaften	(átr.) trettandaaftan
helligtrekongersdag	trettandi, trettandi dagur jóla (6. januar)
helligtrekongerslys	(gl) trettandaljós (trígreint ljós, ið sett varð á borðið trettandakvøld)
Helligånd	(átr.) Heilagi Andin(eis.í jødiskari trúgv;serst.um triðja partin í kristnu tríeindini)
hellinned	(klæði) heillørift
hellærredsbind	(bókab.) heilløriftsbind
helme	gevast, helma;hun helmede ikke, før hunhavde fået sin viljehon gavst ikki, fyrr enn hon hevði fingið sín vilja
helnode	(tónl.) heilnóti (nóti, ið er eins langur og fýra fjórðingsnótar)
helofyt	(plfr.)mýruplanta, mýriplanta
helot	(sø.) helotur (trælur á lægsta stigi í forna Sparta)
helpension	fult kostarhaldel.vistarhald (móts.halvpension); være i h. på hotelfáa fult kostarhald á gistingarhúsi, fáa fullan kost á gistingarhúsi
helrim	(bókm.) heilrím
helse	heilsa;det gælder liv og h.tað snýr seg um lív og heilsu;søge h. for en sygdomleita sær heilsubót fyri sjúku
helsebringende	heilsugevandi, lekjandi, heilsugóður, heilsuberandi
helsecenter	heilsumiðstøð, heilsudepil
helsedrik	heilsudrykkur
helseforretning	heilsubúð
helsefysik	heilsualisfrøði (sum tekst við geislaverju)
helsefysiker	heilsualisfrøðingur
helsefysisk	heilsualisfrøðiligur
helsehus	heilsumiðstøð
helsekost	heilsuføði, heilsukostur
helsekostforretning	heilsubúð
helsen	(gl) heilsa;være ved god h.hava góða heilsu, vera við sítt fríska lív;slid den med h.!slít tað við heilsuni, Gud lati teg slíta tað við heilsuni,t.d.Gud lati teg slíta hosurnar (við heilsuni);som ergod for h.heilsunæmur, heilsugevandi, heilsugóður
helside1	heilsíða, fullsíða
helside2	heilsíðu-
helsidesannonce	heilsíðulýsing
helsilke	alsilki, heilsilki
helskindet	heilskapaður, í øllum góðum, einki mein, óskalaður, snikkaleysur, ósnikkaður;slippe h. fradetsleppa snikkaleysurel.heilskapaður burtur úr onkrum
helsot	(skaldsk.) helsótt, deyðasótt, banasótt
helst	helst, mest;hvad som h.alt handa slag, alt møguligt;hvem som h.ein og hvør, hvør Hanus og Janus, hvør ið vil;hvor som h.allastaðni, hvagar so, hvar enn;ingen som h. grundongin orsøk yvirhøvur;ingen som h. andel have derials ongan part eiga í tí, hvørki eiga lut ella part í tí;nårsom h.hvørja løtu, altíð, altíð tá ið;være tilrådighed når som h.altíð vera tøkur;lade sigbyde hvad som h.lata alt um seg ganga;pånogen som h. mådekortini, onkursvegna, tó, ið hvussu so er
helstat	(sø., stjmfr.)eindarríki, alríki, samríki, heilríki
helstegt	steiktur heilur, steiktur á teini
helstøbt	1stoyptur í einum;en h. statuestandmynd stoypt í einum2(fl.m.)heilskapaður, heilsligur, heilstoyptur; heilrunnin, lýtaleysur, fullfíggjaður;en h. personlighedheilskapaður persónleiki/heilskapað persónmenska;et h. kunstværkheilskapað listaverk;opnå en h. forståelse af livetvinna sær heilsliga mynd/fatan av lívinum
helsvejset	(tøkn.)heilsveisaður, heilsjóðaður
helsætning	(málfr.) heilsetningur
helsøskende	samsystkin, samborin systkin
helsøster	samsystir, heilsystir (sum hevur sama faðir og somu móður)
helt1	(dý.) nebbalaksur(Coregonus lavaretus)
helt2	hetja, kappi, avreksfólk, reystmenni, garpur, kempa, avburðarmaður;dø som en h.doyggja sum hetja;han tog operationen som en h.hann tók skurðviðgerðina sum eitt rætt mannfólk;dagens h.dagsins hetja;romanens h.hetjan í søguni;opfør dig som en h.vera reystmansligurel.dreingjaligur
heltal	(stfr.) heiltal
heltebedrift	síheltedåd
heltedigt	hetjukvæði, hetjuyrking, kappakvæði;(gl)seggjakvæði, søguljóð;heltedigtets versemålørindislag í hetjukvæði
heltedigtning	hetjukvæði, kappaskaldskapur (um frumsøguhetjur hjá tjóð; oftast borið fram sum fólkaskaldskapur;t.d.Sjúrðarkvæðini, íslendsku søgurnar, Ilionskvæði, Kalevala)
heltedyrkelse	hetjudyrkan
heltedåd	manndómsbragd, roysni, avreksverk, avreksgerð; úrmælisverk
heltegerning	síheltedåd
heltemod	hetjudirvi, hetjudáð, hetjuhugur, reystmansdirvi
heltemæssig	reystmansligur, dreingjaligur
helterolle	hetjuleiklutur
heltesagn	(bókm.) hetjusøgn
heltestil	hetjuatburður, hetjusnið; stórlátað tala
heltetenor	(tónl.) hetjutenorur(ljómmikil og dramatisk tenorrødd)
heltid	ísamb. ansat på h.í fullum starvi
heltids-	fulltíðar-
heltidsansætte	seta í fulltíðarstarv
heltidsbeskæftige	hava í fullum starvi
heltinde	hetja, kappakona, søguhetja; konubrot
heltone	(tónl.) heiltóni
heltonetrin	(tónl.) heiltónafet
heltrukken	seymleysur
heltøj	pappírsgreytur (upploystur pappírsgreytur, sum er klárur at viðgera í pappírsmaskinu)
helulden	heilullintur, alullintur (úr reinari óblandaðari ull)
helvede	1(átr.) komme i h.fara til helvitis;helvedesforgårdforgarður helvitis;helvedes fyrstehelvitis fúrsti(t.e.Sátan)2(fl.m.) til h. med ham!til helvitis við honum!;sagen går rent ad h. tilmálið gongur av fjandanum;der blev et helvedes huseldur kom í skálan;en helvedes larmein pínadoyðs gangur;(gl) værre end i h.verri enn í Kritunesi;bande en langt ned i h.banna ein niður og norð;vejen til h. er brolagt med gode forsætterheljarvegurin er steinsettur við góðum lyftum;detforslår ikke mere end en skrædder i h.hatta munar ikki meira, enn rotta mígur í havið
helvedeshund	helvitishundur, devil; heljarhundur (hundurin, ið vardi dyrnar til undirheimin; síKerberos)
helvedesild	helvitiseldur(lækn.)eldkast, álvareldur(herpeszoster)
helvedeskval	heljarkvøl, heljarpína, helótti
helvedesmaskine	tíðarbumba, tíðarsett bumba
helvedesprædikant	heljarprædikumaður
helvedespræst	heljarprestur
helvedessten	(lækn.) helvitissteinur (stong av silvurnitrati, virkar etjandi, nýtt at brenna burtur deytt kjøt(lapis))
Helvetien	(sern., landafr.)Helvetia; Sveis
helvetisk	helvetiskur; sveisiskur
helår	ár, heilár
helårlig	árs-; sum varir alt árið;et helårigt opholdárssteðgur, ársdvøl
helårsbasis	ísamb. være ansat på h.vera settur í starv í heilt ár
helårsbeboelse	(byggl.) ársbústaður;hus egnet tilhelårsbeboeleshús skikkað til bústað alt árið
helårsbrug	ársbrúk, ársnýtsla
helårshus	(byggl.) ársbústaður
heman	(eis.spei.)mansmenni, kalur (prúður, ansaligur maður)
hemicykel	el.-sen, -erel.-serhálvringur
hemicyklisk	hálvringskapaður
hemiplegi	(lækn.) lamin niður øðrumegin (heilamein, vanliga av bløðing í heilanum hinumegin,eis.kallað slagtilburður)
hemisfære	1knatthálva, hálva, hálvkúla, hálvknøttur;den østlige og vestlige h.eystara og vestara knatthálvan2(lækn.)heilahálva
hemisfærisk	hálvkúluskapaður
hemmelig	loyniligur, loyndur, loyni-, duldur, dularfullur, gátuførur, á loynum, loyndarfullur, á loyningi, í loyndum;hemmeligt anslaglokabragd, ráðagerð;(tlf.)hemmeligt nummerloyniligt nummar, loyninummar;hemmeligt selskabloynifelagsskapur;hemmeligt vinklýðan, tesk, tutl;hemmeligt middelloyniligt evni;holde h.rådslagninghava loyniligar samráðingar;holde h.hava loyniligt;holde noget hemmeligthalda okkurt dult;få det at vide ad hemmeligekanalerfáa kunnleika um tað frá loyniligum keldum;h. afstemningloynilig atkvøða;h. agentloyniumboð;h. forsamlingloyniráð;h. forståelseavtalað spæl, loyniligt samband;h. underretningloyniboð, loynilig upplýsing, snildarráð, kritl;deter hemmeligt, som alle vedtað er, sum øllum kunnugt, loyniligt
hemmelighed	loyndarmál, dulsmál, loyndardómur, loynimál, loynd, dularmál, gáta;i h.í loyndum; í trúnaði;aftalt i h.avtalað, avrátt í loyndum;det er enoffentlig h.tað er alment loyndarmál;få kenderhemmeligheden ved opfindelsenfá vita loyndarmálið um uppfinningina;hemmelighedener røbetonkur hevur smettað; gátan er loyst;plapre ud med hemmelighedenleka, leka loyndarmál, ovtala seg;plumpe ud medhemmelighedenbumsa út við dulsmálinum;denhvem hun havde betroet sine hemmelighedertann, sum hon í trúnaði hevði sagt frá loyndarmálum sínum; trúnaðarvina hennara;havehemmeligheder med enhava loyndarmál við ein;have hemmeligheder for enhava loyndarmál fyri einum;han gør ingen h. af sin svaghedhann krógvar ikki sínar veikleikar;udforske naturenshemmelighedergranska náttúrunnar loyndarmál;det er en h., som alle vedhatta vita øll
hemmelighedsfuld	1loyndarfullur, dularfullur, gátuførur; hulin, varin, varisligur; huldu-, skýggja almenning; íbygdur;hun så meget h. ud, da hun kom indhon tóktist so varin, tá ið hon kom inn;ethemmelighedsfuldt svarloyndarfult svar, gátuført svar2sumhjhemmelighedsfuldtí loyndum
hemmelighedsfuldhed	duld, hulinskapur, loynisemi
hemmelighedskræmmer	loynimælarmaður(fl.m.)huldumaður, huldukona, huldufólk
hemmelighedskræmmeri	loynivirksemi, loynimál
hemmeligholde	1dylja, loyna, halda duldan, halda loyniligan2sumlhemmeligholdtsum er hildið loyniligt;datoen for mødet blev hemmeligholdtfundardagurin varð hildin loyniligur
hemmeligholdelse	dulsmál, loynd, loyna, loyndarmál; hulinskapur;evne til h.varni
hemmeligstemple	trúnaðarstempla, loynistempla, stempla sum loyndarmál;hemmeligstemple et dokumentstempla skjal sum trúnaðarmálel.loynimál
hems	(byggl.) bitapallur (bráðfeingis sovistaður uppi á hanabjálkunum)
hen-	ofta úr týskumel.eftir týskum sniði; samansett sagnorð viðhen-samsvara ofta í talumáli við ósamansett sagnorð viðhen; t.d. henlæggets. s.lægge hen
hen	- A.vanlnýtsyvir, burtur, fram, út, inn;hvor vildu h. med dethvat meinar tú við;dø h.fána burtur, hjána burtur, minka so líðandi, doyggja burtur, tóna minni;gå upåagtet h.vera óansaður; vera ógáaður;holde h.bíða við, freista, halda einum uppi við;holde ham h. med snakhalda honum uppi við práti;hvor skal du h.hvagar fert tú, hvagar gongur leiðin;vi skal jo både h. oghjemvit skulu jú bæði út og heim;lægge h.halda aftur, leggja til viks, spara saman;slå det h.svara so hissini, gera lítið burturúr, kveistra burtur;slådet h. i lattersláa eitt upp í glens; (um tíð)slæbesig h.líða;snakke h. i vejretmøsna, tvætla;stå h.bíða, hvíla, ikki í nýtslu, liggja stilt;stå h. i detuvissevera í óvissuni;svinde h.koma burtur í einki; kólna burtur;(fl.m.) svømme h.drukna í kenslum;sygne h.fána (hjánael.trænael.dovna) burtur; linka;ønske ham h. hvor peberetgrorynskja hann bæði niður og norður;senere h.seinni;simpelt h.rætt og slætt- B.ísamb.viðfs- adh. adeftir, fram eftir, fram við, niðan eftir, oman eftir, tvørtur við;(fl.m.) h. ad vejenso við og við;skrabe h. ad (t.d.um bil) bera við; fara skøvandi eftir;stryge h. ad overfladen(um bát) fara skúmandi; fara stiklandi, vappandi, stikkandi, lappandi- ih. i vejretburturvið- imodút ímóti, útivið;løbe h. imodrenna fram ímóti;(sigl.) h. imod landmóti landi, nær landi, undir landi- påsommerligt vejr langt h. påefteråretsummarlýkka langt út á heystið;(tøkn.)dreje h. påstilla inn á- tilse h. tilsíggja fram til, vænta, hava varhuga av- overdanse h. overdansa á;falde h. oververða púra burtur í;det gikh. over hovedet på hamhann skilti tað ikki;ladeøjet glide h. overlíta yvir, renna eyguni yvir, kanna, rannsaka, kveita at;gå let h. overgera lítið burturúr; nerta leysliga við;lade blikket løbehastigt h. overkveita leysliga at- vedklokkenvar h. ved tiklokkan var út ímóti tíggju;der var h.ved hundrede mennesker til stedeút ímóti hundrað fólk vóru til staðar, tað vóru knappliga hundrað fólk til staðar
henblik	hyggja, tillit, ætlan;med h. på detvið atliti at tí; við tí í hyggju, við tí í huga; tí viðvíkjandi; við vón um; tá ið hugsað verður um;tale ommoderne litteratur med særligt h. på nordisktosa um nútíðar bókmentir við serligum atliti at norðurlendskum
hende	avII. hun
hendes	Hennara Hátign
hendø	følna, fána burtur, vikna, fjara (burtur), hjána burtur, doyggja, andast, sálast
henfald	fáning, molnan, syndran, fúnan
henfalde	falla til, verða tikin av, søkka í;h. i mismodvera tikin av vónloysi, falla í mishop;(lækn.) h. tiltungsindgerast tunglyntur;henfalden til drukfallin til drykkjuskap
henfaldslov	fáningarlóg
henfaldsprodukt	uppslitið tilfar
henfaren	liðin, farin, horvin, framliðin;henfarne dagefarnir dagar;henfarne slægterfarnar ættir
henflydende	(evnafr.) sum loysist sundur
henføre	1h. tilvísa til, vísa á, beina til, telja uppí, heimføra2(málfr.) henførende stedordafturbeint fornavn
henførelsessystem	tilvísingarskipan, tilsipingarkarmur
henført	bergtikin, hugtikin
henførthed	hugførsla, hugtøka, tað at vera hugførdurel.hugtikin av einum
hengemme	leggja til viks
hengemt	gamal(t.d.breyð), moðin, úldur, dovin, blámaður;der var noget gammelt og h. overden sære mandslingokkurt gamal og moðið var við hasum serlinginum
hengive	geva seg, eftirlíka;hun hengav sig til hamhon gav seg til hansara, hon eftirlíkaði honum;h. sig isin skæbnegeva seg upp til lagnuna;h. sig tillystighedgeva seg í gleimel.lyst og leik;h. sig tildrikfalla til drykkjuskap
hengivelse	eftirlíkan;h. i Guds forsyngeva í forsjón Guds
hengiven	alskin, kærur, hollur, sannur, trúfastur, dyggur, handgingin, eymur;være én h.vera knýttur at einum;din hengivnevinaliga, kærastu heilsanir;h.til drikfallin til drykkjuskap
hengivenhed	alskur, góðska, kærleiki, trúfesti, ást;nære h. forvera trúfastur, vera trúgvur, hava kærleika til;hanvandt deres h.hann vann teirra alsk
henglide	fara, ganga, líða
hengå	(um tíð) fara, ganga, líða;(løgfr.) sagen skalbehandles, før der er hengået 24 timermálið skal verða viðgjørt, áðrenn 24 tímar eru farnir
henhold	sambært, eftir;i h. til lov af 6.6. 1961bestemmes følgendesambært, eftir lóg frá 6.6.1961 verður hetta ásett
henholde	bara ísamb. h. sig tilhalda seg til;h. sig til etgivet løftehalda seg til givið lyfti
henholdende	reka drákpolitikk (avgerðirnar koma í drák)
henholdsvis	ávikavist;hans Jens og Niels er h. 18 og 16 årJanus og Nils hjá honum eru ávikavist 18 og 16 ár
henhøre	hoyra undir, hoyra til;sagen henhører underUdenrigsministerietmálið liggur undir uttanríkismálaráðnum;n lhsumlalt til fagethenhørendealt, ið hoyrir til yrkið
henilende	stokkutur; óstøðugur
henimod	fram ímóti, fram undir, út ímóti, nærum;h. aftenmóti kvøldi;h. julfram undir jól
henkaste	1tveita út, koma við, siga (geva) so hissini;h. entegning på papiretkrutla tekningina á pappírið;h.affaldtveita rusk frá sær2sumlhenkastetso hissini, hissinis;lethenkastetso hissini; tilvildarligur, leysligur, stuttur;en let henkastet bemærkningein hissini viðmerking;rask henkastetfunsutur, gáloysin, ikki umhugsaður, tilvildarligur, óskettin;sagthenkastetsagt í hissini
henkoge	1(um mat) sjóða niður, kóka niður; leggja í blikk; súlta; goyma2sumlhenkogtniðursoðin, niðursjóðaður;henkogt oksekødneytakjøt í blikkum;henkogt frugtniðursjóðað frukt
henkogning	(um mat) niðursjóðing, súlting
henkogningsglas	niðursjóðingarglas, súltingarglas
henlede	beina, snúgva, vísa, leiða;h. opmærksomhedenpåbeina (á)hugan á; vísa á nakað; taka eitt fram
henledning	leiðsla, beining, snúgving
henligge	liggja;(postm.) forsendelsen henligger tilafhentning på posthusetsendingin liggur á posthúsinum at koma eftir;sagen har nuhenligget i flere årmálið hevur nú ligið í fleiri ár
henliggefrist	(postm.) goymslufreist, goymslufrest
henlægge	1seta av (til serliga nýtslu); goyma, leggja (eitt) burtur, leggja til viks (í roknskapi) leggja burtur, leggja í grunn(t.d.í tiltaksgrunn); freista, `súlta'(t.d.lógaruppskot);sagen er henlagtmálið er lagt til viks;teatret har henlagt stykketleikhúsið hevur lagt leikin burtur2leggja, flyta, føra;h. sin virksomhed til en anden byleggjael.flyta fyritøkuna í annan bý;scenen er henlagt til Londonpallmyndin ímyndar London;h. tildragelsen til 300 f. v. t.leggjatilburðin til 300 f. o. t.
henlæggelse	(handilsm.) avseting, burturlegging, tað at leggja í grunn; flutningur;h. af lovforslag der ikke er blevet færdigbehandlettað at leggja til viks lógaruppskot, ið ikki hevur fingið endaliga viðgerð
henna	henna (reyðbrúnt, reydligt plantulitevni;t.d.nýtt at lita hár og negl við)
hennafarvet	reyðbrúnur;h. hårreyðbrúnt hár
henne	1burtur(i), yviri;hvor er han h.hvar er hann;huner h. på kontorethon er á skrivstovuni2(um konu ið gongur við barni) hevur gingið, er kominhvor langt er hun h.? Hun er 6måneder h.hvussu langt er hon komin? Hon er er í sætta mánaði;langt h.frammarlaga, langt komin3længere h.longri burturi (yviriel.frammi);husetligger længere h. i gadenhúsini standa longri niðri (uppiel.yviri) í gøtuni
henregne	bara ísamb. h. tilel.undertelja uppí;h. det 15.århundrede til middelalderentelja 15. øld upp í miðøldina
henrejse	leiðinel.ferðin heimanel.út;hen- ogtilbagerejseferðin út og heim aftur, ferðin aftur og fram
henrette	(um deyðadømdan) avrætta, taka av døgum, taka av lívi, avlíva, jarðleggja, skera(t.d.um kvøldið tók Tórur havrar sínar og skar teir);h. vedel.i den elektriske stoltaka av døgumí ravmagnsstóli
henrettelse	avrætting, at útinna deyðadóm, lívtøka, avtøka, lívlát, dráp;h. i den elektriske stolavrætting í ravmagnsstóli
henrettelsespeloton	avrættingarlið, drápslið
henrinde	um tíð) fara, ganga, líða
henrive	hugtaka, huglyfta, hugfanga, rúnarbinda, bergtaka;t lhsumlhenrevenhugtikin, ovurfegin, eldhugaður
henrivende	hugtakandi, undurvakur, undurfagur, yndisligur, yndigur, tekkiligur;en h. kvindeein undurføgur kvinna;finde h.dáma ógvuliga væl, elska, halda vera undurfagra(n)
henrykke	hugfanga, hugtaka, bergtaka, rúnarbinda; frøa, gleða;henrykkes over naturenfrøast um náttúruna
henrykkelse	1fagnaður, hálovan, frøi, gleði; tað at vera hugtikin (hugfangaðurel.bergtikin); eldhugi;tilstor h. for migmær til mikla gleði;være ude afsig selv af h.frá sær sjálvum av gleði, ovurfegin;falde i h. oververa hugtikin av; fagna; sýna eldhuga; gleðast um; hálova;religiøs h.trúarøsing2(bíbl.)gudmóður;alle, der profeterer i h.øllum í profetiskum gudmóði (Jer. 29, 26)
henrykt	findarglaður, findarfegin, ovurfegin, hjartans fegin, lukkuligur; hugtikin, hugfangaður, eldhugaður, upp í loft (hann var upp í loft av frøi);jeg er h. over at se digeg eri hjartans fegin at síggja teg;han bliver h. over dethann verður ovurfegin um taðel.hugtikin av tí;ovenud h.eldhugaður, findarglaður; ovurfegin
hense	líta á, einans ísamb. (løgfr.) når henses tilvið atliti at
henseende	háttur, føri, lutur, grein, gætur, atlit;i denne h.hesum viðvíkjandi, í hesum;i enhver h.á øllum brøgdum, fullkomiliga, púra, í øllum lutum, í øllum førum, í allar mátar, út í odd og egg;ienhver h. lige så storeins stórur í øllum lutum;italmæssig h.í tølum;i sjælelig h.sálarliga;ipolitisk h.í politikki, politiskt;i h. tilhvat viðvíkur, viðvíkjandi einum;i så h. er der intet at gøreí so máta er einki at gera;være veludrustet med h.til evnervera væl útgjørdur hvat evnum viðvíkur, væl til evna, vera borin væl til evna
hensidde	(løgfr.) sita;h. i uskiftet bosita í óskiftum búgvi;h.i fængselsita í fongsli
hensigt	ætlan, ætlingur, endamál, hyggja, mál, mið, stavnhald, tilætlan; heimangerð;det er min h. at studere juraeg ætli mær at lesa løgfrøði;nære de bedste hensigterhava tær bestu ætlanir;det er ikke klart, hvad hensigten ertað er ikki greitt, hvat ætlanin er;det er min h. at gøre deteg havi í hyggju at gera tað;det var ikke hans h.hatta var ikki ætlan hansara;han har de bedste hensigterætlanir hansara eru góðar;i bedragerisk h.við svik í huga;(løgfr.) forbryderisk h.misbrotameinfýsni;oprindelig h.heimangerð(t.d.heimangerðin var, at hann skuldi fara í smiðjulæru);modarbejde sin h.mótvirka egnu ætlan;han har reelle hensigterhann hevur reiðiligar ætlanir (hann ætlar sær at giftast við gentuni);det svarer til sin h.tað dugir tí tað er ætlað;skjule sine virkelige hensigterdylja sínar veruligu ætlanir; krógva seg burtur;skjult h.loynilig ætlan;i den h. atvið teirri ætlan at, við tí í huga at, við tí í hyggju at;med alvorlige hensigterálvarsliga meint;have til h.hava í hyggju, ætla, hava í huga, hava í kvittanum;have til h. at rejseætla sær at fara;uden h.so hissini
hensigtsdokument	(løgfr.) hyggjuskjal, tilætlanarskjal
hensigtserklæring	ætlanarskriv, endamálsfráboðan, ætlanarkunngerð, ætlanaryvirlýsing, ætlan
hensigtsløs	miðleysur, tilgangsleysur
hensigtsmæssig	gagnligur, hentur, hóskandi, nýtsamur; hóskiligur, líkligur;et hensigtsmæssigt middelhóskiligt evni
hensigtsmæssighed	gagnsemi, tað at eitt er hent/hóskandi/hóskiligt
henslumre	sovna burtur, andast, sálast, doyggja
henslæbe	knógva, dragast við, draga, slíta, dragsa;h. sit livknógva seg gjøgnum lívið
henslænge	floyggja frá sær, floyggja, tveita, sløða, sipa, grýta, blaka;h. noget så det bliver væksløða okkurt burtur
henslængt	1ligge h.liggja og akast, liggja og káfetta sær, liggja á løgg, liggja og letast, liggja og peiggja við ørmum og beinum2tilvildarligur, (so) hissini;en h. bemærkninghissini viðmerking
hensmelte	hitna, bráðna, tiðna;h. i tårertára, tárast, fella tár
hensmuldre	fúna, molna sundurel.burtur, rotna; syndrast
hensove	fara;(hátíð)andast;han hensov stille 70 årgammelhann andaðist stillisliga 70 ára gamal;tlhsumlden hensovedetann deyði
henstand	(serst. løgfr., handilsm.) skái, gjaldskái, dvøl (veitt skuldara);give en debitor h.veita skuldara skáa;få h. med betalingen af gældenfáa skuldargjaldfreist
henstandslån	gjaldfrestarlán
henstille	1mæla til, ráða til, skjóta upp, vísa á, heita á;h. tilénheita á;h. til ham at gøre arbejdet færdigtheita á hann um at gera arbeiðið liðugt2seta frá sær;h. cyklen i gårdenseta súkkluna frá sær í garðinum
henstillen	at seta frá sær;h. af cykler i gården forbudtbannað er at seta súkklur frá sær í garðinum
henstilling	1(t.d.frá nevnd) tilmæli, tilráðing, uppskot; áheitan2tað at seta frá sær;h. af cykler forbudtbannað at seta súkklu frá sær
henstrakt	liggjandi, barðlangur, fram eftir rommum;ligge h.liggja barðlangur
henstå	(løgfr., bú.) standa, vera, standa stillur, vera í friði, standa eftir (um skuld);pengene henstårurørt i bankenpengarnir standa órørdir í bankanum;spørgsmålet henstår uafgjortspurningur stendur ósvaraður
hensunken	(fl.m..) h. i l sokkin í, burtur í, skerfastur, hava gloymt seg burtur í;være h. i tankervera burtur í øðrum heimi
hensvind	minking, lækkan, afturgongd, niðurgangur, skerjing, svinn, hvøkkan, hvørving, lækking
hensvinde	hjarna, hjarna burtur, dullast burtur, minka, skerja, svinna, hvørva, hvøkka, hjána burtur
hensygne	fána burtur, vikna, fjara burtur, hjána burtur, sjáklast, veiklast, moka, signa niður, følna
hensyn	fyrilit, umhugsni, atlit, sømd;egoistiske h.sjálvsøkni;af h. tilvið virðing fyri, fyri at hjálpa, fyri, til fyrimunar fyri;med hensyn til(um orsøk, grund) av tí at, fyri, um, vegna, vegna tess at, við atliti at, viðvíkjandi;især med h. tilserliga við tí í hyggju;klare sig med h. tilhava nóg mikið;tage h. tilhava í huga, rokna uppí, geva gætur, hugsa um, ætla um, hava fyrilit fyri;ikke tage h. tilfara uttan um, uttan fyrilit, látast ikki at síggja, ikki leggja lag í, ikki telja upp í, skúgva til viks; draga frá, ikki lurta eftir, taka við fyrivarni;ikke tage h. til hendes følelserikki leggja lag í hennara kenslur;når man tager h. tiltá ið tað verður havt í huga;som tager h. til det historiske forløbsum hevur atlit at tí søguligu gongdini;sætte sig ud over alle h.gera sum einum sjálvum hóvar;uden h. tilsama um, hóast, ikki brýggja seg um;uden h. til udgifternehvørjar útreiðslurnar so eru;uden h. til andre satte han sin vilje igennemfyrilitsleysur framdi hann sín vilja;under h. tiltá ið hugsað verður um, við atliti at
hensynke	søkka niður, níga niður, smokka niður;hensunken isokkin niður í(t.d.søkka niður í vesaldømi)
