Æ,æ	1málljóð2bókstavur
ærkefjols	býttlingur, tápulingur, kúla, greytheili, dylhøvd, vatnknokkur, neyt, vatnskøltur, tápugás, tjórneyt, tálghøvd, gásaknokkur, kálvur
ærkehertug	erkihertogi
ærkekæltring	sannur búrkroppur /byr-/, gjørt bakbeist, satt vittuggi
ærkeskælm	findarskálkur, gjørdur skálkur, margskálkur,(staðb.)find arskelmur
ærkeslyngel	síærkekæltring
ærketyv	gjørdur tjóvur, ramur tjóvur, findartjóvur
ærlig	1ærligur, heiðurligur, reiðiligur, dyggur, rættiligur, falsleysur, rein lyndur;han er ikke æ.tú kanst ikki líta á hann, hann er ikki dyggur/heiðurligur/ærligur;det er en æ. sag at have hørt fejløll kunnu hoyra skeivt;hun kan ikke engang lave en æ. kop kaffetað er ikki so frægt, at hon dugir gera ein góðan kaffimunn2[sumhj]ærligt taltálvaratos;det har han ærligt fortjenttað hevur hann so sanniliga uppiborið;(eis.)fast taki honum;den ros//den irettesættelse har han ærligt fortjenthatta rósið//hasa ábreiðsluna hevur hann so dyggiliga uppiborið;jeg synes ærlig(t) talt, det er en dårlig bogálvaratos, eg haldi, at hatta er ein vánalig bók
ærlighed	falsloysi, reinlyndi; sannføri
ærme	1erma, ermi;smøge ærmerne opsmoyggja/bróta/bretta upp um armar2(fl.m.) binde én noget på ærmetbilla einum okkurt inn, fáa/lokka ein at trúgva einum
ærmeblad	ermablað
ærmebræt	ermastrúkibretti
ærmegab	ermagat, ermahol;klippe/skære æ.klippa ermagat, hjóla burt urúr(t.d.koti)
ærmeholder	ermahaldari
ærmeløs	ermaleysur, ermuleysur;tætsiddende æ. kjoleermaleysur kjóli, ið liggur at;æ. trøjetroyggja við ongum ermum, ermaleys troyggja, troyggjubulur
ært	1ertur(kv); bælge ærterpilka ertrar;flækkedeærterkloyvdar ertrar;gule ærtergular ertrar2(fl.m.) klare ærternevinna á trupulleikunum
ærte	erta, arga, reita, øsa, purra, nilta, tirra
ærteblomst1	(plfr.)almindelig æ.vanlig ertnablóma(Lathyrusodoratus)
ærteblomst2	(plfr.)almindelig æ.vanlig ertnablóma(Lathyrusodoratus)
ærteblomstfamilien	(plfr.) ertnablómuættin(Fabaceae)
ærtebælg	(plfr.) ertnabjølgur
ærtebøsse	títlingabyrsa, fjaðurbyrsa
ærtegrød	ertnagreytur
ærtegrøn	ertnagrønur
ærtehalm	1(plfr.)ertnastelkur, ertnahálmur2(fl.m.) de hænger sammen som æ.tey eru sum eitt, tey eru sum systkin, tey eru sum krókur og lykkja
ærteskal	(plfr.) ertnahamur (sum er um hvørja ertur sær)
ærtesuppe	ertnasúpan
ærtstor	sum ein ertur til støddar, á stødd við ertur
ærværdig	virðingarfullur, virðiligur, virðingarverdur, æruverdur, tignarligur, tignarmikil, gøvigur
æsel	1ásin, asni, esil(Equus asinus)2(fl.m.) dum som et æ.kúbýttur, steinbýttur;såstædig som æ.treiskur sum rossið
æselagtig	1líkur asna2(fl.m.)treiskur, býttur
æselføl	asnafyl,(bíbl.)asnafoli
æselhingst	asnagreðingur (kalldýr hjá asnum)
æselhoppe	asnaryssa (kvenndýr hjá asnum)
æselhoved	(sigl.) esilhøvd
æselryg	vatnið varð flutt langan veg á asnabaki
æselspark	(fl.m.) asnaspark (tað at háða yvirmann, sum er komin í óføri)
æselsøre	asnaoyra; (í bók) hundsoyra
æske1	eskja, dós;lille æ. af trækistil;en æ. brevpapirein eskja við brævpappíri;en æ. chokoladekonfekteskja;en æ. tændstikkersvávuldós;trold iæ.trøll í eskju
æske2	krevja, bjóða (av), stevna;æ. ens meningkrevja at fáa at vita, hvat ein heldur
æskepost	[brævpappír ið verður selt í eskjum]
æskulapslange	(dý.) eskulápusarormur(Elaphe longissima)
æskulapstav	eskulápusarstavur (stavur, sum ormur hevur ringt seg um; felags merki læknavísindanna eftir Aisklepiosi, forngrikska læknagudinum)
æstet	mentanarsnobbur, estetur (fólk, ið leggur ovurstóran dent á tað vakra)
æsteticisme	estetisisma (bókmenta- og listastevna, ið leggur høvuðsdentin á tað vakra)
æstetik	1fagurfrøði, estetikk (kv), estetikkur (k) (í forngrikskari list var tað vakram.a.skipan, samljóð og javnvág/javnvøga/balansa. Nú á døgum skal estetikkin lúka tríggjar treytir: verkið skal vera ein heild, vera margbroytt og geva sálarliga kveiking)2(heimsp.)estetikk, estetikkur (í Grikkalandi í fornøld læran um sannkenning antin eygleiðing ella við øðrum sansum)
æstetiker	estetikari, fagurfrøðingur, vakurleikanjótari
æstetisere	fáast burturav við list og bókmentir
æstetisk	1fagurfrøðiligur, fagurlistarligur, listfrøðiligur, estetiskur2sum fellur einum væl, vakurleikanjótandi
æstime	síestime, estimere
æt	ætt
æter	1etur;blive bedøvet med æ.verða doyvdur við eturi2(vanl.um ovaru luftløgini)radiobølgerneforplanter sig gennem æterenútvarpsbylgjurnar/radio bylgjurnar breiða seg gjøgnum loftrúmið
æterbølge	etursalda
æterbåren	eturborin, loftborin
æterisk	1luftkvæmur;æteriske olierluftkvom oljusløg (ið anga væl)2yvirjarðligur, himmalskur, himniskur;en kvindeaf en æ. skønhedein kvinna av yvirjarðligum vakurleika, ómetaliga vøkur kvinna
ætermedie	loftmiðlar(útv.ogsjónv.)
ætiologi	1vísindi um sjúkuatvoldir, atvoldafrøði, orsakafrøði, etiologi2atvoldafrøði, atvoldalæra, orsakafrøði, orsakalæra
ætiologisk	viðvíkjandi sjúkuorsøkum og sjúkuatvoldum, etiologiskur
ætling	ættarmaður, avkomi;han er en æ. afChristian den IXhann er ættarmaður Kristians kongs IX
ætse	eta seg inn í, tæra, etja, etsa;læsket kalk ætserhudenleskað kálk etur seg inn í húðina;raderinger fremstilles ved, at man ætser enkobberpladeskavmyndir verða gjørdar við at etja/etsa koparplátu;et ætsende middeletjandi/etsandi evni/miðal
ætsemiddel	etjingarevni, etjingarmiðal, etsingarievni, etsingarmiðal
ætsenål	skavnál
ætsnatron	natriumhydroksid
ætsning	fleiristaðni var húðin burturetin
ættesaga	ættarsøga, íslendingasøga
ættesamfund	ættarsamfelag
ættetavle	ættartalva
ætyl	etyl
ætylalkohol	etylalkohol, vínandi
ætylen	etylen (litleyst, eldfimt luftslag)
æv	uff, oy, fí;æ., hvor smager det væmmeligt!uff, sum hetta smakkar illa!
ævl	møsn, tvætl, svass, tvass;hold nu op med detæ.gevst nú við hasum møsninum
ævle	møsna, tvætla, svassa, tvassa;nu har du ævletlænge nok om detnú hevur tú møsnað nóg leingi um hatta
ævred	(bara ísamb.við)opgive æ.kasta frá sær, geva uppat, halda uppat, gevast, gevast á hendur/á hondum/á hendi, geva skarvin yvir, laða upp í dyr, stinga í sekkin/posan, leggja árarnar inn
