y	1(málfr.)vowel, (called seinnael. sj.langa y /i:/)2(stfr.)y (unknown numerical quantity)
yvirferð	1voyage to another country; crossing, passage;teir høvdu kasta saman um yvirferð og heimferð2íosb. yvirferðin er av1(um streym, of current) the current has decreased in strength2(um arbeiði, of work) the worst is over3(um fólk, of person) past one's prime, past one's manhood years
yvirflati	surface;í yvirflatanumon the surface;koma til sjóndar í yvirflatanum (jarðfr.)crop out;yvirflatin á jørðinithe surface of the earth; above sea level;á yvirflatanumon the surface;undir yvirflatanumbeneath/below the surface; síeis.vatnskorpa
yvirflogskipari	first pilot
yvirflóð	abundance, superabundance, profusion, plenty;(serst. í fl.m.)exuberance;(handilsm., eis.)surplus, glut(t.d.the market is characterized by a glut of wheat);hava (í) yvirflóð av e-mhave an abundance of(t.d.we have an abundance of food), have plenty of; be rich in(t.d.Canada is rich in minerals); abound in(t.d.the country abounds in game);yvirflóð av matian abundance of food, there is food in plenty;her er yvirflóð av øllum, ið tær tørvareverything is here that you need
yvirfólk	(í starvi) superior;yvirfólk hjá e-mone's superior(s);yvirfólk ið standa beint yvir e-mone's immediate superior
yvirfrakki	overcoat, greatcoat;í yvirfrakka
yvirfriðingarnevnd	(løgfr.)(samsvarar íOngl. viðNational Trust)
yvirgangsatsókn	terrorist attack
yvirgangsbólkur	terror group
yvirgangsbumbing	terrorist bombing
yvirgangsgerð	act of terrorism
yvirgangskroppur	síyvirgangsmaður
yvirgangsmaður	1(í einstaka førinum) perpetrator of an outrage; assaulter, assailant(t.d.a policeman tried to arrest the assailant); (sum sær út sum ein brotsmaður) bully; (bølmenni) hooligan, rough, thug;hann er ein harðligur maður, mest sum ein yvirgangsmaðurhe's a violent man he behaves almost like a thug2terrorist
yvirgangsmótlið	antiterrorist corpsel.force(s)
yvirgangsverja	anti-terrorism
yvirgangsverk	1actel.deed of violence, outrage2act of terrorism
yvirgangsvirksemi	terrorist activities, (acts of) terrorism
yvirgangur	1actel.deed of violence, outrage;verja e-n móti yvirgangidefend sby against acts of violence2terrorism
yvirger	(evnafr.)top yeast
yvirgeraður	(evnafr.)top-fermented
yvirgerðarmaður	(bíbl.)assailant;øvunda ikki yvirgerðarmannindon't be jealous of the assailant
yvirgeva	1leave sbyorsth;yvirgivin av Gudi og menniskjumabandoned/deserted by God and man2(tlm.) yvirgeva seg(um skansa) surrender, capitulate; (um fólk) surrender, give oneself up(t.d.the Rif leader gave himself up to the French); (gevast á hendur) acknowledge oneself beaten; throw in the towel;eg yvirgevi meg! (t.d.tá ið dreingir beistast) pax!
yvirgivin	addictedorpartial to, fond of;vera yvirgivin til (e-t)be addicted to sth;hann er so yvirgivin til at klintrasthe's so fond of climbing;hann var yvirgivin til bøkurhe was addicted to books
yvirgonga	transitional period, time of transition;hetta tíðarskeið (1538 - 1571) er ein yvirgonga frá katólsku tíðini til trúbótinathe period (1538 - 1571) was a time of transition from Catholicism to (Protestant) Reformation
yvirgongd	síyvirgonga
yvirgrind	(húsasm.)head and beams
yvirhagi	[high-lying pasture in the outfield used as summer pasture]
yvirhallur	in danger of losing one's balance;hin nógv yvirhalla handilsjavnváginthe growing trade gap
yvirhál	(stb.)síyvirals
yvirhála	1(tlm.)overtake, catch up with;hann yvirhálaði meg við øgiligari ferðhe overtook me at full speed2(sigl.)overhaul
yvirháling	1(tlm.)overtaking2(sigl.)overhaul
yvirhálingarbreyt	fast lane (t.d.she does not like driving in the fast lane), express lane;fara inn á yvirhálingarbreytinamove into the fast lane
yvirhiti	(in a baking oven) top heat, heat from above
yvirhonds	exceedingly, extremely, extraordinarily, hugely, vastly
yvirhoyra	interrogate, question, examine; catechise
yvirhoyring	1interrogation, questioning, examination2hearing things
yvirhugaður	passionate, vehement, enthusiastic, excited; agitated, inflamed; worked up
yvirhugi	passion, vehemence, enthusiasm, agitation, excitement;Barba var rómareyð av yvirhugaBarba was blushing with excitement;av yvirhugathoughtlessly;mest sum av yvirhuga kom hann at leggja upp í prátið teirra millumthoughtlessly he cut in their conversation with a remark
yvirhugtak	1(meira víðtøkt hugtak) wider term, inclusive term; superordinate(el.cover) term2(í syllogismu) major term
yvirhúð	(likam.)epidermis, cuticle; síeis.rova
yvirhús	(stjm.)Upper House; (ovara deild) upper chamber; (í Bretlandi) House of Lords
yvirhøvd	the upper part of the head;yvirhøvdið var so stórt á hennithe upper part of her head was large
yvirhøvur	at all, altogether, on the whole;soleiðis er vorðið yvirhøvurthat's the way things are on the whole;yvirhøvur ikkinot at all
yviri	1farther away;hon stóð yviri við vindeygaðshe stood by the window;hann var yviri hjá grannanumhe was visiting his neighbour;vit búgva longri yviriwe live farther along/up/down the road;har yviriover there2(of place) over there(t.d.the other side of an island/a fiord/a sea); yviriá Kirkjuat (the village of) Kirkja;yviri í Havnin Tórshavn;yviri í Noregiin Norway
yvirjarðligur	(yvirnáttúrligur) supernatural, (himmalskur) celestial, (guddómligur) divine;ein yvirjarðlig sjóna celestial sight
yvirjekari	(herm, sø.)colour sergeant of the chasseurs (the corps of chasseurs of the redoubt in Tórshavn)
yvirkapitalisera	(bú.)overcapitalize
yvirkapitalisering	(bú.)overcapitalization
yvirkast	(gl.)shawl
yvirkjaftur	upper part of the mouth of an animal;fram úr yvirkjaftinum standa tvær tenntwo teeth (tusks) protrude from the upper part of the mouth (of elephant);húkurin stóð í yvirkjaftinumthe fish-hook was embedded in the upper part of the mouth (of a fish)
yvirklókur	extraordinarily gifted
yvirklæddur	covered
yvirklæði	outdoor clothes, overcoat, greatcoat, wind jacket, windcheater;tey lata seg í yvirklæði, áðrenn tey fara útthey put on coats before they go out
yvirkokkur	chef
yvirkoyggja	(sigl.)upper berth, upper bunk
yvirkroppur	upper part of the body, torso;við berum yvirkroppistripped to the waist
yvirkursur	(handilsm.)premium
yvirkynsamur	over-sexed
yvirlast	(sigl.)upper hold (hevur skipt.d2 millumdekk, so hevur tað: yvir-, mið- og undirlast)
yvirleður	uppers(flt) (t.d.he won't have his shoes mended till he is walking on the uppers);(fakl.)vamp
yvirlendi	steeporpreciptious high-lying terrain
yvirliður	(málfr.)primary;" bátur" er yvirliður ít.d." ein gamal bátur&quot
yvirliggingardagur	(sigl.)demurrage day
yvirliggingarpeningur	(sigl.)demurrage
yvirliggjari	(ítr., tlm.)crossbar; sítvørstong
yvirlit	1outline, survey, summary, resumé; (samandrátturo.tíl.)synopsis, summary; (yvirlit yvir hvat ið er farið fram higartil í framhaldssøgu) synopsis; yvirlityvir Føroya søguan outline of Faroese history;ársuppgerð er yvirlit yvir inntøkur og útreiðslur fyri eitt árthe yearly statement is a survey of profits and expenses2insight (into), knowledge (of);hava gott yvirlithave an insight in/into sth3(teld)site map
yvirlitsfrágreiðing	position paper
yvirlitsgóður	clear, easy to see, easy to grasp; (um uppseting, framsýningo.tíl.)well-arranged, well-planned
yvirlitsgrein	survey
yvirlitskanna	(lækn.)screen
yvirlitskanning	(lækn.)screening
yvirlitskort	key map, (tíðum) index map;jarðfrøðiligt yvirlitskortgeological outline map
yvirlitslestur	1speed-reading, skimming2(skúlam.) cursory reading
yvirlitsskeið	survey course
yvirlitstekning	layout drawing
yvirlitsætlan	key plan, general (arrangement) plan; pilotel.outline plan
yvirlitur	body colour, opaque colour
yvirljóð-	supersonic(t.d.jet plane; waves);yvirljóðsbuldur/yvirljóðsbraksupersonic bang;yvirljóðsferðsupersonic speed
yvirluti	predominance, preponderance(t.d.of an army//a state); upper hand(yvirof); advantage(yvirover, of);hava yvirlutan/vera við yvirlutanbe superior;mótloysið var við yvirlutanfaint-heartedness had the day;bera yvirluta yvir e-n/hava yvirluta yvir e-mhave the upper hand of sby; síeis.yvirbrigðiogyvirburður
yvirlýsa1	(stb.)good visibility higher up when there is fog below
yvirlýsa2	(lmynd.)overexpose
yvirlýsi	(lmynd.)overexposure
yvirlýsing	public announcement, proclamation; resolution
yvirlýsingaruppkast	draft resolution
yvirlýsingaruppskot	motion for a resolution
yvirlækni	(lækn.)(á heiliráðdeild) consultant (doctor); (skurðlækni) consultant surgeon; (á ávísum sjúkrahúsum) (medical) superintendent;(tlm.)head doctor
yvirlærari	(skúlam.)senior teacher, senior master, senior mistress
yvirlæti	pretence, pretext;undir yvirlæti atunder/on the pretext of; pretending(t.d.he gained admission to the camp, pretending to be an inspector);tað er fjalt undir følskum yvirlætiit was under false pretences
yvirmaður	1superior, officer;yvirmaður í herleiðslustaff officer2superior;hann er tín yvirmaðurhe is a better man than you; you are no match for him(t.d.you are no match for him when it comes to staying power);nú hevði hann fingið sín yvirmannhe had met his superior
yvirmaki	(kvæð.)superior (person);vær vitum ongan í verðini at vera hans yvirmakawe know of nobody who is his superior
yvirmakt	superiority; predominance; (yvirræði) ascendancy(t.d.prevent a State from achieving ascendancy in Europe); supremacy;fáa yvirmakt yvir e-mhave the upper hand over sby, predominate sby, be ascendant
yvirmáttugur	who is stronger, superior(t.d.forces); (av alstórum týdningi) preponderant;hann tapti fyri einum yvirmáttugum mótstøðumannihe lost to a superior opponent
yvirmenni	superman
yvirmenska	state of being superhuman
yvirmenskur	superhuman;yvirmensk megisuperhuman strength;yvirmensk sálarstyrkisuperhuman strength of mind/character
yvirment	state of being superhuman
yvirmentur	superior;vera yvirmentur e-mbe superior to sby;ein yvirmentur herur vildi teimum anna superior army intended to attack them;yvirmentir í talisuperior in number
yvirmeta	1(meta ov høgt) overestimate(t.d.he overestimated his strength); overvalue(t.d.the overvalued American dollar)2(halda ov nógv um) overrate(t.d.he is an overrated actor; this business of love is terribly overrated);yvirmeta seg sjálvanhave too high an opinion of oneself, overrate one's abilities
yvirmeting	1overestimate; overestimation2overrating, overrated view
yvirmógvur	the uppermost layer of turf
yvirmuður	síyvirmunnur
yvirmunnur	1upper part of the mouth;hava ongar tenn í yvirmunninumhave no upper teeth2(tannlfr..)upper dental plate;hava gebiss í yvirmunninumhave upper dental plate
yvirnatúrligur	supernatural(t.d.ghosts and other supernatural phenomena); yvirnatúrligurskapningura supernatural creature;á yvirnatúrligan háttin a supernatural way/manner
yvirnátta	sígista
yvirnet	(sigl., á troli)overbell
yvirnev	(dý., á fugli)upper mandible
yvirnøgd	abundance, superabundance, profusion, plenty;(serst. í fl.m.)exuberance; síyvirflóð
yvirpartur	1the upperortop part of sth2upper part of the body, torso;hava tjúkkan yvirpartbe big in the upper part of the body
yvirplagg	overcoat, greatcoat, wind jacket, windcheater
yvirprent	overprint; (á frímerki, sum broytir virðið) surcharge
yvirprenta	(prent.)overprint; (á frímerki, sum broytir virðið) surcharge
yvirprenting	overprinting; (á frímerki, sum broytir virðið) surcharging
yvirráð	mastery, control, command, rule, sway, dominion, supremacy, ascendancy, hegemony, (stýri) rule
yvirreagera	(tlm.)overreact
yvirreaktión	(tlm.)over-reaction
yvirrið	lack of balance;fáa yvirriðlose one's balance, overbalance(t.d.the child overbalanced and sat down on the floor);hava yvirriðbe top-heavy
yvirrómi	thick cream on milk (asopp.toundirrómi)
yvirræði	(stjm.)mastery, control, command, rule, sway, dominion, supremacy, ascendancy, hegemony; (stýri) rule; yvirræðiá havinummastery of the seas;undir bretskum yvirræðiunder British rule
yvirrættardómari	High Court judge
yvirrættarsakførari	(sø.)[formerly: lawyer entitled to plead before theyvirrættur], (samsvarandi tittul er ikki íOngl.og USA, frægast er bara at týða hann við) barrister; (í USA) attorney (at law)
yvirrættur	(gl., løgfr.)High Court of Justice
yvirrødd	(tónl.)upper part
yvirsegl	(sigl.)upper sails
yvirsetningur	(málfr.)major premise;ein eykasetningur kann vera yvirsetningur hjá øðrum eykasetningia dependent clause can function as a major premise for another subordinate clause
yvirsinni	rage, fury;ríðir av yvirsinniflare up
yvirsintur	furious; wild(t.d.he was wild about it); infuriated, enraged; (bara sum umsagnarliður) in a fury/rage; (frá sær sjálvum) frenzied, frantic, mad, raving;hann var ikki óndur, men yvirsinturhe wasn't angry he was in a rage
yvirsjón	1sight, vision;hava yvirsjónirhave visions;faðir hennara hevði sæð húsfrúnna í yvirsjónher father had seen the lady of the house in a vision;hon var frá barni so fongd við yvirsjónumshe had been haunted by visions from childhood;gentan var fortrongd av yvirsjónumthe girl was harassed/haunted by visions2hallucination;hann var so ringur, at yvirsjónir fóru at gykla seg fyri honumhe was in such bad shape that he was hallucinating
yvirsjónd	surface
yvirsjúkrarøktarfrøðingur	head nurse
yvirskegg	moustache,(am.)mustache;fáa sær yvirskegggrow a moustache;stuttklipt yvirskeggshort/clipped moustache
yvirskering	(bát.)síreising2(of boat)
yvirskipaður	1(um haga, of outfield) [having a larger flock of sheep than the pasture can support];flestallir hagar hava verið yvirskipaðirthe outfields in most places have suffered from being pasture for too large flocks of sheep2superior; (málsetningur) overall, general;(t.d.ferðslusamband) main; (alfevnandi) global; (týdningarmikil) major; (týdningarmeiri enn) overriding;yvirskipaður í mun tilsuperior to;yvirskipaða máliðthe overall objective;yvirskipað mál(øvut undirskipað mál) primary objective;yvirskipað ætlancomprehensive plan3(málfr.)yvirskipaðursetningur//setningsliðurmajor premise
yvirskipan	[grazing more sheep than the pasture can support]
yvirskjúrt	outer skirt, overskirt
yvirskoðan	síyvirlit
yvirskorin	(bát.)íosb. báturin er nógv//lítið yvirskorinthe boat's sheer fore and aft is much//little
yvirskot	surplus, profit, excess;fyritøkan gevur yvirskotthe firm yields a profit/is remunerative,(eis.)the firm is in the black;sí eis.avlop,avlops-
yvirskógvur	galosh, golosh;(am.)overshoe;(am. eis.)rubbers(flt)
yvirskrift	(í blaði) headline, caption; (í brævi, skjalio.tíl.)heading, head; (í yrking, songi) title
yvirstaddur	(plfr.)superior; epigynous;yvirstødd blómaepigynous flower
yvirstaðin	(tlm.)be over, be finished
yvirsteinur	(in grind- or millstone) upper stone
yvirstempla	(postm.)overprint
yvirstempling	(postm.)overprinting
yvirstig	(nýggjy.;bókm.) enjambment
yvirstikk	(kortsp.)overtrick
yvirstjórn	mastery, control, command, rule, sway, dominion, supremacy, ascendancy, hegemony; (stýri) rule
yvirstúka	(gl.)sísjóstúka
yvirstykki	(gl.)coat (for women and children);nú vóru fleiri, sum høvdu fingið sær yvirstykki
yvirstýrimaður	(sigl.)firstel.chief officer;(tlm.)Number One; (á smáum skipum) first mate
yvirstætt	upper class(es); yvirstættinthe upper classes
yvirsvinnur	solemn, portentous;konan kemur inn, ikki petti uppøst, men yvirsvinnwhen the woman (his wife) enters she is not agitated at all but extremely solemn
yvirsyll	(húsasm.)(sum sperrur hvíla á) head; (á ovara kanti á múri) wall plate
yvirtak	1(fiml.og í glímuserst. flt -tøk) over-grip2(tlm.) hava yvirtakiðhave the upper hand;hann vildi hava yvirtakið í tosinumhe wanted to dominate the conversation;her hevði hon yvirtakiðin this she was the stronger
yvirtaka	(stjm.)take over, take charge of (in connection with the transfer of jurisdiction from Danish to Faroese authorities)
yvirtal	outnumbering, majority;hava/fáa yvirtaliðoutnumber the others;standa ímóti stórum yvirtaliresisting a superior enemy
yvirtala	persuade, induce, prevail upon, talk round, talk over sby(at gera okkurtto do sth);(ikki) lata seg yvirtala(not) let oneself be/(not) allow oneself to be persuaded;hon letur seg yvirtala til at vera longurshe is talked round to stay longer;yvirtala ein ikki at gera eittdissuade sby from doing sth; persuade/prevail upon sby not to do sth
yvirtaling	persuasion;við yvirtalingumby persuasion
yvirtikin	attacked(t.dby malaria), overwhelmed, overcome;hann er yvirtikin av eygnaverkihe is overcome by pain in his eye(s);hann var so yvirtikin av møði, at hann orkaði ikki at flennahe was so overwhelmed by exhaustion that he could not laugh;tær duldu kenslur, sum hann var so yvirtikin avthe hidden passion that ruled his life
yvirtíð	overtime (fótb. eis.injury time)
yvirtíðarløn	overtime payment
yvirtími	ein yvirtími an hour's overtime
yvirtollari	chief customs officer
yvirtóni	(tónl.)overtone, harmonic, partial
yvirtráður	(á seymimaskinu) needle thread
yvirtrekk	(korstp., tlm.)overtrick
yvirtrom	1(t.d.á kari, spann) upper edgeorrim(t.d.on a vat//bucket//pail)2(húsasm.)roof of a building with rafters and tie-beamsetc,the part of a building which is above theyvirgrind (g.v.)3(sigl.) yvirtrom á lúnningguardrail
yvirtroyggja	jersey, sweater
yvirtrygging	(trygg.)overinsurance
yvirtryggja	(trygg.)overinsure
yvirtrýst	1(størri trýst enn annað) overpressure, excess (of) pressure2(størri trýst enn lufttrýst) pressure above (that of) the atmosphere
yvirtænari	head waiter
yvirtøka	takeover, taking the responsibility for sth(espin connection with transfer of jurisdiction from Danish to Faroese authorities); yvirtøkaav sermálumtakeover of fields of responsibility by the Faroese Government
yvirum	over, across, on the other side;hann leyp yvirumhe jumped over;(fl.m.) fara yvirumdie
yvirumboð	overrepresentation
yvirumboðaður	overrepresented
yvirumsjón	superintendence, supervision;løgtingið hevur yvirumsjónthe Faroese Parliament (the Løgting) has supervision
yvirvaksin	abnormally tallorwell-grown; yvirvaksinkalvian abormally large halibut
yvirvald	1sovereignty, suzerainty; mastery, control, command, rule, sway, dominion, supremacy, ascendancy, hegemony; (stýri) rule; yvirvaldá havinummastery of the seas;útlendskt yvirvaldforeign rule;hava yvirvald á e-mcontrol sby; have sby in one's power;at endanum góvust teir fyri yvirvaldinumeventually they succumbed to the superior force2yvirvaldiðthe authorities;so kom yvirvaldið upp í leikinthen the autorities intervened;ein nevnd, ið yvirvaldið hevur setta committee set up/appointed by the authorities
yvirvaldsmaður	(Government) official, Government officer, public servant, office-holder, office-bearer; (í miðfyrisitingini) civil servant
yvirvaldsrættur	(stjm.)right of sovereignty, suzerainty;lata yvirvaldsrættin frá særsurrender one's sovereignty
yvirvág	hava yvirvág í e-m be slightly better than the others; be a cut above the others;heimaliðið hevði yvirvág í leiki allan dystinthe home side was a cut above the others all through the match
yvirváni	íosb. hava yvirvána (yvir e-m)be superior (to sby);teir bardust leingi, at endanum hevði Pætur yvirvánathey fought for a long time but eventually Pætur had the upper hand;bæði kotini eru góð, tó haldi eg hetta hava yvirvánaboth the (homespun) coats are good, but I think that this one is the better one
yvirvánir	predominance, preponderance, advantage; síeis.yvirbrigði, yvirburðurogyvirluti
yvirvekraður	(stb.)síovvekraður
yvirvekt	1larger weight than is usual2overweight, excess weight, surplus weight(t.d.excess luggage;(am.)excess baggage)
yvirveldi	mastery, control, command, rule, sway, dominion, supremacy, ascendancy, hegemony; (stýri) rule;(skaldsk.) danskir undan yvirveldi rukku tá heim til landa;síyvirvald1
yvirvinna	(tlm.)beat, conquer, defeat, vanquish, get the better of; (í kapping) beat, defeat, get the better of; vanquish; (vinna á tvørleikumo.tíl.)overcome, surmount, conquer;hann, ið deyðan yvirvannhe who conquered death
yvirvrakari	chief culler
yvirvøka	monitoring
yvirvøkstur	(plfr.)potato top;tað er so øgiligur yvirvøkstur á eplunumthe potato tops have grown much too much
yvirvøld	(gl.)síyvirvald
yvirvørr	1upper lip; (á skordýrumo.tíl.)labrum2(plfr.)the upper part of a bilabiate corolla
yvri	anger, fury, rage;eg hevði av berum yvri gloymt at skonktI had become so enraged that I had forgotten to pour out schnapps;hon sá, hvussu yvri dró at honumshe saw how enraged he became;(kvæð.) yvri dregur at Sjúrði ungayoung Sigurd becomes incensed
yvrigur	resentful, annoyed, agitated,bóndin var ongantíð illur, men hann kundi vera eitt sindur yvrigur við hvørtthe farmer was never angry, but he could sometimes be somewhat annoyed
