J	(st.)joule
javnlíki	equal, peer,tínir javnlíkaryour equals; like(t.d.we shall never see his like again); (í kapping ogfl.m.)match(t.d.meet one's match);teir eru javnlíkarthey are evenly matched;eingin er hansara javnlíkihe hasn't an equal;hvat arbeiðssemi viðvíkur finst ikki hansara javnlíkihasn't his equal for industry; there are few to equal him for industry;er hann tín javnlíki í styrki?is he your equal in strength?;hann er mín javnlíki í styrkihe equals me in strength
javnlíkt	(kvæð.)in the same way, alike
javnlíkur	identical, (exactly) the same(GG:verður bara brúkt sum umsagnarliður,t.d.the two are exactly the same); alike(t.d.the houses are exactly alike)
javnlyndur	calm, even-tempered, well-balanced, harmonious
javnløn	equal pay
javnmeta	compare(t.d.no book can compare with the Bible), compare to(t.d.as an orator he may be compared to Demosthenes); value equally;sum kann javnmetast við (eis.)comparable with(el.to);A kann ikki javnmetast við B (t.e.er verri enn B) A cannot compare(el.be compared) with B; there is no comparison between A and B; A is not comparable with B; A and B are not in the same class
javnmikil	equally much
javnnógvur	1evenly much2(just) as much,tað kom javnnógv burtur úr hesari nevnd sum burtur úr øðrum nevndumthis committee accomplished just as much as any other committee
javnringur	constantly bad(t.d.weather)
javnríkur	equally rich
javnræði	(kvæð.)suitable match
javnrættindi(r)	equality (of rights(el.status)), equal right(s);javnrættindi(r) hjá kvinnumwomen's rights, equal rights for men and women;javnrættindi(r) millum kynsex equality;javnrættindi(r) tilan equal right to
javnrættur	síjavnrættindi
javnseta	place(el.put) on an equal footing, put on an equal basis(el.on a levelel.on a par) with; put on the same footing as (við with); give equal rights
javnsettur	equal(t.d.all are equal before the law); of the same standing(el.status); equivalent(t.d. (á henda hátt) javnsettur yrkisligur kunnleiki(ES) equivalent professional experience);javnsettur við (eis.)ranking with;javnsettur eftir lóginihaving the same legal status
javnsinni	calm, balance of mind
javnsintur	1calm, even-tempered, well-balanced, harmonious2sísamsintur
javnsíðaður	(stfr.)equilateral
javnsíðis	side by side, abreast,(t.d.three ships sailing abreast; cyclists should not ride two abreast on a narrow road)
javnskapaður	síeinvorðin
javnskavaður	full to the brim, level
javnskipa	regulate; adjust
javnskipaður	(málfr.)paratactic(al)
javnskipan	(málfr.)parataxis
javnslættur	level (, plain, flat) all over
javnsmáur	generally small, small in general,javnsmáur fiskursmall fish in general
javnstaddur	balanced
javnstórur	1generally big, big in general,javnstórur fiskurbig fish in general2of equal height, size,javnstórur ogas big as
javnstreymur	(ravm.)direct current, DC
javnstrokin	level, plain, flat
javnstøða	1equality (of status), equal rights; (námsfr.: í útb.,o.s.fr.)equality (of opportunity); (á arbeiðsmarknaði) equal opportunity(el.opportunities); equivalence;javnstøða millum kyninisex equality2balance,hann fekk hetta alt í javnstøðu innan í særhe brought it all in balance in his mind3(jarðfr.) isostasy
javnstøði	(jarðfr.) level
javnstøðulóg	(løgfr. uml.=)Sex Discrimination Act
javnstøðunevnd	the Equal Status Council; (svarar í Ongl. til) the Equal Opportunities Commission
javnsvara	(sj.)sísamsvara
javnsýna	sísamsýna
javnsýning	sísamsýning
javnt	síjavnur
javntekstur	parallel text
javntjúkkur	equally thick all over
javntramaður	full to the brim, level
javntungur	javntungur við (e-n)as heavy as
javntøkur	1(í samljóði við) congruous (with)2(stfr.)congruent (with),javntøkir formar3(málfr.)agree (við with); agreeing, in agreement, concordant (with), coincide
javnur	1even, smooth(t.d.a smooth lawn); level(t.d.a level plain); plane(t.d.the surface is completely plane); (beinur) straight,javnur kantura straight edge2(regluligur) even, regular(t.d.breathing); uniform(t.d.speed); constant(t.d.growth, speed)3(stigvísur) gradual(t.d.a gradual increase); gentle(t.d.a gentle slope); steady(t.d.the steady increase of our export trade)4equal, alike, identical;teir eru javnirthey are equally strong (, fasto.tíl.); hann var ikki javnur við hannhe was not as strong (, fasto.s.fr.)as he was;tað stendur á jøvnum (vera javnt sterkir o.s.fr.)be equal, be equally matched; the chances are even(el.fifty-fifty); (um mál) the score is even; (um allan dystin) it is a draw, it is a tie;(am.bara) it is a tie; (um stig, málo.s.fr.)tie(t.d.they tied at half-time); be tied(t.d.the electoral vote was tied); (um valeis.)obtain the same number of votes (, seats);tað stendur á jøvnum hjá okkum (t.d.í ítróttardysti) we are even(el.all square);tað stendur á jøvnum við atkvøðumthe votes are equal; there is a tie5(ítr.)drawn(t.d.a drawn game)6(einsháttaður) uniform; homogeneous(t.d.a homogeneous mass); consistent(t.d.a consistent level of quality);ein jøvn heilda homogeneous whole;javnt veðurlagequable climate;jøvn góðska (, prísur)uniform quality (, price)7persistent,tú mást vera javnur á tí skal fáa nakað frá hondiniyou must be persistent if you want to get sth done8wretched, miserable;(tlm.)down in the dumps,tað var ikki meir enn javnt hjá mærI feel wretched9generally, in a general sense(el.way), broadly(t.d.broadly, we may say that), on the whole;tað javna er, at so verður gjørtgenerally this is what is being done10[íyms. samb.]javnt fallgradual fall;(t.e.afturgongd, minking) gradual decline(el.fallel.decrease)(t.d.exports show a gradual decline(el.decrease));við javnari ferðat a uniform (rate of) speed; at a moderate speed;javnur flatismooth(el.even) surface, planejavnur hitiuniform heat;javnt rað (stfr.)uniform scale;jøvn rørslauniform (rate of) speed; uniform motion;javnur skráningurgentle slope;javnt skiftigradual transition;javnur vindurgentle breeze11javnt[jamt]hj1(óavbrotin) constantly; continuously, steadily(t.d.steadily increasing; the pound fell steadily)2most often, most frequently, usually,hendan leiðin var tann, sum javnast var farinthis is the road people usually took3in the same way, equally, to an equal(el.the same) extent,teir verða ikki raktir javnt við aðrar4tað gekk javnt áit was a firm rule;tað gongur upp fyri javntit goes straight up5gradually, steadily,minka javntdecrease gradually(el.steadily)
javnvaksin	1evenly grown, straight2equally big, equally tall
javnvág	1(alisfr.)balance, equilibrium;fáa javnvág íbalance sth;endurvinna javnváginarecover one's balance;halda javnváginakeep one's balance;hava eitt í javnvágkeep sth balanced, keep sth in equilibrium;hárfín javnvága fine (, precarious) balance;missa javnváginalose one's balance; be thrown off one's balance;skapa javnvág íbalance(t.d.the budget);skúgva jávnvágina ímillumdisturb(el.tilt) the balance between; tip the scales between;úr javnvágoff one's balance;(fl.m.)unbalanced(t.d.mind);vera í javnvágbe balanced;vera úr javnvágbe out of balance; (um sinnisstøðu) be unbalanced2(bú.)balance,hava javnvág íhave balanced books;(tlm.)the figures tally
javnviðgerð	equality of treatment, non-discrimination
javnviðrað	with stable weather
javnviga	1balance(t.d.balance (oneself) on the edge of a chair), keep one's balance, balance oneself(t.d.on one foot);javnviga eftirbalance one's way along(t.d.the edge of the cliff);javnviga viðbalance(t.d.a stick on one's nose), poise(t.d.a basket on one's head);javnviga millum tvey ytstumørkfind a balance(el.compromiseel.middle way) between two extremes;sum at javnviga á eini knívegglike balancing on a tightrope(el.a razor's edge)2(bú.) bøkurnar javnviga neyvtthe books balance exactly;inntøkur og útreiðslur javnvigareceipts and expenditure balance (out);roknskapurin javnvigar við 1000 kr.the balance sheet amounts to kr. 1000;fáa roknskapin at javnvigabalance the accounts;(fl.m.)break even3(spæl) ride on the knee
javnvigan	síjavnvág
javnvigandi	balanced;javnvigandi avriksmetingbalanced scorecard; sí eis.samskipaður
javnvirði	equal status
javnvæl	equally well, as well as,tað er ikki javnvæl umtókt av øllumit is not equally popular with everybody
javnvøga	síjavnvág
jáa	(kvæð.)síjátta
Jákup	draught
jákupsdagur	25th of July
jákupsskel	(dj.)queen scallop(Chlamys opercularis)
jákupsstigi	(stjfr.)Jákupsstigi Jacob's ladder
jánka	1half promise; answer half-heartedly,jánka um2drop(t.d.a ball, a purse)3saunter(t.d.he sauntered in an hour late)
jánkaligur	sígjánkaligur;hj-liga
jánkasligur	1doubtful, dubious, questionable, problematic, uncertain, irresolute2slow, tardy, dilatory;(tlm.)heel-dragging, foot-dragging3hj-liga;sbr.sígjánkasligur
játa	jade
játta	1give one's consent, consent to, assent to;(tlm. eis.)give one's nod, give sby the nod; confirm,hann játtaði tíhe confirmed it; corroborate2admit, acknowledge, confess,játta sína skuldconfess one's guilt;játta syndir sínarconfess one's sins;játta sína trúgvconfess one's faith;játta seg sekanconfess (to) a crime3grant; (í Bretska parlamentinum: samtykkja eina játtan) vote(t.d.Parliament voted him a pension); approve(t.d.Congress will probably approve the money for reconstruction); (ESeis.)accord(t.d.subsidies accorded by Governments); grant(t.d.grant(el.allowel.give) sby credit;játta e-m 2% provisióngive(el.allow) sby a 2 per cent commission;treytað av at hann játtarsubject to his agreement;játtandi myndugleikarthe authorities empowered to make grants;hava játtandi myndugleikahave the power to giveel.withhold grants; have the power of the purse; hold the purse strings;játtandi svarthe answer is in the affirmative;geva játtandi svaranswer (, reply) in the affirmative; return an affirmative answer (, reply)
játtan	1consent; admission; confession2(bú.)grant(t.d.he obtained a grant of £5000 to continue his research work);(t.d.á fíggjarlóg) appropriation(t.d.the Minister asked Parliament for an appropriation of £2 million towards the establishment of new schools);lata játtan(ESeis.)authorize appropriations;flyta játtan(ES) carry forward(el.carry over) appropriations;fara út um játtanexceed a grant;samlað játtanblock grant(móts.tied grant = játtan til ávíst útgreinað endamál);seta játtan av(ES) fund; funding;játtanir til útgjaldingarpayment appropriations
játtanarlóg	appropriation act
játtanarmyndugleiki	power of the purse; authority empowered to make grants
játtilsi	síjáttan
játting	síjáttan
je1	gee, dear;á je suffaði honOh gee (Oh dear) she sighed
je2	(Suð.)yes,je?is that so? do you mean that?
jeg	(Suð.)I
jekari	1(sø.)[soldier at the fort in Tórshavn]2(sø.)(police) constable
jemmil	(sa.)mouth, jaw,hon brúkar jemmilinshe is holding forth;(tlm.)she is shooting her mouth off; she is talking her head off;jemmilin stendur ikki stillur á hasumshe talks nineteen to the dozen
jeppur	jeep;eis.gipur
Jeremias	(sern.) (bíbl.)Jeremiah
jesa	swear, say "Jesus"
Jesabel	(sern.) (bíbl.)Jezebel
Jesajas	(sern.) (bíbl.)Isaiah
jesan	swearing, saying "Jesus"
jesuitiskur	Jesuitic(al);hj.-ally
jesuitti	(átr.)Jesuit
Jesus	Jesus;(ofta =)Our Saviour; Our Lord;(GG:He, Him, His um Jesus verður stavað við stórum)Jesus barniðthe Infant Jesus;Jesu føðing(í listo.s.fr.)the Nativity;Jesus KristusJesus Christ;í Jesu navniin the name of Jesus;Jesus veri við tær (svarar til)godspeed;Jesus komi til mín!good Lord!
jesuspápablomstur	(plfr., barn.)síundirløgugras
jesuspápadýr	(dj.,barn.)síkongalús,urðaroksi(Acarus litoralis)
jesuspápalamb	(dj.,barn.)síkongalús
jesuspápaleika	(barn.)moon, full moon
jesuspápaseyður	(dj.,barn.)síkongalús
Jesuspápi	Jesus, our Lord
jettflogfar	jet plane
jettjagari	jet fighter
jettmotorur	jet engine, jet motor
jiddiskur	jiddiskt Yiddish
Job	(sern.)Job;Jobs bókthe Book of Job
jobstol	the patience of Job
jod	(evnafr.)iodine;viðgera við jodiiodize;viðgerð við jodiiodization;pensla við jodipaint with iodine;reytt jodmercurochrome ®, merbromin
jodblýggj	lead iodide
jodd	(the letter) J; jay
jodeitran	iodism
jodla	(tónl.)yodel
jodl(an)	yodelling
jodpensling	painting with iodine
jodroynd	iodine test
jodsalt	1(borðsalt) kelp salt2(evnafr.)iodate
jodsamband	iodine compound
jodspiritus	tincture of iodine
jodviðgerð	iodine treatment, iodization
joga	yoga
jogga	(ítr.)jog
jogging	jogging
joggingklæði	track suit
joggingskógvar	trainer
jogurt	(mjólk.) yoghurt
jokari	(kortsp.)(jolly) joker
jolla	boat, yawl; (smærri) dinghy, skiff
jomfrú	1virgin;(bíbl.)Virgin;síannarsmoy(ggj)2(skip.)deadeye3(skipsterna) stewardess
jomfrúband	hymen
jomfrúferð	maiden trip, maiden voyage
jomfrúføðing	(átr.)Virgin Birth
jomfrúhummari	(dýr.)Norway lobster; langoustine;(eis.)Dublin (Bay) prawn(Nephrops norvegicus)© Wikimedia Commons
jomfrúkinn	(kvæð.)virgin's cheek
jomfrúmerki	(stjfr.)Jomfrúmerkið the Virgo
jomfrúnalsk	spinsterish, old-maidish
jomfrúolja	virgin oil
jomfrústykki	(á kalva) halibut's tail
jompa	(um gongulag) have a hopping gait
Jordan	(sern.) (landal.)the (river) Jordan;(bíbl.)Jordan;(ríkið)Jordan
jordani	Jordanian
jordanskur	Jordanian
Jorsalaborg	(gl. , stn.) síJorsalir
Jorsalir	(gl.)Jerusalem
joule	(alisfr.)joule
journal	journal; (læknajournal) case book; (hospitaljournal) case record; (medical) record; chart; history; (um einstakla sjúklingineis.)case sheet;skriva journalkeep a journal (, a log, a case book, a case record, a case sheet);skriva í journalinaenter in the journal (, the log, the case book,o.s.fr.); síannarsdagbók
journalarkiv	sídagbókasavn
journalinnlit	sískjalainnlit
journalisera	sídagbóka
journalistaháskúli	school of journalism
journalistikkur	sítíðindaflutningur
journalistlesandi	journalism student
journalistur	journalist;journalistarnirthe gentlemen of the press
journalnummar	journal number; (lækn.) hospital record number, reference number
journalskriving	(á stovni) recording; keeping a journal (, a log etc.), record keeping
jóansøka	St John's (Day), Midsummer Day
jóansøkuaftan	St John's Eve, Midsummer Eve
jóansøkudagur	Midsummer day
jóansøkudøgg	Midsummer Day dew
jóansøkugras	(plfr.)síjóansøkugøtubrá
jóansøkugøtubrá	(plfr.)Ribwort Plantain(Plantago lanceolata)© Wikimedia Commons
jóansøkuhald	festival of St John
jóansøkunátt	Midsummer night; Midsummer eve
jóansøkutoka	Midsummer fog
jóansøkuveður	fine weather, a fine day
jói	(fugl.)pomarine skua(Stercorarius pomarinus)(Temminck, 1815)© Muchaxo S.
jól	(átr.)Christmas, Xmas;(gl.)yule, yuletide;á jólumat Christmas; during Christmas;bera jólini á baki(num) el. bera jólini út[leave without receiving Christmas hospitality];drekka jólcelebrate(el.keep) Christmas;eg fekk tað til jóla í fjørI got it as a Christmas present last year;fyri jólundan jólum;ganga sum á jólumgoing well, going just as planned;hvat gevur tú honum til jóla?what are you giving him for Christmas?;gleðilig jól!(a) merry Christmas!;gomlu jól[6 January];halda jólcelebrate(el.keep) Christmas;hava jól og góðar dagarlive like a lord, live off(el.on) the fat of the land, live like fighting cocks;Sbe on the pig's back;hvít jóla white Christmas;millum jólannabetween Christmas and Epiphany;eg ynski tær eini gleðilig jólI wish you a merry Christmas
jóla-	Christmas(t.d.Christmas literature, Christmas baking)
jólaaftan	Christmas Eve; [í Ongl. og USA verður serliga jóladagur hátíðarhildin];(tlm.) lítla jólaaftan (t.e.tollaksmessudagur) the night before Christmas Eve
jólaaftansdagur	Christmas Eve, the day before Christmas
jólabakstur	Christmas baking
jólablað	Christmas magazine; Christmas number
jólaboð	gospel for Christmas Day; the glad(el.good) tidings
jólaboðskapur	gospel for Christmas Day
jólabolli	[sweet bun]
jólaborð	[Christmas lunch];(ofta =)office party
jólaborðhald	Christmas do, Christmas bash; [Christmas lunch];(ofta =)office party
jólabók	Christmas book
jólabrenni	[peat for the Christmas days]
jólabrennivín	Christmas booze
jólabygd	(gl.)[village where Faroese chain dance was traditionally danced on boxing day]
jóladagur	(fyrsti jóladagur) Christmas Day; (jólahalgidagur) Christmas holiday;annar jóladagur (oftast =)Boxing Day(GG:Boxing Day er fyrsti gerandisdagur eftir jól);(fl.m.) hava jóladagarlive like a lord, live off(el.on) the fat of the land, live like fighting cocks;Sbe on the pig's back
jóladansur	[Faroese chain dance danced on boxing day]
jóladámur	Yuletide spirit, Christmas spirit, Christmas atmosphere
jóladrekka	Christmas booze
jóladøgurði	Christmas dinner; (í Ongl.serl.jóladag)
jólaevangelium	gospel for Christmas Day
jólaferðing	Christmas travelling
jólafiskur	[(seasoned) fish for dinner Christmas eve]
jólaframsýning	Christmas (window) display
jólafriður	Christmas peace,jólafriður byrjaði tríggjar dagar fyri jólChristmas peace started three days before Christmas
jólafrí	síjólafrítíð
jólafrítíð	Christmas holidays
jólafyrireikingar	Christmas preparations
jólaføsta	advent
jólagás	Christmas goose; (í Ongl. og USA verður kalkun etin:) Christmas turkey
jólagáva	Christmas present
jólagestur	Christmas guest
jólagleði	Christmas joy
jólaglíma	(kvæð.)Christmas wrestling
jólagóðgæti	Christmas sweets(el.confectioneryel.sweetmeats)
jólagóði	Christmas cheer
jólagreytur	Christmas rice pudding
jólagriður	(kvæð.)Christmas peace
jólagrind	[pilot whales slaughered around Christmas time]
jólahald	Christmas celebration, Christmas festival
jólahalga	(Festival of) Christmas
jólahandil	Christmas shopping
jólahátíð	Christmas
jólahefti	Christmas magazine
jólaheilsa(n)	Christmas greeting
jólahosa	Christmas stocking
jólahýrur	Yuletide spirit, Christmas spirit, Christmas atmosphere;vera í jólahýri (tlm.)feel Christmassy
jólahøgtíð	síjólahátíð
jólainnsavning	Christmas collection
jólakaka	síjólakøka
jólakaktus	Christmas(el.crab) cactus(Zygocactus)
jólakalendari	Advent calendar
jólakassi	(sø.)[case of distilled spirits]
jólakavi	Christmas snow
jólaklokka	Christmas bell; (í Ongl.) Christmas chimes;jólaklokkurnar ringjathe Christmas chimes are sounding
jólaklæddur	dressed for Christmas
jólaklæði(r)	Christmas dress
jólakort	Christmas card
jólakrubba	crib, crèche
jólakvøld	Christmas night
jólakøka	[a kind of white breadel.pastry eaten at Christmas]
jólalag	1Yuletide spirit, Christmas spirit, Christmas atmosphere;vera í jólalag (tlm.)feel Christmassy2(tónl.)tune of a Christmas carol
jólalamb	(gl.)[sheep for slaughter before Christmas time; sheep given to the servants as a supplement to their wages]
jólalesnaður	Christmas reading
jólalestur	family prayers at Christmas
jólaligur	1(tlm.)Christmassy2(sk.)be tippling,ert tú longu jólaligur?have you already started tippling
jólaljós	Christmas candle;við jólaljósum í eygunumwith shining eyes
jólaløgur	(stb.)síjóladrekka
jólamaður	1jólamaðurinSanta Claus, Father Christmas2(stb.)drunk (around Christmas time)sást tú nógvar jólamenn í gjárkvøldið?did you see many drunks last night?
jólamatur	Christmas cheer
jólamáltíð	Christmas dinner
jólamánaður	December
jólamerki	(postm.)Christmas seal
jólamessa	Christmas Mass, Mass of the Nativity
jólamorgun	Christmas morning
jólanátt	Christmas night,(tilt.) sum lundi á jólanáttexceptionally rare
jólanissa	[pixieel.brownie associated with Christmas];jólanissan (ofta =)Father Christmas
jólaoratorium	jólaoratoriirWeihnachts-Oratorium
Jólaoyggin	(sern.)Christmas Island
jólapakki	Christmas parcel
jólapappír	Christmas (wrapping) paper
jólapostur	Christmas mail
jólapottur	(gl.)[a quart of distilled spirits given all the farmhands for Christmas]
jólaprýði	Christmas decorations
jólaprædika	Christmas sermon
jólapynt	síjólaprýði
jólarí	exaggerated preoccupation with Christmas; the commercialization of Christmas
jólarósa	(plfr.)Christmas rose(Helleborus niger)© Wikimedia Commons
jólasalat	(plfr.)chicory (salad)(Cichorium intybus)
jólasálmur	Christmas hymn; (svarar í Onglandi fyri ein part til) Christmas carol
jólaseyður	[sheep slaughtered just before Christmas]
jólasiður	Christmas custom
jólaskip	(gl.)[boat which brought goods for Christmas]
jólaskundur	the Christmas rush
jólasongur	[song sung at Christmas]; (svarar fyri ein part til) Christmas carol
jólasól	[lunar month beginning with the first new moon after Christmas]
jólaspæl	nativity play
jólasták	Christmas preparations
jólastákan	síjólasták
jólastás	Christmas dress
jólastingur	(um seyming) [long and uneven stiches made in haste],hatta eru jólastingirthose stitches are made in haste
jólastjørna	1Star of Bethlehem2[star put on the top of the Christmas tree]3(plfr.)poinsettia(Euphorbia pulcherrima)
jólastrika	(stb., skemt.)knife-edge crease
jólasummar	genial climate around Christmas-time
jólasunnudagur	Sunday between Christmas and New Year
jólasøla	Christmas turnover, Christmas sales
jólatíð	(kvæð.)síjóltíð
jólatræ	Christmas tree;pynta jólatrædecorate the Christmas tree;dansa um jólatræiðdance round the Christmas tree;hann fer til jólatræhe is going to a Christmas party;taka pyntið av jólatrænumdismantle the Christmas tree
jólatræfótur	Christmas tree stand
jólatræpynt	Christmas tree decorations(el.trimmings)
jólatræteppi	Christmas tree underlay
jólatrøll	[work which is not finished before Christmas]
jólaveður	Christmas weather
jólaveitsla	Christmas, Christmas festival, Christmas celebrations
jólaverður	(gl.)Christmas dinner
jólavika	Christmas week
jólavist	síjólavitjan
jólavitjan	Christmas call
jólavísa	(gl.) síjólasongur
jólavættur	síjólamaður
jólaær	[ewe for slaughtering before Christmas]
jólaævintýr	Christmas story(el.tale);Eitt jólaævintýr(skaldsøga eftir Dickens) A Christmas Carol
jólaøl	[a kind of non-alcoholic beer]; (kann verða endurgivið) Christmas brew, Yule brew
jóltíð	Christmas-time(el.-tide);(gl.)yule-tide,um jóltíð el. jóltíðirabout Christmas-time
jólur	(plfr.)(flower) stalk, peduncle
jómsvíkingaæl	(stb.)heavy shower
jón	(alisfr.)ion(t.d.complex ions; negative ion, anion)
jóna	(alisfr.)ionize
jónhav	ionosphere
jóning	(alisfr.)ionization
jóra	(stb.)sínjóra
jótra	1(um jóturdýr) chew the cud, ruminate2maunder, drool, ramble, waffle (on)
jótur	(dýr.)1 chewing the cud, ruminating 2 cud
jóturdýr	(dýr.)ruminant
Judas	(sern.)Judas; ein Judas a Judas;Judas IskariotJudas Iscariot
judasarkossur	Judas kiss;(uml. =)kiss of death
judasarpengar	(gjald fyri svik);(sø.)thirty pieces of silver; (ofta =) blood money
jugoslavi	Yugoslav
Jugoslavia	Yugoslavia
jugoslaviskur	Yugoslav
jul	(alisfr.)joule
juli	July;í juliin July; in the month of July;fyrsta juli(on) the first of July(el.(on) July the first)
julianskur	Julian;julianskur kalendariJulian calendar;julianska tíðarrokninginJulian era
julimánaður	the month of July
jungmaður	(sjóm.)navigating apprentice (with 1 year's seagoing experience)
juni	June;í juniin June; in the month of June;fyrsta juni(on) the first of June(el.(on) June the first)
junimánaður	the month of June
junkarajørð	(sø.)[nobleman's land in the Faroes]
junkaraligur	cavalier
junkari	(kvæð.)(young) nobleman;(sø.)squire
junkarskapur	dríva junkaraskap idle away one's time
Jupiter	(stjfr.)Jupiter
jura	síløgfrøði
juraøld	(Frá 199,6 mill til 145,5 mill. ár síðan) The Jurassic Period
juridiskur	síløgfrøðiligur
justera	sístilla
justitsmord	sídómsmorð
juvelur	sígimsteinur
jú1	yes;(t.e.tað skilji eg) I see!, yes!;(t.e.tað skal eg gera) I will; (jú fegin) certainly, by all means!;(am.)sure; (drálandi) well; (ofta umskrivað við it is, I am etc.;t.d.is it still raining? it is; are you John Smith? I am; did you catch him? I did; did he see you? he did);jú, jú!yes!, oh yes!, yes indeed!, certainly!; (drálandi) well!, well yes!; (á leið) well, so-so(t.d.is he intelligent? Well, so-so); well, tolerably(t.d.did you enjoy yourself? Well, tolerably);jú tað ger tað!yes it does!,(am. tlm. eis:)it does, too!;jú tað geri eg!yes I do;(am. tlm. eis:)I do, too!;jú so víst(sterk váttan) yes indeed!, certainly!; to be sure, of course; (treytað váttan) well yes; (á leið) so-so; tolerably;(spei.)indeed(t.d.he a hero! heroism indeed!);jú víst geri eg so!of course I do!, certainly I do!;jú víst er hann ríkur!of course(el.certainly) he is rich!, indeed he is rich!
jú2	1(frágreiðandi: nevniliga, sum kunnigt) you know(t.d. hann er jú yvirmaðurhe is an officer, you know); you see(t.d. eg var jú noydd at skunda mærI was in a hurry, you see); as you may remember, (as) it will be remembered(t.d.Lord Halifax, who, it will be remembered, was Viceroy of India);(serl.blaðmál) of course(t.d.Lady Mary, who of course is the daughter of Lord X); (verður ofta endurgivið við noktandi spurningiel.verður slept)(t.d. eg havi jú sagt tær taðI have told you, haven't I?)2(ákærandi, mótmælandio.s.fr.) jú menwhy(t.d.I betray him! why, I am his best friend); I tell you(t.d.why didn't you listen? I did listen, I tell you!); after all(t.d. jú men vit kravdu bara rímiligan prísafter all, we only asked a moderate price); (verður endurgivið við herðing,t.d.why aren't you listening? I ´am listening); (ella við umskriving við do,t.d. jú men eg keypti hann!but I did buy it!)3(viðgangandi) of course,hann er jú einki flogvit men eg haldi hann klárar tað kortiniof course he is not a genius, but I think he can do it all the same);eg kann jú fara skeivurof course I may be wrong; after all,hann er jú gentilmaðurafter all, he is a gentleman
jú3	: jú. jú jú. júthe,the(t.d.the more he gets, the more he wants; the more I practise, the worse I sing; the sooner the better)
júgrað	kúgvin er væl júgraðthe cow has a large udder
júgur	(dýr.)udder;spent júgurdistended udder
júgurbruni	(dýr.)inflammation of the udder, mastitis
júgursíður	(um kúgv, ær) with pendulous udder
júgurverkur	síverkur(2)
júgv	yes,ámmin og júgv eftirmay it come true
júk	continual repetition, rambling on about sth
júka	keep repeating, continually repeat, ramble on about; make a fuss, take nonsense;júka á e-ncontinually repeat a thing to someone;sita og júkaramble on about the same things
júkan	síjúk
júkungar	(sø.)sínivlungar
júkutur	tiresome, annoying
júli	(gl.)July
júliskur	Julian;hin júliska tíðarrokninginJulian era;júliski kalendarinJulian calendar
júni	(gl.) síjuni
júsa	oh yes, oh well; yes indeed!, certainly!
júsá	síjúsa
júst	just, exactly;(t.d.he is just the man(el.the very manel.the man) for the post; I was not exactly pleased with that remark; he doesn't exactly overwork; at the precise moment when he arrived; just as he arrived; that is just the question I wanted to ask; the clock had just struck twelve)
jútalygn	a blatant lie
júti	Jutlander;(sø.)Jute
Jútland	(stn.)Jutland
jútskur	Jutland, Jutlandish;jútskur hesturJutland horse
jødabýarpartur	Jewish quarter; ghetto
jødadómur	(átr.)Judaism, Jewry;altjóða jødadómur(á nazimál) international Jewry
jødadrongur	Jewish boy;(tlm. niðr.)Jew boy
jødafólk	Jewish people, Jewry
jødahatari	anti-Semite;(tlm.)Jew-hater; (Seis.)Jew-baiter
jødahatur	anti-Semitism; Jew-hatred
jødajagstran	persecution of the Jews; (minni ógvislig) Jew-baiting
jødakaka	[kind of biscuit sprinkled with cinnamon and sugar]
jødakristindómur	(gudfr.)Judeo-Christianity
jødaligur	Jewish
jødaskegg	(plfr.)mother of thousands(Saxifraga sarmentosa
jødastræti	ghetto (street)
jødatrúgv	Jewish religion, Judaism
jødi	Jew;(niðr. slang)Yid, kike, sheeny;ævigi jødinthe Wandering Jew;ortodoksur jødiorthodox Jew;hann (, o.s.fr.) er jødihe (,o.s.fr.)is Jewish
jødiskt-kristiligur	Judeo-Christian
jødiskur	Jewish;(tlm. niðr.: bara brúkt viðfest) Jew
jøkil	1close-cropped outfield;(fl.m.) verða hildin á jøklibe poorly fed2poor peaty soil3dried sea wrack
jøkilgras	síjøkil(1)
jøkilshagi	close-cropped outfield
jøkla	crop a pasture
jøklalendi	close-cropped pasture
jøklatorv	síjøkil(3)
jøkslum	síjakslur
jøkul	(jarðfr.)glacier
jøkulá	(jarðfr.)glacier torrent
jøkulborin	(jarðfr.) glacier transported
jøkulfjall	nunatak (fjallatindur, ið dagar upp undan jøkli)
jøkulísur	(jarðfr.) glacial ice
jøkulop	(jarðfr.) glacier torrent
jøkulsprunga	(jarðfr.) glacial crevasse; stórjøkulsprungalarge crevasse
jøkulvatn	glacier water; glacier lake
jøkulvindur	glacier breeze
