L1	rómv. taltekn fyri 50
langferðamaður	sílangfaramaður
langfiskur	(dýr.)razor shell(Solen ensis)
langfótur	foot length
langfreistaður	(handilsm.)long-term(t.d.liabilities; long-term interest-rate level);langfreistað skuldlong-term liabilities;langfreistað skuld tilsamanstotal long-term liabilities
langhala	(sj.)sílanghøla
langhali	(sj.)sílanghøla
langhosa	long stocking
langhús	1(sø.,kirkj.)long house; (í kirkju) nave2(sø.; t.d.hjá víkingum í Norðurlondum og indiánum í Norðuramerika) longhouse
langhyrntur	(um seyð) long-horned
langhøla	(sjónavn fyri) cow
langhølsutur	long-necked
langhølutur	long-tailed,(gl., bát.) tær langhølututhe cows
langhøvil	jointer(el.jointing) plane
langi	(lívfr.)large intestine (colon)
langkjølur	(bát.)[the keel itself, excluding the lower part of the sheer]
langkloyvdur	long-legged
langkykna	(lívfr.)prosenchymatous cell
langlangabbi	(Nóls.)great-great-grandfather
langlangomma	(Nóls.)great-great-grandmother
langleggjaður	long-legged, with long legs
langleggur	1(á djóri) shank, leg; (íflt eis.)stumps;Spins;(orðt.) fara upp á tjólegg og detta niður á langleggcome in like a lion and go out like a lamb [begin on something big which one is unequal to]2(á fólki) shin, shinbone;(yrkism.)tibia
langleiga1	(handilsm.)leasing
langleiga2	(bú.)lease
langleigari	leasee
langleittur	long-faced
langliga	1far; longingly,stara langliga aftan á hennigaze longingly at her2slowly,fuglaljóðið doyr langliga burturthe twitter slowly dies away;klokkan gekk langligatime dragged;langliga kom skipið upp í vindinthe ship came slowly up into the wind
langligur	1long-drawn-out, boring,sálmarnir við sínum langliga lagithe hymns with their prolonged tones;hjá henni var lívið langligther life was boring;tíðin fellur henni langligtime hangs heavy on her hands2(quite) long,eitt langligt floyt frá fuglinuma long chirp from the bird3(quite) oblong,barrin er eitt langligt rúmthe bar is an oblong room
langlívaður	long-lived
langljós	(á akfari) main beam;(am.)high beam;(tlm.)brightsflt
langlop	(ítr.)long jumping; (stakt lop) the long jump
langmintur	slow to forget an insult; with a good memory
langmotta	(floor)mat
langmóð	long-suffering, forbearance
langmóðigur	long-suffering,(bíbl.) kærleikin er langmóðigurcharity suffereth long; love is patient
langnátt	langnáttin the longest night of the year
langomma	great-grandmother
langommubarn	great-grandchild
langommubeiggi	brother of one's great-grandmother, great-uncle
langommudóttir	great-granddaughter
langommusonur	great-grandson
langommusystir	sister of one's great-grandmother, great-aunt
langpláta	(tónl.)long-playing record;(st lp)
langreis	(sj.)sílangferð
langreistur	(um bát) with elongated sheer
langríggin	(stb.)slow to forget an insult
langryggjaður	(sj.)long-backed
langrøkin	1long-winded, lengthy, prolix, prosy, tedious(t.d.speech; writer); (í hvønn smálut) circumstantial, detailed, elaborate(t.d.account); (trupul) complicated, intricate;samráðingarnar vóru langrøknar og tvørligarthe negotiations were lengthy and intricate;tað var so langrøkið at bíða eftir svariit was boring to wait for an answer2over-careful, over-particular, hair-splitting;(tlm.)fussy3slow to forget an insult
langrøkjutur	sílangrøkin
langsag	(handv.)pit saw
langsamiligur	í osb: í langsamiliga tíð for a long time;hann hevur ikki verið her í langsamiliga tíðhe has not been here for a long time
langsamligur	sílangsamiligur
langsamur	1slow2boring, tedious
langsintur	sílangmintur
langsíða	1long side2(støddfr.)hypotenuse(t.d.the square on the hypotenuse equals the sum of the squares on the other two sides)
langskaft	í osb: tú skalt fáa lort upp á langskaft you´ll get a kick up your backside
langskeftur	long-handled, with a long handle (, shaft)
langskel	1razor shell2shell of razor shell
langskip	(sø., skip.)long ship
langskot	(ítr.)long shot
langskoyti	(handv.)long joining
langskygdur	1provident2far-seeing, farsighted
langskygni	(lækn., lívfr.)long-sightedness;(lækn.)farsightedness, hyperopia, hypermetropia
langskøra	(plfr.)síjóansøkugras
langspæl	(kvæð.)sílangaspæl
langstivli	(stb.)high boot, jackboot
langstøðun	(um kúgv) [calving later than expected]
langsýntur	far-seeing, farsighted
langsøga	(bókm.)novella
langta	í osb: e-m langtar el. langtast someone is longing (, yearning);mær langtast burturI have a longing to travel abroad;hon hyggur langtandi eftir honumshe watches him longingly (, yearningly)
langtan	longing, yearning
langtíðarárin	long time effects
langtíðarminni	(sálfr.) long-term memory
langtoygdur	long and narrow,langtoygt er landiðthe land is long and narrow
langur	1long(t.d.a long rope; the rope is ten feet long; it is only two inches long; a long speech, way);eins langirof equal length, the same length(t.d.they are the same length);tað er langur teinur til Oxfordit is a long way to Oxford;so góður sum dagurin er languras good as gold;rættiliga langurlongish2(høgur) tall(t.d.a tall fellow);hann er longri enn eghe is taller than I;liggja so langur ein erlie full length, lie stretched out;so langur hann er (t.e.í fullari longd) (for) the whole of its length;hon slapp ikki so langt, sum hon var longshe couldn't go anywhere, she was stuck3(drúgvur) long(t.d.a long stay, visit); prolonged(t.d.a prolonged stay); protracted(t.d.negotiations);dagin langanall day long, the whole day long, all through the day; the livelong day;tað gekk drúgv tíð áðrenn hann komit was a long time before he arrived; he was a long time coming;í langa tíðfor(el.during) a long time, for long;tveir tíma (, daga o.s.fr.) langurlasting two hours (, dayso.s.fr.) (GG:a two-hour (,o.s.fr.)wait);sum hevur langa livitíðlong-lived4(langdrigin) lengthy, long, drawn-out;tíðin fellur honum longtime hangs heavy on his hands5(um stivla) high6hjlangtbyrsan ber langtthe gun carries far(el.has a long range);vit mugu ganga langtwe have a long way to walk;hava langt til húshave a long way home;vit koma ikki langt við hasumthat won't get us very far; that won't cut any ice;vit komu ikki langt við honumwe did ot get much(el.any changeel.any joy) out of him;koyra ov langtgo (, drive) too far;er tað langt (til Oxford)?is it far (to Oxford)?helmingin so langthalf that distance;tað er bara helvtina so langt sum til Londonit is only half as far as to London;hvussu langt var eg komin?how far had I got?, where had I got (to)?, where was I?hvussu langt er (til X)?how far is it (to X)?tey vóru ikki komin langtthey had not got far;so langt eg minnistas far back as I remember;tað er langt til Indiait is a long way to India; India is far away7[ísamb. viðfs/hj]burtur(i):langt burtur,langt burturifar off, far away(t.d.go far away);hon er langt burturiher thoughts are elsewhere; she is lost in thought; she is in a brown study;langt burturifrom afar(t.d.I heard the noise from afar); from far away; from a distance,langt burturi heimanífráfar from home;langt burturi frá Londonfar from London;ein býur sum liggur langt burturia distant(el.remote) town;upphæddin er ikki langt burturi frá einari milliónthe amount is not far short of a million;langt burturfar away(t.d.he is far away now), a long way off; (í firruni) in the distance(t.d.they saw a ship in the distance);hann er langt burturi (t.e.burtur í øðrum heimi) his mind is elsewhere; his thoughts are far awayfrá:langt frá! (tvørturímóti) far from it!, on the contrary!, not a bit (of it)!, not by a long chalk!langt frá býnumfar from (the) town;hann er ikki langt frá teim nítihe is getting on for ninety(o.tíl.); langt frá liðugurfar from completion;langt frá hvør øðrumfar from each other, far apart, wide apart;tað hevði verið langt frá hvør mær atfar be it from me to;langt frá hvør at vera ríkurfar from (being) rich;ikki langt frá eini uppdagingon the verge of a discovery;tað var ikki langt frá at hann græt av gleðihe very nearly(el.he all but) wept for joy; he was on the verge of tearsfram(mi):langt frammifar on, far ahead;hyggja langt fram í tíðinalook far into the future(el.ahead); take the long viewniður:langt niður ífar (down) into;hvussu langt niður er tað?(um lopo.s.fr.)how much of a drop is it?út(i):langt út á dagin (, náttina)late in the day (, night);tað var liðið langt út á seinnapartinthe afternoon was well advanced; it was late afternoon;langt út á veturinlate in the winter, in (the) late winter, far into the wintereftir:tað er langt eftir (fl.m.)it is a long way yet; there is a long way to go yet; much remains to be done; we are not out of the wood yet;hann hevur ikki langt eftirhe is not long for this world, he is slipping fastímillum:tað er langt ímillum vitjanirnaryour visits are few and far between;tað er langt millum húsinithe houses are far apart(el.scattered (thin));tað var langt ímillum snarljósið og torusláttinthere was a long time between the lightning and the thunderinn(i) / inn(i) ílangt inn ífar into, well into;langt inni ía long way into;fara langt inn í landiðpenetrate far inland;langt inni í landinumfar inland;langt inni í oyðimørkini(, í Asia)(eis.)in the heart of the desert (, of Asia)um:langt um leingiat last, at length, at long last, eventuallyút(i):langt út á daginlate in the morning(el.day);tað hongur teimum langt út av hálsinum (fl.m.)they've had it up to here; they're fed up (to the (back) teeth) with it;langt út á náttinalate in the night, at a late hour of the night;vera langt úti (fl.m.)skate on thin ice; be out of one's depth;handa samanberingin er langt útithat comparison is far-fetched(el.strained);nú ert tú langt útithat's rather far-fetched; (nú gert tú av) isn't that putting it rather strong?yvir:langt yvir eina milliónmuch more than a million;í langt yvir ein mánaðfor considerably more than a month;langt aftur í tíðfar back, a long way back;(fl.m.)far(el.a long way) behind
langvaksin	tall (in stature)
langveggur	longitudinal wall
langvegin	lenghtwise, longitudinally
langvegis	1far, far away, from home;eg bað hann ikki fara langvegisI asked him not to go far2(sj.)along the road
langvist	long stay, long residence
lansi	lance
lanterna	lantern;(sigl., jarnbr.)light
laparsligur	dilapidated, ramshackle, bad, poor
lapis	(evnafr., lækn.)lunar caustic
lappa	1play ducks and drakes2move lightly, leap, jump, hop3(teld.)surf; eis.reika
lappari	(stb.)(leika); sísniffil2
lappi1	patch, rag, cloth
lappi2	Lapp, Laplander
lappiskur	Lappish
lappisteinur	drakestone
lapplendingur	Lapp, Laplander
lapplendskur	Lappish
lapskós	lobscouse; (svarar í Ongl. til) stew, hash
lapur	(sj.)great inconveniance, hardship, discomfort,vera til lapurscause inconveniance (, trouble, harm)
larma	make a noise (, dino.tíl.);be noisy; make a racket; brawl; (um útvarp,o.s.fr.)blare
larmur	noise(t.d.what a noise you make!); din(t.d.an awful din; the din of battle, of heavy traffic); racket; uproar(t.d.the uproar of an angry crowd); clangour(t.d.of a trumpet); clamour(t.d.of the crowd), tumult;(tlm.)hullabaloo(t.d.the boys made an awful hullabaloo), row(t.d.stop that row!)
larmutur	noisy, boisterous, uproarious; tumultuous; (ógvuliga larmutur,eis.)rowdy
larpasligur	weak, feeble, poor, wretched, miserable
larra	1(um (segl)skip) sail very slowly2(um bil) drive very slowly,vit komu larrandiwe came at a snail's pace3drip, trickle,tað er akkurát so, at tað larrar úr krananumthere is no more than a trickle from the tap4(um húso.tíl.)be rickety, be ramshackle,húsini larra ennthe house is ramshackle5dangle6tað larraði ikki í honumhe was stone-dead;(tlm.)he was dead as a doornail
larrassi	(stb.)wounded bird
larva	(dýr.)larva(flt.larvae);larva skiftir hamthe metamorphosis of a larva into a butterfly
las	sílesa
lasa	be brittle, be fragile, be dilapidated
lasafar	1dilapidated thing2frail (, weak) person
lasafarin	ramshackle, dilapidated, rickety(t.d.chairs, stairs); (um fólk) weak(t.d.health); frail(t.d.he is getting very frail); delicate(t.d.her delicate health)
lasafyl	(stb.)sílasafar
lasaligur	1sílasafarin 22shabby, seedy-looking, shabbily dressed, down-at-heel, scruffy; sleazy
lasanja	lasagne
lasarageisli	(alisfr.)laser beam, laser ray
lasaraljós	laser light
lasaraminni	laser storage
lasaraoptikkur	laser optics
lasaraprentari	laser printer
lasarasjóðing	laser welding
lasaratøkni	laser engineering, laser technique
lasari	(alisfr.)laser unit
lasasligur	sílasaligur
laski	gusset
lasmansligur	(stb.)sílasaligur
laspasligur	(stb.)sílarpasligur
lass	1a horseload of corn (, hay)2[a bunch of 12 gannets]
lassa	(stb., gl.)[bring corn or hay home on horseback]
lassbilur	(sj.)sílastbilur
last1	1vice(t.d.become addicted to a vice); depravity(t.d.his face bears the stamp of depravity)2blemish, defect3blame,skamm og last í heilarnarshame on the brains;leggja e-m e-t til lastblame sby for sth; lay the blame for sth at sby's door; hold sth against sby;einki kann verða lagt honum til last í tí samanhangihe is not to blame on that account; no blame attaches to him;(tlm.)he can't be faulted on that score
last2	1(sigl.)cargo, load,flóta á lastinifloat on the cargo;full lastfull cargo;hvílandi last(í statikki) dead load;livandi lastlive cargo;í leysari lastin bulk;lata lastina uppbreak bulk;(sigl.) lastin skeytstthe cargo shifted;stúva lastinastow the cargo; stow the hold2(lastarúm)(sigl.)hold,niðri í lastiniin the hold;lík í lastini (fl.m.)skeleton in the cupboard3(last á lastbili) platform (body), truck body, box
lasta1	blame, censure, criticize, reprehend, fault, find fault with
lasta2	1load, take in cargo;tungt lastaðurdeeply(el.heavily) loaded(el.laden);lastaður við koliwith a cargo of coal;tá ið hann er lastaðurwhen loaded;(sigl.)stingur lastaður loaded draught2carry(t.d.the vessel carries 800 tons)
lastarlúka	cargo hatch(way)
lastarmaður	(á fiskiskipi) holdsman
lastarmerki	(sigl.)load (water)line, Plimsoll mark
lastarportur	(sigl.)cargo port, side port
lastarpumpa	(sigl.)bilge pump
lastarrúm	(á skipi) hold; (í flogfari.) cargo compartment; (rúmd) cargo(el.stowage) space, capacity;lastarrúm til yvirsthe spare tonnage
lastarætlan	(sigl.)stowage(el.cargo) plan
lastbilførari	lorry driver;(serl. am.)truck driver, trucker
lastbilur	lorry; (afturlatin) van; (risastórur) juggernaut;(serl. am.)truck
lastik	(tlm.)elastic, rubber band
lasting	[a light cotton material used esp. for linings];(uml. =)Italian cloth
lastiskur	(tlm.)elastic(t.d.elastic bandage), springy, resilient;(fl.m.)elastic(t.d.an elastic system; execute an elastic retreat; vague(el.flexible) term; catch-all (term)); flexible
lastverdur	reprehensible
lata	1(loyva, sleppa)let, allow to, permit to(t.d.he let the prisoner escape; will you allow me to go now? we have permitted our defences to be neglected)2(geva, veita)give, grant, advance; spend; supply;lata e-m eitt lánadvance(el.lend) sby money;(serl.um størri lán,t.d.um ríkio.s.fr.)grant sby a loan;lata lív(ið)lose one's life;hann læt allar ognir sínarhe gave away all his belongings;lata olmussugive alms;lata peningspend money3(gjalda)pay,lata skattpay tax, lata leigupay rent;hvussu nógv lætst tú fyri bilinwhat did you pay(el.give) for the car?,(tlm.)what did it set you back?4[ísamb.viðs] fara all right!, let it pass!, never mind!, well, if you must!(tíðum)I don't mind if I do;lata eitt fara víðaripass sth on;lat hetta ikki fara víðaridon't let this go any further;lata altgangasum frægastlet things slide; let things take their own course;(sigl.) latagangalet go, cast off;lata (e-t)um seg gangatolerate, put up with; countenance,ikki lata um seg ganga (eis.)not stand for(t.d.I won't stand for it!);ikki lata um seg ganga atnot tolerate (,o.s.fr.)the fact that;ikki lata um seg ganga at hann (, osfr.) (eis.)not tolerate (,o.s.fr.)his (,o.s.fr.)-ing(t.d.I will not tolerate her rummaging around in my drawers);lata hannklárasegleave him to his own devices;lataliggjaeftir við húsleave at home;lata eitt liggja (, standa otl.)leave sth(t.d.he left the book (, the bottle) on the table);lat tað (, hann) liggjaleave it (, him) alone;lat tann spurningin liggjanot touch on that problem; disregard that problem;latasær lyndaput up with sth, stand for sth(t.d.he puts up with anything; I would not stand for that);tú skalt ikki lata tær alt lyndadon't stand for any nonsense;lata sær alt lyndatake everything lying down;latið okkumsiga(shall we) make it(t.d.£5, Thursday,o.s.fr.);shall we say (t.d. £5, Thursday)?, say(t.d.come and dine with me, say Thursday; if we make a large profit by it, say £1,000);latasær sigagera tað annar vil, obey orders;eg lat hannskiljaI gave him to understand that, I intimated (to him) that;lat huðinastandaopna!leave the door open!;lata standa opið leave(open)(t.d.a possibility);latvera(við hasum)!stop it!, stop that!, don't!,(tlm.)cut it out!, drop it!, chuck it!, come off it!lat hann veralet(el.leave) him alone;lat meg vera í friðget off my back!;lat tað núvera sumtað erbe that as it may;tey kundu ikki lata verathey could not help it (, themselves);tað átti hann at latiðvera viðhe had better not;eg kundi ikki lata vera við at flennaI could not help laughing5[ísamb.viðfs/hj]lata aftur1shut, close,lat hurðina aftur (eftir tær)shut the door2return, pay back,lata e-t afturreturn sth;(teld.)close;lata av1take off, take down, remove2give up, hand over,lata av hondini el. hondumgive up, hand over, part with; abandon3cease, stop, leave off;lata á 1pour,lata á fløskurpour sth into bottles, bottle sth2lata løg á(pop) drink spirits;lata burturdispose of, realise, sell;lata burturav1bone (fish)2give away;lata frá særtransfer, convey, assign, make over, hand over, surrender (til e-nsth to sby)(t.d.make over the property to him; transfer the shares to him; assign a task to him; surrender the property to him; hand over the command to him; assign the command of an army to him);lata ípour, pour into (sth),lata kornið í posarnarpour the corn into the sacks; put into;teir tóku lutin og lótu hann í ein posathey picked up the item and put it into a bag;lata seg í1array in, dress in, dress (oneself)2change (into more suitable clothes)3(bjarg.) maðurin læt seg í línunathe man tied himself to the rope;lata innadmit (sby), let (sby) in1hand in(t.d.hand in a film for developing; hand in a coat to be cleaned); send in, present, file,lata in umsóknapply, send in an application2(um bát) load;lata niður(bjarg.)lower,lata mann niður í bjørgini[lower a man down the bird-cliff];lata saman1(um hoyggj og breiddan fisk) gather together into a stack2(um seyð og neyt) collect (for a drive);lata sunduropen,lata bók sunduropen a book;hann læt eyguni sundurhe opened his eyes;lata stokkarnar sundurstart knitting;lata undan[take the pack saddlery off the horse];lata undir[put the pack saddlery on the horse];lata upp1open,tað varð latið upp fyri honum;deyðin læt upp fyri honumhe was permitted to die, he was set free2lata upp í vevplace yarn on a loom;lata uppífill,lata upp í fløskurbottle;lata uppí afturreplenish, fill up again;lata sær uppí el. upp í pípunafill one's pipe;lata seg upp(fyri e-m)open (oneself) up for (, to);(eis.)speak freely to sby;lata úrundress, strip1lata úr hondumdo(el.performel.execute) a piece of work;lata síni avrik væl úr hondumperform one's work well2lata (seyð) úr haftiremove a hobble from a sheep's leg;lata seg úrundress, take off one's clothes; (inn á skinn) strip (naked),hann læt seg úr og fór í songhe took off his clothes and went to bed;lata seg úr um føturnarhe took off his shoes;lata útlet (sby) out,lata út kúgvput a cow out to graze;(teld.)release;lata(út)av:lata eyga (út)avmake a (knitting) stitch,hon dugir ikki at lata eyga (út)avshe is no good at knitting;lata útí:add, mix;lata brennivín út í drykkspike a drink6[í ymsum osb.]lataskot avfire (a shot);lataav bønum(um seyð) drive sheep from the infield;lataav munniutter, say;lataeyga (út)avknit,síeyga
latin	(sj.)sílatur
-lating	síaftur-,upp-
latín	Latin;í osb: tú fært annað latín at lesathat will make you change your tune
latína	latinize
latínari	latinist
latínskur	Latin(t.d.the high percentage of Latinate words in English);latínska stavraðiðRoman alphabet;latínskir stavir (prent.)Roman type; (um handskrift:móts.gotiskari) Italian script;latínska kirkjanthe Latin Church;latínskur krossurLatin cross;latínsk orðinglatinism
latínskúli	(sø.)grammar school
latur	lazy, indolent, idle;liggja á løtu síðunibe idle, waste one's time(t.d.meanwhile the police had not been idle);ein latur hundura lazybones;(GG: (bíbl.)go to the ant, thou sluggard; consider her ways, and be wise)
lava1	(jarðfr.)sígrótbræðing
lava2	hang (down), dangle, hang one's wings;lava við oyrunum el. lava oyruni (niður)ashamed(t.d.I am ashamed to tell you this; I am ashamed that you should see me like this); (lotur) shamefaced, sheepish;lava við høvdinumhang one's head, be ashamed;lava við(just) stick (, cling (to))
lavakslaður	round-shouldered
lavhallur	sílagghallur
lavlamin	(sj.)paralysed
lavleysur	which hangs, which is completely loose
lavlorkutur	(stb.)very clumsy, very awkward
lavrasmessa	
lavrassi	sílarrassi
lavrber	(ber) bayberry
lavrberjablað	(plfr.)bay leaf©iStock
lavrberjagrein	sprig of laurel
lavrberjakransur	laurel(el.bay) wreath
lavrberjaleyv	laurel (leaves)
lavrberjapílur	(plfr.)bay willow(Salix pentandra)
lavrberjatræ	(plfr.)laurel, bay tree(Laurus nobilis)
lavrviður	laurel wood
lavskeivur	(stb.)completely wry (, lopsidedo.tíl.)
lavveikur	wretched, miserable
lá1	(stb.)sílógv1
lá2	síliggja
láar	sílógv
láarbrot	breaker(s) (, surf) on a sandy beach
láaregg	egg of golden plover
láarreiður	golden plover's nest
láartrælur	(fugl., sj.)[golden plover which does not migrate for the winter]
láarungi	(fugl.)young of golden plover
lág	hollow, depression
lágaðal	lesser nobility;(ofta =)gentry
lágafylgi	[flock of sheep which grazes on lowlying pastures]
lágaldur	(løgfr.)minimum age(t.d.minimum age of employment);brotsligi lágaldurin(í samb. v. tølan) the age of consent(GG:illicit intercourse with underage girls; í USA: statutory rape);(viðv.revsingarbæri) the age of criminal responsibility;í Onglandi er brotsligi lágaldurin 14 árin England a person acquires criminal responsibility at the age of 14
lágarstelkur	(fugl.)upland sandpiper(Bartramia longicauda)(Bechstein, 1812)Bartramia longicauda ©iStock
lágbeintur	sílágføttur
lágborin	lowly extraction, low birth
lágbygdur	low-slung(t.d.car)
lágbyrðing	low peak
lágbyrjaður	(stb.)short-legged, with short legs
lágd	(sj.)sílægd
lágfloygdur	unimaginative, dull
lágfloyttur	(um bát) which lies low in the water
lágføttur	short-legged, with short legs
lághagi	low-lying outfield
lághválv	troposphere
lági	hollow; dip
láginntøka	low income
láginntøku-	low-income(t.d.families)
láginntøkubólkur	the low-paid; low-income(el.low earnings) group
láginntøkuland	low income country
lágkirkju-	Low Church
lágkonjunkturur	slump, depression, recession;lágkonjunkturur við inflatiónslumpflation
lágleiki	(bíbl.)lowness,hin lágt setti bróðirin rósi sær av hálæti sínum, men hin ríki av lágleika sínumlet the brother of low degree rejoice in that he is exalted: But the rich, in that he is made low; let the lowly brother boast in his exaltation, and the rich in his humiliation
láglendi	low-lying country
láglendur	(um lendi) low-lying
lágliga	1low,fuglurin flýgur so lágligathe birds are flying so low2tala lágligaspeak in a low voice(el.in a subduedel.small) voice; speak under one's breath, speak in an undertone
lágligur	1fairly low2(um vind) almost southerly,hann er lágligur í ættinithe wind is southernly
lágloysin	(teld.)low resolution
lágloysni	(teld.)low resolution
láglønarøki	low pay area
láglønaviðbót	low pay addition; supplement for low(er)-paid workers
lágløntur	low-paid, lower-paid;tey lágløntuthe low(er) paid (workers), the low-wage earners, those in the lower wage brackets
lágmark	lowest limit; minimum
lágmarksprísur	(eis. ES)minimum price; floor price;lágmarksprísur fyri keyp(ES) minimum purchasing price
lágmentan	lowbrow culture
lágmæltur	low-voiced, in a low voice(el.in a subduedel.small) voice
lágorka	(tøkn.)low-energy
lágorkuhús	(tøkn.)low-energy house
lágorkupera	(ravm.)low-energy bulb
lágpolitikkur	(samfr.) low politics
lágprís-	cut-price(t.d.cut-price firm)
lágpríshandil	discount shop(el.storeel.houseel.centre); cut-price shop;(tlm.)cash-and-carry
lágprísur	(bú.)fyri lágprís at (a) reduced rate
lágprísvøruhús	discount shop(el.storeel.houseel.centre)
lágreistur	(um bát) with low sheer
lágrentaður	low-interest(t.d.loans)
lágsamtekstssamfelag	low context society
lágsamtekstur	low context
lágskoti	Lowlander
lágskotskur	lowland(t.d.lowland moor; lowland plain)
lágskógur	(plfr.)underwood, underbrush, undergrowth
lágskrift	subscript (t.d.H20)
lágskýggjað	with low clouds
lágspenningur	(alisfr.)low tension, low voltage, LT
lágspentur	(ravm.)low-tension, low-voltage, LT(t.d.cable, current, electricity, insulator, line, relay, transformer)
lágtídd	(tøkn., teld)low frequency; audio frequency
lágtrýst1	1(tøkn.)low pressure2(veðurfr.)depression(t.d.the Meteorological Office reports that a depression is approaching from the West);(tlm.)low(t.d.lows in North America)
lágtrýst2	low-pressure, LP(t.d.cylinder, boiler, engine, steam turbine)
lágtrýstdekk	low-pressure tyre
lágtrýstkíli	(veðurfr.)V-shaped depression
lágtrýstmiðdepil	(veðurfr.)centre of depression
lágtrýststempul	LP piston
lágtýskur	Low German
lágur	1low;lágt blóðtrýstlow blood pressure;lágur bólturlow(el.flat) ball, a low(el.flat) shot;lágt gangvirði(virðispappír) low price; (gjaldoyra) low (exchange) rate;lágt gjaldoyralow(el.depreciated) currency;høgur sum lágurhigh and low, rich and poor;lág pannalow forehead;lágur prísurlow price;lágt sjálvljóðlow vowel, open vowel;lágt tallow figure;tendringin er ov lágthe ignition is late(el.sluggish);lágur á vøkstrishort, stunted, low-built; (um bygningeis.)low-rise(t.d.a low-rise school house)2(um bát)báturin var lágur á sjónumthe boat was low in the water;liggja lágt1(um seyð) graze in the lowlands2hann liggur lágthe is very ill; he is dying3(sj.)lie dead3(veðurfr.) hann er komin lágtthe wind is southerly;hann andar lágtit is blowing from the southerly quarter4low, insignificant, poor, inferior5low(t.d.of voice)6(tónl.)low,lágur tónilow tone7(skúlam.) teir lægru flokkarnirthe lower classes; the junior forms (, classeso.s.fr.)8sumhj: flúgva lágtfly low;sum flýgur lágtlow-flying;meta eitt lágtestimate sth at a low figure, rate sth low;meta ov lágtunderrate, underestimate;lágt mettat a low(el.conservative) estimate;standa lágt(um hús) stand on low ground; (um mentanarstig) be low, be at a low level; (um barometur, sólinao.s.fr.)be low;ov lágt tryggjaðunderinsured
lágvaksin	short, stunted, low-built
lágvakstrarsamfelag	low-growth society
lágætt	southerly wind
lágættarstykki	(stb.)síhárógva
láir	sílógv
lálla	1(dýr.)(front) flipper of seal2(fl.m.,skemt.)large, strong hand3lállurfingerless mitten4(fisk.)witch (flounder), pole flounder(Glyptocephalus cynoglossus)(dýr) (front) flipper of seal © Wikimedia Commons
lállligur	í osb: lállligar hendur large, thick hands
láma	1(um kettu) strike out (, grab (something)) with a paw2(um vinstrhent fólk) clean up, washo.s.fr.left-handedly;lámastnot have the knack of it
lámhentur	(stb.)left-handed
lámsutur	(stb.)sílánkutur
lámur	1flipper of seal2paw, cat's paw,kettan sleikir sær lám og leggthe cat licks its paw and leg3(the) left hand4left-handed person,hon er lámurshe is left-handed,(am.)she is a lefty; S southpaw5(sj.)(big) hand,hann var tiltikin fyri at hava stórar lámarhe was renowned for his large hands
lán	1loan;(fl.m.,t.d.málfrøðiliga) loan, borrowing;vanlig lángeneral loans2[ísamb. viðs]fáa eitt lán í lagnegotiate a loan, arrange a loan;fáa lánobtain(el.raise) a loan;geva e-m eitt lánadvance(el.lend) sby money;(serl.heilt stór lán,t.d.um ríkio.s.fr.)grant sby a loan;innfría lánthe redemption(el.settlementel.payment) of a loan;lata lángrant a loan;siga lán upp(frá lánveitara) call (in) a loan; (frá lántakara) terminate a loan;taka lánraise(el.contract) a loan; (størri, til tekningar) float a loan;veita honum lán upp á £500lend(el.advance) him £500;(tlm.)let him have £500(GG:could you let me have £50 till Monday?)3[ísamb. viðl]endurnýggjað lánrenewals;lagaligt lánsoft loan;langfreistað lánlong-term loan;millumfreistað lánmedium-term loan;rentuberandi lánloan at interest;rentufrí láninterest-free loan;stutt(freistað) lánshort-term loan4[ísamb. viðfs]rentur og avdráttir av láni (eis.)the service of a loan;rinda síðsta avgjald av lánipay the final instalment on a loan;takk fyri lán!thank you (for lending it me)!takk fyri lán av bókinithank you for the loan of(el.for lending me) the book;lán móti veðiloan on security; (effektlán) loan on stock;lán móti veði í fastari ognmortgage loan;lán móti rentuloan at interest;fáa til lánsborrow, have the loan of;lán til brúks (løgfr.)commodatum;lán til ognar (løgfr.)mutuum;lán til lægri rentusoft loan;til lánsas a loan; on loan(t.d.the pictures had been out on loan to other institutions;lán upp á £100a loan of £100;lán upp á virðispappírloan on securities;lán við avdráttumloan repayable by instalments;fíggjað við lánumdebt-financed, funded by loans5[íosb]leggja á lánneglect;liggja á lánibe neglected;tað fer einki av láni fyri taðnothing is neglected because of that
lána	(stb.)sílæna
lánarakort	(á bókasavni) library ticket(el.card); (til heimláns) borrower's ticket;(am.)library(el.borrower's) card
lánari	(eis. á bókasavnið)borrower;(am., á bókasavnið) cardholder
lánbræv	sílánsbræv
lánføri	(bú.)creditworthiness
lánførur	(bú.)creditworthy
lángáva	lending; (ES) credit operation;ásetingar viðv. lángávu(ES) the rules governing the credit system
lángev(ar)i	lender
lánistovnur	(banki) loan bank; loan society;(serl.til at keypa fastogn) building society; credit union;(am.)loan association
lánitíð	(fyri bøkur) loan period
lánka	dull, deaden, dim
lánkaligur	(stb.)sílánkasligur
lánkasligur	1uncommitted, detached, disengaged, uninvolved2hj-liga,hann svaraði lánkasligahe answered halfheartedly
lánkutur	clumsy; fumbling; sluggish, dozy
lánorð	(málfr.)loanword, borrowing
