n	(málfr.)consonant
náttarstund	in the night-time, in the night hours, by night, at night, during the night
náttarsveitti	night sweats(flt)
náttarsvøvnur	night's sleep;fáa góðan náttarsvøvnhave a good night's sleep
náttartakstur	night rate
náttartíð	á náttartíð in the night-time, in the night hours; by night; at night, during the night
náttartími	hour of the night, night hour;teir myrku náttartímarthe dark night hours; síeis.náttartíð
náttartøgn	the hushel.quiet of night
náttarvakt	1night duty, night watch, night service;vera á náttarvaktbe on night duty2night watch;náttarvaktin byrjar á midnáttnight watch starts by midnight3(fólk) night watch, (sjúkrarøktarfrøðingur) night duty nurse,(t.d.á virki) night watchman;náttarvaktin kemur til arbeiðis á midnáttthe night watch (night duty nurseel.the night watchman) begins his/her night watch by midnight
náttarvekur	sínáttarvøka;teir hildu messur og náttarvekurthey celebrate Mass and Vigils
náttarvenjing	(herm.)night manoeuvre, night operation
náttarviðbót	bonusel.extra pay for night work
náttarvøka	(at vaka) vigil; (vera leingi uppi) keeping late hours
náttarvørður	night watchman
náttálop	(herm.)night attack;(flogm. eis.)night raid
náttboks	night safe
náttborð	bedside table
náttborðslampa	bedside lamp
náttból	bed (for the night);bóla shakedown; accommodation for the night, shelter for the night;hjørtirnir høvdu náttból í eini lægdthe deer had their resting-place in a hollow
náttbussur	night bus
náttdrakt	nightwear; (til børneis.)nightie(GG:six little girls in fine gold sleepers)
nátteltiflogfar	(herm.)night fighter
náttfar	sínáttfara
náttfara	appearance of the sky at night, the moon and the stars;ikki kann eg siga tygum, hvat fram var, tá ið maðurin sloknaði, tí náttfaran sást ikkiunfortunately, I cannot tell you what time it was when the man breathed his last because neither the moon nor the stars were visible (at the time)
náttfari	night wanderer
náttfirvaldur	(dýr.)moth
náttfuglur	(fugl.)nocturnal bird;velhvíti er náttfuglurstorm(y) petrel is a nocturnal bird
nátthegri	(fugl.)black-crowned night heron(Nycticorax nycticorax)(Linnaeus, 1758)© Giorgio Quattrone
nátthúgva	nightcap
nátthús	privy, lavatory, toilet,(tlm.)loo;Sbog;(am. eis.)outhouse,(tlm.)john, can;fara á nátthúsiðSrelieve oneself,(tlm.)go to the loo/the bog
nátthúspappír	sívesipappír
náttjagstrari	(herm.)night fighter
náttkappi	(gl.)(woman's) nightcap
náttkikari	night glass
náttkjarra	(fugl.)european nightjar(Caprimulgus europaeus)(Linnaeus, 1758);lítil náttkjarracommon nighthawk(Chordeiles minor)(Forster, JR, 1771)Náttkjarra ©Henrik Hougaard Larsen
náttkjóli	nightdress, nightgown;(tlm.)nightie
náttklokka	night bell
náttklubbi	night club; night spot
náttklæði	night clothes, nightwear, night things, pyjamas; (sum handilsvøraeis.)sleepwear
náttkrem	night cream
náttkvirrur	calm in the night
náttlagdur	who has not finished his task before nightfall;vit verða náttlagdirwe won't manage to do the job before nightfall
náttlampa	bedside l night light
náttleiga	sínáttarlega2
náttljós	night light; night lighting;arbeiða í náttljósiwork in night lighting;lesa við náttljósread by help of a light
náttlýsi	(plfr.)evening primrose(Oenothera)
náttlækni	doctor from the emergency service(t.d.á sjúkrahúsi) doctor on night duty
náttmatur	midnight snack, snack before going to bed
náttmyrkur	sínáttarmyrkur
náttpottur	chamber pot;(tlm.)jerry;(tlm.,til børn) potty
náttravnur	sínáttarravnur,náttkjarra
náttrómi	cream (one night old and not sour)
náttserkur	(gl.)shift worn at night;(kvæð.) hon var berføtt og í náttserkishe was bare-footed and in her shift
náttsetur	(t.d. hjá starum og skarvum, of starlings and cormorants)nightly resting-place
náttsjúkrarøktarfrøðingur	night nurse; night superintendent
náttskjúrta	nightshirt
náttsmyril	(fugl.)nighthawk(Chordeiles)Chordeiles ©iStock
náttsól	the moon
náttstaðin	1which has stayed overnight/for the night; náttstaðinmjólkmilk which has stayed overnight;knettini eru betri, tá ið tey eru náttstaðin knettirtaste better when they have stayed for the night2(um seyð, of sheep) [sheep which have been brought in but not slaughtered until the next day]3(sj.)(um fólk, of people) worn out with watching;tú sært mær út, sum tú ert náttstaðinyou look rather heavy-eyed
náttsvartur	night-black
náttsveimari	(dýr.)moth
nátttok	night train
nátttroyggja	bed jacket
nátturðabein	hyoid boneel.tongue bone of a sheep(Os hyoideum);eis.krákubein
nátturðabiti	(light) supper;fáa sær ein nátturðabitahave a light supper
nátturðaboð	koma við nátturðaboðum inform (people) that supper is ready
nátturðaborð	supper table;tey sita uttan um nátturðaborðiðthey sit around the supper table;at koma til eitt sovorðið nátturðaborð!(imagine,) to be invited to such a supper!
nátturðaeldur	(gl.)[fire which is used to prepare supper]
nátturðaførur	[having caught so much fish that there is enough for supper];ikki nátturðaførurnot having caught enough fish for supper
nátturðaleysur	without having had supper;fara nátturðaleysur í songgo to bed without having had supper
nátturðalinur	sleepy after having had supper
nátturðaløgur	water in which the supper is cooked, pot liquor;far mær út í ánna eftir nátturðaløgido me the favour and go to the brook and fetch some water for the supper
nátturðamatur	something which is eaten for supper
nátturðamáli	supper timeel.hour;út móti nátturðamálatowards supper time
nátturðapottur	pot with supper in it; pot for cooking supper;nátturðapotturin hekk útiyvirthe supper had been put on;hon stoytti løgin úr nátturðapottinumshe poured out the pot liquor
nátturðasvangur	hungry for supper;teir vóru nátturðasvangirthey were hungry for supper
nátturðatíð	supper timeel.hour;eftir nátturðatíðafter supper (time)
nátturðavatn	sínátturðaløgur
nátturði	supper;eta/fáa sær nátturðaeat/have supper
náttúra	1nature; scenery, landscape;náttúran er vøkur har um vegirthe scenery is beautiful there;úti í náttúruniout of doors, in the open;Føroya náttúrathe geography of the Faroes;landsins skap, náttúra og veðurlagthe geography, scenery and climate of the country2(eginleikar hjá luti, náttúruskipan) nature, character, kind;tað er ímóti natúriniit is against nature;náttúran hevur sína føstu gongdthe unalterable course of nature;tað er ímóti náttúruni at skilja barnið frá mammuniit is against nature to separate the child from its mother;náttúrulógnatural law, law of nature3(íborin eyðkenni) character(t.d.romantic characters like Byron); nature(t.d.sensitive natures); type;(tlm.)soul(t.d.a sensitive soul, a simple soul);hann var glaður av náttúrahe has a sunny disposition;hesin dúkur hevur ta náttúra, at ...this (table-)cloth is of such a kind that...;vera bangin av náttúrabe of a timid disposition; síeis.natúr
náttúruandi	nature spirit
náttúruansur	feeling for nature, appreciation of nature
náttúruátrúnaður	nature worship, nature religion
náttúruborin	innate, inborn, native, inbred, natural;hennara náttúruborna medferðher natural behaviour
náttúrubundin	arising fromel.determined by/conditioned by nature; (tíðum) natural; náttúrubundingongdprocess determined by nature
náttúrudyrkari	nature worshipper
náttúrudyrking	nature worship
náttúrueftirlit	nature monitoring, nature surveillance
náttúruferðavinna	nature tourism
náttúrufilmur	nature film
náttúrufriða	preserve, schedule as a natural amenity
náttúrufriðing	nature conservancy; conservation of nature; preservation of natural amenities
náttúrufriðingarfelag	[society for the preservation of natural amenities]; (íOngl.)the National Trust
náttúrufriðingarlóg	conservation of nature act
náttúrufriðingarnevn	nature conservancy board; (íOngl.)the Council for the Preservation of Rural England
náttúrufrøði	natural history
náttúrufrøðiligur	of natural history;náttúrufrøðiligt gripasavnnatural history museum;eitt náttúrufrøðiligt margháttligt skapilsia freak of nature
náttúrufrøðingur	natural historian, naturalist
náttúrufyribrigdi	natural phenomenon; (syndarlig vanlukka, sum ikki slepst undan) Act of God
náttúrugóði	gift of nature
náttúrugranskari	natural) scientist, naturalist
náttúrugransking	natural science
náttúrugripasavn	natural history museum;Føroya NáttúrugripasavnNatural History Museum of the Faroes
náttúrugripur	(valuable) exhibit, museum specimen
náttúruheilivágur	herbal medicine; natural medicine
náttúruheimspeki	(sø.)philosophy of nature
náttúruhúshald	primitive economy, barter economy;broytingin frá náttúruhúshaldi til peningahúshaldthe change from primitive economy to money economy
náttúrukensla	feeling for nature, appreciation of nature
náttúrukreftir	forces of nature
náttúrukærleiki	love of nature
náttúrukærunevnd	(íOngl.)the Nature Protection Board of Appeal
náttúrukønur	versed in natural science, with expert knowledge of natural science
náttúrulestur	study of nature, nature study
náttúruligur	sínatúrligur
náttúrulistamálari	nature painter, landscape painter
náttúrulóg	(alisfr.)natural law, law of nature
náttúrulýsing	description of scenery; description of nature
náttúrulækni	(lækn.)(nature) healer, naturopath; (við trúgv) faith healer
náttúrulæra	(skúlam.)physics; síeis.alisfrøði
náttúrulærugrein	(branch of) natural science;(skúlam.)science
náttúrumálningur	nature painting; (landslag) landscape; (havmynd) seascape
náttúrumáttur	natural force, forceel.power of nature
náttúrumynd	(t.d. hjá yrkjara)description of scenery; description of nature
náttúruríkidømi	natural resources(flt);natural wealth
náttúrurættarligur	relating to natural law; derived from natural law
náttúrurættindi	natural right
náttúrurættur	1(náttúrurættindi) natural right2(rættarlæra) natural law
náttúrurøkt	nature preservation
náttúrusannkenning	knowledge of the physical world
náttúruskaldskapur	nature poetry
náttúruskipan	the natural order (of things), the course of nature, natural order;eftir/sambært náttúruskipaniniin the course of nature;tað er ímóti náttúruskipaniniit is against the natural order of things
náttúrustandur	state of nature, natural state; (um dýro.tíl. eis.)wild state
náttúrustøða	state of nature, natural state; (um dýro.tíl. eis.)wild state
náttúrusøga	(skúlam.)natural history
náttúrutilfeingi	natural resources(flt)
náttúrutreytaður	arising fromel.determined by/conditioned by nature; (tíðum) natural
náttúruuppfatan	view of nature
náttúruvakur	beautiful, of scenic beauty;náttúruvakur staðurbeauty spot;náttúruvøkur støðareas of (outstanding) natural beauty
náttúruvakurleiki	scenic beauty, beauty of scenery, beautiful scenery;ansur fyri náttúruvakurleikaappreciation of scenic beauty
náttúruvanlukka	catastrophe of nature, natural disaster; (heilt ógvisligt) cataclysm
náttúruvernd	protection of nature
náttúruverndarlóg	protection of nature act
náttúruviðurskifti	nature, natural conditions; (tíðum) physical conditions
náttúruvinaligur	(tlm.)nature-friendly
náttúruvirði	natural amenities(flt)
náttúruvísindaligur	scientific;náttúruvísindalig deildnatural history department; scientific department
náttúruvísindamaður	scientist
náttúruvísindi	(natural) science
náttúruyrking	nature poem
náttúruyrkjari	nature poet
náttvakt	(sj., sigl.)morning watch
náttvarp	(útv.)night radio
náttvørður	sínáttarvørður
nátungi	(fugl.)young fulmar© Wikimedia Commons
návist	(sj.)nearness, closeness, proximity; vicinity, neighbourhood;ikki í návistininot close by, not in the vicinity/neighbourhood
neanderthalmaður	(the) Neanderthal man
nebb	(sj.)beak, bill
nebba	1small halibut2(stb.)smalldrýlur
nebbafiskur	(dýr.)fin whale, finback(Balaenoptera physalus)© Wikimedia Commons
nebbasild	(fisk.) lítla nebbasildlesser sand eel(Ammodytes tobianus); stóra nebbasildgreater sand eel(Hyperoplus lanceolatus); lundin flýgur við nebbasild í nevinumthe puffin flies carrying sand eels in its beak© Wikimedia Commons
nebbasildarkongur	(dýr.)greater sand eel(Hyperoplus lanceolatus)© Wikimedia Commons
nebbaskoyti	1[piece with which a fishing rod is extended at the narrow end]2sínebbi1
nebbaskøta	(fisk.)shagreen ray, Fuller's ray(Raja fullonica)
nebbast	(sj.)bicker, argue, squabble, quarrel
nebbatong	fløt nebbatong flat-nose pliers;rund nebbatonground-nose pliers
nebbi	1the tip of a fishing rod2[the thin end of either of the `arms' which stretch the bird-net]; sífleygastong3(niðr.)mouth;tað kom ikki orð av hansara nebbanot a word passed his lips
neðangrísur	(stb.)síniðagrísur
neðra	below, under, in the lowerel.lowestel.bottom part, (í húsum) below, downstairs;tað er klárt í neðra, men mjørki á fjallatindunumvisibility is good below, but the mountain peaks are swept in fog;í neðra var táttthere is no snow down below;búgva í neðralive downstairs;í neðraof the lower part of the body;(sj.) hann er sjúkur upp í neðrahe has a venereal disease
neðrafrásjón	worm's eye view
neðrafylgi	[flock of sheep which grazes on low-lying pasture(s)]
neðralamb	[lamb which grazes on low-lying pasture(s)]
neðraseyður	[sheep which grazes on low-lying pasture(s)]
neðraskurður	(bókab.)lowerel.bottom edge, tail
nefast	(stb.)remains, left-overs (from pilot whaleel.sheep); certain parts(usu.internal) of a slaughtered sheep
nefs	síneps
nefsa	sínepsa
negativ	(lmynd.)negative;myrkt negativdense negative; síeis.rangmynd
negativur	1negative;negativt svara negative answer;hann er so negativurhe has a negative attitude, he is uncooperative; síeis.neiligur2(stfr.)negative,(eis.)minus;negativ tølnegative numbers;negativ støddnegative quantity/minus quantity3(alisfr.)negative;negativur streymurnegative electricity4(lækn. t.d.ísamb.við tuberklakanning)vera negativurbe negative, be a non-reactor
neggj	eitt neggj a neigh, a whinny; sígneggj
neggja1	a girl who sits/is laughing in a shrilly way
neggja2	1neigh; whinny;rossini neggjathe horses neigh2laugh shrilly;hatta situr og neggjarlisten to her laughing3neggja omanavscythe grass sloppily (where tufts of grass have not been schyted)
neggjan	neighing, whinnying; shrill and uncontrolled (woman's) laughter
negl1	nail
negl2	sínaglur
negla	1nail sth down, nail firmly, fasten sth with nails or spikes, tack sth down; rivet, pin, bolt; neglaupp fyri vindeyguninail boards for the windows;eg havi sitið negld her í einsemi til henda bonk (fl.m.)I have been tied alone to this bench;øll stóðu sum negld (t.d.av ræðslu) stand as if transfixed2be sarcastic at sby's expense; needle sby; (alsamt) nag (at) sby(t.d.she is always nagging (at) him);(tlm.)get at sby(t.d.he's always getting at her); mock (at), scoff (at), jeer (at), sneer (at), ridicule; neglae-n við e-mmock at sby3press, inconvenience, make uncomfortable; cause momentary pain;eg kann ikki eta hatta, tí tað neglir meg so illaI cannot eat it because it disagrees/does not agree with me;maturin liggur og neglirthe food I have eaten makes me feel uncomfortable;tað neglir so fyri bróstinumthere is a weight on the chest;kragaknappurin neglir megthe collar stud is annoying me4(stb.)row hard against wind and current
neglalakk	sínaglalakk
neglalakkloysari	sínaglalakkloysari
neglalaksloysari	nail polish remover
negling	1nailing2feeling of pressure, oppression;eg havi sovorðna negling fyri bringunithere's a weight on my chest
nei1	1no;korta neino, and no again! (emphatically no!; certainly not!; not if I can help it!; not on your life!el. tlm.no way!);á nei/o neino, certainly not;nei og aftur neino way!;men nei, har var einki træthere wasn't any wood to be got there either;nei virkuligareally?, indeed?, is that so?2(samtykkjandi svar til noktandi framseting)kemur tú ikki? nei, eg fái ikkiaren't you coming?, no I haven't got the time3(at sýna bilsni, to show surprise),nei, sum hatta var gott!that was marvelous!;nei, sum kjólin er fínurwhat a fine dress
nei2	no, refusal, rebuff;fáa neibe refused, be rejected, be turned down;hann vil ikki góðtaka eitt neihe won't take `no' for an answer
neig	síníga
neiligur	1negative, who has a negative attitude, who is uncooperative;ilt er at byrja nakað nýtt, tá ið øll eru so neiligit is difficult to start up sth when you all are so uncooperative;teir neiligu partarnir í manslyndinumthe negative sides of a man's character; síeis.negativur2which has negative consequences;arbeiðsloysið hevur neiliga ávirkan á ungfólk(long-term/chronic) unemployment has a bad influence on the young
neilon	sínailon
neip	(kvæð.)pillar, column;neipir gingu sundurpillars broke
neipa	(kvæð.)síneip
neis	vinna e-m neisir do sby a dirty trick; síneisa1
neisa1	unpleasant trick, scorn, derision; contempt;vinna e-m neisurdo sby a dirty trick
neisa2	no, indeed
neisagdur	negative, having a negative attitude
neista	1spark;tendriproppurin neistar ikkithe plug doesn't spark;hann bar tað neistandi jarnið á stiðjanhe carried the sparking piece of iron to the anvil2(fl.m.)sparkle, flash(t.d.flash with anger);eyguni neistahis//her eyes flash with anger
neistabressa	(dýr.)pied hover fly(Scaeva pyrastri)© Wikimedia Commons
neistafok	shower of sparks;úr fjallinum kom ein steinur bóltandi, neistafokið stóð frá honuma boulder came rolling down the mountain in a shower of sparks;fara sum eitt neistafokrun like greased lightning, rush off, dash off, be in a tearing hurry
neistaregn	shower of sparks
neistarok	shower of sparks;neistarokið stendur upp, og logarnir blaktrathere is a shower of sparks and flickering flames;sum eitt neistaroklike greased lightning, rush off, dash off, be in a tearing hurry
neistaverja	(tøkn.)spark arrester, spark catcher
neisti	1spark (of fire);(orðt.) lítil neisti kann birta stóran eldlittle strokes fell great oaks, great events and small occasions;styggur sum ein neisti(um seyð, of sheep) extremely shy;sum ein neisti1very quick, rapidel.fast;hann var sum ein neisti avstaðhe rushed off/dashed off, he was in a tearing hurry2hot-headed, quick-tempered;hatta er sum ein neisti so illsinthe//she has a hot temper2very small lamb
neistra	síneista
neisøgin	(stb.)síneiligur
neit	síníta
neita1	malicious, malignantel.spiteful woman; síillneita1
neita2	tease, make maliciousel.spiteful insinuations; neitainn á e-ninsinutate that sby has done sth
-neiti	síill-
-neitin	síill-
-neitutur	síill-
nekarablóð	Negro blood
nekaradrongur	Negro boy;(niðr.)nigger boy
nekaraenskt	Negro English; Black English
nekarafrígering	the emancipation of the Negroes
nekarahár	Negroid hair, frizzy hair; (hársnið) Afro-hairdo, Afro-haircut, Afro
nekarakendur	Negroid
nekarakona	Negro woman, black woman; (í USAeis.)coloured woman
nekaralag	(tónl.)Negro tune
nekarasmátta	(í Afrika) native hut, (í Amerika) Negro cabin
nekarasongur	Negro song, plantation song;(átr.)Negro spiritual
nekaratrumma	tom-tom
nekaratrælahald	Negro slavery;mótstøðumaður av nekaratrælahaldi (sø.)abolitionist
nekaratrælur	Negro slave, black slave
nekaratænari	blackel.colouredel.Negro servant
nekaravarrar	Negroid lips
nekaravinur	negrophile;(niðr.í Suðurríkjunum) nigger lover
nekari	(í USA) African-American; (í USAeis.)coloured person;(niðr.)nigger(vanl.)Black(t.d.discrimination against Blacks is still common in various societies)(avelt)Negro
nekk	(sj.)stabb, sudden pain;eg fekk eitt nekk fyri hjartað, tá ið eg frætti taðit was as if my heart was stabbed when I heard it
nekkaskifti	(sj.)sístreymaskifti
nekki	sínekkur
nekkur	1(stb.)current at its strongest2effort;síðsti nekkurin er eftir at rógvait now remains to row the last heavy stretch3spell of bad weather;(sigl.)lurching, rolling, rough sea;ilt er at líta á veðurlagið í apríl, og summarmáli boðar ofta um harðasta nekkinone can never depend on the weather in April and there is often a spell of bad weather aroundsummarmáli(14 April);tað verður ein nekkur, tá ið vit koma út á havthe waters will be very rough when we are out on the open sea4quarrel, fight, clash;tað verður eina ferð ein nekkur teirra millumone day they will clash
nekt	nakedness, nudity
nekta	make naked, uncover, lay bare, undress, take off, strip (off); nektae-n úr øllum klæðunumundress sby;(kvæð.) nektar hann av honum brynjunahe strips him off the coat of mail
nektardansarinna	nude dancer; (sum letur seg úr meðan dansað verður) strip-tease dancer;(tlm.)stripper
nektardansur	nude dancing
nektarin	(plfr.) nectarine (frábrigdi av fersku)
nektarlega	nudist camp
nektarmodell	nude model
nektarmynd	nude picture
nektarrennari	streaker, naked runner
nektarrenning	running naked; streaking
nektarsvimjari	nude bather,(tlm.)skinny-dipper
nektarsvimjing	nude bathing,(tlm.)skinny-dipping
nektarur	(gr. gudal.)nectar
neliksrót	(plfr.)avens(Geum)
neliksætt	(plfr.)Caryophyllaceae(Caryophyllaceae)
nelikur	1(plfr.)pink; (stórur) carnation(Dianthus)2(kryddurt) clove;kinverskir nelikarChina pink(D. chinensis)
nell	small and slight man, dwarf, whippersnapper, stunted person, runt, a shrimp (of a man), manikin;eitt sovorðið nellwhat a whippersnapper;eitt pinkalítið nella shrimp of a man
nema	1touch(t.d.the glass with one's fingers); take hold of, seize;barnið nemur so illathe child is so meddlesome;hann ætlaði at nema ein seyðhe intended to take hold of a sheep;steinurin mátti ikki nemastthe stone was not to be touched (it was populated by supernatural beings);nema við (e-t)1touch sth;nem ikki við!don't touch it!;(fl.m.) hann er gamal, nemur við 90he is almost 90 years old2touch on(t.d.he touched on the question); refer to(t.d.he referred briefly to the balance of payments), mention, glance at(t.d.in his speech he glanced at Cuba);hann nam leysliga við evniðhe touched on the subject in a few words, he devoted a few words to the subject3make/produce an impression/impact (on); influence (sby);hesi orðini numu við megI was deeply impressed by these words;tað, ið hann segði, nam ikki við megwhat he said left me completely cold2lay (violent) hands on sby;skal eg nema teg?(behave yourself) or else I'll bring you into line with force if necessary;(stb.) teir høvdu hug at nemastthey were spoiling for a fight3pilfer, steal, pinch;hann skal altíð nemahe likes pinching things4take possession of, possess oneself of, lay hands on, seize upon, secure; nemalandtake possession of a land5learn, put by (in one's memory); nemasær kunnleikaacquire knowledge;(orðt.) (tað, ið) ungur nemur, (hann) gamal fremurwhat one learns in youth, one carries out in maturity6become aware of, notice;hann kom inn í kamarið og nam ljóðið av mongum málumentering the room he became aware of many voices7íosb. tú nemur ikki at broyta eitt viðursvet(tú vágar tær ikki) don't you dare to alter the least bit
neman	(gl.)without, except, none but;hann girnaðist ongan neman Gudhe coveted no one except God
nemesis	(gr. gudal.)Nemesis
nemiligur	(sj.)beautiful, lovely;hon er nemiligshe's beautiful
neming	1idea, conception, notion, understanding;fyri at næmingarnir skulu fáa eina neming av tíin order to give the pupils/the students an idea of it;hann mundi hava eina neming av tíI think he suspected sth2graze, brush, light touch;grindin fekk neming av boðanumthe school of pilot whales brushed the skerry3touch(t.d.a touch of garlic; (kuldi í luftini) a touch of frost in the air;hann mundi hava eina neming av skrubbihe had most likely a touch of scabies
nemmur	(tlm.)sílættur
nemus	(skemt.)meddlesome child
nenna	1get oneself to do sth, find it in one's heart to do sth;eg nenti mær ikki at vekja tann lítlaI could not get/bring myself to wake up the child, I could not find it in my heart to wake up the child2be too stingyel.mean to, giveel.allow oneself sth(t.d.he did not allow himself a moment's rest);hann nennir sær ikki at keypa taðhe is too stingy to buy it;hann nennir sær einkihe is very economical
neon	(evnafr.)neon (í ljósrørum) (tekn: Ne)
neonlampa	neon lamp
neonljós	neon light
neonrør	(evnafr.)neon tube
neonskelti	neon sign
Nepal	(sern., landafr.)Nepal
nepalbúgvi	Nepalese
nepalesi el.nepalesari	Nepalese
nepalskt	(mál) Nepalese
nepalskur	Nepalese
neppa	(tlm.)síneyvan
nepping	(sj.)íosb.sumnú stendur um neppinginawe have reached the crucial point,(eis.)this is the moment of truth
-neppingur	sílív-
neps	reproof, reprimand, censure;hann fekk nepsiðhe was severly reprimanded;fútin hevði væntað at fingið hjálp frá konginum, men í staðin fekk hann nepsthe Chief Constable had expected to get support from the King in stead he was rebuked
nepsa	reprove, rebuke, reprimand, censure, take to task, chide, admonish; discipline
nepsing	(sj.)reproof, reprimand, censure
Neptun	(róm. gudal., stjfr.)Neptune
neraida	(gr. gudal.)Nereid
nerta	1touch lightly; nertae-tel.nerta við e-ttouch sth;kaggin skal ikki verða nertur, fyrr enn fiskur er komin í bátinthe (water) keg is not to be touched until the first fish has been caught2(tøkn.)beel.come in contact with; get into contact with, make contact with(t.d.the piston does not come in contact with the cylinder cover);hasir báðir leidningarnir mugu ikki nerta saman/nerta hvør við annanthose two leads/wires must not get into contact with one another3touch on(t.d.he touched on the question); refer to(t.d.he referred briefly to the balance of payments), mention, glance at(t.d.in his speech he glanced at Cuba);hann nart leysliga við evniðhe touched on the subject in a few words, he devoted a few words to the subject);nortið verður eitt sindur við skúlaviðurskiftiniI'll touch on the subject of school matters later in the lecture;tað nertur/nertir ikki afturatit is far from it, it is nonsense, it is without rhyme or reason
nertil	1(stfr.)tangent2(tónl.)key
nerting	(likamlig) touch(t.d.I felt a touch on my arm);(fl.m.)contact, touch
nertiskíggi	(teld)touch screen
nerv	(likam.)nerve;hava nervarhave nerves(t.d.have you no nerves, man!), be nervous;hann er fullur í nervumhe is a bundle of nerves;eg havi ikki nervar til at síggja hattaI cannot watch it, it makes my stomach churn with nausea;hava góðar nervarhave good/steady nerves;hava ringar nervar1suffer from nerves, neurasthenic; neurotic2have weak nerves, be nervous
nerva1	(sj.)sínerv
nerva2	1oppress, inconvenience, make an unpleasant impression on, affect, be affected by;tað nervar meg ikkiI am not oppressed by it, it leaves me cold;harðveður nervaði ikki seyðinthe sheep are not affected by bad weather;henda veiða nervar ikki stovninsuch fishing does not affect the fish stock2(sj.) nerva atalmost touch sth
nervaávirkin	neuroleptic
nervabrek	(lækn., sálfr.)neurosis, nervous disorder
nervabruni	(lækn.)neuritis
nervadoyvandi	sedative; tranquillizer
nervadoyving	(lækn.)nerve block
nervadropar	sedative(eint.)
nervaeitur	(lækn.)neurotoxin
nervagass	(herm.)nerve gas
nervagikt	(lækn.)neuralgia
nervagrein	(likam.)nerve branch
nervagreining	(likam.)arborization (of nerves)
nervaheilivágur	(lækn.)sedative, tranquillizer, tranquilliser
nervahinna	(likam.)neurilemma
nervaknútur	(likam.)ganglion
nervaknykil	(likam.)ganglion
nervakríggj	war of nerves
nervakykna	(likam.)nerve cell;úr hvørjari nervakyknu ganga nógvar trevsur ella træðrireach nerve has many nerve endings
nervalag	(likam.)nervous system;nervalagnum viðvíkjandineuralgic;sjálvstýrandi nervalagthe autonomic nervous system
nervaleið	(likam.)nerve path
nervalækni	(lækn.)neurologist, nerve specialist; (sálarlækni) psychiatrist
nervamergur	(likam.)myelin, medullary substance
nervaoddur	(likam.)nerve end, receptor
nervarás	(likam.)nerve path
nervasamanbrot	nervous breakdown; (drúgteis.)nervous prostration(t.d.suffering from nervous prostration)
nervaserfrøðingur	sínervalækni
nervasjúka	1(sálfr.)neurosis2(lækn.)nervous disorder
nervasjúkufrøði	(lækn.)neurology
nervasjúkufrøðiligur	(lækn.)neurological
nervasjúkufrøðingur	neurologist
nervasjúkur	1(lækn.)having a nervous disorder2(sálfr.)neurotic
nervaskurðfrøðiligur	(lækn.)neurosurgical
nervaskurðlækni	neurosurgeon
nervaskurðviðgerð	neurosurgery, nerve surgery
nervaslíðri	(likam.)perineurium
nervasterkur	having strong nerves
nervastillur	(stb.)having strong nerves
nervastimbrandi	neurotonic, bracing, tonic;nervastimbrandi miðalnerve tonic
nervastrongd	stress
nervastrongdur	stressed
nervasvullur	(lækn.)neuroma
nervatablett	(lækn.)sedative, tranquillizer;(am. eis.)tranquilizer
nervatyssi	(likam.)bundle of nerve fibres
nervatægr	(likam.)nerve fibre
nervaveikindi	(lækn.)neurosis
nervaveikur	(lækn., sálfr.)neurotic
nervavevnaður	(lækn.)nervous tissue, nerve tissue
nervaviðgerð	(tannlfr..)devitalization, nerveel.pulp treatment
nervaviknaður	suffering from a nervous disorder;vera nervaviknaðurhave weak nerves
nervaviknan	(lækn.)neurasthenia, nervous prostration; (nervaveikindi) neurosis
nervavrak	nervous wreck, basket-case
Nes1	1village on the island of Eysturoy;á//av Nesiat//from (the village of) Nes;inn//út á Nesto the village of Nes2village on the island of Suðuroy;á//av Nesiat//from (the village of) Nes;(út) á Nesto (the village of) Nes3part of the village of Hvalba;í//úr Nesiat//from Nes in Hvalba;(út) í Nesto Nes in Hvalba
nes2	headland, foreland, cape, promontory, spitel.tongue of land;millum nesjabetween the headlands
nesmaður	1man from the village of Nes (on the island of Eysturoy)2man from Nes (part of the village of Hvalba on the island of Suðuroy)3(stb.)man from the village of Trøllanes (on the island of Kalsoy)
-nest	sítinga-
nesta	sew with loose stich
net	1net, (piece of) network, netting;bólturin fór í netiðthe ball found the net2(at fleyga við) net;(fl.m.)web, toils(t.d.caught in the toils of the law)3(til viðføri í toki) rack4(berinet) string bag5(av linjum, samskiftisnet,o.tíl.)network(t.d.of canals, railway lines, lines of communication, veins, wrinkles; telephone network), systemel.network of roads, road gridel.system; system; (av háspenningarleidningum) grid; power supply system; (ljóskervi í húsum) wiring; mains(t.d.the device works from the mains); map(t.d.of cracks);(likam.)plexus(t.d.of blood vessels, fibres, nerves)6(fl.m.)network(t.d.of falsehoods); web(t.d.of intrigue); tissue(t.d.of lies)7(lokkanet) cobweb
neta	(sj.)sínetja2
netamaður	(sigl.)net man
netanál	(sigl.)netting needle
netarulla	(sigl.)net drum
netavrik	(teld)web performance; eis.vevavrik
netbanki	netbanking, online banking, internet banking
netbinding	netting
netborin	(teld)web based
netbók	(teld)netbook
netbóltur	(í tennis) let (ball)
netbrósk	(likam.)reticular cartilage
netdepil	(teld)portal
netdómari	(í tennis) net-cord judge, umpire
netfesta	(stb.)sínetja2
netfloksrúm	(teld) cyber classroom
nethinna	(likam.)retina(retina)
nethinnubruni	(lækn.)retinitis
