e	(eis. tónl.)E, e
einari	1(stfr.)one(t.d.253 = two hundreds, five tens, and three ones)2loner
einaræði	(stjm.)absolute mastery(el.control)(yvirof); absolute monarchy; absolute despotism; autocracy
einarættarloyvi	monopoly
einarættarlóg	Monopolies and Restrictive Practices Act
einarættur	1sole and exclusive right, monopoly;við einarættiall rights reserved;hava einarætt at seljahave a monopoly of selling;(handilsm. eis.)have an exclusive franchise on;(eis.he has an exclusive contract for the sale; he has an exclusive right of sale; they have cornered the market for computer hardware)2(til prenting) copyright;einarætt til øll londworld-copyright
einast1	1(semjast) agree, reach an agreement(el.understanding), come to terms2(vera væl) get on (well);(tlm.)hit it off;einast umagree upon(t.d.the price);einast um at gera taðagree to do it;tey einast um matgerðinathey do the cooking between them, they share the cooking
einast2	only, merely
einasta	only, solely, alone, merely, just
einastaðni	somewhere
einastandandi	1(tlm.)unique, exceptional, unrivalled; second to none; striking; unheard-of; unparalleled;hann er einastandandihe stands alone; he is in a class by himself; he is unrivalled2hj.exceptionally(t.d.exceptionally cheap);einastandandi góðursuperlative;einastandandi gottsuperlatively well
einastova	(á sjúkrahúsi) private ward(el.room) amenity bed
einastur	only, single, sole av,tað veit tann einastiGod knows
einaumboð	sole agent
einaumboðan	sole agency
einavald	síeinaveldi
einavaldskongur	absolute monarch
einaveldi	absolutism, autocracy, absolute monarchy, despotism;upplýsta einaveldiðenlightened despotism;við einaveldiabsolute, autocratic; despotic
einaveldisharri	absolute monarch, autocrat, despot, dictator
einaveldisræði	despotism; totalitarian state
einbeintur	one-legged
einbíldutur	(seyðal.)[with a dark colour round one eye]
einbíltur	síeinbíldutur
einbílutur	síeinbíldutur
einborin	only-begotten,Guds einborni sonurGod's only-begotten son
einburi	only child
einbúgvi	hermit, recluse, anchorite
einbýli	solitary residence
einbýlingur	síeinbýli
einbýlishús	single-family(el.self-contained) house
einbýlismaður	recluse
einbýlisplanta	(plfr.)monoecious(monoecus)
einbýlistrøstur	(fugl.)hermit thrush(Catharus guttatus)(Pallas, 1811)Catharus guttatus ©iStock
einbýlisvøkstur	(plfr.)síeinbýlisplanta
einbýttur	í osb: einbýttur hagi [outfield belonging to a sole occupier]
eind	1unity, whole, entity(t.d.Kipling believed in the unity of the Empire)2(partur av størri eind) unit(t.d.the parish is the smallest unit of local government)3(herm.)unit(t.d.tactical units); element(t.d.forward elements of our troops)4(mátieind) unit;eind fyri ravmagnsmongdunit quantity of electricity5(støddfr.)unit6(teld.)unit,feature7synthesis;ganga upp í hægri eindform a synthesis
eindararbeiðskostnaður	(bú)unit labour costs
eindarflokkur	sosialistiski eindarflokkurin the Socialist Unity party
eindarfylking	united(el.common) front
eindargjald	flat rate; eis.eindarprísur, fastprísskipan
eindarkynd	transgender
eindarkyndur	transgender
eindarprísur	1flat rate; eis.eindargjald, fastprísskipan2framleiðslueind) average (, unit) cost
eindarríki	unitary state
eindarrørsla	italska eindarrørslan the Risorgimento;týska eindarrørslanthe movement towards German unity
eindarskattur	unitary tax
eindarskúli	(skúlam.)unified school system;(svarar til)comprehensive school, all-age school
eindømi	1(sø.)right to be sole judge; unrestricted power, absolute power2unique example, unique case
eineggjaður	(lívfr.)monovular, monozygotic;í osb: eineggjaðir tvíburaridentical(el.monozygotic) twins
einermdur	one-armed;einermt tjóvsvætti(spæliautomat) one-armed bandit;(tlm.)fruit machine
einevnisrit	(bókm.)monograph
einfalda	simplify
einfaldan	simplification
einfaldur	1simple, straightforward(t.d.method, solution, system); (kravlítið) simple, plain(t.d.cooking, diet, food, dress, furniture, style)2(eyðskildur) simple(t.d.can't you understand a simple question?)3naive, simple(-minded)4(teld) simple;einføld leitingsimple search5(jarðfr.) single;einføld gongsingle dyke; sígong
einfeldi	h24esimplicity, simple-mindedness, naïveté
einfeldni	síeinfeldi
einfloksskipan	(stjm.)monoparty(el.one-party) system
einføttur	monopode, monopodous, one footed
eingifta	monogamy;liva í eingiftube monogamous
eingil	angel;deyðans eingilthe angel of death;fallin eingilfallen angel;frelsandi eingildeus ex machina;Harrans eingilthe angel of the Lord;mín eingil!my angel!myrkursins eingilthe angel of darkness;hon er ein sannur eingilshe is an (absolute) angel;syngja sum ein eingilsing like an angel;verndar eingilguardian angel
eingildur	(evnafr.)univalent;eingild basaunivalent base, monoacid base;eingild sýraunivalent acid, monobasic acid
eingilskblátt	(gl.)indigo blue
eingilskdansur	couple dance; couple dancing
eingilskmaður	Englishman
eingilskreytt	caput mortuum, Indian red
eingilskur	English;eingilskur búffursteak and onions;eingilskt lakress (svarar til)strong liquorice;eingilsk mílmile;(lækn.) eingilsk sjúkarickets, rachitis;hava eingilska sjúkube rickety, be rachitic
eingin	1no(t.d.he had no hat on); not any(t.d.I did not see any soldiers)2(skilt frá sínum n.el.knýttur at tí við of) none(t.d.he has two sons, I have none; none of the children); not any3nobody, no one(t.d.nobody knows I am here; I have seen no one); (um lut) not any(t.d.give me a match ­ I haven't got any);er eingin sum hevur ein svávulspinn?have you got a match, any of you?;eingin annar(um fólk) nobody else(t.d.has nobody else seen it?); no one else; (um lutir) not any other(t.d.is that your best coat? ­ I have not got any other); no other(t.d.he had no other means);eingin annar enn túno one but you;tað var eingin annar enn pápi mín!it was my father himself!, it was none other than my father!eingin var heimanobody was at home;eingin hægri?(ved auktion) no advance?;at kalla einginpractically no(t.d.books); scarcely any, hardly any; practically none(t.d.practically none of the children); scarcely any(t.d.scarcely any of the books); scarcely(el.hardly) anybody(el.anyone); (um lutir) hardly(el.scarcely) any;har var als eingin(um fólk) there was nobody at all; (um lutir) there were none at all4hj: einkinot, not at all, certainly not;einki er hann býttur don'tthink he is fool
eingingerð	(stb.)idler, slacker, lazybones, lazyboots
eingir	síong
eingispretta	grasshopper
eingjarbjarnarbroddur	(plfr.)scottish asphodel(Tofieldia pussilla)
eingjarblóma	(plfr.)globe-flower(Trollius)Trollius europaeus © Wikimedia Commons
eingjardúnurt	(plfr.)marsh willowherb(Epilobium palustre)©Hermann Falkner
eingjarflatbjølgur	(plfr.)meadow vetchling(Lathyrus pratensics)
eingjargarður	hann fer ikki út um eingjargarðin he doesn't leave the village
eingjarhúsagras	(plfr.)smooth meadow-grass(Poa pratensis)
eingjarkarsi	(plfr.)cuckooflower(Cardamine pratensis)© iStock
eingjarmýristrá	(plfr.)common spike-rush(Eleocharis palustris)
eingjarrósa	(plfr.)marsh cinquefoil
eingjarspannari	(firv.)pretty pinion(Perizoma blandiata)© Wikimedia Commons
eingjarsyftunsøkugras	(plfr.)meadow foxtail(Alopecurus pratensis)
eingjartimotey	(plfr.)timothy(Phleum pratense)
einglabarn	little angel; cherub
einglabrá	(sj.)angelic face
einglahár	(jólatræspynt) tinsel
einglakór	heavenly(el.angelic) choir
einglaligur	angelic
einglarødd	angelic voice
einglaskari	angelic voice
eingongdur	1(who gets along) by himself,hann kemur eingongdur afturhe comes back alone2unmarried, single
einhallur	(jarðfr.) monocline
einhalsfylki	(jarðfr.) monocline system
einhandil	síeinahandil
einhenda	take (lift, throw) with one hand
einhentur	one-handed; single-handed
einhús	1í osb: liggja el. búgva í einhúsilive alone2single-family(el.self-contained) house
einhvør	ein(ir)hvørjir ein(ar)hvørjarein(i)hvørji fn síonkur
einhyrningur	(fólktr.)unicorn; (stjørnumynd) Monoceros, the Unicorn
einhyrntur	one-horned
eini1	(plfr.)(common) juniper
eini2	(sj.)agreement, concord, harmony, unity, understanding
einiber	(plfr.)juniper berry©Guttorm Flatabø
einiberlyngur	síbaraldur
einibertræ	(plfr.)(common) juniperJuniperus communis subsp. communis © Wikimedia Commons
einiberviður	(plfr.)juniper tree
einibúgvi	síeinbúgvi
einihandil	síeinahandil
einindi	(teld.)entity
einingis	í osb: einingis einsamallur all alone
einingur	í osb: í einingi alone, by oneself,búgva í einingilive, manage aloneeinsamallur á el. í einingiall alone
einirættur	síeinarættur
einitræ	(plfr.)juniper tree
einkabarn	síonkabarn
einkadóttir	síonkadóttir
einkaloyvi	(at selja ávísa vøru í ávísum øki)hava einkaloyvi tilhave an exclusive franchise on
einkaloyvishavi	franchisee
einkarblágresi	(plfr.)purple moor-grass(Molinia caerulea)
einkarættindi(r)	sole and exclusive right, monopoly
einkarættur	síeinarættur
einkasonur	síonkasonur
einkasøla	monopoly
einkavinur	síonkavinur
einkenniligur	1characteristic(t.d.a characteristic feature of this scheme), distinctive2hj-liga,characteristically
einki	nothing;eitt einkia nobody, a nonentity;gera til einkisnullify, annul
einkisleiki	idleness, futility, vanity; inanity
einkisligur	poor, pitiful, pitiable, insignificant,einkisligar spjarrarpitiful rags;einkisligt tossmall talk;hj-liga
einkisverdur	valueless(t.d.advice, pictures); worthless(t.d.books, excuse, imitation, pictures); of no value, without any value; (nyttuleysur) useless;(fl.m.)futile;(tlm.)junky, rubbishy
einkisvirða	(bíbl.)disregard, make light of, pooh-pooh(t.d.my objections); snap one's fingers at; cry down; (vanvirðisliga) flout(t.d.his advice)
einkja	widow; (aðalborin) dowager;sita einkjabe a widow;hon varð tíðliga einkjashe was early left a widow;hon varð einkja 25 ára gomulshe was widowed at (the age of) 25;hon er einkja eftir John Smithshe is the widow of John Smith;eftir sita einkja og tvey børnhe leaves a wife and two children;Glaða einkjanThe Merry Widow;hann eigur systur ið situr einkja (eis.)he has a widowed sister
einkjubarn	orphan, child of a widow;(flteinkjubørn) widow's children
einkjudrotning	Queen Dowager; (móðir ráðandi monark) Queen Mother
einkjueftirløn	widow's pension
einkjumaður	widower
einkjumannaeftirløn	widower's pension
einkjupeningur	Queen Dowager
einkjuslør	widow's veil
einkjuuppihald	widows' pensions
einklæddur	without a coat
einkneptur	(umt.d.jakka) single-breasted
einkróna	one-krone piece (uml. = 10p)
einkultur	1(móts.tvífaldur, tvinnaður) single2(ósamansettur) simple3(serstakur) individual(t.d.in each individual case)4(fyri seg) separate; solitary(t.d.the garden only contained one solitary tree)5(ómakaður) odd, single(t.d.an odd(el.a single) stocking)6(ávísur) specific(t.d.he never criticized specific abuses)
einkyknaður	(lívfr.)(um lívveru) one-celled, monocellular, unicellular
einkyknudýr	(lívfr.)protozoan
einkyknuplanta	(plfr.)monocellular plant
einkyndur	unisexual
einkynjaður	(plfr.)(um plantu) diclinous, unisexual
einleiki	unity,í einleika hins heilaga andain the unity of the Holy Spirit
einleikur	(tónl.)solo playing
einlemba	(um ær) with one lamb
einlembd	(um ær) with one lamb
einlembulamb	single lamb
einligur	solitary, single; living alone; (ógiftur) single; unmarried(t.d.an unmarried mother)
einlistum	í osb:av einlistumwith the greatest care (, precision)
einlitils-	(lívfr.)haploid
einlittur	plain, of one colour
einljóð	(málfr.)monophthong
einljóðandi	einsljóðandi
einmansføri	síeinsmansføri
einmanskamar	single room
einmansleikur	(ítr.)(tennis) singlesflt;spæla einmansleikplay singles; a game of singles
einmansljóð	síeinsmansljóð
einmansvirki	one-man business;(forml.)sole proprietorship
einmastraður	single-masted
einmálsligur	(málfr.)unilingual;einmálsligur korrespondenturbilingual commercial correspondent
einmálsorðabók	monolingual dictionary
einmánaður	síeinmáni
einmánasól	[the moon ineinmáni]
einmáni	[third month in the old Faroese calendar, from 25 March (mariumessa) to 25 April (markusarmessa)]
einmenniligur	1individual;einmenniligt arbeiðiindividual work;einmennilig frálæraindividualized instruction2hjeinmenniligaindividually
einmenningsligur	individualistic
einmenningsskapur	individualism
einmenningur	individualist
einmerktur	(málfr.)unambiguous, unequivocal
einmýli	monomer
einmælingur	(málfr.)monoglot
einmælt	unanimously, by one consent, with one accord, with one voice,tað varð einmælt avgjørtit was unanimously resolved;einmælt samtyktcarried unanimously; (eingin atkvøða ímóti) carried nemine contradicente(el.nem. con.);einmælt avgerðunanimous decision;einmælt valdurunanimously elected; * the meeting was unanimous in refusing to accept the proposal; the papers condemn his conduct with one voice
einmæltur	unanimous
einnáttaður	one-night-old
einnevndur	(um navn) only person of that name
einnevni	(málfr.)tað at hava eitt fornavn
einnýtis-	disposable, throwaway(t.d.napkin, packing, plate); non-returnable(t.d.bottle); non-recurrent(t.d.expenditure); one-off(t.d.measure, payment)
einnælingur	(plfr.)monocotyledon(Monocotyledones)
einoygdur	1one-eyed,(t.d.in the kingdom of the blind the one-eyed man is king)2(fl.m.)biassed, blinkered(t.d.he goes through life wearing blinkers)
einraddaður	(tónl.)(um song) unison, in unison(t.d.unison singing, singing in unison; a unison song; sing in unison); monophonic
einráðin	wilful, self-willed, stubborn, obstinate, arbitrary, headstrong, pigheaded, (self-)opinionated, high-handed(t.d.behaviour)
einrúm	1privacy; solitude;í osb: í einrúmialone, by oneself, in private, privately; in camera;kongur var í einrúmi við ráðharra sínumthe King was closeted(el.in camera) with his minister;eg ætlaði at tosa við teg í einrúmiwant to tell you sth privately, I have a few words for your ears only2private ward(el.room)
einræði	(stjm.)dictatorship(t.d.the dictatorship of the proletariat)
einræðisharri	(stjm.)dictator(t.d.unseat a dictator)
einræðisligur	dictatorial;einræðisligur myndugleikidictatorial powers
einrættur	síeinarættur
einrøða	(serl. í sjónleiki)monologue, soliloquy
eins1	identical, (exactly) the same(GG:verður bara brúkt sum umsagnarliður,t.d.the two are exactly the same; we are all equal in the sight of God; no two human beings are exactly alike); uniform(t.d.moving with uniform velocity throughout its trajectory); (yrkisliga ofta) like(t.d.two like electric charges repel one another); (sum umsagnarliðureis.)the same(t.d.doctors are the same all over the world); alike(t.d.the houses are exactly alike); (eins stórur) equal(t.d.things of equal height, size, value, weight)
eins2	identically, alike, the same;púra einsexactly the same; completely (, exactly) alike; quite identical;síggja eins útlook alike, look the same
eins3	í osb: eins og like(t.d.he is a soldier like you); as, just as(t.d.just as the Liberals were afraid of Fascism, so the Conservatives were afraid of Bolshevism); as well as
einsamallur	1alone, by oneself(t.d.it is not good for her to be (left) so much by herself; wait till we are alone(el.by ourselves));púrasta einsamallurall alone, quite alone, all by oneself;búgva einsamallurlive alone, live by oneself, lead a solitary life2(um fólk, sum hava ongan hjá sær) lonely(t.d.a lonely old couple; they felt lonely after their children had left them); lonesome; (stakur) lone, solitary3brotsmaðurin hevur ikki gjørt tað einsamallurthe criminal has (not) done it single-handed(GG:the burglary was a one-man job)4(um mann við kenning)hann var ikki einsamallurhe wasn't quite sober
einsamur	lonely(t.d.a lonely old couple); (stakur) lone, solitary; (um pláss: manntómt) lonely(t.d.house, road, path, place); solitary(t.d.lead a solitary life; a solitary soul), unfrequented, secluded, sequestered(t.d.spot); desolate
einsemd -ar	síeinsemi
einsemi	loneliness, solitude(t.d.be fond of solitude; live in solitude);eitt lív í einsemia recluse existence, a solitary life
einsetur	sita í einsetri lead a lonely(el.solitary) life
einshátta	homogenize
einsháttaður	uniform, homogenous, (in) the same (way), everywhere
einskeftishøvil	plane with one handle
einskendur	uniform, homogenous, monotonous
einskila	uniquely, exceptionally, unusually, extraordinarily
einskilaður	unique, exceptional, unusual, extraordinary, outstanding
einskilagóður	exceptionally good
einskilamaður	outstanding man, remarkable (, excellent, exceptional) man
einskildur	1unique, exceptional, extraordinary2(bú.) private3separate
einskilja	privatize
einskiljing	privatization
einskullari	single sculler
einskyns	a kind of, a sort of, a type of
einskæraður	sheer, all, pure, nothing but,einskærað mjólkpure milk;einskæraður skitturnothong but filth
einskærur	síeinskæraður
einsleingin	remote, out-of-the-way(t.d.place); solitary(t.d.house); retired(t.d.spot)
einsleingis	(kvæð.)out-of-the-way(t.d.he lives in an out-of-the-way place), apart, aside;(tlm.)he lives at the back of beyond; he lives well off the beaten track
einsligur	solitary, single, lonely, lonesome;hj-liga
einslistum	síeinlistum
einsljóð	monotony
einsljóðandi	1monotonous2sounding alike, of identical sound3(við sama orðaljóði) identical(t.d.the copies are identical)4(ljóðl.)homophonous; homonymous;einsljóðandi orðhomophones; homonyms
einsmansføri	í osb: tað er ikki einsmansføri it is more than one man can manage
einsmansgerð	síeinsmansføri
einsmanskamar	single room
einsmansligur	individual
einsmansljóð	(við e-m)í osb: koma upp úr einsmansljóði bring (something) up unexpectedly
einsmanslæti	individualism
einsmansrúm	(t.d. á gistingarhúsi)single room
einsmansverk	síeinsmansføri
einsmál	síeinmál
einsnevni	(málfr.)homonym
einsongur	(tónl.)solo,syngja einsongsing a solo
einsporaður	1(jarnbreyt) single-track(t.d.a single-track line)2(fl.m.)one-track(t.d.mind)3einsporaður skúlione-form entry school
einsrætta	(um ravmagn) rectify; (um hugsjón) unify;einsrætta ferðslunaintroduce one-way traffic
einsrættaður	1(um ravmagn) rectified, unidirectional2(um hugsjón) unified, standardized, one-party(t.d.State); (ofta =) controlled(t.d.a controlled press); regimented (t.d. a regimented public opinion; a regimented nation); (um ferðslu) síeinvegis
einsrættari	rectifier
einsstavaður	(málfr.)einsstavað orð homograph
einstaddur	isolated, solitary,einstatt fyribrigdiisolated phenomenon
einstaka	uniquely, exceptionally, unusually, extraordinarily,einstaka góðurexceptionally good
einstaklingseyðkenni	individuality
einstaklingsvirki	(bú.)one-man business;(forml.)sole proprietorship
einstaklingur	individual;frælsi einstaklingsthe freedom of the individual;rættur einstaklingsthe rights of the individual
einstakur	1single(t.d.we only saw a single policeman)2individual(t.d.in each individual case)3separate; solitary(t.d.the garden only contained one solitary tree), alone4unique, exceptional, extraordinary,einstakt útsýnia unique view5tann einstakithe individual(t.d.the individual's responsibility towards society);einstakir menna few men, some men;einstakar ferðira few times;tann einstaki stendur seg ikki í kappinginithe individual cannot hold his own against the competition;tann einstaki má sjálvur gera av umeach individual must decide for himself whether;áhugin hjá tí einstakathe interests of the individual, individual interests;viljin hjá tí einstakathe will of the individual, the individual will
einstavilsisorð	(málfr.)monosyllable, monosyllabic word
einstavskontuloynital	digit account code
einsvegna	in one way or the other; somehow
einsyki	(lívfr.) homozygote
einsykin	(lívfr.) homozygotic
einsýki	(lívfr.)homozygote
einsýkin	(lívfr.)homozygous
einsýna	uniquely, exceptionally, unusually, extraordinarily,einsýna vakurexceptionally beautiful
einsýnamaður	outstanding man, remarkable (, excellent, exceptional) man
einsýni	(fl.m.)bias(t.d.with considerable bias); one-track mind(edness)
einsýntur	one-eyed;(fl.m. eis.)biassed, blinkered
einsýnur	unique, exceptional, unusual, extraordinary, outstanding, unsurpassable
einsæri	í osb: hvør einsæri one by one, singly, each for himself
einsæris	í osb: hvør einsæris one by one, singly, each for himself;(sj.)remote, solitary, out-of-the-way, in private, privately
einsærur	individual, particular, special, single,tann einsæri má sjálvur hava skyldinaeach individual must bear the responsibility
einsøla	(bú.)sole sale; monopoly
einsølumaður	monopolist
eintak	1(um bóko.tíl.)copy,átekna eitt eintak(av skjali) stamp a copy;prenta bókina í 2000 eintøkumprint 2000 copies of the book;hetta blaðið kemur út í 10.000 eintøkumthis paper has a circulation of 100, 0002(um grip,serl.á savni) specimen(t.d.I have two specimens of this butterfly in my collection)
eintal	1(kvæð.)confidential conversation,krevja ein fyri seg í eintaldemand to see someone in private2(málfr.)singular;í eintaliin the singular
eintalskontuloynital	digit account code
eintáttaður	1(um tog, bando.tíl.)single stranded2one-sided,(t.d.one-sided information; take a one-sided view of sth, be bias(s)ed), narrow-minded, one-tracked;hann er eintáttaðurhe has a one-track mind; monotonous; unilateral;eintáttaður kosturunbalanced diet
eintevin	ikki eintevin who has magic powers
eintingum	í osb:av sínum eintingumon one's own initiative; of one's own accord; uninvited
eintónaður	monotonous
eintónandi	eintónaður
eintur	satisfied; contented, (sum umsagnarliður) content(t.d.I am content)
eintýddur	unambiguous, unequivocal
eintættingur	one-act play;(tlm.)one-acter
eintølin	síeintevin
einusinni	once
einvaksin	1(um træ) with few and small branches2(um eplavøkstur) with only one top
einvaldsharri	(kvæð.)absolute lord
einvaldskongur	(kvæð.)absolute monarch
einvaldur	absolute, autocratic; despotic;ráðaeinvaldurbe an absolute ruler
einvegis	1l einvegis ferðaseðilsingle ticket, single(t.d.Brighton, single); one-way ticket; one-way(t.d.one-way communication);aftur og fram fyri einvegis ferðaseðilsingle fare for return journey;einvegis ferðslaone-way traffic;gøta við einvegis ferðsluone-way street;her er einvegis ferðslathis is a one-way street2hjone-way
einveldi	síeinavald
einvendur	one-way,einvend ferðslaone-way traffic
einvera	lonliness, solitude
einvíggi	(kvæð.)duel, single combat,berjast við ein í einvíggifight a duel with someone
einvísur	1stubborn, obstinate; one-tracked2self-opinionated
einvorðin	homogeneous, uniform
einvorðinskapur	homogenization, uniformity
einvorðni	síeinvorðinskapur
eir	(sj., kvæð.)temper(t.d.a fiery (, quick, violent) temper); temperament(t.d.a nervous temperament; the artistic temperament); disposition(t.d.an affectionate (, impulsive, gay) disposition); (mentalitet) mentality; character(t.d.the character of the Faroese)
eira1	(um kopar) become coated with verdigris
eira2	1(líva, spara) spare(t.d.death spares nobody; spare an ancient monument; spare his life; don't spare him; he does not spare himself; spare sby's feelings);eira e-mshow someone mercy; treat leniently, deal gently with;(tlm.)go easy on; take care of; (fara væl við) be careful about(el.of), be good to, treat well2(dáma, halda um)eira samanbe well-matched (to each other);eira við (e-n)like, get on with,mær eirir væl við hannwe get on well;mær hevur altíð eirt illa við hannwe have never hit it off together; I´ve never liked him;eir tær væl við hannkeep good friends with him
eirdømi	verdigris
eirgingin	verdigrised
eirgrønur	verdigris green
eiri	(um fólk og lutir) affection, love,hava eiri í e-mbe fond of;eg hevði einki eiri í honumI did not like him at all
eiriliga	cautiously(t.d.handle the goods carefully(el.with care)), prudently, circumspectly, warily; guardedly, discreetly;fara eiriliga til verkaproceed cautiously, proceed with caution;halda seg eiriliga afturkeep prudently in the background
eiriligur	social, sociable, easy to get on with, companionable
eirin	indulgent, compliant; lenient
eirindaleysur	merciless, without mercy, remorseless, unsparing, pitiless, ruthless; relentless(t.d.criticism);hjeirindaleyst
eirindaloysi	mercilessness, remorselessness, pitilessness, ruthlessness
eirindi(r)	mercy, leniency, lenience,við eirindumgently, leniently, forebearingly;tað var ikki við eirindumit was not done in the gentlest of ways
eiring	copper-rust
eirisgras	(plfr.)scurvy grass(Cochlearia)
eirisliga	síeiriliga
eirissýra	(plfr.)mountain sorrel(Oxyria)
eisini	also, too, as well, in addition
eista	(lívfr.)testicle
eistasteinur	síeista
eistnaskólpur	scrotum
eistnastrongur	spermatic cord
eita	be called, be named;hvussu eitur tú?what is your name?;hvussu eitur tað á føroyskum?what is that in Faroese?, what is the Faroese for that?, how do you say that in Faroese?hvussu er tað hann eitur?what is(el.was) his name now?eg spurdi hann hvussu hann ætI asked what his name was;hvussu skal barnið eita?what are you (, theyo.s.fr.)going to call the child?hann skal eita Johnwe (, theyo.s.fr.)are going to call him John;so víst sum eg eiti Johnas sure as my name is John;hann eitur John eftir pápabeiggjanumhe is called John after his uncle;tað er einki sum eitur at skulka her!no shirking here!, shirking won't do here!;tað er einki sum eiturthere is no such word; (ikki talingur um!) certainly not!, not on your life!hann hevur áhuga í øllum sum eitur ítrótthe is interested in everything connected with(el.to do with) sport;alt sum eitur átrúnaður (eis.)all that bears the name of religion;alt sum eitur vísindi (eis.)everything scientific;og hvat alt nú eiturand what not;ox eitur oxen í fleirtalithe plural of "ox" is "oxen"; "ox" becomes "oxen" in the plural
eiti	1name, appellation, designation2(viðfáningur) trifle, small thing;sita fyri eitt eitibe present only for appearances' sake;eitt eiti av einum skógionly a very small wood;(bíbl.) heilagskapur teirra var bert eiti og lótirtheir saintliness was nothing but hypocrisy and false piety3tað var ikki eiti (á)!I am quite impressed;tað var ikki eiti á tað hann áttiwhat he owned was quite impressive4(kvæð.:heiti) promise,hann streingir tað eitihe makes his vow (promise);hagar streingi eg eiti míttI state my solemn vow
eitil	1(lívfr.)lymph gland,hava trútnaðar eitlarhave swollen glands2sebaceous gland; (lítil) glandula;(orðt.) eitil er í øllum feitumnoone is flawless
eitisálop	(herm.)feint, demonstration
eitlabruni	(lækn.)inflammation of the glands;(lækn.)adenitis
eitlakykna	gland cell
eitlaræsi	glandular duct
eitlasár	(lækn.)scrofulous ulcer
eitlasjúka	(lækn.)scrofula, scrofulosis; lymphadenitis
eitlaspik	blubber with tumours
eitlatroti	(lækn.)glandular tumour, adenoma
eitlavæv	(lækn.)glandular tissue
eitlutur	with glands
eitra	poison;eitra hansara lívpoison(el.embitter) his life, make life a burden to him;eitra sinni hanspoison his mind
eitraður	poisoned(t.d.food, arrow)
eitran	poisoning; (mateitran) food-poisoning
eitrandi	1poisonous, venomous2hj(most) fine-drawn, fine-spun, minute, subtle
eitring	síeitran
eitt	síein
eittans	síeinans
eittari	number one
eitthvat	okkurt
eitthvørt	síokkurt
eittnú	for example, for instance
eittoyra	[Danish coin, value one "øre"]
eittsæri	síeinsæri
eitttal	(the figure) one
eitur	1poison2(í dýri) venom3(likam.)toxin; (virus) virus4(drøgg) drug5(fl.m.)poison, venom, spite, malice;geva e-m eitur(try to) poison sby;geva e-m eitur í matinpoison sby's food;lata eitur útípoison;leggja eiturput down poison;kaffi er reint eitur hjá mærcoffee is poison to me;fullur av eitri og gallivenomous, spiteful, full of venom;spýggja eitur og gallvent one's venom; spit out one's venom;spýggja eitur og gall yvir e-ncurse sby venomously;taka eiturtake poison
eiturbikar	poisoned cup
eiturbland	poisonous concoction
eiturblásin	(kvæð.)swollen by poison (, venom)
eiturblóð	(kvæð.)poisonous (, vonomous) blood
eiturburturkast	toxic waste
eiturdrykkur	poisoned drink(el.draught)
eitureitli	(dýr.)poison gland
eiturevnakríggj	chemical warfare
eiturevnavápn	(herm.)chemical weapons
eiturevni	poisonous substance, toxin
eiturfínur	(um tógv, tráðo.tíl.)very fine, very thin
eiturfon	cobweb, spider's web
eiturgass	(evnafr.)poison gas
eiturgoymsla	toxic (waste) dump
eiturgrønur	poisonous green
eiturgulur	poisonous yellow
eiturherða	spin very finely,eiturhert tógvvery finely spun
eiturhvassur	hann stardi upp á hana við eiturhvøssum eygumhe gave her an icy glance
eiturkaldur	icy, freezing, chilling
eiturkendur	poisonous, venomous;(fl.m. eis.)waspish(t.d.comments);ein eiturkend viðmerkinga venomous (, waspish) remark; dirty dig; dirty crack
eiturkoppabein	spider's leg
eiturkoppanet	cobweb, spider's web
eiturkoppanót	cobweb, spider's web
eiturkoppatráður	spider's thread
eiturkoppur	(dýr.)spider
eiturkorn	(kvæð.)poisoned corn
eiturkríggj	síeiturevnakríggjel.eiturvápnakríggj
eiturkuldi	biting (, cutting, nipping, icy) cold
eiturkyndur	síeiturkendur
eiturligur	síeiturkendur
eiturlæra	toxicology
eiturmorð	poisoning (case);fremja eiturmorðpoison sby
eiturnappað	(um ull) meticulously plucked
eiturormur	(dýr.)poisonous snake, poison snake
eiturpadda	(kvæð.)poisonous lizard, venomous amphibian
eiturplanta	poisonous plant
eiturserum	antitoxic serum
eitursettur	sídekanssettur
eiturslanga	síeiturormur
eitursmáur	extremely small
eitursnákur	(dýr.)poisonous snake, poison snake(Proteroglypha)
eitursoppur	(plfr.)poisonous fungus(flt -i)
eitursprænandi	venom spitting; venomous
eiturtonn	(dýr.)(poison) fang
eiturtunnur	extremely thin
eitururt	poisonous herb
eiturvákn	extremely sharp knife (, sythe)
eiturvápn	(herm.)chemical(el.toxicological) weapon
eiturvápnakríggj	(herm.)chemical warfare
eiturørv	poisoned arrow
ekjuskip	(skip.)roll-on-roll-off ship
ekkafullur	1timid(t.d.a timid gesture, nature, smile), fearful, timorous2worried, anxious, concerned
ekkaleysur	fearless, unafraid, intrepid, undaunted
ekkaloysi	fearlessness
ekkamikil	síekkafullur
ekkamóður	breathless, out of breath, short of breath, winded;(tlm.)puffed (out)
ekkamøddur	(kvæð.)síekkamóður
ekkamøði	breathlessness
ekkasamur	síekkafullur 2
ekki	1(gl.)grief, sorrow, affliction2worry, care, anxiety3fear, apprehension, dread, fear(s);loypa ekka á e-ninspire sby with fear, frighten sby; cause sby great anxiety; alarm sby;eg havi sovorðnan ekka á mærI am alarmed(el.anxiousel.troubled)
ekkja	(gl.)widow; (aðalborin) dowager
