p	(málfr.)consonant, /pe:/
pálmatræ	(plfr.)palm (tree); (viðurin) palmwood
pálmi	1palm (tree)2tea-leaved willow;føroyskur pálmiFaroese tea-leaved willow
pálsmessa	The Feast of the Conversion of St Paul (25 January);á pálsmessu koma súlan og lomvigin at landigannets and guillemots return to the sea off the Faroes on 25 January
pálsmessudagur	sípálsmessa
pálur1	(fisk., sj.)youngel.small coalfish
pálur2	(tøkn.)pawl, ratchet; catch; (lítil) click;(sigl.)pawl
pápabeiggi	(paternal) uncle
pápabeiggjakona	one's paternal uncle's wife
pápaleysur	fatherless
pápasonur	father's favouriteel.own son, father's darling
pápasystir	(paternal) aunt
pápi	father, dad, daddy; pápimínmy father;pápi hennaraher father
páradís	síparadís
pásetligur	obstinate, stubborn
pásíggin	(stb.)miserly, mean, stingy, tight-fisted, pinchpenny
páskaaftan	Easter eve
páskaaftanskvøld	evening of Easter eve
páskaboðskapur	the gospel of the Resurrection of Christ on Easter morning
páskadagur	Easter Day, Easter Sunday;annar páskadagurEaster Monday
páskafrítíð	Easter holidays, Easter vacation
páskahald	Easter celebration
páskakvøld	evening of Easter Sunday, Easter evening
páskalamb	(átr.)paschal lamb;eta páskalambiðeat the Passover
páskalilja	(plfr.)daffodil(Narcissus pseudonarcissus)©iStock
páskamorgun	Easter morning
páskaregg	1Easter egg;rulla páskaregg(spæl) roll (hardboiled) eggs down a hill on Easter Monday2chocolate Easter egg
páskavetur	wintry weather at Easter;jólasummar verður páskavetursummery weather during Christmas gives wintry weather at Easter
páskavika	1(vikan frá pálmasunnudegi til leygardagin reyða) Holy Week,(kat.)Passion Week2(gl.)(vikan ið byrjar páskadag) Easter week
páskir	1Easter;halda páskircelebrate Easter;á páskum/um páskirnarat Easter;sunnudagur eftir páskirLow Sunday;sunnudagurin fyri páskirPalm Sunday;páskirnar eru seint í árEaster falls late this year;gleðiligar páskira happy Easter(GG:verður vanliga ikki sagt í Bretlandi og USA)2(hjá gýðingum) Passover
páskot	(tlm.)pretext, excuse;eg mátti finna mær eitt páskot at fara inn á gólviðI had to manufacture an excuse for visiting them;brúka eitt sum páskot at gera okkurtmake sth a pretext for doing sth;finna upp á eitt páskotmanufacture an excuse
páskotraður	forcedel.thrust on sby;danska tungan hevur verið okkum páskotrað í meira enn 400 árfor more than four hundred years Danish language has been forced on us
pástanda	1(tlm.)(vilja vera við) state, assert(t.d.he stated/asserted) that he had been absent at the time); claim(t.d.the Germans claim to have sunk a cruiser); profess(t.d.he professed to be an authority on the subject); (ivasamt um so er) allege(t.d.he alleged that he was of French descent)2(boða hátíðarliga frá) asseverate3(siga og leggja doyin á) protest(t.d.he protested that he had never seen me)4(í mótsøgn við hvat annað fólk sigur) contend(t.d.Norway contended that she had a historical right to Eastern Greenland); argue(t.d.he argued that the contract gave him a right to the money); (ógvisliga) insist5(halda uppá) maintain(t.d.he maintained that it was his own car); insist6(krevja) claim
pástandur	(tlm.)statement, assertion, claim, profession, allegation; sípástanda
pátra	(stb.)work slowly, fiddle with one's work
pátriksmessa	St Patrick's Day (17 March)
pátriksmessudagur	St Patrick's Day (17 March)
pátrúgv	superstition
pátrúgvin	superstitious;vera pátrúgvina superstitious belief in(t.d.witches)
pávabannsetingarbræv	(papal) bull
pávabræv	papal brief
pávadømi	papacy
pávahattur	tiara
pávahúgva	tiara
pávakirkja	pávakirkjan the Church of Romeel.the Roman Catholic Church
pávakrossur	papal cross
pávakrúna	tiara
pávaligur	papal; apostolic;pávaligt brævpapal brief;hansara pávaligi heilagleikiHis Holiness (the Pope)
pávaríki	1(kirkjuríki) the Papal State(s)2(vatikanbýurin) the Vatican City
pávarøð	list of popes
pávasetur	the Vatican City; sípávaríki
pávastólur	pávastólurin the Holy See
pávasøga	history of the papacy
pávatign	papacy
pávaval	papal election
pávavald	papacy, papal authority
pávaveldi	sípávavald
pávi	pope; (framman fyri navni) Pope(t.d.Pope Pius XII);ringurin hjá pávanumthe Fisherman's Ring;stoltur sum ein pávi (fl.m.)beaming with pride
pe	the name of the letterp
pedalur	(á klaveri, orgli, bili, súkklu) pedal
-peð	síbekkja-
pegil	approx. half a pint (quarter of a litre)
peglafløska	half-pint bottle
peglaglas	glass which holdsapproxhalf a pint of schnapps
peiga	sípeiggja,peika
peiggja	1rise above, stick out;eingir steyrar stóðu og peiggjaðu á sýnunumthere were no poles which rose above the edges of the hills; (sísýn1)2swing, wave; peiggjavið stavinumswing one's stick;gakk ikki og peiggja við knívinumdon't wave that knife
peika	point (one's finger) at(t.d.point at the house); peikaá e-n//e-tpoint at sby//sth;peika e-m ápoint out
peikari	(teld.)sí vísi1
peikipinnur	pointer
peila	1(sigl.)take a bearing, take bearings2sound(t.d.the pumps, the tanks); (í tangaskipi) dip3(skemt.)look curiously at sth;vit fóru bara at peilawe just went there out of curiosity
peilari	(sigl.)direction finder
peiling	1(sigl.)bearing;misvísandi peilingmagnetic bearing;rættvísandi/sonn peilingtrue bearing;peilingin til ekkóið var 90um stýriborðthe bearing of the echo was 90on the starboard;vitin er í peiling 2810the light bears 28102(at kanna tanga) sounding, (í tangaskipi) dip(ping)(t.d.dip at commencement of discharge 38')3(fl.m.) hava peiling av e-mhave an idea of sth
peilingarantenna	directional aerialel.direction finding aerial;(am.)directional antennael.direction finding antenna
peilingarbilur	(sjónvarpsýtingarbilur) television detector van; (útvarp) detection van
peilingarkumpass	bearing compass
peilingarlinja	line of soundings
peilingarmóttakari	direction finder
peilingarsendari	radio beacon, radio location station
peilingartól	direction finder
peis1	íosb.sumá tann peis! (á dett skil) what a state of affairs! (this is a fine mess!);tað var ein peisthat was a terrible situation (said to children when there is talk of a trifle)
peis2	fireplace
peka	(bát.)small rowing boat (smaller thantristur)
peki	1shabby, dirty piece of clothing;tú mátti ikki farið í handa pekanyou shouldn't have put on that dirty garment2(sj.)sípeka
pelargonia	(plfr.)geranium(Pelargonium)
pelastikk	(sigl.)bowline (knot)
peli	sísteyri
pelikánur	(fugl.)pelican(Pelecanidae)Pelecanidae ©iStock
pell	1(barnam.)untruth, lie2(barnam.)(child) that says sth that is not true;hann er eitt pellhe always tells lies
pella	(barnam.)lie, fib, tell lies;eg pellaði fyri tærwhat I told you was not true
peloponnesiskur	(sø.)Peloponnesian;peloponnesiska kríggiðthe Peloponnesian War (431-404)
pelur	sípeli
pempa	1mince, walk with a mincing gait, walk quickly with small steps2scrape money together
penalarhús	(skúlam., tlm.)sípennahúsi
pendla	commute
pendlari	commuter
pendul	(alisfr.)pendulum
penga-	financial(t.d.institution); sí eis.peninga-
pengagoymsla	cash (balance), cash in hand
pengagraður	(óvand.)sípengagrammur
pengagrammur	avaricious, rapacious; money-grubbing, money-hungry
pengaíløga	sípeningaíløga
pengakassi	money box, strongbox, cash box, till;sita á pengakassanum (fl.m.)hold the purse strings
pengakista	money chest, coffer
pengaleysur	penniless;pengaleyst samfelagcashless society,(eis.)credit-card society
pengaløn	salary(o.tíl.)in money
pengamaður	capitalist, moneyed man, moneymanel.money man, financier;stóru pengamenninirthe money barons, the big financiers
pengamongd	(bú.)money supplyel.stock; money in circulation
penganeyð	pecuniary distress;(handilsm.)cash famine;vera í penganeyð (tlm.)be hard up, be on the rocks
penganýtsla	spending; (formligt mál) expenditure
pengaoyðsl	waste of money
pengapolitikkur	(stjm.)monetary policy
pengapungur	purse
pengar	1money(GG:money ereint,t.d.allir hesir pengarnirall this money;nógvir pengarmuch money);Sdough, bread;(am.S)greenbacks(flt),green, lettuce; (reiðupeningur) cash, ready money, folding money2(kapitalur) capital, funds(t.d.the Government is hampered by lack of funds)3(gjaldoyra) money(t.d.how much is that in Danish money?); currency(t.d.paid in Icelandic currency)4(løn) money, wages(flt),salary, pay; síeis.løn
pengaseðil	bank note, note;(am.)bill;(am.S)greenback;pengaseðlarfolding money;(am.S)green, lettuce
pengaseðlabundi	parcel (of bank notes); (í lummanum, in one's pockets) wad of money/notes
pengaseðladekningur	backing
pengaseðlafalsan	forging bank notes; forgery (of bank notes)
pengaseðlainnloysing	the redemption of notes
pengaseðlanøgd	(note) issue, note circulation
pengaseðlaprentari	bank-note printer
pengaseðlaumbýti	withdrawal of bank notes and issuing of a new type
pengaseðlaumfar	note circulation
pengaseðlaupphædd	amount ofel.in notes
pengaseðlaútgáva	note issue;ov stór pengaseðlaútgávaover-issue
pengaskáp	safe, strongbox
pengaskápstjóvur	safeblower, safecracker
pengaskrín	money box, coffer
pengaskuffa	till
pengaútlánari	money lender
pengi	1coin;gullpengargold coins/pieces;silvurpengarpieces of silver2(serst. flt) myntirmoney, currency;føroyskir pengarFaroese money;fáa e-t fyri bíligan pengaacquire/get sth at a low price/ figure/for a mere song;(ein) stórur pengia large sum of money
peninga-	síeis.penga-
peningabinding	withdrawal of money from circulation; mopping up of loose money
peningabót	fine
peningabúskapur	money economy
peningafalsan	counterfeiting (the coin of the Realm); uttering counterfeit coin
peningafalsari	counterfeiter
peningaflutningur	1money transport2moneyel.financial transaction
peningagáva	presentel.gift of money, pecuniary gift
peningagirnd	avarice, cupidity, rapacity; money-grubbing
peningagrammur	sípengagrammur
peningagrískur	sípengagrammur
peningahall	deficit, deficiency (of)(t.d.a deficiency of two pounds); shortfall(t.d.our dollar balance shows a shortfall); (á gjaldoyrajavnvágini) deficit, gap(t.d.the dollar gap)
peningahandil	monetaryel.financialel.pecuniary transaction
peningaheimur	financial world
peningahjálp	pecuniary assistance
peningaíløga	(handilsm.)investment
peningajáttan	(money) grant, allocation
peningakassi	sípengakassi
peningakistil	sípengaskrín
peningakrav	pecuniary claim
peningakreppa	financial crisis
peningakærur	sípengagrammur
peningaleysur	penniless, without money
peningaligur	1financial, pecuniary, monetary; peningaligurstuðulfinancial support2[sumhj]peningaliga;stuðla peningaligasupport financially
peningaloysi	pennilessness, poverty
peningamarknaður	money market;gráur peningamarknaður[the grey market];trekur peningamarknaðurcontracted/stringent money market
peningamál	pecuniaryel.financial affairs, money matters(t.d.he is unreliable in money matters); money affairs
peningamongd	sípengamongd
peninganeyð	pecuniary distress;(handilsm.)cash famine;vera í peninganeyð (tlm.)be hard up, be on the rocks
peninganoyðari	blackmailer;gjalda peninganoyðara (eis.)pay hush money
peninganoyðsla	blackmail
peninganøgd	abundance of money;ov stór peninganøgdsurplus purchasing power
peningaogn	capital
peningaokur	usury
peningapolitikkur	monetary policy
peningarúgva	heapel.pile of money
peningasavning	(t.d.til frama fyri hjálpararbeiði) subscription, collection;peningasavning varð sett í verka subscription was started
peningasending	remittance (of money);sending av reiðupeningicash remittance
peningaskipan	monetary system
peningaskrín	sípengaskrín
peningaskuffa	sípengaskuffa
peningaspell	waste of money;tíðarspell og peningaspellwaste of time and money
peningaspurningur	question of money
peningastovnur	financial institution, finance house; (tíðum) bank
peningastreymsgreining	statement of resources and application of funds, cash flow analysis
peningastreymur	cash flow, flow of money
peningastudningur	financial aid, pecuniary aid; (regluliga til fólk) allowance(t.d.pay him a monthly allowance)
peningastuðul	(money) grant, a subsidy, allocation; financial supportel.assistance; aid
peningastyrkur	financial supportel.assistance; aid; (játtan) a grant, a subsidy
peningastøði	(bú.)standard (of coinage), monetary standard
peningasvik	fraud, swindle, embezzlement
peningatrongd	shortage of money, scarcity of money
peningatrot	shortageel.scarcity of money, lack of moneyel.of funds;hava peningatrotbe hard up
peningatváttur	money laundering
peningatørvur	(bú.)demand for money
peningaumferð	circulation of money
peningaupphædd	sum (of money), amount
peningaveiting	payment (in money)
peningaveldi	plutocracy
peningavirði	money value, monetary value, value in money, cash value
peningseind	monetary unit, unit of currency;felags peningseindmonetary union
peningsverk	íosb. ikki gera peningsverkdo nothing at all
peningsvirði	money value, monetary value, value in money, cash value;tað er ikki peningsvirði í hesumthis is of no value whatever
peningur	1(samn.)money;nógvur peningurmuch money;hava nógvan//lítlan pening um hendurhave much//little money at one's disposal2(einstakur) coin;gullpeningurgold coin; síeis.pengar
penisillin	(lækn.)penicillin
penligur	1(heldur vakur) nice, pretty;ein penligur býura pretty town2well-bred, well-mannered;hann er ein penligur drongurhe is a well-mannered boy3[sumhj]penliga;hann er so penliga vandurhe is well-mannered
pennafjøður	quill; sífjøðurpennur
pennahúsi	pencil case; (stórur úr viði) pencil box
pennaoddur	pen point,(serst.á fyllipenni) nib
pennaskaft	pen(holder)
pennasleikjari	(niðr.)pen pusher
pennaspíssur	sípennaoddur
pennastrika	pen stroke
pennastríð	controversy, polemic
pennastrok	stroke of the pen, pen stroke
pennatekning	pen-and-ink drawing; sketch
pennatræta	controversy(t.d.he took part in a controversy with Chesterton); (sum hugtak) polemics
pennavinur	pen pal, pen friend; eis.brævavinur
pennur	1(stál-, gullpennur) pen, nib, pen nib2(fjøðurpennur) quill (pen)3(pennur + pennaskaft) pen4[íyms.samb.]halda penni/halda um penninhold a pen;hvassi pennur hennaraher mordant style;pennur og blekkpen and ink;taka til pennintake up the pen;skriva við umhildnum/førdum/stýrdum penniwrite sth with sby guiding one's pen;pennurin skróvarthe pen scratches;spískur pennurfine nib; liva av penninum/liva av at skriva live by one's pen
pensil	paint brush
pensilvaksin	(plfr.) pensilvaksið sáðfangpencil-shaped/penicillate stigma
pensioneraður	pensioned off, superannuated; (tíðum) retired; (um heryvirmann) on the retired list, retired, on half-pay;verða pensioneraðurbe pensioned off; (um heryvirmann) be placed on the retired list
pensión	superannuation (pay); (hjá heryvirmonnum) retired pay, half-pay
pensiónista-	síeis.eftirlønar-
pensiónistabústaður	old people's flatsel.houses
pensiónistafelag	pensioners' association
pensiónistaferð	[holiday trip at reduced rate for retirement pensioners]
pensiónistakort	[reduced-price season ticket for retirement pensioner]
pensiónistur	1pensioner2(um gomul fólk tíðum) senior citizen3(fólkapensiónistureis.) (old-age) pensioner(st.OAP)4retired person, retired official
pensla	1paint2(lækn.)paint, swab(t.d.a wound with iodine);pensla hálsinswab the throat3(matgerð) glaze, brush(t.d.glaze the pie with beaten egg)
pensling	(lækn.)painting, swabbing
penta1	(lækn.)suture, stitch(es)
penta2	1stitch2mend earthenware pottery by binding the pieces together with wire through holes along the lines of fracture3invent, make up(t.d.an excuse; a story), fabricate,(tlm.)fix up(t.d.some story or other); pentasøgu samanmake up a storypenta lygnir samanlie
pentametur	pentameter (fimmføtt ørindislag)
pentan	(evnafr.)pentane
penur	1fine, pretty, nice;nú ert tú penur! (speis.)that serves you right!2well-mannered, well-bred;ver nú penurbehave yourself
pepsin	pepsin
pepsinhavin	peptic
Per	(sern.)renna frá Peri til Pól run from pillar to post
pera	1(plfr.)pear2(ravm.)(light) bulb
perfektionistiskur	perfectionist(ic)
perfektonistur	perfectionist
pergament	(sø.)parchment; (til bókbindingareis.)vellum
pergamentsbind	parchment binding; vellum (binding)
pergamentsgulur	parchment
pergamentskendur	parchment-like
pergamentsleður	parchment leather
pergamentsrulla	parchmentel.vellum roll
periferi	(stfr.)periphery; síumfar
perikum	(plfr.)sípirikum
perilstalstikkur	(lækn.)peristalsis, peristaltic movement(s)
perilstaltiskur	(lækn.)peristaltic(t.d.movement)
pering	(stjfr.)perigee
periskop	periscope; sískimi
perkin	(stb.)sípertin
perl	(kvæð.)a type of fine silkel.satin material
perla1	1pearl2(fl.m.um fólkel.lut) gem, treasure, pearl;ein perla í føroyskum skaldskapia perfect gem of Faroese literature3(úr glasi, viðio.tíl.sum ikki er gjørd at líkjast rættiligari perlu) bead4percussion cap, detonator5(sj.vágpirra) styel.stye(fltstyesel.sties)6(stb.)very small potato
perla2	1bead, form (in) bead;sveittin perlaði av honumbeads of perspiration stood out on his forehead2(um vín) sparkle, effervesce
perluarmband	pearl bracelet
perluband	pearlel.bead necklace, (pearl) collar, (stórt) rope of pearls
perlubanki	pearl bank
perlubinding	moss stitch
perlublóma	(plfr.)grape hyacinth(Muscari)©iStock
perlubroderaður	embroidered with beadsel.pearls, beaded, pearled; beadwork(t.d.a beadwork headdress)
perlubrodering	beadwork; (við ektaðum perlum) pearl embroidery
perludánaður	pearl-shaped
perludyr	bead curtain
perlugráur	pearl grey
perlukavari	pearl diver, pearl fisher
perlukendur	pearly, pearl-like
perluleykur	(plfr.)pearl onion(Allium ampeloprasum)
perlulitur	pearl grey
perlulíkur	pearly, pearl-like
perlumóðir	mother-of-pearl
perlumóðurskin	iridescence, pearly lustre
perluportur	(bíbl.)pearly gates(flt)
perlur	(kvæð.)síperl
perlusettur	pearl-studded
perluskapaður	pearl-shaped
perluskel	(dýr.)pearl oyster shell
perlutógv	pearl cotton
perluvond	(jarðfr.)perlitic/perlite structure
perma	(bókab.)board, side, binding
permumynd	cover design
permutekning	cover design
permøld el.permtíð	(jarðfr.)Permian
pers	(stb., sj.)sípersa1
persa1	(gl.)sífarg1
persa2	press(t.d.beef; figs; hay; steel)
Persaraflógvi	(sern., landafr.)Persaraflógvin the Persian Gulf
persi	Persian
Persia	(sern., landafr.)Persia (nú Iran)
persilla	(plfr.)(curled) parsley(Petroselinum sativum)©iStock
persiskur	Persian
persónbending	(málfr.)personal inflection
persónbilur	(passenger) car
persónbók	(løgfr.) [tinglýsing] register of marriage contracts, chattel mortgages and declarations of legal incapacity
persóndyrkan	cult of personality, personality cult
persóngera	personify
persóngerð	personification
persóngering	personification
persónleikaklovin	(lækn.)who suffers from dualel.split personality
persónleikaklovning	(lækn.)dualel.split personality
persónleikakloyvdur	(lækn.)who suffers from dualel.split personality
persónleikakloyving	(lækn.)dualel.split personality
persónleikamenning	the development of personality, personal development
persónleikaólag	(sálfr.) personality disorder
persónleikaskipan	(sálfr.) personality structure
persónleiki	character, personality
persónleysur	(málfr.)síópersónligur3
persónligur	1personal;siga sína persónligu meininggive one's personal opinion;persónligt brævpersonal letter2[sumhj]persónliga;tosa við ein persónligahave a personal interview//conversation with sby,(tlf.)personal call, (am.)person-to-person call;eg haldi persónligapersonally I think,(tlm.)if you ask me(t.d.if you ask me it should be done this way)
persónlýsing	(bókm.)(tað at) delineation of character; (ítøkiligt) character sketch; (stutt) thumbnail sketch
persónmenska	sípersónleiki
persónsfornavn	(málfr.)personal pronoun
persónsfrádráttur	personal allowance, personal deduction, personal exemption
persónssamband	(stjm.)personal union;hava persónssamband viðhave/form a personal union with
persónstal	(uml.)civilel.civic registration number; personal code, identification number; social security number;(st.p-tal)
persónur	1person(serst. viðv.tignarstøðuel.týdningi) personage2(í sjónleiki, bók) character, (í sjónleikieis.)dramatis personae; (sjónleikararnir) the cast
pert	íosb. mitt um pertin the middle/in the centre/halfway between;vit skifta sundur mitt um pertwe divide it into two equally large parts
pertin	1(um plagg, of clothing) rather tight, rather tight-fitting/close-fitting;troyggjan er so pertinthe jersey is rather tight;buksurnar eru so pertnarthe trousers are rather tight-fitting2(um kúgv, of cow) with a tight hide
Peru	(sern.) (sern., landafr.)Peru
perubúgvi	Peruan
peruiskur	Peruan
perutræ	1(plfr.)pear tree(Pyrus communis)2(viðurin) pearwood
peruvaksin	pyriform
perversitetur	sexual perversion
perversur	sexually depraved, perverted, unnatural(t.d.an unnatural crime, vice);kynsliga perverst fólka (sexual) pervert
pes	sípesja
pesja	1(á seyði, on sheep) old unshorn matted wool on sheep;ær, sum ikki hevur verið í rætt, kann ganga við tveimum ella fleiri pesjuma ewe which has avoided being driven into a sheepfold (and thus avoided being shorn) can have two or morepesjur2(kvæð.)woollen coat3uncombed, tousled hair, shock of hair
pesjutur	(um seyð, of sheep) with old matted wool
pesjær	ewe with matted wool
pessarur	pessary, diaphragm, cap
pest	(lækn.)plague;tað luktar sum pestinit is foul-smelling;skýggja ein//eitt sum pestinashun sby//sth like the plague
pestaður	noxiousel.mephitic air, foul (stench); pestaðurroykurnoxious smoke
pestbøli	pest hole;(fl.m.)den of vice; plague spot
pestfongdur	(lækn.)plague-stricken
pestheilivágur	(lækn.)anti-plague serum
pestkendur	pestilential
pestlíkur	pestilential
pestloppa	rat flea(Xenopsylla cheopis)
pestsjúklingur	plague patient, plague case
pestsjúkur	(lækn.)suffering from the plague(GG:there were 50 plague cases)
pestsmittaður	plague-infected
pestsvullur	(lækn.)bubo(fltbuboes)
pestur	sípest
petrolium	(til lýsio.tíl.)kerosine(GG:varð fyrreis.stavaðkeroseneog verður íOngl.tíðum nevntparaffinel.paraffin oilel.oil);(rápetrolium, steinolja) petroleum, crude oil
petroliumslampa	paraffinel.kerosine l (tíðum) oil lamp
petroliumsovnur	oil stove
petta	break, tearel.cut into small pieces, tear to pieces, tear up(t.d.paper); pettasundurtear up
petti	1short dinstance; (um jørð) patch, small stripel.piece of land; part(t.d.go part of the way on foot; part of the territory was annexed);hon gekk tað pettið, ið eftir var oman til hússhe walked the short distance down to the house;eitt petti av jørða small piece of land2piece(t.d.a piece of cake//chalk//paper//wood; tear a piece off a newspaper); bit(t.d.a bit of string; a crumpled bit of paper); (brot) fragment, (broken) piece, scrap; snippet(t.d.of cloth//paper//the story); (av talu, songi) snatch(t.d.a snatch of a song); splinter; (avskorin flís) slice(t.d.of bread//cake//melon); cut(t.d.a cut off the joint); (av sukri) lump, cube; (avskorið plagg) end; (av jarnbreyt, telegraflinju) section; (tekstabrot) passage(t.d.that beautiful passage from "Hamlet"); (partur av lógargrein) subsection(t.d.in subsection two of section four);fara í petti(r)go to pieces, go/fall/come to pieces;vera í pettumbe smashed to pieces;ikki petti(ð)nothing at all;eg veit ikki pettiI know nothing;tað ger ikki pettiit doesn't matter;hann er ikki petti svangurhe's not hungry3(niðr.)squirt, shit, creep, bastard;hann er eitt ónæriligt pettihe's a creep4(sj., stb.)genitals of a woman
pH-stigi	(evnafr.)pH scale
pH-virði	(evnafr.)pH valueel.factor
pi1	1phi2(stfr.)phi (= 3, 14159...el.22/7)
pi2	síkenning2;eitt lítið pihave a drop too much
pianetta	(tónl.)pianette
pianistur	(tónl.)pianist
piano	(tónl.)piano, upright piano, pianoforte;spæla pianoplay the piano
pidginmál	pidgin
piða	pick (the meat from the bone)
piðaður	skinny, bony, scraggy, scrawny, emaciated;hann var piðaður allur, sum hann var, bara húð og beinhe was all skin and bone;sum piðað rælike a picked carcass;sum ein piðaður lundi(rak) extremely skinny
pikk	1tap, (of birds) pecking2(spæl)game of tag;spæla pikkplay tag3resentment, grudge, rancour;fáa/hava pikk eitt til e-nconceive a grudge against sby4hvørt nikk og pikkgoods and chattels, traps, paraphernalia5pikkini[a particular Faroese knitting pattern]
pikka1	(barnam., stb.)louse
pikka2	1(um fugl, of bird) peck; pikkakornpeck at corn;pikka maðkarpick up worms;pikka í segeat corn2tap(t.d.tap lightly on a door);pikka á barometriðtap on the glass (barometer);hann sat og pikkaði við fingrinum niður í borðiðhe was drumming on the table3(um klokku, of clock) tick4(spæl)game of tag5tað pikkar smáttit is going slowly(t.d.eating; fishing);smátt (smáum) pikkar áprogress is slow;smátt pikkar ía little is better than nothing, every little bit helps
pikkfall	(sigl.)peak halyard
pikkhamari	(handv.)pick hammer
pikkolofloyta	(tónl.)piccolo
pikkspæl	game of tag
pikkubarn	(sj.)sípinkubarn
pikkulítil	sípinkulítil
pikkumæ	(barnam.)small lamb
pikles	pickles
pikrinsýra	picric acid
piks	(óregl.)sípyks
piksil	pixel
piksur	(sigl.)síkrøkjari
pikti1	(sø.)Pict
pikti2	(sø.)Pict
piktiskur1	(sø.)Pict
piktiskur2	(sø.)Pict
pilk	1picking (at sth), fiddling2(um fólk,serst.barn) meddler
pilka	1pickel.take sth to pieces; pilkarækjurshell shrimps;pilka nøspick one's nose;pilka burturúrchoose, pick out, select;pilka sundurpick/pull to pieces;pilka viðfeel, finger, handle(t.d.a material);ikki pilka við!don't handle it!;sita og pilka(um børn, of children) be toying with/picking at the food;pilka próvførsluna sundur hjá e-mpull sby's arguments to pieces, tear sby's arguments to shreds2(um fugl, of bird) preen, arrange its feathers with its beakel.bill;fuglurin pilkar særthe bird is preening itself3fiddle with(t.d.a button), fidget with(t.d.one's tie), feel, finger, handle; pilkavið e-tfiddle with sth, fidget with sth (handska, handfara) feel, finger, handle(t.d.a material)4jig, catch with jig
pilkaformur	jig mould
pilkandi	íosb. pilkandi rotinrotten to the core
pilkur	1jig (metal lure)2fowling implement (pole with a nose)
pilkutur	1meddlesome2(tlm.)fussy, fuddy-duddy; pernickety; dilatory, which requires fiddlyel.intricate work;hatta er so pilkut at fáast viðit is a time-consuming task;tú ert so pilkutur, tú verður ongantíð liðugur við hattayou are too fussy you'll never finish the job
pill	1(stb.)small boy's penis2(stb.)genitals of a woman
pillari	(lækn.)pill, pellet; (stórurserst. dýralfr.)bolus
pillbýttur	(óvand.)bloody moronic, bone-headed, fatuous, crassly stupid, oafish,(tlm.)thick
pilli	(stb.)sípill1
pillsvakur	(óvand.)(stark) raving mad
pillur	(stb.)sípill1
pillørur	(óvand.)(stark) raving mad
pilsnari	lager
pilsnarøl	lager;ein fløska av pilsnarølia bottle of lager
piltalið	(ítr.)football team of boys up to twelve
piltur	small boy
pimpa	tipple, booze
pimpari	tippler
pimping el.pimparí	tippling, boozing
pimpsteinur	(jarðfr.)pumice; eis.viksteinur
pingpong	síborðtennis
pingvin	(dýr.)penguin(Sphenisciforme)
pinja	(plfr.)(stone) pine(Pinus pinea)©iStock
pink	pink spots on salt fish caused by bacteria(Pseudomonas salinariaogSarcina littoralis)
pinka	1small girl2small thing, small loafel. drýlur; baka eina pinkubake a small loafel. drýlur
pinkalítil	sípinkulítil
pinkubarn	infant, baby
pinkubarnaaldur	infancy, early childhood
pinkubarnadeild	(lækn.)nursery
pinkubarnadeyði	infant mortality(t.d.a high//low infant mortality)(GG:the enormous death rate among infants)
pinkubarnaheim	infant home; (vøggustovao.tíl.)crêche, day nursery
pinkubarnarøkt	the care of babies
pinkuból	babynest
pinkuland	sísmáríki
pinkulingur	tiny little person, dwarf, gnome, a man of diminutive stature
pinkulítil	quite small, little, tiny;ein pinkulítil løtaa tiny little moment
pinkumeginland	(jarðfr.)microcontinent
pinkur1	sípinkulingur
pinkur2	sípink
pinkuríki	pocket state, microstate, village state, Lilliputel.midgetel.pigmy state; sísmáríki
pinkutjarnaks	(plfr.)lesser pondweed(Potamogeton pusillus)© Christian Fischer
pinkutur	sípinkulítil
pinnabitar	canapé on a cocktail stick
pinnaboltur	(handv.)stud (bolt)
pinnabrenni	(tlm.)kindling wood, kindling(s);høgga pinnabrennisplit/chop wood for kindling
pinnamatur	canapé on a cocktail stick
pinnamynd	(stfr.)bar diagram
pinnapakkaður	sípinnpakkaður
pinnasegl	(bát., stb.)síspritsegl
pinnaskøta	(fisk., stb.)sítindaskøta
pinnaspæl	1tip cat2[a game involving, among other things, hitting away a stick which is placed across two stones]
pinnastillur	stock still, absolutely still, quiet as a mouse;sita pinnastillursit as quiet as a mouse
pinnastívur	stiff as a poker
pinnatráður	(stb.)barbed wire; sípíkatráður
pinnaverk	ricketyel.flimsy foundations//structureetc; hasar trætrappurnar eru sum pinnaverkthose wooden stairs seem rather rickety/flimsy;hasi húsini eru sum pinnaverkthat house seems rather rickety/flimsy;møplarnir eru sum pinnaverkthat gimcrack furniture
pinnpakkaður	chock-full, crammed, cram-full, full to overflowing, packed(t.d.bus);tað var pinnpakkað við fólkthe room was crammed full
pinnstillur	sípinnastillur
pinnstívur	sípinnastívur
pinnur	1stick;(tilt.) við pinn og skinnwith goods and chattels, with traps, with paraphernalia; (spæl)spæla/sláa pinnsípinnaspæl2;(tilt.) standa sum pinnur í lortibe dumbfounded2(á klokku, of a clock) hand;stóri pinnurthe minute hand, the long hand, the big hand;lítli pinnurthe hour hand, the short/little hand3match;brestur pinnurspent/dead match
pipar	pepper;ynskja e-n, har piparið grørI wish he were at Jericho
piparargur	(sj.)trembling with rage
piparfrukt	(plfr.)capsicum(GG:stuffed peppers),(am.)(bell) pepper
piparfuglur	(fugl.)toucan(Rhamphastos)Rhamphastos ©iStock
piparílat	pepper shaker, pepper pot, pepper castor
piparkorn	(plfr.)peppercorn
