ø	(málfr.)vowel, /ø:/
øsingarskriving	sensation mongering, yellow journalism
øsingartíð	troubled time;í eini politiskari øsingartíðin a politcally troubled time
øsishvítur	(seyðal.)síøshvítur
øska	ashes; (serstakt øskuslag) ash(t.d.bone ash; volcanic ash);brenna til øskube burnt to ashes,leggja í øskureduce to ashes;hvørt einasta sprek var í øskuthere was nothing left, everything had been charred;(tilt.) fara (út) at vaska øskuna av sær (i.e.go fishing again after a prolonged period of rough weather);(skaldsk.) hann, ið alist við øsku inni, lítið í leikum dugirhe who always stays in will never be up to much;(tilt.) ikki stingst fingurin í øskuna/øsku fyri honumone can't move an inch without his knowing it (and speaking about it);í sekk og øskusackcloth and ashes;úr øskuni í eldinout of the frying pan into the fire
øskra	> tað øskrar meg it makes me shudder;øskrast viðshudder, shiver, tremble
øskubakki	ashtray
øskubikar	ashtray
øskubrandur	(kvæð.)íosb. heima í øskubrondumat home raking the ashes
øskubøkil	lump of ash
øskudagur	1Ash Wednesday2stormy day;ein rættiligur øskudagura stormy day3wasted day
øskudólgur	person who sits raking the ashes; dullard, good-for-nothing, idler, layabout;hatta er tann øskudólgurin, ið erhe's a good-for-nothing
øskudrongur	(kvæð.)síøskudólgur
øskudungi	heap of ashes
øskufísa	Cinderella;ævintýrið um øskufísuthe fairy-tale of Cinderella
øskufísur	1síøskudólgur2(gl.)[troll in the ashes (used to frighten children so that they did not rake the ashes)]
øskufjøður	tail fin of halibut
øskufoysa	(stb.)slut
øskugosfjall	(jarðfr.)ash cone
øskuhirðil	síøskudólgur
øskuhurð	ashpit door
øskuílat	ash bin
øskukalt	burned out, gone out; øskukaltvar um morguninwhen they rose the next morning, the fire had gone out
øskukrás	(kvæð.)titbitordelicacy baked in the ashes
øskulittur	1ash-coloured;grasstráini vóru øskulittthe leaves of grass were ash-coloured2(seyðal.)ash-gray
øskulitur	pale grey colour
øskuónsdagur	(stb.)síøskudagur
øskuregn	ash shower, ashfall
øskurok	drifting of ash;um náttina kom øskurok úr Íslandiduring the night volcanic ash came drifting from Iceland
øskuskeið	(ash) shovel
øskuskuffa	ashpan
øskuspann	ash bin
øskutrygil	ashtray
øskutøð	(peat) ash used as ferilizer
øsn	noise, din, uproar, rummaging about;við øsn og gangrummaging noisily about;tá ið tað fyrsta øsnið av gleði var tagnaðwhen the rapture had eventually died away
øsna1	(bíbl.)she-ass
øsna2	make a noise, create disturbance; waste time on sth of no importance;hvat øsnast tú við?what are you doing?;statt ikki og øsnast uppi yvir hasumdon't waste your time on that
øsnufoli	(bíbl.)ass's foal, ass's colt
øsnutur	talkative, chatty, gabby, loquacious, garrulous; full of nonsense;nakað øsnutur er hann við hvørthe's sometimes too talkative
øsp	1(plfr.)poplar, aspen(Populus)2poplar wood, poplar timber;(am.tíðum) cottonwood, aspen wood;húsini góvu seg illa, sum vóru tey av øspthe house was creaking and groaning as if it was made of poplar wood;hann er ikki av øsphe is no fool, there are no flies on him; he is no weakling
øspabuttur	(stb.)useless piece of wood
øspvongur	(firv.)suspected(Parastichtis suspecta)© Wikimedia Commons
øsreyður	red-throated
øssvartur	black-throated
øssvartur lómur	(fugl.)black-throated loon(Gavia artica)(Linnaeus, 1758)Gavia artica ©iStock
øt	(plfr.)herbs used for dyeing yarn, wooletc (serst.sortugras og mjaðarurt,espcrane's bill and meadowsweet)
øtan	terror, fright; horror;við bivan og øtantrembling with anxiety
øtandi	1frightening, terrifying; terrible; unpleasant, comfortless, cheerless; dismal, disgusting, loathsome, sickening, ghastly(t.d.sight, story); grisly(t.d.all the grisly details); horrifying, gruesome; síeis.øgiligur, ótespiligurogræðandi2[sumhj](sj.) øtandi ørurstark, staring mad
øtast	be frightenedel.terrified, dread; shiver, shudder, tremble;hon øtast við taðshe trembles/it makes her shudder to think of it,(eis.)she dreads the thought of it
øtiligur	1frightening, terrifying;undan toruslátti, tá ið himmalin er bikasvartur og øtiligurbefore flashes of lightning when the sky is coal-black and ominous;(kvæð.) fram kom riddarin Jústin jall, øtiligur at síggjaEarl Jústin, the knight, stepped forward, his appearance was terrifying2giant, gigantic, colossal, immense, enormous, huge, stupendous; uncountable;ein øtiligur fuglaskarian enormous flock of birds;øtiligur munura colossal difference3[sumhj]øtiliga;øtiliga stórurgigantic, enormous
øtla	(um veður, of weather) increase, get rougher;hann øtlar veðrið/veðrið øtlarthe weather is getting worse/is deteriorating;hann øtlaði sjógvinthe sea got rough(er);hann fór at øtla vindin móti kvøldithe wind rose towards the evening
øtuligur	síøtiligur
øva1	(um illveður, streym, pínuo.tíl.,of weather, tide, painsetc)increase, grow, get strongerel.worse;hann øvir upp afturthe wind is getting stronger;alt øvdi hann vindin meira og meirathe wind grew stronger by the minute;nú er hann farin aftur at øvathe current is getting stronger;øva uppáget worse;tað øvdi uppáthe pain was getting worse and worse;øva sær (upp) ímóti (e-m)oppose; (ógvisligari) set one's face against(t.d.a proposal); stand out against;øva sær ímóti tí (eis.)put one's foot down; dig in one's heels;maðurin øvaði sær ímótithe man (her husband) opposed it;henda tyttan øvaði sær ímóti, tá ið eg høgdi klørnar í hanathe hussy offered resistance when I grabbed hold of her
øva2	(tlm.)train, exercise(t.d.one's memory//one's voice), practise(t.d.he practises every day for several hours); (um vøddavenjing) exercise
øvigur	reversed, converse, turned round, backwards;(skaldsk.) øvigur mátti jallurin leypa aftur á Jarnbarð breiðathe earl had to make a backward jump back to his ship the Jarnbarður
øvrigheit	(gl., tlm.)øvrigheitin the authorities;teir góvu hann upp fyri øvrigheitini í Havnthey reported him to the authorities in Tórshavn;Hargarbóndin meldaði stuldurin til øvrigheitinathe farmer from Hørg reported the theft to the authorities
øvugdømi	contrary term
øvugur	1síøvigur,øvutur22harsh (words);eg hoyrdi ongantíð øvugt orð av hansara munniI never heard him utter harsh words;tað varð ikki øvugt orð talað í húsinumharsh words were never uttered there
øvund	envy, jealousy
øvunda	envy, grudge, begrudge; be envious of; øvundae-n/øvunda e-m (e-t)begrundge sby sth;hinir útróðrarmenninir í bygdini øvundaðu hannthe other fishermen of the village were envious of him;stjúkmóðirin øvundaði altíð hina eldru gentuna, tí at hon var so fríð sum hin fagrasta summarsólthe foster mother had always envied the older foster daughter's beauty because she was as fair as the summer sun;ikki tí, at hann øvundaði nøkrum gleðinait wasn't that he envied them their joy;klandrast og øvundastbe bickering and envious;eingin kundi meta seg við hann, og vóru tað tí summir, ið øvundaðustnone of them was his equal and some of them therefore envied him;(tilt.) eingin øvundar olmussumanninno one envies a poor wretch;(tilt.) betri er at vera øvundaður enn harmaðurit's better to be envied than pitied
øvundarkona	(gl.)female enemy, a woman who bears a grudge against sbyorwho is jealous of sby
øvundarmaður	enemy, a man who bears a grudge against sbyel.who is jealous of sby, sby envious of sby;(tilt.) Guð náði hann, ið ongan hevur øvundarmanninmay God have mercy on those who have no enemies
øvundarorð	envious word, words of envy;hava øvundarorð móti e-mspeak enviously of sby
øvundarverdur	enviable;úrslitið er so gott, at tað er øvundarvertthe result is so good that it's enviable, it is an enviable result
øvundismaður	(gl., tlm.)síøvundarmaður
øvundsjúka	envy;elva til øvundsjúkuarouse envy(t.d. eis.he is eaten up with envy of me);um at skrædna av øvundsjúkube green with envy
øvundsjúkur	envious;vera øvundsjúkur (inn) á e-nenvy sby sth, be envious of sth/sby;hon var øvundsjúk á systrinashe was envious of her sister, she envied her sister sth
øvundsmaður	(stb.)síøvundarmaður
øvutbeinur	(um kós) opposite
øvutikjaftur	(fisk.)síglaskvoysa
øvutumegin	on the wrong side;altíð lá teymurin øvutumeginthe sood/snell always lay on the wrong side
øvutur	1the wrong side out(ward), turned the wrong way (round), reversed, turned inside out;fara øvutan veggo in the opposite direction;troyggjan vendir øvutthe jersey has been turned the wrong side out(ward);øvut títhe opposite/the contrary2backward;hann fór øvutur úthe backed out;detta øvuturfall backwards;hann sprakk øvutur niður av garðinumhe made a backward jump down from the fence3øvut orðharsh words;tað var ikki øvut orð teirra millumthey never exchanged harsh words;tá ið tú vart burtur, varð ikki talað øvut orð her í húsinumharsh words were never spoken here while you were away4(plfr.)resupinate
