d	(eis. tónl.)D, d
dekk	1(skip.)deck(t.d.one-deck vessel; two-deck vessel; lower deck; weather deck);við dekkidecked;við ongum dekkiundecked;á dekkinumon deck;allir mans á dekkið!all hands on deck!spula dekkswab the decks2(húsasm.)floor3(á akfari) tyre,(am.)tire
dekka	(ítrótt.) síverja
dekkari	(sjóm.)deckhand; (olju) roustabout
dekkbátur	sídeksbátur
dekklisti	1capping2(byggl.:til klædningsplátur) splat
dekkspor	tyre track
dekktrýst	tyre pressure
dekkur	(gl., skip.)sídekk
deknur	(kirkj. uml. =)parish clerk
deksbátur	(bát.)decked boat
deksbjálki	(skip.)deck beam
deksdrongur	(skip.)(ship's) boy;(serl.á fiskiskipi) deckie(-learner)
deksfar	decked vessel
deksfarmur	(á skipiel.báti) deck cargo
deksglas	(skip.)deck light;runt deksglasbull's-eye deck light
deksgluggi	(sigl.) skylight
dekshús	deck house, doghouse
dekshædd	(skip.)freeboard
dekslast	(skip.)deck cargo
dekslúka	(skip.)hatch; (lítil) scuttle; (opið) hatchway
deksmaður	sídekkari
deksmanning	(skip.)deck hands
deksplanki	(skip.)deck plank
dekspláss	(á skipi) steerage;ferðast á deksplássitravel steerage
deksportur	(skip.)port
deksstólur	(skip.)deck chair
deksstútta	(skip.)deck pillar, stanchion
dekstúrur	sídeksvakt
dekstørn	sídeksvakt
deksvakt	1service on deck2deck hands
deld	(stn.)small valley
delfin	(dýr.)common dolphin(Delphinus delphis)© Wikimedia Commons
demens	síminnissvinn
demma	dam
demokrati	sífólkaræði
demokratisera	democratize
demokratisering	democratization
demokratiseringstilgongd	process of democratization
demokratiskur	sífólkaræðisligur
demokratisma	democratism
demokratur1	(niðr.)pseudo-democracy, sham-democracy
demokratur2	sífólkaræðingur
demonstrantur	símótmælisfólk
demonstratión	símótmælisgonga,sýning
demonstrera	símótmæla,sýna (fram)
denotatión	denotation
dent	sídentur
dentildrív	sídanguldrív
dentilhóv	sídanguldrív
dentur	1diligence, industry2interest3emphasis,leggja dent á e-tmake a point of sth(t.d.of accuracy), stress sth, lay stress on sth, set great store by sth, attach (great) importance(el.weight) to sth(t.d.we attach great importance to this treaty), emphasize(t.d.his speech emphasized the importance of attracting industry to the town), endeavour to(t.d.I will endeavour to do my best for my country)
deodorant spray	deodorant spray
deodorantstift	deodorant stick
deodorantur	deodorant
depil1	1dot, spot2point
depil2	centre;(am.)center
depla	(skaldsk.)spot, fleck(t.d.the fabric was red, flecked with gold)
deplutur	(seyðal.)spotted
dergur	sídorg
dermatologi	dermatology
dermatologur	dermatologist, skin specialist
dertingur	nonentity; nobody(t.d.he is a mere nobody); person of no account
des	haystack
desasneið	(gl.)harvest festival
desember	December
desembermánaður	sídesember
desembur	desember
desibel	(alisfr.)decibel(st dB)
desigramm	decigram(me)(st. dg)
desilitur	(rúmmál) decilitre(st dl)
desimalur	(stfr.)decimal
desimálbrot	decimal fraction, decimal
desimálrokning	decimal arithmetic;læra desimálrokning í skúlanumlearn decimals at school
desimálskipan	decimal system; (myntskipan) decimal currency;fara yvir til desimálskipandecimalise(t.d.weights and measures),(tlm.)go decimal
desimáltal	decimal figure; decimal numeral
desimálur	decimal
desimálvekt	decimal balance
desimetur	(mát)decimetre(st dm)
desmin	(lívfr.) desmin
dessert	sweet, dessert; afters(t.d.we had figs for afters);(tlm.)pudding
dessertfat	dessert dish
dessertfrukt	dessert fruit
dessertgaffil	dessert fork
dessertkirsuber	sweet cherry
dessertknívur	fruit knife
desserttallerkur	dessert plate
dessertvín	dessert wine
destillatión	distillation, distilling
destillatiónsskipan	distilling plant
destillatiónstól	distilling apparatus, still, distiller; (í skipi) freshwater generator
destillera	distil
destin	boastful, bragging
detalja	sísmálutur;æs
detektivfilmur	detective film
detektivsøga	detective story
detektivur	detective;Sgumshoe
detta	1fall, tumble, tumble down(el.over), topple down, flop down2beat, pound3[ísamb. viðfs/hj]detta á:1regnið datt áit started raining2just manage,vit duttu á taðwe just managed it3aldur var dottin á hann he had begun to look old;detta afturfrá(t.d.í gongu) fall behind, lag behind;(sigl.)fall astern;detta afturumsídettaafturfrá;detta av1doze off, fall asleep2fall off(t.d.a horse)3break,tráðurin datt avthe thread broke4(um vind) become calm5(í fuglaveiðu) stop, cease, leave off6(drukkin) pass out;detta burturvanish, disappear, be lost;detta burtur ímillumbe outdone, be outstripped, be put in the shade;detta burtur úr rovum, sírov;sí eis.: detta burtur ímillum;detta fram ácome across, stumble upon, pick up(t.d.I picked up that chair in Italy);detta inn ádetta inn á gólviðpay a visit, look in, drop in, call in(t.d.he occasionally looks in here);detta í:mær datt í hugit occurred to me, it struck me, it crossed my mind, it entered my head;detta niðurfall down(t.d.the picture has fallen down); drop (down); tumble (down);(flogm.)crash(t.d.the plane crashed in flames);(t.d.í gongu) lag behind, be unable to keep up;detta niðurfrásíafturfrá;detta niðurfyricome to nothing;detta niðuryvir:náttin dettur niðuryvirnight is falling;detta omanfall down from cliffs;detta sundurfall apart, fall to pieces;detta um:fall down, tumble down, come down, drop(t.d.he came down(el.dropped) like a felled ox); (smokka saman) collapse(t.d.with fatigue);detta um av látri (tlm.)fall about;detta úr:tað hvørki datt ella drap úr honumhe did not utter a word; he was positively taciturn;detta útí1fall into the water, fall in2(fl.m.) fall off the wagon3(detta í felluna) walk into a trap; (gera mistak) slip;detta uppeftirbe amazed, be astounded, be taken aback, be disconcerted; (ógvisligari) be dumbfounded, be nonplussed;(tlm.)be gobsmacked
devil	sídevul
devul	devil,(illb.) for devulin!;devulin steiki!hell!, (oh) damn!, (oh) blast!;hví devulin náddi tú ikki tokið?why the devil didn't you catch the train?
devulsligur	sídjevulsligur;hj-liga
devulsoyra	(sj., stb., bát.) sílúsoyra
devulssettur	1damned, cursed, accursed, confounded2mðlv: devulssett!damned!, confounded!
devulsskapur	a nuisance(t.d.I think cars are a nuisance); abomination,(t.d.nuclear arms and that sort of abomination)
devulstíð	(illb.)hell, no!
deyda1	slowcoach,(am.)slowpoke, idler
deyda2	(plfr.)stonecrop(Sedum)
deydakendur	sídeydasligur
deydasligur	slow in(el.on) the uptake, slow off the mark(GG:the authorities are dragging their feet)
deydligur	1lifeless2boring(t.d.a boring evening), tedious, dull, slow3sad;hj-liga
deydningabein	dead men's bones;krosskastað deydningabeincrossbones
deydningadansur	dance of death
deydningahøvur	death's head, skull;deydningahøvur við tveimum krosskastaðum beinumskull and crossbones
deydningur	(lík) corpse, (dreygur) ghost, spectre; (beinagrind) skeleton
deyð	í osb: við neyð og deyð with difficulty; only just(t.d.we only just caught the train); barely(t.d.I barely managed to crawl upstairs);(tlm.)by the skin of his (, her) teeth(t.d.he just got into university by the skin of his teeth); a near thing,eg náddi tokið við neyð og deyðI caught the train, but it was a near thing;eg slapp undan við neyð og deyðI had a narrow(el.hairbreadth) escape; I escaped by the skin of my teeth; it was a close shave;tað var við neyð og deyð at hann ikki druknaðihe narrowly escaped drowning
deyða	(kvæð.)slay
deyðaaks	(gl.um korn) empty ear
deyðaangist	fear of death; (ring angist) mortal dread(el.fear), agony (of fear)
deyðaatvold	cause of death(t.d.the police inquired into the cause of death; the cause of death was poisoning)
deyðaár	year of his (, hero.s.fr.)death
deyðabangin	sídeyðaræddur
deyðableikur	deadly pale, pale as death, cadaverous, livid
deyðaboð	sídeyðsboð
deyðabrekaður	marked(t.d.he was then already a marked man), doomed
deyðabrot	1í osb: tað var við deyðabrotit was by exerting all our strength2death struggle, agony, death throes
deyðabúgv	estate of a deceased person;sita í óskiftum (deyða)búgviretain undivided possession of the estate
deyðadagur	death-day, day of sby's death;tað fari eg at minnast til deyðadag(s) I shall remember it till my dying day;til deyðadag(s) till the day of my death
deyðadansur	the Dance of Death
deyðadómur	(løgfr.)death sentence, sentence of death;(fl.m.)death warrant(t.d.this was the death warrant of the party; in doing this he signed his own death warrant);fella deyðadómpass a sentence of death
deyðadráttur	(skaldsk.)death struggle, agony, death throes
deyðadrukkin	dead drunk,(tlm.)blind (to the world), plastered
deyðadums	carelessness, indifference, recklessness, apathy
deyðadýrd	dead calm
deyðadømdur	sentenced(el.condemned) to death; the scheme has not got the ghost of a chance);klivi teirra deyðadømduthe condemned cell;(am.)the death cell;tann deyðadømdithe condemned man (, woman);(fl.m.)doomed(t.d.our plans are doomed; Europe is doomed; the scheme is doomed in advance(el.is foredoomed to failure);ætlanin er deyðadømd frammanundanthe scheme is doomed in advance(el.is foredoomed to failure); the scheme has not got the ghost of a chance
deyðafall	í osb: deyðafall er á lambinumí osb: deyðafall er á lambinumthe lamb is dying
deyðafíggindi	mortal enemy
deyðagivin	exhausted, dead beat, dead tired
deyðagras	withered grass
deyðagríma	death mask
deyðahald	í osb: standa el. sita við deyðahald(i)cling desperately to something
deyðahavsrullurnar	(sø.)the Dead Sea Scrolls
deyðakaldur	síísakaldur
deyðakav	(kvæð.) komin av deyðakavinarrowly saved from drowning
deyðakossur	kiss of death
deyðakuldi	chill of death
deyðakviðin	mortal
deyðakvirra	dead (, complete) silence(el.quiet)(t.d.a dead silence reigned)
deyðakvirrur	silent as the grave, deathly still
deyðakvøl	(bíbl.)fear of death
deyðakyrra	dead calm sea
deyðakyrrur	dead calm
deyðalega	deathbed;iðranir hansara á deyðaleguhis deathbed repentance;arvabræv á deyðalegudeathbed will;játtan á deyðalegua deathbed confession;á síni deyðaleguon his (o.s.fr.)deathbed.
deyðaleiddur	fed up, bored stiff
deyðalogn	dead calm sea
deyðalýsing	announcement of a death; death notice; (dømi: On March 18, 1994, at 26 King Street, Birmingham, Jessie Smith, second daughter of the late Alexander Smith, and sister of Mrs Alfred Dobbs. Funeral private. No flowers by request)
deyðamannalitur	cadaverous colour, lividness
deyðamein	deadly harm, fatal injury
deyðamerktur	marked(t.d.he was then already a marked man), doomed
deyðamóður	dead tired, dead beat; tired to death(t.d.I'm tired to death of his complaints); dog-tired,(tlm.)whacked,Sbuggered;eg eri deyðamóður (eis.)I am all in;eg eri so deyðamóður av hansara klagumI'm sick and tired of his constant complaints
deyðamyrkur	(bíbl.)deyðans myrkur
deyðamøddur	sídeyðamóður
deyðaótti	sídeyðaangist
deyðapøstur	sídeyðamóður
deyðarað	skeleton
deyðarak	skinny, bony, scraggy, scrawny,hann er deyðarak (eis.)he is all skin and bone
deyðarák	weak tide
deyðarevsing	(løgfr.)capital punishment, death penalty;avtaka deyðarevsingabolish capital punishment(el.the death penalty);fáa deyðarevsingbe sentenced(el.condemned) to death;misbrot sum deyðarevsing er fyricapital offence;deyðarevsing var fyri falsanforgery was a capital offence;undir deyðarevsingon pain of death
deyðaríki	(bíbl.)kingdom(el.land) of the dead
deyðaræddur	dead scared
deyðaræðsla	mortal dread(el.fear), agony (of fear)
deyðasina	withered grass
deyðasjúka	fatal disease, mortal illness
deyðasjúkur	mortally ill, terminally ill, dying;deyðasjúkur av krabbadying of cancer, mortally ill with cancer
deyðaskuggi	shadow of death
deyðaslættur	(um sjógv) dead calm
deyðasong	deathbed;á síni deyðasongon his (, hero.s.fr.)deathbed, when about to die
deyðaspakur	extremely tame
deyðastilli1	(sigl.)dead calm
deyðastilli2	dead (, complete) silence(el.quiet)(t.d.a dead silence reigned)
deyðastillur1	silent as the grave, deathly still;(sigl.)dead calm
deyðastillur2	1silent as the grave, deathly still2(um sjógv) dead
deyðastingur	death blow,geva e-m deyðastinggive sth the deathblow(el.coup de grace);geva særdum dýri deyðastingput a wounded animal out of its misery;geva ætlanini deyðastinggive the plan the kiss of death
deyðastívi	(lækn.)rigor (mortis);deyðastívi kemur írigor (mortis) sets in
deyðastívleiki	rigor (mortis)(t.d.rigor (mortis) sets in)
deyðastrá	liggja á deyðastrá be on one's deathbed
deyðastríð	death struggle, agony, death throes;í deyðastríðiin extremis
deyðastund	hour of death,á hansara deyðastund (eis.)when he was dying, in his last hour, on his deathbed;til mína deyðastundtill my dying day
deyðasuff	death sweat
deyðasvangur	starving,eg eri deyðasvangurI'm starving
deyðasvíkur	(sj.)mortal wound
deyðasynd	mortal(el.deadly) sin
deyðasærdur	mortally wounded
deyðasøk	(bíbl.)blood guilt
deyðatak	í osb: tað er eitt deyðatak at it takes all one's strength to
deyðatal	mortality, death-rate(t.d.a higher death rate, a higher rate of mortality; mortality curve)
deyðatalshagtøl	death-rate statistics
deyðatalsprosent	percentage of mortality, death rate, mortality
deyðatalssannlíkindi	probability of mortality, probable mortality
deyðatekin	sign of death
deyðatíttleiki	death rate, mortality rate
deyðatrá	(sálarfr.)death urge, death wish
deyðatroyttur	dead tired, dead beat, tired to death(t.d.I'm tired to death of his complaints), dog-tired,(tlm.)whacked,Sbuggered,eg eri deyðatroyttur (eis.)I am all in
deyðatystur	parched(t.d.let's get a drink ­ I'm parched)
deyðatøgn	utter silence, dead (, complete) silence(el.quiet)(t.d.a dead silence reigned)
deyðavandi	danger of one's life, mortal(el.deadly) danger;bjarga e-m úr deyðavandasave sby's life;hann var í deyðavandahe was in danger of his life(el.in mortal danger), his life was in danger;seta seg í deyðavandarisk one's life, expose one's life to danger
deyðavatn	(sigl.)dead water; (andligt) backwater;(fl.m.) hava deyðavatn í høvdinumbe unable to think;koma á deyðavatnlose interest
deyðaváði	sídeyðavandi
deyðaváttan	death certificate, certification of cause of death
deyðborin	stillborn(t.d.she gave birth to a stillborn child);ein deyðborin ætlanan abortive project;ætlanin var deyðborinthe project was doomed from the very start, the project was abortive, the project never had a chance(el.never got off the ground)
deyðbóltsstøða	(fótb.)set piece, set play
deyðbóltur	(fótb.)dead ball
deyðburður	(lækn.)stillbirth
deyðfolað	(um fyl) stillborn
deyðføddur	sídeyðborin
deyðgamal	ancient, exeedingly old
deyðgingin	tired out, exhausted (av gongd)
deyðgivin	tired out, exhausted, jaded(t.d.horse),(tlm.)done up, dog-tired, fagged, fagged out, dead beat
deyði	1death(t.d.die a glorious death; a sudden death; his tragic death; his premature death);nú er deyðin í durunumnow death is stalking the streets;hann gekk við deyðanum í hondunumhe was doomed;hatta verður mín deyðit will be the death of me;eins deyð annans breyð[one man's loss is another man's gain];(uml. =)it is an ill wind that blows nobody any good;møta deyðanummeet one's death, lose one's life, perish;líða deyðansuffer death, die, be killed, meet one's death, lose one's life;vera deyðanum nærat death's door, near death(GG:he very nearly died of his wounds);deyðans pylsaa deadly bore,Sa drag;standa andlit til andlits við deyðanface death;í deyðans stundin the hour of death;søkja deyðan fyri egnari hondtake one's own life2(løgfr., formligteis.)decease, demise(t.d.on the demise of the Crown)3(fataður sum persóngjørdur máttur) Death(t.d.no one can cheat Death; the Black Death)4[ísamb.viðfs/hj]frá:bjarga e-m frá deyðasave sby's life, save sby from death;fyri:liggja fyri deyðanumbe on one's deathbed, be dying, be at death's door;í:fara í deyðandie, face death, meet one's death;millum:hann sveimar millum lív og deyðahis life hangs in the balance;(tlm.)it is touch and go with him;til:døma til deyðacondemn (, sentence) sby to death;dømdur til deyðacondemned to death, under sentence of death;hann mintist tað til sín deyð(a)he remembered it till his dying day;keða seg til deyðabe bored to death, be bored stiff;(bíbl.) trúgvur til deyðan(s)faithful unto death;vera búgvin til deyðanbe prepared for death;úr:líkjast deyðanum úr Lybæklook like death warmed up;við:við deyðanum í hjartanumwith death in one's soul;dragast við deyðanbe in one's last throes;morð verður revsað við deyðamurder is punished by death, murder is a capital offence
deyðiligur	1(sum kann doyggja) mortal(t.d.all men are mortal); (sumn)mortal(t.d.we mortals; ordinary mortals)2(lívshættisligur, drepandi) mortal(t.d.mortal wound), deadly(t.d.a deadly blow), fatal(t.d.(alment) a fatal(el.terminal) disease; (um einstakling) a fatal illness, lethal(t.d.lethal dose of poison; a lethal weapon)3(líkur deyða) deathlike, deathly4(ógvisligur) mortal(t.d.mortal fear)5(fl.m.um keðsemi) deadly(t.d.deadly dullness)6hj-liga,mortally, fatally,deyðiliga sjúkurfatally ill; deadly(t.d.deadly dull)
deyðis	í osb:til deyðisto death,komin til deyðis í rakion the point of death due to starvation;bardur til deyðisbeaten to death
deyðísur	(jarðfr.) dead ice
deyðkomin	dying,deyðkomin av pínu (svongd)dying from pain (hunger)
deyðkyrra	completely calm sea
deyðkyrrur	(um sjógv) completely calm
deyðlaðin	(stb.)sísøkklaðin
deyðlamin	paralysed, helpless
deyðleiður	(bíbl.)sídeyðaleiddur
deyðleiki	mortality (rate)
deyðlúgvaður	sídeyðgivin
deyðmaktaður	exhausted, fatigued, tired out
deyðmóður	sídeyðgivin
deyðmøddur	sídeyðgivin
deyðpunkt	(tøkn.)dead point, dead centre;(fl.m.)deadlock, impasse;koma um deyðpunktið (tøkn.)pass (the) dead centre;steðga við deyðpunktiðstop at dead centre
deyðreinsa	(lækn.)disinfect
deyðræddur	dead scared, scared stiff, in mortal fear
deyðsaligur	sídeyðsamligur
deyðsamligur	dull, lethargic, apathetic
deyðsamsligur	sídeyðsamligur
deyðsboð	news of someone's death
deyðsbúarumsiting	administration of an estate (of a deceased person)
deyðsbúgv	(løgfr.)estate of a deceased person;óskift deyðsbúgvundivided estate (of a deceased person)
deyðsbúskiftari	executor(t.d.he was appointed executor under the will)
deyðsbúskifti	administration of the estate of the deceased
deyðseyður	[sheep dead from accident or disease]© Absalon Hansen
deyðsfella	death trap; (eldhættisligur bygningur) fire trap
deyðsgáva	donatio mortis causa
deyðsgong	death row
deyðshjálp	euthanasia
deyðsiglari	(sjóm.)sailing ship, sailing vessel,(t.d.in the sailing ship era); (slupp) smack
deyðsjúka	a fatal illness
deyðsjúkur	fatally ill
deyðskotin	shot dead
deyðslop	death leap
deyðslættur	sídeyðaslættur
deyðsmanssálmur	dirge,syngja deyðsmanssálmarcomplain; be worried
deyðsmessa	mass for the dead, requiem
deyðsorsøk	cause of death(t.d.the police inquired into the cause of death; the cause of death was poisoning)
deyðsótti	sídeyðaangist
deyðspakur	sídeyðaspakur
deyðstungin	stabbed to death
deyðsvangur	ravenous, famished
deyðsvanlukka	fatal accident, fatality
deyðsváttan,deyðaváttan	death certificate, certification of cause of death
deyðsynd	mortal(el.deadly) sin
deyðsærdur	mortally wounded
deyðtíð	downtime
deyðtystur	with burning thirst
deyður	1(lívleysur) dead,deyður og jarðaðurdead and buried,Sunder the daisies, pushing up the daisies;deyður og farindead and gone;deyður ella livandidead or alive;liggja deyðurlie dead; (látast deyður) sham dead, play possum;smella deyður(down) dead, drop (down) dead; inanimate(t.d.a rock is an inanimate object), lifeless2(fl.m.)dead(t.d.that custom is completely dead);deyð vektdead weight; slack(t.d.a slack period; dull(el.slackel.flat) market);Deyðahaviðthe Dead Sea;(tøkn.) deytt punktdead centre, dead point;(fl.m.)impasse(t.d.the negotiations have arrived at an impasse); deadlock(t.d.the negotiations have reached a deadlock)3(sum navnorð)tann deyðithe dead man (, womano.tíl.),the deceased;tey deyðuthe dead;(bíbl.)let the dead bury their dead);tey livandi og tey deyðuthe living and the dead;(bíbl.)the quick and the dead;rísa upp frá deyðumrise from the dead;(tlm.)do a Lazarus;ikki tala ilt um tey deyðude mortuis nil nisi bonum; one must not speak ill of the dead;garður teirra deyðuGod's acre;ríki teirra deyðuthe land(el.kingdom) of the dead;deyð og særddead and wounded;(herm eis.)casualties4(um likamspart: kensluleysur) numb, dead(t.d.the fingers were numb(el.dead) with cold);(lækn.) deyður vevnaðurdead tissue;(lækn.) deytt kjøtslough; (um kolubrand) gangrened tissue5(keðiligur) dull, tedious, dead, dead-and-alive;deyður í tídull, sluggish, listless, stodgy; dozy; (óáhugaverdur) listless, spiritless; (tómur) vacant(t.d.eyes, look), expressionless(t.d.an expressionless face))6(um bólt) dead)7(um ljóð) dead, dull)8(um fólk: dølskur) dead, dull, lifeless, spiritless)9(um pening)deyður kapitaluridle (, dead, dormant) capital)10(sigl.) skipið lá deyttthe vessel was lying stationary; (um kumpass) hang(t.d.the compass hangs)
deyðvekt	(eis. fl.m.)dead weight(t.d.the business carries the dead weight of an enormous debt; children and old people are a dead weight on the community);1000 tons deyðvekt1000 tons dead weight(el.d.w.);deyðvekt tonsataldead weight tonnage
deyðvektslast	(sigl.)dead weight cargo
deyma	stink, reek, smell
deymkorra	(plfr.)coriander
deymur	stench,(tlm.)stink, pong
deysa	tumble, topple; doze off,hon deysaði, sum hon sat framman fyri eldinshe dozed off in front of the fire
deyvalærari	teacher of(el.for) the deaf
deyvamál	sign language(t.d.American sign language)
deyvaskúli	school for the deaf
deyvastovnur	home for the deaf
deyvatulkur	signer
deyvblindur	deaf and blind
deyvdumbur	deaf-mute, deaf-and-dumb;ein deyvdumbura deaf-mute, a deaf-and-dumb person, a surdomute;tey deyvdumbuthe deaf-mutes, the deaf-and-dumb
deyvføddur	born deaf
deyvleiki	deafness
deyvligur	1(um mat) tasteless, insipid, vapid(t.d.vapid beer)2(um fólk) dull, sluggish, lethargic, weak
deyvoyra	a deaf person
deyvur	deaf, hard of hearing,deyvur sum potturinstone-deaf, deaf as a post;hann tosaði fyri deyvum oyrumhis words (, his warning, his appealo.s.fr.)fell on deaf ears; he preached(el.talked) to deaf ears;venda deyva oyrað tilturn a deaf ear
dg	
diagramm	(alisfr.)diagram, graph, chart(yvirof)
diagrammpappír	chart paper
diakonissa	deaconess; nursing sister, welfare worker
diakonur	(gl.)deacon; male nurse
diamantborur	diamond borer, diamond drill
diamantbrúdleyp	diamond wedding
diamanthandil	diamond trade
diamanthandlari	diamond dealer
diamantharður	hard as a diamond;(fl.m.)adamantine
diamanthavin	diamondiferous
diamanthálsband	diamond necklace
diamantkendur	diamond-like, adamantine
diamantklárur	limpid
diamantlega	diamond field
diamantlím	diamond cement
diamantnál	diamond pin; (til plátuspælara) diamond stylus, diamond needle
diamantprýði	diamond ornament
diamantskin	diamond lustre, adamantine lustre
diamantslípari	diamond cutter
diamantur	1(eis, sigl.:bákn) diamond;ektaður diamanturreal diamond;óektaður diamanturimitation diamond, paste diamond;óslípaður diamanturuncut(el.rough) diamond;ráur diamantur síóslípaðurdiamantur;slípaður diamanturcut diamond;svartur diamanturblack diamond2(glarmeistaradiamantur) glazier's diamond3(prent.)diamond
didda	1(little) girl2sister (sum kelinavn)
diddarak	skinny, bony, scraggy, scrawny
diddur	í osb: tað er diddur í honum he is mere skin and bone
diddurak	(sj., stb.)sídiddarak
didrarak	(stb.)sídiddarak
dieselmotorur	(tøkn.)diesel engine, oil engine;dieselmotorur við forkamariprecombustion engine;dieselmotorur við beinleiðis innspræningdiesel engine with direct injection
dieselolja	diesel oil
dieselsmyrjiolja	diesel lubricating oil
digagóður	(óregl.)-sídygðargóður
digaleysur	(óregl.)-sídygðarleysur
digg	(sj.)pottering
digga1	(barn.)duck
digga2	(barn.)tickle
diggast	potter about (with)(t.d.potter about one's garden)
diggudigg	tickle-tickle
diggur	(sj.)drop,ein diggur er eftir í fløskunithere is a drop left in the bottle
digla	1(á skinni) small (black) spot2(lítil) tuft of wool3(skýggj, royk) wisp(t.d.a thin wisp of smoke)
diglutrøstur	(fugl.)mistle trush(Turdus viscivorus)(Linnaeus, 1758)Turdus viscivorus ©iStock
diglutur	(seyðal.)spotted
digst	sídikst
digur	1(um fólk) stout; thick, plump, fat; (um lutir) bulky2(um mjólk) rich
dik	1(gl.)powerful blow, powerful push2exertion, effort,taka dik á el. í segpull oneself together, exert oneself, get going;eitt gott dik framáone big step ahead;taka bátin eitt dik betur framtake the boat a bit further forward3(alisfr.)acceleration
dika	1dika ástrike, hit powerfully2come at speed
dikevni	(um bil) acceleration, accelerating capacity;(tlm.)pick-up
dikferð	acceleration
dikka	(um klokku) tick
dikkast	sídiggast
dikkur	(stb.)dinghy
dikst	(upprfr.) -sídygst
dikt	(upprfr.) -sídygt
diktíð	acceleration time
dild	(plfr.)dill, bishop's weed(Anethum graveolens)
dilkadrongur	(niðr.,stb.)prankster, good-for-nothing, a ne'er-do-well
dilkur	(festival) dish
dilla1	(um móta) fad, craze(t.d.it's the latest craze, it's the craze of the moment, it's all the craze), whim(t.d.the whims of fashion, a passing whim); rage,postmodernisma er tann heilt stóra dillan í løtunipostmodernism is all the rage(el.the big thing) at the moment
dilla2	quiver
dillari	pig, piggy, piggy-wiggy
dimma1	(sj.)sídimmi
dimma2	darken, become dark,gøtur tóku at dimma(the) streets darkened, became dark; make dark
dimmabrúnur	sídimmbrúnur
dimmagráur	sídimmgráur
dimmagrønur	sídimmgrønur
dimmagulur	dark yellow
dimmalætting	dawn, daybreak
dimmareyður	dark red
dimmbláur	dark blue
dimmblettutur	dark spotted
dimmbrúnur	dark brown
dimmbrýntur	with dark eyebrows
dimmevni	(stjfr.) dark matter
dimmgráur	dark grey
dimmgrønur	dark green
dimm helsigás	(fugl.)Brant Goose(Branta bernicla bernicla)(Linnaeus, 1758)© iStock
dimmholdaður	of dark complexion, dark skinned, dark(-skinned), swarthy;(skaldsk.)dusky
dimmhærdur	dark-haired
dimmi1	1dark(t.d.after dark), darkness, gloom;á dimminumin the dusk, in the twilight, in the gloaming;dimmi lættir (av)dawn is breaking2(midnátt á sumri)um dimmiðat midnight
dimmi2	silhouette,eg hómi dimman av landiI can dimly see the silhouette of land
dimmikjarnbítur	evening grosbeak
dimmilíri	[young Manx shearwater which is cought in the dark]
dimmilundi	[young puffin which is caught in the dark];(sk.) taka dimmilundatake a drop in secret, tipple in secret
dimmilætting	sídimmalætting
dimming	dusk, twilight, gloaming
dimmingarseta	(stb.)sískýmingarseta
dimmjarpur	dark brown
dimmleittur	1(um húðarlit) swarthy(t.d.a swarthy complexion; a swarthy face), dark-complexioned, darkish, dusky(t.d.her skin turned a dusky gold in the sun)2dusky(t.d.dusky light inside the cave; dusky pink)
dimmligur	darkish, dusky, rather dark
dimmlittur	dark(-coloured), dark in colour
dimmlýsi	semi-obscurity, half-light; (skýming) dusk
dimmmorreyð ont	(fugl.)American Black Duck(Anas rubripes)(Brewster, 1902)© Henry T. McLin
dimmmorreyður	dark brown; American Black Duck síDimmmorreyðont
dimmorka	(stjfr.) dark energy
dimmoygdur	dark-eyed
dimmprikkutur	dark-spotted
dimmreyður	dark red
dimmskýggjaður	with dark clouds
dimmur	1(við ongum ljósi) dark, obscure2(um lit) dark(t.d.green); sombre; (um klæði ofta) subfusc(t.d.in subfusc shades);(um hár)dark, brunette3(dapur) dark, sombre(t.d.thoughts)4(fugl.) dimmur velreyðiblack redstart
Dimmur havskrápur	(fugl.)Sooty Shearwater(Puffinus griseus)(Gmelin, JF, 1789)©iStock
dimmur velreyði	(fugl.)black redstart(Phoenicurus ochruros)(Gmelin, SG, 1774)Phoenicurus ochruros ©Ferran Pestaña
dimmviðrað	gloomy, dull
dimmviðri	gloomyel.dull weather
dingla	dangle, swing
dinkuldrív	(sj.,gl.)idler, slacker, lazybones, lazyboots
dinosaurur	(dýr.)dinosaur
dint	bump
dinta	oush, thrust
dintil	1(á seyði) tail2back, behind, seat
dintilsbein	(likam.)seat bone,(yrkism.)ischium (os ischii)
dintilsgóður	self-confident; well-balanced
dintla	dintla seg til venture, dare to;hann gongur og dintlasthe is pottering about
dioda	(ravm.)diode, two-electrode valve
dioritt	(jarðfr.;málmur) diorite
dirðil	1(gl.)tail2back, behind, seat
direktiv	sífyriskipan,boð,boðskriv
dirka	open with a skeleton key;dirka lás upppick a lock
dirkur	skeleton key, picklock; dub
dirl	(stb.)dangler;(tlm.)gooseberry
dirla	(sj.)dangle; lag behind
dirtl	(stb.)dangler
dirtla	(stb.)ganga og dirtla potter about
dirva	> dirva seg til e-t venture, presume, dare to
dirvi	boldness, daring, audacity, heart, courage,(tlm.)pluck;Sguts
dirvin	bold, audacious
dirvisgóður	bold, courageous, brave
dirvisleysur	faint-hearted, dispirited, despondent
dirvisligur	bold, daring, courageous, brave
dirvislítil	faint-hearted, dispirited, despondent
dirvisloysi	timorousness, timidity, faintheartedness
dirvisloysingur	coward
dirvismikil	bold, daring, courageous, brave
dirvisorð	bold words
disja	quiver
diskadriv	(teld.)disc drive
