ó-	un-(t.d.uninterrupted); im-(t.d.improper); il-(t.d.illegal); ir-(t.d.irregular); non-(t.d.non-professional); not(t.d.not previously mentioned
óførisseyður	sheep inóføri1
óførligur	clumsy, shapeless, formless;hjóførliga
óføroyskur	un-Faroese, not Faroese;óføroyskur í útsjóndnot having a Faroese appearance
óførur	1(um veður, fjørð, vego.tíl.of weather, a fiord, a roadetc)impassable;óført í brimithe surf is so violent that it is impossible to call at the landing place;brúgvin er ófør í støðumthe bridge is impassable in places2impossible to perfomel.achieve;tá er einki óført hjá honumthen nothing is impossible for him(el.everything can be done)3helpless, who is unable to walk;ein góður vertskapsmaður drekkur seg ikki óførana party-goer doesn't drink so much that he can't stand up4very skilful, ableel.capable, eminent, prominent, outstanding, brilliant;tú ert óføruryou are brilliant;hann var óførur til styrkihe was extremely strong;Kirkjubøur er óført pláss til allan gróðurKirkjubøur is one of the best spots when it comes to all kinds of vegetation5tremendously, enormouslyel.immensely bigel.large;báturin var so óførur, at hann var ikki mentur at vika honumthe boat was so large that he was not able to budge it;tá ið óførur stormur brestur áwhen a storm breaks;alt skal vera so óført hjá honumwith him everything must be big6(av útbroti, sólbruna, mýggjabitum, by rash, sunburn, gnat bites or the like) badly affectedel.afflicted;óførur um allan kroppinhe had a rash all over his body;hann er heilt óførurhe was bitten by lice all over his body7(gl.)swollen;fingurin er óførurthe finger is swollen8[sumhj]óført;sterk er royðurin óført(ómetaliga sterk) the blue whale is immensely strong;bókin varð óført fagnaðthe book was received with enthusiasm
ógagn	damage, injury, harm; nuisance;skulu teir rekast í stórbýunum um summarið, so hava teir meiri ógagn enn gagn av frítíðiniif they intend to drift about the streets of the (big) cities during the summer months then the summer vacation is more harmful than beneficial
ógagnsamligur	1(um máltíð, of meal) which cannot be enjoyed in peace and quiet2(um mat, of food) unappetizing, not tempting
ógagnsamsligur	síógagnsamligur
ógagnsjørð	barren ground/land, wasteland
ógagnsligur	1(serst.um mat,espof food) which does not agree with one;tað verður so ógagnsligt, tá tú skalt skunda tær avstað aftur beinanveginyou won't enjoy the food/(eis.)you will get indigestion as you dash off again at once2badly cooked; unappetizing3unpleasant, boring, dull, not snugel.homelike;jólini vóru ógagnslig hjá okkumour Christmas was not so pleasant;veðrið er so ógagnsligtthe weather is depressing
ógagnsorð	impertinent words, term of abuseel.opprobrium;(samn.)abuse, abusive language;hon lærir tey at nýta ógagnsorð móti pápanumshe teaches them to be impertinent to their father
ógagnsverk	useless work
ógáaður	unobserved, unnoticed, unheeded, unperceived (by);tað ringasta er at sleppa hiðan ógáaðurthe worst part is to get away from here unnoticed
ógáin	1inattentive, careless, incautious(t.d.an incautious word); imprudent(t.d.remark); unwary, rash(t.d.a rash promise); injudicious(t.d.action, remark)2(sum ikki hugsar um avleiðingarnar) improvident
ógegni	(løgfr.)incompetence, disability, incapacity
ógegnigur	1unserviceable, unfit (for use), useless2(løgfr.)incompetent(t.d.witness); (um sorinskrivara, judge) disqualified;sorinskrivarin segði seg at vera ógegniganthe judge declared himself to be disqualified;gera ógegnigan (løgfr.)incapacitate; disqualify;hann er ikki ógegnigurhe is under no disability
ógegniligur	síógegnisligur
ógegnisligur	unserviceable, unfit (for use), useless
ógegnugur	síógegnisligur
ógemeina	(gl., tlm.)exceptionally, unusually, uncommonly, extraordinarily; ógemeinagóðurexceptionally good
ógemeinur	(gl., tlm.)exceptional, unusual, extraordinary, vast, immense, enormous;ógemeinar skógvíddirvast woodland, vast stretch(es) of forest;tað kom so ógemeinur fiskur upp á landlarge quantities of fish was caught
ógerandi	impossible, which cannot be done(t.d.it is impossible to leave now; we find it impossible to oblige you; he cannot possibly do it); not feasible;tað er ógerandiit cannot be done,(el. skemt.)no can do
ógerð	outrage, crime, misdeed, atrocity
ógerðardagur	[day when the weather is so bad that one cannot work out-of-doors]
ógerðarveður	[weather which is so bad that one cannot work out-of doors];teir fóru av stað, men tað var ógerðarveðurthey left, but the weather was too bad for outdoor work
ógerningur	(sj.)síógerð
ógiftur	unmarried, single; unwed; (um konufólkeis.)maiden(t.d.a maiden aunt);ógift konasingle/unmarried woman;(løgfr.og um gamla konu) spinster; (gomul genta) old maid; (um ógifta konu í sjálvstøðugari vinnu,eis., serst. am.)bachelor girl/woman;ógiftur maður (eis.)bachelor;ógift mammaunmarried/unwed/single mother; ógift fólk(eis.)celibate;liva ógifturunmarried state, celibacy;(eis.)be single, be unmarried; (um konufólkeis.)spinsterhood; (um mannfólkeis.)bachelorhood;liva ógiftur(sum gamal drongur, sum gomul genta) be single, be unmarried;hann er ógiftur (eis.)he is a bachelor;hon er ógift (eis.)she is a spinster;ert tú giftur ella ógiftur(stakur)? are you married or single?
ógilda	(løgfr.)invalidate(t.d.a claim); annul, cancel, render invalidel.voidel.null(t.d.a clause; a decree; a testament); make void, vitiate(t.d.a transaction); deprive of legal force, declare null and void;rætturin gjørdi av at ógilda dóminthe court dismissed the sentence;ógilda mál (ítr.)disallow a goal
ógildigur	invalid, not valid; símeiraundirógildur
ógilding	annulment, cancellation, dismissal, invalidity, nullity(t.d.of a deed; of a marriage), [eis, t.d.declaration by the court that sth is null and void]
ógildingardómur	(løgfr.)judgment by which a document is declared null and void; (ísamb.við partabrøvo.tíl.)[judgment ordering the cancellation of a share certificateetc]
ógildingarstevning	(løgfr.)[writ for a declaration that sth is null and void]
ógildingarumsókn	(løgfr.)[application for cancellation,e. g.of a share certificate]
ógildugur	invalid
ógildur	invalid(t.d.argument; claim; passport), not valid; void(t.d.contract);deyður og ógildurnull and void; (um pengar) invalid, not legal tender, not current; (ferðaseðilo.tíl.)invalid, not/no longer available/valid(GG:the use of tickets which are out of date);dómurin sjálvur skuldi vera deyður og ógildurthe sentenced was to be declared null and void; síeis.ógilda
ógingin	1untrodden;gøtan er óginginthe path/track is untrodden2(um deiggj, of dough) which has not risen
ógitandi	which one will never guess, which cannot be solved;ein ógitandi gátaa riddle/puzzle which one will never guess
ógitin	unsolved;her lá ein so stórfingin gáta ógitinhere was a magificent unsolved riddle
ógittur	unsolved;framtíðin var í einum ókendum gyltum támi sum ein ógitt gátathe future was shrouded in an unknown golden mist like an unsolved riddle
ógjaldføri	(handilsm.)insolvency
ógjaldførur	(handilsm.)insolvent
ógjarna	unwillingly, reluctantly not so willinglyel.readily
ógjølla	indistinctly, inaccurately, inexactly
ógjølliga	síógjølla
ógjørdur	1undone, unperformed;ógjørt arbeiðiarrears(flt)of work; backlog;ynskja gerð ógjørdawish sth undone, wish one had not done sth, repent having done sth2íosb.sumtað er ógjørt í sjónumthe sea is rough; the sea is too rough for sailing
ógjørligur	impossible(t.d.it is impossible to leave now; we find it impossible to oblige you); not feasible;tað er ógjørligt (eis.)it cannot be done;tað, sum er ógjørligt hjá monnum, er gjørligt hjá Guðiwhat cannot be done by man God can accomplish
óglaður	sad, joyless, melancholic, depressed, distressed, sadden;hann var óglaður fyri daginhe was depressed all day long;hann kom aftur úr arbeiði óglaðari enn áðurhe returned from work even more depressed than before
óglaraður	unglazed(t.d.porcelain);óglarað postalín (eis.)biscuit ware, bisque
ógleði	joylessness, bleakness, gloom, cheerlessness; boredom;sólin elur skugga og vakurleikin ógleðithe sun causes shades and beauty gloom;ivi og ógleði sníktu seg inn í hjartaðmisgivings and bleakness crept into his//her heart
ógloymandi	unforgettable, never-to-be-forgotten(t.d.day); ever memorable
óglærur	opaque;óglærir blettir á hornhinnuniopaque spots on the cornea
ógoldin	unpaid(t.d.bill; debt), non-paid; (um veksil) dishonoured;rokningin liggur enn ógoldinthe bill is still unpaid
ógongdur	impassable;í støðum var rásin mestsum ógongdin some places the track was hardly passable;í tílíkum veðri var vegurin ógongdurin such weather the road was impassable;bergið er steyrrætt og ógongtthe bird cliff is precipitous and impassable
ógoymsla	bad, carelessel.negligent keeping; ógoymslager so mangan tjóvcareless keeping may tempt sby beyond his power of resistance
ógóðsligur	1rough, raw, inclement(t.d.it's been rather inclement this week);eitt ógóðsligt arbeiðia dirty job2soiled, filthy;handklæðið er so ógóðsligtthe towel is soiled3(dapur, við ongum hugna) comfortless, uncomfortable(t.d.an uncomfortable room); cheerless(t.d.his cheerless home); forbidding(t.d.a large, forbidding room); dismal(t.d.a dismal town); dreary, depressing; (ørkymlandi) uncomfortable, alarming(t.d.prospect); (ófrættakendur) sinister, ominous(t.d.an ominous silence//symptom), grim(t.d.prospect); (sum fær ein at nøtrast) ghastly(t.d.murder; sight; story); grisly(t.d.all the grisly details); horrifying, gruesome; creepy(t.d.a creepy ghost story); (óhugnaligur á yvirnáttúrligan hátt) weird(t.d.cry; light); eerie(t.d.feeling; experience); uncanny(t.d.feeling; light; noise); unearthly(t.d.an unearthly shriek); sinister(t.d.light; atmosphere);víkin er ógóðslig at síggjathe bay looks forbidding4(um veður, of weather) rough, raw, inclement(t.d.it's been rather inclement this week);tær longu, ógóðsligu næturnarthe long forbidding nights
ógreiddur	1uncombed, dishevelled, tousled, rumpled, ruffled;hon var ógreidd og óvaskaðher hair was dishevelled and she had not washed2not sorted out, not made plain, entangled3unclarified, not sufficientlyel.not yet clarified; inconclusive; confused(t.d.the situation is still confused); (óloystur) unsolved
ógreiða	tangle, disorder
ógreiðandi	which cannot be disentangled, sorted outel.unravelled;hann ger bara eina ógreiðandi fløkju burtur úr tí(don't ask him) he'll make a mess out of it which is going to be impossible to sort out
ógreiði	síógreiða
ógreiðiligur	síógreiðandi
ógreiðsamligur	difficult to sort out, tangled, disordered, intricate, complicated
ógreiðsamsligur	síógreiðsamligur
ógreiðsla	mess; ógreiðslaí roknskapinumdisorder in the accounts
ógreiður	1in a tangle, in disorder, in a muddle; difficult; incomprehensible, obscure2indistinct, blurred, vague(t.d.the limits of this subject are rather vague); undefined(t.d.he was given authority of an undefined character); fluid(t.d.the limits are fluid), ill-defined(t.d.ideas, obligations)
ógreiniligur	indistinct(t.d.outlines, articulation, murmur, memory, recollection, sound; the trees were indistinct in the twilight); uncertain, dim(t.d.outlines; sound; memory); muddled, blurred; indeterminable, indeterminate, indefinable, undefinable(t.d.feeling, term); vague(t.d.feeling);(serst. niðr.)nondescript(t.d.appearance, colour);ein ógreiniligur ótti kom á megI was overcome by undefinable fear;ógreiniligur til aldurof uncertain(el.indeterminate) age;hjógreiniliga
ógróðrarligur	detrimental to the growth (of grass);ógróðrarligt hevur verið, kuldi og kavithere has been little growth(i.e.the growth has been retarded) on account og cold and snow
ógrundaður	groundless, unfounded(t.d.expectation; fear; rumour; suspicion); baseless(t.d.a baseless attack on sby);ógrundað uppsøgnwrongful dismissal;atfinningarnar eru ógrundaðarthe criticism is unfounded;ein ógrundaður illgruniunfounded suspicion
ógrøðandi	(lækn.)incurable;sjúkan er ógrøðandithe disease is incurable
ógrøðiligur	1(lækn.)incurable;sárið er ógrøðiligt og batnar ikkithe wound is incurable and won't become any better2síógróðrarligur
ógudiligur	impious, ungodly, godless, atheistic(al);hjógudiliga
ógva	terrify, appal, dismay;tað kann hvørki undra ella ógva tygumyou should neither be surprised nor dismayed by it;eg síggi mangt, sum ógvar megI see many things that dismay me;ógvastbe terrified, become frightened/scared, be overcome by fear/terror;ógvast viðdread sth(eis. t.d.I tremble,it makes me shudder to think of it, I dread the thought of it);ógvast við e-n//e-tbe terrified by sby//sth
ógvár	(sj.)síóár
ógvella	(fugl.)long-tailed duck(Clangula hyemalis)(Linnaeus, 1758)©iStock
ógviliga	síógvuliga
ógviligur	síógvuligur
ógvisligur	violent(t.d.blow; cough; fit of coughing; current; disputes; effort; exertion; hatred; heat; opposition; rage; strife; toothache); vehement(t.d.desire; hatred; heat; opposition; strife); fierce(t.d.heat; light)(GG:I like this carpet, but the pattern is a bit fierce); forcible(t.d.offer forcible resistance to the police); intense(t.d.cold; desire; hatred; heat; longing); severe(t.d.cold); drastic(t.d.reduction; measures); vicious(t.d.storm; animosity); (í stórum) profuse(t.d.bleeding; sweating); (sterkur, stórur, munandi) tremendous(t.d.applause; get a tremendous fright); terrific, terrible(t.d.a terrible lot);eg veit, hvussu hann er, tá ið tað ógvisliga lagið kemur á hannI know what he is like when he is in a violent mood;hjógvisliga
ógvorðaður	flippant; using too strong expression
ógvuliga	frightfully, dreadfully, terribly (ísamb.viðlí grundstigi, incomb.withadj.in the positive) exceedingly, extremely, very, to a high degree;ógvuliga stórurvery tall, very large;ógvuliga illurterribly angry;ógvuliga nógvto a large extent
ógvuligur	terrible, frightful, dreadful, appalling, awesome; tremendous, immense, enormous, huge, vast, stupendous, gigantic, colossal, intense;kavin legðist so ógvuligurthe snowfall was extremely heavy;ógvuligur skaðiterrible damage;misnøgdin var ofta ógvuligthe dissatisfaction was often enormous;seyðurin var ógvuligur í lúsumthe sheep were crawling with lice
ógvusligur	síógvisligur
ógvølla	síógvella
ógyrðin	inelastic(t.d.method); rigid(t.d.the USA has a rigid Constitution)
ógætuliga	incautiously, imprudently
ógæva	misfortune, ill fortune;øll henda ógævan, ið kemur yvir mongmany people are dogged by ill luck/misfortune
óhagur	butter-fingered, clumsy, maladroit; óhagurí hondunumbe butter-fingered
óhampiligur	1impolite, inconsiderate2disorderly, disarranged, shabby, of shabby appearance3bungling, unworkmanlike, scamped, botched, sloppy;(am.S)half-assed(t.d.a half-assed operation), butter-fingered, clumsy, maladroit;hjóhampiliga
óhandaligur	clumsy, bungling, blundering, unworkmanlike, sloppy;(am.S)half-assed(t.d.a half-assed operation), butter-fingered, maladroit
óhandigur	unwieldy, awkward to handle, unmanageable;rívan er bæði tung og óhandig at brúkathe rake is both heavy and awkward to handle
óhandiligur	1síóhandigur;tjúkk, tung og heldur óhandilig bóka thinck and heavy book and rather awkward to handle2(sj.)síóhandaligur
óhapp	bad luck, failure; accident(t.d.he lost a leg in an accident; he had an accident with his car); (har fólk doyggja) fatal accident, fatality(t.d.road fatalities increased by 10 per cent);verða fyri óhappinumbe pursued by bad luckel.failure;koma fyri óhappbe injured
óharmoniskur	inharmonious(t.d.sound); disharmonious, discordant, jarring(t.d.note); grating(t.d.noise)
óhefni	independence
óheftur	1free, independent;lærararnir eiga sjálvir skúlan og standa tí óheftir í øllum lutumthe teachers own the school themselves and are thus completely independent2independent; autonomous(t.d.an alliance of autonomous states);málið er einar óheftar Føroyarthe aim is to make the Faroes independent3neutral;(stjm. eis.)uninvolved; non-aligned(t.d.states), unpolitical, non-partisan, non-party; apolitical;blaðið er óheft politiskt og átrúnaðarligathe paper is politically and religiously neutral;trúarliga óheftur(sum ikki er partur av ávísum kristnum samfelag) undenominational, (um fólk) adhering to no creed
óhegnigur	butter-fingered, clumsy, maladroit
óheiðurligur	dishonest(t.d.business; action; person; utterance); crooked(t.d.dealings);(serst.um løgreglufólk,tlm.)bent(t.d.a bent copper);peningur fingin á óheiðurligan háttill-gotten/dishonest gains(flt); bera seg óheiðurliga atact dishonestly, be dishonest;á óheiðurligan háttdishonestly;hjóheiðurliga
óheilur	incomplete, imperfect, unfinished, uncompleted, fragmentary, faulty, defective, lacking
óheimil	unauthorized(t.d.introduce unauthorized changes in the text); (óløgligur) unlawful;dømdi allar fyri at hava varðveitt óheimilt góðsthey were all found guilty of having kept unlawful (stolen) goods
óheimilaður	unauthorized(t.d.introduce unauthorized changes in the text); síheimildarleysur
óheimligur	unpleasant, disagreeable; unfamiliar;børnini vórðu sett til at læra slíkt, sum var óheimligt, og sum tey ikki skiltuthe children were taught things which were unfamiliar and which they did not understand
óheintaður	unclaimed(t.d.post)
óhentur	1awkward, inconvenient;óhent, at bert eittans handilspláss var í oyggjunumit was inconvenient that there was only one trading post in the Faroes2useless, futile, which goes/runs to waste;lamb farið óhenta lamb lost;hatta var ein óhent gerðno good came out of it;óhent fór hattait was of no use, it served no useful purpose
óhepni	bad luck, misfortune;tað tykist eins og óhepni hevur fylgt honumit seems as if he is dogged by ill luck/misfortune
óheppin	1(sum er óheppin) unlucky(t.d.an unlucky gambler); unsuccessful(t.d.candidate; competitor; speculator); ill-starred(t.d.the ill-starred expedition)2(sum ikki er eftir vild) disadvantageous, adverse(t.d.circumstances; conditions; impression; position; terms);óheppin ringrás (fl.m.)a vicious circle3(sum ikki eydnast) bad(t.d.a bad beginning); unsuccessful(t.d.attempt, campaign); (ógvuliga óheppið) disastrous4(sum hevur óhapp við sær) unlucky(t.d.Friday was considered an unlucky day)5(skaðiligur) bad, injurious, detrimental (to); harmful (to); unsuitable(t.d.colonization is hampered by an unsuitable climate); untoward(t.d.without any untoward results)6(sum er illa valduro.tíl.),unlucky(t.d.his unlucky speech); inopportune(t.d.at a very inopportune moment); inauspicious(t.d.in an inauspicious hour); ill-timed(t.d.jokes); ill-judged(t.d.measures); untimely, infelicitous(t.d.remarks); injudicious(t.d.speeches, remarks); (sum fólk høvdu hildið verið løgið) invidious(t.d.it will be invidious for the Council to subsidize this festival when it does not subsidize others)7(sum er spell) unfortunate, deplorable(t.d.incident; scene); (pínligur) untoward(t.d.an untoward incident took place during the Royal procession)8(keðilig støða), annoying(t.d.how very annoying!); awkward(t.d.we are in a very awkward position)
óherdur	1unhardened(t.d.steel)2(málfr.)unstressed;í øllum óherdum endastavilsumin all unstressed last syllables
óhildin	in a badel.poor state of repair, in disrepair, in poorel.bad repair, in bad condition;húsini eru óhildinthe house/houses is/are in a poor state of repair
óhindraður	unhindered, unhampered, unimpeded, unobstructed, free(t.d.entry);tey ungu skulu óhindrað sleppa at siga sína hugsanthe youngsters must be allowed freely to give/state their opinions;tárini runnu óhindrað og ófjald av andliti hennaratears streamed unrestrained down her cheeks
óhirja	slattern, slut;hon er ein óhirjashe's a slut
óhjálpin	helpless, dependent, unprovided, in difficulties;eg eri óhjálpinI depend on others;eftir hann sita fimm óhjálpin børnhe left five children (who were) unprovided for
óhjálptur	unaided, unassisted, who has no been helpedel.supported;eingin fer óhjálptur frá tærno one who asks your help leaves without having received help
óholdbundin	discarnate, uncarnal, platonic; óholdbundinkærleikiPlatonic love
óhoyggjaður	(of grass) not mowedel.cut;ein partur av bønum er óhoyggjaðura part of the infield has still not been mowed
óhoyriligur	disobedient (to sby); (tíðum) undutiful(t.d.son);vera óhoyriligur (eis.)disobey;hundarnir vóru óhoyriligirthe dogs were disobedient
óhoyrin	disobedient
óhógv	1excess(t.d.in eating, in drinking); intemperance, lack of moderation, immoderateness; excessiveness, immoderacy, immoderation;hava óhógvexcessive(t.d.drinking, smoking); be intemperate(t.d.habits); immoderate(t.d.an immoderate smoker; immoderate demands); go to extremes;Korint, har einaferð óhógv ráddiCorinth which was once characterized by lack of moderation2heavy-handed line of action;fara fram við óhógvihandle sth roughly, handle sth with a heavy hand3violent storm;enn hevur einki óhógv veriðwe haven't had any violent storms yet;óhógv á luftiniclouds betoken stormy weather;óhógv í sjónumvery rough sea
óhógvamaður	1brute, beast, rascal, lout, villain, scoundrel, a bad lot, a bad egg, a nasty character2quick-tempered person, choleric person, irascible person
óhógvaveður	very bad weather
óhógvin	reckless, wild, rough, brutal;í dag hevur ikki verið so óhógviðwe cannot complain about the weather today
óhóskandi	1unseemly(t.d.behaviour; remark); improper, indecorous; (ósømiligur) indecent; inopportune, untimely, illtimed(t.d.remark)2(órættvísur) unfair, unjust, inequitable3(órímiligur) unreasonable; (sum líkist ongum) unconscionable(t.d.harsh and unconscionable treatment)
óhóskiligur	síóhóskandi
óhóvligur	reckless, wild, rough, brutal;hjóhóvliga
óhóvsamur	immoderate, intemperate, excessive; impetuous, precipitate, rash
óhugaligur	not attractive, invitingel.tempting; unattractive, uninviting, forbidding;hjóhugaliga
óhugi	síóhugur
óhugnaður	síóhugni
óhugnakendur	ominous(t.d.an ominous silence); sinister(t.d.atmosphere; symptom); ill-omened, ill-boding, scary;hann læði sín óhugnakenda láturhe laughed his scary laughter
óhugnaligur	1(dapur, við ongum hugna) comfortless, uncomfortable(t.d.an uncomfortable room); cheerless(t.d.his cheerless home); forbidding(t.d.a large, forbidding room); dismal(t.d.a dismal town); dreary, depressing2(ørkymlandi) uncomfortable, alarming(t.d.prospect); (ófrættakendur) sinister, ominous(t.d.an ominous silence//symptom), grim(t.d.prospect)3(sum fær ein at nøtrast) ghastly(t.d.murder; sight; story); grisly(t.d.all the grisly details); horrifying, gruesome; creepy(t.d.a creepy ghost story)4(óhugnaligur á yvirnáttúrligan hátt) weird(t.d.cry, light); eerie(t.d.feeling; experience); uncanny(t.d.feeling; light; noise); unearthly(t.d.an unearthly shriek); sinister(t.d.light; atmosphere);víkin er ógóðslig at síggjathe bay looks forbidding
óhugnasamur	síóhugnaligur;teir vendu aftur fyri rekum og øðrum óhugnasomum, sum sást á sjónumthey returned because they came across driftwood and other sinister things floating on the sea
óhugni	1(við ongum hugna) discomfort, want of comfort2(ófjálgur dámur) uneasiness, uneasy feeling3(dapur dámur) sinister atmosphere, eeriness, weirdness4(syrgiligur dámur) dismal atmosphere; (ræðuleiki) horror(t.d.the situation in all its horror);óhugnin sígur samanum (uml.)the plot thickens
óhugsandi	inconceivable, unimaginable; unthinkable(t.d.that would be unthinkable);um tað óhugsandi hendi, at hann kom stundisligaif, to suppose the impossible, he should be in/on time;hatta er óhugsandi!perish the thought;tað var óhugsandi(lítið hugsandi),at tey fóru at hittast afturit was inconceivable that they should meet again
óhugur	disinclination; distaste, feeling of nausea; (strong) dislike, contempt, disgust (at, with), aversion; despondency, dejection, discouragement, dismay;tøgn og óhugur var komin á teythey were overcome by silence and despondency;tað loypir slíkan óhug á meg at bíða so leingiI am overcome by a feeling of distaste by this long waiting
óhulin	open, unhidden, unconcealed;hjá báðum var tað tað óhulna og tað djarva í teirra lyndi, sum eyðkendast varfrankness and courage were the chief traits of their character
óhumska	filth, ordure, muck
óhvassur	(um eggjarn, of cutting edge) blunt(t.d.edge; knife; tool), dull; óhvassurknívura blunt knife; (um knív)gerast óhvassurbecome blunt
óhvessa	(um eggjarn) make blunt, blunt;tú óhvessir knívinyou are making the knife blunt;óhvessastbecome/get blunt/dull (lose its edgeel.be blunted)
óhvørvandi	indelible(t.d.disgrace; shame; it made an indelible impression on me), permanent;tað setur sær óhvørvandi hugsporit leaves indelible traces/deep impressions in one's memory
óhvørviligur	síóhvørvandi;ein óhvørviligur blettur í myrkrinuman indelible spot in the dark
óhyggi	thoughtlessness, lack of reflection, recklessness, rashness, hastiness, wantonness, act of folly, stupid thing, blunder;tak eingi óhyggi fyridon't do anything silly, do not act rashly, don't do anything dangerous/reckless
óhyggin	unwise, imprudent, injudicious, foolish, thoughtless, unthinking, incautious, ill-considered;fimm teirra vóru hygnar og fimm óhygnarfive of them were prudent and five (of them) imprudent
óhyggja	lack of considerationel.thought, thoughtlessness, a rash actel.action, a piece of rashness; inconsiderateness, wantonness;taka sær óhyggju fyriact rashly;foreldrini ansa eftir, at teir ikki taka sær nakra óhyggju fyrithe parents see to it that they (the boys) do not do anything reckless
óhærdur	(likam.)hairless,(lívfr.)glabrous;hornlagið er tunt og óhærtthe horny layer/stratum corneum is thin and hairless
óhøgindi	person who is impetuous and violent;hann kom sum eitt óhøgindihe tore/stormed into the room
óhøgligleiki	inconvenience(t.d.the inconvenience of living so far from the station); óhøgligleikigjørdi, at tey sjáldan komu í kirkjuinconvenience of living so far from the church resulted in their seldom attending (the) service
óhøgligur	1arduous, strenuous(t.d.work); laborious;tað er óhøgligt at fáadifficult to get hold of2long and difficult (road); inconvenient;teir høvdu óhøgligan vegthey had a long and difficult road;tað er so óhøgligt at búgva harit is invonvenient to live there;hjóhøgliga
óhøviligur	unbecoming, improper, undue;óhøviligt trýstel.óhøvilig ávirkan (løgfr.)undue influence
óhøviskleiki	impoliteness, incivility, rudeness, discourtesy; (mótvegis yvirmannio.tíl.)disrespect (to);hon gremur seg um óhøviskleika tygarashe complains about your rudeness
óhøviskur	impolite(t.d.answer; behaviour); uncivil(t.d.treatment); rude, discourteous; (mótvegis yvirmannio.tíl.)disrespectful (to);hann svaraði aftur óhøviskt og bonskthe was impolite and short with sby
óinnbundin	unbound; (óheft) in sheets(t.d.a book in sheets)(GG:a tattered paper copy of "Jane Eyre"); óinnbundinbókunbound book
óivað	(helst) no doubt(t.d.you'll no doubt see him tomorrow); (ivaleyst) without (a) doubt, undoubtedly(t.d.he is undoubtedly a great actor);tað er óivað sattit is undoubtedly true, there can be no doubt about it; síeis.ivaleysur
óílatin	undressed(t.d.she would have felt undressed without her gloves); (nakin) naked, unclothed, nude
óítøkiligur	impalpable, intangible, incorporeal; abstract
ójavni	1difference; (í støddel.talieis.)disparity(t.d.the disparity between these figures); variance, deviation; inequality;sosialur ójavnisocial/income inequality;ójavnin er stórur í markatali og markastøddumthe difference as to the numbers/quality and size ofmerkur(símørk13) is considerable (in various villages);mangan ójavnan hevur hann volt mærhe has caused me much annoyance/vexation2dispute, disagreement, argument, quarrel;stórur ójavni í limanna hugsan um hesi viðurskiftia great difference (of opinion) arose between the members (of the society) about these things3unevenness(t.d.of a surface); roughness(t.d.of a road; of a surface); ruggedness, irregularity, bumpiness(t.d.of a road); (ójavnar í landslagi) broken ground; inequalities/irregularities of the ground
ójavnsintur	who has a difficult temperament
ójavnur	1different(t.d.the two scientists used different methods); dissimilar(t.d.the intonation systems of the two languages are slightly dissimilar); unlike(t.d.they are so unlike (each other) that one would not suppose them to be sisters); differing(t.d.have differing tastesel.views); diverse(t.d.people from diverse cultures);bygdamálini eru eitt sindur ójøvn, men allir føroyingar skilja hvør annanthe Faroese dialects differ somewhat, but alle Faroepeople understand one another;ójavnur bardagian unequal fight2different, changeable;hann kann vera ójavnurhe can sometimes be in an extremely bad mood;ójavnar eru tíðirnartimes change/are changing;seyðurin er sera ójavnur til støddar og góðskuthe sheep differ much as to size and quality; (um vind, of wind)hann kastar ójavnurit is blowing erratically3who cannot agree(t.d.partners who cannot agree);teir eru ójavnir á máli um hettathey do not agreeel.see eye to eye over this4uneven, rough, rugged, crooked, bent5[sumhj]ójavnt;ójavnt sinturimpetuous temperament;ójavnt hevur honum gingist, síðan hann fór til skipshe has had his ups and downs since he went fishing
ójavnvág	unbalance, imbalance, lack of balance, disequilibrium; disproportion;fáa í ójavnvágput out of balance, skew, unbalance
ójólaligur	not Christmas(s)y, which doesn't have Yuletide spiritel.Christmas spiritel.Christmas atmosphere;ójólaligt sá alt út í bygdinithe village was devoid of Christmas atmosphere
ók	síaka
ókannaður	unexamined, unseen
ókanniligur	inscrutable;ein snúgvað og ókannilig sála twisted and inscrutable soul
ókátur	sad, joyless, melancholy;hon gekk nú heim og var ógvuliga ókáturshe had returned home and was very sad;eitt ljódligt, men kortini ikki ókátt laga hushed but not a joyless tune nonetheless
ókembdur	uncombed, dishevelled, tousled, rumpled, ruffled
ókendur	unknown(t.d.country; person); unfamiliar(t.d.surroundings); (íkki kendur) obscure(t.d.an obscure writer); (ókannaður) uncharted;ókend londunknown coutries;blídligir við fólk, kent og ókentfriendly towards known and unknown people;nú eru jarðarbrúk ókendar gøtur fyri mærI am no longer familiar with farming;tann ókendi í líkning (stfr.)the unknown quantity (in an equation);líkning við tveimum ókendumequation with two unknown quantities/two unknowns
ókenniligur	(ikki at kenna aftur) unrecognizable, unidentifiable; (sum ikki kennist frá øðrum) undistinguishable(t.d.an undistinguishable mass of bruises);so nógv broytt at hon er púra ókenniligshe has altered beyond/out of all recognition;gera skriftina//røddina ókenniligadisguise one's writing//one's voice;gera seg ókenniligandisguise oneself (beyond recognition)
ókeypis	free, gratis; free (of charge), without charge; at no cost/expense, for nothing;ókeypis atgongdadmission free;tað er ókeypis at nýta hann//tað//hanait may be used free of charge;gera eitt ókeypis(fyri einki) do it free (do it for nothingel.not charge anything);tað er ókeypisit's all for free;ókeypis læknafree medical attendance;næstan ókeypisfor next to nothing, for a song;ókeypis skúlagongdfree schooling/education; no school fees;tað(t.d.blaðið) verður sent til mín ókeypisI am on the free list;tað er ókeypisthere is no charge
