kabarett	cabaret, show
kásaliga	boldly, daringly
kásalóti	grandeur; pride; proud gestures
kássa	í osb: bleytt sum kássavery soft
kássablóðmørur	síkássublóðmøru
kássaður	pasty;eggið er kássaðthe egg is bad(el.addled)
kássast	(t.d.um leður)kássast uppget soft (, loose, flabby)
kássin	(Suð.)soft
kássublóðmørur	[sticky black pudding]
kássutur	1(t.d.um leður klæði) soft, loose2(t.d.um breyð) pasty
kátan	cheerfully, gayly, merrily
kátligur	1hj-liga:kátligarather cheerfully2rather cheerful
kátlyndi	buoyant disposition, a sunny disposition, cheerful (, merry) disposition
kátlyndur	cheerful, merry
kátlyntur	of a cheerful (, merry) disposition
kátoygdur	with a twinkle in one's eyes
kátur	cheerful(t.d.a cheerful song), gay(t.d.gay company; a gay laugh), merry(t.d.a merry voice), cheery, jolly(t.d.a jolly fellow), jovial, sprightly, lively(t.d.a lively dance, tune);(serl.larmandi) hilarious;(skald.)merry(t.d.the merry song of the birds); (kvæði)kátt var teirra lívthey lived happily together;drekka káttsit down to a good drinking bout
káv	1groping; fumbling2fingering, pawing (over), mauling3(um vask) lick and a promise, an apology for washing, catlick4slow (, tardy, dilatory) person
káva	1grope(t.d.grope in the dark), grasp gropingly at;káva eftir e-mgrope, grope(el.fumble) for(el.after) sth;káva seg framgrope one's way2paw (over), maul;stjórin sat og kávaði uppi á skrivaranumthe manager was pawing the secretary3brush, wash something off superficially;káva upp og niðurdo a superficial spring clean4káva útyvir el. út yvir e-tthink of excuses for something (said or done); cover up(t.d.cover up a mistake)
kávalátin	síkávalæti
kávalótir	síkávalæti
kávalæti	simulation, hypocrisy
kávan	groping, feeling
keddur	1tired of, sick of; bored with; fed up with2sorry about, sad (, unhappy, grieved, upset) about, distressed about
keða1	bore, tediousness,fáa keðu av e-mbe bored with someone (, something)
keða2	síketa
keða3	bore, tire;hann keðir meg øgiligahe bores me stiff;tað keddi hann at lesahe was bored reading, reading bored him;keðast, keða segbe bored;keða seg til deyðisbe bored stiff(el.to tearsel.to death);tykjast keða seglook bored;keða seg í stillumsubmit with dignity to being bored; (kann verða endurgivið) suffer in silence;hann keddist av filminumhe was bored by the film
keðiligur	1boring(t.d.speech); dull, tedious, tiresome; uninspiring; dreary;Sdrippy; (dapur, køvisligur) drab(t.d.the drabbest parts of the town);ein keðiligur fýrura bore, a nuisance;(tlm.)a drag2(píniligur, óheppin, óhøviskur) awkward(t.d.a rather awkward scene); trying(t.d.a trying business); annoying(t.d.how annoying that he should have forgotten the letter); unfortunate(t.d.he has an unfortunate manner); unpleasant,ein keðiligur fýruran unpleasant fellow; (harmiligur)tað var keðiligtwhat a pity!, what a shame!,(tlm.)that's too bad!;tað var keðiligt at hann ikki komI am sorry(el.it is too bad) he did not come; it is a pity(el.a shame) he didn't come;tað keðiliga við tí erat the trouble is that3(óynsktur) undesirable(t.d.overeating may have undesirable effects); a nasty(el.unfortunate) business; a sad business(el.affair);keðilig støðaawkward(el.unpleasantel.trying) situation
keðsamur	(gl.)boring, tiring
keðsemi	tediousness, boredom, tedium, ennui,vera um at seta til av keðsemibe bored to death(el.distraction), be bored stiff
keðuligur	(stb., sj.) síkeðiligur
keður	(gl.) síkeddur
kegl	quarrel, bickering, wrangle, squabble, brawl(ing), argy-bargy
kegla	1(stb.)wind yarn badly2gag, give an animal a gag
keglast	bandy words, bicker, wrangle, squabble(t.d.squabble with sby about sth)
kei	síkai
keiking	síkeikja(1) straining, strain, twisting; (2) dislocation, luxation
keikja	1(um lið) strain, twist,keikja fótinsprain (, twist) the foot2(úr lið) put out(t.d.put one's ankle out); dislocate, (liðbondini tognael.slitna), dislocate (foot, hand), luxate3(í kapprógving),keikja bátin[attempt to turn the boat to one side]4(í glímu) twist someone's loin
keikur	adversity, bad luck, reverse(s) of fortune, adverse fortune;flt keikirhard fight
keil	1síkeili22cunt, fanny, coney
keili	backside, bottom, behind
keina	(sj.)sísnáka
keinan	(sj.) í osb: nú er keinan á hennishe is dolling herself up
keip	caricature
keipa1	1gesture; gesticulation;gera keipurgesticulate;ógvisligar keipurviolent gestures, sweeping gestures;keipurtwitching, spasm2whim, caprice, freak; spirits, depression; (gron) bad temper, irritable mood, grumpiness3(lúnut, ríggjut konufólk) cow
keipa2	wooden hinge
keipa3	1keipa særbe affected, attitudinize; put on an act(t.d.he is not hurt, he is only putting on an act); (fyri at gera seg upp) show off(t.d.her children are always showing off); (gera seg týdningarmiklan) give oneself airs2imitate, copy (imitate others),keipa seg eftir øðrumimitate others
keipuknokkur	capricious person
keipuleikur	farce
keipumynd	caricature, cartoon;(fl.m. eis.)travesty(t.d.a travesty of justice)
keipur	1gestures; gesticulations,gera keipurgesticulate2periodic depression, periodic bad temper,hava keipurbe in low spirits, be depressed, be out of sorts, be in the doldrums;(tlm.)blue3tics; síkrepping3, stingur, virkingar, hábrøgd, sinadráttur, lívmús
keiputur	theatrical,hann gjørdist keiputur á røddinihis voice turned theatrical
keisa	(sj.spæl) [throw a thin flat object (keisara) so that it soars through the air]
keisarabiti	(stb., sj.)sígreivabiti
keisaradrotning	empress
keisaradømi	empire
keisaraeyga	(stb., sj.)símúsabiti
keisaraheiti	Imperial title
keisarahov	Imperial Court
keisarakrúna	1Imperial Crown2(plfr.)crown imperial(Fritillaria imperialis)©iStock
keisaraligur	1imperial,tygara keisaraliga hátignHis Imperial Majesty;tey keisaraligu (viðhaldsfólk)the Imperialists2imperial, stórbærur
keisarapingvin	(dýr.)emperor penguin(Aptenodytes forsteri)©iStock
keisaraskurður	(lækn.)Caesarean (section);(tlm.)C-section
keisaraslott	Imperial palace
keisaratíð	empire;í rómversku keisaratíðiniat the time of the Roman Empire
keisaraørn	(fugl.)imperial eagle(Aquila heliaca)Aquila heliaca ©iStock
keisari1	emperor; (um týsk viðurskifti ofta) Kaiser;geva keisaranum tað ið kaisarans errender unto Caesar the things that are Caesar's;,,nýggju klæði keisarans"The Emperor's New Clothes;spæla um keisarans skeggplay for love;klandur um keisarans skegga quarrel about nothing;klandrast um keisarans skeggquarrel about nothing, split hairs;har einki er hevur keisarin mist sín rætt (uml. =)you can't get blood out of a stone;Wilhelm keisarithe Emperor William;(ofta =)the Kaiser;Wilhelm keisari av TysklandiWilliam, Emperor of Germany,(tilt.) tú verður ikki keisarans vinur, um tú gert taðyou'll be unpopular in high places if you do that;(tilt., stb.) tað gekk, sum keisarin vildiit went according to plan(el.programmeel.schedule)
keisari2	(stb.)thin, flat object
keka	(í lendi) depression, hollow
kekari2	síkeki
Kekenia	(sern., landafr.)Chechenia, Chechnya
kekenskur	Chechen
keki1	morass, bog
keki2	lump,tað eru kekar í greytinumthe porridge is lumpy
kekka	(stb.) í osb: kekka í segstuff oneself
kekkaskifti	cheque clearing
kekkábeking	endorsement of a cheque
kekkbók	cheque book
kekkfalsan	check fraud
kekkfalsari	cheque forger;(am.) Sbad-check artist
kekkhefti	cheque book
kekki	Czech
Kekkia	(sern., landafr.) the Czech Republic
kekkkonto	(bú.)cheque (, current) account;(am.)checking account
kekkmisnýtsla	cheque abuse
kekkstiklan	kite-flying, kiting
kekkstiklari	kite-flyer
kekkur	cheque;(am.)check;ábekja kekkendorse a cheque;kekkur áljóðandi £60cheque for £60, cheque value £60;blankur kekkurblank cheque;dekningsleysur kekkurcheque referred to drawer, R.D. cheque;(tlm.)bad cheque;eftirdagfestur kekkurpost-dated cheque;kekkurin er fyrndurthe cheque is stale;krossaður kekkurcrossed cheque;loysa kekk útcash a cheque;ókrossaður kekkuruncrossed(el.open) chequerinda við kekkipay by cheque;senda upphæddina við kekkisend the amount by cheque; send a cheque for the amount;skriva kekkdraw a cheque;kekkur skrivaður til Xcheque made out to X;kekkur skrivaður til bíleggingcheque to order;steðga kekkistop a cheque;ein stórur kekkur (tlm.)a fat cheque;vísa fram kekkpresent a cheque (for payment);uppskrivaður kekkurmarked(el.certified) cheque
keks1	biscuit, cracker;(am.)cracker
keks2	(gl.) síkeks1
keks3	síkeksi
keksa1	biscuit
keksa2	1swallow with difficulty2nibble, peck at one's food,hann hevði ongan matarlyst, sat bara og keksaðihe had no appetite was just pecking at his food3(um fugl,t.d.havhest) disgorge, regurgitate4(tlm.)wolf down, stuff (oneself); guzzle,sita og keksa í segstuff oneself with(t.d.cakes)5stammer, stutter6fight free of;keksa seg ígjøgnumfight one's way through; struggle through,seyðurin keksaði seg gjøgnum kavanthe sheep were struggling through the snow7splash,(tlm.)slosh8(sj.)fly heavily9(stb.)play ducks and drakes, skip stones
keksakaka	síhjalskaka
keksakassi	crackerbox
keksamoli	bit of a ship's biscuit
keksan	fight, struggle
keksarmoli	crackercrumb
keksasteik	(gl.)[softened biscuit fried in fat and with sugar added]
keksi	1fold, pen2bog, marsh,(fl.m.) standa í keksibe stuck, be unable to make progress;(fl.m.) nú stendur í keksiyou are driven into a corner, you are cornered
kekskur	Czech;keksktCzech
keksutur	1(t.d.um veg) boggy, marshy2softened3(um mold) sticky, adhesive4(um breyð) pasty,breyðið er so keksutthe bread is so pasty5(um onnur evnieis.)viscid, viscous, clammy
kela	fondle, caress, pet;(fl.m.) kela fyri el. uppi yvir e-mcuddle, fondle, nurse(t.d.a plant); spend a lot of care on(t.d.an edition, details)
kelan	fondling, caressing, petting
kelda	1spring, source;(skald.)fountain2(upphav, orsøk) source(t.d.a source of annoyance, knowledge, joy, pleasure), head, mainspring(t.d.fear is often the mainspring of cruelty); fountainhead(t.d.humility is the fountainhead of knowledge)3(heimild(arfólk), kelduskrift) source(t.d.journalists protect their sources; the sources of "Hamlet"; historical sources); authority(t.d.diplomatic sources; I have it on good authority that); (heimildafólkeis.)informant;frá bestu kelduon the best authority;(tlm.)straight from the horse's mouth;frá álítandi kelduon good authority, from a reliable source, from a trustworthy informant(GG:we are creditably informed that; we have received reliable information to the effect that);fara til keldunago to the source4bog, marsh5(á nýføðingi) fontanel6(í ísi) hole
keldufar	small spring
keldufíla	(teld.)source file
keldugranskari	investigator(el.student) of (original) sources
keldugransking	study of (original) sources
keldukritikkur	criticism of the sources; (søguligur) historical criticism
keldukritiskur	critical
keldulop	(bíbl.)spring (of water)
keldumál	(teld) source language
keldumálsvirkni	(teld) source-language agentivity
keldupennur	(sj.)fountain pen
kelduskattalóg	Tax at Source Act
kelduskattaskipan	1(eftir inntøkuslag) taxation according to source of income2(við kelduna) deduction (of taxes) at source, taxation at the source; the Pay-As-You-Earn system, PAYE (system)
kelduskattur	tax deducted at source, Pay-As-You-Earn system, (st.) PAYE;(am.)withholding tax
kelduskrift	source (book)
keldutilfar	source material
keldutilvísing	indication of source(s), source reference, reference, reference to one's authority(el.source);at prenta greinir úr blaðnum við ongari keldutilvísing er bannaðacknowledgement must be made for any article reproduced
kelduvað	(skald. am.)spring
kelduvatn	spring water, well water;kærleiki og kelduvatnlove in a cottage
kelibarn	(yndis) favourite, pet, darling; (spilt) mother's darling
kelidýr	pet
kelin	(um dýr, barn) affectionate, kittenish(t.d.a kittenish girl);(niðr.)mawkish, sentimental(t.d.mawkish manners, voice; what a sentimental dog!)
kelinavn	pet name;(eis.) hon hevði kelinavnið Biddyshe was called Biddy for short
kelingarlótir	mawkishness, lovesickness,hon hellir vanga við kelingarlótumshe puts her head mawkishly on one side
keliorð	term of endearment, hypocoristic word
kelivætti	favourite, pet, darling; (spiltur) mother's darling
kelka	kelka í segswill down, swallow, (um bjór og rúsdrekkaeis.) knock back
kelkja	1síkelka2(stb.) kelkjast uppuntwist(el.unravel) yarn (, thread)
kelkur	1(djlækn.)the small end of the abomasum2base of a belly (cone, screw)3geva e-m upp í kelkinfill someone's pipe4tip of a woolen glove5bay; cleft6(stn.)hollow7a drop
kelling	1(niðr.)hag, virago2witch, sorceress3(gl.)married woman, wife,kall og kellingman and wife
kellingarkendur	witch-like, hag-like, shrewish
kellingarkjaftur	[wooden sheath]
kellingarlag	old woman's mannerism
kellingarnev	(orðt.)lítið krevur til, at kellingarnev bløðir women get angry easily
kellingarnøs	síkellingarnev
kellingartonn	(stb., sj.)back tooth, molar
kellingarverk	cowardly act;(tlm.)yellow(-bellied) act
kelly	síhvørviborð
kelti	Celt
keltiskur	Celtic, Keltic; the Celtic fringe [fólkið sum tosar keltiskt í Skotlandi, Wales, Cornwall og Írlandi]
kelv	fry of shellfish
kelva	síkegla3
kelvi	1log2síkegli33síkelv
kelvingur	(um fisk) fry
kemba	1comb,kemba háriðcomb(el.do) one's hair;kemba sátu[smooth down a haystack with a rake]2(teld.)debug
kembari	(teld.)debugger
kembikambur	fine-tooth comb
kembing	combing
kemikaliuleivd	kemikaliuleivdir chemical residues, chemical slops
kemikalium	chemical;kemikaliirchemicals
kemoterapeutiskur	chemotherapeutic
kemoterapi	chemotherapy;lokal kemoterapiregional chemotherapy
kemotøkniligur	chemico-technical
kemotøkningur	technician in the chemical industry
kempa1	warrior, hero, giant
kempa2	(á dýri) jawbone
kempa3	(sj.)fight, struggle
kempuførur	(kvæð.)of giant strength, strong as a giant
kempukroppur	(stb., sj.)síkempumaður
kempuligur	as becomes a warrior, heroic,tað er ikki kempuligt at gráta um deyðar mennit does not become a warrior to cry over dead men
kempumaður	big strong man
kempumikil	giant, gigantic
kempusiður	(kvæð.)practice (, custom) which becomes warriors
kempusterkur	of giant strength
kempuvaksin	of gigantic size, giant, gigantic, huge, stupendous;(tlm.)blockbuster
kempuvísa	heroic ballad
kempuvísulag	melody to a heroic ballad
kempuørindi	stanza from a heroic ballad
kemur	síkoma
kendur1	síkenna
kendur2	whom one knows,er hann nevndur, er hann kendurI shall mention no names;kent fólk og ókentwell-known people and strangers;vera væl kendur við e-nhit it off well;vera kendur fyrihave the reputation of being(t.d.a swindler); known for(t.d.he is known for his sharp tongue); (viðgitin) famous for(t.d.the town is famous for its good restaurants);gera seg væl kendan hjá e-mbe on good terms with someone, make friends with someone, make oneself popular with someone;vera kendur í býnumbe well known in the town; know the town well;eru tygum kendur í London?do you know London well?eg eri ikki kendur her (í býnum)I am a stranger here(el.in these partskendur millumwell known among;ikki kendur sumunfamiliar(el.unacquainted) with;hann er kendur sum(sjónleikari) he is known as an actor; (viðgitin) he is famous as a actor;kendur viðacquainted(el.familiarel.conversant) with;hann er væl kendur í politiskum skarumhe is well known in political circles;vit eru so væl kendirwe know each other so well, we are such good friends;hann var ikki væl kendur harhe was not welcome (, unwelcome, unpopular) there;illa kendur síilla lýddur;hann er illa kendurhe has a bad reputation
kengura	(dýr.)kangaroo(Macropodinae);(smærri) wallabyslag: Eastern grey kangaroo © Wikimedia Commons
kenn	nibble(t.d.I felt a nibble at the bait); take; bite;tá vit kastaðu, brendu vit í kennwhen we cast we were immediately into the fish;kennið datt burturthe take fell off
kenna	1know,eg kenni hana vælI know her well;eg kenni hann ikkiI do not know him;kenni hann ikki!never heard of him!;kenna seg sjálvanknow oneself;í neyðini kennir tú vinirnara friend in need is a friend indeed;tá ið tú kennir hann beturwhen you come(el.get) to know him better; have knowledge of;ikki kenna s fyri kbe completely ignorant;eg kenni hann so góðanI have such good experience of him;(orðt.) eingin kennir mannin longri enn at tonnunum[no one knows a man deeper than his teeth];hann kennir hvørja snild (eis.)he is up to every trick2(gera mun á) distinguish between, make a distinction between, differentiate, (be able to) discern; tell, know (frá from);kenna mun á tveimum (lutum)know the difference between two things, tell two things apart; hann kennir bygg frá rugihe can tell barley from rye;kenna gott frá illumdistinguish between good and evil3(kenna aftur) recognize;hann er ikki at kenna afturhe is changed beyond recognition; (vorðin betri) he is a new man; (verri) he is not the man he was;kenna á gongulagnum (, málinum)recognize(el.know) sby by his walk (, his voice,o.tíl.); tú kennir prest á málinumyou can always tell a clergyman by his voice;kenna seyðhave the ability to recognize sheep (in the outfield);hesin hvalurin er góður at kenna frá hinumthis whale is easy to distinguish from the others;tað vóru tvey konufólk, sum teir kendu fyri Siggu og Onnuthere were two women whom they recognized as Sigga and Anna4(bíbl.:kynsliga) know;(kvæð.) kenna konuhave intercourse with5(kenna á sær) feel, notice, realize; sense;kenna frið á særfeel(el.be) relieved;hann kendi ongan frið á særhe was anxious (, uneasy);eg kenni á mær atsomething tells me that;(eis.)I feel it in my bones;lata á sær kenna el. lata kenna á særlet something make an impression on one, show signs of something;hon læt ikki kenna á sær, at hon bar sorgshe did not show that she was grieving;lata við seg kenna sílataá sær kenna;kenna til møðifeel tired;eg kenni til fátækt I know what it means to be poor;hann kennir ikki til óttahe does not know the meaning of fear;kenna til sjóverkfeel seasick;kenna til svongdbe hungry;kenna seg eydnuríkanfeel happy;kenna seg heimafeel at home;kenna seg sum eitt annað fólkfeel quite another man (, woman);kenna seg vælbe comfortable(t.d.I have been comfortable at this hotel);kenna seg illabe uncomfortable;kenna grunn el. grunttouch bottom;(orðt.) eingin kennir mein í annans bein[noone feels another man's pain]6feel a bite (of fish)7(gl.)teach8[ísamb.viðfs/hj]kenna aftur:recognize,eg kenni meg ikki afturI cannot recognize the place again;eg kenni teg ikki afturI hardly recognize you;eg mundi ikki kent hann afturI hardly recognized him;ikki at kenna afturunrecognizable;hann er ikki at kenna afturhe is changed beyond recognition; (betri) he is a new man; (verri) he is not the man he was;kenna at:tær eru ikki at kenna atthey are indistinguishable; you cannot tell them apart, you cannot tell the difference between them; you cannot tell one from the other;eg kenni tær ikki atI cannot tell them apart;tær eru næstan ikki at kenna atthey are hardly distinguishable from one another, one can hardly tell them apart;kenna e-m áreproach someone with something, blame someone for something,hann kendi jødum á fyri vantrúgv teirrahe blamed the jews for their infidelity;kenna inn á e-nreproach someone with something, blameel.charge someone for (having done) something;kenna tilbe slightly intoxicated, be tipsy, be inebriated;hann kennir eitt sindur tilhe is a bit tipsy, he is slightly intoxicated,hann kennir væl tilhe is half seas over;síeis.vita um;kenna e-m umreproach someone with something, give someone the blame for something, accuse someone of (having done) something,tað er honum um at kennahe is to blame; it is his fault;kenna út í æsirknow sth inside out; know sth back to front; know sth like the back of one's hand; know sth from A to Z;(serl. am.)know sth backwards; know every inch of sth(t.d.a district);hann kennir London út í æsir (eis.)he knows his London;kenna sær e-t til(lay) claim (to) something (as one's own property);kennast1know each other,teir kendust vælthey knew each other well2be feltel.noticed,ikki eitt livandi kendistno bite was felt (there were no fish);tað kendist mest sum, at blóðið var storknaðit felt as though the blood had clotted;kennast burturúrbe different, differ (from),hasin seyðurin kennist burturúrthat sheep differs from the rest;kennast frásíkennast burturúr;kennast inn á e-naccuse someone of (having done) something;kennast úrtað kennist úr honumit is drizzling;kennast við e-n/e-trecognize (something) (as one's own), own(t.d.a child, a poor relation); acknowledge(t.d.one's debts, one's mistake, one's signature, one's son); admit;have dirvi at kennast við sína sannføringhave the courage of one's convictions;ikki vilja kennast við e-nrefuse to acknowledge (, recognize); disown(t.d.a friend, one's son);hann vil ikki kennast við pápan (svarar til)he is ashamed of his own father
kennar	í osb: geva til kennar show, signify, make known;geva seg til kennarmake oneself known, reveal one's identity; (um kenslurt.d.)manifest itself(t.d.their dissatisfaction manifested itself in numerous protests)
kennaraembæti	(gl.)mastership
kennarafelag	(gl.)teachers' association
kennarafólk	(gl.)teachers
kennarafrúgv	(gl.)female teacher, schoolmistress
kennarakvinna	(gl.) síkennarafrúgv
kennaraskúli	(gl., skúl.)teacher training college, college of education; (í USA) normal college(el.school); teachers' college
kennari	(gl.)teacher
kennifíla	(teld.)cookie; eis.farspor
kenniligur	recognizable, distinguishable from others
kennimerki	distinguishing mark
kenninerv	(lívfr.)sensory nerve
kenning	1(while fishing) the feel of the bite2hava kenningbe tipsy, slightly intoxicated, inebriated,(tlm.)tight, plastered;hava stíva kenninghalf seas over, pissed, sloshed, sozzled;koyra bil við kenningbe drunk in charge of a car3[separate property in sheep]4(sj.)teaching5(í yrkingum) kenning
kenningarhagi	[outfield where the breeding sheep are the property of the individual owners]
kenningarlamb	[lamb which is the personal property of someone on a jointly-owned outfield]
kenningarmark	distinguishing mark
kenningarmerki	1síkenningarmark22(gl.)characteristic, distinguishing(el.distinctive) feature(el.mark), salient feature, criterion(t.d.the criteria of truth); hallmark
kenningarseyður	[sheep in separate ownership]
kenningarstavur	registration letter; (á bili) index mark;kenningarstavir(á skipi svarar til) signal letters
kenningur	1acquaintance;(ofta =)friend;ein av mínum kenninguma man (, girl) I know;felags kenningarmutual friends;ein gamal kenninguran old acquaintance of mine;eg búgvi hjá kenningumI am staying with friends;vinir og kenningarfriends (and acquaintances);ein gamal kenningur (sk.um eitt ið ein hevur sæð áður) an old friend(t.d.that bill is an old friend);hann er gamal kenningur hjá løgreglunihe is an old offender; he is well known to the police2celebrity
kenniorð	(málfr.)article(t.d.the definite, indefinite article)
kennisemi	(lívfr., lækn.)sensitivity, sensitiveness
kennskapur	acquaintance,gamal kennskapuran acquaintance of old standing
kensil	(stb.)síkensl
kensl	1knowing, (faint) recognition,bera kensl á e-nseem to recognize someone2feeling, sensation; atmosphere
kensla1	1feeling(t.d.friendly, hostile, noble feelings; tender feelings; my feelings towards her);við blandaðum kenslumwith mingled(el.mixed) feelings;vísa sínar kenslurshow(el.display) one's feelings; (týðiliga) wear one's heart on one's sleeve;hann vísir ikki sínar kenslur (eis.)he is undemonstrative;(tlm.)he is a cool customer; sentiment(t.d.friendly, hostile, noble sentiments); emotion(t.d.the emotion of grief, jealousy, anger);tala til kenslurnar hjá veljarumappeal to the emotions of the voters; (um huglag) feeling(t.d.there is a feeling of deep sadness in the poem); (eldhugi) passion;maður við sterkum kensluma man of strong feelings(el.emotionsel.passions)2(likamlig) feeling, sensation(t.d.a sensation of heat, cold; a pleasant sensation);eg havi ongar kenslur í arminummy arm is insensible(el.numb)3(fatan, tilvitska) feeling, sense(t.d.a strong sense of duty; a sense of one's own importance); awareness(t.d.of one's responsibility)4(kvæmi) sensitivity(t.d.women often have more sensitivity than men)5(sinnisrørsla) feeling(t.d.he spoke with deep feeling); emotion(t.d.I could hardly speak for emotion)6(gruni, varhugi) feeling, presentiment(t.d.I had a feeling(el.presentiment) that sth would happen);(tlm.)hunch;eg havi eina kenslu av atI have a feeling that(t.d.I have a feeling that I have arrived at the wrong moment); (grun) I have a presentiment that; sth tells me that; I feel it in my bones that;(tlm.)I have a hunch that; feeling that(t.d.I ought to say no more I left the place)7(ít.d.røðu) pathos(t.d.a speech full of pathos)8recognition,bera kenslu á e-n(seem to) recognize
kensla2	(skúl.,sj.)instruction
kensluamboð	(skúl.,gl.)educational material, teaching aids
kensluborin	emotional,(t.d.atmosphere) sensitive, emotional, sympathetic, emotive,(sálarfr.)affective;(GG:the emotionally charged subject of race);hann er so kensluborinhe has an emotional nature(el.a sensitive mind); he is a sensitive soul
kenslubók	(skúl.,gl.)textbook, school book
kenslubundin	(sj.)síkensluligur
kensludeyvur	insensitive, insensible(t.d.to pain), unsusceptible(t.d.to someone's charms)
kensludæmdur	síkensluligur
kenslufínur	síkensluligur
kenslukaldur	(abnormally) insensitive, blunted, callous; (kynsliga) frigid
kenslukona	(skúl.,gl.)female teacher
kenslukroyst	sentimentality, emotionalism, sentiment
kenslukuldi	insensibility, insensitivity, lack of sensibility(el.sensitivity), unfeelingness, harshness, callousness; indifference; cynicism
kenslulag	1emotional state, state of his (, hero.s.fr.)feelings;(sálarfr.)affective state2(skúlam.)teaching method, method of instruction,kenslulagið er broytt ógvisligathe teaching methods have altered radically
kensluleysur	1unfeeling, callous(mótvegisas regards); insensible(mótvegisof); insensitive(mótvegisto)2(likamliga) insensible,(mótvegisto)3(av kulda) numb4(lækn.)anaesthetic
kensluligur	emotional, emotive(t.d.the emotive use of language); affective(t.d.an affective tie to one's parents);av berum kensluligum grundumfor purely sentimental reasons
kenslulív	emotional life, emotional life, emotional make-up, emotions
kensluloysi	(1) insensibility, callousness(mótvegisas regards); insensitivity(mótvegisto); (2) insensibility, insentience(mótvegisto); (3) numbness; (4) anaesthesia
kensluløddur	emotional(t.d.atmosphere)(GG:emotionally charged subject of race); emotive
kenslumál	(skúlam.)language of instruction
kenslumálaráðharri	(stjm.)(í Onglandi) Secretary of State for Education and Science, Education secretary; (um eldri viðurskifti) Minister of Education; (í Danmørk) Minister for Education
kenslumenniskja	emotionalist, man (, woman) of feeling
kenslumikil	emotional
kenslunerv	(lívfr.)sensory nerve
kenslunomin	emotional, easily moved
kenslunæmur	sensitive, emotional, sympathetic
kensluríkur	rich in emotion
kenslurørdur	emotional
kenslusamur	emotional
kenslusansur	(lívfr.)touch, sense of touch, tactile sense
kenslusárur	emotional, soulful,yrkingin er so kenslusárthe poem is so soulful
kenslusemi	sentimentality, sentiment, viðkvæmi
kenslusørur	(sálfr.)síkenslukaldur
kenslutekn	emoji
kenslutími	(skúl.,gl.)lesson, period(t.d.English is taught for four periods a week); tutorial
kensluvirði	sentimental value
kensul	síkensil
keppavond	1(handarb.)honeycomb design2(jarðfr.)soil polygon, polygonal soil(jarðfr.) soil polygon © Pól Sundskarð
keppnetja	(stb.)sítjóðnetja
keppur1	1(dýr.)bonnet, honeycomb2[black pudding cooked in bonnet]
keppur2	1stick, rod, cane2club
keppur3	cloth cap,ganga við keppi el. vera í keppiwear a cloth cap
ker	1(kvæð.)(drinking) cup2ladle3(í lendi) hollow, depression; pond, (jarðfr.) basin
kerald	1(small) vessel2wooden cup with handle (and lid)3(gl.)(wooden) chamber(-pot);(tlm.)jerry
keraldasmiður	(handv., gl.)vessel smith
kerling	(upprfr.) ->kelling
kerra	1cart2(ným.)trailer
kerta	candle, taper
kerti	síkertiljós
kertil	1(lívfr.)gland(t.d.have swollen glands)2(plfr.)glandula
kertildúnurt	(plfr.)slag av dúnurt(Epilobium ciliatum)©Eric Hunt
kertilgørn	(fugl.)glandular stomach, proventriculus
kertilhár	(plfr.)glandular hair
kertilhærdur	(plfr.)with glandular hair
kertiljós	candle
kertlasjúka	(lækn.)scrofula, scrofulosis
kerubur	(átr.)cherub;flt(oftast) cherubim(GG:cherubs merkir vanliga ,,basúneinglar")
kerur	(gl., tlm.)dear, beloved
kerúbur	síkerubur
kerva	systematize(eis. teld), reduce to a system
kervi1	1sheaf of sedge2(ným.)system, network(t.d.they maintain a spy network in the USA; a radio network);vegakervi/jarnbreytarkervi,road/railway) system/network;sólkervisolar system;Evropiska peningakerviðthe European Monetary System(stEMS);tað sosiala kerviðthe social system; the social agencies;alt tað búskaparliga kervið(ES) all sectors of the economy
kervi2	(teld.)system
kervil	(plfr.)chervil; wild chervil, cow parsley(Anthriscus)© Wikimedia Commons
kervisfyrisitari	system administrator
kervisgerð	(teld) systems construction
kerviskrøv	(teld) system requirements
kervismarkamót	network interface
kervismenning	(teld) software development, system engineering
kervisritbúnaður	(teld) system software
kervissamstarv	networking
kervissniðgáva	(teld) systems design; eis.kervissniðgeving
kervissniðgeving	(teld) systems design; eis.kervissniðgáva
kervisvilla	system error
keta	1chain,eingin keta er sterkari enn veikasti liðura chain is as strong as its weakest link2(til tannhjól) (pitch) chain3(sigl.)cable, chain,skekla keturnar íshackle the chains; (akkersketa) cable;bakborðs (, stýriborðs) ketathe port (, starboard) cable;stytta ketunashorten in cable;hvussu nógva ketu hevur tú úti? (sigl.)how much cable are you riding by?;ketan tú liggur fyri (sigl.)the riding cable;hvussu vísir ketan? (sigl.)how does the chain grow?4(urketa) chain, guard5(herm.)line(t.d.a line of skirmishers); cordon(t.d.a cordon of police);gera ketuform a chain; (við at halda í hond hvør á øðrum) link hands(t.d.police linked hands);(fl.m.)form a chain, be concatenated6(av krambúðumo.s.fr.)chain7(útvarpsstøðiro.s.fr.)network
ketil	1(vatnketil) kettle2(at vaska í) copper3(stórur at kóka í) cauldron4(dampketil) (steam) boiler5(til miðstaðarhita) boiler6(jarðfr.)cirque, basin, hollow
ketilbúni	boiler suit
ketildrakt	boiler suit; coveralls;t.s.s.ketilbúni
ketilostur	[boiled raw milk dish in which the curds and whey are separated]
ketilsdrekka	(sj.)warm drink(t.d.tea, coffee)
