V1	1rómverskt taltekn fyri 52(st.)volt
vatnorkuverk	(ravm.)hydroelectric plant, hydroelectric power station
vatnoyri	1gravelled beach around a lake2(jarðfr.) alluvial plain
vatnpistól el.vatnpistólur	water pistol, squirt (gun)
vatnpípa	1(speis.)[worthless grass which has grown up on wet ground]2water pipe
vatnplanta	(plfr.)aquatic plant;(fakl.)hydrophyte
vatnpumpa	water pump
vatnrás	1(old) river bed2(likam.)ureter
vatnrenna	drip-dry, run off;heingja upp at vatnrennahang up to drip-dry;skinnini eru vatnrunninthe skins are drip-dried;troyggjan er væl vatnrunninthe sweater is now drip-dry
vatnrensl	(vatn í á ávísa tíð; mált í l/sek.) run-off
vatnringrás	(jarðfr.) water cycle
vatnríkur	abounding in water, with plenty of water
vatnrok	spray(e.g.from a waterfall)
vatnrot	[rottenness in a potato field on account of wetness]
vatnrotta	(dýr.)water vole(Arvicola amphibius)
vatnrósin	(lækn.)sígággurósin
vatnræðsla	(lækn.)hydrophobia;ræðast vatn(ikki tora at fara útí) be a water funk, be afraid of the water
vatnræsi	1small spring, brook, watercourse;áir og vatnræsirivers and watercourses;tað keksar undir fótinum, har sum eitt vatnræsi erone's shoes squelch when walking across wet terrain2(likam.)ureter;bruni í landræsinum (lækn.)ureteritis;pína í vatnræsinumureteralgia
vatnrættur	horizontal, level;vinkulin millum vatnrætt og loddrætt er 90 stigthe angle between horizontal and vertical is 90 degrees
vatnrør	(water) pipe; (í ketli) water tube
vatnsarvaætt	(plfr.)portulacaceae
vatnsarvi	(plfr.)blinks(fltblinks)(Montia)
vatnsdrykkur	dropel. drink of water;hon unnar ikki hundi vatnsdrykkshe is extremely tight-fisted
vatnseinur	íosb.sumhann er ikki vatnseinur (í morgun/í dag)(he is going to work unusually early)
vatnsendi	foot of a lake
vatnseyður	[sheep suffering from distomatosis, liver flukeel.liver rot]
vatnsjúka	(dýralfr.)distomatosis, liver fluke, liver rot
vatnsjúkur	(dýralfr.)suffering from distomatosisorliver fluke; vatnsjúkurseyðursheep suffering from distomatosis/liver fluke
vatnskaði	damage by water, water damage
vatnskalli	1(fugl.)wren(Troglodytes troglodytes)2fool, simpleton, idiot
vatnskeldugras	(plfr.)water hair grass, water whorl grass, brook grass(Catabrosa aquatica)
vatnskin	[strong sunshine before rain];bara tað ikki er vatnskinI hope the sunshine is going to last
vatnskinsløta	[moment of sunshine between showers]
vatnskíð	(ítr.)water ski;standa á vatnskíðwaterski
vatnskol	[something which is much too dilutedorwatered down(e.g.soup, coffee, tea)]
vatnskorpa	surface of the water;høvdið breddaði undan vatnskorpunithe head appeared above the surface of the water;oman fyri vatnskorpunaabove sea level;uppi í vatnskorpunion the surface;fara upp(um kavbát, hvalo.tíl.)surface;undir vatnskorpunibeneath/below the surface
vatnskorpuhiti	surface temperature
vatnskorpuspenning	surface tension
vatnskøltur	1(fugl.)wren(Troglodytes troglodytes)2fool, simpleton, idiot
vatnskøra	(plfr.)sítjarnaks
vatnslanga	1(at spræna við) hose(t.d.garden hose)2(á køkskrana) rubber nozzleel.spout
vatnslettur	1droporsplash of water2shower
vatnsmakkur	[(mutton which tastes of water] (of sheep which has grazed in soggy terrain)]
vatnsmáli	water level
vatnsoðin	(of hands) softened(e.g.after having washed in very hot water)
vatnsopaeyga	blubberer, sniveller; (um barn) cry-baby
vatnsopi	gulporswallow of water, sip;hann bað geva sær ein vatnsopahe asked for a glass of water
vatnsoyramaður	man atorfrom the village of Vatsoyrar
Vatnsoyrar	(stn.)village on the island of Vágar;í//úr Vatnsoyrumat//from (the village of) Vatnsoyrar;til Vatnsoyrato (the village of) Vatnsoyrar
vatnsótt	(lækn.)dropsy(hydrops)
vatnsóttarkendur	(lækn.)dropsical
vatnspann	pail, bucket
vatnspíraætt	(plfr.)hippuridaceae
vatnspíri	(plfr.) vanligur vatnspírimare's tail(H. vulgaris)© André Karwath
vatnspring	fontain
vatnsprænur	jet of water
vatnsrættur	(sj.)sívatnrættur
vatnstapi	sívatnpípa
vatnstivli	(high) waterproof boot; (upp til klovið) wader; (sjóstivli) sea boot
vatnstokkur	(bíbl.)sívatnleidningur
vatnstoytur	belch, eructation;fáa vatnstoyt (lækn.)eructation of acid fluid
vatnstrond	the beach of a lake
vatnstøða	water level;vatnstøðan í ánni var nógv hægri enn vanligtthe water level of the river was much higher than normal
vatnstøðubroyting	change in the water level
vatnstøðuglas	(málari) water gauge; (glasið sjálvt) gauge glass
vatnstøðumerki	water mark
vatnsúkkla	water cycle
vatnsúla	column of water
vatnsvullur	(lækn.)cyst
vatntangi	water tank
vatntorn	water tower
vatntrantmús	(dýr.)water shrew, oared shrew(Neomys fodiens)
vatntrot	water shortage;tað er vatntrot, ið bilar eplunumthe problem with the potatoes is that they get too little water
vatntroyggja	(tøkn., sigl.)water mantle (á motori)
vatntrýst	water pressure, hydraulicel.hydrostatic pressure; head of water(t.d.a 5 foot head of water; an insufficient head of water)
vatntunna	(sigl.)water cask; (at savna regn í) water butt
vatntyntur	dilutedorthinned with water, watered down; vatntynturhavragreyturwatered down porrige
vatntættur	1(um ílat, rúmo.tíl., eis.ífl.m.)watertight(t.d.alibi; door; vessel; barrel; roof);vatntætt fráveruprógva water-tight/cast-iron alibi2(um plagg) waterproof, impervious to water; (um klæðir) showerproof; (við avmarkingum) water resistant(t.d.the watch is water resistant to 50 metres)
vatnupploysiligur	sívatnloysin
vatnurt	(plfr.)aquatic plant;(fakl.)hydrophyte
vatnutur	watery;eplini eru bleyt og vatnutthe potatoes are soft and watery;vatnut eyguwatery eyes
vatnvánir	prospects of obtaining water;góðar//vánaligar vatnvánirfavourable//unfavourable prospects of obtaining water
vatnveita	(landb.)drain
vatnveiting	1(landb.)draining, drainage; land-draining2water supply
vatnverk	1waterworks(GG:a waterworks); (einskilt) water company2(ravm.)hydroelectric plant, hydroelectric power station
vatnvøkstur	(plfr.)aquatic plant;(fakl.)hydrophyte
vatt	cotton wool;reinsa sár við vatticleanse a wound with cotton wool
vattapar	a pair of woollen mittens
vattar	sívøttur
vattarkrabbi	(dýr.)mitten crab(Eriocheir sinensis)
vattartummil	thumb of a woollen mitten
vattastokkar	thick knitting needles
vattasummar	cold summer (when fishermen were obliged to wear woollen mittens when out fishing)
vattaveður	cold weather
vattfóðra	line with wadding, quilt, wad;vattfóðraður frakkia coat lined with wadding
vattfóður	wadding
vattlagdur	tuftel.wad of cotton wool
vattleysur	without mittens
vattpinnur	1(lækn.)swab (stick), cotton swab, cotton applicator2(at reinsa oyru við) cotton bud;(am.)Q-Tip ®, cotton swab
vatur	(kvæð.)water, sea;drógu teir sínar sjódrekar oman á saltan vaturthey launched their dragon-stemmed ships on to the (briny) ocean/on to the salt sea
vav1	1winding, binding, wrapping, lashing(sigl.)seizing;(t.d.on a hockey stick) binding;(ravm.)winding(s), coil(s);leggja vav um enda (sigl.)point a rope2circumference, girth;í vavibe the size of, be as big as;stórur í vaviextensive, bulky, voluminous;bókin er stór í vavia thick book(eis. t.d.a novel the size of a brick);pakkin er lítil í vavia small parcel;hatta er lítið í vavi(num) (e.g.of a person) he's//she's small in stature
vav2	síveva
vavdi	sívevja
vavgreytur	jumble (t.d.she thought the book was a jumble of genres), muddle;hatta er alt ein vavgreyturit is a fine mess!, what a state of affairs!;hann hevur fingið alt upp í ein vavgreytlook at the mess he has got us into!mishmash (t.d.the album is a mishmash of different styles)hotchpotch (t.d.the mixture had turned into hotchpotch of funny colours) (am.)hodgepodge
vavhúgva	turban
vavkendur	(plfr.)twining
vavla	1íosb. vavla/vavla umguess2vavla á beinunumunsteady on one's feet, shaky
vavmikil	extensive, bulky, voluminous;(fl.m.)extensive;vavmiklar vørurbulky articles/goods
vavplanta	(plfr.)creeper, twiner, twining plant
vavstur	hotchpotch(t.d.of different ingredients); jumble(t.d.of words); medley(GG:a tissue/pack of lies), confusion, mishmash
vavtráður	(plfr.)tendril
vavurt	(plfr.)creeper, twiner, twining plant
vavv	(gl.)the name of the letterv(vaff)
vavviður	plant of the ivy family (avHedera-ættini)
vá1	(kvæð.)hurt, harm; accident, damage;tað standi av vá og vandi!it is an extremely a risky business
vá2	sívega1
vábrestur	[loud crackorbang which warns of approaching dangeroraccident]
váð	(gl.)woven woollen clothel.material; frieze, homespun; piece of clothormaterial;(kvæð.) hon reiv av honum frosna váðshe stripped him of the frozen woollen clothes
váða-	síeis.vanda-
váðaatferð	(samf.) risk behaviour
váðaferð	(sj.)dangerousel.perilous journeyorvoyage
váðafúsur	(bú.) váðafúsur peningurrisk(-bearing) capital, venture capital, venture financing;torført var at finna váðafúsan peningit was difficult to find venture capital
váðafýsnisískoyti	danger money
váðagerð	síváðaverk
váðagestur	dangerous guest;komin inn á okkum sum ein óboðin váðagesturhe's come uninvited and as a dangerous guest
váðagreining	risk analysis
váðalogi	(kvæð.)dangerousorperilous flameorfire; magic wall of fire round Brunhilde's bower on Hindarfjall
váðalýsing	risk analysis
váðameting	risk assessment
váðametingartiltak	risk assessments procedure
váðamikil	(sj.)sívandamikil
váðasamfelag	(samf.) risk society
váðasigling	(sj.)sívandasigling
váðaskot	accidental shot, shot accidentally fired
váðaspjaðing	(bú.) spread of risk, risk spreading
váðaspæl	hazard, game of chance;spæla váðaspælgambling
váðastund	(bíbl.)hour of danger
váðastýring	risk management
váðaverk	dangerousorrash action, risky undertakingorenterprise
váði	1great danger, perilorneed;vera í váðabe in danger; be endangered(t.d.the whole undertaking is endangered); be imperilled;vera staddur í váðabe in danger;lív hansara stóð í váðahis life was at stake, he risked his life;tað stóð so nógv í váðamuch was at stake;seta í váðaexpose sth to danger; risk sth;hann setti lívið í váðahe risked/hazarded his life;menn tínir eru í váða (kvæð.)your men are in danger;deyðaváðimortal/deadly danger2(trygg.)third-party risk;umboðsmenn fyri tryggingarfelagið høvdu kravt ymisk gjøld fyri sama váðadifferent representatives for the insurance company had demanded different payment for the same risk3[íyms.samb.]bera váðabear a risk;dekka váðacover a risk;trygging til allar váðarall-risks insurance;trygging upp á fyrsta váðafirst risk;tað hevur stóran váða/vanda við særit involves great risk; it is risky/hazardous;leypandi váði1the current risk2(trygg. viðv.goymslunøgd av tryggingum) the unexpired portfolio;taka váða upp á segundertake a risk;váðin byrjar...the date of inception of the risk
vág1	1small bay, cove;skip liggja á vágniships are at anchor in the bay;Eystaravág og Vestaravág(the two bays of Tórshavn)2rough sea, swell; wave; váger í sjónumthe sea is rough3(tilt.) rekast/fara fyri vág og vind/fyri vind og vágdrift aimlessly, at random;børnini rekast fyri vág og vindno one takes care of the children;lata alt fara fyri vág og vindallow things to go to rack and ruin
vág2	1(gl.)about 18 kg (39, 7 lbs.);ein vág av ull/lýsi/fjøðuro.tíl. 18 kg of wool//whale oil//feathersetc2(stb.)80 sheep picked out for slaughter;hann skar eina vághe slaughtered 80 sheep
vág3	(gl.)wooden lever (same use as iron lever);lyfta steini við vágraise a stone by means of a wooden lever
vága	1dare, venture(t.d.they won't venture to attack us again);hann bað meg skriva okkurt, men eg vágaði mær ikkihe asked me to write something but I dared not/but I was too afraid to do it;hann vágdi sær at taka í hond hennarahe dared grasp her hand;at tú vágar tær!I wonder (that) you dare!;hann vágaði nógvhe took on a lot of work and strained himself to carry it out;men ikki visti hann, um hann hevði vágað sær at skjóta, um byrsan hevði verið í bátinumbut he wasn't sure whether he had actually dared shoot if he had had a gun in the boat;hava einki í at vágahave nothing to lose;ikki var vágandi at fara oman á hellunait would have been foolish to venture down to the landing place (in such weather)2risk;hann (, ið) einki vágar, (hann) einki vinnur (orðt.)fortune favours the brave;vága lívrisk one's life3praise, laud, commend;eg vági tærI praise you
vágaligur	dangerous, perilous, risky, rash;tað er vágaligt at farait is too risky to leave now
vágamaður	man from the island ofVágar
vágamikil	very daring
vágan	daring;vágan vinnur, og vágan tapir (orðt.)he who is daring (sometimes) wins and (sometimes) loses; fortune favours the brave
Vágar	(stn., landafr.)the island of Vágar;í//úr Vágumin//from Vágar;(vestur) í Vágarto Vágar
vágareldur	(kvæð.; kenning, circumlocution)gold;so skein hennara gula hár, sum glitrar av vágareldiher yellow hair shone like gold
vágarmikil	with largeorhigh waves; vágarmikilsjógvurrough sea
vágarstórur	(sj.; um sjógv, of sea)with largeorhigh waves
vágbinda	moor; vágbindaskipmoor a ship;skipini lógu vágbundin á firðinumthe ships were anchored in the fiord;skipið varð vágbundið á Vestaruvágthe ship came to anchor on Vestaruvág (in Tórshavn)
vágbingur	person from the town of Vágur
vágbløðra	blister
vággerð	(lækn.)suppuration
vággrund	[blister which has not yet become purulent]
vágiligur	dangerous, perilous, risky, rash;tað er ikki vágiligari at søkja bjørgini enn at gera mong onnur arbeiðiit is not more dangerous to go bird caching than are many other jobs;alt eftir hvussu vágilig vinnan erit depends on how risky/hazardous the undertaking is (for the venture capital)
vágin	bold, daring, courageous; foolhardy, rash; reckless;hann helt tað vera ov vágið at halda á fjørðin í hesum líkindunumhe found it foolhardy to try and cross the fiord in such weather;vágin vinnur, og vágin missir/tapir (orðt.)fortune favours the brave
vágkendur	(lækn.)puriform, puruloid
vágkoyna	(on the eyelid) sty;(lækn.)hordeolum
vágloysi	weightlessness
vágmikil	(stb.)sívágarmikil; vágmikilsjógvurrough sea
vágnaður	risk
vágpirra	(on the eyelid) sty;(lækn.)hordeolum
vágsarmur	either side of a bay
vágsbotnur	(stn.)the head of a bay, the innermost part of a bay
vágskál	scale, scale pan, pan (of a balance);eitt lodd í vágskálinia weight in the scale;tað var á vágskálini (fl.m.)on the verge of(t.d.on the verge of ruin//of a collapse); on the brink of(t.d.on the brink of a catastrophe, of war)
vágskorin	1indented with bays, fiords, and sounds;strondin er vágskorin og víkutthe shore is intended with many bays2(plfr.)incised(t.d.leaf)
vágsmóðir	(lækn.)core of an abscess;fáa vágsmóðrina útremove the core of an abscess
vágsmunni	mouth of a bayoran inlet
vágstangararmur	lever arm
vágstangarregla	the principle of the lever
vágstong	sívág3
vágur1	sívág11(serst.ístn.)bay;Miðvágur; Sandavágur; Sørvágur; Trongisvágur; Vágur; vágur millum vinir og fjørður millum frændur (orðt.)[friendships often break up if the contact is too initmate/too frequent]
vágur2	1(lækn.)pus, (purulent) matter2(sj.)matter in the eyes, sleepy-seeds, seeds(flt), sleep(GG:he was still bleary-eyed from sleep);taka vágin úr eygunumremove the matter in one's eyes
Vágur3	(stn.)town of Vágur;í//úr Vágiin//from Vágur;til Vágsto Vágur
vákasmyril	(fugl.)eurasian hobby(Falco subbuteo)(Linnaeus, 1758)©Lilly M.
vákn	1whaling lance2(kvæð.)weapon;(orðt.) dugandi maður fær sær okkurt til vákn/dugandi maður veit sær altíð vákna capable man is never at a loss (as to what to do); a capable man is always resourceful
váknaprógv	(kvæð.)sívápnaprógv
váknvaksin	(plfr.) váknvaksið blaðlanceolate leaf
vál	(stn.)síválur
vála	walk back and forth, walk backwards and forwards; walk up and downel.to and fro, walk aimlesslyorwithout a purpose; stroll, saunter; roam, rove, ramble;vála um í gøtunumwander/roam about the streets, roam the streets;ganga og válawalk back and forth;vála aftur og frambe walking up and down;tú hevur verið úti og válaðyou have been out strolling;hann válaði um í haganumhe had been roaming about in the outfield
válaður	exhausted, tired out;teir komu vátir og válaðir av sjónumthey returned from fishing wet and tired out
válan	strolling, roaming, roving, rambling; wandering; saundering;válanin um bygdinathe roaming about in the village
válgari	(esp in sheep)[cut consisting of the three front ribs with corresponding section of breastbone]
válgna	(stb.)become tepidorluke-warm;vatnið í ketlinum er ikki válgnað ennthe water in the kettle hasn't become tepid yet
válgur	(stb.)tepid, luke-warm,(tøkn.)handwarm;teið er ikki válgtthe tea isn't even luke-warm
válk	swell; válkí sjónumheavy swell
válka1	1make dirty; stir up dirt;hann válkaði sær í rununihe rolled in the mud2(fl.m.)revel in;hann válkar sær í gølunihe revels in the scandal
válka2	válka brúður dress a bride
válkapisa	(dýr.)common gull's young
válkasjógvur	(stb.)heavy swell
válkur1	(gl., kind of)bridal wreath
válkur2	(stb., fugl.)common gull;sískatumási
válkutur	(stb.)with swell
válsin	1(stb.)wet, numb with cold, d raw, chilly; sharp;sokkarnir eru válsnirthe socks are wet2with cold hands
válsligur	(stb.)damp, wet; válsligurum føturnarwith wet feet
válur	(stn.)hill
vána	poor, inferior, bad, miserable, second-rate;eitt vána húsa second-rate house;vána veðurmiserable/bad weather;eitt vána skilwhat a mess
vánadjór	(gl.)poorordelicate person
vánafólk	rabble
vánajørð	bad, poororinfertile soil
vánaligur	poor, bad; weak, frail; ill, unwell, poorly, in bad health; small, slight; (um metal) base;tað var so vánaligt í sjónumthe sea is rough;vánaligt lambsmall lamb;hann var so vánaligur av gikthe was eaten up with rheumatism, he was a martyr to rheumatism;í vánaligum hýriin low spirits;vánaligur prísurlow price;vánaligt úrslitpoor result;hjvánaliga
vánamaður	good-for-nothing, layabout, poororwretched man
vánaslag	sívánafólk
vánatíð	bad times, hardordifficult times, times of adversity;í vánatíðumin bad times, in hard/difficult times, in times of adversity
vánaveður	poororbad weather
vándur	bad, evil, wicked;lagnan og menniskjuni høvdu verið henni vándfate and people had treated her badly;vándinthe Evil One, the Devil, Old Nick
váningur	(stb., sj.)suspicion, feeling, doubt;tað havi eg váning umI suspected as much, I had a feeling that
vánir	views, prospects; forcast; expectations (of), possibilities; circumstances, conditions;vánirnar vóru so ringarthe prospects were not very encouraging;teir halda, at her eru ongar vánir um lívthey consider the situation so bad that there is no prospect of anyone surviving;upp á báðar vánir/upp á báðar vánirnar(as a measure of precaution, to be on the safe side, just in case);seta upp á báðar vánirrisk, venture;eg hevði ikki pengar at seta í tað upp á báðar vánir(said of sth whose result one thinks is highly unlikely to become a success);hann ger seg út upp á báðar vánirhe's equipped himself to be on the safe side (whatever the weather)
vápn	weapon(t.d.weapons of defence; a pitchfork was his only weapon; the strike as a political weapon),(serst. flt)arm(t.d.fire arms, small arms), weaponry(t.d.a second generation of nuclear weaponry);bera vápn á (e-n)attack sby;(orðt.) mangt er dugandi manni til vápna resourceful man is never at a loss (as to what to do)
vápna	arm(t.d.the ship is armed with heavy guns); equip;hermenninir vóru vápnaðir við maskinbyrsumthe soldiers were equipped with tommyguns/(am.)submachine guns;vápna segarm/equip oneself(t.d.with a revolver)
vápnabann	[prohibition of carrying certain weapons]
vápnaberi	(sø.)swordbearer
vápnabrak	din of battle
vápnabrestur	din of battle
vápnabróðir	sívápnafelagi
vápnaburður	the use of arms, arms usage
vápnadubbing	(herm.)arms race
vápnaeftirlit	arms control
vápnafelagi	brother-in-arms(fltbrothers-in-arms); companion-in-arms(fltcompanions-in-arms); comrade-in-arms(fltcomrades-in-arms)
vápnaframleiðsla	arms production
vápnafundur	fight, battle
vápnaførur	capable of bearing arms, fit for military service; (tíðum) able-bodied;allir vápnaførir mennall able-bodied men
vápnagangur	fight, fighting, combat
vápnagerð	arms production; weaponry(t.d.know-how primarily of value for weaponry)
vápnaglintan	rattle of arms
vápnagoymsla	1arms reserves(flt)2arms dump, armoury
vápnahjálp	military aid
vápnahjálparætlan	military aid programme
vápnahvíld	(herm.)(bráðfeingis) ceasefire; (varandi) armistice, truce, cessation of hostilities;gera vápnahvíldconclude an armistice, agree on a cease-fire
vápnahvíldardagurin	(til minnis um fyrra heimsbardaga) Armistice Day; (seinna heimsbardaga) Remembrance Day
vápnahvíldarflagg	flag of truce
vápnahvíldartreytir	armistice terms
vápnaídnaður	armsel.armament(s)el.weapons industry
vápnakyrtil	(sø.)tabard
vápnakønur	with a knowledge of arms
vápnaleikur	(skaldsk.)combat, battle, fight, fighting, action, engagement
vápnaleysur	unarmed, defenceless; síeis.óvápnaður
vápnaloyvi	firearms certificateel.licence; (tíðum) gun licence
vápnamegi	force of arms(t.d.defend one's rights by force of arms);nýta vápnamegiuse/employ force of arms
vápnaprógv	(kvæð.)(e)scutcheon, coat-of-arms
vápnaprýddur	emblazoned
vápnaskipan	weapons system
vápnaskjaldur	(kvæð.)fight, fighting, combat;vanir í vápnaskjaldriseasoned soldiers
vápnaskrambul	rattle of arms
vápnasmiður	armourer
vápnasmíð	arms production
vápnasmuglari	gunrunner
vápnasmugling	gunrunning
vápnastríð	armed struggle, armed conflict
vápnasveinur	(sø.)swordbearer
vápnasøla	trading, tradeel.traffic in arms; arms deal; arms dealing
vápnasølumaður	arms dealer, arms trafficker
vápnaútflutningur	export of arms
vápnavenjing	practice in the use of arms
vápnaverksmiðja	armamentel.arms factory
vápnaverkstaður	armoury
vápnleysur	sívápnaleysur
-vár	sídýnu-,kodda-
vár1	1spring,(skaldsk.)springime;várið 1992in the spring of 1992;um várið/á váriin (the) spring;tíðliga á váriin (the) early spring;til vársnext spring;í vár1next spring2last spring;eg setti eplini niður í várI planted the potatoes last spring;um várarnarin spring;í lívsins vár (fl.m.)in the springtime of life; in the heyday of youth; in the first flush of youth2sívárfjall
vár2	sívær
vár3	(kvæð., skaldsk.)várir, várar, vár fn our, ours;várt fólk leingi í vanda vóð;síokkara
vára	1become spring;nú er farið at váraspring has come;tá ið tók at várawhen spring was coming;illa var várað tað áriðthe spring had been poor that year2carry out spring work (in the fields);skipsmenninir komu aftur at várathe fishermen returned to do the spring work;ein eplavelta til húsbrúks er alt, sum várað erthe only thing I've done this spring is one potato field3(sj.)(to) lamb;handan (ærin) liggur og várar, stakkalinthat ewe is lambing, poor creature
várbeita	(um bø, of infield) use for grazing in the spring(espfor cattle);tað hevnir seg aftur um heystið at várbeita bøinin the autumn it is evident that it is not useful to let the cattle graze in the infield in the spring
várbeiting	[the use of (part of the) infield for grazing purposes in the spring]
várbitin	[(um bø, of infield) which has been pasture for cattle in the spring]
várblálilja	(plfr.)spring squill(Scilla verna)©Willie Angus
várblóma	spring flower, early flower
várdagur	1spring day;fyrsti várdagurthe first day of spring (22 February)2spring, springtime
várdanadái	(plfr.)spring groundsel(Senecio vernalis)©Bogdan Mazur
várdeyði	[mortality among sheep in the spring];sjáldan hevur so nógv farið í várdeyða sum í árseldom before have so many sheep died as this spring
várfeitur	(um seyð, of sheep) fat in the spring
várfiskaleið	sívárleið
várfiskatíð	spring fishing season
várfiski	(sj.)spring fishing
várfiskitíð	sívárfiskatíð
várfiskur	[cod which is caught in the spring];á mariumessu róptu menn várfiskin vera alkomnan á Norðhavinummen used to say from experience that the cod had returned to the sea north of the Faroes by the 25 of March (Lady Day)
várfjall	sívárgonga
várfrost	frost in the spring
várgjóstur	sharp and cold spring wind
várgonga	[the first rounding up of sheep for theáseyðaroyting]
várgróður	spring growth
várgrunnur	fishing ground wherevárfiskurare caught
várgrynna	(stb.)sívárgrunnur
várhagasólja	(plfr.)dandelion(Taraxacum)
Várharra	Our Lord, God
várhálmur	1(gl.)poor straw for horse's fodder2(fl.m.)poor food;geva e-m turr høgg og várhálm (uml.)not show sby hospitality, not show/extend hospitality to sby
várhálva	(fróðsk.)spring term
várhólgi	1sheaf in the spring(fl.m.of sth which is in a miserable state);hatta er sum ein várhólgithat sheep is in a miserable state;skipið var lætt sum ein várhólgi(the ship had caught no fish)2layabout, good-for-nothing
váring	carrying out agriculturalel.farm work in the spring;um mariumessutíðina byrjar váringin av álvaraon Lady Day (25 March) agricultural work begins in earnest
várjavndøgur	(ml.21.-24. septembur) vernal equinox
várkavi	snow in spring, spring snow;hetta var várkavi, ið fór at gera enda á seyðinumthis spring snow would do away with the sheep
várkálvur	calf calved in spring
várkendur	springlike, vernal
várkensla	(that) spring feeling; a feeling of spring in the air
várklukka	(stb.)[noa word for the first crow seen in spring]
várkuldi	coldness in the spring
várkunn	mercy; (góðgerð) charity; (samkensla) pity, compassion, mercifulness, charitableness;vísa várkunnshow mercy; take pity (up)on(t.d.us), have mercy (up)on(t.d.us)
várkunna	1take pity on, have mercy on, take compassion on; várkunnae-mtake pity on sby, have mercy on sby, take compassion on sby;várkunna við e-mexcuse sby, make allowances for sby, bear with sby, be indulgent towards sby, forgive sby;eg má várkunna við tærI must bear with you2(stb.)appreciate;hann plagdi at lata nakrar krónur afturat fyri krovið, tað var fyri at vísa, at hann várkunnaði taðhe usually gave some kroner more for the cut-up sheep carcass than they had agreed upon as a sign of appriciation
várkunnsamur	(bíbl.)merciful; (sum ger góðgerðir) charitable; (sum hevur samkenslu við) compassionate; (sum tekur útyvir við) indulgent
várleið	[area of sea for spring fishing]
várleingja	1sheep which is extremely lean in the spring2sheep which has died by accident or of disease in the spring
várleykur	spring onion, scallion;(am.)green onion (Allium)
várligur	springlike, vernal;í dag er gott veður, sólin skínur, og tað er lýtt og várligtit's a fine day today, the sun is shining and the weather is mild and springlike
várloystur	(skaldsk.)past frost and snow in spring;eitt brúsandi ljóð sum várloyst flóða roaring sound like a spring flood
várluft	(in spring) air with a touch of mildness, spring air
várlýkka	vernal warmth or mildness
várlýsi	spring light, light characteristic for spring
várløta	springlike moment
vármánaður	spring month
vármið	bank for spring fishing
vármøði	spring fatigue
várnátt	spring night
várpartur	(stb.)spring, springtime;komið var fram á várpartinspring had come
várperla	(plfr.) grálig várperlahoary whitlow grass(Draba incana)
várrak	íosb.sumdoyggja í várrakidie in spring from lack of nourishment (of sheep)
várrakstur	(stb.)[rounding up and driving the sheep into the sheepfold in spring]
várregn	(bíbl.)rain in the spring, spring rain
várreka	(stb.)round up and drive the sheep into the sheepfold in spring
várróður	spring fishing (from a boat);á grækarismessu byrjaði várróðurinon 12 March (on St Gregory Day) was (traditionally) the start of the spring fishing
várrulla	spring roll
vársdagur	sívárdagur
várseiður	coalfish, saitheorpollock caught in spring
vársild	spring herring
vársíða	(gl.)sívártíð
vársjavndøgur	sívárjavndøgur
várskerpingur	dry, cold weather in spring
várskrokkur	carcass (of sheep that has died from accident or disease) in spring
várskýming	dusk in spring
vársonatan	(tónl.)the Spring Sonata
vársól	1vernal sun, spring sun; spring sunshine2einmánasól(the third month in the old Faroese calendar calculated from the new month at the end of March to the next new moon)
várspannari	(dýr.)flame carpet(Xanthorhoe designata)
várspógvagras	(plfr.)various-leaved water starwort(Callitriche platycarpa)
várting	(sø.)spring councilel.Thing, districtorlocal council held in each administrative district (sýsla) in spring;vártingini vóru undirrættir fyri hvørja sýslu, men løgtingið var yvirrættur fyri allar Føroyarthevártingswere lower or inferior courts in the various districts whereas theLøgtingwas High Court of Justice
vártingsbók	(sø.)records(flt)of the district courts
vártíð	1spring time, spring2spring fishing;tá ið vártíðin er av, koma skipini heim við góðum fongiwhen the spring fishing is over the ships return full-laden with fish
vártreystur	(um dýr, of animals) in good condition in the spring
vártúrur	(sigl.)fishing trip in the spring(t.d.off Iceland)
várull	wool taken off sheep in the spring
várvátt	sívarvátt
várveður	spring weather;gott og lýtt várveðurgood and mild spring weather;várveðrið í lembing man vera av størsta týdningithe weather in spring is vital for the result of the lambing
várveikur	1(um kríatúr, of animals) weak and lean in spring, in bad condition in spring;neytini vóru beindovin og várveikthe cattle were weak and could hardly stand up2(gl.um fólk, of people) weak in the spring through insufficient food;tey gomlu eru várveik sum húsdýrini og seyðurin3(of a person) who has only small stocks left in the spring
várvinna	síváring
várvinnutíð	season for agriculturalel.farm work in the spring (it began normally on 22 February, the first spring day)
vás	hard work (work during which one becomes wet or dirty);(kvæð.) ofta havi eg í vási veriðI have often been in a tight corner;hvat er á vásiwhat's happening?, what's going on?
vásaklæddur	dressed in one's work(ing) clothes, dressed like a workman, wearing the dress of a workman
vásaklæði	work(ing) clothes;hann var í vásaklæðumhe was in his work(ing) clothes
vásakøkur	(uml.)scullery
vásarbeiði	wet and dirty outdoor work
vásast	work outside in wetorbad weather;allir, ið úti hava vásast, eru komnir í turtall the men who have been working ouside in the bad weather have changed into dry clothes
vásbrúk	til vásbrúk for work(ing purposes)
vásbúni	sívásklæði
vásferð	long, tiringorfatiguing journey (in rough weather)
vásharður	hard-wearing, wear-proof, wear-resisting
vásklæddur	sívásaklæddur
vásklæði	sívásaklæði
