t.	(st.)hour
treða	tread, step,tú skalt óttaleysur treða míni sporbe not apprehensive about stepping in my footprint(s)
treður	sítroða1
treffa	(tlm.)come upon, run into;hann vísir seg at hava troffið við uppi í sjónumit appears that he has come upon fish near the surface (of the sea);landnyrðingur traff á teirthey were caught (overtaken) by north-easterly wind;treffastmeet, come across, bump into, come upon, encounter; síeis.hittast
treffin	heavy, troublesome, hard to force, which offers resistance;brekkan er so treffinthe slope is heavy;havaldan gjørdist treffinthe swells were difficult to force;suðuraftur fingu teir ein trefnan róðurthe rowing south proved to be hard
trega	(kvæð.)hurt, pain, grieve;tungt man sorgin tregathe grief is painful
tregamikil	sad, sorrowful, mournful
tregatungur	sad, sorrowful, mournful
tregi	1sorrow, grief, sadness, pain;bera trega í sínum hjartaovercome/weighed down with grief;hóast tregar og trongdir skal vónin ongantíð doyggjain spite of sorrow and misery hope shall never succumb2hindrance, impediment, obstacle, obstruction;tað kom ein tregi íwe were detained by an obstacle3slight painorache;eg havi ein trega í hálsinum//fyri bróstinumI have a sore throat, I have chest pains
trein	sítrína
treinging	1contraction,(lækn.)stricture, stenosis;hann hevði í longri tíð havt eina treinging í stóru lívæðrinihe had had aortic stenosis for a long time2(some) surf;tá ið hann mennir brimið, hóast veðrið er gott av luft, verður sagt: tað er treinging í sjónumwhen the surf rises in spite of the fact that the weather is good then people usually say that`treinging'is in the sea
treingja	1make narrower, narrow;treingja um e-tmake sth narrower;fjørðurin er víður úti í munnanum, men treingist og grynnist, sum inn kemurthe entrance of the fiord is wide, but it becomes gradually narrower and shallower towards the head (of the fiord);treingjastbecome narrower2press, push, urge(t.d.press/urge him to do it), exert pressure (to get it), insist on (getting it), become importunate (for it);tað eru so nógvir, sum treingja á at sleppa við skipinummany fishermen are keen on getting a job with the ship;hann var so trongdur av einum láni, hann hevði í húsunum, at hann visti sær eingi livandi ráðhe was so hard-pressed by a mortgage that he did not know what to do;tað fór at treingja saman um hjá teimumtheir situation had worsened;treingja seg frampush/elbow/force/thrust/(tlm.)shove one's way(t.d.through the crowd); advance, push forward;treingja seg innforce one's way into(t.d.a house)3push sby;treingja e-n4(be in) needorwant, suffer deprivation;treingja til e-tbe in need of sth;treingjastbe in need of;tað treingist tilit is necessary5(prent.)space closely
treiskast	beorbecome obstinate, stubbornordefiant, do sth reluctantlyorunwillingly;mong eru tey, ið ganga og treiskast og ikki vilja leggja seg í seingina, um tey liva illamany people are up (and about) who ought to be confined to their beds;treiskast (ímóti) e-mdefy sth, brave sth;tað var, sum vildu tey treiskast fátækdóminumit was as if they wanted to defy poverty;teir hildu á at treiskast ímóti hinum hægstathey kept on defying God Almighty
treiski	sítreiskni
treiskin	unwilling and annoyed, stubborn, obstinate, headstrong;eg havi ikki sæð treisknari mann enn tegI have never come across a more obstinate man than you;hann skrykti saman brýr og fekk eitt treiskið eygnalaghe frowned and his appearance expressed defiance;(orðt.) tolin trívst, og treiskin vinnur,sítolin
treiskleiki	obstinacy, stubbornness; defiance
treiskligur	rather stubborn, obstinateorheadstrong;treiskligur av lyndirather stubborn by disposition
treisklyndur	stubborn by disposition
treiskni	sítreiskleiki
treisknisár	h hann er í treisknisárum he is at an assertive age, he is at a defiant age
treiskur	unwilling and annoyed, stubborn, obstinate, headstrong;tað treiska lagið kemur upp í honumhe is sometimes in a stubborn mood;títt treiska trogyou stubborn little scoundrel (said to a child)
treiv	sítríva
trekan	hardly; reluctantly, unwillingly, with reluctance
trekast	do sth unwillingly or reluctantly, decline, refuse, excuse oneself (from)
treki	1hindrance, obstacle;tað vóru so nógvir trekar, tá ið farast skuldi av oynnileaving the island entailed a lot of difficulties2slight painorache;ein treki í hálsinuma sore throat;í tumlinum føldi eg ein trekaI felt a slight pain in one of my thumbs
trekin	reluctant, unwilling;Per bóndi gekk ørindi hennara, ofta trekin, men har var einki annað at gera hjá honumPer, the farmer, used to run errands for her, often reluctantly, but he had to
trekkast	(óregl.)sítrætkast
trekking	íosb. klokkan stendur fyri trekkingthe clock has stopped and must be wound up
trekkja	1wind up;hon trekti klokkuna//urið uppshe wound up the clock//the watch2draw(t.d.pus);legg plástur á, tí tað trekkir so vælput a plaster on it, it draws well3(tannlfr..)pull out, extract, draw; trekkjaút eina tonnpull out/extract/draw a tooth4(tlm.) her trekkirthere is a draught
trekkur1	excrement, feces, faeces
trekkur2	draught (in chimney or the like)
trekleiki	slowness, sluggishness; hindrance, obstacle
trekliga	slowly, sluggishly; reluctantly;maskinan gongur trekligathe engine is not running smoothly;tað gongur trekligathings are going slowly, it is not going well
treklyndur	sítvørlyndur
trekt	(stb.)sítrakt
trektsoppur	(plfr.) grábrúnur trektsoppurMealy Funnel(Cliocybe vibecina)
trekur	1working or functioning badly, slow, sluggish;motorurin er trekur at fáa í gongdthe engine won't start smoothly;fiskaprísurin er lágur, og sølan er trekthe price of fish is low and the sale is sluggish2slow, grown stiff (with);armarnir vóru trekir av at sita allan daginthe arms had grown stiff with sitting all day long3reluctant, unwilling;hann var trekur til og bar seg leingi undanhe was unwilling as was his custom and (for) a long time he tried to avoid (doing it);hann var trekur at farahe was unwilling to go;hon var eitt sindur trek at svarashe was slow in answering4[sumhj]trekt; slowly, sluggishly; reluctantly, unwillingly;hjá summum gekk heldur trekt í fyrstunito begin with some of them had a hard time doing it;tað gongur trektthings are going slowly, it is not going well
tremur	sítrom
trengri	(the comparative [degree] of)trongur
trengstur	(the superlative of)trongur
trepi	1edge, rim;hann fekk kassan upp í trepan á steininumhe managed to put the box up on the edge of the stone;byrgja ánna heilt upp á trepandam up the brook to the edges of its banks2threshold, doorstep;í kvøld fer einki konufólk um trepanno woman dare(s) go out this evening;ikki inn//út um trepannot into//out of the house
trepin	(stb., sj.; um plagg, of clothes)tight;tað er ov trepið at fara íit is too tightly fitting to put on
treppa	terraced land formation (as anýti)
treskitræ	flail
treskivøllur	(bíbl.)threshing place
treskja1	1flail2wooden platform on which threshing is done, threshing floor3[the amount of corn threshed at one time]
treskja2	1(thresh with a) flail;treskja kornthresh corn2force oneself to eat;sita og treskjaforce oneself to eat
tretivti	thirtieth
tretivu	thirty; sítríati
trettan	thirteen
trettanda	Feast of the Epiphany, Twelfth Night (6 January);á trettanduat Twelfth Night;halda trettanducelebrate Twelfth Night;á gomlu trettanduFeast of the Epiphany according to the old calendar (18 January)
trettandaaftan	sítrettandakvøld
trettandabygd	(gl.)[one of the villages whose main dancing event took place on Twelfth Night (often with many house guests)]
trettandadagur	the Feast of the Epiphany, Twelth Night
trettandakvøld	the evening of the Feast of the Epiphany
trettandanátt	the night of the Feast of the Epiphany
trettandatrøll	(gl.)[knitting work which one began before Christmas and which was not completed before the Feast of Epiphany]
trettandi1	thirteenth;trettandi dagur jólathe Feast of the Epiphany, Twelth Night
trettandi2	the thirteenth
trettandu-	sítrettanda-
trevið	(stb., sj.)reluctantly, unwillingly; slowly, sluggishly;í fyrstuni gekk treviðto begin with it was slow work
trevil	(esp of clothes)rag;vanliga svav hann uttan trevil á kroppinumhe usually slept naked;tað var ikki trevil turrur á kroppinumthe clothes were soaked through;ikki hava trevilin at fjala seg við, ikki hava trevilin upp á kroppinhave nothing to wear, I haven't a rag to put on
trevja1	(plfr.)fibre in the stem of angelica; sídrevja1
trevja2	removeorpull the fibre(s) from the stem of angelica (before one eats it); sídrevja2
trevjabátur	fibre-glass boat
trevjaglas	fibre glass, spun glass, glass fibre
trevjarót	(plfr.)fibrous root
trevjastyrktur	plast fibre-reinforced plastics(flt)
trevjuhavin	high-fibre(t.d.high-fibre foods)
trevjulítil	with a low content of fibres
trevjumikil	rich in (cereal) fibres, with a high content of (cereal) fibres;trevjumikil kosturhigh-fibre food
trevlakantur	(handarb.)raw edge;boyggja/bretta trevlakantintuck in the raw edge
trevsa1	1loose thread, frayed ends, fibre, rag, shred2fibre in the stem of angelica3tentacle of a squidel.cuttlefish
trevsa2	fray, become frayed;trevsa hvonnremoveorpull the fibre(s) from the stem of an angelica
trevsali	person dressed in rags, ragamuffin
trevsi	trevsarnir, sum liggja uttast við, verða tiknir burturthe outer frayed ends are then removed; sítrevsa1
trevsusoppaættin	(plfr.)Inocybe;brúngulur trevsusoppurno common name(Inocybe praetervisa); legggrønurtrevsusoppurgreenfoot fibrecat(Inocybe calamistrata); ljósur trevsusoppurn.c.n.Inocybe soluta
trevsusoppur	(plfr.)sítrevsusoppaættin
trevsutur	1frayed, unravelled2in rags, ragged, tattered
treyð	íosb. við treyð og neyðwith difficulty; only just(t.d.we only just caught the train); barely(t.d.I barely managed to crawl upstairs); by the skin of his//her teeth
treyða	1(stb.)press, push, cram, stuff;treyða niður í kuffertiðstuff the trunk2íosb. treyða niður í segforce oneself to eat;hann treyðaði matin niður í seg, tó at hann hevði ilt fyri hjartanumhe forced himself to eat in spite of the fact that he felt sick
treyðaflytil	(alisfr.)moment of inertia
treyðalóg	(alisfr.)the principle of inertia
treyðan	reluctantly, unwillingly, with reluctance
treyði	(alisfr.)inertia;lóg treyðasítreyðalóg
treyðmjólkað	difficult to milk;treyðmjólkað kúgvthe cow is a hard milker, the cow is difficult to milk
treyðmjólkin	difficult to milk;kúgvin er so treyðmjólkinthe cow is a hard milker, the cow is difficult to milk
treyðugt	1hardly, scarcely,barly; still, yet, however, though, true enough, indeed, I dare say, to be sure;treyðugt soeven if that was the case; certainly!, of course!;treyðugt so, onkur regndagur erof course there are rainy days;tað kom, treyðugt so, altíð onkur, sum kundi avloysa hanatrue enough, somebody would show up who could replace her2reluctantly, unwillingly;hann vildi treyðugt lata nakað frá særhe was not much for giving (anybody anything)
treyðum	1hardly, scarcely;treyðum er tað sothat is hardly the case2íosb. treyðum sosítreyðugt1
treyður	reluctant, unwilling, sluggish;eg geri tað treyðurI do it reluctantly, I am not much for doing it;teir vóru ikki treyðir at lána øðrum, tá ið á stóðthey did not hesitate to lend people things if they were hard up;treyðir hava teir gomlu verið at latið gamlar siðir fallapeople of the older generation were reluctant to give up old customs;skilur tú ikki, at eg eri treyður at rýmacan't you understand that I have no wish to leave;við kristni tøkum vær treyðir (kvæð.)we have no desire to embrace Christianity;hurðin er treyðthe door sticks/jams;hundbit er treytt at fáa frískta bite of a dog heals/skins over very slowly
treylari	1truck with trailer2trailer; sí kerra2
treyst1	1(sj.)strength, stamina, endurance, staying power, perseverance;teir gomlu mundu duga at leggja kraft og treyst í stevið2someoneorsomething one can rely on;tað er gott treyst í honumhe is reliable, one can rely on him3courage;hava gott treystbe of good heart;gakk tú fram við góðum treystbe confident;havið gott treyst!take courage
treyst2	(dýr.)(large) adductor of shell fish
treyst3	(likam.)perineum
treysta	strengthen, fortify, reinforce;treysta e-treinforce(t.d.concrete,a castingorfounding)
treystgóður	confident, self-assured
treysti	sítreyst
treystital	1(ítr.) fitness rating2(bú.) confidence index
treystleika	sítreystleikakapping
treystleikakapping	endurance testel.contest
treystleikamet	endurance record
treystleikaroynd	endurance test
treystleiki	endurance, stamina, staying power, perseverance;hann var tiltikin fyri treystleikahe was renowned for his stamina
treystligur	1rather strong, perseveringorenduring, tenacious;við treystligari røddin a powerful, insistent voice2[sumhj]treysliga; strongly, powerfully; frankly, openly; dauntlessly, confidently, vigorously;taka treystliga til orðannatalk frankly and vigorously
treystmæltur	having a powerful voice;hann var so treystmæltur maður tilhe had a very powerful voice
treystna	be strengthened, grow stronger;seyðurin er nógv treystnaður í seinastunithe sheep have grown strong of late
treystur	1persevering, enduring, tenacious, who has staying power, who has stamina, strong, tough, solid, lasting;nú var seyðurin treystari at renna enn um váriðthe sheep were now much more capable of running than in the spring2(um mat, of food) with strong, rank taste; difficult to digest, stodgy, tough;treyst súpanstodgy soup;knettini eru treysttheknetti(r) (q.v.)are tough
treyt1	1difficult trial, hard task;vinna/lúka treytsolve/work out a problem2(vilkor, umstøður) condition, term, stipulation, provision, condition;leggja e-m treytir á el. leggja treytir á e-nimpose condition on sby;leggja eina treyt við e-mlay down the condition that;hóskandi góðar treytir (sigl.)apt terms;tað, ið fram skuldi verða lagt á fundinum, hevði hann treyt at kunngera limunum tríggjar dagar frammanundanhe was obliged to inform the members of items on/of the agenda three days before the meeting3preliminaryel. prior condition, precondition, prerequisite4danger, trouble, difficulty; dependable in need;hann tóktist vera í treythe seemed to be in difficulties;hann var góður í treytumone could always turn to him when in need
treyt2	sítróta
treyta	lay down (specific) termsorconditions; demand
treytabundin	bound, engaged, pledged, under an obligation, committed; bound by obligationorcondition
treytaður	conditional (on);vera treytaður av e-mon the condition that;treytað viðbragd (sálfr.)conditioned reflex;treytað bót (løgfr.)fine with suspended execution;treytaður dómurbe bound over;(am.)get a suspended sentence;treytað náðingreleased on probation; conditionally discharged
treytagóður	dependable in need;(orðt.) sjáldan er trællur treytagóðurhe who relies on a scoundrel is in for a nasty surprise; a villain cannot be expected to do anything good
treytaleysur	1unconditional, there are no strings attached;treytaleys umberingan unreserved apology;treytaleys yvirgevingunconditional surrender;treytaleys fongsulsrevsingunconditional sentence, unconditional (term of) imprisonment;lívið skal vera treytaleyst, annans nokti eg at livano strings must be attached to life otherwise I refuse to accept it2[sumhj]treytaleyst: unconditionally; without reservation; without condition
treytareykasetningur	(málfr.)conditional clause
treytiligur	1(sj.)difficult, hard, awkward2[sumhj]treytiliga;tað gekk so treytiliga at fáa bitan niðurit was difficult to swallow the morsel
triangul	(tónl.)triangle
triasøld el.triastíð	(jarðfr.)Trias, Triassic period
triði	third;tey eru triði og annarthey are related in the second and third degree;triðja stættthe third estate
triði-	(ísmst.)third; sí -elstur, -fremstur, -niðastur, -ovastur, -størstur
triðidagur	(gl., stb.)Tuesday
triðielstur	third(t.dhis third daughter)
triðifremstur	sítriðjapláss
Triði heimur	the Third World
triðihægstur	1the highest but two, the tallest but two2third from the top
triði maður	sítriði partur
triðingsbýti	[division of sth into three (equally large) shares]
triðingsgerð	(gl.)[making up (a farmer's) wool (into jerseys) in return for a payment of one third part]
triðingsreising	(húsasm.)[the most common pitch of the roof of the old Faroese house (the length of the rafters is 2/3 of the breath of the house)]
triðingsvinur	falseordisloyal friend, a treacherous friend
triðingur	1third (part);ein triðingur ava/one third of;tveir triðingar avtwo thirds2íosb. gera fyri triðingmake (a farmer's) wool up (into jerseys) in return for a payment of one third part of the profit
triðiniðastur	third from the bottom
triðiovastur	third from the top
triði partur	(løgfr.)co-defendant; (í hjúnaskilnaðarmáli, in a divorce case) co-respondent
triðisíðstur	last but two;triðjasíðsta stavilsi (eis.)the antepenultimate (syllable)
triðistørstur	third largest;triðistørsti býurthe third largest town, the largest town but two
triðjafloks	(um ferðafólk, farseðlar, of passengers, tickets) third-class; (um góðsku,o.tíl.,of qualityetc)third-rate
triðjagradsbruni	third-degree burn
triðjagradsforhoyr	(tlm.)the third degree
triðjagradslíkning	(stfr., tlm.)cubic equation
triðjaland	(handilsm.)third-party country;(ES,EU) non-EU country;samskifti við triðjalond (ES,EU) external relations
triðjalandsfiskur	(handilsm.)fiskur úr triðjalandi fish from third-party country, fish from non-EU country; sítriðjaland
triðjalandsprísur	third-party price
triðjapláss	third place(t.d.X took third place)
Triðja ríki	the Third Reich (Nasitýskland 1933-45)
triðjarót	(stfr.)the third root
triðjarødd	(tónl.)third (voice)
triðjastætt	(sø.)the third estate
trigonometri	(stfr.)trigonometry
trigonometriskur	(stfr.)trigonometrical(t.d.series; station)
trilka	1(um vind, of wind) rise, increase in strength;hann fór at trilka guliðthe wind was rising2grow in number, increase;vit høvdu eitt kenn, og tað trilkaðistwe were into fish and the take became more frequent;soðið gjørdist tynri og tynri, so hvørt børnini trilkaðustthe stock(t.e.the food) became weaker and weaker as the children grew in number3trilkastbecome round(er) and plump(er), put on fat; (um barnakonu, of pregnant woman)hon trilkast skjóttno one can fail to see that she is pregnant
trilla1	reel of thread
trilla2	1roll, wheel, trundle, push;trilla barnavognpush a pram2be rolling;bólturin fer trillandi eftir vegnumthe ball is rolling down the road
trilla3	sítirla1
trillibøra	(tlm.)(wheel)barrow, (í urtagarði) garden barrow;koyra okkurt í trillibøruwheel/trundle sth in a barrow; síhjólbøra
trillión	quintillion (= 1018)
trillrundur	completely round;gerast trillrundurbe dazed/in a daze;(skemt.) vera trillrundurbe drunk
trillutráður	(sewing) thread from a reel
trilva	grope, fumble, feel (about);trilva eftir e-mgrope for sth;húgvuni trilvaði eg leingi eftir, áðrenn eg fann hana afturI was fumbling about for my hat for a long time before I found it;blundandi trilvaði eg meg uttar at hurðiniwith my eyes closed I felt my way to the front door;trilva seyð//lombexamine sheep//lambs by going over them with one's hands;eg trilvaði meg oman gjøgnum brøttu brekkunaI walked cautiously down the steep slope
trilvan	groping, fumbling
trimpil	(húsasm.)[continuation upwards of the outer wall of a house outside a stud construction]
trimum	sítríggir
trinidadbúgvi	Trinidadian, Tobagan, Tobagonian
trinidadiskur	Trinidadian, Tobagan, Tobagonian
Trinidad ogTobago	(sern., landafr.)Trinidad and Tobago
trinitatis	(kirkj.)Trinity (Sunday);tólvta sunnudag eftir trinitatistwelfth Sunday after Trinitatis
trinna	twist three threads together (of knitting yarn)
trinnanda	of three kinds
trinnandi	sítrinnanda
trinnur1	treble, threefold, triple, three pairs of;eiga trint av klæðumhave three sets of clothes;nú er bæði tvint og trintnow there is (more than) enough of everything;trinnir, trinnar, trinnithree pairs;trinnir sokkarthree pairs of socks;trinnar hosurthree pairs of stocking;trinni klæði(r)three sets of clothes;trinni stórthundraðthree times 120;trinni hústhree dwelling houses
trinnur2	(speis.)energetic, persistent;hann fór so trinnur at gera taðhe began working energetically;her situr hann so trinnurhe is always here
trioda	(alisfr.)triode, three-electrode valve; síeis.tríkleiv
triól	(tónl.)triplet
triski	(stb., sj.)untidily-dressed person
tristur1	1(kortsp.)the three(t.d.í stýrivolti)2(bát.)[rowing boat with three or four thwarts (18 feet long)]
tristur2	(tlm.)sad, in a bad mood
tritl	trip, toddle, mince;tá ið Mikkjal kvað, kom altíð tritl í dansinwhen Mikkjal led the dance it was always more lively;onkuntíð ger hesturin eitt lítið tritlthe horse sometimes trots a little
tritla	1trip, toddle, (uppgjørt) mince, walk with a mincing gait; (um ross) trot;altíð tritlaðu og smárunnu teirthey always either tripped or ran;lata ross tritlatrot a horse, put a horse to the trot2(ítr.)jog
tritlan	tripping, toddling, mincing; (um ross) trot
triv	1(sj.)well-being;lívið alt í hesum heita dali er triv og drekkan í gløðandi sóllifte in this warm valley is all about well-being and boozing under a glowing sun2mending, reparation, keeping up
-triv	síinn-,í-
triva	mend, repair, keep up, put in order;triva (um) e-tmend sth;triva (um) klæðimendorrepair clothestriva um skeggiðtrim one's beard
trivaligur	1careful, thorough, painstaking, meticulous, methodical;vælgjørdur og trivaligur maðura painstaking and careful man2reliable, dependable3big, large, thick,sker kjøtið í heldur trivaligar bitarcut the meat into rather large pieces;krovið hevur ein trivaligan svírathe neck of the carcass is thick;ikki fyrr enn skeinkjarin hevði skonkt nakrar trivaligar snapsar, kom prátið í gongdat first the guests were shy but when the cupbearer had poured them some large schnappses the ice was soon broken4stout, corpulent, portly, chubby, plump;hann hevur altíð verið so trivaligurhe has always been rather portly;brúðurin sat har so køggut og trivaligthe bride was sitting there, plump and chubby;trivaliga smíðað skipa full-bodied ship5[sumhj]trivaliga1firmly;tá ið hann fóru, tók hann trivaliga í hondina á honumwhen he was about to leave he shook his hand firmly;hann setti glasið trivaliga aftur á borðiðhe placed the glass firmly on the table;hann helt trivaliga um glasiðhe held the glass in a firm grip2thoroughly;arbeiðið er gjørt trivaliga og við góðum skilithe work has been carried out carefully and intelligently
trivamaður	orderly, methodical man
trivaskapur	meticulousness, thoroughness, love of order
trivin	trivin smakkur taste of wood;tað gongur trivin smakkur at súpanini//greytinumthe soup//the porridge tastes of wood (av sleivini, from the ladle)
trivla	(sj.)sítrilva
trivnaðarfremjandi	promoting well-being, promoting job satisfaction
trivnaður1	vigorous developmentorgrowth;trivnaðurin er farin úr lambinumthe lamb has stopped growing
trivnaður2	(um dýr, of animals) in good condition, fat; (um fólk, of people) stout, put on weight; well-being;trivnaður á arbeiðsplássinumjob satisfaction
trivnaligur	(um seyð, of sheep) in good condition, fat
trivnast	grow; thrive(t.d.children thrive on milk), flourish(t.d.the conditions under which salmon flourish);neytini trivnaðustthe cattle were flourishing
trivni	1vigorous development, growth; well-being;til lívsins uppihald og trivnafor the upkeep and well-being of life;lítil og eingin trivni fekst íit proved impossible to make them feel good2great industry; meticulousness, thoroughness;(tilt.) nú er trivni komin á Torkils døturnow someone has begun to be unusually industrious
-trivningur	símis-
trivsa	slattern, slut
trivski	(upprfr.)sítriski
trivsutur	slovenly, sloppy
trivtól	gripping device
tríalingur	man who is 3alintall (188 cm, fully 6 feet)
tríari	(number) three(t.d.a bus);fara við tríaranumtake number 3
tríati	thirty
tríatiannarpartsnóti	(tónl.)demisemiquaver
tríatiárakríggið	Thirty Years' War
tríatiundi	thirtieth
tríbein	tripod; three-legged stool
tríbeintur	three-legged, with three legs;tríbeintur stólura three-legged chair
tríbekkur	(bát.)(small) rowing boat with three thwarts
tríblaðaður	(plfr.)trifoliate;tríblaðað bukkablaðbogbean(Menyanthes trifoliata)
tríbólkur	1musical compositionel.work for three instruments2trio
tríbrigdaður	(plfr.)trimorphic
tríburaburður	birth of triplets
tríburasystkin	triplets
tríburi	triplet
tríbýti	tripartition, division (of sth) into three (equally large) shares;(stfr.)trisection
tríbýttur	tripartite, divided into three (equal) sharesorparts;í hesum tríbýtta kirkjurúmithe interior of the church is divided into three parts
trídeildur	(plfr.)ternate, trifoliate
trídekkaður	with three decks
trídekkari	three-decker
trídimensionellur	three-dimensional(st.3-D);trídimensionellur filmurthree-dimensional film; 3-D (film); síeis.trívíddar-
trídupultur	threefold, treble, triple
trídystur	(ítr.)triathlon
tríeind	(átr.)the Trinity
tríeindar	Trinitarian
tríeindarlæra	doctrine of the Trinity, Trinitarianism
tríeinur	(átr.) tríeinur Gudthe Trinity
trífalda	treble, threefold, trible;fólkatalið er trífaldaðthe population has trebled
trífaldur	1treble, threefold, triple, three times larger or more than (sth)2in three layersorparts
trífingraður	trífingraður kalskampur oak fern(Gymnocarpium dryopteris)
trífingrutur	(plfr.)ternate;trífingrut blaðternateortrifoliate leaf
trífinnutur	(plfr.) trífinnut blaðtripinnate leaf
trífitjaður	(dýr.)(toes) broadly lobed;summir fitjufuglar eru trífitjaðirsome web-footed birds have broadly lobed feet
trífjórðingstakt	(tónl.)three-four time, (tíðum) triple time
tríflættaður	(um kvæði, of ballads) with a three-part refrain;tríflættað ørindia stanza with a three-part refrain
trífótur	tripod; lifting gear (consisting of three poles connected at the top)
tríføttur	tripodal, tripedal, three-footed
tríggi	1thick log;tað er eitt ræðuligt tríggi, tú kemur viðwhat a log you are bringing home2scoundrel, rascal, villain, crook
tríggir	(hvmf trimum)three
tríggireinir	only three;teir vóru tríggireinirthey were only three (of them)
tríggjametrakast	(ítr., í handbólti, of team handball)free throw from the three-metre line
tríggjametralinja	(ítr., í handbólti, of team handball)circular line three metres from the goal line
tríggjametrastrika	(ítr., í handbólti, of team handball)circular line three metres from the goal line
trígildur	(evnafr.)trivalent, tervalent
trígjørðutur	(seyðal.)[with three (coloured) stripes down its sides (of sheep)]
trígreindur	three-pronged
trígyrdur	(um stavaílat, of barrels and the like) with three hoops
tríhallur	(jarðfr.) triclinic
tríhalsfylki	(jarðfr.)triclinic system
tríhjólaður	three-wheeled;tríhjólað súkklatricycle;(tlm.)trike; (til vøruflutnings) carrier tricycle
tríhjólingur	tricycle;(tlm.)trike
tríhundraðára	three hundred years old, tercentenary
tríhundraðáradagur	tercentenary
tríhyrningshandil	(sø.)triangular trade
tríhyrningur	1triangular thingorsurface;eis.tríkantur2(stfr.)triangle
tríhyrntur	triangular;tríhyrntur hatturthree-cornered hat, cocked hat
tríhøvdavøddi	(likam.)triceps
tríkantaður	triangular;tríkantað fílthree-square file
tríkantshandil	(sø.)triangular trade
tríkantsleikur	play about the eternal triangle
tríkantur	triangle;javnbeintur tríkanturisosceles triangle;javnsíðaður tríkanturequilateral triangle;hornrættur tríkanturright-angled triangle,(am. eis.)right triangle;spískvinklaður tríkanturacute-angled triangle;gævvinklaður tríkanturobtuse-angled triangle;hjúnatríkanturmatrimonial triangle(GG:the eternal triangle); síeis.tríhyrningur
tríkirnaður	(landb.)with small (stunted) ears of corn;øksini eru tríkirnaðthe ears of the corn are extraordinarily small
tríkirnast	íosb. akurin tríkirnastthe field is producing stunted ears of corn
tríkirni	1(field with) stunted ears of corn2field with stunted ears of corn
tríklangur	(tónl.)triad
tríkleiv	(alisfr.)triode, three-electrode valve
tríklovin	(plfr.)trifid
tríknúgvaður	(landb.)sítríkirnaður
tríkrókutur	1(um fólk, of people) extremely crookedorbent2embarrassed, awkward, sheepish, shy; embarrassing, awkward;hann fór so tríkrókutur av stað aftur við ongumhe left embarrassed and empty-handed
tríkvarts-	three-quarter(t.d.length)
tríleikur	(bókm.)trilogy
trílemba	ewe with triplets(t.e.with three lambs)
trílembulamb	triplet, one of three lambs of the same ewe
trílepi	(steinrunnið dýraslag) trilobite
tríliðaður	trinomial, triadic;tríliðað støddtrinomial
tríliðaregla	(stfr.)the rule of three;øvut tríliðareglainverse rule of three
tríliður	(bókm.)dactyl;øvutur tríliðuranapaest
trílitla-	(lívfr.) triploid
trílittblákolla	(plfr.) love-in-idleness (Viola tricolor)
trílittur	three-coloured;(tilt.) sum ein trílittur frensurbe dressed in bad taste; (um búna, of dress) slovenly, untidy, dishevelled
tríljóð	(málfr.)triftong
tríljómur	(tónl.)triad
trílop	sítrístøkk
trímannaveldi	(sø.)triumvirate;(stjm. o.tíl.)troika
trímanssjavsur	(kortsp.)three-handed card game (usually a four-handed card game)
trímastraður	(sigl.)three-masted;trímastrað skonnartthree-masted schooner
trímenningur	relation in the third degree, second cousin;tey eru trímenningarthey are second cousins;hann er trímenningur hennarahe is her second cousin
trímerkishøsnagras	(plfr.)starwort mouse-ear chickweed(Cerastium cerastoides)© Hermann Schachner
trímæltur	trilingual
trína	step, tread;blaðstjórin trein við miklum kurteisi upp á røðarapallinthe chief editor stepped with much courtliness up to the rostrumtrína dansdance;(kvæð.) eingin trínur dansin undir moldum[(enjoy life to the full) because there is no dancing (merriment) in the grave/under the sod/clay)]
trínáttaður	(um kálv, of a calf) three days old
tríningar	be inordivided into three parts;fara í tríningarbreak/fall/be divided into three parts;vera/liggja í tríningumbe divided into three
trípartaskaldaverk	trilogy(t.d.the novels form a trilogy)
trípeglafløska	[bottle holding a pint and a half]
tríraddaður	(tónl.)three-part;tríraddaður songursong in three parts
tríraðaður	three-rowed;tríraðað byggthree-rowed barley
tríraðari	(sø., herm)trireme
tríraðutur	three-sided
tríreglaður	of three lines, three-line;tríreglað ørinditriplet
trírepaður	(sigl.)three-reefed
trírondutsnípa	(fugl.)sísnípa
trírøða	(stb.)three-sided needle
trírøðutur	three-sided;trírøðut nálthree-sided needle
trískeftaður	(um vevnað, of textile) three shaft,trískeftað vaðmalthree shaft friezeorhomespun
trískera	íosb. trískera torvcut peat three spits deep, cut peat to a depth of three spade blades
trískiftivakt	working withel.in three shifts
trískiftur	(ravm.)three-phase
trískilja	(sigl.)trimaran
trískjaki	[three (herring) nets connected end to end]
trísligin	three-stranded;trísligið reipthree-stranded rope
trístigarakett	three stage rocket
trístreingjaður	(tónl.)three-stringed
trístrenda	(stb.)three-sided needle (for sewing skin shoes)
trístrendur	1(plfr.)trigonous2triangular;trístrend fílthree-square file;trístrend náltriangular needle;trístrend nøtBrazil nut
trístrentur	sítrístrendur
trístrikaður	(tónl.)three-line
trístykkishúgva	(gl.)[cap made of three pieces]
trístykkiskýsi	(gl.)[bonnet made of three pieces]
trístøkk	(ítr.)hop, step, and jump, triple jump
trítal	(figure) three; (í listskoyting) Mohawk
trítalsbýti	sítríbýti
