ú	(málfr.)a vowelordiphthong
útbúnaður	1installation, material, equipment, supplies(t.d.school supplies); tools, implements,(ravm.)electronic goods,(t.d.of a car//of a house//of a flat) appointments(flt),(til ítriv) gear;útbúnaðurin í køkinum er nýggjurthe (fast) kitchen fittings are/equipment is new;útbúnaður til fiskivinnunaequipment for the fishing industry2(armaturur, tilhoyr) fittings; (ketlaútbúnaður) boiler mountings; (til røro.tíl.tíðum) specials(flt); elektriskur útbúnaðurelectricals, electric fittings
útbúningur	(sj.)síútbúnaður
útbygd	(small) isolated village
útbygging	1enlargement, extension(t.d.of the premises); development(t.d.the development of the company was a huge success);útbyggingin hjá SEVdevelopment plan/project for SEV (Faroese light and power company)2(um útbygging av privatum húsi) addition/annexe (t.d.the family wanted to build an addition to the house;he sleeps in the annexe)3(um útbygging av bygningi annars) expansion; (t.d. the company needed an expansion of their building)4(um útbygging av forriti) extension/plugin
útbygningur	outhouse, outbuilding; (afturatbygging) annex(e), addition; (sum stendur fram) projection
útbýlingur	suburban district; (sethúsaøkio.tíl.)residential suburb;ljótur útbýlingur (am., tlm.)slurb
útbýting	share-out, sharing out, division, distribution
útbýtingarmiðstøð	distribution centre, (am.) distribution center; eis.útbýtingarstøð
útbýtingarstøð	distribution centre, (am.) distribution center; eis.útbýtingarmiðstøð
útbýur	suburb,(am. eis.)outer city;handlar í útbýumsuburban shops
útdálkaður	soiled, dirtied, (be)spattered;andlit hansara var útdálkað í blóðihis face was smeared with blood
útdeild	1local editorial office; útdeildblaðsinsthe local editorial office of the paper2branch, branch office
útdeyður	extinct(t.d.animal; plant; family; race; word); dead(t.d.the dead cities of Yucatan)
útdrag	1(stb.)falling tide (near land)2útdragið fór við mærI was carried away by the receding waves; síútdráttur
útdráttur	[the receding of the waves from the shore]
útdyr	entrance to a house, outer door
úteftir	1outwards, out;vit sigldu úteftirwe were sailing towards the mouth of the fiord2(in the time that followed; during the following periodel.time);frá jólum og úteftirfrom Christmas and in the time that followed;tá ið hann var smádrongur og tað úteftirfrom the time he was a small boy and during the time that followed3íosb. og so úteftiretcetera;(speis.)and so on and so forth
úteldur	become too old;eg haldi, at eplini, hann hevur, eru úteldI think that his potatoes are too old (seed potatoes)
útendi	end, extremity of an island;Mykines er vestasti útendin á Føroya landi
útervaður	overstrained, overtired, exhausted, fatigued, weary, tired;hann var so útervaður, tá ið hann kom at landiwhen he reached the shore, he was exhausted
úteykaður	síútervaður,útslitin
útfallandi	(sigl.)útfallandi bógvur flaring bow(s);útfallandi stevniraking stem
útfari	person who settles down in another country, emigrant
útfarin	gone out, who has left;bátarnir eru útfarnirthe boats have left for the fishing grounds
útfaringarbann	1chamber arrest; síinnisettur2curfew(t.d.a curfew was imposed); síeis.útgongubann
útfaringarloyvi	(herm.)pass(t.d.he got a 12-hour pass)
útferð	1excursion(t.d.an excursion to the seaside); outing, trip, jaunt; (við matpakka) picnic;fara útferðmake/go on an excursion; go on an outing; make/go on a trip; go for/on a jaunt; go picnicking2outward journey (formerly when rowing boats were used for fishing);teir vóru vanir at syngja ein sálm á útferð og ein á afturferðthey used to sing a hymn on the outward journey and another on the home journey3(sigl.)[the beginning of the current flowing from the direction of the land]; síútskotogútrák4(gl.)burialel.funeral expenses (funeral oration)
útferðarbann	(samsvarar við) the requirement of an exit permit (for leaving the country)
útferðarhugur	the call of foreign places, longing to go abroad, wanderlust;(tlm.)itching feet; travel bug
útferðarloyvi	permission to leave the country, exit permit
útferðarsálmur	[fisherman's hymn, hymn sung by the rowers on outward journey]
útferðarstaður	(holiday) resort
útferðarváttan	exit visa
útfit	(dý.; á fitfugli, of web-footed birds)outer web; síinnfit
útfístur	(um vind, of wind) abated, dropped, died away, died down, subsided;útnyrðingur plagar skjótt at vera útfísturthe north-westerly wind usually abates fairly quickly
útfjarað	at low ebb
útflái	[flat rocky beach which slopes gently down into the sea]
útflentur	laughed to scorn;teir verða útflentir og speiriknirthey are being laughed to scorn
útflippaður	(tlm.)flipped-out, freaked-out
útflot	(lækn.)discharge(t.d.of pus); (úr oyrum) glue ear
útflutnings-	-bann, -felag; -fólk; -gjald, -handil; -loyvi; -prísur; -studningur; -váttan; -virði; -virki; -vøraetc
útflutningsavlop	(samanborið við innflutningin) excess of exports; export surplus; (avlop sum kann útflytast) exportable surplus
útflutningsátak	export promotion, export drive;útreiðslur til útflutningsátakexport promotion costs
útflutningsbann	export prohibition; export embargo;útflutningsbann á/viðvíkjandi (eis.)a ban on the export of(t.d.the Government imposed a ban on the export of petrol at the outbreak of war)
útflutningseftirlit	export control
útflutningsfelag	exporters' association
útflutningsforboð	síútflutningsbann
útflutningsgjald	export duty
útflutningshall	export deficit
útflutningshandil	export trade(t.d.Britain has a large export trade in motor cars), exports(t.d.fish exports show a pronounced falling-off)
útflutningshækking	increaseel.growth in exports
útflutningsídnaður	export industry
útflutningslán	export credit
útflutningsloyvi	export licence
útflutningsmarknaður	export market
útflutningsprísur	export price
útflutningsstudningur	export subsidyel.subsidies
útflutningsstøð	(oljuv.)export terminal
útflutningstollur	export duty;útflutningstollur á olju (eis.)a duty on oil exports
útflutningstøl	export figures
útflutningsváttan	export licence
útflutningsvinna	export industry
útflutningsvøra	exports, goods for export
útflutningur	1export(t.d.of fish)2(vørur) exports, goods for export;ósjónligi útflutningurinthe invisible exports
útflúrur	low, outlying skerry
útflytari	1exporter (of)2emigrant
útflyting	1extension;útflyting av fiskimarkinumextension of the fishery limit(s)/fishing limit(s)2exports (of goods); síeis.útflutningur
útflýgging	síútflýggjan
útflýggjan	1delivery, distribution2(t.d.of goods) attendance, handling, service delivery4(av apoteki) dispensing3(løgf.)extradition, handing over
útflýggjanarsáttmáli	extradition treaty
útflýggjari	salesman, saleswoman, (shop) assistant(t.d.an assistant in a draper's shop);(am.)(sales) clerk(t.d.a drugstore clerk)
útfornur	(um jørð, of infield) [which has not been cultivated/tilled for a very long time]
útfrá	out from, from;hann rendi bátin útfráhe put off the boat (from the shore);teir høvdu verið útfráthey had been farther out than the most outlying promontories;altarið stendur leyst útfráthe altar does not touch the back wall
útfylling	filling in, completing
útfyllingarblað	(printed) form, application form;(am.)blank
útfyllingarstykki	(skúlam.)filling-in exercise; (roynd) completion test; close test
útfyri	1down from(t.d.edge);hann stóð á sjóvarklettinum, til hann fór fram eftir rommum útfyrihe was standing on a large stone on the foreshore until he fell into the sea2outside, off, offshore;har útfyri liggur Dalsflesthe Dalsfles is positioned outside there3koma(st) útfyribe capable of, manage, succeed (in doing sth);tey komu(st) ikki útfyri at gera taðthey weren't capable of doing it
útfyrntur	antiquated, obsolete, out of date, outdated, outmoded, outworn, old-fashioned;útfyrnt orðold-fashioned word
útførsil	(sj.)síútførsla2
útførsla	1(gl.)export2(sj.)ability to express oneself, command of language;hann hevur góða//ringa útførsluhe is good//bad at expressing himself
útføttur	[who turns his toes/feet outwards (when walking)]
útgangandi	(handilsm.)útgangandi postur outgoing mail;brævabakki til útgangandi postOut tray;(teld. eis.)outbound
útgangsbøn	(kirkj.)concludingel.final prayer
útgangssálmur	concluding hymn, recessional
útgangur	1exit, way out;(kirkj.) Harrin varðveiti inngang tín og útgang tínthe Lord shall preserve thy going out and thy coming in2end, conclusion
útgarður	(sj.)[stone wall round the cultivated infield (of a village)]
útgataður	perforated, riddled (with);seglini vóru útgatað av kúlumthe sails were riddled with bullet holes; the sails had been shot full of holes
útgátt	the outmost threshold(i.e.of the front door);hann stóð á útgáttinihe stood on the threshold of the front door
útgáva	1(t.d.bøkur, bløð, fløguro.tíl.)publication, publishing2(teld.)version3impression, edition(t.d.a limited edition);fyrsta//onnur útgávafirst//second edition;bílig útgávainexpensive edition4(gl.) expense, expenditure, outlay, disbursement
útgávuár	(bók, fløgao.tíl.)year of publication, date
útgávudagur	(bók, fløgao.tíl.)date of publication
útgávuprísur	(new) issue price
útgávustaður	place of publication
útgeisling	(alisfr., jarðfr.)radiation;jarðarinnar útgeislingearth's radiation
útgerð	1installation, material, equipment, supplies(t.d.school supplies); tools, implements,(ravm.)electronic goods;útgerðin á brúnni er t.d. tveir radarar, peilari, sjálvstýrari o.a.the equipment on the bridge are among other things two radars, a direction finder, automatic steeringetc;síútbúnaður2packed lunch and other things that one brings along;útgerðin var drýlur og kjøt3preparations, arrangements;gera útgerð fyri at faramake preparation for the departure
útgerðarfelag	shipping firmorcompany
útgerðarhavn	(oljuv.)supply port
útgerðarlán	loan towards equipment (of fishing vessel)
útgerðarmaður	shipowner;ein yvirstætt av keypmonnum og útgerðarmonnuma ruling class of merchants and shipowners
útgerðarskip	(oljuv.)supply ship; síeis.veitingarskip
útgerðarstøð	(oljuv.)supply base
útgerðarvirki	1(felagið) shipping companyorfirm, firm of shipowners, owners2(virksemið) shipowning business, shipping business, shipping, shipping trade
útgevari	publisher; editor
útgevi	síútgevari
útgevingartrýst	(lækn.)diastolic pressure
útgiftur	[married and no longer living in the parental home];tá ið døturnar vóru útgiftar, var mamman einsamøll í húsinumafter her daughters had married and left the parental home, the mother lived by herself
útgingin	(útseldur) out of stock, no longer in stock;útginginrun out of sth(t.d.I have run out of petrol;GG:I am out of whisky); (verður ikki framleitt longur) discontinued;hatta bilmerkið er útgingiðthat make of car has been discontinued; (á matarkortio.tíl.)off(t.d.the roast lamb is off)
útgivin	published;útgivnar bøkurbooks published; sígeva(út)
útgjald	payment(t.d.of wages//dividends), disbursement(t.d.please effect the following disbursements on our account); (í reiðupeningi) cash payment, cash disbursement; down payment;við ongum útgjaldino deposit;rinda í forskotsgjaldiadvance (payment);rinda 5000 kr í útgjaldipay Kr 5000 down
útgjalding	payment, paying out; útgjaldinger 25. í hvørjum mánaðithe date of payment is the 25thof each month
útgjaldingarboð	payable order
útgjaldingardagur	date of payment
útgjaldingarkort	(ísamb.við giro) (Giro) payment order, Giro cheque, outpayment form
útgjaldingarkvittan	advice of payment
útgjaldingarpoststova	paying office
útgjaldingarstaður	place of payment
útgjaldingartíð	(trygg.)maturity
útgjar	(fl.m.)election promise(s), electioneering bribe, sop to the electors, bid for votes;(am. eis.)pie in the sky
útgjaring	[the act of giving election promises]
útgjørdur	equipped, fitted out, furnished, supplied;væl//illa útgjørdurwell equipped//badly equipped;trolarin er væl útgjørdura well-found trawler;eitt illa útgjørt skipan ill-found ship;eg var ikki útgjørdur at fara til gonguI was not fitted out for walking;illa útgjørdurill-equipped, poorly equipped; (frá skaparansel.náttúrunnar hondeis.)poorly endowed (by Nature); (um skip) ill-equipped, ill-found;væl//illa útgjørdir hermennbadly//well-equipped troops
útgløddur	staredorgaped at;eg var útgløddurpeople were staring at me
útgonga	exit, the act of going out;hann tveitir seg fyri dyrnar og roynir at forða teimum útgongunahe placed himself in the doorway and tried thus to prevent them from leaving;so var hin ungi Geyti til útgonguna fús (kvæð.)then Young Geyti was ready to leave
útgongd	exit, way out
útgongubann	curfew(t.d.a curfew was imposed); síeis.útfaringarbann
útgosin	(jarðfr.)útgosið grótslagvolcanite
útgrátin	red-eyed (with weeping);eyguni eru útgrátinred eyes, swollen eyelids;eyguni á henni vóru reyð og útgrátinher eyelids were swollen
útgreiðing	sífrágreiðing
útgreiðsla	(sj.)síútgjaldogútgjalding
útgreina	1describehann royndi at útgreina tað og fáa skil á tíhe tried to describe and grasp the meaning of it; sígreina(út)2elaborateshe was asked to elaborate her statementhon var biðin um útgreina tað hon segði)3clarifythey asked him to clarify his argumentstey bóðu hann útgreina sínar grundgevingar
útgrevstur	1excavation; digging up, dig2excavation site;útgrevsturin í Tjørnuvíkthe excavation site at the village of Tjørnuvík
útgrivin	sígrava(út)
útgrunnur	[with shallow water a fair distance from the coast];har er so útgrunt
útgrynka	(a place where the rocky shore projects from the land and there are rocks where boats can strike); síflái
úthaldni	stamina, endurance, staying power, perseverance, strength;har krevst bæði tol og úthaldniboth patience and perseverance are required
úthamur	surface
úthandil	(sø.)branch of a businessorfirm, trading station;hesin meginhandil hevði sjey úthandlarthe commercial house had seven trading stations
úthav	ocean
úthavn	1outport2seaport for an inland town
úthálararingur	(sigl.)traveller
úthálari	1(sigl.)outhaul;úthálarin til klyvaran var slitnaðurthe outhaul for the jib/the jib-outhaul had snapped2(sigl.,á hekkutrolara) [a wire to drag the cod end behind the stern before it is shot]
útheimur	abroad, foreign countriesorparts (the world outside the Faroes);tíðindi úr útheimiinternational news
úthella	pour out, shed; úthellablóðshed blood
úthelling	effusion, outpouring
úthendi	hand-out(t.dcopy of a political speech)
úthorn	recess, corner, remote place, backwoods, out-of-the-way place, backwater;í hesum úthorninum av heiminumin this remote place of the world
úthugur	the call of foreign places, longing to go abroad;nú kyknaði úthugurin í honumhe felt suddenly a strong desire to go abroad
úthungraður	starved
úthurð	front door; outer door (asopp.to innhurð);úthurðin gekkthe front door opened and shut, sby came in//went out
úthús	shed, outhouse (t.d.gróthús,hjalluroghoyggjhús)
úthvíldur	rested(t.d.tomorrow when we are rested); refreshed(t.d.he awoke refreshed)
úthýstur	(sj.)síútihýstur
úti	1in the open, under the open sky, out, outside, out of doors; útií túniin the yard;liggja útibe in the outfield;neytini liggja úti alt summariðthe cattle are out in the outfield during the summer half;hann var úti av durunum alt fyri eitthe was out as quick as lightning2(further out from the centre of the house); útivið dyrnarat the front door;úti á loftinumin the loft, in the attic;úti í fjarðarmunnanumin the mouth of the fiord;úti á sundinumout in the sound3[out atortooron the sea];bátarnir eru útithe fishing vessels are out fishing;úti á haviout at sea;liggja útibe out fishing for more than4(seen from an inland position); towards the sea; útiá tanganumout on//off the promontory5abroad, away from home;sigla útibe on an ocean-going ship; be engaged in overseas trade6finished, past, through;nú er søgan útinow the story is over;áðrenn vestfallið er útibefore thevestfallis up;nú var úti við honumand that was the end of him, and then he died;nú eru jólini útiChristmas is over;tíðin er útitime's up7(Christmas, eveningo.tíl.)towards; útiá seinnapartinum kom hann afturhe returned towards the afternoon;úti á heystinumtowards autumn8vera úti um seg//eftir e-mbe enterprising, be acquisitive//try to get hold of sth9(kortsp.) vera útiblank suit, void10úti viðabout, roughly; (heldur slakari) nearly, almost;teir fingu úti við fimm túsund pundthey got almost five thousand pounds (pund = 500 g)
útiarbeiði	outdoor work, (ikki heima) employmentel.work outside the home
útiá	1(some distance out from land);báturin fór rekandi suðureftir nakað langt útiáthe boat was drifting in a southerly direction at some distance from land;tað skeyt eitt sindur í útiáthe sea was rough some distance from land2(over the fire);døgurðin stóð útiádinner was being cooked on the stove
útibarnagarður	nature kindergarten
útiblíður	(stb.)síburturblíður
útibúel.útibúgv	(sj.)branch(t.d.of a bankorfirm)
útidagur	day for outdoor work
útideyðaveður	[extremely bad weather which makes it highly perilous to travel]
útideyði	[perishing on a journey because of storm or the like];útideyðin hevði verið okkum vísur, um vit vóru komnir á land onkustaðni, har eingi hús vóruif we had come ashore in an uninhabited place, we would not have survived
útideyður	[perished in the course of a journey from one village to another (because of storm or the like)]
útidyr	(gl.)síútdyr
útidystur	(ítr.)away game, away match
útiferð	travelling, being on a journey;(orðt.) sjáldan batnar moy á útiferð, símoy,moyggj;(tilt.) alt er tøkt í útiferðwhen travelling, one is grateful for anything one gets
útifólk	outdoorel.open-air person, outdoorsman;(tlm. eis.)open-airel.outdoor type;(stb.)lover of nature
útifundur	open-air meeting; síeis.útimøti
útifyri	(at a short distance from land, close to the shore);báturin lá útifyrithe boat was lying close to(t.d.landing place), the boat was lying off(t.d.the landing place)
útiføroyingur	[Faroeman//Faroewoman who lives abroad]
útigloymdur	forgotten, left out through forgetfulness
útigonga	1going out2[weather to goorbe out in];tað er ikki útigonga í dagthis is no weather to be out in
útigólv	terrace (by a building)
útihoyggj	rick, large haystack (haystack in thehoygarður)
útihýsa	1not give sby accommodation, boardorlodging; útihýsae-mrefuse sby lodging2exclude from(t.d.exclude sby from respectable society), shut out, ostracize;teir vóru útihýstir frá fiskiskapi við Norðurnoregthey were shut out from fishing in waters off Northern Norway; rule out3(løgfr.)foreclose
útihýsing	1exclusion2(løgfr.)foreclosure, preclusion
útií	1([out] in the water, in the sea];hevur tú verið útií?have you been swimming?2(of tea or coffee) with;drekka við mjólk útiía cup of tea//coffee with milk
útiítrótt el.útiítróttur	outdoor sports, outdoor games(flt)
útijavnleikur	(ítr.)away draw
útiklæðir	outdoor clothes(flt),outdoor things(flt)
útilega	1camping (out), camping, camping in the open2síútiløga
útileikari	(krikket)fielder, fieldsman;(fótb. eis.)outfield player
útileikhús	open-air theatre
útileikur	(sj.)síútispæl
útilið	(ítr.)away team
útilív	open-air life
útiljós	outside lamporlantern
útiloka	exclude from, shut out, ostracize, rule out;vit kunnu ikki útiloka møguleikan atwe cannot rule out the possibility that
útilokan	exclusion, shutting out
útilykt	lantern
útiløga	sleeping out(t.d.when working in some desolate isolated place in the outfield)
útiløgudrongur	(sø.)[boy or young man who has run away from the village and lives in some desolate, isolated place]
útiløgufressur	wild tomcat (male cat which has run away and lives in the outfield); síeis.strokahundur
útiløgukattur	síútløgufressur
útiløguketta	cat (cat which has run away)
útiløgumaður	(sø.)[a man who ran away from the village and lived in some desolate, isolated place]
útimaður	outdoorel.open-air person, outdoorsman; íosb. hann er eingin útimaðurhe isn't keen on outdoor work
útimøti	Christian open-air meeting; útimøtiá VaglinumChristian open-air meeting in the town square of Tórshavn
útinna	1carry out, achieve, accomplish;ikki útinti hann stórverkhe did not do much, he was not up to much2complete;hvør skal sína ævi útinnaeverybody has a life to live3(skaldsk.)tell, narrate4(stjm.) útinnandi valdthe executive, the executive power;ríkisstjórnin hevur útinnandi valdthe Government has executive power
útinning	carrying out(t.d.of a decision); performance(t.d.of a task//of a piece of music); execution, accomplishment(t.d.of a task); fulfilment; discharge(t.d.the punctual discharge of one's duties); implementing(t.d.of a plan);hann fekk harða revsing, sum tó ikki kom til útinningar, tí hann doyði stutt eftirhe got a severe sentence which was, however, not carried out because he died shortly afterwards
útinningarstig	implementation rate; eis.fullgerðarstig
útiósigur	(ítr.)away defeat,away loss (t.s.s.útitap)
útipallur	(sjónl.)open-air stage
útipera	(tlm.)síútilykt
útiróður	(stb.)síútróður
útirógvin	(stb.)síútrógvin
útisavn	open-air museum
útiseta	1living abroad, exile;bardagaárini vóru gróðrartíð millum føroyingar í útisetu í Keypmannahavnthe war years were culturally a period of growth for the Faroepeople who lived in Copenhagen2[person who spends much of his time in someone else's house]
útiseti	FaroemanorFaroewoman who has taken up residence abroad;um summarið koma útisetar heim at ferðastin/the/during the summer many Faroepeople return home on holidays
útisetur	(bíbl.)síútiseta;í útisetriliving/being abroad
útisigur	(ítr.)away win,away victory
útispæl	outdoor game
útispælari	(ítr.)fielder, fieldsman,outfield player
útistaddur	staying (temporarily) out-of-door; not present
útistarv	síútiarbeiði
útistongdur	1locked out;eg var útistongdur og slapp tí ikki inn, tá ið eg kom heimafter having returned home I could not get in because I had locked myself out2shut out from;fiskimenn okkara eru útistongdir frá allari veiðu harour fishermen are shut out from fishing (are not allowed to fish) there
útistova	(gl.)guest house;bóndin í Hvalvík hevði eina útistovu, har sum kirkjan nú stendurthe farmer of Hvalvík had a guest house on whose site the church now stands
útistrok	person who gads about a lot and is rarely at home;hvar man hatta útistrokið ganga og malawhere is he now that gadabout
útitap	(ítr.)away defeat,away loss (t.s.s.útiósigur)
útiturking	drying(t.d.of fish) out-of-door
útiupptøka	(lmynd.)outdoor shot; (um filmeis.)exterior shot
útiveður	weather suitable for outdoor work;tá ið útiveður var, arbeiddi teir í bønumwhen the weather permitted it they worked in the infield
útiverandi	[(weather) permitting outdoor activities//work];tað er ikki útiverandi í hesum veðrinumtoo bad weather to be out in
útivið	about, roughly, (heldur slakari) nearly, almost;hvalurin var útivið átta metrar langurthe whale was almost eight metres long;felagið hevur útivið 200 limirthe society has roughly 200 members;tað var útivið, at hann fekk krampahe was nearly seized with cramp
útiviðbót	foreignel.expatriation allowance
útivøllur	(ítr.)away ground;á útivølliaway (from home);spæla á útivølli/hava útivøllplay away
útiyvir	over the fire;nátturðapotturin hekk útiyvirthe pot with supper had been put on
útí	1inorwith sth(t.d.milk for teael.coffee);ikki brúka útídrink teaorcoffee black2(out) in the water, in the sea;fara útígo swimming3[íyms.samb.]har útíand that was that;leggja útípull fingers;legg útíinvitation to pulling fingers;leggja seg útíjoin in the conversation, put one's oar in; (knappliga) break in on the conversation, cut into the conversation, cut in
útjaðar	síútjaðari
útjaðaraleið	(oljuv.)marginal field
útjaðaraøki	edgeel.fringe area, outskirts
útjaðari	fringe(s)(t.d.of a forest//of a parish); border(s)(t.d.of a field//of a country); outskirts(flt); í útjaðaranum á býnumon the outskirts of the town//the city;í útjaðaranum á skóginumon the fringe(s)/outskirts of the forest
útkall	(flogm.)call;síðsta útkall (t.d.til flogfar) last/final call
útkalt	1gone out (of fire); útkaltvar á grúgvunithe fire had gone out;sita við útkaltsit by a fire which has gone out, sit without heating2(fl.m.)(of lovers) come to nothing;har er vorðið útkalttheir engagement has come to nothing3(stb.) nú er útkalt hjá mær í tí haganumI do no have any sheep in that part of the outfield any more
útkikk	(sigl., tlm., maður)lookout (man); (í mastrini) mastheadman;halda útkikkkeep lookout, be on the lookout, watch
útkikstunna	(sigl., tlm.)crow's nest
útklipp	cutting, clipping;(am.)clipping; (blaðúrklipp: av ummælio.tíl.)press cutting;(am.)(newspaper) clipping
útklíndur	smeared with, soiled, dirtied, (be)spattered;steinurin var útklíndur í moldthe stone was soiled, the stone was messed up in mud
útklykt	the nine closing bell strokes tolled;tá ið gudstænastan er endað, verður sungið, síðan kemur útgangsbønin og at enda verður útklyktafter the (divine) service is over a hymn is sung, then the concluding/final prayer, and finally the nine closing bell strokes are tolled
útkoma	livelihood, living;stúra fyri útkomunibe worried about one's livelihood
útkomin	1(um unga, of a young one) out of the egg, hatched;pisurnar eru útkomnarthe young have been hatched2come out, published;bókin//fløgan er útkominthe book//the CD has come out
útkoyrdur	chased, flungorthrown out (of a house, a club); síeis.útblakaður
útkoyring	1chucking out; expulsion(t.d.of a boy from a school); eviction(t.d.of a tenant)2drive; carriage gate
útkólnaður	1gone out;bálið er útkólnaðthe fire has gone out2extinct(t.d.animal; plant; family; race; word)
útkøldur	síkøla
útlagdur	outlawed;kongur gjørdi Eirik útlagdanthe King outlawed Eirikur (Eric)
útlagin	1(sø.)outlawed, exiled;hann var gjørdur útlaginhe was outlawed2(gl.)put outsideel.out, turned out, kept out of it; íosb. gera seg útlagnan av fólkimake oneself impossible, make a nuisance/pest of oneself
útlagstur	1(um køtt, of tomcat) becomeorgone wild;kettan er útløgst;síútiløgukattur2(um fólk, of a person) who has stopped coming on visits;hann er útlagstur;síleggjast(út)
útland	1útlondabroad, foreign countries (all countries other than the Faroes)2(gl.)colony;Ongland og útlond tessEngland and its colonies; síeis.hjáland
útlandaferð	journey abroad;útlandaferðir (eis.)travel abroad, foreign travel;júst afturkomin av útlandaferðjust back from abroad; síuttanlandsferð
útlatin	sílata(út)
útlán	1loan(t.d.of money//of a book);útlán móti veðhaldiloan against/on security;útlán móti pantiloan against/on security;útlán móti panti í fastognmortgage loan2(av bókum á bókasavni) lending, issuing; circulation3(deild í bókasavni) lending department;(am.)circulation department4(deild í banka) loan department
útlánsdeild	1(í banka, of a bank) loan department2(á bókasavni, of library) lending department;(am.)circulation department
útlánsfelag	loan society;(serst. viðv.keypi av fastogn) building society, credit union;(am.)loan association
útlánsloft	credit ceiling, loan ceiling
útlánsrenta	(bú.)interest on loans, lending rate;lægsta útlánsrentaminimum lending rate
útlát	1(málfr.)expression(t.d.the linguistic expression as distinct from the content);geva e-m útlátshow, express, signify, make known, give outlet for, give vent (to one's feelings)2(gl.)síútgjald3(eis. oljuv.)discharge;útlát av dálkaðum vatnidischarge of of polluted water4(vistfr.;serst.um dálkandi evni) emission;CO2útlátCO2emission
útlegd	1exile, banishment;vera í útlegdbe in exile;fara í útlegdgo into exile2útlegdin í Bábylonthe (Babylonian) Captivity3diaspora (t.d.the Ukrainian diaspora flocked back to Kiev)
útlegdarstjórn	government in exile, refugee government
útlegg	síútreiðslur
útlegging	interpretation(t.d.of a dream//of a poem), rendering(t.d.his rendering of the part; his rendering of the story); reading,(t.d.of a difficult passage//of the facts of the case); expounding(t.d.of a text), (av bíbliuni) exegesis; presentation, representation; version;skeiv útleggingmisinterpretation, false reading(t.d.a false reading of his motive); exposition(t.d.the president gave an exposition of recent developments); account; útleggingav orði Gudsexegesis of God's words
útleggja	read, interpret(t.d.a dream; an inscription; útleggja sby's words unfavourably); put an interpretation on(t.d.put a wrong interpretation on sth); (greiða frá) expound, explain(t.d.a text to students); útleggjadreyminterpret a dream, read a dream;útleggja lóginainterpret the law;skriftinaexpound the Bible; síeis.leggja(út)
útleigari	hirer out, letter; (av filmum) distribution agency; distributor; (sum leigar bátar út) boat keeper
útlendingaeftirlitið	[the Aliens Authorities]; (samsvarar við) the Aliens Division of the Home Office; (rættarreglurnar) the Aliens Orders
útlendingahatari	xenophobe
útlendingahatur	xenophobia
útlendingalóg	the Aliens Act
útlendingaløgregla	Central Aliens Police
Útlendingastovan	(í FO) Immigration Office
útlendingur	foreigner;(serst. løgfr.)alien;støða sum útlendingur (løgfr.)alien status
útlendis	(sj.)síuttanlendis
útlendislánsbrøv	(handilsm.) foreign bonds
útlendispartabrøv	(handilsm.) foreign shares
útlendskur	foreign(t.d.goods); from abroad(t.d.our colleagues from abroad); (sum arbeiðir í øðrum landi,eis.)expatriate(t.d.the African universities need 8000 African and 1200 expatriate teachers); útlendskurkorrespondenturforeign language secretary;útlendskur veksilforeign bill of exchange
útlendur	(sj.)síútlendskur
útlestur	(teld.)output (data)
útliðin	(um tíð, of time) advanced, late;tað var langt útliðið á áriðit was late in the year;langt var útliðið á daginit was late in the day
útliður	(likam., fremsti liður á fingri)distal phalange;miðliðurmiddle phalange;knúgvaliðurproximal phalange
útliggjandi	(sigl.)útliggjandi bógvur flaring bow(s);útliggjandi borð(skipssíða) falling-out ship's side;útliggjandi stevniraking stem
útliggjari	(sigl.)outrigger
útliman	withdrawal, resignation
útlimur	extremity, limb (armorleg); síeis.avkvist
útlinja	outline, contour;við týðiligari útlinjuwith sharp outlines, sharply outlined;við ótýðiligari útlinjublurred outline, with blurred outlines; útlinjaá fjallithe outlines of a mountain
útlit	1prospect (of)(t.d.I see no prospect of peace); chance (of); prospects(flt) (t.d.his prospects are poor;GG:2004 prospects are bright); outlook(t.d.the outlook is gloomy); lookout;vánalig útlita bad outlook, poor prospects, a bad/poor lookout(t.d.that's a poor lookout for us)2(veðurfr.)(weather) forecast(GG:tomorrow's outlook: changeable, with rain at times affecting most places)3look(t.d.with a look as if she knew you); expression(t.d.a disgusted expression);(skaldsk.)countenance, mien(t.d.the King's deportment and mien showed the deepest emotion);útlitið í andliti hennarathe expression of her face;útlitið í eygunumthe expression in sby's eyes;stilt og róligt útlit úr eygunumthe expression in his eyes was calm4view; útlityvir haviðview of/over the sea
útljóð	(málfr.)final sound, auslaut; (støða) final position;í útljóðiterminally, in a final position, finally
útloft	attic landing area
útlond	síútland
útlongsil	the call of foreign places, longing to go abroad; síútferðarhugur
útlop	(ítr.)dive;fallskíggjaútlop(parachute) jump, (parachute) descent
útlopin	(sj.)generous, open-handed, liberal, bountiful, munificent, free with one's money
útloysari	(lmynd.)release
útloysing	1liberation, redemption, release, outlet(t.d.an outlet for one's emotion//energyo.tíl.; GG:it might do him good to let off steam);óbrúkt orka, ið einans bíðar eftir útloysingunused energy which only waits for an outlet;hann fekk útloysing fyri vreiðinihe found vent for his feelings in a burst of rage(GG:his feelings vented themselves in a burst of rage)2sexual satisfaction
útloysingarlína	(sigl.)operating cord(t.d.á gummibáti)
útloysn	síútloysing1
útloystur	síloysa(út)
útlutaður	parcelled out;(sø.) kirkjujørðin varð útlutað til kongsfestichurch land was parcelled out to Royal copyhold farms
útlutan	distribution, parcelling out
