o1	(málfr.)vowel, /o:/
omanfyri	1above;høg fjøll omanfyri og smalt sund niðanfyrihigh mountains above and a narrow sound below2fartherel.further up3spretta omanfyricut the carcass from the back and forward below the stomach (after the sheep's skin has been loosened); síspretta14(stb.) fara omanfyri/-'f-/ go boat fishing
omangongd	going down; descent, way down;tað er klettur norðanvert við omangongdinaa rock stands just north of the descent
omanhallur	sloping downwards
omani el.omanbúgvi	Omani
omanífrá	from above
omankast	stone slide,(eis.)fall of single stones from a mountain wall;hann fór av omankastihe died because a stone fell on him
omankavað	íosb. nú er nógv omankavaðsnow has fallen far down the mountain side
omankoyring	wayel.drive down(t.d.to the beach); incline, ramp(t.d.a ramp leading to the garage)
omanleið	descent, way down;mestan møttu tit kendum fólki, sum var á omanleið?you met, I suppose, familiar faces who were on the (their) way down
omanljós	overhead light; (í tekju) roof light;í omanljósiseen in overhead light
omanlop	1landslideel.fall of stones/rocks;menn vóru bangnir fyri omanlopimen were apprehesive of landslides2fallen rock;omanlopið liggur framman fyri munnan ennthe fallen rocks are still lying in front of the mouth/entrance
omanlopin	fallen, fallen rocks;torvan er nú omanlopinthetorva(sítorva12) disappeared in a landslide
omannevndur	above-mentioned;(løgfr.)afore-mentioned;omannevnda uppskot varð sett í gildithe above-mentioned propsal was put in/into force
omanrakstur	driving sheep down from the mountains (into the sheepfold)
omanrák	south-flowing tide in theNólsoyarfjørður
omanrent	(um stað ít.d.bakka, hamriel.bjørgum, of inaccessible places) easily accessible to sheep when walking down to it, but difficult (for them) to get away from again);teir mega vita, hvar ið tað er omanrent, og hvar ið tað er niðanrent hjá seyðithey (the shepherds) must know which places are accessible to sheep only when going down to it and which are accessible only when going up to it
omanrok	heavy snowfall in stormy weather;var ættin ímóti, hevði eg ikki funnið, tí so nógv var jarðrokið og omanrokiðif I had had the wind against me I would not have found the way because of the blizzard and drifting snow
omanrudd	landslip,(eis.)fallen stonesel.rocks, scree, talus
omanskalvur	overhanging snowdrift
omanskrið	landslideel.fall of stonesel.rocks;eg minnist fleiri ferðir til omanskrið av bæði kava og grótithere have been many land- and snowslides in my time
omanskur	Omani
omansleipin	1(um lendi, of terrain) slippery and steeply slopingel.shelving;far ikki hagar, tí har er so omansleipiðdon't go there because it's slippery and steep2tilting;set teg ikki í handa stólin, tí hann er so omansleipindon't sit in that chair it is tilting
omansnákutur	(of hair) plastered down
omansæddur	bird's-eye view(t.d.bird's eye view of London)
omantil	in the upper part;opið omantil á tunnunithe opening (the hole) in the upper part of the barrel
omanturt	pauseorinterval between showers;tað er omanturtit doesn't rain
omanum	below, further down (passing the other personorthing on the way)
omanundir	down(wards) from a higher position to a lower one and then inwards
omanvegur	descent, way down;á omanvegnumon the way down
omanvert	íosb. omanvert við (e-t)a little way above sth
omanvæta	surface water
omma	1grandmother,(tlm.)granny, gran, grandma;(barnam.)nan2old woman;ein gomul ommaan old woman3(stb.)old rotten seed potato in a potato field
ommba	(barnam.)síommubeiggi
ommubarn	(child whose grandmother one is) grandchild, daughter's child, son's child
ommubeiggi	great-uncle, grand-uncle
ommudidd	(barnam.)síommudidda
ommudidda	(barnam.)síommusystir
ommudóttir	granddaughter, son'sel.daughter's daughter;hon er ommudóttir hennarashe is her graddaughter
ommuligur	grandmotherly;alt er nýmótans, sjálvt hitt ommuligastaeverything is modern even the most grandmotherly things
ommusonur	grandson, one's son'sel.one's daughter's son; ommusonurmínmy grandson
ommusystir	great-aunt, grand-aunt
ommutur	grandmotherly;ein ommutur kjólia grandmotherly dress
ompil	(dýr.)young gannet in its first year (until it has lost its down); ompileitur ungin til út í august-september mánað, tá verður hann nevndur grásúlathe young one is calledompiluntil August-September when it is calledgrásúla
ond	1breath;draga ondinadraw breath/breathe;missa ondinalose one's breath;vera tungur fyri ondinihave difficulty breathing, be asthmatic/wheezy;ondin blakast í honumhe is the last throes;við ongari ond1be breathless, be out of breath, be short of breath, be winded;hon stóð rættiliga við ongari ond, sum hon hevði runniðshe had run so fast that she was breathless/had lost her breath;hann helt av húsum við ongari ondhe left the house in the greatest hurry2split (one's sides) with laughter; laugh uproariously;tey sótu við ongari ond yvir brævinumthey were laughing uproariously while reading the letter2haughty, supercilious, arrogant, pleased with oneself;stórur í ondiniarrogant3gentleel.light breeze;ondin er køldthe breeze is cold;tað er kalt í ondinithe breeze is cold4(stb.)síblástur125(sjónavn)whale6(fl.m.) vera sum ein ondbe enthusiastic;hann var sum ein ond beinanveginhe immediately became enthusiastic about it
ong	(kvæð., skaldsk., stn.)meadow
onga manna land	(herm.)no man's land
ongan	síeingin
ongantíð	never; ongantíðbeturI wish it were true;kasta ongantíð frá tærnever give up, never say die;eg havi ongantíð hoyrt so skaftwell I never (heard the like)!;ongantíð nakrantíðnever in all my life, never in all my born days,(el. eis.)never ever;ongantíð á ævininever in all my life;ongantíð afturno more, never(el.not any) more, never again;ongantíð aftur kríggjno more war;nú ella ongantíðnow or never;eg mundi ongantíð blivið liðugur við taðI had an awful job finishing it;næstan ongantíðhardly ever;ongantíð yvirhøvurnever at all;eg havi ongantíð sæð hanaI have never set eyes on her, I never saw her;betri seint enn ongantíðbetter late than never;sig ongantíð ongantíðnever is a long time, never is a strong word;so at siga ongantíðseldom if ever, hardly ever
ongastaðna	(stb.)síongastaðni
ongastaðni	nowhere
ongin	síeingin
onglalag	[tool with which one straightens a twisted fish(ing)hook]
Ongland	England
onglandsferð	journey to England
onglendingur	Englishman;onglendingarnirthe English
ongspretta	(dýr.)grasshopper;(bibl.og í hitalondum) locust
ongtítlingur	(fugl.)tawny pipit(Anthus campestris)(Linnaeus, 1758)Anthus campestris ©Michael Sveikutis
ongul	fishhook; ongulí reyv1who has failed to catch a single fish2(fl.m.)without any success(t.d.return without any success); having failed in one's mission; without having accomplished one's object;(eis.they were sent empty-handed away);ikki loysa ongulinfail totally at fishing
ongulfastur	firmly on the fishhook
ongulfesta	(with a tugorjerk) get a fish (which has taken the bait) fast on the hook, hook (a fish) securely
onk	(stb.)síeymk
onka	(stb.)síeymka
onka-	favourite(t.d.my favourite colour//dish//drink//newspaper//opera//poet/-/study//subject); pet(t.d.expression//subject//aversion); síeis.
onkabarn	favourite, pet, darling;onkabarnið í familjuni (eis., tlm.)the blue-eyed boy;lagnunnar onkabarnthe spoiled darling of fortune, the favourite of fortune);(fl.m.) bókmentafelagið var í mong ár onkabarn hansarathe literary club was his favourite for many years
onkabróðir	(kvæð.)dear and loved brother
onkadóttir	1favouriteormost-loved daughter, pet(t.d.she was the pet of her grandparents), darling2(sj.)only daughter; onkadóttirhansara lá fyri deyðanumhis only daughter was dying
onkar-	síonka-
onkasonur	1favouriteormost-loved son, pet(t.d.he was the pet of his grandparents), darling2(sj.)only son
onkavinur	most intimate friend
onkrantíð	(sj.)at some time or another, sometime (in the future); síonkuntíð
onkrastaðni	(stb.)síonkustaðni
onkuntíð	1at some time or another, sometime (in the pastorthe future); onkuntíðvar eg fitt á fótumthere was a time when I was quick on my feet/agile;var tað sum onkuntíð, hevði hetta ikki pøst megI wouldn't have been exhausted if things were the way they used to be2seldom or never, seldomel.rarely if ever; very rarely;tað var ikki meira enn onkuntíð, at ...it was seldom/rarely if ever that ...
onkunvegin	(sj.)síonkursvegna
onkur1	(gl.)íosb.sume-m tykir onk í e-mone feels sorry for sby
onkur2	onkrir onkrar onkur fn some, any, one or (an)other;onkun daginsome day or another; one day in the near future;onkun dag uppímillumonce in a while;onkra frægari gentu mátti hann funniðhe could have found a better girl (than that);onkur annarsby else;væl er hon ikki so andlitsfríð sum onkur onnur, menit is true that there are girls who have prettier faces than she but;okkurt var at gerasomething had to be done;okkurt sigur túyou chatter;okkurt sovorðiðsomething like that;okkurt um (st. o.u.)approximately, about;(kvæð.) Haraldur liggur í síni song onkun morgun snimmaHaraldur was lying in his bed one early morning
onkursvegna	in one way or another, somehow;tað man fara at laga seg onkursvegna(you'll see) things are somehow going to be straightened out
onkustaðna	(stb.)síonkustaðni
onkustaðni	somewhere, some place or another; onkustaðnistendur skrivaðit is written somewhere
onnur	síannar
ont	(fugl.)wild duck;American black ducksídimmorreyð ontWurasian wigeonsíennigul ontFerruginous ducksíhvítoygd ontCommon pochardsíhøvuðreyð ontCommon shelducksíkápureyð ontBlue-winged tealisívongblá ontGreen-winged teelsíamerikonsk krikkontWhite-winged scotersíamerikonsk spegilsontHarlequin ducksíbrimontRing-necked Ducksíhelsut trøllontCommon goldeneyesííslendsk súgontcommon scotersíkolontEurasian TealsíkrikkontSmewsímarontSurf scotersínakkahvít kolontVelvet scotersíspegilsontNorthern ShovelersíspónontNorthern PintailsístikkontGadwallsísutlontCommon goldeneyesísúgontCommon mergansersítannontGarganeysíteymontRuddy ducksítonut skarvsontRed-breasted mergansersítoppontTufted DucksítrøllontBlue-winged Tealsívongblá ont
onyksmarmari	onyx marble
onykssteinur	onyx
onyksur	(jarðfr.)onyx
op	opening, hole
opa1	(sj.)opening, hole
opa2	1clean out an opening which is cloggedel.blocked up, unstop2(í fletting) openel.cut open a skinned sheep3open; opaøðurnaropen the horse mussels
opalglampi	opalescence;við opalglampaopalescent
opalglas	opal glass
opalgrønur	opaline green
opalkendur	opalescent, opaline
opallampa	opal lamp
opallittur	opalescent, opaline
opalur	(jarðfr.)opal;dýrmettur opalurprecious opal
-opari	sípípu-
opera	1(tónl.)opera2opera(house);fara í operunavisit the opera;operan í Wienthe operahouse in Vienna
operubók	collection of librettos
operuleikpallur	operatic stage
operusangari	opera singer
operusangarinna	opera singer
operuskáli	opera(house)
operutekstur	libretto
operutónaskald	operatic composer
operutónleikur	opera music
opilsi	opening, hole;øll opilsi í plantunum fyllast við luftall the rooms of the plant are being filled with water
opin	1open, unlocked, not closedorshut;opið stóð út í túnthe door out was wide open;seta/blaka opið eftir særdon't close the door;dyrnar standa opnar1the door is wide open2the door is unlocked; opininnanhollow;nøtin er opin innanthe nut is hollow;opin ferðaseðilopen ticket;hava opið høvdhave a good memory, be bright;(málfr.) opin ljóðopen sounds;opið sjálvljóðan open vowel;opið brævopen letter;(úti) á opnum havion the open sea; íosb.sumhar er opið innundirthere is a hollow under the rock(t.d.klett, áarbakkao.tíl.;a steep bankel.brooketc);íosb.sumsigla opnan fjørðinsail through the fiord so that one sees an opening to the sea ahead2(íávís. samb.) accessible;skúlin er opin fyri øllthe school is accessible to all3(íávís. samb.) frank;gentan var opin og fríthe girl was frank and outgoing4(íávís. samb.) candid;hon var ikki smæðin men ógvuliga opinthe girl was not shy but very open5(um eld) naked;latið ikki evnindini/kemikaliini standa tætt upp at opnum eldido not keep the chemicals next to a naked flame6unsheltered, unprotected;liggja opinlie on one's back;opið beinbrotcompound fracture7(opin = ikki kunna tiga við loyndarmáli) who doesn't know how to keep silent, be quietel.hide (a secret)8which yields milk;kúgvin er opinthe cow yields milk;einans kúgv er opinonly one cow gives milk;eingin kona er opinno woman gives milk9hálvopinhalf open
opinbera	reveal, make known, disclose; appear, manifest;Kristus opinberaði seg fyri lærusveinunumChrist revealed himself to his disciples
opinbering	1revelation2(átr.)revelation;fáa eina opinbering frá Guðireceive a revelation from God;Jóhannesaropinbering the Revelation (of St John the Divine), the Book of Revelations, The Apocalypse
opinberingarbók	(átr.)opinberingarbókin the Revelation (of St John the Divine), (the Book of) Revelations, The Apocalypse
opinberligur	1clear, evident, obvious, manifest;kenslan av einsemi og fremmandaleika er heilt opinberligthe feeling of lonliness and alienation is manifest;opinberligur sannleikiobvious truth2[sumhj]opinliga;gera e-n opinberliga til skammarshame sby publicly;atfinningarnar komu fram opinberligathe criticism was publicly voiced
opinberur	clear, evident, obvious, manifest, open;danska stjórnin stóð í opinberari mótstøðu við tjóðskaparrørsluna í Føroyumthe Danish Government was openly opposed to the Faroese National Movement;betri er opinber atfinning enn kærleiki, sum heldur seg fjaldanopen criticism is better than concealed love
opinbingja	open-top container
opinekra	(landb.)fallow field;leggja í opinekrufallow
opinekruarvi	(plfr.)common chickweed(Stellaria media)©Stavros Markopoulos
opinepli	(stb.)[potato dug up in a potato field from previous year's potato crop]
opinleiki	frankness, openness, candour, sincerity;størri opinleikigreater openness
opinlyndi	openness, broad-mindedness, open-mindedness;yrki teirra - runnið av opinlyndi og víðfevnandi hugsjónumtheir work was based on openness and broad-minded ideals
opinlýst	openly, overtly;opinlýst politiskt virksemiovertly political activities
opinlýsur	open, clear, plain, obvious, patent, overt, unconcealed, undisguised;opinlýsur fíggindaskapuropen/overt hostility;opinlýstir fyrimunirobvious advantages
opinoygdur	with protruberant eyes; open-eyed
opinreyv	síopnareyv
opinskára	disclose, give away, reveal;lærarin var ikki tann maður, at hann opinskáraði nakaðthe teacher was not a man who gave away a secret;tað verður skjótt opinskárað, at vit eru herit'll soon be disclosed that we are here
opinskáraður	1outspoken, who speaks straightel.right out, who speaks his mind, open, frank, candid,(eis. t.d.I told him so to his face);tað var honum so líkt at vera opinskáraður við slíkum, ið skuldi verið væl umhugsað og varisliga sagtit was typical of him to speak right out of something which ought to be considered carefully and (then) cautiously conveyed;hon hevði altíð verið opinskárað og aldri dult nakað fyri honumshe had always been outspoken with him and had never made a secret of anything2indiscreet
opinskáraføri	indiscretion;í opinskáraføriopenly;eg tordi ikki at drekka í opinskáraføriI dared not drink(t.d.schnapps) publicly;koma í opinskáraføri(um innibyrgdar kenslur, of pent-up feeling) break out
opinskipanar-	(byggl.)open-plan(t.d.school, house)
opintonn	(dýr.)aardvark, ant bear
opisligur	open, hollow;altíð so mikið opisligt millum rimarnar í neystinumthe space between the boards is always that open;tað ljóðaði opisligt at ganga eftir brúnniit sounded hollow to walk across the bridge
opium	(lækn.)opium;falla til opiumbecome addicted to opium, acquire the opium habit,Sget hooked on opium
opna1	(dýr.)female seal, síeis.úldrynja
opna2	1(í bók, of book) opening, (í blaði, of newspaper) spread;úr hvørjari opnu vellir kærleikin til ættinaevery page gives evidence of his//her love of his//her family2the inner side of a carcass
opna3	open;hann fekk næstan ikki í lag at opna brøvinihe could hardly bring (persuadeel.prevail on) himself to open the letters;opnast (óv.)open, be opened;best at koma sær tætt at landi, áðrenn bygdin opnastthe most sensible thing to do is to approach the coast before the village is fully visible;himmalin opnaðist fyri honumthe Heaven was opening up for him
opnahjallur	drying houseel.shed (for fish) with end walls of stone and open sides
opnakeil	person who cannot keep silent about somethingel.keep a secret, someone who cannot hold his tongue; someone who is indiscreet
opnareyv	1person who forgets to close shut the door2síopnakeil
opnari	1opener2(gl.)drill, (til við) auger
opnatroyggja	cardigan;eg fari at binda eina opnatroyggjuI'm going to knit a cardigan
opningsmiðal	(lækn.)aperient, laxative
opningur	1(lækn.)bowel movement;hava opningmove the bowels, defecate;hava tygum havt opning?have you had any bowel movements?;hava ringan opningbe constipated;hava góðan opninghave regular bowel movements(el.be regular);eg havi ongan opningI am constipated;hann hevur vanligan(el.normalan) opninghis bowel movements are regular2(lækn.)faeces; stools(t.d.stools are a source of contagion);geva opningrelax/open/move the bowels;harður opningurinspissated faeces;tunnur/linur opningurthin stools/faeces
opportunisma	síráksnúni,ráksnúgvinográksnúningur
opsin	thoughtlessel.unthinking and indiscreet;hann var altíð opsinhe was always thoughtless and indiscreet
opsni	the act of being thoughtlessel.unthinking and indiscreet;flestøll læðu eitt sindur at forvitni hansara og opsnimost people were amused at his curiosity and indiscretion
optiskur	(alisfr.)optical(t.d.effect, experiment, glass, instrument)
orangutang	(dýr.)orang-outang, orang-utan(Pongo pygmaeus)©iStock
Oranjufríríki	(sern., landafr., sø.)the Orange Free State
oratoriskur	oratorical
oratorium	(tónl.)oratorio
ordan	(tlm.)íosb.sumgera í ordanrepair(t.d.clothes//a house//road//roof//car//ship/-/watch//hole); mend(t.d.a garment//puncture//hole); fix up(t.d.can you fix up that engine?); fix(t.d.let me fix your typewriter for you);vera í ordanbe in working order
ordans	(tlm.)regular, thorough(t.d.give the engine a thorough overhaul);(tlm.)colossal(t.d.celebration); terrible(t.d.I have got a terrible cold); and no mistake(t.d.he is a fighter, and no mistake);(am.)some (t.d.hatta var ein ordans sigar!some cigar (that)!); whacking (great)(t.d.car; bill)
ordans-	(tlm.)efficient, competent;ein ordanskona//ordansmaðuran efficient woman, an efficient man
ordiligur	(tlm.)orderly, correct, well-ordered, well-regulated; (um fólk) steady(t.d.a steady young man); of regular habits(t.d.a man of regular habits);hann sær, at tað er ikki ordiligt fólkhe understands that he//she is not a decent person;ein ordiligur lubbia large man;ver ordiligur!behave (yourself);hjordiliga
ordri	1(boð) order, command;geva ordrargive (sby) order to do sth2(bílegging) order
orð	1(málfr.)word2saying;(bíbl.) í fyrstuni var orðiðin the beginning was the Word;vita orð fyribe able to express in words;teir høvdu á sær hesa undrandi kenslu, sum teir ikki vistu orð fyrithey had this strange feeling which they were not able to express in words;ikki leita eftir orðunumknow how to express oneself, have a way with words, express oneself with ease;hann átti eingi orð fyri gleði sínihe didn't know how to express his joy;taka orð úr munninum á e-mtake the word(s) out of sby's mouth,(eis.)steal sby's thunder(t.d.by raising this question first: the Liberals have stolen the Conservatives' thunder);vera við tí góða//ringa orðinuminterpret sby's words favourably//unfavourably, see the good//bad side of sth;hann er altíð við tí góða orðinumhe always takes (up) a sympathetic attitude;tað var ikki orð á, sum hann varð rósturthey were so loud in his praise that it is almost indescribable;í orð og tal kundi hon mangan vera ov grefligshe was sometimes too coarse in her way of expressing herself;orð ókst av orðione word led to another;gloym ikki títt/tíni orð!remember what you were saying! (said politely to sby when one wants to put in a remark);øvut orðharsh words;taka orðið avcut sby short;hava/taka seg aftur í orðiniwithdraw one's remarks, retract what one has said;(tilt.) eitt var orðið, annað høggiðsuit the action to the word, no sooner said than done;skaðin var størri á orði enn á borðithe damage was not so bad as was initially believed;(orðt.) mangur er á orði, ið ikki er á borðipromises are like pie-crusts, made to be broken;(orðt.) tað er ikki hvørt orð, tú skalt svara til, og ikki hvørt gildi, tú skalt fara tilbe discriminating in your choice of acquaintances3expression, speech;orðum kønurbe good at expressing oneself, who can speak well, who is a good speaker;ikki fáa orðið upp/frambe tongue-tied;taka til orða(nna)begin to speak4converse, chat; (formliga) make conversation;skifta orð (við e-n um e-t)speak to sby about sth;eiga orð samanconverse;hava orðum saman1make conversation2quarrel, wrangle, bicker;koma til orða við e-nhave a talk with sby, converse with sby;vera til orðameet;fáa orð á (e-n)get into a conversation with sby;bera orð á (e-n)talk to sby;teir komu til orða (eis.)they began quarrelling;bera orð av dreingi//gentube connected with a young man//young woman;hann hevði ikki borið orð av gentu síðanhe had had no relationship with a girl since that time5mention, comment, reference;hava á orði1mention2praise/laud sby;(orðt.) fátt er betri enn á orði havtfew things are better for being talked about;hava (e-t) við orðimention sth;eg havi ofta havt tað við orði, hvussu góður fiskurin erI have often mention it how excellent the fish is;øll hava teir við orðieverybody praises/lauds them to the skies, everybody eulogizes/extols them, everybody sings their praises, everybody is loud in their praise;hava á orði við e-n (um e-t)speak to sby about sth, mention sth to sby;hava orðið ummention;har veksur hin reyði tarin, tygum høvdu orðið umthere grows the red seaweed you mentioned before6rumour;koma/førast út í orðbe rumoured, get about;loypa út í orðlet sth be rumoured, circulate a rumour;hesi ferð hansara gekk mikið orð avthis journey of his was the talk of the town;orð hevur gingið um kærleikan teirra millumpeople have talked much about the love they had for each other;uttan orð og/ella boðwith no warning, at once;hann gjørdi tað uttan orð og boðhe did it immediately;hoyra hvørki orð ella eiðhear nothing from sby;áðrenn nakar visti orðið avbefore anybody knew anything7reputation;hava gott//ringt orð á særenjoy a good//bad reputation, have a bad name;orð gongur avit is rumoured;hann ber orð fyri at vera sterkurhe has the reputation of being strong;bera e-m gott orðrecommend stb;koma (e-m) í ringt orðcirculate a rumour about sby;slíkt er óhóskandi, óverdugt fyri fólk, ið vil hava orð fyri at vera mentað fólksuch behaviour is beneath those who want to be considered civilized persons;sýslumaðurin hevði einki orð á særthe sheriff was not popular;leggja góð orð fyri e-ngive sby a piece of good advice;hann mátti hava vissu fyri, at maðurin var, so sum orðið gekk av honumhe wanted to know for, as a (matter of) precaution, that the man was the way people said8proverb, (common) saying, adage;eitt gamalt orðan old proverb9promise, engagement, undertaking, commitment, assurance, pledge; (hátíðarligt) vow;halda orðkeep one's promise,(eis. t.d.)be as good as one's word;bróta síttorð break one's promise,(eis. t.d.)break faith with;geva (e-m) orð og eiti fyri, at...vow that..;fútin vildi ikki bróta orð og eiti síttthe chief constable would not break his promise10repeat, add;taka í aftur orðiðadd;" ein kann ikki bara arbeiða" , tók Gunnar í aftur orðið`there must be more to life than work', Gunnar repeated11give one's opinion, take part in a discussionel.debate;hava orð uppiígive/state one's opinion of sth;onkur kona hevði eitt orð uppiíone of the women took part in the discussion;eg skoytti ikki um at geva orð tilI didn not feel like replying12(átr.) orðiðthe Word of God, the Scriptures13(fólktr.) hava orðið á e-mpraise sth with the result that it breaks (or the like);hav ikki orðið á honumdon't mention him(i.e.don't say that he is recovering because then his illness might get worse);lat meg ikki hava orðið á tí//tæro.s.fr. let me no say it in case mentioning it spoils it;hon hevði hvassa tungu og nógv av tí, hon spáddi og hevði orðið á, skuldi ganga útshe had a sharp tongue and much of what she told people about the future came true
orða	1mention, bring up, speak, express oneself;orða e-t við e-nmention sth to sby2formulate;kanst tú orða eitt skrivcan you formulate a note;tú mást orða svarið vandaligayou need to formulate your answer carefully3phrase, form;orða ein setningform / phrase a sentence;veit ikki rættiliga hvussu er skal orða taðI am not sure how I should phrase it;orðað sum spurningurphrased as a question4express;eg skal royna at orða meg so raðið sum til berI will try to express myself as eloquently as possible;hann virdi hennara evni at orða seghe admired her ability to express herself5word;tú mást orða grundgevingina neyvtyou need to word your argument meticulously6articulate;hann visti ikki hvussu hann skuldi orða seghe did not know how to articulate what he meant7draw up;ávísar reglur galda tá ið bræv verður orðaðcertain rules apply when drawing up a letter8put forward(t.d.a theory)9orða øðrvísi(t.d.rephrase a question)10orða ímótiprotest against11orða burturmake (sth) disappear;tað gekk so væl - nú orðaði tú tað burtur!things went smoothly, but now by mentioning it, you brought it to a halt;orða ein burturmention sby (with the result that he dies, síorð13);hann orðaði seyðin burturhe praised the sheep which resulted in it dying;orða fisk avrefer to a fish which has taken the bait and thus, by mentioning it, cause it to get off the hook12orðastbecome the talk of the town, be rumoured, be circulated
orðabanki	(teld.)machine readable vocabulary
orðabending	(málfr.)inflection
orðabók	dictionary;føroysk-ensk orðabókFaroese-English dictionary
orðabókar-	lexiographic(al)
orðabókarforrit	(teld.)lexicographical program
orðabókargerð	lexicography
orðabókargrein	entryel.article in a dictionary
orðabókarhandrit	lexicographical manuscript
orðabókarrithøvundur	lexicographer, dictionary-maker
orðabókarritstjóri	editor of a dictionary
orðabókarseðil	(dictionary) slip, (index) slip
orðabrask	boasting, bragging
orðadráttur	discussion, debate, argument, dispute;vera/liggja í orðadrátti við e-nhave a dispute with sby
-orðaður	sít.d. blíð-, fagur-, fals-, fá-, góð-, harð-, hittin-, hvass-, ill-, ljót-, mjúk-, ógv-, stór-, stutt-, søt-, títt-
orðafall	usage(t.d.modern English usage), form of words, way of expressing oneself, language, style;eg havi sjáldan hoyrt so vakurt orðafallI have rarely heard such elegant language
orðafar	usage(t.d.modern English usage), form of words, way of expressing oneself, language, style;hann er altíð so bøllutur í orðafarihe uses such dirty language
orðafáur	1taciturn, silent, of few words(t.d.he is a man of few words); sparing of words2havingel.using a small vocabulary;málið er orðafátt(he) has a small vocabulary
orðafelli	1phrase, language, usage;føroysk orðafelli og orðtøkFaroese phrases and proverbs/sayings2form of words, usage(t.d.modern English usage), language, style;av teimum gomlu lærdi eg gott føroyskt orðafellithe older generation taught me to speak a correct and fluent language
orðafjeppari	wordie (t.d.a new board game that will appeal to wordies of all ages)
orðaflokkur	(málfr.)word class
orðafloymur	torrentel.spate of words, flow of words;eg var eitt sindur illa við av hesum orðafloymiI was somewhat embarrassed by this torrent of words
orðaflóð	torrentel.spate of words
orðafrágreiðing	definitionel.explanation of a wordel.of words
orðagangur	bragging, jabbering;láturligur orðagangur hoyrdist úr krambúðiniridiculous bragging could be heard from within the shop
orðageip	talk, chat, twaddle, nonsense
orðagerð	(málfr.)word-formation, derivation; orðagerðá heimligari grundword formations based on one's own language
orðagjálv	boasting, bragging, brag, swaggering, boastfulness
orðakringur	síorðkringur
orðalag	1usage(t.d.modern English usage), way of expressing oneself, way of putting it; form of words, language, style;hann kundi stundum tykjast bonskur í orðalaghis language could sometime seem rather rude;tað er eitt (ræðuligt) orðalag, hann hevurhe uses a very coarse language;tað fyndiga, máttmikla orðalagiða language which is lucid, terse and to the point;greitt, beinrakið og mergjað var orðalag teirratheir language was brief, terse and to the point;gott og greiniligt orðalagelegant and lucid language;hatta var margháttligt orðalagthat was a strange way of putting it;hava gott//ringt orðalag til e-nspeak well//badly about someone;hann hava tey einki orðalag tilthey do not praise him2(málfr.)syntax
orðalags-	syntactic(al)
orðalagsheild	(málfr.)syntagma
orðalagslæra	(málfr.)syntax
orðaleikur	1pun, play on words; wordplay; word game2language full of clichés, cliché-ridden language, platitudinous language;alt endaði í berum orðaleikiit ended in cliché-ridden language
orðaleyst	without protestel.reproach;gert tú hatta, verður tað ikki orðaleystyou'll hear for it if you do that;tað skal ikki vera orðaleystI won't accept it without striking a blow;tað gjørdi hann orðaleysthe did it without protesting;einhvør hevur gjørt hesa góðgerð orðaleystsomebody has done this act of charity anonymously;tað var alt orðaleystthere were no protests
orðalisti	list of words; glossary; vocabulary
orðalítil	taciturn, silent, of few words(t.d.he is a man of few words); sparing of words;hon var álvarsom og orðalítilshe was serious and taciturn;hon var orðalítil og læt aldri nakað leka út, sum hon vistishe was a woman of few words and she never told anybody things she knew about;hesi fólkini vóru so orðalítilthey were silent people
orðaljóð	1wording, text;brævið varð lisið upp í fullum orðaljóðithe letter was read aloud in extenso/in full/in toto2wording(t.d.of a document//a letter//a text); (tekstur) text3(íyms.samb.]sambært orðaljóðinum(t.e.bókstavliga): sambært orðaljóði sáttmálansaccording to the terms of the contract
orðaljóðfall	(málfr.)word rhythm
orðalýsing	definitionel.explanation of a wordel.of words
orðalæra	(málfr.)teaching of word classes
orðamikil	given to using big words, bragging, boasting;tú plagar ikki at vera so orðamikilyou are not usually given to using such big words
orðamunur	alternative reading, variant; orðamunurúr øðrum handriti stendur við hvørt undir tekstinumsometimes alternative reading have been inserted from other manuscripts
orðanøgd	torrentel.spate of words;orðanøgdin var ógvulig, men skilið var lítiðthere were many words but not much sense
orðarað	(málfr.)word order;beint orðaraðnormal word order;øvut orðaraðinversion, inverse word order
orðaraðið	literally, word for word, verbatim;frásøgan er prentað at kalla orðaraðiðthe account has been printed word for word;ikki er orðaraðið avskrivaðit is not a literal transcription
orðaríkur	with a richel.large vocabulary;hann var tiltikin fyri at vera orðaríkurhe was renowned for his large vocabulary;ikki bert orðaríkur, men dáðríkur eisinihe was not only a man of many words he was active/glorious too
orðarætt	literally, word for word, verbatim;duga e-t orðarættrepeat/know sth word for word;umseta orðarætttranslate literally/verbatim
orðarættur	1literal(t.d.translation), word for word(t.d.quotation); verbatim(t.d.report);orðarøtt frágreiðinga verbatim account2[sumhj]orðarætt;barnið segði søguna orðarætt, sum tað hevði hoyrt hanathe child recounted the story word for word as it had heard it
orðasamband	context (of a word);í vissum orðasambondumin certain contexts
orðasambands-	contextual
orðasavn	vocabulary
orðaskifti	exchange of words, argument, discussion, debate;teir høvdu sitið í orðaskifti um okkurt málthey had been discussing/debating some case;orðaskifti um fíggjarlógdebate on the finance bill
orðaskiljing	(sj.)definitionel.explanation of a wordel.of words
orðaskolan	verbosity, verbiage, torrentel.spate of words
orðaskrá	list of words; glossary; vocabulary
orðaskvaldur	verbiage, verbosity, torrentel.spate of words, flow of words;røðan var tað bera orðaskvaldurthe speech was full of commonplaces
orðasmiður	neologist
orðasmíð	(málfr.)neologism, neology; coinage, coined word
