r	h (málfr.)consonant,/ær:/
ránsveiða	depletion; síránveiða,ovfisking
ránveiða	depletion of fish stock;smátøkin fiskiskapur, ið als ikki kann kallast ránveiða av nøkrum slagfishing with small vessels (small capacity fishing) which in no way threatens fish stocks
ráolja	crude oil
rárigur	(sj.)rare;bók var rárig tá í tíðinia book was a rare thing at the time
rárur	rare, infrequent;tað er rártit occurs rarely;tað er ikki meiri enn rárasta hending, at...it is a rare thing that...
rás	1track;kúgvin snávaði og fór av rásinithe cow stumbled and fell off the track;grava rásir/ræsurdig paths;(fl.m.) kærleikin gekk ikki trodda rás, men fór sniðgøturtheir love did not find its way along a beaten track but in a roundabout way2(um seyð, of sheep) walk, walking, way of walking;seyðurin hevur so sterka rássheep run fast;ærin doyði, tí hon hevði fingið ov dygga rásthe ewe died because it had run too fast(i.e.had been driven too hard)3path, route;hvar er rás yvir reynið?where is the path over the plateau?;ryðja sær rásmake one's way;fáa//hava rúmar ræsurbe given//have (a) free rein, be given//have freedom of movement4flight of birds;lomvigin flýgur í rásumguillemots fly in formation5(útv., sjónv.)channel;Rás 2Channel 26(stjfr.)orbit(t.d.hjá bitlum, gongustjørnumo.tíl.)
rása	1(um seyð, of sheep) walk (along a track) in a single file;seyðurin rásarthe sheep walk (along a track) in a single file;hann segði, hvussu fylgini itu, hvussu tey rásaðuhe told him//her the names of the sheep flocks and which tracks they used2(sj.)drive sheep along a (sheep) track3íosb.sumfuglurin rásarthe birds fly in formation
rásalat	raw vegetable salad
rásan	hurry, haste; rásanupp og niðurrunning up and down
rásarfuglur	birds(espguillemots) which fly in formation
rásarlundi	(stb.)[a puffin which joins a circle/ring of flying puffins]
rásarúm	spaciousness(t.d.of a room), roominess, amplitude, capaciousness;hava/fáa rásarúmbe given a free hand, be given a free rein,(eis. fl.m.)have freedom of movement;eftir 1900 hevur danskt ikki sama rásarúm sum fyrrafter 1900 the Danish language does not have the same privileges (in the Faroes) as it used to
rásegl	(sigl.)square sail
rásilki	raw silk, shantung
ráskapur	brutality
ráskera	split fish(espcod) into two halves to the root of the tail and then hang it up on poles to dry;ráskorin fiskur
rásmakkur	taste of rawel.uncooked food;tað gongur rásmakkur at matinumthe food tastes as if it has not been cooked enough
rásmynd	(stfr.)graph
rásmør	síoskasmør
rásukur	1raw sugar, unrefined sugar2soft brown sugar; (danskt putursukur) clayed sugar
ráterri	(stb.)[too wet and raw weather for drying hay];tað tornar einki, tað er ráterrinothing dries, the weather is too poor
rátubbak	tobacco leaf
rátýða	translate roughly
rátýðing	roughel.draft translation
ráur	1raw(t.d.fruit; meat); uncooked(t.d.food; meat);hvørki rátt ella soðiðneither flesh nor fowl (nor good red herring), neither one thing nor the other;geva e-m rátt fyri ósoðið,síósoðin;svølgja e-t ráttswallow sth raw/uncritically/whole2(ótilgjørdur) raw(t.d.bricks; silk); crude(t.d.oil; ore; sugar); rough(t.d.timber); unrefined(t.d.sugar);(evnafr.)unrefined, crude, raw; (óbarkaður) raw, untanned, green(t.d.hides); (ikki goymdur, lagraður) crude, unmatured(t.d.wine);ráur viðuruntreated wood;ráur fiskurraw fish3(bara smávegis virkaður) rude, rough(t.d.rude stone huts; rough stone implements)4(bonskur, ófantaligur) brutal, coarse5(kalt, ófýsiligt) raw(t.d.raw weather; wind; a raw foggy morning;rátt hoyggjwet hay, undried hay; ráurkræklingur (fl.m.)a foul-mouthed person
ráva	(sj., stb.)ridge (of a roof)
ráviður	raw wood
rávøra	raw material, raw article; (handilsvøra) commodity;rávørur flt(tíðum) primary produce
rávørueftirlit	(í klædnaídnaðinum) perching
rávøruídnaður	primary industry
rávøruprístal	index of primary produce prices
reagera	(tlm.)react(upp áto)(t.d.the eye reacts to light; the market reacts to every change in the international situation; how did he react to our proposal?); respond(upp áto;t.d.respond to a stimulus);reagera alkaliskthave an alkaline reaction(á reagenspappírion test paper);hvussu man hann fara at reagera?I wonder how he will react/what his reaction will be;(tlm.)I wonder how he will take it;reagera ímótireact against;reagera negativt//positivtreact negatively//positively(upp áto);einstaklingar ið reagera negativt//positivtnegative//positive reactors
reaktión	1(stjm.)reaction(t.d.the forces of reaction); backlash; síeis.íhald,(svart) afturhald, afturstrev, bakdráttur2(háttur at reagera uppá) reaction(t.d.his reaction to this proposal); response(t.d.the body's response to stimuli; poetry arouses certain responses in the reader)3(møði, bakkast, smeitur) reaction(t.d.a reaction set in the next day; a nervous reaction after her excitement)4(evnafr.)reaction;seinkað reaktión (sálfr.)delayed reaction;reaktión ímótireaction against;geva negativa//positiva reaktióngive a negative//positive reaction(uppáto);sum reaktión uppáin response to; síeis.vísing;andgerð,mótgerð5[íyms.samb.]kanningin vísti/gav positiva reaktiónthe test showed/gave a positive reaction;landið//sjúklingurin reageraði positivtthe urine//the patient reacted positively;(evnafr.) súr//alkalisk reaktiónan acid//alkaline) reaction;basisk//kemisk//nevtral reaktióna basic//chemical//neutral reaction
realflokkur	(gl.)[the top form of therealskúli]
realinntøka	realel.effective income(móts.nominal income);tøk realinntøkadisposable real income; real disposable income
realisma	realism;naiv realisma naiverealism
realistiskur	realist (sí realistur1); realist(ic) (sí realistur2)
realistur	1(málfr.)realist2(øvut romantikari) realist, naturalist3(pupil of arealflokkur)
RealkredittstovnurFøroya	the Ship Financing Institute
realkredittur	síveðhaldslán
realløn	real wages(flt) (móts.money wages)
realprógv	(sø.)lower secondary school leaving examination
realskúlalærari	teacher at arealskúli
realskúlanæmingur	pupil of arealskúli
realskúli	(sø.)[(lower) secondary school, preparing for a commercialetccareer]
red	(sigl.)roads(flt),roadstead;vard redsheltered roadstead
redda	(tlm.)save, rescue; (um sjúkling) save, salvage, pull through(t.d.the doctor hopes to pull him through); (fría) rescue;(bíbl.oggl.)deliver; (bjarga) save, rescue, salve, salvage(t.d.a ship);várið var so stak gott, tað var tað, ið reddaðithe fact that the spring was so exceptionally good saved us;Gud reddi so meg!God be with me!; síeis.bjarga
redikur	(plfr.)síreðka
redningur	(tlm.)síbjarging
reduktiónsdriv	(tøkn.)reduction drive
reduktiónsgir	(tøkn.)reduction gear
reduktiónsmuffa	(tøkn.)reducing socket, reducer
reduktiónsventilur	(tøkn.)reducingel.reduction valve; (offshore) choke
reðka	(plfr.)radish(Raphanus savitus)
reðr	síreður
reðra	(stb.)have (sexual) intercourse with, have sex with
reður	penis, sexual organ
reðurbressa	(dýr.)vagrant hover fly(Eupeodes corollae)
reðurfall	impotence
reðurstøða	erection; sístanding
reflatión	(bú.)reflation
refsast	síressast;fara at refsastimprove, get better
regera	1govern(t.d.Britain is governed by a constitutional monarch); rule(t.d.dictator ruled the country with a rod of iron; money rules the world)2carry on, kick up a row;regera sum eitt óttbehave like a madman
regerilsi	(tlm., gl.)noise(t.d.what a noise you make!); din(t.d.an awful din; the din of battle//of heavy traffic); racket; uproar(t.d.the uproar of an angry crowd); clangour; clamour(t.d.of the crowd), tumult;(tlm.)hullabaloo(t.d.the boys made an awful hullabaloo), row(t.d.stop that row!)
reggae	(tónl.)reggae, ska
reggaetónleikur	reggae music
regla1	1line, rule2line (of wordsel.letters);lesa ímillum reglurnarread between the lines3principle, rule, regulation(s), precept4(stb.)drill(i.e.row) in a field of potatoes;seta eplini í snórabeina regluplant potatoes in a drill as straight as an arrow5order, system (t.d.munkareglamonastic order;riddarareglaorder of chivalry;løgreglapolice force; síeis.lag6[íyms.samb.]reglur og ávísingarrules and regulations;føst reglafixed rule;eftir føstum reglumaccording to fixed rules;tað ber ikki til at gera fastar reglur um slíktyou cannot make hard and fast rules for that kind of thing;áseta einum reglurlay down rules for sby/for the guidance of sby;fylgja reglunumfollow/comply with the rules;gylt reglagolden rule;gera reglu umlay down/establish/make a rule;halda regluobey/observe a rule;serstøk regla (ítr.)ground rule;reglurnar fyri spælinum/spælireglurnar (ítr., fl.m.)the rules of the game;undantakið prógvar reglunathe exception proves/confirms the rule;ein regla er atit is a rule that; it is customary that(GG:it was customary for the husband to support his wife's relatives)7[ísamb. viðfs]sambærtøllum reglunumaccording to all the rules;arbeiðaeftirreglunumwork to rule; do it/do everythingetcby the book;víkjafráregludepart from a rule;gera frávik frá reglumake an exception to a rule;hetta er eitt undantak frá regluniit is an exception to the rule;reglurfyrirules of(t.d.conduct);halda segtilreglurnarkeep to the rules/regulations, stick to the rule, follow the rule book, do it by/according to the book;tað er ikki í samljóði/samsvariviðreglunait is contrary to the rule
regla2	íosb.sumregla á beinunumbe hardly able to stand on one's feet (drunk, oldel.ill);tað er ikki meir enn hann reglar á beinunumhe can hardly stand on his feet (of a drunken man)
reglubeinur	in a straight line
reglubreidd	(prent.)measure, width of a line
reglubrot	1new paragraph2(sj.)breaking of a rule
reglubróðir	brother of an order; sílagsbróðir
reglubundin	regular, according to the rules; periodic;reglubundið ørindislaga regular metre;reglubundnar vatnstøðubroytingarperiodic changes of the water level; síeis.skeiðbundin,tíðarvissur
reglufastur	1regular, traditional, according to the rules;regluføst stavsetingorthographic spelling2true to form; formalistic; consistent; steady, orderly
reglufesti	regularity; formalism, consinstence
reglugerð	(løgfr.)articles(flt),regulations(flt);rules(flt) (t.d.the rules of a society); (fyri felag,t.d.kredittfelag) bylaws, by-laws, bye-laws; articles; regulations; (fyri stovno.tíl.)statute(s)(t.d.the statutes of the French Academy; the statute(s) of a university)
reglugjald	payment by the line, lineage;fáa reglugjaldbe paid by the line
regluglopp	(prent.)line space, line spacing;í gloppunum millum reglurnarbetween the lines
reglugroyping	(bókm.)enjambment, run-on line(s);við ongari reglugroypingend-stopped
reglulag	principle(t.d.the principle on which this method is based), ground rule, maxim(t.d.`look before you leap'), tenet(t.d.this is one of the basic tenets of the Christian faith)
regluleiki	síreglufesti
regluleysur	1irregular;regluleys skriftirregular writing2lawless, irregular;tann regluleysi standur í oyggjunumthe state of lawlessness in the Faroes
regluligur	1regular; (um andlitsdrøg) regular(t.d.features);(plfr.)regular, actinomorphic;(málfr.)regular(t.d.verb); (skilagóður og siðiligur) regular, steady, orderly(t.d.life);reglulig gloppregular intervals;(prent.)uniform spaces/spacing;við regluligum gloppumat regular intervals;sum skiftir regluligaregular alternation;regluligur/normalur pulsurnormal pulse2(jarðfr.)cubic
reglulongd	(prent.)measure, width of a line
regluloysi	irregularity; abnormality, anomaly; variability; being against the regulationsel.contrary to regulationsel.againstel.contrary to the rules
regluprentari	(teld.)(line) printer, line-at-a-time printer
reglurættur	regular, steady, orderly;reglurætt lívregular/steady/orderly life
reglusamur	regular, steady, orderly;reglusom blaðútgávaregular issuing of a newspaper
reglusemi	regularity; formalism, consinstence
regluskeivur	with unequal lines;hann skrivar regluskeivthis lines are unequal
regluskipaður	regulated
regluskipan	regulations, statutory instrument, order;(sø.og í hjálondum) ordinance, decree
reglusnið	form; formality(t.d.a legal formality); (í rættinumeis.)point of order;stríð um rætt reglusniðdispute about correct form
reglustigskipan	hierarchy rules
regluteljari	(tal á breddanum) runner;(tøkn.)line counter
regluútgongd	(prent.)break
regluverk	(løgfr.) set of rules
regluvillur	who misses a lineel.lines;tú fert regluvilluryou have missed a line, you have skipped a line
regluvørður	(í banka) compliance officer
regn1	rain,(veðurfr.)precipitation;loysa við regni/loysa regniðbegin to rain violently;regnið díkti á vindeygaðthe rain beat against the window pane;mýrisnípan letur fyri regniit betokens rain when the common snipe sings
regn2	(stb.)síreyn;(stn.) á Regni
regna	1rain;nú regnarit is raining;tað regnar/ (sj.) hann regnarit is raining;hann var farin at regnait had begun to rain;tað regnar av grimdthe rain is pouring down, it is raining hard; there is heavy rain/a heavy downpour, it is coming down in buckets2(fl.m.) lata okkurt regna niður yvir e-nrain/pour/shower sth upon sby(t.d.rain/pour/shower bullets//blows//gifts//honours upon sby); sídíkja(undir),bera(undir),grýta(undir),oysa(undir),deingja(undir)
regnalv	intensity of rainfall, rainfall intensity
regnbjálvi	síregnfrakki
regndagur	rain(y) day, wet day;hetta er ein regndagthis is a rainy day;nógvir regndagar hava verið henda mánaðinthere have been many rainy days this month
regndropi	raindrop
regnfrakki	raincoat, mac(k)intosh,(tlm.)mac
regngráur	grey and wet, wet (day); regngráurdagura wet day
regngrómur	dark streaks in the sky which betoken rain
regnhol	placeel.village with much rain
regnkápa	(rain)cape
regnklæði	rainwear, waterproof clothes(flt); havið regnklæði við!bring rainwear with you!
regnkort	(veðurfr.)rain map, rainfall chart
regnligur	íosb.sumtað er so regnligtwe can expect rain;luftin er so regnligit looks like rain;hann sær mær so regnligur útit looks like rain
regnloysi	dry weather;fyrra helmingin av avgust var regnloysithe weather was dry during the first half of August
regnluft	sky which betokens rain
regnmakari	rain maker
regnmálari	rain gauge, pluviometer
regnmáling	pluviometry, rainfall measurement
regnmikil	rainy(t.d.season; district); wet(t.d.a wet day); regnmikilveturrainy winter
regnmongd	rainfall
regnmýra	(plfr.) ombrogenic mire
regnmýri	(plfr.) ombrogenic mire
regnnøgd	rainfall
regnskadda	rainy fog;í regnskadduniin the rainy fog
regnskin	(sj.)sívatnskin
regnskíggi	síregnskjól
regnskjól	umbrella;ganga við regnskjólicarry an umbrella;lata regnskjólið uppput up one's umbrella;lata regnskjólið afturclose one's umbrella
regnskjólagrind	umbrella frame
regnskjólahúsi	umbrella case
regnskjólastættur	umbrella stand
regnskjólaverk	umbrella stand
regnskógarøki	rain forest area
regnskógur	rain forest
regnskúrur	downpour, heavy shower
regnskýggj	(veðurfr.)rain cloud;himmalin er ímgráur av ývnum regnskýggjumthe sky is sooty grey of heavy rain clouds
regnskødda	(stb.)síregnskadda
regnslag	(rain)cape
regntíð	(landafr.)rainy season;regntíðin (eis.)the rains(flt)
regntjúkn	downpour, heavy shower (ið sæst burturfrá, seen from a dinstance);skonnartin sást inni í regntjúkninithe schooner could be discerned in the heavy shower
regntoka	síregnskadda;fjøllini vóru øll huld í regntokuall the mountains were enveloped in rainy fog
regntungur	rainy, wet;luftin var vorðin regntung og tokumikilthe air had become rainy and foggy
regntættur	sívatntættur
regnvatn	1rainwater2surface water;alt drekkingarvatn í Føroyum er regnvatnall the drinking water in the Faroes is surface water
regnvátur	wet with rain, rainy; rain-soaked;regnvát klæðirain-soaked clothes;regnvátur urtagarðura garden wet with rain
regnverja	síregnskjól
regnæl	(veðurfr.)shower, rain squall (as opposed tokavaæl, heglingsæl)
regnælingur	(veðurfr.)shower, rain squall (as opposed tokavaælingur, heglingsælingur)
regnætt	direction of the wind which usually brings rain
regulatorur	1(tøkn., sigl.)governor, throttle valve, regulator2(ravm.)regulator
reið-	síríði-,ríðingar-
reið1	(sj.)riding;(orðt.) hann eigur reiðina/ferðina, ið fyri ríðurresponsibility rests with the leader
reið2	síríða
reiða1	(kvæð.) stór er skipsins reiðathe rigging of the ship is huge; síreiði2
reiða2	1equip, fit out; reiðatilprepare, make/get ready;reiða útequip a ship;reiða borðlay the table;reiða til jarðarprepare/lay out a corpse for burial;(gl.) reiddur til ferðarequipped for the journey,(eis.)ready to depart2work, work up, prepare, finish; reiða(e-t) tilwork up sth;reiða song/reiða uppmake a bed;reiða e-m bólgive sby a shakedown;reiða upp undir særprocure sth (for oneself), win sth (for oneself);soleiðis reiða summi upp undir sær, at tey sita einsumøll í avkrókunum og lemja segsome people play their cards so badly that they end up in some hole lamenting life3pay
reiða3	transport on packhorse;reiða torvtransport peat on packhorse
reiðar	íosb. til reiðarready, prepared; stand by(atfor)
reiðarafelag	shipping company, (shipping) line, firm of shipowners, owner(s), Chamber of Shipping;Føroya ReiðarafelagThe Association of Faroese shipowners
reiðaravirki	1(felag) shipping company, (shipping) line; firm of shipowners, owner(s)2(virki) shipowning business, shipping business, shipping, shipping trade
reiðaravirkisflagg	(sigl.)house flag
reiðari	(ship)owner
reiðarí	(tlm.)síreiðaravirki,útgerðarfelag
reiðarklæddur	ready to depart
reiðast	become angry;hann man reiðast illa (kvæð.)he will be furious
reiðdeild	(herm.)cavlary battalion
reiðflokkur	(herm.)cavalry regiment(GG:five regiments of horse);27. Reiðflokkurin the 27thCavalery Regiment
reiðfylki	(herm.)cavalry divison
reiðgøta	bridle-path, bridle-way, (gjøgnum skóg) wood-ride
reiðherlið	(herm.)cavalry corps
reiðhermaður	(sø.)cavalryman, hussar,(tý.)uhlan
reiði1	anger, resentment, (ógvisligari) rage, fury;kongurin so til orða tók, letur reiði renna (kvæð.)the king began to speak, he was furious;brá hann sínum brandi av reiðihe drew his sword in a fury
reiði2	1equipping, fitting out, equipment, gear, accessories, fittings2(sigl.)rigging3(oljuv.)síborireiði
reiðiliga	1quite, fairly, rather; reiðiligastórurfairly big//tall;reiðiliga fitturquite sweet;reiðiliga illurquite angry;ikki reiðiliganot quite;reiðiliga ikkinot at all;reiðiliga helvtinrather more than half;teir kýttu seg, alt teir vóru mentir, og reiðiliga taðthey worked as hard as they could and more2in fairness, in justice, honestly; straightforwardly(t.d.act straightforwardly); honourably; frankly; sincerely; fairly (and squarely)
reiðiligur	1honest, honourable2right, complete, true
reiðimikil	furious, angry, indignant
reiðing	síreiðsla
reiðingarrás	pack horse track;ein gomul traðkað reiðingarrás er niðan gjøgnum trøðnaan old trodden pack horse track runs up through thetrøð
reiðingarross	pack horse
reiðítrótt el.reiðítróttur	riding, horse racing, the turf(t.d.he is interested in the turf)
reiðlag	(ravm., alisfr.)relay
reiðlagsbattarí	(ravm., alisfr.)relay battery
reiðlagspláta	(ravm., alisfr.)relay panel
reiðlagsroynd	(ravm., alisfr.)relay test
reiðlið	(herm.)cavalry corps
reiðmaður	1rider, horseman;hann var frálíkur reiðmaðurhe had a good seat2(herm.)cavalryman, trooper
reiðmannaatsókn	cavalry charge
reiðmannaálop	cavalry charge
reiðmannaflokkur	cavalry regiment;7.reiðmannaflokkur the Seventh Regiment of Horseel.the 7thCavalry Regiment
reiðmannasamanbrestur	cavalry skirmish
reiðmannaskari	(herm.)troop of cavalry
reiðmannaskersla	cavalry skirmish
reiðmannayvirmaður	cavalry officer
reiðmansstandmynd	equestrian statue
reiðmanssvørð	sabre
reiðra	(handv.)countersink(t.d.a hole; a rivet; a screw);reiðra skrúvucountersink a screw
reiðran	pottering, slowness; reiðranog fjasanbe pottering about
reiðrarhestur	saddle horse, mount; (at veiða við) hunter; reiðrarhesturmá vera væl skógvaðura saddle horse mus be well shod
reiðrarleypur	sírossleypur
reiðrarross	síreiðrarhestur
reiðrarungi	(kvæð.)greenhorn, puppy, lout
reiðrarvegur	bridle-path, bridle-way
reiðrast	1build nest, be nesting;fuglurin er farin at reiðrastthe birds have begun to build nests;(fl.m.) sita og reiðrastsit restlessly (trying to get a more comfortable sitting posture)2potter about;at enda var hann liðugur at reiðrast í køkinumeventually he had finished pottering about in the kitchen;hon er ikki klár, hon reiðrast har niðri ennshe is not ready yet, she is still pottering about downstairs
reiðregg	nest egg
reiðrhestur	síreiðrarhestur
reiðring	síreiðran
reiðringartíð	nesting season
reiðskaparvenjing	(fiml.)apparatus work
reiðskapur	1tools, implement, appliances, accessories, fittings2(óvand.)penis
reiðskari	(herm.)cavelry company
reiðsla	1transport, conveyanceel.carriage of peat, manureorseaweed on a pack horse2pack-horse load, pack saddle, amount carried by pack horse at one time
reiðslubarn	[child who conveys peatetcon a pack horse]
reiðsludagur	[day when goods are transported by pack horse]
reiðsludrongur	sírossadrongur
reiðsluveður	[suitable weather for transporting goods by pack horse]
reiðsluvegur	[the distance one conveys something by pack horse];reiðsluvegurin til ovara bøin var langurthe distance of transportation by pack horse to the upper infield was long
reiðtorn	(byggil.)ridge turret
reiðuliga	síreiðiliga
reiðuligur	síreiðiligur
reiðupeningur	cash, ready money;gjalda fult virði fyri jørðina í reiðupeningipay in cash the full amount for the land
reiður1	1nest, hole, (ránfuglareiðureis.)aerie, eyrie;draga í reiðurbuild/make a nest, nest(t.d.the birds are beginning to nest);fuglur ið dregur í reiðurnesting bird;ringur fuglur drítur í egið reiður (orðt.)it is an ill bird that fouls its own nest;(tilt.) vátt er komið í reiðriðthey have fallen out, they have become enemies2(fl.m.)home;teir eru stutt frá reiðrinumthey are close to home;hann gekk um bygdina við øllum reiðrinum og segði farvælhe and his children said goodbye to all the villagers
reiður2	(kvæð.)angry, furious; reiðurvar hann keisarin táthe Emperor was furious
reiður3	íosb.sumreiður peningurcash, ready money;hundrað túsund krónur í reiðum peningione hundred thousand kroner in cash
reiðuviðbót	sum placed at sby's disposal; allowance
reiggiband	swing;eitt reiggiband er í kjallaranumthere's a swing in the basement;rossið ber so lættliga, at tað er sum at sita í reiggibandithe horse is so strong that it is like sitting in a swing
reiggingarband	(sj.)swing
reiggj1	(sudden) attack of illness;tað var honum ein ring reiggjhe had a terrible bout(t.d.of flu);hann hevur mangar reiggirnar havthe has suffered much (during the years);hon fór at ristast um allan kroppin, sum fekk hon eina reiggj av niðurfalssóttshe began to shake/tremble all over as if she had got an epileptic fit
reiggj2	1swinging movement(espof a rope);hann gjørdi eitt reiggj við spakanumhe made a swing with the spade; (um sigmann, of bird catcher)missa reiggiðstop swinging and hang straight down without contact with the rock face below an overhang;fáa pottin á reiggjcatch so much fish that it is enough for one meal;(gl.) heingja kjøtpottin á reiggjhang the pot over the fire2(fl.m.)getting work started, starting (the) work;tað hevur gingið striltið at fáa reiggj í kolavirkiðit has been difficult getting coal mining started
reiggj3	í osb. taka sær um reiggj pull oneself together, make an effort
reiggja1	swing;heingja reiggju upphang a swing
reiggja2	1swing (in the air), brandish, wave;risin reiggjaði jarnstongina/jarnstongini (kvæð.)the giant brandished an iron bar;Sigmundur reiggjar brandi á loftSigmundur brandished his sword;reiggja við (e-m)brandish sth (often in a threatening way); reiggjavið stavibrandish a stick;reiggja tilstrike,hann reiggjaði til við stavinumhe struck with the stick;tað reiggjar um ein tímait is a question of an hour's time;(eis.)it takes about an hour2put into a swinging motion3swing like a pendulum; reiggjaí reiggibandiswing;reiggja sær á1draw oneself up2(fl.m.)(fara at skikka sær betur) turn over a new leaf4(um sigmann, of a bird catcher swinging on a rope)reiggja/reiggja særswing in and out (in order to keep contact with the rock wall)
reiggjuband	síreiggiband
reigras	(plfr.)grass, ray grass(Lolium); snøgt reigrasperennial rye-grass(L. perenne)
reik	wandering;hann var ikki mentur at fáa huga sín á reik longurhe wasn't able to make his imagination wander any longer;hugi mín er á reikimy mind is roaming;vera á reikumbe roaming, be wander about,(tlm.)be gadding about
reika1	1roam, wander, ramble, stroll,(tlm.)gad about; reikaumwander about(t.d.the world);hann reikaði um bygdinahe strolled about the village(el.he walked round the village);(teld.)surf2(teld) surf; eis.lappa3(tlm.)be slightly intoxicated4reika fyri (e-m)prepare (sth), make (sth) ready;reika seg tilprepare oneself for
reika2	(um hár, of hair) make a parting; reikaháriðpart one's hair;reika særcomb one's hair with a parting
reikan	haste, hurrying; reikanaftur og framgoing to and fro
reikandi	itinerant, travelling;reikandi kvistur (dýr.)stick insect(Phasmidae)
reikferðaskip	cruise ship
reiking	1the act of parting one's hair2parting;nú er farið at myrkna aftur í reikinginiher hair is becoming darker in the parting (of a woman with peroxide blonde hair)
reikur	1parting (in one's hair);beinur reikurparting in the middle;greiða sær reikmake a parting;skeivur reikurparting on the rightel.left2(stb.)síreykur33(stb.)ridgeel.drill (in a potato field)4(skemt.) hava reikbe slightly intoxicated
reim	1strip, slip, band, strap, strop;vera sum ein reim/sum reimin1(stb.)quick and lithe;hann var sum reiminhe was very quick;fá fatur á hasum, ver sum ein reim!get hold of it, and be quick about it!2(stb.)humble and amendable, submissive, meek, mild;hann var sum ein reim fyri honumhe was always very submisse in his dealings with him;(orðt.) gott er at rista breiðar reimar av annans húðum,síál12belt;fáa reiminaget a sound thrashing;røtur tora tey ikki at taka, tí so fáa tey reiminathey dare not take (steal) swedes because they know they then will get a thrashing
reimaskógvur	sandal
reimavelta	(stb.)síflagvelta1
reimhjól	pulley
reimskiva	(tøkn.)pulley
rein1	(landb.)balk;gangið ikki í bønum, gangið eftir reininidon'at walk on the grass, walk along the balk
rein2	sírína
reindjór	(dýr.)síreindýr
reindýr	(dýr.)reindeer(Rangifer tarandus)© Wikimedia Commons
reindýrahald	reindeer-breeding
reindýrahúð	reindeer hideel.skin
reindýrakálvur	(dýr.)reindeer fawn
reindýrakúgv	(dýr.)síreinhind
reindýraveiðimaður	reindeer hunter
reinfann	(plfr.) vanlig reinfann(common) tansy(Tanacetum vulgare)©iStock
reinføri	cleanliness (t.d.standards of cleanliness have been criticized by patients and visitors; her job involved checking the cleanliness of restaurants)
reinførisbind	sanitary towel, (menstrual) pad, feminine padel.towel
reinførisforðing	hygienic barrier
reinførisváttan	hygiene certificate
reinførur	cleanly, of clean habits
reingerð	(house) cleaning; (upp og niður) clean-up;upphæddin til reingerð er skerdthe amount of money to spend on cleaning has been reduced
reingerðarevni	cleaning materials(flt)
reingerðarfelag	cleaning service, cleaning contractors
reingerðarhjálp	cleaner, cleaning lady
reingerðarkona	cleaning ladyel.woman;(gl.)charwoman
reingerðarmaður	cleaner
reingerðarmanning	cleaning staff(GG:one of the cleaners, Mr Jones)
reingerðarvognur	cleaning cart
reingerðarøði	hon hevur reingerðarøðishe has a mania for turning out her rooms, she has a passion for soap and water
reingering	cleaning
reingi	[whale's penis with the surrounding meat and blubber];"Gakk ikki ov nær reinginum, tí hatta er ikki fólkamatur""Don't cut too close to thereingiit isn't human food" (said when a whale is being cut up);hetta er so seigt sum reingithis is as leathery/tough as areingi(said of food which is next to impossible to chew)
-reingiligur	síó-
reinging	distortion, twisting, misrepresentation
reingja	1denyel.challenge the correctness of sth; reingjae-n1challenge the correctness of someone's statement;tú skalt ikki reingja megyou shall not accuse me of lying2silence sby;(tlm.)shut sby up;hann rongdi hannhe silenced him2distort, twist; reingjaveruleikandistort the facts;reingja sannleikandistort the truth;tað reingist ikki, atthere is no denying it, it is incontestable that, it cannot be denied that
reingresi	[pure grass free of weeds]
reingresin	(um bø, of infield) with pure grass free of weeds;hetta stykkið er so reingresiðthis plot is free of weeds
reingresjaður	(um bø, of infield) with pure grass free of weeds;reingresjað stykkiplot with no weeds
reingrøsutur	(um bø, of infield) síreingresjaðurogreingresin
reinhald	cleaning; removal and disposal of refuse
reinhalda	keep clean(t.d.keep the house clean)
reinhentur	with clean hands
reinhind	(dýr.)reindeer cow
reinholdaður	with a clearel.fair complexion
reinhugaður	kind, friendly, benevolent, sympathetic, well-intentioned(t.d.person)
reinhvítur	(skaldsk.)snow-white
reinkálvur	reindeer fawn
reinkúgv	síreinhind
reinleikalyfti	vow of chastity
reinleiki	cleanness, purity, innocence
reinlendari	(dansur) a polka
reinligur	1clean(ly)2honest, pure;hjreinliga
reinlitaður	with bright colours
reinlittur	with pure colours;reinlitt tvíbundin skipstroyggjaa boatman's jersey knitted in two pure colours
reinlyndi	honesty, fairness, straightforwardness, uprightness, integrity;hann kom tvørt fyri vegna óbendiliga reinlyndi sítthe came into difficulty because of his unflinching/uncompromising honesty
reinlyndur	honest, frank, candid
reinlyntur	síreinlyndur
reinmeintur	sincere, genuine, heartfelt;reinmeint lyndiof a sincere disposition
reinmosi	(plfr.)reindeer moss(Cladonia rangiferina)
reinmæli	purism
reinmælingur	purist
reinmæltur	with pure (and clear) voice;hann er frálíkur sangari, reinmæltur og mjúkmælturhe has a wonderful (singing) voice, a pure and soft voice;ljóðið av reinmæltum barnarøddumthe sound of pure children's voices
reinprent	1(gerð) printing (off), striking off2clean proof, perfect impression
reinprenta	print (off), strike off
reinprentingarark	(prent.)sheet from the machine, clean sheet, specimen sheet, advance sheet
