u	(málfr.)vowel, /u:/
umleypandi	(veðurfr.)changeable, variable, unsettled;veðrið var umleypandichangeable/variable weather;hann er so umleypandi í veðrinumthe weather is changeable/variable/unsettled
umliðin	passed, elapsed, gone by;tá ið ein løta var umliðinwhen a moment had passed;tá ið árið var umliðiðwhen the year was out/had gone by/had passed
umljóð	(málfr.)mutation(t.d.i-mutation); umlaut;fáa umljóðbe mutated
umljóða	(málfr.)mutate;" e" í " menn" er eitt umljóðað sjálvljóðthe"e"in"menn"is a mutated vowel
umlopin	1passed over, omitted, left out;eitt navn er umlopið á kortinumone name has been omitted on the map2síumliðin;tá ið eitt ár var umlopiðwhen a year had passed
umlopsgerð	(nýggjy.) procrastination, displacement activity
umloysur	1fringe benefit, perquisite;Sperks(flt)2minorel.petty expenses;farmagjald og aðrar umloysurfreight charges and other expenses;alt fór í umloysurwhat money which was left was spent on paying petty expenses (hjá felagi ið fór á húsagang, of a firm which had gone bust)3extra work;hann hevur so nógvar umloysur at gerahe has much extra work4small areas in the infield where the hay harvest is difficult
umlætting	respite care
umlættingarbrunnur	(oljuv.)relief well
umlættingarheim	respite care home
ummast	(tlm.) ummast at tað vísir seg at...if it turns out that; síum2
ummál	(stfr.)perimeter, circumference;ummálið á rørinum var 16 sentimetrar og tvørmálið 5 sentimetrarthe perimeter of the pipe was 16 cm and its diameter was 5 cm
ummáls	ummáls/í ummálsperimenter, area, extent, size;trøðin var 600 metrar ummálsthe perimeter of the allotment was 600 metres;bygdin er vaksin skjótt í ummálsthe village has expanded fast;býlingurin er lítil í ummálsthe part of the town is small in size
ummynda	transform (into), turn (into), change
ummyndan	transformation, change
ummyndanarmálfrøði	(málfr.)transformational grammar
ummæla	(t.d.bók, framsýningo.tíl.)review
ummælari	(bøkur, fløgur, framsýningaro.tíl.)reviewer, critic
ummæli	1reference, testimonial;ummæli frá serkønumexpert opinion, according to expert opinion;fáa//senda eitt mál til ummælistake sby's opinion//submit the case to sby2review3(skúlam.)(terminal) report4reputation, standing, status, name;hon hevur ringt ummælishe has a bad reputation/a bad name;ymist hevur ummælið verið um hana í seinni tíðopinions of her have differed lately
ummælisbók	(skúlam.)mark book, (tíðum) report,(am.)grade book, report card
ummæliseintak	review copy
umnevndur	above-mentioned
umorða	rewrite
umráð	1(veðurfr.)change; umráðí veðrinum (ættini, vindinum)changeable/variable weather;tað er umráð í luftinithere is a change of/in the weather;(fl.m.)change;tað størsta umráð í lívi mínumthe most important change in my entire life;eitt umráð í býarmyndinithe look of the town has changed2planning; programming; (skipan) organizing3(sj.)consideration, reflection, deliberation, contemplation, thought
umráða	think over(t.d.I must think it over first), reflect on(t.d.give me time to reflect on the matter);fáa umrátt seghave time to reflect on(t.d.the matter);nevningarnir umráddu seg (løgfr.)the jurors were considering their verdict
umráðadagur	(veðurfr.)(dead) calm day (calm day between different wind directions)
umráðandi	important, significant, meaningful;tað er umráðandi at sleppa av við fiskin, meðan hann er feskurit is of vital importance to be able to sell the fish while it is still fresh
umráðatíð	time of fermentation, time of unrest and upheaval, time of crisis
umráðaveður	changeableel.variable weather, unsettled weather;frálíkt veður, men umráðaveðurfine weather but chageable weather
umráði	area, open space; síøki
umráðing	1consideration, reflection, deliberation, contemplation, thought2changeable, variableel.unsettled weather;tað er umráðing í veðrinumthe weather is changing3(løgfr.)[consideration of judgment by the judges]
umráðingartíð	time to think sth over, time to reflect on sth; break(t.d.I need a break), pause for thought; pause for thinking things over
umrenda	(stb.)síumrinda1
umrenning	(løgfr.)vagrancy
umrenningur	(løgfr.)vagrant
umrinda	1avoid, evade, escape;hann umrindar ikki at fara í skansanhe can't avoid going to jail2tað umrindaðist ikkiit never fails, it does not fail, it never fails; it is certain; it is beyond dispute
umringa	surround, encircle, envelop(t.d.an army); close in on(t.d.the enemy was closing in on us);umringa ein skansainvest/surround a fortress; síeis.kringseta
umripiligur	assertive, not diffident, noisy, furiously busy
umripingarsamur	síumripiligur
umrivin	(um saltfisk, of salt(ed) fish) síríva(um)
umríving	the act ofríva um (q.v.)
umrokning	recalculation
umrokningarkursur	rate of exchange, rate of conversion
umrokningartalva	conversion table; ready reckoner
umroynd	(skúlam.)reexamination;hann slapp at taka royndina umafturhe was allowed to resit his exam
umrøddur	mentioned; discussed(t.d.the most discussed film in London); talked-about;bók, ið er nógv umrødda much discussed book;nógv umrødd hendinga much publicised affair;B sum á sinni var nógv umrøddurB., who at one time caused so much comment (in the press)
umrøða1	discussion, debate, consideration, reading;taka e-t til nýggja umrøðutake up again, take up for renewed consideration;leggja seg út í umrøðunaenter into the discussion with
umrøða2	discuss, debate
umrøðuevni	debatingel.talking point, topicel.subject of discussion;umrøðuevnið var skaldskapurthe topic of the day was literature
umsagnarliður	(málfr.)predicative, predicate, subjective//objective complement
umsagnarsamsvar	(málfr.)verbal correspondenceel.identity
umseta	translate(t.d.sth from Latin into English),(t.d.siga á føroyskum) render(t.d.how would you render that word in French?);umsettar bøkurtranslated books
umsetari	translator
umseting	1translation, translating;leylig umsetingroughel.draft translation2(sjálvt verkið) translation, version; (orðrætt umseting av klassikarum nýtt av næmingum) crib
umsetingar-	sítýðingar-
umsetningur	1(tlm., handilsm.) turnover;í fjør var umsetningurin hjá virkinum DKK900.000last year the company had a turnover of £100,0002(tlm., handilsm.) sale;stígur er komin í søluna/umsetningin the sales are stagnating3(tlm.,í roknskapi) revenue;umsetningurin hjá virkinum hækkaði við 10% tað áriðthe revenue of the company increased with 10% that year4(tlm., handilsm.) business;umsetningurin verður frægari, lækka vit virksemið/virkseminaBusiness will be better if we downsize5(tlm., handilsm.) trade;umsetningurin var vánaligur í fjørtrade was bad last year
umseyma	(handarb.)alter, remake;umseymaður kjólian altered/remade dress; síeis.seyma(um)
umseyming	alteration, remaking, renovation(t.d.garments received for renovation)
umsita	1keep in repair, maintain;húsini vóru væl umsitinthe house was kept in perfect condition;synd var at siga, at jørðin var væl umsitinI would have been lying if I said that the land was kept in perfect condititon2administer, administrate;hesi embæti kunnu verða umsitin av føroyingumthese government posts can be administrated by Faroemen; síeis.fyrisita
umsitari	administrator
umsiting	1administration;fyritøkan varð sett undir umsitingthe firm was put under administration(el.was deprived of the control of its estateel.property);tekniska umsitingin (uml.)the Highways Department; síeis.fyrisiting2maintenance, keeping up, (um hús) upkeep(t.d.it costs a lot in upkeep)
umsitingarkostnaður	(costs of) maintenance; expensesel.costs of upkeep
umsitingarligur	concerning administration
umsitingarskylda	(løgfr.)duty of maintenance; duty to repair(t.d.a house);leigumál har leigarin hevur umsitingarskyldurepairing lease
umsitingartænasta	maintenance service
umsíðir	at (long) last, at length, eventually, finally
umsjón	supervision, superintendence, inspection;hava umsjón við e-mwatch over sth, look after sth, take care of sth, be in charge of sth;vera undir umsjón (av e-m)be under the supervision of sby, be supervised by sby, be watched by sby
umsjónar-	supervisory
umsjónarferð	1tour of inspection;tá gjørdi amtmaðurin eina umsjónarferð til Føroyathen the prefect did a tour of inspection to the Faroes2visitation(t.d.bishops hold periodical visitations)
umsjónarmaður	supervisor, superintendent
umsjónarráð	board of supervision, board of control, supervisory committee; umsjónarráðsparikassans
umskapa	change, alter, transform
umskapaður	transformed, changed;umskapað grótslag (jarðfr.)metamorphic mineral
umskapan	1change, alteration, transformation2(jarðfr.)metamorphism3(dýr.)metamorphosis
umskaping	síumskapan
umskarast	overlap;jarnpláturnar umskaraðust so lítið, at tað lak um tærthe overlapping of the iron plates was so slight that there was a leakage;umskaraðuroverlapping
umskaring	1overlapping2(jarðfr.)fault; (lítil) spring;San Andreas umskaringinthe San Andreas fault3(sálfr.)displacement
umskaringarfella	(oljuv.)fault trap
umskera	circumcise;øll nýfødd dreingjabørn verða umskorin hjá rætttrúnum jødumorthodox Jews circumcise all new-born boys
umskering	circumcision; (umskering av konufólki) female circumcision, clitoridectomy
umskiftan	síumskifti;ein knapplig umskiftana sudden change
umskiftari	(ravm.)change-over switch
umskifti	1change(t.d.change from day to night, change from fear to hope, the change from wartime to peacetime production), alteration, transition, change-over(t.d.the change-over to a national hospital service); umskiftifrá ísfiskaveiðu til saltfiskaveiðua change (changing) from ice fishing to salt(ed) fishing2vicissitude, ups and downs(t.d.the ups and downs of life)
umskiftiligur	changeable
umskifting	síumskifti
umskiftisáseting	(løgfr., serst. viðv. skeyti)deed of conveyance; (um partabræv) share
umskiftisrevsing	(løgfr.; bót, sum kemur í staðin fyri hefti)alternative sentence (t.d. `he got £100 or
umskiftur	1exchanged, which is got in exchange (for sth)2changed, completely altered;maður hennara var, sum var hann umskifturher husband was completely changed;nú var alt umskifteverything had changed, nothing was the same
umskipa	1change, remodel(t.d.the whole system of education); reshape(t.d.the system), reorganize(t.d.the Government); transform(t.d.an institution into a school), reconstruct;nógv er umskipaðmuch has changed/is different;hann vildi umskipa alt og hava tað øðrvísihe wanted to alter everything2(sigl.)transship3(jarðfr.) transform
umskipan	1change, alteration2(sigl.)transhipment3(herm.)regrouping, rearrangement, redeployment4(jarðfr.) transformation
umskiping	síumskipan
umskipla	do differently, change, alter;viðurskiftini kunnu vit ikki umskipla nógvwe cannot change the condition under which we live;sum alt var umskiplað!how everything had changed
umskipling	change, alteration;samfelagsligar umskiplingarsocial changes
umskorin	circumcised
umskotin	(stb.)íosb. við umskotnum eygumwith upturned eyes
umskriva	1(skriva av nýggjum) rewrite, (skriva øðrvísi) paraphrase;(ljóðfr.)transcribe; (úr øðrum stavraði) transcribe, transliterate; umskrivaalla søgunarewrite the entire story;umskriva skaldsøgu til sjónleikmake a novel into a play2(stfr.) umskrivaður sirkulcircumcircle
umskriviligur	(stfr.)circumscribable
umskriving	rewriting
umskurður	circumcision; síumskering
umskúla	re-educate; retrain; (óarbeiðsfør fólk) rehabilitate
umslag	1cover; (til plátu) sleeve; (leyst bókarumslag) (dust) jacket, wrapper, dust cover2(lækn.)pack(t.d.a cold pack); compress; fomentation;heitt umslagpoultice
umsorg	síumsorgan
umsorgan	care;hava umsorgan fyri (e-m)take care of sth, look after sth, see/attend to sth;umsorgan fyri barnakonumpregnancy care (eis.barnakonuumsorgan);stóra umsorgan hevur hon havt fyri okkum og børnum okkarashe has taken great care of us and our children;stóra umsorgan vístu tey honumtheir solicitude for him was fantastic
umsorganararbeiði	work with (mentally) handicapped persons; (tíðum) welfare work
umsorganartørvur	need of care
umsorgarfullur	careful, painstaking, full of thought(t.d.the nurse was full of thought for her patients)
umsoymdur	(bát.)re-nailed;báturin er umsoymdurthe boat has been re-nailed; sísoyma
umsókn	1application, petition2(brævið) application, petition;senda umsókn inn um okkurtsend in/file an application;handskrivað umsóknhand-written application
umsóknarblað	application form
umsóknarbræv	application
umsóknarfreist	deadline for application
umsóknarmaður	(sj.)applicant, petitioner (for)
umstakking	re-stacking (salted fish)
umstempla	re-stamp
umstilling	1transfer,putting through, switching through, (staðið) exchange2switchboard
umstýring	(bát., tøkn.)reverse gear, reversal, reversing
umstøður	circumstances(flt),conditions(flt); í góðum//ringum umstøðumin good//poor circumstances//conditions;umstøðurnar at íðka ítrótt eru góðarconditions for sporting activities are good;kanna umstøðurnarexamine the conditions;linnandi umstøður (løgfr.)extenuating/mitigating circumstances;tú verður noyddur at laga teg eftir umstøðunumwhen at Rome (you must) do as the Romans do;herðandi/skerpandi umstøður (løgfr.)aggravating circumstances
umsvermaður	(tlm.)fêted, surrounded by a crowd of admirers, much courted
umsøgn	(málfr.)predicative, predicate, subjective//objective complement
umsøkjari	applicant, petitioner, (til starveis.)candidate;tveir umsøkjarar vóru til starviðthere were two candidates for the position
umtak	síhugtak
umtal	síumtala;vera til umtalsbe discussed
umtala1	mention, comment, reference, discussion;filmurin fekk góða umtaluthe film was favourably mentioned
umtala2	speak about, mention; umtalae-n við virðingmention sby with veneration
umtalaður	síumrøddur
umtalsevni	subjectortopic of discussion, debatingel.talking point;umtalsevnið á fundinum var avvápnaðurthe topic of the meeting was disarmament
umtonktur	resourceful, quick-witted
umtosa	(gl.) oddamenninir skulu umtosast rósandithe top people are to be spoken of in high terms; síumrøða2,umtala2
umtóktur	popular;væl//illa umtókturpopular//unpopular;hon var nógv umtóktshe was very popular
umvaksin	made larger, enlarged, magnified; sívaksa
umval	second ballot, deciding ballot
umvarðandi	urgent, important;tey mest umvarðandi amboðinithe most important tools;tað er sera umvarðandiit is urgent
umvarp	landslide (which has markedly altered the area);har er eitt slíkt umvarp komiða landslide has markedly changed the area
umvav	(lækn.)bandage, compress, wrapping
umvavdur	bandaged, woundel.wrapped up, tied up;við umvavdum høvdiwith bandaged head; sívevja
umvegis	indirectly, by a roundabout route;bæði beinleiðis og umvegisboth directly and indirectly;tey fingu tað at vita umvegisthey learnt it indirectly;umvegis prógv (løgfr.)(piece of) circumstantial evidence
umvegur	detour;ganga umvegmake a detour
umveldi	(stjm.)territory; dependency
umveldismark	(løgfr.) territorial boundary
umvenda	convert; umvendaheidningar til kristindóminconvert heathens to Christianity;umvenda seg/umvendastbe converted, convert(tilto);hann er vorðin umvendurhe has been converted, he is a born-again Christian
umvending	conversion; umvendingheidninga til kristindóminthe conversion of heathens to Christianity
umvendingararbeiði	missionary work, proselytizing (work)
umvendingardópur	(bíbl.)baptism of repentance;Jóhannes doyparin prædikaði umvendingardóp til fyrigevingar syndannaSt John the Baptist preached baptism of repentance for the remission/forgiveness of sins
umvera	(tlm.)do without(t.d.can you do without tobacco for a week?); dispense with(t.d.dispense with sby's services); go without(t.d.when I am busy I go without my lunch); spare(t.d.a public servant of a kind that can ill be spared); ([ikki] hava tøkar) spare(t.d.we could not spare any troops for this campaign);eg kann ikki umvera hana//taðI cannot do without her//it
umverð	(sj.)síumheimur
umvirdur	1expensive, precious;umvirdar vørurexpensive commodities2greatly prized, cherished, highly esteemed, much appreciated;umvirdur starvsbróðira valued colleague
umvæla	repair(t.d.clothes; a house; road; roof; car; ship; watch; hole), mend(t.d.a garment//puncture//hole), fix up(t.d.an engine), (skógvar) repair, mend, cobble,(sigl., eis.)refit; umvælabátarrepair boats
umvælari	repairer(t.d.bicycle repairer), mender, repairman, service mechanic
umvæling	1(fáa í rættlag) repair, repairs(t.d.road repairs; repairs to the roof; the ship has docked for repairs)2(stórar umvælingar) reconditioning, overhaul; (um skipeis.)refit, refitment3renovation (t.d.this property is in need of complete renovation; older churches underwent major renovations)4(um smáar umvælingar,t.d.av plaggi, súkkluslangu) mending5(lapping) mending, patching6(at stoppa) mending, darning7(av listaverki) restoration8(hol ið er umvælt) repaired place, mend; (lappi) patch; (stopping) darn(ing);umfatandi umvælingthorough repair(s), (thorough) overhaul, reconditioning;leigarin ger sjálvur tær umvælingar, ið krevjastall repairs to be performed by the tenant;gera umvælingardo repair work, make/undertake/carry out repairs;(sigl., eis.)refit, be refitting9[ísamb.viðfn]umvælingavthe repair of;bilinum tørvar umvælingthe car is in need of repair;veratilumvælingarbe under repair, be undergoing repairs
umvælingarkostnaður	cost of repair(s)
umvøling	(sj.)síumvæling
umyrking	rewriting, recasting;hetta er meira ein umyrking enn umsetingit is more like a rewriting than a mere translation
undan	1skipini sigla heim undan Íslandithe fishing ships sail home from the fishing grounds off Iceland;hann kreyp fram undan borðinumhe crept out from (a position) under the table;undan fótunum á e-mfrom under someone's feet;sópa undan neytummuck out the manure channel2from under sth;turka burtur undan skónumclean the underside of a shoe;fáa mjólk undan kúnniobtain milk from the cow3be descended from, descend from4appear, come into sight, emerge;báturin kom undan nesinumthe boat came into sight round the headland;koma undan sýniniappear on the ridge of a hill;koma undan kaviemerge(t.d. from the sea)5along with, in the same direction asorparallel to;undan vindinumwith the wind;venda bátinum undan veðrinumrun the boat with the wind;ganga undan veðrinumhave the wind behind one, have the wind in one's back;undan ljósinumaway from the light;undan sóliniaway from the sun6downwards; undanbrekku(ni)down the hill7(of time, before something happens) before; undanjólumbefore Christmas;ár undan áriyear after year;hann var undan mærhe was before me;hvør undan øðrumone after another8appear above the surface of the water;skerið er undan á fjøruthe skerry is emerged at low tide;høvdið var undanthe head was above the surface9[sumhj] (in the same direction);vindurin er undanhaving down wind/following wind/having tail wind;vit høvdu/fingu undan allan veginwe had down wind all the way10[fs/hjsaman viðs] t.d.arbeiða undan; bera seg/berast undan; bregða sær undan; draga undan; fara undan (e-m); flýggja undan (e-m); ganga undan (e-m); hava (seg) undan; hóra undan; koma undan; leggja undan; renna undan (e-m); skáka sær undan; springa undan; sleppa undan; taka undan(sísagnorðinisumleitorð)
undanbering	excuse; evasion, evasive answer, prevarication, equivocation;eg taki ikki við undanberingum longurI do not accept evasive answers any longer
undanbersla	síundanbering;viðganga synd sína uttan undanberslu og viðburðirconfess one's sin without offering an excuse
undanbrekka	downhill walk;tá ið komið var á skarðið, var alt undanbrekkaafter having reached the pass the rest of the way was downhill
undanburður	1(sigl.,yrkisheiti) wake2(um før, of ships) leeway, lee drift, driftage3(sigl.)variation;hvussu stórur er undanburðurin?what is the variation?4(stb.)dissuade sby from doing sth;kona mín hevði undanburð í fyrstunimy wife was doubtful to begin with
undanbært	1íosb. tað er undanbærtwith the wind coming from astern, with a following wind2(um hart rák, of strong current)tað er undanbærtwind and current move in the same direction3downhill;gott er at ganga har, ið undanbært erto walk downhill is easy4(um stað, of locality) sheltered from the wind;hetta stykkið er undanbærtthis plot of land is sheltered from the wind
undandrag	1lead, head start, goingel.being in front, leading the way, taking the lead;Brandur og Sjóvarmoyggin kappaðust, men tó hevði Brandur altíð gott undandragthe Brandur and the Sjóvarmoyggin were competing, but Brandur always took the lead;lat nú hin gamla fáa undandragiðallow the old man to have a head start2the bestormost resourceful man;hann er undandragið í slagnumhe is most outstanding person of his family3(ítr.,golf) handicap
undandráttarmál	embezzlementel.defalcation case; (við almennum pengum) malversation case
undandráttartrygging	(trygg.)embezzlement insurance; eis.fíggjarundandráttartrygging
undandráttur	1(sj.)refusal, excusing oneself (from), declining (to do sth)2quiet interval, lull (before the wind blows from a new direction)3(løgfr.)embezzlement (t.d.charges of fraud andembezzlement)
undandystur	(t.d.í fótb.)initial match,qualifying match
undandøttur	1omen, auspice, sign, indication, presage, portent, warning2[stonesetcwhich fall down before a landslide]
undanfarin	1previous, preceding, past; undanfarinárprevious years;í undanfarnum árumduring the past years2gone ahead, left before; sífara(undan)
undanfírin	resigned, inclined to give up, despairing, of despair(t.d.with a gesture of despair); compliant, accommondating, amendable, yielding
undanfírur	(sj.)spineless person
undanforrita	(teld.)program in advance
undanførin	síundanfírin
undanførligur	síundanfírin;hon var hvørvin og undanførligshe was shy and resigned;tað er einki smoykið við honum longur, einki undanførligthe's neither sheepish nor resigned any longer
undanførsla	1excuse; evasion, evasive answer, prevarication, equivocation;øll eru full av umberingum ella undanførslumthey were either all apologies or making up excuses;koma við undanførslummake up/manufacture an excuse;tað eru tær beru undanførslurit is nothing but a poor/lame excuse;hava sum undanførsluexcuse oneself on the score/plea that(t.d.one is busy); plead that(GG:on the score of illness; on the plea of being too busy)2(gl.)purification of one's sins; demonstration of one's innocence, attempt at proving one's innocence3(gl.)giving wayoryielding to difficulties
undangangsmaður	(stb., bjarg.)síundangongumaður2
undangingin	out of stock, no longer in stock; run out of sth(t.d.I have run out of petrol)(GG:I am out of whisky);næstan undanginginshort of(t.d.I am short of tobacco); síganga(undan)
undangjald	payment in advance, prepayment;aftur fyri undangjaldon payment in advance, on prepayment
undangjørdur	over, through, finished, having got sth off one's hands;váringin var undangjørdthe agricultural spring task was over
undangonga	sailing before the wind, wind that blows from astern;hava beina undangongurun dead before the wind, (um sjógv) following sea;sigla í undangongu (eis.)run with the wind, scud;báturin er góður í undangonguthe boat runs well well before the wind;hann hevði onga undangongu í lívinum (fl.m.)his life was full of adversity; his life was not a bed of roses
undangongubyrur	fair wind
undangongufólk	pioneer
undangonguland	pioneerel.leading country; undangongulandí fiskiídnaðia leading country when it comes to fish(ing) industry
undangongumaður	1pioneer, advocate, champion(t.d.a champion of the cause of civil rights); protagonist (for, of); spokesman2(bjarg.)foreman for a party of bird catchers (on a bird cliff)
undangonguvindur	fair wind
undangoymdur	covert, hidden, concealed;við undangoymdum smíliwith a covert smile
undangruni	have a feeling, an ideael.a hunch that(t.d.I have a feeling that there is sth wrong; I have an idea that we must have met before), instinctive feeling;hava ein undangruna um okkurthave a hunch,(eis.)feel it in one's bones that;hann fekk rætt í undangruna sínumhis gut reaction proved to be right
undanhald	withdrawal, rearward movement, retreat
undankanning	preliminary survey
undankapping	(ítr.)qualifying tournament;dystur í undankappingini til heimsmeistaraskap í fótbóltiqualifying match for the World Cup
undankoma	(sj.)rescue, saving; síkoma(undan)
undankomin	1sprouted up, come up;bløðkurnar eru undankomnarthe first tiny leaves of the potato plants have come up2has risen;enn er sólin ikki undankominthe sun has not risen yet3grown up and independent;børnini vóru undankominthe children were grown up; síkoma(st) (undan)
undanlagstur	> árin var undanløgst the oar had become warped; síleggjast(undan)
undanlát	(løgfr.)omission, failure(t.d.his failure to keep his promise); síóvirkni
undanlátsbrotsverk	(løgfr.)[offence consisting in an omission]
undanlátsdómur	(løgfr.)(prohibitory) injunction
undanleggiligur	síundanleggin
undanleggin	1(sj.)dispirited, dejected, downhearted, dismayed2weak, feeble, yielding(t.d.disposition); nerveless, spineless
undanmaður	predecessor; undanmaðurhansara í stjórasessinumhis predecessor as managing director
undanmeting	1preliminary assessment2(trygg.)survey
undannevndur	above-mentioned, mentioned above, above
undanrennari	(ítr.)pacer
undanrenning	1running away (from sby)2(ítr.)pacing
undanromantikari	pre-Romanticist
undanromantiskur	pre-Romantic
undanromatikk el.undanromantikkur	pre-Romanticism
undanroynd	pretest; (próvtøka;gl.)preliminary examination;(evnafr.)preliminary test
undanrýming	flight, running away from sby//sth, fleeing from sby//sth
undansetningur	(málfr.)antecedent
undanskipa	(ítr.)seed
undanskipaður	(ítr.)seeded;skipaður millum teir fremstutop seeded
undanskiping	(ítr.)seeding
undanskurður	1[thin piece of meat included when an oblong piece of blubber is cut from the whale]2serial (story);søgan stendur sum undanskurður í Dimmalættingthe story is serialized in the Dimmalætting (a newspaper)
undanslag	(tónl.)grace note; (langt) appoggiatura; (stutt) acciaccatura
undansleipin	1slippery and steep;tey stúrdu fyri skalvalopi, tí har var so undansleipiðthey were apprehensive of snowslides as the terrain was slippery and steep2having parallel wind and current, having wind and current moving in the same direction
undansloppin	1the worst is over;tá ið seglið var komið á, var undansloppiðthe worst was over when the sail had been set;tey(t.e.foreldrini,the parents)eru undansloppintheir children are grown up2escaped(t.d.prisoner), runaway(t.d.slave);hin undanslopni revurinthe escaped fox; sísleppa(undan)
undanstaddur	(lækn.) undanstaddur fitilókurplacenta praevia
undanstandandi	(í teksti) preceding, above-mentioned, above(t.d.the above facts)
undanstarvsnæmingur	[preliminary apprenticeel.trainee]
undanstarvsvenjing	preliminary training
undanstreymur	(sigl.)wake
undanstøkkingur	1stunted animal(esplamb)2turncoat, weathercock, trimmer3the black sheep of the family
undansúkklari	(ítr.)pacer
undansýning	preview; (um filmeis.)pre-release
undantak	exception;vera undantakbe/constitute an exception;undantak frá málfrøðiregluan exception to a grammatical rule;undantakið prógvar reglunathe exception proves the rule
undantaksatgerð	exceptionalel.emergency measure
undantaksføri	exceptional case(t.d.in exceptional cases); special case;bara í undantaksførisave in exceptional circumstances;bara í undantaksføri kann hetta verða gjørtit can only be done in exceptional circumstances
undantaksgrein	exemption clause, escape clause
undantaksloyvi	dispensation
undantaksmaður	outstanding, exceptionalel.brilliant man
undantaksregla	exemption clause, escape clause
undantaksstandur	síundantaksstøða
undantaksstøða	state of emergency(t.d.declare a state of emergency); state of exception;lýsa hernaðarliga undantaksstøðudeclare martial law;forsetin setti landið í undantaksstøðuthe president declared a state of emergency
undantikin	not counting, exclusive of, except, leave out of consideration;vinningurin er undantikin inntøkuskattithe prize is not subject to tax
undantilvera	pre-existence
undantøka	(gl.)síundantak
undanval	(stjm.)primary, primary election (í USA)
undanveð	(løgfr.)prior security
undanveltur	completely cultivatedortilled;nú er undanvelt hjá honum
undanvera	pre-existence
undanvindur	down wind, following wind, tail wind,(sigl.)fair wind
undarligur	1strange, unusual, peculiar, odd, curious, odd, queer, quaint, singular;Ábal varð hildin at vera undarligurpeople thought that Ábal was an odd character;hetta tókti teimum undarligt;tað er ikki undarligt íthat isn't strange, there is nothing extraordinary about that2[sumhj]undarliga;verða undarliga viðbe embarrassed, be/feel awkward
undir-	(eis. jarðfr.) sub-
undir	1under(neath), below;kettan fór undir borðiðthe cat moved under the table;kettan liggur undir borðinumthe cat is lying under the table;er nógv undir?(of a potato field) does it come up?;nógv er undirthere is much fish under the keel2on the underside of;hava ilt undir ilinifeel pain on the sole of one's foot;hava runu undir skónumhave shoes clogged with dirt;báturin hevur jarn undir kjølinumthe boat's keel is ironclad3under (water), in (water);hann koyrdi høvdið undirhe put his head under the water;hann fór undir allur sum hann varhe went under the surface of the sea4at the footorbottom of sth;teir sigldu inn undir landthey sailed close to the shore;teir lógu undir landithey were lying close to land;slíta upp undir landsucceed in reaching the landing place;undir Íslandioff Iceland;undir heygnumat the foot of the hill;undir fjallinumat the foot of the mountain;(uppi) undir húsunumjust below the house5close to (sth);sita undir liðini á e-msit beside someone6aftur undirbehind, concealedorhidden;hann fór aftur undir ein steinhe went behind a boulder;hann sat aftur undir heygnumhe sat behind the hill7protected by or hidden behind; undirfølskum navniunder a false/an assumed name8(um tignarstøðu, um virði: minni enn, of rank; of value: less than); undireina milliónless than a million; under(t.d.a colonel is under a general in rank; nobody under a captain/nobody under the rank of captain was admitted); below(t.d.below me in station)9belong under, be a matter for;málið lá undir løgmálaráðnumthe case was a matter for the Ministry of Justice;hon hevur 30 fólk undir særshe has 30 persons under her;undir norsku krúnuniunder the Norwegian Crown;leggja undir segsubjugate, subdue, conquer;standa undir e-mbe dependent on someone; rank under sby10(um tíð, of time)fram undirtowards, just before;fram undir jóltowards Christmas11during; undirkrígnumduring the war12[sumhj]kópurin er undirthe seal has submerged;mánin er farin undirthe moon is down;bøurin stendur undir í vatnithe field is flooded13[fs//hjsaman viðs] t.d. búgva undir; díkja undir; ganga undir; geva seg undir; koma undir; liggja undir; rísa undir; røra undir; sita undir; skumpa undir; spæla undir; taka undir(sísagnorðinisumleitorð)
undirbit	underhungel.undershot jawel.bite(t.d.he has an undershot jaw)
undirbjóðing	(handilsm.)undercutting, underselling
undirborin	overtaxed, burdened with;lærarar úti á bygdunum vóru ofta undirbornir við almenn álitisstørvvillage teachers were often burdened with various honorary offices
undirbólkur	1subgroup2(handilsm.)secondary group
undirbrotligheit	1(eyðmýkt) humility, humbleness2(sleiskni) servility, cringing, obsequiousness
undirbrotligur	1(eyðmjúkur) humble2(sleiskur) servile, cringing, obsequious;so undirbrotligir vóru føroyingar, at amtmaðurin kundi gera tað, honum lysti at the timeFaroemen were so servile that the Danish Prefect could do whatever he wished;(sj.) vera undirbrotligur e-m (eis.)grovel/cringe before sby
undirbrotni	(sj.)síundirbrotligheit
undirbrøkur	síundirbuksur
undirbuksur	pants, underpants; (til konufólk) knickers; (stuttar) panties; (trussur) briefs; (stuttar, til menn) trunks, briefs;(am.)shorts, undershorts; (langar) long underpants;Slong johns, John Sullivans;føroyskar undirbuksurlong woollen underpants
undirbyrjaður	loaded, filled, stuffed;ovnurin stóð undirbyrjaður av øsku og tómum pappírskistlum
undirdeild	1subdivision2(í flokkingarskipan, in a system of classification) subdivision, subsection, subclass, subgroup3(handilsm., viðv.virkio.tíl.)sub-branch4(løgfr.;í lógargrein) subsection5(dý.ogplfr.)subclass, subtype
undirdekk	(sigl.)lower deck
undirdíktur	be pelted with; be heapedorshowered with; be besieged(t.d.the teacher was besieged with questions); (um arbeiði) overloaded, overburdened, overwhelmed with work, up to the eyes in work; sprayed, sprinkled; undirdíkturí ókvæmisorðumbe pelted with insults; síeis.díkja(undir)
undirdjúp	(bíbl.)bottomless pit
