М1	I1.(skelti) метро́ metro2.«для мужчи́н» (á toiletthurð) M menn (надпись на туалете)
матро́сский	adjmatrósa- [-Ꞌtʰrɔu-]; матро́сский костю́м matrósaklæðir [-Ꞌtʰrɔu-]
ма́тушка	plurма́туш|ки, ~ек, ~камf1.gml., tlm.(мать) mammaжгл-a, móðirж0родкн.2.fl.(kann ikki altíð umsetast, verður brúkt í ym. tiltøkum og nøvnum) móðirж0род; земля́-ма́тушкаmunn.jørðin; Русь-ма́тушка {ма́тушка Росси́я}hátíð.móðir Russland; Во́лга-ма́тушкаhátíð.móðir Volga3.óvkm., kel.(в обращении)í tiltalu við oftast eldri konu4.tlm.(жена священника) prestakonaжгл-a(eis. í tiltalu)5.gml., tlm.(монахиня) nonnaннкжгл-a, nunnaнпжгл-a@ма́тушки мои́{ма́тушки све́ты}! halgatrý! [-Ꞌtʰrʊi]; píkasjey! [-Ꞌʃεi];по ма́тушке пусти́ть{к тако́й-то ма́тушке посла́ть}tlm.bannaaðiog blótaaði
Матфе́й	mbíbl.Matteus [-Ꞌtʰeːʊs]м0-ar{0<>i}=>ева́нгелие
матч	mdysturмсогл-s,-ir, kampurннкмсогл-ar; футбо́льный матч fótbóltsdystur, fótbóltskampurннк=>догово́рный@,отве́тный
мать	Gen, Dat, Prpма́тери,Insма́терью; plurма́тери, матер|е́й, ~я́хf1.(женщина по отношению к своим детям) mammaжгл-a, móðirм0родкн., выс.;мать семе́йства húsmóðir; по ма́тери í móðurætt,sbr.@2.fl.,munn.kann ikki altíð umsetastmóðirм0род; Ки́ев - мать городо́в ру́сскихhátíð.,gml.Kiev [kʰiːjεu]], [kʰiːjεf] er móðir at teimum russisku býunum; мать-Ро́дина móðurlandið3.tlm.um tílíkt, sum ber ávøkstur o.a., skal ikki altíð umsetast, t.d.приро́да-мать4.(самка) mammaжгл-a(um hondjór við atliti til unga;eis. um neyt, ross o.a.)5.tlm.(обращение)í tiltalu við kvinnu6.(в названии монахини и в обращении к ней) móðirм0род(í umtalu av nunnu o.tíl. og í tiltalu saman við navninum)@в чём мать родила́spilnakinсоглосн;мать честна́я!tlm.halgatrý! [-Ꞌtʰrʊi]; píkarill! [-Ꞌrɪlː]; мать моя́!a)síматьчестна́я; b)tlm.(в обращении) (nú,) hon sjálv, (nú,) hin gamla (í tiltalu);по ма́тери(вы́ругаться)óvkm.taka dýran til,sbr.1;мать твою́ {ва́шу, его́o.s.fr.}óvkm.,skemt.,illb.kann umsetast ymisliga, sum t.d.far tú at [ɔa] fananum tilбран.=>всоса́ть@,крёстный,ку́зькин,суррога́тный,тако́й-то@
мать-герои́ня	f-fhetjumóðirм0род(tittul hjá konum,ið hava átt tíggju børn ella fleiri)
мать-и-ма́чеха	f(Tussilago farfara) (loðið) hóvblaðс0о{a/ø}{0<>i}
мать-одино́чка	plurодино́ч|ки, ~ек, ~камf-feinligглigurmammaжгл-a, einsamøll [-tl]соглmammaжгл-a
матю́г	Genматюга́m síматюги́
матюга́льник	m skemt., óvkm.hátalariмгл-ari; rópariмгл-ari, megafon [meːkaꞋfoːn]ж0-ir(мегафон)
матюга́ться	ipf(momentматюгну́тьсяматюгн|у́сь, ~ёшься, ~у́тся)óvkm.bannaaðiog blótaaði
матюги́	матюг|о́в, ~а́мm pluróvkm.,atf.síматV
матюгну́ться	moment síматюга́ться
ма́узер	mmauserpistólur [maus-]мсогл-ar
маунтинба́йк	mfjallasúkkla [-tl-]жгл-a, mountainbike [maun̥tɪnpaik]ж нескл проф.
маунтинба́йкер	mfjallasúkklari [-tl-]мгл-ari, mountainbikari [maun̊tɪnpaik-]мгл-ariпроф.
ма́фик	m jarg.mafiosur [maːfiˈoː-]мсогл-ar, mafioso [maːfiˈoː-]мгл-гл, mafiosi [maːfiˈoːsi]мгл-i
мафио́зи	m indeclmafiosur [maːfiꞋoː-]мсогл-ar, mafioso [maːfiꞋoː-]мгл-гл, mafiosi [maːfiꞋoːsi]мгл-i, mafiabossur [ma:fija-]мсогл-ar
мафио́зник	m tlm.mafiosur [maːfiˈoː-]мсогл-ar, mafioso [maːfiˈoː-]мгл-гл, mafiosi [maːfiˈoːsi] мгл-i
мафио́зо	m indecl síмафио́зи
ма́фия	fmafia [maːfia]жгл-a
Мафусаи́л	mbíbl.,fl.Metúsalem [-Ꞌtʰʉu-]м0{дат.0}тжперен., Metusalem [-Ꞌtʰuː-]м0{дат.0}тжперен.
мафусаи́лов	adj: мафусаи́лов век {мафусаи́ловы лета́, мафусаи́ловы года́} житьskemt.gerastнепрgamal sum Metusalam [-Ꞌtʰuː-]; slítaслнei-i-ihøgan aldur
мах1	Im1.(косой и др.) sveipс0о(við líggja o.a.); slagс0о{a/ø}{0<>i}(við veingi o.tíl.) (крылом и т.п.)2.(колеса и т.п.) umferðж0-ir(hjá hjóli o.ø.); svingс0о(hjá svinghjuli) (маховика)3.(размах ног лошади и др.) fetс0о(hjá rossum o.ø., tá tey renna)4.ítr.(рук,ног) sveiggjс0о(av ørmum, beinum)@одни́м {еди́ным} ма́хом {с одного́ {еди́ного} ма́ху}tlm.a) (одним прыжком) í einum viðbragdi; b) (без остановки) í eitt koyr; c) (вмиг) í einum handarbragdi, alt í einum;с ма́ху{со всего́ ма́ху} а) (изо всех сил) av dýrastu makt; av øllum [-tl-] alvi ; b) (не задумываясь) uttan at hugsa seg um;дать ма́хуtlm.geraнепрein bummaraнеформ., geraнепрeina kisku [kʰɪ-]шутл., geraнепрein frensшутл.
мах2	IIpred.,tlm.í fúkandi ferð, fúkandi skjótt; де́вушка мах - и перепры́гнула я́му gentan leyp í fúkandi ferð tvørtur um hylin
махаго́н	mtlm.síмахаго́ни
махаго́ни	n indeclmahogni [-Ꞌhoːkni]с0-i
махаго́новый	adjmahogni- [maꞋhoːkni-]
махану́ть	махан|у́, ~ёшь, ~у́тpfóvkm.síмахну́ть
махао́н	m(Papilio machaon) svalufirvaldurмсогл-ar
махара́джа	m síмагара́джа
маха́ть	машу́, ма́ш|ешь, ~утogtlm.маха́юo.s.fr.ipf(momentмахну́тьмахн|у́, ~ёшь, ~у́т)ipf чем-л.veipaaðivið o-m; veittraaðivið o-m(рукой,платком); látaслнæ-ó-áviðo-m(хвостом,ушами и др.); маха́ть ве́ткой sveiggjaaðivið einari grein, veipa við einari grein; маха́ть платко́м veittra við einum lummaturriklæði; маха́ть руко́йкому-л.vinkaннкaðitil o-n, veittratil o-n; маха́ть рука́ми veipa við ørmunum; маха́ть кры́льями flaksaaðivið veingjunum
маха́ться	ipfjarg.berjastir(d){e/a}{+}við o-n
Махачкала́	fMakhatjkala [makʰaʰtʃkʰaꞋlaː]м нескл.(til 1921Петро́вск-Порт)
махи́на	ftlm.skrumbulс0осн(тж о человеке), bulurмсогл-ar(о человеке), bulvirki [pʊl-]сгл-i(о человеке), monstrumэнкс0o({0<>i})пренебр.
махина́тор	mtlm.manipulator [maːnipʰuꞋlaː-]м0-torнеодобр.
махина́ция	fluskэнкс0онеодобр.; manipulеring [maːnipʰuꞋleː-]ж0-arнеодобр., manipulatión [maːnipʰuːlaꞋʃɔun]ж0-irнеодобр.(манипуляция)
махну́ть	махн|у́, ~ёшь, ~у́тpf1.moment tilмаха́ть2.tlm.(броситься) tveitair(t)seg, blakaaðiseg; leypaслнey-u-o(прыгнуть)3.tlm.(отправиться) faraслнó-a-ó, haldaслнe-i-iavstað [aꞋstεa]4.Acc на Acc óvkm.(обменять) skiftair(t)Винum fyriВин5.tlm.(сильно преувеличить) geraнепрnógv av@махну́ть руко́йна что-л.lataслнæ-ó-ao-tfara aftur [aʰtː-] við borðinumидиом.
махну́ться	махн|у́сь, ~ёшься, ~у́тсяmoment чем-л.óvkm.skiftair(t)um o-t
махови́к	Genмаховик|а́; plur~и́, ~о́в, ~а́мmsvinghjul [-juːl]ннкс0oпроф., svinghjól [-tʃʰɔul]нпс0o
махово́й	adjsveiggjandiглandi@махово́е колесо́síмахови́к;маховы́е пе́рьяveingjafjaðrar
ма́хонький	stfма́хонек, ма́хоньк|а, ~о, ~иadjóvkm.pinkulítilсоглосн{+}, evarska lítilсоглосн{+}
махо́рка	f slag av ringum tubbaki
махра́	fóvkm.síмахо́рка
махро́вый	adj1.plant.(о цветке) fylturсогл2.(о ткaни) frotté- [-Ꞌtʰeː-]; махро́вое полоте́нце frottéhandklæði [-Ꞌtʰeːhaŋ̊kla]3.fl.(о свойстве,особенности) forgjørdur [-Ꞌtʃœ-]неодобр., forstokkaður [-Ꞌstɔ-]неодобр., erka-неодобр.; махро́вый негодя́й ein gjørdur búrkroppur [pʏɹ̥k-]; нахро́вый реакционе́р forgjørdur afturhaldsmaður [aʰtːʊɹhal̥s-]
махры́	махр|о́в, ~а́мm plur1.tlm.(нитки) trevsur [-εfs-]жгл-aмн(av tráðum o.ø)2.gml.(бахрома) frynsarмсогл-arмн
маца́	fmatza [maʰtsa]с0гл-a(ósúrgað breyð hjá jødum)
ма́чеха	fstjúkmamma [ʃʏkm-]жгл-a, stjúkmóðir [ʃʏkm-]ж0родкн.
ма́чо	m indeclmacho [maʰtʃːo]м нескл
ма́чта	fmasturж0осн; ма́чта-анте́нна antennumastur [-Ꞌtʰε-]
ма́чтовый	adjmastrar-
маш...	1.машу́, ма́шешьo.s.fr. pres avмаха́ть2.маши́, маши́теimper avмаха́ть
машбюро́	n indecl síмашинопи́сноебюро́
маши́на	f1.(устройство) maskina [-Ꞌʃiː-]жгл-a; парова́я маши́на dampmaskina; маши́на вре́мени tíðarmaskina (í science-fiction)2.(автомобиль) bilurмсогл-ar; на маши́не við bili, í bili3.fl.,tlm.(о человеке) maskina [-Ꞌʃiː-]жгл-a(um fólk)4.fl.(об организации и т.п.) maskina [-Ꞌʃiː-]жгл-a, maskinarí [-Ꞌrʊi-]с0о{0<>i}; вое́нная маши́на krígsmaskinan [kʰɹʊi̯ʰks-], [kʰɹʊʰks-]; госуда́рственная маши́на statsmaskinaríið [staː-]5.ítr.(мотоцикл) motorsúkkla [-Ꞌtʰoː-]жгл-a; súkklaжгл-a(велосипед)6.sjóm.(двигатель) motorur [-Ꞌtʰoː-]мсогл-ar(á skipi)7.sjóm.(машинное отделение) [-Ꞌʃiː-] maskinrúmс0о(á skipi)8.tlm.(компьютер) teldaжгл-a=>а́дский@,грузово́й,легково́й,рулево́й,шве́йный
машина́льно	advóavvitandi; mekaniskt [-Ꞌkʰaː-]ннк, uttan at hugsa; automatiskt [autoꞋmaː-]ннк; av sær sjálvum
машина́льный	stfмашина́лен, машина́льн|а, ~о, ~ыadjóavvitandiглandi; sum verður gjørdurсоглav sær sjálvum; automatiskur [autoꞋmaː-]ннксоглsk, mekaniskur [meꞋkʰaː-]ннксоглsk(av handahógvi)
машина́ция	fmekanisering [-kʰaːniꞋseː-]ж0-ar
машинизи́ровать	машинизи́ру|ю, ~ешь, ~ютipf/pf что-л.mekanisera [-kʰaːniꞋseː-]aðio-t
машини́ст	m1.(рабочий,управляющий машиной) maskinistur [-Ꞌnɪ-]мсогл-ar(с образованием); motorpassari [-Ꞌtʰoː-]мгл-ariмор., уст.(без образования)2.(водитель поезда) lokomotivførari [-Ꞌtʰiːv-]мгл-ari3.(специалист,печатающий на машинке) maskinskrivari [-Ꞌʃiːn-]мгл-ari
машини́стка	plurмашини́ст|ки, ~ок, ~камfmaskinskrivari [-Ꞌʃiːn-]мгл-ari(konufólk), skrivimaskinudama [-taː-]жгл-aнеформ.
маши́нка	plurмаши́н|ки, ~ок, ~камf1.dim avмаши́на2. (пишущая) skrivimaskinaжгл-a3.(для стрижки) maskina [-Ꞌʃiː-]жгл-a(at klippa við); остри́женный под маши́нку snøgtkliptur
маши́нно-тра́кторный	adj: маши́нно-тра́кторная ста́нция (МТС)søg.maskin-og traktorstøð [-ꞋʃiːnoꞋtʰra-]
маши́нный	adj1.(кмашина 1) maskin- [-Ꞌʃiːn-]; маши́нное ма́сло maskinolja [-Ꞌʃiːn-]; маши́нные ча́сти maskindeilir [-Ꞌʃiːn-]; маши́нное вре́мя maskintíð [-Ꞌʃiːn-]2.(производимый машинами) maskin- [-Ꞌʃiːn-]; маши́нная до́йка maskinmjólking [-Ꞌʃiːn-], mjólking við maskinu [-Ꞌʃiːn-]; маши́нный перево́д maskintýðing [-Ꞌʃiːn-] =>отделе́ние3
машинове́дение	nmaskinlæra [-Ꞌʃiːn-]жгл-a
машинопи́сный	adj: машинопи́сный текст maskinskrivaður [-Ꞌʃiːn-] tekstur; машинопи́сное бюро́ maskinskrivingarstova [-Ꞌʃiːn-]
маши́нопись	f1.(действие) maskinskriving [-Ꞌʃiːn-]ж0-ar2.(текст) maskinskrivaður tekstur [-Ꞌʃiːn-]мсогл-s,-ir
машинострое́ние	nmaskinbygging [-Ꞌʃiːn-]ж0-ar, maskinbyggingarídnaður [-Ꞌʃiːn-]мсогл-ir
машинострои́тель	m≈ maskiningeniørur [-Ꞌʃiːnɪɲ̊ʃinøː-]ннкмсогл-ar, maskinverfrøðingur [-Ꞌʃiːnː-]нпмсогл-ar
машинострои́тельный	adjmaskinbyggingar- [-Ꞌʃiːn-], maskin- [-Ꞌʃiːn-]; машинострои́тельый заво́д maskinfabrikk [-Ꞌʃiːn-]ннк, maskinverksmiðja [-Ꞌʃiːn-]нп
маши́но-тра́кторный	adj síмаши́нно-тра́кторный
маэ́стро	m indeclbókl.meistariмгл-ari; maestro [maꞋε-]мгл-гл(б.ч. о дирижёрах)
мая́к	Genмаяк|а́; plur~и́, ~о́в, ~а́мm1.(сооружение) fýrurннкмсогл-arпроф., vitiнпмгл-i; плаву́чий мая́к fýrskipннкс0о, vitaskipнпс0о; подхо́дный мая́к innsiglingarfýrurннкпроф., innsiglingarvitiнп; порто́вый мая́к havnarfýrurннкпроф., havnarvitiнп; радиолокацио́нный мая́к radarfýrur [raː-]ннкпроф., radarviti [raː-]нп, racon [rεikɔn]м0-ar{дат.0}спец.2.fl.(пример) fyrimyndж0-ir, undangongumaðurмнепр
ма́ятник	mpendul [-Ꞌtuːl]с0о; balansi [-Ꞌla-]мгл-i(в ручных часах)
ма́ятниковый	adjpendul- [-Ꞌtuːl-]
ма́ять	ма́|ю, ~ешь, ~ятipf кого-л.tlm.plága [pʰlɔava]aðio-n(мучить); møðair(d)o-n(изнурять)
ма́яться	ма́|юсь, ~ешься, ~ютсяipftlm.1.(Ins) (мучиться) vera plágaður [pʰlɔav-]глaður(av Дат), pínastir(d)(av Дат); havaнепрo-t(um sjúku) (о болезни)2.с Ins(испытывать огорчение,затруднение) havaнепрstríðav Дат, stríðastir(d)við Вин, dragastслнó-ó-ivið Вин3.(томиться,изнываться) pínastir(d), plágast [pʰlɔavast]aði
мая́чить	мая́ч|у, ~ишь, ~атipftlm.1.(виднеться в дали) hómastaði; tekkjastir(t)(быть различимым,быть заметным), skrímair(d)(при плохой видимости,в тумане и др.), síggjastслнá-ó-æ(langt burturi)2.(попадаться на глаза) malaслнó-ó-afyri fótunum (á o-m)3.bert 3. pers brúktur(предвидеться) standaслнó-ó-afyri Ꞌ framman, veraслнa-ó-eí Ꞌ væntu, kunnaнепрꞋ væntast
мая́читься	мая́ч|усь, ~ишься, ~атсяipfóvkm.мая́чить 1, 3
мая́чный	adjfýr-ннк, vita-нп;мая́чный смотри́тель fýrpassariннкмгл-ari, vitapassariнпмгл-ari
маячо́к	Genмаячк|а́; plur~и́, ~о́в, ~а́мm: про́блесковый маячо́к blinkljósс0о(á ambulansum o.tíl.)
м.б.	мо́жет быть kanska
Мбаба́не	[-нэ]m indeclMbabane [paꞋpaːnε]м нескл.
Мбайт	síмегаба́йт
МВД	[эм-вэ-дэ́]n indeclминисте́рство вну́тренних дел innanríkismálaráðнп; innaríkisministeriumннк; innlendismálaráðið (на Фар. о-вах)
м-во	министе́рство ráðharrastovaнп, ministerium [minɪꞋsteː-]ннк
МВТ	[эм-вэ-тэ́]n indeclминисте́рство вне́шней трого́вли uttanríkishandilsmálaráðнп; uttanríkishandilsministeriumннк
МВт	мегава́тт MW, megawatt [meːkavaʰtː]
МВФ	[эм-вэ-э́ф]m indeclМеждунаро́дный валю́тный фонд IMF [iː εmː Ꞌεfː], Altjóða gjaldoyragrunnurin
МВЭСТ	[эм-вэ-эс-тэ́]n indeclМинисте́рство вне́шних экономи́ческих свя́зей и торго́вли Росси́йской Федера́ции Russiska uttanríkisbúskpar -og handilsmálaráðiðофиц.
мг	миллигра́мм mg, milligramm
МГБ	[эм-гэ-бэ́] nindecl stytt. fyriминисте́рстово госуда́рственной безопа́сности ríkistrygdarmálaráð
мгла	f1.(пелена тумана,дыма и др.) támс0о2.(темнота) myrkurс0осн
мгли́стый	stfмглист, ~а, ~о, ~ыadjtámuturсогл
мгнове́ние	nbilс0о, eygablikkннкс0о; в одно́ мгнове́ние í einari handarvending, í einum handarbragdi; в то же мгнове́ние í somu løtu@в мгнове́ние о́каí einari handarvending, í einum handarbragdi
мгнове́нно	adví stundini, alt fyri eitt, beinanvegin [painav-]
мгнове́нный	stfмгнове́н|ен, ~на, ~но, ~ныadj1.(возникающий сразу) sum er beinanvegin; sum er alt fyri eitt; мгнове́нное реше́ние ein avgerð, tikin í stundini2.(кратковременный) stutturсигл, sum varir stutt
МГУ	[эм-гэ-у́]m indeclМоско́вский госуда́рственный университе́т и́мени М.В Ломоно́сова MGU [εmː keː Ꞌuː], Ríkisuniversitetið í Moskva; Lomonosovuniversitetið [-Ꞌnoːsɔf-]
МГц	мегаге́рц MHz megahertz [meːka hεɹ̥ts]
ме	intermæ =>бе
меа́ндр	m1.jarðf.(извилина) bugurмсогл-ar, bendingж0-ar(í á)2.list.(орнамент) à la grecque-bordi [aːlaꞋkɹεʰkː-]мгл-i
ме́бель	f kollmøplar {møblar}м0осн-s,-,-arмн; мя́гкая ме́бель polstraðir møplar@для ме́белиtlm.,skemt.til ífyllu [-tlʊ]
ме́бельный	adjmøpla- {møbla-}; møpil- {møbil-}; ме́бельный магази́н møbilhandil
ме́бельщик	mmøbilsnikkariмгл-ari
меблиро́ванный	Ipartic avмеблирова́тьIIadjmøbleraður [-Ꞌpleː-]глaður@меблиро́ванные ко́мнатыgml.møblerað [-Ꞌlpeː-] kømur (slag av bíligum hotelli el. pensionati)
меблирова́ть	меблиру́|ю, ~ешь, ~ютipf/pf что-л.møblera [-ˈpleː-] o-t
меблиро́вка	f1.(действие) møblering [-Ꞌpleː-]ж0-ar2.koll(мебель,обстановка) møblement [-Ꞌmaŋk]с0о, møblar {møplar}м0осн-s,-ar
мег	m teld., jarg. síмегаба́йт
мегаба́йт	Gen plurмегаба́йтов, мегаба́йтmmegabyte [meːkapait]с0о, megabýt [meːka-]лпс0о
мегаба́йтный	adjmegabyte- [meːkapait]
мегаби́т	mmegabit [meːkapɪʰtː]с0о
мегава́тт	mmegawatt [meːkavaʰtː]с0o
мегаге́рц	mmegahertz [meːkahεɹ̥ts]с0о
мегазвезда́	plurмегазвёзд|ы, ~, ~амf fjm.megastjørna [meːkastjœtna]жгл-aнеформ.(gitið fólk)
мегапо́лис	mmilliónbýur [mɪʎꞋjɔun-]мсогл-ir
мегапрое́кт	[-э́кт]mrisastór íløguverkætlaннпж0-ir, risastórt investeringsprojekt [ɪnvεˈsteːɹɪŋkspɹoʃεʰkt]ннкс0о(;0-ir)проф.
мегафо́н	mmegafon [meːkaꞋfoːn]ж0-ir, rópariмгл-ari(рупор)
мегахи́т	mmegahit(t) [meːkahɪʰtː]с0онеформ., проф.
мегашо́у	n indeclrisashow [-ʃɔu]ннкс0о{0<>i}
меге́ра	ftlm.britaжгл-aпренебр., grussaжгл-aпренебр., groyggjс0о{+}{0<>i}пренебр., gívurж0оснпренебр.
мегре́л	Gen, Acc plurмегре́л, мегре́ловmmingreli [-Ꞌkɹeː-]мгл-i, mingrelari [-Ꞌkɹeː-]мгл-i
мегре́лка	plurмегре́лк|и, ~ок, ~камfmingreli [-Ꞌkɹeː-]мгл-i(konufólk),  mingrelari [-Ꞌkɹeː-]мгл(konufólk)
мегре́льский	adjmingrelskur [-Ꞌkɹeː-]соглsk; мегре́льский язы́к mingrelsktсприлskt
мёд	Genмёда, мёду,Prpо мёде, в меду́; plurмед|ы́, ~о́в, ~а́мm1.(вещество) honningннкс0о, honningurннкмсогл-s,-ir, hunangurнпмсогл-s,-ir, hunangнпс0о2.(напиток) mjøðurмсогл-ir{ø/a}@не мёдtlm.ikki sum at siga tað; ikki gamansleikur; жить с вами - не мёд at liva saman við tykkum er ikki gamansleikur; ваш сын, са́ми зна́ете, не мёдтжsum tygum vita, er sonur tygara ikki so at flættast við =>дёготь,уста́
мед…	í samansмедици́нский læknavísindaligur, lækna-, medisinskur [-Ꞌsiː-]; медфа́к (медицинский факульте́т) medisinskt fakultet [-Ꞌtʰeːt], læknavísindalig megindeildлп
медали́ст	m1.(спортсмен,ученик) medaljuvinnari [-Ꞌta-]ннкмгл-ari, heiðursmerkjavinnariнпмгл-ari2.(животное) medaljuvinnari [-Ꞌta-]ннкмгл-ari, heiðursmerkjavinnariнпмгл-ari(húsdjór)
медали́стка	plurмедали́ст|ки, ~ок, ~камfmedaljuvinnari [-Ꞌta-]ннкмгл-ari, heiðursmerkjavinnariнпмгл-ari(konufólk)
меда́ль	fmedalja [-Ꞌta-]ннкжгл-a, heiðursmerkiнпсгл-i; золота́я меда́ль gullmedaljaннк, gullheiðursmerki [-tl-]нп; получи́ть бро́нзовую меда́ль fáa bronsumedaljuннк, fáa bronsuheiðursmerkiнп; меда́ль в па́мятьчего-л.medaljaннкtil minnisum o-t, heiðursmerkiнпtil minnisum o-t@оборо́тная сторона́ меда́лиbaksíðan á medaljuni [-Ꞌta-]ннк; ranganжгл-aáo-m
медальо́н	[-льён]mmedaljong [-Ꞌjɔnk]ж0-ir
медбра́т	plurмедбра́ть|я, ~ев, ~ямm(медици́нский брат) sjúkrarøkrarfrøðingurмсогл-ar(mannfólk), sjúkrasystirж0род(mannfólk)
медве́диха	ftlm.síмедве́дица
медве́дица	fhonbjørn [-tn]ж0-ir{ø/a}@Больша́я Медве́дица(созвездие) Stóra Bjørn [-tn]ж0-ir{ø/a}, Karlsvognurinмсогл-arопр.;Ма́лая Медве́дица(созвездие) Lítla Bjørn [-tn]ж0-ir{ø/a}
медве́дка	plurмедве́д|ки, ~ок, ~камf: обыкнове́нная медве́дка (Gryllotalpa gryllotalpa)insekt av veggjasmyrlaættini(en.mole cricket; da.jordkrebs)
медве́дь	m1.(Ursus) bjørn [-tn]ж0-ir{ø/a}; бе́лый медве́дь (U. maritimis) ísbjørn, hvítabjørn; бу́рый медве́дь (U. arctos) landbjørn [lanp-], brún bjørn2.fl.(о человеке) kempumaðurмнепр=>дели́ть@,у́хо@
медвежа́т...	síмедвежо́нок
медвежа́тина	fbjarnarkjøt [-tn-]с0о
медвежа́тник	mbjarnaveiðimaður [-tn-]мнепр
медве́жий	adjbjarna(r)- [-tn-]; bjarnarskins- [-tn-] (из медвежьей шкуры); медве́жья шку́ра bjarnarskinn@медве́жий лукsíчеремша́;медве́жий у́голavkrókur [au-], [εav-]мсогл-ar, avpláss [au-], [εav-]с0о; holс0о;медве́жья боле́зньtlm.,skemt.skræpaжгл-aнеформ.(av ótta o.ø.);медве́жья услу́гаbjarnartænasta [-tn-]
Медве́жий о́стров	Bjarnoyggin [-tn-]ж0-ar{+}опр
медвежо́нок	Gen, Accмедвежо́нка; plurмедвежа́т|а, ~, ~амm1.(детёныш медведя) bjarnarungi [-tn-]мгл-i2.(о человеке) bamsaжгл-aнеформ.(um hyldligt fólk o.a.)
медвя́ный	stfмедвя́н, ~а, ~о, ~ыadjgml.honnings-ннк, hunangs-нп
медеплави́льный	adjkopar-, koparsmelti-; медеплави́льный заво́д koparverk
Меде́я	[-дэ́-]fmyt.Medea [-Ꞌteːa]жгл-a
меджли́с	mmajlis [matʃˈlɪsː]с нескл(navn á lóggávutingi í ym. asiatiskum og afrikanskum londum
ме́диа	f indecl: социа́льные ме́диа sosialir [-ˈaː-] miðlarм0осн-s,-arмн
медиаба́инг	m keyp av lýsingaplássi o.ø. í fjølmiðlum
медиаба́йер	m medarbeiðari, ið fæst við at keypa pláss til lýsingar o.tíl. í fjølmiðlum
медиабаро́н	m fjm.fjølmiðlakongurмсогл-ar(sum hevur ræði á nógvum fjølmiðlum)
медиадире́ктор	plurмедиадиректoр|а́, ~о́в, ~а́мmlýsingastjóri [-stjɔu-]мгл-i
медиаимпе́рия	f fjm.fjølmiðlaimperiumннкс0-um
медиакана́л	mfjølmiðilс0осн-s,-ar
медиаклу́б	m(óheft) felagс0осн{a/ø}{0<>i}av journalistum [ʃʊɹnaˈlɪ-]
медиакомпа́ния	ffjølmiðlafelagс0о{a/ø}{0<>i}
медиакоро́ль	Gen Accмедиакорол|я́; plur~и́, ~е́й, ~я́мmfjølmiðlakongurмсогл-ar(sum ræður á nógvum fjølmiðlum)
медиакра́тия	f fjm.valdс0оhjá [tʃʰ-] fjølmiðlum
медиамагна́т	mfjølmiðlakongurмсогл-ar(ið hevur ræði á nógvum fjølmiðlum)
медиамарке́тинг	mhand.marknaðarførslaжгл-aí miðlum
медиа́на	f geom.medianur [-Ꞌaː-]мсогл-ar
медиаобразова́ние	nmiðlaútbúgvingж0-ar
медиаподразделе́ние	ndeildж0-irav lýsingafyritøku
медиапростра́нство	nmiðlarúmс0опубл.
медиары́нок	Gen, Accмедиары́нк|а;plur~и, ~ов, ~амmfjm.fjølmiðlamarknaðurмсогл-ir
медиасе́ллер	[-сэ́-]m hand. fyritøka ella medarbeiðari, ið selur lýsingapláss o.tíl. í fjølmiðlum
медиасоо́бщество	mfjølmiðlafólkс0омн
медиате́ка	fmiðlasavnс0о{a/ø}
медиа́тор	m муз.plektariмгл-ari
медиафа́йл	mmiðlafílaжгл-aкомп.
медиахо́лдинг	mfjølmiðlastórfelag [-stœɹ̥f-]с0о{a/ø}{0<>i}
меди́йный	stfмеди́ен, меди́йн|а, ~о, ~ыadjmiðla-, fjølmiðla-
ме́дик	m1.(специалист) medicinari {medisinari} [-Ꞌsiː-]мгл-ari(lækni)2.tlm.(студент) læknalesandiмприл; medicinari {medisinari} [-Ꞌsiː-]мгл-ariнеформ.(lesandi)
медикаме́нт	m, medikament [-Ꞌmε-]с0о(;0-ir); medisin {medicin}[-Ꞌsiːn]с0о, heilivágurнпмсогл-ir(лекарство)
медикаменто́зный	stfмедикаменто́зен, медикаменто́зн|а, ~о, ~ыadjmedisin- {medicin-} [-Ꞌsiːn] , heilivágs-нп; við medisini {medicini-} [-Ꞌsiːn] . við heilivágiнп
ме́дико-...	í samansmedisinskt - [-Ꞌsiːn̊st-]
Меди́на	fMedina [-Ꞌtiː-]м нескл.
медитати́вный	stfмедитати́в|ен, ~на, ~но, ~ныadjmeditativurинтсогл
медита́ция	fmeditatión [-Ꞌʃɔun]ж0-ir
медити́ровать	медити́ру|ю, ~ешь, ~ютipfmeditera [-Ꞌtʰeː-]aði
ме́диум	mmedium [metɪʊm]с0-um(í spiritismu o.ø.)
медици́на	f1.(наука) læknafrøðiжгл-i, læknavísindiсгл-iмн; medicin {medisin} [-Ꞌsiːn]ннкс0опроф.(fak, vísindi); наро́дная медици́на heimaráðс0омн2.tlm.(врач) lækniмгл-i
медици́нский	adjlækna-; medisinskur {medicinskur} [-Ꞌsiː-]соглnsk; медици́нский факульте́т medisinskt {medicinskt} fakultet [-Ꞌtʰeːt]проф., læknavísindalig megindeildлп; медици́нские инструме́нты medisinsk instrument [-Ꞌmε-]; медици́нская по́мощь læknahjálp [-jɔ-]; медици́нское обсле́дование læknakanning; медици́нское свиде́тельство læknaváttan; медици́нская сестра́ sjúkrarøktarfrøðingurмсогл-ar, sjúkrasystirж0род=>спра́вочник
