Р	рентге́н röntgen {røntgen} [rœŋ̊kɪn]
разворо́тливый	stfразворо́тлив, ~а, ~о, ~ыadjtlm.aktivurннксогл, virkinсоглосн; driftigurннкigur(предприимчивый)
развороши́ть	pf síвороши́ть
разворча́ться	разворч|у́сь, ~и́шься, ~а́тсяpftlm.faraслнó-ó-aat knarra, faraслнó-ó-aat grenja
развра́т	m1.(половая распущенность) ólevnaðurмсогл-ir; дом развра́та skøkjuhús2.tlm.(избалованность) ósiðurмсогл-ir3.(испорченность нравов,аморальное поведение) siðloysiсгл-i; siðspilla [-tla]жгл-a; órygggjuskapurмсогл-ir
разврати́тель	mbókl.forførari [-Ꞌføː-]мгл-ari
разврати́тельница	mbókl.forførari [-Ꞌføː-]мгл-ari(konufólk)
разврати́ть	развращу́, разврат|и́шь, ~я́тpf(ipfразвраща́ть)1.кого-л.(приучить к разврату) venjaur(d){e/a}{+}o-ntil ólevnað, spilla [-tla]ir(t)o-n2.Acc(сделать нравственно испорченным) spilla [-tla]ir(t)Вин(við siðaspillu o.ø.)3.кого-л.(избаловать) spilla [-tla]ir(t)o-n(við eftirlæti,leti o.ø.)
разврати́ться	развращу́сь, разврат|и́шься, ~я́тсяpf(ipfразвраща́ться)1.(стать развратным) verða spilturсогл2.(избаловаться) verða spilturсогл(forkelaður)
развра́тник	mlibertinari [-Ꞌtʰiː-]интмгл-ariред., siðloysingurмсогл-arкн.
развра́тница	fsiðloysingurмсогл-ar(konufólk)
развра́тничать	ipflivair(d)(að)eitt útsvevandiннкlív, vera útsvevandiннкглandi, livair(d)(að)eitt siðleyst lív
развра́тный	stfразвра́т|ен, ~на, ~но, ~ныadjútsvevandiннкглandi; siðleysurсогл(безнравственный); óryggiligur [-ˈrɪ-]глigur(распутный)
развраща́ть	ipf síразврати́ть
развраща́ться	ipf síразврати́ться
развраще́ние	n1.: развраще́ние малоле́тних {несовершенноле́тних} ótuktж0-irmótio-m, sum ikki er komin til lógaldurs (15 лет)2.(нравов) siðaspilla [-tla]жгл-a
развращённый	adjútsvevandiннкглandi; siðleysurсогл(безнравственный)
развью́чивать	ipf síразвью́чить
развью́чить	развью́ч|у, ~ишь, ~атpf(ipfразвью́чивать)Acctakaслнó-ó-iklyvav Дат
развяза́ть	развяжу́, развя́ж|ешь, ~утpf(ipfразвя́зывать)1.что-л.(разъединить концы) loysair(t)o-t; loysair(t)o-t upp; развяза́ть у́зел loysa ein knút; развяза́ть мешо́к loysa ein posa upp2.что-л.(освободить от повязки) takaслнó-ó-oforbinding [-Ꞌpɪ-]ннкav; развяза́ть па́лец taka forbindinginaннкav fingrinum3.кого-л.(дать свободу действий) loysair(t)o-núr hafti4.что-л.(о потоках транспорта) býtair(t)o-tupp (um ferðslustreym)@развяза́ть войну́elvair(d){+}til kríggj, birtair(t)í kríggj;развяза́тькому-л.ру́киgevaслнa-ó-io-mfríar teymar;развяза́ть язы́кa) (побудить разговориться) loysair(t)tungubandið (á o-m); b) (разговориться) fáaслнe-i-imálið fyri seg
развяза́ться	развяжу́сь, развя́ж|ешься, ~утсяpf(ipfразвя́зываться)1.bert 3. pers brúktur(разъединитьдя) losnaaði, loysnaaði, faraслнó-ó-aꞋ upp2.с Instlm.(освободиться от чего-л.,кого-л.) sleppaслнa-u-osær Ꞌ avvið Вин; развяза́ться с долга́ми geraнепп.seg leysan av skuldini, sleppaслнa-u-osær burtur úr skuldini@у него́развяза́лся язы́кtlm.tungubandið loysnaði á honum
развя́зка	plurразвя́з|ки, ~ок, ~камf1.(кразвяза́ть) loysingж0-ar; íbirtingж0-ar,síразвяза́ть(русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)2.(конец) endiмгл-i; loysnж0-ir(endi á skaldsøgu o.a.); (сюжета) uppgreiðingж0-arлит., спец.(av søgugongd o.tíl.);(в театре,романе и т.п.); идти́ к развя́зке ganga móti endanum3.(дорожное сооружение) vegaflættingж0-ar
развя́зность	fframligheitж0-ir, framføriсгл-i; ósmædniсгл-i(беззастенчивость)
развя́зный	stfразвя́з|ен, ~на, ~но, ~ныadjframligurглigur, framførurсогл; ósmæðinсоглоснð/d(беззастенчивый)
развя́зывать	ipf síразвяза́ть
развя́зываться	ipf síразвяза́ться
разгада́ть	pf(ipfразга́дывать)1.что-л.(отгадать) gitair(t)o-t; ráðaur(d){á/æ}o-t(сон,загадку)2.Acc(понять) gjøgnumskoðaaðiВин
разга́дка	plurразга́д|ки, ~ок, ~камf1.(действие) gitingж0-ar2.(решение) loysnж0-ir(á gátu o.ø.), uppgreiðingж0-ar(вопроса, дела)
разга́дывать	ipf síразгада́ть
разга́р	mhæddж0-ir; быть в са́мом разга́ре vera í hæddini; разга́р ле́та hásummarс0осн{+}; в разга́ре ле́та á hásumri; са́мый разга́р войны́ tá kríggið var av tí ringasta; в разга́ре спо́ра tá stríðið var í hæddini; рабо́та в по́лном разга́ре arbeiðið er í fult svingнеформ.
разгерметиза́ция	fdekompressión [-Ꞌʃɔun]ж0-ir
разги́б	m1.(действие) tað at rætta út2.(место) staðс0о{a/ø}{0<>i}, ið er beinað; staðс0о{a/ø}{0<>i}, ið er rættað út@рабо́тать без разги́баtlm.arbeiða uttan íhald
разгиба́ть	ipf síразогну́ть@не разгиба́я спины́uttan at rætta seg upp;рабо́тать не разгиба́я спины́arbeiða uttan íhald; drívaслнei-i-iá at arbeiða
разгиба́ться	ipf síразогну́ться
разгильдя́й	mtlm.illgjørdur maðurмнепр; ótrivavættiсгл-i(óvandaligt fólk)
разгильдя́йка	plurразгильдя́йки, разгильдя́ек, разгильдя́йкамftlm.illgjørt konufólkс0о; fesjaжгл-a(óvandaligt konufólk); ótrivavættiсгл-i(óvandaligt konufólk)
разгильдя́йничать	ipftlm.fesjaaði, vera óvandaligur [-Ꞌva-]глigur
разгильдя́йство	ntlm.ótrivaskapurмсогл-ir, óvandaskapurмсогл-ir
разглаго́льствование	ntlm.orðanøgdж0-ir, orðafloymurмсогл-ar
разглаго́льствовать	разглаго́льству|ю, ~ешь, ~ютipftlm.roksaaði, skolaaði(tosa nógv), gorraaðiпренебр.
разгла́дить	разгла́жу, разгла́д|ишь, ~ятpf(ipfразгла́живать)что-л.1.(сделать гладким) slættaaðio-t2.(утюгом) strúkaслнey-u-oo-t(við strúkijarni)
разгла́диться	разгла́жусь, разгла́д|ишься, ~ятсяpf(ipfразгла́живаться) verða slætturсогл{æ/ø}
разгла́живать	ipf síразгла́дить
разгла́живаться	ipf síразгла́диться
разгласи́ть	разглашу́, разглас|и́шь, ~ятpf(ipfразглаша́ть)что-л.1.(о секрете,тайне и т.п.) opinberaaðio-t(loyndarmál o.tíl.), avdúkaaðio-t(loyndarmál o.tíl.)2.(о чём-л.)tlm.kunngeraнепрo-tallastaðni [atl-]; разгласи́тьчто-л.во все концы́ rópaar(t);aðio-tút um allar [atl-] geilarидиом.
разгласи́ться	разглас|и́тся, ~я́тсяpf(ipfразглаша́ться) verða kendurсогл; verða almannakunngjørdurсогл
разглаша́ть	ipf síразгласи́ть
разглаша́ться	ipf síразгласи́ться
разглаше́ние	n1.(о тайне и т.п.) avdúkingж0-ar(av loynidómi)2.(объявление) kunngeringж0-ar
разгляде́ть	разгляжу́, разгляд|и́шь, ~я́тpf Acc1.(увидеть) beraслнa-ó-oꞋ eyga viðВин; varnastaðiВин(заметить); hómaaðiВин(распознать)2.tlm.(понять,выяснить) skiljaur(t){+}Вин, forstanda [-Ꞌsta-]ннкслнó-ó-aВин; uppdaga [-Ꞌteːa]aðiВин(обнаружить); gjøgnumskoðaaðiВин(разгадать)
разгля́дывать	ipf Acchyggja gjølla [-tla]at Дат, eygfaraслнó-ó-aВин
разгне́ванный	stfразгне́ван, ~на, ~но, ~ныadjóðurгл; vreiðurглкн., выс.
разгне́вать	pf AccgeraнепрВинóðan, fáaслнe-i-iøði íВин, fáaслнe-i-iilt íВин, fáaслнe-i-isinnií Вин
разгне́ваться	pfblíva óðurгл
разгова́ривать	ipf1. tosaaði, snakkaaðiнеформ.; они́ до́лго разгова́ривали teir tosaðu leingi saman; разгова́ривать с сами́м собо́й tosa við seg sjálvan; разгова́ривать по-фаре́рски [-рэ́-] tosa á føroyskum; не разгова́ривать! tig við tær!; об э́том не́чего и разгова́ривать a) (само собой разумеется) tað er so sjálvsagt [ʃɔl̥s-]; b) (совершенно исключено) tað er ikki talingur um; tað kemur ikki upp á tal; разгово́ры разгова́риватьtlm.sussaaði, roksaaði2.с Ins(подерживать общение с кем-л.) tosaaðisaman (hava samband hvør við annan); они́ друг с дру́гом уже неде́лю не разгова́ривают tey hava ikki tosað saman í eina viku (vegna klandur o.tíl.); с ним никто́ не разгова́ривает eingin vil tosa við hann
разгове́ться	pf(ipfразговля́ться) (чем-л.) etaслнá-ó-ekjøt o.a. fyrstu [fɪstʊ] ferð eftir [εʰtː-] føstu
разговля́ться	ipf síразгове́ться
разгово́р	m1.(беседа) samtalaжгл-a, samrøðaжгл-a; телефо́нный разгово́р telefonsamtala [-Ꞌfoːn-], telefonsamrøða [-Ꞌfoːn-]; во вре́мя разгово́ра undir samtaluni; meðan teir tosaðu saman; вступи́ть в {завести́, пусти́ться в} разгово́рс кем-л.gevaслнa-ó-iseg í tosvið o-n, faraслнó-ó-aat tosavið o-n; завести́ разгово́ро чём-л.bendair(d)samtaluna inná o-t, faraслнó-ó-aat tosaum o-t; перевести́ {сверну́ть} разгово́р на другу́ю те́му bendair(d)samtaluna inn áo-tannað; перемени́ть те́му разгово́ра skiftair(t)samtalauevni2.plurtlm.(толки) fólkatosс0о, gramlс0о, mølmс0о; пошли́ разгово́ры ... tað var farið at ljóða ...; tað gramlaðist um ...; э́то даст по́вод для разгово́ров av hesum fer graml at standast@како́й разгово́р!(иначе быть не может) annað kemur ikki upp á tal; fyrr var illa [ɪtla]! (разумеется);что за разгово́ры!(иначе быть не может) annað kemur ikki upp á tal; fyrr var illa [ɪtla]! (разумеется);и накаки́х разгово́ров!og einki meira fjas!;без (ли́шних {да́льних} разгово́ровuttan (meira) roks;об э́том и разгово́ра {разгово́ру} {быть не мо́жет}a) (совершенно исключено) tað kemur ikki upp á tal; ikki talingur um; b) (само собой разумеется) tað er so sjálvsagt [ʃɔl̥s-];э́то что (ещё) за разгово́ры!ikki eitt orð meira um hetta!;э́то друго́й разгово́рtað er annað mál =>без6,вести́В 5,зайти́6,кру́пный@,пусто́й4,развести́III 3,телефо́н
разговори́ть	разговор|ю́, ~и́шь, ~я́тpf1.кого-л.tlm.(заставить разговориться) fáaслнe-i-io-nat tosa2.Acctlm.(развлечь) undirhaldaслнe-i-iВин(развеселить); fáaслнe-i-iВинat hugsa umo-tannað (отвлечь)3.кого-л.óvkm.(отговорить) talaaðio-nfráo-m, talaaðio-nfrá at+ инф.
разговори́ться	разговор|ю́сь, ~и́шься, ~я́тсяpf1.с кем-л.(вступить в разговор) komaслнo-o-oá Ꞌ talvið o-n, gevaслнa-ó-iseg í Ꞌ tosvið o-n2.tlm.(увлечься разговором) tosaaðiseg heitan
разгово́рник	m1.(пособие) parlørur [-Ꞌløː-]ннкмсогл-ar, samtalsbókлпж0-ur{ó/ø}2.(артист) sjónleikariмгл-ari(ið framførir monolog el. dialog í undirhaldi)
разгово́рный	adj1.(свойственный обиходной устной речи) talu-, talumáls-; разгово́рный язы́к talumál; разгово́рная речь óformell tala, talumál (tala); разгово́рное сло́во orð úr talumáli2.(касающийся устного общения на иностранном языке) samtalu- (á fremmandum málu); разгово́рный уро́к samtalutímu3.(касающийся жанра эстрады) talu- (í varitélist o.tíl.)@разгово́рная бу́дкаtelefonboks [-Ꞌfoːn-]ж0-ir, telefonklivi [-Ꞌfoːn-]нпмгл-i
разгово́рчивость	fprátingarsemiсгл-i
разгово́рчивый	stfразгово́рчив, ~а, ~о, ~ыadjprátingarsamurсогл{a/o}
разгово́рчик	m неформ., пренебр.orðaskvaldurс0осн, sussс0о, tómt prátс0о
разго́н	Genразго́на, разго́нуm1.(демонстрации,толпы и т.п.) spjaðingж0-ar(av mótmælisgongu,mannfjøld o.tíl.); upploysnж0-ir(av tingi o.tíl.) (парламента)2.(разбег) rendж0-ir(ferð), dikс0о(ferð); renningarlopс0о; с разго́на {разго́ну} við renningarlopi3.tekn.(увеличение скорости) akseleratión {acceleratión} [aʰksɪlɪraꞋʃɔun]ж0-ir, dikлпс0о4.tekn.síразно́с25.tlm.(нагоняй) skortfleingja [skɔɹ̥f-]жгл-a
разгон...	1.разгоню́o.s.fr. fut avразогна́ть2.разгони́, разгони́теimper avразгоня́ть
разго́нистый	stfразго́нист, ~а, ~о, ~ыadjtlm.1.(с промежутками) glopputurсогл(um skrift,tekst)2.: разго́нистый ве́тер strúkurмсогл-ar(vindur); разго́нистая волна́ sigaldaжгл-a
разго́нка	plurразго́н|ки, ~ок, ~камf(перегонка) dupultdestillering [-testɪleː-]ж0-ar
разго́нный	adjferð-, accelaratións- {akseleratións-} [aʰksɪlɪraꞋʃɔun] , uppspeeding- [-spiːt-], [-spyːt̊-]неформ.
разгоня́ть	ip síразогна́ть
разгоня́ться	ip síразогна́ться
разгора́живать	ipf síразгороди́ть
разгора́ться	ipf síразгоре́ться
разгоре́ться	pf(ipfразгора́ться)1.(начать гореть) kyknaaði(um eld), faraслнó-ó-aat loga [luːwa]; дрова́ разгоре́лись brennið fór at loga2.(засветиться сильнее) geisaaði, lýsait(t)3.(стать красным) rodnaaði; не́бо разгоре́лось himmalin rodnaði; её щёки разгоре́лись hon rodnaði upp4.(возникнуть) kyknaaði(upp); harðnaaði(um stríð o.a.) (усилитиься); разгоре́лся спор stríð kyknaði upp; разгоре́лся бой bardagin harðnaði@у неёглаза́ (и зу́бы) разгоре́лисьна что-л.tlm.hon fekk góðan hugá o-m; hon fór at mungaeftir[εʰtː-]o-m, hon fór at brellast [-tl-]eftir[εʰtː-]o-m=>страстьI 1
разгороди́ть	разгорожу́, разгоро́д|ишь, ~ятogразгород|и́шь, ~я́тpf(ipfразгора́живать)что-л.1.(комнату) skilaaðio-t(sundur), skildraaðio-tav; býtair(t)o-tsundur (jørð o.a.) (участок и т.п.); stikaaðio-t(оградой)2.tlm.(лишить забора) takaслнó-ó-ostik burturum o-t
разгороди́ться	разгорожу́сь, разгоро́д|ишья, ~ятсяogразгород|и́шься, ~я́тсяpf(ipfразгора́живаться) skilaaðiseg frá; разгороди́ться с сосе́дями setasetair(t);ur(t)stik up millum [-tl-] seg og nábúgvarnar; разгороди́ться ши́рмой setair(t);ur(t)ein skerm uppfyri [-Ꞌfiː-]
разгорячи́ть	pf síгорячи́ть
разгорячи́ться	разгоряч|у́сь, ~и́шься, ~атсяpf1.(стать горячим) hitnaaði, blíva heiturсогл2.síгорячи́ться
разгосуда́рствить	разгосуда́рствлю, разгосуда́рств|ишь, ~ятpf(ipfразгосударствля́ть, разгосуда́рствливать)что-л.einskiljaur(t);ur(d){+}; ir(t); ir(d){+}o-t, privatisera [-aːtiˈse-]aðio-t(statsogn)
разгосударствле́ние	nprivatisering [-vaːtiꞋseː-]ж0-ar(av statsogn), einskiljingж0-ar(av statsogn)
разгосуда́рствление	n síразгосударствле́ние
разгосуда́рствливать	ipf síразгосуда́рствить
разгосударствля́ть	ipf síразгосуда́рствить
разгра́би́ть	разгра́блю́, разгра́б|ишь, ~ятpf(ipfразграбля́ть)что-л.rænair(d)o-t, plúndraннкaðio-t
разграбле́ние	nránс0о
разграбля́ть	ipf síразграби́ть
разграниче́ние	n1.(размежевание) tað at seta mark2.(различение понятий и т.п.) avmarkingж0-ar(av hugtøkum o.ø.),sbr.разграни́чить (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
разграни́чивать	ipf síразграни́чить
разграничи́тельный	adjmarla-; разграничи́тельная ли́ния markaskjalс0о{a/ø}
разграни́чить	разграни́ч|у, ~ишь, ~атpf(ipfразграни́чивать)что-л.1.(размежевать) setaur(t);ir(t)markmillum o-t2.(определить) setaur(t);ir(t)mark millum [-tl-]o-t; skiljaur(t);ir(t)o-tfráo-m; разграни́чить поня́тия avmarkaaðihugtøkini, seta mark millum hugtøkini; разграни́чить обя́занности skilja skyldurnar frá hvørji aðrari
разграфи́ть	pf síграфи́ть
разгреба́ть	ipf síразгрести́
разгрести́	разгреб|у́, ~ёшь, ~у́т;pretразгрёб, разгребл|а́, ~о́, ~и́pf(ipfразгреба́ть)что-л.rakaaðio-tburtur (граблями); skumpaaðio-tburtur (лопаткой), sópaaðio-tburtur (метлой,лопаткой)
разгро́м	m1.(поражение) ósigurм0осн-s,-ar2.(разорение,опустошение) oyðingж0-ar, oyðilegging [-Ꞌlε-]ж0-ar; herjanж0-ir3.tlm.(беспорядок)hurlivasiмгл-i, ruðuleikiмгл-i; там был по́лный разгро́м har var alt í einum hurlivasa;тжtað var sum í Runsivalпог.
разгроми́ть	разгромлю́, разгром|и́шь, ~я́тpf1.что-л.(уничтожить) oyðair(d)o-t, leggjaнепрo-tí oyði2.síгроми́ть
разгро́мный	adjtlm.1.(кразгроми́ть) oyðileggjandi [-Ꞌlε-]глandi, týnandiглandi2.(содержащий критику) lemjandiглandi(um atfinning o.tíl.)@разгро́мный счётstórur málmunurмсогл-ir(í ítrótti)
разгружа́ть	ipf síразгрузи́ть
разгружа́ться	ipf síразгрузи́ться
разгрузи́ть	разгружу́, разгру́з|ишь, ~ятogразгруз|и́шь, ~я́тpf(ipfразгружа́ть)1.что-л.(освободить от груза) lossaaðio-t(о судне и грузе); skipaaðio-tupp (о грузе); landaaðio-t(о рыбе); lessaaðio-tav (с грузовика, из вагона и т.п.)2.Acctlm.(освободить от чего-л. чрезмерного) avlastaннкaðio-n; lættair(t)o-m um o-t; разгрузи́ть рабо́тника avlastaннкmedarbeiðaran; разгрузи́тького-л.отчего-л.sleppaслнa-u-oo-mundano-m; разгрузи́ть шко́льную програ́мму geraнепрskúlaskránna lættari; разгрузи́ть статью́ от цита́т reinsaaðigreinina fyri sitat [-Ꞌtʰaːt]; разгрузи́ть желу́док minkaaðium matin (ið ein etur)
разгрузи́ться	разгружу́сь, разгру́з|ишьсь, ~ятсяogразгруз|и́шься ~я́тсяpf(ipfразгружа́ться)1.(освободиться от груза) verða lossaðurглaður(о судне); verða tømdurсогл(о грузовике,вагоне и т.п.)2.tlm.(освободиться) verða avlastaðurннкглaður, sleppaслнa-u-oꞋ undan (parti av arbeiðinum)
разгру́зка	f1.(освобождение от груза) lossingж0-ar, uppskipingж0-ar; landingж0-ar(рыбы); avlessingж0-ar(с грузовика,из вагона и т.п.)2.fl.(освобождение от чего-л. чрезмерного и др.) avlastingннкж0-ar; lættiмгл-i=>портI
разгру́зочный	adjlossingar-, uppskipingar; landingar- (о рыбе); avlessingar- (о грузовиках и т.п.)@разгру́зочный деньdagur við lættari diet [-Ꞌeːt]
разгруппирова́ть	разгруппиру́|ю, ~ешь, ~ютpf(ipfразгруппиро́вывать)AccflokkaaðiВин, býtair(t)Винí bólkar, skipaaðiВинí bólkar; gruppera [-Ꞌpʰeː-]ннкaðiВин
разгруппиро́вывать	ipf síразгруппирова́ть
разгрыза́ть	ipf síразгры́зть
разгры́зть	разгрыз|у́, ~ёшь, ~у́т;pretразгры́з, ~ла, ~ло, ~лиpf(ipfразгрыза́ть, грызть)что-л.gnagaaðio-tꞋ sundur; bryðjaur(d){y/u}{+}o-t(сухари и т.п.), knasaaðio-t; bítaслнei-i-io-tꞋ sundur (раскусить)
разгу́л	m1.(кутёж) ballingж0-arнеформ., ballarí [-Ꞌrʊi]с0онеформ.; drekkarí [-Ꞌrʊi]с0онеодобр.(пьянство)2.(о ветре) umráðс0о{0<>i}(við nógvum vindi), umleypandi vindurмсогл-ar3.(безудержное проявление чего-л.) ótálmað uppkyknanж0-ir4.(простор для проявления чего-л.) rásarúmс0о
разгу́ливать1	Iipf1.(прохаживаться) spákaaði, spasera [-Ꞌseː-]ннкaði; gangaслнe-i-iog malaслнó-ó-a(слоняться)2.(о ветре) malaслнó-ó-aav ymsum ættum (um vind); físair(t)íkring [-Ꞌkrɪŋk] (um gjóstur o.tíl.) (о сквозняке и т.п.)@престу́пник разгу́ливает на свобо́деatf.brotsmaðurin gongur leysur
разгу́ливать2	IIipf síразгуля́ть
разгу́ливаться	ipf síразгуля́ться
разгу́лье	plurразгу́лья, разгу́лий, разгу́льямntlm.síразгу́л1
разгу́льный	stfразгу́лен, разгу́льн|а, ~о, ~ыadjtlm.ballingar- (относящийся к кутежу), útsvevandiннкглandi(развращённый); разгу́льный челове́к ballariмгл-ariнеформ., неодобр.; вести́ разгу́льную жизнь liva eitt útsvevandiннкlív, liva eitt rukkulívнеформ.,неодобр.
разгуля́ть	pf(ipfразгу́ливать)tlm.1.Acc(развлечь) haldaслнe-i-iВинvaknan (við at stuttleika o.a.)2.что-л.(рассеять,обогнать) rekaслнa-ó-io-tburtur (kenslu,huglag)
разгуля́ться	pf(ipfразгу́ливаться)tlm.1.(дать себе волю) gevaслнa-ó-især sjálvum leysar teymar, sleppair(t)o-mleysum; воображе́ние разгуля́лось hugflogið sveimaði frítt; не́где разгуля́ться einki rásarúm er2.(перестать хотеть спать) ikki viljaнепрsova; blíva klárvakin [kʰlɔɹ-]соглосн, vekrastaði(проснуться полностью); разгуля́ться по́сле кре́пкого ко́фе vekrast av sterkum kaffi3.bert 3. pers. brúktur(о непогоде,ветре) øtlaaði; leikaaðií (um ódnarveður o.a.) (бушевать); мо́ре разгуля́лось hann øtlaði veðrið [vεkɹɪ]4.(предаться шумным увеселениям) stuttleikaaðisær; ballastaði(на кутежах и др.)5.bert 3. pers. brúktur(стать ясным,солнечным) kláraaðiꞋ í, klárnaaði; к ве́черу разгуля́лосьópmóti kvøldi kláraði Ꞌ í
разд.	síразде́л
разда́бривать	ipf síраздо́брить
разда́бриваться	ipf síраздо́бриться
раздава́ть1	Iipf síразда́тьI; раздава́ть обеща́ния lovaaðitil høgru og vinstru; ≈ lovaaðirunt men, halda tuntпог.
раздава́ть2	IIipf síразда́тьII
раздава́ться1	Iipf síразда́тьсяI
раздава́ться2	IIipf síразда́тьсяII
раздави́ть	раздавлю́, разда́в|ишь, ~ятpf1.síдави́ть3,52.кого-л.(привести в подавленное состояние) nívair(d)o-n, geraнепрo-ndapran í huga; изве́стие совсе́м раздави́ло её tíðindini gjørdu hana dapra í huga3.что-л., чего-к.óvkm.(выпить) drekkaслнa-u-uo-t; раздaви́ть буты́лку kulkaaðieina fløsku í seg
разда́лбливать	ipf síраздолби́ть
разда́ривать	ipf síраздари́ть
раздари́ть	раздарю́, разда́р|ишь, ~ятpf(ipfразда́ривать)Accgevaслнa-ó-iВинꞋ burtur
разда́точный	adjútflýggingar-; разда́точное окно́ serveringslúka [-Ꞌveː-]проф.
разда́тчик	m1.(о человеке)o-r, ið flýggjar út2.(устройство) fordeilari [-Ꞌtai-]мгл-ari(av fóðri o.ø.)
разда́ть1	Iраз|да́м, ~да́шь, ~да́ст; ~дади́м, ~дади́те, ~даду́т;pretро́здалogразда́л, раздала́, ро́здалоogроздало́, ро́здалиogразда́лиpf(ipfраздава́ть разда|ю́, ~ёшь, ~ю́т) (что-л. кому-л.) býtair(t)(o-t) út (millum [-tl-]o-n)
разда́ть2	IIраз|да́м, ~да́шь, ~да́ст; ~дади́м, ~дади́те, ~даду́т;pretро́здалogразда́л, раздала́, ро́здалоogроздало́, ро́здалиogразда́лиpf(ipfраздава́тьразда|ю́, ~ёшь, ~ю́т)что-л.tlm.víðkaaðio-t
разда́ться1	Iраз|да́стся; ~даду́тся;pretразда́лся, раздала́сь, раздало́сьogразда́лось, раздали́сьpf(ipfраздава́тьсяразда|ётся, ~ю́тся) ljóðaaði; разда́лся крик eitt skríggj hoyrdist; разда́лся стук в дверь tað bankaði upp á hurðina
разда́ться2	IIраз|да́мся, ~да́шься, ~да́стся; ~дади́мся, ~дади́тесь, ~даду́тся;pretразда́лся, раздала́сь, раздало́сьogразда́лосogраздали́сьpf(ipfраздава́тьсяразда|ю́сь, ~ёшься, ~ю́тся)1.bert 3 pers. brúktur(расступиться, раздвинуться) faraслнó-ó-atil Ꞌ viks, faraслнó-ó-atil Ꞌ síðis2.bert 3 pers. brúktur(растянуться) víðkastaði; breiðkaaði(сделать шире)3.tlm.(потолстеть) tjúknaaði, fitnaaði
разда́ча	fútbýtingж0-ar, útdeilingж0-ar
раздва́ивать	ipf síраздвои́ть
раздва́иваться	ipf síраздвои́ться
раздвига́ть	ipf síраздви́нуть
раздвига́ться	ipf1.síраздви́нуться2.(быть раздвижным) kunnaнепрtogast [tʰuːwa-] út, kunnaнепрdragast út (borð o.tíl.)
раздвижно́й	adjskjóti-; раздвижно́й стол borð, sum kann dragast út; раздвижна́я дверь skjótihurð; раздвижна́я ле́стница skjótistigi
раздви́нуть	раздви́н|у, ~ешь, ~утpf(ipfраздвига́ть)1.что-л.(расставить) koyrair(d)o-tꞋ frá, dragaслнó-ó-io-tꞋ frá (занавески и т.п.); koyrair(d)o-ttil Ꞌ viks; раздви́нуть занаве́ски koyra gardinurnar frá, trekkjair(t)gardinurnar frá, draga gardinurnar frá; раздви́нуть ве́тки koyra greinarnar til viks, skúgva greinarnar til viks; раздви́нуть но́гитжgleivaaði(seta beinini frá hvørjum øðrum)2.кого-л.(заставить расступиться) koyrair(d)o-ntil viks; раздви́нуть толпу́тжbrótaслнey-u-osær veg gjøgnum mannfjøldina3.(раздвижную мебель) dragaслнó-ó-io-tꞋ út (um møblar); раздви́нуть столтжsetaur(t);ir(t)plátu í borðið4.(расширить пределы) víðkaaðio-t(markið fyri o-m o.tíl.)
раздви́нуться	раздви́н|ется, ~утсяpf(ipfраздвига́ться)1.(разъединиться) faraслнó-ó-aꞋ sundur; verða driginсоглоснgfrá, verða trekturсоглfrá (gardinur o.tíl.) (занавески и т.п.)2. (расступиться) faraслнó-ó-atil Ꞌ viks3.(стать шире в своих границах) víðkastaði
раздвое́ние	n1.(разделение надвое) tvígreiningж0-ar, sundurbýtingж0-arí tvey; раздвое́ние ли́чности persónleikakloyving [-Ꞌsɔun-]ж0-arкн.,спец.2.(раздвоенная часть) klovningurмсогл-ar; ве́тка с раздвое́нием klovin grein
раздво́енный	adj1.(разделённый надвое) klovinсоглосн; раздво́енный холм heyggur við skarði; раздво́енная боро́дка sýlt skegg2.fl.(имеющий два направления) klovinсоглосн; раздво́енная жизнь dupultlív; раздво́енное созна́ние klovið medvitкн.,спец.
раздвои́ть	раздво|ю́, ~и́шь, ~я́тpf(ipfраздва́ивать) býtair(t)o-tsundur í tvey, koyrair(d)o-tsundur í tvey; kloyvair(d)o-t(колоть надвое)
раздвои́ться	раздво|ю́сь, ~и́шься, ~я́тсяpf(ipfраздва́иваться)1.(разделиться надвое) faraслнó-ó-asundur í tvey; faraслнó-ó-aí Ꞌ tvíningar (в две части)2.fl. (утратить ясность,цельность) faraслнó-ó-aꞋ sundur, faraслнó-ó-aí Ꞌ tvíningar
раздева́лка	plurраздева́л|ки, ~ок, ~камftlm.síраздева́льня
раздева́льный	adjskiftingar-, umklæðings-ннк
раздева́льня	plurраздева́льни, раздева́лен, раздева́льнямfskiftingarrúmс0о, umklæðingsrúmннкс0о
раздева́ние	núrlatingж0-ar
раздева́ть	ipf síразде́ть
раздева́ться	ipf síразде́ться; раздева́йтесь! gerið so væl at lata tykkum úr!; gerið so væl at fara úr klæðunum!; спать не раздева́ясь sova ílatin, sova í klæðum
разде́л	m1.(действие) sundurbýtingж0-ar; útstykkingж0-ar(земли); skiftiсгл-i(имущеста)2.(часть) parturмсогл-ar{a/ø}; tátturмсогл-ir{á/æ};согл-ar;(í grein,bók o.ø.) (книги и т.п.); greinж0-ir;0-ar(í lóg o.ø.) (параграф)
