б	part síбы
безвку́сие	nbókl.smakloysi [smaː-]ннксгл-i, smakkloysiнпсгл-i
безвку́сица	fsmakloysi [smaːk-]ннксгл-i, smakkloysiнпсгл-i
безвку́сный	stfбезвку́с|ен, ~на, ~но, ~ныadj1.(не имеющий вкуса) smakkleysurсогл, við ongum smakki; vatndeyvur [vant-]согл(пресный)2.fl.(лишённый изящества) smakleysur [smaː-]ннксогл, smakkleysurнпсогл
безвла́стие	nstjórnarloysi [-tn-]сгл-i; anarki [aːnaɹꞋkʰiː]с0о{0<>i}(óskil)
безвла́стный	stfбезвла́ст|ен, ~на, ~но, ~ныadjveikurсогл(uttan vald), sum einki vald hevur, sum onga makt hevur
безво́дный	stfбезво́д|ен, ~на, ~но, ~ныadj1.(сухой) turrurсогл; vatnleysur [vanl-]соглбибл.2.kem.(не содержащий воды) vatnleysur [vanl-]согл, vatnfríur [van̊f-]согл
безво́дье	nvatntrot [van̊t-]с0о, vatnneyð [vann-]ж0-ir
безвозбра́нно	advbókl.uttan hindur, óhindrað, uttan nakað stríð
безвозвра́тно	adv: безвозвра́тно ушло́ tað er farið og kemur ikki aftur [aʰtː-]; исче́знуть hvørva og ikki koma aftur [aʰtː-], hvørva med Ꞌ alla (навсегда); безвозвра́тно пропа́сть ≈ ikki standaслнó-ó-atil at bjarga; ушло́ безвозвра́тно tað er farið med Ꞌ alla (навсегда)
безвозвра́тный	stfбезвозвра́т|ен, ~на, ~но, ~ныadj1.(невозвратимый) sum ikki fæst aftur [aʰtː-]; óbøtiligur [-Ꞌpøː-]глigur, óbøtandi [-Ꞌpøː-]глandi; sum er farinсоглоснmed Ꞌ alla (утраченный навсегда); бевозвра́тная поте́ря óbøtandi missur2.bert lf(не подлежащий возврату) sum ikki skal gjaldast aftur [aʰtː-]; безвозвра́тная ссу́да lán sum ikki skal gjaldast aftur [aʰtː-]
безвозду́шный	adjlufttómurсогл; безвозду́шное простра́нство lufttómt rúm, vakuum [vaːkuʊm]с0о({0<>i})
безвозме́зднo	adv(даром) fyri einki, frítt, ókeypis, gratis [kɹaːtɪs]ннк; uttan endurgjald, uttan viðurgjald (без компенсации)
безвозме́здный	stfбезвозме́зд|ен, ~на, ~но, ~ныadjbókl.ókeypisнескл., kostnaðarleysurсоглофиц., fríurгл(ókeypis), gratis [kɹaːtɪs]ннкнескл.
безво́лие	nviljaloysiсгл-i
безволо́сый	adjhárleysurсогл; snoðinсоглоснð/d(við ongum hári), snøggurсогл(við ongum hári); berurсогл; skallutur [-tl-]согл, berskøllutur [-tl-]согл(лысый)
безво́льный	stfбезво́лен, безво́льн|а, ~о, ~ыadjviljaleysurсогл; viljaveikurсогл
безвре́дный	stfбезвре́д|ен, ~на, ~но, ~ныadjóskaðiligur [-Ꞌskεa-]глigur; meinaleysurсогл(б.ч. о человеке); безвре́дное лека́рство óskaðiligt medicin {medisin} [-Ꞌsiːn], vandaleysur heilivágurнп
безвре́менно	advov tíðliga [oꞋtʰʊʎja]; он безвре́менно сконча́лся hann doyði ov tíðliga; hann fór ov tíðliga
безвре́менный	stfбезвре́менен, безвре́менн|а, ~о, ~ыadjhátíð.sum er ov tíðliga [oꞋtʰʊʎja], sum kemur ov tíðliga [oꞋtʰʊʎja]
безвре́менье	n1.(тяжелое время) ringar tíðirж0-irмн, harðar tíðirж0-irмн2.fjm.,gml.(застой) stillstøðaжгл-a, stígurмсогл-ir, stagnatión [-Ꞌʃɔun]ннкж0-ir3.(смена времен года) árstíðarskiftiсгл-i
безвы́ездно	advuttan at fara aðrastaðir; безвы́ездно жить в дере́вне búgva uttan slit á bygd; он безвы́ездно живёт в Москве hann býr í Moskva uttan at fara úr býnum
безвы́ездный	adjóslitinсоглосн(um tilhald o.tíl.); безвы́ездное пребыва́ние tilhald uttan slit
безвы́лазно	advtlm.: житьгде-л.безвы́лазно ikki fara av fetanum, ikki fara av fetinum; ikki fara út um gáttina (не выходить)
безвы́ходно	Istf avбесвы́ходныйIIadv(не покидая дома) uttan at fara út um eina gátt; бесвы́ходно сиде́ть до́ма uttan at fara út um eina gátt
безвы́ходность	fvónloysiсгл-i
безвы́ходный	stfбезвы́ход|ен, ~на, ~но, ~ныadj1.bert lf(безотлучный) óslitinсоглосн, sum er uttan slit (um tilhald o.tíl.)2.(у которого нет выхода;безнадёжный) vónleysurсогл, hopleysurсогл; оказа́ться в безвы́ходном положе́нии vera í einari vónleysari støðu;тжikki vitaнепрsær nøkur ráð
безгла́зый	adjeygnaleysurсогл; einoygdurсогл(одноглазый)
безгла́сный	stfбезгла́с|ен, ~на, ~но, ~ныadjgml.1.(безмолвный) ómælandiглandi; tigandiглandi2.(не выражающий своего мнения) sum ikki mutar ímóti [-Ꞌmɔu-]
безголо́вый	stfбезголо́в, ~а, ~о, ~ыadj1.bert lf(без головы) høvuðleysurсогл; avhøvdaður [-hœtː-]согл(с отрубленной головой)2.tlm.(глупый) býtturсогл3.tlm.(забывчивый) gloymskurсоглsk; gáloysinсоглосн(необдуманный)
безголо́сица	ftlm.tvørrandi góðar røddirж0-ir; vánaligur sangur [-aŋk-]мсогл-s,-ir(плохое пение)
безголо́сый	stfбезголо́с, ~а, ~о, ~ыadjvið ongum máli (um sangara), ísakaldurсогл{a/ø}ред.(við ongum máli at syngja við)
безгра́мотно	adv(с ошибками) við grovum stavifeilum; он пи́шет безгра́мотно hann dugir ikki at stava; он говори́т безгра́мотно hann hevur eitt vánaligt mál (ikki í samsvar við reglur o.a.)
безгра́мотность	f1.síнегра́мотность2.(орфографические ошибки) vánalig stavingж0-ar; vánaligt málс0о(грамматические и др. ошибки); страда́ть безгра́мотностью vera fullur [-tl-]соглí feilum (stavivillum,málsligum villum o.tíl.)3.(невежество) fákunnaжгл-a
безгра́мотный	stfбезгра́мот|ен, ~на, ~но, ~ныadj sí1.síнегра́мотный2.(изобилующий грубыми ошибками) fullur [-tl-]соглav feilum (stavivillum;málsligum villum o.ø.); безгра́мотное сочине́ние ein stílur fullur [-tl-] í feilum3.(невежественный) óvitandiглandi, fákunnurсоглкн.; sum er lítið at sær komin; техни́чески безгра́мотный tekniskt lítið at sær komin
безграни́чный	stfбезграни́ч|ен, ~на, ~но, ~ныadj1.(безбрежный) endaleysurсогл, óendaligur [-Ꞌε-]глigur; безграни́чные сте́пи óendaligar steppur2.fl.(безмерный) markleysurсогл, óavmarkaðurглaður, sum er uttan mark; безграни́чные возмо́жности markleysir møguleikar, óavmarkaðir møguleikar; удивле́ние его́ бы́ло безграни́чным einki mark var fyri, hvussu bilsin hann var
безгре́шный	stfбезгре́ш|ен, ~на, ~но, ~ныadjsyndafríurгл, syndaleysurсогл@безгре́шные дохо́дыspott.muturс0осн
безда́рно	adv1.(без одарённости) óbegávaðннк, talentleyst [-Ꞌlε-]ннк2.tlm.(зря) til fánýtis, til onga nyttu
безда́рность	f1.(отсутствие таланта) talentleysheit [-Ꞌlε-]ннкж0-ir, evnaloysiсгл-i2.tlm.,atf.(человек) talentleyst [-Ꞌlε-]ннкfólkс0о, evnalítið fólkс0о
безда́рный	stfбезда́р|ен, ~на, ~но, ~ныadj(лишённый таланта) evnalítilсоглоснкн., talentleysur [-Ꞌlε-]ннксогл; óbegávaðurннксогл(неумный); ódugnaligur [-Ꞌtuːn-]глigur, dugnaleysur [tuːn-]согл(неспособный); eiðasørurсогл(ничего не знающий, умеющий); безда́рный поэ́т ein yrkjari uttan gávur, ein eiðasørur yrkjari, ein talentleysur yrkjari; он соверше́нно безда́рный челове́к hann er púra eiðasørur
бе́здарь	ftlm.,atf.síбезда́рность2
безде́йствие	n1.(отсутствие деятельности) óvirksemiсгл-i;жгл-i, gerðarloysiсгл-i; atgerðaloysiсгл-iкн., passivitetur [-Ꞌtʰeː-]интмсогл-s,-ir(пассивность); trekleikiмгл-i(инерция)2.(о предприятии и т.п.) steðgur [stεkː-]мсогл-s,-ir(í rakstri o.ø.)
безде́йствовать	безде́йству|ю, ~ешь, ~ютipfsitaсоглa-ó-ihendur í favn, einki geraнепр, vera óvirkinсоглосн; ikki leggjaнепрuppí [ʊꞋpʰʊi] (не вмешиваться); standaсоглó-ó-astillur [-tl-] (о машинах и т.п.); liggjaслнá-ó-istillur [-tl-] (о фабриках и т.п.); ikki virkaaði(из-за неисправности); маши́на де́йствует maskinan [-Ꞌʃiː-] virkar ikki
безде́йствующий	Ipartic avбезде́йствоватьIIadjóvirkinсоглосн
безде́лица	f tlm.bagatell [paːkaꞋtʰεlː]ннкж0-ir, smátingс0о, petitessa [-Ꞌtʰε-]ннкжгл-a
безделу́шка	plurбезде́луш|ки, ~ек, ~камftlm.nipsс0о
безде́лье	ntað at ganga fyri einki
безде́льник	mtlm.letingiмгл-i, letivættiсгл-i
безде́льница	ftlm.letingiмгл-i, letivættiсгл-i(konufólk)
безде́льничать	ipfeinki geraнепрtil nyttu, gangaслнe-i-ifyri einki, sitaслнa-ó-ifyri einki;; dovnastaði(лениться); gangaслнe-i-iupp á Ꞌ danguldrív [taŋk-] (слоняться без дела)
безде́льный	stfбезде́лен, безде́ль|на, ~но, ~ныadj tlm.sum gongur fyri einki
безде́нежный	stfбезде́неж|ен, ~на, ~но, ~ныadj1.bert lf: безде́нежные расчёты avrokning uttan kontantar [-Ꞌtʰa-] pengar2.tlm.(о человеке) pengaleysurсогл, sørurсогл
безде́нежье	npengaloysiсгл-i; у меня́ по́лное безде́нежье eg eigi ikki eitt oyra
безде́тность	fbarnloysi [panl-]сгл-i
безде́тный	stfбезде́т|ен, ~на, ~но, ~ныadjbarnleysur [panl-]согл
бездефици́тный	adj: бездефици́тный бюдже́т fíggjarætlan uttan hall [-tl]
безде́ятельность	fgerðarloysiсгл-i; trekleikiмгл-i(инерция)
безде́ятельный	stfбезде́ятелен, безде́ятельн|а, ~о, ~ыadjsum einki fær upp í lag, gerðarleysurсогл; óvirkinсоглосн; trekurсогл(инертный)
бе́здна	f1.(проппасть) avgrund [au-]ж0-ir; dýpiсгл-i, bládýpiсгл-i, avdýpi [au-]сгл-i(морская тж) (тж перен(пучина); зия́ющая бе́здна gapandi avgrund; бе́здна отча́яния ein avgrund av mishopi; ме́жду ни́ми лежи́т це́лая бе́здна millum [-tl-] teirra er ein gjógv2.(множество) ørgrynna [œɹk-]жгл-a, mongdж0-ir, nøgdж0-ir; rúgvaжгл-a(куча); бе́здна цвето́в mongd av blomstrum, ein rúgva av blomstrum; бе́здна возмо́жностей eitt ótal av møguleikum; у неё бе́здна друзе́й hon hevur eina rúgvu av vinfólki, hon hevur fjøld av vinfólki@бе́здна прему́дростиskemt.óendaligur [-Ꞌε-] vísdómurмсогл-ar
бездо́ждье	nregnloysiсгл-i; turkurмсогл-ar(засуха), skerpingurмсогл-ar(с сухим ветром)
бездоказа́тельность	fógrundaður pástandurннкссогл-s,-ir, ósannindiсгл-iмн(неправда)
бездоказа́тельный	stfбездоказа́телен, бездоказа́тельн|а, ~о, ~ыadjógrundaðurглaður, óprógvaðurглaður; бездоказа́тельное обвине́ние ógrundað skuldseting, óprógvað skuldseting; э́то утвержде́ние бездоказа́тельно hesin pástandurinннкer tikin úr leysari luft, hesin pástandurin er ógrundaður
бездо́мный	stfбездо́м|ен, ~на, ~но, ~ныadjheimleysurсогл; húsvillur [-tl-]согл; harraleysurсогл(um djór) (о животных); útiløgu- (ос. об одичавших котах и кошках); бездо́мный кот útiløgikatturссогл-ar
бездо́нный	stfбездо́н|ен, ~на, ~но, ~ныadj1.(без дна) við ongum botni2.(глубокий) botnleysur [pɔnl-]согл(sera djúpur), heljardjúpurсогл, ovurdjúpurсогл; бездо́нная про́пасть botnleys avgrund [au-]@бездо́нная бо́чкаskemt.а) (о чём-л.,требующем много затрат) eitt botnleyst [pɔnl-] karс0о; б) (о человеке) brennivínshítж0-irпренебр.,svampurмсогл-arпренебр.(о-r,sum drekkur illa)
бездоро́жный	stfбездоро́ж|ен, ~на, ~но, ~ныadjvegaleysurсогл
бездоро́жье	n1.(отсутствие,недостаток дорог) vegaloysiсгл-i2.(распутица) vánalig koyrilíkindiсгл-iмн
бездохо́дный	adjsum ikki loysir seg
безду́мность	ftankaloysi [-aŋ̊k-]сгл-i(легхомыслие); sorgloysiсгл-i(беззаботность)
безду́мный	stfбезду́м|ен, ~на, ~но, ~ныadjtankaleysur [tʰaŋ̊ka-]согл; sorgleysurсогл(беззаботный)
безду́мье	ntankaloysi [-aŋ̊k-]сгл-i; sorgloysiсгл-i(беззаботность)
бездухо́вность	fandloysi [anl-]сгл-iкн.
бездухо́вный	stf бездухо́в|ен, ~на, ~но. ~ныadjandleysur [anl-]согл
безду́шие	nhjartaloysi [j-]сгл-i, kensluloysiсгл-i
безду́шность	f síбезду́шие
безду́шный	stfбезду́ш|ен, ~на, ~но, ~ныadjhjartaleysur [j-]согл; kenslukaldurсогл{a/ø}(холодный)
безды́мный	adjroykleysurсогл; безды́мный по́рох roykfrítt krút
бездыха́нный	stfбездыха́н|ен, ~на, ~но, ~ныadjbókl.lívleysurсогл; бездыха́ннное те́ло lívleyst likam
безе́	[-зэ́]n indecl,matg.marengs [-Ꞌrεn̊s]с0o
безжа́лостный	[-сн-]stfбезжа́лост|ен, ~на, ~но, ~ныadjmiskunnarleysurсогл, hjartaleysur [j-]согл, náðileysurсогл; eirindaleysurсогл, harðurсогл{a/ø}(жестокий)
безжи́зненность	flívloysiсгл-i(eis.fl.)
безжи́зненный	stfбезжи́знен, ~на, ~но, ~ныadj1.(лишённый жизни) lívleysurсогл2.(вялый) deydligurглigur, við ongum lívi í (неживой); døsinсоглосн, deyðsamligur [tεs-]глigur(апатичный); andleysur [anl-]согл(без духа,без жизни); безжи́зненные глаза́ lívleys eygur; безжи́зненный ландша́фт lívleyst landslag [lan̊s-], deytt landslag [lan̊s-]; безжи́зненная ту́ндра deyð tundra
беззабо́тность	fsorgloysiсгл-i
беззабо́тный	stfбеззабо́т|ен, ~на, ~но, ~ныadjsorgleysurсогл; lætturсогл{a/ø}í huga; беззабо́тная жизнь eitt sorgleyst lív
беззаве́тно	advav heilum huga, av hjarta [j-] og sál (всей душой); беззаве́тно люби́тького-л.elskao-nav hjartanum [j-]; беззаве́тно боро́ться berjast við lív og sál; беззаве́тно служи́ть tæna trúfast
беззаве́тный	stfбеззаве́т|ен, ~на, ~но, ~ныadjhátíð.ósjálvsøkin [-ʃɔl̥s-]соглосн(самоотверженный); heilhugaðurглaður(всей душой); trúgvurсоглgv(верный); hollur [-tl-]согл{+}, dyggurсоглкн.(преданный); беззаве́тная пре́данность де́лу heilhugað trúfesti móti sakini; беззаве́тное служе́ние trúgv tænasta, trúføst tænasta
беззако́ние	n1.(отсутствие законности) lógloysiсгл-i, løgloysiсгл-iкн.; там ца́рит беззако́ние har ræður lógloysi2.(беззаконный поступок) lógbrotс0о, løgbrotс0окн.=>чини́тьII
беззако́нничать	ipf tlm.brótaслнey-u-ológina
беззако́нный	stfбезако́н|ен, ~на, ~но, ~ныadjlógleysurсогл; ólógligur [-Ꞌlɔul-]глigur(незаконный); беззако́нные де́йствия ólógligar gerðir
беззасте́нчивость	fframligheitж0-ir, ósmædniсгл-i, framføriсгл-i; frekheitннкж0-ir, frekleikiж0-ir(наглость)
беззасте́нчивый	stfбеззасте́нчив, ~а, ~о, ~ыadjskammleysurсогл(без стыда); framligurглigur, ósmæðinсоглоснð/d, braneggjaðurглaður(незастенчивый); frekurсогл(наглый); беззасте́нчивая ложь svartastaпревосх.lygn, grov lygn, frek lygn; беззасте́нчивые спекуля́ции skammleys spekulatión [-Ꞌʃɔun]
беззащи́тность	fverjuloysiсгл-i; hjálparloysi [j-]сгл-i(беспомощность)
беззащи́тный	stfбеззащи́т|ен, ~на, ~но, ~ныadjverjuleysurсогл; hjálparleysur [j-]согл(беспомощный)
беззвёздный	adjvið ongum stjørnum [stjœtn-], stjørnuleysur [stjœtn-]согл; беззвёздное не́бо himmal við ongum stjørnum; беззвёздная ночь nátt við ongum stjørnum
беззву́чно	advljóðleyst; ljódliga, stillisliga [-tl-]; spakuliga (едва слышно); беззву́чно пла́кать gráta ljódliga
беззву́чный	stfбеззву́ч|ен, ~на, ~но, ~ныadjljóðleysursogl; ljódligurглigur; stillur [-tl-]согл(тихий); stillisligur [-tl-]глigur, spakuligurглigur(едва слышный); беззву́чный плач stillur [-tl-] grátur, ljódligur grátur
безземе́лье	ntrotс0оupp á jørð at velta
безземе́льный	adjjarðarleysurсогл(sum onga jørð eigur); ognarleysurсогл(jarðarleysur)
беззло́бие	ngóðsligheit [kœsː-]ж0-ir, góðlyndiсгл-i
беззло́бность	f síбеззло́бие
беззло́бный	stfбеззло́б|ен, ~на, ~но, ~ныadjgóðsligur [kœsː-]глigur
беззу́бый	stfбеззу́б, ~а, ~о, ~ыadj1.(без зубов) tannleysur2.fl.(лишенный остроты) tannleysur, uttan bit (sum lítið veiggj er í); беззу́баая кри́тика tannleysur kritikkur [-Ꞌtʰɪ-]ннк3.: беззу́бый кит (подотряд Mystacoceti) barduhvalur
безле́сный	stfбезле́с|ен, ~на, ~но, ~ныadjskógarleysurсоглспец.(бедный лесом), við ongum trøum (без деревьев)
безле́сье	nskógarloysiсгл-i
безли́кий	stfбезли́к, ~а, ~о, ~иadjópersónligurглigur, uttan sermerkir
безли́ственный	adjvið ongum leyvi, við ongum bløðum
безли́стный	adj síбезли́ственный
безли́стый	adj síбезли́ственный
безлицензио́нный	stfбезлицензио́н|ен, ~на, ~но, ~ныadjsumo-rikki hevur loyvi til
безли́чность	fmáll.ópersónleikiмгл-i
безли́чный	adj1.síбезли́кий2.máll.(в грамматике) ópersónligurглigur; безли́чный глаго́л ópersónligt sagnorð
безлу́нный	adj: безлу́нная ночь nátt við ongum mánalýsi
безлю́дный	stfбезлю́д|ен, ~на, ~но, ~ныadj1.(ненаселённый) óbygdurсогл; fólkalítilсоглосн, fámenturсогл(малонаселённый)2.(пустынный) fólkatómurсогл, manntómurсогл, mannoyðinсоглоснð/d, fólkaoyðinсоглоснð/d; безлю́дные у́лицы tómar gøtur3.sjóm.(необслуживаемый) ómannaðurглaður
безлю́дье	n1.(отсутствие людей) tað at vera fólkatómur; како́е здесь безлю́дье! her er púra tómt!2.(недостаток нужных людей) trotс0оupp á fólk (neyðug fólk)
безме́н	m(пружинный) fjøðurvektж0-ir; bismariмгл-ari(рычажный)
безме́рно	adjendaleyst, út um alt mark
безме́рный	stfбезме́р|ен, ~на, ~но, ~ныadjbókl.markleysurсогл(неограниченный); ómetaligur [-Ꞌmeː-]глigur(неизмеримый); безме́рная глубина́ avdýpi [au-]; безме́рная ра́дость ovurgleði
безмо́зглый	stfбезмо́згл, ~а, ~о, ~ыadjtlm.býtturсогл, tápuligurглigur; безмо́зглый челове́к dylhøvd [-hœtː]с0о, neytс0о, býttlingurмсогл-ar
безмо́лвие	nbókl.tøgnж0-ir(молчание); kvirraжгл-a(тишина); в лесу́ цари́ло безмо́лвие í skógini ráddi tøgn, í skógini ráddi kvirra; все стоя́ли в безмо́лвии øll [œtl] stóðu í tøgn, øll [œtl] stóðu tigandi
безмо́лвный	stfбезмо́лв|ен, ~на, ~но, ~ныadj(без слов) tigandiглandi; málleysurсогл(онемевший); kvirrurсогл(без шума), stillur [-tl-]согл; tigandiглandi(о договорённости); безмо́лвные у́лицы kvirrar gøtur; безмо́лвный свиде́тель tigandi vitni; безмо́лвное согла́сие tigandi samtykki
безмо́лвствовать	безмо́лвству|ю, ~ешь, ~ютipfbókl.vera tigandiглandi, tigaнепр
безмото́рный	adjvið ongum motori [-Ꞌtʰoː-] (без мотора); við sløktum motori [-Ꞌtʰoː-] (с выключенным мотором)
безмяте́жно	adjróliga, friðarliga; спать безмяте́жно sova friðarliga
безмяте́жный	stfбезмяте́ж|ен, ~на, ~но, ~ныadjsorgleysurсогл; friðarligurглigur, róligurглigur(ничем не тревожимый)
безнадёга	f tlm. hopleys støðaжгл-a, vónleys støðaжгл-a; безнадёга!predtað er ikki hugsingur um!
безнадёжно	adv1.(кбезнадёжный 1) í vónloysi, uppgevandi; он безнадёжно бо́лен ≈ tað er eingin vón um hann (um sjúkt fólk)2.(очень,чрезвычайно) hopleysa +прил. или нар. или переводится разн. усил. оборотами; он безнадёжно глуп ≈ hann er so steinbýttur; безнадёжно устаре́вший hopleysa gamaldags
безнадёжность	fvónloysiсгл-i; mishopс0о(отчаяние); он по́нял безнадёжность своего́ положе́ния hann skilti, at støðan var vónleys
безнадёжный	stfбезнадёж|ен, ~на, ~но, ~ныadj1.(не дающий надежд) vónleysurсогл, hopleysurсогл; sum eingin vón er um (о больном); ólekjandiглandi(неизлечимый); безнадёжное предприя́тие ein vónleys fyritøka; безнадёжное положе́ние vónleys støða; больна́я безнадёжна tað er eingin vónнпum patientin [-Ꞌʃε-]ннк, tað er einki hop um patientin [-Ꞌʃε-]ннк; tað er úti við patientinum [-Ꞌʃε-]ннк2.bert lf(неисправимый, полнейший) hopleysurсоглнеформ.;или переводится усил. оборотами; безнадёжный дура́к eitt stein etandi býtt
безнадзо́рность	ftvørrandi umsjónж0-ir
безнадзо́рный	stfбезнадзо́р|ен, ~на, ~но, ~ныadj(sum er) uttan umsjón, (sum er) uttan eftirlit [εʰtː-]; (sum er ) uttan umsorgan (лишённый ухода); forsømdur [-Ꞌsœ-]согл(запущенный)
безнака́занно	advóstraffað, órevsað; э́то не пройдёт безнака́занно hetta skal ikki fara óátalað, hetta skal ikki fara aftur [aʰtː-] við borðinumидиом.; э́то ему́ не пройдёт безнака́занно hetta skal koma honum afturumaftur [aʰtːʊɹꞋumaʰtː-], hann skal ikki sleppa snikkaleysur; э́то прошло́ безнака́занно eingin talaði Ꞌ at; им всё прохо́дит безнака́занно ≈ tey sleppa væl frá øllum [œtl-]
безнака́занность	ftað at sleppa undan revsing, tað at vera óstraffaður
безнака́занный	stfбезнака́зан, ~на, ~но, ~ныadjóstraffaðurглaður, órevsaðurглaður
безна́л	mtlm.ikki kontantir [-Ꞌtʰa-] pengarмгл-iмн; ikki kontant [-Ꞌtʰa-] gjaldс0о{a/ø}(рассчёт)
безнали́чный	adjuttan reiðan pening, uttan kontantar [-Ꞌtʰa-] pengar; безнали́чный рассчётbókh.clearing [kʰleːɹɪŋk]ж0-arспец., ikki-kontant [ꞋɪʰtʃːɪꞋtʰa-] gjaldс0о{a/ø}
безнало́говый	adjskattafríurгл
безнача́лие	nstjórnarloysi [stjœtn-]сгл-i; lógloysiсгл-i(беззаконие); anarki [-Ꞌkʰiː]с0о{0<>i}(óskil)
безно́гий	stfбезно́г, ~а, ~о, ~иadjvið ongum beinum, við ongum beini; beinleysurсогл(тк о человеке и т.п.); við einum beini, einbeinturсогл(одноногий)
безно́сый	stfбезно́с, ~а, ~о, ~ыadj1.(без носа) við ongari nøs2.(без носика) við ongum túti
безнра́вственность	f1. (аморальность)ómoralurмсогл-ar2. (разпущенность)siðloysiсгл-iкн.
безнра́вственный	stfбезнра́вственogбезнра́вствен|ен, ~на, ~но, ~ныadjsiðleysurсогл, ómoralskur [-raː-]согл; ósømiligur [-Ꞌsøː-]глigur(о высказывании,поведении и др.)
безо	síбез
безоби́дный	stfбезоби́ден, ~на, ~но, ~ныadjmeinaleysurсогл, óskaðiligur [-Ꞌskεa-]глigur(безвредный); óskyldigur [-Ꞌʃɪ-]глigur(невинный); безоби́дная шу́тка óskyldigt skemt
безо́блачность	f1.(о небе) klárur himmalм0осн-s,-ar, heiðurм0осн-s,-ar, heiður himmalм0осн-s,-ar2.fl.,bókl.(кбезо́блачный 2) tað ikki at myrkjast av nøkrum
безо́блачный	stfбезо́блач|ен, ~на, ~но, ~ныadj1.(не закрытый облаками) skýleysurсогл; heiðurгл(о ясном небе); безо́блачное не́бо klárur himmal, heiðurм0осн-s,-ar; безо́блачноveður.klárt2.fl.,bókl.(ничем не омрачённый) sum hevur ein ljósan dám, sum ikki myrkist av nøkrum; безо́блачное сча́стье rein eydna
безобра́зие	In1. (о внешнем виде) ljótheitж0-ir(некрасота); vanskepilsiсгл-i(уродство)2.(отвратительное явление) viðurstygdж0-ir(поступок); óskilс0о(бесчинство); skandala [-Ꞌtaː-]ннкжгл-a(скандал); там творя́тся безобра́зия har er eitt grúiligt skil, har er eitt øðiligt óskil, har er einki skil á (беспорядок); с таки́ми безобра́зиями на́до поко́нчить slíkt óskil má halda uppat [-Ꞌpʰεat]IIpred: безобра́зие! (nei,) veitst [vai̯st] tú nú hvat!; hatta ber (slett) ikki til!; tað er burtur úr vón og viti! (о чём-л. бессмысленном); tað er heilt út av bókini!неформ.(о чём-л. бессмысленном); како́е безобра́зие! tað líkist (svartasta) ongum!; tað er skilaleyst!; э́то про́сто безобра́зие hetta líkist svartasta ongum; hetta er stór skomm
безобра́зить	безобра́/жу, ~зишь, ~зятipf1.pfобезобра́зитьобезобра́/жу, ~зишь, ~зят(уродовать)AccgeraнепрВинljótan, vanskeplaaðiВин,lýtair(t)Вин2.pfнабезобра́зитьнабезобра́/жу, ~зишь, ~зятóvkm. síбезобра́зничать
безобра́зник	f tlm.jassur (eis. skemt.); vittuggi [vɪtʰʊ-]]сгл-i, óflýggjakroppurмсогл-ar(хам,грубиян)
безобра́зница	f tlm.jassur (eis. skemt.); vittuggi [vɪtʰʊ-]]сгл-i, óflýggjakroppurмсогл-ar(konufólk) (хам, грубиян)
безобра́зничать	ipf,tlm.1.(непристойно вести себя) beraслнa-ó-oseg ósømiliga [-Ꞌsøː-] at, beraслнa-ó-oseg ljótt at2.(озорничать) geraнепрmalør [-Ꞌløːɹ]неформ., geraнепрfortreð [-Ꞌtʰɹeː-]неформ.
безо́бразный	stfбезо́браз|ен, ~на, ~но, ~ныadj1.bókl.(нечёткий) kámurсогл, óskipaðurглaður2.bókm.(без образов) uttan myndamál
безобра́зный	stfбезобра́з|ен, ~на, ~но, ~ныadj1.(о внешности) ljóturсогл, misháttur [msːɔʰtː-]согл; andskræmiligur [anꞋskɹεa-]глigur(чрезвычайно некрасивый); vanskapturсогл(уродливый)2.fl.(возмутительный) ljóturсогл(um atburð o.a.), illavorðin [ɪtl-]соглосн(um atburð o.a.); ósømiligur [-Ꞌsøː-]глigur(непристойный); безобра́зное поведе́ние ljótur atburður, illavorðin atburður
безогля́дно	advuttan fyrilit
безогля́дный	stfбезогля́д|ен, ~на, ~но, ~ныadjgml.fyrilitsleysurсогл, óhygginсоглоснgg
безогово́рочно	advtreytaleyst; uttan fyrivarni
безогово́рочный	stfбезогово́роч|ен, ~на, ~но, ~ныadjtreytaleysurсогл, ótreytaðurглaður, óbetingaðurннкглaður; безогово́рочная капитуля́ция treytaleys yvirgeving, treytaleys kapitulatión [kʰaːpitʰuːlaꞋʃɔun]ннкж0-ir; безогово́рочный отка́зтжtvørt nei; безогово́рочная подде́ржка fullur [-tl-] stuðul, treytaleysur stuðul
безопа́сно	Iadvtrygt, sikkurtннк(vandaleyst,trygt)II 1.stf avбезопа́сный2.predtað er trygt, tað er sikkurtннк(vandaleyst,trygt)
безопа́сность	ftrygdж0-ir, sikkurheitннкж0-ir; междунаро́дная безопа́сность altjóða trygdin; о́рганы безопа́сности trygdartænasta; безопа́сность у́личного движе́ния ferðslutrygd; пожа́рная безопа́сность brunatrygd; те́хника безопа́сности trygdinж0-irопр.(á einum arbeiðsplássi); в безопа́сности uttan fyri vanda; sloppin burtur (úr vanda) (уцелевший); здесь мы в безопа́сности (от грозы́)тжher eru vit í lívd (fyri toruveðrinum); в по́лной безопа́сности púra sikkurннк@Сове́т Безопа́сности (ООН)Trygdarráðið (í ST);Сове́т Безопа́сности Росси́йской Федера́цииTrygdarráðið í Russiska sambandsríkinum [-pan̊s-] =>КГБ,коллекти́вный,поду́шка2,реме́нь1,СБУ,совеща́ние@
