Л	talvладья́ R, rókur
лей1	Im1.síле́я2.(молдавский) leu [lεu]м0-ar{дат.0}(moldaviskt gjaldoyra)
лей2	IIimper avлить
лейб-гва́рдия	fsøg.lívgardaжгл-a
лейбл	m síлэйбл
лейб-ме́дик	msøg.lívlækniмгл-i
лейбори́ст	mlimurмсогл-irí Labourflokkinum [lεipoɹ-], limurмсогл-irí (bretska) Arbeiðaraflokkinum
лейбори́стский	adjlabour- [lεipoɹ-], arbeiðara-; лейбори́стская па́ртия Labourflokkurin, (bretski) Arbeiðaraflokkurin
ле́йденский	adj: ле́йденская ба́нка leydnerfløska [laitn-]жгл-a
ле́йка1	Iplurле́йки, ле́ек, ле́йкамf1.(сосуд) (hava)kanna [haː-]жгл-a2.skip.(черпак) eyskar [εsk-]с0о{a/ø}3.óvkm.(воронка) traktж0-ir
ле́йка2	IIplurле́йки, ле́ек, ле́йкамf(фотоаппарат) Leica [laika]с нескл.(fotoapparat)
лейкеми́я	fleukemi [lœukeꞋmi]с0опроф., blóðkreftннкж0-ir, blóðkrabbameinнпс0о, blóðkrabbiнпмгл-i
лейко́з	m síлейкеми́я
лейко́ма	m lækn.leukom [lœuˈkʰoːm]с0o(;-ir)спец., мед.
лейкопла́стырь	mheftiplásturс0осн
лейкоци́т	mhvítt blóðlikamс0о, hvítur blóðkroppurнпмсогл-ar, hvítt blóðkorn [-tn]нпс0о
Ле́йпциг	mLeipzig [laiʰpsɪk]м0{дат.0}
лейтена́нт	mloytnantur [-Ꞌna-]мсогл-ar; мла́дший лейтена́нтtign millumлейтена́нтogпра́порщик; ста́рший лейтена́нт ≈ premierloytnantur [-Ꞌeːɹ-]
лейтмоти́в	m1.mus.,bókm.(основной мотив) leiðimotivс0о(;0-ir)2.fl.(осноцная мысль) høvuðsinnihaldс0о
лека́ло	n1.(линейка) kurvulineal [lɪɲˌjaːl]ж0-ir2.(шаблон) skabelón [skaːpiꞋlɔun]ж0-ir
лека́льщик	muppmátariмгл-ari(sum ger uppmátingar við kurvulineal,síлека́ло)
лека́рства-ана́логи	plurлека́рств-ана́логов, лека́рствам-ана́логам, лека́рствах-ана́логахn-manalogir [aːnaˈloːk-] heilivágirннкмсогл-irмн
лека́рственный	mleki-, lækna; лека́рственные расте́ния læknaurtir, lekiurtir; лека́рственные тра́вы læknaurtir, lekiurtir
лека́рство	nmedisin {medicin} [-Ꞌsiːn]с0о, heilivágurнпмсогл-ir; лека́рствоот чего-л.medisinmóti o-m{fyri o-t}
ле́карь	mgml.lækniмгл-i, lekjariмгл-ariуст.
лексе́ма	fleksem [-Ꞌseːm]с0оспец.
ле́ксика	forðatilfarс0о
лексико́граф	morðabókaserfrøðingurмсогл-ar; orðabókahøvundurмсогл-ar(составитель словаря); leksikografur [-Ꞌkɹaː-]интмсогл-ar
лексикогра́фия	forðabókafrøðiжгл-i; orðabókagerðж0-ir(составление словарей); leksikografi [-Ꞌfiː-]интж0-ir
лексико́лог	mserfrøðingurмсогл-arí orðatilfari, leksikologur [-Ꞌloːk-]интмсогл-ar
лексиколо́гия	forðatilfarsfrøðiжгл-i, leksikologi [-Ꞌkiː-]интж0-ir
лексико́н	m1.gml.(словарь) orðabókж0-ur{ó/ø}2.bókl.(лексика) orðatilfarс0о
лекси́ческий	adjviðvíkjandi orðatilfari, leksikalskur [-Ꞌkʰaː-]интсоглsk
ле́ктор	mfyrilesariмсогл-ari
лекто́рий	m1.(учреждение) felagsskapurмсогл-ir, ið skipar fyri fyrilestrum2.(помещение) fyrilestrarsalurмсогл-ir
ле́кторский	adjfyrilesara-
лекцио́нный	adjfyrilestrar-
ле́кция	ffyrilesturмоосн-ar,-ar;-s,-ar; чита́ть ле́кциюо Prp{по Dat} haldaслнe-i-ifyrilesturum Вин
леле́ять	леле́|ю, ~ешь, ~ютipf(pfвзлеле́ятьвзлеле́|ю, ~ешь, ~ют)Acc1.(нежить,холить) hjúkla [tʃʰ-]aðium Вин, fjálgaaðium Вин2.(услаждать) frøair(d); му́зыка леле́ет у́хо musikkurin [-ˈsɪ-] frøir oyrað3.fl.: леле́ять мечту́ havaнепрein dreym; леле́ять наде́жду havaнепрeina vón
ле́мех	plurлемех|а́, ~о́в, ~а́мogлемех|и́, ~о́в, ~а́мmplógjarn [-tn]с0о{а/ю}
леме́х	m síле́мех
ле́мма	fmat.,mál.lemmaс0гл-aспец.
ле́мминг	m1.(животное) (Lemmus и др.) læmingiмгл-i2.intern.(недалёкий человек, следующий за толпой) ≈ eltibløðraжгл-a
лему́р	m(Lemur) lemurur [-Ꞌmuː-]мсогл-ar
лен	msøg.lenс0о
лён	Genльна, льнуm1.(Linum) hørurмсогл-ar, línс0о; во́лосы как лён ljóst og mjúkt hár; línhvíttкн.,поэт.hár2.(волокно) hørurмсогл-ar, línс0окн.@го́рный лёнasbest [-Ꞌpεst]с0о=>мять1
Ле́на	f(река) Lenaж нескл.(á)
лени́вец	Gen, Accлени́вц|а; plur~ы, ~ев, ~амm1.síлентя́й2. (сем.Bradypodidae) letidýrс0о, dovindýrннкс0о
лени́вый	stfлени́в, ~а, ~о, ~ыadj1.(избегающий труда,любящий безделье) dovinсоглосн, laturсогл{a/ø}2.(выражающиь лень,вялый) dovisligurглigur3.: лени́вые варе́никиpettir av ostadeiggi blandað við mjøl kókað í vatni; лени́вые голубцы́slag av kálrullu við hakkaðum kjøti, káli og rísi; лени́вые щиslag av kálsuppu
Ленинаба́д	msovjet.Leninabad [-Ꞌpaːt]м0{дат.0},síХуджа́нд
Ле́нина пик	mPik Leninaм нескл.(fjall í Pamir;til 1928пик Кауфма́на)
Ленингра́д	msovjet.Leningrad [-kɹaːt]м0{дат.0}ист.,síСанкт-Петербу́рг
ленингра́дец	Gen, Accленингра́дц|а; plur~ы, ~ев, ~амmsøg.leningradbúgvi [-kɹaːt-]мгл-i
ленингра́дка	plurленингра́д|ки, ~ок, ~камfsøg.leningradbúgvi [-kɹaːt-]мгл-i(konufólk)
ленингра́дский	adjleningrad- [-kɹaːt-], úr Leningrad [-kɹaːt-], í Leningrad [-kɹaːt-]
ле́нинец	Gen, Accле́нинц|а; plur~ы, ~ев, ~амmleninistur [-Ꞌnɪ-]мсогл-ar
ленини́зм	mleninisma [-Ꞌnɪs-]жгл-a
Ле́нинские го́ры	f plursøg.Leninhæddirnarж0-irмн,síВоробьёвыго́ры
ле́нинский	adj1.(относящийся к Ленину) Lenin-;ле́нинская тео́рия teoriin [-Ꞌriː-] hjá Lenin, tann leninska teoriin [-Ꞌriː-];Ле́нинская пре́мияsøg.Leninheiðursløninопр.2.(соответствующий принципам ленинизма) leninistiskur [-Ꞌnɪs̥t-]соглsk
лени́ться	леню́сь, ле́н|ишься, ~ятсяipf(pfполени́тьсяполеню́сь, поле́н|ишься, ~ятся) dovnastaði, letastaði; не лени́ться ikki himprastaði(at hjálpa o.a.); лени́ться +infikki tímaaðiat +инф
ле́нник	msøg.lensmaðurмнепр
ле́нный	adjlens-
ле́ность	fdovinskapurмсогл-ir, letiжгл-i
ле́нский	adj: Ле́нский расстре́лsøg.drápið av arbeiðarum í verkfalli við ánna Lena í apríl 1912
ле́нта	f1.(полоска ткани) bandс0о{a/o}; шёлковая ле́нта silkiband; о́рденская ле́нта ordansband2.tekn.(полоса разн. назначения) bandс0о{a/o}; изоляцио́нная ле́нта isolatiónsband [-Ꞌʃɔu-], isoleringsband [-Ꞌleː-]; кинематографи́ческая ле́нта filmurмсогл-ar;-s,-ir(til filmsapparat o.tíl.); конве́ерная ле́нта transportband [-Ꞌpʰɔ-]ннкпроф., flutningsbandнп; ле́нта для пи́шущей маши́нки farvubandннкпроф, litbandнп(til skrivimaskinu); магнитофо́нная ле́нта ljóðband; патро́нная ле́нта patrónband [-Ꞌɹɔu-], patrónbelti [-Ꞌɹɔu-]мгл-i3.(кинолента) filmurмсогл-ar;согл-s,-ir(leingja við filmi á) =>гу́сеничный,ли́пкий,пулемётный,фи́нишный
ле́нта-ско́тч	f-mklistribandс0о{a/o}, tape [tʰεip]с0о{0<>i}
ле́нточка	plurле́нточ|ки, ~ек, ~камf dim avле́нта 1; рвать ле́нточку slíta (mál)snórin; перере́зать ле́нточку klippa snórin
ле́нточный	adj1.(кле́нта) band-2.(в форме ленты) band- (av skapi sum band); ле́нточная пила́ bandsag; ле́нточный то́рмоз bandbremsa; ле́нточный транспортёр transportband [-Ꞌpʰɔ-]ннкпроф., flutningsbandнп; ле́нточный червь (Cestoda) bendilormur
лентя́й	mletingiмгл-i, letivættiсгл-i
лентя́йка1	Iplurлентя́йки, лентя́ек, лентя́йкамfletingiмгл-i, letivættiсгл-i(konufólk)
лентя́йка2	IIplurлентя́йки,Genлентя́ек, лентя́йкамftlm., skemt. (пульт управления) stýripulturмсогл-ar(til fjarstýring)
лентя́йка3	IIIplurлентя́йки,Genлентя́ек, лентя́йкамf óvkm.(швабра) dveylurмсогл-ar(gjørdur soleiðis, at ikki er neyðgt at taka hann av fyri at skola hann)
лентя́йничать	ipftlm.letastaði, gangaслнe-i-ifyri Ꞌ einki, dovnastaði
ленца́	ftlm.: он с ленцо́й hann er heldur linligur (dovin), hann er lítið arbeiðshugaður
ленч	m síланч
лень	Ifletiжгл-i, dovinskapurмсогл-irIIpred кому-л., + inftlm.(не хочется): (мне) лень писа́ть eg tími ikki at skriva; ей бы́ло лень помо́чь нам hon tímdi ikki at hjálpa [jɔ-] okkum@и не лень тебе́at tú tímir; и не лень тебе́ занима́ться э́тим! at tú tímir at fáast við hetta!;(все) кому́ не леньatf.øll [œtl], sum hava hug; øll [œtl], sum tíma;лень - мать всех поро́ковorðt.leti er rótin til alt iltпосл.
леонбе́ргер	mleonbergariмгл-ari(hundaslag)
леопа́рд	m(Panthera pardus) leopardur [-Ꞌpʰa-]мсогл-ar; сне́жный леопа́рдsíи́рбис
леопа́рдовый	adj leopard- [-Ꞌpʰa-]
лепестко́вый	adjkrúnublaðs- av kunublaði
лепесто́к	Genлепестк|а́; plur~и́, ~о́в, ~а́мmkrúnublaðс0о{a/ø}{0<>i}@жа́берный лепесто́кtáknatægrarж0-arмн=>сверну́ть1
ле́пет	mtutlс0о, bull [-tl]с0о, pjátranж0-ir; де́тский ле́петeis. fl.undanførslurжгл-aмн(о чём-л. неубедительном)
лепета́ние	ntutlс0о, bull [-tl]с0о, pjátranж0-ir
лепета́ть	лепечу́, лепе́ч|ешь, ~утipf(pfпролепета́тьпролепечу́, пролепе́ч|ешь, ~ут)что-л.bulla [-tla]aðio-t, pjátraaðio-t, babbaaðio-t
лепёшка	plurлепёш|ки, ~ек, ~камf1.(из теста) flatbreyðс0о{0<>i}; flatdrýlurмсогл-a(б.ч. из незаквашенного теста - ячменного,ржаного); fløt kakaж0о2.(лекарство) tablett [-Ꞌplεʰtː]ж0-ir; pastill [-Ꞌstɪlː]ж0-ir(тж конфета)3.(что-л. плоское и круглое)o-trunt og flatt; лепёшка гря́зи runukakaжгл-a(в детской игре и т.п.); runublakс0о{a/ø}; лепёшка коро́вьего помёта neytalorturмсогл-ar@разби́ться {расшиби́ться} в лепёшкуtlm.geraнепрsítt ítasta; standaсоглó-ó-aá høvdinum [hœtː-]неформ.,шутл.;сде́лать лепёшкуиз кого-л. a)óvkm.(избить) morlaaðio-nsundur; b) (раскритиковать) sáplaaðio-nniðurнеформ., lastaaðio-nniður í sand og øsku; маши́на (разби́та)в лепёшкуbilurin er vrak
лепидио́н	m(Lepidion eques) bláriddariмгл-ari
лепидо́п	m(Lepidopus caudatus) silvurstinglaksurмсогл-ar
лепи́ть	леплю́, ле́п|ишь, ~ятipf1.pfвы́лепитьвы́леплю, вы́леп|ишь, ~ят, слепи́тьслеплю́, сле́п|ишь, ~ят что-л.(из глины и т.п.) modellera [-Ꞌleː-]aðio-t, formaaðio-t, myndaaðio-t(изображать)2.pfслепи́тьслеплю́, сле́п|ишь, ~ят что-л.(гнёзда,соты) byggjair(d)o-t(reiður o.a.)3.pfналепи́тьналеплю́, нале́п|ишь, ~ят что-л.(приклеивать)tlm.klistraaðio-t, límaaðio-t4.pfзалепи́тьзале́п|ит, ~ятtlm.(с силой бить) berjair(d){e/a}(duka) =>ба́ба@
лепи́ться	ле́п|ится, ~ятсяipf к чему-л.verða klíndurсоглupp at[-Ꞌpʰεat]o-m
ле́пка	f1.(действие) modellering [-Ꞌleː-]ж0-ar, formingж0-ar2.koll(то,что вылеплено) standmyndirж0-irмн3.(украшения) stukkaturur [-Ꞌtʰuː-]мсогл-ar
лепно́й	adj1.(сделанный лепкой) modelleraður [-Ꞌleː-]глaður2.(украшения) stukk-, stukkatur- [-Ꞌtuːɹ-]
лепрозо́рий	mspitalskasjúkrahús [-ˈta-]с0o
ле́пта	fíkastс0о; внести́ свою́ ле́пту lataслнæ-ó-aeftir [εʰtː-] førimuni; lataслнæ-ó-atað lítla, ein kann@ле́пта вдови́цыbíbl.smápeningarnir hjá [tʃʰ-] tí fátæku einkjuni
лептаго́н	m síлиси́чка, морска́я @
ле́рки	ле́р|ок, ~камf plur: ле́рки резьбы́ gevindbakki [keꞋvɪ-]мгл-i
Леруи́к	mLerwick [lεɹvɪʰkː]ж нескл.
лес	Genле́са, ле́су,plurлес|а́, ~о́в, ~а́мm1.Prp в лесу́(множество деревьев) skógж0-ir, skógurмсогл-ir;-arкн.; и́з ле́су {из ле́са} úr skógini; по́ лесу {по ле́су} um skógina; чёрный лесskóg.leyvskóg2.Prp в ле́се(материал) timburс0осн; viðurмсогл-ir@бытькак в (тёмном) лесу́ikki vita síni livandi ráð; э́то для меня́тёмный лесtlm.hetta er sum latín [-Ꞌtʰʊin] hjá [tʃ-] mærпог.; eg forstandi [-Ꞌsta-]ннкikki eitt kis [kʰiːs] av tí =>волк@,грани́ца1,де́рево@,дрова́@,ко́рень@,кра́сный5,поро́сший,свести́II 2,спусти́тьA 11,ще́пка@
лёс...	лёсыos.fr. plur avле́са
ле́са	plurле́с|ы, ~, ~амogлёс|ы, ~, ~амf(на удилище) dorgж0-ur{o/e}; snøriсгл-i(ручная и т.п.); línaжгл-a(на подпуске и др.)
леса́1	Iлес|о́в, ~а́мm plurstillass [stɪꞋlaːs] (реже[stɪꞋlasː])с0о(;0-ir), byggipallur [-tl-]лпмсогл-ar
леса́2	IIplurлёс|ы, ~, ~амf síле́са
лесби́йский	adjlesbiskurсоглsk, samkyndurсогл(um konufólk)
лесбия́нка	plurлесбия́н|ки, ~ок, ~камfsamkynt konufólkс0о, homoseksuelt konufólkс0о, lebbiмгл-iнеформ.,пренебр.
лесбия́нский	adjlesbiskurсоглsk, samkyndurсогл(um konufólk)
Ле́сбос	mLesbosж нескл
ле́сенка	plurле́сен|ки, ~ок, ~камf1.dim avле́стница2.: ле́сенкойadvsum ein trappa; eftir [εʰtː-] stødd (по росту)
леси́стый	stfлеси́ст, ~а, ~о, ~ыadjskógvaksinсоглосн(поросший лесом)
ле́ска	plurле́с|ки, ~ок, ~камftlm.síле́са
лесни́к	Gen, Accлесник|а́; plur~и́, ~о́в, ~а́мmskógarvørðurмсогл-ir{ø/a}
лесни́чество	n1.(участок) skógdistriktс0о2.(управление) skógarumsitingж0-ar
лесни́чий	mstjóri [stj-]мгл-ifyri skógdistrikti,síлесни́чество
лесно́й	adj1.(клес 1) skóg-, skógar-; лесна́я тропи́нка gøta í skógini; лесно́й пожа́р skógareldur2.(относящийся к материал) timbur-, træ-; лесна́я промы́шленность træídnaður; лесно́й э́кспорт timburútflutningur3.(относящийся ка лесоводу) skógar-; skógarbrúks-; лесно́й институ́т skógarbrúksskúli =>оре́х1,хозя́йство2
лесово́д	mskógrøktarmaðurмнепр
лесово́дство	n1.(наука) skógbrúksfrøðiжгл-i2.(занятие) skógbrúkс0о
лесово́дческий	adjskógbrúks-
лесово́з	mtimburbilurмсогл-ar(автомобиль); timburskipс0о(судно)
лесозаво́д	mtimburverksmiðjaжгл-a
лесозагото́вки	лесозагото́в|ок, ~камf plurtimburuppkeypс0о(hjá tí almenna)
лесозащи́тный	adj1.(относящий к защите леса) skógrøktar-2.(относящийся к посадке защищающей зоны) le-ннк, lívdar-нп; лесозащи́тная полоса́ lebeltiннк, lívdarbeltiнп(av trøum)
лесо́к	Genлеск|а́; plur~и́, ~о́в, ~а́мmlítil skógж0-ir, lundж0-ir
лесоматериа́л	mtimburс0осн, viðurмгл-ir{+}
лесонасажде́ние	n1.(действие) træplantingж0-ar, skógplantingж0-ar2.mest plur(участок разведённого леса) gróðursett skógж0-ir
лесообраба́тывающий	adj: лесообраба́тывающая промы́шленность timburídnaður
лесопа́рк	mparkж0-ir(við trøum, í býi), viðarlundж0-ir(í býi)
лесопи́лка	plurлесопи́л|ки, ~ок, ~камftlm.sagverkс0о, sagvirkiсгл-i
лесопи́льный	adjsag-, sagu- [sεavʊ-];лесопи́льный заво́д sagverkс0о, sagvirkiсгл-i
лесопито́мник	mgróðurstøðж0-ir
лесопова́л	mskóghøggingж0-ar
лесополоса́	plurлесополо́с|ы, ~, ~а́мfskógarbeltiсгл-i
лесопоса́дка	plurлесопоса́д|ки, ~ок, ~камf1.(действие) skógplantingж0-ar2.plur(саженцы) nýskógж0-ir, nýskógurмсогл-ir;-arкн.
лесопоса́дочный	adjskógplantingar-
лесопромы́шленник	mtimburhandlari [-hanl-]мгл-ari
лесопромы́шленность	ftimburídnaðurмсогл-ir
лесопромы́шленный	adjtimburídnaðar-
лесоразрабо́тки	лесоразрабо́т|ок, ~камf plur1.(работа) skóghøggingж0-ar2.(участок) økiсгл-ivið skóghøgging
лесору́б	mskóghøggariмгл-ari
лесосе́ка	føkiсгл-ivið skóghøgging
лесоспла́в	mfloytingж0-arav timbri
лесостепно́й	adj: лесостепны́е райо́ныsíлесосте́пь
лесосте́пь	fskógsteppaжгл-a
Лесо́то	n indeclLesotho [-Ꞌsoːto]с нескл., Lesoto [-Ꞌsoːto]с нескл.
лесоту́ндра	fskógtundraжгл-a(;0-ir), skógfrostmýraлпжгл-a
лёсс	mjarðf.løssс0оспец.,fokdustлпс0оспец.
ле́стница	[ле́сн-]f(на - тж í;á(со ступенями)) trappaжгл-a(со ступенями); (на - тж í) stigiмгл-i(с перекладинами); верёвочная ле́стница reipstigi; пожа́рная ле́стница brandstigi [pɹans-]; рыбохо́дная ле́стница fiskatrappa; чёрная ле́стница baktrappa@служе́бная ле́стницаtænastustiginопр.; поднима́ться по служе́бной ле́стнице hækka í tignофиц.=>иерархи́ческий
ле́стничный	[ле́сн-]adjtrappu-; stiga- (síле́стница); ле́стничная кле́тка trappuhúsс0о; repos [-Ꞌpʰoː-]ж0-irпроф.,спец., trappupallur [-tl-]нпмсогл-ar({a/ø})(площадка)
ле́стно	[ле́сн-]IadvsmikrandiIIpred óp кому-л.: ей бы́ло ле́стно, что ... hon føldi seg smikraða av, at ...
ле́стный	[ле́сн-]stfле́стен, ле́стн|а[ле́сн-], ~о, ~ыadj1.(содержающий похвалу) smikrandiглandi2.(одобрительный, похвальный) viðurkennandiглandi
лесть	fsmikurс0осн
лесхо́з	m stytt fyriлесно́е хозя́йство (síхозя́йство2)
лёт	Genлёта, лёту,Prpо лёте, на лету́mflogс0о{0<>i}; на лету́ á flogi; í tío-rkemur framvið (мимоходом); с лету́tlm.skjótt, beinanvegin; 5 часо́в лёту fimm tíma flúgving; схвати́тьчто-л.на лету́ loftao-m,sbr.@@схва́тывать{поднима́ть}на лету́{с лёту} vera gløggurсогл; vera næmurсогл{æ/o}(об усвоении)
лета́	лет, лета́хn plur1.síгодА2. (возраст) aldurм0осн-s,-ar; ско́лько ему́ лет? hvussu gamal er hann?; ей пять лет hon er fimm ára gomul; мы с ним одни́х лет vit er javngamlir [jaŋk-]; сре́дних лет um miðjan aldur; с де́тских лет frá barnsbeini [pan̊s-], frá barni [-tnɪ]; с лета́ми við aldrinum@в лета́хvæl til árs, væl við aldur;на ста́рости летá gamalsaldrinum;он ра́звит не по лета́мhann er væl at sær komin fyri sín aldur;ско́лько лет, ско́лько зим! ≈mangur dagur á jørð, síðan eg havi sætt teg!пог.; tað er bæði ár og dagur, síðan vit sóust seinast!пог.=>каза́ться1,мо́лодость@,склон@,сре́дний@,цветII @
Ле́та1	fmyt.Lethe [leːtε]ж нескл.@ка́нуть в Ле́туfaraслнó-ó-aí gloymsku, søkkaслнa-u-oí gloymsku
ле́та2	:síмногий@
лета́льность	fdeyðatalс0о{a/ø}спец., deyðiligheitннкж0-irпроф., deyðiмгл-i
лета́льный	stfлета́лен, лета́льн|а, ~о, ~ыadjbókl.deyðiligurглigur; лета́льный исхо́д deyðiligur endi, deyðiмгл-i
летарги́ческий	adjdølskurсоглsk, tungurсогл; letargiskur [-Ꞌtʰa-]интсоглskред.,спец.
летарги́я	fdvaliмгл-i, dølskniсгл-i;жгл-i, duliмгл-i
лета́тельный	adj: лета́тельный аппара́т loftfarс0о{a/ø}(rúmdarskip;flogfar o.a.) =>беспило́тный
лета́ть	indef síлете́тьA
лета́ющий	Ipartic avлета́тьIIadjflúgvandiглandi, flog-; лета́ющая ры́ба flúgvifiskur, flogfiskur; лета́ющая ло́дка flúgvibátur =>кре́постьI @,таре́лка@
лете́ть	лечу́, лет|и́шь, ~я́тAdef(indefлета́ть,sí eis.полете́ть) flúgvaслнey-u-o; лете́тьна чём-л.a) (в качестве пассажира) flúgvavið o-m(flogfari), ferðastaðivið o-m(flogfari); b) (вести) flúgvao-t(stýra)B 1.(мчаться) fúkaслнey-u-o, flúgvaслнey-u-o; singlaaði(камнни,осколки и др.); лете́ть как стрела́ flúgva sum ein pílur2.pfполете́тьполет|и́т, ~я́тtlm.(падать) dettaслнa-u-o3.pfполете́тьполет|и́т, ~я́тtlm.(ломаться) brotnaaði; dettaслнa-u-oniðurfyri [-Ꞌfiː-], verðaслнa-ó-oav ongum (нарушаться)4.: вре́мя лети́т tíðin rennur avstað [aꞋstεa]; а́кции летя́т вниз partabrøvini rúka niður
летёха	m jarg.loytnantur [-ˈna-]мсогл-ar
ле́тне-нересту́ющий	adjsummargýtandiглandi, sum gýtur um summarið
ле́тний	adj(относящийся к лету) summar-; summarsligurглigur(по-летнему) =>о́тпуск2
ле́тник	mársplantaжгл-а(serl. urtagraðsplantur)
лётный	adjflog-; лётная пого́да floglíkindiсгл-iмн(veður); лётный костю́м flúgvaradraktннк, flúgvarabúniнп; лётная доро́жка flogbreyt; лётное по́ле flúgviplássннкс0о, flogvøllur [-tl-]; лётный соста́в flogmanning
ле́то	(einki plur)nsummarс0осн{+}; э́тим ле́том í summar; то же ле́то sama summarið; про́шлое ле́то fjør summar, síðsta summar (прошлого года); про́шлым ле́том í fjør summar, síðsta summar (прошлого года); бу́дущим ле́том komandi summar, í summar (тк наступающее); в конце́ ле́та síðst í summar, seint í summar (этим летом); seint um summarið (одним поздним летом); наступи́ло ле́то summarið var komið; наступа́ет ле́то summarið er við at koma, tað sumrar, tað er farið at sumra ; всё ле́то шли дожди́ tað hevur regnað í alt summar (этим летом); tað regnaði alt summarið (одним летом); ле́том 2004-го го́да um summarið (í) 2004, á sumri (í) 2004; 2004 um summarið; середи́на ле́та miðsummar; в середи́не ле́та á hásumri =>ба́бий@
летоисчисле́ние	nbókl.síлетосчисле́ние
ле́том	advum summarið (вообще или тем летом); um sumrarnar (вообще); í summar (этим летом); одна́жды ле́том eitt summar(ið), einaferð um summarið
летопи́сец	Gen, Accлетопи́сц|а; plur~ы, ~ев, ~амmkrønikuskrivariмгл-ari, krýnikuskrivariмгл-ariкн.
летопи́сный	adjkrøniku-, krýniku-кн.
ле́топись	fkrønikaжгл-a, krýnikaжгл-a; annalir [-Ꞌnaː-]ж0-irмн
летосчисле́ние	[-щис-]nbókl.tíðarrokningж0-ar
лету́н	Gen, Accлетун|а́; plur~ы́, ~о́в, а́мm≈ flákrс0о(sum ikki støðast á arbeiðsplássi)
лету́честь	fkem.tað at fordampa [-Ꞌta-] skjótt, loftkvæmiлпсгл-i
лету́чий	stfлету́ч, ~а, ~е, ~иadj1.(летящий) flúgvandiглandi2.bert lf(в названиях нек. животных) flúgvi-, flog- (í nøvnum á summum djórum); лету́чая мышь flogmúsнп, flagermús [flaːk-]ннк,sí eis.@; лету́чая ры́ба flúgvifiskur, flogfiskur3.(способный быстро перещаться) flúgvandiглandi(sum fer skjótt avstað,ímillum støð,um hereindir o.tíl.)4.bert lfkem.(легко испаряющийся) sum fordampar [-Ꞌta-] skjótt, loftkvæmurлпсогл{æ/o}5.fl.(быстрый,короткий) stutturсогл, stokkuturсогл@лету́чая мышь(фонарь) flagermúslykt [flaːk-]ж0-ir(lykt) =>голла́ндец@
лету́чка	plurлету́ч|ки, ~ек, ~камftlm.1.(листовка) flogblaðс0о{a/ø}2.(короткое собрание) stuttur fundurмсогл-ir3.: ремо́нтная лету́чка koyrandi verkstað (тж[vεʂta])с0о{a/ø}
лётчик	mpilotur [-Ꞌloː-] (тж[pʰailoː-])ннкмсогл-ar, flogskipariнпмгл-ari
лётчик-испыта́тель	m-mtestpiloturннкмсогл-ar, royndarflogskipariнпмгл-ari
лётчик-истреби́тель	m-mjagarapilotur [jaːk-]ннкмсогл-ar, jagaraflogskipariнпмгл-ari
лётчик-космона́вт	mrúmdarfariмгл-i, astronautur [-Ꞌnau-]мсогл-ar
лётчик-наблюда́тель	m-m  eygleiðari [εkl-]мгл-ari(frá flogafri)
лётчица	fpilotur [-Ꞌloː-] (тж[pʰailoː-])ннкмсогл-ar, flogskipariнпмгл-ari(konufólk)
Лефо́ртово	fLefortovo [-Ꞌfɔ-]с нескл.(kent fongsul í Moskva)
ле́чащий	Ipartic avлечи́тьIIadj: ле́чащий врач а) (практикующий) praktiserandi [-Ꞌseː-]глandilækni; b) мой ле́чащий врач læknin, sum eg eri í viðgerð [vɪtʃ-] hjá
лече́бница	fklinikk [-Ꞌnɪʰkː]ж0-ir
лече́бно-профилакти́ческий	adj: лече́бно-профилакти́ческие учрежде́нияfelags heiti á sjúkrahúsum, klinikkum o.ø. undir heilsuverkinum
лече́бный	adj1.(врачебный) lækna-; sjúkra-2.(целебный) lekjandiглandi, grøðandiглandi=>корм1
лече́ние	nviðgerð [vɪtʃ-]ж0-ir, behandling [-Ꞌhanl-]ннкж0-ar(fyri sjúku o.a.); avvenjingж0-ar(от алкоголизма,наркомании); проходи́ть курс лече́ния от алкоголи́зма vera til avvenjing fyri alkoholismu [-Ꞌlɪ-], vera upp á avvenjing fyri alkoholismu [-Ꞌlɪ-] =>кана́л2,курсIII 4,принуди́тельный1
лечи́ть	лечу́, ле́ч|ишь, ~атipf(sí eis.вы́лечить)Accbehandla [-Ꞌhanla]ннкaðiВин, viðgeraнепрВин; lekjair(t), gera frískan, grøðair(d)(вылечивать); venjaur(d){e/a}o-nav (от алкоголизма,наркомании); лечи́тького-л.от чего-л. a) behandlaннкo-n fyri o-t; b) lekjao-n fyri o-t, grøðao-n fyri o-t; кто вас ле́чит? hvør er lækni hjá [tʃ-] tygum? =>зубA
лечи́ться	лечу́сь, ле́ч|ишься, ~атсяipf(sí eis.вы́лечиться) verða behandlaður [-Ꞌhanl-]ннкглaður; gangaслнe-i-itil viðgerð [vɪtʃ-], vera til behandlingar [-Ꞌhanl-]ннк, vera til behandlingar [-Ꞌhanl-]ннк(fyri sjúku o.tíl.); у кого́ она́ ле́чится? hvør er lækni hjá [tʃ-] henni?
лечу́	1.1. pers pres avлете́ть2.1. pers pres avлечи́ть
