ц	це́нтнер 100 kg
цена́	Accце́ну;plurце́н|ы, ~, ~амf1.(на Acc - á Дат) (денежное выражение стоимости) prísurмсогл-ir;согл-ar; kostnaðurмсогл-ir(стоимость;вырученная сумма); назна́чить це́ну (á)seta ein prís; высо́кая цена́ høgur prísur; ни́зкая цена́ lágur prísur; па́дать в цене́ lækka í prísi; повыша́ться в цене́ hækka í prísi; фру́кты повы́сились в цене́ frukt er farin upp (í prísi); продава́тьчто-л.по цене́ 1500 рубле́й selja okkurt fyri (ein prís upp á) 1500 rublar; по дорого́й цене́ fyri høgan prís; по сни́женной цене́ fyri niðursettan prís; рост цен prísvøkstur; паде́ние цен príslækking, prísfall [-tl]; сохрани́ть твёрдые це́ны halda fastar prísir; предложи́ть бо́лее высо́кую це́ну, чемкто-л. eis.bjóða yviro-n, bjóða hægri enno-r; предложи́ть бо́лее ни́зкую це́ну, чемкто-л. eis.bjóða undiro-n, bjóða lægri enno-r; дорого́й цено́й fyri ein høgan prís2.(значение,роль) virðiсгл-i; э́то не име́ет для него́ цены́ hetta hevur einki at siga fyri hann, hann heldur einki um hetta3.fl.: цено́ю {цено́й}чего-л.viðo-msum prísi; цено́ю больши́х жертв vit stórum ofrum; цено́ю своего́ здоро́вья она́ суме́ла... hon formáddi [-Ꞌmɔ-] at ..., men tað kostaði henni heilsuna@быть в цене́tlm.vera nógv eftirspurdur [εʰtː-]согл;знать це́нучему-л.vita, hvato-ter vert; он зна́ет себе́ це́ну a) hann veit, hvat hann er verdur; hann veit, hvat hann dugir; b) hann heldur nógv um seg sjálvan;заплати́тьза что-л.дорого́й цено́йbetala [-Ꞌtʰεa-]ннкí dýrum dómumfyri o-t; ку́пленный дорого́й цено́й dýrgoldinсоглосн;любо́й цено́йhvussu víkur og vendir; tað standist hvat av, ið máкн.;ни за каку́ю це́нуikki fyri alt í verðini;цены́ нетDat Имkann ikki metast ov høgt;кра́сная цена́besti prísur =>взду́ть2,взду́тьдя2,грош@,дешёвый1,и́ндекс3,колеба́ние2,наби́ть@,назначе́ние2,ни́зкий2,отпусти́ть15,подня́ть11,пони́зить1,пони́зиться1,сниже́ние1,сни́зить1
ценз	m: избира́тельный ценз treytirж0-irмнfyri valrætti og valbæri; иму́щественный ценз census {sensus} [sεn̥sʊs]м0-ar; восрастно́й ценз aldursmarkс0o{a/ø}; образова́тельный ценз útbúgvingarstøðiсгл-i(minstakrav fyri at hava ávís rættindi)
це́нзор	mcensor [sεn̊soːɹ]м0-ar(опр-ur); ritskoðariлпмгл-ari(письменных произведений), brævskoðariлпмгл-ari(писем)
цензу́ра	fcensurur {sensurur} [-Ꞌsuː-]мсогл-ar; ritskoðanлпж0-ir(письменных произведений), brævskoðanлпж0-ir(писем); цензу́ра на пи́сьма censurur av brøvum, brævacensurur; проходи́ть цензу́ру fara ígjøgnum [-Ꞌtʃœknʊn] censurin =>подве́ргнуть
цензу́рный	adj1.(о цензуре) censur- {sensur-} [-Ꞌsuː-]; ritskoðanar-лп(о письменных произведениях); brævskoðanar-лп(о письмах)2.(пристойный) sømiligurглigur, stovubærurсогл
цени́тель	m чего-л.kennariмгл-ariav o-m(o-r,ið hevur skyn á o-m); цени́тель иску́сства listakennari; цени́тель поэ́зии ein kennari av skaldskapi; быть цени́телемчего-л.havaнепрgott skilá o-m, havaнепрgott skyná o-m
цени́ть	ценю́, це́н|ишь, ~ятipf(pfоценитьоценю́, це́н|ишь, ~ят)Acc1.tlm.(назначать цену) (virðis)metair(t)Вин, vurdera [-Ꞌteː-]ннкaðiВин; taksera [-Ꞌseː-]aðiВинспец.2.(признавать значение) metair(t)Вин(høgt), setaur(t);ir(t)prís upp áВин; высоко́ цени́тьAccmetaВинhøgt; не цени́тьAcchaldaслнe-i-ilítiðum Вин, ikki metaAcchøgt
цени́ться	це́нит|ся, ~ятсяipf bert 3. pers brúktur1.(иметь цену) vera metturсогл, vera vurderaður [-Ꞌteː-]глaður2.fl.(иметь признание) vera høgt metturсогл, veraслнa-ó-ehøgt í metum =>зо́лото@
це́нник	mpríslistiмгл-i
це́нностный	[-носн-]1.búsk.(кцена́ 1) prís-, kostnaðar-2.(о нравственных ценностях и т.п.) virðis-
це́нность	f1.(стоимость) virðiсгл-i(kostnaður)2.(значение,важность) virðiсгл-i, verdí [-Ꞌtʊi]ннкс0о(týdningur); представля́ть большу́ю це́нность hava stórt virði, vera av verdíннк; портре́т, не представля́ющий никако́й худо́жественной це́нности eitt portrett [-Ꞌtʰɹεʰtː]ннкuttan listaligt virði; переоце́нка це́нностей nýmeting av virðunum, umvurderingннкav virðunum; сохрани́ть свою́ це́нность varðveita sítt virði3.(значимость): пищева́я це́нность føðsluvirðiсгл-i,4.oftast plur(предмет) virðismikil luturмсогл-ir; dýrgripurмсогл-s,-ir(сокровище)@материа́льные и духо́вные це́нностиmateriell [matʰeːɹiꞋεlː-] og andalig virðir;культу́рные це́нностиmentanarvirðir
це́нный	stfце́нен, ценна́ogце́нна, це́нн|о, ~ыadj1.(дорогой) kostbarurсогл, dýrurсогл; це́нные пода́рки dýrar gávur; це́нные предме́ты virðismiklir lutir2.(имеющий важное значение) virðismikilсоглосн, verdífullur [-Ꞌtʊifʊtl-]ннксогл; це́нное откры́тие virðismikil uppdaging; э́то о́чень це́нные да́нные hesar upplýsingar hava stórt virði3.: це́нное письмо́ virðisbræv; це́нная посы́лка virðispakki =>бума́гаI 2
ценово́й	adjprís-
ценообразова́ние	nprísgerðж0-ir
цент	m(монета) centur {sentur} [sε-]мсогл-ar
Цента́вр	mastr.Kentaururin [kʰεn̊Ꞌtʰau-]мсогл-arопр.
це́нтнер	m100 kg
центр	m1.mat.,fys.(точка пересечения осей и др.) centrum [sε-]{sentrum}с0-um, miðdepil [mɪt-], [miː-]нпм0осн-s,-ar; центр кру́га centrum {sentrum} í cirkli {sirkli}, miðdepilнпí kringiлп2.(середина) miðjaжгл-a, mittaннкжгл-a, centrum [sε-] {sentrum}ннкс0-um; центр по́ля miðvøllur [-tl-]; в це́нтре по́ля á miðvøllinum [-tl-], á miðjum vølli [-tlɪ]; центр го́рода miðbýur [mɪp-], [miː-], centrum {sentrum}ннк; в це́нтре го́рода (inni) í miðbýnum [mɪp-], [miː-], (inni) í centrum{sentrum}ннк, mittннкinni í býnum; в це́нтре ко́мнаты mittннкinni í verilsinumннк3.(стредоточие чего-л.,место деятельности) miðdepil [mɪt-], [miː-]нпм0осн, miðstøðж0-ir; centur [sε-]{sentur}ннкс0осн, centrum [sε-] {sentrum}ннкс0-um; центр торго́вли {торго́вый центр} (в городе) sølumiðstøð, handilsmiðstøð, handilsmiðdepil [-mɪt-], [-miː-], handilssentur {handilscentur [sε-]}ннк,sbr.4; центр нефтяно́й промы́шленности miðdepilin fyri oljuídnaðin; телевизио́нный центр sjónvarpsstøð; центр культу́рной жи́зни страны́ miðstaðurin fyri mentunarlívið í landinum4.(город) høvuðsbýurмсогл-ir; miðdepil [mɪt-], [miː-]нпм0осн; промы́шленный центр ídnaðardepil; центр торго́вли {торго́вый центр} (город) handilsstaður (býur),sbr.35.(высший орган) miðstjórn [-stjœtn]ж0-ir, miðstýriсгл-i6.polit.(в политике) miðjanопр., centrum [sε-]{sentrum}ннкс0-um; miðflokkarnirмгл-ariмн, опр., flokkarnirмгл-ariмн, опр.á miðjuni7.fysiol.(группа нервных клеток) centur [sε-] {sentur}ннкс0оснпроф.,depilм0осн-s,-arспец.; не́рвный центр nervasenturннкпроф., nervadepilспец.@быть в це́нтре внима́нияvera í centrum [sε-]ннкfyri uppmerksomheitinaннк; vera tað, sum mest verður givið gætur; vera tað, sum mesti dentur verður lagdur á =>мозгово́й3,тя́жесть1
центра́л	msøg.høvuðssfongsulс0осн(serliga ætlað politiskum fangum)
централиза́ция	fcentralisering {sentralisering} [sεn̊tʰɹaːliꞋseː-]ж0-ar, miðsavningж0-ar, miðsavnanж0-ir
централи́зм	mcentralisma {sentralisma}[sεn̊tʰɹaꞋlɪ-]жгл-a; демократи́ческий централи́змsøg.demokratisk [-Ꞌkʰɹaː-] centralisma {sentralisma}
централизова́ть	централизу́|ю, ~ешь, ~ютipf/pf что-л.centralisera {sentralisera} [sεn̊tʰɹaːliꞋseː-]aðio-t, miðsavnaaðio-t; stýrao-mfrá miðjuni (управлять)
Центра́льная А́зия	fMiðasia [-aːs-]с нескл., Centralasien [sεnꞋtʰɹaːlaːs-]ннкс0{дат.0},sbr.Сре́дняя А́зия
Центра́льная Аме́рика	fMiðamerikaс нескл.
Центральноафрика́нская Респу́блика	Miðafrikanska [-aːfɹikʰaː-] lýðveldiðнп, Miðafrikalýðveldið [-aːfɹi-]нп, Centralafrikanska [sεn̊Ꞌtʰɹaːlaːfɹikʰaː-] republikkin [-Ꞌplɪ-]ннк
центра́льный	stfцентра́лен, центра́льн|а, ~о, ~ыadj1.bert lf(находящийся в центре чего-л.) mið-, centralur {sentralur} [sεn̊Ꞌtʰɹaːl-]ннк; í miðbýnum (в центре города); центра́льные у́лицы vegirnir í miðbýnum; центра́льная не́рвная систе́ма centralnervasystem [sεn̊Ꞌtʰɹaːlnεrvasʏ-]ннкпроф., miðnervalagлпс0о{a/ø}{0<>i}спец.2.bert lf(главный) høvuðs-, megin-; центра́льные газе́ты høvuðsstaðarbløð; центра́льный комите́т aðalstjórn [-tn], centralkomité [sεn̊Ꞌtʰɹaːlkʰoːmitʰeː]ннк3.(основной) megin-, grund-; центра́льная мысль кни́ги meginhugsanin í bókini, tann grundleggjandi [kɹʊnl-] hugsanin í bókini@Центра́льная слу́жба разве́дки СССРFregnartænastan í Sovjetsamveldinum {seinniЦентра́льная слу́жба разве́дки Росси́иFregnartænasta Russlands}(1991-1996);sbr.КГБ, ФСБ =>банк1,ЕЦБ,отопле́ние2,ЦК,ЦПУ
Центризбирко́м	m síЦИКc)
центри́зм	mmiðflokkapolitikkurмсогл-ar, miðpolitikkurмсогл-ar, centrumspolitikkur {sentrums-} [sεn̊t-]мсогл-ar
центри́ровать	центри́ру|ю, ~ешь, ~ютipf/pf что-л.centrera {sentrera}[sεnꞋtʰɹeː-]aðio-tспец.; miðstilla [-tla]aðio-t; rættair(t)avo-t, avrættair(t)o-t(aksil) (вал)
центри́стский	adjmið-, miðflokka-
центрифу́га	msentrifuga {centri-} [sεn̊tʰɹiꞋfuːka]жгл-a
Центроба́нковский	adjMiðbanka- [miːpaŋ̊ka-] (viðv. russiska Miðbankanum)
центробе́жный	adjcentrifugalur {sentri-}[sεn̊tʰɹifuꞋkaːl-]ннксоглпроф., centrifugal- {sentrifugal-} [sεn̊tʰɹifuꞋkaːl-]ннкпроф.; miðflótta-лп; центробе́жная си́ла centrifugalkraft {sentri-}[sεn̊tʰɹifuꞋkaːl-]ннкпроф., miðflóttamátturлп; центробе́жный насо́с centrifugalpumpa {sentri-} [sεn̊tʰɹifuꞋkaːl-] =>иллюмина́тор
центрова́ть	центру́|ю, ~ешь, ~ютipf/pf что-л.1.(делать отверстие в торце) geraнепрhol í endanum á emni (innan tað verður sett fast í dreygibonk)2.síцентри́ровать
центро́вка	plurцентро́в|ки, ~ок, ~камfcentrering {sentr-}[sεn̊Ꞌtʰɹeː-]ж0-arспец.; miðstilling [-tl-]лпж0-ar; avrættingж0-arспец.(av aksli) (вала)
центрово́й	adjmið-, centrum- {sentrum-} [sεn̊tɹʊm-]ннк
центроло́ф	m: чёрный центроло́ф (Centrolophus niger) svartfiskur [svar̥f-]мсогл-ar
Центросою́з	mЦентра́льный сою́з потреби́тельских о́бществ СССРsøg.Meginfelagið hjá [tʃʰ-] teimum sovjetsku brúkarafeløgunum
центростреми́тельный	adjcentripetalur {sentri-} [sεn̊tʰɹipʰeꞋtʰaː-]ннксоглпроф., centripetal- {sentripetal-} [sεn̊tʰɹipʰeꞋtʰaːl-]ннкпроф., miðsøkinлпсоглосн; центростреми́тельная си́ла centripetalkraft {sentripetal-}[sεn̊tʰɹipʰeꞋtʰaːl-]ннкпроф., miðdráttarmátturлп
центурио́н	m søg.centurionur [kʰεn̊tʰuːɹiˈoː-]мсогл-ar
цеп	Genцеп|а́;plur~ы́, ~о́в, ~а́мmlandb.treskjaжгл-a(skaft við træpetti,ið er bundið í við reimum)
цепене́ть	ipf síоцепене́ть
це́пка	plurце́п|ки, ~ок, ~камfóvkm.síцепо́чка
це́пкий	stfце́пок, цепка́ogце́пка, це́пк|о, ~иadj1.(способный хвататься,цепляться) krøkinсоглосн(kleivin, klófastur); klófasturсогл{a/ø}, handasterkurсогл(с крепкими руками); це́пкий взглядfl.eitt eftiransið [εʰtː-] eygnabrá, eitt gáið eygnabrá2.(вязкий) seigurгл3.tlm.(упорный) tógvinсоглоснgv(неутомимый), áhaldandiглandi(настойчивый), stinnurсогл(стойкий,непоколебимый)
це́пкость	fbeinl.,fl.armastyrkiжгл-i, handastyrkiжгл-i(сила); seiggiсгл-i(упорство),sí eis.це́пкий
цепля́ть	ipf что-л.(чем-л.)tlm.krøkjair(t)o-t við o-m, krøkjair(t)o-t í o-t
цепля́ться	ipf1.за Acc(о колючках,платьях и т.п.) ver(ð)a fasturсогл{a/ø}í Дат, komaслнo-o-ofasturí Дат,hangaслнe-i-ifasturí Дат2.за Acc(хвататься) krøkjair(t)segí Вин; læsair(t)segí Вин; цепля́ться за жизнь krøkja seg í lívið3.к Dat(придираться)tlm.heingjair(d)segí Вин, krøkjair(t)segí Вин; цепля́ться к ка́ждому сло́ву heingja seg í hvørt orð
цепно́й	adj1.(кцепь) ketu-; цепна́я переда́ча ketudrevннкпроф.; цепно́й мост heingibrúgv2.: цепна́я соба́ка {цепно́й пёс} bundin hundur, tjóðraður hundur;fl.vakthundur =>реа́кция2,я́щик1
цепо́чка	plurцепо́ч|ки, ~ек, ~камf1.(маленькая,тонкая цепь) (tunn) ketaжгл-a; leinkjaжгл-a(til prýðis) (для украшения); цепо́чка для часо́в urketa; дверна́я {предохрани́тельная} цепо́чка sikkurheitsketaннк, trygdarketaнп2.(вереница,ряд) rekkjaжгл-a, røðж0-ir; идти́ цепо́чкой ganga í rekkju, ganga kropp á kropp; передава́тьчто-л.по цепо́чке rættao-tfrá manni til mann, lataслнæ-ó-ao-tganga frá manni til mann
цеппели́н	mzeppelinari [sεʰpːɪꞋliː-]мгл-ari
цепь	Prpо це́пи, в (на) цепи́,Genс це́пи, с цепи́;plurце́пи, цепе́й, цепя́мf1.(ряд металлический или др. звеньев) ketaжгл-a; tjóðurс0осн(для собак тж); велосипе́дная цепь súkkluketa; це́пи на колёсах kavaketur (авто); сажа́ть {привя́зывать} на цепь leinkjaaði, bindaслнa-u-u(við ketu); посади́ть соба́ку на цепь bindaслнa-u-uhund (við ketu), tjóðraaðihund (við ketu); рва́ться с це́пи skrykkjair(t)í ketuna; разомкну́ть цепь loysair(t)ketu2.plur(оковы) leinkjurжгл-aмн, fjøturс0оснмнвыс.. уст.(fl.выс., поэт.); в цепя́х ра́бства í trældómsins [tʰɹal-] fjøtrum; порва́ть це́пиbeinl.,fl.slítaслнei-i-ileinkjurnar3.(ряд) ketaжгл-a, røðж0-ir; цепь собы́тий ein keta av hendingum, ein røð av hendingum; цепь озёр ein keta av vøtnum; пищева́я цепь {цепь пита́ния} føðiketa4.: го́рная цепь fjallgarðurмсогл-ar{a/ø}5.el.(элементов) streymkreðsurмсогл-arпроф.6.herm.(стрелков и др.) linjaжгл-a, ketaжгл-a=>закова́ть1,замкну́ть1,звено́1,спусти́тьА 5,я́корный1
це́пью	advá rekkju, á røð
Це́рбер	mmyt.Kerberos [kʰεɹperɔs]м0-ar{0<>i}, Cerberus [sεɹperʊs]м0-ar{0<>i}
це́рбер	mbókl.vaktarmaðurмнепр, varðmaðurмнепр
церебра́льный	adj(мозговой) heila-; cerebralur [seːɹɪꞋpɹaː-]соглспец.
церемониа́л	malm.reglurжгл-aмнfyri ceremonii [seːɹɪmoꞋniːji]; ritual [-Ꞌaːl]с0о(;0-ir)(ритуал)
церемониа́льный	adjceremoni- {seremoni-}[seːɹɪmoꞋniː-]ннк, ceremoniellur {seremoniellur} [seːɹɪmoːniꞋεlː-]ннк; церемониа́льный марш paradumarsjur [-Ꞌraː-]; проходи́ть церемониа́льным ма́ршем ganga í paradu [-Ꞌraː-] (framvið)
церемониме́йстер	mgml.ceremonimeistari [seːɹɪmoꞋniː-]мгл-ariред.
церемо́ниться	церемо́н|юсь, ~ишься, ~ятсяipf1.pfцеремо́нитьсяпоцеремо́н|юсь, ~ишься, ~ятся(с Ins) (проявлять ислишнюю мягкость) vera ov [ɔ] lagaligurглigurvið Вин, gevaслнa-ó-iДатov [ɔ] nógv eftirlæti [εʰtː-], vera ov [oː] eftirlátligur [εʰtː-]глigurvið Вин; не церемо́ниться ikki leggjaнепрfingrarnar ímillum [-Ꞌmɪtl], ikki faraслнó-ó-afram við mýkindum2.(oftast við neg) (быть церемонным) vera formellur [-Ꞌmεlː]согл, vera svinnurсогл; smæðastir(d)(стесняться); не церемо́ньтесь! legg ikki í, ikki skalt tú smæðast!; ≈ einki meira roks!; прошу́ не церемо́нитьсятжføl teg sum heima
церемо́ния	f1.(празднование) hátíðarhaldс0о; ceremoni [seːɹɪmoꞋniː]ннкж0-ir;2.plurfl.(принуждённость) formalitetаr [fɔɹmaːliꞋtʰeː-]мсогл-s,-irмн; roksс0о, hóvastákс0о; без церемо́ний uttan nakað roks, uttan hóvasták
церемо́нный	stfцеремо́нен, церемо́нн|а, ~о, ~ыadj1.(торжественный) ceremoniellur [seːɹɪmoːniꞋεlː-]интсогл,formellur [-Ꞌmεlː-]согл, formligurглigur(формальный), stívurсогл(чопорный)2.(жеманный) tilgjørdurсогл
Цере́ра	fmyt.Ceres [seːɹεs]ж0-ar
це́рий	mcerium [seː-]с0o({0<>i})
церко́вник	mpresturмсогл-ar(священник);o-r, ið hevur kirkjuligt starv (um starvsfólk á lægri stigi)
церко́вноприхо́дский	adjsøg.sóknar-, kirkju-
церковнославя́нский	adjkirkjuslaviskur [-slaː-]соглsk; церковнославя́нский язы́к kirkjuslavisktсприлskt
церковнослужи́тель	m o-r, ið hevur kirkjuligt starv (um starvsfólk á lægri stigi)
церко́вный	adjkirkjuligur, kirkju-; церко́вный брак vígsla í kirkju; церко́вная слу́жба gudstænasta; церко́вное пра́во kirkjurættur@церко́вный собо́р(økumeniskur [-Ꞌmeː-]) kirkjufundurмсогл-ir;бе́ден как церко́вная кры́са {мы́шь}fátækur sum ein kirkjurotta, armur sum ein kirkjurotta
це́рковь	Gen, DatogPrpце́ркви, Insце́рковью;plurце́ркви, церкв|е́й, ~а́мf1.(организация) kirkjaжгл-a(felagsskapur); ру́сская правосла́вная це́рковь tann russiska ortodoksa [-Ꞌtɔ-] kirkjan2.(здание) kirkjaжгл-a(bygningur); ходи́ть в це́рковь ganga í kirkju
цесаре́вич	msøg.trónuarvingiмгл-i, krúnprinsurмсогл-ar(í Russlandi innan 1917)
цесаре́вна	fsøg.kona trónuarvingin (í Russlandi inntil 1917),síeis. цесаре́вич
цеса́рка	plurцеса́р|ки, ~ок, ~камf(Numida) perluhønaжгл-a
це́ссия	ftransportur [-Ꞌpʰɔ-]мсогл-ar(flyting av rættindum o. tíl.)
цеу́	indecl síцу
цех	Prpо це́хе, в це́хеogв цеху́;plurце́х|и, ~ов, ~амogцех|а́, ~о́в, ~а́мm1.(на заводе) deildж0-ir(á fabrikk); verkstað (тж[vεʂta])с0о{a/ø}{0<>i}, verkstaður (тж[vεʂtεa-])мсогл-ir{0<>i}(типа мастерской;ремонтный); механи́ческий цех mekaniskt [-Ꞌkʰaː-] verkstað; сбо́рочный цех montasjuhøll [mɔn̊Ꞌtʰaːʃʊhœtl]ж0-ir{ø/a}; лите́йный цех stoypihøll [-tl]ж0-ir{ø/a}, stoyparí [-Ꞌrʊi-]с0о{0<>i}2.søg.(организация) gildiсгл-iист.(yrkisfelagsskapur), yrkisfelagsskapurмсогл-ir
цехово́й	adj1.(кцех 1) deildar- (á fabrikk); verkstaðar- (тж[vεʂteː-])2.søg.(кцех 2) gildis-; felags-
цеховщи́на	fatf.fakligt [faː-] trongskygniсгл-i
цеце́	f indecl(Glossina): му́ха-цеце́ tsetsefluga [tsεʰtsɪ-]жгл-a
Цзюлу́н	mKowloon [kʰauꞋluːn]м0-ar{дат.0}
циа́н	mcyan [syꞋaːn]с0о({0<>i})
циа́нистый	adjcyan- [syꞋaːn-]; циа́нистый ка́лий cyankalium [syːanꞋkʰaːliʊm]с0o{0<>i}, kaliumcyanid [kʰaːliʊmsyːaniːt]с0о{0<>i}
циа́новый	adjcyan- [syꞋaːn-]; циа́новая кислота́ cyansyra [syꞋaːnsyː-]
ци́бик	msøg.kassi við upp til 2pud (síпуд)av te
цивилиза́тор	mmestspott.civilisatiónsberari [siːvɪliːsaꞋʃɔuː-]мгл-ari
цивилиза́торский	adjcivilisatoriskur [siːvɪliːsaꞋtʰoː-]интсогл
цивилизацио́нный	stfцивилизацио́н|ен, ~на, ~но, ~ныadjbókl. civilisatións- [siːvɪliːsaꞋʃɔuns-]инт, siðmenningar-нп
цивилиза́ция	fcivilisatión [siːvɪliːsaꞋʃɔun]интж0-ir, siðmenningнпж0-ar
цивилизо́ванность	ftað at vera civiliseraður [sivːɪlɪꞋseː-]инт
цивилизо́ванный	stfцивилизо́ван, ~на, ~но, ~ныadjciviliseraður [sivɪlɪꞋseː-]интглaður, siðmentaðurнпглaður
цивилизова́ть	цивилизу́|ю, ~ешь, ~ютipf/pf Acccivilisera [siːviːlɪꞋseː-]интaðiВин
циви́льный	adjgml.sivilur {civilur }[sɪꞋviː-]согл
цига́рка	plurцига́р|ки, ~ок, ~камftlm.ball [-tl]с0о
циге́йка	fseyðaskinnс0о(klipt,men ikki avlatið)
цигу́н	mqi gong [tʃʰiːˈkɔŋk]с0о{дат0}
цигу́н-...	qi gong [tʃʰiːˈkɔŋk-]
цигу́н-терапи́я	fqi gong terapi [tʃʰiːˈkɔŋk-]ж0-ir
циду́лка	plurциду́л|ки, ~ок, ~камf síциду́лька
циду́лька	plurциду́льки, циду́лек, цциду́лькамftlm.skemt.(pappírs)lepiмгл-i, (pappírs)pettiсгл-i
ЦИК	[цик]ma) Центра́льный Исполни́тельный Комите́т СССР (1922-1938)søg.Aðalstarvsnevndinжгл-irопр.í Sovjetsamveldinum; b)søg.центра́льный исполни́тельный комите́тsøg.aðalstarvsnevndжгл-ir; c) Центра́льная избира́тельная коми́ссия РФ Meginvalnevndin í Russiska Samveldinum
цика́да	f(сем. Cicadidae) cikada [siꞋkʰaː-]жгл-a
цикл	m1.(серия) cyklus {syklus} [sʏʰklʊs]ннкж0-ar;м0-ar{0<>i}проф., røðж0-ir; цикл стихо́в yrkingacyklusпроф.; цикл ле́кций fyrilestrarøð2.(совокупность процессов) cyklus {syklus}[sʏʰklʊs]ннкж0-ar;м0-ar{0<>i}проф.; umferðж0-ir(кругооборот)
цикла́мен	m(Cyclamen) alpuviólж0-ir, alpuviolннкж0-ir
циклева́ть	циклю́|ю, ~ешь, ~ютipf(pfотциклева́тьотциклю́|ю, ~ешь, ~ют)что-л.arbeiðair(d)o-tvið siiklingu
цикли́ческий	adj1.síцикли́чный2.(составляющий цикл) cykliskur {sykliskur} [sʏʰk-]согл; цикли́ческие музыка́льные фо́мы cykliskir musikkformar[-ˈsɪ-]3.kem.(имеющий кольцевое строение) cykliskur {sykliskur} [sʏʰk-]соглцикли́ческая аминокислота́ cyklisk aminosyra [aꞋmiːnosyː]ннкжгл-aпроф., cyklisk aminosýra [aꞋmiːno-]нпжгл-a
цикли́чный	stfцикли́ч|ен, ~на, ~но, ~ныadjcykliskur {sykliskur} [sʏʰk-]согл, sum gongur í ring
цикло́н	m1.(область низкого давления) lágtrýstс0о2.(вихрь,ураган) meldurhvirlaжгл-a, melduródnж0-ir; cyklon [sʏꞋkʰloːn]ннкж0-ir
цикло́п	mmyt.kyklopur [kʰʏꞋkʰloː-]мсогл-ar
циклопи́ческий	adjbókl.risastórurсогл, veldigurглigur, risa-
циклотро́н	mcyklotron [sʏʰkloꞋtʰɹoːn]ж0-ir
ци́кля	fsiiklinga [siːjɪ-]жгл-a,sikklingж0-ar
цико́рий	m(Cichorium) cikoria {sikoria}[siꞋkʰoː-]жгл-a
цику́та	f: цику́та ядови́тая (Cicuta virosa)planta av skjólurtaættini(en.water hemlock; da.gifttyde)
цили́ндр	m1.geom.(геометрическое тело) sylindari {cylindari } [syꞋlɪ-]мгл-ari2.tekn.(деталь,устройство) sylindari {cylindari } [syꞋlɪ-]мгл-ari; диа́метр цили́ндраbil.sylindaraboring [syꞋlɪ-]ж0-arспец.; объём цили́ндровbil.sylindaravolumin [syꞋlɪ-]спец.; голо́вка блока цили́ндровbil.toppstykkiсгл-iспец.3(шляпа) høgur hatturмсогл-ar, sylindarahattur [syꞋlɪ-]мсогл-ar
цилиндри́ческий	adjsylindriskur {cylindriskur} [syꞋlɪ-], sylindara- {cylindara-} [syꞋlɪ-]
цимбали́ст	m o-r, ið spælir á cymbаl [sʏmꞋpaːl],síцимба́лы
цимба́лы	f plurcymbal [sʏmꞋpaːl]ж0-ir
ци́мес	m slag av desert í jødiskari matgerð
цинга́	fskyrbjógс0о{o<>i}
цинера́рия	f(Cineraria)slekt av blomstrum av kurvablómuætini(en.cineraria; da.fnokurt)
цини́зм	mkynisma [kʰyꞋnɪ-]интжгл-a
ци́ник	mkynikari [kʰyː-]интмгл-ari
цини́ческий	adj síцини́чный
цини́чность	fkynisma [kʰyꞋnɪ-]интжгл-a
цини́чный	stfцини́ч|ен, ~на, ~но, ~ныadjkyniskur [kʰyː-]интсогл
цинк	msink {zink} [sɪŋ̊k]с0о
цинкова́ние	nforsinking {forzinking} [-Ꞌsɪ-]ж0-ar; galvanisering [-vaːniꞋseː-]ж0-ar(гальванизация)
цинкова́ть	цинку́|ю, ~ешь, ~ютipf(pfоцинкова́тьоцинку́|ю, ~ешь, ~ют)что-л.forsinka {forzinka} [-Ꞌsɪ-]aðio-t; galvanisera [-vaːniꞋseː-]aðio-t(гальванизировать)
ци́нковый	adjsink- {zink-} [sɪ-], úr sink(i) {zinki} [sɪ-]
цинкогра́фия	fzinkografi {sinkografi} [sɪŋ̊kokɹaꞋfiː]с0о, sinkprent {zinkprent}с0о
цино́вка	plurцино́в|ки, ~ок, ~камfmottaжгл-a(lítið teppi,serliga av strá o.tíl.)
цирк1	Imbeinl.,fl.(выступление акробатов и др.) sirkus {cirkus [sɪ-]}с0о
цирк2	IIm: леднико́вый циркjarðf.botnurмсогл-ar(dalur)
цирка́ч	Gen, Accциркач|а́;plur~и́, ~е́й, ~а́мmtlm.sirkusartistur {cirkusartistur [sɪ-]}мсогл-ar
цирково́й	adjsirkus- {cirkus- [sɪ-]}
цирко́ний	mzirkonium [sɪɹ̥Ꞌkʰoː-]с0o({0<>i})
циркули́ровать	циркули́ру|ю, ~ешь, ~ютipf1. (деньги, товары) veraсоглa-ó-eí umferð, veraсоглa-ó-eí umfar; rennaслнa-u-u(aftur [aʰtː-] og fram) (жидкость и др.); gangaслнe-i-i(слухи); cirkulera [sɪɹ̥kuꞋleː]ннкaði2.tlm.(ездить) koyrair(d)aftur [aʰtː-] og fram, gangaслнe-i-iaftur [aʰtː-] og fram (ходить), rennaслнa-u-uaftur [aʰtː-] og fram (бегать)3.skip.: циркули́ровать на я́коре svaja [svaija]aðiмор.
ци́ркуль	mpassariмгл-ari; но́жка ци́ркуля passarabein
ци́ркульный	adj1.(относящийся к циркулю) passara-2.(относящийся ка окружности) cirkul- {sirkul-}
циркуля́р	malm.rundskriv [rʊns-]с0о,cirkuleri [sɪɹ̥kuꞋleː-]ннксгл-iпроф.
