З	за́пад V, vestur
завери́тель	mvitniсгл-i(sum váttar undirskrift o.tíl.)
заве́рить	заве́р|ю, ~ишь, ~ятpf(ipfзаверя́ть)1.кого-л. в чём-л.(уверить) vissaaðio-n um o-t; торже́ственно заве́рить hátíðarliga vissa2.что-л.(удостоверить) váttaaði; нотариа́льно заве́ренный váttaður av notarius [-Ꞌtʰaː-], notarialváttaður [-tʰaːɹiꞋaːl-]; заве́ренная ко́пия váttað tvítakлпофиц., váttað kopi [-Ꞌpʰiː]
заве́рка	plurзаве́р|ки, ~ок, ~камfváttanж0-ir, staðfestingж0-ar
заверну́ть	заверн|у́, ~ёшь, ~у́тpf(ipfзавёртывать, завора́чивать)A 1.что-л. во что-л.(в бумагу и т.п.) pakkaaðio-t inn í o-t; balla [-tla]aðio-t inn í o-t(в бумагу;закутывать); заверну́ть кни́гу в бума́гу pakka bókina inn í pappír; заверну́ть ребёнка в одея́ло balla barnið [-tnɪ] inn í eitt teppi2.что-л.(загнуть) brettair(t)o-tupp, brótaслнey-u-oo-tupp; заверну́ть рукава́ bretta ermarnar upp; заверну́ть ю́бку bróta skjúrtið upp (um seg)3.что-л.(завинтить) spennair(t)o-t, skrúvaaðio-tfast (skrúvu,møtrik o.tíl); skrúvaaðio-tfyri (кран,рычаг и т.п.); заверну́ть винт skrúva skrúvuna fasta; заверну́ть кран skrúva kranan [kʰɹaː-] fyri4.что-л.óvkm.(сказать что-л. неожиданное) komaслнo-o-oviðo-m(siga o-t óvæntað)Bintr1.(свернуть) snaraaði, dreyaннкaði; svingaннкaði(на машине,велосипеде и т.п.); заверну́ть напра́во snara til høgru, dreyaннкtil høgru; svingaннкtil høgru2.tlm.(зайти,заехать) geraнепрeina rend, støkkaслнa-u-oinn á gólvið, hyggjaur(d){y/u}inn á gólvið; заверну́тьк кому-л. støkka inn á gólviðhjá[tʃʰ-]o-m, hyggja inn á gólviðhjá[tʃʰ-]o-m3.bert 3. pers brúkturóvkm.(наступить) byrjaaði, komaслнo-o-o(um tíð o.a.); заверну́ли моро́зы hann kom við øgiligum kulda
заверну́ться	заверн|у́сь, ~ёшься, ~у́тсяpf(ipfзавёртываться, завора́чиваться)1.(обернуть вокруг себя) balla [-tla]aðiseginn í o-t, ballao-t uttan umseg2.bert 3. pers brúktur(загнуться) verðaслнa-ó-obrotinсослоснupp, verðaслнa-ó-obretturсоглupp3.bert 3. perstlm.(закрыться) faraслнó-ó-afyri; кран заверну́лся kranin [kʰɹaː-] varð skrúvaður fast fyri
заверте́ть1	Iзаверчу́, заве́рт|ишь, ~ятpf чем-л.(начать вертеть) faraслнó-ó-aat snarao-m, begynna [-Ꞌtʃɪ-]ннкir(tat snarao-m, byrjaaðiat snarao-m; faraслнó-ó-aat vendao-m, begynna [-Ꞌtʃɪ-]ннкir(tat vendao-m, byrjaaðiat vendao-m,sbr.верте́ть
заверте́ть2	IIзаверчу́, заве́рт|ишь, ~ятpf кого-л.tlm.(захватить всецело) upptakaннкслнó-ó-io-n
заверте́ться1	Iзаверчу́сь, заве́рт|ишься, ~ятсяpf(начать вертеться) faraслнó-ó-aat mala, begynna [-Ꞌtʃɪ-]ннкir(t)at mala, byrjaaðiat mala; faraслнó-ó-aat snara, begynna [-Ꞌtʃɪ-]ннкir(t)at snara, byrjaaðiat snara; faraслнó-ó-aat dreyaннк, begynna [-Ꞌtʃɪ-]ннкir(t)at dreyaннк, byrjaaðiat dreyaннк,sbr.верте́ться
заверте́ться2	IIзаверчу́сь, заве́рт|ишься, ~ятсяpftlm.stákastaði, fjasastaði
завёртка	plurзавёрт|ки, ~ок, ~камfóvkm.innpakkingarpapírс0о
завёртывать	ipf síзаверну́ть
завёртываться	ipf síзаверну́ться
заверша́ть	ipf síзаверши́ть
заверша́ться	ipf síзаверши́ться
заверша́ющий	Ipartic avзаверша́тьIIadjavgerandiглandi(решающий), endaligurглigur
заверше́ние	nfullfíggjanж0-ir, útinningж0-ar(fullføring); endiмгл-i(конец);sbr.заверши́ть@в заверше́ниеtil endans
заверши́ть	заверш|у́, ~и́шь, ~я́тpf(ipfзаверша́ть)что-л.fullførair(d)o-t, fullfíggjaaðio-t, geraнепрo-tliðugt (доделать); endaaðio-t, lúkaслнey-u-oo-tкн.(закончить); заверши́тьчто-л.успе́хом {успе́шно} førao-tá enda við góðum úrsliti [ʏʂl-] (реже[ʉuɹs-]); заверши́ли конце́рт хоровы́м пе́нием konsertin [-Ꞌsε-] endaði við kórsangi [-saɲtʃɪ]
заверши́ться	заверш|и́тся, ~а́тсяpf(ipfзаверша́ться)pfendaaði, verða liðugurглugur; рабо́та заверши́лась arbeiðið er liðugt, arbeiðið er komið á enda
заверя́ть	ipf síзаве́рить
заве́са	f1.gml.(занавеска) forhangс0о2.(то,что скрывает что-л.) támс0о;заве́са туч skýtám; заве́са дождя́ regntám; сне́жная заве́са kavaskaddaжгл-a@приподня́ть заве́суvísair(t)o-t, avdúkaaðio-t, lyfta [lɪʰtːa] slørið (fyri o-m);огнева́я заве́саsíзагради́тельныйого́нь =>дымово́й
заве́сить	заве́шу, заве́с|ишь, ~ятpf(ipfзаве́шивать)что-л.heingjair(d){+}upp fyri o-t; heingjair(d){+}forhangupp fyri o-t(занавеску,портьеру); breiðair(d)út yvir o-t, leggjaнепрút yvir o-t; заве́сить окно́ heingja gardinur [-Ꞌtiː-] upp fyri vindeygað [vɪntajɪ] (ред.[vɪntεija]); заве́сить карти́ну dekkaннкaðieina mynd til (við o-m)
завести́	завед|у́, ~ёшь, ~у́т;pretзавёл, завел|а́, ~о́, ~и́pf(ipfзаводи́тьзавожу́, заво́д|ишь, ~ят)1.Acc(заставить прийти,войти) komaслнo-o-oviðДатinn (í), leiðair(d)Винinn (í) (ввести за руку,под уздцы и т.д.); førair(d)Винinn (í); она́ завела́ его́ в ко́мнату hon leiddi hann inn í kamarið; заче́м ты́ завёл меня́ сюда́? hví hevur tú tikið meg higar?; hví ert tú farin higar við mær?; завести́ маши́ну в гара́ж setaur(t);ir(t)bilin (inn) í garasjuna [-Ꞌraː-]2.что-л.(начать) byrjaaðiupp áo-t, begynna [-Ꞌtʃɪ-]ннкir(t)upp áo-t; завести́ дру́жбус кем-л.blívaслнei-i-ivinur viðo-n; завести́ де́ло (коммерческое) faraслнó-ó-aundir fyritøku; завести́ разгово́р {речь}о чём-л.(с кем-л.) beraслнa-ó-oo-tupp á mál (við o-n)3.что-л.(механизм и т.п.) startaaðio-t, setaur(t);ir(t)o-tí gongd (мотор); vindaслнa-u-uo-tí gongd (пусковой рукояткой); trekkjair(t)o-tupp (часы,игрушки); завести́ часы́ trekkja klokkuna upp; завести́ буди́льник на 6.30 setaur(t);ir(t)vekkaranннкtil kl. 6.304.что-л.(обзавестись;основать) fáaслнe-i-isærВин, skaffaннкaðisærВин; он завёл себе́ телеви́зор hann hevur fingið sær sjónvarp; завести́ ко́шку fáa sær kettu; завести́ друзе́й fáa vinfólk; завести́ теа́тр seta sjónleikarhús á stovn; го́род завёл библиоте́ку býurin hevur fingið bókasavn; завести́ хозя́йство seta búgv5.что-л.(установить) innførair(d)o-t, komaслнo-o-oviðo-m; завести́ мо́ду koma við nýggjum móta; завести́ поря́док fáa skil á; завести́ привы́чку+ inffáaслнe-i-især til vana at+ инф., fáaслнe-i-især fyri at+ инф.@завести́ глаза́óvkm.sitaслнa-ó-ivið himmalvendum eygum;как {сло́вно, то́чно} заведённый {заведённая маши́на}uttan slit, uttan íhald =>далеко́@,знако́мство1,разгово́р1,спор1
завести́сь	завед|у́сь, ~ёшься, ~у́тся;pret.завёл|ся, завел|а́сь, ~о́сь, ~и́сьpf(ipfзаводи́тьсязавожу́сь, заво́д|ишься,~ятся)1.bert 3. pers brúktur(появиться) komaслнo-o-ofram, vísair(t)seg; в подва́ле завели́сь мы́ши mýs eru komnar í kjallaran [-tl-]; у него́ завели́сь де́ньги hann hevur fingið pengar; у него́ завели́сь друзья́ hann hevur fingið vinfólk; завели́сь но́вые обы́чаи nýggir siðir komu fram2.bert 3. pers brúktur(прийти в движение) faraслнó-ó-aí gongd, startaaði; маши́на завела́сь сра́зу bilurin startaði beinanvegin3.óvkm.(прийти в возбуждённое состояние) øsair(t)seg upp
заве́т	nhátíð.boðс0о{0<>i}дистр, boðskapurмсогл-ir@Ве́тхий Заве́тGamla testamenti [kamlatʰε-]сгл-i;Но́вый Заве́тNýggja testamenti [nʊtʃːatʰε-]сгл-i=>ковче́г@
заве́тный	stfзаве́т|ен, ~на, ~но, ~ныadj1.(самый дорогой) hægstur [haʰkst-]согл, innasturсогл(ynskir o.a.); моя́ заве́тная мечта́ mín innastiпревосх.dreymur; заве́тная мысль instaпревосх.hugsan; заве́тное жела́ние hægstaпревосх.ynski2.lf(тайный) loyniligurгл-i, loyni-; та́йная дверь loynihurð3.bert lfgml.(оберегаемый) væl goymdurсогл, goymdurсоглsum reyðargull [-tl]пог., goymdurсоглsum eygnasteinurinпог.
заве́тренный1	Iadjle-мор., læ-кн.,sbr.подве́тренный
заве́тренный2	IIadj(подсохший на ветре) upptornaður [-tn-]глaður(av vindi)
заве́шать	pf(ipfзаве́шивать)что-л.tlm.heingjair(d){+}o-tupp (allastaðni), fylla [-tla]ir(t)o-t(veggir o.a. við o-m upphongdum); сте́ны бы́ли заве́шаны карти́нами veggirnir vóru avtaglaðir við myndum
заве́шивать1	Iipf síзаве́сить
заве́шивать2	IIipf síзаве́шать
завеща́ние	ntestamenti [-Ꞌmε-]сгл-i, arvabrævс0о{æ/ø}юр., arvaskjalс0о{a/ø}юр.; сде́лать {соста́вить} завеща́ние geraнепрtestamenti, skrivaaðitestamenti, setaur(t);ir(t)upp testamenti =>духо́вный@
завеща́тель	mtestator [-Ꞌtʰaːtoɹ]м0-tor, arvleiðariлпмгл-ari
завеща́тельница	ftestator [-Ꞌtʰaːtoɹ]м0-tor, arvleiðariлпмгл-ari(konufólk)
завеща́тельный	mtestamentariskur [-Ꞌtʰaː-]согл, samsvarandi arvaskjaliюр.; завеща́тельное распоряже́ние testamentariskur viljiмгл-i
завеща́ть	ipf/pf1.что кому-л.(по завещанию) testamentera [-Ꞌtʰeː-]aðio-m o-t, skrivaaðio-m o-t2.кому-л.,+ inf(поручить предсмертную волю) setaur(t); ir(t)tað síðsta ynskið fram, setaur(t); ir(t)tann síðsta viljan fram; он завеща́л похорони́ть его́ в Москве́ hansara síðsti vilji var at verða grivin í Moskva; он завеща́л им продолжа́ть де́ло hann heitti á teir um at halda fram við verkinum
завзя́тый	stfзавзя́т, ~а, ~о, ~ыadjtlm.íðinсоглоснð/d(eldhugaður) (с увлечением занимающийся чем-л.); inkarneraður [ɪŋ̊kaɹꞋneː-]ннкглaður, rótgrógvinсоглосн, ramurсогл{a/o}, yvirgivinсоглосн, um ein háls (закоренелый); rætturсогл{æ/ø}, ektaðurглaður(настоящий,истый); argurсогл{a/ø}, forherðaður [-Ꞌheː-]глaður, forgjørdur [-Ꞌtʃœ-]согл, herviligurглigur(неисправимый); forfallin [-Ꞌfatl-]соглосн{ll/l}, fallin [-tl-]соглосн{ll/l}(til o-t) (предающиися(чему-л.)); illa [ɪtla] kendurсогл, tiltikin [tʰɪl̥tʰ-]соглосн(illa kendur) (заведомый); ólekjandi [-Ꞌleː-]глandi, óbøtiligur [-Ꞌpøː-]глigur, ógrøðiligur [-Ꞌkɹøː-]глigur(неизлечимый); завзя́тый кури́льщик herviligur roykjari, forherðaður roykjari, inkarneraðurннкroykjari; завзя́тый моше́нник tiltikin svindlari [svɪnl-]энкнеодобр.; завзя́тый шахмати́ст íðin telvari, inkarneraðurннкtelvari
завива́ть	ipf síзави́ть
завива́ться	ipf síзави́ться
зави́вка	plurзави́в|ки, ~ок, ~камf1.(действие) permanent [-Ꞌnε-]с0o, permanenting [-Ꞌnε-]ж0-ar(gerð)2.(причёска) permanent [-Ꞌnε-]с0o, (permanent)krúllur [-Ꞌnε-]жгл-aмн; холо́дная зави́вка kaldpermanent; сде́лать себе́ зави́вку permanenta [-Ꞌnε-]aðisær, krúllaaðisær
зави́деть	зави́|жу, ~дишь, ~ятpf Acctlm.beraслнa-ó-oeyga viðВин
зави́дки	: зави́дки беру́ткого-л.óvkm.o-rer avundsjúkur [εavɪnʃ-]
зави́дно	Iadvøvundarvert; смотре́ть зави́дно, како́й у него́ аппети́т tað er øvundarvert at síggja, so góðan matarlyst hann hevur; eg blívi avundsjúkur [εavɪnʃ-] (inn á hann), tá eg síggi, hvussu góðan matarlyst hann hevurIIpredему́ зави́дно, что... hann er avundsjúkur [εavɪnʃ-] um, at...; мне зави́дно смотре́ть на него́ eg blívi avundsjúkur [εavɪnʃ-] inn á hann, tá eg síggi hann
зави́дный	stfзави́д|ен, ~на, ~но, ~ныadjøvundarverdurсогл(достойный зависти); praktfullur [-tl-]ннксогл, deiligurглigurнеформ., herligurглigurнеформ, hugtakandiглandiкн., bergtakandiглandкн.(восхитительный); ynskiligurглigur(желательный); ма́ло зави́дное положе́ние støða, sum ikki er at øvunda
зави́довать	зави́ду|ю, ~ешь, ~ютipf(pfпозавидоватьпозави́ду|ю, ~ешь, ~ют)Datveraслнa-ó-e{+}avundsjúkur [εavɪnʃ-] (inn)á Вин, øvundaaðiВин(Дат) (o-t). misunna [mɪsː-]ir(t);aðiДат o-t; я ему́ не зави́дую!eis.eg hevði [hεijɪ] ikki viljað verið í hansara stað!
завиду́щий	stfзави́дущ, ~а, ~е, ~иadjóvkm.: глаза́ завиду́щие grísk eygur, gromm eygur
завизжа́ть	[-виж:-]pffaraслнó-ó-aat hvína, begynna [-Ꞌtʃɪ-]ннкir(t)at hvína, byrjaaðiat hvína; skeraслнa-ó-oí eitt hvin
завизи́ровать	pf síвизи́роватьI
завиля́ть	ipf1.: завиля́ть хвосто́м faraслнó-ó-aat láta við halanum, begynna [-Ꞌtʃɪ-]ннкir(t)at láta við halanum, byrjaaðiat láta við halanum2.(начать лукавить) begynna [-Ꞌtʃɪ-]ннкir(t)at koma við undanførslum, byrjaaðiat koma við undanførslum; faraслнó-ó-aat tosa uttanum, begynna [-Ꞌtʃɪ-]ннкir(t)at tosa uttanum, byrjaaðiat tosa uttanum; faraслнó-ó-aat kákla [kʰɔakla]aðiред.,begynna [-Ꞌtʃɪ-]ннкir(t)at kákla [kʰɔakla]aðiред., byrjaaðiat kákla [kʰɔakla]aðiред.
завинти́ть	завин|чу́, ~ти́шь, ~тя́тogtlm.зави́нтишь, ~ятpf(ipfзави́нчивать)что-л.skrúvaaðio-tí, skrúvaaðio-tfast; spennair(t)(skrúvu,møtrik)
зави́нчивание	n: зави́нчивание га́ек spenningж0-ar(av møtrikum)
зави́нчивать	ipf síзавинти́ть
завира́льный	adjtlm.tápuligurглigur, høpisleysurсогл, fjákuturсогл
завира́ться	ipf síзавра́ться
завиру́шка	plurзавиру́ш|ки, ~ек, ~камf: лесна́я завиру́шка (Prunella modularis) jarntítlingur [jantʰ-]мсогл-ar
зависа́ние	nteld.tað at frysta (о программах и т.п.),срзави́снуть
зависа́ть	ipf síзави́снуть
зави́сеть	зави́|шу, ~сишь, ~сятpf от Genavhangaннкслнe-i-iav Дат, vera avhengigur [-Ꞌhε-]ннкглigurav Дат; dúvaaðiuppá[ʊꞋpʰɔa]Вин(основываться); valdastur(d){e/o}umВин, komaслнo-o-oann upp áннкВин(от обстоятельств и т.п.) ; э́то зави́сит от тебя́ tað stendur til tín, tað avhongurннкav tær; э́то зави́сит от него́ hetta veldst [vεl̥st] um hann, tað stendur til hansara, tað avhongurннкav honum; наско́лько э́то от меня́ зави́сит í tann mun hetta hongur á mær; мы сде́лали всё, что от нас зави́село vit gjørdu alt, vit kundu; vit gjørdu alt, vit vóru ment; цена́ това́ра зави́сит от его́ ка́чества prísurin á einari varu veldst [vεl̥st] um góðskuna [kœsk-], prísurin á einari varu avhongurннкav góðskuni [kœsk-], prísurin á einari varu kemur ann upp áннкgóðskuna [kœsk-]; она́ ни от кого́ не зави́сит hon er leys av øllum [œtl-] =>причи́на
зави́симость	f1.(связанность явлений) avhengigheit [-Ꞌhε-]ннкж0-ir(от Gen - av Дат); в зави́симости отчего-л.alt eftir [εʰtː-]o-m; зави́симость давле́ния от температу́ры sambandið millum [-tl-] trýst og hita, avhengigheitinннкmillum [-tl-] trýst og temperatur [tʰεm̊pɪɹaꞋtʰuːɹ]; быть {находи́ться} в зави́симостиот чего-л.vera avhengigur [-Ꞌhε-]ннкavo-m, vera bundin ato-m; поста́витьAccв зави́симостьот чего-л.geraнепрВинavhengigan [-Ꞌhε-]ннкav o-m2.(подчинённость другим) avhengigheit [-Ꞌhε-]ннкж0-ir, bundinskapurнпмсогл-ir(от Gen - av Дат), bundniнп(от Gen - av Дат); tað at vera bundin (от Gen - at Дат);быть {находи́ться} в зави́симостиот кого-л.vera avhengigur [-Ꞌhε-]ннкav o-m, vera bundinat o-m@в зави́симости от обстоя́тельствeftir [εʰtː-] umstøðunum, (alt eftir [εʰtː-]) hvussu umstøðurnar eru;в зави́симости от того́, кто ...alt eftir [εʰtː-] hvør =&gt; крепостно́й II
зави́симый	stfзави́сим, ~а, ~о, ~ыadj(от Gen)1.(находящийся в зависимости) avhengigur [-Ꞌhεŋki-]ннкглigur(av Дат); bundinсоглосн(at Дат); реше́ние, зави́симое от обстоя́тельств ein avgerð, sum avhongurннкav umstøðunum; ein avgerð, sum veldst [vεl̥st] um umstøðurnar2.(в подчинённом положении) sum er undir øðrum; ófrælsurсогл(несвободный); зави́симая страна́ tegnlandист.; зави́симое положе́ние avhengigheit [-Ꞌhεŋki-]ннк; быть в зави́симом положе́нииeis.ikki ráða sær sjálvum
зави́снуть	зави́сн|у, ~ешь, ~ут;pretзави́с, ~ла, ~ло, ~лиpf(ipfзависа́ть)teld.frystair(t)эвм
зави́стливо	advavundsjúkt [εavinʃ-], við avundsjúku [εavinʃ-]; зави́стливо смотре́тьна что-л.hyggja avundsjúkurat o-m
зави́стливый	stfзави́стлив, ~а, ~о, ~ыadjavundsjúkur [εavɪnʃ-]согл
зави́стник	[-ви́сн-]møvundarmaðurмнепр, avundsjúkur [εavɪnʃ-]соглmaðurмнепр
зави́стница	(-ви́сн-]f tlm.øvundkonaжгл-a, avundsjúk [εavɪnʃ-]соглkonaжгл-a
за́висть	f(к Dat - inn á Вин) avundsjúka [εavɪnʃ-]жгл-a, øvundsjúka [øːvɪnʃ-]жгл-a; øvundж0-ir; из за́висти сде́латьчто-л.gerao-tav avundsjúku; за́вистьк чему-л.avundsjúkainn á o-t; с за́вистью смотре́тьна что-л.hyggja avundsjúkur [εavɪnʃ-]at o-m@на за́вистьøvundarverdurсогл, sum er at øvunda;чёрная за́вистьringasta øvund, tann bera avundsjúka [εavɪnʃ-]
завито́й	adj1.(о волосах) permanentaður [-Ꞌnε-]глaður, krúllaðurглaður2.(закрученный) snúðraðurглaður, vundinсоглосн
завито́к	Genзавитк|а́;plur~и́, ~о́в, ~а́мm1.(волос) krúllaннкжгл-a, purlaжгл-a; в ме́лких завитка́х við smáum krúllumннк, við smáum purlum2.(нечто спиралеобразное) snúðurм0осн; krutlс0о(skrift) (почерк); krusidulla [-Ꞌtʊlːa]энкжгл-a(закорючка)3.plant.(у растений) hálvskúvur [hɔls-]мсогл-arбот., snyrilм0оснбот.4.arkit.(ос. в барочном стиле) vindingж0-ar
завиту́шка	plurзавиту́ш|ки, ~ек, ~камf dim avзавито́к
зави́ть	завь|ю́, ~ёшь, ~ю́т;pretзави́л, завила́, зави́ло, зави́лиpf(ipfзавива́ть)что-л.1.(волосы) ondulera [-Ꞌleː-]aðio-t(волнами); permanenta [-Ꞌnε-]aðio-t, krúllaaðio-t(кудрями)2.(проволочку и т.п.) snúðraaðio-t, vindaслнa-u-uo-t@зави́ть го́ре верёвочкойóvkm.,skemt.komaслнo-o-oꞋ fyri seg aftur [aʰtː-] (eftir sorg), leggjaнепрsorgina aftur [aʰtː-] um bak
зави́ться	завь|ю́сь, ~ёшься, ~ю́тся(ipfзавива́ться)1. (bert 3. pers. brúktur) krúllastaði2.(сделать себе завивку) permanenta [-ˈnε-]aðisær, krúllaaðisær3.(о пыле и др,) ringja segir(d)(um royk o.til.)
завихре́ние	n1.(вихрь) turbulensur [-Ꞌlε-]мсогл-ar(í løgi o.ø.)2.tlm.,skemt.(странность,путаница) fløkjaжгл-a, vavstur [vafs-]м0осн, bronglс0о(í hugsan o.a.); завихре́ние в голове́у кого-л.fløkja í høvdinum [hœtː-]á o-m; завихре́ние мозго́в heilavavstur
зави́хриться	зави́хр|ится, ~ятсяpfhvirlaaði(seg), malaслнó-ó-aí klingur
завихри́ться	завихр|и́тся, ~я́тсяpf síзави́хриться
завко́м	mзаводско́й комите́т профсою́зной организа́цииsovjet.fakfelagsnevnd [faː-] á verksmiðjuнп
завладева́ть	ipf síзавладе́ть
завладе́ть	pf(ipfзавладева́ть)Ins1.(присвоить) ognaaðisærВин, ognastaðiВин; leggjaнепрВинinn undir seg, dragaслнó-ó-iВинinn undir seg (самовольно); hertakaслнó-ó-iВин, takaслнó-ó-iВин(hertaka) (с помощью войск); leggjaнепрВинundir seg, takaслнó-ó-iВин(завоевать); kraddaaðiВинinn undir seg, krámaaðiВинinn undir seg (захватить, тж хитростью); takaслнó-ó-iplássiðhjá Дат(вытеснив, занять место)2.fl.(увлечь) upptakaслнó-ó-iВин, hugfangaaðiВинкн.; завладе́тьчьим-л.внима́нием fáaслнe-i-itakí o-n, fáaслнe-i-io-nat geva sær gætur; завладе́ть ума́ми ráðaur(d){á/æ}á sinnunum, valdaaðiyvir sinnunum
завлека́тельный	stfзавлека́телен, завлека́тельн|а, ~о, ~ыadjtlm.stuttligurглigur(забавный); áhugaverdurсогл, interessantur [ɪn̊tɪɹɪꞋsa-]ннксогл(интересный); lokkandiглandi, freistandiглandi(заманчивый)
завлека́ть	ipf síзавле́чь
завле́чь	завле|ку́, ~чёшь, ~ку́т;plurзавлёк, завлекл|а́, ~о́, ~и;imperзавлеки́pf(ipfзавлека́ть)Acc1.(заманить) lokkaaðiВин2.(соблазнить) lokkaaðiВин, freistaaðiВин; forføra [-Ꞌføː-]ir(d)Вин(увлечь) =>сеть@
завма́г	mзаве́дующий магази́ном stjóri [stj-]мгл-ifyri handli [hanlɪ]
заво́...	1.заво́юfut avзавы́ть2.заво́й, заво́йтеimper avзавы́ть
заво́д1	Im1.(промышленное предприятие) fabrikk [-Ꞌpɹɪʰkː]ннкж0-ir, verksmiðjaнпжгл-a; автомоби́льный заво́д bilfabrikkннк, bilverksmiðjaнп; заво́д по произво́дству ры́бного ко́рма {ры́бных кормо́в} fóðurvirkiсгл-i(ið ger fiskafóður)2.(предприятие для разведения животных) alistøðж0-ir(til húsdjór o.a.); ко́нный заво́д rossaalistøð; ры́бный заво́д alistøð (til fisk)@на заво́д {для заво́да}til at seta við, til viðseting (um djór)
заво́д2	IIm1.(действие) upptrekkingж0-ar(av klokku o.tíl.)2.(механизм) upptrekkс0о; (ur)fjøðurж0осн{ø/a}(пружина); fjaðramotorurмсогл-ar(у игрушки и др.); с заво́дом at trekkja upp, upptrektur; заво́д у часо́в ко́нчился klokkan er steðgað, fjøðurin er útrunnin@у нас э́тогов заво́де нетtlm.tað var ikki gamalt her, tað er ikki siður her
заводи́ла	m/ftlm.oddamaðurмнепр; íbirtariмгл-ari, íspinnariмгл-ari(зачинщик)
заводи́ть	ipf síзавести́
заводи́ться	ipf síзавести́сь
заво́дка	plurзаво́д|ки, ~ок, ~камfstarturмсогл-ar(tað at starta), tað at seta í gongd (motor o.a.); vindingж0-arí gongd (пусковой рукояткой),sbr.завести́ 3
заводно́й	adj1.(заводимый) upptrekturсогл; заводна́я игру́шка leikutoy [-tʰœi] (реже[-tʰɔi]) at trekkja upp2.(для завода) upptrekkingar-; заводно́й ключ lykil (at trekkja upp við); заводна́я пружи́на fjøður at trekkja upp; заводна́я рукоя́тка kast (at starta við)3.tlm.(живой) lívligurглigur, kvikurсогл
заводоуправле́ние	nfabriksleiðsla [-Ꞌpɹɪʰks]ннкжгл-a, verksmiðjuleiðslaнпжгл-a
заво́дский	adjfabriks- [-pɹɪʰks]ннк, verksmiðju-нп; заво́дский но́мер су́дна bygginummar (á skipi)
заводско́й	adj síзаво́дский
заво́дчик	mfabrikseigari [fapɹɪʰks-]ннкмгл-ari, verksmiðjueigariнпмгл-ari, fabrikantur [-Ꞌkʰa-]ннкмсогл-ar
за́водь	finnvikс0o, (lítil) víkж0-ir
завоева́ние	n1.(действие) hertøka [hε-]жгл-a, landtøka [lant-]жгл-a(территории); завоева́ние полити́ческой вла́сти tað at taka politiska valdið; завоева́ние ко́смоса tað at leggja rúmdina undir seg)2.fl.mest pluravrik [au-]с0о, tað, sum er vunnið; завоева́ния социали́змаsovjet.avrikini hjá sosialismuni [-Ꞌlɪ-], tað, sum er vunnið undir sosialismuni [-Ꞌlɪ-]3.(территория) (her)tikið [hε-] landс0о{a/o}
завоева́тель	mlandtakari [lant-]жгл-aкн.; завоева́тели ко́смосаfl.teir, sum hava lagt rúmdina undir seg
завоева́тельный	adj hertøku- [hε-]кн., landtøku- [lant-]кн.
завоева́ть	завою́|ю, ~ешь, ~ютpf(pfзавоёвывать)1.Acc(с помощью войск) leggjaнепрВин(inn) undir seg, takaслнó-ó-iВин(við hermegi), hertakaслнó-ó-iВин; завоева́ть страну́ (her)taka landið, leggjaнепрlandið undir seg2.что-л.(добиться) fáaслнe-i-io-t, vinnaслнa-u-uo-t, uppnáaннкнепрo-t;ipfstríðastir(d)fyrio-m, berjastir(d){e/a}{+}fyrio-m(бороться); завоева́ть незави́симость vinna sjálvstýri [ʃɔl̥s-]; завоева́ть большинство́ (в парла́менте) fáa meirilutan (í tinginum); завоева́ть золоту́ю меда́ль vinna gullheiðursmerki [-tl-] =>дове́рие
завоёвывать	ipf síзавоева́ть
заво́з	mlevering [-Ꞌveː-]ннкж0-arпроф., tilførslaжгл-a, (til)flutningurмсогл-ar,sí eis.завезти́(русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
завози́ть1	Iipf síзавезти́
завози́ть2	IIзавожу́, заво́з|ишь, ~ятpf что-л.óvkm.(испачкать) dálkaaðio-t
завози́ться	завожу́сь, заво́зи|шься, ~ятсяipf(начать возиться) faraслнó-ó-aat stákast, begynna [-Ꞌtʃɪ-]ннкir(t)at stákast, byrjaaðiat stákast; faraслнó-ó-aat roksast, begynna [-Ꞌtʃɪ-]ннкir(t)at roksast, byrjaaðiat roksast; faraслнó-ó-aat beistast; begynna [-Ꞌtʃɪ-]ннкir(t)at beistast, byrjaaðiat beistast; faraслнó-ó-aat gartera [-Ꞌtʰeː-], begynna [-Ꞌtʃɪ-]ннкir(t)at gartera [-Ꞌtʰeː-], byrjaaðiat gartera [-Ꞌtʰeː-] (шумно)
завола́кивать	ipf síзаволо́чь
завола́киваться	ipf síзаволо́чься
заво́лжский	adjhinumegin (ánna) Volga, handan (ánna) Volga (eystarumegin Volga)
заволнова́ться	заволну́|юсь, ~ешься, ~ютсяpf1.verða óróligur [-Ꞌrɔu-]глigur, verða nervøsur [-Ꞌvøː-]ннксогл(забеспокоиться); он заволнова́лся ófriður kom á hann; verðaслнa-ó-o(upp)østurсогл(прийти в возбуждение)2.(о море) øtlastaði, verða óslætturсогл{æ/ø}, verða rísinсоглосн, rísnaaði, verða drabbuturсогл,sí eis.волнова́ться
заволо́к...	1.заволоку́, завплоку́тfut avзаволо́чь2.заволоку́тсяfut avзаволо́чься3.заволо́кpret avзаволо́чь4.заволо́ксяpret avзаволо́чься
