о.	Iо́бластьIIо́стров
обтере́ться	оботр|у́сь, ~ёшься, ~у́тся;pretобтёрся, ~лась, ~лось, ~лисьpf(ipfобтира́ться)1.(обтереть себя;вытереться) turkaaðisær; обтере́ться полоте́нцем turka sær við einum handklæði [haŋ̊kla]2.(растереть тело) gníggjaaðisær (við vátum handklæði el. øðrum)3.tlm.(износиться) verða slitinсоглосн4.tlm.(приобрести опыт) verða royndurсогл
обтеса́ть	обтешу́, обте́ш|ешь, ~утpf(ipfобтёсывать)1.что-л.(обработать тесанием) høggaur(d)o-ttil (топором); telgjair(d){+}o-ttil (ножом)2.кого-л.tlm.(сделать культурнее) slípaaðio-ntilнеформ.(gera meira mentaðan o.a.)
обтеса́ться	обтешу́сь, обте́ш|ешься, ~утсяpf(ipfобтёсываться)tlm.verða avslípaðurглaðurнеформ.(meira mentaður), lærair(d)seg fólkaskikk (хорошему поведению)
обтёска	ftilhøggingж0-ar; telgingж0-ar
обтёсывать	ipf síобтеса́ть
обтёсываться	ipf síобтеса́ться
обте́чь	обтеку́, обтечёт, обтеку́т; pretобтёк, обтекл|а́, ~о́, ~и́pf(ipfобтека́ть)что-л.1.bert 3. pers brúktur(обогнуть,обойти) rennaслнa-u-uuttanꞋum o-t; река́ обтекла́ го́род áin rann uttan um býin2.fl.(обойти,объехать) faraслнó-ó-auttanꞋum o-t; koyrair(d)uttanꞋum o-t(на каким-л. транспорте); толпа́ обтекла́ автобу́с mannamúgvan fór uttan um bussin; та́нки обтекли́ око́пы tanksini [tʰaŋ̊ks-] koyrdu uttan um skotgravirnar, [tʰaŋ̊ks-] fóru uttan um skotgravirnar
обтира́ние	n1.(вытирание) avturkingж0-ar2.(растираниe) gníggingж0-ar
обтира́ть	ipf síобтере́ть
обтира́ться	ipf síобтере́ться
обточи́ть	обточу́, обто́ч|ишь, ~атpf(ipfобта́чивать)что-л.1.(сделать гладким) dreyaaðio-t(на токарном станке); slípaaðio-t(на точильном камне); fílaaðio-t(напильником)2.fl.(сгладить шероховатость) brýnair(d)o-tav; ка́мешки, обто́ченные водо́й smágrót, sum er avbrýnt av vatninum
обто́чка	plurобто́ч|ки, ~ек, ~камfdreyingж0-ar(á dreyibeinki)
обтрёпанный	adjslitinсоглосн(изношенный); flosnaðurглaður(край,подол и т.п.); klodduturсогл(об одежде); lurvuturсогл(о человеке)
обтрепа́ть	обтреплю́, обтре́пл|ешь, ~ютogtlm.обтреплю́, обтре́п|ешь, ~ятpf(ipfобтрёпывать)что-л.slítaслнei-i-io-t(upp)
обтрепа́ться	обтре́пле|тся, ~ютсяogtlm.обтре́п|ется, ~ятсяpf(ipfобтрёпываться) slítastслнei-i-io-t(upp); flosnaaði(по краям)
обтрёпывать	ipf síобтрепа́ть
обтя́гивать	ipf síобтяну́ть
обтя́жка	f1.(действие) betrekking [-Ꞌtʰrε-]ж0-ar2.(то,чем обтянуто) betrekk [-Ꞌtʰɹεʰkː]с0о; wrapping [raʰpː-]ж-ar(ос.вокруг поддонах) проф.@в обтя́жкуstrammurсогл, sum liggur tætt at, tættsitandiглandi(um klæðir)
обтяну́ть	обтяну́, обтя́н|ешь, ~утpf(ipfобтя́гивать)1.что-л.(покрыть чем-л.) betrekkja [-Ꞌtʰrε-]ir(t)o-t2.bert 3. pers. Acc(плотно охватить) sitaслнa-ó-istramtum Вин=>втугу́ю
обтя́пать	pf(ipfобтя́пывать)óvkm.1.что-л.(грубо,топорно обрубить) høggaur(d)o-tóvandaliga [-Ꞌva-] av2.что-л.(ловко устроить) orðnaaðio-tнеформ.3.кого-л.(обмануть) lumpaaðio-n, snýtair(t)o-n
обтя́пывать	ipf síобтя́пать
О́бу	m indecl søg. síТу́рку
обува́ть	ipf síобу́ть
обува́ться	ipf síобу́ться
обу́вка	fóvkm.skógvarмсогл-ar{+}мн, fóttoy [-tʰœi] (реже[-tʰɔi]])ннкс0о{0<>i}, fótbúniмгл-iкн.,офиц..fótbúnaðurмсогл-irкн.,офиц.
обувно́й	adj skó-, skótoys-kótoy[-tʰœis-] (реже[-tʰɔis-])ннк; обувно́й магази́н skóbúð, skósøla.sкóhandil, skógvahandil
обувщи́к	Gen, Accобувщика́; plurобувщик|и́, ~а́м, ~о́вmarbeiðariмгл-ariá skóvirki
о́бувь	fskógvarмсогл-ar{+}мн, skótoy [-tʰœi] (реже[-tʰɔi])ннкс0о{0<>i}, fóttoy (реже[-tʰɔi])ннкс0о{0<>i}, fótbúniмгл-iкн.,офиц.,fótbúnaðurм ммсогл-irкн., офиц.
обу́гливание	nkolanж0-ir
обу́гливать	ipf síобу́глить
обу́гливаться	ipf síобу́глиться
обу́глить	обу́гл|ю, ~ишь, ~ятpf(ipfобу́гливать)что-л.kolaaðio-t
обу́глиться	обу́гл|юсь, ~ишься, ~ятсяpf(ipfобу́гливаться)что-л.kolastaðio-t
обу́живать	ipf síобу́зить
обу́жу	1. pers fut avобу́зить
обу́за	fbyrðaжгл-a; быть обу́зойдля кого-л. verao-mein byrða, verao-mein kleppur; взвали́ть но́вую обу́зуна кого-л.leggja eina nýggja byrðuá o-n
обузда́ть	pf(ipfобу́здывать)1.кого-л.(надеть узду) leggjaнепрteymará o-n2.Accfl.(сдержать,укротить) temjaur(d){e/a}{+}Вин, spekjair(t)Вин, fáaслнe-i-itamarhald áДат
обу́здывать	ipf síобузда́ть
обу́зить	обу́жу, обу́з|ишь, ~ятpf (ipfобу́живать)что-л.geraнепрo-tov [ɔ] trongt
обурева́ть	bert 3. pers brúktur pf Acchátíð. yvirtakaслнó-ó-iВин, nívair(d)Вин, pínair(d)Вин, plága [pʰlɔava]aðiВин; он обурева́ем э́той мы́слью hann er yvirtikin av hesum tankunum [tʰaŋ̊k-]; обурева́ют сомне́ния ivin nívir
обуржуа́зиваться	ipf síобуржуа́зиться
обуржуа́зиться	1. pers ikki brúkturобуржа́з|ишься, ~ятсяpf(ipfобуржуа́зиваться) verða borgaraligurглigur
обусла́вливать	ipftlm.síобусло́вить
обусла́вливаться	ipftlm.síобусло́виться
обусло́вить	обусло́влю, обусло́в|ишь, ~ятpf(ipfобусло́вливать ogtlm.обусла́вливать)1.(ограничить каким-л. условием) setaur(t);ir(t)o-tsum treyt; skilaaðitil o-t(в договоре и т.п.); обусло́вить себе́ treytaaðisær2.bert 3. pers brúktur(вызвать) veraслнa-ó-eatvoldtil o-t, elvair(d){+}o-t
обусло́виться	обусло́влюсь, обусло́в|ишься, ~ятсяpf(ipfобусло́вливаться ogtlm.обусла́вливаться)чем-л.verða elvdurсоглav o-m
обусло́вленность	fbókl.treytanж0-ir(fyri atvold o.ø.), sambandс0о{a/o}millum [-tl-] atvold og fylgju
обусло́вливать	ipf síобусло́вить
обусло́вливаться	ipf síобусло́виться
обу́ть	pf(ipfобува́ть)1.Acc(надеть обувь на кого-л.,что-л.) faraслнó-ó-aí skógvar, lataслнæ-ó-ao-ní skógvar; skøðair(d)o-nуст., шутл.; обу́ть ребёнка lata eitt barn [-tn] í skógvar; обу́ть сапоги́ fara í stivlar2.кого-л.tlm.(снабдить обувью) geraнепрo-nút við skóm, skøðair(d)o-nуст.3.кого-л.óvkm.(обмануть) lumpaaðio-n, snýtair(t)o-n; stjala [stjεa-] (реже[ʃεa-])слнó-ó-ofrá o-m(обобрать)
обу́ться	pf(ipfобува́ться)1.(надеть себе на ноги обувь) faraслнó-ó-aí skógvar, lataслнæ-ó-aseg í skógvar; skøðair(d)segуст., шутл.2.tlm.(снабдиться обувью) geraнепрseg út við skóm, skøðair(d)segуст.
о́бух	m1.(часть топора) øksarhamarм0осн-s,-ar2.skip.(ушко) eygaсгл-a@как о́бухом по голове́tlm.púra óvart =>плеть@
обу́х	Genобух|а́;plur~и́, ~о́в, ~а́мm síо́бух
обуча́ть	ipfобучи́ть
обуча́ться	ipf1.síобучи́ться2.(получать образование где-л.) gangaнепр(onkustaðni) (fáa undirvísing); обуча́ться в шко́ле ganga í skúla; де́вушки и ма́льчики обуча́ются вме́сте ≈ gentur og dreingir ganga í sama klassa
обуче́ние	n чему-л. undirvísingж0-arí o-m; frálæraнпжгл-aí o-m; обуче́ние чте́нию tað at læra at lesa, undirvísing í lesing; обуче́ние в шко́ле skúlagongdж0-ir=>дистанцио́нный,обяза́тельный 1,совме́стный
обучи́ть	обучу́, обу́ч|ишь, ~атpf(ipfобуча́ть)кого-л. чему-л.lærair(d)o-n o-t; обучи́ть дете́й писа́ть læra børnini [-tn-] at skriva; обучи́тького-л.пла́ванию lærao-nat svimja
обучи́ться	обучу́сь, обу́ч|ишься, ~атсяpf(ipfобуча́ться) (у кого-л.)чему-л.lærair(d)o-t; обучи́ться фаре́рскому языку́ læra føroyskt [føːɹɪst]; обучи́ться пла́ванию læra at svimja
обушо́к	Genобушка́; plurобушк|и́, ~о́в, ~а́мm dim tilо́бух
обуя́ть	bert 3. pers brúktur ipf Accbókl.takaслнó-ó-iВин, grípaслнei-i-iВин; его́ обуя́л у́жас hann varð ræðslusligin; он обуя́н зло́бой hann er so dansiterandi [-Ꞌtʰeː-]неформ.argur
обха́живать	ipf кого-л.tlm.fjeppastаði;ir(t)uppi Ꞌ ío-m, veraслнa-ó-eo-mtil vildar
обха́ивать	ipf síобха́ять
обхами́ть	обхамлю́, обхам|и́шь, ~я́тpf Accóvkm.brúkaar(t)segmóti o-m, vera ljóturсоглí munninummóti o-m
обха́ркать	pf(ipfобха́ркивать)Accóvkm.,óf.dálkaaðiВинút við spýtti
обха́ркивать	ipf síобха́ркать
обха́ять	pf(ipfобха́ивать)óvkm.síоха́ять
обхва́т	mummálс0о(sum kann fevnast um); де́рево три ме́тра в обхва́те eitt træ, sum er tríggjar metrar til ummáls; де́рево в три обхва́та eitt træ, sum tríggir mans mugu til fyri at fáa um
обхвати́ть	обхвачу́, обхва́т|ишь, ~ятpf(ipfобхва́тывать)Acctakaслнó-ó-ium Вин, takaслнó-ó-itvørtur um Вин(обнять), fevnair(d)Винкн.
обхва́тывать	ipf síобхвати́ть
обхитри́ть	обхитр|ю́, ~и́шь, ~я́тpf кого-л.tlm.lumpaaðio-n, dragaслнó-ó-io-nupp á tráðидиом.(við at vera snildari,meira snúin)
обхо́д	m1.(для проверки,осмотра и т.п.) rundaжгл-a2.(кружной путь) umvegurмсогл-ir{+}3.herm.(военный манёвр) manøvra [-Ꞌnœ-]жгл-auttanum; дви́нуть полк в обхо́д faraслнó-ó-auttanum við regimentinum4.(врача) stovugongdж0-ir; де́лать {соверша́ть} обхо́д gangaслнe-i-istovugongd5.: обхо́д зако́на tað at fara uttan um lógina@в обхо́дuttanum, ein umveg; пошло́ не пря́мо, а в обхо́д vit gingu ikki beina leið, men fóru ein umveg;в обхо́дa)чего-л.(обходя стороной) uttan umo-t; идти́ в обхо́д о́зера fara uttan um vatnið; b)Gen(уклоняясь от выполнения) við at fara uttan umВин; в обхо́д зако́на við at fara uttan um lógina
обходи́тельность	ftað at vera fyrikomandi, tað at vera fryntligur
обходи́тельный	stfобходи́телен, обходи́тельн|а, ~о, ~ыadjfyrikomandiглandi, fryntligurглigur; blídligurглigur(приветливый)
обходи́ть1	Iipf síобойти́
обходи́ть2	IIобхожу́, обхо́д|ишь, ~ятpftlm.(исходить)что-л.gangaслнe-i-ium alt, gangaслнe-i-igjøgnum alt; обходи́ть весь го́род ganga um allan [atl-] býin
обходи́ться	ipf síобойти́сь
обходно́й	adj síобхо́дный@обходно́й лист {листо́к}slag av kvittan, tá onkur fer av einum arbeiðsplássi o.a., fyri, at hann einki skyldar, hevur latið allar bøkur inn o.a.
обхо́дный	adj1.: обхо́дный путь umvegur, krókvegur2.herm.:обхо́дный манёвр manøvra [-Ꞌnœ-] uttanum
обхо́дчик	mumsjónarmaðurмнепр
обхожде́ние	ntlm.medferðж0-ir; viðferð [vɪf-]ж0-ir(обращение)
обхохота́ться	обхохочу́сь, обхохо́ч|ешься, ~утсяpfóvkm.grínaслнei-i-ií kíki; grínaслнei-i-i, sum ein skuldi skrædnað; sitaслнa-ó-ií skellilátri [-tl-]
ОБХСС	[о-бэ́-ха-эс-э́с]n indeclsovjet.отде́л борьбы́ с хище́ниями социалисти́ческой со́бственности и спекуля́цией deildin fyri bardaga móti stuldur av sosialistiskari [-Ꞌlɪ-] ogn og spekulatión [-Ꞌʃɔun] (í Sovjettsamveldinum myndugleiki,ið fekst við kanning av búskaparligum brotsgerðum)
обче́сться	обочт|у́сь, ~ёшься, ~у́тся;pretобчёлся, обочл|а́сь, ~о́сь, ~и́сьpftlm.teljаслнur(d){e/a}{+}skeivt@раз-два и обчёлся≈ tað kann teljast á einari hond
обчи́стить	обчи́щу, обчи́ст|ишь, ~ятpf(ipfобчища́ть)1.Acc(очистить с поверхности,с краёв) reinsaaðiВин, bustaaðiВин(щёткой)2.Accóvkm.(обокрасть) stjala [stjεa-]слнó-ó-ofrá Дат3.кого-л.óvkm. (обыграть) vinnaслнa-u-uá o-m(í kortspæli o.ø.)
обчи́ститься	обчи́щусь, обчи́ст|ишься, ~ятсяpf(ipfобчища́ться)tlm.bustaaðiseg
обчища́ть	ipf síобчи́стить
обчища́ться	ipf síобчи́ститься
обша́ривать	ipf síобша́рить
обша́рить	обша́р|ю, ~ишь, ~ятpf(ipfобша́ривать)что-л.tlm.grópaaðio-tígjøgnum, rannvæla [-Ꞌvεa-]aði; обша́ритького-л. тжkropskannaaðio-n
обша́ркать	pf(ipfобша́ркивать)что-л. óvkm. slítaслнei-i-io-t (upp); traðka [tʰɹaʰkːa]aðio-tupp, beklaaðio-t(об обуви)
обша́ркивать	ipf síобша́ркать
обша́рпанный	adjóvkm.slitinсоглосн, uppslitinсоглосн, illa [ɪtla] farinсоглосн
обша́рпать	pf(ipfобша́рпывать)что-л.óvkm.slítaслнei-i-io-t(upp), faraслнó-ó-ailla [ɪtla]við o-m; dálkaaðio-t(загрязнить)
обша́рпаться	pf(ipfобша́рпываться)bert 3. pers brúkturóvkm.verða slitinсоглосн(upp), faraслнó-ó-ailla [ɪtla]; verða (illa [ɪtla]) dálkaðurглaður(загрязниться)
обша́рпывать	ipf síобша́рпать
обша́рпываться	ipf síобша́рпаться
обшива́ть	ipf síобши́ть
обши́вка	plurобши́в|ки, ~ок, ~камf1.(пришивание по краю) kantingж0-ar, garnering [-Ꞌneː-]ж0-ar2.tekn.,skip.(поверхностное покрытие) klædningurмсогл-ar; garneringж0-ar(ос. внутренняя,деревянная)
обши́рность	fstøddж0-ir, víddж0-ir, tað vera umfatandi
обши́рный	stfобши́р|ен, ~на, ~но, ~ныadj1.(занимающий большое пространство) stórurсогл{+}(víðfevndur,víðlendur); víðurгл, víðlendurсогл; rúmligur [rʏm-]глigur, rúmsáttur [rʏm-]согл(просторный,о помещениях и т.п.)2.fl.(большой по объёму,количеству и др.) umfatandiглandi, víðfevndur [vʊi̯f-]согл; stórurсогл{+}; nógvurнепр; обши́рные зна́ния umfatandi vitan; у неё обши́рный круг знако́мств {обши́рные знако́мства} hon kennir nógv fólk; обши́рные пла́ны stórar ætlanir, umfatandi ætlanir
обши́ть	обошь|ю́, ~ёшь, ~ю́т;imperобше́й, обше́йтеpf(ipfобшива́ть)1.что-л. чем-л.(пришить по краю) kantaaðio-t við o-m, garnera [-Ꞌneː-]aðio-t við o-m2.что-л. чем-л.(зашить что-л. во что-л.) seymaaðio-t inn í o-t; обши́ть посы́лку холсто́м seyma ein pakka inn í lørift [løːɹɪʰt]3.что-л. чем-л.tekn.,skip.(покрыть) klæðair(d)o-t við o-m; garnera [-Ꞌneː-]aðio-t við o-m(ос. внутренней,деревянной)4.кого-л.tlm.(сделать одежду) seymaaðiupp á[ʊꞋpʰoː]o-n, seymaaðiklæðirtil o-n; она́ обшива́ет всю семью́ hon seymar upp á alla [atla] familjunа [-Ꞌmɪ-], hon seymar klæðir til alla [atla] familjuna [-Ꞌmɪ-]
обшла́г	Genобшлаг|а́;plur~а́, ~о́в, ~а́мmuppslagс0о{a/ø}{0<>i}(á ermu)
обшмона́ть	pf síшмона́ть
обшмы́гать	pf(ipfобшмы́гивать)что-л.óvkm.slítaслнei-i-io-t(upp), faraслнó-ó-ailla [ɪtla]við o-m; dálkaaðio-t(загрязнить)
обшмы́гаться	pf(ipfобшмы́гиваться)bert 3. pers brúkturóvkm.verða slitinсоглосн(upp), faraслнó-ó-ailla [ɪtla]; verða (illa [ɪtla]) dálkaðurглaður(загрязниться)
обшмы́гивать	ipf síобшмы́гать
обшмы́гиваться	ipf síобшмы́гаться
обшто́пать	pf(ipfобшто́пывать)кого-л.1.tlm.(заштопать всю одежду и т.п.) stoppaaðialttil o-n2.óvkm.(обмануть) lumpaaðio-n, snýtair(t)o-n
обшто́пывать	ipf síобшто́пать
обща́га	fóvkm.kollegium [-Ꞌleːkiʊm]ннкс0-um; studentagarður [-Ꞌtε-]мсогл-ar{a/ø}кн.(для учащихся высших учебных заведений); lærlingaheimс0о(для учеников технических училищ и др.)
обща́к	Genобщак|а́;plur~и́,~о́в, ~а́мm1.krim., jarg.(общая касса) felags kassiмгл-i(hjá tjóvum)2.ungdómsslang(вещи, одежда и т.п.) felags klæðirсгл-iмн o.a.3.krim., jarg.(колония) revsilega [-leːva]жгл-а, straffileirurннкмсогл-ar(við somu reglum fyri øll)
обща́ться	ipf с кем-л.umgangastслнe-i-io-n
обще...	fyrri partur av samans við týdninginumsum er fyri øll [œtl], felags-
общевойсково́й	adjfelagsнескл.fyri allan [atlan] herin
общегородско́й	adjbýar-, sum er fyri allan [atlan] býin
общегосуда́рственный	adjríkis-, sum er galdandi fyri alt ríkið; lands-, hjá [tʃʰ-] øllum [-tl-] landinum
общедосту́пность	f1.(кобщедосту́пный 1) rímiligheitж0-ir, sámuligheitж0-ir2.(кобщедосту́пный 2) tað at vera lættskiljandi3.(кобщедосту́пный 3) atgongdж0-irfyri øll [œtl]
общедосту́пный	stfобщедосту́п|ен, ~на, ~но, ~ныadj1. (в денежном отношении) rímiligurглigur(um prís), sámuligurглigur(um prís), sum øll [œtl] hava ráð til2.(понятный) lættskiljandiглandi(hjá [tʃʰ-] øllum [œtl-])3.(открытый для всех) sum øll [œtl] hava atgongd til
общеевропе́йский	adj felagsevropeiskur [-pʰeːɪ-] {felagseuropeiskur [-œuɹopʰeːɪ-]}соглsk
общежите́йский	adjgerandis-, gerandisligurглigur
общежи́тие	n1.(жильё) kollegium [-Ꞌleːkiʊm]ннкс0-um; studentagarður [-Ꞌtε-]мсогл-ar{a/ø}кн.(для учащихся высших учебных заведений); lærlingaheimс0о(для учеников технических училищ и др.)2.bert sing(общественный быт) samfelagslívс0о; gerandislívс0о(обиход); lívsmátiмгл-i(образ жизни); samlagс0о{a/ø}{0<>i}(связи и др.); в общежи́тии он челове́к лёгкий hann er lættur at hava við at gera, hann er lættur at fáast við; слова́, кото́рые мы употребляем в общежи́тии orð, sum vit brúka í gerandislívinum
общеизве́стно	[-сн-]predtað er væl kent
общеизве́стный	[-сн-]stfобщеизве́ст|ен, ~на, ~но, ~ныadjvæl kendurсогл
общекавка́зский	adjfelagskaukasiskur {felagskavkasiskur} [-kʰaukʰaː-]соглsk
общёлкать	pf кого-л.tlm.vinnaслнa-u-uá o-m(í spæli)
общенаро́дный	stfобщенаро́д|ен, ~на, ~но, ~ныadj(sum er) fyri alt fólkið
общенациона́льный	stfобщенациона́лен, пбщенациона́льн|а, ~о, ~ыadjtjóð-, tjóðar- (fyri alla tjóðina)
обще́ние	nsamveraжгл-a, samskiftiсгл-i, umgangurмсогл-s,-ir(взаимные сношения); sambandс0о{a/o}(связь); име́ть обще́ниес кем-л.umgangastслнe-i-io-n; ли́чное обще́ние persónligt [-Ꞌsɔu-] samband =>евхаристи́ческий
общеобразова́тельный	adjalment dannandiглandi; общеобразова́тельная шко́ла alment dannandi skúli; общеобразова́тельные предме́ты alment dannandi lærugrein
общеобяза́тельный	stfобщеобяза́телен, общеобяза́тельн|а, ~о, ~ыadjkravdurсоглfyri øll [œt], obligatoriskur [-liːkaꞋtʰoː-]ннксоглskfyri øll [œt], tvunginннксоглоснfyri øll [œt]
общепи́т	malm.обще́ственное пита́ние =>пита́ние@
общеполе́зный	stfобщеполе́з|ен, ~на, ~но, ~ныadjsamfelagsgagnligurглigur, almannagagnligurглigur
общепоня́тный	stfобщепоня́т|ен, ~на, ~но, ~ныadjskiljandi [-Ꞌʃɪ-]глandifyri øll [œtl], forstáiligur [-Ꞌstɔajɪ-]ннкглigurfyri øll [œtl]
общепри́знанный	общепри́знан, ~а, ~о, ~ыadjalment viðurkendurсогл, viðurkendurсоглav øllum [œtl-]
общепри́нятый	stfобщепри́нят, ~а, ~о, ~ыadjvanliga hildinсоглосн; vanligurглigur; общепри́нятое мне́ние tann vanliga uppfatanin
общераспространённый	adjútbreiddurсогл(vanligur)
общесою́зный	adjsovjet.samveldis- (í Sovjettsamveldinum), alsovjettiskurсоглsk, sum fevnir um alt Sovjettsamveldið [-Ꞌjεʰtː]; landsumfatandi [lan̊s-]глandi(í Sovjettsamveldinum)
О́бществаострова́	Felagsoyggjarnarопр.
обще́ственник	m o-r, sum tekur aktivt lut í samfelagslívi
обще́ственно-полити́ческий	adjsamfelagspolitiskurсоглsk
обще́ственность	f koll1.(часть общества) almenningurмсогл-ar; almenniсгл-i(среда для участии в общественной жизни); нау́чная обще́ственность ≈ vísindamennмнепрмн, vísindiniсгл-iмн опр.; писа́тельская обще́ственность ≈ tey skrivandi2.(общественные организации) felagsskapirмсогл-irмн(mentunarligir,fakfeløg o.a.)
обще́ственный	n1.(ко́бщество) samfelags-; samfelagsligur; обществе́нный строй samfelagsskipan2.(связанный с обслуживанием нужд коллектива) almennurсогл; kollektivurсогл(о транспорте и т.п.); обще́ственный тра́нспорт kollektiv ferðsla; обще́ственные организа́ции sjálvbodnir [ʃɔlp-] felagsskapir;тжikki-stjórnarfelagsskapir [-tn-]офиц., ikki-stjórnarligir [-tn-]офиц.; NGO-ir [εnː keː ˈoːjɪɹ]ж0-irмн, NGO-felagsskapir [εnː keː ˈoː]; обще́ственная рабо́та sjálvboðið [ʃɔlp-] arbeiði3.(принадлежащий обществу) almennurсогл; обще́ственные зда́ния almennir bygningar4.tlm.(любящий общество) selskapiligur [-Ꞌskεa-]ннкглigur=>бла́гоI 1,де́ятельность1,жизнь4,мне́ние,нау́ка1,нача́лоB 2,обвини́тель3
о́бщество	n1.(совокупность людей) samfelagс0о{a/ø}{0<>i}2.(объединение) felagс0о{a/ø}{0<>i}; felagsskapurмсогл-ir; спорти́вное о́бщество ítróttarfelag [-tɹɔʰtː-]; о́бщество охра́ны приро́ды náttúruverndarfelag3.(круг людей,окружение) (samfelags)bólkurмсогл-ar; дворя́нское о́бщество aðalsfólk; образо́ванное о́бщество mentafólk4.(компания) samveraжгл-a, selskapннкс0о; kompaní [-Ꞌnʊi]с0о{0<>i}неформ.; samlagс0о{a/ø}{0<>i}кн.(общение); в о́бществекого-л.samanvið o-m; в о́бществе друзе́й saman við vinum, millum [-tl-] vinfólk [vɪn̊-], í selskapннкvið vinum; в о́бществе (úti) millum [-tl-] fólk (на людях) ; всем о́бществом øll [œtl] somul, alt kompaníiðнеформ.; да́мское о́бщество damuselskap [taː-]ннк5.búsk. (коммерческая компания) felagс0о{a/ø}{0<>i}(firma); акционе́рное о́бщество partafelag; парохо́дное {судохо́дное} о́бщество skipafelag =>вы́сший@,классификацио́нный,крест@,сли́вки2
обществове́д	mlærariмгл-arií samfelagslæru (учитель); samfelagsfrøðingurмсогл-ar(специалист по обществоведению)
обществове́дение	nsamfelagsfrøðiжгл-i
обществове́дческий	adjsamfelagsfrøði-, samfelagsfrøðiligurглigur
общеупотреби́тельный	stfобщеупотреби́телен, общеупотреби́тельн|а, ~о, ~ыadjvanliga brúkturсогл; algongdurсоглкн.
общеустано́вленный	adjfasturсогл~a/ø}, alment galdandiглandi, ásetturсогл
общечелове́ческий	adjalment menniskjaligurглigur
о́бщий	stfобщ, обща́, о́бщеogобщо́(sí3, 6), о́бщиogобщи́(sí3, 6)adj1.bert lf(свойственный всем) felagsнескл.; almindiligur [-Ꞌmɪ-]ннкглigur, vanligurглigur, generellur [keːnɪꞋrεlː-]ннксогл; о́бщее де́ло felags mál; о́бщий язы́к felags mál; о́бщее пра́вило a) ein vanlig regla; b) (распространяющееся на всех) ein regla, ið er galdandi fyri øll [œtl]; о́бщее мне́ние tann vanliga uppfatanin; о́бщее собра́ние aðalfundur2.bert lf(производимый,используемый совместно) felagsнескл.; о́бщие уси́лия felags stríð; у них о́бщие кни́ги tey hava bøkurnar saman, tey hava bøkurnar í felag; у них всё о́бщее tey hava alt í felag, tey hava alt saman; о́бщий друг felags vinur; о́бщее владе́ние felagsogn3.(stfо́бще, о́бщи)(взаимный,совпадающий) felagsнескл.; о́бщие интере́сы felags áhugamál; у них мно́го о́бщего tey hava nógv í felag4.bert lf(целый,весь) samlaðurглaður; о́бщий ито́г tað samlaða úrslitið [ʏʂ-]; о́бщим тиражо́м в 10 000 экземпля́ров í einum samlaðum upplag upp á 10 0005.bert lf(касающийся основ чего-л.) almennurсогл, generellur [keːnɪꞋrεlː-]ннксогл; о́бщие вопро́сы almennir spurningar, generellirннкspurningar6.(stfобщо́, о́бщиogобщи́) (содержащий самое существенное) almennurсогл, generellur [keːnɪꞋrεlː-]ннксогл; о́бщий обзо́р eitt generelt yvirlitннк; о́бщая карти́на heildarmynd; о́бщее впечатле́ние heildarinntrykkннк; в о́бщих черта́х í høvuðsheitum@о́бщее ме́стоbókl.klisjéэнкж0-ir(o-t fortugt,forjabbað);о́бщее образова́ниеalment dannandiглandiútbúgving;в о́бщем(и це́лом) í heila tikiðннк, yvirhøvur [-Ꞌhøː-]; samanumtikið [-Ꞌum-], tá samanum [-Ꞌʊmː] kemur;не име́ть ничего́ о́бщегос Instað hevur einki viðВинat gera; я не хочу́ име́ть с ним ничего́ о́бщего eg vil einki hava við hann at gera =>ава́рия2,знамена́тель,планI @,по́льзование,родIII,ры́нок@,сло́жность@,тетра́дь,уло́в
о́бщина	f1.oftastобщи́наsøg.felagsskapurмсогл-ir; крестья́нская общи́на bóndafelagsskapur2.rel.(общество) samkomaжгл-a(trúarsamfelag), trúarsamfelagс0о{a/ø}{0<>i}3.(крупная группа населения) bólkurмсогл-ar, samfelagс0о{a/ø}{0<>i}(bólkur av fólki) =>пала́та1
общи́на	f síо́бщина
общи́нный	adj1.søg.(кобщи́на 1) felags-, sam-; общи́нная земля́ felags jørð2.rel.(кобщи́на 2) samkomu-
общипа́ть	общиплю́, общи́плешь, общи́плютogtlm.общиплю́, общи́пешь, общи́пят;imperобщипли́, общипли́теogtlm.общипи́, общипи́теpf(ipfобщи́пывать)Acc síощипа́ть
общи́пывать	ipf síобщипа́ть
общи́тельность	ftað at dáma væl at umgangast onnur
общи́тельный	stfобщи́телен, общи́тельн|а, ~о, ~ыadjsum dámar væl at umgangast onnur, selskapiligur [-Ꞌskεa-]ннкглigur; fryntligurглigur(приветливый)
о́бщность	ftað at havao-tí felag; о́бщность интере́сов tað at hava felags áhugamál; о́бщность це́лей tað at hava felags mið; чу́вство о́бщности ein kensla av at hoyra saman
общо́	adv tlm.(heldur) generelt [keːnɪꞋrεlː-]ннк, (heldur) óítøkiliga [-Ꞌtʰøː-]
объего́рить	объего́р|ю, ~ишь, ~ятpf кого-л.óvkm.lumpaaðio-n, snýtair(t)o-n, dragaслнó-ó-io-nupp á tráðидиом.
объе́д...	объе́дуo.s.fr. fut avобъе́хать
объед...	объеди́мo.s.fr. plur fut avобъе́ст
объеда́ть	ipf síобъе́сть
объеда́ться	ipf síобъе́сться
объеде́ние	ntlm.gloypubitiмгл-iпрям.,перен.
