п.1	I паде́ж
плодово́д	mfruktdyrkariмгл-ari
плодово́дство	nfruktdyrkingж0-ar
плодово́дческий	adjfruktdyrkingar-
плодо́во-я́годное	nfrukt- og bervínс0о
плодо́во-я́годный	adjfrukt- og ber-; плодо́во-я́годное вино́ frukt- og bervín
плодо́вый	adjfrukt-; плодо́вое вино́ fruktvín; плодо́вый сад frukthavi [-haː-], fruktgarður
плодоно́жка	plurплодоно́ж|ки, ~ек, ~камffruktstelkurмсогл-ar
плодоноси́ть	плодоно́с|ит, ~ятipfberaслнa-ó-ofrukt, fruktaaði
плодоно́сный	stfплодоно́с|ен, ~на, ~но, ~ныadjsum ber frukt
плодоноше́ние	ntað at bera frukt, fruktingж0-ar
плодоовощно́й	adjfrukt-og grøntsaks-ннк, frukt-og grønmetis-нп; плодоовощно́й магази́н frukt-og grønthandilннк, frukt-og grønmetishandilнп
плодоро́дие	ngróðursemiсгл-i;жгл-i, tað at vera fruktbarur (um jørð)
плодоро́дность	f síплодоро́дие
плодоро́дный	stfплодоро́д|ен, ~на, ~но, ~ныadjfruktagóðurнепр(um lendi), gróðrargóðurнепр
плодотво́рность	ffruktbarheitннлж0-ir, fruktbariсгл-iкн.
плодотво́рный	stfплодотво́р|ен, ~на, ~но, ~ныadj1.(благоприятный,полезный) fruktbarurсоглперен.(úrslitagóður); produktivurсогл(sum fær nógv á skaftið) (производительный,продуктивный)
пло́мба	f1.(на двери и т.п.) plombaжгл-a(innsigli)2.(в зубе) plombaжгл-a, fylling [-tl-]ж0-ar(í tonn)
пломби́р	m slag av fløtaísi
пломбиро́ванный	adjplomberaður [-Ꞌpeː-]глaður(um tonn)
пломби́ровать	пломби́ру|ю, ~ешь, ~ютчто-л.1.pfопломби́роватьопломби́ру|ю, ~ешь, ~ют(дверь) plombera [-Ꞌpeː-]aðio-t(seta innsigli á), innsiglaaðio-tофиц.2.pfзапломби́роватьзаломби́ру|ю, ~ешь, ~ют(зуб) plombera [-Ꞌpeː-]aðio-t, fylla [-tla]ir(t)o-t(tonn)
пломбиро́вка	пломбиро́в|ки, ~ок, ~кам1.(двери и др.) plombering [-Ꞌpeː-]ж0-ar(innsigling), forsegling [-Ꞌsε-]ннкж0-arпроф., innsiglingж0-arофиц.2.(зуба) plombering [-Ꞌpeː-]ж0-ar(av tonn), fyllingж0-ar[-tl-] (av tonn)
пло́ский	stfпло́сок, плоска́ogпло́ска, пло́ск|о, ~и;compпло́щеadj1.(с ровной поверхностью) flaturсогл{a/ø}; slætturсогл{æ/ø}(не имеющий неровностей); пло́ский ка́меньтжhella [-tla]жгл-a(об отдельном,плитоподобном камне)2.(банальный,пошлый) flaturсогл{a/ø}(ikki stuttligur,ikki hittinorðaður); banalur [-Ꞌnaː-]ннксогл(банальный) =>стопа́I,экра́н@,червь1
плоского́рье	nháslættiмгл-i
плоскогру́дый	stfплоскогру́д, ~а, ~о, ~ыadjvið flatari bringu
плоскогу́бцы	плоскогу́бц|ев, ~амm plurflattongж0-ur{o/a/e}
плоскодо́нка	plurплоскодо́н|ки, ~ок, ~камfflatbotnaður báturмсогл-ar
плоскодо́нный	adjflatbotnaðurглaður
плоскостно́й	adjflatu-; плоскостны́е измере́ния flatumál
плоскосто́пие	ntað at vera plattfótaður, tað at hava slættil [-iːl]
пло́скость	plurпло́скост|и, ~ей, ~ямogплоскост|е́й, ~я́мf1.plur плоскост|е́й, ~я́м(поверхность) flataжгл-a; planur [pʰlaː-]мсогл-s,-irпроф.,спец.; пло́скость ватерли́нии vatnlinjuplanur [vanl-]спец.2.(область,сфера явлений,отношений) økiсгл-i, virkisøkiсгл-i; plan [pʰlaːn]ннкс0о; рассмотре́ть вопро́с в разли́чных плоскостя́х viðgera spurningin á ymsum planum; основна́я пло́скость его́ нау́чных изыска́ний høvuðsøkið fyri hansara vísindaligu kanningum3.plur плоскост|е́й, ~я́мflog.(крыло) vongurмсогл-ir{+};-s,-ir{+}(á flogfari)4.plur пло́скост|ей ~ямgml.(плоское замечание) fløt viðmerkingж=-ar(ikki stuttlig,ikki hittinorðað) =>накло́нный@
плоскоэкра́нный	adjvið flatskermi, við flatskíggja
плот	Genплота́,Prpо плоте́, на плоту́oggml.на плоте́;plurплот|ы́, ~о́в, ~а́мmflakiмгл-i=>спаса́тельный
плотва́	f(Rutilus rutilus)fiskur av karpuættini(en.roach; da.skalle)
плотви́ца	f tlm., dim tilплотва́
плотви́чка	plurплотви́ч|ки, ~ек, ~камf tlm. dim tilплотва́
плоти́на	fbyrgingж0-ar
плоти́ца	f tlm., dim tilплотва́
плотне́ть	ipf(pfпоплотне́ть)  tætnaaði, verða tætturсогл{æ/ø}
пло́тник	mtimburmaðurмнепр, træsmiðurмсогл-s,-ir
пло́тницкий	adj síпло́тничий
пло́тничать	ipfarbeiðair(d)sum timburmaður, smíðaaði(sum træsmiður)
пло́тничий	adjtimburmans-; timbur-
пло́тничный	adj síпло́тничий
пло́тно	adv1.(кпло́тный) tætt; fast2.tlm.:пло́тно пое́сть fáa sær eina góða máltíð; fáa sær eina búrmáltíð [pʏɹ-] (есть очень много)
пло́тность	f1.(кпло́тный 1) tættheitннкж0-ir, tættleikiнпмгл-i;fys.densitetur [-ˈtʰeː-]мсогл-s,-irфиз., спец.;el.пло́тность то́ка streymtættheitтехн., спец.2.(прочность) styrkiжгл-i3.(о телосложении) tað at vera køggutur@пло́тность населе́нияfólkatættleikiмгл-i;пло́тность огня́tættleikin av skjótingini
пло́тный	stfпло́тен, плотна́, пло́тн|о, ~ыadj1.(имеющий тесно соединённые части и др.) tætturсогл{æ/ø}; пло́тное населе́ние tøtt búsetingж0-ar2.(крепкий,прочный) tætturсогл{æ/ø}; sterkurсогл; пло́тная ткань tætt vovið toy [tʰœi] (реже[tʰɔi]); пло́тная бума́га sterkt pappír; tjúkt pappír3.(туго набитый) stappaðurглaður4.(крепкого сложения) tætturсогл{æ/ø, tættbygdurсогл; samanrikinсоглосн, samanstunginсоглосн(um kropsbygnað)5.tlm.(обильный,сытный) ríkiligurглigur, ríviligurглigur@пло́тный ого́ньherm.tøtt skjóting
плотово́д	m o-r, ið floytir timbur
плотовщи́к	Gen, Accплотовщик|а́;plur~и́, ~о́в, ~а́мm o-r, ið floytir timbur
плотого́н	m o-r, ið floytir timbur
плотоя́дный	stfплотоя́д|ен, ~на, ~но, ~ныadj1.(о животных,растениях) kjøtetandiглandi; kjøtátinсоглоснбиол.(um djór,plantur); плотоя́дный зверь kjøtetariмгл-ari; плотоя́дное расте́ние ræplantaбот.2.fl.(низменно чувственный,грубо сладострастный) girndarfullur [-tl-]согл, lostamikilсоглоснкн.
пло́тский	adjbókl.holdsligur [hɔl̥sl-]глigur; пло́тские жела́ния holdslig girndж0-ir
пло́ттер	mplottariмгл-ari
плоть	fbókl.holdс0о(likam,kjøt)@кра́йняя плотьforhúðж0-ir;в плоти́bókl.holdgjørdurсоглкн.;плоть и кровьчья-л.{плоть от пло́тикого-л.}hátíð.hold avпосс.holdi;войти́ в плоть и кровьhátíð.gerastнепрóloysandi partur av, verða inngrógvinсоглоснgv=>обле́чьI @,обле́чься@
пло́хо	Icompху́жеogóvkm.пло́шеadvilla [ɪtla]; он пло́хо хо́дит hann er illa gongdur; не так уж пло́хо ikki verri enn ilt; чу́вствовать себя́ пло́хо ikki føla seg væl, føla seg illa til passarIIpred1.: с деньга́ми пло́хо tað stendur illa [ɪtla] til við pengum, tað veit illa [ɪtla] við við pengum2.: мне ста́ло пло́хо eg varð illa [ɪtla] til passar; мне пло́хо a) (о плохом состоянии) eg eri illa [ɪtla] til passar; b) (в трудном положении) eg eri komin illa [ɪtla] fyri; tað er illa [itla] statt hjá mær; c) (о моральном состоянии) eg eri í ringum lagIIIn indecl(отметка) «tvey»с нескл.(triðilægsti karakterurin í sovjet. og russ. skúlum;«vánaligt»)
плохова́тый	stfплохова́т, ~а, ~о, ~ыadjtlm.einki serligurглigur(vánaligur), heldur vánaligurглigur
плохо́й	stfплох, плоха́, пло́хо, пло́хиogплохи́;compху́жеogóvkm.пло́шеadj1.(нехороший) ringurсогл, vánaligurглigur; óreinurсогл(неприятный и т.п.;о человеке); э́то плохо́й фильмтжfilmurin nyttar einki; его́ дела́ пло́хи tað veit illa [ɪtla] við hjá honum2.bert stf(больной) vánaligurглigur, ringurсогл(um sjúkt fólk); он совсе́м плох hann er ringur, hann er ógviliga sjúkur; tað er illa [ɪtla] vorðið við honum =>наде́жда1,настрое́ние1,обраща́ться3,пого́да,шу́тка@
пло́хонький	stfпло́хонек, пло́хонь|ка, ~киadj óvkm., niðr., dim tilплохо́й
плоша́ть	ipf(pfоплоша́ть)tlm.geraнепрein bummaraнеформ.,geraнепрeitt mistak
пло́ше	compóvkm.пло́хо, плохо́й
пло́шка	plurпло́ш|ки, ~ек, ~камf1.(посуда) fatс0о{a/ø}2.gml.(для освещения) ≈ kolaжгл-a
площа́дка	plurплоща́д|ки, ~ок, ~камf1.(маленькая площадь) lítið plássс0о2.(специально оборудованное место) vøllur [-tl-]мсогл-ir{ø/a}; де́тская площа́дка spæliplássс0о; поса́дочная площа́дка lendingarbreytж0-ir; tyrlupallur [-tl-]мсогл-ar({a/ø})(для вертолёта); строи́тельная площа́дка byggipláss; спорти́вная площа́дка ítróttarvøllur; те́ннисная площа́дка tennisvøllur; штрафна́я площа́дка brotsteigurмсогл-ar; врата́рская площа́дка málteigurмсогл-ar3.(лестничная) repos [-Ꞌpʰoː]ж0-irпроф., trappupallur [-tl-]нпмсогл-ar({a/ø})4.(вагона,автобуса) platformurмсогл-ar(á bussi,jarnbreytarvogni o.ø.); за́дняя площа́дка bakperongж0-ir; пере́дняя площа́дка framperrongж0-ir
площадно́й	adj1.(кпло́щадь 1, 2) pláss-2.(грубый,непристойный) illavorðin [ɪtl-]соглосн, ónæriligur [-Ꞌnεa-]глigur, ósømiligur [-Ꞌsøː-]глigur; площадна́я брань ókvæmisorð
пло́щадь	plurпло́щади, площад|е́й, ~я́мf1.(в городе) plássс0о, torgс0о; Кра́сная пло́щадь Reyða Torgið2.(поверхность) víddж0-ir, areal [aːɹɪꞋaːl]ннкс0опроф.; пло́щадь ватерли́нии vatnlinjuareal [vanl-]спец.; пло́щадь Фаре́рских [-рэ́-] острово́в víddin á Føroyum [fœɹjʊn] =>жило́й
пло́ще	comp avпло́ский
плуг	plurплуг|а́, ~о́в, ~а́мmplógvж0-ir;с0о{+}
плуга́рь	Gen, Accплугар|я́;plur~и́, ~е́й, ~я́мmplógmaðurмнепр
плугово́й	adjplóg-
плу́нжер	mplungerstempul [pʰlʊɲtʃ-]с0осн
плут	Gen, Accплу́т|а;plur~ы, ~ов, ~амogGen, Accплут|а́;plur~ы́, ~о́в, ~а́мm1.(обманщик) snýtariмгл-ariнеодобр.; svindlari [svɪnla-]энкмгл-ariнеодобр., kúllurмсогл-arнеодобр.(мошенник)2.tlm.(хитрец,лукавец) snúið fólkс0о, besnissað [-Ꞌsnɪ-] fólkс0онеформ., revurмсогл-ar(snúið fólk), kúllurмсогл-ar
плута́ть	ipftlm.fjakkaaði, reikaaði; válaaði, gangaслнe-i-iog malaслнó-ó-a(без цели)
плути́шка	plurплути́ш|ки, ~ек, ~камmdim.,kel.avплут 2; kúllurмсогл-arласк., jassurмсогл-arласк.
плу́тни	плу́тн|ей, ~ямf plurtlm.svindilм0осн-s,-arнеодобр.svindilafferaннкжгл-a
плутова́тый	stfплутова́т, ~а, ~о, ~ыadj1.(склонный к плутовству,обману) lúrinсоглосн, listilærdurсогл; snildurсогл2.(выражающий лукавство,хитрость) skálkaligurглigur, skálka-; плутова́тая улы́бка skálkabros
плутова́ть	плуту́|ю, ~ешь, ~ютipf(pfсплутова́тьсплуту́|ю, ~ешь, ~ют)tlm.svindla [svɪnla]ннкaði; snýtair(t)(обманывать); svikaaði(в игре и т.п.)
плуто́вка	plurплуто́в|ки, ~ок, ~камf1.(обманщик) snýtariмгл-ariнеодобр.; svindlari [svɪnla-]энкмгл-ariнеодобр.(konufólk)2.tlm.(хитрец,лукавец) snúið fólkс0о, besnissað [-Ꞌsnɪ-] fólkс0онеформ., revurмсогл-ar(snúið fólk) (konufólk)
плутовско́й	adj1.(мошеннический) svindil-неодобр., svindlara- [svɪnlara-]ннк2.síплутова́тый@плутовско́й рома́нskálkasøgaжгл-a(slag av skaldsøgu)
плутовство́	n1.(мошеннический поступок) svindilм0осн-s,-arнеодобр., snýtс0о(обман)2.(лукавство) skálkakætiсгл-i
плутокра́т	mplutokratur [-Ꞌkʰɹaː-]интмсогл-ar
плутократи́ческий	adjplutokratiskur [-Ꞌkʰɹaː-]интсоглsk
плутокра́тия	fplutokrati [-Ꞌtʰiː]интс0о({0<>i})
Плуто́н	m1.astr.(планета) Plutoж нескл.2.myt.(бог) Plutoм0{дат.0}
плуто́ний	mplutonium [-Ꞌtʰoː-]с0о({0<>i})
плыв...	плыву́o.s.fr. pres avплыть
плыву́н	Genплывуна́mkyksendi [tʃʰɪʰks-]сгл-i(песок)
плыву́чий	adj1.(обладающий способностью расплываться,растекаться) flótandiглandi(um sand,leir o.a.,ið fær nógv vatn í seg)2.(переходящий из одного в другое) útflótandiглandi3.(быстро распространяющийся) sum breiðist skjótt
плыть	плыв|у́, ~ёшь, ~у́т;pretплыл, плыла́, плы́л|о, ~иAdef(indefпла́вать,sí eisпопла́вать)1.(вплавь) svimjaслнa-u-o{+}2.(на судах и т.п.) siglair(d){+}; rógvaнепр(грести)3.(держаться на поверхности) flótaслнey-u-o; rekaслнa-ó-i(в зависимости от ветра,течения)4.(плавно двигаться) sveimaaði, svívaслнei-i-iкн.; rekaслнa-ó-i(в зависимости от ветра,течения-об облаках и т.п.)5.: всё плывёт у него́ перед глаза́ми alt melur fyri honumBipf(переливаться через край) flótaслнey-u-oꞋ yvir@плыть по во́ле волнrekaслнa-ó-ivið streyminum;плыть по тече́ниюrekaслнa-ó-ivið streyminum;плыть про́тив тече́нияgangaслнe-i-imóti streyminum;плы́ть в ру́киtlm.komaслнo-o-obeint upp í hendurnar
плэ́йер	m síпле́йер
плю...	1.плюю́o.s.fr. pres avплева́ть2.плюю́сьo.s.fr. pres avплева́ться3.плюй, плю́йтеimper avплева́ть4.плю́йся, плю́йтесьimper avплева́ться
плювио́метр	mregnmátariмгл-ari, regnmálariмгл-ari
плюга́вый	stfплюга́в, ~а, ~о, ~ыadjóvkm.,vanv.visaligurглigur, visasligurглigur
плюма́ж	mfjaðraskúvurмсогл-ar{+}
плю́нуть	moment síплева́ть@раз плю́нуть ему́tlm.tað er einki fyri hjá [tʃʰ-] honum; tað er eitt spæl fyri hann;плю́нуть не́куда {не́где}tlm.mannннкfær ikki vent sær her, so trongt er tað
плюрали́зм	mpluralisma [-Ꞌlɪ-]жгл-a
плюралисти́ческий	adjpluralistiskur [-ˈlɪ-]соглsk
плюс	Am1.(знак) plussс0о(+,matematiska teknið)2.tlm.(выгодная сторона,преимущество) plussс0онеформ.(positivur eginleiki)3.(оценка) plussс0о(sett aftur at próvtali); три с плю́сом trý plussBm indecl1.(и,добавляя) plussнар.; два плюс три равно́ пяти́ tvey pluss trý er fimm2.tlm.(да,и) og harafturat [hεaɹatʰrεat]; plussнар.; опла́та биле́тов плюс командиро́вочные gjald av ferðaseðlum og harafturar dagpengar; bilettirnar [-Ꞌlε-]ннкbetaltar [-Ꞌtʰa-]ннкpluss dagpengar3.(указание температуры) plussнар.(um hita); в тени́ плюс де́сять гра́дусов í skugganum er pluss tíggju (gradir), í skugganum eru tíggju hitastigнп@плю́с-ми́нусpluss-minus;плюс к тому́ {да плюс к тому́ ещё}tlm.harafturat [hεaɹatʰrεat];плюс ко всему́tlm.og harafturat [hεaɹatʰrεat] (eisini)
плюсквамперфе́кт	m1.mál.(форма глагола) táliðin tíðж0-ir, pluskvamperfektumс нескл. проф.2.tlm.(давно) sum var langt síðani; всё э́то уже́ давно в плюсквамперфе́кте ≈ hetta er alt samalt langt síðani farið aftur [aʰtː-] um bak
плюсна́	plurплю́сны, плю́сен, плю́снамfristleggirмсогл-irмн
плюсова́ть	плюсу́|ю, ~ешь, ~ютipf Acctlm.leggjaнепрВинafturat [aꞋtʰɹεat]; plussaaðio-tнеформ.
плюсово́й	adjpluss-; плюсова́я температу́ра hitastigнпoman fyri null, temperaturur [-Ꞌtʰuː-]ннкпроф.oman fyri null, plussgradir [-aː-]ннкнеформ.; плюсова́я сторона́ plusssíðanнеформ.
плю́совый	adj síплюсово́й
плюх	Iinteróvkm.bums, dums, tjumsIIpredóvkm.: он плю́х в во́ду og hann dums á sjógv
плю́ха	fóvkm.lúsingurмсогл-ar
плю́хать	ipf síплю́хнуть
плю́хаться	ipf síплю́хнуться
плю́хнуть	плю́хн|у, ~ешь, ~утpf(ipfплю́хать)óvkm.1.síплю́хнуться2.Acc(бросить что-л. тяжёлое) kjummaaðiнеформ., grýtair(t)(blaka o-t tungt)3.(хлопнуть при ударе о жидкость) klamsaaði, brestaслнa-u-o(móti vatni o.tíl.); ры́ба плю́хнула в о́зере fiskurin klamsaði í vatninum
плю́хнуться	плю́хн|усь, ~ешься, ~утсяpf(ipfплю́хаться)óvkm.dumsaaði(niður), tjumsaaði(niður), bumsaaði(niður); blakaaðiseg niður
плюш	mplússс0о
плю́шевый	adjplúss-
плю́шка	plurплю́ш|ки, ~ек, ~камf≈ wienarbreyðс0о{0<>i}(ofta sum bolli)
Плю́шкин	mniðr.nábalsklógvжнепрпренебр.
плющ	Genплюща́m(Hedera) efeu [eːfœu]ж0-ir, vedbendннкс0о, viðbenda [viː-]жгл-aспец.,бот., viðbendil [viː-]м0осн-s,-arспец.,бот.
плю́щить	плю́щ|у, ~ишь, ~атipf Acc(ударом) sláaслнó-ó-iВинflatan; kroystair(t)Винflatan, trýstair(t)Винflatan, kleimair(d)Вин(давлением)
пляж	mbaðistrondж0-ur{o/a/e}
пля́жник	mtlm.fólkс0оá baðistrond
пляс	mtlm.síпля́ска
пляса́ть	пляшу́, пля́ш|ешь, ~утipf1.pfспляса́тьспляшу́, спля́ш|ешь, ~ут(что-л.) (танцевать) dansaaði(o-t) (oftast fólkadans o.tíl.)2.fl.(трястись,подпрыгивать) dansaaði; бу́квы пляса́ли пе́ред его́ глаза́ми bókstavirnir [pœʰks-] dansaði fyri eygunum á honum@пляса́ть подчью-л.ду́дку {почей-л.ду́дке}dansaaðieftir [εʰtː-] pípunihjá[tʃʰ-]o-mпог.
пля́ска	plurпля́с|ки, ~ок, ~камf1.(кпляса́ть) dansurмсогл-s,-ir(tað at dansa)2.(танец) dansurмсогл-s,-ir(oftast fólkadansur) =>Витт
плясова́я	fdansilagс0о{a/ø}{0<>i}(мелодия); dansivísaжгл-a(песня)
плясу́н	Gen, Accплясун|а́;plur~ы́, ~о́в, ~а́мmdansariмгл-ari=>кана́тный
плясу́нья	plurплясу́ньи, плясу́ний, плясу́ньямfdansariмгл-ari(konufólk)
п.м.	пого́нный метр
ПМГ	[пэ-эм-гэ́]f indeclподвижна́я милице́йская гру́ппа patruljubilur [-Ꞌtʰrʊ-]мсогл-ar(hjá løgregluni)
ПМЖ	[пэ-эм-жэ́]n indeclпостоя́нное ме́сто жи́тельства fastur bústaður
пн...	пняo.s.fr. síпень
ПНД	[пэ-эн-дэ́]m indecl stytt. fyriполиэтиле́н ни́зкого давле́ния (en.HDPE high density polyethylen) HDPE-plast [hɔa teː pʰeː ˈeː-]с0o
пневма́тик	mdekkс0о(sum kunnu pumpast upp)
пневма́тика	ftrykkluftsútgerðннкж0-irпроф., trýstluftsútgerðнпж0-ir, pneumatisk [pʰnœuꞋmaː-] útgerðж0-irпроф.
пневмати́ческий	adjtrykklufts-ннкпроф., trýstlufts-нп, pneumatiskur [pʰnœuꞋmaː-]соглskпроф.; пневмати́ческий мо́лот trykkluftshamariннкпроф.
пневмоко́кк	m (Streptococcus pneunomiae) pneumokokkur [pʰnœumoˈkʰɔ-]мсогл-ar
пневмони́я	flækn.lungabetendilsiннксгл-iпроф., lungnabruniнпмгл-i; атипи́чная пневмони́я SARS [saʂː]ж нескл.(англ. Severe Acute Respiratory Syndrome)
пневмото́ракс	msamansokkið lungaсгл-a, pneumothorax [pʰnœumoˈtʰoːɹaʰks]с0омед., спец.
Пномпе́нь	mPhnom Penh [pʰnɔmꞋpʰεnː]м0{дат.0}
ПНР	[пэ-эн-э́р]f indeclsøg.По́льская Наро́дная Респу́блика Pólska fólkalýðveldið, Fólkalýðveldið Póllandофиц.
пнуть	moment síпина́ть
п/о	почто́вое отделе́ние
по-...	forskoyti, ið verður brúktur til gerð av hjáorðum við týdn.1)soleiðis, sum víst verður á í øðrum parti av orðinum, t.d. по-зи́мнему, по-но́вому, по-ру́сски 2)í samsvari við meiningina, ynskið hjá o-m, t.d. по-мо́ему, по-сво́ему
по...	forskoytiAmerkir saman við sagnorði:1.perfektiv gerð, t.d. пожела́ть, поцелова́ть2.íkoma av nýggjum eginleika, повзросле́ть3.at gerðin verður førd fram til eitt úrslit,t.d.потуши́ть4.at gerðin verður gjørd eina ferð,t.d.поблагодари́ть5.at gerðin verður gjørd eitt stutt tíðarbil,t.d.пописа́ть6.at gerðin byrjar,t.d.побежа́ть7.at gerðin ikki er intens ella verður gjørd við millumbilum,t.d.подра́знивать8.at gerðin viðvíkir øllum ella hevur nógv, ið gera hana ella verða ávirkað av henni, t.d.попа́дать, попря́тать9.at gerðin fer fram so hvørt, so líðandi, stig fyri stig,t.d.попривы́кнутьBmerkir saman við lýsingarorði:1.sum er hent seinni enn tað, sum grundordið vísir til,t.d.порефо́рменный, посме́ртный2.sum er í samsvar við tað, sum grundorðið vísisr til,t.d.подохо́дный3.sum er galdandi fyri fyri hvønn av teimum lutunum, sum grundorðið vísir til, ella sum verða máldir, máldir ella býttir sundur sambært teimum, t.d.поро́тный, поме́сячныйCmerkir saman við miðstigi av lýsingarorði ella hjáorði, at týdningurin viknar, t.d.поме́ньше, поста́ршеDverður brúktur til avleiðing av lýsingarorði og navnorði við merkingini"nærhendis",t.d.пограни́чный, побере́жьеEverður brúktur saman við lýsingarorðum til avleiðing av einum háttarhjáorði, t.d.по-ру́сскиFverðu brúktur saman við ognarfornøvnum til avleiðing av hjáorði við merkingini "eftir meiningini hjá onkrum, eftir ynskinum hjá onkrum", t.d. по-мо́ему
По1	If indeclPoж нескл.
ПО2	II [пэ-о́]n indeclпрогра́ммное (sí) обеспече́ние
