Ж	(знак на туалете) «для же́нщин»K, kvinnur (á hurð til toilett)
же2	IIpart1.intens часто не переводится/skal oftast ikki umsetastчто же мне де́лать? hvat skal eg gera?; как же её (всё-таки) зову́т? hvussu er tað (nú), hon eitur?; есть же таки́е лю́ди! at sovorðin fólk finnast!; что же ты молчи́шь? hví stendur tú og tegir?; пойдём же! kom [kʰɔmː], lat okkum fara!; ну и что же íðan hvat so2.(ведь) jú; ты же его́ зна́ешь tú kennir hann jú; я же говори́л тебе́ eg segði [sεijɪ] tað jú við teg3.(указывает на тождество) sami; тот же tann sami; э́тот же hesin sami; он же hann (tann sami); тогда́ же um somu tíð; здесь же her (á sama stað); там же har (á sama stað), á sama stað; так же somuleiðis, upp á sama máta; сего́дня же nettupp í dag; така́я же кни́га ein bók av sama slag; ein sama slag bókнеформ.; тот же врач tann sami læknin
жева́ние	ntyggingж0-ar; jótranж0-ir(о жвачных)
жёваный	adj1.(зубами) tugdurсогл2.tlm.(мятый) rukkuturсогл
жева́тельный	adj1.(кжева́ть) tyggi-2.:жева́тельная рези́нка tyggigummi; жева́тельный таба́к a) skrátubbak; b) (кусок табака) skráж0-ir(petti av tubbaki)
жева́ть	жу|ю́, ~ёшь, ~ю́тipf что-л.1.(размельчать во рту) tyggjair(d){y/u}o-t; jaglaaðio-t(медленно,с трудом); жева́ть таба́к tyggja skrá2.fl.(обсуждать) meylaсоглo-t, júkaсоглo-t@живём, (да) хлеб жуёмorðt.tað gongst so dánt; enn eru vit ikki skolaðir út av látriидиом.=>жва́чка
жёг	pret avжечь
жезл	Genжезл/а́;plur~ы́, ~о́в, ~а́мogже́злаo.s.fr. m1.hátíð.,gml.(трость) stavurмсогл-s,-ir;-ar;-ar{a/ø)(um ym. prýddar stavar o.a.,tignarmerki); ма́ршальский marsjalsstavur2.jarnb.(на железных дорогах) signalstavur [-Ꞌnaːl-]мсогл-s,-ir;-ar;-ar{a/ø}3.(у регулировщика движения)stavur el. gassi brúktur at stýra ferðslu við
жела́емое	n:выдава́ть {принима́ть} жела́емое за действи́тельное droymair(d)ynskidreymar
жела́емый	Ipartic avжела́тьIIadjynsktur [iŋ̊kst-]согл, ynskiligurглigur, ynski-
жела́ние	nynskiсгл-i; hugurмсогл-ar;-ir(охота); bønж0-ir(áheitan) (просьба тж); после́днее жела́ние tað síðsta ynskið; по жела́нию eftir [εʰtː-] vild; по ва́шему жела́нию eftir [εʰtː-] tykkara ynski; по со́бственному жела́нию eftir [εʰtː-] egnum ynski; доби́ться выполне́ния своего́ жела́ния fáa uppfylt sítt ynski, fáa sín vilja, fáa gjørt eftir [εʰtː-] síni bøn; про́тивчьего-л.жела́ния móti ynskinumhjá[tʃʰ-]o-m; у меня́ нет никако́го жела́ния туда́ идти́ eg havi púrt ongan hug at fara hagar; име́ть {возыме́ть} жела́ние +infhava hug at +инф., fáaслнe-i-ihug at +инф.;у кого-л.есть жела́ние +inf o-rhevur hug at +инф.; е́сли у вас есть жела́ние vissннкtit vilja, um tit hava hug (til tað); жела́ние уе́хать hugur at fara burtur; при всём жела́нии ... so fegin eg vil ...; при всём жела́нии, я ниче́м не могу́ помо́чь so fegin eg vil, kann eg ikki hjálpa [j-] =>вы́полнить1,горе́тьB 5,загоре́ться3,испо́лнить1,сгора́ть
жела́нный	stfжела́н|ен, ~на, ~но, ~ныadj1.(которого желают,ожидаемый) kærkominсоглосн, vælkominсоглосн; (eftir)ynsktur [εʰtːɪɹiŋ̊kst-]согл; жела́нный гость ein kærkomin gestur, ein vælkomin gestur; жела́нная весть gleðilig tíðindi, fagnаrboðкн.; жела́нная цель tað ætlaða málið2.lfgml.(любимый) kærurсогл, elskaðurглaður
жела́тельно	predtað er ynskiligt, tað er at ynskja, tað er ynskjandi; жела́тельно, что́бы… tað er ynskiligt, at...; tað er at ynskja, at...
жела́тельный	stfжела́телен, жела́тельн|а, ~о, ~ыadj1.(нужный) ynskjandiглandi, ynskiligurглaður2.: жела́тельное наклоне́ние ynskishátturмсогл-ir{á/æ};согл-ir, optativс0oпроф.
желати́н	mgelatin [keːlaꞋtʰiːn]с0о; husblas [huːsplas]с0о(в тонких пластинках)
жела́ть	ipf(pfпожелать)1.кого-л.,чего-л.;что-л.tlm.(við konkretum subst.) (хотеть) viljaнепрo-t{at +инф.}, gjarna viljaнепрo-t{at +инф.}, viljaнепрhavao-t{at +инф.}, havaнепрhug (at +инф., til at +инф.) (хотеть); он жела́ет познако́митсья с тобой hann vil gjarna koma at kenna teg; она́ о́чень жела́ла э́того {+ inf; + что́бы} hon vildi fegin hava heta {at ...}; жела́тьчьей-л.руки́ beraслнa-ó-oupp bønarorðуст.; что вы жела́ете? (вопрос к покупателю) hvat vilja tygum hava? (við keypara); он не жела́ет слу́шать мои́х сове́тов hann vil ikki lurta eftir [εʰtː-] ráðunum hjá [tʃʰ-] mær; жела́ю ви́деть его́ eg vil sleppa at síggja hann; сам того́ не жела́я uttan at vilja tað sjálvur; av óvart (нечаянно); я его́ знать не хочу́ eg vil einki hava við hann at gera; я не жела́ю име́ть с ним никако́го де́ла eg vil einki hava við hann at gera2.кому-л. чего-л.(выражать пожелание) ynskjair(t)o-m o-t; жела́ю тебе́ всего́ хоро́шего! eg ynski tær alt tað besta!; жела́ю уда́чи! eg ynski tær eydnu; жела́ю тебе́ сча́стья eg ynski tær eydnu3.pfвозжела́тького-л.bókl.(испытывать страсть к кому-л.) tráaaðieftir [εʰtː-]o-m, girnastaðio-nкн.=>оста́вить@
жела́ющие	plurвсе жела́ющие øll [œtl-], sum vilja; øll [œtl-], sum hava hug; жела́ющих оказа́лось мно́го nógv vóru, sum vildu vera við; жела́ющие поступи́ть (в учебное заведение) umsøkjararnirмгл-ariмн опр.(til lærustovn); там мно́го жела́ющихtlm.,atf.har vóru nógvir murtar um agniðпог., har vóru nógv um boðiðпог.
желва́к	Genжелвак|а́;plur~и́, ~о́в, ~а́мmknykilм0осн, knúturмсогл-ar(vølur); kjálkamuskulм0осн-a,-ar(мускул)
желе́	n indeclgele {gelé} [ʃeꞋleː]с0o
железа́	plurже́лезы, желёз, железа́мfkertilм0осн-s,-ar; eitilм0осн-s,-ar(лимфатическая); потовы́е же́лезы sveittakertlar; железа́ вну́тренней секре́ции endokrinur [-Ꞌkʰɹiː-]соглспец.kertil =>ви́лочковый,зо́бный
желе́зистый1	Iadj(содержащий железо) jarn- [jan-], [-tn-], sum inniheldur jarn [-tn], jarnhavin [-tn-]лпсогл, jarnkendur [jantʃʰ-]нпсогл; желе́зистый исто́чник jarnkelda [jantʃʰ-], [-tn-]; желе́зистый препара́т jarnpreparat [janpʰɹeːparaːt], [jatnpʰɹeːparaːt]ннк
желе́зистый2	IIadj(кжелеза́) kertil-, kertla; eitla-
желёзкa	plurжелёз|ки, ~ок, ~камf dim avжелеза́
желе́зка1	Iplurжеле́з|ки, ~ок, ~камf(железный предмет) jarn [jatn]с0о{a/ø}, jarn- [jan-], [jatn-] (um ym. lutir úr jarni); jarnpetti [jan-]сгл-i(кусок); jarnpláta [jan-]жгл-a(пластинка); jarnstong [jan-]ж0-ur{o/e}(стержень)
желе́зка2	IIf: на всю желе́зкуóvkm.í fullari [-tl-] ferð, (í) full speed [fʊlspyːt]неформ., tað dýrasta ein er mentur, av dýrastu makt (ехать и т.п.); so hart ein orkar (громко); fult frá, for frá (включить радио и т.п.)
желе́зно	advóvkm.tað vikast ikki, tað svitast ikki
железнодоро́жник	mjarnbanaarbeiðari [janpaː-]ннкмсогл-ari, jarnbreytararbeiðari [janpɹ-]нпмсогл-ari; starvsfólkс0оvið jarnbana [janpaː-]ннк, starvsfólkс0оvið jarnbreyt [janpɹ-]нп
железнодоро́жный	adjjarnbana- [janpaː-]ннк, jarnbreytar- [janp-]нп; железнодоро́жная сеть jarnbananetннк, jarnbreytarnetнп; железнодоро́жная ста́нция jarnbanastøðннк, jarnbreytarstøðнп, tokstøð; железнодоро́жная катастро́фа tokvanlukka; желерзнодоро́жный биле́т tokbilletннк, ferðaseðilнпtil tok =>спра́вочник,указа́тель2
желе́зный	adj1.(содержащий железо) jarn- [jan-], [jatn-]; желе́зная руда́ jarnmálmur [jan-]2.(из железа) jarn- [jan-], [jatn-], úr jarni [-tnɪ]; желе́зная решётка jarnrimar [jan-]; желе́зные опи́лки jarnspønir [jan-]3.fl.(твёрдый) jarn- [jan-], [jatn-], jarnharður [-tn-]согл{a/ø}(суровый); sum ikki kann verða vikið frá, óreingiligur [-Ꞌrɔ-] (неукоснительный); желе́зная во́ля jarnvilji [jan-], [jatn-]; желе́зная ло́гика jarnharður logikkur; желе́зное доказа́тельство óreingiligt prógv@желе́зная доро́гаjarnbani [janpaː-]ннкмгл-i, jarnbreyt [janp-]нпж0-ir; е́хать желе́зной доро́гой {по желе́зной доро́ге} koyra við toki; рабо́тать на желе́зной доро́ге arbeiða við jarnbananннк;желе́зный блескjarnglansur [jan-];желе́зный векjarnøld [-tn-] =>дисципли́наI,за́навес@
железня́к	Genжелезняка́mjarnsteinur [jans-]мсогл-ar; бу́рый железня́к brúnjarnsteinurмсогл-ar
желе́зо	n1.(металл, вещество) jarn [-tn]с0о{a/ø}; рабо́та по желе́зу jarnsmíð [jans-]; кру́глое желе́зо rundjarn [rʊnj-]; ста́рое желе́зоeis.gamalt jarn (ym. burturkast); принима́ть желе́зо taka jarn (sum medisin)2.teld., jarg.(аппаратное обеспечение) hardware [haɹtvεaɹ]с0о;ж0-ir, tólbúnaðurлпмсогл-ir=>кова́ть@,оби́ть1,прутко́вый
железобето́н	mjarnbetong [jatn-], [janp-]с0о, armerað [-Ꞌmeː-] betong [peꞋtʰɔŋk]
железобето́нный	m1.(кжелезобето́н) jarnbetong- [jatnp-], [janp-], úr jarnbetongi [jatnp-], [janp-], úr armeraðum [-Ꞌmeː-] betongi [-Ꞌtʰɔ-]; железобето́нный элеме́нт jarnbetongelement [jatnp-], [janp-]2.fl.,tlm.(не поддающийся эмоциям) grótharðurсогл{a/ø}(um kenslur o.a.), stívurсогл(um medferð o.a.) (негибкий)
жёлоб	plurжелоб|а́, ~о́в, ~а́мm1.tekn.(лоток) sliskaжгл-a2.(углубление для стока и др.) rennaжгл-a; кро́вельный жёлоб takrenna; сто́чный жёлоб renna (fram við gongubreyt)3.jarðf.(впадина в море) rennaжгл-a(á havsbotni); глубоково́дный жёлоб djúphavsrenna@ жёлоб Фаре́рской[-рэ́-]ба́нкиBankarennan [paŋ̊ka-]жгл-aопр.
желобо́к	Genжелобк|а́;plur~и́, ~о́в, ~а́мm1.dim avжёлоб (lítil) rennaжгл-a2.(углубление) foyraжгл-a, skoraжгл-a(неглубокий разрез)
желте́ть	ipf1.pfпожелте́ть (становиться жёлтым) gulnaaði2.(виднеться) lýsair(t)gulur, skyggjaaðigulur; в траве́ желте́ли одува́нчики hagasóljurnar lýstu gular í grasinum
желте́ться	ipflýsair(t)gulur, skyggjair(d)gulur
желтизна́	fgulur liturмсогл-ir
желти́ть	желчу́, желт|и́шь, ~я́т ipf что-л.geraнепрo-ngulan; málaaðio-ngulan (красить в жёлтый цвет)
желтова́тый	stfжелтова́т, ~а, ~о, ~ыadjgulligurглigur, gulleitturсогл, guldæmdurсогл
Жёлтое мо́ре	Gula haviðс0о{a/ø}опр., Gulahavс0о{a/ø}кн.
желто́к	Genжелтк|а́;plur~и́, ~о́в, ~а́мm(eggja)blommaжгл-a, eggjareyðiмгл-i
желтоко́жий	stfжелтоко́ж, ~а, ~е, ~иadjvið gulari húð
жёлто-кори́чневый	adjmorgulur [mɔɹ-]согл
желтоли́цый	adjsum er gulur í andlitinum [anl-]
желторо́тый	stfжелторо́т, ~а, ~о, ~ыadj: желторо́тый (птене́ц) nalvungiмгл-iпренебр., hvølpurмсогл-arпренебр.
желту́ха	fgulsóttж0-ir, gulusóttж0-ir
жёлтый	stfжёлт, желта́, жёлтоogжелто́, жёлтыogжелты́adjgulurсогл@жёлтая пре́сса {печа́ть}tann gula pressan;жёлтый профсою́зfakfelag, ið arbeiðir móti tí skipaðu fakfelagsrørsluni;жёлтая лихора́дкаlækn.gulur fepurм0осн-s,-ar;жёлтая вода́lækn.grønur sterннкм0({0<>i}), grønt starлпс0о; жёлтое пятно́anat.(macula lutea) tann guli bletturin [pʰlε-];жёлтое те́лоanat.(corpus luteum) økslс0омн;жёлтый домgml.sinnissjúkrahúsс0о=>биле́т@
желудёвый	adjakarn-,síжёлудь
желу́док	Genжелу́дк|а;plur~и, ~ов, ~амmmagiмгл-i; у неё боли́т желу́док hon hevur ilt í búkinum, hon hevur ilt í maganum; бо́ли в желу́дке magailskaжгл-a, búkpína; на голо́дный желу́док á fastandi hjarta [j-] =>боле́тьII,расстро́йство2,я́зва1
желу́дочек	Genжелу́дочк|а; plur~и, ~ов, ~амm1.dim avжелу́док2.(в сердце) innrúmлпс0о(í hjarta)3.(мозга) ventrikkul [-Ꞌtʰɹɪ-]м0осн-s,-ar
желу́дочный	adjbúk-, maga =>сок1
жёлудь	plurжёлуди, желуд|е́й, ~я́мmakarnс0о{a/ø}@морско́й жёлудь(Balanus) rúðurс0осн, gjarс0о
же́лчный	stfже́лч|ен, ~на, ~но, ~ныadj síжёлчный
жёлчный	stfжёлч|ен, ~на, ~но, ~ныadj1.bert lf(кжелчь) gall- [kal-], [katl-]; жёлчный пузы́рь gallbløðra [kalp-], [katlp-], gall [-tl]; жёлчный ка́мень gallsteinur [kal̥s-], [katls-]; жёлчный прото́к gallræsi [kalr-], [katlr-]2.fl.(язвительный,злой) gallsúrur [kal̥s-], [katls-]согл; ilskurсоглsk
желчь	f síжёлчь
жёлчь	f1.(жидкость) gall [-tl]с0о2.fl.(раздражение,злоба) gall [-tl]с0о(øði); изли́ть жёлчьна кого-л.goysair(t)gor og galloman yvir o-n
жема́ниться	жема́н|юсь, ~ишься, ~ятсяipftlm.skapaaðisær, geraнепрseg Ꞌ til
жема́нник	mtlm.apuspjótс0о, skaput fólk
жема́нница	ftlm.skaput konufólk, skapikrukkaжгл-aнеодобр.
жема́нничать	ipf tlm.skapaaðisær, geraнепрseg Ꞌ til
жема́нный	stfжема́нен, жема́нн|а, ~о, ~ыadjskaputurсогл, tilgjørdurсогл, affekteraður [-Ꞌtʰeː-]энкглaður
жема́нство	nskaparí [-Ꞌrʊi-]энкс0о, skapaktigheit [-Ꞌaʰk-]энкж0-ir
же́мчуг	plurжемчуг|а́, ~о́в, ~а́мm kollperlurжгл-aмн(ektaðar); иска́тель же́мчуга perlufiskariмгл-ari
жемчу́жина	fbeinl.,fl.perlaжгл-a(ektað)
жемчу́жница	f(Pinctada;Margaritifera,Margaritana) perluskelж0-ar{+}
жемчу́жный	adj1.(кже́мчуг) perlu-; жемчу́жное ожере́лье perluband2.(напоминающий жемчуг) perlu-; жемчу́жные зу́бы perluhvítar tenn
жена́	plurжён|ы, ~, ~амf1.(супруга) konaжгл-a(hjúnafelagi); брать в жёныgml.giftastir(t)(um mannfólk)2.gml.,hátíð.(женщина) kvinnaжгл-a
жена́тик	mtlm.,skemt.giftur maðurмнепр(oftast um nýgiftan)
жена́тый	stfжена́т, ~а, ~о, ~ыadjgifturсогл(um mannfólk ella í plur eis. hjún); он жена́т на мое́й сестре́ hann er giftur við systur mínari; жена́тые лю́ди gift fólk@жена́тая жизнь {жена́тое положе́ние}tað at vera giftur (um mannfólk), hjúnaband [tʃʰ-] (um mannfólk)
Жене́ва	fGenève [ʃeꞋneːv]м нескл.
Жене́вское о́зеро	Genèvevatnið [ʃeꞋneːv-]с0о{a/ø}опр.
же́нин	adjhja [tʃʰɔa] konuni; hjá [tʃʰɔa] konu míni {konu tíniи т.д.}; же́нины серёжки oyraringarnir hjá konuni; oyraringarnir hjá konu míni {konu tíniи т.д.}
жени́ть	женю́, же́н|ишь, ~ятipf/pf кого-л. на комgiftair(t)o-n við o-ri(um menn)@без меня́ меня жени́лиorðt.tað varð gjørt upp á nakkan av mærпог.
жени́тьба	fhjúnalagс0о{a/ø}
жени́ться	женю́сь, же́н|ишься, ~ятсяна ком-л.1.(о мужчине) giftastir(t)við o-ri(um mannfólk); уда́чно жени́ться fáa eina góða konu, verða væl giftur; жени́ться по любви́ giftast av kærleika, giftast av kerligheitннк2.tlm.bert plur(вступить в брак) giftastir(t),sbr.пожени́ться
жени́х	Gen, Accжених|а́; plur~и́, ~о́в, ~а́мm1.(сватающийся) drongurмсогл-s,-ir{+};согл-ir{+}(fríggjari hjá gentu); fríggjariмгл-ari(ухаживающий;тж любовник), biðilм0осн-s,-arуст., поэт.,unnustiмгл-iпоэт.;brúðgómur [pɹʏk-]мсогл-ar(во время свадьбы); он жени́х мое́й до́чери hann er forlovaður [-Ꞌloː-] við dóttur mínari2.: вы́годный жени́х góður maðurмнепр(at giftast við), góð giftaжгл-a(um mann)3.tlm.(молодой человек брачного возраста) fríggjariмгл-ari(ungur ógiftur maður); он уже́ жени́х hann er longu giftingarførur4.skemt.(о большом мальчике) ein trøllvaksin drongurмсогл-s,-ir{+};согл-ir{+}
жёнка	plurжён|ки, ~ок, ~камf1.tlm.(супруга) konaжгл-a(hjúnafelagi)2.óvkm. (женщина) konufólkс0о
женолю́б	mkonufólkarevurмсогл-ar
женолюби́вый	stfженолюби́в, ~а, ~о, ~ыadjtlm.: женолюби́вый челове́к konufólkalókurмсогл-ar, konufólkanálgurмсогл-ar, konufólkarevurмсогл-ar
женоненави́стник	mbókl.konufólkahatariмгл-ari, kvinnuhatariмгл-ari
женоподо́бный	stfженоподо́б|ен, ~на, ~но, ~ныadjkventluturсогл, kventlasligurглigur
же́нский	adj1.(кже́нщина) konufólka-, kvinnu-;же́нское лицо́ konufólkaansiktннк, kvinnuandlit [-anl-]; же́нский труд konufólkaarbeiði, kvinnuarbeiði; же́нская кома́нда kvinnulið; (моя́) же́нская родня́ skyldkonur [ʃɪl̥k-]жгл-aмн; же́нское движе́ние kvinnurørsla2.(свойственный женщинам) kvinnuligur, kvinnu-; же́нская красота́ kvinnuligur vakurleikiнп; же́нская ло́гика kvinnulogikkur [-kɪ-]3.(для женщин) konufólka-, damu- [taː-]; же́нская оде́жда konufólkaklæðir, damuklæðir; же́нский туалет kvinnutoilett [-tʰɔilεʰtː], damutoilett [-tʰɔilεʰtː], konufólkavesiнеформ.4.biol.(относящийся к особам женского пола) kvinnuligur, kvenn-; же́нскиe половы́е кле́тки kvinnuligar kynskyknur@же́нские боле́зниkvinnusjúkur;же́нские права́kvinnurættindi;же́нский вопро́сkvinnuspurningurin; же́нская ли́нияkvennleggurмсогл-ir; по же́нской ли́нии í kvennlegg, í móðurætt;же́нский родmáll.kvennkyn;сло́во же́нского ро́да kvennkynsorð =>полII,ри́фма,цвето́к1
же́нственность	fkvinnuligheitннкж0-ir, kvinnuleikiнпмгл-i, kvinnuskapurлпмсогл-ir; feminitetur [femiːniꞋtʰeː-]интмсогл-ar,
же́нственный	stfже́нственен, же́нственн|а, ~о, ~ыadjkvinnuligurглigur
жёнушка	plurжёнуш|ки, ~ек, ~камf kel. tilжена́ 1
же́нщина	fkonufólkс0о, konaжгл-a(взрослая женщина), kvinnaжгл-a; dama [taː-]жгл-a(б.ч. о незнакомой взрослой женщине,отличающейся хорошей одеждой и др.);plur eis.konufólkс0особир.; же́нщина-врач kvinnuligur lækni; пе́рвенсто Евро́пы среди́ же́нщин evropameistaraskapurin [εvꞋroː-] fyri kvinnur
женьше́нь	m(Panax gingseng) ginseng [kɪnꞋsεnk]с0{дат.0}; ginsengrót [kɪnꞋsεnk-]ж0-ur{ó/ø}(корень)
жерди́на	ftlm.síжердь
жёрдочка	plurжёрдоч|ки, ~ек, ~камf dim avжердь
жердь	plurже́рди, жерд|е́й, ~я́мfstongж0-ur{o/e}@худо́й как жердьklænur sum ein sperðilидиом.; sum ein strika í luftiniидиом.
жерёбая	adj: жерёбая кобы́ла kviðinсоглоснð/dryssa, fyltungсоглryssa
жеребёнок	Gen, Accжеребёнка;plurжеребя́т|а, ~, ~амmfylс0о{+}; hestfylс0о{+}(мужского пола); ryssufylс0о{+}(женского пола)
жеребе́ц	Gen, Accжеребц|а́; plur~ы́, ~о́в, ~а́мmgraðhesturжсогл-a, greðingurжсогл-a
жереби́ться	жереб|и́тся, ~я́тсяipf(pfожереби́тьсяожереб|и́тся, ~я́тся) folaaði
жеребьёвка	plurжеребьёв|ки, ~ок, ~камflutakastс0о{a/ø};произвести́ жеребьёвку kastaaðilut; реши́тьчто-л.жеребьёвкойeis.kastaaðilutum o-t
жеребя́чий	adjfylja-
же́рех	m(Aspius aspius)fiskur av karpuættini(en.asp; da.asp)
жерло́	plurже́рл|а, ~, ~амn1.(вулкана) (vulkan)kratur [-Ꞌkʰaːnkʰɹaː-]ннкс0осн,goskoppurлпмсогл-arгеол.2.(орудия) (byrsu)múliмгл-i, (byrsu)kjafturмсогл-ar3.tekn.(отверстие в печи) opс0о(í ovni o.tíl.)
жёрнов	plurжернов|а́, ~о́в, ~а́мoggml.жёрнов|ы, ~ов, ~амmmyllusteinurмсогл-ar; kvørnarsteinur [-tn-]мсогл-ar, kvarnarsteinur [-tn-]мсогл-ar(ручной мельницы)
же́ртва	f1.(приносимое в жертву) offurс0осн(тжперен., шахм.),(eis.fl.talv); offurdjórс0o(о животном - тж); принести́ в же́ртву (кому-л.) beraслнa-ó-o(o-m) offur, ofraaði(til o-n); blótaaði(til o-n) (у древних скандинавов)2.(обряд)síжертвоприноше́ние3.gml.(дар,пожертвование) gávaжгл-a4.(добровольный отказ,отречение) offurс0осн; uppofranжo-ir; принести́ всё в же́ртву ofra alt; гото́вый на же́ртвы offurfúsur5.(пострадавший) offurс0осн; же́ртвы сталини́зма ofrini fyri stalinismuna [staːliꞋnɪ-]; име́ются же́ртвы mannskaði var, fólk lótu lív; челове́ческие же́ртвы mannskaðiмгл-i; челове́ческих жертв не́ было eingin mannskaði var; обошло́сь без жертв eingin mannskaði var; же́ртвы пожа́ра tey, sum fórust í eldinum (о погибших); же́ртвы кораблекруше́ния teir, sum fórust við skipinum; teir, sum lótu lív við skipinum; пасть {стать} же́ртвойGenfalla [-tla] sum offur fyriДат, gerast offur fyriДат6.(жищника и т.п.) fongurмсогл-ir{+}, offurс0осн; лев набро́сился на свою́ же́ртву løvan legði [lεijɪ] eftir [εʰtː-] ofrinum hjá sær@приноси́тького-л. {что-л.}в же́ртвучему-л.ofraaðio-n{o-t}fyri o-t;приня́ть же́ртвуtalvtakaслнó-ó-iav einum ofri, takaслнó-ó-iímóti [-Ꞌmɔu-] einum ofri;отклони́ть же́ртвуtalvikki takaслнó-ó-iav einum ofri, ikki takaслнó-ó-iímóti [-Ꞌmɔu-] einum ofri;же́ртва неуда́чного або́ртаóf.,vanv.ein dummur faniмгл-iбран., eitt úthálað reyvarholс0обран., вульг.
же́ртвенник	m1.(место,на котором приносятся жертвы) altarс0о; offursteinurмсогл-ar(камень); blótsteinurмсогл-ar(у древних скандинавов)2.(стол в церкви) offurborðс0о(í russ. ortodoksum kirkjum)
же́ртвенный	stfже́ртвен|ен, ~на, ~но, ~ныadj1.(кже́ртва) offur-; же́ртвенное живо́тное offurdjór2.(самоотверженный) offurfúsurсогл, sum vísir offurvilja
же́ртвовать	же́ртву|ю, ~ешь, ~ютipf(pfпоже́ртвоватьпоже́ртву|ю, ~ешь, ~ют)1.что-л.(отдавать) ofraaðio-t; gevaслнa-ó-iо-t, lataслнæ-ó-ao-t2.Ins(ради Gen, для Gen) ofraaðiAcc(fyri Вин); же́ртвовать собо́й ofra seg3.talv(в шахматах) ofraaðio-t
жертвоприноше́ние	n1.(процесс) offurgerðж0-ir, ofringж0-ar; blótс0о(у древних скандинавов)2.(приносимое в жертву) offurс0осн, offurgávaжгл-a
жест	m1.(движение) handarbragð [-pɹεa]с0о{a/ø}{0<>i}, handarbráс0о{0<>i}(рукой); veipanж0-ir(большие движения рукой); faktirннкж0-ir; сде́лать нетерпели́вый жест руко́й gera eitt ótolið handarbrá; ótolin veipaaðivið hondini; же́стом пригласи́ть к себе́ báknaaði(o-m) at koma til sín; же́стом предложи́тькому-л.сесть bjóðaaðio-mat seta seg (við at vísa á sessin við hondini); язы́к же́стов teknmál [tʰεkn-]2.(поступок) gerðж0-ir(б.ч. в сложн.vinargerðи т.д. или с прил.), gestus [kε-]ннкм0-ar{дат.0}; дру́жеский жест vinargerð; благоро́дный жест stórbær gerð; краси́вый жест vøkur gerð; сде́лать широ́кий жест stórtøkin [stœɹ̥tʰ-] gerð
жестикули́ровать	жестикули́ру|ю, ~ешь, ~ютipfveipaaði(við hondunum), veiggjaaði(við hondunum), gestikulera [kεstɪkʰuꞋleː-]ннкaði
жестикуля́ция	fveipanж0-ir(við hondunum), veiggjanж0-ir(við hondunum), handakeipurжгл-aмн, gestikulering [kεstɪkʰuꞋleː-]ннкж0-ar
жёсткий	stfжёсток, жестка́, жёстко, жёсткиogtlm.жестки́;compжёстчеadj1.(твёрдый) harðurсогл{a/ø}; stívurсогл(негнущийся); seigurгл{+}(о мясе); óslætturсогл{æ/ø}, grovurсогл(грубый на ощупь); rísinсоглосн, stríðurгл(о волосах, траве и т.п.); стать жёстким {жёсче} harðnaaði; stívnaaði; seikkastaði(о пищевых продуктах и д.р.); жёсткий дива́н hørð divan; жёсткие во́лосы rísið hár, strítt hár; жёсткое полоте́нце grovt [kɹɔft] handklæði [haŋ̊klεa]; жёсткая ко́жа grov húð; жёсткая трава́ stívt [stʊi̯ft] gras; жёсткое мя́со seigt [sɔʰkt] kjøt; с жёсткими черта́ми лица́ við grovum andlitsdrøgum [anl-], grefligurглigurí útsjónd, stórskorin [stœʂs-]соглосн2.(суровый) harðurсогл{a/ø}(um sinnalag o.a.); у неё жёсткий хара́ктер hon er hørð av lyndi, hon er hørð í sinnalag, hon er harðlynt; жёсткие слова́ hørð orð; жёсткий моро́з hart frost3.(строгий) strangurсоглng; knappurсогл{a/ø}; жёсткий гра́фик ein knøpp tíðarætlan, ein stramm tíðarætlan; жёсткая ме́ра strangt tiltak [tʰɪl̥t-]; жёсткие усло́вия harðar treytir@жёсткая вода́hart vatn =>ваго́н@,диск9,по́рно,порногра́фия
жёстко	Iadv, stf avжёсткийIIpredtað er hart; здесь жёстко спать her er hart at sova@мя́гко сте́лет, да жёстко спатьorðt.jarnhond [-tn-] í einum floyalshandska [flœijal̥shan̊ka] (реже[flɔi-])пог.
жёстко-ко́рпусный	adj: жёстко-ко́рпусная надувна́я ло́дка rib-bátur [rɪpː-]
жёсткокры́лые	plur(отряд Coleoptera) verndarveingjaðсприлмн
жёстко-надувно́й	adj: жёстко-надувна́я ло́дка rib-bátur [rɪpː-]
жёсткость	fharðleikiнпмгл-i, harðheitннкж0-ir, herðaжгл-a; stívheitннкж0-ir; tað at vera seigur,síжёсткий; ребро́ жёсткости stívariмгл-ari, ribbaжгл-aпроф.(б.ч. мн)
жесто́кий	stfжесто́к, ~а, ~о, ~и;compжесто́чеadj1.(суровый,безжалостный) harðrendur [haɹ-]согл, brutalur [-Ꞌtʰaː-]ннксогл, grummurсогл; fyrilitsleysurсогл(ни с чем {кем} не считающий); жесто́кий тира́н ein harðrendur valdsharri [val̥s-]; жесто́кий нрав harðrendir siðir, brutalirннкsiðir; жесто́кое обраще́ние (с кем-л.) ring viðferðж0-ir(av o-m); жесто́кий челове́кeis.ein øgilм0осн-s,-arog bøðilм0осн-s,-ar2.(очень сильный) sterkurсогл, harðurсогл{a/ø}; жесто́кая боль sterk pína, ring pína; жесто́кая борьба́ hart stríð; жесточа́йшая конкуре́нция beinhørð kapping; жесто́кий отпо́р hørð mótstøða; жесто́кие бои́ harðir bardagar; жесто́кая эксплуата́ция eirindaleys eyðræning; жесто́кая судьба́ hørð lagna; жесто́кие муче́ния ræðuligar kvalir =>шторм
