ш.	síшоссе́
шахтёрский	minu-ннкпроф., náms-нп; minuarbeiðara-ннк, námsarbeiðara-нп; шахтёрский труд arbeiði í minum, arbeiði í námum; шахтёрская жизнь lívið hjá [tʃʰ-] minuarbeiðarum, lívið hjá [tʃʰ-] námsarbeiðarum
ша́хтный	adj1.(кша́хта 1) minu-ннкпроф ., náms-нп2.(кша́хта 1) skakt-спец.
ша́шечка	f: в ша́шечку rútamynstraðurглaður, rútuturсогл
ша́шечница	1.(доска) dammbrettiсгл-i2.(коробка) eskjaжгл-аtil dammfólk
ша́шечный	adjdamm-; ша́шечная доска́ dammborð
шаши́ст	mdammspælariмгл-ari
ша́шка1	Iplurша́ш|ки, ~ек, ~камf1.plur(игра) dammс0о; игра́ть в ша́шки spæla damm2.(фигуры) dammfólkс0о; dammspælс0о{æ/ø}(фигуры с доской)@в ша́шку {ша́шкой}rútuturсогл, puntuturсогл(sum talvborð)
ша́шка2	IIplurша́ш|ки, ~ек, ~камf: дымова́я ша́шка roykbumba; подрывна́я ша́шка dynamittpatrón [tyːnaꞋmɪʰt-]
ша́шка3	IIIplurша́ш|ки, ~ек, ~камf(сабля) sápilм0осн
шашлы́к	Genшашлык|а́;plur~и́, ~о́в, ~а́мm spritustokt lambskjøt
шашлы́чная	f sølubúð, har spritustokt lambskjøt verður selt(síшашлы́к)
ша́шни	ша́шн|ей, ~ямm pluróvkm.,atf.1.(козни) ráð с0омн(ráðagerð), ráðagerðж0-ir, loynibrøgd с0о{a/ø}мнкн., loyniráð с0о{0<>i}мнкн.2.(любовные) fríggj с0о{0<>i}, fjas с0о, kærleiksævintýrннкс0о; завести́ ша́шнис кем-л.faraслнó-ó-aat fjasastvið o-n(fríggja)
шва́бра	fmoppaжгл-a, vaskikusturмсогл-ar, dveylurмсогл-arмор.
шваль	fóvkm,atf..1.(о людях)eis. kollpakk с0о, harkalið с0о{0<>i}2.(хлам) rusl с0о, rusk с0о, skrambulс0осн
шва́льня	plurшва́льни, шва́лен, шва́льнямf gml.skraddaraverkstað (тж[-vεʂta])с0о{a/ø}{0<>i}; seymistovaжгл-a
шварто́в	mfortoyning [-Ꞌtʰœi-]ннкж0-arпроф., endiмгл-i, trossiмгл-i(at fortoya við); sabburмсогл-ar; сня́ться со шварто́вов loysair(t)
швартова́ть	шварту́|ю, ~ешь, ~ютipf(pfпришвартова́тьпришварту́|ю, ~ешь, ~ют, ошвартова́тьошварту́|ю, ~ешь, ~ют)что-л.fortoya [-Ꞌtʰœija]aðio-t, bindaслнa-u-uo-t(skip)
швартова́ться	ipf(pfпришвартова́тьсяпришварту́|юсь, ~ешься, ~ются, ошвартова́тьсяошварту́|юсь, ~ешься, ~ются) leggjaнепрꞋ at (skip), fortoya [-Ꞌtʰœija]aðiмор.
шварто́вка	plurшварто́в|ки, ~ок, ~камf(действие) fortoyning [-Ꞌtʰœi-]ннкж0-arпроф., tað at leggja at; ме́сто шварто́вки fortoyningspláss [-Ꞌtʰœi-]ннкпроф.
шварто́вный	adjfortoynings- [-Ꞌtʰœi-]ннкпроф.=>щит2
швах	pred tlm.1.(несведущ): в матема́тике он швах hann er ikki stinnur í matematikk [maːtɪmaꞋtʰɪʰkː], hann dugir lítið í matematikk [maːtɪmaꞋtʰɪʰkː], hann dugir illa [ɪtla] í matematikk [maːtɪmaꞋtʰɪʰkː]2.(плохо): де́ло швах her stendur ikki væl til; с бензи́ном швах tað stendur illa [ɪtla] til við bensini [-ˈsiː-]; бензи́ном швах
швед	msvenskariмгл-ari, sviiмгл-iкн., svíiмгл-iкн.,выс.
шве́дка	plurшве́д|ки, ~ок, ~камfsvenskariмгл-ari, sviiмгл-iкн., svíiмгл-iкн.,выс.(konufólk)
шве́дский	adjsvenskurсоглnsk; шве́дский язы́к svenskt [svεŋ̊kst]сприлskt@шве́дский столtað kalda borðið =>сте́нка5
шве́йник	marbeiðariмгл-arií klædnaidnaðinum
шве́йный	adjseymi-; шве́йная игла́ seyminál; шве́йная маши́на seymimaskina; шве́йная промы́шленность klædnaídnaður; шве́йная фа́брика klædnavirki
швейца́р	mportier [pʰɔɹ̥Ꞌtʰjeː]мгл-гл(в гостинице); duravaktariмгл-ari, duravørðurмсогл-ir{ø/a}офиц.(в кафе, ресторане); portnariмгл-ari(в доме)
швейца́рец	Gen, Accшвейца́р|ца;plur~цы, ~цев, ~цамmschweizari [svais-] {sveisari}мгл-ari
Швейца́рия	fSchweiz [svais]с0{дат.0}, Sveisс0{дат.0}
швейца́рка	plurшвейца́р|ки, ~ок, ~камfschweizari [svais-] {sveisari}мгл-ari(konufólk)
швейца́рская	fportnararúmс0о
швейца́рский1	Iadj(кШвейца́рия) schweiziskur [svais-]соглsk, sveisiskurсоглsk
швейца́рский2	IIadj(кшвейца́р) portier- [pʰɔɹ̥Ꞌtʰjeː-]; duravaktara-, duravarðar-; portnara-;sí eis.швейца́р
шве́ллерный	adj: шве́ллерное желе́зо kanalstál [-Ꞌnaːl-], U-jarn [-tn]
швертбо́т	mseglbáturмсогл-arvið søkkkjøli
швец	Gen, Accшвец|а́;plur~ы́, ~о́в, ~а́мmgml.skraddariмгл-ari@и швец, и жнец, и в дуду́ {на дуде́} игре́цorðt.allahandamaður [alːanta-]мнепр; túsundkunstnari [tʰʉusɪnk-]мгл-ari
Шве́ция	fSvøríkiсгл-i, Sviaríkiсгл-iкн.,ред.
швея́	f1.gml.(портниха) syirska [syːɪ-]ннкжгл-a, seymikonaжгл-a2.(работница) seymigentaжгл-a(á fabrikk o.a.)
шво́рень	Genшво́рн|я;plur~и, ~ей, ~ямm síшкво́рень
шво́рка	plurшво́р|ки, ~ок, ~камffisk.leysingж0-arрыб.(tað at leysa)
швырну́ть	швырн|у́, ~ёшь, ~у́тmoment(ipfшвыря́ть)АccblakaaðiВин, tveitair(t)Вин; hivaaðiВин(бросить); sendair(d)Вин, ripaaðiВин, sipaaðiВин(с силой); hirðair(d)Вин, grýtair(t)Вин(камни, а тж. вообще); швырну́ть ка́мень (в кого-л.;во что-л.) steinaaðiВин, kastaaðigróteftir[εʰtː-]Дат, grýta gróteftir[εʰtː-]Дат; швырну́ть снежки́ {снежка́ми}в кого-л.blaka kavabløkeftir[εʰtː-]o-m; швырну́тькому-л. что-л.blakao-m o-t; маши́ну швырну́ло в сто́ронуópbilurin bleiv tveittur til síðuna
швыро́к	Genшвырока́; plurшвырок|и́. ~о́в, ~а́мm1.tlm. (движение) kastс0o{a/ø}, tað at balka2.fakm.(дрова) pinnabrenniсгл-i(stutt pettir)
швыря́ть	ipf Acc,чем-л. síшвырну́ть; судьба́ его́ швыря́ла {ópего́ швы́ряло} из го́рода в го́род lagnan rak hann úr einum býi í annan; нас швыря́ло в ваго́не из стороны́ в сто́ронуópvit blivu slongd aftur [aʰtː-] og fram inni í vogninum; швыря́ть камня́мив AccsteinaaðiВин, kastaaðigróteftir[εʰtː-]Дат, grýta gróteftir[εʰtː-]Дат; ло́дку швыря́ло из стороны́ в сто́ронуópbáturin kastaðist á ymsar kjálkar; кора́бль швыря́лоópskipið lá og kjálkaðist@швыря́ть деньга́миblakaaðium seg við pengum
швыря́ться	ipf1.чем-л.: швыря́ться снежка́ми kastaaðikavabløk; швыря́ться камня́ми steinaaði, blakaaðigrót2.Ins(щедро раздавать;растрачивать) oyðslaaðiВин, blakaaðium seg viðДат; швыря́тся обеща́ниями blaka um set við lyftum; швыря́ться людьми́ oyðsla við fólki
шевели́ть	шевел|ю́, ~и́шь, ~я́тogшеве́л|ишь, ~ятipf1.moment(по)шевельну́тьчто-л.(трогая,проводить в движение) rørair(d)o-t, beveka [-Ꞌveː-]ннкaðio-t; шевели́ть се́но vendair(d)hoyggi2.чем-л.(слегка двигать) látaслнæ-ó-avið o-m, rørair(d)o-t; шевели́ть губа́ми láta við varrunum; шевели́ть руко́й røra hondina, beveka [-Ꞌveː-]ннкhondina =>мозг@
шевели́ться	шевел|ю́сь, ~и́шься, ~я́тсяogшеве́л|ишься, ~ятсяipf(momentшевельну́тьсяшевельн|у́сь, ~ёшься, ~у́тся,pfпошевельну́тьсяпошевельн|у́сь, ~ёшься, ~у́тся) rørair(d)seg, beveka [-Ꞌveː-]ннкaðiseg,; он лежа́л и не шевели́лся hann lá og rørdi seg ikki; стой и не шевели́сь! statt púra stillur [-tl-]!; не шевеля́сь uttan at røra seg, pinnastillur [-tl-]@шевели́сь {шевели́тесь}!skunda tær!
шевельну́ть	moment síшевели́ть
шевельну́ться	moment síшевели́ться
шевелю́ра	ftlm.tjúkt og stórt hár
шевио́т	mcheviot [ʃeːvjɔʰtː]с0o({0<>})
шевио́товый	cheviot- [ʃeːvjɔʰt-]
шевро́	n indeclchevrau [ʃeːꞋvɹoː]с0гл({0<>}), getaskinn [keː-]ннкс0о, geitarskinnнпс0о
шевро́вый	adjchevrau- [ʃeːꞋvɹoː-], getaskins- [keː-]ннк, geitarskins-нп
шевро́н	mvinkulм0осн(á uniformsjakka o.tíl.)
шеде́вр	[-дэ́-]mmeistaraverkс0о, meistarastykkiсгл-i
шезло́нг	m(раздвижной стул) liggistólurмсогл-ar; chaiselongue {sjeselong} [ʃeːsɪꞋlɔŋk]ж0-ir(вид дивана)
шей...	шей, ше́йтеimper avшить
ше́йка	plurше́йки, ше́ек, ше́йкамf1.dim avше́я2.(узкая часть чего-л.): ше́йка бедра́ lærleggjarhálsurмсогл-ar; ше́йка ва́ла aksiltappurмсогл-ar; ше́йка ма́тки lívmóðurhálsurмсогл-ar
ше́йкер	m(сосуд) shakari [ʃεik-]мгл-ari
ше́йный	adjháls-; ше́йный плато́к hálsturriklæði =>позвоно́к
ше́йпинг	m(гимнастика) bodyshaping [pɔtːiʃεip-]ж0-ar
шейх	msjeikurмсогл-ar(tittul í arabiskum o.ø. londum)
шёл	pret m avидти́
ше́лест	mskróvanж0-ir, skavс0о
шелесте́ть	шелест|и́шь, ~я́тipfskróvaaði, skavaaði; ли́стья шелестя́т bløðini skróva; шелесте́ть газе́той skava við avísini [-Ꞌvʊi-]
шёлк	Genшёлка, шёлку,Prpо шёлке, на (в) шелку́;plurшелк|а́, ~о́в, ~а́мmsilkiсгл-i; шёлк-сыре́ц rásilki; иску́сственный шёлк kunstsilkiннкпроф.; на шелку́ silkifóðraður; ходи́ть в шелка́х ganga í silki(klæðum) =>долг@
шелкови́нка	plurшелкови́н|ки, ~ок, ~камfsilkitráðurм0осн-ar,-ir{á/æ}{0<>i}{+}
шелкови́стый	stfшелкови́ст, ~а, ~о, ~ыadjsilkimjúkurсогл, sum silki
шелкови́ца	f(Morus) morberjatræс0о{æ/ø}
шелкови́чный	adj: шелкови́чный червь (Bombyx mori) silkiormurмсогл-ar
шелково́д	msilkialariмгл-ari
шелково́дство	nsilkialingж0-ar
шелково́дческий	adjsilkialing-
шёлковый	adj1.(кшёлк) silki-; шёлковые чулки́ silkisokkar2.síшелкови́стый3.tlm.(кроткий): он стал (как) шёлковый hann varð sum lambið
шелкопря́д	m: ту́товый шелкопря́д (Bombyx mori) silkisummarfuglurмсогл-ar, silkifirvaldurмсогл-ar
шелкопряде́ние	nsilkispinningж0-ar
шелохну́ться	шелохн|у́сь, ~ёшься, ~у́тсяpfrørastir(d), rørair(d)seg, beveka [-Ꞌveː-]ннкaðiseg
шелуди́вый	stfшелуди́в, ~а, ~о, ~ыadjóvkm.við skrubbi, við kláðumкн.,ред.
шелупо́нь	f1.koll, tlm., niðr.(никчёмные люди) vánafólkс00мн, собир; pakkс0особир пренебр., partaníggjс0о{0<>i}{+}собир, пренебр.(сброд)2.(незначительный человек) óvættiсгл-iпренебр., tandurсооснпренебр., lortendiгрубо
шелуха́	f1.(фруктов,овощей) skalс0о{a/ø}(тж семян,орехов); flusс0о(от картофеля и др.); карто́фельная шелуха́ eplaflus2.(от кожи) flusс0о(av húð); roðslaжгл-a(turr,sum rusk) (чешуя)3.fl.(что-л. несущественное) frasс0о(ónyttugt fyribrigdi o.a.)
шелуше́ние	n1.(кшелуши́ть) flysingж0-ar2.(кшелуши́ться) avskallingж0-ar, flusnanж0-ir
шелуши́ть	шелуш|у́, ~и́шь, ~а́тipf что-л.flysaur(t){y/u}o-t
шелуши́ться	шелуш|у́сь, ~и́шься, ~а́тсяipfskallaннкaðiav, flusnaaðiav
ше́льма	m/fóvkm.skálkurмсогл-ar, kúllurмсогл-arпренебр.
шельмова́ть	шельму́|ю, ~ешь, ~ютipf(pfошельмова́тьошельму́|ю, ~ешь, ~ют)Acckomaслнo-o-oДатí ringt orð, dálkaaðiВинút, spilla [-tla]ir(t)Винút
шельтерде́к	mshelterdekk [ʃεl̥tε-]с0омор.
шельф	m: континента́льный шельф meginlandsstøðiмгл-iгеол., landgrunnur [lank-], [laŋk-]мсогл-ar
ше́льфовый	adjmeginlandsstøðis-геол., landgruns- [lank-], [laŋk-]
шемя́кин	adj: шемя́кин суд (несправедливый) órættvísurсоглdómur; partískur [-Ꞌtʰʊi-]соглskdómur (произвольный)
ше́нгенский	adj: ше́нгенская ви́за Schengen-visum [ʃεŋkεn-]; ше́нгенский сою́з Schengen-samarbeiðið [ʃεŋkεn-]сгл-iопр., Schengen-avtalan [ʃεŋkεn-]жгл-aопр.
ше́нкель	m beinið frá knænum niður á økilin(á reiðmanni)
шепеля́вить	шепеля́в|лю, ~ишь, ~ятipflespaaði
шепеля́вость	flespingж0-ar, lespandi úttalaжгл-a
шепеля́вый	stfшепеля́в, ~а, ~о, ~ыadjlespandiглandi; он шепеля́вый hann lespar
шепну́ть	moment avшепта́ть
шёпот	mteskс0о, teskanж0-ir
шёпотом	advteskandi
шептала́	f koll. sólturkaðar abrikosir og ferskunar[fεʂkɪn-]ннк
шепта́ть	шепчу́, ше́пч|ешь, ~утipf(moment.шепну́тьшепн|у́, ~ёшь, ~у́т) teskaaði, lýðair(d); tutlaaði(тихо говорить и т.п.); шепта́тькому-л. что-л.на́ ухо lýðao-m o-tí oyrað
шепта́ться	шепчу́сь, ше́пч|ешься, ~утсяlýðastir(d), teskaaðisínámillum [sʊinamɪtl-]; tutlaaðisínámillum [sʊinamɪtl-] (тихо говорить и т.п)
шепту́н	Gen, Accшептун|а́;plur~ы́, ~о́в, ~а́мmtlm.,atf.(распространитель слухов) søgusmettaжгл-a; smettariмгл-ari(доносчик)
шербе́т	msorbet [sɔɹꞋpeː]с0глкул.
шере́нга	fraðс0о{a/ø}(har fólk standa lið um lið)
шери́ф1	Imsheriffur {sjeriffur} [ʃeꞋrɪ-]мсогл-ar(í USA o.a.)
шери́ф2	IIm heiðurstittul hjá muslimum
шерохова́тость	f1.(неровность) tað at vera óslættur, tað at vera ójavnur,síшерохова́тый; óslættiмгл-i, ójavniмгл-i; hólpurмсогл-ar, knortilм0осн(шероховатое место)2.(стиля) knortlс0о(í stíli)3.plur(трения) illstøðaжгл-a
шерохова́тый	stfшерохова́т, ~а, ~о, ~ыadjóslætturсогл{æ/ø}, ójavnurсогл{a/ø}; rufluturсогл; knortluturсогл(um stíl) (о стиле)
шерп	1.m/f(fólkaslag) indeclsherpa [ʃεɹ̥pа] {sjerpa}м нескл.2.adj indeclsherpa- [ʃε-] {sjerpa}; sherpa [ʃεɹ̥pа] {sjerpa}с нескл.(málið) (язык)
шерпа́	Iplur indecl(представители народности)fólk av fólkaslagnum sherpaIIm, f indecl fólk av fólkaslagnum sherpaIIIadj indeclsherpa- [ʃεɹ̥pa] {sjerpa-}
шерсти́нка	plurшерсти́н|ки, ~ок, ~камf(волосок) ullarhár [ʊtl-]с0о; ulltráðurм0осн-ar,-ir{á/æ}{0<>i}{+}(нитка)
шерсти́стый	stfшерсти́ст, ~а, ~о, ~ыadj1.(об овцах и др.) loðinсоглоснð/d; ullarríkur [ʊtl-]согл; væl ullaður [ʊtl-]глaður, ullprúðurгл(с густой и длинной шерстью)2.(о ткани) loðinсоглоснð/d(um klæði o.a.)
шерсти́ть	шерст|и́т, ~я́тipf1.(раздражать кожу) skríðaслнei-i-i(um ullint klæðir); шарф шерсти́т ше́ю tað skríður á hálsinum av turriklæðnum2.что-л.fl. óvkm.(обыскивать) rannvæla [-Ꞌvεa-]aðio-t, rótaaðiо-t(upp)3.tlm.Acc(выговаривать) gevaслнa-ó-iДатeina yvirháling [-Ꞌhɔa-]энкнеформ., skeldaaðiВинút
шерстопряде́ние	nspinningж0-arav ull [ʊtl]
шерстопряди́льный	adjspuna-; шерстопряди́льная фа́брика ullvirki, spunavirkiофиц., spinnarí [-Ꞌrʊi]ннкс0о{0<>i}
шерстотка́чество	nvevingж0-arav ull [ʊtl]
шерсть	(plurfakm.ше́рсти, шерст|е́й, ~я́м)f1.(волосяной покров) ull [ʊtl]ж0-ir2.(покров,остриженный с животного) ull [ʊtl]ж0-ir(heil ull av seyði o.ø.), royviсгл-i(с овцы)3.(материал) ull [ʊtl]ж0-ir(tilfar)4.(ткань) ullint [ʊtl-] klæðiсгл-i=>гла́дить@
шерстяно́й	adjull- [ʊtl-], [ʊl-], ullintur [ʊtl-]; шерстяна́я пря́жа tógv; шерстяны́е изде́лия ullvøra [ʊlv-]; шерстяно́е пла́тье ullintur kjóli
шерша́веть	ipf(pfзашерша́веть)bert 3. pers brúkturverða óslætturсогл{æ/ø}, verða rúðruturсогл
шерша́вый	stfшерша́в, ~а, ~о, ~ыadjhvassurсогл{a/ø}(rúðrutur, skrubbutur), rúðruturсогл
ше́ршень	Gen, Accше́ршн|я;plur~и, ~ей, ~ямm(Vespa crabro)slag av insekti í vespuættini(en.hornet; da.gedehams)
шест	Genшест|а́;plur~ы́, ~о́в, ~а́мm1.(палка,жердь) stongж0-ur{o/a/e}2.ítr.(спортивный снаряд) stongж0-ur{o/a/e}; прыжо́к с шесто́м stangarlop; прыгу́н с шесто́м stangarleypariмгл-ari; пры́гать с шесто́м gera stangarlop
шёст	num indecl síсам-
шеста́я	f: одна́ шеста́я ein sættingurмсогл-ar, ein sætti parturмсогл-ar{a/ø}
ше́ствие	ngongaжгл-a(av fólki í skipaðum fylki); торже́ственное {пра́здничное} ше́ствие skrúðgongaжгл-a; погреба́льное ше́ствие líkfylgiсгл-i; сва́дебное ше́ствие brúðarskariмгл-i, brúðarfylgiсгл-i=>тра́урный1,фа́кельный
ше́ствовать	ше́ству|ю, ~ешь, ~ютipf1.skemt.,spott.(следовать куда-л.) komaслнo-o-ospankulárandi [spaŋ̊kʊꞋlɔa-]шутл.,ирон.2.bókl.(участвовать в шествии) gangaслнe-i-iskrúðgongu
шестёра	ftlm.síшестёрка7
шестерёнка	plurшестерён|ки, ~ок, ~камf dim avшестерня́
шестери́к	Genшетерика́;plurшестерик|и́, ~~о́в, ~а́мm1.søg.(мера)gamalt russiskt mál um o-t, sum tað eru seks av2.gml. (упряжка) toymiсгл-ivið seks rossum
шестёрка	plurшестёр|ки, ~ок, ~камf1.(цифра) sekstalс0о{a/ø}2.kort.(карта) seksu(r)сгл-aмн3.tlm.(трамвай,автобус и т.п.) seksariмгл-ari(bussur o.a. við nummarinum seks)4.sjóm.(судно и др., обозначенное цифрой,оканчивающейся на 6)skip við nummari, ið endar við seks5.(упряжка) sekstoymiсгл-i6.(лодка) báturмсогл-arvið seks røðarum; seksmannafarс0о{a/ø}(фарерская лодка)7.tlm.(автомобиль): ВАЗ 2106 Lada [laː-] 21068.argot(подручный) ørindrekiмгл-i, skutilsveinurмсогл-ar(fangi,sum er hjálparmaður hjá fanga,ið er hægri í tign)
шестерно́й	adj1.(из шести однородных частей) seks-; шестерно́й но́жик knívur við seks bløðum2.(в шесть раз больше) seksdupulturсогл, seksfaldurсогл, seks ferðir størri, seks ferðir longri; шестерно́е коли́чество seksfald nøgd
шестерня́1	Iplurшестер|ни́, ~ён, ~ня́мf(зубчатое колесо) tannhjul [-juːl]ннкс0о, tannhjól [-tʃʰɔul]нпс0о
шестерня́2	IIplurшестер|ни́, ~не́й, ~ня́мf(упряжка)síшестёрка5
ше́стеро	Acc,Gen, Prpшестеры́х,Datшестеры́м,Insшестеры́миnum coll1.subst í m,sum merkja persónar og pers pron í plurseks; ше́стеро сынове́й seks synir; их бы́ло ше́стеро teir vóru seks (mans)2.summi subst,ið bert eru til í plur;oftast Nom og Accseks; ше́стеро су́ток seks samdøgur3.summi subst,sum merkja sovorðið,sum er í pørum, oftast Nom og Accseks pør; шесть рукави́ц seks pør av vøttum@за шестеры́хfyri seks; рабо́тает за шестеры́х hann arbeiðir fyri seks
шести...	í samansseks-
шестигра́нный	adjvið seks síðum
шестидесяти...	í samanstrýss- [tʰɹʊʃ-], seksti- [sεʰkstʰiː-]нп
шестидесятиле́тие	n1.(о сроке) trýss [tʰɹʊʃː] ár, seksti [sεʰkstʰiː]нпár (tíðarskeið)2.(годовщина) trýss [tʰɹʊʃː] ára dagur, seksti [sεʰkstʰiː]нпára dagur3.(день рождения) trýss [tʰɹʊʃː] ára føðingardagur, seksti [sεʰkstʰiː]нпára føðingardagur
шестидесятиле́тний	adj1.(о сроке) trýss [tʰɹʊʃː] ára, seksti [sεʰkstʰiː]нпára (tíðarskeið)2.(о возрасте) trýss [tʰɹʊʃː] ára gamal, seksti [sεʰkstʰiː]нпára gamal
шестидеся́тник	m1.søg.framburðsmaður o.tíl í Russlandi í 1860-árunum2.frælsishugsandi fólk,ið bardist fyri mannarættindum o.ø. í Sovjetsamveldinum í 1960-árunum
шестидеся́тый	num ordtrýssinstjúgundi [tʰɹʊʃː-], sekstiundi [sεʰkstiː-]нп
шестидне́вный	adjseks daga
шестизна́чный	adjsekssiffraður {seksciffraður} [-sɪ-]соглaður
шестикла́ссник	mnæmingurмсогл-arí sætta flokki
шестиле́тие	n1.(о сроке) seks árс0омн(tíðarskeið)2.(годовщина) seks ára dagurмсогл-ar(+}3.(день рождения) seks ára føðingardagurмсогл-ar(+}
шестиле́тний	adj1.(о сроке) seks ára (tíðarskeið)2.(о возрасте) seks ára gamalсоглосн{a/o}
шестиме́сячный	adj1.(о сроке) seks mánaða [mɔana] (ред.[mɔanava]) (tíðarskeið)2.(о возрасте) seks mánaðir [mɔanaɹ] (ред.[mɔanajɪɹ]) gamalсоглосн{a/o}
шестинеде́льный	adj1.(о сроке) í seks vikur, seks vikurннк(tíðarskeið)2.(о возрасте) seks vikur gamalсоглосн{a/o}
шестипа́лый	stfшестипа́л, ~а, ~о, ~ыadjvið seks fingrum; við seks tóm (на ноге)
шестисотле́тие	n1.(срок) seks hundrað ár,  hundrað ára tíðarskeiðс0о{0<>i}2.(годовщина) seks hundrað ára dagurмсогл-ar{+}fyri Вин, seks hundrað ára jubileum [juːpiꞋleː-]ннкс0-eumfyri Датпубл.
шестисотле́тний	adj1.(о сроке) seks hundrað ára (tíðarskeið)2.(о возрасте) seks hundrað ára gamalсоглосн{а/о}3.(о годовщине) seks hundrað ára (jubileum o.a.)
шестисо́тый	num ordseks hundraðndi [hʊntɹɪnti] (реже[hʊntɹantɪ])
шестисто́пный	adjvið seks (ørindis)fótum, seksfótaðurглaður; шестисто́пный стих heksametur [-Ꞌmeː-]с0осн
шестиуго́льник	msekskanturмсогл-ar, sekshyrningur [-tn-]лпмсогл-ar
шестиуго́льный	adjsekskantaðurглaður, sekshyrntur [-hɪn̊t-]лпсогл
шестичасово́й	adj1.(продолжительностью в шесть часов) seks tíma; шестичасово́й рабо́чий день seks tíma arbeiðsdagur2.tlm.(назначенный на шесть часов) (sum fer, sum er ásett til) klokkan seks; шестичасово́й по́езд tokið klokkan seks, sekstokið
шестиэта́жный	adj(sum er) í seks hæddum, (sum er) í seks etasjum [-Ꞌtʰaː-]ннк
шестна́дцати-	í samanssekstan
шестна́дцатый	num ordsekstandi [sεʰkstɪnti] (реже[sεʰkstantɪ])
шестна́дцать	Gen, Dat, Prpшесттна́дцати,Insшестна́дцатьюnum cardsekstan@шестна́дцать круго́мóvkm.tað er hopleyst, tað er ikki bøn, her gerst einki
шестови́к	Genшестовик|а́;plur~и́, ~о́в, ~а́мmstangarleypariмгл-ari
шесто́й	num ordsætti@шесто́е чу́вствоsætti sansur
шесто́к	Genшестка́; plurшестк|и́, ~о́в, ~а́м1.(в русской печи) árnurмсогл-arуст.(í russ. ovni)2.dim avшест3. (насест) vaglс0о
шесть	Gen, Dat, Prpшести́,Insшестью́num cardseks
шестьдеся́т	Gen, Dat, Prpшести́десяти,Insшестью́десятьюnum cardtrýss [tʰɹʊʃː], seksti [sεʰkstiː]нп(употребляется,однако, широко на письменных поздравлениях,квитанциях,чеках и т.п.)
шестьсо́т	Genшестисо́т,Datшестиста́м,Insшестьюста́ми,Prpшестиста́хnum cardseks hundrað [sεʰkshʊntɹa]
ше́стью	advseks ferðir
Шетла́ндские острова́	síШетле́ндскиеострова́
Шетле́ндские острова́	Hetlandс0о{a/o}, Shetlandsoyggjarnar [ʃεʰtlan̊s-]ннкж0-ar{+}мн опр.
шеф	m1.søgel.um útlond(в царской России,в нек. странах) ovastiмгл-i, stjóri [stj-]мгл-i; шеф поли́ции politistjóri [pʰoːliꞋtʰiː-], løgreglustjóri2.tlm.(руководитель) yvirmaðurмнепр(stjóri o.tíl.), chefur [ʃeː-]энкмсогл-arнеформ.3.шефствующая организация) stuðulsfelagс0о{a/ø}{0<>i}(felagsskapur o.a.,ið átekur sær at hjálpa felag el.ø. á ávísum øki,síше́фство)4.tlm.síшеф-по́вар5.slang(таксист) taksаsjaførurннкмсогл-ar(serliga í tiltalu)
шеф-	í samanshøvuðs-, yvir; шеф-по́вар høvuðskokkur; шеф-пило́т chefpilotur [ʃeː-]ннкпроф., høvuðspiloturннк, høvuðsflogskipariнп
ше́фский	adjstuðuls-, hjálpar-;síшеф3, ше́фство
ше́фство	m: взять ше́фствонад Insa) (об организации) veitair(t)Датstuðul,síшеф3 (um felagsskap); b) (о человеке) vegleiðair(d)Вин, takaслнó-ó-især avДат(um fólk)
ше́фствовать	ше́фству|ю, ~ешь, ~ютipf над Insveitair(t)Датstuðul, hjálpa [j-]ir(t){+}Дат,síшеф3
ше́я	fhálsurмсогл-ar; svíriмгл-i(толстая,у скота и людей); krikiмгл-i(у птиц); бы́чья ше́яbeinl.,fl.tarvssvíri [tʰaʂs-]прям., перен.; лебеди́ная {лебя́жья} ше́я hálsur á svana,fl.svanahálsur (klænur og vakur hálsur); бро́ситься на ше́юкому-л.tveita seg um hálsiná o-m, leypa um hálsiná o-m;@слома́ть {сверну́ть} себе́ ше́юа)beinl.bróta hálsinпрям.; b)fl.(действовать неосмотрительно) faraслнó-ó-afram eftir [εʰtː-] fummum; c) (потерпеть неудачу) gangaслнe-i-iúr hond;сверну́тькому-л.ше́юbrótaслнey-u-ohálsiná o-m,síсверну́ть@;висе́ть на ше́еу кого-л.a) (быть на иждивении) liggjaслнá-ó-iinni áo-m, veraслнa-ó-eo-mein kleppur; b) (пристаивать) amastaðiupp á Вин, nálgastaðiuppi í Дат, hangaслнe-i-iuppi á Дат(amast);вы́гнать {вы́толкать}кого-л.в ше́ю {в три ше́и}blakaaðio-nút, blakaaðio-ná dyr, gevaслнa-ó-io-mdurafjórðinginидиом.;посади́тького-л.на ше́юкому-л.lataслнæ-ó-ao-nblíva einа byrðu fyrio-n, leggjaнепрeina byrðu áo-n;сиде́ть {жить, быть} на ше́еу кого-л.liggjaслнá-ó-iinni áo-m, veraслнa-ó-eo-mein kleppur; livair(d)(að)av o-m, snultaaði; у него́ на ше́е тро́е дете́й hann hevur trý børn [-tn] at síggja til;сади́тьсякому-л.на ше́юleggjastнепрinn áo-n, gerastнепрein byrða fyrio-n, gerastнепрein kleppur fyrio-n;получи́ть по ше́еfáaслнe-i-iꞋ av at vita, fáaслнe-i-itoyggið;датькому-л.по ше́еlatao-nfáa Ꞌ av at vita, gevao-meina skortfleingju [skɔɹ̥f-] =>ве́шаться@,ви́снуть@,гнатьA 2,гнуть@,кида́ться@
