Н	нью́тонmnewton [ɲjʉutʰɔn]ж0-ir
нагреба́ть	ipf síнагрести́
нагре́в	mupphitingж0-ar
нагрева́ние	nupphitingж0-ar
нагрева́тель	mvarmaapparat [-raːt]с0о, hitariмгл-ari
нагрева́тельный	adjvarma-, hita-; нагрева́тельные прибо́ры varmaapparat [-raːt]
нагрева́ть	ipf síнагре́ть
нагрева́ться	ipf síнагре́ться
нагреме́ть	нагрем|лю́, нагрем|и́шь, ~я́тpftlm.1.(наделать шума) haldaслнe-i-iꞋ gang, larmaaði2.bert 3. pers brúkturfl.(нашуметь) vekjaur(t){e/a}{+};ir(t){e/a}{+}rumbul, vekjaur(t){e/a}{+};ir(t){e/a}{+}øsing, elvair(d)til rok; vera ein sensatión [-Ꞌʃɔun]ннк(быть сенсацией)
нагрести́	нагреб|у́, ~ёшь, ~у́т;pretнагрёб, нагребл|а́, ~о́, ~и́pf(ipfнагреба́ть)что-л., чего-л.rakaaðio-tsaman (í ávísari nøgd)
нагре́ть	pf(ipfнагрева́ть)1.что-л., чего-л.(bert við materiell navnorð) (сделать тёплым,горячим) vermair(d)o-t(upp), hitaaðio-tupp2.Accóvkm.(обманом ввести в убыток) snýtair(t)Вин, lumpaaðiВин(so missur stendst av); они́ нагре́ли его́ на 1000 рубле́й teir snýttu hann fyri 1000 rublar@нагре́ть бока́кому-л.bukaaðio-nav, smyrjaнепрo-nav;нагре́ть ру́ки(на чём-л.) nørair(d)Ꞌ at sær; skavaaðiinn Ꞌ undir seg (захватить,прибрать)
нагре́ться	pf(ipfнагрева́ться)bert 3. pers brúkturhitnaaði, blíva heiturсогл
нагреши́ть	нагреш|у́, ~и́шь, ~а́тpfsyndaaðiilla [ɪtla], syndaaðinógv
нагримирова́ть	pf síгрими́ровать
нагрими́роваться	pf síгримирова́ться
нагроможда́ть	ipf síнагромозди́ть
нагроможде́ние	n1.(действие) samanrúgvingж0-ar, samandunganж0-ir2.(груда) dungiмгл-i, rúgvaжгл-a
нагромозди́ть	pf síгромозди́ть
нагруби́ть	pf síгруби́ть
нагрубия́нить	pf síгрубия́нить
нагру́дник	m1.(фартука и др.) smekkaжгл-a(á fyriklæði o.ø.); hakusmekka [haː-]ннкжгл-a(детский)2.(для защиты) bringustykkiсгл-i; bróstbrynjaжгл-a(лат и др.)3.: спаса́тельный нагру́дник redningsvesturннкмсогл-ar, bjargingarvesturнпмсогл-ar
нагру́дный	adjbringu-; нагру́дный карма́н bringulummi
нагружа́ть	ipf síнагрузи́ть
нагружа́ться	ipf síнагрузи́ться
нагрузи́ть	нагружу́, нагру́з|ишь, ~ятogнагруз|и́шь, ~я́тpf(ipfнагружа́ть)1.что-л. чем-л.(наполнить грузом) lastaaðio-t við o-m(б.ч. о судах); fermair(d)o-t umborð[-Ꞌpoːɹ]á o-t(б.ч. о судах), innskipaaðio-t umborð[-Ꞌpoːɹ]á o-t(на судно); lessaaðio-t upp á o-t, lessaaðio-t við o-m(б.ч. на грузовик); нагрузи́ть маши́ну дрова́ми lessa brenni upp á ein bil2.Acc чем-л.fl.(возложить) leggjaнепрo-t á Вин; grýtair(t)о-t á Вин, díkjair(t)Винundirí o-m; нагрузи́тького-л.рабо́той leggja nógv arbeiðiá o-n; он ниче́м не нагру́жен hann er púra leysur (hevur ongar skyldur o.tíl.)
нагрузи́ться	нагружу́сь, нагру́з|ишься, ~ятсяogнагруз|и́шься, ~я́тсяpf(ipfнагружа́ться)1.tlm.(взять много груза) takaслнó-ó-inógva last (о судах и др.); dyngjair(d)seg undirvið o-m2.óvkm.(напиться) drekkaслнa-u-useg Ꞌ fullan [-tl-]
нагру́зка	plurнагру́з|ки, ~ок, ~камf1.(действие) lastingж0-ar, fermingж0-ar; lessingж0-ar,sbr.нагрузи́ть 12.(то,что нагружено) lastж0-ir; farmurмсогл-ar3.tekn.(вес,усилие) belastningur [-Ꞌlasn-]ннкмсогл-arпроф.; нагру́зка на ось aksilbelastningurннкпроф.4.(работа,занятность) arbeiðsbyrðaжгл-a; undirvísingarskyldaжгл-a(hjá lærara) (у преподавателя); у него́ сейча́с о́чень больша́я нагру́зка hann hevur nógv at gera í løtuni; часова́я нагру́зка преподава́теля katedurtímar [-Ꞌtʰeː-]мгл-iмн(hjá lærara); кака́я у него́ нагру́зка? ≈ hvussu nógvar tímar undirvísir hann? (um lærara); рабо́тать с по́лной нагру́зкой a) (на полной ставке) arbeiða fulla [-tla] tíð; b) (с полной силой) arbeiða alt tað, ein orkar; рабо́тать с непо́лной нагру́зкой arbeiða við niðursettari arbeiðstíð5.: нагру́зка промысло́ваяfisk.veiðitrýstс0o6.: обще́ственная нагру́зка álitsstarvс0о{a/ø}7.(идейное назначение) boðskapurмсогл-ir(politiskt,hugsjónarligt innihald)8.: с нагру́зкойtlm.≈ við einum uppískoyti [-Ꞌpʰʊi-] (um billettir,varu o.a.,sum verða seld við tí treyt,at okkurt annað eis. verður keypt)@в нагру́зкук чему-л. prep + Dataftur at [aꞋtʰɹεat]Дат(sum kravt uppískoyti til o-t)
нагру́зочный	adjlasti-, lessi- (síнагру́зка1)
нагрыза́ть	ipf síнагры́зть
нагры́зть	нагрыз|у́, ~ёшь, ~у́т;pretнагры́з, ~ла, ~ло, ~лиpf(ipfнагрыза́ть)что-л-. чего-л.1.(разгрызть) gnagaaðio-t(í ávísari nøgd)2.(прогрызть) gnagaaðio-tígjøgnum [-Ꞌtʃœ-] (í ávísari nøgd)
нагрязни́ть	нагрязн|ю́, ~и́шь, ~я́тpfdálkaaði, svínaaði
нагря́нуть	нагря́н|у, ~ешь, ~утpfkomaнепрóvæntað; kyknaaðiꞋ upp, stingaслнa-u-useg Ꞌ upp (о событиях,явлениях)
нагу́л	m1.(действие) fitingж0-ar, gøðingж0-ar2.(степень откормленности) fitiжгл-i(á neytum,seyði o.ø.)
нагу́ливать	ipf síнагуля́ть
нагу́ливаться	ipf síнагуля́ться
нагуля́ть	pf(ipfнагу́ливать)1.что-л. чего-л.(кормясь на пастбище,прибавить в весе) bítaслнei-i-i(ganga á biti og draga upp á holdini); gangaслнe-i-iá biti (тж о рыбе) (og draga upp á holdini); скот нагуля́л хоро́ший вес neytini eru fitnað nógv2.что-л. чего-л.tlm.(приобрести полноту и т.п.) fáaслнe-i-io-t(við at liva væl); нагуля́ть брю́шко fáa búk3.что-л. чего-л.tlm.(приобрести что-л.,гуляя) fáaслнe-i-io-t(við at ganga,spáka); нагуля́ть аппети́т fáa matarlyst4.óvkm.(забеременить) blívaслнei-i-iupp á Ꞌ vegin (uttan fyri hjúnalag); eigaнепр(barn uttan fyri hjúnalag) (родить)
нагуля́ться	pf(ipfнагу́ливаться) gangaслнe-i-iein langan túr; gangaслнe-i-iso nógv ein orkar
над	(framman fyri summum samansetingum av hjáljóðumна́до)prep + Ins1.(о положении выше чего-л.,кого-л.) uppi yvir +Дат; oman fyri +Вин; yvir +Дат(б.ч. в опр. сочетаниях,в переносном смысле и др.); над го́родом лета́л самолёт eitt flogfar fleyg uppi yvir býnum, flogfarið fleyg oman fyri býin; над дива́ном висе́ла карти́на ein mynd hekk uppi yvir divanini [-Ꞌvaː]; дом стоя́л над о́зером húsini stóðu oman fyri vatnið; кры́ша над голово́й tak yvir høvdið [hœtːɪ] (NB! Вин); 1000 ме́тров над у́ровнем мо́ря 1000 metrar oman fyri sjógvin2.(о господствующем положении,о болеe высокой степени чего-л.,кого-л.) yvir+ Дат; он стои́т над все́ми на́ми hann stendur yvir okkum øllum [œtl-]; власть над людьми́ maktin yvir fólkinum, valdið á fólkinum; госпо́дствоватьнад кем-л.ráða yviro-m; побе́да над врага́ми sigur á fíggindunum; моше́нник над моше́нниками svindlari [svɪnl-]энкнеодобр.yvir svindlarar [svɪnl-]ннкнеодобр.(NB! Вин)3.(о предметах и др.,на которые направлена какая-л. деятельность): рабо́татьнад чем-л.arbeiðaupp á[ʊꞋpʰoː]o-t(ремонт,конкретные предметы); arbeiðavið o-m(б.ч. о вопросах,проблемах и т.п.); сиде́ть над кни́гами sita uppi yvir bókunum; смея́тьсянад кем-л.flennaat o-m; пла́катьнад чем-л.gráta umo-t
над...	forskeytiIverður brúktur við sagnorð og vísir, at1.okkurt økist ella verður lagt afturatнадстро́ить2.gerðin bara umfatar part av ávirkinum ella yvirflatuna á tíнадре́зать3.gerðin verður breidd út á alt ávirkiðнадруга́тьсяIIverður brúktur við navnorð og lýsingarorð og vísir, at okkurt er hægri enn okkurt annaðнадсисте́ма, надво́дный
надава́ть	нада|ю́, ~ёшь, ~ю́т;imperнадава́й, надава́йтеpf что-л. кому-л., чего-л. кому-л.1.tlm.(дать в каком-л. количестве) gevaслнa-ó-io-mnógvav o-m; надава́ть пода́рков díkjair(t)undir í gávumперен.; надава́ть обеща́ний lovaaðinógv; lova runt, men halda tuntпог.; lovaaðigull [-tl] og grønar skógirпог.(сулить золотые горы)2.óvkm.(побить) bukaaðio-nav, smyrjaнепрo-nav; мать тебе́ надаёт tú fært Ꞌ av at vita frá mammu; надава́ть па́ру тумако́в gevaслнa-ó-io-mnakrar leðrarar [lεkɹ-]
надави́ть	надавлю́, нада́в|ишь, ~ятpf(ipfнадавля́ть)1.на что-л., что-л.(нажать) trýstair(t)á o-t2.что-л., чего-л.(выжать) pressaaðio-t; надави́ть стака́н со́ку pressa eitt glas av juice [tʃʉus]ннк3.что-л., Gentlm.(давя, уничтожить) kroystair(r)o-t{o-n}, kleimair(d)o-t{o-n}(og drepa); надави́ть тарака́нов drepaслнa-u-ikakkulakkar [kʰaʰkːɪꞋla-] (við at kleima teir)
нада́вливать	ipf síнадави́ть
нада́ивать	ipf síнадои́ть
нада́ривать	ipf síнадари́ть
надари́ть	надарю́, нада́р|ишь, ~ятpf(ipfнада́ривать)что-л. кому-л., чего-л. кому-л.tlm.gevaслнa-ó-io-m o-t(nógv av o-m); надари́тькому-л.пода́рков oysair(t)o-nundir í gávum
надба́вить	надба́влю, надба́в|ишь, ~ятpf(ipfнадбавля́ть)что-л., чего-л.tlm.síнаба́вить
надба́вка	plurнадба́в|ки, ~ок, ~камfískoytiсгл-i, viðbót [vɪp-]ж0-ur{ó/ø}, bonusннкм0-ar(опр-ur)проф.(надбавка к зарплате по причине каких-л. обстоятельств); hækkingж0-ar(повышение); надба́вка к зарпла́те ískoyti til lønina, viðbót til lønina; перепрода́ть с надба́вкой selja dýrari aftur [aʰtː-] =>вре́дность,вы́слуга
надбавля́ть	ipf síнадба́вить
надбива́ть	ipf síнадби́ть
надби́ть	надобь|ю́, ~ёшь, ~ю́т; imperнадбе́йpf(ipfнадбива́ть)что-л. tlm.brákaaðio-t(tað ytsta av o-m); надби́ть яйцо́ bráka eitt egg; таре́лка надби́та talerkurin [-Ꞌlε-] er rivnaður
надбро́вный	adj(sum er) oman fyri eygnabrýrnar [-pɹʊi̯tnaɹ]; надбро́вные ду́гиbeinini oman fyri eygnaholunum
надбро́вье	plurнадбро́в|ья. ~ий, ~ьямnoftast plurbeinini oman fyri eygnaholunum
надвига́ть	ipf síнадви́нуть
надвига́ться	ipf síнадви́нуться
надви́нуть	надви́н|у, ~ешь, ~утpf(ipfнадвига́ть)что-л.flytaur(t){+}o-t, førkaaðio-t; надви́нуть шля́пу на лоб trýstair(t)hattin niður á pannuna, skumpaaðihattin fram á pannuna; надви́нуть ша́пку на́ уши toga [tʰuːwa]aðihúgvuna niður um oyruni
надви́нуться	надви́н|усь, ~ешься, ~утсяpf(ipfнадвига́ться)1.(сдвинувшись,закрыть,заслонить) førkaaðiseg, flytaur(t){+}seg; ша́пка надви́нулась на лоб húgvan gleið niður á pannuna2.(приблизиться) nærkastaði; veraслнa-ó-efyri Ꞌ hond, standaслнó-ó-afyri Ꞌ durum (о событиях,явлениях); hóttair(t)(грозить); надви́нулась ночь nátt kom á; надви́нулся ве́чертжtað var farið at kvølda; надвига́ется бу́ря hann dregur á luftina; надвига́ется кри́зис ein kreppa stendur fyri durunum
надво́дный	adj1.(находящийся над поверхностью воды) sum er omaná (á sjónum); надво́дный борт fríborð; надво́дная часть ко́рпуса skrokkurin yvir vatnlinjuna [vanl-]2.(плавающий по воде,по поверхности воды) yvirflatu-; надво́дный кора́бль skip, ið siglir omaná, yvirflatuskip (í móts. til undirvatnsbát)
на́двое	adv1.(на две части) í tvíningar; разре́зать на́двое skera í tvíningar, skera í tveir partar2.tlm.(двусмысленно) upp á tveir mátar; выска́зывание мо́жно бы́ло понима́ть на́двое tað, sum varð sagt, kundi skiljast upp á tveir mátar; tað, sum varð sagt, var tvítýttкн.@(э́то ещё) ба́бушка на́двое сказа́лаtilt.livst so spyrstпог.
надво́рный	adjgarðs-; надво́рные постро́йки úthús@надво́рный сове́тникsøg.hovráðс0оист.(7. stig á russ. tignastiganum, síта́бель@)
надвяза́ть	надвяжу́, надвя́ж|ешь, ~утpf(ipfнадвя́зывать)что-л.1.(чулок и т.п.) bindaслнa-u-uupp í[ʊꞋpʰʊi]o-t2.(верёвку и др.) skoytair(t)o-t(tog o.tíl.)
надвя́зывать	ipf síнадвяза́ть
надгро́бие	n1.(памятник) gravsteinurмсогл-ar2.gml.(надпись) gravskriftж0-ir
надгро́бный	adjgrav-; надгро́бная на́дпись gravskrift; надгро́бный ка́мень gravsteinur; надгро́бное сло́во {надгро́бная речь} líktala
надгрыза́ть	ipf síнадгры́зть
надгры́зть	надгрыз|у́, ~ёшь, ~у́т;pretнадгры́з, надгры́зл|а, ~о, ~иpf(ipfнадгрыза́ть)что-л.gnagaaðiburtur Ꞌ avo-m
наддава́ть	ipf síнадда́ть
надда́ть	надд|а́м, ~а́шь, ~а́ст; ~ади́м, ~ади́те~ду́т;pretнадда́л, наддала́, надда́л|о, ~и;imperнадда́йpf(ipfнаддава́тьнадда|ю́, ~ёшь, ~ю́т)что-л., чего-л.tlm.setaur(t);ir(t)o-tupp (økja um); надда́ть жа́ру skrúvaaðiupp fyri varmanum, seta varman upp; надда́ть хо́ду seta ferðina upp, speeda [spyː-] Ꞌ uppнеформ.
надду́в	mtekn.trykkladning [-laː-]ж0-arспец.
надебоши́рить	pf síдебоши́рить
надева́ние	nílatingж0-ar
надёванный	adjtlm.sumo-rhevur verið í (um klæðir,skógvar), brúkturсогл(um klæðir,skógvar)
надева́ть	ipf síнаде́ть
наде́жда	f1.(на что-л.) (ожидание) vónж0-ir(um o-t), hopс0о(um o-t)с0о; в наде́жде на ... í vón um ...; (плоха́я) наде́жда на выздоровле́ние lítil vón um bata; на э́то плоха́я наде́жда tað er lítil vón um hetta; без (мале́йшей) наде́ждына что-л.uttan nakra vónum o-t; э́та наде́жда обману́ла меня́ henda vónin brast; обману́ться в свои́х наде́ждах veraслнa-ó-efyri vónbroti; несбы́вшиеся {обма́нутые} наде́жды brostnar vónir; нет никако́й наде́жды har er eingin vón; есть ещё наде́жда enn er vón2.(тот,на кого надеются) hopс0о, vónж0-ir(o-r,ið vónir verða setta til); он на́ша после́дняя наде́жда hann er okkara síðsta hop; вся на́ша наде́жда на неё hon er álitið hjá [tʃʰ-] okkum@возлага́ть (больши́е) наде́ждына Винhavaнепрálitá Дат, setaur(t);ir(t)sína vóntil Вин=>всели́ть2,льстить@,пита́ть5,подава́ть@,разби́ть9,сла́бый3
Наде́жды о́стров	mHopen [hɔː-]ж нескл
надёжность	f1.(кнадёжный 1) pálítiligheit [-Ꞌlʊi-]ннкж0-ir; orðhaldni [-halnɪ]сгл-i(верность слову)2.(крепость) styrkiжгл-и; haldgóðska [halkœska]жгл-a(прочность) (sí eis.надёжный2)3.(верность) trygdж0-ir, sikkurheitннкж0-ir; надёжность в эксплуата́ции driftsikkurheitж0-irпроф.(sí eis.надёжный3)
надёжный	stfнадёж|ен, ~на, ~но, ~ныadj1.(внушающий доверие) álítandiглandi, pálítiligur [-Ꞌlʊi-]ннкглigur; hollur [-tl-]согл{+}(ос. о людях); eftirfarandi [εʰtː-]глandi(о сведениях и т.п.); orðhaldinсоглосн(верный слову); надёжный друг hollur vinur; из надёжных исто́чников ста́ло изве́стно, что ... frá álítandi keldum frættist, at ...2.(крепкий,солидный) sterkurсогл, solidur [-Ꞌliː-]ннксогл{+}проф.; haldgóður [halk-] (прочный); надёжный лёд ísur, sum heldur; надёжная констру́кция sterk konstruktión [-Ꞌʃɔun], solid [-Ꞌliːt]ннкпроф.konstruktión [-Ꞌʃɔun]3.(верный) sikkurннксоглосн; tryggurсогл; надёжный в эксплуата́ции driftsikkurннкпроф.; надёжное сре́дство eitt sikkurtннкmiddilннк, eitt álítandi middilннк; в надёжном ме́сте á einum tryggum stað@будь надёжен! tú kanst vera sikkurннкupp á, at...; tú skalt ikki ivast í, at ... (не сомневайся); hav gott treyst!кн., выс.
наде́л	msøg.jarðarstykki, ið hvørt bóndahús fekk tillutað at velta
наде́лать	pf что-л., чего-л.tlm.1.(сделать,изготовить) geraнепрo-t(nógv av o-m); наде́лать ёлочных украше́ний gera nakað (nógv) av jólapynti2.atf.(натворить) geraнепрo-t(o-t ringt); наде́лать пя́тен на ска́терти plettaaðidúkin; наде́лать в штаны́ gera í buksurnar; kukkaaðií buksдетск., эвф.; наде́лать на полу́ лу́жу gera ein hyl á gólvinum; что ты наде́лал! hvat er tað, tú hevur gjørt!3.atf.(сделать что-л. нежелательное) geraнепрo-t(mistøk o.a.); наде́лать глу́постей gera nógv býtt; наде́лать оши́бок gera nógvar feilir
наделе́ние	ntillutanжo-ir
надели́ть	надел|ю́, ~и́шь, ~я́тpf(ipfнаделя́ть)Acc чем-л.(предоставить как долю) lutaaðiДат o-t(til), býtair(t)o-tút millum [-tl-]Вин; lataслнæ-ó-aДат o-t, veitair(t)Дат o-t(дать); gevaслнa-ó-iДат o-t(подарить);fl.geraнепрВинútvið o-m(um evnir,andaligar gávur o.tíl.); надели́ть крестья́н землёй býta jørðina út millum bøndurnar; надели́ть дете́й пода́рками geva børnunum [-tn-] gávur; он наделён спосо́бностями hann hevur fingið góð evnir (í sín lut), hann hevur fingið góð evnir í gávu
наделя́ть	ipf síнадели́ть
наден...	1.наде́нуo.s.fr. fut avнаде́ть2.наде́нь, наде́ньтеimper avнаде́ть
надёргать	pf(ipfнадёргивать)что-л., чего-л.1.(дёргая,получить в каком-л. количестве) rykkjair(t)o-t(upp, út), skrykkjair(t)o-t(upp, út); toga [tʰuːwa]aðio-t(upp, út) (таскать); надёргать морко́ви rykkja nakað av gularótum upp2.fl.,tlm.(набрать произвольно) dragaслнó-ó-io-tsaman (um sitat,prógv o.a.)
надёргивать	ipf síнадёргать, надёрнуть
надерзи́ть	pf síдерзи́ть
надёрнуть	надёрн|у, ~ешь, ~утpf(ipfнадёргивать) (что-л. на Acc)tlm.ripaaði(o-t upp á Вин), blakaaði(o-t upp á Вин); надёрнуть руба́шку skræðair(d)seg í eina skjúrtu, ripa seg í skjúrtuna; надёрнуть на себя́ одея́ло blaka eitt teppi um seg
наде́ть	наде́н|у, ~ешь, ~ут; imperнаде́нь, наде́ньтеpf(ipfнадева́ть)что-л.1.на Acc(натянуть что-л. на кого-л., что-л.,покрывая,облекая) lataслнæ-ó-aВин í o-t(одежду,обувь); setaur(t);ir(t)o-t upp á[ʊꞋpʰo]o-t; наде́ть пальто́ на ребёнка lata barnið [-tnɪ] í frakkan; что бы́ло на ней наде́то? hvørjum var hon í?; наде́ть сбру́ю на ло́шадь leggjaнепрtýggir á ross;2.что-л.(одеться,обуться) faraслнó-ó-aꞋí o-t(одежду,обувь и др.), lataслнæ-ó-aseg Ꞌí o-t(одежду, обувь); наде́ть пальто́ fara í frakkan, lata seg í frakkan; наде́ть сапоги́ fara í stivlar; наде́ть очки́ fara í brillurnar; наде́ть фотоаппара́т heingjair(d)fotografiapparatið [-Ꞌfiːaʰpːaraː-] upp á [-Ꞌpʰɔa]seg3.что-л. на что-л.(насадить) setaur(t);ir(t)o-t á o-t; наде́ть нажи́вку на крючо́к seta agnið á húkin; наде́ть бу́синку на ни́тку dragaслнó-ó-iperlur upp á ein tráð; наде́ть на дверь цепо́чку seta ketuna á hurðina; наде́ть кольцо́ на па́лец seta ringin á fingurin, koyrair(d)ringin upp á fingurin
наде́яться	наде́|юсь, ~ешься, ~ются1.на что-л., + inf, conj что(иметь надежду) vónaaðio-t{at +инф.}, hopaaðio-t{at +инф.}; havaнепрvón umo-t{at +инф.}; я наде́юсь уви́деть тебя́ за́втра eg hopi at síggja teg í morgin; я наде́юсь на по́мощь eg hopi, eg fái hjálp; eg rokni við hjálp; бу́дем наде́яться lat okkum hopa tað; с ним, наде́юсь, ничего́ не случи́лось vónandi er einki hent við honum; наде́емся, что э́то бы́стро пройдёт vónandi verður hetta skjótt av; наде́юсь, он не заме́тил э́того eg hopi ikki, hann legði [lεijɪ] merki til taðнеформ.2.на Acc(полагаться) lítaслнei-i-iá Вин=>Бог@,дя́дя@,ка́менный@,лу́чшее
надзе́мный	adjsum er omaná (oman á jarðaryvirflatuni)
надзира́тель	fumsjónarmaðurмнепр; eftirlitsmaður [εʰtː-]мнепр; надзира́тель по́рта kaifúti [kʰai-]мгл-iнеформ., havnarumsjónamaðurмнепрофиц.; тюре́мный надзира́тель fangavaktariмгл-ari, fangavørðurмсогл-ir{ø/a}
надзира́тельница	fumsjónarkvinnaжгл-a, eftirlitskvinna [εʰt:-]жгл-a
надзира́ть	ipf за Insbókl.havaнепрumsjónvið Дат, havaнепрeftirlit [εʰtː-]við Дат
надзо́р	m1.за Ins(действие) umsjónж0-ir, eftirlit [εʰtː-]с0о; рыболо́вный надзо́р fiskiveiðueftirlit; быть под надзо́ром vera undir eftirliti; вести́ надзо́рза Inshavaнепрumsjónvið Дат, havaнепрeftirlitvið Дат2.(организация) umsjónж0-ir, eftirlit [εʰtː-]с0о; техни́ческий надзо́р tekniskt eftirlit
надиви́ться	надивлю́сь, надив|и́шься, ~я́тсяpf Dat, на Acc(vanliga viðnegog sagnorðinumмочь)tlm.: не могу́ надиви́тьсяна Acceg eri ovfarin [ɔf-]um Вин, eg eri stórliga bilsinum Вин; ≈ eg vil gerast býtturav Дат(удивиться); eg kann ikki beundra [-Ꞌu-]ннкВинnóg nógv (налюбоваться)
нади́р	mnadir [naːtiːɹ]с0{дат.0}
надира́ть	ipf síнадра́ть
надира́ться	ipf síнадра́ться
надка́лывать	ipf síнадколо́ть
надкла́ссовый	adjbókl.(sum er) oman fyri stættirnar
надколе́нный	adj: надколе́нная ча́шка knæskel [kʰnaʃ-]ж0-ar{+}
надколо́ть	надколю́, надко́л|ешь, ~ютpf(ipfнадка́лывать)что-л.(топором,ножом) klúgvaслнey-u-oo-t(eitt sindur)
надко́стница	fbeinhindннкж0-ir, beinserkurмсогл-irкн.
надкры́лья	надкры́лий, надкры́льямn plurverndarveingirлпмсогл-ir{+}мнспец.
надкуси́ть	надкушу́, надку́с|ишь, ~ятpf(ipfнадку́сывать)что-л.bítaслнei-i-ií o-t, bítaслнei-i-iav o-m(откусить)
надку́сывать	ipf síнадкуси́ть
надла́мывать	ipf síнадломи́ть
надла́мываться	ipf síнадломи́ться
надлежа́ть	надлежи́тpf Dat + inf óp bókl.verða neyðugurглugur; eiga at vera...;кому-л.надлежи́т+ inf o-rmá+ инф(должен);o-reigurat + инф(следует)
надлежа́щий	adjalm.hóskandiглandi, passandiглandi, høviligurглigurкн., офиц.; rætturсогл{æ/ø}(правильный); надлежа́щим о́бразом sum tað eigur at vera, á rættan háttофиц.; обрати́ться в надлежа́щую инста́нцию venda sær til rætta viðkomandi; приня́ть надлежа́щие ме́ры seta neyðugar atgerðir í verk; в надлежа́щий срок í rættari tíð, rættstundisофиц., til tíðina
надло́м	m1.(надломненное место) brotс0о, brákс0о(маленький,неполный); sprungaжгл-a, rivaжгл-a(трещина)2.(болезненное состояние) tað at vera niðurnívdur,sbr.надломи́ть 2
надломи́ть	надломлю́, надло́м|ишь, ~ятpf(ipfнадла́мывать)1.что-л.(отламывая,сломать не до конца) brótaслнey-u-oo-t(ikki heilt tvørturav), brákaaðio-t2.Acc(ослабить, подорвать) brótaслнey-u-oВинniður (kreftir o.a.)
надломи́ться	надло́м|ишься, ~ятсяpf(ipfнадла́мываться)1.что-л.verða brotinсоглосн(ikki heilt tvørturav), verða brákaðurглaður2.(ослабиться, подорваться) verða brotinсоглоснniður (kreftir o.a.)
надме́нность	fstóraktigheit [-Ꞌa-]энкж0-ir, arrogansa [-Ꞌka-]ннкжгл-a; dramblætiсгл-iкн., выс.
надме́нный	stfнадме́нен, надме́нн|а, ~о, ~ыadjstóraktigur [-Ꞌa-]энкглigur, arrogantur [-Ꞌka-]ннксогл; drambláturсоглкн., выс.; yvirleginннксоглоснg(высокомерный)
надмоги́льный	adjgrav-
наднациона́льный	stfнаднациона́лен, наднациона́льн|а, ~о, ~ыadjyvirtjóðarligurглigur, yvirstatsligur [-aː-]глigur
надо...	forskeyti, ið verður brúktur ístaðin fyriнад...framman fyri summum samansetingum av hjáljóðum
на́до1	Ipred óp+infeg má, tú másto.s.fr. + инф.; eg eri noyddur at+ inf., tú ert noyddur ato.s.fr. + inf.(необходимо); tað er neyðugt at+ inf.; behøvist [-Ꞌhøː-] (тж[pʰjøːv-])ннкat+ inf.; на́до обе́дать eg má fáa mær døgurða (мне); tú mást fáa tær døgurða (тебе)o.s.fr.; на́до быть че́стным mannннкmá vera erligurннк; всё на́до бы́ло переде́лать alt mátti gerast umaftur [-aʰtː-]; не на́до забыва́ть одного́ eitt má ikki gloymast; на́до, что́бы все рабо́тали øll [œtl] mugu arbeiða; мне на́до уйти́ eg má fara; тебе́ на́до воды́ tú mást hava vatn; что вам на́до? hvat skulu tygum hava?; ей на́до бы́ло идти́ к врачу́ hon mátti fara til læknan; ему́ не на́до приходи́ть сего́дня tað er ikki neyðugt hjá [tʃʰ-] honum at koma í dag; hann behøvist [-Ꞌhøː-] (тж[pʰjøːv-])ннкikki at koma í dag; honum nýtist ikki koma í dagкн.; тебе́ не на́до бы́ло вчера́ приходи́ть tað var ikki neyðugt hjá [tʃʰ-]tær at koma í gjár; tú skuldi ikki verið komin í gjár; tú behøvdist [-Ꞌhœ-] (тж[pʰjœvt-])ннкikki at koma í gjár; tær nýttist ikki at koma í gjárкн.; ско́лько тебе́ на́до? hvussu nógv hevur tú brúk fyri?; де́тям на́до мно́го спать børn [pœtn] skulu hava nógvan svøvn, børn [pœtn] mugu hava nógvan svøvn; е́сли тебе́ так на́до знать э́то vissiннкtú endiliga skalt vita tað; заче́м тебе́ всегда́ на́до критикова́ть его́? hví skalt tú altíð kritisera [kʰɹɪʰtːɪꞋseː-]ннкhann?@и на́до жеему́бы́лозаболе́ть и́менно сейча́с! hví skuldi hann (eisini) blíva sjúkur beint nú!;тактебе́и на́до!tað hevur tú Ꞌ gott av!;о́ченьему́на́до!hvat leggur hann í tað!;на́до ду́мать {полага́ть}a) (вероятно) helst; b) (конечно) sjálvandi, tað er so sjálvsagt [ʃɔl̥s-];что на́доsum dugir, av allarbesta slag;на́до же!hygga Ꞌ síggj!; tað skal eg Ꞌ halda Ꞌ við!; ikki Ꞌ eiti á!; píka! (выражение удивления); dekan! (выражение удивления)
на́до2	IIprep síнад
на́добно	pred + inf, Acc, чего-л.gml.,óvkm.eg má, tú másto.s.fr.(síна́до)
