к1	I коньtalvriddari
кварта́льный	adj1.(о времени) kvartals-, ársfjórðings-,síкварта́л12.(о части города) býarparts-,síкварта́л23.:кварта́льный надзира́тельsøg.politistur [-Ꞌtʰɪ-] í býarparti,síкварта́л4
кварта́льный	msøg.síкварта́льныйнадзира́тель
квартерде́к	mskip.afturdekk [aʰtː-]с0о(á skipi)
кварте́т	m1.(произведение,ансамбль) kvartett [-Ꞌtʰεʰtː]ж0-ir(verk,bólkur)2.fl.(четвёрка) bólkurмсогл-arav fýra (fólkum,stjórnum o.s.fr.) =>стру́нный
кварте́тный	adj kvartett- [-Ꞌtʰεʰtː] ,  fyri kvartett [-Ꞌtʰεʰtː]
кварти́ра	f1.(жильё) íbúðс0-ir, leiligheitннкж0-ir, leyligheitннкж0-ir; кварти́ра из трёх ко́мнат tríverilsis leyligheitннк, íbúð við trimum íbúðum; одноко́мнатная кварти́ра eittverilsis leyligheitннк, einrúmsíbúðнп; снима́ть кварти́ру leiga eina leiligheitннк; сдава́ть (кому-л.) кварти́ру leiga eina leiligheitннкút; съе́хать с кварти́ры flyta úr einari leiligheitннк; не име́ть кварти́рыeis.vera húsvillur [-tl-]2.plurherm.(место распопожения войск) kvarter [-Ꞌtʰeː]ннкс0о, støðж0-ir(hermálslig); зи́мние кварти́ры vetrarlega [-leːva]жгл-a, vertrarvistж0-ir(hjá hermonnum)@гла́вная кварти́раsíштаб-кварти́ра=>казённый1,кооперати́вный1
квартира́нт	fleigariмгл-ari, logerandi [-Ꞌʃeː-]мприл(жилец,снимающий комнату)
квартира́нтка	plurквартира́нт|ки, ~ок, ~камadjleigariмгл-ari, logerandi [-Ꞌʃeː-]жприл(снимающая комнату) (konufólk)
квартирме́йстер	mherm.,gml.kvartermeistari [-Ꞌtʰeː-]мгл-ariуст.
кварти́рный	adj1.(ккварти́ра 1) íbúðar-, leiligheitsннк-; кварти́рная пла́та húsaleiga; кварти́рный вопро́с íbúðarspurningur2.herm.(ккварти́ра 2) vistar-
квартирова́ть	квартиру́|ю, ~ешь, ~ютipf1.tlm.(проживать) haldaслнe-i-itil (hjá[tʃʰ-]o-m), logera [-Ꞌʃeː-]aði(hjá[tʃʰ-]o-m)2.herm.,gml.(о солдатах) liggjaслнá-ó-ií kvarteri [-Ꞌtʰeː-]уст.
квартиронанима́тель	malm.leigariмгл-ari
квартиросъёмщик	mleigariмгл-ari
квартирохозя́ин	plurквартирохозя́ев|а, ~, ~амm gml. útleigari мгл-ari(serl. kømur í íbúð)
квартирье́р	m yvirmaður el. a., ið hevur innivist um hendi
квартпла́та	f(húsa)leigaжгл-a
квартро́п	mfisk.(трос для подъёма и спуска трала) kvartaroppur [-rɔpː-]мсогл-ar
кварц	m1.(минерал) kvartsс0о2.tlm.(облучение) kvartsljósс0о
ква́рцевый	adjkvarts-;ква́рцевая ла́мпа kvartslampa
кварци́т	mkvartsitt [-ˈsɪʰtː]с0o
квас	mkvassс0о({0<>i})(russ. drykkur gjørdur við gering av rugmjøli o.ø.) =>перебива́ться@
ква́сить	ква́шу, ква́с|ишь, ~ятipf(pfзаква́ситьзаква́шу, заква́с|ишь, ~ят)что-л.sýraaðio-t, súrgaaðio-t(тесто); ква́сить капу́сту súrga kál; ква́сить молоко́ súrga mjólk
ква́ситься	квас|и́тся, ~ятсяipfsúrgastaði, súrnaaði
квасно́й	adjkvass- (síквас)@квасно́й патриоти́змtjóðskaparreypс0о; ≈ húðarskógvabreggjс0опренебр.(преклонение перед отсталыми формами быта Фар. о-вов)
квасцо́вый	adjalún- [-Ꞌlʉun-]
квасцы́	квасц|о́в, ~амm pluralún [-Ꞌlʉun]с0о
ква́шение	ngeringж0-ar; súrganж0-ir
ква́шеный	adjsúr-; ква́шеное молоко́ súrmjólk
квашня́	plurквашн|и́, ~е́й, ~я́мf1.(посудина) deiggjtrogс0о2.tlm.(опара) súrdeiggj [sʏɹ-]с0о3.óvkm.,vanv.(человек) drumburмсогл-ar
Квебе́к	mQuebec [kʰiːpεʰkː]м0{дат.0}
квёлый	stfквёл, квёлаogквела́, квёл|о, ~ыadj óvkm.veikurсогл(слабый), ússaligurглigur(хилый)
кве́рху	advupp, uppeftir [-tː-]; niðaneftir [-tː-]@кве́рху отGentlm.omanfyri Вин
кви́нта	f1.(интервал,ступень гаммы) kvinturмсогл-ar2.(струна) kvinturмсогл-ar(strongur)@пове́сить нос на кви́нтуtlm.,skemt.vera stúrinсоглосн, falla [-tla]слнa-u-aí fátt
квинте́т	m(произведение, ансамбль) kvintett [-Ꞌtʰε-]ж0-ir(verk,bólkur)
квинтэссе́нция	fhøvuðstátturмсогл-ir{á/æ};согл-ar, kjarni [-tnɪ]мгл-i
квитанцио́нный	adjkvittunar-; квитанцио́нная кни́жка kvittanabók
квита́нция	fkvittanж0-ir, kvittering [-Ꞌtʰeː-]ннкж0-ar; вы́дать квита́нциюна что-л.geva eina kvittanfyri o-t, skrivaaðieina kvittanfyri o-t
квито́к	Genквитк|а́; plur~и́, ~о́в, ~а́мmóvkm.kvittanж0-ir, kvittering [-Ꞌtʰeː-]ж0-ar
кви́ты	predtlm.:мы кви́ты vit eru kvittнеформ.
КВН	[ка-вэ-э́н]m indeclклуб весёлых и нахо́дчивыхslag av spurnakapping o.tíl. í sjónvarpi
кво́рум	mviðtøkuføriсгл-i; есть кво́рум fundurin er viðtøkuførur; нет кво́рума fundurin er ikki viðtøkuførur
кво́та	fkvotaжгл-a; брать {взять} кво́ту fiskaaðieina kvotu
квоти́рование	nkvotering [-Ꞌtʰeː-]ж0-ar
кво́тный	adjumboðandiглandi, umboðs-, representativurннк
квохта́нье	nkákс0о, kákanж0-ir
квохта́ть	ipfkákaaði
кВт	síкилова́тт
кВт-ч	síкилова́тт-час
кг	síкилогра́мм
КГБ	[ка-гэ-бэ́]m indeclsovjet.Комите́т госуда́рственной безопа́сности KGB [kʰɔa keː Ꞌpeː]с нескл., Trygdartænastanжгл-aопр.(í Sovjetsamveldinum) (1954-1993)
КГЭ	[ка-гэ-э́]f indeclкоро́вье губкови́дная энцефалопа́тия BSE [peː εsː Ꞌeː]с нескл.(angl.Bovine Spongiform Encephalopathy)síбе́шенство, коро́вий
к.-д.	[ка-дэ́]søg.Конституцио́нно-демократи́ческая па́ртия,síкаде́тII
КДПГ	[ка-дэ-пэ-гэ́]f indeclКонве́нция о догово́ре междунаро́дной перево́зки гру́зов автомоби́льным тра́нспортом CMR-konventiónin [seːεmːˈεɹːkʰɔnvεnʃɔʊ-]торг., проф.(сокр.Convention relative au contrat de transport international de marchandises par route) (часто упоминается по-англиийскиConvention on the Contract for the International Carriage of Goods by Road)
кеба́б	mkebabur {kebabbur} [kʰeˈpapː-]мсолгл-ar, kebab {kebabb} [kʰeˈpapː]ж0-ar, kebab {lebabb} [kʰeˈpapː] с0o;{0-ir}
кегельба́н	mkeylubani [kʰεilʊpaː-]ннкмгл-iпроф., keylubreyt [kʰεilʊ-]нпж0-ir
ке́гельный	adjkeylu- [kʰεi-]
ке́гли	(singке́гля)f plurkeylur [kʰεi-]жгл-aмн; игра́ть в ке́гли spæla keylur
кегль	fprent.punktstøddж0-ir, skriftstøddж0-ir
к.ед.	кормова́я едини́ца fóðureind
кедр	m1.(дерево) (Cedrus) sedristræ [seːt-]с0o{æ/ø}2.(древесина) sedrisviður [seːt-]мсогл-ir
кедро́вка	plurкедро́в|ки, ~ок, ~камf(Nucifraga caryocatactes) krákukárnс0о
кедро́вник	m1.(Pinus pumila)slag av furu(en.dwarf(Siberian)pine; da.dværgfyr)2.koll(лес) sеdrisskóg [seːt-]ж0-ir
кедро́вый	adjsedris- [seːt-]
ке́ды	кед, ~амf plurkondiskógvarмсогл-ar{+}мн
Кейпта́ун	mCape Town [kʰεiptʰaun]м нескл., Høvdastaður [hœtː-]лпмсогл-ir
кейс1	m(чемоданчик) mappaжгл-a(áfløt taska), stressmappaжгл-aшутл.
кейс2	m fakm.(ситуация) case [kʰεis]ж0-ir{+}спец., проф.
ке́йтеринг	[-тэ-]mcatering [kʰεi-]ж0-arпроф., спец., matveitingнпж0-ar, vistveitingнпж0-ar
кейф	m síкайф
кейфова́ть	кейфу́|ю, ~ешь, ~ютipf síкайфова́ть
кекс	msandkaka [san̊k-]жгл-a; plummkakaжгл-a(с изюмом и др.)
келе́йно	advloyniliga, í loyndum; í duldum (скрыто)
келе́йный	stfкеле́ен, келе́йн|а, ~о, ~ыadj1.(кке́лья) kliva-; sum í kliva2. (совершаемый узким кругом) í einum trongum skara; loyniligurглigur(тайный); í duldum (скрыто)
ке́льма	fmúrskeið [mʏ-]ж0-ir
Кёльн	mKöln {Køln}м0{дат.0}
ке́льнер	mtænariмгл-ari
кельт	mkeltari [kʰε-]мгл-ari, kelti [kʰε-]мгл-i
ке́льтский	mkeltiskur [kʰε-]соглsk
ке́лья	plurке́льи, ке́лий, ке́льямfcella [sεlː-]ннкжгл-a, kliviнпмгл-i(í klostri)
кем	Ins avкто
Ке́мбридж	mCambridge [kʰεimpɹɪtʃː]м нескл.
ке́мпер	[кэ́-]m síавтоке́мпер
ке́мпинг	mcampingpláss [kʰam̊pɪŋk-]ннкс0о, tjaldingarplássнпс0о
кена́ф	m planta av ættini Mavaceae(en.kenaf; da.kenaf)
кенгуру́	m indecl(f indecl) (подсем. Macropodidae) kenguru [kʰεŋꞋkuːɹu]ж0-ir
Кёнигсберг	msøg.Königsberg [kʰøːnɪʰks-]м0{дат.0}ист.,síКалинингра́д
кени́ец	Gen, Accкени́йц|а; plur~ы, ~ев, ~амmkenyanari [kʰεɲꞋjaː-]мгл-ari
кени́йка	plurкени́йки, кени́ек, кени́йкамfkenyanari [kʰεɲꞋjaː]мгл-ari(konufólk)
кени́йский	adjkenyanskur [kʰεɲꞋjaː-]соглsk
Ке́ния	fKenya [kʰεɲja]с нескл., Kenja [kʰεɲja]ннкс нескл.
Кента́вр1	Im síЦента́вр
кента́вр2	IImmyt.kentaurur [kʰεn̊Ꞌtʰau-]мсогл-ar
ке́пи	n indecl1.(форменная фуражка)serl. slag av uniformskaskett2.síке́пка
ке́пка	plurке́п|ки, ~ок, ~камfkeppur [kʰε-]мсогл-ar, kollur [-tl-]мсогл-ar
кера́мика	f1.koll(изделия) leirvørurжгл-aмн, keramikk [ˌkʰeːɹaꞋmɪʰkː]с0о({0<>i})собир.2.(производство) keramikk [ˌkʰeːɹaꞋmɪʰkː]с0о({0<>i})(handverk, list)
керами́ческий	adjkeramiskur [kʰeꞋraː-]соглsk
ке́рвель	m(Anthriscus) kørvilм0осн-s,-ar, kervilнпм0осн-s,-ar
кёрлинг	mítr.curling [kʰœːɹlɪŋk] ж0-ar
керн	mborikjarni [-tnɪ]мгл-i
керога́з	m slag av petroliumsovni
кероси́н	mpetrolium [-Ꞌtʰroː-]с0о({{0<>i}})@де́ло па́хнет кероси́номóvkm.,skemt.tað veit illa [ɪtla] við, tað gongst illa [ɪtla]
кероси́нка	plurкероси́н|ки, ~ок, ~камfpetroliumsapparat [-Ꞌtʰroːliʊmsaʰpːaraːt]с0о
кероси́новый	adjpetroliums- [-Ꞌtʰroː-]
керча́к	Gen, Accкерчак|а́; plur~и́, ~о́в, ~а́мm(Myoxocephalus scorpius) kruttс0о, ulkaжгл-a
Керчь	fKertj [kʰεɹ̥tʃ]м нескл.
ке́сарев	adj: ке́сарево сече́ние keisarasnittннкс0о, keisaraskurðurнпмсогл-ir@ке́сарю - ке́сарево(,а бо́жие - бо́гу) gevið keisaranum tað, ið keisarans er(, og Gudi tað, ið Guds er)
ке́сарь	m1.søg.(титул) Cæsar [seːs-]м0({0<>i})(heiti hjá rómverskum keisarum)2.gml.(монарх,владыка) drottinм0осн-s,-arвыс., kongurмсогл-ar(царь), keisariмгл-ari(император) =>ке́сарев@
кессо́н	mkistaжгл-a(brúkt,tá havnir o.tíl. verða bygdar)
кессо́нный	adj: кессо́нная боле́знь dúkkarasjúkaннк, kavarasjúkaнп
ке́та	f(Oncorhynchus keta) ketalaksur [kʰeː-]мсогл-ar
кета́	ftlm.síке́та
кетгу́т	mcatgut [kʰaʰtkʊʰtː]с0оспец.
ке́тгут	m síкетгу́т
кетме́нь	Genкетмен|я́; plur~и́, ~е́й, ~я́мm slag av haka(brúktur í Miðasia)
ке́товый	adjketa- [kʰeː-]; ке́товая икра́ laksarogn, reyður kaviarur [kʰaːviaː-] (av ketalaksi)
кето́вый	adjtlm.síке́товый
кефа́ль	f: кефа́ль (Chelon labrosus) multaжгл-a, grámultaжгл-a, pusalaknekturмсогл-ar; золоти́стая кефа́льsíсинги́ль
кефи́р	mkefir [kʰeː-]с0o, kefirur [kʰeː-]мсогл-ar
кефи́рный	adjkefir- [kʰeːfiː-]
кеш1	I [кэш]m teld.(устройство) cache [kʰaʃː]ж0-irкомп.
кеш2	II [кэш]m(наличные)koll, jargkontantir [-ˈtʰa-] pengarмгл-iмн; cash [kʰaʃː]с нескл жарг.
кеши́рование	[кэ-]n teld.caching [kʰaʃːɪŋk]ж0-arкомп.
кеши́ровать	[кэ-]кеши́ру|ю, ~ешь, ~ютipf(что-л.)teld.cacha [kʰaʃːa]aðiкомп.; brúkaar(t)cache [kʰaʃː]комп.(использовать кеш)
кеш-се́рвер	[кэ-]m teld.cache-servari [kʰaʃsε-]мгл-ariкомп.
к-з	síколхо́з
кза́ди	advóvkm.aftantil [aʰtː-]@кза́диот Genaftan [aʰtː-]fyri Вин
КЗОТ	[кзот]mКо́декс зако́нов о труде́ arbeiðislóggávanжгл-aопр.
КЗоТ	síКЗОТ
киберата́ка	fcyberálop[saipεɹ-]с0о
кибербезопа́сность	fnettrygdж0-ir, cybertrygd [saipεɹ-]ж0-irпроф.
киберми́р	minternetið с0oопр
киберне́тик	[-нэ́-]mkybernetikari [kʰypεɹꞋneː-]мгл-ari
киберне́тика	[-нэ́-]fkybernetikkur [kʰyːpεɹnɪꞋtʰɪʰkː-]интж0-ir, kybernetikk [kʰyːpεɹnɪꞋtʰɪʰkː]интж0-ir, stýrifrøðiлпжгл-i
кибернети́ческий	[-нэ-]adjkybernetiskur [kʰyːpεɹꞋneː-]соглsk
киберпреступле́ние	nKT-brotsgerð[kʰɔatʰeː-]ж0-ir
киберспо́рт	me-sporturмсогл-ar
киберугро́за	fcyberhóttan [saipεɹ-]ж0-ir
киби́тка	plurкиби́т|ки, ~ок, ~киf1.(повозка)slag av afturlatnum vogni2.(палатка) tjaldс0o{a/ø}(hjá nomadum)
ки́борг	mcyborg [saip-]ж0-arспец.
кибо́рг	m síки́борг
ки́борд	m mus.keyboard [kʰiːpɔːɹt]с0о{atт0}муз.
кива́ть	ipf(momentкивну́тькивн|у́, ~ёшь, ~у́т)1.(кому-л.) (в знак приветствия) nikkaaði(til o-n); кива́ть на проща́ние nikka til farvæl [-Ꞌvεal]2.на Аcc(указывать) nikkaaðiímóti [-Ꞌmɔu-]Дат3.fl.(оправдываться) кива́тьна кого-л.skyldaaðiupp á ein annan, breiðair(d)burtur av [pʊɹ̥tʊɹꞋεav], [pʊɹ̥tʊɹꞋafː] særидиом.@Ива́н кива́ет на Петра́orðt.øll [œtl] skylda upp á hvønn Ꞌ annan
ки́вер	msøg.chakot [ʃaˈkʰoː]ж0-ir, sjakot [-ˈkʰoː]ж0-ir
ки́ви1	If indecldjór.(птица) (Apteryx) kiwi {kivi}[kʰiːviː]м0-ar{дат.0}(fuglur)
ки́ви2	IIn indecl plant.(плод) (Actinidia kinensis) kiwi {kivi} [kʰiːviː]ж0-ar, kiwifrukt {kivifrukt} [kʰiːviː-]ж0-ir
кивнуть	moment síкива́ть
киво́к	Genкивк|а́; plur~и́, ~о́в, ~а́мmnikkс0о
Кига́ли	m indeclKigali [kʰiꞋkaːli]м нескл.
кида́ла	m, fjarg.svindlari [svɪnla-]энкмгл-arнеодобр., kúllurмсогл-arнеодобр., snýtariмгл-ariнеодобр.(обманщик)
кида́лово	n jarg.(обман) lumpingж0-ar, snýtс0о; tjóvarí [-Ꞌrʊi-]ннкс0о, stuldurм0осн-s,ar(viðharðskapi) (воровство)
кида́ние	n jarg.lumpingжo-ar, snýtс0o
кида́ть	ipf(momentки́нутьки́н|у, ~ешь, ~ут)1.Acc(бросать) kastaaðiВин, blakaaðiВин, tveitair(t)Вин; кида́ть камня́мив кого-л.steinaaðio-n, kasta steinareftir[εʰtː-]o-m, kasta gróteftir[εʰtː-]o-m,grýtair(t)gróteftir[εʰtː-]o-m2.что-л.(направлять,устремлять) kastaaðio-t; кида́ть тень (на Acc) kasta skugga (á Вин); кида́ть взглядна Accsetaur(t);ir(t)eyguniá Вин, hyggjaur(d){y/u}at Дат3.что-л.(небрежно класть) blakaaðio-t(leggja óvandaliga frá sær)4.óp(сильно качать): ло́дку кида́ло из стороны́ в сто́рону báturin slongdistir(d){+}higar og hagar, báturin lá og bóltaði5.óp: её кида́ет в сон hon er við at sovna6.что-л.(произносить вскользь,мимоходом) sleingjair(d){+}o-tút (orð o.a.) 7.jarg.(обманывать) lumpaaðio-n; snÿtair(T)o-n(мошенничать); stjala [stjεa-] (реже[ʃεa-])слнó-ó-ofrá o-m (обкрадывать)=>жар@
кида́ться	ipf1.чем-л.(бросаться) kastaaðio-t, blakaaðio-t, tveitair(t)o-t; кида́ться камня́ми steinaaði, grýtair(t)grót; кида́ться снежка́ми kasta kavabløk2.pfки́нутьсяки́н|усь, ~ешься, ~утся; ки́нь|ся, ~тесь(устремляться) turnaaði, stormaaði; rúsaaði(fram) (опрометью); tveitair(t)seg, blakaaðiseg; кида́ться на по́мощь leypaслнey-u-otil hjálpar [j-]3.pfки́нутьсяки́н|усь, ~ешься, ~утся; ки́нь|ся, ~тесьstoytair(t)sær, stoytair(t)seg (вниз); кида́ться в посте́ль blakaaðiseg á seingina4.чем-л.fl., tlm.(не дорожить) blakaaðium segvið o-m@кида́тьсякому-л.в го́ловуsláaслнó-ó-ií høvdið [hœtːɪ]á o-m;кида́тьсяна Accleggjaнепрeftir[εʰtː-]Дат, herjaaðiáВин;кида́тьсякому-л.на ше́юleypaслнey-u-oum hálsiná o-m
Ки́ев	mKiev [kʰiːjεu], [kʰiːjεf]м0{дат.0}, Ky(j)iv [kʰʏjɪv]м0{дат.0}@язы́к до Ки́ева доведётorðt.≈ tann fær svar, sum spyrпог.=>бузина́@
киевля́нин	plurкиевля́н|е, ~, ~амmíbúgviмгл-ií Kiev [kʰiːjεu], [kʰiːjεf], kievbúgvi [kiːjεu-], [kʰiːjεf-]мгл-i;он киевля́нин hann er úr Kiev [kʰiːjεu], [kʰiːjεf]
киевля́нка	plurкиевля́н|ки, ~ок, ~камfíbúgviмгл-ií Kiev [kʰiːjεu], [kʰiːjεf], kievbúgvi [kʰiːjεu-], [kʰiːjεf-]мгл-i(konufólk); она́ киевля́нка hon er úr Kiev [kʰiːjεu], [kʰiːjεf]
Ки́евская Русь	Kievrussland [kʰiːjεu-], [kʰiːjεf-]с0о{а/о}(tað russ. ríkið 9.-12. øld)
ки́евский	adjkiev- [kʰiːjεu-], [kʰiːjεf-]
Ки́жи	m indeclKizji [kʰiːʃi]ж нескл.(oyggj í Onegavatninum við kendum útisavni)
ки́жуч	m(Oncorhynchus kisutch)fiskur av laksaættini(en.silver salmon,coho,hoopid salmon,white salmon,coho salmon; da.sølvlaks)
кизи́л	m1.(Cornus) royðuberс0о{+}; обыкнове́нный {мужско́й} кизи́л (Cornus mas)runnur av royðubersslektini(en.European cornel; da.kirsebærkornel)2.(ягоды) royðuberс0о{+}мн
кизи́ль	Genкизиля́m síкизи́л
кизя́к	Genкизяка́, кизяку́m turkað og samanpressað mykja(brúkt sum brennievni og tilfar til bygging)
кий	Genки́яogкия́; plurки|и́, ~ёв, ~я́мm(biljard)køж0-ir
кикбо́ксер	mkickboksari [kʰɪʰk-]Мгл-ari
кикбо́ксинг	mkickboksing [kʰɪʰk-]ж0-ar
кики́мора	f1.fólk.(в поверьях)yvirnáttúrlig vera sum pinkulítið konufólk í skapi2.óvkm.(об уродливой женщине) andskræmiliga [anꞋskɹεa-] ljótt konufólkс0о, skrímslс0о(ljótt konufólk)
Кикла́ды	Кикла́д, ~амf plurKykladurnar [kʰʏꞋkʰlaː-]ж0-arмн опр.
кила́	plurки́лы, кил, кила́мfóvkm.brokkс0о
килева́ние	nslagsíða [slafs-], [slau-]жгл-a
килева́ть	килу́|ю, ~ешь, ~ютipf что-л. skip.kjølhálaaðio-t
килево́й	adjkjøl-, kjalar- =>ка́чка
ки́ллер	mleigumordariмгл-ari, leigudrápsmaðurнпмнепр
кило́	n indecltlm.kilo [kʰiːlo]с0гл(-inum)
килоба́йт	mkilobyte [kʰiːlopait]с0o, kilobýt [kʰiːlo-]лпс0о
килоби́т	mkilobit [kʰiːlopɪʰtː]с0о
килова́тт	plur Genкилова́ттовog tá talt verður mestкилова́ттmkilowatt [kʰiːlovaʰtː]с0о
килова́тт-час	mkilowatttími [kʰiːlovaʰt-]мгл-i
килогра́мм	plur Genкилогра́ммogкилогра́ммовmkilogramm [kʰiːlo-]с0о, kilo [kʰiːlo]с0гл(-inum)
килогра́мм-кало́рия	fkilokaloria [kʰiːlo-]жгл-a
килогра́ммовый	adjkilo- [kʰiː-]
килограммо́вый	adjtlm.síкилогра́ммовый
-килогра́ммовый	í samanskilo [kʰiːlo]; пятикилогра́ммовая ги́ря eitt fimm kilo lodd
килограммоме́тр	mkilogrammetur [kʰiːlokɹamꞋmeː-]м0осн-s,-ar
килокало́рия	fkilokaloria kilokaloria [kʰiː-]жгл-a
киломе́тр	mkilometur [kʰiːlo-]м0осн-s,-ar
километра́ж	m (vega)longdж0-irí kilometrum [kʰiː-]
ки́лопаскаль	mkilopascal [kʰiːlopʰaꞋskalː]с0о
Киль1	ImKiel [kʰiːl]м0{дат.0}
киль2	IIm1.(судна) kjølurмсогл-ir{ø/a};согл-ar; боково́й киль slingrikjølur, slengrikjølur; скулово́й киль slingrikjølur, slengrikjølur; поста́витьo-tна ро́вный киль fáaслнe-i-io-tupp á rættkjøl2.(самолёта) halaróðurс0осн(á flogfari)@семь фу́тов под ки́лем!góða ferð! (sagt millum sjómenn)
киль-бло́к	mkjølklossurмсогл-ar
кильва́тер	[-тэр]mkjalarvørrurмсогл-ir{ø/a}, kølvatnннкпроф.с0o@в кильва́терeGení kjalarvørrinumá Дат
кильва́терный	[-тэ-]adj: кильва́терный стройskipan, har skip sigla í kjalarvørrinum hvørt á øðrum; кильва́терная коло́ннаskipafylgi, har skip sigla í kjalarvørrinum hvørt á øðrum
ки́лька	plurки́льки, ки́лек, ки́лькамf(Sprattus sprattus) brislingurмсогл-ar
Ки́льский мир	søg.friðurinопр.í Kiel [kʰiːl]
ки́льсон	mkjølsvínс0о
КИМ	[ким]mКоммунисти́ческий Интернациона́л Молодёжи (1919-1943)søg.Tann kommunistiski [-Ꞌnɪ-] ungdómsinternationalin [-naːʃonaːlɪn]
кимберли́т	mkimberlit [-Ꞌlɪʰtː]с0о({0<>i})
кимва́л	mgml.skálabumbaжгл-aбибл.
кимоно́	n indeclkimono [kʰiːmono]ж0-ir
Ки́нгстон	mKingston [kʰɪŋkstʰɔn]м0{дат.0}
кингсто́н	mbotnventilurмсогл-ar(á skipi)
кингсто́нный	adj: кингсто́нная коро́бка {кингсто́нный я́щик} sjógvkassi
киндза́	f síкинза́
кинема́тика	fkinematikk [kʰiːnɪmaꞋtʰɪʰkː]ж0-irспец.
кинемати́ческий	adjkinematiskur [kʰiːnɪꞋmaː-]соглsk
кинемато́граф	m1.(искусство) filmslistж0-ir,sí eis.кинематогра́фия2.gml.(кинотеатр) biografur [-Ꞌkɹaː-]мсогл-ar, biografsalur [-Ꞌkɹaː-]мсогл-s,-ir
кинематографи́ст	mfilmslistamaðurмнепр, filmslistafólkс0o
кинематографи́ческий	adjfilms-
кинематогра́фия	f1.(искусство) filmslistж0-ir2.(промышленность) filmsídnaðurмсогл-ir
кинеско́п	mtekn.bílætarørс0о, myndarørс0о
кине́тика	fkinetikk [kʰiːneꞋtʰɪʰkː]ж0-irспец.
кинети́ческий	adjkinetiskur [kʰiꞋneː-]соглskспец.
кинжа́л	mdolkurмсогл-ar(tvíeggjaður knívur) =>ры́царь@
кинза́	fkoriandur [-Ꞌa-]с0осн, deymkorraлпжгл-а
кино́	n indecl1.(кинотеатр) biografur [-Ꞌkɹaː-]мсогл-a; biografsalur [-Ꞌkɹaː-]мсогл-s,-ir(помещение); пойти́ в кино́ fara í biograf; ходи́ть в кино́ ganga í biograf; я был в кино́ eg var í biograf2.síкинематогра́фия3.tlm.(фильм) filmur; игра́ть в кино́ spæla (við) í einum filmi@(пря́мо, про́сто, це́лое) кино́óvkm.tað var tað reina sirkusэнк;интере́сное кино́!óvkm.tað var løgið!
киноактёр	mfilmsleikariмгл-ari, filmsskuispælariннкмгл-ari
киноактри́са	ffilmsleikariмгл-ari, filmsskuispælariннкмгл-ari(konufólk)
киноаппара́т	m1.(для съёмки) filmstólс0о, filmapparat [-raːt]с0о(at taka upp við)2. (для показа) filmapparat [-raːt]с0о(til at vísa film við), filmsframvísariмгл-ari
киноаппарату́ра	ffilmsútgerðж0-ir(upptøkutól, ljósútgerð o.a.)
киноарти́ст	mfilmsleikariмгл-ari, filmskuispælariннкмгл-ari
киноарти́стка	plurкиноарти́ст|ки, ~ок, ~камffilmsleikariмгл-ari, filmskuispælariннкмгл-ari(konufólk)
киноархи́в	mfilmsavnс0о{a/ø}
кинобоеви́к	Genкинобоевик|а́;plur~и́, ~о́в, ~а́мmactionfilmur [aʰkʃɔn-], [εʰkʃɔn-]мсогл-ar;согл-s,-irнеформ., проф.
ки́новарь	f1.(минерал) cinnobur [sɪꞋnoː-]с0осн2.(краска) cinnobur [sɪꞋnoː-]с0осн, cinnoburreytt [sɪꞋnoː-]
кинове́д	mfilmserfrøðingurмсогл-ar
кинове́дение	nfilmskunnleikiмгл-i
киножурна́л	mforfilmurмсогл-ar;согл-s,-ir(oftast við tíðindum o.ø.)
киноза́л	mbiografsalur [-Ꞌkɹaːf]мсогл-s,-ir(høli til sýningar)
кинозвезда́	plurкинозвёзд|ы, ~, ~амffilmstjørna [-stjœtna]жгл-a
кинозри́тель	fbiografgangari [-Ꞌkɹaːf-]мгл-ari
киноиску́сство	mfilmslistж0-ir
кинока́мера	ffilmapparat [-raːt]ннпс0о, filmstólнпс0о
кинокарти́на	ffilmurмсогл-ar;согл-s.-ir(kykmynd)
кинокоме́дия	fskemtifilmurмсогл-ar;согл-s,-ir
кинокомпа́ния	ffilmsfelagс0о{a/ø}
кинокри́тик	mfilmsummælariмгл-ar, filmkritikari [kʰɹɪʰtːɪʰkaɹɪ]ннкмгл-ariпроф.
кинокри́тика	f   filmsummæliсгл-i,filmkritikkur [-Ꞌtʰɪʰkː-]интмсогл-ar
киноле́нта	ffilmurмсогл-ar;согл-s,-ir(leingja við spælifilmi á)
кино́лог	mserfrøðingurмсогл-arí hundum
кинологи́ческий	adjhunda-, hundaserfrøðinga-
кинолюби́тель	mamatørfilmfotografur [aːmaꞋtʰøːɹfilmfoːtokɹaː-]ннкмсогл-ar, áhugafilmsfotografur [-kɹaː-]нпмсогл-ar
киномеха́ник	mfilmoperatørurннкмсогл-ar, filmsfyrivísariнпмгл-ari
киноопера́тор	mfilmsfotografur [-kɹaː-]мсогл-ar
кинопередви́жка	plurкинопередви́ж|ки, ~ек, ~камffilmsframvísariмгл-ari, sum kann flytast
киноплёнка	plurкиноплён|ки, ~ок, ~камffilmurмсогл-ar;согл-s,-ir(leingja av celluloid o.ø.)
кинопрока́т	msýningж0-arav filmum (í feløgum o.a.); leigaжгл-aav filmi (передача в прокат)
кинопромы́шленность	ffilmsídnaðurмсогл-ir
кинорабо́тник	mfilmmaðurмнепр
