д.	1.день2.дере́вня3.долгота́4.домsíдом; ул. Панфёрова, д. 11 Panfjorovs [-Ꞌfjoː-] gøta 11
Деда́л	mmyt.Daidalos {D(a)edalus} [teːta-]м0-ar{0<>i}
дедве́йт	[дэ-]mdeyðvektж0-ir, deyðvektstonnasja [-naː-]жгл-a
дедла́йн	[дэ-]mdeadline [tεtlain]ж0-irпубл., проф., evstamark [εfsta-]с0о{a/ø}
де́довский	adj1.(к дед 1) abba-2.(старинный) elligamal [εtl-]согл{a/o}, gamaldags [-taʰks]соглнескл.
дедовщи́на	fóvkm.,atf.tað at eldri soldatar happa yngri og gera teimum ónáðir
дедукти́вный	adjdeduktivur [teːtʊʰktʰiːv-]интсоглпроф., úrleiðandi [ʏɹ-]лпглandi, úrleiðslu-лп
деду́кция	fdeduktión [teːtʊʰkꞋʃɔun]интпроф.ж0-ir, úrleiðsla [ʏɹ-]лпжгл-a; вы́вестичто-л.путём деду́кции deducera [teːtuꞋseː-]интaðio-tпроф., úrleiða [ʏɹ-]лпir(d)o-t
де́душка	plurде́душ|ки, ~ек, ~камm1.(отец матери или отца) abbiмгл-i,síдед2.(обращение к старику) соотв. не имеет brúkt tá, o-r(serliga børn)vendir sær til eldri mann
дееприча́стие	ngerundium [keꞋrʊntiʊm]с0-umграм.; дееприча́стие настоя́щего вре́мени presens gerundium, gerundium nútíð; дееприча́стие проше́дшего вре́мени preteritum [-Ꞌtʰeː-] gerundium, gerundium tátíð
дееспосо́бность	f1.(способность к действию) virkisfýsniсгл-i; ágrýtniсгл-i;жгл-i(энергичность)2.jur.(право совершения действия) virkisføriсгл-iюр., gerðføriсгл-iюр.
дееспосо́бный	stfдееспосо́б|ен, ~на, ~но, ~ныadj1.(способный к действию) førurсоглfyri at gerao-t2.jur.(имеющий право совершать действия) virkisførurсоглюр., gerðførurсоглюр.
дежа́	plurдеж|и́, ~е́й, ~а́мfílatс0o{a/ø}at elta í og lata deiggið ganga í (í bakarí o.tíl.)
дежавю́	[дэ-]n indeclbókl deja-vu {déjà-vu} [teʃaˈvyː]с0о{0<>i}ред.
Дежнёва мыс	Kap Dezjnjov [ˌkʰaʰptεʃꞋɲjɔfː]
дежу́рить	дежу́р|ю, ~ишь, ~ятipf(pfотдежу́ритьотдежу́р|ю, ~ишь, ~ят)1.(быть дежурным) havaнепрvakt, veraслнa-ó-eá vakt; havaнепрumsjón (об учителе и т.п.); дежу́рить по кла́ссу vera duksurннк, vera røkilлпофиц.2.(присутствовать) vakair(t)(sita hjá sjúkum o.ø.); дежу́рить у посте́ли больно́го sitaслнa-ó-iuppi yviro-m3.(сторожить) haldaслне-и-и{+}vakt; дежу́рить у двере́й halda vakt við hurðina
дежу́рная	f síдежу́рныйI
дежу́рный	Imvakthavandiм нескл.; tann, sum hevur vakt; vaktж0-ir(сторож,тж учитель во дворе); duksurннкмсогл-ar, røkilлпм0осн-s,-arофиц.(ученик)IIadj1.(несущий дежурство) vakthavandiглandi; sum hevur vakt, sum eigur vakt; дежу́рный врач vakthavandi lækni; lækni, sum hevur vakt; дежу́рный учени́к duksurннк, røkilлпм0осн-s,-arофиц.; дежу́рная апте́ка vakthavandi apotek [aːpoꞋtʰeːk]; дежу́рный магази́н handil, sum er opin til seint um kvøldið (serliga matvøruhandil)2.atf.(постоянно употребляемый) brúkturсоглí tíð og ótíð; дежу́рные цита́ты tránýtt sitat [siꞋtʰaːt]; tanlað sitat [siꞋtʰaːt], úttugd sitat [siꞋtʰaːt]; дежу́рный ора́тор fastur fúsurмсогл-s,-irsum røðari@дежу́рное блю́доdagsins [taʰks-] rættur =>шлю́пка
дежу́рство	nvaktж0-ir; ночно́е дежу́рство náttarvakt
дезавуи́ровать	[дэ-]дезавуи́ру|ю, ~ешь, ~ютipf/pf Accdipl.desavouera [teːsaːvuꞋeː-]aðiспец.; leggjaнепрsjógv millum [-tl-] seg ogВинидиом., takaслнó-ó-iavstandннкfráДат
дезерти́р	mdesertørur [teːsεɹ̥Ꞌtʰøː-]ннкмсогл-ar, rýmingurмсогл-arкн.(úr heri)
дезерти́ровать	дезерти́ру|ю, ~ешь, ~ютipf/pfdesertera [teːsεɹ̥Ꞌtʰeː-]ннкaði, rýmair(d)(úr herinum)
дезерти́рство	ndesertión [teːsεɹ̥Ꞌʃɔun]ннкж0-ir, desertering [teːsεɹ̥Ꞌtʰeː-]ннкж0-ar, rýmingж0-ar(úr herinum)
дезинсекцио́нный	adj: дезинсекцио́нное сре́дство insektgiftннкс0о, skordýrateiturнпс0осн; дезинсекцио́нная ка́мера avlúsingarstøðж0-ir
дезинсе́кция	ffyribeinanж0-irav skaðadjórum (insektum o.ø.), reinsingж0-arfyri illkykt (lýs,loppur o.a.); avlúsing [εav-], [au-]ж0-ar(швей)
дезинфекцио́нный	adjdesinfektións- [-Ꞌʃɔu-], sóttreinsandiнпглandi
дезинфе́кция	fdesinfektión [ˌteːsɪnfεʰkꞋʃɔun]ж0-ir, sóttreinsanнпж0-ir, sóttreinsingнпж0-ar
дезинфици́ровать	дезинфици́ру|ю, ~ешь, ~ютipf/pf(pf eis.продезинфици́роватьпродезинфици́ру|ю, ~ешь, ~ют)что-л.desinficera {desinfisera} [ˌteːsɪn̊fiꞋseː-]aðio-t, sóttreinsaнпaðio-t
дезинформа́ция	[дезын-], [дэзын-]f(сведения) villleiðandi [vɪtl-] (тж[vɪl-]) upplýsingarж0-arмн(oftast gjørdar við vilja, av avráddum huga); (действие) útbreiðslaжгл-aav villleiðandi upplýsingum (oftast við vilja, av avráddum huga)
дезинформи́ровать	[дезын-]дезинформи́ру|ю, ~ешь, ~ютipf/pf Accútbreiðair(d)villleiðandi [vɪtl-] (тж[vɪl-]) upplýsingar, gevaслнa-ó-iДатvillleiðandi [vɪtl-] (тж[vɪl-]) upplýsingar, lumpaaðiВин(обманывать)
дезодора́нт	m síдеодора́нт
дезоксирибонуклеи́новый	[дэ-]adj: дезоксирибонуклеи́новая кислота́ desoxyribonukleinsyra [ˌteːsɔʰksyriːponʊkʰleꞋiːnsyːɹa],sí eis.ДНК
дезорганиза́тор	m o-r, sum loypir surr í;o-r, sum loypir loypir ólag í;o-r, loypir óskil í;o-r, sum forstýrar [-Ꞌstʊi-]ннк;o-r, sum órógvar; forstýrari [-Ꞌstʊi-]энкмгл-ari,síдезорганизова́ть
дезорганиза́ция	fólagс0о{a/ø}{0<>i}, forstýrilsi [-Ꞌstʊi-]ннксгл-i
дезорганизова́ть	дезорганизу́|ю, ~ешь, ~ютipf/pf Acc(привести в беспорядок) loypair(t)surr ío-t, loypair(t)ólag ío-t, loypair(t)óskil ío-t, forstýra [-Ꞌstʊi-]ннкaðiВин(мешать), órógvaaðiВин(беспокоить); desorganisera [teːsɔɹkaːnɪseː-]ннкaðiВинред.
дезорганизо́вывать	ipf síдезорганизова́ть
дезориента́ция	fdesorientering [teːsoɹɪεn̊teː-]интж0-arред., villleiðing [vɪtl-] (тж[vɪl-])ж0-ar
дезориенти́ровать	дезориенти́ру|ю, ~ешь, ~ютipf/pf Accvilla [-tla]aðiВин, villleiða [vɪtll-] (тж[vɪll-])ir(d)Вин, geraнепрВинí ørviti; desorientera [teːsoɹiεn̊teː-]интaðiВинредк
деидеологиза́ция	favideologisering [εaviːteːoloːkiseː]интж0-arспец.
деи́зм	[дэ-]mdeisma [teꞋisma]жгл-aрел.
деи́ст	[дэ-]mdeistur [teꞋist-]мсогл-arрел.
деисти́ческий	[дэ-]adjdeistiskur [teꞋist-]соглskрел.
деи́стский	[дэ-]adj síдеисти́ческий
дейдву́дный	adj: дейдву́дная труба́ stevnrør
де́йственность	feffektivitetur [-ɪꞋtʰeː-]мсогл-s,-ir, tað at virka
де́йственный	stfде́йствен|ен, ~на, ~но, ~ныadjeffektivurннксогл, sum virkar (væl); aktivurннксогл(активный); быть {оказа́ться} де́йственным virkaaði; угро́за оказа́лсаь де́йственной hóttanin virkaði
де́йствие	n1.(поступки) handling [hanl-]ннкж0-ar, atgerðж0-ir; gerð (atgerð)ж0-ir, verkс0о;fys.aktión [-Ꞌʃɔun]ж0-irфиз.,проф., ágerðлпж0-irфиз.; план де́йствий virkisætlan, handlingsplanur [hanlɪŋks pʰlaː-]ннк; наси́льственные де́йствия valdsgerð [val̥s-], yvirgangurмсогл-s,-ir; име́ть по́лную свобо́ду де́йствий hava fríar ræsir; предоста́витькому-л.свобо́ду де́йствий gevao-mfríar ræsur; самово́льные де́йствия sjálvrádnar gerðir; противозако́нные де́йствия ólógligar [-Ꞌlɔuli-] gerðir2.(функционирование) funktión [fʊŋ̊kꞋʃɔun]ннкж0-ir, máti at virka uppá [ʊꞋpʰɔa]; при́нцип де́йствия маши́ны virkishátturinкн.hjá [tʃʰ-] maskinuni [-Ꞌʃiː-]; ра́диус де́йствия aktiónsradius [aʰkꞋʃɔunsraːtiʊs]ннкпроф.; привести́ механи́зм в де́йствие seta maskinu [-Ꞌʃiː-] í gongd; в де́йствии í gongd3.(воздействие) ávirkanж0-ir, árinс0о; оказа́ть де́йствие (на Acc) havaнепрávirkan áВин; предупрежде́ние не возыме́ло де́йствия ávaringin gjørdi ongan mun, ávaringin nyttaði einki; лека́рство оказа́ло де́йствие medisinið [meːtɪꞋsiː-] virkaði; под де́йствиемчего-л.undir ávirkan avo-m;что-л.не подверга́ется {поддаётся} де́йствию кисло́т syra [syː-]ннкпроф.{sýraнп} virkar ikkiá o-t4.(о законе,договоре) gildiсгл-iюр.; срок де́йствия gildisfreistюр.; вступа́ть {входи́ть} в де́йствие koma í gildi; вводи́ть в де́йствие seta í gildi; введе́ние в де́йствие setan í gildi; име́ть де́йствие hava gildi; продли́ть де́йствие догово́ра leingja gildiðюр.; зако́н обра́тного де́йствия не име́ет lógin hevur ikki afturvirkandi [aʰtː-] gildiюр., lógin hevur ikki afturvirkandi [aʰtː-] kraft5.(события) handling [hanl-]ннкж0-ar; де́йствие рома́на происхо́дит в XI столе́тии skaldsøgan [skals-]нпfer fram í 11. øld, handlinginннкí romanini [-Ꞌmaː-]ннкgongur fyri seg í 11. øld, handlinginннкí romanini [-Ꞌmaː-]ннкfyrigongur í 11. øld, søgugongdinкн.í skaldsøguni [skals-]нпfer fram í 11 øld; ме́сто де́йствия staðið, har handlinginннкfer fram6.sjónl.(часть пьесы) aktннкж0-ir, tátturнпмсогл-ir{á/æ};согл-ar, parturнпмсогл-ar; пье́са в двух де́йствиях ein sjónleikur í tveimum aktumннк, ein sjónleikur í tveimum táttumнп7.mat.(вид вычисления) operatión [oːpɪɹaꞋʃɔun]ж0-irпроф., мат; четы́ре де́йствия арифме́тики teir fýra roknihættirnir@вое́нные де́йствияhernaðaratgerðirж0-irмн=>бо́мба,ввести́5,войти́@,вступле́ние@,да́льний3,зо́на1,коэффицие́нт,оскорби́ть@,противоде́йствие
действи́тельно	Iadví roynd og veru, virkuligaннк, veruligaнп; og so er {var} (так и есть {было})IIparentpúra, tað er rætt; virkuligaннк; álvaratos; (so) sanniliga (поистине); satt at siga (по правде говоря); он, действи́тельно, прав hann hevur púra rætt; да, действи́тельно, э́то ну́жно jú, tað er (púra) rætt, hetta er neyðugt [nεijʊʰt]; действи́тельно? álvara? virkuligaннк?
действи́тельность	f1.(реальность) virkuligheitннкж0-ir, veruleikiмгл-i; соотве́тствовать действи́тельности vera í samsvar við veruleikan; стать действи́тельностью gerast veruleiki2.(законная сила) gildiсгл-iюр.@в действи́тельностиí roynd og veru, faktisktннк, tá samanum [-Ꞌʊmː] kemur =>столкну́ться4
действи́тельный	stfдействи́телен, действи́тельн|а, ~о, ~ыadj1.bert lf(действительно существующий) virkuligurннкглigur, veruligurнпглigur; reellur [reꞋεlː-]ннксогл, faktiskurннксоглsk(фактический); действи́тельные собы́тия veruligar hendingar; действи́тельный факт eitt virkuligtннкfaktumннк, eitt reelt [reꞋεl̥t]ннкfaktumннк, ein verulig sannroyndнп; действи́тельное число́ reelt [reꞋεl̥t] talпроф., мат2. (подлинный) ektaðurглaður, sannurсогл{a/o}; действи́тельный друг rætturсогл{æ/ø}vinur, sannur vinur, ordiligurннкглigurvinur3.(имеющий силу) (sum er) í gildi, gildugurглugur, galdandiглandi, gildurсоглкн.,офиц.; быть действи́тельным vera í gildi; биле́ты действи́тельны (на) тро́е су́ток billetirnar [-Ꞌlε-]ннкeru galdandu í trý samdøgur4.gml.(эффективный) effektivurннксогл@на действи́тельной слу́жбеí aktivari hertænastu;действи́тельный член Акаде́мии нау́к(fullgildur) limur av vísindakademiinum =>зало́гII
де́йство	n1.gml.síде́йствие2.gml.(театральное представление) sýningж0-ar, sjónleikurмсогл-ir(uppr. við kirkjuligum evni)
де́йствовать	де́йству|ю, ~ешь, ~ютipf1.(поступать,проявлять деятельность) handla [hanla]ннкaði(gera,fremja gerð); beraслнa-ó-oseg at (вести себя - тж) ; де́йствовать +обст. образа действия/+ hjáliðberaслнa-ó-o(seg) +нар.at; ты́ де́йствовал разу́мно tú bart teg skilagott at; де́йствовать осторо́жно fara varliga fram; де́йствовать бы́стро bera skjótt at, vera skjótur; де́йствовать сме́ло vera djarvur; пора́ де́йствовать nú er tíð at handlaннк; де́йствовать в свои́х интере́сах handlaннкvið sínum egnu áhugamálum fyri eyga2.pfподе́йствоватьподе́йству|ю, ~ешь, ~ют(оказывать влияние) (на Acc) ávirkaaði(Вин), virkaaði(upp) á (Вин); э́то на меня́ не де́йствует hetta virkar ikki upp á meg; де́йствовать успокои́тельно virka sissandi; ничто́ на него́ не де́йствует (об уговорах и т.п.) einki rínur á hann; лека́рство де́йствует medisinið [meːtɪꞋsiː-] virkar3.(функционировать) virkaaði, fungera [fʊŋꞋkeː-]ннкaði; не де́йствовать ikki virka, vera í ólagi, vera í óordanнеформ.; телефо́н не де́йствует telefonin virkar ikki4.(иметь силу) galdaслнa-u-o, vera galdandi, vera í gildi; здесь де́йствуют други́е зако́ны her galda aðrar lógir =>нерв@,угро́за1
де́йствующий	Ipartic presде́йствовать@де́йствующие ли́цаtey leikandi (í filmi, sjónleiki);де́йствующая а́рмияfasturсогл{a/ø}herurIIadj(о документе, правиле и т.п.) (sum er) í gildi, gildugurглugur, galdandiглandi, gildurсоглкн.,офиц.
дейте́рий	[дэйтэ-]mdeuterium [tœuˑtʰeːɹijʊm]с0o({0<>i}), tungt brintс0o, tiungt vetniлпсгл-i, tungt vatnevniлпсгл-i
де́ка	[дэ-]fklangbotnur [-aŋk-]мсогл-ar(í musikkinstrumenti)
дека...	[дэ-]í samansdeka-
декабри́ст	msøg.dekabristur [teːkaꞋpɹɪ-]мсогл-ar(luttakari í uppreistri í St. Pætursborg 14. desember 1825)
дека́брь	Genдекабря́mdesember {december} [teꞋsεmpʊɹ]м нескл.; в декабре́ í desember {december}
дека́брьский	adjdesember- {december-}[teꞋsεmpʊɹ-]
дека́да	f1.(промежуток времени) tíggju dagar, tíggju daga (tíðar)skeiðс0о{0<>i}; в пе́рвую дека́ду {пе́рвой дека́де} апре́ля fyrst [fɪst] í apríl [aꞋpʰɹʊil], ≈ ta fyrstu [fɪstʊ] vikuna av apríl [aꞋpʰɹʊil]2.(фестиваль) stevnaжгл-a, festivalur [fεstɪvaːl-]мсогл-ar(sum verður hildin í tíggju dagar); дека́да ру́сского иску́сства в Ло́ндоне ≈ tann russiska listavikan í London
декада́нс	m1.(упадок) dekadansa [teːkaꞋtan̊sa]интжгл-a(afturgongd, forfall)2.síдекаде́нтство
декаде́нт	mdekadentur [teːkaꞋtε-]интмприл
декаде́нтский	adjdekadentur [teːkaꞋtε-]инттжлит., dekadansu- [teːkaꞋtan̊s-]инттжлит.
декаде́нтство	ndekadansa [teːkaꞋtan̊sa]жгл-aлит.(rák í list og bókmentum í 19.-20. øld)
дека́дный	adjtíggju daga; дека́дный срок tíggju daga freist
декали́тр	[дэ-]mdekaliturм0осн
дека́н	mdekanur [-Ꞌkʰaː-]мсогл-ar
декана́т	mdekanat [teːkʰaꞋnaːt]с0о
декати́ровать	декати́ру|ю, ~ешь, ~ютipf/pf что-л.dekatera [teːkʰaꞋtʰeː]aðio-tспец.
декатирова́ть	декатиру́|ю, ~ешь, ~ютipf/pf síдекати́ровать
декаэ́др	[дэ-]mdekaedur [teːkaꞋet-]с0оснспец.
деквалифика́ция	fmissurмсогл-s,-irav kvalifikatiónum [kʰvaːlɪfiːkaꞋʃɔun-], missurмсогл-s,-irav førleika (orsakað av tvørrandi praksis o.s.fr.)
деквалифици́роваться	деквалифици́ру|юсь, ~ешься, ~ютсяipf/pfmissair(t)kvalifikatiónir [kʰvaːlɪfiːkaꞋʃɔun-], missair(t)førleika (orsakað av tvørrandi praksis o.s.fr.)
деклама́тор	mupplesariмгл-ari
деклама́торский	adjupplestrar-; recitatións- [reːsiːtaꞋʃɔuns-]инт; (oftastspott.) deklamatoriskur [tekʰlaːmaꞋtʰoː-]интсоглskб.ч.ирон.
деклама́ция	fupplesturм0осн-ar,-ar; recitatión [reːsiːtaꞋʃɔun]интж0-ir; (oftast spott.) deklamatión [tekʰlaːmaꞋʃɔun]интж0-irб.ч.ирон.
деклами́ровать	деклами́ру|ю, ~ешь, ~ютipf(pfпродеклами́роватьпродеклами́ру|ю, ~ешь, ~ют)что-л.deklamera [-Ꞌmeː-]интaðio-t, lesaслнa-ó-io-tupp, recitera [reːsiꞋtʰeː]интaðio-t
деклара́нт	m jur.deklarantur [-ˈra-]мсогл-arюр., торг.
декларати́вный	stfдекларати́в|ен, ~на, ~но, ~ныadj1.bert lf(торжественный) hátíðarligurглigur; almennurсогл(официальный); greidligurглigur(недвусмысленный)2.: заяви́ть в декларати́вной фо́рме (не аргументируя) proklamera [pʰɹokʰlaꞋmeː-]энкaðiб.ч.ирон., forkynna [-Ꞌtʃʰɪ-]энкaðiб.ч.ирон.
деклара́ция	f1.bókl.(официальное заявление) yvirlýsingж0-аr; Деклара́ция прав челове́ка Mannarættindayvirlýsingin2.(о нек. документах) deklaratión [tekʰlaːɹaꞋʃɔun]ж0-irспец.; тамо́женная деклара́ция tolldeklaratión [tʰɔtltekʰlaːɹaʃɔun]ж0-ir; нало́говая деклара́ция sjálvuppgávaжгл-a(til skattavaldið)
деклари́ровать	деклари́ру|ю, ~ешь, ~ютipf/pf что-л.1.bókl.(официально заявить) geraнепрyvirlýsingum o-t, lýsair(t)o-t2.(провозгласить) proklamera [pʰɹokʰlaꞋmeː-]энкaðio-t б.ч.ирон., forkynna [-Ꞌtʃʰɪ-]энкaðio-t б.ч.ирон.2.(заполнятьналоговые докумемты)gevaслнa-ó-io-t upp(skatt o.a.)
декласси́рованный	stfдекласси́рован, ~на, ~но, ~ныadjdeclassé [tekʰlaꞋseː]нескл., тк предикативное, deklasseraður [tekʰlaꞋseː-]глaður
декласси́роваться	декласси́ру|ю, ~ешь, ~ютipf/pfverða deklasseraður [-Ꞌseː-]глaður
деко́дер	[дэ-]mdekodari [-Ꞌkʰoː-]мгл-ari
декоди́рование	ndekoding [-Ꞌkʰoː-]ж0-ar
де́коллективиза́ция	favkollektiviseringж0-ar
декольте́	[дэ- -тэ́]Iс indeclútringingж0-ar; с декольте́ niðurringaðurглaður, útringaðurглaðurIIadj indeclútringaðurглaður, niðurringaðurглaður; пла́тье декольте́ niðurringaður kjóli
декольти́рованный	[дэ-]stfдекольти́рован, ~а, ~о, ~ыpartic í týdn. sum adj1.(о платье) útringaðurглaður, niðurringaðurглaður2.(одетый в платье с вырезом) (sum er) í niðurringaðum kjóla
декоммуниза́ция	[дэ-]fbókl.havnan, vrakan av kommunistiskari ideologi o.tíl.,≈ avkommuniseringж0-ar
декомпре́ссия	[дэ-]fdekompressión [-ˈʃɔun]ж0-irтехн.
деконстру́кция	fdekonstruktión [tekʰɔnstɹʊʰkʃɔun]ж0-irспец.
декорати́вный	stfдекорати́в|ен, ~на, ~но, ~ныadj1.bert lf(служащий для украшения) prýðis-, skreyt-; декорати́вное иску́сство skreytlistкн.; декорати́вное расте́ние skreytplantaкн., prýðisplantaкн.2.(живописный,картинный) dekorativurннксогл
декора́тор	m1.(в театре) leiktjaldamálariнпмгл-ari2.(специалист по украшению) dekoratørur [teːkoɹaꞋtʰøː-]мсогл-ar
декора́ция	fleiktjaldнп, kulissaннк, dekoratión [teːkoɹaꞋʃɔun]ннкж0-ir(leiktjald o.tíl.)
декори́ровать	декори́ру|ю, ~ешь, ~ютipf/pf что-л.dekorera [teːkoꞋreː-]ннкaðiпроф., pyntaaðio-t, prýðair(d)o-t
деко́рум	[дэ-]mbókl.sómiмгл-i, sømdж0-ir, dekorum [teꞋkʰoːɹʊm]с0o{дат.0}ред.; соблюсти́ деко́рум faraслнó-ó-avið sóma, faraслнó-ó-avið sømd
декре́т	m1.boðс0о{0<>i}дистр(приказ), fyriskipanж0-ir(постановление властей); dekret [teꞋkʰɹeːt]ннкс0о(не о фар. делах)2.tlm.síдекре́тныйо́тпуск; уйти́ в декре́т fara í barnsburðarfarloyvi [pan̊s-]; вы́йти из декре́та koma aftur [aʰtː-] úr barnsburðarfarloyvi [pan̊s-]
декрети́ровАТЬ	декрети́ру|ю, ~ешь, ~ютipf/pf что-л.skipaaðifyri o-m, fyraskipaaði ao-m,dekretera [-ˈtʰeː-]интaðio-tред.
декре́тный	adjvið boðum, við fyriskipan; við dekreti [teꞋkʰɹeːt]ннк,síдекре́т1@декре́тный о́тпускbarnsburðarfarloyvi [pan̊s-]сгл-i;декре́тное вре́мяsonutíðin í Russlandi(1 tíma framman fyri normaltíðina í sonuni)
декриминализа́ция	[дэ-]favkriminalisering [εavkʰɹiːminaːli-]ж0-ar
де́ланный	Ipartic avде́латьIIadjóektaðurглaður, ónatúrligurглigur; де́ланный смех ein tilgjørdur látur
де́лать	ipf(pfсде́лать)1.что-л.(заниматься чем-л.) geraнепрo-t; virkaaðio-t, evnaaðio-ttil (изготовлять); framleiðair(d)o-t(производить); smíðaaðio-t(мастерить); он э́то хорошо́ де́лаеттжhann greiðir tað væl úr hondum; смотри́, как э́то де́лаюттжhygg, hvussu teir bera seg at; что вы тут де́лаете? hvat gera tit her?; де́лать гимна́стику gera fimleik; де́лать 50 км в час gangaнепр50 km um tíman; что (же) нам де́лать? hvat skulu vit gera?; я не зна́ю, что де́лать veit ikki, hvat eg skal gera; он зна́ет, что де́латьтжhann er ikki ráðaleysur; де́лать откры́тие gera eitt uppdagilsiннк; де́лать уси́лие kýtair(t)seg; де́лать оши́бку gera ein feil; де́лать попы́тку gera eina roynd; де́лать дела́ gera forrætningar [-Ꞌra-]; де́лать рекла́муDatgera reklamu [reꞋkʰlaː-] fyriВин; де́лать де́ньги tjenaar(t)pengar2.кому-л. что-л.(оказывать кому-л. что-л.) geraнепрo-m o-t; де́лать добро́ лю́дям gera væl við fólk, gera fólki gott3.что-л. из Gen(обращать,превращать) geraнепрo-túrДат; де́лать изкого-л.посме́шище havaнепрo-ntil láturs, havaнепрo-ntil rukku4.кого-л. кем-л.(приводить в какое-л. состояние) geraнепрo-ntilo-n{o-t}; де́латького-л.помо́щником gerao-ntil hjálparmann [j-]; де́латького-л.счастли́вым gerao-nlukkuligan; де́лать себя́ посме́шищем gera seg sjálvan til láturs5.: де́лать себе́ костю́м (у портного) seymaaðisær ein klædning (hjá skraddara)6.tlm.(pfнаделать) mígaслнei-i-iвульг.(мочиться), skítaслнei-i-iвульг.(испряжнаться); де́лать в штаны́ geraнепрí buksurnar, skíta í buksвульг. =>видI @,какI 1,ми́наII @,не́чегоI @,пого́да@,успе́х1,честь@
де́латься	ipf(pfсделаться)1.(происходить) faraслнó-ó-afram, hendair(d); что здесь де́лается? hvat fyrigongurннкher?; hva gongur fyri seg her?; что с тобо́й де́лается? hvat bagir tær?; hvat feilar tær?; ему́ ничего́ от э́того не де́лается hann fær einki fortreð [-Ꞌtʰɹeː] av tí; там де́лаются ужа́сные ве́щи har er ein ræðuligur standur; что де́лается! nú gongur av skriðuni!2.(становиться) blívaслнei-i-i, gerastнепр, verðaслнa-ó-o, стать II; де́латься лу́чше verða betri, batnaaði; ей от э́того де́лается ху́же hon versnar [vεsn-] av hesum3.: от э́того де́лаются пя́тна blettar [pʰlε-] koma av hesum4.pass: как э́то де́лается? hvussu skal tað gerast?; hvussu gera tit tað?
делега́т	mumboðс0о{0<>i}(á ráðstevnu o.tíl.), útsendingurмсогл-ar
делега́тка	plurделега́т|ки, ~ок, ~камfumboðс0о{0<>i}(á ráðstevnu o.tíl.), útsendingurмсогл-ar(konufólk)
делега́тский	adjumboðs-, sendi-
делега́ция	fsendinevndж0-ir
делеги́ровать	делеги́ру|ю, ~ешь, ~ютipf/pf1.кого-л.(посылать на собрание и т.д.) sendair(d)o-nsum umboð, síделега́т2.что-л.(передать права) lataслнæ-ó-a(Дат)o-t, lataслнæ-ó-a(Дат)o-tupp í hendur, fáaслнe-i-i(Дат)o-t; делеги́ровать права́ lata rættindi
делёж	mtlm.býtiсгл-i, býtingж0-ar
делёжка	plurделёж|ки, ~ек, ~камf síделёж
деле́ние	n1.(subst tilдели́ть 1) sundurbýtingж0-ar; администрати́вное деле́ние fyrisitingarligофиц.sundurbýting, administrativннкsundurbýting2.(subst. tilдели́ться 2) býtingж0-ar; деле́ние кле́тки kyknubýtingбиол.; деле́ние ядра́ kjarnabýting [-tn-]физ., kjarnakloyving [-tn-]ж0-arфиз.3.mat.(математическое действие) división [tiːviꞋʃɔun]ннкж0-irпроф.мат., deilingнпж0-ar; знак деле́ния divisiónstekn [-tʰεkn]ннкпроф., deilitekn [-tʰεkn]нп4.(на шкале) inndeilingннкж0-ar; strikaжгл-a(градус и т.п.); strikс0о(на компасе)
деле́ц	Gen, Accдель|ца́;plur~цы́, ~о́в, ~ца́мmbesnissaður [-Ꞌsnɪ-]неформ.forrætningsmaður [-Ꞌra-]ннкмнепр; spekulantur [-Ꞌla-]энкмсогл-arпренебр.(спекулянт)
Де́ли	[дэ-]m indeclDelhi [teːli]м нескл.
деликате́с	[-тэ́с]mdelikatessa [teːlikʰaꞋtʰε-]ннкжгл-a, krásж0-ir, gloypubitiмгл-i(лакомство)
делика́тничать	ipftlm.(с кем-л.) vera ov [oː] hampiligurглigur(við o-n), vera ov [ɔ] lagaligurглigur(við o-n)
делика́тность	ftað at vera ov [oː] hampiligur, tað at vera ov [ɔ] lagaligur
делика́тный	stfделика́т|ен, ~на, ~но, ~ныadj1.(предупредительный) umhygginсоглосн; fólkaligurглigur(вежливый); viðkvæmur [viː-], [vɪʰk-]согл; согл{æ/o}, kenslunæmurсогл; согл{æ/o}кн.(восприимчивый), fíntfølandiннкглandi(тонкий); diskretur [dɪˈskreː-]ннксогл(тонкий)2.(щекотливый) viðbrekin [vɪp-]соглосн, viðkvæmur [viː-], [vɪʰk-]согл; согл{æ/o}
дели́мое	nmat.dividendur [tiːviꞋtε-]ннкмсогл-arпроф.,мат., deildstovnurлпмсогл-arмат.
дели́мость	f(на что-л.-við o-m)mat.tað at kunna býtast; при́знак дели́мости на три reglan fyri, nær trý gongur upp í eitt tal
дели́мый	adjsum kann deilast, sum kann býtast
дели́тель	mdivisor [tiꞋviːsoɹ]ннкпроф.,мат.м0-ar{+}, deilariлпмгл-ariмат.
