ф	1.ферзь frúgv, drotning (í talvi)2.фара́да F farad [faː-]
фарс	msjónl.,fl.farsaннкжгл-a, glantrileikurмсогл-s,-ir
фарси́	m indecl síперси́дскийязы́к
фарт	móvkm.lukkaжгл-a(счастье), heldннкс0о(удача)
фарти́ть	фарти́тipf(pfподфарти́тьподфарти́т, пофарти́тьпофарти́т)ópóvkm.:ему́ фарти́т hann er heldigurннкглigur, hann er heppinнпсоглосн
фарто́вый	adjóvkm.1.(удачливый) heldigurннкглigur, heppinсоглоснкн.2.(очень хороший) frálíkurсогл, óførurсогл
фа́ртук	m1.(передник) fyriklæðiсгл-i(тж[fɪɹkla][fɪɹklεa]сгл{a/ø}{0<>i); svintaжгл-a(из более грубого материала для грязной работы)2.(трала) slitmáttaжгл-a(á troli)
фарфо́р	m1.(материал) porcelen {porselen}[-Ꞌleːn]с0o, postalín [-Ꞌlʊin]нпс0o2.koll(изделия) porcelen {porselen}[-Ꞌleːn]с0o, postalín [-Ꞌlʊin]нпс0o
фарфо́ровый	adjporcelens- {porselens-} [-Ꞌleː-], postalíns- [-Ꞌlʊi-]; úr porceleni {porseleni-} [-Ꞌleː-], úr postalíni [-Ꞌlʊi-]
фарцева́ть	фарцу́|ю, ~ешь, ~ютipf чем-л.tlm.børsaaðivið o-mнеодобр., handla [-nla]aðisvartvið o-m(við útlendskum vørum o.tíl.)
фарцо́вка	ftlm.børsingж0-arнеодобр., spekulatión [-Ꞌʃɔun]ж0-irнеодобр.(við útlendskum vørum,síфарцева́ть)
фарцо́вщик	mtlm.børsariмгл-ariнеодобр., spekulantur [-Ꞌla-]мсогл-arнеодобр.(við útlendskum vørum,síфарцева́ть)
фарш	m1.(рубленное мясо) maliðсоглоснkjøt; malinсоглоснfiskur (рубленная рыба)2.(начинка) fylla [-tla]жгл-a; farsс0о(готовый)@сде́лать фаршиз кого-л.morlaaðio-nsundur
фарширо́ванный	adjfarseraður [-Ꞌseː-]глaður, fylturсогл(начинкой)
фарширова́ть	фарширу́|ю, ~ешь, ~ютipf(pfзафарширова́тьзафарширу́|ю, ~ешь, ~ют)что-л.farsera [-Ꞌseː-]aðio-t(мясным или рыбным фаршем); fylla [-tla]ir(t)o-t(любой начинкой)
ФАС1	I [фас]f indeclФедера́льная антимонопо́льная слу́жба Antimonopoltænastan í Russiska Samveldinum
ФАС2	II [фас] Свобо́дно вдоль бо́рта су́дна, FAS [fasː], Free аlongside shipангл.
фас3	IIIm: в фас, фа́сомsíанфа́с
фаса́д	ffasada {façada} [-Ꞌsaːta]ннкжгл-aпроф., framsíðaжгл-a(á húsum)@за фаса́домчего-л.≈við o-msum skálkaskjól
фаса́дный	adjfasadu- {façadu-} [-Ꞌsaːt-]ннкпроф., framsíðu- (á húsum)
фасе́т	mfacet {fasett} [-Ꞌsεʰtː]ж0-ir
фасе́тка	plurфасе́т|ки, ~ок, ~камf síфасе́т
фасе́точный	adjfacet- {fasett-} [-Ꞌsεʰtː-]@фасе́точные глаза́samansett eygur
фа́ска	plurфа́с|ки, ~ок, ~камftekn.avfasing [-faː-]ж0a-rспец., fasaður [faː-] kanturмсогл-sспец.; smigskurðurмсогл-ir(косая врубка)
фасо́ванный	adjpakkaðurглaðurinn
фасова́ть	фасу́|ю, ~ешь, ~ютipf(pfрасфасова́тьрасфасу́|ю, ~ешь, ~ют)что-л.pakkaaðio-tinn, emballera [-Ꞌleː-]aðio-tпроф.
фасо́вка	plurфасо́в|ки, ~ок, ~камf1.(действие) (inn)pakkingж0-ar, emballering [-Ꞌleː-]ннкж0-arпроф.(til liðugvøru)2.(материал) innpakningurмсогл-ar, emballasja [-Ꞌlaː-]ннкжгл-aпроф.(til liðugvøru)
фасо́вочный	adjpakki-
фасо́вщик	mpakkariМгл-ari
фасо́левый	adjbøn-
фасо́ль	f(Phaseolus) bønж0-ir
фасо́н	m1.(модель) fasongur {façonur} [-Ꞌsɔŋk-]ннкмсогл-s,-ir; sniðс0о{0<>i}(покрой); пла́тье но́вого фасо́на ein kjóli við einum nýggjum fasongiннк, ein kjóli við einum nýggjum sniði; потеря́ть фасо́н missa fasonginннк, missa skapið2.(манера) mátiмгл-i, fasongur {façonur} [-Ꞌsɔŋk-]ннкмсогл-s,-ir; на англи́йский фасо́н upp á eingilskan máta, upp á eingilskan fasongннк3.óvkm.: для́ фасо́на fyri at vísa seg, fyri at gera seg upp
фасо́нистый	stfфасо́нист, ~а, ~о, ~ыadjóvkm.smarturсогл, flotturсогл
фасо́нить	фасо́н|ю, ~ишь, ~ятipfóvkm.geraнепрseg Ꞌ upp, erpaaðisær
фасо́нный	adj1.(кфасо́н 1) fasong- [-Ꞌsɔŋk-]ннк2.tekn.(о разн. изделиях) fasong- [-Ꞌsɔŋk-]; фасо́нная сталь fasongstál [-Ꞌsɔŋk-]
фастфу́д	m1.(помещение) fastfoodrestauratión [fastfʊtːrεstɹaʃɔun]ж0-ir2.(еда) fastfood [fastfʊtː]м0{дат.0}, skundverðurлпмсогл-ir
фастфу́дный	adjfastfood- [fastfʊt-], skundverðar-лп
фастфу́довский	adjfastfood- [fastfʊt-], skundverðar-лп
фа́сция	f anat.(оболочка) paðс0о{0<>i}
фат	mgml.lapsurмсогл-ar(франт); skapс0о, uppgerðс0о(позёр)
фата́	fslørс0о(hjá konufólki); сва́дебная фата́ brúðarslør
фатали́зм	mfatalisma [faːt̥aꞋlɪ-]интжгл-a, lagnutrúgvж0-ar{+}
фатали́ст	mfatalistur [faːtaꞋlɪ-]ннкмсогл-ar
фаталисти́ческий	adjfatalistiskur [faːtaꞋlɪ-]ннксоглsk
фаталисти́чный	stfфаталисти́ч|ен, ~на, ~но, ~ныadj síфаталисти́ческий
фата́льный	stfфата́лен, фата́льн|а, ~о, ~ыadj1.(неотвратимый) sum ikki slepst undan, sumo-mer lagaður2.(роковой,трагический) fatalur [-Ꞌtʰaː-]ннксогл, syndarligurглigur
фа́та-морга́на	flognbráж0-ir, fatamorgana [faːtamɔɹꞋkaː-]ннкс0гл-a
фа́тва	frel.fatwa [faʰtva]жгл-a
фатова́тый	stfфатова́т, ~а, ~о, ~ыadjlapsuturсогл(франтоватый); skaputurсогл, uppgjørdurсогл(ходульный)
фатовско́й	adjlapsuturсогл(франтоватый); skaputurсогл, uppgjørdurсогл(ходульный)
фатовство́	nlapsarí [-Ꞌrʊi-]ннкс0о{0<>i}(франтовство); skapс0о, uppgerðс0о(позёрство)
фа́тум	mlagnaжгл-a; forløgс0о{a/ø}мнвыс., балл.
фа́уна	ffauna [fauna]жгл-a(;0-ir)спец.; djóralívс0о, djóraríkiсгл-i
фахве́рк	mbindingsverkс0о
фа́хверк	m síфахве́рк
фашиза́ция	fspjaðing ella útbreiðsla av fascismu
фаши́зм	mfasisma {fascisma}[-Ꞌsɪ-]жгл-a
фаши́на	frískneppiсгл-i, greinakneppiсгл-i(til at styrkja veg í mýrilendi o.a.)
фаши́нный	adj(sum er) av) rískneppum, (sum er) av greinakneppum
фаши́ст	mfasistur {fascistur [-Ꞌsɪ-]}мсогл-ar
фаши́ствующий	adjfasistakendur {fascistakendur} [-Ꞌsɪ-]согл, fasistoidur {fascistoidur} [-sɪstoꞋiː-]интсогл; við fasistiskum {fascistiskum} [-Ꞌsɪ-] atburði
фаши́стский	adjfasistiskur {fascistiskur} [-Ꞌsɪ-]соглsk
фаэто́н	m1.slag av hestavogni við kalesju2.slag av persónbili við kalesju
фая́нс	m1.(материал) fajansa [-Ꞌja-]жгл-a2.koll(изделия) steintoy [-tʰœi] (реже[-tʰɔi])с0о{0<>i}úr fajansu
фая́нсовый	adj1.(о материал) fajansu [-ˈja-]2.(об изделиях) steinyoys- [-tʰœis-], fajansu- [-ˈja-]
ФБК	[эф-бэ-ка́]m indeclФонд борьбы́ с корру́пцией Antikorruptiónsgrunnurin [ˌan̊tikʰɔːʊʰpˈʃɔuns-]мсогл-arопр.
ФБР	[фэ-бэ-э́р]n indeclФедера́льное бюро́ рассле́дований (США) FBI [ˌεfpiꞋai],Federal Bureau of Investigationангл.(amerikanska sambandsløgreglan)
ФГУП	[вгуп]n indeclstytt. fyriФедера́льное госуда́рственное унита́рное предприя́тие Føderal [-Ꞌraː-]интsameind ríkisfyritøka
Феб	mmyt.Phoebus [føːpʊs]м0-ar({0<>i})
февра́ль	Genфевраля́mfebruar [feːpɹuaːɹ]м неск.
февра́льский	adjfebruar- [feːpɹuaːɹ-]@февра́льская револю́цияfebruarkollveltingin (í Russlandi í mars 1917)
федерали́зм	[eis.-дэ-]mføderalisma [-Ꞌlɪ-]жгл-aспец.(politisk hugsan og skipan)
федерали́ст	[eis.-дэ-]mføderalistur [-Ꞌlɪ-]мсогл-arспец.; samríkismaðurлпмнепр, samveldismaðurлпмнепр
федерали́стский	[-дэ-]adjføderalistiskur [-Ꞌlɪ-]соглskспец.
федера́лы	федера́л|ов, ~амm plurtlm.soldatarí russiska herinum(í Tjetjnja o.a)
федера́льный	[eis.-дэ-]adjføderalur [-Ꞌraː-]интсоглпроф., sambands- [-pan̊s-] (входит во многие сложн.),sí eis.федерати́вный; федера́льный ка́нцлер sambandskanslari (í Týsklandi); федера́льная поли́ция sambandsløgregla; федера́льная слу́жбаnavn á ym. stovnum innan fyri útinnandi vald hjá russisku stjórnini@Федера́льное Собра́ние (Росси́йской Федера́ции)Sambandstingið [-pan̊s-] (í Russiska Sambandinum) (russiska tjóðartingið);Федера́льная слу́жба контрразве́дки, ФСК [фэ-эс-ка́] Russiska mótnjósningartænastan (til 1995),sí eis.ФСБ
Федерати́вная Респу́блика Герма́ния	[eis.-дэ-] Týska Sambandsríkið [-pan̊s-]сгл-iопр.; (1949-1990 тж) Vesturtýsklandс0о{a/o}неофиц.
федерати́вный	[eis.-дэ-]adjsambands- [-pan̊s-], føderativurсоглпроф.; федерати́вное госуда́рство sambandsríki; федерати́вная респу́блика sambandslýðveldi =>Югосла́вия
федера́ция	[eis.-дэ-]f1.(государство) sambandsríki [-pan̊s-]сгл-i, føderatión [-Ꞌʃɔun]ж0-irпроф.2.(объединение) sambandс0о{a/o}, felagsskapurмсогл-ir=>Росси́йскаяФедера́ция,сове́тIII
Фе́дра	fmyt.Phaedra [feːt-]жгл-a, Fedraжгл-a
феери́ческий	adj1.sjónl.(кфее́рия 1) ævintýrspæls-2.fl.(сказочный) ævintýr-, ævintýrligurглigur
феери́чный	stfфеери́ч|ен, ~на, ~ноadjbókl.síфеери́ческий2
фее́рия	[-ее́-úttalast oftast sum eitt hálvlangt ljóð]f1.sjónl.(жанр) ævintýrspælс0o{æ/ø}2.bókl.(зрелище) ævintýrsjónж0-ir, gandasjónж0-ir
фейсбу́к	[фэ-]mfacebok [fεispʊʰk]ж нескл
фейерве́рк	m1.(огни и изделия) fýrverkarí [-Ꞌrʊi-]ннкс0о{0<>i}, fýrverkнпс0о(skreyteldur og einstakir lutir); пусти́ть фейерве́рк skjóta fýrverkaríннк2.fl.(поток,обилие) fýrverkarí [-Ꞌrʊi-]с0о{0<>i}; фейерве́рк кра́сок eitt fýrverkarí av litum; фейерве́рк слов eitt fýrverkarí av orðum
фейк	[фэ-]m1.jarg.(информация) fake [fεik} {feykред.}с0о{0<>i}жарг.2.jarg.(подделка) kopivøra [-ˈpʰiː-]жгл-a, kopivara [-ˈpʰiː-]ннкжгл-а
фе́йковый	[фэ́-]adj jarg.fake- [fεik-] {feyk-ред.}жарг., fakaður [fεik-] {feykaðurред.}глaðurжарг;фе́йковыые но́вости fake [fεik}с0о{0<>i}жарг.
Фейсбу́к1	I[фэ-]mFacebook [fɛispʊʰkː]ж нескл
фейсбу́к2	II[фэ-]m síða á Facebook
фейсбу́чный	[фэ-]adj tlm.Facebook- [fɛispʊʰkː-], (sum er) á Facebook [fɛispʊʰkː]
фека́лии	f plurlækn.mannatrekkurмсогл-ar, avføring [εav-]ж0-arэвф.,проф.
фека́льный	adjfekalur [-kʰaː-]соглвет., спец.; фека́льные колифо́рмные бакте́рии fekalar coliformar {koliformar} [-ˈfɔ-] bakteriur [-ˈtʰeː-]
фелла́х	mfellah [fεlːa]мгл-гл(bóndi í arabiskum londum)
фельдма́ршал	mfeltmarsjalurмсогл-ar
фельдма́ршальский	adjfeltmarsjal-; фельдма́ршальский жезл feltmarsjalstavur
фельдфе́бель	msøg. ≈yvirsersjanturмсогл-ar(hægsti undiroffiserur í russ. herinum innan 1917)
фе́льдшер	plurфе́льдшер|ы, ~ов, ~амogфельдшер|а́, ~о́в, ~а́мm hjálparmaður hjá lækna(uttan hægri útbúgving); вое́нный фе́льдшер feltskeriмгл-iист.
фельдъе́герь	plurфельдъе́гер|и, ~ей, ~ямogфельдъегер|я́, ~е́й, ~я́мmsøg.feltjekariмгл-ariист., kurerur [-Ꞌreː-]мсогл-arист.
фельето́н	mgreinarstubbiмгл-i, smágreinж0-ar;0-ir(oftast skemtilig ella satirisk)
фельетони́ст	m o-r,ið skrivar greinastubbar el. smágreinar,síфельето́н
фелю́га	ffelucca [-ˈlʊʰkːa] ж0-ir(жгл-а)(bátaslag á Miðalhavinum o.a.)
Феми́да	fmyt.Themis [tʰeːmɪs]ж0-ar
фемини́зм	mfeminisma [-Ꞌnɪ-]жгл-a, kvinnurørslaжгл-a
фемини́ст	m o-r, sum stuðlar feminismuni (mannfók)
фемини́стка	plurфемини́ст|ки, ~ок, ~камffeministur [-Ꞌnɪ-]мсогл-ar, kvinnusakskvinnaжгл-a
фемини́стский	adjfeministiskur [-Ꞌnɪ-]соглsk, kvinnurørslu-, kvinnurættinda-
фен	mhárturkariмгл-ari, fønariмгл-ari, fønж0-ir; суши́ть фе́ном fønaaði(hár), turkaaði(hár við hárturkara)
фён	mfønж0-ir(vindur)
фе́нечка1	Iplurфе́неч|ки, ~ек, ~камjarg.armbandс0о{a/o}(heimagjørt, við glasperlum o.a.)с0о{a/o}; ≈ vinarbandс0о{a/o}
фе́нечка2	IIфе́неч|ки, ~ек, ~камf jarg(отличительная черта) sereyðkenni [-εʰtʃʰε-]сгл-i, sermerkiсгл-i;serheitж0-ir(странность,своеобразие)
фе́никс	mFøniksмсогл-ar; восста́ть из пе́пла как пти́ца фе́никс reisastir(t)úr øskuni sum fuglurin Føniks
фени́л	mfenyl [-Ꞌnyːl]с0о({0<>i})
фено́л	mfenol [-Ꞌnoːl]с0о({0<>i})
фено́лог	mfenologur [-Ꞌloːk-]мсогл-arспец.
феноло́гия	ffenologi [-Ꞌkiː]ж0-ir
фено́мен	m1.(явление) fyribrigdiсгл-i, fenomen [-Ꞌmeːn-]ннкс0о(;0-ir)2.(о человеке) úrmælingur [ʏɹ-]мсогл-ar, fenomen [-Ꞌmeːn-]энкс0о
феноме́н	m síфено́мен
феномена́льный	stfфеномена́|лен, ~льна, ~льно, ~льныadjbókl.undrunarverdurсогл, uttan líka, einskila-, fenomenalur [-Ꞌnaː-]ннксогл
феноти́п	mfenotypa [-tʰyː-]жгл-aспец.
фе́нхель	m(Foeniculum vulgare) fennikulм0осн-s,-ar
фе́нька1	Iplur.фе́ньки, фе́нек, фе́нькамf jarg. síфе́нечкаI
фе́нька2	IIplur.фе́ньки, фе́нек, фе́нькамf jarg. síфе́нечкаII
фе́нька3	IIIplur.фе́ньки, фе́нек, фе́нькамf jarg. síфе́ня I
фе́ня1	Ifjarg.tjóvamálс0о(serligt russ. argot),sbr.блатно́й язы́к, блатна́я му́зыка =>бо́тать
фе́ня2	IIf: мне э́то до фе́ниóvkm.eg leggi ein lortвульг.í tað; eg skítiвульг.á tað =>едре́не
феода́л	flensharri [leː-]мгл-i, feudalharri [fœuꞋtaː-]мгл-iспец.
феодали́зм	mfeudalisma [fœutaꞋlɪ-]жгл-a, lensskipanж0-ir
феода́льный	adjfeudalur [fœuꞋtaːl-]согл, lens- [leː-], lensskipanar- [leː-]; феода́льный строй feudal skipan, lensskipan
Фере́йские острова́	[-рэ́-]gml.síФаре́рскиеострова́
фере́йский	[-рэ́-]adjgml.síфаре́рский
фе́рзевый	adjdrotningar-, frúar- (í talvi); фе́рзевый гамби́т frúgvarbragdс0о{a/ø}, drotningarbragdс0о{a/ø}
ферзь	Genферз|я́; plur~и́, ~е́й, ~я́мmfrúgvжнепр, drotningж0-ar(í talvi)
фе́рма1	If(хозяйство) (bónda)garðurмсогл-ar{a/ø}; farmurннкмсогл-ar(тк в США и др.); моло́чная фе́рма garður við mjólkneytum; рыбово́дная фе́рма alibrúkс0о; песцо́вая фе́рма (blá)revagarður; семе́йная фе́рма familjubrúk [-Ꞌmɪ-]с0о
фе́рма2	IIfdragari [-aːk-]мгл-ari, sperraжгл-a
ферма́та	ffermata [-Ꞌmaː-]сгл-a(+)
ферме́нт	menzym {ensym} [-Ꞌsyːm]с0о(;0-ir), kveikiлпмгл-i
фермента́ция	fgeringж0-ar; fermentering [-ˈtʰeː-]ж0-arспец.,кул.
ферменти́ровать	ферменти́ру|ю, ~ешь, ~ютipf1.(находиться в процессе ферментации) geraaði;fermentera [-ˈtʰeː-]aðiспец., кул.2.что-л.(подвергать ферментации) fáaслнe-i-io-tat gera; fermentera [-ˈtʰeː-]aðio-t спец., кул.
фе́рмер	mbóndiмгл-ur; farmariннкмгл-ari(в США и др.)
фе́рмерский	adjbónda-; farmara- (в США и др.)
фе́рмерство	n1.(хозяйство) bóndadriftж0-ir; farmaradriftж0-ir(в США и др.)2.koll(фермеры) bøndurмгл-ur; farmararмгл-ariмн(в США и др.)
фе́рмерша	plurфе́рмерш|и, ~, ~амftlm.1.(жена фермера) konaжгл-abónda; konaжгл-afarmaraннк(в США и др.)2.(арендатор или владелец земли) bóndiмгл-ur; farmariннкмгл-ari(konufólk) (в США и др.)
Фермопи́лы	Фермопи́л, ~амf plursøg.Thermopylae [tʰεɹꞋmoːpʰylε]с нескл.
феррома́рганец	Genферрома́рганцаmjarnmangan [janmankaːn]с0о
ферроспла́в	mjarnlegering [janlekeː-]ннкж0-arпроф.
ферт	mtlm.,vanv.apuspjótс0опренебр., erpiskíturмсогл-arпренебр.(самодовольный); lapsurмсогл-ar(франт)@стоя́ть фе́ртомstanda hendur í hupp;ходи́ть фе́ртомerpaaðisær, brestair(t)sær
фе́ска	plurфе́с|ки, ~ок, ~камffez [feːs], [fεʰts]ж0-ir(kollur)
фест	m slangfestivalur [fεstiˈvaː-]мсогл-ar
фестива́ль	mfestivalur [-iꞋvaː-]мсогл-ar
фестива́льный	adjfestival- [-ivaːl-]
фестива́льчик	mlítil festivalur [-ˈivaː-]мсогл-ar, minifestivaur [miˑnifεstivaˑ-]мсогл-ar
фесто́н	m1.(на ткани и др.) (seymað) tungaжгл-a(á klæðum,gardinum o.ø.)2.arkit.(лепное украшение)(stukk)guirlanda [-kɪɹ-]жгл-a
фе́та	ffetaм нескл, fetaosturмсогл-ar
фе́тва	f síфа́тва
Фети́да	fThetis [tʰe:tɪs]ж0-ar
фети́ш	m1.(обожествляемая вещь) fetich [feːtɪʃ]интж0-ar2.fl.(предмет слепого поклонения) fetich [feːtɪʃ]интж0-ar, avgudur [au-]мсогл-arперен.
фетишизи́ровать	фетишизи́ру|ю, ~ешь, ~ютipf что-л.bókm.dyrkaaðio-tsum ein avgud [au-], geraнепрo-ttil eina fetich [feːtɪʃ]инт
фетиши́зм	m1.(культ) fetichdyrkanж0-ir, fetichisma [-Ꞌʃɪ-]жгл-a2.(извращение) fetichisma [-Ꞌʃɪ-]жгл-a(perversitetur)3.fl.tað at dyrkaВинsum ein avgud, tað at gera eina fetich [feːtɪʃ]интúrДат
фетр	mfiltс0о; tógviмгл-iуст., tóviмгл-iуст.
фе́тровый	adjfilt-; tóv-уст.; фе́тровая шля́па filthattur, tóvhatturуст.
фефёла	fóvkm.,atf.ótrivavættiсгл-i, skitsúgvжнепр;(неповоротливая женщина) klomburс0осн(konufólk)
фехтова́льный	adjfekti-, fikti-кн.;фехтова́льное иску́сство fektikynstur; фехтова́льная ма́ска fektimaska
фехтова́льщик	mfektariмгл-ari, fiktariмгл-ariкн.
фехтова́ние	nfektingж0-ar, fiktingж0-arкн.
фехтова́ть	фехту́|ю, ~ешь, ~ютipffektaaði, fiktaaðiкн.
фешене́бельность	ftað at vera fashionabul [faʃːoꞋnaː-]
фешене́бельный	stfфешене́бе|лен, ~льна, ~льно, ~льныadjbókl.fashionabul [faʃoꞋnaː-]ннксоглосн, fínurсогл
фе́я	fálvurмсогл-ar, vætturж0осн
ФЗО	[фэ-зэ-о́]n indeclsøg.фабри́чно-заводско́е обуче́ние yrkisútbúgving, fakútbúgving [faː-] (á verksmiðju o.tíl.); шко́ла ФЗО fakskúli [faː-]
фи	interfý, uff
фиа́лка	plurфиа́л|ки, ~ок, ~камf(Viola) blákolla [-tla]жгл-a; фиа́лка боло́тная (Viola palustris) ljós blákolla; фиа́лка трёхцве́тная (Viola tricolor) trílitt blákolla, stjúkmóðurblóma [ʃʏkm-]жгл-aред.
фиа́лковые	plur(сем. Violaceae) blákolluættin [-tl-]ж0-irопр.
фиа́ско	n indeclfiasko [-Ꞌa-]ннкж0-ir;потерпе́ть фиа́ско fáa fiaskoннк; фильм потерпе́л фиа́ско filmurin var ein fiaskoннк
фи́бра	f1.gml.(жилка) tægrж0-ir2.(материал) fipur {fibur-}ннкж0осн, trevjaнпжгл-a@все́ми фи́брами (души́)av øllum [œtl-] hjarta [j-]
фибри́н	mfibrin [-Ꞌriːn]с0о({0<>i}), trevjuevniлпсгл-i
фи́бровый	adjfibur-ннк;фи́бровый чемода́н fipurkuffert {fiburkuffert}
фибро́зный	adjfibrøsur [-Ꞌpɹøː-]соглпроф., tægruturсогл
фибро́ма	ffibrom [-Ꞌpɹoːm]с0о({0<>i})мед.
Фи́вы	f plursøg.Theben [tʰeː-]м0{дат.0}
фиг	móvkm.: на́ фиг til fjandansбран., til helvitisбран.; фиг с ним skítвульг.í hann; на́ фиг {на фига́} он нам ну́жен hvat traminбран.skulu vit brúka hann til; э́то им по́ фигуjarg.tey eru so beint tilfriðs [-Ꞌfɹɪsː]неформ., tað ger teimum (so) akkurát [-Ꞌrɔat] tað samaнеформ.
фиг.	stytt. фигу́ра
фи́га	f1.síинжи́р2.óvkm. síку́киш@гляде́ть в кни́гу и ви́деть фи́гуtlm.lesa í bók og ikki forstanda [-Ꞌsta-]ннкeitt kis [kʰiːs]
фигля́р	m1.gml.(фокусник, акробат) gyklariмгл-ari, klovnurмсогл-ar2.tlm.,vanv.(кривляка) íspegilм0осн-s,-ar, bajassur [-Ꞌja-]мсогл-arред.
фигля́рство	nfjákavesinС0о, fjantavesinС0онеформ.
фигня́	fóvkm.lorturмсогл-arгрубо, lortс0огрубо(о-t vánaligt)
фи́говый	ffiku-; фи́говое де́ревоsíинжи́р1@фи́говый листо́кfikublað
фиго́вый	adjóvkm.skít(-)вульг., lort(-)вульг.
фигу́ра	f1.(изображение) figurur [-Ꞌkuː-]ннкмсогл-ar; воскова́я фигу́ра voksfigurur; постоя́нная фигу́ра в коме́диях fastir figurarннкí skemtileikum; фигу́ра вса́дника (статуя) standmyndж0-irav reiðmanni2.(телосложение) vakstrarlagс0о{a/ø}{0<>i}, skapс0о{a/ø},figurur [-Ꞌkuː-]ннкмсогл-ar; у неё хоро́шая фигу́ра hon sær gott út upp á kropp, hon er pen upp á kropp, hon er væl vaksin, hon sær gott út av vøkstri, hon sær gott út av skapi; э́то по́ртит фигу́ру hetta oyðileggur [-Ꞌlε-] figurinннк3.tlm.(личность) figurur [-Ꞌkuː-]ннкмсогл-ar; он (значи́тельная) фигу́ра hann er ein týðandi figururннк, hann er ein týðandi persónur [-Ꞌsɔu-]; стра́нная фигу́ра ein løgin figurur [-Ꞌkuː-]энкмсогл-ar; э́то что за фигу́ра? hvat er hetta fyri ein persónur [-Ꞌsɔu-]; кру́пная полити́ческая фигу́ра týðandi persónur [-Ꞌsɔu-] í politikki [-Ꞌtʰɪ-]4.talv(в шахматах) maðurмнепр(talvfólk annað enn finna), offiserar [-Ꞌseː-]мсогл-arмн(talvfólk annað enn finnur); чёрные фигу́ры teir svørtu offiserarnir5.kort.(в картах) harrablaðс0о{a/ø}{0<>i}, málablaðс0о{a/ø}{0<>i}6.(положение - в полёте и т.п.) figurur [-Ꞌkuː-]ннкмсогл-arпроф.(в танцах); фигу́ры вы́сшего пилота́жа figurarпроф.í kunstflúgving7.bókm.(словесный оборот) figurur [-Ꞌkuː-]мсогл-arспец.; ритори́ческая фигу́ра retoriskur [-Ꞌtʰoː-] figururспец.8.(чертёж,схема) myndж0-ir, tekning [tʰεkn-]ж0-ar, figurur [-Ꞌkuː-]ннкмсогл-ar9.mat.(часть плоскости) figurur [-Ꞌkuː-]мсогл-ar; геометри́ческая фигу́ра geometriskur [keːoꞋmeː-] figurur10.mus.(в музыке) figurur [-Ꞌkuː-]мсогл-arспец.
фигура́льно	advmyndliga;фигура́льно выража́ясь myndliga talað
фигура́льный	stfфигура́лен, фигура́льн|а, ~о, ~ыadjmyndligurглigur, flutturсогл; в фигура́льном смы́сле í fluttari merking
фигура́нт	mgml.1.(танцовщик) dansariмгл-ari(ið ikki dansar solo), figurantur [fiːkuˈra-]мсогл-ar2.(статист) statistur [-Ꞌtʰɪ-]мсогл-arред., уст., figurantur [fiːkuˈra-]мсогл-arред., уст.3.(участник, обсуждаемое лицо)o-r, sum er uppi í o-m(gerð, atgerð),o-r, sum orð verður skift um
фигури́ровать	фигури́ру|ю, ~ешь, ~ютipf1.(присутствовать) vera til staðar, vera hjástaddur [tʃʰ-]согл{a/ø}2.(быть названным) standaслнó-a-a(в списке и т.п.); nevnastir(d), figurera [fiːkuꞋreː-]ннкaði
фигури́ст	mkunstskoytari [-skœi-] (ред.[-skɔi-])мгл-ari, kunstskoyturennari [-skœi-] (ред.[-skɔi-])мгл-ari
фигури́стка	plurфигури́ст|ки, ~ок, ~камfkunstskoytari [-skœi-]([-skɔi-])мгл-ari, kunstskoyturennari [-skœi-]([-skɔi-])мгл-ari(konufólk)
фигу́ристый	stfфигу́рист, ~а, ~о, ~ыadjóvkm.1.(замысловатый) fløkturсогл, fløkjasligurглigur(av skapi);фигу́ристо выража́ться málbera seg fløkt2.(имеющий хорошую фигуру) vælvaksinсоглосн
фигу́рный	adj1.(воспроизводящий фигуры) figur- [fiꞋkuːɹ-];фигу́рная жи́вопись figurmáling [fiꞋkuːɹ-], figurmálarí [fiꞋkuːɹ-]2.(имеющий очерчание,форму чего-л.) dánað sum figurur [fiꞋkuːɹ-]; фигу́рное зе́ркало spegl í skapi sum rundingur, hestaskógvuro.s.fr.; фигу́рная резьба́ myndaskurður3.(исполняемый с фигурами) kunst-, list-; фигу́рное ката́ние kunstskoyting [-skœi-] (реже[-skɔi-]), kunstskoyturenning [-skœi-] (реже[-skɔi-]); фигу́рное пла́ваниe kunstsvimjing; фигу́рный полёт kunstflúgving; фигу́рные коньки́ kunstrenningarskoytur [-skœi-] (реже[-skɔi-])4.talv(в шахматах) (gjørt) við monnum, (gjørt) við offiserum [-Ꞌseː-]; фигу́рная ата́ка eitt álop við monnum =>ско́бкаII
фидбе́к	[-бэ́к]m jarg.afturmelding [aʰtː-]ж0-ar, feedback [fiːtpεʰk]ннкс0о({0<>i})проф.
фидбэ́к	síфидбе́к
ФИДЕ	[фидэ́]f indeclFIDE [Ꞌfiːtε] (Fédération Internationale dеs Echecs)с нескл., Altjóða talvsambandiðс0оопр.
фи́дер	[-дэр]m1.el.(кабель) føðikápilм0осн-s,-ar, høvuðskaðalм0осн-s,-ar2. skip.(контейнеровоз) feedari [fiːt-]мгл-ari(bingjuskip)
фи́дерный	[-дэр]adj:фи́дерное су́дно feederskip [fiːtεɹ-]
Фи́джи	1.plur indecl(острова) Fiji [fiːtʃi]ж нескл. мн(oyggjar)2.n indecl(государство) Fiji [fiːtʃi]с нескл.(land)
