U1	(bókstavurin) u
uncomfortable	1ófjálgur2(um stól) vánaligur, sum er ringur at sita í; (um støðu) óhøgligur3(um rúmo.tíl.)óhugnaligur4(um fólk) sum er illa við, illa til passar; foyur;be uncomfortable aboutkenna seg illa av einum
uncommitted	1ikki framt/gjørt (t.d.the crime)2óbundin, óheftur, sum ikki hevur tikið støðu(ontil)3(um ríki) uttanveltað, samgonguleyst
uncommon	óvanligur, sjáldsamur,(tlm.)óalmindiligur
uncommunicative	fámæltur, fáorðaður, fálátaður, tigandi, tøguligur, svinnur, varin
uncompetitive	1ikki kappingarførur (t.d.that would destroy jobs and make industry uncompetitive)2sum er ikki kappingarhugaður (t.d.uncompetitive practices)
uncomplaining	1uttan at klaga, uttan at gremja seg, sum ikki klagar/gremur seg, tolin2sum ikki finst at (e-m)
uncomplicated	einfaldur, eyðskildur, vanligur
uncomplimentary	neiligur, háðandi, vanvirðisligur (t.d.uncomplimentary remarks)
uncompromising	óvikandi, stívrendur, sum ikki slakar, sum ikki lækkar krøvini, sum ikki ger neyðsemju, óbendiligur, avgjørdur, harður
uncomradely	lítið vinarligur, lítið beinasamur
unconcealed	ókrógvaður, opinberur, ófjaldur (t.d.contempt), sum ikki fjalir út yvir (e-t)
unconcern	at vera tryggur, órørdur, ónervaðurel.ekkaleysur, ekkaloysi, tað ikki at kvíðael.stúra fyri nøkrum, líkasæla
unconcerned	órørdur, ónervaður, ekkaleysur, sum ikki kvíðirel.stúrir, sum ongan áhugað hevur, tryggur, líkasælur;unconcerned aboutikki leggja petti í, ikki kvíða fyri;unconcerned inikki vera við íel.uppi í;unconcerned withongan áhuga hava fyri
unconditional	treytaleysur, við ongum treytum;unconditional surrendertreytaleys yvirgeving
unconditionally	við ongum fyrivarni, treytaleyst;surrender unconditionallygeva seg yvir treytaleyst
unconfessed	1sum ikki hevur játtað seg (t.d.sekan)2sum hevur ikki skriftað (fyri presti)
unconfirmed	óváttaður;unconfirmed rumouróváttað tíðindi//slatur
unconformable	1sum er ikki sum onnur, sum letur seg ikki tillagað2(jarðfr.) mislagdur (t.d.mislagdar fláir)
unconformity	1(oljuv.)misløga2mismunur, ójavni, ósamsvar, ósambæri
uncongenial	1ikki andliga skyldur2ódámligur, lítið dámligur (t.d.an uncongenial task)3it is uncongenial to him1hann hevur ongan ans fyri tí2tað liggur ikki væl fyri hjá honum3tað dámar honum ikki; tað er ikki tað, hann hevur hug til
unconnected	1sum einki hevur við hvørt annað at gera (t.d.unconnected events); unconnected withsum einki samband hevur við2sum ikki kennir tey røttu fólkini (sum kunnu hjálpa honum)3(ravm.)sum ikki er bundin til
unconquerable	ókúgandi, ikki til at kúga, ósigrandi, sum ikki letur seg basa, seigur, ótemjandi, sum ikki vinst á (t.d.courage; nation), óvikandi (t.d.will)
unconscientious	samvitskuleysur
unconscionable	1samvitskuleysur2órímiligur (t.d.it took an unconscionable time)
unconscious	1við ongum viti, í óviti2ótilvitandi, óavvitandi, óvitandi;be unconscious ofikki vita av einum, ikki varnast (um eitt);the unconscious (sálfr.)dulvit
unconsecrated	óvigdur (t.d.buried in unconsecrated ground)
unconsidered	1ikki tilætlaður, óætlaður, illa/lítið umhugsaður;unconsidered decisionlítið umhugsað avgerð2óansaður, ikki gáaður, sum eingin hevur givið gætur, sum eingin hevur givið sær far um
unconstitutional	sum er ikki í samsvari við stjórnarskipanina, stjórnarskipanarósambæriligur
unconstrained	ótilgjørdur, natúrligur, óhátíðarligur, ikki smæðin, sum heima (hjá sær sjálvum);unconstrained mannerótilgjørdur í verumáta
uncontested	sum einki kjak kann vera um, sum eingin ivi kann vera um, sum er einum púra greitt;uncontested electionfriðarval
uncontrollable	1ótemjandi, øðisligur, óstýriligur, ókúgandi, villur, rokmikil2óstýriligur, sum ein hevur ikki tamarhald á, sum ein hevur ikki ræði á, sum ein er ikki førur fyri at stýra (t.d.her brother had an uncontrollable temper; there were uncontrollable risks associated with their mission)
uncontrolled	1púra óskipaður (t.d.growth of cities)2(um kensluro.tíl.)sum er frá sær sjálvum, sum einki tamarhald hevur á;uncontrolled laughterneyðlátur;become uncontrolledgerast óstýrligur
uncontroversial	sum ikki elvir til mótstøðu/stríð (eis. uml.) partleysur (t.d.subjectevni)
unconventional	sum ikki er sum hini, óvanligur, sum fer aðrar leiðir, sum brýtur upp úr nýggjum
unconverted	óumvendur
unconvinced	ikki sannførdur
unconvincing	lítið eftirfarandi, óhugsandi, ósannlíkur, ótrúligur
uncooked	uncooked foodrámeti, rákostur, ókókað grønmeti
uncool	ódámligur, ótespililigur, óhugaligur; ikki smartur,(tlm.)ikki koolel.kul
unco-operative	ikki samstarvshugaður; óvirkin; ólagaligur; sum hevur neiligan hugburð
uncork	toga (propp úr fløsku), trekkja propp upp úr fløsku
uncorroborated	sum einki hald er í (t.d.uncorroborated evidence)
uncorrupted	óspiltur, sum ikki er til fals, heiðurligur
uncountable	sum ikki kann teljast, sum ikki fæst tal á; óteljandi
uncounted	óteljandi, ótaldur, margtýriligur
uncouple	loysa, sleppa leysum, krøkja úr(t.d.hund úr bandiel.jarnbreytarvogn úr toki)
uncouth	1grovur, óvandur, ófólkaligur2(um atburð) klombrutur, lorkutur, lókutur, ófimsligur, óskotligur
uncover	1(um eitt ið er fjalt) draga fram, gera beran, berka, fáa í ljósmála, avhylja2(um loyndarmál) avdúka3(ílat) taka lokið av4(gl.)strika húgvuna, taka hattin av
uncovered	1berur;stand -edstanda hattleysur2ótyrvdur
uncredited	rumours hitherto uncreditedleysatíðindi sum higartil ikki eru tikin í álvara
uncribbed	óskerdur, ikki skerdur, ótálmaður (t.d.a brilliant brain uncribbed by academic training)
uncritical	1óvandin, sum ikki kemur við atfinningum, kritikkleysur2sum trýr øllum, ið sagt verður, góðvarin, góðtrúgvin, ókritiskur (t.d.uncritical acceptance of the results)
uncrowned	ókrýndur (t.d.king)
uncrushable	(um plagg) sum rukkar ikki
UNCTAD	United Nations Commission for Trade and DevelopmentHandils- og Menningarstovnur ST
unction	1ásmyrjing, at smyrja uppá2(fl.m.)at gera ov nógv av, at vera sálvumikil (t.d.the unction of flattery); extreme unction (átr.)síðsta oljan
unctuous	1feittutur, snykutur, oljutur2(fl.m.)sálvumikil, sleiskur
uncultivated	1(um jørð) óveltur, ódyrkaður2(um fólk) ómentaður
uncultured	1ómentaður2óveltur, ódyrkaður
uncurl	1(um blað) lata seg upp2(við ávirki) lata (eitt) upp
uncustomed	ótollaður
uncut	1(um gras) ósligin2(um tekst, film) óskerdur; heilur, óstyttur3(um bók) óuppskorin4(um gimstein) óslípaður
undated	ódagfestur, ikki dagfestur(t.d.ódagfest bræv)
undaunted	óræddur, óttaleysur, djarvur, fúsur, áhaldin, sum hevur gott treyst;be undaunted byikki lata seg ræða
undeceive	siga (einum) sannleikan, beint sum er
undecided	1ikki fingið endaliga viðgerð, sum framvegis liggur á láni2(um fólk) óvissur, ivandi, sum er í iva, sum hevur ikki tikið støðu; vinglutur, sum dregur á bæði, sum himprast, sum er í tvískinningi, sum aftrar seg/sær, sum er í iva/døpurhuga
undecked	1óprýddur2(um bát) opin
undeclared	1ikki (almanna)kunngjørdur2sum ikki er uppgivin til skattavaldið3(um vøru) sum ikki er fráboðað tollvaldinum
undefeated	óvunnin, ósigraður, sum ikki er vunniðel.sigrað á, sum ikki hevur verið fyri ósigri, sum ikki hevur tapt
undefiled	reinur, ódálkaður
undefined	óvissur, ógreiður, gjánkaligur
undelete	(teld.)endurskapa eitt ið hevur verið strikað
undemanding	1smákrevjin, kravlítil, lítillátin, stillfarandi, eyðmjúkur2(um arbeiði) sum hevur lítið upp á seg, sum er lætt at gera
undemocratic	ikki fólkaræðisligur, ódemokratiskur
undemonstrable	sum ikki kann ávísast
undemonstrative	róligur, sinniligur, góðsligur, svinnur, lítið framførur, sum hevur tamarhaldel.tomur á sær
undeniable	ónoktandi, sum ikki kann noktast, óreingiligur
undenominational	óheftur trúarliga (sum ikki er limur í nakrari ávísari kristiligari samkomuel.tekur undir við ávísari kirkjuligari stevnu)
undenounced	ikki uppsagdur (t.d.treaty)
undependable	óálítandi, lítarleysur, sum ikki er at líta á
under1	1undir (t.d.under a mountain, under a wall)2sambært (einum) (t.d.under the provisions of the law)3(um tíð) ikki minni enn;you cannot get there under two hourstveir tímar tekur tað so, tað mást tú rokna við4(landb.)sáddur við (t.d.under barley, under wheat);plantaður við5[íyms. samb.]under ageómyndigur;under armsvápnaður;under existing conditionssum nú er vorðið, sum statt er, sum støðan er nú;under constructionsum er í gerð;under one’s nosebeint fyri eyguni á einum
under2	1undir (t.d.he stayed under for nearly two minutes)2(um doyving) við ongum viti (t.d.he was only under for 20 minutes)3(um tal) og undir, og yngri enn (t.d.aged 12 and under)
underachieve	roynast verri/lakari enn væntað
underachievement	[at roynast verri enn gávurnarel.evnini eru til]
underachiever	[næmingur ið roynist verri enn gávurnarel.evnini eru til]
underact	undirspæla (t.d.underact a role)
underaction	(t.d.í skaldsøgu) síðuflætta, hjáhendingagongd
underage	(løgfr.)ikki komin til lógaraldurs, ómyndigur
underarm1	(likam.)handarkulla, handargot, handarkota; (økið) undir hondini;underarm odoursveitti undir hondini; sí eis.forearm
underarm2	1handarkullu- (t.d.underarm deodorant)2(um kast) undirhandar-
underarm3	1undir hondini (t.d.shave underarm)2við undirhandarkasti
underarmed	ov illa vápnaður/-ir
underbelly	1(á dýri) búkur, lív, kviður (t.d.the white underbelly of a fish)2(á akfari) botnur3(á flogfari) botnur, undirsíða4(fl.m.)stað opið fyri árás (t.d.the soft underbelly of Europe); soft underbellyveikt punkt
underbid	bjóða lægri enn, undirbjóða, bjóða vøruel.tænastu fyri lægri prís enn onnur
underbody	undirpartur, undirgrind, burðargrind, undirstell
underborn	ikki fullborin við føðing
underbred	hálvskúlaður, lítið skúlaður; ófólkaligur
underbrush	kjarr, runnar, lágvaksin trø, undirvøkstur (undir gomlum/høgum trøum), undirskógur
underbuild	1byggja/styrka støðið  undir (t.d.húsum)2byggja/smíða vánaligari enn fyrisett krøv krevja
underbuy	1keypa bíligari enn (onnur)2keypa fyri lægri prís enn virðið á tí keypta er3keypa ov lítið (, ov smáar nøgdir)
undercarriage	(flogm.)botnur, undirpartur, undirgrind, undirstell
undercast	ov illa mannaður, ov vánaliga mannaður (t.d.roleleiklutur)
undercharge	krevja ov lágan prís;he undercharged me by£15hann kravdi £15 ov lítið av mær
underclass	undirstætt, lágstætt
underclassman	(am.;á lærdum háskúlum)1pisa2lesandi á øðrum ári, annað árs lesandi
underclay	(jarðfr.) tunt lag av leiri undir kolaflógv
underclothes	undirklæðir
undercoat	1(máling) at mála millumlag2millumlagsmáling3(á dýrum) rótel.nyðra (mjúka ullin undir broddinum)
undercoating	(am.)botnviðgerð (asfalt, vokso.tíl.til akfør)
undercool	undirkøla
undercover	loyniligur (t.d.undercover operation); -cover agentløgreglunjósnari;undercover paymutur
undercurrent	(eis.ífl.m.)undirstreymur, undirrák
undercut1	1framskurður (ísamb.við framskorna mynd)2(í tennis) undirskrúvað slag3(um neytakjøt) rygglundir
undercut2	1skera, gravael.høgga undan (í útskornari mynd)2(t.d.mølheyggjar) máa,el.taka støðið undan, gera veikari, veikja3(fl.m.)máa støðið undan einum (t.d.undercut her authority)4(handilsm.)undirbjóða; selja bíligari enn onnur5(í tennis) raka bólt við undirskrúvaðum slagi
underdeveloped	1aftarlaga staddur, illa útbúgvin;underdeveloped countriesmenningarlond, eftirlond, lítið á leið komin lond2menningartarnaður
underdevelopment	(t.d.um børn) lágt menningarstig
underditch	(landb.) veita (vatn burtur)
underdo	1gera minni (við e-t) (enn neyðugt er)2steikja lítið (so at kjøtið verður verandi reytt)
underdog	the underdogtann veikasti, (av tveimum) tann veikari, tann minni menti, tann ið fær ákoyringina
underdone	ikki fullkókaðurel.fullsteiktur
underdose1	(lækn.) ov lítil skamtur (av heilivági)
underdose2	(lækn.) geva (e-m) ov lítlan skamt (av heilivági)
underdrainage	burturveiting (t.d.av vatni)
underdraw	1strika undir2klæða (t.d.underdraw a building with boards)
underdressed	be underdressedikki vera nóg fínt klæddur til høvið
underemployed	be underemployed1sum er ov væl skikkaður, skúlaðurel.lærdur til starv2ikki hava nóg nógv at gera
underestimate1	ov lág meting
underestimate2	undirmeta, meta ov lágt
underestimation	undirmeting, ov lág meting
underexpose	(lmynd.) undirlýsa
underexposed	(lmynd.)undirlýstur
underexposure	(lmynd) undirlýsing
underfed	hungraður, undirføddur,(serst.um neyt) rakføddur, (um seyð) sum ríður á merginum
underfelt	1teppiundirlag2gólvpapp3undirlagsfiltur
underfloor heating	gólvhiti, at hava hita lagdan undir gólvið
underflow	1(streymur niðri í sjónum) undirstreymur2(teld.) undirflot
underfoot	1undir fótum;it is dry -foottað er turt (geingið er turt);trample underfoot1trampa (oman) á2(fl.m.) traðka á (t.d.their rights)2sum er fyri, til ónáðir
underforrow	(landb.) pløga niður
underfunded	undirfíggjaður, sum tørvar pening, sum ikki hevurel.fær nóg mikið av pengum
undergarments	undirklæðir
undergear	(tlm.) undirklæði(r)
undergo	fara ígjøgnum, koma ígjøgnum, tola, uppliva, vera fyri, lata sær lynda, líða
undergraduate	lesandi (á fróðskaparsetri)
undergraduate career	bachelorlesnaður
underground1	1(en., jarnbr.) undirgrundarbreyt2(fl.m.)loyniherur, loyniligur frælsisherur, loynilig frælsisrørsla, undirgrundarherur (t.d.the French underground during World War II)
underground2	1sum er undir jørð, undirjarðiskur, undirjarðar-2(fl.m.)sum arbeiðir í loyndum, ólógligur
underground3	undir jørð; undir jarðarskorpuni, undir yvirflata jarðar
Underground Railroad	(sø., am.)[felagsskapur sum hjálpti trælum sunnanfyri at flýggja norður til trælaleysu stakríkini]
undergrowth	lágvøkstur, undirvøkstur, lágskógur, undirskógur (undir høgum trøum)
underhand	1(fl.m.)framíhjá-2undirhandar-;underhand bowlingundirhandarkast3ólógligur; loyniligur; svikaligur, lúnskur
underhanded	síunderhand1
underhung jaw	undirbit
underinsurance	(trygg.) undirtrygging
underinsured	(trygg.) ov lágt tryggjaður
underlay1	teppiundirlag
underlay2	avunderlie
underlease	(løgfr.) framleigusakarmál
underlet	leiga út fyri undirprís; endurleiga, leiga út aftur
underlie	1liggja undir, vera undir2vera orsøkin/atvoldin til (t.d.the motives which underlie his conduct)3verða raðfest hægri (t.d.a first mortgage underlies a second)
underline1	1myndatekstur2[í leikhússkrá: tekstur ið greiðir frá, hvat fer at verða sýnt]
underline2	strika undir, dragael.taka fram, leggja dentel.áherðslu á
underlinen	undirklæðir, línklæðir
underling	undirmaður
underlining felt	(byggl.) tjørupapp sum undirlag undir fløgugróts-/skifur- ella tigilsteinatekju
undermanned	ov illa mannaður, undirmannaður
undermentioned	sum er nevnt/nevndur niðanfyri
undermine	1gravael.mata burtur undan einum, gravael.máa (støðið) undan; bróta niður, spilla2(fl.m. eis.)spilla (t.d.undermine the morale)
undermost	lægstur, niðastur
underneath1	undirsíða, niðara síða, botnur
underneath2	1niðri undir (einum), undir2(fl.m.)innast inni (t.d.she is a darling underneath)
underneath3	niðanfyri, niðriundir, í neðra
undernourished	hungraður, undirføddur,(serst.um neyt) rakføddur, (um seyð) sum ríður á merginum
underoccupied	1(um húso.a.) har færri fólk búgva enn pláss er fyri2sum hevur ikki fullan arbeiðsdag
underpaid	sum fær ov lága løn
underpants	(am.)undirbuksur
underpart	1niðari partur2hjáleiklutur, eykaleiklutur3undirdeild
underpass	1vegsmoga (undir vegi)2gongusmoga
underpay	gjalda undir, gjaldael.rinda ov lítið
underpayment	tað at gjaldael.rinda ov lága løn; lønartrýst
underpeopled	fábýlt, ótætt bygdur, mannlítil, undirfólkaður, fámentur, strálbygt
underperform	avrika minni/lakari enn væntað
underpin	1(handv.)styðja (uppundir), styrkja, binda, skorða (vegg í neðra); (t.d.to underpin a balcony)2geva haldgóð (prógv), byggja á haldgóð dømi
underpinning	skorða, stuðul
underplanted	(á virki, verksmiðju) ov lítil maskinútgerð, ov fáar maskinur
underplay	(sjónl.)undirspæla
underplot	hjáhendingagongd undirhendingagongd, eykaflætta(t.d.í skaldsøgu, leikriti)
underpopulated	mannlítil, undirfólkaður, fámentur
underposted	ov illa mannaður, undirmannaður (t.d.the military units were underposted)
underpowered	(um bilo.a.) við ov lítlum motori; sum hevur ov lítla drívmegi
underprice1	undirprísur
underprice2	áseta ov lágan prís
underprivileged	fátækur, sum er við skerdan lut, sum hevur ikki somu rættindi sum hini
underproof	styrki veikari enn vanligt (um rúsdrekka)
underprop	1skorða, styðja, stíva av2(flm.) stimbra, bøta um, styrkja (t.d.one's sense of superiority)
underquote	bjóða lægri, undirbjóða
underrate	1undirmeta, meta ov lágt;underrate oneselfgera seg verri enn ein er2líkna ov lágan skatt á
underresourced	við ov lítlari fígging; við ov lítlum tilfeingi
underrun	1undirstreymur2ónøktandi framleiðsla/framleiðslugongd
undersaturated	(evnafr.) undirmettaður, ikki mettaður
underscore1	1undirstriking2(film.) fylgitónleikur
underscore2	1(eis. í flutt. merking) strika undir, leggja dentel.áherðslu á2(teld.)strika undir
underscoring	(serst.um filmsløg) fylgitónleikur
underscrub	1 kjarrvøkstur; undirskógur2 (fólkiviðv.) lágvaksið fólk; tápulingur, býttlingur, greytheili, undanstøkkingur, (eitt) býtt
undersea1	havið undir vatnskorpuni
undersea2	undirsjóvar- (t.d.undersea fighting)
underseal1	botnviðgerð, asfaltslakk til botnviðgerðar
underseal2	botnviðgera
underseaman	1kavari2maður ið er partur av kavabátamanning
undersecretary	(uml.) Parliamentary Undersecretary vararáðharri, undirráðharri;Permanent Undersecretary (uml.)aðalstjóri, skrivstovustjóri
undersell	1selja bíligari enn, selja fyri lægri prís enn tann, ið hevði kunnað fingist fyri (vøruna)2bjóða lægri prís enn, undirbjóða3(fl.m.)geva vánaligari mynd av sær, enn rætt er
underserved	(serst. am.)sum fær ov vánaliga tænastu
underset1	1undirstreymur2málmlind ið liggur djýpri
underset2	1styðja (upp undir) (t.d.underset a wall)2framleiga
undersexed	ókynsamur, ógessigur, sum hevur lítlan áhuga fyri kynslívi, sum er ikki kynsamur, sum er kynsliga latur
undershirt	(am.)undirtroyggja
undershoot	ikki røkka einum, skjóta ov lágtel.ov stutt;undershoot (the runway) (flogm.)seta seg framman fyri flogbreytina
undershorts	(stuttar) undirbuksur
undershrub	1lágur runnur2lágtvaksið kjarr
underside	1undirsíða, niðara síða2(fl.m.)ranga, baksíða
undersighted	sum sær illa, dapurskygdur, illa oygdur
undersign	skriva undir, undirrita
undersigned	the undersignedundirritaði/undirritaða/undirritaðu
undersized	undir miðal, smávaksin; undirmáls- (t.d.undersized fish)
underskirt	undirskjúrt
underslung	1sum hongur niðurúr, sum er festur í ásarnar2við lágum tyngdardepli
undersoil	undirgrund
undersong	fyllgispæl, fylgisongur, niðurlag, stev, viðgangur
underspend1	lág nýtsla, undirnýtsla
underspend2	brúkael.nýta minni enn væntað//játtað er
understaffed	ov illa mannaður
understand	1skilja, síggja, fata (t.d.I don’t understand how he could do it);(við -ing formi)I quite understand you needing some time aloneeg skilji væl, at tú vilt sleppa at vera fyri teg sjálva//n eina tíð2halda seg skilja, skilja á lagnum (t.d.I understand that I am not wanted here)3hava skil á (einum), vita skil á, duga (eitt) (t.d.understand machinery)4halda (t.d.what do you understand will happen?)5skilja soleiðis (t.d.I understand it to mean that ..)6frætta, hoyra;we understand that he will (eis.)vit hava frætt/fingið at vita, at hann vil; tað er okkum greitt, at hann vil; okkum vitandi vil hann7[íyms. samb.]understand aboutsí3; I didn’t understandeg skilti ikki;I understandthat 1eg skilji á lagnum (t.d.I am not wanted here)2eg havi frætt, at, mær vitandi (t.d.she will resign); I understand that he willmær kunnigt vil hann;Iwas given tounderstandthat(forml.)eg fekk at vita, mær var sagt;I understand itto mean thateg skilji/fati tað soleiðis, at8[ísamb. viðs + understand]beunderstoodliggja í tí, vera undirskiltur (t.d.a condition which was either expressed or understood; the object of the verb was understood); it was understood that (eis.)ætlanin var tann, at;he gave it to be understood thathann hevði fyri munni, at;he -s his businesshann dugir tað, hann eigur at duga;I was given to understandeg helt meg skilja at, eg skilti á lagnum at;he canmakehimself understood in Englishhann dugir so frægt enskt, at fólk skilja hann
understandable	skiljandi, sum skilst
understanding1	1skil, vit, skyn; fatan, gløggskygni, gløggleiki;it passes all understandingtað er handan alt skil2(viðv.lærugrein, evnio.tíl.)skil á(ofá; t.d.computers);fatan(ofav; t.d.what it takes to be a good manager)3(millum tveir partar) ósøgd, undirskilt avtala(betweenmillum; t.d.the gangsters and the police; they came to an understanding)4skil (t.d.a child with sufficient understanding)5[íyms. samb.]my understanding is that we havesoleiðis sum eg skilji tað, hava vit…;it passes all understandingtað er handan alt vit og skil;on the understanding thattreytað av at;to my poor understandingso frægt eg dugi at meta um tað
understanding2	sum skilirel.fatar væl, vælviljaður, samkennandi (t.d.she is a very understanding person, he was very understanding when I explained the situation)
understate	ikki siga nóg greitt, gera ov lítið av,(tlm.)undirdríva (t.d.the extent of the problem),gera lítlan háva burtur úr sær; áseta ov lágt
understated	undirspældur, sum tekur broddin av, sum leggur lítlan dent á, sum ger týdningarleyst, sum ger lítið burturúr; stillfarandi (t.d.elegance)
understatement	1at ikki siga nóg greitt2smámæli, at gera ov lítið av, at undirdríva3ov lág áseting, at áseta ov lágt
understeer	undirstýring
understeered	undirstýrdur
understock	ov lítið á goymslu
understock	hava ov lítið á goymslu, hava ov lítið niðurfyri, bíleggja ov lítið (av goymsluvørum)
understocked	1sum hevur ov lítið á goymslu2(um garð) sum hevur ov lítla skipan, undirskipaður
understood	avunderstand
understrapper	1undirfólk, lágt starvsfólk2týdningarleyst fólk, fólk av lítlum týdningi
understroke1	undirstrika; niðurstrika
understroke2	strika undir; gera niðurstriku
understudy1	(sjónl.)varaleikari (fyri leikara, ið berst frá)
understudy2	læra seg leiklut hjá leikara (ið berst frá), leika leiklut hjá øðrum
undertake	1gera, fara undir (t.d.undertake a journey)2átaka sær, taka upp á seg (t.d.undertake a duty; undertake a case); undertake totaka upp á seg, lova3svara fyri(t.d.tað svari eg fyri), ábyrgjast eitt, taka ábyrgd av
undertaker	gravarhjálpari [fólk ið skipar fyri jarðarferð fyri tey avvarandi; fólk ið hevur jarðarferðarvirki]
undertaking	1fyritøka, virki2(forml.)skylda, lyfti, (bindandi) tilsøgn3(forml.; smb. undertaker)gravarhjálp, jarðarferðarvinna
undertax	(um skatt) álíkna ov lágt
under-the-counter	1(sum er) undir skivuni, undir borðinum2krógvaður, loyniligur
underthings	undirklæðir;children's underthingsundirklæðir til børn, barnaundirklæðir
undertime1	[styttri arbeiðstíð enn sáttmálin ásetur]
undertime2	(ljósm.) undirlýsa
undertint	veiktel.kámt/mjúkt litskin, veikel.kám/mjúk litglæma
undertip	geva ov lítið í drykkjupengum
undertone	1eitt ið verður sagt spakuligael.ljódliga;in an undertone (eis.)hálvhart2undirtóni
undertook	avundertake
undertow	undirstreymur ið gongur úteftir
undertrick	(t.d.í bridge) at fáa eitt stikkel.ein sting ov lítið;be/go two down, go down two; lose two tricks; get two undertricksfara tvey niður
underuse	ikki nýta til fulnar, gagnnýta ov lítið (t.d.university buildings; labour reserves)
underused	sum verður nýttur ov lítið, sum verður gagnnýtt ov lítið
underutilized	síunderused
undervaluation	undirmeting; ov lág virðisáseting
undervalue	1undirmeta, meta ov lágt2lækka virðið á
undervest	undirtroyggja; ts.s.undershirt
underwater	undirsjóvar-;underwater tunnelundirsjóvarsmoga, undirsjóvartunnil
underwater installations	(oljuv.)undirsjóvarútbúnaður
underway	1í gongd2á veg, ávegis
underwear	undirklæðir
underweigh	(sigl.)get underweighleggja frá landi
underweight1	sløkel.løk vekt, undirvekt
underweight2	ov lættur, í lættara lagi
underwhelm	be underwhelmed byikki halda nógv um
underwood	undirskógur, kjarr, runnar, lágvaksin trø, trævøkstur (undir høgum trøum)
underwork1	1vánaligt frágingið arbeiði2(gl.) ólógligt arbeiði3(byggl.) niðari partur av húsum/bygningi
underwork2	1gera ov lítið, fáa ov lítið frá hondini2gera ov lítið burturúr3krevja ov lítið av (e-m)4undirbjóða
underworked	be underworkedikki hava nóg nógv at gera
underworld	1undirheimur, helheimur2brotsmannaheimur3the underworldfólk ið búgva beint hinumegin á jørðini
underwrite	1veðhalda2(um tryggingarfólk) tekna trygging3veðhalda fyri partabrævasølu
underwriter	1tryggingarfólk, tryggingargevi; sjóvátryggingarfólk, sjóvátryggingargevi2(handilsm.)tekningarveðhavi, veðhavi fyri partabrævasølu3(eis.)íløgubanki (sum frammanundan sølu av partabrøvum átekur sær at keypa óseld partabrøv í sambandi við partabrævasølu. Afturfyri færunderwriterómaksgjald)
undeserved	ikki uppiborin, óuppiborin
undesigned	óætlaður, av misgáu, av ósketni, av óvart, ikki við vilja, óviljaður, ikki av fyrisettum ráði
undesirable1	óynskt fólk
undesirable2	1óynsktur; illa dámdur, ódámligur2sum ikki er ynskiligtel.eftirynskjandiel.heppiligt, óheppiligur
undetermined	1óstaðfestur, ikki staðfestur (t.d.the origin is undetermined); ts.s.not identified2óvissur, ógreiður (t.d.undetermined expression);ts.s.indefinite3ikki avgjørdur; óvissur; ikki samtyktur, ikki viðtikin; ts.s.undecided
undeterred	sum hevur gott treyst(i), óttaleysur, djarvur, óræddur, framligur, ónervaður;undeterred by his angerónervaður av vreiði hansara;sum letur seg ikki vika, sum fellur ikki í fátt
undeveloped	1óbrúktur, ikki gagnnýttur, óroyndur, ónýttur, ótroyttur, ósøktur2(um jørð) óveltur, ódyrkaður, óbygdur3(um land) aftarlaga staddur, lítið á leið komin, menningar- (t.d.country)
undeviating	støðufastur, sum slakarel.víkir ikki ein tumma (t.d.frá síni sannføring)
undevious	heiðurligur, reiðiligur, álítandi
undid	avundo
undies	(tlm.)konufólkaundirklæðir
undig	grava upp
undigested	1ósodnaður, ómeltaður;undigested and conflicting intelligenceósodnaðar og ósambæriligar/ósamsvarandi upplýsingar2(handilsm.) óseldur, ikki seldur
undignified	óvirðiligur
undiluted	1(um løg) ótyntur2reinur, ektaður, sannur (t.d.pleasure)
undiminished	ikki linkaður, sum leikar á við sama lag (t.d.the storm), óviknaður, (t.d. arbeiða) við sama lag (t.d.energy;interest)
undine	(gudal.)undina (vatndís)
undirected	1óstýrdur, stevnuleysur, óskipaður; sum onga vegleiðing fær2(um brøv) tilskriftarleysur, bústaður ikki tilskilaður
undiscerning	1óvandin, óatfinningarsamur; sum trýr øllum, ið sagt verður; ókritiskur, góðvarin, góðtrúgvin2tornæmur, seintonktur, sum er seint fatandi
undisciplined	óvandur, balstýrin, illa vandur, illa siðaður, agaleysur;undisciplined childrenóveningar
undisclosed	ikki upplýstur, loyniligur, fjaldur
undisguised	ókrógvaður, ófjaldur, opinberur;(t.d.she looked at him with undisguised contempt)
undismayed	óræddur, óttaleysur, uttan at himprast, fúsur, djarvur, ágrýtin, áhaldin, gjøðin, uttan at látast um vón
undispensed	sum ikki hevur fingið (undantaks)loyvi, sum einki (undantaks)loyvi hevur
undispensing	sum einki undantak loyvir
undisposed	1óvilligur, treyður, ófúsur, trekur, sum ongan hug hevur (totil at, at)2undisposed ofum eitt ið er ikki sundurskift//skipað
undisputed	sum eingin kapping er um, treytaleyst viðurkendur, avgjørdur, ivaleysur, óreingiligur, sum einki er at taka seg aftur í, sum skerst ikki burtur
undisqueting	ikki órógvandi (t.d.that sounded undisqueting)
undistinctive	1sum einki sermerkt/eyðkent er við2sum ikki ger mismun, sum ikki ger mun á, óvildarligur, ópartískur
undistinguishable	they are undistinguishableteir eru meinlíkir
undistinguished	vanligur, sum skarar ikki framúr
undistributed	1ikki skiftur, ikki býttur út, ikki útlutaður2(handilsm.)undistributed costikki bókaðir/ikki innførdir kostnaðir;undistributed dividend/profitikki útgoldið vinningsbýti
