w.	(st.)1weight2with
way2	1langt (t.d.she was way ahead of us//behind the others; it is way better for you)2(um tíð) langt (t.d.way before you were born)3[íyms. samb.]way out beyond the townlangt uttan fyri býin hinumegin;way too muchalt ov nógv/mikið
way3	(sagt við ross) tu!el.tu, tu!
wayback1	1(tlm.) [t.d.eitt ið hendi fyri langari tíð síðan]2(tlm.) (fólk frá) fjarstøddum øki
wayback2	fjarur, fjarstaddur, fjarlagin
waybill	1(sigl.)ferðafólkaskrá, ferðafólkalisti2(sigl.)farmabræv, fylgibræv
wayfarer	(skaldsk.)fólk ið er á gonguferð, ferðafólk til gongu
wayfaring	sum er til gongu, ferðandi, ferða-, gongu-
waylay	liggja og lúra, leggja seg í slotel.slys; lokka í slys, leypa á aftanífrá
way of life	lívsháttur, lívslag
way-out	(gl. tlm.)ótrúligur
way out1	síway1
way out2	síway2
waypoint	(sigl.)[eitt staðel.knattstøða, sum er sett í plottaran, og sum skipið stevnir ímóti]
way rate	veggjald
wayside	vegjaðari;-side innvertshús á alfaravegi
wayside inn	krógv við alfaraveg
way station	(am.)millumstøð
way train	(am.)tok sum steðgar á nógvum støðum á leiðini
wayward	(gl.)sjálvráðin, treiskur; ríggin, lúnutur; óútrokniligur
wayward youth	vilstur ungdómur, avsporaður ungdómur
wayworn	ferðamóður, móður av at ferðast, móður eftir drúgva ferð
wazoo	(am.S)rumpa
WC	(st.)1West Central(postøki í London)2water closet3(handilsm.) without chargeókeypis
we	vit
WEA	(st.)Workers’ Educational Association
weak	1veikur, kraftaleysur2spakur(t.d.streymur)3spakmæltur; trúveikur; (um fólkeis.)sjúkligur, heilsuveikur, ússaligur, skroypiligur (t.d.a weak old man;(t.d.he felt weak);sum lítið veiggj er í4(fl.m.)vánaligur (t.d.argument);sum lítið veiggj er í, ússaligur (t.d.excuse, explanation)5(fl.m. eis.)mildur, linur, sum lítið er verdur, sum lítil dugur er í6(um drykk) veikur (t.d.weak tea)7(málfr.)veikur(t.d.veik bending)8[íyms. samb.]be weak atduga illa, vera sørur í (t.d.languages); be weak on1duga illa (t.d.the writer is weak on plot)2(um evni) illa undirbygdur, ókønur í (t.d.the candidate was weak on foreign policy); on weak groundikki hava fast undir føti, hava vánaligar próvgrundir;the -er sexveika kynið
weaken	1veikja, gera veikan2(við ongum ávirki) vikna, veiklast
weakening	viknan, ómegd, avmaktan, maktarloysi;the weakening of the intellectvitið viknar/fer spakuliga
weak-eyed	sum sær illa, illa oygdur, hálvblindur
weak-headed	fávitskutur, býttligur, sum hevur lítið til
weak-kneed	1kníggjalinur, linur í kongunum2(fl.m.)veikur, linligur
weakling	1avmegingur, neyðardýr, máhamur, máhav, vatnknokkur, ómagi2(av lyndi) vøttur, hosa, tvøga
weakly1	sjúkligur, heilsuveikur, sum gongur og hýkur, sum lítið veiggj er í
weakly2	kámt, kámliga, veikliga, veikt, ótýðiliga
weak-minded	fávitskutur
weak-muscled	vøddaveikur
weakness	veikleiki, ómegd, ússaligheit
weak sister	weed out the weak sisters among the stafflúka burtur tey starvsfólkini ið eru óskikkað/ódugnalig
weak-willed	viljaveikur, veiklyndur, veiklyntur, vinglutur
weal1	1(eftir slagi) svøllin rípa(t.d.reyðar, svulnar rípur sóust, har sum koyrilin hevði rámt)2(skaldsk.)vælferð;weal and woeí góðum og illum, hava viðburð og mótburð, hava viðrák og mótrák, á sløttum og brøttum;the public wealsamfelagsframi
weal2	geva rípur
weald	víðlendi;the Weald(strokel.øki í Kent, Surrey og Sussex)
wealth	1ríkidømi, eyður, fæ2(forml.um stóran hóp, stóra rúgvu) ovurnøgd(ofav; t.d.oil; timber);ørgrynni, ørgrynna(ofav; t.d.details; impressions)
wealth tax	høgur ognarskattur (lagdur á tey ríku í samfelagnum)
wealthy	ríkur, múgvandi, múgvin, fíggjaður, sum er fíggjarliga væl fyri, rúmur, sum er væl niðurfyrikomin
wean1	(á skotskum) barn, smábarn, óviti
wean2	1venja frá, venja av við2[íyms.samb.]wean sby from/off sthvenja ein av við eitt;wean fromvenja frá, venja av við;the child was weanedbarnið var avvant (við at súgva);be -ed onfáa inn við móðurmjólkini (t.d.classical music; the Bible)
weaner	lambseyður (lomb um heystið)
weanling	barn ið júst er avvant
weapon	vápn;weapon of mass destructionhóptýningarvápn
weaponry	1(samn.)vápn (t.d.sale of new weaponry to Haiti; nuclear offensive weaponry)2(fl.m.)orðatilfar (t.d.a weaponry of psychoanalytic jargon)
wear1	1slit (t.d.show signs of wear)2(serst.í samansetingum) klæðir, búni (t.d.beach wear; evening wear; leisure wear)3at verða nýtturel.brúktur (t.d.the chairs can stand a lot more wear; for Sunday wear);til brúks4[íyms.samb.]that shirt has a bit more wear lefthanda skjúrtan heldur eitt sindur afturat,I’ve had a lot of wear out of those shoeshesir skógvarnir hava verið mær góðir;wear and tearvanligt slit;fair wear and tear excepted (sigl., trygg.)vanligt slit undantikið
wear2	1(um klæðir) ganga í, vera í (t.d.wear a white waistcoat; I have nothing to wear to the party; wear a uniform; wear a gas mask);ganga við (t.d.he doesn’t want to wear a ring; wear glasses);ganga við, hava (t.d.wear a beard);brúka (t.d.make-up; a style which is much worn now)2(um yvirbrá) hava;wear a troubled lookhava eitt ørkymlað yvirbrá/yvirbragd; síggja ikki sørt ørkymlaður út, hann var ørkymlaður, tað sást á øllum brøgdum); ganga við (t.d.a satisfied smile)3slíta (t.d.worn clothes; wear holes in one’s socks);gnadda, marva4(gl. tlm.)lata um seg ganga, lata sær lynda (t.d.I won’t wear it)5(við ongum ávirki) verða slitnir (t.d.his shoes were beginning to wear);halda (t.d.this material won’t wear)6(sigl.)venda, kúvenda7[íyms. samb.]wear thin1tunnur av sliti, uppslitin, slitin upp í tesk (t.d.the carpet is -ing thin)2(fl.m.)um at ganga undan, um at vera uppi (t.d.her patience was -ing thin);blíva keðiligur (t.d.the TV series was -ing a bit thin); wear well1halda væl (fyri sliti), vera haldgóður, gott evni/tilfar/tæri er í hasum(t.d.einki slit er í hasum)2(um fólk) eldast væl, aldur sæst ikki á (honum//henni)8[ísamb. viðhj]wearaway 1máa burtur, máast, gnadda2slítast av (t.d.the inscription had worn away)3(um tíð) líða (t.d.the long day wore away); weardown 1slíta, máa, gnadda2(fl.m.)pøsa (ein), møða (ein) (t.d. í samáðingum), fáa (ein) at slaka3(við ongum ávirki) verða tunnslitin (t.d.your back tyre has worn down);wearoff 1slítast av (t.d.wear the paint off)2(við ongum ávirki) slítast;the nap will wear offlógvin slítst av3(um kenslur) hvørva, linka, fara (t.d.the feeling wore off in time); the summer woreontað leið út á summarið;wear one’s heart on one’s sleeveikki krógva kenslurnar;wearout 1slíta á hol (t.d.the shoes are worn out)2lúgva út, leggjast fyri, pøsa (t.d.I’m quite worn out)3(við ongum ávirki) verða slitin á hol (t.d.children’s clothes wear out quickly)4(fl.m.)ganga undan, verða uppi (t.d.his patience wore out); wear out one’s welcomemisbrúkael.troyta gestablídni hjá einum
wearability	haldgóðska, tæri, slitstyrki
wearable	(um klæðir) góð at ganga í
wear and tear	vanligt slit
wearer	the wearer tann ið gongur í (t.d.such a dress says a lot about the wearer)
weariness	1møði2keðsemi, leiðisemi, leiðileiki, at eitt er keðiligtel.leiðiligt
wearing1	1brúk, nýtsla; slit2haldgóðska3(sigl.) kúvending
wearing2	møðandi, troyttandi, møðsamur, striltin, slítandi (t.d.a wearing task); wearing qualitieshaldgóðska, tilfarið er gott/sterkt
wearing apparel	vanlig klæði(r), gerandisklæði(r)
wearing course	slitlag; vegálegging
wearing-down	útlúgvingar-, pøsingar- (t.d.battle; tactics)
wearing qualities	haldgóðska, styrki
wearing surface	(tøkn.)slitflati, slitlag
wearisome	(forml.)møðandi, troyttandi, møðsamur, keðiligur, strævin, striltin, stríggin, tungur
wear resistance	haldgóðska
weary1	1møða, troytta, pøsa, keða2(við ongum ávirki) møðast, troyttast, keðast;weary ofvera troyttur/leiddur/keddur;weary of lifelívsmóður, lívstroyttur
weary2	1móður, troyttur2møðandi, møðsamur, troyttandi, keðiligur, møðisligur (t.d.journey)
weasand	(gl.)(ovari) barki, (niðari) lungnapípa (tvær í tali)
weasel1	(dý.) visla, vesla (heiti áyms.rándýrum av máraætt;Mustela)2kavatraktorur; motorsleta3(slag) amfibiuakfar
weasel2	(tlm., serst. am.) weasel out ofsnúgva/skáka sær undan; snúgva sær burtur úr (einum)
weaselwords	(tlm.)innantóm//tvítýdd orðel.tos, villleiðandi tos
weather1	1veður (t.d.bad//good/fine//wet weather); make bad weather (sigl.)koma í ófantaligt veður;under stress of weatherfáa ikki siglt fyri veður2[íyms. samb.]weather permittingum veðrið er eftir vild;make heavy weather of sth (fl.m.)halda eitt vera møðsamt/strævið; gera nógv burtur úr einum;in all weatherí veðri og óveðri, í øllum veðri;under the weatherússaligur, vánaligur, illa til passar, illa hirsin; sum hevur kenning, sum hevur eitt sindur í høvdinum, drukkin
weather2	1(um grót) molna2(við ávirki) fáa at molnael.morkna3(um andlit) vera veðurbardur4seta á skák (so at vatnel.regn rennur burtur)5vinna á, standa seg (t.d.a crisis; he had -ed two crises)6(sigl.)sigla gulborðsmegin eitt;weather a pointsleppa um nesið;weather (out) a stormríða stormin av, vinna á illveðrinum;(fl.m.)vinna á trupulleikunum//bakkaksti (t.d.a crisis; he had -ed two scandals); weather a shipsigla fram við skipi gulborðsmegin
weather balloon	(veðurfr.) veðurballón
weather beam	(sigl.) on the weather beamgulborðsmegin, vindmegin
weather-beaten	1veðurbardur, vindharður, vindgosin, ábært (bara íh),ástatt (bara íh)2illa farin av veðri og vindi, veðurtærdur; molnaður, morknaður, slitin
weatherboarding	(um bát, hús) súðklædningur (klædningur við umskaraðum borðum á tvørs/eftir longdini)
weatherboards	(til súðusmíð) borðviður
weather-bound	veðurfastur
weather bow	(sigl.)gulborðs bógvur, lu/luv bógvur; bógvur, ið vendir ímóti ættini
weather bulletin	(sigl.)veðurtíðindi(flt)
weather bureau	veðurstova, veðurstøð
weather change	(veðurfr.) veðurlagsskifti, veðurlagsbroyting, broyting í veðurlagnum
weather chart	veðurkort
weathercock	veðurhani
weather deck	(sigl.)ovasta dekk, veðurdekk
weathered	síweather-beaten
weathered soil	tæringarjørð
weather eye	keep one’s weather eye eye open ansa eftir einum, gæta, geva einum gætur, vera ansin, gáinel.hyggin
weather-fast	veðurdyggur, brotdyggur
weather forecast	veðurtíðindi, veðurvánir
weather forecaster	veðurfrøðingur
weatherglass	veðurglas, barometur
weathering	(eis. jarðfr.)tæring, molnan;chemical weatheringevnislig tæring
weathering materials	(jarðfr.)ørga
weatherize	bjálva, tetta
weatherman	(tlm.)veðurmaður, veðurfrøðingur
weather moulding	(byggil.) vatnøs, vatnbretti (t.d.oman fyri vindeyga, niðast á úthurðo.tíl.)
weatherproof	vatn- og vindtættur
weather rail	(sigl.) lúnning í gulborð, gulborðslúnning
weather report	veðurtíðindi (flt)
weather-resisting	veðurdyggur
weather service	veðurtænasta
weather side	(sigl.)gulborð
weather station	veðurstøð
weather strip	tettingarlisti
weather-strip	tetta við tettingarlista
weather stripping	tettingarlistar
weathertight	(um bygning) vind- og regntættur, veðurtættur (t.d.the house was warm and weathertight)
weather vane	veðurhani
weatherwindow	skiftiel.tíðarskeið við góðum veðri
weather-wise	veðurkønur, veðurskygdur, veðurskygnur, gløggur á veðrinum
weather-worn	slitinel.tærdur av veðri og vindi
weave1	veving
weave2	1(pløggo.tíl.)veva2(t.d.kurvar) flætta (t.d.baskets; a garland; a mat)3(fl.m.)leggja afturat (tá ið sagt verður frá onkrum); flætta saman(t.d.í bókini vóru tríggjar hendingagongdir flættaðar saman)4(søga, frásøga) seta saman5[íyms. samb.]weave into1veva uppí2flætta uppí (t.d.a gripping narrative3fletta saman;weave the flowers into a garlandflætta ein blómukrans;weave togetherflætta saman
weave3	1snúgva sær (t.d.in and out of//through the traffic)2[íyms.samb.]get -ing (gl. tlm.)1fara í holt við, fara undir, fara í gongd2seta ferð á;weave one’s waysnúgva sær
weaver	1vevmaður, vevkona, vevari2(dý.)vevarafuglur(Placeidae)
weaverbird	(dý.)síweaver
Web1	(teld.) the webnetið (t.d.material downloaded from the Web)
web2	1vevnaður2vevur3eiturkoppanet, eiturfon, lokkaroykurel.lokkanet;a web of liesvavstur av lygnum, lygnafløkja4(á fitfugli, fitjufugli) fit5(á fjøður) fínafjøður6(prent.)stór rulla av prentpappíri, stór pappírsrulla
web based	(teld.)netborin
webbed	(dý.)við fitjum
webbed feet	(dý.)fitjuføtur, fitføtur
webbing	1gjørð (í polstraðum møplum)2(dý.)fit3(herm.)týggi(r), týggj(flt);persónlig útgerð;webbing belt (herm.)miðjubelti, reim
webbing foot	(dý.) fitfótur, fitjufótur
webcam	(teld.)vevmyndatól
webcamera	(teld.)vevmyndatól
web design	(teld.)vevsniðgeving, vevsniðgáva
web footed	(dý.)við fitjum
webinar	(teld.)netsetur
Weblish	(teld.)[málsnið, ið verður nýtt á netinum]
webmaster	(teld.)vevstjóri
web-offset press	(prent.)offsettsnúvningspressa
web page	(teld.)síða á alnótiniel.veraldarvevinum
web performance	(teld.)vevavrik, netavrik
web press	(prent.)snúvningspressa
website	(teld.)vevsíða
website traffic	heimasíðuferðsla, vitjanartal á heimasíðu
websize	tíðarrit (sum kemur út á netinum)
web system	(teld.)vevskipan
Wed.	(st.)Wednesday
we’d	1we had2we would
wed	1(gl. el. skemt.)giftast við, gifta seg við; sí eis.wedded2víga, víga saman, geva saman3(dóttir) gifta (burtur)(totil; t.d.wed one’s daughter to a foreigner)4(fl.m.)sameina, binda saman(tovið), para, teingjael.greipa saman, binda(totil)
wedded	giftur; hjúnalags-;wedded blisseydna í hjúnalagi;her wedded lifehjúnalag hennara;wedded pairhjún;be wedded to (fl.m.)hollur, trúgvur, dyggur, vera burtur í (t.d.be wedded to one’s profession, be wedded to a plan)
wedding	brúdleyp
wedding anniversary	brúdleypsdagur
wedding band	(am.) giftingarringur; síwedding ring
wedding bouquet	brúðarbukett
wedding breakfast	(samsvarar við) brúdleypsdøgurði
wedding cake	brúdleypskaka, brúdleypskøka
wedding ceremony	vígsla
wedding day	brúdleypsdagur
wedding dress	brúðarkjóli
wedding ring	giftingarringur
wedge1	1kíli; (á endanum á trænagla) árætti2(á plaggi) geiri3(kílaskapaðel.viggskorið) stykki (t.d.a wedge of cake)4[íyms.samb.]drive a wedge betweenkíla eitt;it is the thin end of the wedge (fl.m.)hetta er bara byrjanin, verri verður seinni; hatta er ein hættislig leið; hasum spyrst einki gott burturúr, hasum spyrst ilt burturúr; hatta er at koma sær í óføri
wedge2	1skorða (eitt) fast (t.d.the phone was -d under his chin; I was -d between two big men)2kíla fastan (t.d.the telephone was -d under his chin);vera/standa skoraður/kroystur/kílaður fastur (millum) (t.d.I was -d between two big meneg stóð kroystur fastur millum tveir prúðar menn)3[íyms.samb.]wedge the window openseta kíla í at halda vindeyga opnum
wedge clamping	(handv.) kílafesti
wedge-shaped	(plfr.)kílavaksin, viggvaksin
Wedgwood	Wedgwoodsteintoy (nógv umhildin glasað leirvøra)
wedlock	hjúnaskapur; hjúnalag, hjúnaband;born in//out of wedlockskilgitið//óskilgitið (barn)
Wednesday	mikudagur, miðvikudagur,(stb.)ónsdagur; síFriday
wee1	(tlm.)piss, land;do a weepissa, míga
wee2	(tlm.)pissa, míga
wee3	(tlm. el. skotskt)lítil (t.d.have a wee drink; a wee biteitt lítið sindur/vet); pinkulítil, pikkulítil;when I was just a wee bairnsum smábarn/ tá ið eg var lítil;nights of dining and dancing until the wee hours.... til tann ljósa morgunel.til út ímóti morgni
weed1	1illgras, illgresi, lok, arvi;ill -s grow apace (uml.)verstur brandur liggur longst á eldi2rakross3(klantrasligt fólk) slánur, lúrur, skrongul, rekil, sløkja, slokkur4(tlm.)marijuanasigarett;(serst. gl.)sigar, vindil, sigarett;the weed (gl. tlm.)tubbak; marijuana
weed2	1(gl.) klædnabúni2(gl.)(widow's) weedeinkjubúni, einkjuklæði(r), sorgarbúni, sorgarklæði(r)3sorgarbind (á ermuni)
weed3	1(illgresiviðv.)taka burtur ímillum, royta, lúka2(fl.m.)strika, reinsa;weed out (fl.m.)lúka burtur, sópa burtur, rudda burtur, sleppa sær av við(t.d.andstøðingar), reinsa út
weeder	1ein ið lúkar, lúkingarfólk2hyppijarn, lúkingarjarn
weed fork	lúkingarjarn
weed-foul,weed-grown	undirgrógvin, undirvaksin, avvaksinel.alvaksin í loki;(tlm.)skitin;weed-grown bottom (sigl.)grasbotnur
weeding	(illgresi) lúking, tað at lúka
weed-killer	(lívfr.)ókrútstýnari,lokeitur
weed-ridden	a weed-ridden gardenurtagarður avvaksin í loki; síweed-foul,weed-grown
weeds	widow’s weeds sorgarklæði, syrgiklæðir, sorgarbúni, syrgibúni (hjá einkju)
weedy	1fullur av illgresi, avvaksin við loki, arvao.tíl.2(plfr.)kvæmur3(um fólk) høgur og klænur, klænvaksin, slúrutur, sum er runnin upp í slokk
week	1vika2[íyms.samb.](eis.) the weekvinnuvika, gerandisdagar, yrkadagar(móts.sunnu-degi);for weeksí nógvar vikur, í fleiri vikur upp í røkur;Monday//Tuesday o.tíl week, a week on Monday//Tuesday o.tíl.mánadagin//týsdagin um átta dagar, mánadag-in//týdagin um eina viku;a week on Monday//Tuesdaymánadagin//týsdagin fyri eini viku síðan;today week, a week from todayum átta dagar, aftur í vikuna;a week ago todayfyri átta døgum síðan
weekday	gerandisdagur, yrkadagur
weekend1	vikuskifti
weekend2	halda frí um vikuskiftið, hava vikuskiftisfrí
weekender	vikuskiftisgestur
weekly1	vikublað
weekly2	viku- (t.d.newspaper//wage);um vikuna
weekly3	1eina ferð um vikuna2[íyms.samb.]weekly paid workersvikulønt arbeiðsfólk;twice weeklytvær reisir/ferðir um vikuna
weeknight	kvøldel.nátt í vikuni (ikki leygarkvøldel.sunnukvøld)
week plan	vikuætlan
weenie	1(am. tlm.)baiirsk pylsa; hotdog2pissilingur, pissari3nørdur (t.d.computer weenie)
weeny	(tlm.)pinkulítil, pikkulítil
weep1	have a weep gráta
weep2	1gráta(forum)2(skaldsk.)syrgja ein, harma ein3(t.d.um stein) sveitta4(um sár) væta, sveitka(t.d.tað vættiel.sveitkaði úr sárinum)5(um ílat) dryppa, leka6(um grein á pílatræi) lava
weeper	1ein ið grætur2(á búna) syrgiband, sorgarband, syrgislør, sorgarslør3(sø.)syrgikona, sorgarkona4(am.)síweepie
weepie	(tlm.) kensluborin filmur, kroystkendur filmur
weeping1	grátur, at gráta
weeping2	1grátandi, sum grætur2(um træ) lav-, gráti- (t.d.ash; beech; birch)
weeping ash	(plfr.)heingiøsp, lavøsp
weepingwillow	(plfr.)heingipílur, lavpílur
weepy1	síweepie
weepy2	grøtutur, grøtimikil, sum vil illa gráta, sum hevur hug at gráta, sum altíð gongur og lippar, sum er ein grátusurra
weever	(dý.)fjørsungur(Trachinus draco)
weevil	trantklukka(Curculionidae)
wee-wee1	(tlm.)piss, land;do wee-weepissa, míga
wee-wee2	(tlm.)pissa, míga
WeeWillieWinkie	hákunardrongur, hákunargenta
weft	(í veving) veftur
weigh1	under weigh(sigl.)í sigling;get under weigh (sigl.)leggja frá landi
weigh2	1viga, vega (t.d.potatoes; he -s sixty kilos)2umráða seg, hugsa seg um, summa seg, hugsa gjølla fyri og ímóti, meta um fyrimunir og vansar við (einum) (t.d.the pros and cons);meta um (t.d.the facts; experts weigh in on White House's testing plans)3(sigl.)fara avstað, leggja frá landi;weigh anchortaka upp akker4[íyms. samb.]weigh one’s wordsviga orðini; hugsa seg væl um, áðrenn talað verður;weighagainst(fl.m.)1vera (einum) at meini (t.d.her evidence will weigh against him);tala ímóti (t.d.the past events will weigh against his being re-elected)2(um tveir lutir, sum verða samanbornir/sammettir) hugsa gjølla fyri og ímóti (t.d.weigh the costs against the likely gains); weighdown 1tyngja niður (t.d.the branches were -ed down with/by fruit)2(fl.m.)níva, tyngja (t.d.-ed down with grief; -ed down with/by one’s responsibilities); weighin(um nevaleikara undan dysti; um kappríðingarmann undan kappríðing) verða vigaður;weighin atviga (t.d.the boxer -ed in at 80 kilos); weighin on 1ávirka, hava ávirkan á (t.d.the decision)2fara undir, fara í holt við (t.d.get the boys to weigh in on the plantation work);weighin withleggja uppí, koma við, koma við íkasti, hjálpa til, vera við í, stuðla, dugna, leggja til (t.d.offers of help; comments);weigh (heavy)on(fl.m.)liggja tungt á, tyngja, hanga oman á einum, níva niður á ein;weighout 1viga (t.d.the shopkeeper -ed out half a pound of coffee beans and ground them up)2(um kappríðingarmann) verða vigaður (eftir kappríðing);weighup 1meta um (t.d.the options)2(um fólk) gera sær meting av (t.d.I could tell she was -ing me up); weigh up against(tveir lutir) kanna fyrimunir og vansar (t.d.the advantages and disadvanges); weighwith(fl.m.)hava at týða, hava ávirkan á; lata á sær kenna, leggja í;that doesn’t weigh with herlíka leggur hon í tað
weighable	sum er vigandi, sum kann vigast
weighbridge	bilvekt, brúgvarvekt (bilvekt, har bilar verða vigaðir, áðrenn teir fara um borð át.d.ferju)
weighhouse	vigingarhús
weighin	at verða vigaðurel.innvigaður; ts.s.weighing-in
weighing machine	vekt
weight1	1vekt2(á vágskál) lodd3(fl.m.)tyngd, týdningur (t.d.America’s economic weight)4(um vandamál, ábyrgd) byrða, byrði (t.d.collapse under the weight of debt)5-s flt(ísamb. við vektlyfting) vektir;-s and measuresmál og vekt6[íyms. samb.]it was a weight off my mindtað lætnaði um hjartað;a heavy weightokkurt tungt (t.d.be careful when lifting a heavy weight);tung byrðiel.byrða;worth one’ weight in goldvera gull verdur7[ísamb. viðs]addweight tostyrkja, stuðla, seta skorður undir (t.d.the theory);attachweight toleggja dent á, halda hava alstóran týdning (t.d.they did not attach much weight to the new evidence);carry/haveweight (fl.m.)verða mettur høgt,(t.d.áskoðan) sum stórur dentur verður lagdur á;carry one’s weightsínðf.: pull one’s weight;gainweightfara fram, tyngjast, fitna;giveweight tosíomf.: attach weight to;loseweightfara aftur, lætna, klænka;pullone’s weightgera sín part(t.d.mín partur skal ikki liggja eftir);puton weightfara fram, tyngjast;put one’s weight behindsínðf.: throw one’s weight about;sellby weightselja eftir vekt;throwone’s weight about/around (fl.m.)bretta sær, gera seg upp, spæla sterkur;throw one’s weight behindstuðla einum av heilum huga;weight empty (flogm.)tómvekt
weight2	1leggja fyri,(t.d.motor) leggja á, tyngja á2tyngja niður (t.d.a fishing net; a curtain)3(fl.m.)tyngja4(hagfr.)viga, vekta5[íyms.samb.]weight down1tyngja niður2halda niðri (t.d.put a stone on a stack of papers to weight it down)
weight-driven clock	klokka við loddum
weighted	1(í hagtølum) vektaður (t.d.average)2tyngdur (niður) (t.d.silk)3[íyms. samb.]be weighted againstsum ikki er (einum) til fyrimunar;be weighted in favour ofgeva fyrimun(ir), geva framíhjárættindi;weighted dicefalsaðir terningar
weighted dice	(í pengaspæli) falsaðir terningar
weightiness	1vekt, tyngd2týdningur
weighting	1(hagfr.)vekting;give weightingto vekta2eitt ið verður givið umframt;(viðv.løn) staðarviðbót
weightless	vektleysur, tyngdarleysur
weightlessness	tyngdarloysi
weightlifter	vektlyftari
weightlifting,weight-lifting	1vektlyfting2vektlyftingarítrótt
weighty	1(skaldsk.)tungur (t.d.box)2(forml., fl.m.)týdningarmikil, sum er av stórum týdningi; sum vigar nógv, tungur (t.d.reasons//question)
weir	1byrging í á2fiskagarður
weird1	1lagna, forløg, skepna2the weirds fltlagnugudinnur, vølvur3spámaður4spádómur
weird2	1dreygaligur, spøkilsiskendur, yvirnatúrligur, óhugnaligur, ófrættadapur, ófrætta-kendur (t.d.a weird green light)2(tlm.)undarligur, løgin, merkiligur, serur, margháttligur (t.d.character; sense of humour)
weirdie	(tlm.)serlingur, serskøltur, løgin snigilel.fiskur
weirdo	(tlm.)serlingur, løgin snigilel.fiskur, serskøltur
Welch,welch	síWelsh, welsh
welcome1	fagnaður, vælkoma, móttøka, at verða boðin vælkomin, fagnaðarkvøða (t.d.an enthusiastic welcome); outstay/overstay one’s welcomemisnýta gestablídni
welcome2	1(um fólk) bjóða (einum) vælkomnum, fagna einum (t.d.a guest);taka ímóti (t.d.he -d them with open arms)2(um uppskot, broytingo.tíl.)verða glaður fyri, taka væl ímóti, bjóða vælkomnum (t.d.the announcement; the new proposal)3[íyms. samb.]welcome sby to joinbjóða einum/heita á ein um at vera við;I welcome your helpeg eri glaður/takksamur fyri, at tú hjálpir mær
welcome3	1vælkomin (t.d.a welcome guest; you are always welcome; welcome to London!)2kærkomin (t.d.gift//interruption//opportunity)3[íyms. samb.]you are welcome(sum svar til takk) einki at takka fyri;bid sby welcomebjóða einum vælkomnum;make sby welcometaka væl ímóti einum;it will be welcometothemtey fara at vera glað fyri tað (t.d.the proposal will be welcome to the members); you are (quite) welcomeeinki at takka fyri;you are welcometoit1tú kanst eiga tað, tak/hav tað bara2(speiskliga) stikk tað í teg!; væl gagnist tær!;you are welcome to your own opiniontað er mær tað sama, hvat tú heldur/hugsar;you are welcome to tryroyn tú bara
welcoming	hjartaligur; blíður, gestablíður
weld1	1sveising, sjóðing2(stað) sjóðing, sveising, seymur, sveisingarsamankoming, sveisingarseymur, sjóð-ingarsamankoming, sjóðingarseymur
weld2	1sveisa, sjóða, skoyta saman;weld togethersveisa saman, sjóða saman, skoyta saman;-ed jointsveisingarsamankoming, sveisingarseymur2(fl.m.)sameina, seta saman, sjóða saman (t.d.weld the party together)3(við ongum ávirki) sum letur seg sveisael.sjóða
weldable	sum kann sjóðastel.sveisast
welded joint	sjóðingarsamankoming, sveisingarsamkoming
welder	1sjóðari, sveisari2sjóðingartól, sveisingartól
welding nozzle	sjóðingarmundstykki, -dysa, sveisingarmundstykki, -dysa
welding torch	(am.)sveisingarbrennari, sjóðingarbrennari
weldless	seymleysur
welfare	1vælferð2umsorgan (t.d.child welfare; social welfarealmannaumsorgan)3(am.)almannahjálp; sosialar veitingar
welfare chiseller	(tlm.)almannasníkur, forsorgarsvikari (fólk, ið misnýtir almannaskipanina)
welfare officer	1sosialráðgevi2(herm.)vælferðaryvirmaður (heryvirmaður sum hevur ábyrgdina av vælferðarmálum)
welfare service	vælferðartænasta
Welfare State	vælferðarsamfelag, vælferðarríki, vælferðarland
welfare technology	vælferðartøkni
welfarework	umsorganararbeiði; vælferðararbeiði, sosialt arbeiði
welkin	(gl.)himmal, himin, himmalhválv
we’ll	(st.)we willel.we shall
well1	1(eis.ífl.m.)kelda2brunnur3(oil well) oljukelda4(byggifr.:í húsum)1trappurúm2ljósop3lyfturúm, lyftusloka, lyftustokkur5(løgfr.:í enskum rættarsali) [plássið framman fyri dómarasætið, har advokatarnir sita]6(sigl.)1brunnur2(í fiskiskipi) hylur, dammur (til fisk)7(tøkn.)1maskinbrunnur2(í pumpu) sumpur8(í háovni) bræðingarrúm, botnur9(flogm.:wheel well) hjólbrunnur (t.d.-s for the retracted wheels of an aeroplane in flight)
well2	fløða, renna, streyma, vella (upp)
well3	(suml,einans sum umsagnarliður) væl fyri, frískur (t.d.be//feel//look well); we are very well where we areher er gott at vera
