E.	(st.)East India(n); East Indies
ellipse	(stfr.)eggklingra, ellipsa
ellipsis	(máll.)-es [-i:z] burturúrløga, ellipsa
ellipsoid	eggklingrutur
elliptic(al)	1eggklingrutur, oddklingrutur, elliptiskur2(máll.) elliptic(al) phraseófullfíggjaður setningur; ógreiður (t.d.my question was elliptically answered)3(plfr.)eggvaksin
elm	(plfr.)almur, álmur, álmviður(Ulmus)
elocution	1fyrilestur, fyrilestrarháttur; talusnildi, talukynstur2taluundirvísing
elocutionist	lærari í talusnildi; fyrilestrarhaldari, upplesari
elodeid	(plfr.)rótføst vatnplanta
elongate	1 leingja; toyggja; toyggja seg; leingjast2 (suml) elongatedlongdur; toygdur
elongation	leinging; framleinging;(stjfr.)longd,vinkulfrástøða (frá sólini)
elope	rýma (til tess at giftast) (t.d.the young persons eloped; she eloped with one of the servants); she elopedhon rýmdi við sínum elskara
elopement	rýming, flýggjan
eloquence	tungusnild
eloquent	1orð(a)kringur, orðførur, mælskur, (tungu)snildur2(fl.m.)talandi (t.d.gesture, glance, look);sigandi;be eloquent of, bear eloquent witness ofvera talandi vitnisburður um
elrikin	electrically powered
El Salvator	(landafr.) El Salvator (land í Miðamerika); síSalvadoran1 og 2
else	annars, ella; annar, onnur, annað;anyone elseein og hvør annar;nothing elseeinki annað;nowhere elseonga aðrastaðni;or elseella eisini, annars;somewhere elseonkra aðrastaðni;what elsehvat annað;who elsehvør annar
elsewhere	aðrastaðni;we went elsewherevit fóru aðrastaðni;she might as well start looking elsewherehon kann eins væl hyggja sær eftir einum øðrum;her thoughts are elsewherehon er aðrastaðni í huganum
Elsinore	Helsingoyri
ELT	(st.)English Language Teaching
elucidate	greiða frá (t.d.notes that elucidate the text),lýsa, kasta ljós á
elucidation	frágreiðing, lýsing
elude	1sleppa frá, rýma undan (t.d.one’s pursuers)2sleppa sær undan, smoyggja sær undan (t.d.one’s obligations;ikki at fáa fatur á (t.d.it eludes definition); it eluded me (fl.m.)eg fekk tað ikki við
elusion	undanførsla, undanbrøgd
elusive	1víkjandi; snúin(t.d.an elusive thief;elusiveprey)2leysliga, so hissini (t.d.the elusive thought he had had moments before)3torskiltur, torførur at lýsa (t.d.an elusive idea)
elver	(dý.)ungur állur, glarállur
elves	av elf
elvish	álvakendur, álvalíkur; ertingarsamur
Ely	
Elysian	elysiskur, elyseiskur, himmalskur, paradísiskur
Elysium	paradís
EM	(am. herm.) (st.)enlisted man(, men)
E. M.	(st.)Earl Marshal; electromotive; Engineer of Mines
EM A	(st.)European Monetary Agreement síðan 1958 í staðin fyriE P U
emaciated	diddarak, kaldarak
emaciation	rak, megurð, tað at vera rak
email1	(teld.)teldupostur, t-postur (stytting avelectronic mail)
email2	skrivael.senda teldupost
email address	teldupostadressa
Emajor	(tónl.)E-dur
emanate	1emanate fromstreyma frá (t.d.the emotion which emanates from this poem),geisla frá (t.d.the light emanating from the sun)2(fl.m.)spretta úr, stava frá, hava sín uppruna í, koma frá (t.d.letters emanating from the Central Office)
emanation	streymur, geislan; fylgja, avleiðing
emancipate	fría, loysa, veita frælsi, frígera (t.d.an emancipated young woman);loysa (t.d.slaves); emancipated slaveleysur trælur
emancipation	loysn, loysing, leysgeving, frígering
emancipationist	talsmaður fyri loysing (serliga av trælum)
emancipator	frelsari, frígeri;the Great Emancipator (t.e.Lincoln)
emarginate	(plfr.)sýldur
emasculate1	gelda; veikja, gera veikan, avmergja
emasculate2	ómansligur; veikur
emasculation	gelding; viknan, ómegd, mók
embalm	1balsamera (smyrja lík so tað ikki rotnar)2(fl.m.)varðveita í huganum3(skaldsk.)fylla við anga
embalmment	balsamering
embank	laða upp fyri, girða; byrgja fyri
embankment	byrging; flóðgarður; skrái;the Embankment(laðaður áarbakki (vegur) fram við Temsánni í London)
embargo1	(flt -es)n1lóghald, stjórnarbann2innflutningsbann, virkisbann3(fl.m.)forboð, bann
embargo2	leggja hald á;place under (an) embargo, lay (el. put) an embargo onleggja hald á;(fl.m.)seta bann ímóti, banna
embark	1ferma, skipa inn, taka umborð (t.d.the ship embarked passengers and cargo);fara umborð2seta í (t.d.embark money in an enterprise); he embarked his fortune inhann setti sína ogn í3embark onfara í holt við, fara undir (t.d.a dangerous venture; a new career);fara inn á (t.d.a policy of reconciliation); embark on a subjectkoma inn á eitt evni
embarkation	innskipan, ferming;port ofembarkation innskipingarhavn
embarrass	1villa, gera í ørviti2gera illa við (t.d.the question embarrassed him),fáa at smæðast3gera torskildan4koma (einum) út í trupulleikar (t.d.the loss will embarrass the company)5darva, tarna (t.d.his movements),nerva, tálma
embarrassed	foyur, smæðin, illa við, snópin, nipin;embarrassed silencepínlig tøgn;be embarrassed (eis.)vera ráðaleysur, hava trupulleikar
embarrassing	snópisligur (t.d.situation),sum ger ein illa við (t.d.question)
embarrassment	1ráðaloysi; smædni; forðing2peningatrot (t.d.owing to a temporary embarrassment I am unable to pay the bill)3embarrassments flttrupulleikar
embarrassment of riches	torført val millum mangar møguleikar
embassy	sendiharrastova, sendistova, ambassada
embattle	1fylkja lið (t.d.it was three o'clock before the king's army was embattled)2víðgirða (t.d.fear builds castles and embattles cities)
embattled	1(fl.m.)búgvin til orrustu2(um tornosfr.)við múrtindum
embay	1(um skip) fara inn á fjørðel.vág at kroka2kringseta
embayment	vík, vág, vágur, fjørður
embed	1fella inní, groypa inní, loka inni2(jarðfr.)leggjast inn ímillum, innløga3(tøkn.)stoypa inn (t.d.the concrete in which the bars are embedded)4embedded ininnilokaður í5djúpur (t.d.embedded eyes); it is embedded in my recollectiontað hevur sett seg fast í minnið
embeddedness	(samfr.)innskot, innskjóting
embedded system	(teld.)íkervi
embellish	prýða, skrýða, skreytbúgva, pynta (t.d.blue silk embellished with golden embroidery);leggja afturat (t.d. søgu) (t.d.she had real difficulty telling the truth because she liked to embellish things)
embellishment	prýði, skreyt, pynt (t.d.architectural embellishments)
ember	glóð, brandur;the emberseimur, rúkandi gløður
Ember days	1imbrudagar, tampardagar2(kat.)tríggja daga føsta fyrst í hvørjum ársfjórðingi
embezzle	svika; fremja fíggjarundandrátt
embezzlement	(trygg.) undandráttur
embezzlement insurance	undandráttartrygging, fíggjarundandráttartrygging
embezzler	undandráttarmisbrótari
embitter	gera beiskan;it embittered his lifetað gjørdi honum lívið beiskt;embitter his joylata ein dropa av galli(el.malurt) í bikarið
emblazon	1prýða (t.d. skjøldur); mála í sterkum litum2lovsyngja, halda hátt
emblazonment	skjaldamálarí, skjaldraprýði; listskrúð
emblem	merki, felagsmerki, ímynd (t.d.the lion is the emblem of St. Mark)
emblematic(al)	ímyndarligur;be emblematic(al) of (eis.)vera ímynd fyri, vera ásýniligt sum
embodiment	holdsleiki;my secretary is the embodiment of precision…er stundvísið sjálvt, ... er av sonnum stundvís;the embodiment of innocencesakloysi sjálvt
embody	1gera ítøkiligan, lata í hold, geva skap (t.d.he embodied his ideas in a memorandum)2fella inn í (t.d.the principles embodied in the treaty)3rúma, hava í sær (t.d.the latest model embodies many new features);innlima
embolden	geva mót, veita dirvi
embolism	(lækn.)blóðtøppur
embolus	(lækn.) blóðtøppur
embonpoint	(franskt)n ístur
embosom	taka í favn, fevna um; líva (e-m), geva lívd/skjól, skýla (e-m), krógva;be embosomedfjaldurel. ílívd fjala (t.d.a house embosomed with trees)
emboss	gera framskornar stavirel.myndir; stempla, dríva (t.d.emboss a pattern on metal); embossed(um metal eisini) drivið;embossed printingreliefprent
embouchure	1ósi2(tónl.)munnstykki á blásiljóðføri; munnstøða
embowed	kúputur, bungutur, útbendur, árundaður, útbogaður (á miðjuni), hválvaður
embower	girða við leyviel.trøum (t.d.a pool embowered with trees)
embrace1	fevning, favnlag;locked in an embracehálsfevnandi
embrace2	1(óáv.)fevnast (t.d.they embraced);fevna, taka um (t.d.he embraced her)2fevna um, fata um (t.d.a word which embraces many concepts; it embraces the whole field of Greek history)3taka (t.d.an opportunity);taka ímóti (t.d.an offer)4geva seg í part við, fara upp í (t.d.a religion)5taka upp (t.d.a cause);fara undir, byrja (t.d.a career)6(løgfr.)(royna at) mutra
embracery	(løgfr.)mutur (roynd)
embrangle	fløkja,get embrangled infløkjast í
embrasure	(sø. herm.)vígskarð, skotskarð (í borgarmúri);(byggl.)gluggaskot
embrittle	gera broysknan, gear brotillan
embrocate	smyrja uppá, gníggja uppá
embrocation	salvao.tílið verður smurt á
embroider	1baldýra, seyma (upp)í, brodera; prýða2(fl.m.)leggja afturat (t.d.a story)
embroidery	brodering, baldýring, íseyming
embroidery cotton	broderigarn
embroidery scissors	broderisaksur
embroil	draga inní, fløkja uppí (t.d.he was embroiled in their quarrels);ørkymla, órógva;get embroiled withkoma í kast við
embroilment	síembroil
embrown	myrkja (um), lita brúnt, brúnka
embryo	1fostur, (av hvali) ófødningur2(plfr.)plantufostur3(fl.m.)spíri4in embryoá frumstigi; í koming5lómentur, á byrjanarstigi
embryologist	fosturfrøðingur
embryology	fosturfrøði
embryonic	fostur-; ófullborin; á frumstigi, á byrjanarstigi (t.d.plan)
embus	(herm.)sita uppi í akfari
emcee	1(st.) S (= M.C.: master of ceremonies)2n (am.)veitslustjóri, skemtistjóri; útvarpsvertur, sjónvarpsvertur
emend	bøta um, rætta (tekst) (t.d.emend a passage in ‘Hamlet’)
emendation	ábót, (teksta) rætting
emerald	1nsmaragdur; smaragdgrønur2lsmaragd-; smaragdgrønur;the Emerald IsleOyggin grøna (Írland)
emerge	koma undan (kavi); kykna upp, koma í (t.d.a new situation has emerged... er íkomin); stingast upp (t.d.a new problem has emerged... hevur stungið seg upp),koma í ljósmála
emergence	undankoma; íkoma, framkoma
emergency1	neyðstøða, kreppustøða, hættislig støða (t.d.we are in an emergency);dýrasta neyð, neyðstandur;state of emergencyundantaksstøða;in case of emergency, in an emergencyum vandi er á ferð;declare a state of emergencyboða frá undantaksstøðu
emergency2	1neyð-, tiltaks- (t.d.brake, exit, plan, supplies; landing;lighting); eyka- (t.d.stairs, store)2kreppu- (t.d.legislation; meeting); skund- (t.d.meeting; appointment, measure); ser-,emergency powerssermyndugleiki
emergency alert	vanlukkufráboðan
emergency brake	(í toki) neyðbremsa; (í bili) handbremsa
emergency centre	neyðtænasta
emergency department	bráðviðgerðardeild
emergency door,emergencyexit	eykaútgongd, neyðútgongd(t.d.í leikhúsi)
emergency landing ground	(flogm.)neyðlendingarstað
emergency lighting	neyðljós
emergency measure	krepputilbúgving
emergency meeting	snarfundur, skundfundur
emergency physician	lækni á skaðastovu: eis.emergency room doctorel.(st.)ER doctor
emergency powers	sermyndugleiki
emergency room,emergency section	(lækn.)skaðastova
emergency service	neyðtænasta; læknavakt; vanlukkuhjálp
emergency squad	eykadeild
emergency store	neyðgoymsla
emergency tender	bjargingarbilur
emergency ward	bráðmóttøka, bráðmóttøkudeild, skaðastova
emergent	1undankomandi; sum kemur í, sum kyknar upp; knappliga íkomin (t.d.danger); emergent fromsum stavar frá, sum er elvt av (t.d.political issues emergent from war)2(jarðfr.) íkomin
emeritus	emeritus (tænastumaður farin frá vegna aldur); emeritusprofessorprofessari emeritus
emersed	(plfr.)omanvatns-
emersion	uppkoma, framkoma;(stjfr.)framkoma (eftir myrking)
emery	smergil
emery board	sandfíl (til negl)
emery cloth	smergillørift
emery paper	smergilpappír
emetic	1nspýggjuevni2lsum elvir spýggju
emf1	(st.)electromotive force
EMF2	(st.)European Monetary Fund
EMG	(st.)electromyogram
EMI	(st.)Electric and Musical Industries
emigrant1	fráflytari, emigrantur (t.d.she was a Polish emigrant who came to Scotland during the Second World War)
emigrant2	fráflytara-; fráfluttur (t.d.emigrant workers)
emigrate	farael.flyta úr landi, emigrera
emigration	flyting úr landi, emigrasjón
emigré	(politiskur) útflytingur (t.d.Russian emigrés in Germany)
Emily	
eminence	1hædd, høvd2(fl.m.)hátign, høgt starv3heiður, æra; navnfrægd4(átr.)kardinálstign,Your Eminencetygara hátign
eminent	høgur; frálíkur, framúrskarandi, óførur, merkis- , ásýniligur
eminent domain	ognartøkuheimild
eminently	framúrskarandi; ógvuliga (t.d.respectable, sensible);frágera, serstakliga,eminently unsuitableserstakliga óskikkaður
emir	(arábiskt) emirur (sjálvstøðugur valdsharriel.høvdingi) (t.d.the emirs of Kuwait and Qatar)
emirate	emirat
emissary	sendiboð, sendimaður; njósnari
emission	1sending, útsending2útgáva (t.d.of bank notes)3útlát; (t.d.CO2 emission;the effects of lead emission on health)4geisling (t.d.of light),brimi (t.d.of heat)5(lækn.)útflot; óviljað sáðlát (t.d.nocturnal emissions)
emit	1senda frá sær2geva út, seta í umferð (t.d.paper money)3brima,emit heatbrima; geisla (t.d.rays);senda frá sær, geva frá sær (t.d.an odour; even the best cars emit carbon dioxide)4siga, halda fyri5sleppa (t.d.she emitted a sound like laughter)
Emmanuel	
Emmaus	
emmetropia	(lækn.) full sjón (á báðum eygum)
emoji	kenslutekn
emolliate	veikja, bloyta
emollient1	bloytingarevni (til húð)
emollient2	1bloytandi, mýkjandi2(flm.) blíðkandi, sissandi
emolument	inntøka (t.d.tips are an emolument in addition to wages);samsýning;emoluments flteykainntøka, hjáinntøka
emote	gera ov nógv av tá kenslur koma fram
emotion	sinnisrørsla (t.d.he could not think of his dead wife without emotion);rørsla; kensla (t.d.love, hate, joy and grief are emotions); with emotion (eis.)rørdur
emotional	1kenslu- (t.d.life);kenslusamur, kensluborin (t.d.judgment);viðkvæmur;he is emotionalhann er eitt kensluborið menniskja;an emotional person (eis.)eitt hýrmenniskja;emotionally chargedkensluløddur, kensluliga løddur, kensluborin;act in an emotional state of mindvirka í sinnismuni2sum talar til kenslurnar, rørandi (t.d.speech)
emotionalism	kenslusemi, viðkvæmi
emotionalist	kenslumenniskja
emotive	kenslusamur; kensluborin, sum talar til kenslurnar, sum vekur sterkar kenslar (t.d.capital punishment is af very emotive issue)
Emp.	(st.)Emperor, Empress; Empire
empanel	seta á (nevninga)lista, velja (til nevning); gera lista yvir (nevningar)
empathetic	innlivandi, luttakandi
empathy	íkensla, innlivan
empennage	(flogm.)afturendi
emperor	keisari
emphasis	áherðsla, herðing, trýst, dentur;emphasis addedokkara undirstrikingar
emphasize	herða á, leggja dent á (t.d.a fact; the necessity of reform; the importance of this measure);taka fram (t.d.in this connection I want to emphasize),strika undir
emphatic	við herðing, herðingarsterkur, avgjørdur;he was emphatic on that pointí tí var hann ógvuliga agjørdur
emphatically	við áherðslu; avgjørt (t.d.women who are emphatically plain); emphatically notheilt avgjørt ikki;protest emphatically againstmæla harðliga ímóti
emphysema	(lækn.)luftuppsvølpan í kroppinum (oftast lungum)
empire	heimsveldi; keisaradømi, keisaraveldi; vald (t.d.they consolidated their Empire over the country),veldi;Empire (eis.)empirsnið;the Empire (sø.)bretska heimsveldið
EmpireDay	(núCommonwealth Day)24 mai (føðingardagur drotningar Viktoriu)
EmpireState	eyknevni fyriNew York(stakríki í USA)
EmpireStateof theSouth	eyknevni fyriGeorgia;eis.Peach State
Empireyellow	ljóst gulur
empiric1	1empirikari2(gl.)skrøggari, heimadoktari, krotulækni
empiric2	síempirical
empirical	(sum ein veit) av royndum, royndar-
empiricism	1(heimsp.)roynslustevna2(gl.)krotulæknavirki
emplacement	(herm.)kanónstøða
emplane	fara umborð á flogfar
employ	1ntænasta (t.d.he was in the employ of the Czar);starv, vinna, arbeiði;in sby’s employí arbeiðiel.starvi hjá einum2shavael.seta í arbeiði (t.d.the firm employs 30 people);veita arbeiði, seta í starv, vera í starvi (t.d.he is employed with a bank)3útvega sær, fáa sær (t.d.employ a lawyer to settle the matter)4nýta,brúka (t.d.that is the way he employs his spare time)
employable	nýtandi, nýtiligur, gegniligur
employee	starvsfólk, arbeiðsfólk; arbeiðstakari;the employeesstarvsfólkið;employees flt(eis:) starvsfólk (t.d.a door marked ‘Employees’)
employeerepresentative	starvsfólkaumboð
employer	arbeiðsgev(ar)i;employers’ association (el. federation, organization)arbeiðsgevarafelag
employé	síemployee
employment	1arbeiði, starv, yrki (t.d.they have all found employment)2nýtsla, brúk (t.d.an extensive employment of tractors)
employment agency	arbeiðsávísing
employment ban	starvsbann
employment contract	starvssáttmáli
employmentexchange	arbeiðsávísing
Employment Minister	arbeiðsmálaráðharri
Employment officer	arbeiðsávísari
employment rate	(bú.)virknistíttleiki
Employment service	arbeiðsávísing
employment tax	skattur á arbeiðsmegi
empoison	eitra;(fl.m.)gera beiskan í huga
emporium	1marknaður, marknaðarpláss2stakkapláss; goymsla3vøruhús, stórhandil; handilsmiðdepil
empower	1geva(el.veita) myndugleika(el.vald) (t.d.seeking changes in the workplace that will empower women;empoweredher attorney to act on her behalf; the federal agency empowered to collect taxes)2gera føran fyri, geva evni til
empowerment	1tað at geva(el.veita) myndugleika(el.vald)2tað at menna egnan mátt, at menna egna kraft
empress	keisarinna, keisaradrotning
empties	tóm innbjálving, tómt pakkitilfar, tómar fløskur
emptiness	tómleiki, tómi;there was nothing but coldness and emptiness therehar var bara kuldi og tómi
empty1	1tømast (t.d.the theatre rapidly emptied; the streets soon emptied)2tøma(offyri) (t.d.empty a sack of its contents)3renna (t.d.the water empties very slowly); the river empties itself into the seaáin rennur út á sjógv4emptyofsørur fyri, uttan (t.d.words empty of meaning)
empty2	1tómur (t.d.an empty box (, house); don’t drink alcohol on an empty stomach; empty words; empty promises; empty pleasures)2dølskur, døllutur3høpisleysur, skilaleysur4svangur (t.d.I’m feeling empty)
empty-handed	tómhentur
empty headed	grunnur, óvitugur, heilatómur
empty set	(stfr.)tóm mongd, tómamongd
empyreal	himmalskur:empyreal bluehimmalbláur
empyrean	hægsti himmal, (eld)himmalin
EMS	(st.)European Monetary System
emu1	(dý.)emu(Dromiceius novae-hollandiae)
EMU2	European Monetary (and Economic) Union
emulate	kappast við; herma eftir, royna at líkjast;(teld.)herma; royna at vinna á
emulation	1[roynd at verða frægari enn kappingarneyti, men við hansara royndum sum fyrimynd] (t.d.their success is inspiring emulation from others)2kappingarhugur, kappstríð, kappingarstríð, kappleikur3(teld.)[endurgerð, eftirgerð av funktión ella starvshátti hjá aðrari telduel.ritbúnaðarkervio.a.] (t.d.software emulation of complete systems)
emulative	kappingarfúsur, kappingarhugaður;emulative ofsum roynir at vera frægari enn hin/hinir
emulator	kappingarneyti; sambiðil; hermari(eis.íteld.)
emulgator	(evnafr.) mylkingarevni
emulous	kappingarhugaður, kappingarfúsur;be emulous ofroyna at vinna á (t.d.one’s rivals);stremba fram ímóti, tráa eftir (t.d.fame)
emulsifier	(evnafr.) mylkingarevni
emulsify	mylkja(st)
emulsion	mylking, mylkingarevni; slag av máling; viðkvæm hinna á ljósmyndafilmi(el.plátu),emulsjón
enable	gera føran fyri (t.d.the money enabled him to travel);(íteld.)gilda,virkja, seta í gongd;enabling actheimildarlóg
enabling law	(løgfr.) heimildarlóg (t.d. sum gevur ráðharra loyvi at taka avgerðir á ávísum økjum)
enact	1lógfesta, løgfesta; samtykkja, viðtaka (t.d.a bill)2(sjónl.)spæla, leika, framføra;be enactedfara fram, henda (t.d.the scene where the murder was enacted)
enactment	løgfesti; samtykki, viðtøka (t.d.of a bill); put an enactment on the Statute Book (uml.)gera uppskot til lóg
enamel	1lakk2glering, glasing, emalja;tannl)tannglering3smelt4lakka, glara, glasa, emaljera5enamelled (fl.m.)marglittur, sum lýsir í øllum litum
enamor	burtur í (e-m/einari), forelskaður (í), býttur av (einari), hugtikin av;I am enamored with your countryeg eri hugtikin av landi tínum
enamoured	1enamoured ofásttikin, fingið hug á2ovurfegin um (t.d.they were not enamoured of field work)
en bloc	(franskt)í einum
enc.	(st.)enclosed; enclosure; encyclopaedia
encaenia	stovningarveitsla (á Oxford univ)
encage	seta í búr; læsa inni
encamp	tjalda, seta upp tjøld, reisa tjaldbúðir; liggja í tjøldum
encampment	lega, tjaldlega, tjaldingarstaður; tjalding
encapsulate	1loka inni (í hylki);(teld.)íhylkja2(fl.m.)draga saman, taka samanum
encapsulation	(teld.)íhylking
encase	sveipa, fjala, bjarva, pakka inn; gera kassa um
encash	innheinta
encaustic	1linnbrendur;encaustic paintingvoksmálningur;encaustic tileleirflís við innbrendum prýði úr mislittum leiri2nenkaustikkur (máliháttur har litur verður blandaður við brætt voks)
enceinte	tungur (á sær); við barn
encephalic	heila-
encephalitis	(lækn.)heilabruni
encephalon	(likam.)heili (t.d.the cranium closely embraces the encephalon)
enchain	1leinkja; fjøtra2(fl.m.)binda, hugtaka (t.d.one’s audience),altaka, halda føstum
enchainment	tað at leinkja, tað at fjøtra; ófrælsi, at vera bundin/heftur
enchant	ganda; hugtaka, bergtaka; dára, tøla;enchanted withhugtikin av
enchanter	gandakallur; dárari
enchanter’s nightshade	(plfr.) (Circaea)
enchanting	hugtakandi, bergtakandi, dárandi
enchantment	gandur, gykl
enchantress	trøllkvinna, álvafljóð; bergtakandi konufólk
enchase	grava, skera(iní); seta við; groypa (t.d.a ruby in gold; enchased with diamonds)
enchipher	umskriva til dulmálel.kodumál; eis.encode, encrypt
enchiridion	handbók, hondbók
encircle	randa, kransa, sláa ring um, kringseta (t.d.encircled by the enemy),mala um;encircled by (eis.)umgirdur av (t.d.encircled by trees)
encirclement	kringseting
en clair	(franskt)(um fjarrit) á týðiligum máli
enclasp	taka um; halda í; fevna
enclave	innlendisøki (landaøki, umgirt av fremmandum ríki)
enclitic	eftirfestur (áherðsluleyst orð, ið verður heft upp í undanfarna orð)
enclose	1stika inn, girða (t.d.a high hedge enclosed the garden; enclose a garden with a wall)2liggja uttanum (t.d.mountains enclosed the town)3(í brævbjálva) leggja inní;enclose a sample (eis:)sýnislutur lagdur inní;be enclosed(eis:) fylgja við (t.d.a copy of the instructions is enclosed in each package); the enclosed letterbræv sum liggur innií;enclosed please enclosesent saman við; innií liggur4(teld) íhylkja5(sø.)skifta út, stika6(suml) enclosedstikaður, girdur, innilokaður; útskiftur;(plfr.)innilokaður
enclosure	1stik, innstiking, girðing2gerði3(í brævi) fylgiskjal, viðfesti; sí eis.exhibit, voucher4(sø.)leggja inn felagsjørð so hon verður privat ogn;the enclosure movement (sø., uml.)útskifting, inngirðing5enclosure wallútveggur
encode	1umskriva til dulmál, umskriva til kodumál2koda inn
encomiastic(al)	lovprísandi
encomium	lovrøða
encompass	1fata um, fevna um, fevna yvir (t.d.this area of London encompasses Piccadilly to the north and St James's Park to the south; ; the debatesno studies encompass all sectors of medical careencompassed a vast range ofsubjects)2ringja seg um, umringja, umgirða (t.d.encompassed by hostile natives)3náa, røkka (t.d.one’s aims)
encore	1(mðlv)umaftur!, eina ferð afturat!2neykalag (t.d.he got three encores)3skrevja (t.d.encore a song);krevja eykalag (t.d.encore the singer)
encounter1	1(tilvildarligur) fundur2samanbrestur (t.d.the encounter of old and new ideas);bardagi
encounter2	1hitta(st), møta(st) óvæntað, renna seg í (t.d.an enemy patrol; resistance; difficulties; her hand encountered something hard and sharp; the excavators suddenly encountered a bed of perfectly clean clay);koma framá; vera (einum) fyri2brenna(el.bresta) saman
encourage	1eggja(totil (at)) (t.d.encourage them to fight);geva áræði (t.d.I felt encouraged by the good results)2líva upp; hjálpa á leið, stuðla,encourage him in his opinionstuðla honum í hansara meiningum3fremja (t.d.a trade; learning and scholarship)
encouragement	1tileggjan, elvan, tilstuðling, stimbur2upplívan3fremjan
encroach	encroach onskerja (t.d.their rights); encroach on his timestjala tíðina frá honum; naskast (inn á ein),krøkja seg inn í, gera seg inn á (t.d.their territory);nápa burturav; máa burturav (t.d.the sea is encroaching upon the land)
encroachment	skerjing, ágangur, yvirgangur
encrust	skorpna(st);encrustedskorpnaður, við skorpu; við ketilsteini
encrustation	1skorpugerð2skón, skorpa, ketilsteinur3(byggil.) (múr)klæðing
encrypt	umskriva til dulsmálel.kodu; skriva í kodu, brongla(eis.íteld.)
encryption key	(teld) rekingarlykil
encumber	1leggja á, leggja byrðu á, tyngja2hefta, hindra3(ov)fylla; skuldarbinda;encumber a propertyskuldarbinda ogn;an encumbered estateskuldarbundið góðs4encumbered withovbyrjaður (t.d.women encumbered with parcels);yvirfyltur við (t.d.a room encumbered with old furniture);tyngdur av (t.d.debts)
encumbrance	1byrða, forðing, hindur, meinbogi, kleppur2skuld, skuldarbinding3without encumbrance (eis.)við ongum børnum
encyclic,encyclical1	encyclic(al)rundskriv(serst.páva-)
encyclic,encyclical2	ringrásar-; rund-;encyclic(al) letterrundskriv
encyclopedia	alfrøðibók, alfrøðibøkur
encyclopedic(al)	1fjølfrøðiligur, alfrøðiligur, alfrøði-2víttfevnandi, fjølbroyttur (t.d.knowledge)
encyclopedist	alfrøðihøvundur
encyst	loka inni (í hylki)
end1	1endi, lok (t.d.the end of the war);(um persón) deyði, endi, endalykt (t.d.he came to(fekk)a sadend)2endi, stubbi, stumpur (t.d.of a pencil)3(fl.m.)deild (t.d.the London end of the firm);partur, lutur (t.d.his end of the job)4endamál (t.d.he used the money for his own ends),hyggja, ætlan (t.d.the end justifies(halgar)the means);mál (t.d.an end in itself; gain(røkka)one’s end)5mark,that is the end !nú ber av!6make (both) ends meetfáa tað at mala (fíggjarliga);no end (of),sínðf;(síeis.deep2)7[ísamb. viðfs/hj]beatan endvera av, vera liðugt;at this end (eis.)her;look at the end of the bookhygg aftast í bókini;at the end of the day (fl.m.)til endans, at endanum; tá samanum kemur;at a loose end, (am.) at loose endsganga fyri einki;he was at the end of his patiencetolið var um at vera uppi;turn endforendvenda upp og niður, venda á høvdið;inthe endtil sjúund og síðst;make an endofgera liðugt;there is an end (of it)liðugt, nóg mikið, tað verður so;such was the end of Johnsoleiðis doyði John;end of a cigarsigarendi; sigarstubbi;no end (of)eingin endi á, óendalig rúgva;(tlm.)ómetaligur (t.d.no end disappointed); no end of a fine chapein stak fittur drongur, ein framúrskarandi drongur;gooffthe deep end,sídeep2; (for) hoursonend fleiri tímar á rað;stand on endstanda upp eftir enda; (um hár) vera ývið;put an endtogera enda á, steðga;come to an endenda, steðga; endto endsum framhald av;it is only a means to an endtað er einans eitt amboð til at røkka málið;to this endvið hesi ætlan;keep one’s endup(tlm.)klára seg, „flóta“
end2	1enda, lúka, slíta (fund),halda uppat, gevast; gera enda á;all’s well that ends welltá endin er góður er alt gott;he is the genius to end them allhann er størsta flogvit ið nakrantíð hevur verið;the war to end warkríggið ið skuldi enda øll kríggj2[ísamb. viðfs]end inenda við;end in smokefara upp í royk; ikki verða av nøkrum; endoffenda, leggja koll á;end upenda, havna (t.d.in prison, in the ditch); end up withenda við, enda sum;to end up withsum endi, til endans
endamage	skaða, løsta
endanger	koma í vanda, seta í váða;be endangeredhóttur, vera í vanda;an endangered specieshótt dýr (, planta)
endear	endear oneself togera seg vællýddan hjá, vinna teirra alsk; tekkjast fólki, sum fólk eru góð við (t.d.her spirit and character endeared her to everyone;her generosity hasendearedher to the public; his kind nature endeared him to all)
endearing	sum vekur kærleika, sum fólki dámar, fittur (t.d.an endearing little grin;anendearingquality;the character he plays is one of the mostendearingon television)sumhj.(t.d.anendearinglywarmhearted person)
endearment	1tekin umel.prógv um kærleika (t.d.two lovers whispering endearments to each other); term of endearmentblíðorð, kærleiksorð, ástarorð, ástarheiti;a word of endearmenteitt blítt orð2kín, kelan, klapp
endeavour1	roynd, stremban, stríð, strev;make every endeavour tokýta seg alt ein kann at;it was lost endeavourtað var ikki ómakin vert
endeavour2	endeavour tokýta seg, royna (av øllum alvi), stríðast fyri, stremba fram ímóti
endemic	1nstaðbundin sjúka, ílend sjúka2lílendur (t.d. um sjúku, ið er avmarkað til ávíst øki); staðbundin
end game	endaspæl, endaleikur (í talvi ogfl.m.)
ending	1endi (t.d.happy ending);seinasti partur2deyði3(máll.)ending
endive	(plfr.)jólasalat(Cichorium endivia)
end key	(teld.)endaknappur
endless	endaleysur, óendaligur; endlessbeltflutningsband;endless sawbandsag; endlessscrewendaleys skrúva
