Q1	(bókstavurin) q
quill1	1fjøður, veingjarfjøður2fjøðurpennur, pennur3(á tindasvíni) tindur4(í vevnaði) spoli5(tøkn.)ásur sum er opin innan6(av kinini, kaneli) rør, kanelrør, barkrør
quill2	leggja plagg í fald (í pípur)
quill-driver	1ein ið fæst við at skriva2pennasleikjari
quillwort	(plfr.)oknagras
quilt	vatterað seingjarteppi, vattteppi
quilted	stappaður, vattaður, vatteraður, fyltur
quilting	1stapping, fylling, bólstring, polstring, vattering2(handarb.)næling
quim	(óvand.)kunta, pill, lall
quince	(plfr.)kveði(kv.) (Cydonia oblonga)
quinine	kinin
quinquagenarian1	fólk ið er fimmti
quinquagenarian2	í fimmtiárunum
Quinquagesima	sunnudagur í føstuinngangi
quinquennial1	fimmáraskeið
quinquennial2	fimm ára gamalt, fimmára-; fimmárligur, sum fer framel.hendir fimta hvørt ár
quinquennium	fimmáraskeið
quinquina	kinabørkur
quins	(tlm.)fimmburar
quinsy	hálstak, hálsbruni
quint	1(tónl.)kvint, fimm tóna millumbil2(tónl.)hægsti strongur(t.d.á violin)3(am.)fimmburi, fimmburabarn
quintal	(vekteind:100el.122 pounds)
quintessence	kjarni, mergur; fullkomin ímyndel.dømi; hámark;the quintessence of (fl.m. eis.)sjálv(ur)(t.d.hon er vakurleikin sjálvur)
quintessential	rættiligur, eyðkendur, sum er gott dømi um (t.d.English village)
quintet,quintette	1fimmmannabólkur2(tónl.) fimmmannabólkur, kvintett (songur sungin av fimm fólkum; tónleikur spældur av fimm leikarum við fimm ymsum ljóðførum)
quintillion	kvadrillion (= 1018)
quints	(am.)fimmburar
quintuple1	1fimmfalda2(við ongum ávirki) fimmfaldast
quintuple2	fimmfaldaður
quintuplets	fimmburar
quip1	skemt, hittinorð, at vera rittin; speiorð, speisemi, spott, glósa
quip2	skemta, svara speiskliga
quire	1bók (24el.25 ørk)2(prent.)ark, brot;in -sí leysum ørkum
quirk	1tilvild, tilviljan(t.d.av tilviljan); løgiðel.tilvildarligt fyribrigdi (t.d.by a statstical quirk)2(hjá fólki) at vera serurel.løgin, eginleiki, (ser)eyðkenni, dilla3[íyms. samb.]by a strange quirk of fatelagnan vildi at…, tað var so lagað at;by a legal quirkløgfrøðilig hártogan
quirky	løgin, margháttligur, undarligur, serur
quirt1	(ríðingar)koyril
quirt2	sláa (við ríðingarkoyrli)
quisle	vera landssvíkjari
quisling	landssvíkjari, quislingur
quit1	1[A](áv.)1flyta úr, farael.rýma úr (t.d.quit the town)2(um starv) fara úr, geva seg frá, ganga úr3(serst. am. tlm.)gevast við, halda uppat við(+ -ing,t.d.smoking)2[B](óav.)1flyta burtur, rýma, fara2(um starv) siga upp, siga seg úr starvi; (síeisnotice1)3gevast, siga, nú er nóg mikið3[íyms. samb.]quit hold of sthsleppa einum;notice to quituppsøgn;give notice to quitsiga upp;they -ted themselves like men (gl.)teir stóðu seg manniliga;(teld.) quit (to)gevast
quit2	be quit for vera leysur av, sleppa frá (einum), sleppa av við (ein) (t.d.I want to be quit of him)
quitch	(plfr.)kveiki(Elytrigia);sícouch grass
quitch grass	(plfr.)víðgongdur kveiki (Elymus repens); eis.couch grass
quitclaim	1(løgfr.) frásøgn av kravi, tað at siga kravel.rættindi frá sær, avkanna sær (eitt)2avhending, tað at handa e-m e-t
quite	1(at geva herðing) púra, heilt, fullkomiliga (t.d.quite exhausted, quite finished, quite impossible, quite new; quite another tone; not quite; they are quite young; she is quite content);(so) avjørt (t.d.he is quite the best)2ivaleysa (t.d.quite enough)3rættiliga, hampiliga, heilt (t.d.why, you are quite rich!; quite elegant, quite expensive, quite hard, quite tired; it is quite good but not brilliant; quite nice)4[íyms. samb.]quite!ja!, samdur!, púra rætt!, tað er hoyrt!;quiteaeinki minni enn, vorðið sum (t.d.it was quite an event); quite a fewfitt av, rættiliga nógvir, ikki so fáir;quite a long timeí rættiliga langa tíð;quite a lotnógvir;notquiteikki púra (t.d.not quite proper; not quite satisfactory);ohquite !ja, samdur!; ja, púra rætt!;quiteso!ja júst tað!, jú soleiðis er!;quitethe 1(við hástigi) so avgjørt (t.d.it is quite the best)2(+ n speis.)…tað má eg siga (t.d.he is quite the gentleman); quite the contrary!tvørturímóti!;quite the thinghægsti móti
quits	kvitt;I am quits with him, we are quitsvit eru kvitt;be quits with one anothervera kvitt;I will be quits with him some dayhann skal fáa tað afturlønt;call it quits1(um trætu) lata ganga upp fyri javnt2(arbeiðiviðv.)gevast
quittance	11(viðv.skuldel.skyldu) frígering, loysing, loysn2kvittan2(requital) endurgjald; afturløning
quitter	(tlm.)he is no quitter (tlm.)hann gevst ikki í hálvum gekki, hann er eingin svíkur;(tlm.)hann er eingin tapari
quiver1	1skjálvti, titran, pipran, bivan, nøtran2ørvahúsi, pílahúsi
quiver2	titra; pipra(st), nøtra, fjáltra, biva (t.d.with delight; fear);skelva;his lips -edvarrar hansara skulvu
quiverful	(skemt.)stórur barnaflokkur
qui vive	á vakt; vakin
Quixote	Don Quisjott
quixotic	idealistiskur, fjartøkin
quiz1	1spurnakapping2(am.)stutt skrivlig próvtøkael.roynd; próvhoyring
quiz2	1skipa fyri spurnakapping við (onkrum)2(am.)spyrja, tráspyrja, avhoyra (gjølla)3(gl.)hava ein fyri gjøldur, arga, spotta; hyggja spottandi, kannandiel.ófólkaliga at (einum)
quizmaster	síquestionmaster
quizzee	fólk í spurnakapping, spurnakappingarluttakari
quizzical	1argandi, spottandi, ertandi2spyrjandi
quizzing-glass	monokul (við stong)
quod1	Stað at sita í gegli;be in quodsita í gegli
quod2	Sseta í geglið
quod est	(latín) hetta merkir, av hesum stendst
quod vide	(latín.) síhetta
quoin	1horn, hornasteinur2(prent.)kíli (at festa tekstsíðurnar við)
quoit	1(sigl.)bjargingarringur;quoit rescuebjargingarringur (lítil flotringur festur í ein enda at blaka fólki, ið er farið fyri borð)2kastiringur (til ringaspæl)
quoits	ringaspæl
quondam	(gl.)í forðum, fyrr, sum var, fyrrverandi (t.d.his quondam partner)
quonset hut ®	(am.)eingilskmannabarakk, tunnuskapað barakk
Quooker	kókikrani
quorate	(forml.)viðtøkuførur
quorum	1viðtøkuføri(serst.á tingi)2(gl.) úrvalsbólkur
quota	kvota, lutur, (lutfalsligt) tal, tillutaður partur;quota systemkvotuskipan, kvotuáseting
quotable	1sum er verdur at taka uppaftur (at sitera)2sum kann verða tikið uppaftur, (millum hampafólk) stovubærur
quota hopper	[fiskimaður sum leggur líka lag í kvotuásetingar]
quotation	1(frá fólki, bókmentaverki) uppafturtøka, sitat2(handilsm.,á børsini) skráseting, notering, kursur3(fyri at gera eitt arbeiði) tilboð(foruppá)
quotation marks	gásareygu
quote1	1(tlm.) quotation12(tlm.) quotation23gásareygu (t.d.in -s)
quote2	1(fólk, bókaverk) taka til ein, sitera2(upplýsing) vísa til, nevna, endurgeva (t.d.quote me one example of that)3siga (prís), bjóða (prís)4(á børsini) skráseta, notera5[íyms. samb.]quote!, quote, unquote! (tlm.)sitat í gásareygum (t.d.he said he was, quote, unquote “indisposed”);sí eis.unquote; please quote 5/04(í handilsbrævi,t.e.)tilvísing okkara: 5/046[ísamb. viðfs]quote sby £700for(arbeiði) geva einum eitt tilboð, sum er 700 pund fyri;quote sbyonsitera ein fyri;can I quote you on that?sleppi eg at taka tað uppaftur, sum tú segði?
quoted	(handilsm.)børsnoteraður (t.d.quoted company, quoted securities)
quoted value	(handilsm.) kursvirði; sí eis.market price,market value
quoth	(gl. el.skemt.) mælti, segði (t.d.quoth the raven. 'Nevermore')
quotidian	gerandisligur, hvønndagsligur
quotient	1(stfr.)deildtal, býtingartal, kvotientur2(fl.m.)partur, lutur, mongd, portión
q. v.	(st.)quod vide(=which see)sítað
qwerty	(um knappaborð) standard-
qy.	(st.)query
