J2	(st.)Judge; Julius; Justice
jobbing	1sum virkar sum millumlið2sum átekur sær fyrifallandi arbeiði3sum brúkar alment starv til egnan fyrimun
jobbing gardener	leiguurtagarðsmaður
jobbing waiter	leigutænari
job bonus	arbeiðsviðbót
job cafe,job café	vinnustova, yrkisstova
job card	1(handilsm.) arbeiðsseðil, tímauppgerð2=cost sheet
job carriage	leigubilur
job category	starvsflokkur
job centre	arbeiðsávísing
job control	(teld.)verkstýring
job control language	(teld.)verkstýrimál
job creation	arbeiðsskapan
job description	starvslýsing
job development	arbeiðsskapan
job enrichment	trivnaður/trivni á rbeiðsplássinum
job environment	arbeiðsumhvørvi
job evaluation	starvseftirmeting, starvskanning (meting av tí virði tey einstøku virkisstørvini hava í mun til hvørt annað og laga lønarlagið eftir tí)
job experience	starvsvenjing (hjá lærlingumt.d.)
job generation	arbeiðsskapan
jobholder	1(am.)í føstum starv; í almennum starvi2(uml.)tænastumaður
job-hop	skifta starv/arbeiði títt
job-hopper	(am.)fjakka, ein ið skiftir starv/arbeiði títt
job-hopping	(am.)fjakkan, tað at skifta starv tíðum
job-hunter	(tlm.)sum sóknast eftir arbeiði
jobless	arbeiðsleysur
job lot	blandað vørusending;(fl.m.)blandaður skari
job lot production	(uml.)hópframleiðsla, raðframleiðsla
job market	jobmarked
jobmaster	(gl.) ein ið leigar ross og vognar út
job mobility	sícareer mobility
job order	(handilsm.)framleiðslubílegging
job placement service	arbeiðsávísing, arbeiðsávísingartænasta
job price	1(handilsm.) stórkeypsprísur (lágprísur við at keypa nógv av einari vøru í senn)2(handilsm.) akkordløn, akkordgjald
job retraining	starvsumskúling
job rotation	starvsumferð
job satisfaction	(uml.)trivni á arbeiðsplássinum
Job’s comforter	ringur uggari (ein, ið einans ger ilt verri)
job security	(uml.)arbeiðstrygd
job seeker	sum sóknast eftir arbeiði
job slip	arbeiðsseðil
job specification	arbeiðslýsing
job status	starvstign
job training	starvsvenjing
job turnover	starvsfólkaskifti (t.d.job turnover at Hoover was only 5 per cent)
job work	1leyst arbeiði2(prent.) smáprent
jock1	1(am.)S fjeppari (t.d.a computer jock);ítróttafjeppari2diskarieis = jockey, disc jockey, jockstrap
Jock2	1bóndaflókur2(eyknevni) skoti3Sskøp
jockese	ítróttarprát
jockey1	1kappríðari, jockey2drongur, hjálpari3svikari
jockey2	1ríða2lumpa;jockey for positionroyna at fáa sær fyrimun, royna at leggja seg væl fyri;jockey sby out of his moneylumpa pengarnar frá einum;jockey sby into doing sthlumpa ein til at gera eitthvørt; troka (ein) burtur við snildum, lumpa ein við snildum (t.d.the Minister was jockeyed out of his post)3svika
jockstrap	1klovbind, ítróttabind2(am.) Sítróttafják
jocose	skemtingarsamur (ofta møðsamt)
jocular	kátur, stuttligur, skemingarsamur (t.d.she sounded in a jocular mood;jocularremarks; ajocularman)
jocularity	kæti, skemt, stuttleiki
jocund	kátur, glaður, lættur í sinni
jocundity	kæti, gleði
Jodhpurs	reiðbuksur
Joe	(st.)Josephnot for Joeikki fyri alt í verðini;a Joe Millergomul skemtisøga
joey	1(avstr.)(kenguru)ungi2(avstr.)húskallur3S(sirkus)fívil4Shyklari
jog1	stoytur, skump; hóvlig renning
jog2	1rista(st), skaka(st)2renna hóvliga, tvagla, tvassa, tvarra, tøssa; skumpa, koyra undir3kondirenna, jogga4[íyms.samb.]jog alongsmárenna, renna spakuliga;matters jog alongtað gongst sum frægast;we manage to jog along somehowvit hóra undan;jog sby’s memoryfríska minnini upp;we must be joggingvit mugu fara
jogger	joggari
jogging	hóvlig renning, heilsurenning, rennivenjing, jogging
joggle	1skumpa, rista, skumpa undir,joggle him uprista í hann; verða skumpaður, fara skinklandi; (íteld.)stoyta, skúgva2blindnagli;joggled frameblindnegld ramma3nskump
jog trot	1tvagl, vanagongd, gerandissjagg (t.d.go back to the jog trot of the office; the jog trot of daily life); the usual jog trotgrái gerandisdagurin;go on in the old jog trot(el.jog- trot way)vera í gamla sjagginum2jog-trot(brúkt suml.)av handahógvi
jog-trot	dreiva, dratla, tvagla, smárenna
Johannesburg	
john1	1(am.)Sves, wc.2kundi hjá gleðigentu
John2	1(sø.)Jóhan (síLackland);(í bíbliuni) Jóhannes (t.d.John the Baptistdoyparin)2Sjassur; kinesari; snillur
John Bull	persónsímyndingin av ensku tjóðini
John Doe	(løgfr.)N N
John Dory	(dý.)pætursfiskur(Zeus faber)
Johne’s disease	(dýralfr.)garnasótt (hjá seyði og neyti)(Paratuberculosis)
John Hancock	(am., tlm.)undirskrift
John Law	(am.)S løgreglumaður
johnny	S jassur; fínibeiggi, mótaprinsur; wc; hít
johnnycake	(am.)maiskaka;(avstr.)hveitikaka
johnny-come-lately	nýkomin
Johnny-on-the-spot	sum altið er tøkur
Johnny Raw	nýbyrjari
Johns Hopkins	(am.) fróðskaparsetur, lærdur háskúli í Baltimore
Johnson	(bókmentasnið átøkt tí hjá Samuel Johnson)
John Sullivans	S langar undirbuksur
John Thomas	S murtur, snippur, “javnaldurin”, “gamli”
joie de vivre	(fr.)lívsgleði, lívshugur
join1	groyping, skoyti; samankoming, felling
join2	1sambinda, binda saman (t.d.join the two towns by a railway)2sameina(eis.íteld.)(t.d.they are joined in a lifelong friendship); what God hath joined together, let no man put asundertað sum Guð hevur saman komið, má maður ikki sundur skilja;they joined fortunestey gingu saman í hjúnalag, giftast, ganga saman um eitt3seta saman (t.d.join two pieces of wood),seyma (, neglaosfr.)saman, festa (t.d.join two pieces of material together)4melda seg inn í (t.d.a club);fara upp í (t.d.the European Community); join the armyfara upp í herin;join battlefara undir bardaga; verða limur í (t.d.the Labour Party);fara saman við;join forces withganga saman við, fara í part við, taka seg saman, taka lógvatak saman, sameina megina;join handstaka saman hendur; leiðast;(fl.m.)fylkjast, lyfta í felag; joinintaka lut í, vera við í; taka undir, koma upp í;join in the game (eis.)spæla við;join up (tlm.)melda seg sjálvboðin; (síeis. I issue)5fara yvir til (t.d.let us join the ladies); I’ll join you in a minuteeg verði har beinanvegin; vera saman við;will you join us for dinner?hevur tú hug at eta døgurða (saman) við okkum?; sameina seg við, taka undir við (t.d.my wife joins me in thanking you),hitta6(um jørð) vera mark móti, hava mark við (t.d.his garden joins mine)7(óáv.)taka lut, vera við; vera saman við (t.d.I join with him in offering you help)8møtast, umskarast, (um áir eis.) renna saman í eitt
joinder	samband, sameining
joiner	snikkari, træsmiður
joinery	snikkaraarbeiði
joint1	1groyping, skoyti, samankoming, felling2(í múri) samankoming3(likam.)liður (t.d.finger joints)4(bókab.)brot5(plfr.)knæ, liður6(jarnbr.)skinnaraskoyti7steik (t.d.a joint of beef)8Sskeinkistova, bøli; pláss, hús9Smarihuanasigarett10beout ofjoint withikki hóska saman við, ikki samljóða við; vera misnøgdur við;put out of jointfáa úr lið, fáa av lagi, gera í ólagi;put his nose out of jointtroka hann burtur, ota hann burtur;the time is out of jointtíðirnar eru farnar av lagi
joint2	1skoyta, groypa, sambinda2passa saman, passa inn í3(um múr) fylla samankoming, fuka
joint3	sameindur, felags, samlaður;on (el. for) joint jointfyri felags rokning;joint actionfelags framførsla;joint and severalvið samábyrgdt.d. responsibility); joint authorsamhøvundur;joint concernfelags mál; jointcustodyfelags foreldramyndugleiki;by joint effortsvið sameindum mátti;during their joint livesso leingi tey eru á lívi
joint account	felagskonta; (handilsm.)on joint accountfyri/upp á felags rokning
joint committee	(tingm.)felagsnevnd
jointed	liðskiftur, við liðum (t.d. fishing rod)
jointed rush	(plfr.)tjarna-sev(Juncus articulatus)
jointer	1langhøvil2(múrara) fukijarn, fukiskavari3(á plógvi) forgrev
joint fish	samfiska
joint fishery	samfisking, samfiskiskapur
joint fishing	samfisking, samfiskiskapur
jointing	samankoming, skoyti, groyping
jointing plane	
jointless	(handv.) við ongum samankomingum/fellingum, (tlm.) við ongum fugum (t.d.flooring)
jointly	felags; við samábyrgd;be jointly and severally responsiblebera samábyrgd
joint meeting	felagsfundur
joint mice	mús á knænum
joint owner	samognari, samognarfólk, partseigari
joint property	felagsogn; (í skilnaðaruppgerð) ogn, virði, sum verða býtt millum hjúnini; sí eis.community property
joint stock	(handilsm.) [íløgukapitalur býttur sundur í ávísa nøgd av partabrøvum]
joint-stock	joint-stock bankpartabrævabanki; joint-stockcompanylutafelag
joint-stock company	(handilsm.) [virki sum partabrævaánararnir eiga í felag eftir íløgustøddini]
joint union delegate	felagsálitisfólk
jointure	einkjusæti, einkjulutur
joint venture	(handilsm.)samváði, samtak
joint venture company	(handilsm.)samváðafelag
joist	1biti, bjálki, undirslag, syll2gólvstroyggj3undirlag
joke1	1skemt, hittinorð;the joke wasagainstmehann gjørdi seg stuttligan upp á mína rokning;this is gettingbeyond(el.past) a jokenú er tað ikki stuttligt longur;carrythe joke too far gera ov nógv av í skemti;crack(el.cut) a jokeskemta, vera hittinorðaður;the jokeofittað stuttliga við tí;he is the joke of the townhann er til láturs í øllum býnum;jokeover!skemt til viks!;it is reallypasta joketað er ikki stuttligt longur;takea joke skilja skemt
joke2	skemta (við);I was only jokingtað var einans/bara í skemti
joker	1skemtari2(í kortspæli) jokari3(fl.m.)eithvørt óvæntað; vansi ið ikki sást frammanundan;(am.)setningur ið er lumpaður inn í lógel.sáttmála og fullkomiliga broytir týdningin
jokesmith	(am.)S skemtismiður, skemtihøvundur, skemtiteknari
joking1	skemt;joking apartskemt til viks
joking2	skemtandi;he’s not in a joking moodhann er ikki í tí stuttliga lagnum
jokingly	skemtandi, í skemti
jollification	1gleimur, fagnaður2veitsla, góður vertskapur
jollify	halda gleim, halda gildi
jollity	1kæti, gleði, gleimur2veitsla
jolly1	(tlm.)arga, smikra (t.d.jolly him into (doing) it),leggja gott orð inn fyri;jolly him alongleggja gott orð inn fyri hann, eggja honum til
jolly2	1kátur, glaðlyntur, skemtingarsamur; í góðum lag2(tlm.)frálíkt (t.d.weather);stórur (t.d.it is a jolly shame; he is a jolly fool)3hjsera, ógvuliga (t.d.he is jolly clever); he is in a jolly messhann er í eini rættiligari fløkju;jolly good!fínt! sera gott! frálíkt!take jolly good careansa sera væl eftir, vera sera varin;he is jolly well rightvíst hevur hann rætt
jolly3	1Smarinari2jolla3Sskemtilig viðmerking
jolly boat	(sigl.)jolla, skipsbátur
Jolly Roger	(sø.)sjórænaraflagg
jolt1	1stoytur, skump, skak, risting2n (fl.m.)skelkur (t.d.her pride had received a jolt);hvøkkur (t.d.the news gave us all a jolt)3Srúsevnisskamtur; drykkur; fongsulsrevsing
jolt2	1renna á; rista; skumpa, skaka (t.d.we were badly jolted in the old car; public confidence has been severely jolted)2(fl.m.)skelka
jolting	1skinklan, skramblan2(flm.) stoytur, skelkur, risting
Jonah	1(sern.)Jónas2nófrættafuglur
Jonathan	jónatansúrepli;Brother Jonathan(heiti fyri amerikanara)
Jones	keep up with the Jonesesikki standa aftan fyri grannarnar(viðv.bilum, sjónvarpiosfr.)
Jordan	(landafr.) Jordan
Jordan almonds	1ymisk sløg av mandlum2(søtmeti) mandlur við sukurglasing í ymsum litum
Jordanian1	jordan(ar)i
Jordanian2	jordanskur
jorum	stór drykkjuskál, punsjbolli
josh1	(am.)Sskemt, arging
josh2	skemta (við), arga smávegis
joshing	skemtandi
joss	kinesisk gudamynd
josser	S jassur
joss house	kinesiskt tempul
joss stick	roykilsispinnur
Jos stJoseph	
jostle	skumpa (undir);be jostledverða skumpaður aftur og fram; trokathey jostled with one another for seatstey trokaðust fyri at fáa sitipláss;jostle againstrenna ímóti;jostle throughtroka seg ígjøgnum
jot1	depil, prikkur, punkt;not a jotikki minsta vet, ikki ein moli, ikki petti (t.d.she doesn’t care a jot for him); sskriva niður;jot downrusla niður
jot2	rísla, krutla, klóra (t.d.jot down their names)
jotter	minnisbók
jottings	uppskriftir; niðurruslaðar viðmerkingar
joule	(al.)joule (orkueind)
jounce	1rista, skaka, skinkla2hoppa, leypa
journal	1dagbók, minnisbók2dagblað, tíðarrit, vikublað3fundarbók, gerðabók4(sigl.)skipsdagbók5(tøkn.)tøppur á ási
journalese	vánaligt blaðmál
journalism	1blaðvinna, blaðstarv, blaðskriving;school of journalismjournalistaháskúli2blaðútgáva; blaðheimurin3tíðindaflutningur
journalism student	journaliststudentur, journalistlesandi
journalist	blaðfólk, tíðindafólk
journalistic	blað-, blaðmanna-; dagblaðs-
journalize	skriva dagbók
journey	1ferð (mest á landi);reach one’s journey’s endkoma á mál;go on (el. make) a journeyfara undir eina ferð;a pleasant journey !góða ferð!;make the sad journeyganga ta tungu leið2kanningarferð3túrur (t.d.this bus goes ten journeys a day)
journeyman	sveinur, handverkarasveinur;journeyman paintermálarasveinur;journeyman bakerbakarasveinur
joust	1n (sø.)dystur, riddarakapping2sdystast, taka lut í kapping
Jove	Jupiter;by Joveá tú góðasti; Guð viti; pílar og skot; mín sann
jovial1	skemtingarsamur, glaðlyndur, hugnaligur; kátur, lívligur, vertskapsligur
Jovial2	sum viðvíkur gongustjørnuni Jupiter
joviality	kæti, gleimur
jowl	1kjálki, kinn, vangi (t.d.she had a large nose and heavy jowls)2(á neytum) bringsvølur (leysa húðin undir hálsinum oman móti frambeinunum), (á fugli) silpa;with a heavy jowlvið stórari undirhøku; (síeis.cheek)
joy1	gleði, frøi, eydna, lukka;weep for joy, shed tears of joygráta av gleði;joy of livinglívsgleði;wish him joyynsk honum góða eydnu;I wish you joy of it(speiskliga) væl gagnist;no joy! Shar er einki at gera; hasum fáa vit einki burturúr
joy2	(gl. skaldsk.) gleðast, frøast
joyful	kátur, glaður, fróur, lívligur
joy girl	gleðigenta
joy house	gleðihús
joyless	óglaður, óeydnusamur
joyous	glaður, kátur, fróur; gleðiboðandi
joyride1	(tlm.)skemtitúrur, hugnatúrur (serliga uttan loyvi)
joyride2	koyra ein túr til tess at hugna sær
joystick	stýripinnur(eis.íteld.),teldustýri
J.P.	(st.)Justice of the Peace
Jr,jr	(st.)junior
juba	(í trælatíðini í USA) [lívligur afrikanskur dansur har stevið verður tilskilað við lógvabrestum]
jube	(í kirkjuml.kór og skip) loft (á loftinum), svalir
jubilance	fagnan
jubilant	fagnandi, fegin, ógvuliga glaður
jubilate	fegnast, skera í fagnaðarróp
jubilation	sigursfagnaður; veitslurómur;cries of jubilationfagnaðarróp
jubilee	1(fimmtiára) minningarhald, fagnaðarhátíð; fagnaðarveitsla2(kat.)heilagt ár; fagnaðarár; frælsisár
Judaeo-Christian	jødakristin
judaic	jødiskur, gýðingaligur
Judaism	jødadómur, gýðingatrúgv, gýðingadómur
Judas1	1Judas2nsvíkjari
judas2	kagingarhol í hurð; njósnari
Judas kiss	judasarkossur
judder	rista, skelva
Jude	(bíbl.)(apostulin) Judas; Judasar bræv
Judea	(bíbl., landafr.)Judea
judge1	1dómari;the judges (at cattle showosfr.) dómsnevnd;as grave as a judgegravalvorligur;as sober as a judgepínliga edrúur2(ser)kønur maður (t.d.he says it’s a genuine Picasso, but he is no judge); be a judge of pictureshava skil fyri málningum;he is no judge (of that)hann hevur ikki skil fyri tí;I’ll be the judge of thattað fari eg sjálvur at meta um;Book of Judges(í bíbliuni) Dómarabókin
judge2	1døma; vera dómari (t.d.judge at a flower show); judge not that ye be not judgeddømið ikki, at tit ikki skulu verða dømd (Matt 7, 1)2meta um (t.d.horses; a distance)3haldast at vera (t.d.the book as a whole must be judged pretty boring),meta, halda (t.d.he judged it prudent to wait); judgeforyourselfmet sjálvur um;judgefrom appearancesdøma eftir útsjónd;judging from his conducteftir atburðinum at døma;you may judge(of)my astonishmenttygum kunnu ætla, hvussu forfardur eg varð
judgement	
judg(e)ment	1dómur, dómsúrskurður, dómsniðurstøða;judgment was given against himdómurin gekk ímóti honum;obtain judgment against himfáa dóm feldan yvir hann;deliver judgmentfella dóm;give judgment for themgeva teimum viðhald í málinum;pass(el.pronounce) judgment on (fl.m.)fella dóm yvir;set oneself up in judg(e)ment onseta seg sum dómara yvir;sit in judg(e)ment onsita og døma; (síeis I pass)2meining, meting;in my judg(e)menteftir míni áskoðan);to the best of my (, his etc.) judgmenteftir bestu sannføring;deliver (el. give) one’s judg(e)mentsiga sína meining3orð, umdømi, ummæli (t.d.sound judg(e)ment),metingarevni,dismissed because of errors of judgmentssagdur úr starvi tí skeivar avgerðir vóru tiknar;he is a man of judgmenthann er eitt skilafólk4revsing (t.d.it is a judgment on you for acting like thattað er revsingin fyri at …)5(átr.)(Guðs) revsing;day of judg(e)mentdómadagur
judgeship	dómaraembæti; embætisskeið hjá dómara
judgmatic(al)	skilagóður, skynsamur, gløggur
judgmental	1viðvíkjandi metingarevnum (t.d.judgmental error; judgemental decisions about the likelihood of company survival.)2dømandi (t.d.I don't like to sound judgemental, but it was a big mistake)
judgment book	dómprotokoll; lívsins bók
judgment creditor	dómhavi
judgment day	dómadagur
judgment debtor	dómfeldi
judgment sampling	sýnisroynd
judgment seat	dómarasæti
judicative faculty	metingarevni
judicatory	1ndómstólur2ldømandi, dóms-
judicature	dómsvald sum ein grein av ríkisvaldinum; dómskervi; dómstólur;the judicaturedømandi valdið
judicial	1(løgfr.)rættarligur, rættar- (t.d.inquiry; decisionúrskurður); dómara- (t.d.benchsæti)2(fl.m.)atfinningarsamur, rættvísur; gløggur, skarpur; kaldligur; óvildaður (t.d.investigation; conduct)
judicial act	rættargerð
judicial assembly	dómstólur
judicial bench	the judicial benchdómarasæti;(fl.m.)dómararnir
judicial combat	(sø., løgfr.)einvíggi, hólmgonga
judicial decision	rættarlig avgerð
judicial interpretation	(løgfr.)dómstóla tulking
judicially	rættarliga
judicial murder	avrætting óseka
judicial opinion	(løgfr.)úrskurður
judicial power	dómsvald, dømandi vald
judicial proceedings	bring (el.take) judicial proceedings againststevna, lógsøkja, leggja sak ímóti, reisa ákæru ímóti, taka upp søksmál ímóti
judicial review	(løgfr.)dómstólaroynd
judicial separation	sundurlesing, hjúnaskilnaður, skilnaður at borði og song
judiciary1	1dómsvald;the judiciarydómsvaldið2dómstólaskipan; dómskervi; dómarastætt
judiciary2	rættar- , dóms- , dømandi
judicious	skilagóður, skynsamur (t.d.we should make judicious use of the resources available to us; spend your money a little more judiciously)
Judith	
judo	judo
judy	Sgenta; býttlingur;make a judy of oneselfgera seg til láturs
jug1	1kanna, strútakanna, tútakanna, krúss, tútakrúss2Sfongsul(be in jug),gegl, myrkaskot
jug2	11stoyta í kannu2kóka í kannu2seta í geglið/fongsul, seta fastan
jugal	kinn-
jugal bone	(likam.) kinnbein (Oz zygomaticum)
jug-eared	(am., tlm.)við kálvaoyrum, við útrendum oyrum, við peiggjandi oyrum;he was often mocked for his jug earshann varð ofta argaður við sínum kálvaoyrum
jug ears	he was often mocked for his jug earshann varð ofta argaður við sínum kálvaoyrum
Juggernaut	1Jagannata (indiskurátr.)2(fl.m.)máttur ið ikki stendst ímóti og sum leggur alt í oyði á síni leið; okkurt ein gevur seg til í blindum3(tlm.)stórur lastvognur (til fjarferðslu), lastvagnatok
juggins	(tlm.)dylhøvd
juggle1	1gykla (t.d.with words)2fimla (t.d.the circus performer juggled with seven balls)3stríðast við, fáa at ganga upp, hava nógv fyri í senn (t.dshe works full time,jugglingher careerwithraising children)4lumpa; falsa;juggle the accountspilka við roknskapirnar;juggle the figuresfalsa tølini;juggle people out of their moneylumpa pengar frá fólki
juggle2	1gykl, gandalist2svik
juggler	gyklari
jugglery	gykl, gandalist; svik, fals
juglandaceous	(plfr.) sum hoyrir upp í valnøtarættina
Jugoslavia,Jugo-Slavia	(landafr.)Jugoslavia
Jugoslavian, -slavic	jugoslaviskur
Jugoslav,Jugo-Slav	1njugoslavi2ljugoslaviskur
jugular1	hálsæðr
jugular2	háls-
jugular vain	hálsæðr
jugulate	skera á háls
juice1	1saft, sevja;tobacco juicetubbakssevja; væta, løgur2Ssprutt; bensin; (ravmagns)streymur
juice2	pressa sevjuna úr; fríska upp; gera meira spennandi
juiced	S fullur
juice extractor	saftpressa
juicehead	drykkjumaður
juiceless	sevjuleysur
juiceman	okurkallur
juicer	S elektrikari;Sdrankari
juicy	1sevjuríkur, saftarmikil, leskiligur2vátur; (um pípu) súr3(tlm.)sum kastar av sær, sum gevur4spennandi, leskiligur; (um gentu) eiggilig5kleimin, morreyður (t.d.story)
jujitsu	jiujitsu (japansk glíming)
juju	verndargripur, gandagripur; gandamáttur
jujube	bomm, bróstsukur
ju-jutsu	
jukebox	jukeboks
jukeboxjoint	(am.)Sdansikjallari (við jukeboks)
jukejoint	dansibøli
julep	[kaldur, kryddaður drykkur]
Julia	
Julian	julianskur;Julian calendarjuliansk tíðarrokning
Juliet	
July	juli
jumble1	sugga, vavgreytur,in a jumbleí einum vavgreyti; hurlivasi
jumble2	vevja saman, blanda saman
jumble sale	loppumarknaður (sum liður í peningainnsavning)
jumbo	1nrisi; klóta2lrisavaksin, trøllvaksin, risa- ; jumbo- (t.d.jet)
jumboize	(sigl.)set upp í skip; leingja skip
jump1	1hopp, lop (t.d.clear the stairs at one jump; parachute jump; the long (, US. broad) jumplongdarlop;the high jumphæddarlop2hvøkkur (t.d.evolution takes place in jumps; a jump in prices); he gave a jumphann hvakk við3krepping, brotakast4(í kapprenning) forðing5(íteld.)lop6S„eitt lítið“7the jumps Sfjálturskreppingar; brennivínsøði, delirium tremens8get the jump on (am.) Sfáa undandrag, vera undan einum, vera fyri einum; ,be all of a jump (tlm.)vera fjálturstungin;be on the jump (tlm.)hava úr at gera; vera fjálturstungin
jump2	1hoppa, leypa (t.d.jump out of the window)2(um prísosfr.)gera lop upp eftir, snarhækka, (um persón eis.) hvøkka (við) støkka;he jumped (eis.)hann hvakk við3(um bil) høgga4(áv.)leypa (upp) um (t.d.a fence, a chapter in a book)5(knappliga) seta í hægri starv; hækka prísir nógv6rýma undan7lokka (t.d.be jumped into doing it)8mogga9[ísamb. viðn]jump one’sbailSrýma meðan ein er leysur undir borgan;jump thebusleypa úr bussinum;jump aclaimogna sær jørð tillutað øðrum; gera seg inn á annars mans rætt;jump thegunleggja avstað ov skjótt, tjóvstarta;jump thequeuefara fram um onnur í røð; troka seg fram;jump thetrackmissa slóðina10[ísamb. viðfs/hj]jumpatleggja eftir, taka gleðiliga við, smekka til;jumpdownsby’s throathella seg yvir ein, leggja á ein;jumpforjoyhoppa av gleði;jumpin(fl.m.)leypa til;jumpoffleypa avstað; byrja, fara í gongd;jumpon(fl.m.)finnast at; detta yvir, hella seg yvir ein;he nearly jumpedout ofhis skinhann hvakk við;jumptoconclusionsleypa framav;jump to one’s feetleypa á føtur;jumptogetherpassa samman;jumpupstøkka upp;jumpwithsamsvara við
jump ball	dómarakast
jump bid	(t.d.í bridge) lopmeld, lopmelding, tað at leypa (íliti el.í sang)
jumped-up	sum knappliga er komin fram; hovin, hástórur, erpin, dramblátur;they are a jumped-up lotteir eru nýkomnir framat
jumper	1leypari2troyggja, síð og víð blusa; matrósablusa3(am.)spensarkjóli4(tlm.)konduktørur5(tøkn.)boristong; slagborur, høggborur
jumping cracker	(fýrverk,tlm.) skrubbtussa
jumpingjack	spjálkidukka
jumping-off board	lopfjøl
jumping -off ground	(fl.m.)lopfjøl
jumping pit	lopgrøv
jumping sheet	loplak, bjargingarlak
jump leads	startkáplar
jump rope	hoppiband
jump seat	fellisetur
jumpy	hoppandi, skinklandi; støkkin, bangafullur, fjálturstungin, spentur, sperdur
Jun	(st.)June; Junior
junction	1sambinding, samband, groyping2vegamót, jarnbreytarmót, ferðslumót3áarmót
junction box	(ravm.)íbindingardós
juncture	tíð, stund, løta; avgerandi løta, kreppuløta;at this juncturejúst nú, nú sum støðan er, í hesum umstøðum
June	juni
Juneberry	(plfr.)berjamispel(Amelanchier x lamarckii)
jungle	1frumskógur, villskógur2(fl.m., eis.)ruðuleiki, lógloysi3(am.) Sfjakkaralega
jungle fever	(slag av malaria)
jungle growth	(flm.) fløkja, hurlivasi (t.d.of legal procedure)
jungle gym	klivlag, klivstættur
jungly	1frumskógarkendur, frumskógar-2kjarrvaksin
junior	1llægri, sum hevur minni at siga2lyngri, yngsti;he is my junior by some yearshann er nøkur ár yngri enn eg3n barristersum ikki erKing’s Counsel4n (am.)studentur næstsíðsta lestrarár
junior clerk	bankanæmingur
junior college	(am.) collegeið veitir tveyára skeið, ofta sum fyrireiking tilsenior college
junior high	sí junior high school
junior high school	(am.)(skúli ið fevnir um 7., 8. og 9. skúlaár)
junior partner	1(handilsm.)yngsti felagi2(í samgongu) tann minsti samgonguflokkurin, „kitt“
junior school	(skúli fyri børn í aldrinum 7-11 ár)
juniper	(plfr.)baraldur, einir, baraldsviður, einiberviður(Juniperus communis) juniper berryeiniber
junk1	1rusk, fras, burturkast, skrambul, órusl2møsn, tvætl3(sigl.)gamalt togverksburturkast4saltkjøt5junka (kinesiskt far)6Srúseitur
junk2	S blaka burtur
junk3	nyttuleyst, virðisleyst, sum einki nyttar (t.d.load up on salted junk food)
junket	1loypingur, rómastampur2gildi3(am.)ferð (, át) fyri almennan pening4útferð, skemtiferð5shalda veitslu, halda gildi; gera útferð, fara skemtiferð
junketing	1veitsluhald, vertskapur, gildisrómur2fara skemtiferð, gera útferð;(serst. am.)ferð (, át) fyri almennan pening
junk food	fras, sjoppumatur (matur við lágum føðsluvirði og við nógvum feitti og sukri)
junkie	S evnismisnýtari, narkomanur
junk mail	(am.) áskriftarleys postur, adressuleys sending (vørulistar, lýsingabløðo.s.fr.), 'ruskpostur'
junkman	ruslhandilsmaður (ein ið handlar við brúktum vørum)
junk playground	skrambulspælipláss
junk room	óruslukamar
junk shop	ruslhandil, marskandisarahandil (handil við brúktum lutum)
Juno	
Junoesque	bæriligur, hábærsligur, tignarligur
junta	hermannaráð, ríkisráð, serliga í Spania og Ibero-el.Latínamerika; (síeis.junto)
junto	1loyniráð, politisk samansvørjing; klika2hermannaráð, junta
Jupiter	
Jurassic	(jarðfr.)jura-;the Jurassic Period, the Jurassicjuraøld, juratíð, juratíðarskeiðið
juridical	løgfrøðiligur, rættarligur
jurisconsult	løgfrøðingur
jurisdiction	1(løgfr.)løgdømi;fisheries jurisdictionfiskiskaparløgdømi2(løgfr.)dómsvald3embætisøki, starvsøki, arbeiðsøki
jurisprudence	almenn løgfrøði; løgspeki, løgvísindi, rættarheimspeki; rættarkervi
jurisprudential	løgvísindaligur, løgspekiligur, løgfrøði-
jurist	løgfrøðingur
juristic(al)	løgfrøðiligur
juristic person	(løgfr.)løgpersónur
juror	nevningur; limur í dómsnevnd
jury1	1(løgfr.)nevningar; nevningating; nevningadómur;be(el.sit) on the jury (løgfr.)vera nevningur2(til framsýningarosfr.)dómsnevnd
jury2	(sigl.)neyð- (t.d.anchor, mast, sail, yard)
jury box	nevningabásur
juryman	nevningur
jury mast	(sigl.)neyðmastur
jury -rigged	(sigl.)neyðriggaður
jury rudder	(sigl.)neyðróður
jussive	(máll.)boðs-, boðsháttar-
just1	1rættvísur(tomótvegis) (t.d.decision)2reiðiligur (t.d.a just man);rættur (t.d.proportion)3rímiligur (t.d.the payment is just)4hóskandi, uppiborin (t.d.punishment)5heimilaður, grundaður (t.d.suspicion)6neyvur (t.d.scalesvekt)
just2	1beint, júst (t.d.he has just arrived),akkurát (t.d.he just managed to get through)2bara, bert, einans (t.d.she is just a child)3(tlm.)snøgt sagt (t.d.I just had to see you)4(viðleis.) beinleiðis, vissuliga, heilt, púra, fullkomiliga (t.d.it’s just splendid)5(viðboðsh)bara (t.d.just listenlurtið bara;just (you) wait),eitt sindur; bara (t.d.just tell me his address)6[íyms.samb.]justaboutumleið (t.d.just about a hundred; it was just about here); just about to goum at fara;justasí tí (t.d.just as he came);júst sum (t.d.just as I said); just as goodakkurát eins góður;justnowbeint nú; fyri løtu síðan (t.d.he was here just now); justsopúra rætt, júst;justunderfifty per centsløk fimmti prosent
just3	(sø.)=joust
