d-	(st.)damn
deep-chested	breiður um bringuna, bringubreiður
deep-drawn	a deep-drawn sightungligt suff, at suffa tunglig
deep-dyed	(flm.) reinur, ramur (t.d.Tory)
deepen	dýpa, dýpast; breiðka; myrkna
deepfake	djúpfals (t.d.two artists and an advertising company created adeepfakeof the candidate saying things he never said, and uploaded it to Instagram)
deep fat	djúpfeitt, fritura
deep freeze1	frystari; frystiboks
deep freeze2	djúpfrysta, goyma í frystara
deep freezer	frystiboks
deep fry	djúpsteikja, friturusteikja
deep holedrilling	dýpdarboring
deepie	(tlm.)trídimensionalur filmur, trívídddarfilmur
deepish	rættiliga djúpur
deep kiss	tungukossur
deep-laid	snildisliga hugsað (t.d.schemeætlan)
deep-rooted	rótgrógvin, rótfestur;a deep-rooted evilgamal skaði
deep-sea	djúphavs-, úthavs-
deep sea	djúphav
deep-sea lead	djúpdarlodd
deep-sea prawn	(dý.)rækja(Pandalus borealus)
deep-sea sounding	djúphavslodding
deep-seated	1(lækn.) sum liggur djúpt, djúpliggjandi (t.d.deep-seated cancer)2rótgrógvin, rótfestur (t.d.tradition)3djúpliggjandi
deep-sea trench	kavdjúp
deep-set	djúpur (t.d.eyes); (fl.m.)rótgrógvin
deep-six	give it the deep-sixgloym tað, lat tað fara
Deep South	(am.stakríkini:Georgia, Alabama, Mississippi, Louisiana, South Carolina)the Deep South(tað fólk vanliga skilja við suðurríkja siðvenju, hugburð og málføri)
deep space	himnadýpið; ytra rúmdin
deep-water	(bara framman fyri navnorði) djúphavs-, djúpur (t.d.the harbour is rated as a deep-water port)
deep water	(flm.)be in deep watervera í stórum trupulleikum, vera komin í kløtur (t.d.the Democrats are in deep water over their plans for tax increase)
deer	(flt deer)hjørtur, dýr av hjartaætt(Cervidae)
deer-grass	(plfr.)túvu-skúvsgras(Trichophorum cespitosum)
deer-hound	skotskt hundaslag
deer park	dýragarður
deer-skin	hjartarskinn, hjartarleður
deer-stalker	húgva við túti bæði framman og aftan (lík teirri hjá Sherlock Holmes)
de-escalate	taka av, minka stigvíst
de-escalation	stigvís minking
deface	skemma, misprýða, spilla, lýta; oyðileggja
defacement	misprýði, lýti; skaði, oyðilegging
de facto	í roynd og veru, veruliga
defalcation	fíggjarsvik, peningasvik
defalcator	(sj.) fíggjarsvikari, peningasvikari
defamation	bakbit, útspilling, ærumeiðing
defamatory	útspillandi, ærumeiðandi, niðrandi
defame	bíta í bak, baktala, spilla út, niðra
defamer	ærumeiðari
defang	gera (ein) máttleysan
defatigable	sum lættliga møðist
defatted	avfeittaður
default1	1vanrøkt, vansketni2mishald (t.d.it will have to restructure its debts to avoid default)3(løgfr.)frávera, burturvera (frá rætti);judgment by defaultfráverudómur;go by defaultikki koma (og tískil settur til viks);win by defaultvinna uttan dyst (tí mótstøðufólk møtir ikki);in default ofvegna skortandi uppgávuel.lýsing4(handilsm.)mishald (t.d. av sáttmála)5mora(eis. løgfr.); in defaultí mora6(íteld.)sjálvgildi, áseting (t.d.the default is fifty lines)7(íteld.) (st.) in default of specification
default2	1ikki halda orð, ikki gera sína skyldu, vanrøkja skyldu, mishalda skyldu, ikki rinda skuld (t.d.some had defaulted on student loans)2sjálvgilda, seta sjálvvirkandi (t.d.when you start a fresh letter the system will default to its own style)2ikki koma, ikki møta
default answer	(íteld)sjálvsvar, sjálvsett svar, sjálvgildi
defaulter	1ein ið ikki møtir upp (í rættinum), falsari, svíkjari, teipari2ringur gjaldari3(herm.)hermaður ið hevur misbrotið seg
default folder	(teld.)forsett skjátta
default interest	morarenta
default network card	standarnetkort
default value	(íteld.) sjálvvirði, sjálvgildi
defeasance	(løgfr.)taka av, ónýta, slíta
defeasible	(løgfr.)sum kann takast av, umrindiligt
defeat1	ósigur, tap; týning; vrakan
defeat2	1vinna á (t.d.defeat another football team),sigra (t.d.defeat the enemy)2banka; týna3(tingm.)ikki samtykkja, fella (lógaruppskot)the bill was defeateduppskotið varð felt4defeatone’s own endmótvirka egnu ætlan
defeatism	uppgávulyndi, uppgávuhugur
defeatist	1nuppgávusinnaður persónur, ein ið gevur skarvin yvir frammanundan2luppgávusinnaður
defecate	hjálpa sær sjálvum; reinsa
defecation	skarn; reinsan
defect	1brek (t.d.defects of character),lýti, skeivleiki (t.d.defect in the present system of education)2shoppa av (um politiskt flóttafólk); falla frá
defection	avhoppan; fráfall
defective	brekaður, ófullkomin, ávantin, í ólagi (t.d.the brakes were defective),ófullfíggjaður (t.d.method) (eis. máll); mentally defectiveevnaveikur, ófullførur, sálarliga menningartarnaður
defector	avhoppari
defence	1verja (t.d.the defence of Moscow; a football team weak in defence… í verjuni);come to his defenceverja hann; koma honum til hjálpar; vernd; (am.)defense2suml (herm.)verju- (t.d.area; plan; programme)3defences fltverndarverk4(í kortspæli) mótspæl5(í samb. v.veiðu)trout streams were put in defencesílafiskiskapur varð bannaður í teimum áunum;defence monthsfriðingartíð6(løgfr.)svarskriv;the defencestevndi og verji hansara;counselforthe defence; defence attorneyverji;appear for the defencemøta sum verji;have you anything to sayinyour defence?… til tygara verju?;in defence oftil verju fyri;make(el.put up) a gallant defenceverja seg mansliga (, óræddur);he hadnodefence to offerhann hevði einki at verja seg við;ChiefofDefenceverjuovasti;Minister of Defenceverjumálaráðharri;Secretary of Defense (am.)verjumálaráðharri
Defence Chief	(herm.)verjuovasti
defenceless	verjuleysur
defence mechanism	(sál.)verndarháttur, verndaratgerð
defence reaction	(sál.)verndarviðbragd
defend	verja(fromímóti) (t.d.defend the city against the enemy; defend one’s conduct; defend oneself in court)
defendant	stevndi, lógsøkti; (í smávegis brotsmáli) ákærdi
defender	verji(fótb. eis.)verjuleikari
defenestration	1(forml., skemt) tað at blaka ein út ígjøgnum vindeyga (t.d.death by denfenestration has a venerable history)2(óforml.) tað at reka ein úr starvi
defense	(am.) verja; sídefence
defensible	sum kann verjast (t.d.city),verjandi; fullgóður, ráðiligur (t.d.action)
defensive	1the defensiveverjustøða;be on the defensivevera búgvin til verju, vera í verjustøðu;act on the defensivevirka í sjálvverju2lverju-, verndar- (t.d.: the defensive preparednesstilbúgving),verjukendur
defensive error	(ítr.)verjuvilla
defensive play	(ítr.)verjuspæl
defer1	flyta fram, freista, fresta, bíða við (t.d.defer the matter for a week; a decision);(síeis.deferred)
defer2	1lata sær lynda, lúta(tofyri,t.d. I defer to your opinion; defer to his will; defer to their wishes)2lata, geva (t.d.he could defer his job to no one)
deference	virðing;in deference tovið virðing fyri;pay deference tosýna virðing mótvegis;with all due deference tovið allari virðing fyri; hávirðing (t.d.with great deference I venture to think that the judge was mistaken)
deferential	virðingar-, virðingarfullur, sum vísir (e-m) virðing
deferment,deferral	(serst. viðv.hertænastu) freist, frest, útseting
deferrable	sum kann freistast, sum kann útsetast
deferral	sídeferment
deferred	útsettur, freistaður;(handilsm.) cash or deferredkontantel.í avgjøldum;deferred payment systemavgjaldsskipan;on deferred termsí avgjøldum
deferredannuity	(trygg.)freistað lívrenta
deferredpayment	avgjald
deferredpay rise	eftirsleip
deferredshares,deferredstock	partabrøv ið ikki geva ágóða fyrr enn hini partabrøvini í fyritøkuni hava fingið sítt
defervescence	(lækn.) fepurin er á veg niður, lækkandi fepur
defiance	avbjóðing; treiskni, treiskleiki, tvørlyndi;bid defiance to him, set him at defianceikki lata sær lynda, ikki vilja lúta;in defiance ofhóast; beint tvørtur ímóti
defiant	ágangandi, boysin, treiskur, tvørur; avbjóðandi
deficiency	1tørvur, trot (t.d.vitamin deficiency),skortur, brek;deficiency diseasetrotsjúka2ófullkominleiki (síeis.mentaldeficiency)3hall, undirskot4eftirstøðanotice of deficiencyfráboðan [frá skattavaldinum] um eftirstøðu
deficiencydisease	(lækn.) trotsjúka
deficiency payments	skaðabøtur [t.d.til bøndur; slag av almennum studningi]
deficient	ófullfíggjaður, ófullkomin, ávantin;deficient in vitaminsvitaminlítil;mentally deficientikki fullførur, ófullførur, evnaveikur, sálarliga menningartarnaður;be deficient in common sensetørva vanligt vit ogskil
deficit	hall, undirskot;working deficitrakstrarhall
defile1	trongt (fjalla)skarð, kluft
defile2	smitta; dálka (t.d.a river; his memory)
defile3	ganga á rað (fram við)
defilement	smittan; dálkan
definable	sum kann allýsast
define	1greiða frá, greina, lýsa nágreiniliga, allýsa (t.d.define the meaning of a word), (teld.)skilmarka2avmarka; áseta,defined by lawásett við lóg3(um eginleikar) lýsa4be clearly defined againstmyndast týðiliga móti (t.d.the sky)5(tele.)allýsa
defining	avgerandi;a defining momentavgerandiløta; løta ið fekk alstóran týdning
definite	1avgjørdur, greiður (t.d.I want a definite answer; a definite standpoint);2fastur, endaligur (t.d.no definite proof has emerged)3avmarkaður (t.d.organizations have boundaries in the sense that they may occupy a definite geographical area)4the definite articlebundna kenniorðið
definitely	heilt greitt, heilt avgjørt (t.d.it was definitely a case ofexploitingchild labour);við vissu, vissuliga, heilt víst  (t.d.I shall definitely be at the airport to meet you)
definition	1ásetan, fyriskipan, regla2greining; frágreiðing3allýsing, skilmarking(eis. teld);avmarking4(lmynd., sjónv.)skarpleiki
definitive	endaligur (t.d.refusal),avgjørdur; avgerandi (t.d.victory),sum ikki tekst aftur;definitive stampsgerandismerki
deflagrate	brenna; brenna av
deflate	sleppa luftel.gassi úr, missa luft (t.d.a balloon, a tyre);lækka prísir;(fl.m.)gera minni sjálvglaðan, pilka niður;I felt deflatedeg kendi meg tóman
deflation	1prísfall, prísfjøra2(jarðfr.)vindriv
deflationary	prísfjarandi
deflect	benda(el.boyggja) til viks (t.d.rays);geva aðra kós; víkja frá; veita burtur
deflection	1avbending2frávik;plan in advance little deflections and smudgings of truthfyrireika frammanundan hvussu sannleikin kundi bendast (burtur) og gruggast3útslag (á vísara/vísa)
deflexed	(plfr.)niðurboygdur
defloration	moyhinnuspreinging
deflower	taka moydóm;deflower a woman (eis.)taka moydómin hjá kvinnu
Defoe	
defog	(am.)= demist
defoliant	leyvoyðari
defoliate	avleyva; missa bløðini
deforest	(skógfr.)avskóga
deforestation	(skógfr.)avskóging
deform	avskapa, lýta, spilla
deformation	avskapan, avskaping, vanskapan
deformed	vanskaptur, avskapaður; avlagaður; ljótur
deformedperson	vanskapningur (,animal. monster, monstrosity, freak (of natur))
deformity	avskapan, avskaping, vanskapan; avlaging; lýti
defoul	reinsa (t.d.a pipeeitt rør)
defraud	falsa, svíkja, lumpa(offyri);defrauded oflumpaður fyri;with intent to defraud (løgfr.)við sviki í huga
defray	borga, greiða, bera, gjalda, rinda (t.d.the cost)
defrayal	gjald, rindan, greiðsla
defrock	døma frá kjóla og kraga
defrost	avísa, avríma; (um frystan mat) tiðna
defroster	avrímari (í bili)
deft	fermur, fittur í hondunum, dúgligur, kringur
defunct	1deyður;the defuncttann deyði2farni farin úr nýtslu, útdeyður, aveldur3avtikin,a defunct companyavtikið felag
defuse,defuze	1gera óvirkið, avfjúsa (t.d.a bomb),gera óskaðiligan2(fl.m.)taka broddin (t.d.the whole issue); defuse rumoursavvátta slatur
defy	1bjóða av, standa ímóti2treiskast ímóti (t.d.the weather),vera ólýðin (t.d.the law); it defies definitiontað er ógjørligt at allýsa;defy public opinionháða almenna áskoðan3I defy you to do itger tað um tú torir(el.dugir)
deg	(st.)degree(s)
degauss	avsigulmagna, avmagnetisera
degeneracy	úrskeping; afturstig
degenerate	1nkrypilsvera, krypilsmenni, krypilsplanta, krypilsdýr2s(likamliga, andliga, siðmenningarliga) úrskeplast, ganga afturá3lúrskeplaður, úrkynjaður
degeneration	úrkynjan, úrskeping; afturstig
degenerative	úrskepingar-, afturstigs-
deglaciation	(jarðfr.) avglering
degradable	(evnafr.)niðurbrótandi
degradation	1vanvirðing, mannminkan; niðran2(viðv.tign) lækkan, niðurflyting, minking3(evnafr.)niðurbróting
degrade	1vanvirða, vanæra2niðra, eyðmýkja3(viðv.tign) lækka, avtigna, flyta niður4(evnafr.)niðurbróta
degraded	1vanvirdur; eyðmýktur2ússaligur, vesaligur, neyðarsligur3gjørdur einfaldur
degrading	mannminkandi, lágur
degrease	avfeitta
degreasing compound	avfeittingarevni
degree	1stig (t.d.the freezing point of water is 32 degrees Fahrenheit; there are 90 degrees in a right angle; an equation of the nth degree)2tign, tignarstig, mæti (t.d.a man of high (, low) degree)3(akademiskt) heiti, (embætis)prógv,he has a Cambridge degreehann hevur prógv frá Cambridge4(gl.)stætt5[íyms.samb.]bydegreesstig fyri stig, smátt um smátt;a (certain) degreeof, some degree ofeitt sløð, eitt sindur (t.d.he must show a degree of tolerance); degree of latitudebreiddarstig;degree of longitudelongdarstig, longd;degree of modulationmótingarstig(útv.); people of low degree (gl.)tey minni mentu;toa high degreesera, ógvuliga, avbera, í stóran mun;snobbish to a degreerættiliga snobbutur;to the last degreeút í odd og egg, út í æsir
dehair	hæra húð (skava hárini av turrari húð)
de haut en bas	(franskt)úr erva og niðureftir; hástórur (t.d.attitude)
dehiscent	(plfr.)sum letur seg upp fyri spjaðing
dehumanize	gera ómenniskjaligan
dehydrate	turka
de-ice	forða ísgerð; avísa, ísbræða
de-icer	avísingarskipan
deification	guddómsgerð
deify	gera til gud, tilbiðja sum gud
deign	deign tovirða, hirða;he did not deign to give me an answerhann hirdi mær ikki svar;without deigning an answeruttan at hirða mær svar; lúta so lágt at (t.d.he did not deign to answer)
Dei gratia	av Guðs náði
deism	deisma (læran, ið boðar, at ein gudur er til, ið skapt hevur heimin, men sum ikki leggur seg út í heimsgongdina)
deist	gudstrúarmaður, deistur
deistic(al)	gudstrúarligur, deistiskur
deity	gudur, guddómur
deject	gera illa hýrdan, taka mótið frá
dejected	illa hýrdur, óglaður, tunglyndur, hugtungur, mótfallin
dejection	1tunglyndi, hugtyngsla, mótloysi2(lækn.)avfáing
de jure	de jure (sambært lógini)
dekko	eygnabrá;have a dekko at thishygg eftir hesum
del1	(st.) delete; delegate; delineavithevur teknað
Del2	(st.)Delaware
delabialized	(ljóðl.)avrundaður
delate	geva upp, melda
delation	klaga
Delaware	
delay1	1tarn, tarni, seinkan(eis.íteld.), drál(an);without delaybeinanvegin, alt í einum, í løtuni2(handilsm.) freist, frest; eis.delay,time-limit
delay2	tarna, seinka (t.d.the train was delayed twenty minutes),tálma, bíða við, draga út (t.d.the passage of certain bills),drál
delay buzzer	(lmynd.)sjálvútloysari
delayedaction	tíðarstilling
delayedaction bomb	tíðarstillað bumba
delayedshock	(lækn.)eftirskelkur
delaying policy	drákpolitikkur
delaying tactics	drákframferð
del credere	(handilsm.)trygd fyri greiðslu;the agent acts del credereumboðsseljari borgar fyri at annar maður lýkur gjaldtreytir
del’d	(st.)delivered
delectable	1(um mat og drykkir) leskiligur (t.d.delectable handmade chocolates)2yndisligur, eiggiligur (t.d.the delectable Ms. Davis)
delectation	gleði, undirhald, njótan, fragd;for the delectation oftil gleðiel.fragd hjá
delegacy	sendinevnd; umboð; nevnd
delegate1	1sendifólk, sendiboð, umboð, umboðsfólk, umboðsstjóri (t.d.U.N.delegatesfrom African nations;he's been chosen as a delegate to the convention)2tingfólk; umboðsfólk(t.d. the nominee netted a handful ofdelegatesin the state's caucus)
delegate2	1senda út (sendimann)2avhenda, fáa (einum), lata upp í hendurnar á (t.d.delegateauthority; shedelegatedthe task to her assistant; the voters delegate power to their elected officials)3tilnevna, útnevna (t.d.four teachers were delegatedtorepresent the school at the conference);seta í starv
delegation	1tilnevning2heimild3avhending (t.d.the delegation of tasks to others)4umboð; sendinevnd (t.d.the delegation from the United States was sent to the United Nations to talk about many topics)
delete	strúka burtur, strika(eis.íteld.);taka burturúr;delete key (teld.)strikiknappur
deleterious	oyðandi, skaðiligur
deletion	(út)strikan, burturfall, burturtøka
deleveraging	(bú.)skuldarskerjing, skuldarminking
delf() [delf(t)],delftware [‘delftwæø]	delftfajansa
Delhi	(lækn.)blóðsótt, lívsýki við blóði í
deli	= delicatessen
deliberate1	1umráða seg, hugsa seg um (t.d.the jury deliberated for two days before reaching a verdict; the jury took five days to deliberateonthe case; the committee has deliberated the question at great length; he's deliberating whether or not to accept the new job that he's been offered)2umrøða, kjakast um3aftra seg, ivast
deliberate2	1(væl) umhugsaður (t.d.judgment);avvitandi, við vilja (t.d.lie; insult), tilætlaður (t .d.mischief)2sinniligur, hóvligur, seinur
deliberately	1við fríum vilja, vitandi og við vilja;the fire was started deliberatelyeldurin var ásettur2sinniliga, hóvliga, varisliga
deliberateness	hógv, hóvsemi, varni; ró
deliberation	1hugsan;after due deliberation, after(el.on) careful deliberationeftir at hava hugsað gjølla (um málið)2umrøða, kjak3hógv, seinføri (t.d.the hours dragged by with an incredible deliberation... ótrúliga seint)
deliberative	ráðgevandi (t.d.assembly),ráðleggjandi
delicacy	1fínleiki2góður atburður3trupulleiki4veikleiki, viðkvæmi, kenslunæmi;delicacy of feelingviðkvæmi;the political situation is one of great delicacy… er ógvuliga viðkvom5(um mat) leskiligur biti, gloypubiti;delicacies (eis.)leskimeti, góðgæti, slammiska
delicate	1fínligur, nettligur, nettur; hárfínur (t.d.difference);varisligur (t.d.delicate irony; give a delicate hint)2følin (t.d.skin),veikur (t.d.stomach);skroypiligur (t.d.vase; health)3viðkvæmur, kenslunæmur4trupul (t.d.operation (lækn.); situation; position)5kræsin6(um mat) leskiligur7in a delicate conditionvið barn
delicatessen	viðskeri; viðskerahandil
delicious	góður (t.d.smell, taste),átuligur, leskiligur (t.d.dinner);yndisligur (t.d.landscape)
delict	lógarbrot; rættarbrot
delight	1ngleði (t.d.to the delight of my parents ..),fagnaður, fragd (t.d.dancing is her chief delight; a delight to the eye),frøi, tokki;take delight infinna fragd í (t.d.teasing one’s kid sister);njóta; hava tokka til, gleðast um, frøast um;to my great delighttil mína stóru gleði2sfrøa (seg),gleða(st), fegnast;her singing delighted everybodyøll fegnaðust um hennara sang
delighted	glaður, fróur, kátur, ovurfegin, lukkuligur;he will be delighted with ithann verður ovurfegin um tað;he will be delighted to cometað fer at gleða hann at koma;(Will you do that for me?) I shall be delighted!jú so fegin!
delightedly	ovurfegin; við gleði
delightful	1yndisligur, yndigur, tekkiligur (t.d.young lady)2stuttligur, skemtingarsamur3áhugaverdur (t.d.book); it is delightfully easytað er so deiliga lætt
Delilah	Dalila (Dóm 16, 18); svikakvendi
delimit	avmarka, seta mark;delimit a boundaryáseta mark
delimitation	avmarking
delimiter	(teld.)markatekn
delineate	tekna; lýsa (t.d.a character)
delineation	tekning; lýsing
delineator	teknari; lýsari
delineavit	(latín)hevur teknað (, málað)
delinquency	1misbrot, lógarbrot;juvenile delinquencyungdómskriminalitetur2(am.)skuld sum er fallin til gjaldingar
delinquent	1nsekur, (mis)brotsmaður2lsum fremur misbrot
deliquesce	gerast flótandi evni
deliquescent	sum loysist sundur
delirious	í ørviti, óklárur, sinnisrørdur;be delirioustosa í ørviti; vera ovfarakátur, vera frá sær sjálvum (t.d.with joyav gleði)
delirium	ørviti, ørska;delirium tremensbrennivínsørskapur;a delirium of joygleðirúsur
deliver	1bera (t.d.did you deliver the message to your father)2flýggja, útvega; handa (t.d.a fortress to the enemy)3(handilsm.)flýggja, útvega, avgreiða (t.d.when can you deliver the goods?); goods to be delivered in Mayvøra at flýggja (, avgreiða) í mai;delivered in Londonflýggjað (, avgreitt) í London;to be delivered within ten daysat flýggja innan fyri tíggju dagar4(um post) bera5(um fanga, neyðstaddan) frelsa, fría (t.d.from captivity),bjarga; deliverus from evilfrels okkum frá tí illa6(í sambandi við barnsburð) eiga, føða (t.d.she delivered her third child at home);skilja við barn, loysa við barni, taka ímóti barni hjá (t.d.the doctor has delivered many babies); be delivered of a childvera loyst við barni7(munnligt:) bera fram, flyta, haldadeliver a speech (, a course of lectures)8fara eftir vónum9roynast, hilnast (væl),halda sítt lyfti (t.d.he has delivered on all his promises; the government has failed to deliver (what it promised))10[íyms.samb. ] deliverablowsláa (t.d.the police said that it was the blow delivered(= given)toher head that killed her);deliverthegoodsSroynast, hilnast;deliverjudgmentfella dóm, siga dóm;judgment was promptly delivereddómur varð feldur beinanveg; deliveroneselfsiga sína hugsan; deliveroneself of an opinionsiga sína hugsan, greiða frá síni áskoðan;standand deliver ! (gl.) pengarnir ella lívið!
deliverable	sum kann (skal) útflýggjast/avhendast;deliverable on May 1at utflýggja 1. mai
deliverance	1bjarging, frelsa; barnsburður2ummæli, munnmæli
deliverer	1bjargingarmaður, frelsarmaður, frelsari2(um posto.tíl)útberari, -beri
delivery	1avhending2útflýggjan; avgreiðsla3innlating4(vøra) útbering5(postur) útbering (t.d.there is only one delivery a day),útbýting6(fangarosfr.)leyslating, frían, bjarging7(barns)burður8røða, tala, fyrilestur; (ísambv. pumpuosfr.)gevievni9(í ítrótt) blak, kast, spark10take delivery of (handilsm.)taka móti;cash on delivery (st. C O D)gjald við móttøku;the amount will be collected on deliveryavroknað verður tá ið vøran verður flýggjað
delivery boy	býdrongur
deliverydate	avgreiðsludagur
delivery limit	avgreiðslufreist
delivery note	fylgiseðil
delivery room	(lækn.)føðistova
delivery station	(bókasavn) útlán
delivery time	avgreiðslutíð
delivery van	vøruvognur
dell	deld, lítil dalur, lág
delouse	avlúsa
Delphic	delfiskur; torskiltur, tvískiltur
delphinium	(plfr.)riddaraspori(Delphinium)
delta	greinutur áarósi, ósoyri, ósoyra, ósahólmur
delta lagoon	óshylur
deltate	(plfr.)javnsíðutríhyrntur
deltoid	(plfr.)pyramiduskapaður
delude	svíkja, føra av leið, villa;delude oneselflúgva fyri sær sjálvum
deluge1	1vatnflóð; floymur; syndaflóð;the DelugeFlóðin mikla (recorded in Genesis 6–8:the world appeared to be emerging still from the waters of the Deluge)2grimdarregn, stoytingur, áarføri, glopraregn (t.d.a deluge of rain hit the plains)3floymur (t.d.a deluge of complaints)
deluge2	1fløða oman yvir, floyma yvir2ovbyrja; díkja undir (t.d.he has been deluged with offers of work)
delusion	hvørvisjón, villleiðing, sjálvssvik, gykl, villingarsjón; ranghugsan;be under the delusion that (eis.)hava ta skeivu fatan at
delusional	1skilaleysur, ranghugsandi, ørvitishugsandi (t.d.he was hospitalized for schizophrenia and delusional paranoia)2skilaleysur (t.d.their delusional belief in the project's merits never wavered)
delusive	1villandi, gyklandi (t.d.delusivebeliefs),óveruligur, falskur (t.d.delusive promises of high-paying jobs)2snópisligur
de luxe	skreyt- (t.d.edition);marglætis-
delve	kanna, granska, rannsaka;(gl.)grava; delveinto (eis.)gloyma seg burtur í, kava niður í, kanna nágreiniliga (t.d.a problem)
demagnetization	avsiglan, avmagnetisering
demagnetize	avsigla, avmagnetisera
demagogue	fólkavillari, fjøldarvillari
demagogy	fólkavilling, fjøldarvilling
demand1	krevja (t.d.demand payment from him; demand obedience; this work demands great patience);biðja um (t.d.a policeman demanded his name and address ...; demand a clear answer from him),spyrja eftir; krevja at síggja (t.d.the crowd demanded the film star)
demand2	1krav,meet a demandnøkta ein tørv;make demands onseta (einum) krøv;he has many demands on his pursehann hevur stórar útreiðslur; krevjing;this cheque is payable on demandhesin kekkur verður goldin tá tað verður kravt; umsókn2(serst. handilsm)eftirspurningur;it is in great demandtað er nógv eftirspurt, tað er gravgangur eftir tí
demandanalysis	(handilsm.)tørvsgreining
demandbid	(kortsp.) spyrjimelding
demandbill,demanddraft	sýnisveksil
demanding	krevjandi, sum ringur er at hava við at gera (t.d.baby)
demandnote	uppkrav, kravsprógv; skattauppkrav
demandpull	(bú.)eftirspurningartrýst
demandtime	avgreiðslutíð
demarcate	1seta landamark2(fl.m.) avmarka skilliga/greidliga
demarcation	1avmarking, mark;line of demarcationmarknalinja;the demarcation of the maritime bordersjómark;thedemarcationof property linesognarmark2fakmark (á starvsplássi);ademarcationbetween science and pseudoscienceeitt mark millum vísindi og falsvísindi;demarcation disputesfakmarksósemjur
demean	demean oneselfbera seg at; óvirða, eyðmýkja (seg)
demeanour	framferð, atferð, atburður; hugburður
demented	1(lækn.)minnisveikur2svakur, ørur, vitleysur, galin, óður í høvdinum (t.d.she was demented with worry)
dementia	(lækn.)minnissvinn
demerit	1brek, lýti, skeivleiki2vansi, skuggasíða3(am. eis.)viðmerking; revsistig4merits and demeritsfyrimunir og vansar
demersal	(dý.)demersal fish botnfiskur
demesne	sjálvsogn; øki;hold in demesnehava í sjálvsogn;state demesneríkisogn
demi-	hálvur
demigod	hálvgudur
demijohn	sýruballón; stór kurvfløska
demilitarization	avvápnaður
demilitarize	avvápna
demi-monde	lættlivandi konufólk
demipension	(franskt)n hálvt kostarhaldel.vistarhald (á hotellio.tíl.)
demise1	1deyði, andlát,on his demisetá ið hann andaðist2avhending;demise of the crowntrónskifti
demise2	avhenda; avhenda við testamenti (t.d.demisean estate)
demisec	hálvturrur [um vín]
demisemiquaver	tríatiannanpartsnóti
demission	fráfaring, úrfaring (úr starvi)
demist	beina burtur døgg
demister	blásari (í bili)
demit	siga upp, fara úr starvi
demitasse	mokkakoppur
demiurge	heimsskapari
demo	1(tlm.)sýnisroynd, sýni; sýnisband2framsýning3mótmæli
demob	(tlm.) = demobilize
demobilization	heimsending
demobilize	senda heim, avtaka herlið
democracy	fólkaræði, fólkastýri, demokrati
democrat	fólkaræðismaður, demokratur
democratic(al)	fólkaræðisligur, demokratiskur
Democratic Republic of Congo	(landafr.) Demokratiska Lýðveldið Kongo; sí eis.Congolese1 og 2
democratize	gera fólkaræðisligan, demokratisera
demographer	fólkafrøðingur, lýðfrøðingur
demographic	lýðfrøðiligur, fólkafrøðiligur (t.d.problems)
demography	lýðfrøði, fólkafrøði
demoiselle	frøkun; demoisellecrane (dý.)lokkatrani(Anthropoides virgo)
demolish	rívael.brótael.skræða niður, taka niður (t.d.a house);oyðileggja, sora;(tlm.)gera enda á
demolition	niðurríving; oyðilegging, soran; herverk;demolition squad (herm.)spreingiherdeild
demon	illur andi, devul, fjandi, níðingur, púki; demondrinkbrennivínsfjandin;the demon of gamblingspælifjandin;a demon for workein knevil at arbeiða
demonetize	lækka gildi av gjaldoyra; taka gjaldoyra úr umferð
demoniac	devilskur, devulsettur, við illum anda (í sær); forgjørdur
demonic(al.)	sídemonic
demonize	devulsgera, níðingsgera, gera til níðing (t.d.the Nazis used racist propaganda in an attempt to demonize the Jews; the mayor demonizes anyone who disagrees with him)
demonology	devlatrúarfrøði
demonstrable	próvførur, ávísiligur
demonstrate	1prógva (t.d.that the earth is round),sanna, vísa á2sýna (fram), vísa (fram) (t.d.the working of the machine; a vacuum cleaner)3ganga kravgongu
demonstration	1próvførsla; ávísing (t.d.of arsenic in the body);prógv,ocular demonstrationsjónligt prógv; sannan2(fram)sýning (t.d.demonstration model);fráboðan3(almenn) kravgonga, skrúðgonga (t.d.a demonstration of workers)
demonstrative	1avgerandi2ágangandi, opin, opinberur, opinskáraður, ógvisligur3ávísandi;(máll.) demonstrative pronounávísingarfornavn
demonstrator	1sýnisfólk, (frálæru)hjálpari2mótmælari
demoralization	siðspilla
demoralize	siðspilla, spilla siðir; taka dirvi frá (hermonnum)
demos	fólk, fjøldin, almenningurin
Demosthenes	
demote	lækka í tign
demotic	almennur, almanna-
demotion	tignarlækkan
demount	taka sundur, taka av, skilja sundur, avmontera
demulcent	linnandi (evni)
demur1	ivasemi, at vera ivasamur, tvørrandi hugur, at vísa mótvilja, trekleiki, tvørleiki, mishugur; at góðtaka við ringum tannabiti (t.d.they accepted this ruling without demur)
demur2	mótmæla(to);ivast; drála, dvølja (t.d.normally she would have accepted the challenge, but she demurred)
demure	1uppgjørdur, óektaður2virðiligur, álvarsamur; svinnur, ansaligur, sáttligur, hóvligur; lítillátaður, stillførur
demurrage	(sigl.)yvirliggitíð; yvirliggitíðargjald
demurrer	(løgfr.)attala, mótmæli;put in a demurrermótmæla, tala at
demy	(pappírsstødd)
demystification	tað at greiða eitthvørt gátuført, tað at fáa skil á einumhvørjum gátuførum
demystify	greiða eitthvørt gátuført
