O.	(st.)1Officer2Order
officious	1ov mikið íðin í tænastu, átrokandi, naskur, óneyðuga beinasamur, ovurbeinasamur2stórlátaður, beiðin3(í diplomati) hálvalmennur, óformligur (t.d.officious talks)
offing	in the offingí umbúna, í hondumel.fyri durum;elections are in the offing (eis.)líkindi eru til, at val verður skjótt
offish	(tlm.;um fólk) stútutur, svinnur, óatkomandi, snubbutur. kvettin, undirstúrsin; sí eis.stand-offish
off-key	1(tónl.)falskur;sing off-keysyngja falskt2óhóskandi, ósømiligur, ólíkligur, sum ikki sømir seg;some of his remarks were off-keysumt av tí, hann segði, var ósømiligt
off-licence	vínhandilel.vertshús (sum hevur loyvi at selja rúsdrekka, sum fólk kunnu taka heim við sær)
off-limits	bannað øki; øki, sum er ikki loyvt at fara inn á
off-line	(teld.)avlinju-, leysalinju-; stýrdur óbeinleiðis
offload	1taka av (lastbili)2(fl.m.)sleppa av við3(handilsm.)sendael.bera út á marknaðin;offload on toskumpa yvir á (ein annan)
off payment	avsláttargjald
off-peak	tá ið lítið virksemi er, linligur, deydligur;off-peak trafficlinlig ferðsla;off-peak periodlinligt tíðarskeið, linlig løta;off-peak-peak flightsflogferðir, tá ið fá ferðafólk eru, lágferðslutíð
off-piste	ikki á skíðbreytini
off-price	1(am.)niðursettur, lækkaður2(am.)avsláttar-, lágprís-
offprint	serprent
off-putting	1ørkymlandi, órógvandi2nívandi3ódámligur, andstyggiligur, ræðandi
off-ramp	(am.)frákoyring
off-roader,off-road vehicle	lendisakfar, lendisbilur, uttanvegaakfar
off-road vehicle	lendisakfar, lendisbilur, uttanvegaakfar
off-sale	[vín- og brennivínssøla út úr húsinum]
offscape	(uml.)landslagsbakgrund
offscourings	1rusk2(fl.m.)útskotspakk, harki, harkalið, útskot (t.d.the offscourings of humanity)
off-screen1	(bara framman fyrin)sum ikki hendir framman fyri sv-skíggjan (t.d.an off-screen affair);í veruliga lívinum (t.d.they were off-screen lovers)
off-screen2	ikki á sv-skíggjanum; ikki í nánd av upptøkutólunum; í veruliga lívinum
off-season1	linlig árstíð, lágárstíð;many hotels close completely in the off-seasonmong gistingarhús lata aftur í linligu árstíðunum
off-season2	uttan fyri háárstíðina, í linligu árstíðini
offset1	1(plfr.)rótsproti, avleggjari2(av fjalli) rust, múli3(byggl.)útskot, syll4(handilsm.)mótkrav, mótrokning5(fl.m.)mótvekt6(í landmáling) avseting7(á pípu og røri) yvirbend8(prent.)offsett
offset2	1endurgjalda, endurbøta, javna, viga upp ímóti2(handilsm.)mótrokna3(prent.)kasta (um lit)
offset3	(prent.)offsett- (t.d.press)
offshoot	(plfr.)grein, rótarsproti, nál, sproti, síðugrein
offshore1	1undir landi, úr landi, út fyri strondini (t.d.islands)2(oljuv.)frálands- (t.d.offshore industryfrálandsvinna;offshore oil rigfrálandsboripallur;offshore activitiesfrálandsvinna;offshore drillingfrálandsboring;offshore installationhavstøð;offshore installations (flt)frálandsútbúnaður;offshore installation managerpallstjóri;(st.)OIM;offshore workfrálandsarbeiði3(um ætt, vind) avlands- (vindur), (vindur) út av landi, (vindur) innan av landi
offshore2	1frá landi, út fyri strondini2(um ætt, vind) út av landi, innan av landi3(am.)uttanlands, í útlondum
offshore wind farm	(eis.offshore windmill park) sjóvindmyllugarður, havvindmylnugarður
offshore windmill	sjóvindmylla, sjóvindmylna
off side	1(á bili) síðan nærri vegmiðjuni2(á rossavogni) høgra síða3(í krikket) [økið høgrumegin við mannin, ið stendur við stikið og vinstrumegin við kastaran]
offside1	(ítr.)rangstøða
offside2	(ítr.)rangstaddur
offside trap	(ítr.)rangstøðufella
offspring	1avkom, børn, eftirkomarar2(fl.m.)úrslit, framleiðsla
offstage	(sjónl.)uttan fyriel.handan leikpallin; í leiktjøldunum
off-the-cuff	ófyrireikaður (t.d.remark)
off-the-peg	liðugseymaður
off-the peg clothes	off-the peg clothes liðugseymað klæðir
off-the-record	óalmennur, sum má ikki verða endurgivin í fjølmiðlunum
off-the-shelf	1sum er goymsluvøra2sum kann nýtast beinanvegin, sum er klárt at brúka;off-the-shelf software (teld.)standardforrit
off-the-shoulder	akslaberur, við ongum stroppumel.boðingum (um kjóla)
off-the-wall	1(serst. am., tlm.)óvanligur, løgin, margháttligur (t.d.humour)2(serst. am., tlm., niðr.)vindandi ørur (í høvdinum), óður í høvdinum, púra ørurel.svakur, steinørur, steinsvakur, vitleysur,(óvand.)fratørur, pillørur, pillsvakur
off-white	gráhvítur, illhvítur
OFM	(st.)Order of Friars Minor (fransikanaramunkalagið)
OFS	(st.) (sø.)Orange Free State
oft1	(skaldsk.)ofta, tíðum, mangan;many a time and oftofta og tíðum
OFT2	(st.)Office of Fair Trading
often	ofta, tíðum, mangan;as often as I triedtað sama, hvussu ofta eg royndi;as often as notat kalla helmingin av tíðini (av ferðunum, royndunumo.tíl.); more often than notaloftast, í flestum førum;once too ofteneina ferð ov nógv
oftentimes	(gl.)ofta, tíðum, mangan, títt og ofta
ogee	profilur í S-sniði
ogival	(byggl.)oddbogaskapaður, spíssbogaskapaður, gotiskur
ogive	(byggl.)oddbogi, spíssbogi
ogle1	forelskað eygnabrá; gratt eygnabrá
ogle2	(vísa kynsligan hug) stara/gløða eftir (t.d.topless bathers);plia upp á ein, plia upp í eyguni á einum/einari, ikki fáa eyguni av einum/einari, kasta blíð eygu á ein/eina, gera seg upp
ogre	1(fólkatr.)risi, trøll, skrímsl, (sum etur børn) mannaátari2(skemt.,um fólk) illmenni, ómenni
ogreish	mannaetandi, øgiligur
ogress	gandakelling, risakona
OH1	(st.)Ohio (stakríki í USA)
oh2	1áh!, á!, o!2(kløkkur) nei, áh, á je!3(sum svar) nú so, so, ája, eg skilji4(tá ið ein kemur at hugsa um eitt) annars, fyri alt tað
Ohio	Ohio (stakríki í USA)
ohm	(ravm.)ohm
OHP	(st.)overhead projector
oik	1(st.) one income and kids2Sproletárur, mentanarloysingur, ómentað og óvandalig fólk
oikish	ómentaður
oil1	1olja (sí eis.oils)2[íyms. samb.]strike oil1bera við olju, finna olju2(fl.m.) vera heppin; gera kvett; gerast/verða/blíva knappliga ríkur;pour oil on the flamesgera ilt verri, birta uppundir;pour oil on troubled waterssissa fólk
oil2	1smyrja, smyrja við olju (t.d.hinges)2(gólvo.tíl.)viðgera við olju, impregnera við olju3[íyms. samb.]oil the wheels (fl.m.)fáa glið á;oil sby’s palmmutra, geva mutur;oil one’s tongue(el.words)tala fleimandi, lifra, kákla, vera smikursøtur
oil and gas industry	oljuídnaður; eis.oil industry; petroleum industry
oil barrel	oljutunna
oil-based	oljugrundaður, (tlm.) oljubaseraður
oil bath	oljubað
oil-bearing stratum	oljulind
oilbird	(dý. am.)oljufuglur(steatornis caripensis)
oil burner	oljukynding, oljufýrur
oil-burning	oljukyndur, oljufýrdur (t.d.boiler); oil-burning trawlertrolari við oljukynding, oljukyndur trolari
oilcake	(landb.)oljukaka, oljukøka
oil can	1smyrjikanna, oljukanna2oljudunkur
oil cargo	oljufarmur
oilcloth	voksdúkur
oil coat	oljufrakki
oil colour	oljulitur;paint in oil(s)mála við oljulitum
oil concession	oljuboringarloyvi
oil cooker	petroleumstól, petroleumsapparat
oil-cooled	oljukøldur
oil cooler	oljukølari
oil crayon	oljulitkrit
oil cup	oljuhúsi
oil depot	oljugoymsla
oil derivative	(oljuv.)oljuavleiðsla
oil discovery	oljufundur
oil drain	(tøkn.)oljuavlating
oil drain plug	oljuavlatingarproppur
oil drilling	oljuboring
oil-driven	oljurikin
oil drum	oljufat, oljutunna
oil duct	(frá oljukeldu) oljuleiðing
oiled	1oljusmurdur, smurdur2(tlm.)fullur
oil embargo	oljustongsil
oil emulsion	(oljuv.)oljuútmylking
oil engine	oljumotorur, dieselmotorur
oiler	1smyrjari2smyrjikanna3(sigl.)tangaskip, oljutangaskip4(am.)oljukelda5-s flt (am. tlm.)oljuklæði
oilfield,oil field	oljuleið, oljuøki
oil filler	(pipe) (tøkn.)oljuáfyllingarrør
oil film	oljuhinna
oil filter	oljufiltur
oil finds	oljufundur, oljufundir
oil-fired	oljukyndur, oljufýrdur (t.d.kiln)
oil-fired central heating	miðstovukynding, sentralvarmi
oil-firing	oljukynding, oljufýring
oil furnace	oljuovnur
oil gas	oljugass
oil gasification	(oljuv.)oljugassgerð
oil gauge	oljustøðivísi, oljumálari (tól)
oil-harden	oljuherða
oil hardening	oljuherðing
oil-heated	oljukyndur, oljufýrdur (t.d.oil-heated houses)
oil heater	oljukynding, oljufýring
oil heating	oljukynding, oljufýring
oil industry	oljuídnaður; eis.oil and gas industry, petroelum industry
oiliness	1oljuhavni; at eitt er oljukleiggjut2(flm.) sleiskni
oil installation	oljuútbúnaður
oil lamp	(gl.)oljulampa, (ofta) petroleumslampa
oil landing installation	(oljuv.)oljumóttøkustøð
oil leak	oljuleki
oil level	oljustøða
oil level indicator	oljustøðivísi
oil line	(frá oljukeldu) oljuleiðing
oillionaire	(kanadiskt óforml.) oljumillióningur
oil-making	oljuframleiðsla
oilman	1maður ið selur olju2(sigl.) smyrjari3the oilmen(eis.) menninir/fólkini í oljuvinnuni
oil market	oljumarknaður
oil meal	oljumjøl
oil mill	oljuvirki, oljumylna
oilof bay	lavrberjaolja, lavrberjafeitt
oilof cognac	drúvuolja
oil packing	oljupakking, oljupakningur
oil paint	oljulitur, oljumáling
oil painting	oljumálningur(GG:a portrait in oils)
oil palm	(plfr.)oljupálmi(Elaeis guineensis)
oil pan	(í bili) botnkar, oljupanna; sísump2
oilpaper	oljupappír
oil particle	(oljuv.)oljubitil
oil pipe	oljurør
oil pipeline	(frá oljukeldu) oljuleiðing
oil-polluted	oljudálkaður, oljutur;oil-polluted birdsoljudálkaður fuglur
oil pollution	oljudálking;anti oil-pollution driveátak móti oljudálking;anti oil-pollution regulationsásetingar um forðing fyri oljudálking
oil pressure	oljutrýst
oil pressure gauge	oljutrýstmálari
oil prices	oljuprísur
oil producer	oljuframleiðari
oil production	oljuframleiðsla
oil project	oljuverkætlan
oil pump	oljupumpa
oil reclamation	(oljuv.)oljuendurvinning
oil recovery firm	oljureinsivirki, oljureinsiverk
oil refinery	oljureinsiverk
oil reserves	oljutilfeingi
oil residue	(oljuv.)oljuleivd
oil rig	boripallur, oljuboripallur, oljuboritorn
oils	1oljusløg2(at mála við) oljulitir3(búni) oljuklæðir4[íyms. samb.]paint in oilsmála við oljumáling;painting in oilsoljumálningur
oil seal	oljupakking, oljupakningur, oljutetting
oilseed	(plfr.)oljufræ, oljuhavið fræ
oilseed rape	(plfr.)repja(Brassica napus ssp. napus)
oil separator	oljuúrskiljari
oil shale	oljufløgugrót
oil sheik el.oil sheikh	oljusjeikur
oil shortage	oljuneyð, oljutrot
oil silk	oljusilki
oilskin	oljuklæði, bráðklæði(t.e.impregnerað klædnatilfar); (t.d.a fisherman's outfit of yellow oilskin)
oilskin apron	oljusvinta
oilskins	oljuklæðir;(clad) in oilskinsoljuklæddur;the skipper was in oilskinsskiparin var oljuklæddur
oilskin trousers	oljubuksur(flt)
oil slick	(á sjógvi) oljublettur, oljulygna
oil slip	oljuleki
oil sludge	oljuevja
oil spill	oljuleki
oil spring	oljukelda
oil stain	oljublettur
oil stock	oljugoymsla
oilstone	(brýni) oljusteinur
oilstove	petroleumsovnur
oil strike	oljufundur
oil tank	oljutangi
oil tanker	oljutangaskip
oil tanks	oljubing, oljugoymsla
oil tanning	oljugarving, oljubarking, lýsigarving
oil-temper	oljuherða
oil tempering	oljuherðing
oil terminal	oljuhavn, oljumiðstøð
oil tin	oljudunkur;(am.)oil can
oil trap	(jarðfr., oljuv.) oljufella
oil treatment	oljupakking,(tlm.)oljupakningur
oil trough	(tøkn.)oljubakki
oil varnish	oljulakk, oljufernis
oil war	oljukríggj
oil well	oljubrunnur, oljukelda
oily	1oljutur, oljukendur, oljuhavin, olju-, hálur sum olja, hálur av olju, oljudálkaður2(fl.m.)sleiskur, smikursøtur; sálvumikil
oily bilge water	(sigl.)oljudálkað soguvatn
oily water separator	sjógv-/vatnreinsari
oink1	(tlm.)rín, rínan (um grís)
oink2	(tlm.)rína (um grís)
OINK3	(st.)one income no kids
ointment	salva (sí eis.fly3)
oi!oi!	hoy!, hey!
OK1	góðkenning;get//give the OKfáa//geva grønt ljós (fyri einum)
OK2	góðkenna (t.d.that has been -ed)
OK3	í lagi (t.d.is it OK if I bring a friend?); be OKstanda væl til, liva væl, einum veit væl við;it’s OK by/with meeg havi einki ímóti tí
OK4	nóg væl, har einki at fýlast at (t.d.she managed OK)
OK5	(alt) í lagi, ókey
okapi	(dý.)okapi(Okapia johnstoni)
okay	síOK
okey-doke	síOK5
Okie	(am.)flakkandi bønarmaður úr Oklahoma
Okla.	(st.)Oklahoma (stakríki í USA)
old	1gamal;old as the hillsfyrndargamal2(fl.m.)royndur, listilærdur, snúin, snildur, vandur3(málfr.)forn- (t.d.Old English, Old High German)4[íyms. samb.]give me any old bookgev mær bara onkra bók;have a rare old timestuttleika sær óført;(as) old as the hillsavgamal /agg-/; fyrndargamal, ergamal, deyðgamal, eldgamal, elligamal;good old Peternú Petur, hasin rádni;(tlm.) my old womankona mín;ofold, in times of old, in days of oldí gomlum døgum, í forðum, í fyrndini, fyrr, fyrr í tíðini;from of oldfrá gamlari tíð
old age	elliár, elli
old-age pension	(samsvarar við) fólkapensión; eis.national pension
old-age pensioner	(samsvarar við) fólkapensiónistur
old as the hills	elligamal, avgamal, (sj.) eldgamal
old bachelor	gamal drongur
Old Bailey	the Old Bailey (revsirættardómstólur í London)
old bat	(tlm.)kelling, gívur, skrinda; brita, illkvendi, illbikkja, kvendi; skersa
old boy	1gamal næmingur2gamal stavnur3(í tiltalu) gamli, rádni
Old Boys' network	vina- og kenningaband [samanhald millum gamlar næmingar, sum gingu á 'fínum' dreingjakostskúlum, sum nú hava høgt starv, sum hjálpa hvør øðrum til gott starv]
old buffer	løgin gamal stavnur, gamal serskøltur
old car dump	bilakirkjugarður
old-clothes man	maður, ið selur gomul pløgg
old crock	1gamal stavnur, gamal serskøltur2gamalt lasafar
Old Dominion	eyknevni fyriVirginia(stakríki í USA)
olden	(gl.)in olden days í gomlum døgum, í forðum, í fyrndini, fyrr, fyrr í tíðini, áður
Old English	1(málfr.)fornenskt (mál)2(prent.)gamalt enskt-gotiskt skriftsnið/skriftslag
old-established	gamal, vunninel.fingin við hevd
olde worlde	gjørdur/smíðaður í óektaðum gomlum sniði
old face	(prent.)eitt skriftsnið
old-fashioned1	1(am.)[kokkteylurel.cocktail við whisky og beiskum løgi]2[slag av breiðum kokkteylglasi]
old-fashioned2	1ótíðarhóskandi, gamal, fornligur, gamalsligur; vera av tí gamla slagnum, afturhaldandi2(um barn) ráðisligur, ráðuligur3[íyms. samb.]an old-fashioned lookstrangt//atfinningarsamt//mistrúgvið eygnakast
old flame	(tlm., um gentu) (tlm.)gomul flamma
old fogey,old fogy	gamal stavnur
old-fogyish	íhaldandi, afturhaldandi(serst.politiskt)
old girl	1gamal næmingur2gamalt konufólk
Old Glory	(am.)amerikanska stjørnuflaggið
old hand	royndur maður; maður, ið er royndur í leikum; listilærdur maður
old hat	that is old hathatta er gamalsligt/avoldað/avelt/avgamalt/fornligt/tugt og tanlað
oldie	1(tlm.)gamalt kent lag, slagari2gamal filmur3tilkomið fólk
oldish	aldraður, væl við aldur
old lady	(tlm.)my old old lady1konan, kona mín2mamma, mamma mín
old lag	vanabrotsmaður, fólk, ið fær afturstig og aftur ger lógarbrot(t.d.ein, sum eftir at hava sitið í fongsli aftur ger brotsverk)
old-line	1(am.)rótfastur, grundfestur2afturhaldandi, afturhalds-, gamalsligur
Old Line State	Maryland(stakríki í USA)
old maid	1(gl., niðr.)gomul genta, piparmoyggj2snerkja, krymput konufólk3(kortsp.)gomul jomfrú
old-maidish	piparslig, krymput, sum ger seg góða
old man	(í tiltalu,tlm.)hin rádni, gamli;my old man1(um pápan) gamli2(um mannin) gamli (hjá mær);the old manstjórin;old man Smithgamli Smith
old master	gamal meistari (ein av gomlu gitnu málarunum)
Old Nick	fjandin, djevulin, devulin, fanin, illimaður, hin versti, hin grábeinti, tramin
Old Norse	(málfr.)fornnorrønt (mál)
old people’s home	ellis- og røktarheim
old rose	gamalrosa
old salt	gamal sjógarpur, gamal sjómaður
old school tie	skúlaslips [fl.m.sum ímynd um tann hugburð og tað samanhald, sum fólk halda, bindur teir gomlu næmingar saman;t.e.næmingar sum nú hava høg størv, og sum gingu á kendumpublic schools]
old soldier	1gamal hermaður2(fl.m.)listilærdur maður;(tlm.) come the old soldier overat látast vita betur3tóm fløska4sigarstubbi
Old Sparky	(am.S)[elektriski stólurin]
oldsquaw	(dý.)ógvella, óerla(Clangula hyemalis)
old stager	fólk við serroyndum
oldster	(tlm.)gamalmenni
Old Style1	eftir gamla kalendaranum, eftir julianska kalendaranum;(am.) old face
old style2	gamal, fornligur, gamalsligur; sum er av tí gamla slagnum, afturhaldandi;an old-style Conservative politicianíhaldspolitikari av tí gamla slagnum
old sweat	(serst.)royndur hermaður
old-time	gamalsligur, gamal
old-timer	1ein ið er gamal í garði, roynt fólk2(am.)gamalmenni
old wives’ tales	daddusøgur
old woman	1(um mannfólk) gomul kelling, smámunamaður; pjak, putl, putlari2[íyms. samb.]my old woman1mamma, mamma mín2konan, kona mín
old-womanish	(um mannfólk) putlutur, sum ein gomul kona
old-world	1frá gamlari tíð, gamal2gamalt og hugfarsligt3av tí gamla slagnum4sum hoyrir til tann gamla heimin(t.e.Evropa)
Old World	the Old Worldgamli heimurin (Evropa, Asia og Afrika mótsettthe New Worldnýggja heiminum Norður-, Mið- og Suðuramerika)
oleaginous	1oljukendur, oljuhavin2(fl.m.)sálvumikil
oleander	(plfr.)neria(Nerium oleander)
oleaster	(plfr.)silvurblað(Elaeagnus)
oleic	(evnafr.)oleic acid oljusýra
oleiferous	oljukendur, oljuhavin
oleograph	oljutrýst
olfaction	1tevsansur2tað at tevja/lukta
olfactory	tev- (t.d.olfactory organ)
olfactory cell	(likam.) tevkykna
olfactory hair	tevhár
olfactory nerv	(likam.) tevnerv
olfactoryorgan	(likam.) tevgagn
olfactory sensation	tevkensla
olfactory sense	tevsansur
oligarchy	1fámannaveldi2ráðandi fámannastættin3fámannaveldisland
Oligocene	(jarðfr.) the Oligocene Eraoligosenøld, oligosentíð
oligopoly	(handilsm.)fámennismarknaður
oligotrophic	(plfr.)føðslulítil
olio	1lapskós, vavgreytur, vavstur2(fl.m.)skurvblandingur; vavgreytur
olivaceous	gulgrønur, oljuberjalittur
olive1	1(plfr.)oljuberjatræ, oljuberjaviður; oljuber2gulgrønur litur, oljuberjalitur
olive2	olju-, oljuberja-, oljuberjalittur, gulgrønur
olive-backed pipit	(dý.)inditítlingur(Anthus hodgsoni)
olive branch	1oljugrein2(fl.m.,friðarímynd) oljugrein;hold out the olive branchrætta fram oljugreinina
olive drab	(am.)[brúngrønur litur, oljuberjalitur, brúngrønt ullarevniserst.nýtt til hermannabúnar]
Oliver	Olivur
olive tree	(bíbl.)oljuviður, oljutræ
Olivia	Olivia
Olivier	Olivur
olivine	(jarðfr.)olivin
olivine basalt	(jarðfr.) olivine basalt
olm	(dý.)hellispadda, holupadda(Proteus anguinus)
ologies	(skemt.)the ologiesvísindini, tey høgu vísindini
Olympia	Olympia (býur í Grikkalandi)
Olympiad	olympiuleikir(flt)
Olympian	olympiskur(viðv.høvuð- og kropsburði);maintain an air of Olympian detatchmenthava eitt olympiskt yvirbragd, ikki lata við seg koma
Olympic	olympiskur
Olympic Games	the Olympic Games olympiuleikir(flt),olympisku leikirnir
Olympics	olympiuleikir
Olympus	1fjall í Grikkalandi2(gudal.)bústaður olympisku gudanna (í Grikkalandi í fornøld)
OM	(st.)Order of Merit (t.d.be awarded the OM; Henry Moore OM)
Omaha	Omaha (amerikanskur býur)
Oman	(landafr.) Oman Oman (land við Landsynningsstrondina á arabisku hálvoynnini)
Omani1	omani, omanari, omanbúgvi
Omani2	omanskur
omasum	(likam.)rukkulakki
ombre	(kortsp.)lumbur, l’hombre
ombrogenic mire	(plfr.)regnmýri, regnmýra
ombrotrophic	(plfr.)støðu-
ombudsman	umboðsmaður (kærustovnur= parliamentary commissioner)
omega	omega (síðsti bókstavurin í grikska stavraðnum)
omelet	síomelette
omelette	eggjakaka, eggjakøka, sí eis.savoury omelette, sweet omelette
omen	fyriboðan, ávaring, boð, fyrivarningur;be of good omensum boðar frá góðum;bird of ill omenófrættafuglur
omentum	(likam.)netja
OMG	(st.) Oh My God
ominous	hóttandi, ræðandi, ófrættakendur, ófjálgur, óunniligur, ófrættadapur, sum boðar frá illum, sum veit ilt í
omissible	sum kann leggjast burturúrel.leypast um
omission	1burturúrløga2vanrøkt, misrøkt;sin of omissionikki hava gjørt tað, ein eigur at gera3(løgfr.)óvirkni;offence consisting in an omissionóvirknisbrotsverk
omit	1(um gerð) lata vera við (t.d.omit doing/to do);misrøkja, vanrøkja, vanrøkta, órøkja, vansketta2leggja burturúr (t.d.this scene);leypa um (t.d.the details)3[íyms. samb.]be -ted fromikki sleppa við á (t.d.the list; the team)
omnibus1	1ritsavn (tíðum fleiri verk eftir sama rithøvund í einum bindi)2(útv., sjónv.)heildarsending3(gl.)bussur
omnibus2	sum fatar um fleiri lutir; í einum, heildar-(t.d.heildarútgáva í einum bindi)
omnibus bill	(am., sø.)tyssi av lógaruppskotum
omnibus book	ritsavn í einum bindi; síomnibus
omnibus box	stór losja (í leikhúsi)
omnibus clause	aðaltreyt
omnibus edition	eittbindsútgáva
omnibus review	ritsavnsummæli
omnibus volume	síomnibusvolume book
omnibus wire	høvuðsleiðing, høvuðsleidningur
omnicompetent	(løgfr.) gegnigur, skikkaður (í øllum málum)
omnifarious	av øllum sløgum, breiður (t.d.flokkur), alskyns (t.d.learning; the views of passengers travelling on the Clapham omnibus these days are omnifarious)
omnipotence	alvald, almáttur (t.d.God's omnipotence)
omnipotent	almáttugur, alvaldur, alvaldandi;an omnipotent deityalmáttugur guddómur
omnipresence	nærvera allastaðni á jørðini, at eitt er allastaðni; (t.d.the omnipresence of the Internet in society today; how does God's unversal action prove His omnipresence)
omnipresent	altíð hjástaddur, sum er allastaðni
omniscience	alvit (t.d.the notion of divine omniscience)
omniscient	alvísur, alvitandi, alvitur
omnium gatherum	(skemt.)fundur har fólk av allahanda slag eru komin saman
omnivorous	altátin; sum etur alt, sum fyri kjaftin rekur
omophagy	[tað at eta ósodnaðan (ikki kókaðan) mat,serst.kjøt]
ON1	(st.)Old Norse fornnorrønt (mál)
on2	1á (t.d.keep one’s hat on)2skula okkurt, vera leysur (t.d.have you anything on tonight?)3halda fram, halda á (t.d.go on, read on)4(um kontakt) tendraður; (um vatnkrana) opin5[íyms. samb.]onandoffav og á, stundum, viðhvørt;on and onaftur og aftur, støðugur, áhaldandi, sum er í heilum, sum ikki slitnar sundur, sum ikki helmar í, alsamur, uttan íhald, uttan steðg/slit;he played on and onhann bleiv við at spæla;fromthat day onfrá tí degi;wellon inthe daydagurin er langt útliðin6[ísamb. viðbe]be on 1(um ljóso. tíl.)tendraður (t.d.the light is on; the radio is on);vera fráskrúvaður, vera opin, kranin rennur (t.d.the tap is on);(um tól) vera settur til2(um maskinu) vera í gongd3(um gerð) fara fram, fyrifarast (t.d.battle is onstríðið er byrjað)4(um film, leik) vera á skránni, vera spældurel.sýndur5(um sjónleikara) vera á palli6(sjónv. o. tíl.)verða sendur, verða vístur7(í skúla) verða yvirhoyrdur, vera uppi (verða próvhoyrdur);the light is on (smb. 1); the tap is on (smb. 1); there is a good film ongóður filmur gongur;Hamlet is onHamlet verður spældur;breakfast is on from 8 to 10morgunmaturin stendur á borðinum frá 8 til 10;the case was on (løgfr.)málið var fyri í rættinum;it isnot on(tlm.)1tað kemur ikki upp á tal, tað er ikki hugsingur/talingur um, tað hendir seg ikki2tað hevur ongan áhuga í løtuni;be on aboutmøsna/roksa um, mala um tað sama;be on athim (tlm.)vera á kroppinum á honum(tofyri at fáa hann at, t.d.buy a new car); be on to (tlm.)1vera í sambandi við (t.d.I have been on to the head office about the matter)2fáa frænir av (t.d.their secret hideout); I am on to him (tlm.)eg veit væl, hvat hann ætlarel.hvat hann hevur í kvittanum/hyggju at gera
on3	1(um støðu) á (t.d.on the shelf; on the wall; on the ceiling; a blow on the head),í (t.d.sit on the grass);(við eitt mark) við (t.d.a house on the river; a town on the border//on the sea)2(um leið, stevnu, kós) móti; norðanfyrio.tíl.(t.d.march on the town; bounded on the north by a river; he drew the knife on me);til, -megin við(t.d.høgrumegin) (t.d.on my righthøgrumegin við meg)3(um tíð) tá ið (t.d.on her arrival; on her father’s death);(beint) eftir; um (t.d.on the afternoon//morning of May 15; on Fridaysum fríggjadagin, fríggjadagar); (dagstevndur daguro.tíl.verður ikki týtt) (t.d.on September 9; on a hot afternoon//evening);(síeis. nðf.: on Friday)4(um samferðslutól, fjølmiðlar, telefon) í (t.d.on the train//bus//plane; on radio//TV//the phone)5(um endamál, ætlan) í (t.d.send her on an errandsenda hana eini ørindi;she is here on businesshon er her í handilsørindum)6(um støði) á (t.d.based on);eftir (t.d.act on his advice//ordergera eftir hansara ráðum//boðum;modelled onskapaðel.evnað eftir); við støði í, sum byggir á (t.d.on this theory; on this principle)7(evni) um (t.d.a book on a subject; talk//write on)8(um limaskap í nevnd) í (t.d.he sits on the committee; she is on the town council//the board);(sí eis,nðf.: be/sit on…)9(við samanbering) sammett við, samanborið við, í mun til, aftur ímóti (t.d.sales were 4 per cent up on last year; this is an improvement on your earlier attempt)10(tlm.um tann, ið stendur fyri skotum) rýma frá, sleppa upp á fjall (t.d.walk out on him);geva einum durafjórðingin (t.d.shut the door on him)11(um tann, ið rindar) skriva upp á (t.d.it is on the firm);(síeis. nðf.: this is on me)12[íyms. samb.]this is on meeg skal gjalda tað; eg bjóði hesaferð;(tlm.)hetta er mín umgangur; (um tíð;smb. 3) on Friday1(um tað, ið er farið) fríggjadagin(t.d.hon kom fríggjadagin)2(um tað, ið kemur) fríggjadagin(t.d.hon kemur fríggjadagin)3(um endurtøku) fríggjadagar;on Friday nextfríggjadagin;on Friday lastfríggjadagin; (um limaskap;smb. 8) be /sit on a committee//the town council (eis.)vera nevndarlimur í//vera býráðslimur;be on (the staff of) a paperstarvast á einum blaði
on-again,off-again	sum kemur og fer títt og stutt (t.d.headaches; love affairs)
onager	(dý.)villasni(Equus hemmionus)
on aggregate	(ítr.)samanlagt
on camera	meðan upptøkan fer fram
on-carrier	(sigl.)[ein ið tekur ímóti farmi og flyturel.sendir hann víðari]
once1	the once eina einastu ferð;she’s only done it the once so don’t be too angryhon hevur bara gjørt tað ta einu ferðina, so ver ikki ov illur
once2	1eina ferð, einusinni (t.d.she did it only once)2(um tíð) einaferð (t.d.he lived in England once)3[íyms. samb.]once a day/week//yeareina ferð um dagin//um vikuna//um árið;once again, once moreeina ferð afturat, enn eina ferð;once and againav og á, stundum;once for alleina ferð med alla;not onceongantíð, aldri;once or twiceeinar tvær ferðir;this oncehesa eini ferðina4[ísamb. viðfs]atonce1beinanvegin, straks, í stundini (t.d.come here at once!)2(alt) í einum, alt í senn (t.d.you can’t do two things at oncetú kanst ikki gera tvey ting samstundis);he is at once stupid and impudenthann er bæði býttur og frekur;all at oncealt í einum, brádliga, knappliga, snøggliga; í senn;once bitten twice shybrent barn ræðist eld;foroncebara eina(el.hesa) ferð, eina hendingaferð;for this oncebara hesa ferð;onceina way(el.while)av og á
once3	fyrst ið, so títt og knapt sum, bara, um bara (t.d.once you hesitate you are lost); once you learn the rules, it’s easy to playtá ið tú dugir reglurnar, er spælið einki fyri;how would we cope once the money had gone?hvussu høvdu vit klárað okkum, tá ið pengarnir vóru uppi?
once-for-all levy	(bú.) einsinnisskattur
once-onlyoffer	einsinnistilboð
