a’	(skotskt.) =all(t.d.for a’ that)
actable	sum kann framførast ella leikast; lættur at leika (t.d.part)
ACTH	(st.)Adrenocorticotropic Hormone
acting1	1leiklist,choose acting as a careervelja sær leiklist sum lívsstarv; spæl (t.d.his acting was excellent); (fl.m.) it was only a piece of actingtað var alt (tað bera) spæl2acting copyleikhandrit
acting2	settur, (t.d.acting manager, acting headmaster)
acting version	endalig útgáva
actinic	aktinskur(t.e.evnafrøðiliga virkin)
action	1gerð, verk (t.d.a man of action; you should judge a man by his actions not his talk),starv, virki2ávirkan, árin3mekanisma4(tøkn.)starvsháttur5(løgfr.)rættarmál, sakarmál (t.d.the action came to trial before the Lord Chief Justice)6(herm.)samanbrestur, bardagi (t.d.bring[tvinga]the enemy to action)7(industrial action)verkfall;bring an actionagainstlógsøkja, leggja sak ímóti;bringintoactiontaka í nýtslu;go into actionfara í gongd; fara til verka;a pieceofthe actiontað at fáa part av ráninum;radiusofactionvirkisøki;putout ofactiongera óvirknan (t.d.the ship was put out of action);takeaction fara til verka,the action taken by Congressavgerð hjá kongressuni;take joint action togera felags átak til at
actionable	sum kann gerast til sakarmál, sum kann ábyrgjast sambært lóg (t.d.such conduct is actionable)
actionagency	(herm.)málsviðgeri
action game	(teld.)kappaspæl
action-orientated	(eis.)(practical and) hands-onvirkislagaður;action-orientated education/hands-on educationvirkislagað frálæra
action proces	(løgfr.)lógsókn
action stations	(sigl.)bardagabúgvin (t.d.Copland ordered action stations atmidnight);(tlm.)allir til reiðar!
activate	1gera virknan, fáa at virka,seta í gongd2(teld.)virkja3(al.)gera (geisla)virknan4activated carbonvirkið kol
activation	(geisla)virkni
active	1virkin (t.d.member; vocabulary),virksamur, aktivur2lívligur, sprækin, bragdligur, fimur, á fjórum (t.d.he is old but still active)3(al.)(geisla)virkin4on the active listtænastutilbúgvin;active servicefronttænasta, tænasta á hermótinum;active tuberculosisvirkin bróstsjúka, opnir tuberklar;the active voice (máll.)gerðsøgn, aktiv
active-minded	andaliga virkin
active pharmaceutical ingredient	(lækn.)virkisevni
active-window	(teld.)virkin gluggi
activism	atgerðarstevna (har roynt verður at fremja politisk stevnumið við beinleiðis atgerðum)
activist	stuðul, stuðulsfólk, aktivistur
activity	1virksemi, starvsemi, virkni2activities fltvirksemi, ítriv (t.d.athletic games, dramatics and other leisure-time activities);virkisøki (t.d.that does not come within my activities)3tiltøk
activity possibilities	virknismøguleikar
act of terrorism	yvirgangsverk
actor	1virkandi partur, virkispartur (t.d.employers are key actors within industrial relations;Benjamin Franklin was a major actor in many of the events leading up to the founding of our nation;politicalactors)1sjónleikari (t.d.my sister went to drama school to become an actor)2(of crime)gerningsmaður
actorish	uppgjørdur (t.d.a stagy, actorish voice)
actress	sjónleikarakvinna
Acts (of theApostles)	(bíbl.)Apostlasøgan
actual	1veruligur (t.d.in actual lifeí veruliga lívinum;the actual cost; actual events; their actual intentions; the actual loss was less serious than the moral damage)2sannur (t.d.actual atomic weight; (handilsm.) actual value)3beinleiðis; núverandi (t.d.the actual position of affairs)4núligur5in actual factí roynd og veru
actual cost	veruligur kostnaður (fyri arbeiðið, tí tað var tvørligari enn væntaðo.s.fr.); sístandard cost
actuality	1veruleiki (t.d.in actuality it is merely a fraudí roynd og veru ...)2actualities fltveruleiki (t.d.the actualities of the case),roynd; sannroynd, staðroynd; actualityprogrammedokumentarisk sending, frásøgn við tátti úr gerandisdegnum; (íútv.)hoyrispæl
actualize	gera veruligt, gera viðkomandi, kalla fram, draga fram, aktualisera
actually	1veruliga (t.d.he actually won the race),í veruleikanum, í roynd og veru (t.d.he is actually a fool); (eis.)beinleiðis (t.d.I could actually feel the tension; he did not actually threaten me)2jú mín sann (t.d.he actually paid me for it!)3nú, í løtuni (t.d.the party actually in power)
actuary	tryggingarfrøðingur, aktuarur
actuate	1(tøkn.)seta í gongd, ávirka, dríva; (um minur) bresta2(fl.m)elva, eggja (t.d.actuated by strange motives),stuðla
acuity	1gløggleiki2sansagløggleiki
aculeate	(dý.)við broddi (t.d.aculeate insects)
acumen	gløggleiki, gløggskygni, skil, vit, dugnaskapur
acuminate1	spíska, hvessa
acuminate2	spískur, hvassur;(plfr.)oddspískur
acupuncture1	akupunktur
acupuncture2	nýta akupunktur
acupuncturist	akupunktørur
acutance	(lmynd. uml.)egghvassleiki
acute	1spískuracute anglespískur vinkul, spískt horn2fínur, skarpur, hvassur; gløggur (t.d.an acute critic; thinker; observer)3ógvisligur, sterkur; inniligur, djúpur (t.d.pleasure)4(plfr.)spískur;acute accentbroddur [merki yvir stavi til at sýna ljóðstyrki ella áherðslu,t.d.é]
acuteaccent	(t.d.é) frambroddur
acute need	bráðtørvur
ad	(st.)advertisement
AD	1eftir Kristi føðing, e. Kr., í tí Harrans ári2Air Defenceloftverja
adage	orð(a)tak, talumáti
adagio	(tónl.)spakuliga, adagio
Adam	Adam;I don’t know him from Adameg kenni hvørki slag ella slekt
adamant	be adamantvera óbendiligur, støðufastur, óvikandi (t.d.he is adamant that he is not going to resign)
adamantine	diamantharður, óbendiligur;eis. flm.(t.d.her adamantine will)
Adam’sale	kranavatn
Adam’sapple	barkakýli
adapt	1gera til, laga(toeftir); (t.d.the form to the content; one’s life to the altered circumstances)2broyta(fortil), laga til, evna til(fromburturúr) (t.d.a play adapted from the French; adapt a novel for the stage; adapt a book for the ordinary reader)3adapt oneself tolaga seg eftir (t.d.new conditions; the circumstances); he does not know how to adapt himself (eis:)hann dugir ikki at laga seg eftir umstøðunum
adaptability	eftirlagingarevni, eftirlagingarføri
adaptable	eftirlagandi, bendiligur, smidligur
adaptation	eftirlaging, tilevning, tillaging
adapted	nýtiligur, gegniligur, gegnigur(fortil), skikkaður; lagaður til; (síeis.adapt)
adapter	1tillagingarhøvundur (høvundur, ið skrivar filmshandrit, ið byggirt.d.á skaldsøgu)2(ravm., teld.)atlagari; millumstykki;(tlm. eis.)snýtiproppur
adapter,adaptor	(ravm., teld.)atlagari;(tøkn.)tillagingarstykki, millumstykki
adaptive	sum kann laga seg til
adaptor	síadapter
ADC	(st. tlf.)Advise Duration and Charge [upplýsing um príso.a.fyri fjarsamrøður]
AD C	(st.)Aide-de-Camp adjudantur (heryvirmaður ið hjálpir hægri heryvirmanni)
add1	1skoyta uppí (t.d.that, he added, was a mistake),leggja afturat (t.d. addto this that, to this may be added that),at fylla á (t.d.add more water);lata útí (t.d. addsome sugar to the flour;addwater to the soup); byggja uppí (t.d. adda wing to the house)2leggjael.telja saman(eis.íteld.)(t.d. addthe figures; learn to add); (to til, t.d.addfive to six); addinøkja; lata útí;add toøkja, víðka (t.d.this failure added to our difficulties; it adds to the enjoyment;addto the housebyggja uppí); addtogethersameina; adduptelja saman (t.d.the figures);leggja aftrat (t.d.add five to six);gera upp;it adds up righttað gongur upp;it is beginning toaddupnú hómast samanhangurin;it won’t add uptað gongur ikki upp;(fl.m. eis.)hanga saman; geva meining; addup toverða tilsamans, geva (t.d.it added up to £597); (fl.m.)merkja,what does all this add up to?hvat merkir alt hetta?
Add2	(st.)addenda, address
added	afturat (verður sett eftirn) an added pleasureein gleði aftrat; uppaftur meira (t.d.give added force to the blow)
added-value tax	meirvirðisgjald, (st.) MVG; sívalue-added tax
addendum	(flt addenda)n ískoyti (t.d.a 10-page addendum),ískoytisbind
adder	1(dý.)høggormur(Vipera berus);eitursnákur2(teld.)samleggjari
adder’s-tongue	(plfr.)ormstunga(Ophioglossum vulgatum)
addict1	1misnýtari; narkomanur;morphine addictmorfinistur;be (, become) a cocaine (etc.) addict (eis:)verða fallin til kokain (o.tl.)2(fl.m)(t.d.be a comic strip addict; be a football addict); he is a jazz addicthann er býttur avel.burtur í jazzi
addict2	addict oneself to geva seg til; falla til
addicted	addicted to fallin til (t.d.drink),misnýtari av (t.d.drugs)
addiction	1lyndi, hugur, trongd(totil) (t.d.he isn't driven by politics as much as hisaddictionto breaking news)2bundni, bundinskapur (t.d.alcoholaddiction,drugaddictions,gamblingaddiction... at vera bundin av ...
addictive1	turvelvandi, vanaelvandi
addictive2	vanaskapandi (t.d.methaqualone is addictive)
addition	1(upp)ískoyti, eyki,uppíbygging2samanlegging(eis.íteld.), samanteljing3øking (t.d.they are expecting an addition to the family)4in additionharafturat;in addition toumframt
additional	eyka, framíhjá, meiri, nýggjur, aftrat (t.d.an additional attraction; an additional reason; he ordered an additional portion; for each additional member; an additional portion; I brought two additional bottles); additional expenditureeykaútreiðslur;additional taxeykaskattur;(ítr.) additional timeeykatíð
additionally	sum ískoyti, oman á alt, afturat
additional tax	ískoytisskattur, eykaskattur
additive	íblandingarevni
addle	1ørkymla, villa, gera í ørvitiel.villareiði; gera at ein fær ikki hugsað klárt (t.d.being in love must have addled your brain)2(um egg) rotna,addled eggrotið egg
addle brain	dyl, dylhøvd
addled	1rotin (t.d.egg)2ørvitisligur, heilavillur
addle head	síaddlebrain
addle pate	síaddlebrain
add-ons	1tilhoyr, útgerð (t.d.a home-use computer is cheap, but the add-ons aren’t)2uppíbygningar
address1	1áheitan, adressa2bústaður;permanent addressfastur bústaður;temporary addressfyribils/bráðfeingis bústaður;notify change of addressboða frá flyting, uttanáskrift, tilskrift (t.d.not known at this address); (fl.m) you came to the right addresstú ert komin til tann rætta;return addresssendarabústaður3tala, røða (t.d.a presidential address)4talumáti (t.d.the confidential address of a good television announcer)5atferð; verumáti (t.d.he has a pleasing address);fólkaskikkur6pay one’s adresses tofríggja til7(teld.)atsetur
address2	1tilskriva, skriva uttan á bræv, adressera (t.d.a letter)2snúgvael.venda sær til; tala á (t.d.some words to sby)stíla til (t.d.address the letter to the Minister)3tala til (t.d.Mr Jones will now address the meeting); address oneselfvenda sær til (t.d.address oneself to the headmaster)4fara í holt við, fara undir (t.d.a task);taka upp, hava til viðgerðar (t.d.an issue, a question)
addressee	móttakari, viðtøkufólk
addressing machine	tilskrivingartól
adduce	skjóta seg inn undir, umbera seg við, føra fram (t.d.arguments; no more impressive proof can be adduced)
adducible	sum kann verða ført fram
ademption	(løgfr.)afturtøka, afturkalling
Aden	
adenoids	(lækn.)(nasa)stelkvøkstur, polyppir
adept1	meistari (t.d.he’s an adept in spotting engine trouble),fullkønur persónur, serfrøðingur(at, iní)
adept2	be adept in (eis:)vera meistari í, duga til fulnar
adept3	meistarliga
adequacy	nógsemi,test the adequacy of itroyna um tað er nóg mikið (nøktandi)
adequate	nóg mikil, nóg góður, nóg nógvur (t.d.this sum is not adequate for the purpose), hóskandi, nøktandi; nóg beinrakin (t.d.definition); be adequate to one’s postduga til sítt starv
adhere	1hefta (festa, líma) upp á (t.d.the mud adhered to our shoes)2loða uppi við, loða saman3(fl.m.)halda fast við (t.d.a plan, one’s opinion, one’s decision);halda (t.d.the rules);halda seg til (t.d.adhere strictly to the diet)4adhere tosamtykkja við, vera trúfastur (t.d.a party, an agreement);taka undir við (t.d.a pact, a treaty)5(lækn.)vaksa saman við, vaksa fast í
adherence	1tað ið loðar uppi við2tað at halda (t.d. lóg)3viðhald; trúskapur
adherent1	1viðhaldsmaður; fylgismaður, felagi2adherents flt (eis:)samkoma
adherent2	1klistrandi, kleimin; sum bindur, sum hongur fast2vera bundin av;be adherent to a treatyhava tikið við sáttmála3sum loðar upp við
adhesion	1samvøkstur, áfesti2give one’s adhesion totaka undir við
adhesive1	1klisturevni, lím (t.d.floor covering adhesive); adhesive plasterheftiplástur;adhesive tapeklisturband; heftiplástur2(al., evnafr.) adhesive powerbindievni, ífestingarkraft, viðheftingarkraft, viðloð
adhesive2	1klistrandi, kleimin; lím-, sjálvklistrandi2sum loðar upp við
adhesiveness	klistrievni
adhesive plaster	heftiplástur
adhesive tape	1klistriband, klistristrimmil2heftiplástur
ad hoc	(la.) til hetta endamál, til ávíst endamál; gjørt til høvið, bert í hesum føri; serligur (t.d.legislation, committee)
adhoc(k)ery	ófyrireikað framførsla
ad hominem	(í kjaki) (sum fer eftir manninum sjálvum heldur enn eftir tí ið verður umrøtt) (t.d.vicious ad hominem attacks)
adiaphorous	moralsktel.átrúnaliga líkasælur
adieu	1mðlvfarvæl2nfarvæl, avstaðfaring, skilnaður;make one’s adieus(el.adieux)fara avstað
ad inf	(st.)ad infinitum í tað óendaliga
adipose	1lfeitur, fitikendur, feitt- (t.d.tissuevevnaður)2nfeitt
adiposity	fiti
adit	1atgongd2inngongd
adjacent	ið er næstur, grannanæstur,be adjacent toið er (stendurel.liggur) upp at, granna- (t.d.houses, fields, streets);síð um síð (t.d.two adjacent compartments)
adjacentangles	(stfr.)grannavinklar
adjectival	1lýsingarligur, adjektiviskur2(uml.)forbannaður, forskitino.tíl[brúkt sum fyllael.banniorð] (t.d.an adjectival four-by-three wateringplace)
adjective	lýsingarorð
adjoin	liggja upp at, møtast, vera mark við (t.d.his garden adjoins mine)
adjoining	1sum liggur upp at, næstur, granna-;the adjoining roomnæsta rúmið, grannarúmið2(trygg.) adjoining riskvandaelvandi grannavirksemi
adjourn	1útseta (t.d.a debate, an inquiry),freista, flyta fram;the House adjourned for a weektingið freistaði fundirnar eina viku;negotiations adjourned until the next daysamráðingarnar vórðu freistaðar til dagin eftir;Congress will notadjournuntil the budget has been completedkongressin fer ikki til hús fyrr enn fíggjarlógin er liðug2slíta,adjournthe meetingslíta fundin (t.d.we adjourned at 10 o’clock); the court adjournedrættarfundurin varð slitin;the court stands adjourned for ten minutesrætturin hevur steðg í 10 min.3adjourntoflyta til, fara (t.d.shall we adjourn to the smoking room?; weadjournedto the library)4adjourned game(í talvi) niðurlagt talv
adjournment	1útseting, framflyting,motion for the adjournment (uml.)uppskot um útseting2millumbil millum tingfundir
adjudge	1(løgfr.)døma (t.d.adjudge him guilty);gera úrskurð í; tildøma (t.d.adjudge property to sby)2veita (t.d.the prize)
adjudicate	1døma, gera av, velja burturúr (t.d. vinnara)2vera dómari, døma (í kapping)
adjudication	dómur, úrskurður (t.d.bring the matter before the courts for adjudication)
adjudicator	dómari; limur í dómsnevnd [í kapping]
adjunct	1tilhoyr, útgerð, útbúnaður (t.d.a refrigerator is a useful adjunct to a home);ískoyti2(máll.)lýsing, atlýsing
adjunctive	lagdur afturat, skoyttur uppí, eyka-
adjuration	svørjan, bøn
adjure	1biðja, bøna, trábiðja2svørja (t.d.they adjured him to take more care of his life)
adjust	1skipa, greiða, fáa skil á, laga eftir, (t.d.plants adjust themselves to new surroundings; adjust oneself to circumstances);adjustoneself tolaga seg eftir2javna, fáa semju í lag3stilla (t.d.adjust a telescope to one’s eye; the scales, the brakes);rætta, justera (t.d.wheel alignment should be adjusted)4hampa seg (t.d.adjust your dress before leaving);rætta (t.d.one’s tie)5(am. eis.)meta (um)
adjustable	sum kann stillast, stillandi;adjustable spannerskrúvulykil, skiftilykil
adjuster	(trygg.)metingarfólk [ísamb. viðskaða]
adjusting	stilli- (t.d.mechanism; ring; screw)
adjusting screw	(tøkn.)stilliskrúva
adjusting spring	(tøkn.)stillifjøður
adjustment	1skipan, semja; uppgerð2stilling, javning; (handilsm.)adjustment of periodskeiðsstilling3eftirlagingarevni4(am. trygg.)meting (av skaða)
adjustment-to-industry course	umskúlingarskeið
adjutancy	adjútantsstarv
adjutant	1adjútantur2(dý.)adjútantstorkur(Leptoptilus dubius)
ad lib	(st.)ad libitumfrítt, eftir vild, so nógv ið tú leggur á (t.d.the price includes meals and drinks ad lib;the pigs are fed on an ad lib system)
ad-lib1	føra fram ófyrireikaður (t.d.Charles had to ad lib because he'd forgotten his script;she ad libbed half the speech)
ad-lib2	1nófyrireikað framførsla2lófyrireikaður
adman	lýsingafólk, reklamufólk; lýsingahøvundur
admass	the admass tann fjøld ið fjølmiðlalýsingar eru tilætlaðar
admeasure	luta, býta (t.d.land among heirs)
administer	1sitael.standa fyri (t.d.an estate),fyrisita, umsita (t.d.the finances of the college),stýra2bírætta, avloysa (t.d.the sacrament)3geva, (t.d.a blow)4veita (t.d.help)5geva (t.d.medicine; administer artificial respiration to him)6administer an oath tolata (ein) gera eið
administration	1fyrisiting (t.d.of the affairs of the State),stýri; (handilsm.)administration costsfyrisitingarkostnaður;aggregated administration costssamlaður fyrisitngarkostnaður, fyrisitingarkostnaður til samans;incidental administration costsannar fyrisitingarkostnaður2partur, lutur3stjórn (t.d.he had been Secretary of State in two Conservative administrations),umboðsstjórn, ríkisstjórn, landsstjórn4ráð, ríkisráð, stjórnarráð, stýrisdeild, ráðharradeild, ráðharrastova5(am.)(forseta)embætisskeið6the administration of justicerættargangur
Administration	umboðsmaður
administrative	fyrisitingarligur, fyrisitingar-, umboðs-: fremjandi, innandi, útinnandi
administrative law	(løgfr.)fyrisitingarrættur
administrator	1fyrisitari, fyristøðumaður, umboðsstjóri, stjóri, administrator2(løgfr.)skiftistjóri
admirable	undranarverdur, frálíkur (t.d.an admirable idea)
admiral	herflotaovasti, admirálur (tey 4 stigini frá tí ovasta:A of the Fleet, Admiral, Vice-A, Rear-A)
admiralship	admirálstign
admiralty	1(skaldsk.)yvirvaldið á havinum;the Admiraltyherflotastjórnarráð;(fyrrv)herflotamálaráð;First Lord of the Admiralty (fyrrv)herflotamálaráðharri2(løgfr.)sjórættur,judgement in admiraltysjórættardómur;writ in admiraltysjórættarstevning;admiralty casesjórættarmál;the Court of Admiraltysjórætturin
admiration	1hávirðing, hámeting, undranarhávirðing(offyri);he was the admiration of all the boysallir dreingirnir hámettu hann2do it to admirationgera tað framúrskarandi væl
admire	hámeta, hávirða, háundra (t.d.the beauty of the landscape; his skill; I forgot to admire her cat)
admirer	tann ið er hugtikinel.býttur av einum; viðhaldsfólk (t.d.an admirer of the President);fjepp
admiringly	undrandi, við undran
admissibility	1loyvi, gildi2atgonguloyvi
admissible	1loyviligur, nýtiligur, gildur2admissible tovið atgonguloyvi, sum hevur atgongd til
admission	1atgonga2upptøka(toí, t.d.a school);innleggjan(toá)3(teld.)atkoma4eftirlæti, játtan; viðgongaon his own admission, he has not… hann viðgongur sjálvur at hann ikke hevur …5atgongugjald (t.d.charge one pound admissionkrevja eitt pund sum atgongugjald),pay (for) admissiongjalda fyri at sleppa inn;admission card (el. order)atgongumerki, atgonguseðil6(tøkn.)veiting (t.d.of steam; of air from outside)
admission card	atgongukort
admission examination	upptøkuroynd
admission price	atgongugjald
admit	1geva atgongu (t.d.this ticket admits one person),lata sleppa inn (t.d.he opened the door and admitted me); children not admittedbørn sleppa ikki inn; taka upp(toí) (t.d.he was admitted to the University; only 100 boys are admitted to the school each year; new states may be admitted to the federation; he was admitted fellow of[varð upptikin sum limur í]the Royal Society);leggja inn(to a hospitalá sjúkrahús)2viðganga, játta, vera við; admitto (eis.)viðganga (t.d.I admit that I was wrong (, that I did it; he would not admit that he had been in trouble; he would not admit that he did not know French); it must be admitted (eis:)tað skal sigast;he admits to having been therehann viðgongur at hann hevur verið har;I shall have to admit to thirty soon …eg viðgangi at eg skjótt verði tríati3kunna rúmael.taka (t.d.the theatre admits 2, 000); admit ofloyva, geva pláss fyri
admittance	atgonga (t.d.he was refused admittance); no admittanceeingin atgonga
admittedly	tað má viðgangast (t.d.admittedly he is no fool; admittedly we are in a weak position, but …);gaman í (t.d.he is admittedly rich but);uttan iva
admix	blanda uppí, lata útí
admixture	bland(ingur), íbland (t.d.pure Indian without any admixture of white blood)
admonish	minna á, vara (ein) við, lata vita, leggja eina við (t.d.he admonished them to be more careful)
admonition	áminning, ávaring (t.d.he got off[slapp]with an admonition)
admonitory	ávarandi
ad nauseam	so tað býður ímóti, sum ikki torgast
ado	rok, hurlivasi, standur, møsn;much ado about nothingnógv hávasták av ongum;without more (el. further)ado uttan himpr
adobe	sólturkaður múrsteinur; hús bygt av slíkum steini
adolescence	uppvøkstur; ungdómur, unglingaár (t.d.Mary spent her childhood and adolescence in Europe; their children are on the verge of adolescence)
adolescent1	ungur maður, ung genta, unglingi (t.d.their children are now adolescents; the books are aimed at children and adolescents)
adolescent2	hálvvaksin, ungur (t.d.many parents find it hard to understand their adolescent children);(niðr.)óbúgvin, ungur í sinninum (t.d.she did not appreciate her husband'sadolescenthigh jinks)
Adonais	(gudal.)
adopt	1ættleiðaadopted daughterættleidd dóttir;his adopted countryhansara nýggja móðurland;adopt another namefáa sær nýtt navn;adopt the habit offáa sær til vana at2velja, velja at brúka (t.d.what course shall I adopt?; this textbook has been adopted by most of the teachers; this approach has been adopted by many big banks)3koma við, taka við (t.d.adopt a new religion; adopt a new word in the language);knæseta (t.d.a principle),taka í nýtslu (t.d.a new custom; adopt his methods in one’s teaching; a new weapon);taka undir við (t.d.an opinion);hava;adopt a neutral positionvera uttanveltaður; seta;adopt a toneseta ein tóna4góðtaka, samtykkja (t.d.a resolution, a proposal);góðkenna;the general meeting adopted the accounts… aðalfundurin góðkendi roknskapin; viðurkenna, taka undir viðadopt the plantaka undir við ætlanini
adopted child	ættleidd barn
adoptee	ættleiðingur, ættleitt barn
adoption	1ættleiðing (t.d.she gave up her children for adoption)2viðtøka, knæseting, upptøka (t.d.of a new word)3viðurkenning, góðkenning (t.d.the adoption of the accounts; the widespread adoption of agricultural technology)
adoptionagency	ættleiðingarskrivstova
adoption order	(uml.) (løgfr.)ættleiðingarjáttan
adoptive	ættleiðingar- (t.d.father); his adoptive countryhansara nýggja føðiland
adorable	hugtakandi, undurvakur, yndigur, tekkiligur
adoration	tilbiðjan, sterkur kærleiki
adore	tilbiðja, elska inniliga, hámeta;(tlm.)elska (t.d.she adored riding),dáma sera væl, halda vera undurfagran (t.d.I adore your new dress)
adorer	tilbiðjari
adorn	prýða, skrýða (t.d.the painters who adorned the Minoan palaces with lovely frescoes),vera prýði fyri (t.d.men who have adorned their age)
adornment	prýðing, prýði, skreyt, prunk
ADP	(st.) Automatic Data Processing adb, ADB
adream	droymandi
adrenal	hjánýra-, ervanýra-;adrenal glandhjánýra, ervanýra, nýrahetta
adrenalin	adrenalin
Adriatic	Adriahav
adrift	1á reki, rekandi, rekandi fyri vág og vind (t.d.the mine has gone adrift)2(fl.m.)ráðaleysur, uttan mál ella mið;be adrift (eis.)hvørki vita út ella inn;turn adriftreka heimanífrá, lata fara á vestfallið;be adrift Svera (ov) seinur á tí
adroit	fermur, fimur, kringur, smidligur (t.d.diplomat)
adscript	heimabundin; (um bókstav) skoyttur uppí
adsmith	(am.)S tekstsmiður (á lýsingastovu)
adsorbent	atsúgvandi, atsúgvin
adulate	smikra, lifra, sleiska fyri
adulation	sleiskni, smikur, lifr
adulator	smikrari, sleiskari, lifrari
adulatory	smikrandi, sleiskur, lifrandi
adult1	vaksið fólk;(for) adults onlybara fyri vaksin (ikki fyri børn)
adult2	vaksin;adult lifevaksnamannalív;adult suffragevanligur valrættur; tilkomin; fullmentur; fullvaksin; bert fyri vaksin, pornografiskur (t.d.the "adult magazine” industry)
adult education	undirvísing fyri vaksin, vaksnamannaundirvísing
adulterate	falsa; tynna (t.d.milk with water)
adulteration	fals(an), vørufalsan
adulterator	vørufalsari
adulterer	maður ið fremur hjúnabandsbrot;(gl, bíbl.)horkallur
adulteress	kona ið fremur hjúnabandsbrot;(gl, bíbl.)horkvinna
adulterous	ótrúgvur í hjúnaskapi, ótrúgvur;live in adulterous relations (, in an adulterous establishment) withhava (ikki hjúnaskaparligt) samband við
adultery	hjúnabandsbrot, ótrúskapur, hor
adulthood	vaksnamannaár
adumbrate	1boða, fyriboða, geva varhuga av; kasta skugga á2gera uppskot til
adumbration	1ábending; fyriboðan, undandøttur (t.d.adumbrations of things to come)2skitsa, uppskot
adust	1(av)sviðin, brendur2(gl.)brúnur, sólbrendur3døkkur, tristur
adv	(st.)advanced; adverb; adverbial; advertisement
ad valorem	eftir virði(num) (t.d.dutytollur)
advance1	1framstig (t.d.the victorious advance of science; recent advances in medicine),framgonga, framburður2(herm.)atsókn3framflutningur (t.d. í hægri starv)4forskot (t.d.an advance of £10);lán; útlán5hækking (í prísumosfr.)(t.d.an advance in retail prices), (viðv.løneis.)ískoyti (t.d.a £12 a week advance)6(á uppboði) hægri boð (t.d.any advance on three hundred?)7advances flt (eis.)fjeppan, fjepparí (t.d.she repelled(el.discouraged) his advances); she encouraged his advanceshon eggjaði hann8in advanceframmanundan;in advance offrammanfyri, fyrr, frammanundan (t.d.he got far in advance of the others; he is in advance of his agesína tíð);well in advance of the meetingí góðari tíð framman undan fundinum
advance2	1ganga fram (t.d.advance two steps),gera framstig, fara fram, taka seg fram (t.d.wherever the troops advanced);halda framlet us advance with the matter in handlatið okkum halda fram við málinum sum er til viðgerðar2(viðv.starvi) flyta fram, veita hægri starv (t.d.he was advanced to the rank of colonel)3(áv.)førael.setael.flyta fram, siga (t.d.an opinion, a theory; an explanation; one’s opinion)4fremja, stuðla (t.d.a cause; trade and industry; one’s own interests)5skunda undir, flyta fram (t.d.the date of the meeting)6(um prís, lønosfr.)hækka; (t.d.they have advanced their prices; wages advanced; coal advanced £2 a ton)7(um tíð) the afternoon was well advancedtað var liðið langt út á seinnapartin;advance in yearseldast, gerast eldri8gjalda sum forskot, læna (t.d.advance him £10)
advance bill	(handilsm.)undanrokning
advance booking	undanbílegging; forsøla
advance commitment	(handilsm.)kreditttilsøgn
advance copy	1(prent.)frumprent, reinprent2fráboðan frammanundan
advanced	1framkomin (t.d.technically advanced countries; more advanced nations; a more advanced type of civilization; an advanced stage of developmenthøgt menningarstig), langt komin, búgvin2framhalds-, víðkaður;advanced courseskeið fyri framkomin, framhaldsskeið;advanced studentsframhaldslesandi;advanced trainingframhaldslestur, hægri lestur3nýggjur, nýtíðarligur; víðgongdur, framkomin (t.d.that was considered advanced at the time; literature, taste; children are terribly advanced these days; advanced Western weaponry); advanced ideasnýggjar hugsjónir4(um tíð og aldur)advanced in yearsvæl við aldur, framkomin;at an advanced age (eis:)langt uppi í árunum; advancedin yearsuppi í árunum; komin til árs;the day was far advancedlangt var liðið út á dagin5(viðv.støðu langt frammi:t.d. air base; position; dressing station)6advanced ignition(í motori) høg tendring
advanced search	(teld) framkomin leiting
advance guard	(herm.)framlið, oddi; oddamenn
advancement	1framgongd, framstig, framburður, stimbran2frami, framflutningur3arvaforskot
advance note	(sigl.) hýruforskot
advance party	(herm.)oddaherdeild, oddi, oddalið (t.d.the advance party of the expedition)
advance payment	(lønar)forskot
advance publicity	undanumrøða
advance sale price reduction	forsøluavsláttur
advantage1	1fyrimunur, vinningur, nytta, gagn2undandrag (t.d.the prisoners had six hours advantage in their start)3yvirluti, tak (t.d.our present advantage in the air)4appear(el.show) to (best) advantagevísa seg frá síni bestu síðu;havethe advantage ofvera betur fyri, hava fyrimunin, hava munin, hava undandragið;you have the advantage of meeg kenni tygum ikki tíverri;have an advantage overhava undandragið, vera framman fyri;sellto advantageselja við vinningi;tothe best advantagevið størsta vinningi, við tí størsta fyrimuninum;something greatly to his advantageokkurt ið var honum til fyrimunar;the comparison was not to his advantage… var ikki til hansara fyrimunar;it must be said to his advantagetað má sigast til hansara rós;takeadvantage ofnýta sær til fyrimunar;turnto advantagefáa fyrimun av;it is to his advantagetað er til hansara besta
advantage2	1gagna, geva fyrimun; nýta, brúka, misnýta, ovnýta2lumpa; tøla; fremja
advantageous	gagnligur, hentur, til fyrimunar, lønandi, sum loysir seg
advent	1koma (t.d.the advent of spring; his advent and departure)2advent, jólaføsta (t.d.the First Sunday in Advent)
Advent calendar	jólakalendari
Adventist	adventistur
adventitious	1eyka, tilvildarligur2adventitious bud (plfr.)síðuknappur, adventivur knappur;adventitious rootsíðurót, adventiv rót
adventive	(sum eru fá og sjáldsom) innsløddur;adventive plantinnslødd planta;adventive animalsinnslødd dýr; síinvasive
adventure	1hending, hugtakandi uppliving (t.d.he told about his adventures in Africa; hardly a day passed without its adventures)2váðaverk (t.d.an adventure in mountain climbing);ævintýr;(handilsm.)hættislig fyritøka, spekulasjón
adventure playground	upplivingaspælipláss
